GEN.1.1	Ku lubereberye Katonda yatonda eggulu n'ensi.
GEN.1.15	era bibe ebyaka mu bbanga ery'eggulu, okuwa ekitangaala ku nsi.” Era ne kiba bwe kityo. 
GEN.1.16	Katonda n'akola ebyaka bibiri ebinene; ekyaka ekisinga obunene okufuganga emisana, n'ekyaka ekitono okufuganga ekiro, era n'akola n'emmunyeenye.
GEN.1.17	Katonda n'abiteeka mu bbanga ery'eggulu byakenga ku nsi, 
GEN.1.18	bifugenga emisana n'ekiro, era byawulenga ekitangaala n'ekizikiza. Katonda n'alaba nga kyali kirungi.
GEN.1.19	Ne buba akawungeezi, ne buba enkya, olwo lwe lunaku olwokuna.
GEN.1.20	Katonda n'ayogera nti, “Amazzi gazaale ebitonde ebiramu bingi nnyo, era n'ebinyonyi bibuuke waggulu ku nsi mu bbanga.” 
GEN.1.21	Katonda n'atonda balukwata abanene, na buli kitonde ekiramu ekyewalula, amazzi kye gaazaala mu ngeri zaakyo, na buli ekibuuka ekirina ebyoya mu ngeri yaakyo. Katonda n'alaba nga kyali kirungi.
GEN.1.22	Katonda n'abiwa omukisa n'ayogera nti, “Mweyongere mwale, mujjuze amazzi ag'omu nnyanja, era n'ebinyonyi byeyongere mu nsi.” 
GEN.1.23	Ne buba akawungeezi, ne buba enkya, olwo lwe lunaku olwokutaano.
GEN.1.24	Katonda n'ayogera nti, “Ensi ereete ebirina obulamu ebya buli ngeri: ente n'ebyewalula, n'ensolo ez'omu nsiko eza buli ngeri.” Era ne kiba bwe kityo. 
GEN.1.25	Katonda n'akola ensolo ez'omu nsiko eza buli ngeri, n'ente eza buli ngeri, na buli ekyewalula ku nsi ekya buli ngeri. Katonda n'alaba nga kyali kirungi. 
GEN.1.26	Awo Katonda n'ayogera nti, “Tukole omuntu mu kifaananyi kyaffe, mu ngeri yaffe, afugenga eby'omu nnyanja n'ebinyonyi eby'omu bbanga, n'ente, n'ensolo ez'omu nsiko, na buli ekyewalula ku nsi.”
GEN.1.27	Bw'atyo Katonda n'atonda omuntu mu kifaananyi kye, mu kifaananyi kya Katonda mwe yabatondera; omusajja n'omukazi bwe yabatonda.
GEN.1.28	Katonda n'abawa omukisa, era Katonda n'abagamba nti, “Mweyongerenga mwalenga, mujjuze ensi mugifuge; mufugenga eby'omu nnyanja n'ebinyonyi eby'omu bbanga, na buli ekirina obulamu ekitambula ku nsi.”
GEN.1.29	Katonda n'ayogera nti, “Laba, mbawadde buli kimera eky'ensigo ekiri ku nsi, na buli muti ogubala ekibala ekirimu ensigo, binaabanga mmere yammwe.
GEN.1.30	N'eri buli nsolo ey'oku nsi, na buli kinyonyi eky'omu bbanga, na buli ekyewalula ku nsi, ekirimu omukka omulamu, mbiwadde buli kimera okuba emmere.” Era ne kiba bwe kityo.
GEN.1.31	Katonda n'alaba buli kye yali akoze; era, laba, nga kyali kirungi nnyo. Ne buba akawungeezi, ne buba enkya, olwo lwe lunaku olwomukaaga.
GEN.2.1	Bwe bityo eggulu n'ensi, n'ebirimu byonna, ne biggwa okukola.
GEN.2.2	Ku lu nnaku olwomusanvu Katonda n'amala emirimu gyonna gye yakola, n'awummulira ku lunaku olwomusanvu mu mirimu gye gyonna gye yakola. 
GEN.2.3	Katonda n'awa omukisa olunaku olwomusanvu n'alutukuza, kubanga olwo lwe yawummulirako emirimu gye gyonna gye yakola.
GEN.2.4	Bino by'ebifa ku ggulu n'ensi nga bwe byatondebwa. Ku lunaku Mukama Katonda kwe yakolera ensi n'eggulu, 
GEN.2.5	waali tewannamera muti gwonna ogw'omu nsiko wadde omuddo, kubanga Mukama Katonda yali tannaba kutonnyesa nkuba ku nsi; era nga tewali muntu alima ensi. 
GEN.2.6	Naye amazzi gaavanga mu ttaka, ne gannyikiza ensi.
GEN.2.7	Mukama Katonda n'abumba omuntu n'enfuufu ey'ensi, n'amufuuwamu mu nnyindo omukka ogw'obulamu, omuntu n'alyoka abeera omulamu.
GEN.2.8	Mukama Katonda n'asimba olusuku mu Edeni, ku luuyi olw'ebuvanjuba; n'ateeka omwo omuntu gwe yabumba.
GEN.2.9	Mukama Katonda n'ameza mu nsi buli muti ogusanyusa amaaso, omulungi okulya. Wakati mu lusuku mwalimu omuti ogw'obulamu, n'omuti ogw'okumanya obulungi n'obubi.
GEN.2.10	Omugga ne gusibuka mu Edeni okufukiriranga amazzi mu lusuku; ne gweyawulamu ne gufuuka emigga ena. 
GEN.2.11	Ogwolubereberye erinnya lyagwo Pisoni: ogwo gwe gwetooloola ensi yonna eya Kavira, erimu zaabu;
GEN.2.12	ne zaabu ey'omu nsi eyo nnungi; mulimu bedola n'amayinja aga sokamu. 
GEN.2.13	Ogwokubiri erinnya lyagwo Gikoni: ogwo gwe gwetooloola ensi yonna eya Kkuusi. 
GEN.2.14	Ogwokusatu nga guyitibwa Kidekeri: ogwo gwe guyita ku mabbali g'e Bwasuli. N'ogwokuna nga guyitibwa Fulaati.
GEN.2.15	Mukama Katonda n'atwala omuntu, n'amuteeka mu lusuku Edeni alulimenga, alulabirirenga. 
GEN.2.16	Mukama Katonda n'alagira omuntu n'amugamba nti, “Buli muti ogw'omu lusuku olyangako nga bw'onooyagalanga; 
GEN.2.17	naye omuti ogw'okumanya obulungi n'obubi togulyangako, kubanga olunaku lw'oligulyako lw'olifa.”
GEN.2.18	Awo Mukama Katonda n'ayogera nti, “Si kirungi omuntu okubeeranga yekka; nnaamukolera omubeezi amusaanira.” 
GEN.2.19	Mukama Katonda n'addira ettaka n'akolamu buli nsolo ey'omu nsiko, na buli kinnyonyi ekibuuka mu bbanga; n'abireetera omuntu okulaba bw'anaabiyita; n'omuntu buli linnya lye yayita ekitonde kyonna ekiramu eryo lye lyafuuka erinnya lyakyo.
GEN.2.20	Omuntu n'atuuma amannya buli nsolo na buli ekibuuka mu bbanga, naye omuntu nga tannalaba mubeezi amusaanira. 
GEN.2.21	Mukama Katonda n'aleetera omuntu otulo tungi, ne yeebaka; n'amuggyamu olubiriizi lumu, n'azzaawo ennyama mu kifo kyalwo.
GEN.2.22	Mukama Katonda n'akola omukazi mu lubiriizi lw'aggye mu muntu, n'amuleeta eri omuntu. 
GEN.2.23	Omuntu n'ayogera nti,
GEN.2.23	“Otyo! Ono nno lye ggumba erivudde mu magumba gange,
GEN.2.23	ye nnyama evudde mu nnyama yange;
GEN.2.23	naye anaayitibwanga mukazi,
GEN.2.23	kubanga aggyiddwa mu musajja.”
GEN.2.24	N'olwekyo, omusajja ky'anaavanga aleka kitaawe ne nnyina, ne yeegatta ne mukazi we, ne bafuuka omubiri gumu.
GEN.2.25	Bombi baali bwereere, omusajja ne mukazi we, naye tebaakwatibwa nsonyi.
GEN.3.1	N'omusota gwali mukalabakalaba okusinga ensolo zonna ez'omu nsiko, Mukama Katonda ze yakola. Ne gugamba omukazi nti, “Bw'atyo bwe yayogera Katonda nti, ‘Temulyanga ku miti gyonna egy'omu lusuku?’”
GEN.3.2	Omukazi n'agamba omusota nti, “Tuyinza okulya ku bibala eby'emiti egy'omu lusuku; 
GEN.3.3	naye Katonda yagamba nti, ‘temulyanga ku bibala by'omuti oguli wakati mu lusuku, newakubadde okugukwatangako muleme okufa.’”
GEN.3.4	Omusota ne gugamba omukazi nti, “Okufa temulifa.
GEN.3.5	Kubanga Katonda amanyi nti olunaku lwe muligulyako mmwe, amaaso gammwe lwe galizibuka, nammwe muliba nga Katonda okumanyanga obulungi n'obubi.” 
GEN.3.6	Omukazi bwe yalaba ng'omuti mulungi okulya, era nga gusanyusa amaaso, n'omuti nga gwa kwegombebwa okuleeta amagezi, n'anoga ku bibala byagwo n'alya, n'awa era ne bba naye n'alya.
GEN.3.7	Amaaso gaabwe bombi ne gazibuka ne bategeera nga baali bwereere; ne batunga amakoola g'emiti ne beekolera eby'okwambala.
GEN.3.8	Ne bawulira eddoboozi lya Mukama Katonda ng'atambula mu lusuku mu kiseera eky'akawungeezi, omusajja ne mukazi we ne beekweka wakati mu miti egy'omu lusuku, Mukama Katonda aleme okubalaba.
GEN.3.9	Mukama Katonda n'ayita omusajja n'amugamba nti, “Oli ludda wa?” 
GEN.3.10	N'addamu nti, “Mpulidde eddoboozi lyo mu lusuku, ne ntya, kubanga mbadde bwereere; ne nneekweka.”
GEN.3.11	N'amubuuza nti, “Ani eyakubuulira nti obadde bwereere? Olidde ku muti gwe nnakulagira obutagulyangako?” 
GEN.3.12	Omusajja n'addamu nti, “Omukazi, gwe wampa okubeeranga nange, ye ampadde ku kibala eky'oku muti, ne ndya.”
GEN.3.13	Mukama Katonda n'agamba omukazi nti, “Kiki kino ky'okoze?” Omukazi n'ayogera nti, “Omusota gunsenzesenze, ne ndya.”
GEN.3.14	Mukama Katonda n'agamba omusota nti,
GEN.3.14	“Kubanga okoze kino, okolimiddwa ggwe okusinga ensolo zonna
GEN.3.14	ezifugibwa awaka,
GEN.3.14	n'ez'omu nsiko.
GEN.3.14	Oneekululiranga ku lubuto,
GEN.3.14	era onoolyanga nfuufu
GEN.3.14	ennaku zonna ez'obulamu bwo;
GEN.3.15	nange n'ateeka obulabe wakati wo n'omukazi,
GEN.3.15	era ne wakati w'ezzadde lyo n'ezzadde ly'omukazi;
GEN.3.15	alikubetenta omutwe gwo,
GEN.3.15	naawe olibetenta ekisinziiro kye.”
GEN.3.16	N'agamba omukazi nti,
GEN.3.16	“Nnaayongeranga nnyo obulumi bwo mu kuzaala abaana;
GEN.3.16	mu bulumi mwonoozaaliranga abaana;
GEN.3.16	n'okwegomba kwo kunaabanga eri balo,
GEN.3.16	naye anaakufuganga.”
GEN.3.17	N'agamba Adamu nti,
GEN.3.17	“Kubanga owulidde eddoboozi lya mukazi wo,
GEN.3.17	n'olya ku muti
GEN.3.17	gwe nnakulagira nga njogera nti,
GEN.3.17	‘Togulyangako,’
GEN.3.17	ensi ekolimiddwa ku lulwo;
GEN.3.17	mu kutegana mw'onoggyanga eby'okulya ennaku zonna ez'obulamu bwo;
GEN.3.18	amaggwa n'amatovu g'eneekuzaaliranga;
GEN.3.18	naawe onoolyanga omuddo ogw'omu nnimiro.
GEN.3.19	Mu ntuuyo ez'omu maaso go
GEN.3.19	mwonooliiranga emmere,
GEN.3.19	okutuusa lw'olidda mu ttaka;
GEN.3.19	kubanga omwo mwe waggyibwa;
GEN.3.19	kubanga oli nfuufu ggwe,
GEN.3.19	ne mu nfuufu mw'olidda.”
GEN.3.20	Omusajja n'atuuma mukazi we erinnya lye Kaawa; kubanga ono ye nnyina w'abo bonna abalamu. 
GEN.3.21	Mukama Katonda n'akolera Adamu ne mukazi we ebyambalo by'amaliba, n'abambaza.
GEN.3.22	Mukama Katonda n'ayogera nti, “Laba, omuntu afuuse ng'omu ku ffe, okumanyanga obulungi n'obubi; kaakano, aleme okugolola omukono gwe okunoga ku muti ogw'obulamu, okulya okuwangaalanga emirembe n'emirembe.”
GEN.3.23	Mukama Katonda kyeyava amuggya mu lusuku Edeni, alimenga ettaka mwe yaggyibwa. 
GEN.3.24	Bw'atyo n'agoba omuntu; n'ateeka bakerubi ebuvanjuba w'olusuku Edeni, era n'ekitala ekimyansa, ekikyukakyuka, okukuumanga ekkubo erigenda ku muti ogw'obulamu.
GEN.4.1	Adamu ne yeegatta ne Kaawa mukazi we; Kaawa n'abeera olubuto, n'azaala Kayini, n'ayogera nti, “Mpeereddwa omusajja okuva eri Mukama.” 
GEN.4.2	Era nate n'azaala muganda we Abeeri. Abeeri n'aba mulunzi wa ndiga, naye Kayini n'aba mulimi. 
GEN.4.3	Awo ennaku bwe zaayitawo Kayini n'aleeta ku bibala bye yakungula okubiwaayo eri Katonda.
GEN.4.4	Abeeri naye n'aleeta ku baana b'endiga ze ababereberye, n'azitta n'awaayo ebitundu byazo ebisinga obusava. Mukama n'asiima Abeeri ne ky'awaddeyo:
GEN.4.5	naye Mukama n'atasiima Kayini ne ky'awaddeyo. Kayini n'asunguwala nnyo, n'atunula bubi.
GEN.4.6	Mukama n'agamba Kayini nti, “Kiki ekikusunguwaza? Era kiki ekikutunuza obubi bw'otyo? 
GEN.4.7	Singa okoze ekintu ekirungi, tewandisiimiddwa? Naye kubanga okoze bubi, ekibi kiri ku luggi lwo; kyagala okukufuga, naye ggwe oteekwa okukiwangula.”
GEN.4.8	Kayini n'ayogera ne Abeeri muganda we n'amugamba nti, “Tugende mu nnimiro.” Awo bwe baali nga bali mu nnimiro, Kayini n'alyoka agolokokera ku Abeeri muganda we n'amutta.
GEN.4.9	Mukama n'abuuza Kayini nti, “Aluwa Abeeri muganda wo?” N'addamu nti, “Simanyi; nze mukuumi wa muganda wange?”
GEN.4.10	Mukama n'amugamba nti, “Okoze ki? Omusaayi gwa muganda wo gunkaabirira nga gusinziira mu ttaka.
GEN.4.11	Kale kaakano okolimiddwa, kubanga osse mugandawo, era ensi eyasamizza akamwa kaayo n'ennywa omusaayi gwe.
GEN.4.12	Okuva kaakano bw'on'olimanga ettaka, teribazenga mmere, era onoobanga mmomboze era omutambuze mu nsi.” 
GEN.4.13	Kayini n'agamba Mukama nti, “Ekibonerezo ky'ompadde kisusse obunene, siyinza kukigumira. 
GEN.4.14	Laba, ongobye mu maaso go, sikyalina bukuumi bwo, nfuuse mmomboze era omutambuze mu nsi; na buli anandabanga ananzitanga bussi.”
GEN.4.15	Mukama n'amugamba nti, “Buli alitta Kayini aliwoolerwako eggwanga emirundi musanvu.” Mukama n'ateeka ku Kayini akabonero, buli anaamulabanga alemenga okumutta.
GEN.4.16	Kayini n'ava mu maaso ga Mukama, n'atuula mu nsi eyitibwa Nodi,
GEN.4.17	Kayini ne yeegatta ne mukazi we; n'abeera olubuto, n'azaala Enoka. Kayini n'azimba ekibuga, n'akituuma Enoka ng'erinnya ly'omwana we. 
GEN.4.18	Enoka n'azaala Iradi; Iradi n'azaala Mekuyaeri, Mekuyaeri n'azaala Mesusaeri, Mesusaeri n'azaala Lameka. 
GEN.4.19	Lameka n'awasa abakazi babiri; owolubereberye erinnya lye Ada, n'owokubiri erinnya lye Zira. 
GEN.4.20	Ada n'azaala Yabali; oyo ye jjajja w'abalunzi ababeera mu weema. 
GEN.4.21	Muganda we ye Yubali; oyo ye jjajja w'abo bonna abakuba ennanga n'abafuuyi b'endere. 
GEN.4.22	Zira n'azaala Tubalukayini, omuweesi wa buli ekisaala eky'ekikomo n'eky'ekyuma; ne mwannyina Tubalukayini ye Naama. 
GEN.4.23	Lameka n'agamba bakazi be nti,
GEN.4.23	“Ada ne Zira, muwulire eddoboozi lyange;
GEN.4.23	Mmwe abakazi ba Lameka, muwulire ekigambo kyange;
GEN.4.23	Kubanga n'atta omusajja kubanga yanfumita nze,
GEN.4.23	Era omuvubuka kubanga yambetenta nze.
GEN.4.24	Oba nga Kayini aliwalanirwa eggwanga emirundi musanvu,
GEN.4.24	Lameka aliwalanirwa emirundi nsanvu mu musanvu.”
GEN.4.25	Adamu ne yeegatta ne mukazi we nate; n'azaala omwana ow'obulenzi; n'amutuuma erinnya lye Seezi; eritegeeza nti, “Katonda ampadde omwana omulala okudda mu kifo kya Abeeri, Kayini gwe yatta.” 
GEN.4.26	Seezi naye n'azaala omwana ow'obulenzi; n'amutuuma erinnya lye Enosi; mu kiseera ekyo abantu mwe batandikira okukoowoola erinnya lya Mukama.
GEN.5.1	Kino kye kitabo ky'olunnyiriri lwa Adamu. Katonda bwe yatonda omuntu, yamukolera mu kifaananyi kya Katonda.
GEN.5.2	Ya batonda omusajja n'omukazi; n'abawa omukisa. Bwe yabatonda n'abayita omuntu.
GEN.5.3	Adamu bwe yaweza emyaka kikumi mu asatu (130), n'azaala omwana ow'obulenzi amufaananira ddala mu byonna; n'amutuuma erinnya lye Seezi. 
GEN.5.4	Adamu yawangaala emyaka emirala lunaana (800) ng'amaze okuzaala Seezi. Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala; 
GEN.5.5	Adamu n'afa ng'awezezza emyaka lwenda mu asatu (930).
GEN.5.6	Seezi bwe yaweza emyaka kikumi mu etaano (105), n'azaala Enosi. 
GEN.5.7	Seezi n'awangaala emyaka emirala lunaana mu musanvu (807) ng'amaze okuzaala Enosi. Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala; 
GEN.5.8	Seezi n'afa ng'awezezza emyaka lwenda mu kkumi n'ebiri (912).
GEN.5.9	Enosi bwe yaweza emyaka kyenda (90), n'azaala Kenani. 
GEN.5.10	Enosi n'awangaala emyaka emirala lunaana mu kkumi n'etaano (815) ng'amaze okuzaala Kenani. Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala. 
GEN.5.11	Enosi n'afa ng'awezezza emyaka lwenda mu etaano (905).
GEN.5.12	Kenani bwe yaweza emyaka nsanvu (70) n'azaala Makalaleri. 
GEN.5.13	Kenani n'awangaala emyaka emirala lunaana mu ana (840). Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala. 
GEN.5.14	Kenani n'afa ng'awezezza emyaka lwenda mu kkumi (910). 
GEN.5.15	Makalaleri bwe yaweza emyaka nkaaga mu etaano (65) n'azaala Yaledi. 
GEN.5.16	Makalaleri n'awangaala emyaka emirala lunaana mu asatu (830) ng'amaze okuzaala Yaledi. Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala. 
GEN.5.17	Makalaleri n'afa ng'awezezza emyaka lunaana mu kyenda mu etaano (895).
GEN.5.18	Yaledi bwe yaweza emyaka kikumi mu nkaaga mu ebiri (162) n'azaala Enoka.
GEN.5.19	Yaledi n'awangaala emyaka emirala lunaana (800) ng'amaze okuzaala Enoka. Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala. 
GEN.5.20	Yaledi n'afa ng'awezezza emyaka lwenda mu nkaaga mu ebiri (962).
GEN.5.21	Enoka bwe yaweza emyaka nkaaga mu etaano (65), n'azaala Mesuseera. 
GEN.5.22	Enoka bwe yamala okuzaala Mesuseera n'awangaala emyaka emirala bisatu (300), ng'atambulira wamu ne Katonda. Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala.
GEN.5.23	Enoka yawangaala emyaka bisatu mu nkaaga mu etaano (365). 
GEN.5.24	Enoka n'atambulira wamu ne Katonda, so n'atabeerawo; kubanga Katonda yamutwala.
GEN.5.25	Mesuseera bwe yaweza emyaka kikumi mu kinaana mu musanvu (187) n'azaala Lameka. 
GEN.5.26	Mesuseera n'awangaala emyaka emirala lusanvu mu kinaana mu ebiri (782). Yazaala n'abaana abalala ab'obulenzi n'ab'obuwala. 
GEN.5.27	Mesuseera n'afa ng'awezezza emyaka lwenda mu nkaaga mu mwenda (969).
GEN.5.28	Lameka bwe yaweza emyaka kikumi mu kinaana mu ebiri (182), n'azaala omwana ow'obulenzi, 
GEN.5.29	n'amutuuma erinnya lye Nuuwa,
GEN.5.30	Lameka n'awangaala emyaka emirala bitaano mu kyenda mu etaano (595). Yazaala n'abaana ab'obulenzi n'ab'obuwala. 
GEN.5.31	Lameka n'afa ng'awezezza emyaka lusanvu mu nsanvu mu musanvu (777).
GEN.5.32	Nuuwa nga awezeza emyaka bitaano (500), n'azaala Seemu, Kaamu, ne Yafeesi.
GEN.6.1	Awo abantu bwe beeyongera obungi ku nsi, nga bazadde n'abaana ab'obuwala, 
GEN.6.2	abaana ba Katonda ne balaba abawala b'abantu nga balungi; ne bawasanga mu bo bonna be baayagala. 
GEN.6.3	Mukama n'ayogera nti, “Omwoyo gwange teguuwakanenga na muntu emirembe n'emirembe, kubanga naye gwe mubiri, naye anaawangaalanga emyaka egitasukka kikumi mu abiri (120). ”
GEN.6.4	Mu biro ebyo, waaliwo Abanefiri mu nsi, abaazaalibwa abaana ba Katonda mu bawala b'abantu, abo be bantu ab'amaanyi era abaayatiikirira mu mirembe egy'edda. 
GEN.6.5	Mukama n'alaba obubi bw'omuntu nga bungi mu nsi, na buli kufumiitiriza kw'ebirowoozo eby'omu mutima gwe nga kubi kwereere bulijjo.
GEN.6.6	Mukama ne yejjusa kubanga yakola omuntu mu nsi, n'anakuwala mu mutima gwe.
GEN.6.7	Mukama n'ayogera nti, “Ndisangula omuntu gwe nnatonda, okuva mu nsi; okusookera ku muntu, n'ensolo, n'eky'ewalula n'ekibuuka waggulu; nejjusizza kubanga nabikola.” 
GEN.6.8	Naye Nuuwa n'alaba ekisa mu maaso ga Mukama.
GEN.6.9	Gino gy'emirembe gya Nuuwa. Nuuwa yali mutuukirivu, nga talina kabi mu mirembe gye; Nuuwa n'atambulira wamu ne Katonda.
GEN.6.10	Nuuwa yalina abaana basatu: Seemu, Kaamu, ne Yafeesi. 
GEN.6.11	Ensi n'eyonooneka mu maaso ga Katonda, ensi n'ejjula eddalu. 
GEN.6.12	Katonda n'alaba ensi, ng'eyonoonese; kubanga ekirina omubiri kyonna kyali nga kimaze okwonoona ekkubo lyakyo ku nsi.
GEN.6.13	Katonda n'agamba Nuuwa nti, “Maliridde okusaanyawo buli ekirina omubiri, kubanga nsi ejjudde obwonoonefu bwabyo, n'olw'ekyo nja kubizikiririza wamu n'ensi.
GEN.6.14	Weekolere eryato mu muti ogwa goferi; olisalemu ebisenge, olisiige envumbo munda ne kungulu. 
GEN.6.15	Likole nga lya mikono bisatu (300) obuwanvu, emikono ataano (50) obugazi, n'emikono asatu (30) obugulumivu. 
GEN.6.16	Likole nga lya myaliiro esatu, oteekeko eddirisa, ng'oleseeyo omukono gumu okuva waggulu waalyo, era oliteekeko omulyango mu mbiriizi zaalyo. 
GEN.6.17	Laba, ndireeta amataba ku nsi, okuzikiriza buli ekirina omubiri kyonna ekirimu omukka ogw'obulamu wansi w'eggulu; buli ekiri mu nsi kirifa.
GEN.6.18	Naye ndiragaana endagaano yange naawe; oliyingira mu lyato, ggwe, n'abaana bo, ne mukazi wo, n'abakazi b'abaana bo. 
GEN.6.19	Oliyingiza mu lyato ku buli kiramu ekirina omubiri, bibiri bibiri, ekisajja n'ekikazi, mu ngeri yaabyo, biryoke biwonere wamu naawe. 
GEN.6.20	Oliyingiza buli ngeri y'ebibuuka, ensolo n'ebyewalula, bibiri bibiri bireme okufa. 
GEN.6.21	Naawe weetwalire emmere yonna eriibwa abantu, n'ey'ebitonde ebirala byonna ebirina obulamu ebiri naawe.” 
GEN.6.22	Nuuwa n'akola byonna Katonda bye yamulagira okukola.
GEN.7.1	Mukama n'agamba Nuuwa nti, “Yingira ggwe n'ennyumba yo yonna mu lyato, kubanga nkulabye ng'oli mutuukirivu mu maaso gange mu mulembe guno.
GEN.7.2	Ku buli nsolo nnongoofu, twalako musanvu musanvu, ensajja n'enkazi. Naye ku zitali nnongoofu, twalako bbiri, ensajja n'enkazi yaayo;
GEN.7.3	Era ne ku bibuuka waggulu, twalako musanvu musanvu, ekisajja n'ekikazi; ekika kyabyo kireme okuzikirira okuva ku nsi, 
GEN.7.4	kubanga oluvannyuma lw'ennaku omusanvu nditonnyesa enkuba ku nsi okumala ennaku ana (40), emisana n'ekiro; era ndisangula buli kintu ekiramu kye nnakola okuva ku nsi.”
GEN.7.5	Nuuwa n'akola byonna nga Katonda bwe yamulagira.
GEN.7.6	Nuuwa yalina emyaka lukaaga (600), amataba we gajjira ku nsi. 
GEN.7.7	Nuuwa n'ayingira mu lyato ne mukazi we, n'abaana be, ne bakazi b'abaana be, okuwona amataba. 
GEN.7.8	Ku buli kika kya nsolo ennongoofu n'ezitali nnongoofu, ne ku buli kika ky'ebibuuka mu bbanga, n'eky'ebyewalula ku ttaka, 
GEN.7.9	ne biyingira ne Nuuwa mu lyato, bibiri bibiri, ekisajja n'ekikazi, nga Katonda bwe yalagira Nuuwa. 
GEN.7.10	Bwe waayitawo ennaku musanvu, amataba ne gajja ku nsi. 
GEN.7.11	Mu mwaka ogwolukaaga (600) ogw'obulamu bwa Nuuwa, mu mwezi ogwokubiri, ku lunaku olw'ekkumi n'omusanvu (17), ensulo zonna ez'omu nnyanja ennene ne zizibukuka.
GEN.7.12	Enkuba n'etonnya ku nsi okumala ennaku ana (40), emisana n'ekiro. 
GEN.7.13	Ku lunaku olwo Nuuwa ne mukazi we, n'abaana baabwe: Seemu, Kaamu ne Yafeesi ne bakazi baabwe, ne bayingira mu lyato. 
GEN.7.14	Buli kika kya nsolo entono n'ennene, enfuge n'ez'omu nsiko, na buli kika ky'ebibuuka mu bbanga n'eky'ebyewalula ku ttaka, ne biyingira nabo mu lyato. 
GEN.7.15	Ne biyingira ne Nuuwa mu lyato, bibiri bibiri ku buli ekirina omukka ogw'obulamu.
GEN.7.16	Ebiramu ebyayingira ne Nuuwa byali ekisajja n'ekikazi nga Katonda bwe yamulagira; Mukama n'amuggalira munda.
GEN.7.17	Amataba ne gabeera ku nsi ennaku ana (40); amazzi ne geeyongera obungi ne gasitula eryato okuva ku ttaka. 
GEN.7.18	Amazzi ne geeyongera nnyo ku nsi, ne gabuna wonna, eryato ne liseeyeeya ku ngulu ku mazzi. 
GEN.7.19	Amazzi ne gatumbiira nnyo ku nsi; ne gabuutikira ensozi zonna ezaali zisingira ddala obugulumivu.
GEN.7.20	Amazzi ne gatumbiira emikono kkumi n'etaano (15) okusukka ku ntikko z'ensozi. 
GEN.7.21	Ebiramu byonna ku nsi, omuli ensolo enfuge n'ez'omu nsiko n'ebibuuka mu bbanga, n'abantu bonna, ne bifa.
GEN.7.22	Buli kintu ku nsi ekyalimu omukka ogw'obulamu ne kifa.
GEN.7.23	Mukama n'asangula buli kiramu kyonna ku nsi: abantu, n'ensolo n'ebyewalula ku ttaka, n'ebibuuka mu bbanga. Nuuwa n'asigalawo yekka, n'abo abaali awamu naye mu lyato.
GEN.7.24	Amazzi ne gasigala nga gatumbidde ku nsi okumala ennaku kikumi mu ataano (150).
