GEN.1.1	Tamin’ny fiandohana, fony Andriamanitra nahary ny lanitra sy ny tany
GEN.3.13	–Nahoana ianao no nanao izany?
GEN.3.13	Fa namaly kosa ravehivavy hoe:
GEN.3.13	–Voafitaky ny bibilava aho ka nihinana
GEN.3.14	Dia hoy ny TOMPO Andriamanitra tamin’ny bibilava:
GEN.3.14	–Satria nanao izany ianao, dia ozoniko. Amin’ny biby fiompy sy ny bibidia rehetra, dia ianao ihany no handeha amin’ny kibonao, sady hihinana vovo-tany amin’ny andro rehetra hiainanao. 
GEN.3.15	Hampifankahalaiko ianao sy ny vehivavy, ary ny taranakao sy ny taranany. Ny tarana-behivavy no hanorotoro ny lohanao, ary ianao kosa hanorotoro ny ombalahitongotry ny taranany
GEN.3.16	Avy eo dia hoy ny TOMPO Andriamanitra tamin-dravehivavy:
GEN.3.16	–Hampitomboiko ny fanaintainanao rehefa bevohòka ianao, ary fahoriana no hiterahanao ny zanakao; ny vadinao no hifatraran’ny fanirianao, nefa izy no hifehy anao.
GEN.3.17	Farany ralehilahy na i Adama dia nilazan’ny TOMPO Andriamanitra hoe:
GEN.3.17	–Satria nihaino ny feom-badinao ianao ka nihinana tamin’ny voan-kazo izay efa nandrarako anao tsy hohanina,
GEN.3.17	dia voaozona ny tany noho ny fahadisoanao;
GEN.3.17	tsy maintsy hiasa mafy ianao
GEN.3.17	mba hahazoanao hanina
GEN.3.17	mandritra ny andro rehetra hiainanao.
GEN.3.18	Fa tsilo sy songosongo
GEN.3.18	no hovokarin’ny tany ho anao;
GEN.3.18	ary anana no hohaninao
GEN.3.19	Ny hatsembohan’ny tavanao
GEN.3.19	no hihinananao hanina
GEN.3.19	mandra-piverinao amin’ny tany
GEN.3.19	izay nanalana anao.
GEN.3.19	Fa vovo-tany ianao,
GEN.3.19	ka hiverina ho vovo-tany.
GEN.3.20	Ary ralehilahy nanao ny anaran’ny vadiny hoe Eva, izany hoe Aina, satria izy no renin’ny olombelona rehetra. 
GEN.3.21	Ary ny TOMPO Andriamanitra nanamboatra akanjo hoditra ho an’i Adama sy ny vadiny ka nampiakanjo azy. 
GEN.3.22	Dia hoy ny TOMPO Andriamanitra hoe: «Indro ny olombelona fa efa tonga tahaka ny iray amintsika momba ny fahalalana ny tsara sy ny ratsy; koa ankehitriny, aoka izy tsy haninjitra ny tanany haka ny voan’ny hazon’aina ka hihinana amin’izany, dia ho velona mandrakizay
GEN.3.23	Noho izany, dia noroahin’ny TOMPO Andriamanitra hiala tao an-jaridainan’i Hedena ny olombelona mba handeha hiasa ny tany izay nanalàna azy. 
GEN.3.24	Rehefa avy nandroaka ny olombelona Izy, dia nametraka teo atsinanan’ny zaridaina ireo 
GEN.4.1	Niraisan’i Adama i Eva vadiny, ka nitoe-jaza. Dia niteraka an’i Kaina izy, ary nanao hoe: «Nahazo zazalahy noho ny amin’ny TOMPO aho
GEN.4.2	Dia mbola niteraka an’i Abela rahalahiny koa izy. Ary i Abela dia 
GEN.4.3	Nony tonga ny fotoam-pahavokarana, dia nitondran’i Kaina fanatitra ho an’ny TOMPO ireo vokatry ny tany. 
GEN.4.4	I Abela koa nitondra ireo voalohan-teraky ny ondriny hatao 
GEN.4.5	fa tsy nankasitraka kosa an’i Kaina sy ny fanatiny; koa tezitra mafy i Kaina sady nanjombona tarehy. 
GEN.4.6	Ary hoy ny TOMPO tamin’i Kaina:
GEN.4.6	–Nahoana no tezitra sady manjombona tarehy ianao? Raha manao ny tsara ianao, moa tsy hahatraka? 
GEN.4.7	Fa raha tsy izany, dia toy ny biby mamitsaka eo am-baravaranao ny ota. Te hanapaka anao izy, kanefa ianao no tokony hifehy azy.
GEN.4.8	Dia hoy i Kaina tamin’i Abela rahalahiny:
GEN.4.8	–Andeha isika ho any an-tsaha.
GEN.4.8	Nony mby tany an-tsaha izy ireo, dia niantoraka teny amin’i Abela rahalahiny i Kaina ka namono nahafaty azy
GEN.4.9	Ary ny TOMPO nanontany an’i Kaina hoe:
GEN.4.9	–Aiza moa i Abela rahalahinao?
GEN.4.9	Dia hoy i Kaina hoe:
GEN.4.9	–Tsy fantatro! Moa mpitandrina ny rahalahiko va aho?
GEN.4.10	Fa hoy kosa ny TOMPO hoe:
GEN.4.10	–Inona ity nataonao? Ny feon’ny ran’ny rahalahinao
GEN.4.11	Ankehitriny dia manozona anao ny tany izay misokatra hitelina ny ran’ny rahalahinao. 
GEN.4.12	Raha hamboly ny tany ianao, dia tsy hanome vokatra ho anao intsony izy; ka dia ho mpitsoa-ponenana sy ho mpirenireny eny ambonin’ny tany ianao.
GEN.4.13	Dia niteny tamin’ny TOMPO i Kaina hoe:
GEN.4.13	–Mavesatra loatra ny heloko! 
GEN.4.14	Indro roahinao hiala eo amin’ny tany mahavokatra aho ankehitriny, ka tsy maintsy hiery lavitra Anao; ho mpitsoa-ponenana sy ho mpirenireny eny ambonin’ny tany aho, ka izay rehetra mahita ahy dia hamono ahy ho faty!
GEN.4.15	Fa namaly azy ny TOMPO hoe:
GEN.4.15	–Tsia, fa na iza na iza mamono anao ho faty, dia hovaliana impito heny.
GEN.4.15	Dia nametrahan’ny TOMPO famantarana teo amin’i Kaina mba tsy hisy hamono azy ho faty izay mifanena aminy. 
GEN.4.16	Ary niala teo anatrehan’ny TOMPO i Kaina, ka nonina tao amin’ny tanin’i Nôda
GEN.4.17	Niraisan’i Kaina ny vadiny, dia nitoe-jaza ka niteraka an’i Henôka. Dia nanorina tanàna i Kaina, ka nampitondrainy ny anaran’i Henôka zanany lahy. 
GEN.4.18	I Henôka no ray niteraka an’i Hirada; i Hirada no ray niteraka an’i Mehojaela; i Mehojaela no ray niteraka an’i Metosaela; ary i Metosaela kosa no ray niteraka an’i Lamèka.
GEN.4.19	Nanambady anankiroa i Lamèka: ny voalohany dia natao hoe Hadà, ary ny faharoa nantsoina hoe Tsilà. 
GEN.4.20	I Hadà dia niteraka an’i Jabala: io no razamben’ireo mpitoetra an-day miaraka amin’ny biby fiompy. 
GEN.4.21	Nisy rahalahiny natao hoe Jobala, io no razamben’ireo rehetra mpitendry kabôsy sy mpitsoka sodina. 
GEN.4.22	I Tsilà kosa dia niteraka an’i Tobala-Kaina izay mpanefy ny zava-maranitra rehetra vita amin’ny varahina na vy
GEN.4.23	Hoy i Lamèka tamin’ny vadiny:
GEN.4.23	–Ry i Hadà sy i Tsilà ô, henoy aho!
GEN.4.23	Ry vadin’i Lamèka,
GEN.4.23	atongilano ny sofinareo amin’ny teniko:
GEN.4.23	Namono nahafaty olona aho satria nokapohiny,
GEN.4.23	ary namono nahafaty tovolahy aho satria noratrainy.
GEN.4.24	Raha valiana fito heny
GEN.4.24	izay mahafaty an’i Kaina,
GEN.4.24	dia hovaliana 77 heny kosa
GEN.4.24	izay mamono mahafaty an’i Lamèka.
GEN.4.25	Ary i Adama sy ny vadiny dia mbola nanan-janaka iray hafa koa, ka ny anarany dia nataon’i Eva hoe Seta, satria hoy izy hoe:
GEN.4.25	–Nomen’Andriamanitra zanakalahy hafa indray aho ity ho solon’i Abela izay novonoin’i Kaina ho faty
GEN.4.26	Ary i Seta kosa niteraka lahy nantsoiny hoe Enôsa. Hatreo vao nivavaka tamin’Andriamanitra ny olona ka niantso Azy hoe TOMPO.
GEN.5.1	Ity no lisitry ny taranak’i Adama:
GEN.5.1	Tamin’ny andro naharian’Andriamanitra ny olombelona, dia nataon’Andriamanitra manahaka Azy ny olombelona. 
GEN.5.2	Lehilahy sy vehivavy no nahariany azy, dia 
GEN.5.3	Rehefa feno 130 taona i Adama, dia niteraka zazalahy manahaka azy sy mitovy endrika aminy ary nantsoiny hoe Seta. 
GEN.5.4	Taorian’ny nahaterahan’i Seta, dia mbola velona nandritra ny 800 taona i Adama, ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.5	Nisy 930 taona ny andro rehetra niainan’i Adama, dia maty izy.
GEN.5.6	Rehefa feno 105 taona i Seta, dia niteraka an’i Enôsa. 
GEN.5.7	Taorian’ny nahaterahan’i Enôsa, dia mbola velona nandritra ny 807 taona i Seta, ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.8	Nisy 912 taona ny andro rehetra niainan’i Seta, dia maty izy.
GEN.5.9	Rehefa feno 90 taona i Enôsa, dia niteraka an’i Kenàna. 
GEN.5.10	Taorian’ny nahaterahan’i Kenàna, dia mbola velona nandritra ny 815 taona i Enôsa, ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.11	Nisy 905 taona ny andro rehetra niainan’i Enôsa, dia maty izy.
GEN.5.12	Rehefa feno 70 taona i Kenàna, dia niteraka an’i Mahalalèla. 
GEN.5.13	Taorian’ny nahaterahan’i Mahalalèla, dia mbola velona 840 taona i Kanàna, ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.14	Nisy 910 taona ny andro rehetra niainan’i Kenàna, dia maty izy.
GEN.5.15	Rehefa feno 65 taona i Mahalalèla, dia niteraka an’i Jerada. 
GEN.5.16	Taorian’ny nahaterahan’i Jereda, dia mbola velona nandritra ny 830 taona i Mahalalèla, ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.17	Nisy 895 taona ny andro rehetra niainan’i Mahalalèla, dia maty izy.
GEN.5.18	Rehefa feno 162 taona i Jereda, dia niteraka an’i Henôka. 
GEN.5.19	Taorian’ny nahaterahan’i Henôka, dia mbola velona 800 taona i Jereda, ary niteraka zanaka lahy sy zanaka vavy maro. 
GEN.5.20	Nisy 962 taona ny andro rehetra niainan’i Jereda, dia maty izy.
GEN.5.21	Rehefa feno 65 taona i Henôka, dia niteraka an’i Metosèla
GEN.5.22	Ary niara-nandeha tamin’Andriamanitra i Henôka, ka taorian’ny nahaterahan’i Metosèla dia mbola velona 300 taona izy ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.23	Nisy 365 taona ny andro rehetra niainan’i Henôka
GEN.5.24	Niara-nandeha tamin’Andriamanitra izy; ary tsy hita izy satria nalain’Andriamanitra ho any aminy.
GEN.5.25	Rehefa feno 187 taona i Metosèla, dia niteraka an’i Lamèka. 
GEN.5.26	Taorian’ny nahaterahan’i Lamèka, dia mbola velona nandritra ny 782 taona i Metosèla ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.27	Nisy 969 taona ny andro rehetra niainan’i Metosèla, dia maty izy.
GEN.5.28	Rehefa feno 182 taona i Lamèka, dia niteraka zazalahy, 
GEN.5.29	ary ny anarany nataony hoe Noà, fa hoy izy hoe:
GEN.5.29	–Ity no hampionona anay
GEN.5.30	Taorian’ny nahaterahan’i Noà, dia mbola velona 595 taona i Lamèka, ary niteraka zanakalahy sy zanakavavy maro. 
GEN.5.31	Nisy 777 taona ny andro rehetra niainan’i Lamèka, dia maty izy.
GEN.5.32	Efa 500 taona i Noà raha niteraka an’i Sema sy i Hama ary i Jafeta.
GEN.6.1	Ary rehefa nanomboka nihamaro ny olona teto ambonin’ny tany ka niteraka zazavavy maro, 
GEN.6.2	dia hitan’ireo zanakalahin’andriamanitra fa tsara tarehy ireny zazavavy ireny, ka nifidianany izay ho vadiny.
GEN.6.3	Koa hoy ny TOMPO hoe: «Tsy hitoetra mandrakariva ao amin’ny olona ny Fanahiko noho ny faniasiavany; amin’ny maha nofo azy dia ho 120 taona ny andro iainany.»
GEN.6.4	Tamin’izany fotoana izany no nisian’ireo rapeton’olona goavambe teto an-tany, ary mbola nisy koa aza tonga taty aoriana
GEN.6.5	Ary hitan’ny TOMPO fa nitombo haratsiana ny olombelona teto an-tany, ka ny faniriana rehetra tao am-pony dia nirona ho amin’ny ratsy ihany mandavanandro. 
GEN.6.6	Koa nanenina IZY ary nalahelo ny fony tamin’ny nanaovany ny olombelona teto ambonin’ny tany. 
GEN.6.7	Dia hoy IZY hoe: «Hofoanako tsy hisy ambonin’ny tany ny olombelona izay noarîko sy ny biby rehetra na lehibe na kely, hatramin’ny voro-manidina, satria manenina Aho tamin’ny nanaovako ireo.» 
GEN.6.8	Fa i Noà kosa nahita famindrampo teo imason’ny TOMPO
GEN.6.9	Izao no tantaran’i Noà: i Noà dia lehilahy marina sady tsy nisy tsiny tamin’ireo mpiara-belona taminy, fa niara-nandeha tamin’Andriamanitra
GEN.6.10	Telo lahy ny naterak’i Noà, dia i Sema sy i Hama ary i Jafeta.
GEN.6.11	Teo anatrehan’Andriamanitra dia efa nihalò ny mponin’ny tany sady feno herisetra. 
GEN.6.12	Nijery Izy ka indro feno fahalovana ny tany, satria ny olombelona rehetra tambonin’ny tany no efa nanimba ny fitondrantenany avy. 
GEN.6.13	Dia hoy Andriamanitra tamin’i Noà: «Tapa-kevitra aho handringana ny olombelona. Fa noho ny aminy dia feno herisetra ny tany, koa hofongorako eto an-tany izy. 
GEN.6.14	Noho izany, manaova fiara ho anao, mitovy amin’ny sambo lehibe vita amin’ny hazo kipreso, dia asio efitrefitra ka hosory dity ao anatiny sy eo ivelany. 
GEN.6.15	Izao no hanaovanao azy: 150 metatra ny halavany, 25 metatra ny sakany ary 15 metatra ny haavony. 
GEN.6.16	Tafoy izy, ka asio elanelany antsasa-metatra eo amin’ny tafo sy ny rindrin-kazo; voleo varavarana amin’ny lafiny iray, ary asio rihana telo ny sambofiara. 
GEN.6.17	Indro Aho hahatonga safo-drano lehibe mba hamongorana izay rehetra manana aina atỳ ambany lanitra, ka ho levona avokoa izay rehetra eny ambonin’ny tany. 
GEN.6.18	Fa hajoroko kosa ny fanekempihavanako aminao
GEN.6.19	Itondray tsiroaroa avy ny zava-mananaina rehetra isan-karazany, dia lahy sy vavy; ka ampidiro ao an-tsambofiara mba hovelomina miaraka aminao. 
GEN.6.20	Ny vorona isan-karazany ary ny biby hafa rehetra isan-karazany eto an-tany, na lehibe na kely, no hankeo aminao tsiroaroa mba hovelomina. 
GEN.6.21	Ianao kosa, maka amin’ny karazan-tsakafo rehetra mety ho fihinana, ka angony eo aminao mba ho sakafonao sy ho sakafon’izy ireo koa.» 
GEN.6.22	Dia notanterahin’i Noà izany; ka araka izay rehetra efa nandidian’Andriamanitra azy no nataony
GEN.7.1	Hoy ny TOMPO tamin’i Noà:
GEN.7.1	–Midira ao anatin’ny sambofiara ianao sy ny ankohonanao, satria ianao irery no hitako fa marina teo anatrehako tamin’izao taranaka izao. 
GEN.7.2	Makà biby 
GEN.7.3	toy izany koa ny amin’ny voro-manidina, makà mpivady fito isaky ny karazany avy: dia mba samy hamelona taranaka eo amin’ny velaran’ny tany tontolo ireny. 
GEN.7.4	Fa herinandro sisa dia hampilatsaka ranonorana mandritra ny efapolo andro sy efapolo alina amin’ny tany Aho, ka hofoanako eo amin’ny velaran’ny tany ireo zava-mananaina rehetra nataoko.
GEN.7.5	Dia nataon’i Noà izay rehetra nandidian’ny TOMPO azy
GEN.7.6	Feno 600 taona i Noà raha tonga ny safo-drano lehibe teto ambonin’ny tany. 
GEN.7.7	Niditra tao anaty sambofiara izy mbamin’ny vady aman-janany ary ireo vinantovaviny mba tsy ho tratry ny safo-drano
GEN.7.8	Ny biby 
GEN.7.9	dia tonga tsiroaroa, lahy sy vavy, nankao amin’i Noà tao amin’ny sambofiara araka izay efa nandidian’Andriamanitra an’i Noà. 
GEN.7.10	Nony afaka herinandro dia safotry ny ranobe ny tany.
GEN.7.11	Iny faha-600 taona niainan’i Noà iny, tamin’ny volana faharoa, andro faha-17, dia niboiboika be ny rano avy any ambanin’ny tany tamin’ireo loharano rehetra, ary nivoha nidanadana ny varavaran’ny lanitra
GEN.7.12	Dia avy be ny orana teny ambonin’ny tany nandritra ny efapolo andro sy efapolo alina. 
GEN.7.13	Tamin’io andro io no niditra tao amin’ny sambofiara i Noà sy ny vadiny ary koa i Sema sy i Hama ary i Jafeta zanany lahy mbamin’ireo vinantovaviny telo; 
GEN.7.14	niditra tao koa ireo bibidia amam-biby fiompy rehetra isan-karazany sy ireo bibikely rehetra isan-karazany mihetsiketsika ambonin’ny tany mbamin’ireo voro-manidina rehetra isan-karazany sy ireo bibikely rehetra manana elatra. 
GEN.7.15	Samy tonga tsiroaroa teo amin’i Noà tao anatin’ny sambofiara ireo voaary rehetra manam-pofonaina. 
GEN.7.16	Lahy sy vavy tamin’ireo zava-mananaina rehetra ireo no niditra tao, araka izay efa nandidian’Andriamanitra an’i Noà. Avy eo dia nohidin’ny TOMPO ny varavarana.
GEN.7.17	Naharitra efapolo andro ny safo-drano teny ambonin’ny tany. Rehefa nitombo ny rano, dia nanainga ny sambofiara, hitsinkafona hiala amin’ny tany. 
GEN.7.18	Ary nihanahery ny rano sady nitombo be dia be, ka dia nandeha teny ambony rano ny sambofiara. 
