MAT.1.2	Abraham Isak ka abatii, ho Isak Jakob ka aba, ho Jakob Juda la mohka anuabañ atañka aba, 
MAT.2.7	Ho Herod chiniimiyu atañmi gyosila gyokuñtii ho takḛr ka linniiñ myodu jami mohluko hokii tagiitii; 
MAT.2.8	ho mo mohlumi Betlehem ho kiiniñtii, lubiidola, “Inge ho hempḛr ayapa wiinga mi menge, ho niida mepa talyi ngiimi luko lyape, niimpalukoda ngo miilañ ila mohmi herii talyila.” 
MAT.2.9	Ho mohlu radde kokii tagiikula mohlu mohluka lemboho intiiku, ho kato, mohluka takḛr danyichaggo hoka kapaniihii mohluka hata dalyi ila dotii, nohna wiinga butola donii ho lohepa tiimo mapa inkañtii. 
MAT.2.10	Mohlu takḛr mi kappa lala, mohlu hempḛr hempyo biidola sotii; 
MAT.2.11	ho ude uraho ahbiila mohlu wiinga mi mohka annii Mary agiñho kappatii, ho mohlu giihitii ho herii nyatii. Hiika hiibaho, mohluka drih mi khako lala, mohlu ahmiñayiñ bitii, ayyiñ ho narunempyo kutu ho mirr. 
MAT.2.12	 Ho mohlumi Herod ko ahkur lyaku yo hala emmako lubii lyinii, mohlu lembo byahe yapa atoh ganda ho intiiku.
MAT.2.13	Siisi mohluka inne kuho, kato, Attoh ka miidopopi Josep ka emmako ahtii ho lutii, “Gurito, wiinga la mohka annii nyimi ingiila, ho Egip ho hargii he, ho ngiika luko menda hemi ho duhe; niimpalukoda Herod wiinga mi mehpa miido ke, mohmi mempa dupa.” 
MAT.2.14	Ho mo guri biila ho wiinga la mohka annii nyimi ayoh liipa ho gyogiitii, ho Egip ho hargii tii, 
MAT.2.15	ho Herod ka shiimiñ da hemi ho dutii. Siikasi Attoh ka nyibuhenii mi luna nala luniiñmi lyipe kiine dupa lyitii, “Egip hokii ngo ngiika wiinga mi gyoliñ tii.”
MAT.2.16	Ho Herod, chiniimiyu atañ mohmi gollutii byomi hiila chila lala, hempḛr hadiitii, ho mo kiiniñtii ho hikha milobo atu budu ronye malo hiimika ajañ yami menge Betlehem ho hikha aruñare hoka dunii hemi, chiniimiyu kokii niihtañpa mo tapa tii hiika myodu jami khiirii biidola miike nentii. 
MAT.2.17	Ho hii lyipetii nii hiilana nyibuhenii Jeremiah lutiinii:
MAT.2.18	“Ramah ho aguñ gonge tapatii,
MAT.2.18	hempḛr heru ho goro paka kheniiñ mi.
MAT.2.18	Rachel mohka oho atañpa khetii;
MAT.2.18	mo myaniiñ mi tama tii,
MAT.2.18	niimpalukoda mohlu nyiku matii.”
MAT.2.20	“Gurito, wiinga la mohka annii nyimi ingii kula, ho Isrel ka kiiddi ho ingeku, niimpalukoda wiinga ka sango mika mehniibo shiine kuke.” 
MAT.2.21	Ho mo guri tiiku ho wiinga la mohka annii nyimi ingii kula, ho Isrel ka kiiddi ho intiiku. 
MAT.2.22	Hojalopa mo Arkelas Judia mi sangiigyagii niipa dusi duku mohka aba Herod ka dukoho hiila tapalala, mo hiikoho biisola ahkur nanku matii, ho mohmi emmako luluñ bulyinii mo Galili ka gandachie ho ingu giitii. 
MAT.2.23	Ho mo ila ho Nazaret hiiniiñ citi ho dutii, niimpalukoda nii hiila na nyibuhenii atañ lutii nii hiimi lyipe kiine dupa, “Mohmi Nazarene hiila gyokiñdo.”
MAT.3.2	 “Henkur nyato, niimpalukoda dariiganda ka raddeganda hii alahho dokuke.” 
MAT.3.3	Niimpalukoda siikasi hiike humina nyibuhenii Aijaya lutiinii,
MAT.3.3	“Zabyo ho kone gyula do,
MAT.3.3	Attoh pa lembo miimyo binyato,
MAT.3.3	mohka lembomi pardapa miibito”.
MAT.3.4	Siisi Jon uth ka ammu hokii abitarii giitii, ho ahu giigya ho siilyo hokii huriñ pa tiigiitii, ho mohka diigo hii kormu la morey tangualha tii. 
MAT.3.5	Hiika hiiba ho Jerusalem ho hikha Judia ganda hokii ho Jordan biilyo biicho daka ganda miilañ hokii ahnyatii, 
MAT.3.6	ho mohlu mohlo baptisma bikotii Jordan kiiley ho, mohluka ingyamiigya mi khako siibii dola.
MAT.3.8	Henkur giiniika ahee ya hinya to, 
MAT.3.9	ho nunu atoh-atoh lusu nyayo, ‘Ngunukii Abraham du ngunuka aba pa’; niimpalukoda ngo nunumi lukoso, Pinii siika yalañ miilañ sokii tula la Abraham ka oho-asi pa miila kendoke. 
MAT.3.10	Siisi jalo yahii mi tellii tola do sannii atañka liima ho; sannii buhe abi aya ahee hima niimi papa lala ho yamu ho golii kendo.
MAT.3.11	“Ngo nunumi yasie lo baptisma bidu henkur kiine dupa, hojalo ngiika kiiliñ hoka ahnii bo ngiimi tamo-chikho yanii; ngo mohka nyotananii mika biilya binii patḛr lyima. Mo nunumi Darii Yajiyallo la yamu lo baptisma bikiñ doke. 
MAT.3.12	Mohka yapyo mi mohka alah ho biido, ho mohka amoo piniiñ mi kheppa dupa ho emmo abiñ mi nesu ho atii dupa, hojalo asuh atañmi lyame lamanii yamu ho hompa kendo.”
MAT.3.14	Jon mohmi lutiñ lakiñ tii, lubiidola, “Noloya ngo baptisma biko kendo, ho noyapo ngiiko ahlyi nii?” 
MAT.3.15	Hojalo Jisu mohmi lusitii, “Siimi hala lyilya kiineto siisi; niimpalukoda sichulipa ngunu miido kodake miidiko jaho miigomi miipe kendonii.” Ho mo talii biido. 
MAT.3.16	Ho Jisu baptisma laku lala, mo ohepada yasie hokii chatiiku, ho kato, yapuñ hii betchetii ho mo Pinii ka Yajiyallo mi pakoo chulipa gohi dopa kappatii, ho mohmi yamu chulipa byokhe tii; 
MAT.3.17	ho kato, aguñ gonge yapuñ hokii luliñdo, lubiidola, “Siikasi ngiika heniiñja oho,
MAT.4.2	Ho mo allo loalyañpiilye ho ayoh yoalyañpiilye nyotii, hiika hiiba ho mo haya ritii. 
MAT.4.3	Ho tenkalarka bo ahtii ho mohmi lutii, “No Pinii ka Oho milo, siika yalañ siimi luto yatañ pa lyito hiila.” 
MAT.4.4	Hojalo mo lusitii, Hiila ketola do,
MAT.4.4	Miyu diigo diila kontii samake,
MAT.4.4	hojalo kapane Pinii ka aguñ hoka goliñ niiloke.
MAT.4.6	ho mohmi lutii, No matiirḛ Pinii ka Oho milo, sokiila no huhi huka he; niimpalukoda hiila ketola do,
MAT.4.6	Mo mohka miidopopi atañmi niipa lubi kendoke, ho
MAT.4.6	Mohluka alah lo niimi mohlu jotu biilyi diike,
MAT.4.6	hiilamakoda niika ludu mi yalañ ho tiilyido.
MAT.4.7	Jisu mohmi lutii, “Hiira hiila ketola do, ‘Nunu tenkala miiyo Attoh niika Pinii mi.’” 
MAT.4.8	Hiira, igii mohmi hempḛr putoo ohoh ho chagiitii, ho hikha kiiddiapiñ daka raddeganda mi kakiñtii ho hiika halyiñ milyiñ kapyo mi; 
MAT.4.9	ho mo mohmi lutii, “Hikha siika atañmi niimi biso, no matiirḛ giihala ho ngiimi herii lyimi lo.” 
MAT.4.10	Ho Jisu mohmi lutii, “Dasato, Saitan! Niimpalukoda hiila ketola do,
MAT.4.10	‘Nunu niika Attoh Pinii mi kontii heriito
MAT.4.10	ho mohmi kontii miihoto.’”
MAT.4.13	ho Nazaret mi apatela mo intii ho Keparnam siimie aruñhopa ahla hiiko dutii, Zebulun la Naptali ka gandaho, 
MAT.4.14	niimpalukoda nii hiilana nyibuhenii Aijaya lutiinii hiimi lyipe kiine dupa:
MAT.4.15	“Zebulun ka kiiddi ho, Naptali ka kiiddi ho,
MAT.4.15	siimie dalyi pa ahbiila, Jordan mi impo biila,
MAT.4.15	Midomiyu atañka Galili ho
MAT.4.16	kamo hoka miyu dunii atañ
MAT.4.16	hempḛr uro hutoh kappatii,
MAT.4.16	ho hutiina hiika ganda siiko ho dutiinii
MAT.4.16	ho hutiina shiigo ubuho dunya tiinii
MAT.4.16	hutoh byohu bitii.”
MAT.4.19	Ho mo moanye mi lutii, “Ngiika kiiliñho imboto, ho ngo niinyimi miyu atañmika gyoniipa miiso.” 
MAT.4.20	Nyibyaloda mo anye pakhe mi apatela ho mohmi imbo montii.
MAT.4.21	Ho hiiko hokii inku kiile mo koneya anuabañ anye, Jems Zebedi ka oho la mohka anu Jon nyimi kappatii, hulu ho mo anye ka aba Zebedi ka agiñho, pakhe mi miitila dutii, ho mo mohlumi gyotii. 
MAT.4.22	Nyibyaloda mo anye hulu la mo anye ka aba mi apatela, ho mohmi imbo montii.
MAT.4.24	Hopa mohka tatukatu mi hikha Sairia ho tapa tatii patii, ho mohlu hikha achih niimi mohko ahgii bitii, huna une giila ho achihnii, jarpiñ konii, tahisiitiñ nii, ho liikuñnii atañ, ho mo mohlumi miipya bitii. 
MAT.4.25	Ho hempḛr miyu taro mohmi imbomontii Galili hokii, ho Lemba polyañhe hokii ho Jerusalem ho Judia ho Jordan ka kiiliñ dalyi hokii miilañ.
MAT.5.2	Ho mo aguñ luritii, ho mohlumi tonsḛrtii, lubiidola:
MAT.5.5	Lyanko kendo yanu atañ, niimpalukoda mohlu kiiddiapiñ mi penko kendo.
MAT.5.7	Lyanko kendo aroh-aya nii atañ, niimpalukoda mohlu aroh-aya mi pakiñ do.
MAT.5.9	Lyanko kendo chimie dopa lulyañ nii atañ, niimpalukoda mohlumi Pinii ka oho hiila lukiñ do.
MAT.5.11	Lyanko kendo nunu niida miyu atañlo ahiare ho miihimiire ho kapane ayamanii ngiika piigopa khiilii kochi. 
MAT.5.12	 Soto ho hempyo to, niimpalukoda niika ahmiñayiñ hii kayeke dariiganda ho, niimpalukoda si chulipa miyuatañ nunumika kapyo yapaka nyibuhenii atañ mitrḛ miihimiiretii.
MAT.5.15	 Malo miyuatañ muru tige lala yagii ura ho atii ma, hojalo ahii kosu ahii siidunii, ho hiikahii hikha ude mi hutoh byohudu. 
MAT.5.16	Si chulipa niika hutoh mitrḛ miyu atañka hataho byohu kiineto, niimpalukoda niika aya miigo miiniiñmi mohlumi kala lala ho niika Aba dariiganda hoka duniimi assañ kiine dupa.
MAT.5.17	Hiila heyo ngo dapo mi malo nyibuhenii atañmi lapadupa ahdo hiila; Ngo lapa dupa make hiimi miipe dupake ahdunii. 
MAT.5.18	Niimpalukoda jijeloda, ngo nunumi lukoso, nii dahepa dariiganda la kiiddiapiñ nyi lyute ma, petu pere tiirḛ, pechi pere tiirḛ pagenii dapo hokii, lyukiñ ma nii dahepa hikha lyipe tama. 
MAT.5.19	Hu jalopa siika lujju biniiñ hokii petu pere jalo lapa talyi ho miyu atañmi tonsḛr tonkha talyi, dariiganda ka raddeganda ho khiimanii japa lyikiñ do; hojalopa huna hiimi miidonii ho mohlumi tonsḛr talyi nii dariiganda ka raddeganda ho khiiniiñ japa lyikiñ do. 
MAT.5.20	Niimpalukoda Ngo lukoso nunumi, nii dahepa niika denki hii siika pagenii atañ la Parisi atañmi uro yate ma, nunu iche tiirḛ dariiganda ka raddeganda ho ahla kemma.
MAT.5.21	Nunu hiila tapa tiido bilo ayu hoka luto laka doniimi, No mellya yo; ho huna menchinii hii ayakacho kalyi kuho pahañ halii kokiñdo. 
MAT.5.22	Hojalopa Ngo nunumi luduke koneabi huna atoh anuabañ mi hadii talyinii pahañ halii kodopa lyido; hu jalopa nyapakoya talyi mohka anuabañ mi pahañ halii kokiñdo bulyañ lo, ho hujalo luchi, No piicha! yamuganda ho jolo kokiñdo. 
MAT.5.23	Hopa nunu matiirḛ yugyañ ho ahmiñayiñ bido koda, ho hiikoho ngiika anuabañ hadiine ngiimi hiila hempa lyimilo, 
MAT.5.24	niika ahmiñayiñ mi yugyañ ho apatela ho inge; kapyopa niika anuabañ mi lyarnge kurañ, ho ahkur kula niika ahmiñayiñ mi bito. 
MAT.5.25	 Nyibyaloda pa yardiñ siito kulya nunumika yalu luliñ bomi, mo agiñho gondu lusuko impa ilyila, hiila mapa yalu luliñ koniilo nunu ayakacho kaniiko tiilii kodiike, ho ayakacho kanii atañlo sipahi ko, ho nunumi pattiih ude ho alii lyidiike; 
MAT.5.26	Jijeloda, Ngo nunumi lukoso, nunu lila kengku ma lodake nii dahepa nunu bime bijalye dapo tusa niimi bitema.
MAT.5.27	Nunu hiila tapa tiido luto laka doniimi, nunu ipfyo yayo. 
MAT.5.28	Hojalopa Ngo nunumi ludu hujalopa nyimii mi kalyikabyo la kadi talyi hii ipfyo tiiku mohka ahha ho hiika nyimii ka agiñho. 
MAT.5.29	 Nunuka mihbi amee matiirḛ ingyamiigya giido milo, hiimi harpa lila la ho ripato; hiika hii amee puhe giima niiya aya yadoke hikha apo mi yamuganda hoka togii saniiñmi hentola. 
MAT.5.30	Ho nunuka lahbi alah matiirḛ nunumi ingyamiigya giido milo, hiimi papa lala ho ripato; hiika hii alah buhe giima niiya aya yadoke hikha apo mi yamuganda hoka togii saniiñmi hentola.
MAT.5.32	Hojalo Ngo nunumi ludu hujalopa atohka mihie mi byasu talyi, ipfyo niimi apa lala, hii mohmi ipfyo dopa miipa biido, ho huna mihie millo byasu niimi mihie pa lachinii hii ipfyo doku.
MAT.5.34	Hojalopa Ngo nunumi ludu, Iche tiirḛ hemme yayo, dariiganda mi lumu nambii dola, niimpalukoda siikasi Pinii ka akho byopa ke, 
MAT.5.35	 malo kiiddi apiñ mitrḛ, niimpalukoda si mohka alih dagiñ nangkoke, malo Jerusalem mi, niimpalukoda siikasi hempḛr Raddekaye ka citi ke. 
MAT.5.36	Ho nunuka dinta mitrḛ hemme nayo, niimpalukoda nunu dimmu sohe mitrḛ puloo malo jih dopa miila kemmake. 
MAT.5.37	Nunuka luliñnii ḛh milo ḛh malo ma milo ma; siika siimi uro yapa luliñ dokoda hii diimmah
MAT.5.38	Nunu tapa tiido hiila lutola do, Amee koda amee ho aih koda aih. 
MAT.5.39	Hojalopa Ngo nunumi ludu, iche hetrḛ miitḛr siilyayo huna miichi miiho donii. Hojalo nunumi matiirḛ lahbi dalyi moru ho mi pita lyimilo, mohmi pache dalyi miilañmi mohii bitolya; 
MAT.5.40	ho mi matiirḛ niikiimi chechepa nunuka tariimi biilyi milo, nunuka abi mitrḛ bitolya; 
MAT.5.41	ho mi matiirḛ nunumi chechepa nyatu pohe inge lulyi milo nyatu ponye imbi tolya. 
MAT.5.42	Bitolya huna nunumi bipe hiila kudo nii, ho ma hiila lulyayo mohmi huna niiko hokii nalya donii.
MAT.5.44	Hojalo Ngo nunumi ludu, Nunuka ahha banii atañmi hento ho kubitolya nunumika miihimiire miinii atañpa, 
MAT.5.45	niimpalukoda nunu nunuka dariiganda daka Aba ka oho pa lyidupa; niimpalukoda mo mohka danyi mi ingyamiigya mitrḛ ho denki mitrḛ byohu kiinedu, ho miido hukhe kiinedu denki mitrḛ ho ingyamiigya mitrḛ. 
MAT.5.46	Niimpalukoda nunu matiirḛ nunumika hennii mi kontii hensi dokoda, nii ajunii nunuko do? Si chulipa tiicko myanii atañ tiirḛ miinya siimasa ehna? 
MAT.5.47	Ho nunu matiirḛ nunuka anuabañ mi kontii ayahelyi la ludo koda, nunu mihmi uro yapa nii miitii? Si chulipa Midomiyu atañ tiirḛ miinya siimasa? 
MAT.5.48	Nunu, hopa, digoabiayato, niihtañpa niika dariiganda daka Aba tiirḛ digoabiaya ke.
MAT.6.2	Hopa, niidajalo nunu biliñ talyi, nunuka hataho siirii gyuke nelyayo, apukahi atañka sinagog ho lembo hoka miichañ ho, mohlu miyu atañlo assañ kodupa hiila miida. Jijeloda, Ngo nunumi lukoso, mohlu mohlupa ka ajunii juniimi latiiku. 
MAT.6.3	Hojalo nunuka biliñ lyiho, nunuka lahchi alah mitrḛ chinke neyo nunuka lahbi alah loka miiniiñmi, 
MAT.6.4	niimpalukoda nunuka biniiñ mi bisie la bito, ho nunuka Aba bisie laka biniiñ mi kalala mo nunumi ajunii juniimi bikiñ doke.
MAT.6.6	Hojalo niida nunu kuchi, nunuka chidiiho ingekula ho alyeh mi miipiñ lala ho kuto nunuka Aba mi huna tasiela tala dunii; ho nunuka Aba tasiela tala lala nunumi ajunii juniimi jubi kendoke.
MAT.6.7	Nunuka kulyiho piigo amapa Midomiyu atañka miichañ ho miiyo; niimpalukoda mohlu hiila hendu mohluka hempḛr obyo paka luniiñmi talii lyido hiila. 
MAT.6.8	Mohlu chulipa lyiyo, niimpalukoda nunuka Aba nunuka kuma rampa nunuka anna niimi chindoke. 
MAT.6.9	Si chulipa kuto:
MAT.6.9	Dariiganda hoka duniibo ngunuka Aba,
MAT.6.9	Niika armyañ mi kaye kiinesa.
MAT.6.10	Niika raddeganda mi ahke nento.
MAT.6.10	Niika henko doke nento,
MAT.6.10	kiiddiapiñ so niihtañpa dariiganda ho do.
MAT.6.11	Dumiñ ka ngunu diijumi mi siilo bipe;
MAT.6.12	Ho ngunuka gyandimi hello kupe,
MAT.6.12	Niihtañpa ngunu tiirḛ ngunu kokiika giinii bomi hello bitii;
MAT.6.13	hojalo ayamanii hokii ngunumi tupyape.
MAT.6.15	hojalo nunu matiirḛ mihmi mohluka palle miiniiñmi hello makoda, nunuka Aba tiirḛ nunuka palle miiniiñmi hello kemma.
MAT.6.16	Ho niida nunu nyochi, heru busu kapa kakiñyo, apukahi hiilyañ, niimpalukoda mohlu mohluka nyimo mi moyo rusu dukiñla mihmi nyodo hiila kakiñdu. Jijeloda, Ngo nunumi lukoso, mohlupa ka ajunii juniimi mohlu latiiku. 
MAT.6.17	Hojalo nunuka nyolyiho, nunuka adiñho kutu negii tolya ho nyimo harsu tolya, 
MAT.6.18	nunuka nyoniiñ mi miyu atañlo kala koyo hojalo nunuka Aba lo huna kasiela kala dunii; ho nunuka Aba kasie laka kala dunii nunumi ajunii jubi kendoke.
MAT.6.20	hojalo nunuka alḛrdrih mi dariiganda hoya atii tiikuñto, nohna tagyu tiirḛ pulama ho harti tiirḛ ahlama ho diipyonii tiirḛ ahla ho diipyo lama. 
MAT.6.21	Niimpalukoda noh nunuka alḛrdrih do, hiikaho nunuka ahha tiirḛ dobodo.
MAT.6.23	hojalo nunuka amee matiirḛ kagya dokoda, nunuka hikha apo hii kamo ramba dokiñdo. Nunu koka muru matiirḛ kamola dokoda, nekane kamo kendo!
MAT.6.26	Yapuñ daka piita gonii atañmi kato; mohlu lilo tiirḛ lilo ma ho amoo tiirḛ pima ho nesu hotiirḛ bakuñ ma, hojalopa nunuka dariiganda daka Aba mohlumi diigo mi bida. Nunu siika atañmi khiiniiñ yapa lyimasa ehna? 
MAT.6.27	Ho nunu apur hokii huyana hena biidola haka kohe jalo abu yapa sangomi sancha lakiñ donii? 
MAT.6.28	Ho niimpa nunu giigopa hena du? Zabyo daka apoo atañmi kato, niihtañpa mohlu sanda; mohlu khelanyola tiirḛ miima ho niibyutano tiirḛ miima; 
MAT.6.29	hojalo Ngo nunumi lukoso, Solomon tiirḛ hiimkane tatukatu pa dusune siika atañka ako chitañ patrḛ lyimane. 
MAT.6.30	 Hojalo Pinii matiirḛ zabyo hoka tammi dunii miya hiimkane hembyuñ do, siilo sala la ho ardaka yamu hoka hompa saniiñ mi, mo nunumi siika atañmi uro yapa henkiñ ma ehna, nunu henje papo atañ? 
MAT.6.31	Hopa henayo, lubiidola, niiyu diichinii? malo niiyu tanchinii? malo niiyu giichinii? 
MAT.6.32	Niimpalukoda Midomiyu atañke siika drihpa hena nyadunii; ho nunuka dariiganda daka Aba chindoke siika atañmi nunu anna nyado hiila. 
MAT.6.33	 Hojalopa kapyopa Pinii ka raddeganda la mohka denki miya mepyoto, ho hikha siika drih atañ mitrḛ niimi bikiñ doke.
MAT.6.34	Hopa hena yo ardaka allopa, niimpalukoda ardaka alloka henahii ardapa dokiñ siidoke. Siilo ka henahii siilopa khe doke.
MAT.7.2	Niihtañpa nunu ayakacho katii hiitañ pa nunu mitrḛ halii kendoke, ho niimkane pa nunu khiiliitii hiimkane pa nunu mitrḛ khiilii kendoke. 
MAT.7.3	 Niimpa nunu nunuka anubarmii ka amee hoka hiiri amii pere giiniiñ miya kahado, atoh amee hoka sampo kane giiniiñ miya hempa siimapa? 
MAT.7.4	Malo niihtañpa nunu nunuka anubarmii mi lula kendo, Niika amee daka hiirimi lapa toso, niika amee hoya sampo kane pohe giido la? 
MAT.7.5	Nunu apukahi, kapyopa nunuka amee daka sampo miya lapa siito rañ, hoke nunu didḛrpa kappa lakiñ donii niika anubarmii ka amee daka hiirimi.
MAT.7.6	Niihna darii donii hiimi akie atañmi biyo; ho nunuka tassañ mi alyee mi kubiyo, hiilamiikoda mohlu mohluka alih nyota lala ho niimi asiipa miikiñ doke.
MAT.7.8	Niimpalukoda kone abi kunii atañ lanya biida, ho huna menya donii mepa nyadu, ho hutiina padiñ nyadonii, hiipa miiko bikiñdo. 
MAT.7.9	Malo nunu niihtañ miyupe, niika wiinga matiirḛ yatañ kudo koda, mohmi yalañ bikiñ dopeha? 
MAT.7.10	Malo mo matiirḛ ngiiyyi kudo koda, mohmi tabu bikiñ dopeha? 
MAT.7.11	Nunuya, diimmah siido tiirḛ, chindo niihtañ aya ahmiñayiñ na bikiñ donii nunuka wiinga atañmi, niimkane kayeya nunuka Aba dariiganda hoka duniibo bikiñdo huna mohmi kuchinii! 
MAT.7.12	 Niihtañpa no mihmi niipa miibi kencho hiila hendo, hiitañpa no mohlupa miibito; niimpalukoda siika sike dapo la nyibuhenii atañ.
MAT.7.14	Hagya ponchu siido ho lembo iru siido, hii sango dalyi hoke ingii donii, ho hiimi lamasii kapa siidonii.
MAT.7.16	 Nunu mohlumi mohluka ahee loke kala kendonii. Roahee si tareapya ho giidu peha, malo tarro ahee si piita sannii hokii peha? 
MAT.7.17	Hopa, kapane aya sannii hii aya ahee hidu, hojalo ayamanii sannii hii ayamanii ahee hidu. 
MAT.7.18	Aya sannii hii ayamanii ahee hila kemma, hii chulipa ayamanii sannii hiitiirḛ aya ahee hila kemma. 
MAT.7.19	 Sannii buhe abi niihna aya ahee hima nii hiimi palo lala la yamuho jopa liikiñdo. 
MAT.7.20	 Si chulipa nunu mohlumi kala kendoke mohluka ahee-amḛrlo.
MAT.7.22	 Hiika allo ho abuje ngiimi lukiñ do, Atoh, Atoh, ngunu niika armyañ pa nyibuhema toha, ho niika armyañ lo igii mompa matoha, ho abuje tamo-chikho miigo miima toha niika armyañ pa? 
MAT.7.23	Ho Ngo mohlumi luchi, Ngo nunumi iche tiirḛ kachiñ make; ngiiko hokii insa nyato, nunu ayamanii miinii atañ.
MAT.7.25	ho miido hutii, yasie tuha siitii, ho allyi heha la hiika ude mi heda siitii, hojalo hii tehyi ma, niimpalukoda hii yalañ ayoh ho pentii.
MAT.7.26	Ho hutiina ngiika aguñmi tapa lala ho hii chulipa miinya manii hii piicha miyu chulido huna atoh ude mi suru ho pembii donii; 
MAT.7.27	ho miido hukele, ho yasie tuha kiile, ho allyi hekele ude ho hedatii, ho hii tehyi datii; ho hiika tehyi nii hii hempḛr urotii.
MAT.7.29	niimpalukoda mo mohlumi tonsḛrtii hukohona otority giidonii chulipa, ho mohluka pagenii atañ chulima.
MAT.8.1	Mo putoo hokii toku kiile, hempḛr miyuabuje mohmi imbo montii; 
MAT.8.3	Ho mo mohka alah lyuliñ la ho mohmi tennetii, lubiidola, “Ngo hendo. Darii toku!” Hempḛr nyibya loda mohka tahikoya hii darii tiiku. 
MAT.8.4	 Ho Jisu mohmi lutii, “Tageto kone mitrḛ luko lyayo; hojalo ingela, no atohmi nyibumi kakiñ siinge, ho Mose nii hiila lune hii chulipa ahmiñayiñ binge, miyu mika kakiñ kengi naniiñpa.”
MAT.8.6	ho lubiido, “Attoh, ngiika miira liikuñla ude ho giila dohe, hempḛr henga henkhala.” 
MAT.8.7	Ho mo mohmi lutii, “Ngo ahbiila mohmi miipya talyike.” 
