GEN.1.1	I begyndelsen skabte Gud himlen og jorden. 
GEN.1.28	Gud velsignede dem og sagde: „Formér jer og bliv mange, bred jer over hele jorden og tag den i besiddelse! Hersk over fiskene, fuglene og alle de andre dyr på jorden.” 
GEN.1.29	Gud fortsatte: „Se! Jeg giver jer alle de frøbærende planter på jorden som føde, og I må også spise frugt fra de mange frugttræer. 
GEN.1.30	Jeg giver græsset og alt grønt til føde for dyrene og fuglene.” Og sådan blev det. 
GEN.1.31	Gud betragtede nu hele sit skaberværk, og han var ovenud tilfreds med det. Så blev det aften og derefter morgen. Det var den sjette dag.
GEN.2.1	På den måde blev himlen og jorden og alt liv skabt. 
GEN.2.2	Skaberværket var nu fuldført, og Gud hvilede på den syvende dag. 
GEN.2.3	Han velsignede den og indviede den til hviledag.
GEN.2.4	Da Gud skabte verden, 
GEN.2.5	var der først ingen grønne planter eller buske på jorden, for han havde endnu ikke ladet det regne. Der var heller ingen mennesker til at dyrke jorden. 
GEN.2.6	Men der vældede vand frem af jorden og vandede dens overflade.
GEN.2.7	Så formede Gud et menneske af jorden og blæste livsånde i dets næsebor, så det blev et levende væsen. 
GEN.2.8	Gud havde plantet en have i Eden mod øst, og dér anbragte han nu det menneske, som han havde skabt. 
GEN.2.9	Gud havde plantet alle slags smukke træer i haven, træer med en mængde frugt. Midt i haven stod livets træ og træet, der giver kendskab til både godt og ondt. 
GEN.2.10	I Eden udsprang en flod, som vandede haven. Uden for haven delte den sig i fire mindre floder. 
GEN.2.11	Den første flod hedder Pishon. Den bugter sig omkring landet Havila, hvor der findes guld 
GEN.2.12	af fin kvalitet samt bedellium
GEN.2.13	Den anden flod kaldes Gihon. Den løber gennem landet Kush. 
GEN.2.14	Den tredje flod kaldes Tigris. Den løber langs med Assyriens østgrænse. Den fjerde flod kaldes Eufrat.
GEN.2.15	Gud satte mennesket, Adam, i Edens have, for at han skulle passe den, 
GEN.2.16+GEN.2.17	og han sagde til ham: „Du må spise frugten fra alle træerne i haven undtagen det træ, som giver kendskab til både godt og ondt. Hvis du spiser af den frugt, skal du dø.”
GEN.2.18	Derpå sagde Gud: „Det er ikke godt for Adam at være alene. Jeg vil give ham en livsledsager,
GEN.2.19	Af jorden formede Gud nu alle slags dyr og fugle og førte dem hen til Adam for at se, hvad han ville kalde dem; og hvad Adam kaldte dem, blev deres navn. 
GEN.2.20	Adam navngav så alle fuglene og de vilde og tamme dyr, men han fandt ikke nogen passende ledsager iblandt dem. 
GEN.2.21	Derfor lod Gud Adam falde i en dyb søvn. Mens han sov, tog Gud et af hans ribben og lukkede stedet til igen med kød. 
GEN.2.22	Af ribbenet byggede han en kvinde og førte hende hen til Adam.
GEN.2.23	„Ja!” udbrød Adam. „Det er knogler af mine knogler og kød af mit kød! Hun skal hedde kvinde, for hun er taget ud af manden.
GEN.2.24	Derfor skal en mand forlade sin far og mor og knytte sig nært til sin kone, og de to skal blive ét.
GEN.2.25	Adam og hans kone var begge nøgne, men de skammede sig ikke over deres nøgenhed.
GEN.3.1	Slangen var den mest listige af alle de dyr, Gud havde skabt. Den kom til kvinden og sagde: „Har Gud virkelig sagt, at I ikke må spise af frugten fra noget som helst træ i haven?” 
GEN.3.2	„Nej, vi må da gerne spise frugt fra træerne i haven!” svarede kvinden. 
GEN.3.3	„Det er kun frugten fra træet midt i haven, vi ikke må spise. Gud sagde, at hvis vi spiser af den, eller bare rører den, så dør vi!” 
GEN.3.4	„I dør da ikke,” hvislede slangen. 
GEN.3.5	„Men Gud ved, at i samme øjeblik I spiser den frugt, bliver jeres øjne åbnet for ting, I ikke før har set, og I bliver som Gud med evne til at skelne mellem godt og ondt.”
GEN.3.6	Kvinden lagde nu mærke til, hvor dejlig frugten så ud, lige til at spise og få forstand af. Hun plukkede en frugt og spiste af den. Derefter gav hun en til sin mand, som også var der, og han spiste af den. 
GEN.3.7	Straks lagde de mærke til, at de var nøgne. Derfor syede de figenblade sammen og bandt dem om sig.
GEN.3.8	Henimod aften, da luften blev kølig, hørte Adam og kvinden, at Gud kom gående i haven, og de gemte sig inde mellem træerne. 
GEN.3.9	Gud kaldte: „Adam, hvor er du?” 
GEN.3.10	Adam svarede: „Jeg hørte dig komme, og så blev jeg bange, fordi jeg var nøgen. Derfor gemte jeg mig.” 
GEN.3.11	„Hvem fortalte dig, at du var nøgen?” spurgte Gud. „Du har vel ikke spist frugt fra det træ, jeg sagde, du ikke måtte spise af?” 
GEN.3.12	„Det var kvinden, som du satte ved min side, der gav mig den,” indvendte Adam, „og så spiste jeg.”
GEN.3.13	Så vendte Gud sig til kvinden: „Hvor kunne du gøre det?” udbrød han. „Det var slangen, der lokkede mig til det,” forsvarede hun sig, „og så spiste jeg.”
GEN.3.14	Nu talte Gud til slangen: „Som straf for det, du har gjort, skal du være den mest forbandede af alle jordens dyr! Så længe du lever, skal du krybe på din bug og æde støv! 
GEN.3.15	Jeg sætter fjendskab mellem dig og kvinden, og mellem dit afkom og hendes afkom.
GEN.3.16	Derpå sagde Gud til kvinden: „Jeg vil forstærke ubehaget ved din graviditet og smerten ved at føde børn. Du vil gerne have magt over
GEN.3.17	Til Adam sagde Gud: „Fordi du adlød din kone og spiste af frugten, som jeg sagde, du ikke måtte spise af, er du nu skyld i, at jorden bliver forbandet. Hele dit liv må du møjsommeligt slide for at skaffe dig føden. 
GEN.3.18	Nu må du leve af, hvad du kan dyrke på marken, hvor der også vil vokse tjørn og tidsler. 
GEN.3.19	Du kommer til at arbejde hårdt for føden, indtil du dør og bliver lagt i jorden, hvoraf du er formet. For af jord er du kommet, og til jord skal du blive.”
GEN.3.20	Adam kaldte sin kone Eva
GEN.3.21	Derpå lavede Gud skindtøj til Adam og hans kone.
GEN.3.22	Så sagde Gud: „Nu da menneskene er blevet som os i den forstand, at de kender både det gode og det onde, skal de ikke også spise frugten fra livets træ og leve evigt.” 
GEN.3.23	Derfor bortviste Gud dem fra Edens have og satte dem til at dyrke den jord, hvoraf de var taget. 
GEN.3.24	Han drev dem ud og satte keruber
GEN.4.1	Adam lå hos sin kone, Eva, og hun blev gravid og fødte en søn, som fik navnet Kain, for—som hun sagde: „Med Guds hjælp har jeg fået
GEN.4.2	Hendes næste søn fik navnet Abel.
GEN.4.2	Abel vogtede får, og Kain dyrkede jorden. 
GEN.4.3	Engang bragte Kain en offergave til Gud af sin høst. 
GEN.4.4	Abel bragte også en offergave, det bedste kød fra sine førstefødte lam. Gud accepterede Abels offergave, 
GEN.4.5	men ikke Kains. Det blev Kain meget vred og bitter over.
GEN.4.6	„Hvorfor er du vred?” spurgte Gud. „Hvorfor går du og kigger ned i jorden? 
GEN.4.7	Når du gør det gode, kan du frit se andre i øjnene. Hvis du derimod gør, hvad der er ondt, så lurer synden ved din dør. Den ønsker at overmande dig, men du skal være herre over den.”
GEN.4.8	En dag sagde Kain til sin bror, Abel: „Lad os gå en tur ud på marken.” Mens de var derude, overfaldt Kain sin bror og slog ham ihjel. 
GEN.4.9	Så spurgte Gud Kain: „Hvor er din bror, Abel?” „Hvor skulle jeg vide det fra?” svarede Kain. „Jeg skal vel ikke gå og holde øje med ham!” 
GEN.4.10	Men Gud sagde: „Hvad har du dog gjort? Din brors blod råber til mig fra jorden. 
GEN.4.11	Derfor skal du forvises fra agerjorden, som har drukket din brors blod. 
GEN.4.12	Den skal ikke længere give dig føden. Fra nu af skal du vandre hvileløst fra sted til sted.”
GEN.4.13	Kain blev fortvivlet. „Den straf er ikke til at bære!” udbrød han. 
GEN.4.14	„Du jager mig væk fra mine marker og gør mig hjemløs. Du støder mig bort fra din beskyttelse, så enhver, der ser mig, kan slå mig ihjel.” 
GEN.4.15	Men Gud svarede: „Hvis du bliver slået ihjel, skal du blive hævnet syv gange.” Så satte Gud et mærke på Kain som en advarsel, så ingen ville turde slå ham ihjel. 
GEN.4.16	Derpå rejste Kain væk fra Gud og bosatte sig i landet Nod,
GEN.4.17	Kain lå hos sin kone, og hun blev gravid og fødte en søn, som fik navnet Enok. Kain grundlagde også en by og kaldte den Enok efter sin søn. 
GEN.4.18	Enok blev far til Irad, Irad blev far til Mehujael, Mehujael blev far til Metushael, og Metushael blev far til Lemek. 
GEN.4.19	Lemek tog sig to koner, Ada og Silla. 
GEN.4.20	Ada fik en søn, som fik navnet Jabal. Han blev stamfar til dem, der bor i telte og holder kvæg. 
GEN.4.21	Hans bror hed Jubal og blev stamfar til dem, der spiller på lyre og fløjte. 
GEN.4.22	Silla fik en søn, som blev kaldt Tubal-Kain. Han blev stamfar til dem, der smeder kobber
GEN.4.23	Lemek sagde engang til sine koner:
GEN.4.23	„Ada og Silla, hør på mig,
GEN.4.23	lyt til, hvad jeg siger!
GEN.4.23	Jeg har dræbt en ung mand som hævn for et sår,
GEN.4.23	en dreng som hævn for en skramme.
GEN.4.24	Hvis Kain skulle hævnes 7 gange,
GEN.4.24	så skal jeg hævnes 77 gange!”
GEN.4.25	Adam og Eva fik en søn mere, som de kaldte Set,
GEN.4.26	Set fik senere en søn, som han kaldte Enosh. På den tid begyndte man at påkalde og tilbede Gud som Herren over alle ting.
GEN.5.1	I det følgende kommer en fortegnelse over Adams efterkommere indtil oversvømmelsen.
GEN.5.1	Da Gud skabte menneskene, skabte han dem, så de lignede ham. 
GEN.5.2	Som mand og kvinde skabte han dem, og han velsignede dem og kaldte dem fra begyndelsen „mennesker”.
GEN.5.3	Adam var 130 år, da hans søn Set blev født. Set var på alle måder en tro kopi af Adam. 
GEN.5.4	Efter Sets fødsel levede Adam endnu 800 år og fik mange sønner og døtre. 
GEN.5.5	Han døde 930 år gammel.
GEN.5.6	Set var 105 år, da hans søn Enosh blev født. 
GEN.5.7	Efter Enoshʼ fødsel levede Set endnu 807 år og fik sønner og døtre. 
GEN.5.8	Han døde 912 år gammel.
GEN.5.9	Enosh var 90 år, da hans søn Kenan blev født. 
GEN.5.10	Efter Kenans fødsel levede Enosh endnu 815 år og fik sønner og døtre. 
GEN.5.11	Han døde 905 år gammel.
GEN.5.12	Kenan var 70 år, da hans søn Mahalalel blev født. 
GEN.5.13	Efter Mahalalels fødsel levede Kenan endnu 840 år og fik sønner og døtre. 
GEN.5.14	Han døde 910 år gammel.
GEN.5.15	Mahalalel var 65 år, da hans søn Jered blev født. 
GEN.5.16	Efter Jereds fødsel levede Mahalalel endnu 830 år og fik sønner og døtre. 
GEN.5.17	Han døde 895 år gammel.
GEN.5.18	Jered var 162 år, da hans søn Enok blev født. 
GEN.5.19	Efter Enoks fødsel levede Jered endnu 800 år og fik sønner og døtre. 
GEN.5.20	Han døde 962 år gammel.
GEN.5.21	Enok var 65 år, da hans søn Metusalem blev født. 
GEN.5.22	Efter Metusalems fødsel levede Enok i nært fællesskab med Gud i endnu 300 år og fik sønner og døtre. 
GEN.5.23	Han var 365 år gammel, 
GEN.5.24	da han pludselig en dag forsvandt, for Gud tog ham til sig.
GEN.5.25	Metusalem var 187 år, da hans søn Lemek blev født. 
GEN.5.26	Efter Lemeks fødsel levede Metusalem endnu 782 år og fik sønner og døtre. 
GEN.5.27	Han døde 969 år gammel.
GEN.5.28	Lemek var 182 år, da han fik en søn, 
GEN.5.29	som han kaldte Noa,
GEN.5.30	Efter Noas fødsel levede Lemek endnu 595 år og fik sønner og døtre. 
GEN.5.31	Han døde 777 år gammel.
GEN.5.32	Noa var 500 år, før han fik sønnerne Sem, Kam og Jafet.
GEN.6.1	Jordens befolkning var nu vokset meget, og der blev født mange smukke piger. 
GEN.6.2	„Gudesønnerne”
GEN.6.3	Da sagde Gud: „Min Ånd
GEN.6.4	Dengang „gudesønnerne” fik børn med „menneskedøtrene”, var der mægtige mænd på jorden, de berømte helte fra gamle dage.
GEN.6.5	Da Herren så, hvordan menneskenes ondskab voksede, så de hele dagen kun tænkte onde tanker, 
GEN.6.6	blev han ked af, at han havde skabt dem. Al den ondskab skar ham i hjertet. 
GEN.6.7	„Jeg vil fjerne de mennesker, jeg har skabt, fra jordens overflade,” sagde han. „Og jeg vil udrydde både de vilde og tamme dyr og alle fuglene, for jeg fortryder, at jeg skabte dem.” 
GEN.6.8	Men Herren var tilfreds med Noa.
GEN.6.9	Dette er Noas historie: Noa var dengang det eneste menneske på jorden, som Gud kunne acceptere. Han levede i et nært forhold til Gud. 
GEN.6.10	Han havde tre sønner: Sem, Kam og Jafet.
GEN.6.11+GEN.6.12	Men ondskaben voksede ud over jorden. I Guds øjne blev verden mere og mere ond. Menneskene var onde og fordærvede i bund og grund.
GEN.6.13	Da sagde Gud til Noa: „Jeg har besluttet at udrydde menneskene, for de er skyld i, at verden er fuld af vold og ondskab. 
GEN.6.14	Men du skal bygge en ark af gofertræ og tætne den med tjære både indvendigt og udvendigt. Du skal indrette den med mange rum. 
GEN.6.15	Sådan her skal du bygge arken: Den skal være 150 meter
GEN.6.16	Du skal lave taget, så det ender en halv meter over arken,
GEN.6.17	Jeg vil nemlig sende en stor oversvømmelse, som vil udrydde alt, hvad der lever på landjorden. Både dyr og mennesker skal dø. 
GEN.6.18	Men jeg vil oprette en pagt
GEN.6.19+GEN.6.20	I skal medbringe en han og en hun af alle de tamme og vilde dyr og alle fuglene, for at de kan overleve sammen med jer. 
GEN.6.21	Og I skal tage mad med, så der er nok til både jer og dyrene.”
GEN.6.22	Noa begyndte med det samme at gøre, hvad Gud havde befalet ham.
GEN.7.1	Da Noa var færdig med at bygge arken, sagde Herren til ham: „Du og din familie skal gå om bord i arken, for du er den eneste, jeg kan acceptere blandt menneskene på jorden. 
GEN.7.2+GEN.7.3	Af alle slags fugle og de dyr, der bruges til ofringer og til mad, skal du tage syv par, en han og en hun, for at de siden hen kan formere sig på jorden. Af de øvrige dyr skal du kun tage ét par, en han og en hun. 
GEN.7.4	Om syv dage vil jeg sende regn, og det vil blive ved at regne uden ophør i 40 dage.
GEN.7.5	Noa gjorde, som Herren havde befalet ham: 
GEN.7.6+GEN.7.7+GEN.7.8+GEN.7.9+GEN.7.10+GEN.7.11	Han bad sin kone, sine sønner og deres koner om at gøre sig klar til at gå ind i arken, så de kunne blive reddet fra oversvømmelsen. Alle dyrearter kom parvis ind i arken, som Herren havde befalet. Syv dage efter at Gud havde talt, begyndte regnen. Jordens kilder og himlens sluser blev åbnet på den 17. dag i den anden måned i det år, hvor Noa blev 600, 
GEN.7.12	og det regnede uafbrudt i de næste 40 dage. 
GEN.7.13	På den dag, da regnen begyndte, gik Noa ind i arken sammen med sin kone og sine sønner, Sem, Kam og Jafet, og deres koner. 
GEN.7.14	Alle de forskellige dyr var allerede kommet ind i arken, både de tamme og vilde dyr og fuglene, 
GEN.7.15	ja, alt, hvad der kunne trække vejret, 
GEN.7.16	sådan som Gud havde befalet. Og Herren lukkede døren efter dem.
GEN.7.17	I 40 dage blev vandet ved med at stige, og arken flød på vandet. 
GEN.7.18	Vandet steg og steg, 
GEN.7.19	indtil de højeste bjerge stod under vand. 
GEN.7.20	Vandet nåede mere end 7 meter over bjergtoppene. 
GEN.7.21+GEN.7.22	Alt levende på landjorden omkom—både dyr og mennesker. 
GEN.7.23	Kun Noa overlevede—og sammen med ham alle dem, som var i arken.
GEN.7.24	I 150 dage var jorden i vandmassernes vold.
GEN.8.1+GEN.8.2	Men Gud glemte ikke Noa og dyrene i arken. Han standsede vandstrømmen fra jordens indre og lukkede himlens sluser, så styrtregnen holdt op. Samtidig sendte han en vind, så vandet begyndte at synke. 
GEN.8.3	Vandet sank lidt efter lidt, og efter at arken i 150 dage havde været prisgivet vandmasserne, 
GEN.8.4	gik den på grund i Ararats bjerge. Det skete den 17. dag i den syvende måned. 
GEN.8.5	Vandet fortsatte langsomt med at synke. Først i den tiende måned kom bjergtinderne til syne.
GEN.8.6	Noa ventede i endnu 40 dage. Derefter åbnede han en luge 
GEN.8.7	og sendte en ravn af sted. Ravnen kom ikke tilbage, men fløj omkring, indtil vandet var borte fra jorden. 
GEN.8.8	Derefter sendte Noa en due af sted for at se, om den kunne finde tørt land, 
GEN.8.9	men duen fandt ingen steder at lande. Vandet stod endnu for højt, så den vendte tilbage til arken. Noa rakte hånden ud og tog duen ind igen.
GEN.8.10	Syv dage senere sendte Noa duen af sted for anden gang, 
GEN.8.11	og denne gang vendte den tilbage ved aftenstid med et frisk olivenblad i næbbet. Så var Noa klar over, at jorden var ved at blive tør. 
GEN.8.12	En uge senere sendte han duen af sted igen, og denne gang vendte den ikke tilbage.
GEN.8.13	På den første dag i den første måned i det år, Noa fyldte 601 år, fjernede han noget af arkens tag og så, at det meste af vandet var væk. 
GEN.8.14	Men først to måneder senere var jorden tilstrækkelig tør, så de kunne gå ud.
GEN.8.15	Så sagde Gud til Noa: 
GEN.8.16	„Gå ud af arken med din kone, dine sønner og deres koner 
GEN.8.17	og tag alle fuglene og dyrene med dig, så de kan formere sig og sprede sig over jorden.” 
GEN.8.18	Noa forlod da arken sammen med sin kone, sine sønner og deres koner. 
GEN.8.19	Og alle dyrene forlod arken parvis.
GEN.8.20	Derpå byggede Noa et alter og ofrede nogle af de rene
GEN.8.21	Brændofferet behagede Herren, og han sagde til sig selv: „Jeg vil aldrig mere forbande jorden på grund af menneskene, selvom deres tanker er onde fra ungdommen af. Jeg vil aldrig mere udslette alt liv på jorden. 
GEN.8.22	Så længe jorden står, skal forår og efterår, kulde og varme, sommer og vinter, dag og nat ikke ophøre.”
GEN.9.1	Gud velsignede Noa og hans sønner: „Formér jer og bliv mange!” sagde han. „Spred jer over jorden. 
GEN.9.2	Dyrene, fuglene og fiskene vil frygte for jer, fordi jeg har givet jer magt over dem. 
GEN.9.3	Jeg har givet dem til jer, og I må gerne spise dem såvel som de grønne planter, jeg tidligere har givet jer. 
GEN.9.4	Men fordi livet er i blodet, må I ikke spise kød, som stadig indeholder blod. 
GEN.9.5	Menneskers livsblod vil jeg kræve hævn for. Ethvert dyr, som dræber et menneske, skal dø. 
GEN.9.6	Ethvert menneske, der slår et andet menneske ihjel, skal henrettes for at have myrdet et levende væsen, som er skabt i Guds billede. 
GEN.9.7	Formér jer og få mange børn så jeres efterkommere kan brede sig ud over hele jorden.”
GEN.9.8	Derpå sagde Gud til Noa og hans sønner: 
GEN.9.9	„Jeg vil oprette min pagt med jer og jeres efterkommere 
GEN.9.10	og med alle de dyr, som er kommet ud af arken sammen med jer: 
GEN.9.11	Jeg vil aldrig mere sende en oversvømmelse, som udsletter alt liv på landjorden. 
GEN.9.12	Og jeg vil give jer et synligt tegn på denne evige pagt, som jeg opretter med jer og alle levende væsener. 
GEN.9.13	Jeg har sat min regnbue i skyerne. Den er tegn på mit evigtgyldige løfte til jer og til hele jorden. 
GEN.9.14	Når jeg sender regn over jorden, og regnbuen kommer til syne, 
GEN.9.15	så vil jeg huske mit løfte til jer og de andre levende væsener: at der aldrig igen vil komme en oversvømmelse, som ødelægger alt liv. 
GEN.9.16	Når jeg ser regnbuen i skyerne, vil jeg huske min evige pagt med alle levende væsener på jorden. 
GEN.9.17	Regnbuen er tegnet på denne pagt.”
GEN.9.18+GEN.9.19	Noas tre sønner, som var med i arken, hed Sem, Kam og Jafet, og fra dem nedstammer hele jordens befolkning. Det var Kam, der blev stamfar til kanaʼanæerne.
GEN.9.20	Noa dyrkede jorden, og han var den første, der plantede en vingård. 
GEN.9.21	En dag drak han af vinen og blev stærkt beruset, så han smed tøjet og lå nøgen inde i sit telt. 
GEN.9.22	Kam kom ind og så sin far nøgen. Han gik straks ud og fortalte sine brødre det. 
GEN.9.23	Så tog Sem og Jafet en kappe over skuldrene, gik baglæns ind i teltet og tildækkede deres far. De vendte ryggen til, så de ikke så ham nøgen. 
GEN.9.24	Da Noa vågnede og blev ædru, hørte han, hvad hans yngste søn havde gjort. 
GEN.9.25	„Gud vil dømme Kanaʼan og hans efterkommere!” udbrød han. „Lad dem blive slaver for Sems og Jafets efterkommere. 
GEN.9.26	Må Herren, min Gud, velsigne Sems slægt, og må kanaʼanæerne trælle for dem. 
GEN.9.27	Må Gud give Jafets slægt meget land, må de trives som Sems slægt, og må kanaʼanæerne også trælle for dem.”
GEN.9.28	Noa levede endnu 350 år efter oversvømmelsen. 
GEN.9.29	Han var 950 år gammel, da han døde.
GEN.10.1	Efter oversvømmelsen fik Noas tre sønner, Sem, Kam og Jafet, selv sønner. Det følgende er en liste over disse sønner og deres efterkommere.
GEN.10.2	Jafets sønner hed Gomer, Magog, Madaj, Javan, Tubal, Meshek og Tiras. 
GEN.10.3	Gomers sønner hed Ashkenaz, Rifat og Togarma. 
GEN.10.4	Javans sønner hed Elisha, Tarshish, Kittim og Rodanim. 
GEN.10.5	Fra Jafets efterkommere nedstammer de folkeslag, som bosatte sig i kystlandet og på øerne, hver med deres eget område og sprog.
GEN.10.6	Kams sønner hed Kush, Mitzrajim, Put og Kanaʼan,
GEN.10.7	Kush fik sønnerne Seba, Havila, Sabta, Rama og Sabteka. Ramas sønner hed Saba og Dedan.
GEN.10.8	Kush havde også en efterkommer ved navn Nimrod. Han var en heltemodig kriger 
GEN.10.9	og en enestående jæger. Det er fra ham, man har udtrykket: „En mægtig jæger som Nimrod.” 
GEN.10.10	Nimrods rige bestod først af byerne Babel,
GEN.10.11	Senere erobrede han Assyrien, hvor han byggede byerne Nineve, Rehobot-Ir, Kala 
GEN.10.12	og Resen, som blev rigets hovedstad og ligger mellem Nineve og Kala.
GEN.10.13	Mitzrajim blev stamfar til luditterne, anamitterne, lehabitterne, naftuhitterne, 
GEN.10.14	patrusitterne, kasluhitterne (som filistrene stammer fra) og kaftoritterne. 
GEN.10.15	Kanaʼans ældste søn hed Sidon og blev stamfar til sidonitterne. Han blev også stamfar til hittitterne, 
GEN.10.16	jebusitterne, amoritterne, girgashitterne, 
GEN.10.17	hivvitterne, arkitterne, sinitterne, 
GEN.10.18	arvaditterne, zemaritterne og hamatitterne. 
GEN.10.19	Kanaʼanæernes slægter bredte sig efterhånden, så deres grænser nåede fra Sidon i nord til Gerar og Gaza i syd—og østpå til Sodoma, Gomorra, Adma og Sebojim ved Lasha. 
GEN.10.20	Alle disse folk er Kams efterkommere, opregnet efter deres slægter, sprog og territorier.
GEN.10.21	Sem, der var storebror til Jafet,
GEN.10.22	Sems sønner var Elam, Ashur, Arpakshad, Lud og Aram. 
GEN.10.23	Arams sønner hed Utz, Hul, Geter og Mash. 
GEN.10.24	Arpakshad blev far til Shela, som blev far til Eber. 
GEN.10.25	Eber fik to sønner. Den første søn hed Peleg,
GEN.10.26	og han blev far
GEN.10.27	Hadoram, Uzal, Dikla, 
GEN.10.28	Obal, Abimael, Saba, 
GEN.10.29	Ofir, Havila og Jobab. 
GEN.10.30	Joktans efterkommeres område strækker sig fra Mesha til Sefar i bjergene mod øst. 
GEN.10.31	Disse folk er Sems efterkommere, opregnet efter deres slægter, sprog og territorier.
GEN.10.32	Alle disse etniske grupper nedstammer altså fra Noas sønner. Efter oversvømmelsen blev jorden befolket med disse folkeslag.
GEN.11.1	I begyndelsen talte alle mennesker samme sprog. 
GEN.11.2	Efter oversvømmelsen bevægede de sig rundt i Østen og kom til en frugtbar slette i landet Shinar,
GEN.11.3	De sagde til hinanden: „Lad os forme mursten og brænde dem hårde, og lad os bruge asfalt som mørtel. 
GEN.11.4	Så kan vi bygge en stor by med et tårn, som når op til himlen. Et sådant projekt vil gøre os berømte og hindre, at vi bliver spredt ud over jorden.”
GEN.11.5	Men Gud steg ned for at se på byen og tårnet, som de var ved at bygge. 
GEN.11.6	„Se, hvad de er i stand til at udrette, når de er enige og taler samme sprog,” sagde Gud. „Intet vil være umuligt for dem. 
GEN.11.7	Lad os derfor give dem forskellige sprog, så de ikke længere forstår hinanden.”
GEN.11.8	På den måde fik Gud spredt dem ud over hele jorden, og de fik aldrig fuldendt deres byggeri. 
GEN.11.9	Man kaldte den påbegyndte by for Babel,
GEN.11.10	Det følgende er en liste over Sems efterkommere ned til Abram. To år efter oversvømmelsen—da Sem var 100 år—fik han en søn, som fik navnet Arpakshad. 
GEN.11.11	Derefter levede Sem endnu 500 år og fik andre sønner og døtre. 
GEN.11.12	Arpakshad var 35 år, da han fik sønnen Shela. 
GEN.11.13	Derefter levede Arpakshad endnu 403 år og fik andre sønner og døtre. 
GEN.11.14	Shela var 30 år, da han fik sønnen Eber. 
GEN.11.15	Derefter levede Shela endnu 403 år og fik andre sønner og døtre. 
GEN.11.16	Eber var 34 år, da han fik sønnen Peleg. 
GEN.11.17	Derefter levede Eber endnu 430 år og fik andre sønner og døtre. 
GEN.11.18	Peleg var 30 år, da han fik sønnen Reu. 
GEN.11.19	Derefter levede Peleg endnu 209 år og fik andre sønner og døtre. 
GEN.11.20	Reu var 32 år, da han fik sønnen Zerug. 
GEN.11.21	Derefter levede Reu endnu 207 år og fik andre sønner og døtre. 
GEN.11.22	Zerug var 30 år, da han fik sønnen Nakor. 
GEN.11.23	Derefter levede Zerug endnu 200 år og fik andre sønner og døtre. 
GEN.11.24	Nakor var 29 år, da han fik sønnen Tera. 
GEN.11.25	Derefter levede Nakor endnu 119 år og fik andre sønner og døtre. 
GEN.11.26	Tera var 70 år, før han fik sønnerne Abram, Nakor og Haran.
