GEN.1.1	Дар ибтидо Худо замину осмонро офарид. 
GEN.2.17	лекин аз дарахти дониши некию бадӣ набояд бихӯрӣ. Агар аз меваи он хӯрӣ, ҳамон рӯз ҳатман мемурӣ».
GEN.2.18	Пас аз ин Худованд-Худо гуфт: «Хуб нест, ки одам танҳо бошад. Бинобар ин барояш мададгоре меофарам, ки ба ӯ мувофиқ бошад».
GEN.2.19	Инак Худованд-Худо ҳама ҳайвоноту парандагонро, ки аз хоки замин сохта буд, назди одам овард, то бубинад, ки онҳоро чӣ гуна номгузорӣ менамояд. Ҳар номе, ки одам ба онҳо гузошт, онҳо ҳамон тавр номида шуданд. 
GEN.2.20	Ҳамин тавр, одам ба ҳама чорво, парандагону ҳайвоноти ваҳшӣ ном ниҳод. Лекин барои одам ягон мададгори мувофиқ ёфт нашуд. 
GEN.2.21	Инак Худованд-Худо ба одам хоби сахт дод ва чун ӯ дар хоб буд, яке аз қабурғаҳояшро гирифта, ҷойи онро бо гӯшт пур кард. 
GEN.2.22	Ӯ аз он қабурға занро сохта, назди одам овард. 
GEN.2.23	Одам гуфт:
GEN.2.23	«Ин устухоне аз устухонҳоям ва гӯште аз гӯштам аст.
GEN.2.23	Номашро зан мемонам, зеро аз мард гирифта шудаст».
GEN.2.24	Аз ҳамин сабаб мард падару модари худро гузошта, ба зани худ мепайвандад ва онҳо як тан мешаванд.
GEN.2.25	Одаму занаш ҳар ду луч буданд, лекин шарм намедоштанд.
GEN.3.1	Инак мор дар байни ҳамаи ҳайвоноти ваҳшӣ, ки Худованд-Худо офарид, маккортарин буд. Ӯ ба зан гуфт: «Оё Худо ҳақиқатан гуфтааст, ки аз меваи ягон дарахти боғ нахӯред?»
GEN.3.2	Зан ҷавоб дод: «Не, мо аз меваи ҳамаи дарахтони боғ хӯрда метавонем, 
GEN.3.3	ба ғайр аз меваи дарахте, ки дар мобайни боғ аст. Худо гуфт, ки аз он нахӯред ва ба он нарасед, ки ҳатман мемиред».
GEN.3.4	«Не! Намемиред, — гуфт мор. — 
GEN.3.5	Худо медонад, ки ҳангоме аз он мехӯред, чашмонатон кушода мешавад ва мисли Худо некӣ ва бадиро мешиносед».
GEN.3.6	Чун зан дид, ки дарахт ба назар зебо, мевааш хушхӯр ва барои донишманд шудан ҳавасангез аст, аз мевааш канда хӯрд. Баъд ба шавҳараш, ки ҳамроҳаш буд, дод ва чун шавҳараш меваро хӯрд, 
GEN.3.7	чашмони ҳар ду кушода шуданду онҳо луч буданашонро фаҳмиданд. Бинобар ин баргҳои дарахти анҷирро бо ҳам дӯхта, худро бо он пӯшонданд.
GEN.3.8	Чун Худованд-Худо дар салқинии рӯз дар боғ сайругашт мекард, одаму занаш садои Ӯро шунида, дар пушти дарахтони боғ аз Ӯ пинҳон шуданд. 
GEN.3.9	Лекин Худованд-Худо одамро ҷеғ зад: «Куҷо шудӣ?»
GEN.3.10	Одам ҷавоб дод: «Садоятро дар боғ шунидаму тарсидам, чунки луч ҳастам. Барои ҳамин пинҳон шудам».
GEN.3.11	Худованд-Худо гуфт: «Кӣ ба ту гуфт, ки луч ҳастӣ? Оё аз дарахте, ки хӯрданашро бароят манъ карда будам, хӯрдӣ?»
GEN.3.12	Одам ҷавоб дод: «Ин зане, ки ба ман додӣ, аз меваи он дарахт ба ман дод ва ман хӯрдам».
GEN.3.13	Сипас Худованд-Худо ба зан гуфт: «Ин чӣ кори кардагиат буд?» Зан ҷавоб дод: «Мор маро фиреб доду ман хӯрдам».
GEN.3.14	Худованд-Худо ба мор гуфт:
GEN.3.14	«Азбаски чунин кардӣ
GEN.3.14	Лаънатзада мешавӣ
GEN.3.14	Беш аз чорпои даштӣ
GEN.3.14	Аз ҳайвонҳои ваҳшӣ.
GEN.3.14	Акнун ту дар зиндагӣ
GEN.3.14	Ба шикам роҳ меравӣ,
GEN.3.14	Хоки заминро мехӯрӣ.
GEN.3.15	Байни зан ва байни ту
GEN.3.15	насли туву насли ӯ
GEN.3.15	меандозам душманӣ.
GEN.3.15	Ӯ мезанад саратро,
GEN.3.15	Мегазӣ пошнаашро».
GEN.3.16	Ба зан чунин гуфт:
GEN.3.16	«Афзоям ранҷу азобат дар ҳомиладорӣ,
GEN.3.16	Фарзандонатро бо дард ба дунё оварӣ.
GEN.3.16	Ту бо шавҳарат будан мехоҳӣ,
GEN.3.16	Ӯ бар ту мекунад сарварӣ».
GEN.3.17	Ба Одам гуфт: «Ту ба занат гӯш кардию аз дарахте, ки аз он хӯрданро бароят манъ кардаам, хӯрдӣ.
GEN.3.17	Ба хотири ту, бошад замин зери лаънат,
GEN.3.17	Бо меҳнати вазнин з-он хӯрӣ тамоми умрат.
GEN.3.18	Бароят хору алафи бегона рӯёнад замин,
GEN.3.18	лек гиёҳи саҳроро мехӯрӣ ту пас аз ин.
GEN.3.19	То рӯзи баргаштан ба замине, ки аз он ба вуҷуд омадаӣ,
GEN.3.19	Нон ба даст меорӣ бо заҳмату арақи пешонӣ.
GEN.3.19	Азбаски хок будӣ, ба хок бармегардӣ».
GEN.3.20	Одам номи зани худро Ҳавво (яъне Ҳаёт) гузошт, зеро ӯ модари ҳар одами зинда мебошад. 
GEN.3.21	Худованд-Худо аз пӯсти ҳайвон барои Одаму занаш либос тайёр карда, пӯшонд.
GEN.3.22	Худованд-Худо гуфт: «Акнун одам мисли яке аз Мо шудаасту неку бадро мешиносад. Нашавад, ки вай ба дарахти ҳаёт низ даст дароз карда, аз мевааш канда хӯрад, вагарна то абад зинда мемонад». 
GEN.3.23	Бинобар ин Ӯ одамро аз боғ берун кард, то заминеро, ки вай аз он сохта шудааст, кишт кунад. 
GEN.3.24	Чун онҳоро берун кард, аз тарафи шарқии боғи Адан каррубӣ ном махлуқҳои қанотдори биҳиштӣ ва шамшери оташинро, ки ба ҳар тараф тоб мехӯрд, гузошт, то ки роҳро ба сӯйи дарахти ҳаёт посбонӣ намоянд.
GEN.4.1	Одам бо занаш Ҳавво хобид ва Ҳавво ҳомиладор шуда, Қоинро зойид. Занаш гуфт: «Бо ёрии Худованд ман инсон таваллуд кардам». 
GEN.4.2	Дертар Ҳавво боз писар зойиду ӯро Ҳобил номид.
GEN.4.2	Ҳобил чӯпон буду Қоин деҳқон. 
GEN.4.3	Пас аз чанд вақт Қоин аз ҳосили замин ба Худованд ҳадя овард. 
GEN.4.4	Ҳобил ҳам аз нахустзодагони рамаи худ ва аз думбаи онҳо ҳадя овард. Худованд ҳадяи Ҳобилро қабул кард, 
GEN.4.5	аммо Қоин ва ҳадяи ӯро қабул накард. Бинобар ин Қоин сахт ба ғазаб омаду рӯяш турш гардид.
GEN.4.6	Худованд ба Қоин гуфт: «Чаро ба ғазаб омадӣ? Барои чӣ рӯят турш гардид? 
GEN.4.7	Агар кори нек кунӣ, магар он қабул намешавад? Вале чун кори нек накунӣ, гуноҳ пушти дар истодааст. Он туро ба дом афтондан мехоҳад, лекин ту бар вай ҳукмрон бош».
GEN.4.8	Қоин ба бародараш Ҳобил гуфт: «Биё ба саҳро меравем». Ҳангоме ки онҳо дар саҳро буданд, Қоин ба бародараш ҳамла карда, ӯро кушт.
GEN.4.9	Сипас Худованд ба Қоин гуфт: «Бародарат Ҳобил куҷост?» Ӯ ҷавоб дод: «Намедонам. Магар ман нигаҳбони бародарам ҳастам?»
GEN.4.10	Худованд гуфт: «Чӣ кор кардӣ? Хуни бародарат аз замин ба Ман фарёд мезанад. 
GEN.4.11	Аз ин пас замине, ки хуни бародаратро аз дасти ту нӯшидааст, бароят зери лаънат мешавад. 
GEN.4.12	Ҳар қадаре ки дар он кор кунӣ, бароят ҳосил нахоҳад дод. Дар рӯйи замин радди маъракаву оворагард мешавӣ».
GEN.4.13	«Ҷазои гуноҳам сахттар аст аз он ки бардошта тавонам, — гуфт Қоин. 
GEN.4.14	— Имрӯз Ту маро аз киштукори замин маҳрум кардӣ ва ман аз ҳузурат пинҳон мешавам. Ман радди маъракаву оворагард мешавам ва ҳар ки маро бинад, мекушад».
GEN.4.15	Худованд гуфт: «Пас ҳар ки Қоинро кушад, ҳафт маротиба аз вай қасос гирифта шавад». Сипас Ӯ нишонае бар Қоин гузошт, то ҳар ки бо вай вохӯрад, ба куштор даст назанад. 
GEN.4.16	Қоин аз назди Худованд дур шуду дар замини Нӯд (яъне саргардонӣ), ки дар тарафи шарқи Адан ҷойгир буд, зиндагӣ кард.
GEN.4.17	Қоин бо занаш ҳамхоба шуд ва занаш Ҳанӯхро ба дунё овард. Пас Қоин шаҳре сохта, онро ба номи писараш Ҳанӯх гузошт.
GEN.4.18	Ҳанӯх соҳиби писаре бо номи Ирод гардид. Ирод падари Маҳиёил, Маҳиёил падари Матушоил, Матушоил падари Ломак буд.
GEN.4.19	Ломак ду зан гирифт, ки яке Одо, дигаре Зилло ном дошт. 
GEN.4.20	Одо Ёболро таваллуд кард. Аз ӯ ҳамаи хайманишинон ва чорводорон баромаданд. 
GEN.4.21	Бародараш Юбол ном дошт. Аз ӯ ҳамаи торнавозону найнавозон баромаданд. 
GEN.4.22	Зилло низ Тубалқоинро ба дунё овард, ки аз оҳану биринҷӣ ҳар гуна асбоб месохт. Наамо хоҳари Тубалқоин буд.
GEN.4.23	Рӯзе Ломак ба занонаш гуфт:
GEN.4.23	«Эй Одо ва Зилло!
GEN.4.23	Овозамро шунавед,
GEN.4.23	Эй занони Ломак!
GEN.4.23	Ба суханам гӯш диҳед.
GEN.4.23	Мардеро куштам, ки захмдорам кард,
GEN.4.23	Ҳамон ҷавонеро, ки маро бизад.
GEN.4.24	Гар баҳри ҷони Қоин,
GEN.4.24	қасос гиранд ҳафтчандон,
GEN.4.24	барои ҷони Ломак,
GEN.4.24	ҳафтоду ҳафтчандон».
GEN.4.25	Одам боз бо ҳамсараш ҳамхоба шуд ва Ҳавво писаре таваллуд карда, номашро Шет (яъне «додан») гузошт, зеро гуфт: «Азбаски Қоин Ҳобилро кушт, Худо ба ман ба ҷойи Ҳобил писари дигар дод». 
GEN.4.26	Шет ҳам писардор шуда, номашро Анӯш гузошт. Дар он вақт одамон ба парастиш намудани номи Худованд сар карданд.
GEN.5.1	Рӯйхати авлоди Одам чунин аст:
GEN.5.1	Вақте ки Худо одамро офарид, Ӯ вайро ба мисли Худ офарид. 
GEN.5.2	Ӯ онҳоро марду зан офарида, баракат дод ва дар рӯзи офаринишашон одам номид.
GEN.5.3	Одам дар яксаду сисолагиаш соҳиби писаре гашт, ки мисли худаш ва ба монанди худаш буд ва ӯро Шет номид. 
GEN.5.4	Баъд аз таваллуди Шет Одам ҳаштсад соли дигар умр дида, писарону духтарони дигар ба дунё овард. 
GEN.5.5	Ҳамин тавр, Одам ҳамагӣ нӯҳсаду сӣ сол умр дида, мурд.
GEN.5.6	Шет яксаду панҷ сол зиндагӣ карда, соҳиби писаре бо номи Анӯш шуд. 
GEN.5.7	Баъд аз таваллуди Анӯш Шет ҳаштсаду ҳафт соли дигар умр дида, писарону духтарони дигарро ба дунё овард. 
GEN.5.8	Ҳамин тавр, Шет ҳамагӣ нӯҳсаду дувоздаҳ сол зиндагӣ карда, мурд.
GEN.5.9	Анӯш дар навадсолагиаш падари Қенон шуд. 
GEN.5.10	Пас аз таваллуди Қенон Анӯш боз ҳаштсаду понздаҳ соли дигар зиндагӣ карда, писарону духтарон ба дунё овард. 
GEN.5.11	Ҳамин тавр, Анӯш ҳамагӣ нӯҳсаду панҷ сол умр дида, мурд.
GEN.5.12	Чун Қенон ҳафтодсола шуд, Маҳалалъилро ба дунё овард. 
GEN.5.13	Қенон баъд аз таваллуди Маҳалалъил ҳаштсаду чил соли дигар умр дида, писарону духтарон ба дунё овард. 
GEN.5.14	Ҳамин тавр, Қенон ҳамагӣ нӯҳсаду даҳ сол умр дида, мурд.
GEN.5.15	Дар шасту панҷсолагиаш Маҳалалъил падари Ёрад шуд. 
GEN.5.16	Баъд аз таваллуди Ёрад Маҳалалъил ҳаштсаду сӣ соли дигар умр ба сар бурда, боз фарзандон ба дунё овард. 
GEN.5.17	Ҳамин тавр, Маҳалалъил ҳамагӣ ҳаштсаду наваду панҷ сол умр дида, мурд.
GEN.5.18	Чун Ёрад яксаду шасту дусола шуд, аз вай Ҳанӯх ба дунё омад. 
GEN.5.19	Пас аз таваллуди Ҳанӯх Ёрад ҳаштсад соли дигар умр дида, писарону духтарон ба дунё овард. 
GEN.5.20	Бо ҳамин, Ёрад нӯҳсаду шасту ду сол умр ба сар бурда, мурд.
GEN.5.21	Ҳанӯх дар синни шасту панҷсолагиаш падари Матушолаҳ гардид. 
GEN.5.22	Баъд аз таваллуди Матушолаҳ вай писарону духтарон ба дунё овард. Ҳанӯх сесад соли дигар зиндагӣ кард ва ҳамеша бо Худо робитаи наздик дошт. 
GEN.5.23	Ҳанӯх ҳамагӣ сесаду шасту панҷ сол умр дида, 
GEN.5.24	ҳамеша бо Худо робитаи наздик дошт ва баъд ғайб зад, чунки Худо ӯро пеши Худ гирифт.
GEN.5.25	Чун Матушолаҳ яксаду ҳаштоду ҳафтсола шуд, аз вай Ломак ба дунё омад. 
GEN.5.26	Пас аз таваллуди Ломак Матушолаҳ ҳафтсаду ҳаштоду ду соли дигар зиндагӣ карда, писарону духтарон ба дунё овард. 
GEN.5.27	Матушолаҳ ҳамагӣ нӯҳсаду шасту нӯҳ сол умр дида, мурд.
GEN.5.28	Ломак дар синни яксаду ҳаштоду дусолагиаш соҳиби писар гардид. 
GEN.5.29	Вай гуфт: «Дар ин замине, ки Худованд лаънат хондааст, ин писар моро аз меҳнати пурмашаққат тасаллӣ медиҳад». Барои ҳамин номашро Нӯҳ гузошт. 
GEN.5.30	Баъд аз таваллуди Нӯҳ Ломак панҷсаду наваду панҷ соли дигар зиндагӣ карда, писарону духтарон ба дунё овард. 
GEN.5.31	Ломак пас аз ҳафтсаду ҳафтоду ҳафт соли зиндагӣ мурд. 
GEN.5.32	Дар синни панҷсадсолагӣ Нӯҳ соҳиби се писар — Сом, Ҳом ва Ёфат гардид.
GEN.6.1	Ҳангоме ки одамон дар рӯйи замин зиёд шуда, духтаронро ба дунё оварданд, 
GEN.6.2	писарони Худо диданд, ки духтарони одамизод зебо буданд. Бинобар ин ҳар зебосанамеро, ки хуш карданд, ба занӣ гирифтанд. 
GEN.6.3	Сипас Худованд чунин гуфт: «Рӯҳи Ман дар одам то абад нахоҳад монд, чунки ӯ ҷисм аст. Аз ин пас дарозии умраш яксаду бист сол бошад».
GEN.6.4	Ҳамон айём ва баъд аз он писарони Худо бо духтарони одамон ҳамхоба шуда, фарзандони бузургҷусса ба дунё меоварданд. Фарзандонашон ҷанговарони қавию номдори қадим буданд.
GEN.6.5	Худованд дид, ки чӣ қадар одамизод дар рӯйи замин бадахлоқ шудааст ва ҳама вақт ҳама фикру нияташ фақат бад аст. 
GEN.6.6	Ӯ зиқ шуд, ки инсонро офарид ва дилаш пур аз ғам гардид. 
GEN.6.7	Ӯ гуфт: «Одамизоди офаридаамро бо ҳайвоноту хазандагону парандагон аз рӯйи замин нобуд месозам. Сад афсӯс, ки онҳоро ба вуҷуд овардам». 
GEN.6.8	Лекин Нӯҳ дар назари Худованд писанд афтод.
GEN.6.9	Ин аст саргузашти Нӯҳ. Ӯ марди росткор ва дар байни одамони ҳамон давр дар назари Худо беайб буд. Ӯ бо Худо робитаи наздик дошт. 
GEN.6.10	Нӯҳ соҳиби се писар буд, ки номҳояшон Сом, Ҳом ва Ёфат буд.
GEN.6.11	Замин ба назари Худо расво ва пур аз зулму ситам гардид. 
GEN.6.12	Худо дид, ки одамони рӯйи замин расво шудаанд, зеро ҳар кадоми онҳо роҳи бадро пеш гирифта буданд.
GEN.6.13	Худо ба Нӯҳ гуфт: «Ҳаёти одамизодро ба анҷом мерасонам, зеро замин аз зулму ситами онҳо пур шудааст. Инак Ман онҳоро якҷоя бо замин нобуд месозам.
GEN.6.14	Барои худ аз чӯби сарв киштие бисоз. Дар он ҳуҷраҳои алоҳида сохта, деворашро аз даруну берун мазут мол. 
GEN.6.15	Онро бо ин тарз бисоз: дарозии киштӣ яксаду сӣ метр, бараш бисту ду метр ва баландии он сездаҳ метр бошад. 
GEN.6.16	Ним метр пойинтар аз бом дар гирдогирди киштӣ сӯрохиҳои рӯшноидаро гузор. Дар паҳлӯи киштӣ даре шинон ва дохили киштӣ аз се ошёна иборат бошад.
GEN.6.17	Ман бошам ба замин обхезӣ мефиристам, то ҳар офаридае, ки ҷони зинда аст, несту нобуд шавад. Ҳар чи ки дар рӯйи замин ҳаст, мемурад. 
GEN.6.18	Лекин Ман бо ту аҳду паймон мебандам. Туву занат ва писаронат бо ҳамсаронашон ба киштӣ медароед. 
GEN.6.19	Инчунин аз ҳар ҷонвари зинда дутогӣ, ҳам нар ва ҳам модаро ба киштӣ дарор, то ки ҳамроҳи ту зинда монанд. 
GEN.6.20	Аз ҳар паранда, ҳайвон ва хазандаҳо мувофиқи намудашон дутогӣ барои зинда мондан наздат меоянд. 
GEN.6.21	Аз ҳар навъи хӯрок барои худ захира намо, то ки ҳам худат ва ҳам онҳо истеъмол намоед».
GEN.6.22	Нӯҳ ҳама фармудаҳои Худоро иҷро кард.
GEN.7.1	Сипас Худованд ба Нӯҳ гуфт: «Дидам, ки дар миёни ин насл танҳо ту росткор ҳастӣ ва аз ин рӯ бо тамоми аҳли оилаат ба киштӣ дароед. 
GEN.7.2	Аз ҳар ҳайвони ҳалол ҳафт нару ҳафт мода ва аз ҳар ҳайвони ҳаром як ҷуфти нару мода бо худ бигир. 
GEN.7.3	Инчунин ҳафт ҷуфти парандаҳои нар ва модаро бо худ бигир, то ки навъи онҳо дар рӯйи замин нигоҳ дошта шавад. 
GEN.7.4	Баъд аз ҳафт рӯз Ман дар давоми чил шабонарӯз ба замин борон меборонаму ҳар ҷони зиндаеро, ки офаридаам, аз рӯйи замин нест мекунам». 
GEN.7.5	Нӯҳ ҳама фармудаҳои Худовандро иҷро кард.
GEN.7.6	Вақте ки обхезӣ дар рӯйи замин ба амал омад, Нӯҳ шашсадсола буд. 
GEN.7.7	Ӯ барои аз обхезӣ гурехтан ҳамроҳи занаш, писарону келинҳояш ба киштӣ даромаданд. 
GEN.7.8+GEN.7.9	Чунон ки Худо ба Нӯҳ фармуд, ҷуфтҳои нару модаи ҳайвоноти ҳарому ҳалол ва парандаҳову хазандаҳо назди Нӯҳ омада, ба киштӣ даромаданд. 
GEN.7.10	Баъд аз ҳафт рӯз обхезӣ ба замин омад.
GEN.7.11	Дар рӯзи ҳабдаҳуми моҳи дуюми шашсадсолагии Нӯҳ оби чашмаҳои зеризаминӣ кафида баромад ва осмон гӯё ки шикоф шуд. 
GEN.7.12	Дар рӯйи замин чил шабу чил рӯз борони сел борид. 
GEN.7.13	Ҳамон рӯзе ки борон сар шуд, Нӯҳ бо занаш ва писаронаш Сому Ҳому Ёфат ҳамроҳи занонашон ба киштӣ даромаданд. 
GEN.7.14	Тамоми ҳайвоноти ваҳшӣ, чорво, хазандаву паррандаҳо низ бо ҳамҷинси худ ҳамроҳи онҳо ба киштӣ даромаданд. 
GEN.7.15+GEN.7.16	Чунон ки Худо ба Нӯҳ фармуда буд, аз ҳар мавҷудоти зинда дутогӣ — нар ва мода назди Нӯҳ омада, ба киштӣ даромаданд. Сипас Худованд дари киштиро аз паси онҳо маҳкам кард.
GEN.7.17	Борони сел дар рӯйи замин чил шабонарӯз борид. Сатҳи об баланд шуда, киштиро аз рӯйи замин боло бардошт. 
GEN.7.18	Об дар замин беҳад зиёд шудан гирифт, ки киштӣ ба ҳаракат даромад 
GEN.7.19	ва чунон баланд шуд, ки ҳамаи кӯҳҳои осмонбӯсро пӯшонд. 
GEN.7.20	Об аз қуллаи кӯҳҳо ҳафт метр баландтар шуда, онҳоро пӯшонд.
GEN.7.21	Ҳар ҷони зиндаи рӯйи замин — парандаҳо, чорво, ҳайвоноти ваҳшӣ, хазандаҳо ва ҳамаи одамон мурданд. 
GEN.7.22	Ҳар мавҷудоти зиндае, ки дар хушкӣ зиндагӣ мекард ва нафас мекашид, ҳалок гардид. 
GEN.7.23	Худо ҳар ҷони зинда — одамон ва ҳайвонот, хазандаҳо ва парандагони осмонро аз рӯйи замин несту нобуд кард. Танҳо Нӯҳ ва ҳамроҳонаш дар киштӣ зинда монданд. 
GEN.7.24	Об яксаду панҷоҳ рӯз рӯйи заминро пӯшонда буд.
GEN.8.1	Худо дар бораи Нӯҳ, ҳамаи ҳайвоноти ваҳшӣ ва чорвое, ки бо ӯ дар киштӣ буд, фикр карда, ба замин шамол фиристоду сатҳи об паст шуд. 
GEN.8.2	Чашмаҳои зеризаминӣ баста ва абрҳо пароканда шуданду борон аз боридан бозистод. 
GEN.8.3	Об оҳиста-оҳиста аз рӯйи замин ба сарчашмаи худ бармегашт ва дар охири рӯзи яксаду панҷоҳум камтар шуд. 
