MAT.1.1	Dja nau nkoch yao u che Brah Yêsu Krist
MAT.1.20	Nchô e ma păng nklŏn kơt nây, geh tông păr tă bơh Kôranh Brah mbơh ăn păng ma nau mbơi: “Hơi Yôsep kon sau kađăch Đavid! Lơi klach ôh sŏ Mari jêng ur may. Kon i ta trôm ndŭl păng nây mâu ôh tă bơh bunuyh, tă bơh nau dơi Brah Huêng Ueh ăn. 
MAT.1.21	Păng gŭ oh bu klô, jêh ri may tê̆ rnha Kon i nây kuăl ‘Yêsu’ - geh nau khlay lah ‘Kôranh Brah rklaih’ - yorlah Kon i nây mra rklaih phung ƀon lan Păng nơm bơh nau tih khân păng nơm.”
MAT.1.22	Lĕ nau dja geh gay ma tâm di ngăn đah nau Kôranh Brah ntĭnh tâng du huê bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh:
MAT.1.23	‘Uănh tay yơ̆! Du huê bu ur drôh ê hŏ geh gŭ ndrel bu klô mra ntreo, păng gŭ oh bu klô,
MAT.1.23	Jêh ri bu kuăl Kon i nây ‘Êmanuel’’.
MAT.1.23	‘Êmanuel’ nau ngơi Hêbrơ rblang lah ‘Kôranh Brah gŭ ndrel bân’. 
MAT.1.24	Tât Yôsep kah bêch, păng iăt tâng nau tông păr đă ma păng, sŏ Mari jêng ur păng. 
MAT.1.25	Tih ma păng ê hŏ ôh geh bêch ndrel bu ur bu klô đah ur păng tât ma ur păng gŭ oh du huê Kon Bu Klô, jêh ri păng tê̆ rnha Kon i nây kuăl ‘Brah Yêsu’.
MAT.2.1	Brah Yêsu deh ta ƀon Ƀêtlêhem bri Yuđa nôk kađăch Hêrôt
MAT.2.2	Khân păng ôp bu ta ri: “Ah ntŭk deh kađăch mhe phung Israel hiah? Hên lĕ gĭt Păng deh, yor ma hên say du mlŏm mănh chrat ngăn lôh mpeh bơh bri hên jêng ndơ mbên ma nau i nây. Ndri dâng hên hăn yơk mbah ma Păng đŏng.” 
MAT.2.3	Tât kađăch Hêrôt tăng lư nau ôp i nây, păng rvê hô ngăn gŭ mâu đăp chăp mâu gŏn ro, klach geh bunuyh êng jan kađăch. Lĕ ƀon lan ta Yêrusalem ri, khân păng rvê dadê mơm kađăch Hêrôt jan
MAT.2.4	Jêh ri păng rgum mpôl kôranh jan brah, ndrel ma phung nơm nti nau vay phung Israel, gay ma ôp ntŭk ƀon deh Brah Krist i nơm rklaih tă bơh Kôranh Brah de njuăl. 
MAT.2.5	Jêh ri phung i nây mbơh ma kađăch: “Ntŭk Brah Krist deh ta ƀon Ƀêtlêhem bri Yuđa, yorlah bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh nchih:
MAT.2.6	‘Kôranh Brah lah:
MAT.2.6	‘Hơi ƀon lan ƀon Ƀêtlêhem ta bri Yuđa ơi!
MAT.2.6	Ƀon khân ay may mâu ôh di jê̆ ta nâm bu đah ƀon bri Yuđa dja i geh nau khlay,
MAT.2.6	Yorlah jât năp tay geh du huê kôranh lôh tă bơh ƀon khân ay may,
MAT.2.6	Păng i nây mât uănh ƀon lan Israel i ƀon lan Gâp nơm, tâm ban ma du huê nơm chiăp be biăp’’”
MAT.2.7	Jêh ri kađăch Hêrôt kuăl ntŭng mpôl gĭt blao i nây, ôp jek êng khân păng dah hŏ jŏ say mănh i ri, gay ma gĭt kon bê i ri dah hŏ ŏk khay. 
MAT.2.8	Jêh ri đă mpôl i nây hăn jât ƀon Ƀêtlêhem ri, păng lah ma khân păng: “Khân may hăn dôh, ôp n'hêl ma kon se jê̆ i nây. Jêh say Păng tay, plơ̆ mbơh ma gâp yơ̆. Gâp ŭch hăn yơk mbah ma kon se jê̆ i nây đŏng.” Tih ma kađăch Hêrôt mâu ôh ngơi ngăn, păng gay ma ŭch nkhât kon se i nây dơm. 
MAT.2.9	Jêh iăt nau kađăch mbơh nây, khân păng lôh bơh ƀon Yêrusalem ri. Lŏng mănh i khân păng say mpeh bơh lôh nar ri nơh leo trong ma khân păng n'ho ma tât tâm sŏng kalơ ntŭk oh bê gŭ ri mơ nsrŭng. 
MAT.2.10	Khân păng răm maak lĕ bơh nuih bơh n'hâm ngăn say mănh lĕ gŭ ta nây. 
MAT.2.11	Jêh ri khân păng lăp ta trôm jay
MAT.2.12	Jêh ri khân păng sât jât bri dak khân păng nơm ri, sât jât trong êng, yorlah Kôranh Brah mbơh ma khân păng tâm nau mbơi, mâu ôh ăn khân păng plơ̆ mbơh ma kađăch Hêrôt.
MAT.2.13	Ndŭt sât khân păng a ri, geh tông păr tă bơh Kôranh Brah nhhơ săk ma Yôsep ta nau mbơi, păng lah: “Hơi Yôsep, dâk hŏm leo Kon Bê i nây, ndrel ma i mê̆ Păng nchuăt du gŭ ta bri Êsip ri. May gŭ ta bri nây kŏp tât gâp kuăl ƀŏt dâng may plơ̆ sât, yorlah kađăch Hêrôt ŭch tâng nkhât kon bê i nây.” 
MAT.2.14	Jêh ri Yôsep kah rngăl bêch, leo ur leo kon păng nchuăt du jât bri Êsip dâng măng ro. 
MAT.2.15	Khân păng gŭ ta bri i nây tât khât kađăch Hêrôt, ndri nau dja jêng di đah nau Kôranh Brah đă bunuyh ntơyh nau ngơi Păng kăl e nơh nchih: ‘Kôranh Brah lah: ‘Gâp kuăl Kon Gâp lôh tă bơh bri Êsip nây’’
MAT.2.16	Tât ma kađăch Hêrôt lĕ gĭt jêh mpôl gĭt blao gĭt năl uănh mănh mbing i nây rlăm păng, mâu ŭch plơ̆ mbơh, păng ji nuih hô ngăn, mân lah Kon Bê hôm ta ƀon Ƀêtlêhem, jêh ri đă bu hăn nkhât lơi kon bu klô ta ƀon Ƀêtlêhem, ndrel ma ƀon i tâm dăch đah ƀon Ƀêtlêhem ri đŏng, nkhât kon se i ntơm bơh bar năm jŭr jât dŏng ăn lĕ. Kađăch Hêrôt kơp năm kon se păng đă nkhât i nây, păng kơp ntơm bơh mpôl i gĭt blao i nây say mănh nơh ro.
MAT.2.17	Ƀon Ƀêtlêhem, ndrel ma ƀon Rama, ta ntŭk geh rnoi deh Rachel i ur Yakôp gŭ kăl e nơh. Ndri nau dja jêng di ngăn ma bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh, rnha păng Yêrêmi păng nchih:
MAT.2.18	‘Geh nau lư n'găr ta ƀon Rama, ntŭk bu ur me i rnoi deh Rachel i nây.
MAT.2.18	Jêng nau nhhiăng nhŭm krit rngot hô ngăn,
MAT.2.18	Nhŭm vơl yô̆ nđach ma kon păng.
MAT.2.18	Păng mâu ŭch ôh bu bonh, yorlah kon păng lĕ khât jêh’.
MAT.2.19	Tât kađăch Hêrôt lĕ khât jêh, tông păr tă bơh Kôranh Brah nhhơ săk ma Yôsep ta bri Êsip ri, ta nau mbơi, păng lah: 
MAT.2.20	“Hơi Yôsep! Leo Kon Bê i nây, ndrel ma i mê̆ Păng plơ̆ sât ta bri Israel hŏm, yorlah bunuyh i ŭch nkhât Kon Bê i nây nơh lĕ khât lĕ phiao jêh.”
MAT.2.21	Jêh ri Yôsep leo Kon Bê i nây, ndrel ma i mê̆ Păng plơ̆ sât ta bri Israel ro. 
MAT.2.22	Tih ma Yôsep mâu ôh bănh gŭ ta ntŭk bri Yuđa, yor ma păng lư kôranh Arkêlôs i kon kađăch Hêrôt, păng ntrŏ i bơ̆ mât uănh ta bri Yuđa ri, n'ho ma Kôranh Brah mbơh ma păng tâng nau mbơi jât, mâu ueh ôh lah gŭ ta bri Yuđa. Ndri dâng păng hăn jât bri Galilê ri. 
MAT.2.23	Tât ta bri Galilê ri păng gŭ ta du ƀon, ƀon i nây rnha Nasaret. Ndri tâm di đah nau bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh nchih ma Brah Krist: ‘Bu mra kuăl Păng bunuyh ƀon Nasaret’.
MAT.3.1	Jêh ri Yôhan-Ƀaptem tât ta bri rdah ta bri Yuđa, păng ntơm nti phung ƀon lan lah: 
MAT.3.2	“Rgâl hŏm nuih n'hâm djơh khân ay may, yorlah nau Kôranh Brah mât uănh lĕ bơi tât.”
MAT.3.3	Păng i nây bunuyh i geh nchih ta samƀŭt Êsai i bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh nchih kơt nđa:
MAT.3.3	‘Geh du huê bunuyh nter ta bri rdah lah:
MAT.3.3	‘Ndrăp hŏm nuih n'hâm ăn ma Kôranh Brah
MAT.3.3	Tâm ban ma bunuyh kuayh trong nsŏng trong ăn ma kađăch hăn’’
MAT.3.4	Lŏng Yôhan-Ƀaptem păng nsoh ao jong tanh ma rsau seh samô, văn rse bŭt jan ma ntô, ndơ sông sa păng krah ndrach, đah dak sŭt
MAT.3.5	Nôk nây ŏk bunuyh ta ƀon kuŏng Yêrusalem, ŏk bunuyh ta bri Yuđa, ndrel ma ŏk bunuyh gŭ rŏ dak rlai Yôrđăn, văch ran ta Yôhan-Ƀaptem ri. 
MAT.3.6	Khân păng gĭt săk khân păng nơm tih mbơh ro, jêh ri Yôhan-Ƀaptem jan ƀăptem yŭk khân păng ma dak ta dak rlai Yôrđăn ri. 
MAT.3.7	Tât ma say văch phung Pharisi
MAT.3.8	Lah khân may mâu ŭch Kôranh Brah tê̆ dôih, lah ndri gŭ sŏng jan ueh hŏm, gay ma gĭt say nuih n'hâm khân may lĕ rgâl ngăn ro.
MAT.3.9	Lơi hôm lah êng ta săk khân may nơm: ‘Gâp lĕ sau Abrahăm ngăn, ndri Kôranh Brah mâu hôm ôh tê̆ dôih’. Gâp lah ma khân may: Jêng sau Abrahăm dơm mâu ôh geh nau khlay. Lŭ dja Kôranh Brah sŏ njêng sau Abrahăm jêng đŏng.
MAT.3.10	Aƀaơ dja Kôranh Brah ŭch tê̆ dôih ma lĕ bunuyh i mâu jan ueh. Păng tâm ban ma bunuyh ndrăp lơi pêh thao tê̆ ta reh tơm si, Păng mra kăl lơi tơm si mâu geh play ueh, jêh ri su lơi ma ŭnh.
MAT.3.11	Gâp jan ƀăptem ăn khân may yŭk ma dak dơm, gay ma nhhơ khân may lĕ rgâl nuih n'hâm djơh jêh. Yơn ma geh du huê Kôranh bơi tât jêh, Păng geh nau dơi rlau gâp ngăn. Ta năp Păng gâp jêng bunuyh jê̆ lê̆ dơm, bol lah gâp sơm droh
MAT.3.12	Păng tâm ban ma bunuyh ndjôt dông, gay ma rseng gŭm mprôh lĕ ba i geh ta ntŭk Păng plên nây. Ba rnglay Păng sŏ tôh prăp ta jay ba Păng nơm, i nsiăp Păng su lơi ma ŭnh mâu ôh blao nhhŏt. Kơt ndri Păng tâm nkhah lơi bunuyh sŏng đah bunuyh tih, jêh ri tê̆ dôih ma bunuyh tih.”
MAT.3.13	Nôk nây Brah Yêsu hăn tă bơh bri Galilê, hăn mâp Yôhan-Ƀaptem ta dak rlai Yôrđăn, gay ma ăn Yôhan-Ƀaptem jan ƀăptem yŭk Păng ma dak.
MAT.3.14	Yơn ma tât ta nây Yôhan rlăch lah ma Păng: “Mơm hăn ta gâp, đă gâp chrao jan ƀăptem yŭk May ma dak? Di lah May sơm jan ăn gâp.”
MAT.3.15	Brah Yêsu lah: “Aƀaơ dja ăn may jan ƀŏt dô, gay ma jan tâm di dadê đah nau Kôranh Brah lĕ đă.” Jêh ri Yôhan-Ƀaptem ŭch jan. 
MAT.3.16	Jêh Brah Yêsu dơn ƀăptem yŭk ma dak, nôk Păng lôh bơh dak nây, dô ma say trôk pơk bŏng lahưr ma Păng, jêh ri Păng say Brah Huêng Ueh Kôranh Brah tâm ban ma plŭk jŭr drŏm ta Păng ri.
MAT.3.17	Dôl nây geh tăng nteh bŏr tă bơh kalơ trôk lah: “Dja Kon Gâp rŏng, Gâp răm rhơn ma Păng hô ngăn ngên.”
MAT.4.1	Jêh ri Brah Huêng Ueh leo Brah Yêsu hăn ta bri rdah, gay ma ăn Satăng i kôranh mpôl brah djơh ndơm Păng.
MAT.4.2	Brah Yêsu ăt sông sa 40 năng 40 nar, bơh kơi nây Păng ji ngot ngăn ro.
MAT.4.3	Jêh ri Satăng i bu kuăl lah ‘Kôranh ndơm’ đŏng, hăn dăch a Păng, lah ma Păng: “Lah May Kon Kôranh Brah ngăn ngên, lŏng May đă lŭ aƀă dja ăn jêng ndơ sông sa!” 
MAT.4.4	Yơn ma Brah Yêsu ơh ma păng: “Mâu ôh. Lĕ bu nchih jêh ta Nau Kôranh Brah Ngơi:
MAT.4.4	‘Bunuyh mâu ôh rêh tă bơh ndơ sông sa dơm,
MAT.4.4	Rêh tă bơh dâng lĕ nau ngơi lôh tă bơh mbung Kôranh Brah’.”
MAT.4.5	Jêh bơh nây kôranh mpôl brah djơh i nây leo Brah Yêsu lăp ta ƀon kuŏng Yêrusalem i ƀon kloh ueh, jêh ri ăn Păng ta kalơ chor nhih jan brah ma Kôranh Brah, ta ntŭk i dŭt prêh nây. 
MAT.4.6	Păng lah ma Brah Yêsu: “Lah May Kon Kôranh Brah ngăn ngên, lŏng May nsăt jât dŏng su, yorlah lĕ bu nchih jêh ta Nau Kôranh Brah Ngơi:
MAT.4.6	‘Kôranh Brah đă mpôl tông păr Păng nơm ăn kơl May’,
MAT.4.6	geh nchih đŏng:
MAT.4.6	‘Ti tông păr drơ May,
MAT.4.6	Mâu ôh ăn jŏng May geh nchĭnh ma lŭ’”
MAT.4.7	Brah Yêsu ơh ma păng: “Ta Nau Kôranh Brah Ngơi lĕ nchih kơt nđa: ‘Lơi ôh rlong nau dơi Kôranh Brah i brah khân ay may yơk mbah’
MAT.4.8	Jêh ri kôranh mpôl brah djơh i nây leo Brah Yêsu hao ta kalơ yôk dŭt prêh, nhhơ ăn Păng say dâng lĕ bri dak ta neh ntu dja, ndrel ma dâng lĕ ndơ khlay ta bri dak nây.
MAT.4.9	Păng lah ma Brah Yêsu: “Lah May păn yơk mbah ma gâp, dâng lĕ ndơ i nây gâp ăn ma May mât uănh dadê!” 
MAT.4.10	Brah Yêsu lah: “Hơi Satăng, ăn may du hŏm! Yorlah ta Nau Kôranh Brah Ngơi lĕ nchih jêh:
MAT.4.10	‘Đă khân ay may yơk mbah ma Kôranh Brah i Brah khân ay may nơm,
MAT.4.10	Jan kar iăt nau du huê Păng i nây dơm’
MAT.4.11	Jêh ri kôranh mpôl brah djơh i nây du bơh Brah Yêsu nây, dô ma geh phung tông păr Kôranh Brah văch ta Brah Yêsu, sơm kơl jan kar ăn ndơ sông sa ma Păng.
MAT.4.12	Tât Brah Yêsu gĭt Yôhan-Ƀaptem lĕ bu krŭng ta ndrung, jêh ri Păng lôh bơh bri Yuđa plơ̆ gŭ tay ta bri Galilê.
MAT.4.13	Păng hăn ta ƀon Nasaret, jêh ri hăn gŭ ta ƀon Kapơnŭm i dăch kêng nglao kuŏng Galilê
MAT.4.14	Păng gŭ ta nây gay ma tâm di đah nau ngơi Êsai i bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh lĕ nchih jêh:
MAT.4.15	‘Ơ bri mpôl Sapulôn, ndrel ma bri mpôl Năptali
MAT.4.15	I rŏ trong rŏ meng dak nglao kuŏng Galilê, ơ bri mpeh kăl ti dak rlai Yôrđăn, bri Galilê ntŭk ŏk phung i mâu di phung Israel gŭ!
MAT.4.16	Phung ƀon lan ta nây khân păng tâm ban ma gŭ ta nau ngo, klach ma nau khât, mâu geh nau rnơm,
MAT.4.16	Khân păng tâm ban ma say nau ang dŭt kuŏng, ang ngăn, ăn khân păng geh nau rnơm yor ma ndơ i geh ta bri khân păng’
MAT.4.17	Ntơm bơh nôk nây Brah Yêsu mbơh nkoch: “Rgâl hŏm nuih n'hâm djơh khân ay may, yorlah nau Kôranh Brah mât uănh bơi ma tât ngăn ro.”
MAT.4.18	Geh du nar ri Brah Yêsu hăn brô̆ rŏ meng dak nglao kuŏng Galilê, Păng say bar hê oh nô gŭ seng jal ta dak nây, Simôn i bu kuăl Pêtrôs đŏng, ndrel ma Ŏndrê. Bar hê khân păng i nây jêng bunuyh jan kar văng ka dơm.
MAT.4.19	Jêh ri Brah Yêsu lah ma khân păng: “Hơi oh nô, hô̆ tâng Gâp, Gâp ăn khân may hăn joi bunuyh iăt nau Gâp, tâm ban ma seng ka.”
MAT.4.20	Dô ma bar hê khân păng ri ntlơi jal prŭng ta nây, jêh ri tâng Brah Yêsu ro.
MAT.4.21	Hăn tât a năp Brah Yêsu say bar hê oh nô a êng jât, Yakơ, ndrel ma Yôhan i kon Sêƀêđê. Khân păng dôl gŭ sŭl jal ta duk, ndrel ma i bơ̆ khân păng nơm. Brah Yêsu kuăl jă bar hê khân păng nây hăn ndrel Păng. 
MAT.4.22	Jêh ri khân păng ntlơi duk, ntlơi bơ̆ khân păng nơm ta ri, hăn tâng Brah Yêsu ro.
MAT.4.23	Brah Yêsu hăn lam bri Galilê, Păng nti phung ƀon lan ta nhih rƀŭn phung Israel khân păng nơm. Păng mbơh nkoch nau mhe mhan ueh ma nau Kôranh Brah mât uănh, jêh ri jan bah dâng lĕ nau ji ăp ntil.
MAT.4.24	Bu lư Brah Yêsu lam bri Siri đŏng i tâm dăch ma bri Galilê. Jêh ri bu njŭn leo dâng lĕ bunuyh i geh nau ji a Păng, bunuyh geh nau ji kuet ăp ntil, bunuyh brah djơh lơh, bunuyh brŭt, ndrel ma bunuyh rven jŏng rven ti, Păng jan bah dadê. 
MAT.4.25	Jêh ri geh bunuyh phung ŏk tâng Păng, khân păng tă bơh bri Galilê, tă bơh bri Đêkapôlis, tă bơh ƀon kuŏng Yêrusalem, tă bơh bri Yuđa, ndrel ma tă bơh kăl ti dak rlai Yôrđăn.
MAT.5.1	Tât Brah Yêsu say phung ƀon lan ŏk, Păng hao ta meng yôk, gŭ rgơp ta nây. Mpôl oh mon Păng hăn a Păng, 
MAT.5.2	jêh ri Brah Yêsu nti lah khân păng:
MAT.5.3	“Ueh maak ngăn ma bu moh i lĕ gĭt jêh blao jan ndơ ueh lah Kôranh Brah kơl dơm, yorlah Kôranh Brah mât uănh khân păng
MAT.5.4	Ueh maak ngăn ma bu moh i geh nau nhŭm rngot, yorlah Kôranh Brah mra bonh leng khân păng.
MAT.5.5	Ueh maak ngăn ma bu moh geh nuih n'hâm mleh, yorlah khân păng tay sŏ dơn dâng lĕ neh ntu.
MAT.5.6	Ueh maak ngăn ma bu moh nđơr joi nau sŏng tâm ban ma bunuyh ji ngot ji hir joi ndơ sông sa, yorlah Kôranh Brah mra ăn khân păng hơm ngăn ro.
MAT.5.7	Ueh maak ngăn ma bu moh geh nau yô̆ ma bu, yorlah Kôranh Brah yô̆ ăn ma păng.
MAT.5.8	Ueh maak ngăn ma bu moh geh nuih n'hâm kloh, yorlah khân păng tay say Kôranh Brah.
MAT.5.9	Ueh maak ngăn ma bu moh gĭt tâm kơl tâm rnglăp, yorlah khân păng bu kuăl tay jêng kon Kôranh Brah.
MAT.5.10	Ueh maak ngăn ma bu moh bu jan jêr ach ma jan tâng nau sŏng, yorlah Kôranh Brah mât uănh khân păng.
MAT.5.11	Ueh maak ngăn ma khân ay may, lah bu rak suai jan jêr, ndrel ma ngơi nchơt ăp ntil ma khân ay may, ach ma iăt tâng nau Gâp.
MAT.5.12	Răm hŏm, maak răm hŏm, yorlah khân ay may tay geh ndơ nkhôm kuŏng ta ƀon ueh ta kalơ trôk. Ăn kah gĭt, bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh bu jan jêr kơt dja đŏng.”
MAT.5.13	“Khân ay may tâm ban ma boh ăn ma bunuyh ta neh ntu dja. Boh jêng du ntil ndơ tê̆ trao ma kah ngăn, lah boh i nây mâu hôm geh kah, mơm hôm blao jan gay ma ăn plơ̆ kah jât? Lah ndri bu mƀăr lơi bơh dih, jêh ri bu jot rƀlach dơm.
MAT.5.14	Khân ay may tâm ban ma nau ang ma bunuyh ta neh ntu dja, tâm ban ma ƀon i bu jan ta kalơ yôk mâu ôh dơi pôn ndŏp.
MAT.5.15	Bu mâu vay ôh mpoh ŭnh sagêng, jêh ri kŭp lơi ma ndoh. Bu yông ŭnh sagêng i nây ta n'gŏng, gay ma ang dâng lĕ bunuyh ta trôm jay nây. 
MAT.5.16	Lah ndri nau ang khân ay may ăn ngaang hŏm dâng lĕ bunuyh, gay ma ăn bu gĭt say nau ueh khân ay may jan, jêh ri bu rnê nau chrêk lơp Bơ̆ khân ay may nơm i gŭ ta kalơ trôk ri.”
MAT.5.17	“Dăn khân ay may lơi ta mân ôh Gâp dja văch, gay ma n'groh mƀăr lơi nau vay phung bân, mâu lah n'groh mƀăr lơi nau bunuyh ntơyh nau ngơi Kôranh Brah kăl e nơh lĕ geh lah. Gâp mâu geh ôh văch gay ma n'groh mƀăr lơi ndơ i nây, Gâp văch gay ma ăn nau i nây jêng ngăn ro.
MAT.5.18	Gâp lah n'hêl nanê̆ ngăn ma khân ay may, lah trôk, ndrel ma neh ntu ê hŏ lôch ôh, mâu geh ôh roh du rplây rso ta samƀŭt Nau Vay i nây, du ntil ta rplây rso dŭt jê̆ mâu roh đŏng, Nau Kôranh Brah Ngơi i nây hôm ƀaƀơ tât lôch dâng lĕ. 
MAT.5.19	Bu moh i jan tih ma du ntil nau i dŭt jê̆ jê̆ ta nau vay i nây, jêh ri nti ăn ma bu jan tâng kơt đŏng, ta nau Kôranh Brah mât uănh tay bu kuăl păng jêng bunuyh jê̆ ta nâm bu. Yơn ma bu moh jan tâng nau vay i nây, jêh ri nti ăn ma bu jan tâng kơt đŏng, ta nau Kôranh Brah mât uănh tay bu kuăl păng jêng bunuyh kuŏng ngăn.
MAT.5.20	Gâp lah ma khân ay may: Lah nau sŏng khân ay may mâu rlau ôh ma nau sŏng phung nơm nti nau vay phung bân, ndrel ma nau sŏng phung Pharisi, khân ay may mâu dơi ôh lăp ta nau Kôranh Brah mât uănh.”
MAT.5.21	“Khân ay may lĕ tăng bu lah ma phung u che kăl e nơh: ‘Lơi ôh nkhât bunuyh’
MAT.5.22	Yơn ma Gâp lah ma khân ay may kơt nđa: Bu moh i ji nuih đah ma oh nô păng dơm, păng i nây Kôranh Brah tê̆ dôih ma păng. Bu moh i ngơi djơh ma oh nô păng, păng i nây Kôranh Brah tê̆ dôih. Jêh ri bu moh i rak suai bu, păng i nây Kôranh Brah tê̆ dôih gŭ ta ndrung ŭnh n'ho ro.
MAT.5.23	Lah ndri nôk khân ay may ndjôt ndơ nhhơr hăn ta nhih jan brah ma Kôranh Brah ta nsưng gŭch pur ndơ jan brah, tât ta nây lah khân ay may kah gĭt khân ay may geh jan tih ma oh nô khân ay may, 
MAT.5.24	ăn khân ay may prăp ndơ nhhơr i nây ta nây ƀŏt, jêh ri hăn dăn nau yô̆ lor đah oh nô khân ay may, ri mơ dâng khân ay may plơ̆ nhhơr tay ndơ i nây nơh.
MAT.5.25	Ăn khân ay may tâm dăn nau yô̆ hŏm đah bunuyh i geh nau đah khân ay may dôl khân ay may hôm hăn ndrel păng rŏ trong hăn ta kôranh phat dôih. Klach lah păng njŭn khân ay may ăn ma kôranh phat dôih, kôranh phat dôih njŭn khân ay may ăn ma kôranh ndrung, jêh ri kôranh ndrung krŭng khân ay may ta trôm ndrung ro. 
MAT.5.26	Gâp lah n'hêl nanê̆ ngăn ma khân ay may, lah khân ay may mâu râng ăn prăk ma bu, khân ay may mâu ôh dơi lôh bơh ntŭk nây, bol lah du sên mâu roh đŏng.”
MAT.5.27	“Khân ay may lĕ tăng ta nau vay bân lĕ nchih lah kơt nđa: ‘Lơi ta lŏm ur lŏm sai’
MAT.5.28	Yơn ma Gâp lah ma khân ay may, lah bu moh uănh bu ur nđâp ma kơnh, lah ndri ta nuih n'hâm păng ri lĕ kơp lŏm ur đah bu ur i nây. 
MAT.5.29	Lah ndri lah trôm măt bơh ma khân ay may leo jan tih, ăn khân ay may rvek mƀăr lơi trôm măt i nây, yorlah ueh đê̆ lah dơn roh trôm măt du ding, ma đah dâng lĕ săk jăn khân ay may hôm râng, jêh ri hăn ta ndrung ŭnh n'ho ro.
MAT.5.30	Lah ti bơh ma khân ay may leo jan tih, ăn khân ay may koh mƀăr lơi ti i nây, yorlah ueh đê̆ lah dơn roh ti du ding, ma đah dâng lĕ săk jăn khân ay may hôm râng, jêh ri hăn ta ndrung ŭnh n'ho ro.”
