MAT.1.1	Yesu Krɩstʋ weyi ɛ-cɔzɔ lɛ Daaviidi nɛ ɛ́lɛ́ cɔzɔ lɛ Abraham yɔ, ɛ-cɔzɔnaa hɩla yɔ:
MAT.1.17	Yee ḿbʋ́, pɩkpaɣʋnɩ Abraham nɛ puwolo pɩsɩɩnɩ Daaviidi yɔ, cɔzɔnaa wɛ hiu nɛ naanza. Pɩkpaɣʋnɩ Daaviidi alɩwaatʋ nɛ puwolo pɩsɩɩnɩ ndʋ́ tɩ-taa pɛkɛzɩ Izrɛɛlɩ ñɩma tɛtʋ Babilooni yɔ, paba ñɛwɛ hiu nɛ naanza ɖɔɖɔ. Pɩkpaɣʋnɩ alɩwaatʋ ńdʋ́ nɛ puwolo pɩsɩɩnɩ Krɩstʋ yɔ, cɔzɔnaa wɛ hiu nɛ naanza ɖɔɖɔ.
MAT.1.18	Ɩna ɛzɩma pɩtɩŋaa nɛ palʋlɩ Yesu Krɩstʋ yɔ. Maarɩɩ weyi ɛlʋlɩ-ɩ yɔ, ɛɛkɛ pɛlɛ weyi posu Yozɛɛfʋ yɔ. Ɛ nɛ ɩ pataacaɣ wiɖiyi. Ɛlɛ́, Maarɩɩ haɣ howa nɛ Fezuu Kiɖeɖeu ɖoŋ. 
MAT.1.19	Yozɛɛfʋ ɛnʋ, ɛkɛ ɛyʋ kʋtʋʋzʋ. Ḿbʋ́ yebina nɛ ɛna-ɩ ḿbʋ́ lɛ, ɛtɔsɔɔlɩ se ɛɖʋ-ɩ fɛyɛ ɛyáa hɛkʋ taa. Ɛlɛ́, ɛɖʋ se ekiziɣ-i mɛsaɣ tɛɛ. 
MAT.1.20	Ɛwɛɛ ɛmaɣzɩɣ ḿbʋ́ lɛ, Kɩpaɣlʋ tiyiyu nɔɔyʋ lɩɩ ɛ-yɔɔ ɖoziye taa nɛ eheyi-i se: «Daaviidi sayɩ Yozɛɛfʋ! Sɔɔndʋ ɛtaakpa-ŋ nɛ Maarɩɩ kpaɣʋ. Mbʋ́ pʋyɔɔ yɔ, Fezuu Kiɖeɖeu ɖoŋ ɛhaɣnɩ howa ŋ́gá. 
MAT.1.21	Ɛlʋlʋʋ pɩɣa ŋ́gá lɛ, ŋyaa-kɛ se Yesu, mbʋ́ pʋyɔɔ yɔ, ŋ́gá kɔŋnɩ ɛyáa ñʋʋ yabʋ nɛ kalɩzɩ-wɛ pa-kɩwɛɛkɩm taa.»
MAT.1.22	Pɩtɩŋa payɩ pɩlaba ḿbʋ́ se tɔm ndʋ́ Kɩpaɣlʋ katɩŋnɩ náyʋ nɔɔyʋ yɔɔ nɛ ɛyɔɔdɩ yɔ, tɩla. Ńdʋ́ lɛ se:
MAT.1.23	«Ɩnaɣ, pɛlɛ nɔɔyʋ kɔŋ haɣʋ nɛ ɛlʋlɩ pɩɣa nɛ
MAT.1.23	payaa-kɛ se Emaanʋyɛɛlɩ.»
MAT.1.23	Pʋ-tɔbʋʋ se Ɛsɔ wɛ ɖɔ-cɔlɔ. 
MAT.1.24	Yozɛɛfʋ fema lɛ, ɛkpaɣ Maarɩɩ ɛzɩ Kɩpaɣlʋ tiyiyu heyuu-i yɔ. 
MAT.1.25	Ɛlɛ́, etotukini-i nɛ pʋkɔɔ pɩsɩɩnɩ alɩwaatʋ ndʋ́ ɛlʋlɩ ɛ-pɩɣa yɔ. Ɛlʋlɩ-kɛ lɛ, Yozɛɛfʋ ɛnʋ ɛ́yáa-kɛ se Yesu.
MAT.2.1	Palʋlɩ Yesu Bɛtlɛhɛm Yudee egeetiye taa. Alɩwaatʋ ńdʋ́ lɛ, Eroodi kɛkɛnɩ wiyaʋ sɔsɔ ɖɩ-taa. Palʋlɩ-ɩ lɛ, lɔŋsɩnɖaa mbá pasɩm tɩɩnzɩ camɩyɛ yɔ, palɩɩnɩ ɖooo wɩsɩ ɖɩlɩyɛ nɛ pɔkɔɔ Yeruusalɛm. 
MAT.2.2	Patalaa lɛ, pɔpɔzʋʋ se: «Le pɩɣa ŋgá palʋlɩ-kɛ se kɛkɛ Yuda ñɩma wiyaʋ sɔsɔ yɔ kɛwɛɛ? Đɩna tɩɩŋa ŋgá kawɩlɩɣ se palʋlɩ pɩɣa ŋ́gá yɔ wɩsɩ ɖɩlɩyɛ. Pʋ-yɔɔ ɖɩkɔm se ɖiluŋ kɛ-tɛɛ.» 
MAT.2.3	Ɛlɛ́, Eroodi nɩɩ ḿbʋ́ nɛ pɩcɛyɩ-ɩ pɩŋŋ nɛ pɩkpɛndɩnɩ Yeruusalɛm ñɩma tɩŋa. 
MAT.2.4	Peeɖe ekpeɣli ɛ-ɛjaɖɛ taa cɔjɔnaa sɔsaa nɛ paɣtʋ wɩlɩyaa patɩŋa payɩ nɛ ɛpɔzʋʋ-wɛ se: «Le palʋlʋʋ Weyi Ɛsɔ Lɩzaa Yɔ yee?» 
MAT.2.5	Pocosi-i se: «Bɛtlɛhɛm, Yudee egeetiye taa. Mbʋ́ pʋyɔɔ yɔ, náyʋ nɔɔyʋ kamawa se:
MAT.2.6	‹Ña Bɛtlɛhɛm tɛtʋ lɛ!
MAT.2.6	Pʋtɔtɔyɩnɩ-ŋ kpem Yudee egeetiye taa.
MAT.2.6	Mbʋ́ pʋyɔɔ yɔ, ña-taa pɔkɔŋ lʋlʋʋ wiyaʋ sɔsɔ
MAT.2.6	weyi ɛkɔŋ ɖɔkʋʋ Izrɛɛlɩ ñɩma yɔ.› »
MAT.2.7	Peeɖe Eroodi ya lɔŋsɩnɖaa ḿbá mɛsaɣ tɛɛ nɛ ɛpɔzɩ-wɛ se: «Alɩwaatʋ ndʋ́ tɩ-yɔɔ ɖeyi ɖeyi tɩɩŋa ŋ́gá kalɩwa?» 
MAT.2.8	Pʋwayɩ lɛ, etiyi-wɛ se: «Iwolo Bɛtlɛhɛm nɛ ɩñɩnɩ pɩɣa ŋ́gá camɩyɛ. Ɩna-kɛ lɛ, ɩpɩsɩ iheyi-m nɛ mowolo moluŋ kɛ-tɛɛ ɖɔɖɔ.»
MAT.2.9+MAT.2.10	Eroodi tɛm lɔŋsɩnɖaa ḿbá yɔɔdɩnaʋ lɛ, palɩɩ se pɛɖɛɣ Bɛtlɛhɛm. Peeɖe pana tɩɩŋa ŋgá paana wɩsɩ ɖɩlɩyɛ yɔ nɛ patɩŋɩɣ-kɛ. Pana-kɛ lɛ, pɩlabɩ-wɛ leleŋ pɩtɩɩfɛyɩ. Katalɩ ɖenɖe pɩɣa ŋ́gá kɛwɛɛ yɔ lɛ, kasɩŋ 
MAT.2.11	nɛ pasʋʋ ɖɩɣa nɛ pana pɩɣa ŋ́gá nɛ ko-ɖoo Maarɩɩ nɛ poluŋ kɛ-tɛɛ paɖʋ-kɛ hɩɖɛ. Pʋwayɩ lɛ, pɛyɛɖɩ po-wondu nɛ paha-kɛ sika nɛ tɩlaaɖɩ ŋgʋ́ pɔhɔkɩ yɔ nɛ ŋgʋ́ payaɣ-kʋ se miiri yɔ. 
MAT.2.12	Pɛtɛm labʋ ḿbʋ́ lɛ, Ɛsɔ heyi-wɛ nɛ ɖoziye taa se pataapɩsɩ Eroodi cɔlɔ. Peeɖe pakpaɣ nʋmɔʋ lɛɛkʋ nɛ pekpe.
MAT.2.13	Lɔŋsɩnɖaa ḿbá pɛɖɛwa lɛ, Kɩpaɣlʋ tiyiyu nɔɔyʋ lɩɩ Yozɛɛfʋ yɔɔ ɖoziye taa nɛ eheyi-i se: «Eroodi caɣ se ɛkʋ pɩɣa ŋ́gá. Pʋ-yɔɔ lɛ, kʋyɩ ŋkpaɣ ka nɛ ko-ɖoo nɛ ña nɛ wɛ ise iwolo Ejiptɩ nɛ ɩcaɣ peeɖe nɛ pʋkɔɔ pɩsɩɩnɩ alɩwaatʋ ndʋ́ meheyiɣ-ŋ se ɩpɩsɩ yɔ.»
MAT.2.14	Peeɖe Yozɛɛfʋ kʋyɩ ɖoó ana a-taa nɛ ɛkpaɣ pɩɣa ŋ́gá nɛ ko-ɖoo nɛ ɛ nɛ wɛ pɛɖɛɛ Ejiptɩ. 
MAT.2.15	Pacaɣ peeɖe nɛ pʋkɔɔ pɩsɩɩnɩ alɩwaatʋ ndʋ́ Eroodi sɩba yɔ. Pɩlaba ḿbʋ́ se ndʋ́ Kɩpaɣlʋ katɩŋnɩ náyʋ nɔɔyʋ yɔɔ nɛ ɛyɔɔdɩ yɔ, tɩla. Ńdʋ́ lɛ se: «Maya man-pɩyalʋ nɛ Ejiptɩ se ɛlɩɩ.»
MAT.2.16	Eroodi kɔm ɛna se lɔŋsɩnɖaa ḿbá pɛcɛtɩ-ɩ kɩcɛtʋ, paapɩsɩɣ ɛ-cɔlɔ lɛ, ɛ-pana kpa pɩŋŋ nɛ ɛkʋsɩ sɔɔjanaa nɛ etiyi-wɛ se pɔcɔɔ Bɛtlɛhɛm tɛtʋ nɛ tɩ-cɔlɔ ñɩndʋ pa-taa nɛ pakʋ abalɩbiya nzɩ́ sɩtɩŋa payɩ sɩwɛnɩ pɩnzɩ naalɛ nɛ pɩkpaɣ pitii yɔ. Eheyi-wɛ ḿbʋ́ nɛ ɛkɛdɩnɩ alɩwaatʋ ndʋ́ lɔŋsɩnɖaa keheyi-i yɔ. 
MAT.2.17	Ḿbʋ́ pɩlaba ɛzɩ náyʋ Yereemii kɔyɔɔdʋʋ se:
MAT.2.18	«Đɩnɩ nɔɔyʋ makɩ kubusi nɛ
MAT.2.18	ewiliɣ nɛ ɛtɩmɩɣ pɩtɩɩfɛyɩ Raamaa tɛtʋ taa.
MAT.2.18	Đo-ɖoo Rakɛɛlɩ wiɣni e-piya nɛ
MAT.2.18	ɛtɔsɔɔlɩ se pɛhɛzɩ ɛ-laŋɩyɛ.
MAT.2.18	Mbʋ́ pʋyɔɔ yɔ, sifetaa.»
MAT.2.19	Eroodi sɩba lɛ, Kɩpaɣlʋ tiyiyu nɔɔyʋ lɩɩ Yozɛɛfʋ yɔɔ ɖoziye taa Ejiptɩ 
MAT.2.20	nɛ eheyi-i se: «Kʋyɩ ŋkpaɣ pɩɣa nɛ ko-ɖoo nɛ ña nɛ wɛ ɩpɩsɩ Izrɛɛlɩ. Mbʋ́ pʋyɔɔ yɔ, mbá pañɩnaɣ se pakʋ pɩɣa ŋ́gá yɔ, pasɩba.»
MAT.2.21	Peeɖe Yozɛɛfʋ kʋyaa ɖɔɖɔ ɛkpaɣ pɩɣa nɛ ko-ɖoo nɛ papɩsɩ Izrɛɛlɩ. 
MAT.2.22	Patalɩ peeɖe lɛ, Yozɛɛfʋ nɩɩ se Arcɛlaayuusi lɛɣzɩnɩ ɛ-caa Eroodi lone taa Yudee egeetiye taa. Pʋ-yɔɔ sɔɔndʋ kpa-ɩ nɛ ɖɩ-taa caɣʋ. Ɛlɛ́, pʋyɔɔdɩnɩ-ɩ ɖoziye taa nɛ ɛkʋyɩ ewolo Galilee egeetiye taa 
MAT.2.23	nɛ ɛcaɣ tɛtʋ ndʋ́ payaɣ se Nazarɛɛtɩ yɔ tɩ-taa.
MAT.2.23	Pɩlabɩ ḿbʋ́ se tɔm ndʋ́ náyaa kɔyɔɔdaa yɔ, tɩla. Ńdʋ́ lɛ se: «Pɔkɔŋ pɩɣa ŋ́gá yaʋ se Nazarɛɛtɩ tʋ.»
MAT.3.1	Alɩwaatʋ ńdʋ́ʋ́ Lɩm Sɔʋ Sɔnzɩ Laɖʋ Yohanɛɛsɩ pazɩ susuu Ɛsɔtɔm Yudee lakʋ taa. 
MAT.3.2	Eheyaɣ ɛyáa se: «Ɩlɛɣzɩ wɛtʋ, mbʋ́ pʋyɔɔ yɔ, Ɛsɔ Kewiyaɣ wɩzɩ talʋʋ.»
MAT.3.3	Yohanɛɛsɩ tɔm náyʋ Ezaayii yɔɔdaa se:
MAT.3.3	«Nɔɔyʋ susuu lakʋ taa se
MAT.3.3	pɔñɔɔzɩ Kɩpaɣlʋ nʋmɔʋ nɛ
MAT.3.3	pala nɛ kʋtʋʋzɩ camɩyɛ.»
MAT.3.4	Yohanɛɛsɩ ɛnʋ, esuwaɣ toko ŋgʋ́ palʋnɩ kpaŋnɔ siɣá naalɛ tʋ hʋndʋ yɔ nɛ ɛtɔɔlʋʋ tambaɖɛ nɖɩ́ palabɩnɩ tɔnɛ yɔ. Kutoloŋ nɛ tʋŋ num ɛtɔkaɣ.
MAT.3.5	Yohanɛɛsɩ susaɣ tɔm lakʋ taa ḿbʋ́ lɛ, Yeruusalɛm ñɩma nɛ Yudee hɔɔlɩŋ tɩŋa taa ñɩma nɛ hɔɔlɩŋ weyi ɩtɩŋa payɩ ɩñɔtɩnɩ Yɔɔrdaŋ pɔɔ yɔ ɩ-taa ñɩma, palɩɣ powoki ɛ-cɔlɔ 
MAT.3.6	nɛ paa weyi ɛyɔɔdʋʋ ɛ-kɩwɛɛkɩm mbʋ́ ɛlaba yɔ nɛ Yohanɛɛsɩ ɛnʋ ɛlakɩ-wɛ lɩm sɔʋ sɔnzɩ Yɔɔrdaŋ pɔɔ taa.
MAT.3.7	Yohanɛɛsɩ nawa se Farɩsɩ ŋgbɛyɛ taa ñɩma nɛ Saduki ŋgbɛyɛ taa ñɩma mbá powoki ɛ-cɔlɔ se ɛlabɩ-wɛ lɩm sɔʋ sɔnzɩ yɔ, pɔɖɔwa siŋŋ. Peeɖe eheyi-wɛ se: «Ɛyáa azaɣ́a mɩ! Acɩba-mɩ cɩkpalʋʋ se Ɛsɔ pana kɔŋ-mɩ kpanaʋ yɔ? 
MAT.3.8	Ɩla lakasɩ nzɩ́ sɩwɩlɩɣ se ɩlɛɣzɩ wɛtʋ yɔ. 
MAT.3.9	Ɩtaamaɣzɩ se mɩ-cɔzɔ lɛ Abraham yɔ, pɩtɛma. Mbʋ́ pʋyɔɔ yɔ, meheyiɣ-mɩ se Ɛsɔ pɩzɩɣ ɛla nɛ pɛɛ anɛ apɩsɩ Abraham liɖe taa ñɩma.» 
MAT.3.10	Peeɖe etuu-wɛ eduuye se: «Halɩ pɛtɛm kpaɣʋ laɖɩyɛ se pɛsɛtɩɣ tɩŋ nɛ ɩ-tɛɛ: tɩʋ ŋgʋ́ kɩɩlʋlʋʋ pee kɩbana yɔ, pɛsɛtɩɣ-kʋ nɛ paɖʋ miŋ taa.» 
MAT.3.11	Meheyiɣ-mɩ se: «Ma lɛ, malakɩ-mɩ lɩm sɔʋ sɔnzɩ nɛ pɩwɩlɩ se ɩlɛɣzɩ wɛtʋ. Ma-wayɩ lɛ, weyi ɛkɔŋ yɔ, ɛkɩlɩ-m. Halɩ mantatɩɩmʋna se mankpaɣ ɛ-naataŋgbala nɛ mɔnɖɔkɩ. Ɛkɔŋ-mɩ labʋ sɔnzɩ nɛ Fezuu Kiɖeɖeu ɖoŋ nɛ miŋ. 
MAT.3.12	Ɛwɛ ɛzɩ falɩyʋ ɖɔkʋʋ ɖaakuɖe nɛ ɛfalɩɣ nɛ esuu pee kpou taa nɛ piyele ɛɖʋʋ lɔtʋ miŋ weyi eeɖeŋ wiɖiyi kaʋ yɔ ɛ-taa yɔ.»
MAT.3.13	Yohanɛɛsɩ lakaɣ ɛyáa lɩm sɔʋ sɔnzɩ Yɔɔrdaŋ pɔɔ taa ḿbʋ́ lɛ, Yesu lɩɩnɩ Galilee egeetiye taa nɛ ewolo ɛ-cɔlɔ peeɖe se ɛlabɩ-ɩ-sɩ. 
MAT.3.14	Peeɖe Yohanɛɛsɩ tacaɣ tisuu nɛ ekitini Yesu se: «Ma pʋmʋnaa se mɔnkɔɔ ñɔ-cɔlɔ nɛ ŋlabɩ-m-sɩ nɛ ña ñakʋyɩ ŋkɔŋ mɔn-cɔlɔ tuluŋa na!» 
MAT.3.15	Ɛlɛ́, Yesu cosi-i se: «Yele pɩla ḿbʋ́ lɛɛlɛɛyɔ. Ḿbʋ́ pʋmʋnaa se ɖɩla mbʋ́ pɩtɩŋa payɩ pʋtʋʋzaa yɔ.» Eheyi Yohanɛɛsɩ ḿbʋ́ lɛ, ɛ́lɛ́ tisi nɛ ɛlabɩ-ɩ lɩm sɔʋ sɔnzɩ.
MAT.3.16	Yohanɛɛsɩ tɩtɛm Yesu labʋ sɔnzɩ ńzɩ́ lɛ, Yesu lɩɣnɩ lɩm taa. Peeɖe ɛsɔdaa tʋlaa nɛ ɛna Fezuu Kiɖeɖeu lɩ ɛzɩ halikuku yɔ nɛ kitiki Yesu ɛnʋ ɛ-yɔɔ 
MAT.3.17	nɛ pʋyɔɔdʋʋnɩ ɛsɔdaa se: «Ɛnɛ lɛ man-Pɩyalʋ kʋsɔɔlʋ, maahʋʋ ɛ-yɔɔ kaʋ.»
MAT.4.1	Pʋwayɩ lɛ, Fezuu Kiɖeɖeu tolisi Yesu nɛ kiwoni-i lakʋ taa se Satanɩ ɛtakɩ-ɩ. 
MAT.4.2	Yesu kɔhɔkɩ nɔɔ kɩyakɩŋ nɩɩnaza. Pʋwayɩ lɛ, ñɔɔsɩ wɩ-ɩ. 
MAT.4.3	Peeɖe Satanɩ woba ɛ-cɔlɔ nɛ eheyi-i se: «Yee ŋnaɣ se ŋkɛ Ɛsɔ Pɩyalʋ yɔ, heyi pɛɛ anɛ se apɩsɩ tindine nɛ ŋtɔɔ.» 
MAT.4.4	Yesu cosi-i se: «Pama Ɛsɔtɔm Takayaɣ taa se:
MAT.4.4	‹Pɩtɛkɛ tɔɔnaɣ ɖeke ɛyʋ cakɩnɩ wezuu.
MAT.4.4	Ɛlɛ́, pʋwɛɛ se ɛcaɣ-kʋ ɖɔɖɔ nɛ tɔm ndʋ́ tɩtɩŋa payɩ tɩlɩɣnɩ Ɛsɔ nɔɔ taa yɔ.› »
MAT.4.5	Yesu cosi-i ḿbʋ́ lɛ, Satanɩ ɛnʋ ɛkpaɣ-ɩ ewoni-i Ɛsɔ tɛtʋ
MAT.4.6	nɛ eheyi-i se: «Yee ŋkɛ Ɛsɔ Pɩyalʋ yɔ, kʋyɩ ŋmaa tataa. Mbʋ́ pʋyɔɔ yɔ, pama Ɛsɔtɔm Takayaɣ taa se
MAT.4.6	‹Ɛsɔ heyiɣ e-tiyiyaa se petem-ŋ
MAT.4.6	pɔ́ɖɔ́kɩ-ŋ pe-nesi taa nɛ
MAT.4.6	ŋtaatɔlɩ pɩyɛ naɖɩyɛ yɔɔ nɛ pʋkʋ ña-naŋgbaŋaɣ.› »
MAT.4.7	Peeɖe Yesu cosi-i se: «Pama ka-taa ɖɔɖɔ se:
MAT.4.7	‹Taatakɩ ña-Kɩpaɣlʋ Ɛsɔ se ŋna ɛ-wayɩ.› »
MAT.4.8	Ecosi ḿbʋ́ lɛ, Satanɩ ɛnʋ ɛtasɩ-ɩ kpaɣʋ nɛ ewoni-i pʋʋ ŋgʋ́ kʋkʋyɩ siŋŋ yɔ kʋ-ñʋʋ taa nɛ ɛwɩlɩ-ɩ kedeŋa yɔɔ ajɛya kpeekpe nɛ a-koboyaɣ 
MAT.4.9	nɛ eheyi-i se: «Yee ŋluŋ mɛn-tɛɛ nɛ ŋɖʋ-m hɩɖɛ yɔ, mahaɣ-ŋ pɩtɩŋa payɩ.» 
MAT.4.10	Yesu heyi-i se: «Satanɩ ɖɛɛ mɔ-yɔɔ! Mbʋ́ pʋyɔɔ yɔ, pama Ɛsɔtɔm Takayaɣ taa se:
MAT.4.10	‹Ña-Kɩpaɣlʋ Ɛsɔ ɖeke koŋ tɛɛ
MAT.4.10	pʋwɛɛ se ŋluŋ nɛ ŋla ɛ-tʋmɩyɛ.› »
MAT.4.11	Peeɖe Satanɩ yebi-i. Pʋwayɩ lɛ, Ɛsɔ tiyiyaa wolo Yesu cɔlɔ nɛ pasɩnɩ-ɩ.
MAT.4.12	Pɩkɛdaa lɛ, Yesu nɩɩ se pakpa Yohanɛɛsɩ nɛ paɖʋ-ɩ salaka. Pʋ-yɔɔ ɛpɩsɩ Galilee egeetiye taa. 
MAT.4.13	Ɛtalaa lɛ, ɛtacaɣ Nazarɛɛtɩ. Ɛlɛ́, ɛɖɛɛ Kapɛrnayum. Tɛtʋ ńdʋ́, tɩwɛ Galilee teŋgu nɔɔ, Zabulɔɔ nɛ Nɛftalii pɔ-hɔɔlɩŋ taa.
MAT.4.14	Pɩlabɩ ḿbʋ́ se pɩla ɛzɩ náyʋ Ezaayii yɔɔdʋʋ yɔ. Ɛyɔɔdaa se:
MAT.4.15	«Ɩnaɣ, Zabulɔɔ nɛ Nɛftalii pɔ-hɔɔlɩŋ taa ñɩma mɩ nɛ
MAT.4.15	mbá mɩ mɩwɛ ɖɔɖɔ teŋgu habɩyɛ nɔɔ nɛ Yɔɔrdaŋ pɔɔ wayɩ yɔ!
MAT.4.15	Mbá mɩ ɩkɛ Galilee ñɩma nɛ
MAT.4.15	mbá pɛtɛkɛ Yuda ñɩma yɔ pɛwɛɛ mɩ-tɛ yɔ!
MAT.4.16	Ɩnɩɩ camɩyɛ se:
MAT.4.16	ɩɩwɛ cɩkpɛndʋʋ taa nɛ ɩna ñalɩmɩyɛ sɔsɔɖɛ naɖɩyɛ!
MAT.4.16	Ɩɩwɛ sɩɖaa ɛjaɖɛ taa nɛ ñalɩmɩyɛ ñalɩ mɩ-yɔɔ.»
MAT.4.17	Yesu talɩ Kapɛrnayum lɛ, ɛpazɩ Ɛsɔtɔm susuu nɛ eheyiɣ ɛyáa se: «Ɩlɛɣzɩ wɛtʋ, mbʋ́ pʋyɔɔ yɔ, Ɛsɔ Kewiyaɣ wɩzɩ talʋʋ!»
MAT.4.18	Nakʋyʋ wiye Yesu ɖɔŋaɣ Galilee teŋgu nɔɔ. Pɩkɛdaa lɛ, ɛna kpakpasɩ kpayaa naalɛ nabɛyɛ, pɔlɔwaɣ piyiŋ. Ḿbá yɔ: Siimɔɔ weyi payaɣ ɖɔɖɔ se Pɩyɛ yɔ nɛ e-neu Andree. 
MAT.4.19	Ɛna-wɛ ḿbʋ́ lɛ, eheyi-wɛ se: «Ɩkɔɔ ɩtɩŋ-m nɛ manpɩsɩ-mɩ ɛyáa kpayaa ɛzɩ ɩkpaɣʋ kpakpasɩ yɔ.» 
MAT.4.20	Peeɖe patiyebi pe-piyiŋ nɛ patɩŋ-ɩ. 
MAT.4.21	Etuzi ɛ-tɩ ɛsɩndaa lɛ, ɛna Yakubu nɛ e-neu Yohanɛɛsɩ, pa nɛ pa-caa Zebedee pɛwɛ pa-kpɩyʋʋ taa nɛ pɔñɔɔzʋʋ pe-piyiŋ. Ɛlɛ́, ɛ́yáa-wɛ 
MAT.4.22	nɛ patɩyebu pa-caa nɛ kpɩyʋʋ nɛ patɩŋ ɛ-wayɩ.
MAT.4.23	Yesu cɔwaɣ Galilee egeetiye tɩŋa taa payɩ nɛ eheyiɣ ɛyáa Ɛsɔ Kewiyaɣ Laŋhɛzɩyɛ Tɔm Ɛsɔ ɖɩsɛyɛ ndɩ ndɩ taa nɛ ɛlakɩ nɛ ajamaa ndɩ ndɩ nɛ kʋdɔndɩnaa ndɩ ndɩ patɩŋa pɔ-yɔɔ cɛkɩ. 
MAT.4.24	Peeɖe ɛ-hɩɖɛ sɛ Siirii ɛjaɖɛ tɩŋa taa. Pʋ-yɔɔ pakpakaɣ mbá pɛwɛnɩ kʋdɔmɩŋ ndɩ ndɩ yɔ patɩŋa nɛ mbá pʋcɔzʋʋ-wɛ yɔ: eliikenaa nɛ abom tɔlɩyaa nɛ kalɩkalasɩ nɛ powokini ɛ-cɔlɔ nɛ ɛlakɩ nɛ pɔ-yɔɔ cɛkɩ. 
MAT.4.25	Alɩwaatʋ ńdʋ́ʋ́ ɛyáa samaɣ kpɛzɩnɩ hɔɔlɩŋ tɩŋa nɛ patɩŋɩɣ ɛ-wayɩ. Paalɩnɩ Galilee nɛ Tɛtʋ Hiu egeetiye taa nɛ Yeruusalɛm nɛ Yudee nɛ Yɔɔrdaŋ pɔɔ wayɩ.
MAT.5.1	Yesu na ɛyáa samaɣ ḿbʋ́ lɛ, ɛkpa piyaɣ nakɛyɛ yɔɔ nɛ ɛcaɣ. Peeɖe ɛ-tɔmkpɛlɩkɩyaa woba ɛ-cɔlɔ 
MAT.5.2	nɛ ɛpazɩ-wɛ tɔm wɩlʋʋ. Ɛwɩlaɣ-wɛ se:
MAT.5.3	«Ɛyáa mbá pasɩm pa-tɩ se pɛtɛkɛ pʋyʋ Ɛsɔ ɛsɩndaa yɔ, pehiɣ pa-tɩ!
MAT.5.3	Mbʋ́ pʋyɔɔ yɔ, pɛkɛ Ɛsɔ Kewiyaɣ taa ñɩma.
