GEN.1.1	Kerrngehkenh duninjh God bolkmarnbom rowk, kaddum dja kurorre. 
GEN.3.4+GEN.3.5	Wanjh nayin kumyimeng, “Aba. Minj woybukkih ngunedowen! God kaburrbun bu kundjalmekbe kunbarnangarra bu ngunengun wanjh ngunemayalidangen, nguneyimerran yiman nungka rerrih, nguneburrbun bu kore kunmakkenh dja kunwarrekenh.”
GEN.3.6	Wanjh ngalbu daluk dulknang, nang mandulkmakkaykenh dja nang manbarnemmak, dja ngalengman kanjdjiwi wurrmey, yimeng, “Ngadjalmang ngangun ba ngamayalidangen.” Wanjh mey manmekbe manme, nguneng, wanjh bibalmarnekang nabininjkobeng nawu benedjarrkni, nunganwali balnguneng.
GEN.3.7	Bu benenguneng wanjh kunmayali benemey, benekuknarrinj wanjh benewohburrbom bu beneworrhworr. Wanjh benewam, benemey kunworr, benebibbom dja benenameng bu benedukkarrinj.
GEN.3.8	Wanjh bu wolewolehminj, kunmayorrkmak kumwam, dja bedda nawu bininj dja ngalbininjkobeng benebekkang Yawey nawu God bu rengehrey kore manme dudjihdudjindi, kaluk benemarnewarlkkarrinj kore kurruhdurrulk.
GEN.3.9	Wanjh Yawey nawu God bikayhmeng namekbe bininj, yimeng, “Ngudda baleh?” 
GEN.3.10	Nungka biwokmey, yimeng, “Ngaye bekkang kondah kore manme kahdudjindi dja ngakeleminj, marnewarlkkarrinj dja ngakukworrhworr!” 
GEN.3.11	Wanjh Yawey nawu God yimeng, “Nangale ngunmarneyimeng yikukworrhworr? Yiddok yinguneng manbu manme kore kurrulkbeh bu ngaye wokrayekwong marneyimeng, ‘Yuwn yingun?’” 
GEN.3.12	Wanjh nawu bininj yimeng, “Ngahli daluk ngalbu ngudda kanwong nganedjarrknikenh, ngaleng wanjh nganwong manmekbe manme manmekbe kurrulkbeh, wanjh nganguneng.”
GEN.3.13	Wanjh Yawey nawu God bidjawam ngalbu daluk, “Baleh kuhni bu yikurduyimeng?” Ngaleng yimeng, “Nahni nayin ngankoweng nganmarnekarrebuyikawong, kunmekbekenh kunu wanjh nganguneng.”
GEN.3.14	Wanjh Yawey nawu God bimarneyimeng namekbe nayin, yimeng, “Bu kunmekbe yikurduyimeng, wanjh yidjalwake kore kunjam ke munguyh. Ngudda kaluk yingun kundjulng djalmunguyh bu yihmimbi. Kuhni kunyid djalyingan ke, minj mak nawarlahkenh mayhbubuyika kelebuk dja kele, ngudda djal ke kunyid yidjalkudji. 
GEN.3.15	Ngaye ngamarnbun ngorrewoneng bu ngunewidnarrenkenh. Ngudda ke wurdwurd dja ngalengngarre wurdwurd kabirribebbehnjirrkerren munguyh. Ngalengngarre wurdwurd ngundibun kukodj ngundikodjdjubulhme, dja nguddambu ngurrbenbaye kumadbundedj.”
GEN.3.16	Wanjh Yawey God bimarneyimeng ngalbu daluk, “Ngaye kaluk ngakimukwon duninjh ke kundjak bu wurdyaw yihmerlem. Kaluk yidjakbekkan bu wurdyaw karrurrkmirri bu karrangenkenh. Djamku bu baleh kakurduyime bu kunmekbe kundjak ke, dja nawu nabininjkobeng yidjalmarnedjare munguyh, dja nungka ngunmarnewohrnan.”
GEN.3.17	Wanjh Yawey God bimarneyimeng nawu bininj, “Ngudda yibekkang ngalbininjkobeng ke, yinguneng manmekbe manme manbarnem manmekbe kurrulkbeh, manbu ngaye wokrayekwong marneyimeng, ‘Yuwn yingun.’ Bu kunmekbe yikurduyimeng wanjh kunyid ngunmarnekarrme manbu kunrorre. Bu yidjalmimbi, yingudjngarrhme bu yirrurrkmirri djalmunguyh, ba bu kunrorre kangalke manme manbu ngudda ke yingunkenh. 
GEN.3.18	Wanjh kangalke kundalk dja kinj manmirrhyi, dja mak yibalwelengngun manbu kurralkwaken manrakel. 
GEN.3.19	Ngudda kaluk yirrurrkmirri kunkimuk duninjh kunkebkurrngirn dorrengh, ba kunu kunrorre kangalke ke manme. Kunmekbe yikurduyime munguyh, kaluk yibalwelengdurndeng kukulk. Ngudda yimmarnbuyindanjbeh kukulk, kunmekbekenh kunu yiyawoyhdurndeng. Ngudda wanjh kundjulng, kaluk yiyawoyhdurndeng kundjulng.”
GEN.3.20	Adam bingeykurrmeng ngalbininjkobeng nuye Eve
GEN.3.21	Dja Yawey nawu God mey mayh nuye kunkulah berrewoneng bininj dja ngalbininjkobeng, marnbom benbenedjongbom benedjongbuyindi. 
GEN.3.22	Wanjh Yawey nawu God yimeng, “Nawu bininj yimerranj yiman ngad rerrih, kakarrme kunmayali bu kaburrbun kore kunmak dja kunwarre. Marndi mak kayawoyhbidyirriyongen kamang manbarnem kore kurrulkbeh manbu kahwon bininj kunngolek bu kamimbi munguyh munguyh, dja marndi kangun wanjh kamimbi munguyh munguyh.” 
GEN.3.23	Kunmekbekenh Yawey nawu God bikukmunkeweng kore kumekbe manme dudjihdudjindi, Eden, ba kabolkyilkbun kurorre kore nungka kummarnbuyindanjbeh. 
GEN.3.24	Bu Yawey bidjalbebkeng nawu bininj kore Edenbeh, wanjh kumekbe benwelengkurrmeng Cherubim nawu yiman mayh welyi Godbeh, kaluk koyekkah kore manme dudjihdudjindi, nawu birrimarnedurrkmirri nungan God birrimarnebolknahnani, dja nawu mandjawak yiman kunak rerrih djurruhdjurrungi djurrbohdjurrborledmi kore kumekbe bendjangnanikenh, ba minj nangale baldarnhrawinj kore kumekbe dulkdi kundulk manbu kahwon bininj kunngolek bu kamimbi munguyh munguyh.
GEN.4.1	Wanjh Adam beneyonginj Eve ngalbu ngalbininjkobeng nuye, wanjh ngaleng yawkani, dja biyawmey nawu Cain. Dja ngaleng yimeng, “Wanjh ngayawmey bininj bu Yawey nawu God nganbidyikarrmeng.” 
GEN.4.2	Kaluk mak ngaleng biyawmey Abel nawu benedanginj Cain. Abel kaluk nungka bennahnani mayh nawu sheep, dja Cain nungka bolkyilkbuni kurorre. 
GEN.4.3	Dja kaluk bu Cain kumkang yikahwi manme manbu kunrorre bimarnengalkeng, kumkang biwong nawu Yawey. 
GEN.4.4	Dja Abel nawu nungka wanjh mey mayh nuye nawu nadjdjamanni nawu nawernhmak kunbalem dorrengh, wanjh kumkang biwong Yawey. Wanjh nungka Yawey yimeng kamak bu nang Abel dja nawu nungka balweykang biwong nungka. 
GEN.4.5	Dja bu binang Cain dja manbu nungka biwong, wanjh nungka Yawey minj yimeninj kamak. Kunmekbe wanjh Cain nungka yidduy duninjh, dja mak kebbumeng.
GEN.4.6	Wanjh Yawey bimarneyimeng Cain, “Njalekenh ngudda yihyiddung, dja njalekah mak yihkebbume? 
GEN.4.7	Bu ngudda yikurduyime kunmak wanjh minj nuk ngayime ke yimak? Dja bu ngudda minj yikurduyime kunmak, wanjh kunu kunwarre yiman ngunmarneyo kuberrkkah kore kururrkdangmaye ke, ngunmadbun, kadjare ngundarrkidmang, dja nguddambu wanjh yiman rerrih yibu, yuwn yimarrkmang.” 
GEN.4.8	Wanjh Cain bimarneyimeng Abel nawu benedanginj, yimeng, “Kab ngarray kore kabbal.” Bu kumekbe kabbal benehni Cain bibom nawu benedanginj, wanjh bikukkurrmeng.
GEN.4.9	Wanjh Yawey bidjawam Cain, yimeng, “Nawu ngudda ngunedanginj Abel, kaluk baleh wam?” Wanjh Cain biwokmey, yimeng, “Ngayembu ngawakwan, yiddok ngaye yimankek nganahnan nawu nganedanginj?”
GEN.4.10	Wanjh Yawey yimeng, “Ngudda baleh yikurduyimeng? Kanbekka, kunkurlba nuye nungka nawu ngunedanginj wanjh yiman ngankayhme kukulkbeh. 
GEN.4.11	Wanjh kuhni bu ngudda ke kunyid, dja bonj minj mak yiyawoyhbolkyilkbun kunrorre nawu yiman bikurlbabonguneng yibidkenwong nawu ngudda ngunedanginj. 
GEN.4.12	Wanjh bu ngudda yimankek yibolkyilkbun kunrorre, wanjh minj ngunmarnengalke manme. Dja ngudda yiman yikelerlobme yidjalwohrewohre munguyh kubolkbubuyika kurorre dja yiredyak.”
GEN.4.13	Wanjh Cain bimarneyimeng nawu Yawey, yimeng, “Kuhni bu ngudda kandahmeng wernkih duninjh, wanjh ngabekkarren kunrayek duninjh. 
GEN.4.14	Bolkkime wanjh ngudda kankukmunkewe minj ngabolkyilkbun, dja mak minj ngamyawoyhre kore ngudda. Ngaye kaluk ngaredyak, dja ngadjalwohre munguyh kubolkbubuyika bu ngakelerlobme. Dja nawu yimankek nganngalke wanjh nganbun ngankukkurrme.” 
GEN.4.15	Wanjh Yawey bimarneyimeng, “Burrkyak, dja bu nangale ngunbun yirrowen, wanjh kunu seven bininjwali kabirridowen.” Wanjh nungka Yawey bikukbimbom Cain ba minj nangale nawu bingalkemeninj bibuyi. 
GEN.4.16	Wanjh Cain wam bolkbawong kumekbe kore Yawey ni, wanjh nungka wam ni kore kubolkwarlah kabolkngeyyo Nod
GEN.4.17	Cain wanjh beneyonginj ngalbininjkobeng nuye, wanjh ngaleng yawkani, wanjh biyawmey Enoch. Cain rurrkdundulubuni kubolkkimuk wanjh kunu bolkngeykurrmeng Enoch, beywurd bolkngeykenkang. 
GEN.4.18	Enoch nunganwali bibornang Irad, nawu nunganwali Irad bibornang Mehujael, Mehujael wanjh bibornang Methushael, dja Methushael nunganwali bibornang Lamech.
GEN.4.19	Lamech benbenemey daluk bokenh, ngalkudji ngeyyoy Adah, dja ngalbuyika ngeyyoy Zillah. 
GEN.4.20	Adah wanjh biyawmey Jabal. Dja nungka Jabal wanjh Mawah bedberre nawu kabirriyo kore dabburlin, dja kabirrimirndenahnan mayh. 
GEN.4.21	Nawu Jabal benedanginj wanjh ngeyyoy Jubal, dja nungka wanjh Mawah bedberre nawu kabirribun lyre manbu yiman guitar, dja mak kabirribuhme nawu flute. 
GEN.4.22	Dja Zillah ngaleng mak biyawmey narangem nawu ngeyyoy Tubal-Cain, dja nungka marnbuni kukbubuyika yehyeng bu wirlmurrng bronze dja iron. Kaluk Tubal-Cain benedanginj ngaldaluk, ngaleng wanjh ngeyyoy Naamah.
GEN.4.23	Wanjh Lamech benbenemarneyimeng ngalbibininjkobeng nawu nuye, yimeng, “Ngudda nawu Adah dja Zillah ngalbibininjkobeng ngardduk, kandibekka, kunwok ngardduk ngunebekka. Ngaye ngabom bininj ngakukkurrmeng bu nungka werrk nganbom, yawurrinj ngabom bu nungka werrk ngankanjbarrhmey. 
GEN.4.24	Bu seven bininj birridowimeninj bu Cain nangale bibuyi bikukkurrmeninj, wanjh seventy seven bininj kabirridowen bu nangale nganbun ngaye Lamech ngankukkurrme.”
GEN.4.25	Adam beneyawoyhyonginj ngalbininjkobeng nuye wanjh ngaleng biyawmey narangem dja bingeykurrmeng Seth. Ngalkai yimihyimi, “God nganwong nabuyika wurdyaw bimarnebolkmey Abel, dja Cain bibom.” 
GEN.4.26	Seth warridj bibornang narangem, dja bingeykurrmeng Enosh. Wanjh yiman bu kunmekbe bininj birridedjdjingmangi birrimarnekayhmi Yawey nuye kunngey bu birrihdi yiwarrudj.
GEN.5.1	Kuhni wanjh kabimdi kabenyolyolme Adam nuye nawu benbornang dja nawu benkebmawahmeng. Bu God benmarnbom bininj, wanjh benmarnbom bu kabirrirohrok nungka nawu God. 
GEN.5.2	Benmarnbom bininj dja daluk, benmarneyimeng kunmak kunwok, dja benngeykurrmeng “Bininj”. 
GEN.5.3	Bu Adam mimbini mandjewk 130, wanjh bibornang beywurd nawu nungka benerohrokni, dja bingeykurrmeng Seth. 
GEN.5.4	Dja bu Seth danginj, Adam djahdjalmimbini mandjewk 800, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.5	Wanjh mandjewk nuyeni rowk Adam bu mimbini wanjh nine hundred dja thirty, wanjh doweng.
GEN.5.6	Bu Seth mimbini mandjewk 105, wanjh bibornang nawu Enosh.
GEN.5.7	Dja bu Enosh danginj, Seth djahdjalmimbini mandjewk 807, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.8	Wanjh mandjewk nuyeni rowk Seth bu mimbini wanjh 912, wanjh doweng. 
GEN.5.9	Bu Enosh mimbini mandjewk 90, wanjh bibornang Kenan.
GEN.5.10	Dja bu Kenan danginj, Enosh djahdjalmimbini mandjewk eight 815 mak benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.11	Wanjh mandjewk nuyeni rowk Enosh bu mimbini wanjh 904, wanjh doweng.
GEN.5.12	Bu Kenan mimbini mandjewk 70, wanjh bibornang Mahalalel. 
GEN.5.13	Dja bu Mahalalel danginj Kenan djahdjalmimbini mandjewk 840, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.14	Wanjh mandjewk nuyeni rowk Kenan bu mimbini wanjh 910, wanjh doweng.
GEN.5.15	Bu Mahalalel mimbini mandjewk 65, wanjh bibornang Jared. 
GEN.5.16	Bu Jared danginj, Mahalalel djahdjalmimbini bu mandjewk 830, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.17	Wanjh mandjewk nuyeni rowk Mahalalel bu mimbini wanjh 895, wanjh doweng.
GEN.5.18	Bu Jared mimbini mandjewk 162, wanjh bibornang Enoch. 
GEN.5.19	Dja bu Enoch danginj, Jared djahdjalmimbini mandjewk 800, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.20	Wanjh mandjewk nuyeni rowk Jared bu mimbini wanjh 962, wanjh doweng.
GEN.5.21	Bu Enoch mimbini mandjewk 65, wanjh bibornang Methuselah. 
GEN.5.22	Dja bu Methuselah danginj, Enoch munguyh benehdjaldjarrkrey God bu mandjewk 300, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.23	Wanjh mandjewk nuyeni rowk Enoch bu mimbini wanjh 365. 
GEN.5.24	Enoch benehdjarrkrey God, kaluk baldjalyakminj, dja God birrarrkidmey bikang.
GEN.5.25	Bu Methuselah mimbini mandjewk one 187, nungka bibornang Lamech. 
GEN.5.26	Dja bu Lamech danginj, Methuselah djahdjalmimbini mandjewk 782, dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.27	Wanjh mandjewk nuyeni rowk Methuselah bu mimbini wanjh 969, wanjh doweng.
GEN.5.28+GEN.5.29	Bu Lamech mimbini mandjewk 182, wanjh nungka bibornang beywurd, dja bingeykurrmeng Noah
GEN.5.30	Dja bu Noah danginj, Lamech djahdjalmimbini mandjewk 595 dja benbalbornabornang birribuyika bebeywurd mak ngalbebeywurd. 
GEN.5.31	Wanjh mandjewk nuyeni rowk Lamech bu mimbini wanjh 777, wanjh doweng. 
GEN.5.32	Bu Noah mimbini mandjewk 500, wanjh benbornang Shem, Ham dja Japheth.
GEN.6.1	Bu bininj birridedjdjingmey birrimirndewernmerreni kore kurorre, wanjh ngalbebeywurd bindimarnedanginj. 
GEN.6.2	Wanjh yikahwi nawu birrikukyimi yiman angel rerrih, bu bedda bindinang birrimekbe daluk birrinang birrimakkaykenhni, wanjh bindimey nawu bindibebbehdjarrngbom dja birrimarreni. 
GEN.6.3	Wanjh Yawey yimeng, “Kunngolek ngardduk minj munguyh karri kore bininj, dja bedda djalbininjwi, minj kabirrimimbi munguyh, kaluk ngamarnbun mandjewk bedberre bu 120, wanjh kabirridowen.”
GEN.6.4	Kaluk kumekbe wanjh birrini kore kurorre nawu birringeyyoy Nephilim, kaluk birrikornamkuyengni duninjh dja birrikukkihkimukni dorrengh. Mak rerre birrini bu birrimekbe nawu birrikukyimi yiman angel rerrih birriyoy ngalbebeywurd bedberre bininj, dja bindimarneyawdanginj wurdwurd. Bedda wanjh birrimekbe nawu korrokoni birrihni nawu bindiyurrhkeyi birribuyika, dja bininj birriwarlahkenh bindiburrbuni bindiburlumi dja bindiyolyolmi.
