MAT.1.1	Ie sab naam Jiesoe Kriest ke baap-daada log ke hai. Oe Daawied aur Aabraaham ke aulaad hai.
MAT.1.17	Aabraaham se Daawied talak tjauda pierahie hai. Aur bhie tjauda pierahie hai Daawied se leike djab talak djanta ke Baabielonia des me djaai ke paral. Aur djab se oesab Baabielonia se lautke aail Kriest ke djanam talak bhie tjauda palwaar hai.
MAT.1.18	Ab ham bataab Jiesoe Kriest ke djanam kaise bhail. Maria ke tjhekaai Josaf se hoi gail raha. Aur oesabke biaah howe se pahiele aise bhail kie Maria ke Pawietr Aatma dwaara larka howat. 
MAT.1.19	Maria ke hone waala patie ek bhala aadmie raha aur oe na maangat raha kie Maria ke saram pahoetje. Ohie se oe aapan man me sotjies Maria ke biena haltjal matjaawe tjhor dewe ke. 
MAT.1.20	Bakie djab oe aisan bietjaar karat raha tab oe ekgo sapana me dekhies kie ek Parmeswar ke parie okar paas aail aur bolies: „He Josaf, Daawied ke aulaad, toe na sotj kar Maria se biaah kare ke. Oe Larka to Pawietr Aatma ke dwaara paida hoi. 
MAT.1.21	Maria ke ek beta hoi aur toe okar naam Jiesoe dharaihe. Oe aapan djaatie ke paap me se batjaaiga. 
MAT.1.22	Ie sab hoiga djeme Parmeswar ke baat poera howe djaun oe dher dien pahiele aapan sanesia Jasaaja ke dwaara djanaais raha. Oe ose bolies raha:
MAT.1.23	‘Soen, kania ke ek beta paida hoiga. Aur okar naam Emaanoewel rahiega.
MAT.1.23	Ie naam ke matlab hai: Parmeswar hamlogke saath hai.’ ”
MAT.1.24	Djab Josaf djaag gail tab oe karies djaise Prabhoe ke parie ose bolies raha. Oe Maria ke aapan ghare legail. 
MAT.1.25	Bakie oe okar saath na soetal djab talak okar beta na paida bhail. Aur oe Larka ke naam Jiesoe dharaais.
MAT.2.1	Jiesoe Betlehem me paida bhail aur oe sahar Joedea ke diehaat me hai. Oe samai hoewa ke raadja ke naam Herodes raha.
MAT.2.1	Tab okare baad koetjh boeddhiemaan poerab kait se aail djaaha soeroedj oege hai aur oelog Jeroesaalem ke sahar me pahoetjal. 
MAT.2.2	Tab oesab hoewa ke manai log se poetjhies kie: „Israel ke raadja djaun ab paida bhail hai, oe kaaha rahe hai? Hamlog poerab kait me rahiela aur hoewa par hamlog okar tarai dekhlie hai. Ohie khaatien hamlog ailie hai oke poedje.”
MAT.2.3	Tab raadja Herodes soenke bahoet ghabaraail aur sab Jeroesaalem ke manai log bhie. 
MAT.2.4	Tab raadja sab barka agwan aur dharam ke parhal waalan ke bolwaaike oesabse poetjhies kie: „Kriest ke djanam kaaha hoi?” 
MAT.2.5	Tab oesab bolies: „Betlehem sahar Joedea diehaat me. Aise pahiele Parmeswar ke sanesia Mieka liekhies raha kie:
MAT.2.6	‘He Joedea diehaat ke Betlehem sahar,
MAT.2.6	toe ek tjhota sahar baate.
MAT.2.6	Tabbo tore me ek barka aadmie paida hoiga.
MAT.2.6	Oe hamaar Israel ke djaatie ke ek attjha tjaraawe waala ghat rahiega. Ohie se toe sab se tjhota sahar na baate!’ ”
MAT.2.7	Tab raadja Herodes boeddhiemaan log ke tjoeppe se aapan paas bolwaaike oesabse poetjhies kie: „Hamse bataaw, toelog oe tarai kab dekhle baate?” Tab oesab bataais. 
MAT.2.8	Tab oe oesabke Betlehem sahar pathaais aur bolies: „Dja larka ke khodj. Aur djab toelog oke paihe tab aaike hamse bataihe. Tab ham bhie djaab oke poedje.” 
MAT.2.9	Ekare baad oesab tjal gail.
MAT.2.9	Aur dekh, oe tarai djaun oesab poerab kait se dekhies raha, oesabke aage aage tjale lagal oe djagaha talak djaaha Larka raha aur hoewa par roek gail. 
MAT.2.10	Oesab tarai dekhke bahoet khoesie bhail!
MAT.2.11	Tab djab oesab ghar me gail tab Larka aur okar maai ke paais. Oelog Larka ke aage gaathie par gierke oke poedjies. Aur aapan djhorie kholke oke sona ke tjiedj, lohbaan aur mahakauwa taufa deis.
MAT.2.12	Tab ek sapana me Parmeswar oesabse bolies kie: „Raadja Herodes ke paas lautke na djaihe.” Ohie khaatien oesab ek doesar rasta se aapan des laut gail.
MAT.2.13	Djab boeddhiemaan log tjal gail raha tab Josaf bhie ek sapana dekhies. Ek Parmeswar ke parie ose bolies: „Oethke Larka aur okar maai ke leike Egypte des me bhaag dja, nahie to raadja Herodes Larka ke marwaai dhaarie. Ohie se hoewa rahiehe djab talak ham tose na bolab.” 
MAT.2.14	Josaf bietj raat me oethke Larka aur okar maai ke leike Egypte me bhaag gail. 
MAT.2.15	Aur djab talak raadja Herodes na mar gail oesab hoewa raha. Aisane poera bhail djaun Parmeswar aapan sanesia Hosea dwaara bolies raha kie:
MAT.2.15	„Ham aapan Beta ke Egypte ke des me se bolailie hai.”
MAT.2.16	Raadja Herodes djab dekhies kie boeddhiemaan log okar baat na soene hai, tab oe bahoet goessaail. Aur oe hoekoem deis kie Betlehem sahar me aur okare aas-paas ke sab laundan doei baries tak marwaai dhaare ke. Oe boeddhiemaan log se to poetjhies raha kie Jiesoe kab paida bhail hai. 
MAT.2.17	Aisane dekhaail kie Parmeswar ke sanesia Jeremia ke baat poera hoi gail. Oe bolies raha:
MAT.2.18	„Raama sahar me soena hai kie Raahel aapan larkan khaatien piet-pietke rowe hai aur koi na oke samdjhaai sake hai. Oesab to mar gail hai.”
MAT.2.19	Josaf log Egypte des me rahat raha djab talak raadja Herodes na maral. Tab Josaf phien se ek sapana me ek Parmeswar ke parie okar paas aawat dekhies. Parie bolies kie: 
MAT.2.20	„Dje maangat raha Larka ke maar dhaare, oesab mar gail. Ohie se Larka aur okar maai ke leike phien se Israel des me dja.” 
MAT.2.21	Josaf oethke Larka aur okar maai ke leike hoewa phien laut gail.
MAT.2.22	Bakie djab oe soenies kie Herodes ke beta Arkelaajoes ab Joedea ke diehaat ke raadja hai, tab oke dar lagal hoewa djaai ke. Tab ek doesar sapana me oe raai paais Gaalielea ke diehaat me djaai ke. 
MAT.2.23	Djab oesab hoewa par pahoetjal tab Naasaaret sahar me rahe lagal. Aisane poera bhail djaun Parmeswar ke sanesia log Kriest ke biese me bolies raha:
MAT.2.23	„Oe ek Naasaaret waala bolaawal djaaiga.”
MAT.3.1	Koetjh dien baad Johaanas dopoe kare waala Joedea ke maidaan me partjaar kare lagal aur bolies kie: 
MAT.3.2	„Bhaai log, swarag ke raadj nagietj aai gail hai! Aapan paap pastaaike Parmeswar ke rasta par tjal!” 
MAT.3.3	Sanesia Jasaaja pahiele ehie Johaanas ke baare me bolies raha kie:
MAT.3.3	„Maidaan me koi djor se boliega:
MAT.3.3	‘Parmeswar khaatien rasta tajaar kar djeme oe siedha rasta par tjal sake!’ ”
MAT.3.4	Johaanas oet ke baar waala kapra pahienat raha. Oe ekgo tjamra ke tjamotie aapan karhiaaw me lagaawat raha. Oe phatienga khaat raha aur maidaan me madh tjaatat raha.
MAT.3.5	Tab Jeroesaalem sahar aur sab Joedea diehaat aur Jordaan nadie ke galie ke log okar paas aail. 
MAT.3.6	Aur oesab okar baat maanke bolies kie: „Hamlog paapie baatie.” Aur oelog apane ke Jordaan nadie me Johaanas se dopoe karwaais. 
MAT.3.7	Tab dher Fariesie aur Sadoesie log
MAT.3.8	Bestar hai kie toelog aapan tjaal-tjalan se dekhaihe kie toelog maange hai aapan djiewan badale aur bietaawe djaise Parmeswar ke parsand howe hai. 
MAT.3.9	Toelog na sotjiehe kie: ‘Hamlog Parmeswar ke bieswaasie Aabraaham ke aulaad baatie, ohie se hamlog Parmeswar ke goessa me se batj djaab.’ Ham toelogse boliela kie Parmeswar Aabraaham khaatien ie patthar se aulaad banaai sake hai. 
MAT.3.10	Taanga per ke lage rakhaai gail. Djab ek per attjha phal na dewe hai, tab oe kaatal djaai aur aagie me djaraawal djaaiga.
MAT.3.11	Ham toelogke paanie se dopoe kariela dekhaawe khaatien kie toelog aapan paap pastaaike ek naawa djiewan soeroe karle hai. Bakie hamare baad ek Aadmie aaiga djaun ke hamse djaada saktie hai. Ham okar djoeta oethaawe laaik na baatie. Oe toelogke Pawietr Aatma aur aagie se dopoe kariega. 
MAT.3.12	Oe iensaan logan ke faisala kariega djaise ek khetiar dhaan osaaike bakhaar me rakhie aur paija ke aagie me djaraai dei. Aur oe aagie kabhie na boetiega.”
MAT.3.13	Tab Jiesoe Gaalielea ke diehaat tjhorke Johaanas ke paas gail Jordaan nadie me apane ke dopoe karwaawe ke. 
MAT.3.14	Bakie Johaanas na maangat raha aur bolies: „Toe hamare paas aile? Hamke tjaahie tose dopoe karwaawe ke.” 
MAT.3.15	Tab Jiesoe bolies: „Hamlogke tjaahie Parmeswar ke sab hiettjha poera kare ke. Ohie se toe hamme dopoe kar.” Tab Johaanas oke dopoe karies.
MAT.3.16	Toerant Jiesoe dopoe hoike paanie me se nieksal. Aur dekh, swarag khoel gail aur Johaanas dekhies kaise Parmeswar ke Aatma ek kaboettar ke roep me oetarke Jiesoe ke oeppar aawe hai. 
MAT.3.17	Aur swarag me se bhie ek aawaadj soenaail. Pieta Parmeswar bolies: „Ie hamaar pjaara Beta hai aur hamme bahoet parsand howe hai.”
MAT.4.1	Ekare baad Pawietr Aatma Jiesoe ke maidaan me legail djeme saitaan oke adjmaaike dekh sake kie oe Parmeswar ke baat soene hai kie na. 
MAT.4.2	Jiesoe tjaalies dien aur raat bhoekha raha. Tab ant me oke bhoekh lagal. 
MAT.4.3	Ohie tem par saitaan aail aur ose bolies kie: „Djab toe Parmeswar ke Beta baate tab oe patthar se bol de kie bret hoi djaai.” 
MAT.4.4	Bakie Jiesoe bolies: „Parmeswar ke poestak me liekhal hai: ‘Ek iensaan na khaalie khaaik se djiega, bakie bhie Parmeswar ke sab baat dwaara.’ ”
MAT.4.5	Tab saitaan oke Jeroesaalem sahar me legail aur Parmeswar ke mahal par thara karwaais. 
MAT.4.6	Oe bolies: „Parmeswar ke poestak me liekhal hai kie: ‘Parmeswar aapan parie log se boliega tor rakhwaala kare ke. Oesab toke aapan haath par rok leiga djeme tor gor ieta me na lage.’ Ohie se djab toe Parmeswar ke Beta baate tab toe nietje koed dja.” 
MAT.4.7	Bakie Jiesoe bolies: „Parmeswar ke poestak me bhie liekhal hai kie: ‘Parmeswar tor Prabhoe hai, ohie se toe oke na adjmaaw.’ ”
MAT.4.8	Tab oe oke ek bahoet oetja pahaar par legail aur hoewa se doenia bhar ke raadj-paat aur okar soendarta dekhaais. 
MAT.4.9	Bolies: „Ham toke ie sab dei deb djab toe aapan gaathie par gierke hamme poedjiehe.” 
MAT.4.10	Tab Jiesoe bolies: „Parmeswar ke poestak me liekhal hai kie: ‘Parmeswar tor Prabhoe hai, toe khaalie okar poedja kar.’ Saitaan, toe hia se tjal dja.”
MAT.4.11	Saitaan oke tjhorke tjal gail. Aur toerant Parmeswar ke parie log aaike Jiesoe ke sewa kare lagal.
MAT.4.12	Djab Jiesoe ke pata mielal kie Johaanas dopoe kare waala pakaraaike djahal me band hai, tab oe Gaalielea ke diehaat me tjal gail. 
MAT.4.13	Oe Naasaaret sahar tjhorke Kaapernaum sahar me gail rahe. Oe sahar Gaalielea samoendar ke kienaare hai Seboelon aur Naftaalie ke galie me. 
MAT.4.14	Aisane Parmeswar ke sanesia Jasaaja ke baat poera bhail. Oe Jiesoe ke biese me hoewa ke manai log se bolies raha kie:
MAT.4.15	„He Seboelon aur Naftaalie ke diehaat log, toelog samoendar ke kienaare rahe hai. Aur Jordaan ke nadie ke oepaar rahane waalan, aur Gaalielea ke diehaat ke dher manai log,
MAT.4.16	toelog ekdam se andhiaar me rahe hai. Bakie toelog ek biesaal djotie dekhiehe. Aur andjor hoi djaaiga oe manai log khaatien djaun ek andhiaar des me rahe hai djaaha maut raadj kare hai.”
MAT.4.17	Oe tem se Jiesoe partjaar kare lagal. Oe bolies kie: „Swarag ke raadj nagietj aai gail. Ohie se aapan paap pastaaw aur Parmeswar ke rasta par tjal.”
MAT.4.18	Ek dien Jiesoe Gaalielea ke samoendar ke kienaare kienaare tjalat djaat raha. Tab hoewa par doei bhaai ke dekhies. Oesab aapan djaal paanie me bahaawat raha. Oelogke naam Siemon aur Andreas hai. Siemon bhie Petras bolaawal dja hai. Aur ie doeno matjhar marwa raha.
MAT.4.19	Tab Jiesoe oesabse bolies: „Aaw tjal hamaar saathe, tab ham toelogke siekhaabe kaise manai log ke bolaawe ke Parmeswar khaatien.” 
MAT.4.20	Oesab toerant aapan djaal tjhorke okar saath tjal gail.
MAT.4.21	Tab hoewa se aage tjalke phien se doei bhaai ke dekhies. Oesab Sebedeas ke betwan raha. Aur oesabke naam Jaakobas aur Johaanas raha. Oesab aapan baap ke saathe bot me baithke djaal setiaawat raha. Tab Jiesoe oe doeno bhaai ke bhie apane paas bolaais. 
MAT.4.22	Aur oesab toerant aapan baap aur bot tjhorke okar saathe tjale lagal.
MAT.4.23	Jiesoe Gaalielea ke diehaat bhar me ghoem ghoemke partjaar ke ghar me khoes khabar ailaan karat raha kie Parmeswar manai log ke diel me maange hai raadj tjalaawe. Aur oe bhie har ek rakam bemaria log ke attjha karat raha. 
MAT.4.24	Sieria des bhar me manai log okare baare me bhie soenies. Tab oelog aapan kharaab bemarian ke okar paas laais. Oelogke har ek rakam ke bemaarie aur piera raha, ketane ke bhoet pakaries raha, miergie aawat raha aur loendj log ke. Aur Jiesoe ie sab ke attjha karies. 
MAT.4.25	Djhoend bhar manai log okar paatjhe paatjhe tjalat raha. Oesab Gaalielea ke diehaat ke raha aur bhie Das-sahar-ke galie, Dekaapoles diehaat, Jeroesaalem sahar, Joedea diehaat aur Jordaan nadie ke habara ke raha.
MAT.5.1	Jiesoe oe barka djhoend ke dekhke pahaar par baith gail. Aur okar tjela log okar paas gail. 
MAT.5.2	Tab oe siekhaawe lagal kie:
MAT.5.3	„Soekhie hai djekar diel garieb hai. Oe swarag ke raadj me bhiettar djaaiga.
MAT.5.4	Soekhie hai dje oedaas hai. Parmeswar oke tieha deiga.
MAT.5.5	Soekhie hai dje sadhaaran hai. Dhartie oelogke khaatien rahiega.
MAT.5.6	Soekhie hai dje diel bhar se maange hai kie Parmeswar ke hiettjha poera howe. Okar hiettjha ekdam poera hoiga.
MAT.5.7	Soekhie hai dje daajaaloe hai. Oke Parmeswar ke daaja mieliega.
MAT.5.8	Soekhie hai dje safa diel se Parmeswar ke maane hai. Oe Parmeswar ke dekhiega.
MAT.5.9	Soekhie hai dje doesman log ke ek karwaawe hai. Oe Parmeswar ke larka bolaawal djaaiga.
MAT.5.10	Soekhie hai dje Parmeswar ke baat maane ke dwaara sataawal dja hai. Oe swarag ke raadj me bhiettar djaaiga.
MAT.5.11	Soekh me rahiehe djab manai log toelogke niendara karie, sataai aur hamaar baat soene ke dwaara toelogke baare me har ek rakam djhoeth bolie. 
MAT.5.12	Aisane Parmeswar ke sanesia logan pahiele bhie sataawal gail. Swarag me toelogke barka ienaam mielie. Ohie se hardam khoesie rahoe.”
MAT.5.13	Jiesoe bolies: „Toelog doenia khaatien djaise niemak baate. Aur djab niemak me taagat aur sawaad na hai, tab kaun tjiedj se khaaik sawaad dei sake hai? Oe to be-kaamiel hoi gail hai aur phekal djaaiga djaaha manai log gor se katjariega.
MAT.5.14+MAT.5.15	Toelog doenia me djaise djotie baate. Koi na tjieraag baarke top dewe hai, bakie oke oetja dhar dewe hai, tab ghar bhar thiek se dekh paawe hai. Aur ek pahaar par ke sahar bhie thiek se dekha hai. 
MAT.5.16	Aisane toelog aapan djotie manai log khaatien tjamkaaw djeme oelog dekhke toelogke swarag ke Pieta Parmeswar ke goen gaawe.”
MAT.5.17	Jiesoe bhie bolies: „Toelog na sotjiehe kie ham ailie hai Parmeswar ke kaanoen aur okar sanesian ke baat toere. Ham na ailie hai toere bakie poera kare. 
MAT.5.18	Ham toelogse satj boliela kie djab lek ie dhartie aur swarag rahiega Parmeswar ke kaanoen ke ek attjhar na badaliega. Aur doenia aur swarag ke samaap howe se pahiele Parmeswar ke sab baat poera hoiga. 
MAT.5.19	Dje okar kaanoen ke ek tjhota toekkara toerie aur manai logan ke aise siekhaai, oe swarag ke raadj me bahoet tjhota maanal djaaiga. Bakie dje ie kaanoen ke baat maaniega aur doesare ke bhie siekhaaiga, oe swarag ke raadj me barka bolaawal djaaiga. 
MAT.5.20	Ham toelogse boliela kie djab toelog aapan djiewan dharam ke parhal waalan aur Fariesie logan se auro safa se na bietaihe tab toelog swarag ke raadj me kabhie na bhiettar djaihe.”
MAT.5.21	Jiesoe samdjhaaike bolies: „Toelog soenle hai kie Mosas toelogke baap-daada log se bolies raha: ‘Koi ke na maar dhariehe. Dje ek doesare ke maar dhaariega, djadj oke sadja deiga.’ 
MAT.5.22	Ie satj hai, bakie ham toelogse boliela kie dje ek doesare se moeh phoelaaike rahe hai, djadj ke tjaahie ohoeke sadja dewe ke. Dje goessa me bole hai: ‘Toe gadaha baate,’ oke tjaahie djadj ke sab se barka sadja miele ke. Aur dje bole hai: ‘Toe paagal baate,’ oe narak ke aagie me pahoetjiega. 
MAT.5.23	Ohie se djab toe djaihe Parmeswar ke koetjh baliedaan kare aur hoewa par toke jaad bhail kie koi tor oeppar goessaail hai, 
MAT.5.24	tab toke tjaahie aapan daan hoewa par tjhorke ose phien ek howe ke. Tab toe aaike Parmeswar ke aapan daan dei sakiehe.
MAT.5.25	Djab toe koi ke koetjh dharta baate, tab ose kaida se agahie se batia le, nahie to oe toke djadj ke hawaale kar dei aur toe djahal katiehe. 
MAT.5.26	Ham toelogse satj boliela kie toelog djahal me se na niekar paihe djab lek ek ek sies na bhariehe.
MAT.5.27	Toelog soenle hai kie Mosas toelogke baap-daada log se bolies raha kie: ‘Aapan biaah ke waada na toer.’ 
MAT.5.28	Ie satj hai, bakie ham toelogse boliela kie dje ek doesar koi ke aurat ke taake hai aur oke maange hai rakhe, oe aapan diel me aapan biaah ke waada toer tjoekal hai.
MAT.5.29+MAT.5.30	Ohie se djab tor dahiena aakhie tose kharaabie karwaaiga, tab toke tjaahie oke niekaarke bieg dewe ke. Aur djab tor dahiena haath kharaabie karwaaiga tab oke kaatke bieg de. Bestar hai kie toe ek dehie ke toekkara kamtie leike swarag me djaihe nahie to dehie bhar leike narak me pahoetjiehe.
MAT.5.31	Bhie bolal gail hai kie: ‘Dje aapan aurat ke tjhore hai, oke tjaahie oke ek kaagadj dewe ke djaun par liekhal hai kie ab se oelogke tjhoettie-tjhoetta hoi gail hai.’ 
MAT.5.32	Bakie ham toelogse boliela kie dje aapan aurat ke tjhor dewe hai djaun doesar aadmie se kharaabie na karies hai, oe aapan aurat ke kharaabie karwaawe hai djab aurat phien se biaah kariega. Aur djaun aadmie ose biaah kariega, oe bhie ose kharaabie kariega.
MAT.5.33	Toelog bhie soenle hai kie Mosas toelogke baap-daada log se bolies raha kie: ‘Aapan kasam na toeriehe, bakie Prabhoe ke aage aapan kasam poera kariehe.’ 
MAT.5.34	Bakie ham toelogse boliela kie kabhie na kasam khaihe. Toelog swarag ke naam leike kasam na khaihe. Hoewa par Parmeswar rahe hai. 
MAT.5.35	Aur dhartie par Parmeswar aapan gor dhare hai, ohie se dhartie ke naam leike bhie na kasam khaihe. Aur Jeroesaalem ke naam leike bhie na kasam khaihe. Oe sahar Parmeswar ke hai aur oe sab se barka maahaaraadja hai. 
MAT.5.36	Aur toelogke bhie na tjaahie aapan moerie par haath dharke kasam khaai ke. Toelog aapan ek moerie ke baar na oeddjar kie to karia kar sake hai. 
MAT.5.37	Toelogke tjaahie hardam aapan djabaan poera kare ke. Tor moeh ke ‘ha’ ha rahe aur tor ‘na’ na rahe. Aur djab koi djabaan dei aur bhie kasam kha hai, tab hoewa par koetjh garbar hai.
MAT.5.38	Toelog bhie soenle hai kie Mosas bolies raha kie: ‘Djab koi doesare ke aakhie phor dei, tab okar aakhie bhie tjaahie phor dewe ke. Aur djab koi doesar ke daat toer dei, tab okar daat bhie tjaahie toer dewe ke.’ 
MAT.5.39	Bakie ham toelogse boliela kie boeraai ke badala boeraai na kar. Djab koi tor dahiena gaal par maariega, tab ekwa kait bhie maaran deihe. 
MAT.5.40	Aur djab koi toke djadj ke paas ledjaaike tor soth maangie, tab aapan djaakiet bhie dei deihe. 
MAT.5.41	Aur djab koi tose djabar-djastie se ek kilometer aapan bodjha dhowaai, tab toe doei kilometer okar saath tjaliehe. 
MAT.5.42	Aur djab tose koi koetjh maangie, tab oke dei deihe. Aur djab koi tose koetjh oedhaar maangiega, tab oke dei deihe.
MAT.5.43	Toelog soenle hai kie manai log bole hai: ‘Aapan sanghatian ke pjaar kar aur aapan doesman ke djaran kar.’ 
MAT.5.44	Bakie ham boliela kie: Aapan doesman ke pjaar kar aur praatna kar oesab khaatien djaun toelogke sataawe hai. 
MAT.5.45	Djab toelog aise aapan djiewan bietaihe tab toelog aapan swarag ke Pieta ghat rahiehe. Oe soeroedj oegaawe hai aur barkha barsaawe hai kharaab aur bhala aadmie ke oeppar. 
MAT.5.46	Djab toelog khaalie prem kariehe djaun toelogse prem kare hai, tab toelogke kaun ienaam mielie? Kharaab manai log djaise baimaan paisa bharwaawe waalan to bhie aapan sanghatian ke tjaahe hai. 
MAT.5.47	Aur djab toe khaalie aapan bhaai log ke bolkaare hai, tab toe na sotjiehe kie toe bara biesaal kaam kare hai. Djaun log Parmeswar ke baat kabhie na soenies hai, oesab aisane bhie kare hai. 
MAT.5.48	Toelogke tjaahie ekdam safa diel se aapan sab kaam poera taur se kare ke djaise toelogke swarag ke Pieta bhie kare hai.
MAT.6.1	Jaad kar kie toelog bhalaai na kariehe ek doesare ke dekhaawe khaatien. Djab toe aise kariehe tab toelogke aapan swarag ke Pieta lage ienaam na mielie. 
MAT.6.2	Toelog koi ke bhalaai karke na djaihe tjaaro or bole djaise dekhaawe waalan kare hai. Oelog partjaar ke ghar
MAT.6.3	Bakie djab toelog ek doesare ke koetjh sahaaita kariehe tab tor baawa haath ke na tjaahie djaane ke kie tor dahiena haath ka kare hai. 
MAT.6.4	Ie rakam se tor daan tjhiepal rahie. Tor swarag ke Pieta sab tjhiepal tjiedj dekhe hai, aur oe toke ienaam deiga.
MAT.6.5	Naklie dharmie logan praatna kare hai doesare ke dekhaawe khaatien. Bakie toelog aise na kariehe. Oesabke attjha lage hai partjaar ke ghar me aur sahar ke kona kona me thara hoike praatna kare ke. Ham toelogse satj boliela kie oelog aapan ienaam paai tjoekal hai. 
MAT.6.6	Bakie djab toelog praatna kariehe tab aapan kamra me djaaike kamaarie band kar deihe. Tab hoewa par praatna kariehe aapan swarag ke Pieta se. Oe sab tjhiepal tjiedj dekhe hai, aur oe toke ienaam deiga.
MAT.6.7	Be-bieswaasie logan dher dher baat bolke praatna kare hai, bakie toelog aise na kariehe. Oelog sotje hai kie djab derie talak praatna kariega, tab Parmeswar oelogke praatna soeniega. 
MAT.6.8	Toelog aise na kariehe. Toelogke maange se pahiele Pieta Parmeswar djaane hai kie toelogke kaun tjiedj djaroerie hai. 
MAT.6.9	Toelog ie rakam se praatna kariehe:
MAT.6.9	Hamlogke swarag ke Pieta,
MAT.6.9	sab koi aapke naam pawietr maane,
MAT.6.10	aapke raadj aawe,
MAT.6.10	aur djaise tor hiettjha swarag me poera howe hai, oisane dhartie par bhie howe.
MAT.6.11	Hamlogke aadj ke khaana deihe.
MAT.6.12	Djaise hamlog aapan kasoerwaar waalan ke maaf kariela, oisane aap hamlogke kasoer maaf kar deihe.
MAT.6.13	Hamlogke laalietj me na paran de aur boeraai me se batjaaw.
MAT.6.13	[Aap raadj tjalaawe hai aur aapke saktie aur mahiemma hai sada ke lieje.
MAT.6.13	Aisahie to hai.]
MAT.6.14	Djab toe doesare ke maaf kariehe, tab tor swarag ke Pieta toke bhie tjhama kariega. 
MAT.6.15	Bakie djab toe ek doesar ke tjhama na kariehe tab Pieta Parmeswar toke tjhama bhie na kariega.
MAT.6.16	Bolies: „Djab toelog rodja kie to bhoekha rahiehe, tab aapan tjehera na oedaas kariehe djaise koi koi kare hai. Oelog oe dien na sapare hai aur oedaas hoike doesare ke dekhaawe hai kie oelog rodja kie to bhoekha hai. Bakie ham toelogse satj boliela kie oelog aapan ienaam paai tjoekal hai. 
MAT.6.17	Djab toelog rodja kie to bhoekha rahiehe, tab aapan moerie par tel lagaaw aur moeh dhow djaise toe hardam kare hai. 
MAT.6.18	Ie rakam se manai log na dekhie kie toelog rodja kie to bhoekha baate, bakie toelogke swarag ke Pieta dekhiega. Oe sab tjhiepal tjiedj dekhe hai, aur oe toelogke ienaam deiga.”
MAT.6.19	Oe bolies: „Toelog doenia me dhan na bator. Hoewa dewka pare hai aur moertjaai dja hai aur tjor ghoeske tjoraai lewe hai. 
MAT.6.20	Bakie toelog swarag ke dhan bator. Hoewa par koetjh me kierwa na pare hai, koetjh na moertja hai aur tjor na ghoes sakie. 
MAT.6.21	Djaaha tor dhan hai, hoewa tor man bhie rahie.
MAT.6.22	Ek iensaan ke aakhie djaise okar andar ke tjieraag hai. Djab oe safa tjiedj maange hai dekhe, tab okar man ekdam se andjor hai. 
MAT.6.23	Bakie djab oe aapan dhiaan kharaab tjiedj par lagaawe hai, tab okar man ketana andhiaar hai.
MAT.6.24	Koi doei maaliek ke na maan sake hai, nahie to oe ek ke djarie aur ekwa ke tjaahie. Aisane toelog aapan dhiaan Parmeswar par aur saathe saath aapan dhan-daulat par na lagaai sakiehe.”
