MAT.1.1	Nönca tlapoale de tiebiebetcöhua de Jesucristo, öque iloac iconie David, hua iconie Abraham.
MAT.1.20	―Josie, öque teca teiconie David, amo xomomajte para tecönas María mosohua. Pues inu peltzintle tli quetlöcatelis, de Espíritu Sönto icaca. 
MAT.1.21	Hua quetlöcatelis peltzintle oquechtle, hua tectucöyutis 
MAT.1.22	Noche ini nönca opasöre para ma mochihua tli oquejtojque Tlöcatzintle por icamacopa tlayulepante:
MAT.1.23	Xequejtacö, que sisehuantu moutztlölis,
MAT.1.23	hua quetlöcatelis sente peltzintle oquechtle,
MAT.1.23	hua yejua quecuitisque Emanuel,
MAT.1.23	que quejtusneque: Deus iloac ca tejua.
MAT.1.24	Cuöc otlachix Josie de ipa icocheles, oquechi san quiene ca oquenahuate inu öngel de Tlöcatzintle. Oquesele isohua María, 
MAT.1.25	pero amo itlac omotiecac hasta senamo oquetlöcatele peltzintle hua oquecuite Jesús.
MAT.2.1	Otlöcatihuac Jesús ipa puieblo de Belén ipan tlöle de Judea cuöc oyeya rey yaja Herodes. Hua ohuölajque seque tlajmatque noso magos desde ca cöne quisa tunale hasta por inu ciudad de Jerusalén. 
MAT.2.2	Hua oquejtojque:
MAT.2.2	―¿Cöne icaca inu peltzintle tli otlöcat para iyes rey de joriojte? Pues isitlal otequejtaque desde ca ompa ca cöne quisa tunale, hua otehuölajque otecmabesutico.
MAT.2.3	Hua cuöc oquecac ini nönca inu rey Herodes, omotequepacho lalebes, hua noche giente de Jerusalén nuyejque motequepachojque. 
MAT.2.4	Hua oquensentlöle noche jefes de teopexcötzetzi ca tiehua tlamachtiöneme tli quemachtiöya teotlajtule ca inu puieblo. Hua oquentlajtlane cöne noso tlöcates inu Cristo öque Deus oquixpejpenque. 
MAT.2.5	Hua yejua oquelfejque:
MAT.2.5	―Tlöcates ipa puieblo de Belén ca necö ipan tlöle de Judea. Pues ejqueu tlajcuelulpanca por inu tlayulepante:
MAT.2.6	Taja, Belén de inu tlöle de Judea, amo lalebes tetzitzequetzi tecaca intzölö tlötlajtoönejme de Judá;
MAT.2.6	pues de taja quisas sente tlayecönque, tli quemixutis hua quentlacualtis nopuieblo Israel.
MAT.2.7	Yecuöquenu Herodes sa ichtajcajtzi oquemennutz inu magos, hua oquentlajtlane exactamente quiejquech tunalte quepeaya desde que onies inu sitlale. 
MAT.2.8	Sötiepa oquentitla ca Belén, hua oquemelfe:
MAT.2.8	―Xeyöcö ompa, hua xetlajtlanecö ca nobeyo por inu peltzintle. Hua sötiepa de cuöc ye nenqueniextejque, xeniechmachestique, para nuyejque naja neyös necmabesutiti.
MAT.2.9	Hua yejua, cuöc oquecajque inu rey, uyajque. Hua necö inu sitlale tli oquejtaque cöneca quisa tunale, oquenyecöntöya hasta cuöc aseto, hua omoquetz icpac cöne oyeya peltzintle. 
MAT.2.10	Hua cuöc oquejtaque sitlale, oquepexque lalebes bieye pöquelestle. 
MAT.2.11	Hua ocalajque ipan chöntle, hua oquejtaque peltzintle ca inöntzi María. Hua omotlancuöquetzque, hua oquemabesutejque. Hua ocönque de inricojyu, hua oquemacaque tietlöocolelestle de oro, hua copale, hua pajtle pateyo que itucö mirra. 
MAT.2.12	Hua Deus oquennahuatejque ipa incochtiemequeles ma ayecmo yöcö ca itlac Herodes. Entunses uyajque para ca inchö ca pa ocsente ojtle.
MAT.2.13	Hua cuöc uyajque yejua, ohuöla sente öngel de Tlöcatzintle hua omoniexte ipa icochtiemequeles Josie. Oquelfe:
MAT.2.13	―Xemiehua, hua xecöna peltzintle ca tiehua inöntzi, hua xecholo pa Egipto. Hua ompa xeya hasta senamo naja temetzelfis. Pues inu Herodes quetiemus peltzintle para quemectis.
MAT.2.14	Hua cuöc yaja otlachix, ucö peltzintle ca tiehua inöntzi ca yohuale, hua uyajque ca Egipto. 
MAT.2.15	Hua ompa oyejyeya hasta senamo omec Herodes. Ini nönca opasöre para ma mochihua tli oquejtojque Tlöcatzintle por icamacopa tlayulepante, cuöc oquejto: “Nectzajtzele noConie ma quisa de Egipto”.
MAT.2.16	Yecuöquenu Herodes omomacac cuienta de que inu magos omoburlörojque de yaja. Entunses ocualö lalebes, hua otlatitla ma quenmejmecticö noche pelantzetzi oquechte tli cate ipa Belén hua noche puieblos tli ca ompa cate. Otlamandöro ma quenmejmecticö tli quepeaya desde ume xebetl para ca tlatzintla, según quiene oquemat de quiejquech tiempo quepeaya de que inu magos oquejtaque inu sitlale. 
MAT.2.17	Ejqueu omochihuaco tli oquejto tlayulepante Jeremías:
MAT.2.18	Ocaquestec sente tosquetl ipan Ramá,
MAT.2.18	meyac chuquelestle hua tzajtzelestle.
MAT.2.18	Yaja Raquel quenchuqueliöya ipelhua,
MAT.2.18	hua amo quenequeya moyulölis, ipampa ye omejmejque.
MAT.2.19	Cache cuöc ye omec Herodes, ohuöla sente öngel de Tlöcatzintle, hua omoniexte ipa icochtiemequeles Josie ompa Egipto. 
MAT.2.20	Oquelfe:
MAT.2.20	―Xemiehua, hua xecöna peltzintle ca tiehua inöntzi, hua xebeya ipan tlöle de Israel. Pos ye omejmejque niecate tli quetepotztocaya peltzintle para quemectisque.
MAT.2.21	Yecuöquenu yaja omie, hua ucö peltzintle ca tiehua inöntzi, hua ohuölajque ca ipan tlöle de Israel. 
MAT.2.22	Hua cuöc oquecac que Arquelao tlajtojcötejteca ipa Judea itlacopa Herodes itajtzi, omomajte iyös ompa. Hua ocsajpa Deus quenahuatejque ipa icochtiemequeles, para ma beya ca estado de Galilea. 
MAT.2.23	Ejqueu uya, hua onemeto ipa sente puieblo itucö Nazaret. Noche inu opasöre para ma mochihua tli oquejtojque tlayulepantejque, pues oquejtojque que Cristo tietucöyutisque nazareno.
MAT.3.1	Hua ipa inu niecate tunalte ohuöla Xohuö Bautista (quejtusneque Tlacuötiequiöne). Hualtlanunutztöya ipa inu pörtes de Judea cöne nionöque chönte. 
MAT.3.2	Cualejtojtöya:
MAT.3.2	―Xomoyulcuepacö, ipampa ye aseco tunalte para Deus tlamandörurus nemotlac.
MAT.3.3	Pues de ini nönca Xohuö Deus otlajtlajtuluc por icamacopa inu tlayulepante Isaías, cuöc oquejto:
MAT.3.3	Caquestec tlajtule de yeca tli tzajtzeya ompa cöne nionöque chönte,
MAT.3.3	hua quejtoöya: “Xecyejyectlölicö tieojfe Tlöcatzintle.
MAT.3.3	Xecmejmelöhuacö tieojfe, pues ye miero axihuaqui”.
MAT.3.4	Quepeaya Xohuö itlaquie de itojmeyo de camello, hua motlajcoilpejtaya ca sente cuetlaxpöxajtle. Hua itlacual oyeya yaja chapolte hua nectle de cormiena tli onca ca caltienco. 
MAT.3.5	Hua quisaya ca yaja noche giente de inu ciudad de Jerusalén hua de noche tlöle de Judea, hua de noche inu locör tli ica itech inu ötlactle de Jordán. 
MAT.3.6	Hua cuöc moyulcuitiöya de intlajtlacul, entunses quencuötiequiöya Xohuö ipa inu ötlactle de Jordán.
MAT.3.7	Hua cuöc oquemejtac yaja meyactie de 
MAT.3.7	―¡Tlöcaxenöchcuhuöme! ¿Öque onemiechmachte nencholusque de ipa inu cualönelestle de Deus tli huölös nemopa? 
MAT.3.8	Xecchihuacö noso sösantle tli conbenierebe quechihuas öque de melöhuac ye omoyulcuec. 
MAT.3.9	Hua amo xecpensörojtacö nemojtecopa que yaja Abraham icaca nemotajtzi hua que por inu nencate cuale. Pues naja nemiechelfea que Deus cuale quenchihualtisque ini nöncate teme ma mochihuacö ipelhua Abraham. 
MAT.3.10	Öxö, pues Deus ye miero quenpojpolusque tli amo quechihua tlin cuale. Icaca quiename tlö sente öcha ye intzintlanca cuajme; hua noche cuabetl tli amo quetiemaca ifruto cuale, motzinteques hua motlajcales ijtec tletzintle.
MAT.3.11	’Naja por nopörte nemiechcuötiequea ca ötzintle ipampa nemoyulcuepa. Pero ocsie tlöcatl biloatz sötiepa de naja, öque cache quepealo meyac checöhualestle que naja. Naja amo necmeresieroa nion para necbicas tiecacua. Yejuatzi nemiechcuötiequisque ca Espíritu Sönto hua ica tletzintle. 
MAT.3.12	Yejuatzi iloac quiename sente tlöcatl tli ye miero piehuas para quetzetzelus trigo. Hua quebicas inu trigo tli chepöhuac para ma iye ijtec bescomatl, pero inu itlasolyo quexutlaltisque ijtec inu tletzintle tli ayec siebe.
MAT.3.13	Yecuöquenu ohualiloac Jesús de ipa Galilea para cöne icaca Xohuö itlac inu ötlactle de Jordán. Ohualiloac para ma tiecuötieque Xohuö. 
MAT.3.14	Cache Xohuö amo quenequeya. Quejtoöya:
MAT.3.14	―Naja cache cuale necnesesitöroa ma xeniechmocuötiequele tejuatzi. ¿Tlica noso cache tejuatzi noca tomobica?
MAT.3.15	Pero Jesús onöhuatihuac hua oquelfejque:
MAT.3.15	―Xejcöhua öxö ma tecchihuacö ini nönca, pues ejqueu conbenierebe ma tecchihuacö noche lo que tli icaca yectec.
MAT.3.15	Yecuöquenu Xohuö omoconformöro hua otiecuötieque. 
MAT.3.16	Hua Jesús, sötiepa de cuöc necuötiequiluc, sa nima oquixoac de ijtec ötzintle. Entunses omotlapo elfecac tiepa yejuatzi, hua oquejtaque tieEspíritu de Deus que hualtemoöya quieme sente palumax tiepa yejuatzi. 
MAT.3.17	Hua ocaquestec sente tlajtule ipa elfecac. Quejtoöya:
MAT.3.17	―Yaja ini nönca noConie, öque nectlasojtla. Ica yaja necpea meyac pöquelestle.
MAT.4.1	Yecuöquenu Espíritu Sönto tiebicaluc Jesús ca ompa cöne nionöque chönte para ompa tieyulmajmötocas inu Diöblo. 
MAT.4.2	Hua cuöc amo otlacualuc cuarenta tunale hua cuarenta yohuale, sötiepa oteosebihuac. 
MAT.4.3	Hua cuöc oaseto inu tieyulmajmötocane, otieyelfe:
MAT.4.3	―Tlö teca teiconie Deus, xequejto ma ini nöncate teme ma mocuepacö pöntzi.
MAT.4.4	Cache yejuatzi onöhuatihuac, oquelfejque:
MAT.4.4	―Tlajcuelulpanca:
MAT.4.4	Amo sa ca pöntzi cuale nemes sente tlöcatl,
MAT.4.4	cache quenesesitöroa de noche tlajtule tli quisa tiecamacopantzinco Deus.
MAT.4.5	Yecuöquenu Diöblo otiepanulte ipa inu ciudad de Deus, que yaja Jerusalén, hua tietlejcabe hasta icuayuluc teopantle. 
MAT.4.6	Hua otieyelfe:
MAT.4.6	―Tlö tecaca teiconie Deus, xomocajcöhua hasta tlölpa. Pues ejqueyi tlajcuelulpanca:
MAT.4.6	Cualentitlanesque tieöngeles por mopampa,
MAT.4.6	hua metzajcoquesque ca inmöhua,
MAT.4.6	para que ejqueu mocxehua amo moteputlamesque ica teme.
MAT.4.7	Jesús oquelfejque:
MAT.4.7	―Pues nuyejque tlajcuelulpanca: “Amo xetietantiöro Tlöcatzintle moDeus para abier tlö cuale quechihuasque”.
MAT.4.8	Ocsajpa Diöblo tiebicac hasta icpac sente tepietl bieye, hua tieyejtete noche reinos hua naciones de tlöltecpactle, hua noche incualniexteles. 
MAT.4.9	Hua otieyelfe:
MAT.4.9	―Noche ini nönca temetzmacas tlö nixpa tomotlancuöquetzas hua teniechmabesutis.
MAT.4.10	Yecuöquenu Jesús oquelfejque:
MAT.4.10	―Xebeya, Satanás, ipampa tlajcuelulpanca:
MAT.4.10	Yejuatzi Tlöcatzintle moDeus tetiemabesutis,
MAT.4.10	hua sa yejuatzi tetietequepanus.
MAT.4.11	Yecuöquenu Diöblo tiecöjtie. Entunses oaseco öngeles hua tietequepanoöya.
MAT.4.12	Sötiepa Jesús oquecajque que Xohuö ye oquetzajtzajque ipan cörsel. Entunses Jesús onecuepaluc ca inu tlöle de Galilea. 
MAT.4.13	Hua oquixoac de Nazaret, hua onemoaco ipa sente puieblo itucö Capernaum, que icaca itienco ötiescatl, cöne ica itlamejyo de inu tlöle de Zabulón hua de Neftalí. 
MAT.4.14	Ejqueu opasöre para ma mochihua tli oquejto inu tlayulepante Isaías. Pues oquejto:
MAT.4.15	Inu tlöle de Zabulón, hua inu tlöle de Neftalí, ojtle tli pano itienco ötiescatl, ca nie löro de Jordán,
MAT.4.15	tlöle de Galilea cöne chajchönte meyactie tli amo cate de topuieblo.
MAT.4.16	Noche inu giente tli yejyehuataya ca tlajtlayohuaquelestle pa inyulo oquejtaque bieye tlaniextelestle,
MAT.4.16	hua tli yejyehuataya ipa inu locör de tlayohuaquelestle de mequelestle, tlöbile oquentlaniextele.
MAT.4.17	Desde cuöquenu opiehualuc Jesús para tlanunutzalus, hua quejtuloöya:
MAT.4.17	―Xomoyulcuepacö, ipampa ye ajaseco tunalte para Deus tlamandörurus nemotlac.
MAT.4.18	Hua nejnemoatenemeya Jesús itlac ötiescatl de Galilea. Oquemejtaque unte icnijte: Semu, öque nuyejque mocuitea Piero, hua Andrés icni. Quetlajcaleya tarröya ijtec ötiescatl, pues yejua oyejyeya pescadurte. 
MAT.4.19	Hua oquemelfejque:
MAT.4.19	―Xeniechtocacö, hua nemiechchihualtis nenyesque nenpescadurte de tlöca.
MAT.4.20	Yejua sa nima oquecöjtiejque intarröya, hua tietocaque. 
MAT.4.21	Hua cuöc opanoac de ompa oquemejtaque oc unte icnijte: yaja Jacobo, iconie Zebedeo, ca tiehua icni itucö Xohuö. Yejua oyejyeya ipan börco ca tiehua intajtzi, hua quenyejyectlöliöya intarröyajua ye otlajtlatzcotu. Hua yejuatzi quennutzque. 
MAT.4.22	Hua sa nima quecöjtiejque inu börco ca tiehua intajtzi, hua tietocaque.
MAT.4.23	Hua biloatenemeya por noche inu tlöle de Galilea, hua otlamachtiloöya ipan inteopancuconehua de yejua. Tlanunutzaloöya de inu cuale tlamachestelestle de quiene Deus tlamandöruro. Hua otlapajtilutöya de noche cocolestle hua de noche tiecoco tli quepeaya giente. 
MAT.4.24	Hua caquesteya tieyectieniehuales ipa noche inu tlöle de Siria. Hua giente tiehualequelejque noche tlin cocolesyojque, tli quepejpeaya de noche sösantle cocolestle, hua tli quepejpeaya demunios, hua tli lucojte hua tli cojcultzetzi. Hua yejuatzi oquenpajtiloöya. 
MAT.4.25	Hua otietocaya meyac giente de inu tlölte de Galilea hua de Decápolis hua de inu ciudad de Jerusalén, hua de inu tlöle de Judea, hua de ca nie löro de inu ötlactle de Jordán.
MAT.5.1	Hua cuöc oquejtaque inu meyac giente, otlejcoac ipan tepietl, hua ompa netlöliluc. Hua omopachojque tietlac tiemachtejcöhua. 
MAT.5.2	Hua yejuatzi oquetlapojque tiecamac hua quenmachtejque.
MAT.5.2	Oquejtojque:
MAT.5.3	―Cuale imicnupel tli momachelea porubejte ipa inyulo, pos yejua quepejpea pörte cöne Deus tlamandöruro ipa elfecac.
MAT.5.4	’Cuale imicnupel tlin chojchuca, pos yejua moyulölisque.
MAT.5.5	’Cuale imicnupel tli modominöroa cuale hua amo papasolte, pues yejua mohuöxcatisque inu tlöle tli Deus queprometierojque.
MAT.5.6	’Cuale imicnupel tli lalebes queneque yesque yecteque, quiename cuöc öque teosebe hua ömeque. Pues yejua ixbesque.
MAT.5.7	’Cuale imicnupel tli tlaicnuyejta, pos Deus quemicnuejtasque yejua.
MAT.5.8	’Cuale imicnupel tli chepöjtecate ipa inyulo, pos yejua tieijtasque Deus.
MAT.5.9	’Cuale imicnupel tli quechihua siebelestle entre tli moponieroa, pos yejua mocuitisque tiepelhua de Deus.
MAT.5.10	’Cuale imicnupel niecate tli ocseque quentepotztoca porque yejua cate yecteque, pos yejua quepeasque pörte cöne Deus tlamandöruro ipa elfecac.
MAT.5.11	’Cuale nemocnupel cuöc giente nemiechpöpöca, hua nemiechtepotztoca, hua cuöc nemoca tlajtoa de noche tlin amo cuale ca istlacatlajtule, hua ejqueu nemiechchibelea porque nenniechtoca. 
MAT.5.12	Xepajpöquecö hua xecpeacö meyac pöquelestle, ipampa inu premio tli nenqueselisque ompa elfecac cache bieye iyes. Pues ejqueu nuyejque quentepotztocaque inu tlayulepantejque tli cachto ohuölajque que nemejua.
MAT.5.13	’Nemejua nencate quiename nenestatl para tlöltecpactle. Hua tlö yestatl mocuepas öbielec, ¿tli ica mopoyelis? Ayecmo serbirebes para niontle, tlöcamo sö para motlajcalis ca queyöhuac ma ipa moquejquetzacö giente.
MAT.5.14	’Nemejua nencate quiename nentlöbile de tlöltecpactle, quiename sente ciudad tli icaca ipa sente tepietl hua abele mojyönas. 
MAT.5.15	Nuyejque ica melöhuac que amo moxutlaltea sente cantil para öque quetlölis itzintla sente almu. Cache öque quetlölea ipa sente canteliero, hua ejqueu quentlaniextelea noche tli cate ipan chöntle. 
MAT.5.16	Pues ejqueu ma tlaniexte nemotlöbil imixtla noche giente, para ma quejtacö tlin cuale nemotlachihual, hua ma tiemabesuticö nemoTajtzi öque elfecac iloac.
MAT.5.17	’Amo xecpensörucö que naja nehuöla para necxexetunis inu ley de Moisés nimpor lo que oquejcuelojque inu tlayulepantejque. Amo onehuöla para netlaxexetunico, cache onehuöla para nejcumpliruco. 
MAT.5.18	Pues nemiechelfea, que de melöhuac hasta senamo tlames elfecac hua tlöltecpactle, nion sente lietra, por mös tzitzequetzi oyene, amo polebes de ipa inu ley, tlöcamo mochihuas noche sösantle tli ompa tlajcuelulpanca. 
MAT.5.19	Por inu tlö canajyeca amo queneltocas sente mandamiento de inu ley, por mös tzitzequetzi oyene, hua tlö ejqueu quenmachtis ocseque giente para amo queneltocasque, inu tlöcatl lalebes tzitzequetzi iyes ompa cöne Deus tlamandöruro. Cache tlö canajyeca quechihuas hua tlamachtis inu mandamiento, yaja momajtas bieye ompa cöne Deus tlamandöruro. 
MAT.5.20	Pues nemiechelfea que tlö quejtus nemoyectlachihual amo iyes cache cuale que lo que tli quechihua inu fariseos hua tlamachtiöneme de teotlajtule, amo nencalaquesque ompa cöne Deus tlamandöruro.
MAT.5.21	’Ye nenquemajmate que omojto ca tobiebetcöhua: “Amo xetlamecte”, hua: “Tlö canajyeca tlamectea ica en peligro de que quecuntenörusque tlajtoönejme de ipuieblo”. 
MAT.5.22	Cache naja nemiechelfea, que tlö canajyeca cualönes ica icni, ica en peligro de que quecuntenörusque tlötlajtoönejme del puieblo. Hua öque quelfis icni: “Raka” (quejtusneque Tunto), ica en peligro para quecuntenörusque inu tlajtoönejme del cubierno. Hua öque quelfis icni: “Taja sie tiro tetunto”, ica en peligro de que iyös ipa tlecale. 
MAT.5.23	Por inu, cuöc tejcualecas bentle ipa ajtöl, hua ompa tequelnömeques que mocni quepea canajyetla ca taja, 
MAT.5.24	pues ompa xejcöjtiehua bentle ixpa ajtöl, hua xebeya ca mocni, hua cachto xomotlapojpolficö. Entunses sötiepa xehuöla hua xejcuetlabilte inu bentle. 
MAT.5.25	Mientras teya pa ojtle ca moenemigo sa nima xecnunutza hua xomotlöle de acuierdo ca yaja; amo cana mochihuas que moenemigo metzmöctis ica tlajtoöne, hua tlajtoöne metzmöctis ica cörseliero hua metzcalaquis ijtec cörsel. 
MAT.5.26	Melöhuac temetzelfea, que amo tequisas de ompa hasta senamo tectlaxtlöhuas hasta inu sölúltimo quinto de tli tectietlabiquelea.
MAT.5.27	’Nenquemate que omojto: “Amo tecalaques ca isohua ocsente”. 
MAT.5.28	Cache naja nemiechelfea, que tlö canajyeca sa quejta sente sohuatl para quixeliebis, pues ipa iyulo ye tlajtlacojteca ca inu nieca sohuatl. 
MAT.5.29	Ca inu, tlö quejtus mixtelolo de ca momöyecmö metzchihualtea tetlajtlacus, xejcopina, hua xectlajcale de taja. Pos cache metznömeque ma polebe sie pörte de mocuierpo, hua majcamo que noche mocuierpo quetlajcalesque ijtec tlecale. 
MAT.5.30	Hua tlö quejtus momöyecmö metzchihualtea tetlajtlacus, xectejteque, hua xectlajcale de taja. Cache metznömeque ma polebe sie pörte de mocuierpo, hua majcamo que noche mocuierpo quetlajcalesque ijtec tlecale.
MAT.5.31	’Nuyejque omojto: “Öque quecajcöhuas isohua, ma quemaca ömatl de necajcöhualestle”. 
MAT.5.32	Cache naja nemiechelfea, que tlö canajyeca quecajcöhua isohua hua amo quechihua porque isohua otlajtlaco ca ocsente tlöcatl, cache quechihua por ocseque sösantle, yaja quechihualtea que isohua tlajtlacus. Hua öque mosohuajtis ca inu sohuatl tli inömec quecajcö, yaja tlajtlacoa porque inu sohuatl ye quepea inömec, mös amo quepexteca.
MAT.5.33	’Nuyejque nenquemate que omojto ca tobiebetcöhua: “Amo xequejto ¡Cabelele paltzinco! ica istlacatelestle”, hua: “Cuöc tetieprometierfis Deus canajyetla, xejcumpliro”. 
MAT.5.34	Cache naja nequejtoa: Ayec canajquiema amo xequejtucö “¡Cabelele paltzinco!” Nimpor amo xetlajurörucö por elfecac, ipampa ica quiename tietrono de Deus, hua tlö ejqueu nenquechihuasque ica iguöl quiename tlö nenquejtoöne “¡Cabelele paltzinco!” 
MAT.5.35	Nimpor amo xetlajurörucö por tlöltecpactle, ipampa yaja ica quiename cöne quesiebilo tieicxehua. Nimpor amo xetlajurörucö por Jerusalén, pues yaja ica tieciudad de inu Rey bieye, que yejuatzi iloac Deus. Tlö nentlajurörusque por nöncate sösantle ica iguöl quieme tlö nenquejtoöne “¡Cabelele paltzinco!”, noso “¡Por Deus!” 
MAT.5.36	Nuyejque amo xetlajuröro por motzonteco ipampa abele tecchihuas sente motzo ma iye istöc hua ocsente capotztec. 
MAT.5.37	Cache cuale ma ejqueyi iye nemotlajtul: que cuöc nenquejtoa “Quiema”, ma iye quiema, hua cuöc nenquejtoa “Amo”, pos ma iye amo. Pos amo cuale ica öque quesölultis tlajtule.
MAT.5.38	’Ye nenquemate que omojto ejqueyi: “Tlö canajyeca quixcopina ocsente, xequixcopinacö yaja nuyejque, hua tlö quetlancochcopina, xectlancochcopinacö yaja nuyejque”. 
MAT.5.39	Cache naja nemiechelfea: Amo xejcuajnömequecö tlö canajyeca queneque nemiechchibelis tlin amo cuale. Cache tlö quejtus metzmaca ipa moxöyac de momöyecmö, xomocuepa para ma metzmaca nuyejque de ocsie löro. 
MAT.5.40	Hua tlö canajyeca queneque metzbicas ca tlajtoönejme para metzcuejcuelis mocamixa, xecmaca nuyejque mosaröpe. 
MAT.5.41	Tlö canajyeca queneques metzchihualtis para tetlamömajtös sie kilómetro ca yaja, pos xebeya ume kilómetro ca yaja. 
MAT.5.42	Öque metztlajtlanelis canajyetla, xecmaca, hua öque queneques motlacuis canajyetla de taja, amo xectzacuele.
MAT.5.43	’Ye nenquemate que omojto: “Xectlasojtla motlöcaicni, hua xectlajyelejta moenemigo”. 
MAT.5.44	Cache naja nemiechelfea: Xequentlasojtlacö nemoenemigos, hua xomotlajtlötlajticö por niecate tli nemiechtepotztoca. 
MAT.5.45	Pues ejqueu nieses que melöhuac nencate nentiepelhua de nemoTajtzi öque iloac elfecac. Pues yejuatzi quechihualo ma quisa tunale impa tlin amo cualteque hua tlin cualteque, hua ma queyabe impa tli yecteque hua tli amo yecteque. 
MAT.5.46	Pues tlö nenquentlasojtlasque sa öque nemiechtlasojtla, ¿tli tlaxtlöbile nenquepeasque ompa elfecac? ¿Amo nuyejque ejqueu quechihua inu tlanechecojque hua ocseque amo cualteque? 
MAT.5.47	Hua tlö nenquentlajpaloa sa tlin nemocnihua, ¿tli nenquechihua que ocseque amo quechihua? Pues hasta giente que amo joriojte nuyejque quechihua ejqueu. 
MAT.5.48	Xeyecö, noso, nemejua nenyejcualteque, quiename nemoTajtzi öque iloac elfecac yejcualtec iloac.
MAT.6.1	’Xecpeacö cueröro cuöc nenquechihuasque tlin cuale amo xecchihuacö imixtla giente para que yejua nemiechejtasque. Pues tlö ejqueu nenquechihua amo nenqueselisque inu premio tli quetiemacasque nemoTajtzi öque elfecac iloac.
MAT.6.2	’Por ejiemplo, cuöc canajyetla nentietlöocolisque amo xecchihuacö para ma machea lalebes. Pues ejqueu quechihua inu giente de ume inxöyac. Pues yejua quisa ipa teopanme hua ipan plösas hua quenejneque ma quemejtacö innochtie, para que ejqueu quenyectieniehuasque. Melöhuac nemiechelfea, ye quepea intlaxtlöbil. 
MAT.6.3	Cache taja, cuöc canajyetla tetietlöocolea, majcamo quemate nionöque mösque oyene moamigo lalebes. 
MAT.6.4	Ejqueu motietlöocoleles iyes sa ichtacajtzi, hua moTajtzi Deus öque cuale quejtalo mös tectiemaca sa ichtacajtzi, yejuatzi metzcuepelisque.
