MAT.1.1	Tüfa Jesucristo tañi kuyfike tuwün pu che em, David em ka Abraam em tañi pu yomel ürke:
MAT.2.15	“Egipto mew mütrümfalün tañi Fotüm” pi.
MAT.2.16	Welu ngüneduamlu ta Erode tati pu kimke wentru ñi ngünenkaetew, rume lladküy. Feymew Erode rakiduami tunten küyen ñi dew rupan feychi kimeletew ti pu kimke wentru chumül ñi pewfaluwün ti wangülen, fey werküy ñi langümngeael kom pichikewentru püñeñ, mülelu ta Belen ka fülpüle müleyelu, petu puwülnienolu küla tripantu. 
MAT.2.17	Fey ta famngechi mupiy tañi wirintukuel tati pelon wentru Jeremia:
MAT.2.18	“Allküngey kiñe dungun ta Rama trokiñ mapu mew, rume fütra ngümakawün ka fütrake etüngün.
MAT.2.18	Rakel reke ngümakawmekey kom domo langümüñmangen mew tañi püñeñ engün,
MAT.2.18	fey pilay tañi yafülngeael, dew lalu am ti pichikeche” pi.
MAT.2.19	Welu dew lalu ta Erode, Ñidol tañi kiñe werken püllü pewfaluwfi ta Jose pewma mew, Egipto mapu mew, fey feypifi: 
MAT.2.20	“¡Pepikawnge! Yetuafimi tati pichiwentru tañi ñuke engu, fey wiñotumün ta Israel mapu mew. Dew lay tati ayüfulu ñi langümafiel tati pichiwentru.”
MAT.2.21	Feymew Jose pepikawi, fey küpaltufi tati pichiwentru tañi ñuke engu ta Israel mapu mew. 
MAT.2.22	Welu Jose kimlu Arkelaw ñi longkoletun ta Judea mapu mew chew longkolekefuy kisu ñi chaw Erode, llükay ñi amuael ta üyew, kom feypietew am ta Ngünechen pewma mew, fey amuy Galilea trokiñ mapu mew. 
MAT.2.23	Fey puwlu üyew, eluwi tañi mülepuael Nasaret waria mew. Fey tüfa famngechi femi tañi mupiael ñi feypikünuel tati pu pelon wentru: Nasaretche ñi pingeael ta Jesus.
MAT.3.1	Fey dew rupalu fentren tripantu pewfaluwi ta Juan ti Fawtisachefe Judea tañi uwe mapu mew. 
MAT.3.2	Fey ta famngechi feypi tañi wewpin: “¡Wiñorakiduamtumün tamün wiñotuael ta Ngünechen mew, dew fülpalu am ta Ngünechen tañi longko ülmenngeael!” 
MAT.3.3	Juan ta tiye ürke tañi feypikünuel tati pelon wentru Isaia tañi wirielchi chillka mew:
MAT.3.3	“Kiñe dungun ta allküngey mawkenochi uwe mapu mew:
MAT.3.3	‘Kiñe nor küme rüpü reke feletupe tamün rakiduam,
MAT.3.3	femngechi tamün llowafiel ta Ñidol.’ ”
MAT.3.4	Juan tañi takuwün ngürelerkey ta re kal kamellu mew, ka trariwtuley kiñe koriwen trariwe mew. Fey tañi ikeelchi iyael chori ürke ka lelfün mew mülechi miel. 
MAT.3.5	Jerusalen müleyechi pu che ka fentren che tati mülelu Judea tañi trokiñ mapu mew ka fülküleyechi trokiñke mapu ta Jordan lewfü püle, tripapay engün ñi allkütuael. 
MAT.3.6	Kom che feypi ñi yafkafengen, fey Juan fawtisafi ti pu che tati Jordan lewfü mew.
MAT.3.7	Welu Juan pefilu fentren pu farisew ka sadusew
MAT.3.8	Welu feley ñi küme kimfalael tamün mongen mew tamün wiñorakiduamtun ta Ñidol mew. 
MAT.3.9	Rakiduamkilmün tamün welukonkechi feypiael müten: ‘Abraam ñi tuwünche ta iñchiñ’. Iñche ta feypiwayiñ: Ngünechen tüfachi pu kura femkünuafuy Abraam ñi yomelchengeael. 
MAT.3.10	Tati toki ta dew pepikaley ñi folil katrünentuafiel ta anümka. Fey kom anümka wülkenolu küme fün katrüngeay ka tukungeay ta kütral mew. 
MAT.3.11	Iñche ta fawtisakefiñ ko mew tati pu che rüf dungu mew wiñorakiduamtulu tañi yafkan mew, welu tati inalepalu iñche mew, fawtisacheay ti Lif Küme Püllü mew ka kütral mew reke. Kisu ta doy fütra pepiluwün niey ta iñche mew. Iñche fente tañi yamniefiel mew ta kisu nentupüroñmalayafuiñ rume tañi okota. 
MAT.3.12	Kisu nüniey tati trüytrüywe tañi püntülafiel ta kachilla ka ñi wichunentuafiel tati pinu. Kisu ñi elketranwe mew tukuafi ti kachilla, fey tati pinu ütrüftukuafi chumkawnorume chongnoachi kütral mew.”
MAT.3.13	Fey Jesus tripapay ta Galilea ñi amuael ta Jordan lewfü püle, chew ñi mülemum ta Juan, fey kisu tañi fawtisayaetew. 
MAT.3.14	Welu Juan pilafuy tañi fawtisayaetew, fey ka feypieyew:
MAT.3.14	—Eymi may ta felefuy tami fawtisayafiel, fey ¿chumngelu am eymi küpaymi iñche mew?
MAT.3.15	Fey Jesus llowdungufi ta Juan:
MAT.3.15	—Fey tüfa famngechi felepe. Doy kümey tayu femael kom tañi feypikünuelchi werkün dungu ta Ngünechen.
MAT.3.15	Feymew wüla ta Juan eluwi ñi fawtisayafiel ta Jesus. 
MAT.3.16	Fawtisangelu müten ta Jesus, tripapatuy ta ko mew. Feymew müten wengatripay reke ta kallfü wenu, fey Jesus pefi ñi nagpan ta Ngünechen ñi Lif Küme Püllü kiñe palluma reke, fey akuy kisu mew. 
MAT.3.17	Ka allküngey ta kiñe dungun wenu mapu mew, feypilu:
MAT.3.17	“Fey tüfa ta iñche ñi sakin Fotüm, ñi fentren manelnieel” pi ti dungun.
MAT.4.1	Feymew müten tati Lif Küme Püllü ñi pepiluwün mew, Jesus puwi ti uwe mapu mew, tañi kintukaduamaetew tati weküfü. 
MAT.4.2	Fey meli mari antü ka meli mari pun ilay chem no rume, feymew wüla ngüñüy.
MAT.4.3	Fey tati weküfü fülkontufi ta Jesus ñi kintukaduamafiel, ka feypifi:
MAT.4.3	—Rüf dungu mew Ngünechen ñi Fotümngelmi, werkünge tañi kofkewtuael ta tüfachi pu kura.
MAT.4.4	Welu Jesus ta llowdungueyew:
MAT.4.4	—Tati Wirin Chillka ta feypiley:
MAT.4.4	‘Re kofke mew müten mongeluwkelay ta che, welu may mongeleay Ngünechen ñi dungu mew.’
MAT.4.5	Feymew tati weküfü ka yefi ta Jesus tati fütra küme waria Jerusalen mew, fey pürampufi ta doy alü pürachi wechuñ ngillatuwe ruka mew. 
MAT.4.6	Ka feypifi:
MAT.4.6	—Rüf dungu mew Ngünechen tañi Fotümngelmi, ütrüfnagümuwnge tüfa mew, tati Wirin Chillka am feypilelu:
MAT.4.6	‘Ngünechen ta werküay tañi pu werken püllü tami llüwatunieaetew.
MAT.4.6	Fey pürüm witrañpüramaeymew engün tañi kuwü mew,
MAT.4.6	femngechi tami allfüpunoael ti pu kura mew.’
MAT.4.7	Fey Jesus llowdungueyew:
MAT.4.7	—Ka femngechi feypiley tati Wirin Chillka: ‘Kintukaduamkefilnge tami Ñidol Ngünechen.’
MAT.4.8	Fey ti weküfü ka puwülfi ta Jesus kiñe alü pürachi fütra wingkul mew. Pengelelpufi kom fütrake trokiñke mapu ka itrofill kümeke felen ñi nieel, 
MAT.4.9	fey feypifi:
MAT.4.9	—Püramyeeli ngillatun mew, iñche eluaeyu kom tami peel.
MAT.4.10	Fey Jesus ta llowdungueyew:
MAT.4.10	—Kiñe püle tripange, weküfü. Tati Wirin Chillka feypiley:
MAT.4.10	‘Püramyeafimi ngillatun mew ka poyeafimi tami Ñidol Ngünechen müten.’
MAT.4.11	Feymew ta weküfü elkünutufi ta Jesus, fey kiñeke werken püllü akuy tañi poyeafiel ta Jesus.
MAT.4.12	Feymew Jesus allkülu ñi püresuntukungen ta Juan karsel mew, fey amuy ta Galilea mapu mew ñi puwael Nasaret waria mew. 
MAT.4.13	Welu mülenaglay ta Nasaret mew, fey amuy ta Kapernaum waria mew tañi mülepuael, inaltu Galilea lafken, Sabulon ka Neftali tañi trokiñche ñi mapu mew. 
MAT.4.14	Fey ta famngechi femi tañi mupiael tati pelon wentru Isaia ñi wirintukuelchi dungu:
MAT.4.15	“Sabulon ka Neftali tañi mapu,
MAT.4.15	fül Jordan lewfü, ka lafken ad püle,
MAT.4.15	Galilea mapu chew tañi mülemum tati pu judiu tuwünngenochi che.
MAT.4.16	Tati dumiñ mew reke mülechi pu che pefi kiñe fütra pelon.
MAT.4.16	Tüfeychi pu che dumiñmalelu reke ñi wesake dungu mew
MAT.4.16	alofmaeyew reke kiñe fütra küme dungu” pi.
MAT.4.17	Feychi mew Jesus eluwi tañi wewpiael fey ta famngechi: “Wiñorakiduammün tamün yafkan mew. Dew fülkülepay ta Ngünechen tañi longko ülmenngen” pi.
MAT.4.18	Fey kiñe antü Jesus miyawlu inaltu ti Galilea pingechi lafken püle, pefi ti epu peñiwen, Simon ürke, tati Pedro pingekelu, ka Andre. Mür challwafe ürke engu, fey petu ütrüftukurkey ñi challwawe pu lafken. 
MAT.4.19	Fey Jesus feypifi ti epu wentru:
MAT.4.19	—Inamuchi, tamu challwafengefel, welu tüfa kintuafimu ta che tamu küpalafiel iñche mew.
MAT.4.20	Feymew müten elkünuy engu ñi challwawe, fey inaeyew engu. 
MAT.4.21	Ka pichi doy üyewpüle, Jesus pefi kangelu epu peñiwen: Santiaw ka Juan, Sefedew ñi epu fotüm, kiñentrür mülelu ñi chaw engün kiñe farku mew petu raletulu ñi challwawe. Fey Jesus mütrümfi ti epu wentru, 
MAT.4.22	feymew ka müten kisu engu elkünuy tañi farku ka tañi chaw, fey inaeyew.
MAT.4.23	Jesus miyawürkey kom püle Galilea trokiñ mapu mew ñi kimeltuyawael fill püle mülechi sinagoga
MAT.4.24	Nütramyengey ta Jesus Siria trokiñ mapu mew, ka küpalelngeyey epe fill kutran ka fill wesake felen nielu, ka ti pu konweküfülelu, ka tati pu lalatukelu, ka tati pu lañmalelu ñi kuerpu. Fey Jesus kom mongeltufi ti pu kutran. 
MAT.4.25	Fey inaeyew fentren che tuwlu ta Galilea mapu mew, ka Dekapolis trokiñ mapu
MAT.5.1	Pefilu tati fentren che, Jesus pürapuy kiñe wingkul mew ka anükünuwpuy. Fey ñi pu disipulu fülkontupueyew, 
MAT.5.2	fey Jesus llituy tañi kimeltuafiel, feypilen mew:
MAT.5.3	“Ayüwün niey tati duamnielu ñi llowael Ngünechen ñi küme dungu, kisu engün ta koneltuley Ngünechen tañi ülmen mülewe mew.
MAT.5.4	Ayüwün niey tati pu weñangkülelu, Ngünechen am yafülaetew engün.
MAT.5.5	Ayüwün niey tati ñom piwkengelu, kisu engün am llowalu tati mapu Ngünechen tañi tukulpakünuletew.
MAT.5.6	Ayüwün niey tati ngüñülelu ka wüywülelu reke ñi femael Ngünechen tañi ayükeelchi dungu, kisu engün lloway itrokom ñi ayütunieel Ngünechen mew.
MAT.5.7	Ayüwün niey tati kutranduamyekefilu ta kakelu che, Ngünechen ta ka femngechi kutranduamyeaeyew ta kisu engün.
MAT.5.8	Ayüwün niey tati lif piwkengelu, kisu engün peafi ta Ngünechen.
MAT.5.9	Ayüwün niey tati ngülamtukefilu kom kakelu che ñi kümelkawkületuael, Ngünechen am ta ‘iñche ñi yall’ ñi piaetew.
MAT.5.10	Ayüwün niey tati kutrankawkelu ñi kayñetuyawülngen mew ñi femkeel mew Ngünechen ñi werkünieelchi dungu, Ngünechen tañi ülmen mülewe mew ta koneltuley.
MAT.5.11	Ayüwküleaymün ta eymün, iñche ñi duam fillpikaelmünmew ta pu che ka kutrankangelmün, ka üyawtungelmün epe fill koyla dungu mew.
MAT.5.12	Ayüwküleaymün, lliduamküleaymün, eymün am llowalu kiñe fütra fürenen ta wenu mapu, ka femngechi ta kayñetuyawülngekefuy tati pu pelon wentru
MAT.5.13	“Eymün ta chadi reke feleymün tüfachi mapu mew. Welu tati chadi kotrüwetunole, ¿chumngechi chey ta ka wiñome kotrütuafuy? Kümewekelay, fey ütrüfentukünungekey ta rüpü mew, fey tati pu che pünokakeeyew.
MAT.5.14	“Eymün ta küde reke feleymün ta tüfachi mapu mew. Kiñe waria mülelu wingkul mew ñi nien mew küde kom pengekey, 
MAT.5.15	üyümngekelay ta kiñe pelontuwe tañi takukünungeael ta kiñe kakon mew, fey ta renukünungekey may tañi pelontunieafiel kom tati mülelu ruka mew. 
MAT.5.16	Ka femngechi, eymün tamün pelon feley ñi alofael ta kom che mew, feymew pefile engün eymün tamün femken kümeke dungu, püramyeafi engün ta wenu mapu mülechi Ngünechen.
MAT.5.17	“Iñche ñi küpan mew apümafilu tati ley dungu ka tati pu pelon wentru tañi kimeltuelchi dungu trokiwkülekilmün. Küpalan tañi apümafiel, welu may iñche küpan tañi doy küme mupiael kisu engün tañi piel. 
MAT.5.18	Rüf dungu ta feypiwayiñ petu tañi mülen ta wenu mapu ka tüfachi nag mapu, entuñmangelayay tati ley dungu kiñe puntu ka kiñe letra no rume,
MAT.5.19	Feymew, tati müngeltunolu kiñeke tati werkün dungu ñi nieel tati ley dungu, tunte pichin dungungeay rume, ka kimeltunofile rume tati pu che ñi müngeltuael engün, Ngünechen tañi ülmen mülewe mew doy illamtuniengeay. Welu tati müngeltulu ka kimeltufilu ta kangelu ñi müngeltuael kay, fey ta rume sakin chengeay ta wenu mapu, Ngünechen tañi ülmen mülewe mew. 
MAT.5.20	Fey ayülen tamün kimael tüfachi dungu: doy küme dungu femnolmün tati pu kimeltukelu tati ley dungu ka tati pu farisew mew, chumkawnorume konpulayaymün Ngünechen tañi ülmen mülewe mew.
MAT.5.21	“Eymün ta allkükeymün tamün kuyfike laku em tañi feypingeel engün: ‘Langümchekilnge. Tati langümchelu fey ta kondenangeay.’
MAT.5.22	Welu iñche ta feypiwayiñ iney rume wesa lladkütule tañi chafche, fey ta ka femngechi kondenangeay. Tati wesa pifilu tañi chafche, ramtukadungungeay tañi femel mew. Ka tati fillpikafilu tañi chafche, fey dew adküley reke tañi amuael ta kütral mapu mew.
MAT.5.23	“Feymew ka femngechi yealmi tami mañumtun ta ngillatuwe mew, fey tukulpalmi tami yafkawkülen tami peñi eymu, 
MAT.5.24	elkünunge tami mañumtun tati ngillatuwe mew, fey wüne amunge tami kümelkawtuael tami peñi eymu. Fey wüla amuaymi ti ngillatuwe mew tami chalintukuael tami mañumtun.
MAT.5.25	“Iney rume ta wingkañmaelmew ka mütrümfalelmew tami trafdunguaetew, fey petu tami puwnon ti kues mew, küme dungufinge tamu kümelkawtuael. Fey femngechi tami wültukungepunoael tati kues mew, fey tati kues am ta ka femngechi wültukuaetew eymi tati pu soltaw mew, fey püresuntukukünungeaymi ta karsel mew. 
MAT.5.26	Rüf dungu ta feypiaeyu tripalayaymi ta tüfey mew kom küme kullilmi wüla tami femel mew.
MAT.5.27	“Eymün ta allkükeymün ñi feypingen ta kuyfi mew: ‘Ñiwaldomokilnge.’
MAT.5.28	Welu iñche ta feypiwayiñ iney rume lif piwke mew adkintunofile ta kiñe domo, dew ñiway tati domo engu kisu tañi piwke mew.
MAT.5.29	“Femngechi llemay, tami man nge ñi duam yafkakelmi, nentufinge, fey famentufinge ta eymi mew. Doy kümey ta pichin müten tami kuerpu ñi ñamael, fey kom tami kuerpu tañi ütrüftukungenoael ta kütral mapu mew. 
MAT.5.30	Tami man kuwü ñi duam yafkakelmi, katrünentufinge, fey famentufinge ta eymi mew. Doy kümey ta pichin müten tami kuerpu ñi ñamael, fey kom tami kuerpu ñi ütrüftukungenoael ta kütral mapu mew.
MAT.5.31	“Ka feypingey ta kuyfi mew: ‘Iney rume ta wüdafile tañi kure, feley tañi eluafiel kiñe wirin dungu tañi wüdafiel mew tañi kure.’
MAT.5.32	Welu iñche ta feypiwayiñ kiñe wentru wüdale tañi kure, welu ti domo ñiwanole kangelu wentru mew, wültukumekefi tañi ñiwayael ta kangelu wentru engu. Fey kangelu wentru kureyefile tati wüdakünuelchi domo, fey ta ñiwaldomofengeay.
MAT.5.33	“Ka femngechi allkükeymün eymün tañi feypingeken tamün fütake laku em: ‘Femkünukilmün tamün mupiael tamün chalintukulelfiel ta Ñidol kuyalltun mew.’
MAT.5.34	Iñche ta feypiwayiñ tamün kuyalltunoael ta chem dungu mew no rume. Kuyalltun mew tukukefilmün ta wenu mapu, Ngünechen am nielu ñi longko ülmen mülewe ta wenu mapu mew. 
MAT.5.35	Ka femngechi üytukefilmün kuyalltun mew tüfachi mapu, Ngünechen am tañi namun reke pünolelu ta tüfa mew. Ka femngechi üytukefilmün kuyalltun mew Jerusalen waria no rume, Ngünechen ñi dullielchi waria tatey. 
MAT.5.36	Ka üytukefilmün kuyalltun mew tamün longko no rume, ligkünulayafuymün rume kam kurükünulayafuy rume kiñe tamün kal longko. 
MAT.5.37	Fey ta famngechi ‘may’ pilmün, femngechi felepe. ‘Felelay’ pilmün, felekilpe, fey tati doyelchi amulkünulu tañi dungu, fey ta kümelay.
MAT.5.38	“Eymün allkükeymün ñi feypingekefel ta kuyfi mew: ‘Kiñe che entuñmangele kiñe nge feley ñi entuñmangeael ñi nge kay ti entungechelu, ka kiñe che entuñmangele kiñe ayewe foro ka femngechi feley ñi entuñmangeael ñi ayewe foro.’
MAT.5.39	Welu iñche ta feypiwayiñ: kewalayafimi tami wesake femkeetew. Tami femafel, iney rume wülelelmew tami ange mew, ka adkünulfinge kangelu ad püle tami ange. 
MAT.5.40	Iney rume müntuñmaelmew tami kamisa, ka eluwnge tami yeñmaetew tami chaketa. 
MAT.5.41	Ka femngechi kiñe kilometro ka rangiñ ‘yelelen tüfachi fane chemkün’ pielmew, eymi küla kilometro meñku yelelafimi. 
MAT.5.42	Iney rume ngillatuelmew chem rume, elufinge ka wiñonentukefilnge tami aretuetew chem rume.
MAT.5.43	“Ka femngechi allkükeymün tañi feypingeken ta kuyfi mew: ‘Piwkeyeafimi tami weni ka üdeafimi tami kayñe.’
MAT.5.44	Welu iñche ta feypiwayiñ: piwkeyefimün tamün pu kayñe ka ngillatuñmayafimün tamün malisiakeetew. Füreneafimün tamün üdekeetew ka ngillatuñmayafimün tamün pu kayñetukeetew ka tamün kutrankakeetew.
MAT.5.45	Femngechi ta eymün tamün wenu mapu mülechi Chaw tañi yall pingeaymün, kisu am wülkelu ñi antü kom tati kümeke dungu femkelu mew ka tati wesake dungu femkelu mew, ka wülkey tañi mawün ti pu nor piwkengelu mew ka ti wesake piwkengelu mew. 
MAT.5.46	Eymün ta piwkeyefilmün tamün piwkeyekeetew müten, ¿chem küme femün am tüfey? Tati kofrakelu impuestu Romangealu
MAT.5.47	Ka chalifilmün tamün pu weni müten, ¿chem küme femün am tüfey? Tati pu che feyentukenolu Ngünechen mew kütu ka femngechi femkey. 
MAT.5.48	Feymew feley tamün nor piwkengeael, chumngechi nor piwkengey tamün Chaw Ngünechen wenu mapu mülelu.
MAT.6.1	“Femkilmün kümeke dungu re tamün peaetew ti kakelu pu che. Femngechi femülmün, tamün Chaw ta mülelu wenu mapu chem mew rume fürenelayaeymünmew.
MAT.6.2	“Feymew, kellufilmi tati duamtunielu tañi elungeael, kom che mew kimngekilpe tami elufiel, chumngechi femkey tati küme piwkefaluwkechi pu che sinagoga mew ka rüpü mew. Dungulkey engün kullkull femngechi tati pu che ñi küme tukulpayaetew ta kisu engün. Femngechi femle engün, dew llowi engün tañi kullitu. 
MAT.6.3	Eymi kellufilmi tati pu pofrengelu, kimlayay tami femün tami doy küme weni no rume. 
MAT.6.4	Nütramyekilnge tami wülelchi chemkün, fey tami Chaw peelmew tami wülün fey ñi kimnon iney no rume rume füreneaeymew femngechi ta kom che ñi kimael.
MAT.6.5	“Eymün ta ngillatulmün, femkelayaymün tati pu che reke re ngünen mew küme piwkefaluwkelu. Kisu engün ta ayükey ñi ngillatuael tati sinagoga mew ka tati pülasa mew femngechi kom che tañi peaetew. Rüf dungu feypiwayiñ femngechi ta kisu engün dew llowi tañi kullitu. 
MAT.6.6	Welu eymi, ngillatualmi, konnge tami katrüntuku ruka mew, rakümnge tami wülngiñ, fey kisu ngillatunge tami wenu mapu mülechi Chaw mew. Fey tami Chaw tami pekenoel, ellkan mew pekelu tami chumün, eluaeymew tami duamtuel femngechi ta kom che ñi kimael.
MAT.6.7	“Fey ngillatulmün ka wiñome feypikefilmün tamün dew ngillatuelchi dungu, chumngechi femkey tati pu feyentukenolu Ngünechen mew. Ngillatukawle doy allküñmayaetew Ngünechen trokiwkey engün. 
MAT.6.8	Fey engün reke femkelayaymün. Tamün wenu mapu Chaw dew kimniey chem tamün duamtunien, petu tamün ngillatunofiel rume. 
MAT.6.9	Fey eymün ta famngechi ngillatukeaymün:
MAT.6.9	‘Taiñ Chaw Ngünechen wenu mapu mülelu, yamniengepe tami üy.
MAT.6.10	Itrokom che kimpe tami longko ülmenkülen kisu engün mew.
MAT.6.10	Chumngechi müngeltuniengeymi wenu mapu,
MAT.6.10	ka femngechi müngeltun mülepe tüfachi mapu mew.
