MAT.1.1	Na‘e tupu ‘a Sīsū Kalaisi mei he hako ‘o e Tu‘i ko Tēvitá, mei he hako ‘o ‘Ēpalahamé. 
MAT.1.24	Pea ‘ā ai ‘a Siosifa.
MAT.1.24	Pea fuoloa si‘i mei ai na‘á na mali mo Mele ‘o hangē ko e me‘a na‘e tala ange ‘e he ‘āngeló. 
MAT.1.25	Ka na‘e ‘ikai te na nonofo fakamali kinaua ‘o a‘u ki he fā‘ele ‘a Melé. Pea na‘e fakahingoa ‘e Siosifa ‘a e tamasi‘í ko Sīsū.
MAT.2.1	Pea lolotonga ‘a e kei tu‘i ‘a Hēlotá, kuo ‘alo‘i ‘a Sīsū ‘i he kolo ko Pētelihema ‘i Siutea. Pea fuoloa si‘i mei aí kuo a‘u hake ki Selusalema ha kau tangata poto mei Hahake 
MAT.2.2	‘o faka‘eke‘eke ki he kakaí: “Ko e fē ‘a e feitu‘u kuo ‘alo‘i ai e tamasi‘i ‘e hoko ko e tu‘i ‘o e kakai Siú? Na‘a mau mamata ‘i he hahaké ki hono fetu‘ú, pea ko ‘emau omí ke faka‘apa‘apa ki ai.”
MAT.2.3	‘I he fanongo ai ‘a e tu‘í, ‘a Hēlota, na‘e hoha‘a hono finangaló, pea mo Selusalema kātoa. 
MAT.2.4	Pea fekau leva ‘e Hēlota ke kātoa ange ‘a e kau taula‘eiki pulé mo e kau faiako lao ‘a Mōsesé, peá ne fehu‘i ange, “‘E ‘alo‘i ‘i fē koā ‘a e Mīsaiá?” 
MAT.2.5	Pea nau tala ange, “‘E ‘alo‘i ‘i Pētelihema ‘i Siutea. He ko e lau ‘eni ‘a e palōfitá:
MAT.2.6	‘‘E Pētelihema ‘i he vahefonua Siuteá,
MAT.2.6	ko e kolo mahu‘inga koe he ngaahi kolo ‘i Siuteá;
MAT.2.6	He ‘e hoko mai ‘iate koe ha takimu‘a
MAT.2.6	pea ‘e hangē ia ko ha tauhi sipi ‘o hoku kakai ‘Isileli!’”
MAT.2.7	Pea fekau fakapulipuli ‘e Hēlota ki he kau potó ke nau ō ange kiate ia. Peá ne fekau ke nau tala ange ‘a e ‘aho na‘e ‘uluaki ‘asi ai e fo‘i fetu‘ú. 
MAT.2.8	Pea toe fekau ‘e Hēlota kinautolu, “Mou ō ki Pētelihema ‘o kumi fakalelei e tamasi‘í. Pea ko ‘ene mahino pē ‘a e feitu‘u ‘oku ‘i aí, pea mou fakahā mai kiate au. He ‘oku ou fie ‘alu mo au ‘o fai ‘eku faka‘apa‘apa ki ai.”
MAT.2.9	Pea hili e fetāpaaki ‘a e kau tangata potó mo e tu‘í, pea nau ō leva. Pea na‘e mu‘omu‘a ‘a e fo‘i fetu‘u na‘a nau mamata ki ai ‘i he hahaké ka nau muimui atu ‘o a‘u ki he feitu‘u na‘e ‘i ai e tamasi‘í, ‘o tu‘u mei ai.
MAT.2.10	Ko e me‘a fakafiefia ‘aupito kiate kinautolu e toe ‘asi ‘a e fo‘i fetu‘ú.
MAT.2.11	Pea ko e hū atu pē ‘a e kau tangatá ‘o sio ki he tamasi‘í mo ‘ene fa‘eé, ‘a Mele, pea nau tū‘ulutui hifo ‘o faka‘apa‘apa ki ai. Pea nau toki ‘ai hake ‘enau ngaahi me‘a‘ofá ‘o tuku atu: ko e koula, mo e ‘inisēnisi, pea mo e mula.
MAT.2.12	Pea fuoloa si‘i mei aí pea fakatokanga ange ‘a e ‘Otuá kiate kinautolu ‘i ha misi ke ‘oua te nau toe fetu‘utaki mo Hēlota. Pea talu ai ‘enau foki hala kehe ki honau fonuá.
MAT.2.13	Pea hili e foki ‘a e kau tangata potó, na‘e misi ‘a Siosifa ‘o ne sio ki ha ‘āngelo ‘a e ‘Eikí ‘oku tu‘u mai. Pea pehē ange ‘e he ‘āngeló, “Tu‘u! Hola ke vave mo e tamasi‘í mo ‘ene fa‘eé ki ‘Isipite! Pea mou nofo ai kae‘oua ke u toki fakahā atu ke mou foki mai. He ‘oku kumi holo ‘e Hēlota ‘a e tamasi‘í ke tāmate‘i.” 
MAT.2.14	Pea tu‘u kei po‘uli ai ‘a Siosifa ‘o nau hola mo e tamasi‘í mo ‘ene fa‘eé ki ‘Isipite.
MAT.2.15	Na‘a nau nofo ai ‘o a‘u ki he pekia ‘a Hēlota, pea mo‘oni ai e lau ‘a e palōfitá: “Na‘á ku ui hoku fohá ke ha‘u mei ‘Isipite.”
MAT.2.16	Ko e mahino pē kia Hēlota kuo hao ‘a e kau tangata poto mei he hahaké he‘ene tauhelé, na‘á ne houhau ‘aupito. Peá ne fekau ‘ene kau sōtia ke nau ō ‘o tāmate‘i kotoa ‘a e tamaiki tangata ta‘u ua ‘o fai ki lalo ‘i Pētelihema mo e feitu‘u atu ko iá, ‘o fakatatau ki he me‘a na‘e tala ange ‘e he kau tangata potó. 
MAT.2.17	Pea mo‘oni ai e folofola na‘e fakafou mai ‘i he palōfita ko Selemaiá,
MAT.2.18	“Na‘e ongo mai ha le‘o mei Lama;
MAT.2.18	ko e fetāngihi mo e ‘oiauē.
MAT.2.18	Tā ko Lesieli ‘okú ne tēngihia si‘ene fānaú.
MAT.2.18	Na‘e ‘ikai lava hano fakana‘ana‘a,
MAT.2.18	he kuo nau mate kotoa.”
MAT.2.19	Pea fai atu, pea pekia ‘a Hēlota. Pea lolotonga ‘a e kei nofo ‘a Siosifa ‘i ‘Isipité kuo misi ‘o sio atu ‘oku tu‘u mai ha ‘āngelo. 
MAT.2.20	Na‘e tala ange ‘e he ‘āngeló kia Siosifa, “Tu‘u ā, pea mou ō mo e tamasi‘í mo ‘ene fa‘eé ki ‘Isileli. He kuo mate ‘a e fa‘ahinga na‘a nau loto ke tāmate‘i iá.” 
MAT.2.21	Pea tu‘u hake ‘a Siosifa ‘o nau foki leva ki ‘Isileli.
MAT.2.22	Ka ko e fanongo pē ‘a Siosifa kuo tu‘i ‘i Siutea ‘a e foha ‘o Hēlota, ‘a ‘Akileosi, na‘á ne manavahē he ‘alu ki aí. Peá ne toe misi ‘oku fakahā mai kiate ia ke nau hoko atu ki Kāleli. 
MAT.2.23	Pea nau ō ‘o nofo ‘i he kolo ko Nāsaleti, pea mo‘oni ai e folofola ‘a e ‘Eikí ki he palōfitá, “‘E ui ia ko e Nasaline.”
MAT.3.1	Pea hili ha ngaahi ta‘u lahi mei ai kuo kamata malanga holo ‘a Sione Papitaiso he toafa ‘i Siuteá. 
MAT.3.2	Ko ‘ene malangá eni: “Mou tafoki ki he ‘Otuá. He kuo panaki ‘a e Pule‘anga fakahēvaní.” 
MAT.3.3	Ko Sione ‘a e toko taha na‘e ‘uhinga ki ai e lau ‘a e palōfita ko ‘Aiseá,
MAT.3.3	“Ko e le‘o ‘oku kalanga ‘i he toafá.
MAT.3.3	Mou teuteu e hā‘ele‘anga ‘o e ‘Eikí.
MAT.3.3	Mou ‘ai ke hangatonu hono fononga‘angá.”
MAT.3.4	Ko e teunga ‘o Sioné ko e kofu fulufulu‘i kāmeli mo e leta kili‘i manu. Pea ko ‘ene me‘atokoní ko e he‘e mo e hu‘a‘i hone vao. 
MAT.3.5	Na‘e toki holo mai kia Sione ‘a e kakai tokolahi mei Selusalema, mo Siutea kātoa, mo e fonua ‘oku tafe atu ai ‘a e vaitafe ko Soataní. 
MAT.3.6	Pea nau vete ‘enau ngaahi angahalá kae papitaiso kinautolu ‘e Sione he vaitafé.
MAT.3.7	‘I he sio atu ‘a Sione kuo tokolahi e kau Fālesi mo e kau Sātusi ‘oku omi ke papitaiso ‘iate iá, na‘á ne pehē ange kiate kinautolu, “Hako‘i mālualoi! Ko hai na‘á ne fale‘i kimoutolu ke mou hola mei he fakamaau ‘a e ‘Otuá? 
MAT.3.8	Fei mo fai ha me‘a ‘e mahino ai kuo mou tafoki mo‘oni ‘o tuku ho‘omou fai angahalá. 
MAT.3.9	Vakai na‘a mou pehē ko ho‘omou tupu meia ‘Ēpalahamé te mou hao ai mei he tauteá. He ‘oku ou tala atu, ‘e lava noa pē ‘e he ‘Otuá ke fakatupu ha fānau kia ‘Ēpalahame mei he ngaahi maká ni. 
MAT.3.10	Kuo ‘osi hiki hake ‘a e tokí ke ta‘anga hifo ki he tefito e ‘akau kotoa pē ‘oku ‘ikai hano fua lelei pea laku ki he afí.
MAT.3.11	Ko au, ‘oku ou papitaiso vai kimoutolu ke faka‘ilonga‘i ‘aki ‘a e tuku ho‘omou fai angahalá. Ka ko e toko taha ‘oku muimui mai ‘iate aú, ‘oku mālohi ange ia ‘iate au. Pea ‘oku ‘ikai te u taau ke vete hono senitoló. Ko e toko taha ko iá, te ne papitaiso kimoutolu ‘aki ‘a e Laumālie Mā‘oni‘oní mo e afi. 
MAT.3.12	Kuó ne ‘osi to‘o hake ‘ene me‘a tata uité ke sivi e uité ‘e he matangí. ‘E ngangana e uité ki he faliki ‘o e ‘au‘au‘angá, ‘o tuku ki feleoko, kae vilingia e kafukafú. Pea te ne toki tafi ‘a e kafukafú ‘o tutu ‘i ha afi ‘e ‘ikai ala tāmate‘i ‘e ha taha.”
MAT.3.13	Pea toki ha‘u ‘a Sīsū mei Kāleli ki he vaitafe ko Soataní, ‘o kole kia Sione ke papitaiso ia. 
MAT.3.14	Kae pehē ange ‘e Sione mo ‘ene kalo, “Ko au na‘e totonu ke u ‘alu atu ‘o papitaiso ‘iate koé! Ko e hā kuó ke ha‘u ai koe kiate aú?” 
MAT.3.15	Pea tala ange ‘e Sīsū, “Tuku mu‘a ke fai peheni atu pē he lolotonga ko ‘ení. He ‘oku taau mo kitaua ke fakahoko e me‘a kotoa kuo finangalo ki ai ‘a e ‘Otuá.” Pea toki loto leva ‘a Sione ki ai.
MAT.3.16	Pea ko e kei ‘alu hake ē ‘a Sīsū mei he vaí mo ‘ene sio hake kuo fakaava hifo ki ai e langí, peá ne mamata ki he Laumālie ‘o e ‘Otuá ‘oku hā‘ele hifo ‘o hangē ko ha lupé ‘o tu‘u ‘iate ia. 
MAT.3.17	Pea na‘e ongo mo ha le‘o mei he langí ‘oku pehē mai, “Ko hoku foha ‘ofa‘angá ‘ena. ‘Oku fiemālie ki ai hoku lotó.”
MAT.4.1	Pea taki atu ‘e he Laumālie Mā‘oni‘oní ‘a Sīsū ki he toafá ke sivi ai ia ‘e he tēvoló. 
MAT.4.2	Pea hili e ‘aukai ‘a Sīsū ‘o ‘aho ‘e fāngofulu mo e pō ‘e fāngofulu, kuó ne fiekaia ‘aupito. 
MAT.4.3	Pea ha‘u e tēvoló ‘o tala ange kia Sīsū, “Kapau ko e ‘Alo koe ‘o e ‘Otuá, peá ke lea ki he ngaahi fo‘i maká ni ke hoko ‘o mā.” 
MAT.4.4	Kae tala ange ‘e Sīsū, “Ko e lau ‘a e Folofolá: ‘‘Oku ‘ikai ko e mo‘ui‘anga pē ‘o e kakaí ‘a e maá, ka ‘oku ‘aonga ke nau ma‘u mo e fo‘i folofola kotoa ‘a e ‘Otuá.’”
MAT.4.5	Pea toe taki atu ‘e he tēvoló ‘a Sīsū ki Selusalema ‘o fokotu‘u ‘i he tumutumu ‘o e Temipalé. 
MAT.4.6	Peá ne pehē ange kia Sīsū, “Kapau ko e ‘Alo koe ‘o e ‘Otuá peá ke hopo ki lalo. He kuo tohi ‘i he Folofolá ‘e tu‘utu‘uni ‘e he ‘Otuá ki he kau ‘āngeló ‘a e me‘a ke nau fai kiate koé. Te nau hapo koe na‘a lavea ho va‘é ‘i ha maka.” 
MAT.4.7	Pea tala ange ‘e Sīsū, “Kuo tohi mo eni ‘i he Folofolá, ‘‘Oua te ke sivi‘i ‘a e ‘Eiki ko ho ‘Otuá!’”
MAT.4.8	Pea toe taki hake ‘e he tēvoló ‘a Sīsū ki ha funga mo‘unga mā‘olunga ‘aupito, ‘o ne faka‘ali‘ali ange ‘a e ngaahi pule‘anga kotoa ‘i māmaní, mo hono lāngilangí. 
MAT.4.9	Peá ne toki pehē ange, “Ko e ngaahi me‘a kotoa ko ‘ení ‘e ‘atu ma‘á u ‘o kapau te ke tū‘ulutui ‘o lotu mai kiate au.” 
MAT.4.10	Kae tala ange ‘e Sīsū ki ai, “‘Alu Sētane! He kuo tohi ‘i he Folofolá, ‘Hū ki he ‘Eiki ko ho ‘Otuá, pea ko ia pē te ke ‘Otua ‘aki!’”
MAT.4.11	Pea toki tuku ange leva ‘e he tēvoló ‘a Sīsū, kae omi e kau ‘āngelo ‘o tokoni‘i ia.
MAT.4.12	Pea ko e fanongo pē ‘a Sīsū kuo tuku pilīsone ‘a Sioné, peá ne foki hake ki Kāleli. 
MAT.4.13	Na‘e ‘ikai ke toe nofo ‘a Sīsū ‘i Nāsaleti, ka ne hiki ki Kāpaneume, ‘a ē ‘oku tu‘u ‘i he ve‘e Ano ‘i Kālelí ‘i he vahe fonua Sepulone mo Nafitalaí. 
MAT.4.14	Pea na‘e mo‘oni ai e lau ‘a e palōfita ko ‘Aiseá,
MAT.4.15	“Fanongo mai, ‘e Sepulone mo Nafitalai,
MAT.4.15	‘a kimoutolu ‘oku nofo he kauvai mo Tu‘a Soataní.
MAT.4.15	‘A e tukui kolo ‘o Kāleli, fanongo mai.
MAT.4.16	Neongo ‘oku mou nofo he fakapo‘uli mo e malumalu ‘o e maté,
MAT.4.16	ka ‘e hulungia kimoutolu ‘e ha maama lahi.”
MAT.4.17	Pea toki kamata malanga ‘a Sīsū ki he kakaí: “Mou tafoki ki he ‘Otuá, he kuo vave ke hoko mai ‘a e Pule‘anga ‘o Hēvaní.”
MAT.4.18	Pea lolotonga ‘a e laka atu ‘a Sīsū ‘i he mataano ‘o e Ano Kālelí, na‘á ne fakatokanga‘i atu ha ongo tautehina, ko Saimone (na‘e ui ko Pita) mo hono tokoua ko ‘Anitelū, ‘okú na kupenga he anó. He ko e ongo tangata toutai kinaua. 
MAT.4.19	Pea pehē atu ‘e Sīsū kiate kinaua, “Mo omi ke tau ō, ka mo toutai kakaí!” 
MAT.4.20	Peá na tuku leva hona kupengá ka na ō kinaua mo Sīsū.
MAT.4.21	Pea toe tahataha atu ‘a Sīsū peá ne toe fakatokanga‘i atu mo ha ongo tautehina, ko Sēmisi mo Sione hona hingoá, ‘oku fai ‘enau pena kupenga mo ‘ena tangata‘eikí ‘i ha vaka. Ko e hingoa ‘o ‘ena tangata‘eikí ko Sēpeti. Pea ui kinaua ‘e Sīsū. 
MAT.4.22	Peá na tuku leva ‘ena tangata‘eikí mo e vaká, ka na ō kinaua mo Sīsū.
MAT.4.23	Pea ‘alu holo ‘a Sīsū ‘i Kāleli kātoa ‘o faiako ‘i honau ngaahi fale lotú mo malanga‘i ‘a e ongoongo lelei ‘o e Pule‘angá. Peá ne fakamo‘ui e kakai na‘e mo‘ua ‘i he ngaahi mahaki kehekehe. 
MAT.4.24	Pea mafola atu ai ‘a e ongoongo ‘o Sīsuú ki he feitu‘u kotoa ‘o Sīliá.
MAT.4.24	Ko e kakai kotoa na‘e ‘i ai hanau alanga mahaki pe faingata‘a‘ia, na‘e ‘omi kia Sīsū. Ko e ni‘ihi, kuo ma‘u ‘e ha fanga tēvolo. Ko e ni‘ihi, kuo ‘āvea. Pea ko e ni‘ihi na‘e ‘ikai lava ‘o ‘alu. Na‘e fakamo‘ui kotoa kinautolu ‘e Sīsū.
MAT.4.25	Pea na‘e muimui fononga ‘ia Sīsū ha fu‘u kakai tokolahi mei Kāleli, mo Tikapolusi, mo Selusalema, pea mo Siutea, pea mo Tu‘a-Soatani.
MAT.5.1	Na‘e vakai atu ‘e Sīsū kuo tokolahi ‘a e kakaí, peá ne ‘alu hake ki ha tafa mo‘unga ‘o ta‘utu hifo. Pea ‘unu‘unu hake kia Sīsū ‘ene kau akó. 
MAT.5.2	Pea ko ‘ene ngaahi fakahinohino eni na‘e fai kiate kinautolu:
MAT.5.3	“Ko e ‘Otuá ‘okú ne tāpuaki‘i ‘a e kakai ‘oku falala kiate iá. He ko e kakai kinautolu ‘o e Pule‘anga ‘o Hēvaní.
MAT.5.4	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai ‘oku mamahí. He te ne fakafiemālie‘i kinautolu.
MAT.5.5	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai anga-maluú. He te ne foaki mo‘onautolu ‘a e fonuá.
MAT.5.6	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai ‘oku vivili ki he faitotonú. He te ne fakanonga kinautolu.
MAT.5.7	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai ‘oku manava‘ofá. He te ne manava‘ofa kiate kinautolu.
MAT.5.8	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai ‘oku loto-ma‘á. He te ne tuku ke nau mamata ki hono fofongá.
MAT.5.9	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai ‘oku fakatupu melinó. He te ne ui kinautolu ko ‘ene fānau.
MAT.5.10	Ko e ‘Otuá ‘okú ne tāpuaki‘i e kakai ‘oku ngaohikovia koe‘uhi ko ‘enau faileleí. He te ne foaki mo‘onautolu ‘a e Pule‘anga ‘o Hēvaní.
MAT.5.11	Ko e ‘Otuá ‘okú ne tāpuaki‘i kimoutolu ‘oku ngaohikovi‘i mo fakatanga‘i mo lau‘ikovi‘i ‘i ha ngaahi me‘a kehekehe koe‘uhí ko au. 
MAT.5.12	Mou fiefia mo loto-māfana! He ko homou pale ‘i Hēvaní ‘oku lahi faufau. Na‘e pehē pē hono fakatanga‘i ‘o e kau palōfitá ‘e he kakai ‘i mu‘a atu ‘iate kimoutolú.”
MAT.5.13	“‘Oku mou hangē ha māsima ma‘á e kakai kotoa ‘i māmaní. Kapau ‘e mole ‘a e konokona ‘o ha māsima, pea ‘e toe fakakonokona ‘aki ia ‘a e hā? Kuo mole hono ‘aongá pea ‘e laku ki tu‘a ke tāmoloki ‘e he kakaí.
MAT.5.14	‘Oku mou hangē ha maama ma‘á e kakai kotoa ‘i māmaní. ‘Ilonga ha kolo ‘oku tu‘u ‘i ha funga mo‘unga, ‘e ‘ikai lava ke puli. 
MAT.5.15	‘E ‘ikai fai ange pea tutu ‘e ha taha ha maama peá ne hanga ‘o fakafo‘ohifo ai ha kumete. Ka te ne fokotu‘u atu ia ki ha tu‘unga maama ke māmangia kotoa ai hono loto falé. 
MAT.5.16	‘Ai ke ulo atu pehē ho‘omou māmá ki he kakaí, kae hā mahino kiate kinautolu ho‘omou ngaahi ngāue ‘aonga ‘oku faí, pea nau fakamālō ai ki ho‘omou Tamai fakahēvaní.”
MAT.5.17	“‘Oua te mou fakakaukau ko ‘eku ha‘ú ke lī‘aki e lao ‘a Mōsesé mo e ngaahi tohi ‘a e kau palōfitá. ‘Ikai ‘aupito! Ko ‘eku ha‘ú ke ‘oatu hono ‘uhinga kakató. 
MAT.5.18	Ko e mo‘oni eni ‘oku ou tala atú, ‘e lava pē ke mole ‘a e langí mo māmani, ka ‘e ‘ikai lava ke mole mei he Laó ha fo‘i kohi pe ko ha fo‘i faka‘ilonga ‘e taha, kae‘oua kuo fakahoko kotoa. 
MAT.5.19	‘Ilonga ha taha ‘e talangata‘a ki he fekau si‘i taha he laó mo toe fakahinohino e kakaí ke fai pehē, ‘e lau ia ko e si‘i taha ‘i he Pule‘anga ‘o Hēvaní. Pea kapau te ke talangofua ki ai pea ako‘i ia ki he kakaí, ‘e lau koe ko e lahi ‘i he Pule‘anga ‘o Hēvaní.
MAT.5.20	Mou fanongo lelei mai kiate au: Kapau ‘e ‘ikai ke sai ange ho‘omou tauhi e lao ‘a e ‘Otuá ‘i he kau faiako laó mo e kau Fālesí, pea he ‘ikai ‘aupito te mou teitei hū ki he Pule‘anga ‘o Hēvaní.”
MAT.5.21	“Kuo mou fanongo na‘e tala ki he kakaí ‘i he kuo hilí, ‘‘Oua ‘e fakapō; ‘ilonga ia ‘e fakapō, ‘e ‘ave ia ki he fakamāú.’ 
MAT.5.22	Ka mou fanongo lelei mai kiate au: ‘Ilonga ha taha ‘oku ‘ita ki hano kāinga ‘o ui ia ko e vale, ‘e ‘ave ia ke fakamāu‘i. Pea ‘ilonga ha taha te ne ui hano kāinga ko e fu‘u vale hioa, ‘e lava ke lī ia ki heli ki he afí.
MAT.5.23	Kapau leva ‘oku teu ke ‘ave ha‘o me‘a‘ofa ke tuku he funga ‘ōlitá, peá ke toki manatu‘i ai ‘oku ‘ita hao kāinga ‘iate koe ‘i ha me‘a, 
MAT.5.24	peá ke tuku ho‘o me‘a‘ofá he ve‘e ‘ōlitá ka ke ‘alu ‘o tomu‘a fakalelei mo ho kāingá, peá ke toki foki mai ‘o ‘oatu ho‘o me‘a‘ofá ki he ‘Otuá.
MAT.5.25	Kapau ‘e tukuaki‘i koe ‘e ha taha ‘i ha kovi, pea fei mo fakalelei mo ia he kei faingamālié. He ka faifai peá mo a‘u ki he fakamāú, pea te ne tuku atu ‘e ia koe ki he kau polisí pea ‘e ‘ave koe ki ‘api pōpula. 
MAT.5.26	‘E iku ai ki ha‘o nofo ‘i pilīsone kae ‘oua kuó ke totongi kotoa ho mo‘uá.”
MAT.5.27	“Kuo mou fanongo na‘e tala ki he kakaí he kuo hilí, ‘‘Oua ‘e tono.’ 
MAT.5.28	Ka mou fanongo lelei mai kiate au: Ko e sio pē ha taha ki ha fefine mo holi kovi ki ai, ko ‘ene tono ia ‘i hono lotó.
MAT.5.29	Pea kapau kuó ke fai angahala ko e sio ho mata to‘omata‘ú, peá ke hanga ‘o ta‘aki ia ‘o lī‘aki. He ‘e sai ange ke mole hao kupu ‘e taha ‘i hano lī kakato ho sinó ki heli. 
MAT.5.30	Pea kapau kuó ke fai angahala ko e ngāue ho nima to‘omata‘ú peá ke hanga ‘o tu‘usi ‘o lī‘aki! He ‘e sai ange ke mole hao kupu ‘e taha, ‘i hano lī kakato ho sinó ki Heli.”
MAT.5.31	“Pea kuo mou fanongo na‘e tala ki he kakaí, ‘Ka ai ha taha te ne fie vete mo hono malí, kuo pau ke ne ‘oange ha tohi vete mali.’ 
MAT.5.32	Ka mou fanongo lelei mai kiate au: ‘Oua ‘e vete mo ho malí. Tukukehe ‘i ha‘ane fe‘auaki. Ko ho‘o vete mo ho malí, ko ho‘o ‘ai ia ke tono. Pea pehē ai pē ki ha taha ‘e mali mo ia, ko e tono ai pē mo ia.”
MAT.5.33	“Kuo mou fanongo na‘e tala ki he kakaí, ‘‘Oua ‘e fuakava loi, ka ke fai ‘i he ‘ao e ‘Eikí ‘a e ngaahi me‘a kuó ke tukupā ke faí.’ 
MAT.5.34	Ka mou fanongo lelei mai kiate au: ‘Oua ‘e fuakava ‘aki ha me‘a ‘e taha! ‘Oua ‘e fuakava ki he langí, he ko e ‘afio‘anga ia ‘o e ‘Otuá. 
MAT.5.35	Pea ko māmaní, ko hono tu‘unga va‘é ia. ‘Oua ‘e fuakava ‘aki ‘a Selusalema, he ko e kolo ia ‘o e hau fakalevelevá. 
MAT.5.36	‘Oua foki te ke fuakava ‘aki ho fofongá, he ‘oku ‘ikai te ke lava ke liliu hao tu‘oni lou‘ulu ‘e taha ke hinehina pe ‘uli‘uli. 
MAT.5.37	Ka ke ka fai leva ha‘o lea, peá ke ‘‘Io’, pe ko ho‘o ‘‘Ikai’.’ He ka toe tānaki atu ki ai mo ha me‘a, ko e ha‘u ia mei he tēvoló.”
MAT.5.38	“Kuo mou fanongo na‘e tala ki he kakaí, ‘Sauni ‘a e mata ‘aki pē ‘a e mata, mo e nifo ‘aki pē ‘a e nifo.’ 
MAT.5.39	Ka mou fanongo lelei mai kiate au: ‘Oua ‘e sauni ha kovi ‘oku fai mai kiate koe. Ka sipi‘i ‘e ha taha ho kou‘ahe to‘omata‘ú, peá ke tuku atu ki ai mo ho kou‘ahe to‘ohemá.
MAT.5.40	Ka ‘ai ‘e ha taha ke mo hopo koe‘uhi ko ho soté, ‘oange ki ai mo ho koté. 
MAT.5.41	Pea ka ‘i ai ha taha te ne fakamālohi‘i
MAT.5.42	Ka fai atu ha kole, peá ke tali. Pea ka fai atu ha kole nō pa‘anga, tali mo ia.”
