MAT.1.1	Ene pitiiŋ to Yesu Krisi puughu tooni. Yesu, i siŋ to kinik David, ve David i siŋ to Abaram. 
MAT.1.19	Yosep, i ŋeer duduuŋa ee, ve loolo pa igham Maria vaaru ivot ighazooŋ mako. Tauvene maata iŋgal ighe irav motin vaiŋ toozi imin ŋgozaaŋ. 
MAT.1.20	Ighamgham ŋgar soone, ve Maaron aŋela tooni ivot tooni ila vivuuŋ, ve isaav pani ighe: “Yosep, yo siŋ to David, uroi pa ghamuuŋ Maria imin azuwam sov. Pa tamtamon tau igheen ila i aapo na, ene ivot ila Avuvu Patabuyaaŋ tapiri. 
MAT.1.21	I pale ipoop tamoot. Ve yo aat uwaat eeza Yesu.
MAT.1.21	Pa i pale igham mulin tamtamon tooni pa pataŋani to sosor toozi.” 
MAT.1.22	Gabua isov tana itaghon saveeŋ tau muuŋ Maaron isavia ila propet tooni ee aavo na. Saveeŋ tauvene:
MAT.1.24	Tauvene Yosep igheen le nughizau, ra iburig ve itaghon saveeŋ tau aŋela to Maaron isavia pani na, ve igham Maria imin azaawa. 
MAT.1.25	Eemon igharauu mako le i ipoop naatu tamoot tawe. Ve Yosep iwaat marani tana eeza Yesu. 
MAT.2.1	Saawe tau kinik Erod ighamgham pooz pa yes Israela, Yesu tiina Maria ipoopa izi nugh Betelem tau igheen izi taan sirivu to Yudea. Murei ra, zeran siriv tau lezi ŋgar tintiina pa pitum na, tilaagh tila tivot Yerusalem. Zeran tawe, nugh toozi igheen malau kat ila pa aaz puughu. 
MAT.2.2	Yes tilam tivot Yerusalem, ve tighason tighe: “Kinik to yes Yuda tau tiina ipoopa na, ileep sindei? Pa yei nileep izi nugh tsiei ta aaz puughu we, ve nighita pitum paaghu ee imin ilaal pani. Tauta nilam nighe nighita, ve niput aghemai pani, ve nipakuru.” 
MAT.2.3	Kinik Erod ilooŋ saveeŋ tane le irur ve igham ŋgar naol. Ve eval tiina to Yerusalem tisov tirur, ve tigham ŋgar naol paam. 
MAT.2.4	Tauvene Erod ipoi yes daaba to watooŋrau tomania ŋgara siriv to tutuuŋ tilam tilup zi, ve ighason zi ighe: “Laak, Mesia, pale tiina ipoopa izi sindei?”
MAT.2.5	Yes tiyol aliiŋa tighe: “Pale ipoopa izi nugh Betelem tau igheen taan sirivu to Yudea na. Pa muuŋ, propet ee ibood saveeŋa tauvene:
MAT.2.7	Erod isavsaav tomani zi le isov, ra ipoi yes ŋgara to aaz puughu imin yoŋgaaŋ tilam, ve ighason zi poi pa saawe sindei kat tau tighita pitum tawe ivot. 
MAT.2.8	Ra imbaaŋ zi tila pa nugh Betelem ighe: “Ala ail marani tawe le ighe andeeŋa, o amuul alam apaes payau. Leso yau paam nala naghita, ve naput agheg pani, ve napakuru.”
MAT.2.9+MAT.2.10	Erod isavsaav tomani zi le isov, ra tiburig gha tila. Ve pitum tau muuŋ tighita izi nugh toozi na, ila imuuŋ pazi, ve titaghoni gha tila. Yes tighita pitum tawe muul, ve lolozi poia kat. Pitum tana ila le iyooz duduuŋ ila ruum tau ŋeer marani ighengheen pani na paavo. 
MAT.2.11	Tila tivot ta sewe, ve tiloŋ tila ruum loolo, ve tighita ŋeer marani yesuru tiina Maria. Tiput aghezi pani ve tipakuru, ra tikaak pepelazi, ve tiwaan kuaz siriv tau atuyazi tintiina, ve tigham pani imin pakuruuŋni. Tigham maet gol, ve naunauŋ siriv tau vazizi popoia kat. 
MAT.2.12	Murei ra, Maaron ivot toozi ila vivuuŋ, ve iŋgalsekin zi ighe timuul tila to kinik Erod sov. Tauvene titaghon eez ite, ve timuul tila pa nugh toozi.
MAT.2.13	Yes ŋgara to aaz puughu tiburig gha tila, ve malau mako, Maaron imbaaŋ aŋela tooni ee ila ivot to Yosep ila vivuuŋ, ve isaav pani ighe: “Ulooŋ. Erod ighe iil ŋeer marani tane, leso iravu imaat. Tauvene yo aat uburig, ugham ŋeer marani yesuru tiina, ve aghau ala pa Isip. Ala aleep ta sewe, le irau yau nasaav payo muul.”
MAT.2.14	Tauvene Yosep iburig pa mboŋ, ve igham ŋeer marani yesuru tiina, ve tighau tila pa Isip. 
MAT.2.15	Tilepleep ta sewe le Erod imaat.
MAT.2.15	Tauta saveeŋ tau Maaron ivotia ila propet tooni ee aavo na ighur anooŋa. Saveeŋ tauvene:
MAT.2.16	Erod isaŋan yes ŋgara to aaz puughu le mako, ra ighilaal ighe yes aat titombaana. Tauvene aate yavyav kat. Ve maata iŋgal saveeŋ tau yes ŋgara to aaz puughu tisavia pa saawe tau tighita pitum ivot, tauvene imbaaŋ zaaba tooni siriv tila nugh Betelem ve nugh siriv tau tigharau na. Tila tivot ta sewe, ve tirav natuzŋa zitamoot tisov tau ndaman toozi ruŋruŋa ve izi. 
MAT.2.17	Tauvene Maaron aliiŋa tau muuŋ propet Yeremia ivotia na, anooŋa ivot. Saveeŋ tauvene:
MAT.2.19	Yosep yesuru Maria ve natuzi Yesu tilepleep izi Isip le Erod imaat. Ra aŋela ee to Maaron ila ivot to Yosep ila vivuuŋ, 
MAT.2.20	ve isaav pani ighe: “Uburig, ugham ŋeer marani yesuru tiina, ve amuul ala pa taan to Israel. Pa yes tau tiil eez pa ravuuŋ marani tana imaat na, ene tisov timataar wa.” 
MAT.2.21	Tauvene Yosep iburig, igham ŋeer marani yesuru tiina, ve timuul tila pa taan to Israel. 
MAT.2.22	Eemon Yosep ilooŋ tighe Erod naatu Arkelaus igham taama niia, ve imin kinik pa taan sirivu to Yudea. Tauvene iroi pa ila ileep izi Yudea. Ve gabua ite, Maaron ivot tooni ila vivuuŋ, ve iveveena ighe tileep izi Yudea sov. Tauvene Yosep ipaghau ŋeer marani yesuru tiina tila taan sirivu to Galilaia. 
MAT.2.23	Tila tivot ta sewe, ve tileep izi nugh Nasaret. Tauta Maaron aliiŋa tau propet tooni tivotia na ighur anooŋa. Saveeŋ tauvene:
MAT.3.1	Saawe tau ŋeer rughuzaaŋa Yoan ipaburigin uraat tooni, i ila ivot nugh ŋginaaŋa to Yudea, ve ivovotia Maaron aliiŋa pa tamtamon ighe: 
MAT.3.2	“Apul ŋgar tsiam sasaghati ileple, ve atoor ŋgar tsiam imuul ila pa Maaron! Pa malau mako pale pooz to nugh sambam ivot ighazooŋ.” 
MAT.3.3	Yoan tawe ta muuŋ propet Isaia isavia saveeŋ siriv iŋaruini ighe:
MAT.3.4	Yoan inonogh ghi pa uuli tau tigharaata pa kamel ooro, ve ipuus ŋgaali pa puus tau tigharaata pa ŋgai uuli. 
MAT.3.5	Eval tiina to Yerusalem, yesŋa nugh naol to Yudea tomania taan sirivu tau igharau yaa Yordan na, tilala tooni izi yaa Yordan. 
MAT.3.6	Yes tivovotia sosor toozi ila tooni, ve i irurughuuz zi ta sewe. 
MAT.3.7	Zeran tutuuŋa 
MAT.3.8	Isaav ighe onoon yam apul ŋgar tsiam sasaghati ileple ve atoor ŋgar tsiam ila pa Maaron, na atotoi anooŋa tooni popoia siriv ivot gha taghita. 
MAT.3.9	Yam aghe Abaram paaghu tooni yam. Eemon anumeer tana sov. Pa yau nasaav payam: Maaron, i irau isaav pa maet tane, ve tiburig timin Abaram paaghu tooni. 
MAT.3.10	Alooŋ. Nakavasi to Maaron igheen ila ai pughuzi ve isaŋan wa. Ai tisov tau anoŋazi popoia mako, ene aat nakavasi ighan zi tizi, ve tisik zi tizala yav ighan zi. 
MAT.3.11	Yau narughuuz gham pa yaa imin ilaal payam ighe yam atoor ŋgar tsiam ila pa Maaron wa. Eemon ŋeer ee aat ilam murei payau. I tapiri tiina. Iliiv ghau kat. Uraat sorok imin badooŋ zuzuuŋa to aaghe, ene paam, yau poiag irau to nagham pani mako. I pale igham Avuvu Patabuyaaŋ payam tomania yav. 
MAT.3.12	Gabua to tiriiŋ wit, ta i ikisi ila niima ve isasaŋan. Pasaa, i pale igabiiz tamtamon, ve ivureer zi imin ŋeer tau ilos wit tooni ve itiri izaa. Leso yaghur ivuvuur wit uuli ilale, ve wit anooŋa timburur tizi. Wit anooŋa tawe, i pale ighur poghania ila ruum to aniiŋ. Eemon wit uuli, i pale ikori ila yav ighani. Yav tawe, irau tirav matini mako. Ighanghan irau saawe.” 
MAT.3.13	Saawe tana, Yesu ipul taan sirivu to Galilaia, ve ilaagh ila ivot yaa Yordan, leso Yoan irughuuza. 
MAT.3.14	Eemon Yoan iyok pani rekia mako. Isaav pani ighe: “Yo ulam tsiau pasaa? Yo urughuuz ghau, o iduduuŋ.”
MAT.3.15	Yesu iyol aliiŋa ighe: “Mako. Aazne, yo aat utaghon imin tau nasaav ne. Pa iit aat tataghon suvinia ŋgar duduuŋa, ve tagham anooŋa tooni ivot, o poia.” Tauvene Yoan ilooŋ Yesu aliiŋa, ve irughuuza. 
MAT.3.16	Yesu ipul yaa ve izaa, ve saawe duduuŋ tana, sambam ikaak, ve i ighita Maaron Avuvu izilam imin mbuun, ve izala paavo. 
MAT.3.17	Ra saveeŋ sambam izilam ighe: “Ŋeer tana, ene yau taug Natug eemon. Yau lolog igheen tooni, ve igham ghau lolog poia kat.” 
MAT.4.1	Murei ra, Maaron Avuvu ipaburigin Yesu gha ila ivot nugh ŋginaaŋa. Leso Ŋeer Saghati itoova. 
MAT.4.2	Yesu ilepleep ta sewe, ve iŋgun tauu pa ghaniiŋ aniiŋ le irau mboŋ tamoot ru. Saawe tana, i ighan aniiŋ eta mako, le pitoola kat. 
MAT.4.3	Ra Ŋeer To Watiiŋ ivot tooni, ve isaav pani ighe: “Laak, isaav ighe yo Maaron Naatu, na usaav pa maet tane, ve tivot timin lem aniiŋ.”
MAT.4.4	Eemon Yesu iyol aliiŋa ighe: “Maaron aliiŋa tau tiboode na isaav tauvene:
MAT.4.5	Ra Ŋeer Saghati ighamu gha tila pa nugh patabuyaaŋ Yerusalem, ve tizala tiyooz ila Rumei Tiina paavo tau igheen saaŋa kat. 
MAT.4.6	Ve isaav pani ighe: “Isaav ighe onoon yo Maaron Naatu, na uleep ta sene, ve uyatov ghom uzila. Pa Maaron aliiŋa tau tiboode na isaav ighe:
MAT.4.7	Yesu iyol aliiŋa ighe: “Eemon Maaron aliiŋa ziiri ite tau tiboode na isaav tauvene:
MAT.4.8	Tauvene Ŋeer Saghati igham Yesu muul, ve tizala loloz tiina ee tau daaba izala kat, ve itotoi nugh naol isov tau kinik to taan tiŋgin zi, tomania gabua toozi popoia ve tintiina tau tipakur zi pani na, ve isaav pani ighe: 
MAT.4.9	“Laak, isaav ighe yo uput aghem payau ve upakur ghau, yau aat napuliir gabua tawe tisov timin lem.”
MAT.4.10	Eemon Yesu iziire ighe: “Sadan, yo ughau ula! Pa Maaron aliiŋa tau tiboode na isaav tauvene:
MAT.4.11	Tauvene Ŋeer Saghati ipuli, ve aŋela siriv tilam ve tiuule. 
MAT.4.12	Yesu ilooŋ Yoan vaaru tighe Erod ighuru iloŋ ila ruum to yavyavuuŋ, tauvene imuul ila pa taan sirivu to Galilaia. 
MAT.4.13	Eemon ila ileep izi nugh puughu tooni Nasaret muul mako. Ipuli, ve ila ileep izi nugh Kapernaum tau igheen igharau nari to yaa naliu Galilaia. Nugh tawe igheen ila taan sirivu to yes Zebuluna ve yes Naptalia. 
MAT.4.14	Tauvene Maaron aliiŋa tau muuŋ propet Isaia ivotia na, anooŋa ivot. Saveeŋ tauvene:
MAT.4.15+MAT.4.16	Yam tamtamon tau aleep izi taan to yes Zebuluna ve Naptalia igharau eez tiina tau izila pa te na,
MAT.4.17	Saawe tana, Yesu ipaburigin uraat tooni to votiaaŋ vaaru poia. I isavsaav pa tamtamon ighe: “Apul ŋgar tsiam sasaghati ileple, ve atoor ŋgar tsiam imuul ila pa Maaron! Pa saawe to pooz to nugh sambam ivot ighazooŋ, ene ilam igharau wa!” 
MAT.4.18	Saawe ee, Yesu ilaghlaagh taghon nari to yaa naliu Galilaia, ve ighita zeran ru to ghamuuŋ iigh tiwaswaas. Ee, eeza Simon (tau eeza ite Petrus). Ve ite eeza Andreas. I Simon taazi. 
MAT.4.19	Yesu isaav ila pazi ighe: “Ai, yamru alam ataghon ghau. Leso natotoi eez to ghamuuŋ tamtamon payam.” 
MAT.4.20	Rekia mon yesuru tipul puugh toozi izi ileple, ve titaghon Yesu gha yesŋa tila. 
MAT.4.21	Tilaagh tila rig, ve Yesu ighita Zebedi natŋa ru, Yakobus gha Yoan, yesŋa tamazi tilepleep izala waaŋ, ve tiyaim puugh toozi. Yesu isaav ila pazi ighe tilam titaghoni. 
MAT.4.22	Tauvene yesuru paam, rekia mon tipul tamazi ileep tomania waaŋ toozi, ve tila titaghon Yesu gha yesŋa tila.
MAT.4.23	Yesu ilaagh irau nugh nugh to Galilaia, ve ipaghazoŋai zi pa Maaron aliiŋa iloŋ ila rumei toozi. I ivovotia vaaru poia pa pooz to nugh sambam, ve ighagharaat zi pa moroghooŋ maata maata. 
MAT.4.24	Yesu vaaru ilaan ila irau taan sirivu to Siria paam. Tauvene tamtamon tiyauyau moroghooŋa toozi tisov tila tooni. Yes tau moroghooŋ maata maata tomania yavyavuuŋ tiina igham zi, yes tau avuvu sasaghati tizeev zi, yes tau borau izazaa pazi gha titaptap tizizi, ve yes narapeŋa paam. Yesu igharaat zi tisov tinizi poia. 
MAT.4.25	Tauvene eval tiina to Galilaia, ve eval tiina to taan sirivu to Dekapolis, tomania yes Yerusalema, ve yes to Yudea, ve nugh siriv tau tigheen tigharau yaa Yordan ziige ila pa aaz puughu na paam, timeke tila tooni, ve titaghoni gha yesŋa tilaghlaagh.
MAT.5.1	Yesu ighita eval tiina kat titaghoni tilam, tauvene izala loloz ee ziige, ve mboole izi ta sewe. 
MAT.5.2	ve i ipaduduuŋ zi ighe:
MAT.5.3	“Zeran tau tighilaal ila lolozi tighe timbool pa ŋgar to Maaron, ene yes aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.3	Pasaa, yes tileep ila pooz to nugh sambam loolo wa. 
MAT.5.4	Yes tau lolozi ipataŋan ve titaŋ, ene yes paam aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.4	Pasaa, i pale irav atezi, ve igham zi lolozi poia. 
MAT.5.5	Yes tau atezi maate ve titatan tauzi ezazi, ene yes aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.5	Pasaa, murei Maaron pale igham taan isov imin lezi motot. 
MAT.5.6	Yes tau pitool zi ve murun zi pa ŋgar duduuŋa to Maaron, ene yes aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.6	Pasaa, gabua tau lolozi pani na, Maaron tauu pale igham pazi le irau lolozi. 
MAT.5.7	Yes tau lolozi isaghatin tamtamon ve tiuluul zi pa pataŋani toozi, ene yes aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.7	Pasaa, yes paam, Maaron pale loolo isaghatin zi ve iuul zi. 
MAT.5.8	Yes tau lolozi ŋgalaaŋa, ene yes aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.8	Pasaa, yes pale tighit katin Maaron. 
MAT.5.9	Yes tau tighamgham uraat pa ravuuŋ motin malmal ve tilup tamtamon timin eemon, ene yes irau tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.9	Pasaa, Maaron pale iwaat zi ighe tauu natŋa. 
MAT.5.10	Ve yes tau titaghon ŋgar duduuŋa to Maaron, ve tamtamon tighurghur pataŋani pazi, ene yes aat tintinizi pa poia to Maaron tau izaa toozi.
MAT.5.10	Pasaa, yes tileep ila pooz to nugh sambam loolo wa. 
MAT.5.11	“Yam tau ataghon ghau, ve tamtamon tisik saveeŋ veleghiiŋ payam, ve tighur pataŋani, ve tiŋgal saveeŋ sasaghati naol payam na, tintinmim pa poia to Maaron tau izaa tsiam. 
MAT.5.12	Tintinmim ve lolomim poia kat. Pa ŋgar tau muuŋ tigham pa yes propet tau tivotia Maaron aliiŋa na, tauta aazne tigham payam paam. Tauvene atuya tsiam tiina igheen izi nugh sambam ve isasaŋan gham.” 
MAT.5.13	Yesu isaav muul ighe: “Yam amin te to taan. 
MAT.5.14	Ve yam amin yaryarooŋa to taan. Pasaa, yam atotoi ghazooŋa to Maaron pa tamtamon. Iit tawatagh: Isaav ighe nugh eta igheen izala nugh mbua, ene irau iyooŋ mako. 
MAT.5.15	Isaav ighe tamtamon titun lam, pale tipagudu pa uur? Mako. Pale tisaroni izaa ituuk. Leso mbonari isul tamtamon tisov tau tileep ila ruum loolo na. 
MAT.5.16	Yam tauvene paam. Ghazooŋa to Maaron tau igheen tsiam na, aŋgooza sov. Atotoia ivot ighazooŋ. Leso tamtamon tighita ŋgar popoia tau yam aghamgham zi na, ve tipakur Tamamim tau ileep sambam.” 
MAT.5.17	Yesu isaav muul ighe: “Mindai, yam aghe yau nalam to nareu tutuuŋ to Mose ve saveeŋ to yes propet? Mako. Yau nalam to nagham ŋgar tauvene mako. Yau nalam to napaghazoŋai saveeŋ toozi, ve nagham anooŋa ivot. 
MAT.5.18	Yau nasaav payam kat. Sambam ve taan pale tilalez. Eemon tutuuŋ to Maaron ziiri ŋgiira rigta irau ilale mako. Mako le mako kat. Ighengheen tauvene mon le irau Maaron ipasovuur uraat tooni naol isov. 
MAT.5.19	Tauvene isaav ighe tamtamon eta maata veleghin tutuuŋ ziiri rigta, ve isaav pa tamtamon siriv to tigham tauvene paam, ene aat tighita tighe i ŋeer sorok kat izi nugh sambam. Ve tamtamon tau ighe itaghon duduŋai tutuuŋ naol isov, ve ipaghazoŋai tamtamon pani, ene aat tighita tighe i eeza tiina kat izi nugh sambam. 
MAT.5.20	“Yau nasaav payam: Isaav ighe yam aduduuŋ ila Maaron maata mako, ene aat irau aloŋ ala nugh sambam mako. Yam aat aduduuŋ kat ila i maata, le aliiv yes zeran tutuuŋa ve yes ŋgara to tutuuŋ, o aloŋ ala.” 
MAT.5.21	Yesu isaav pazi muul ighe: “Saveeŋ tau muuŋ Maaron isavia pa timbuunŋa na, ene yam alooŋa wa. Ighe: ‘Urav tamtamon imaat sov. Ŋeer eta ighe irav tamtamon imaat, ene aat tipayooze pa savsaveeŋ ve tighur atuya pani.’ 
MAT.5.22	Eemon yau nasaav payam tauvene: Isaav ighe tamtamon eta ighur koi pa iitete eta, ene i paam pale tipayooze pa savsaveeŋ ve tighur atuya pani. Ve isaav ighe tamtamon eta isik saveeŋ veleghiiŋ pa iitete eta ighe: ‘Yo dabam ŋginaaŋa. Lem ŋgar mako!’ ene aat tipayooze ila lupuuŋ to yes pooza naghozi to tighur atuya pani paam. Ve isaav ighe ŋeer eta maata veleghin iitete eta, ve isaav pani ighe: ‘Yo lem ŋgar mako kat! Uwatagh Maaron rigta mako!’ ene iyamaan ghi. Pa yes tau tigham ŋgar tauvene, pale tila nugh saghati, ve yav ighan zi. 
MAT.5.23	“Tauvene isaav ighe yo ula artaal to ugham watooŋrau, ve matam iŋgal etam eta tau i le savsaveeŋ tomani ghom, 
MAT.5.24	na upul watooŋrau tsio tana izi igheen artaal puughu, ve ula tooni, ve yamru agharaat lolomim le isov, o mako umuul ula ve ugham uratoi watooŋrau tsio tana. 
MAT.5.25	“Ve isaav ighe tamtamon eta ighe ipayooz ghom pa savsaveeŋ, na usaŋan sov. Saawe tau yamru alaghlaagh ala pa nugh to gharatooŋ saveeŋ, na rekia mon utoova to ugharaat saveeŋ tomania, le loolo poia. Mako pale ighur ghom ula to daaba to gharatooŋ saveeŋ, ve daaba tawe ighur ghom ula uraata tooni niima, ve aana ighur ghom uloŋ ula ruum to yavyavuuŋ. 
MAT.5.26	Onoon kat, yau nasaav payo. Yo irau uvot rekia ne mako. Pale ulepleep ta sewe lee irau upasov atuya tau tighuru payo na le isov kat. 
MAT.5.27	“Tutuuŋ ee tau tisavia gha alooŋa wa, ene tauvene: ‘Ughur boog sov.’ 
MAT.5.28	Eemon yau nasaav payam tauvene: Isaav ighe ŋeer eta ighita livaa eta, ve loolo ighaar pani, ene pale Maaron ighita ighe ŋeer tana ivaghamunia tutuuŋ to vaiŋ ila loolo wa. 
MAT.5.29	Tauvene isaav ighe matam tau igheen ila pa nimam tapir ighegherev ghom pa ghamuuŋ ŋgar sasaghati, na poia to upeii, ve usiki ilale. Mako pale ighegherev ghom, ve murei tisik anoŋam dodoli ila nugh saghati. 
MAT.5.30	Nimam tapir tauvene paam. Isaav ighe ighegherev ghom pa ghamuuŋ ŋgar sasaghati, na poia to urav motini, ve usiki ilale. Mako pale ighegherev ghom, ve murei tisik anoŋam dodoli ila nugh saghati. 
MAT.5.31	“Tutuuŋ ite tau tisavia gha alooŋa wa, ene tauvene: ‘Isaav ighe ŋeer eta ighe irav motin vaiŋ tooni ve iziir azaawa, i aat ibood azaawa le rau eta, leso ipaghazoŋai zi ighe vaiŋ toozi isov wa.’ 
MAT.5.32	Eemon yau nasaav payam tauvene: Isaav ighe ŋeer eta azaawa ighur boog mako, ve ŋeer tana iziir sorokini, ene i aat iyamaan ghi. Pale imin puughu pa azaawa imalaaŋ pa tutuuŋ to vaiŋ. Pa ighe livaa tana ila ve ivai tamoot paaghu, ene aat Maaron ighita ighe yesuru tamoot paaghu tana timalaaŋ pa tutuuŋ to vaiŋ. Eemon isaav ighe livaa eta ighur boog, ene azaawa irau irav motin vaiŋ toozi. 
MAT.5.33	“Tutuuŋ ite tau Maaron isavia pa timbuunŋa ve yam paam alooŋa wa, ene tauvene: ‘Uwaat Maaron eeza to upariaaŋ saveeŋ karom sov. Ve isaav ighe umbu saveeŋ tomania Maaron le iyaryaaŋ, na ureua sov. Matam iŋgal saveeŋ tsio, ve utaghoni le anooŋa tooni ivot.’ 
MAT.5.34+MAT.5.35	Eemon yau nasaav payam tauvene: Awaat gabua eta eeza to apariaaŋ saveeŋ tsiam sov. Tauvene awaat Maaron eeza to apariaaŋ saveeŋ tsiam sov. Ve sambam, taan, ve Yerusalem paam, awaat ezazi to apariaaŋ saveeŋ tsiam sov. Pa sambam, ene Maaron niia to ghamuuŋ pooz. Ve taan, ene nugh to i ighur aaghe izala. Ve Yerusalem, ene Kinik Tiina nugh tooni. 
MAT.5.36	Dabamim paam, awaato to apariaaŋ saveeŋ tsiam sov. 
MAT.5.37	Yam irau asaav mon aghe: ‘Vee’ o ‘Mako.’ Ene irau. Pa isaav ighe yam awaat gabua siriv ezazi to apariaaŋ saveeŋ tsiam, ene ŋgar tauvene ilam pa Ŋeer Saghati. 
MAT.5.38	“Tutuuŋ ite tau tisavia gha alooŋa wa, ene tauvene: ‘Isaav ighe yo uvaghamunia etam ite maata, ene aat tivaghamunia yo matam paam. Ve isaav ighe urav etam ite le liivo eta ipol, ene aat tirav ghom paam ve livom ipol. Leso iyat ŋgar tau ughamu na. 
MAT.5.39	Eemon yau nasaav payam tauvene: Ŋgar saghati tau tamtamon tigham payam, na ayatu sov. Ayokia taumim mon. Tauvene isaav ighe ŋeer eta iposai paŋam ila pa tapir, na uyol niima sov. Utoor ghom, ve iposai paŋam ite paam. 
MAT.5.40	Ve isaav ighe ŋeer eta ipayooz ghom pa savsaveeŋ ve ighe igham nonoghiiŋa tsio eta, na uyau avom pani sov. Upuli ila pani, ve ugham le nonoghiiŋa tsio to ŋgoaaŋ paam. 
MAT.5.41	Isaav ighe ŋeer eta isaav ariaaŋ payo ighe yo aat uule pa badooŋ yauyauŋ tooni irau sooso malau rig, na ubaado ula le umalaaŋ pa sooso tawe, ve usakia laghooŋ ula rig muul. 
MAT.5.42	Ve isaav ighe tamtamon eta ighason ghom pa le gabua, na ugham pani mon. Ve isaav ighe ŋeer eta ighason ghom ighe uyokia gabua tsio eta pani to igham uraat pani, na uŋguruuta sov. Uyokia pani mon. 
MAT.5.43	“Tutuuŋ ite tau tisavia gha alooŋa wa, ene tauvene: ‘Lolom pa zetamŋa ve ugham poghani zi, ve ughur koi pa koiamŋa.’ 
MAT.5.44	Eemon yau nasaav payam naghe: Yam aat ataghon ŋgar ite tauvene: Lolomim pa koiamimŋa ve agham poghani zi. Ve isaav ighe tamtamon tighur pataŋani payam pasaa, yam ataghon ghau, na aghur zi ila suŋuuŋ tsiam. 
MAT.5.45	Leso ataghon ŋgar to Tamamim Maaron tau ileep sambam. Pasaa, i itotoi poia tooni pa tamtamon tisov. Igham aaz tooni ighaaz pa zeran popoiazi, ve yes tau sasaghatizi paam. Ve igham uman izizi pa zeran duduŋazi, ve yes tau ŋgar toozi iduduuŋ mako na paam. 
MAT.5.46	Isaav ighe lolomim pa yes tau lolozi payam na mon, ene pale agham lemim atuya poia mindai? Mako. Pa ŋgar tauvene, zeran sasaghatizi tau tiyauyau takes na tighamghamu paam. 
MAT.5.47	Ve isaav ighe agham toŋvetaz tsiam mon toman lolomim poia, ene pale aliiv tamtamon siriv mindai? Mako. Pa ŋgar tauvene, yes tau tiwatagh Maaron mako na tighamghamu paam. 
MAT.5.48	Tauvene yam aat azuari gham le ŋgar tsiam isov iduduuŋ ve poia mon imin Tamamim Maaron tau ileep sambam.” 
