MAT.1.1	Nene pitiiŋ to Yesu Krisi pughu toni. Yesu, ye siŋ to kinik David, ve David, ye siŋ to Abaraam. 
MAT.4.15+MAT.4.16	Yam tamtoghon to aneep izi taan to yes Zebuluna ve Naptalia igharau ataam tiina to izila pa te,
MAT.4.17	Sawa tonenen, Yesu ipamundigin uraat toni to votiaaŋ varu poia. Ye isavsaav pa tamtoghon ighaze: “Apul ŋgar tiam samsamia, ve atoor ŋgar tiam ila pa Maaron! Pasa, sawa to pooz to ndug sambam ivot ighazooŋ, nene inim igharau wa!” 
MAT.4.18	Sawa eez, Yesu ilaghlaagh taghon naari to ya naliu Galilaia, ve ighita ndiran ru to ghamuuŋ iigh tiwaswaas. Eez, iza Simon (to iza ite Petrus), ve ite iza Andreas. Ye Simon tazi. 
MAT.4.19	Yesu ighita di, ve isaav ila padi ighaze: “Ai, yamru anim ataghon ghou. You pale napatooŋ gham pa ataam to agham tamtoghon.” 
MAT.4.20	Rikia moghon yesuru tipul malum todi tizi tineep, ve titaghon Yesu ve yesŋa tila. 
MAT.4.21	Tilaagh tila ris, ve Yesu ighita Zebedi ndinatu ru, Yakobus ve Yoan, yesŋa tamandi tinepneep izala waaŋ pogho, ve tiyaim malum todi. Yesu isaav ila padi ighaze tinim titaghoni. 
MAT.4.22	Tovenen yesuru paam, rikia moghon tipul tamandi ineep toman waaŋ todi, ve tila titaghon Yesu ve yesŋa tila.
MAT.4.23	Yesu ilaagh irau ndug ndug to Galilaia, ve ipatoot di pa Maaron aliŋa ilooŋ ila rumai todi. Ye ivovotia varu poia pa pooz to ndug sambam, ve ighagharaat di pa moroghooŋ naol naol. 
MAT.4.24	Yesu varu ilaan ila irau taan suruvu to Siria paam. Tovenen tamtoghon tigham moroghooŋa todi tisob tila toni. Yes to moroghooŋ naol naol toman yabyabuuŋ tiina igham di, yes to avuvu samsamiadi tizeev di, yes to borou ighamgham di titaptap tizizi, ve yes narapeŋa paam. Yesu igharaat di tisob tinidi popoia. 
MAT.4.25	Tovenen ival tiina to Galilaia, ve ival tiina to taan suruvu to Dekapolis, toman yes Yerusalema, ve yes to Yudea, ve ndug pida to tineep tigharau ya Yordan paŋa ite ila pa ndag iza ne paam, tiketkeet tila toni, ve titaghoni ve yesŋa tilaghlaagh.
MAT.5.1	Yesu ighita ival tiina kat titaghoni tinim, tovenen izala lolooz eez dige, ve mbole izi tonowe. 
MAT.5.2	ve ye ipatoot di ighaze:
MAT.5.3	“Ndiran to tighilaal ila lolodi tighaze timbool pa ŋgar to Maaron, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.3	Pasa, yes tineep ila pooz to ndug sambam lolo wa. 
MAT.5.4	Yes to lolodi ipataŋan ve titaŋ, yes paam irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.4	Pasa, ye pale irab atedi, ve igham di lolodi poia. 
MAT.5.5	Ve yes to atedi maate ve titatan taudi izadi, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.5	Pasa, muri Maaron pale igham taan isob inim ledi. 
MAT.5.6	Yes to pitool di ve murun di pa ŋgar deŋia to Maaron, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.6	Pasa, mbeb to lolodi pani, Maaron tau pale igham padi le irau lolodi. 
MAT.5.7	Yes to lolodi isamin tamtoghon ve tiuluul di pa pataŋani todi, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.7	Pasa, yes paam, Maaron pale lolo isamin di ve iuul di. 
MAT.5.8	Yes to lolodi ŋgalaaŋa, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.8	Pasa, yes pale tighita katin Maaron. 
MAT.5.9	Yes to tighamgham uraat pa tirab matin malmal ve tilup tamtoghon tinim ee moghon, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.9	Pasa, Maaron pale iwaat di ighaze tau ndinatu. 
MAT.5.10	Ve yes to titaghon ŋgar deŋia to Maaron, ve tamtoghon tighur pataŋani padi, yes irau tinidi iza pa poia to Maaron to iza todi.
MAT.5.10	Pasa, yes tineep ila pooz to ndug sambam lolo wa. 
MAT.5.11	“Yam to ataghon ghou, ve tamtoghon tipiyaav saveeŋ velegiiŋa payam, ve tighur pataŋani, ve tiŋgal saveeŋ samsamia naol payam, tinimim iza pa poia to Maaron to iza tiam. 
MAT.5.12	Tinimim iza ve lolomim poia kat. Pasa, ŋgar to muuŋ tigham pa yes propeta to tivotia Maaron aliŋa, tauto aazne tigham payam paam. Tovenen atia tiam tiina ineep izi ndug sambam ve isasaŋan gham.” 
MAT.5.13	Yesu isaav muul ighaze: “Yam animale te (o sol) to taan. 
MAT.5.14	Ve yam animale lam to taan. Pasa, yam apatooŋ ghazooŋa to Maaron pa tamtoghon. Iit tawatag: Ighaze ndug eta ineep izala ndug mbuŋa, nene irau iyooŋ maau. 
MAT.5.15	Ighaze tamtoghon titun lam, pale tipakudi pa uur? Maau. Pale tisaroni iza imonau. Leso ŋguruba igham ndug ighazooŋ pa tamtoghon tisob to tineep ila ruum lolo. 
MAT.5.16	Yam tovene paam. Ghazooŋa to Maaron to ineep tiam, aŋgooza malep. Apatooŋa ivot ighazooŋ. Leso tamtoghon tighita ŋgar popoia to yam aghamgham di, ve tipakur Tamamim Maaron to ineep izi sambam.” 
MAT.5.17	Yesu isaav muul ighaze: “Vena, yam aghaze you nanim pa nareu tutuuŋ to Mose ve saveeŋ to yes propeta? Maau. You nanim pa nagham ŋgar tovene maau. You nanim pa napaghazoŋan saveeŋ todi, ve nagham anoŋa toni ivot. 
MAT.5.18	You nasaav payam kat. Sambam ve taan pale tilaledi. Eemoghon tutuuŋ to Maaron waaro ŋgiira rita irau ilale ne maau. Maau le maau kat. Pale inepneep tovene moghon lee irau Maaron ipasob uraat toni to naol ne. 
MAT.5.19	Tovenen ighaze tamtoghon eta mata velegin tutuuŋ waaro rita, ve isaav pa tamtoghon pida leso tigham tovene paam, nene pale tighita tighaze ye ŋgeu sorok kat izi ndug sambam. Ve tamtoghon to ighaze itaghon katin tutuuŋ tisob, ve ipatoot tamtoghon padi, nene pale tighita tighaze ye iza tiina kat izi ndug sambam. 
MAT.5.20	“You nasaav payam: Ighaze yam aneep deŋiamim ila Maaron mata maau, yam irau alooŋ ala ndug sambam maau. Yam irau aneep deŋiamim kat ila ye mata, le alib pa yes ndiran tutuuŋa ve yes ŋgara to tutuuŋ, ghoro alooŋ ala.” 
MAT.5.21	Yesu isaav padi muul ighaze: “Saveeŋ to muuŋ Maaron isavia pa nditimbuud, yam alooŋa wa. Ighaze: ‘Urab tamtoghon imaat malep. Ighaze ŋgeu eta irab tamtoghon imaat, ye irau tipayoonda pa savsaveeŋ ve tighur atia pani.’ 
MAT.5.22	Eemoghon you nasaav payam tovene: Ighaze tamtoghon eta ighur koi pa ita ite eta, nene ye paam pale tipayoonda pa savsaveeŋ, ve tighur atia pani. Ve ighaze tamtoghon eta ipiyaav saveeŋ velegiiŋa pa ita ite eta ighaze: ‘Yom dabam ŋginiŋa. Lem ŋgar maau!’ nene pale tipayoonda ila lupuuŋ to yes pooza matadi leso tighur atia pani paam. Ve ighaze ŋgeu eta mata velegin ita ite eta, ve isaav pani ighaze: ‘Yom borou kat! Uwatag Maaron rita maau!’ nene ye ipatumi. Pasa, yes to tigham ŋgar tovene, nene pale tila ndug samia, ve yab ighan di. 
MAT.5.23	“Tovenen ighaze yom ula artaal pa ugham watooŋrau, ve matam iŋgal itam eta to ye le savsaveeŋ toman ghom, 
MAT.5.24	upul watooŋrau tiom tonanan izi ineep artaal pughu, ve ula toni ve yamru agharaat lolomim muuŋ. Ghoro umuul ula ve ugham watooŋrau tiom. 
MAT.5.25	“Ve ighaze tamtoghon eta ighaze ipayoon ghom pa savsaveeŋ, yom unaama malep. Sawa to yamru alaghlaagh ala pa ndug to gharatooŋ saveeŋ, rikia moghon utoova pa ugharaat saveeŋ tomani, le lolo poia. Pa vene, ighur ghom ula to daba to gharatooŋ saveeŋ, ve daba tonowen ighur ghom ula uraata toni nima, ghoro ana ighur ghom ulooŋ ula ruum to yabyabuuŋ. 
MAT.5.26	You nasaav payom kat. Yom irau uvot rikia ne maau. Pale unepneep tonowe le irau upasob atia to tighuri payom, le isob kat. 
MAT.5.27	“Tutuuŋ eez to tisavia ve alooŋa wa, nene vene: ‘Ughur maat malep.’ 
MAT.5.28	Eemoghon you nasaav payam tovene: Ighaze ŋgeu eta ighita liva eta, ve lolo igham pani, nene pale Maaron ighita ŋgeu tonenen ighaze ye igham ŋgar to ghuruuŋ maat ila lolo wa. 
MAT.5.29	Tovenen ighaze matam dige to ineep ila pa nimam waan igheghereb ghom pa ghamuuŋ ŋgar samia, nene poia pa upeii, ve upiyaava ilale. Pa vene, igheghereb ghom, ve muri tipiyaav anoŋam dodoli ila ndug samia. 
MAT.5.30	Nimam waan tovene paam. Ighaze igheghereb ghom pa ghamuuŋ ŋgar samia, nene poia pa umbut motini, ve upiyaava ilale. Pa vene, igheghereb ghom, ve muri tipiyaav anoŋam dodoli ila ndug samia. 
MAT.5.31	“Tutuuŋ ite to tisavia ve alooŋa wa, nene vene: ‘Tamoot eta ighaze irab motin vaiuuŋ toni ve izurun azuwa ila, ye irau imbood azuwa le rau eta, leso ipaghazoŋan di ighaze vaiuuŋ todi isob wa.’ 
MAT.5.32	Eemoghon you nasaav payam tovene: Ighaze tamoot eta azuwa ighur maat maau, ve ŋgeu tonenen izuruni sorok, ye ipatumi. Pa vene, inim pughu pa azuwa imalaaŋ pa tutuuŋ to vaiuuŋ. Pasa, ighaze liva tonenen ila ve ivai tamoot paghu, nene pale Maaron ighita ighaze yesuru tamoot paghu tonenen timalaaŋ pa tutuuŋ to vaiuuŋ. Eemoghon ighaze liva eta ighur maat, nene azuwa irau irab motin vaiuuŋ todi. 
MAT.5.33	“Tutuuŋ ite to Maaron isavia pa nditimbuud ve yam paam alooŋa wa, nene vene: ‘Uwaat Maaron iza pa upariaaŋ saveeŋ kaarom malep. Ve ighaze umbua saveeŋ toman Maaron le iyaryaaŋ, ureua malep. Matam iŋgal saveeŋ tiom, ve utaghoni le anoŋa toni ivot.’ 
MAT.5.34+MAT.5.35	Eemoghon you nasaav payam tovene: Awaat mbeb eta iza pa apariaaŋ saveeŋ tiam malep. Tovenen awaat Maaron iza pa apariaaŋ saveeŋ tiam malep. Ve sambam, taan, ve Yerusalem, paam, awaat izadi pa apariaaŋ saveeŋ tiam malep. Pasa, sambam, nene Maaron ina to ghamuuŋ pooz. Ve taan, nene ndug to ye ighur aghe izala. Ve Yerusalem, nene Kinik Tiina ndug toni. 
MAT.5.36	Dabamim paam, awaata pa apariaaŋ saveeŋ tiam malep. 
MAT.5.37	Yam irau asaav moghon aghaze: ‘Vee, nene saveeŋ onoon.’ o ‘Maau, saveeŋ tovene maau.’ Nene irau. Pasa, ighaze yam awaat mbeb pida izadi pa apariaaŋ saveeŋ tiam, nene ŋgar tovene inim pa Ŋgeu Samia. 
MAT.5.38	“Tutuuŋ ite to tisavia ve alooŋa wa, nene vene: ‘Ighaze yom uwaghamun itam ite mata, nene pale tiwaghamun yom matam paam. Ve ighaze urab itam ite le livo eta ipol, nene pale tirab ghom paam ve livom ipol, leso iyat ŋgar to ughami. 
MAT.5.39	Eemoghon you nasaav payam tovene: Ŋgar samia to tamtoghon tigham payam, yam ayati malep. Ayokia taumim moghon. Tovenen ighaze ŋgeu eta ipambar paŋam to ineep pa nimam waan, yom uyol nima malep. Utoor ghom, ve ipambar paŋam ite paam. 
MAT.5.40	Ve ighaze ŋgeu eta ipayoon ghom pa savsaveeŋ, ve ighaze igham nonogiiŋa tiom eta, yom uyou avom pani malep. Upuli ila pani, ve ugham le nonogiiŋa tiom to moŋeŋaaŋ paam. 
MAT.5.41	Ighaze ŋgeu eta isaav ariaŋa payom ighaze yom uuli pa badooŋ mburuguuŋ toni irau soso mala ris, yom irau umbaada ila le umalaaŋ pa soso tonowen, ve usakia laghooŋ ula ris muul. 
MAT.5.42	Ve ighaze ŋgeu eta ighason ghom pa le mbeb eta, yom ugham pani. Ve ighaze ye ighason ghom ighaze uyokia mbeb tiom eta pani leso igham uraat pani, yom uŋguruuta malep. Uyokia pani moghon. 
MAT.5.43	“Tutuuŋ ite to tisavia ve alooŋa wa, nene vene: ‘Ughur lolom pa nditam, ve ughur koi pa koiam.’ 
MAT.5.44	Eemoghon you nasaav payam tovene: Aghur lolomim pa koiamimŋa ve agham poian di. Ve ighaze ataghon ghou ve tamtoghon tighur pataŋani payam, yam aghur di tila suŋuuŋ tiam. 
MAT.5.45	Leso ataghon ŋgar to Tamamim Maaron to ineep izi sambam. Pasa, ye ipatooŋ poia toni pa tamtoghon tisob. Igham ndag toni ighaaz pa ndiran popoiadi, ve yes to samsamiadi paam. Ve igham uman izizi pa ndiran deŋiadi, ve yes to ŋgar todi deŋia maau ne paam. 
MAT.5.46	Ighaze lolomim pa yes to lolodi payam moghon, nene pale agham lemim atia poia vena? Maau. Pasa, ŋgar tovene, ndiran samsamiadi to tiyouyou takes tighamghami paam. 
MAT.5.47	Ve ighaze agham toŋvetaz tiam moghon toman lolomim poia, nene pale alib pa tamtoghon pida vena? Maau. Pasa, ŋgar tovene, yes to tiwatag Maaron maau ne tighamghami paam. 
MAT.5.48	Tovenen yam irau azuaria gham le ŋgar tiam isob deŋia ve poia moghon inimale Tamamim Maaron to ineep izi sambam.” 
MAT.6.1	Yesu isaav padi muul ighaze: “Apatum gham. Ŋgar popoia to agham di pa Maaron, apatooŋ di ila tamtoghon matadi pa tighita gham ve tipait gham pani malep. Pasa, ighaze agham tovene, Tamamim Maaron to ineep izi sambam, irau igham lemim atia poia eta maau. 
