GEN.1.1	Ni fíĉilum fafu, Aláemit nátut fatiya ni ettam.
GEN.1.27	Nátulil ánaine ni anaare.
GEN.1.28	Násonienil naagil : « Mbi jubugor iki jimmeŋen ettam yay, ban n’juogen yo ! Suol sasu saamme ni mal, upu waw waa fatiya, súnuhureŋ sasu sal ettam, mbi so ᵽe síni n’guñenul. » 
GEN.1.29	Natajen aagil : « N’ettam yay ᵽe nisenulsen esel ni eugit yo, nisenul ᵽoᵽ ununuh waw ni subugum wo, mbi síni fitiñul. 
GEN.1.30	Mo may, nisen me súnuhureŋ sasu, upu waw, wánowan wáfulore me n’ettam ban n’uif, mafos mánoman maiyulo n’ettam. » Ni kan mo ti maagen. 
GEN.1.31	Ñer Aláemit naluj waf waw ᵽe wo nátut me, najuh búoh úariari nár. Ni baj tiname, ni baj bujom : funah fakan me futoh ni fanur ufu.
GEN.2.1	Mamu Aláemit naban étut fatiya ni ettam ni waf waw waam dó me ᵽe. 
GEN.2.2	Funah fafu fakan me futoh ni gúuba, o babaner étut yay ; min áelo burok funah faufu. 
GEN.2.3	Yo eĉil me nakan fo funah faaro, ban ni fíni fola, mata fiĉila náelo me étut yay. 
GEN.2.4	Mamu Aláemit átut me fatiya ni ettam.
GEN.2.4	No Aláemit 
GEN.2.5	hani jununuh janur jilelen ni mof, esel yánoyan yo m’bailerut ; mata Aláemit Atúla o m’bakanerut émit nelubul ni mof mamu, ban ᵽoᵽ arafuhow m’babajerut bi eañ ettam yay. 
GEN.2.6	Bare ni baj mal nihi múbulul n’ettam yay min míjeben yo ᵽe. 
GEN.2.7	Ñer Aláemit Atúla naŋar gábupa nateᵽ arafuhow, aban náfuᵽ ni súñunduol érus yaa buroŋ, min arafuhow ahu akan an arondoŋ.
GEN.2.8	Aláemit Atúla nailen fíreŋ fal ununuh baubu Eden, galam bo tinah talu túᵽureul me, min abaŋ ró an ahu o nátut me. 
GEN.2.9	Naban naroh ró ganunuh gánogan gáarie, ban bubugum go m’búsum. N’etut fíreŋ fafu, naroh ró bununuh baa buroŋ, naroh ró ᵽoᵽ bice bal effas maaro ni maarat.
GEN.2.10	Ni baj fal fáᵽullo ró Eden nihi fíjeben fíreŋ fafu ; ni fúgat iki fúlandor babu siral sibbagir : 
GEN.2.11	Eral étiar gajow yo Piĉon, ban nebosor mof mamu ᵽe maa Havila, bo baj me éurus 
GEN.2.12	yaa maagen ; baj bo may ununuh wo físim wo fitiŋoe, ni ᵽoᵽ sival sáarie faŋ so nihi guŋar me n’gujjonen úibor waw. 
GEN.2.13	Eral éuten gajow yo Gihon, ban nebosor mof mamu ᵽe maa Kuĉ. 
GEN.2.14	Efáten gajow yo Tigir, uyu bo tinah talu túᵽureul me aw baamer ni mof mamu maa Aĉur. Ebarigen yay yo eemme Afúrat.
GEN.2.15	Ñer Aláemit Atúla naŋar an ahu abaŋ ni fíreŋ fafu fal Eden bi ecokor fo naluj fo nímoro. 
GEN.2.16	Naban naagol : « Bubugum ununuh waw ᵽe waamme ni fíreŋ faufe, nújue utiñ bo ; 
GEN.2.17	bare nífireni etiñ bununuh babu basene me effas maaro ni maarat. Mata ínje ilob yo, funah fo nujae bo me etiñ, ᵽan uoᵽoro eĉet ti maagen. »
GEN.2.18	Aláemit Atúla naah : « Jáhorut min ánaine anamo nevonol ; ᵽan ikanol arambena ajae me éjahor ni o. » 
GEN.2.19	Nemme Aláemit Atúla o baŋarer mof min ateᵽ súnuhureŋ sasu ni upu waw, náŋarul so ᵽe bújoŋor an ahu min mb’ajuh bu najae so me evoh. Ñer so ᵽe ᵽan sibaj yánoyan gajow yo, go an ahu ajae yo me ekan. 
GEN.2.20	Min an ahu akan súnuhureŋ sasu, sihaj sasu ni upu waw ᵽe ujow. Bare ajugut ni so yájahor me bi erambenol. 
GEN.2.21	Ñer Aláemit Atúla náyuol gámori gámah, min áᵽuren evul ece yaa gacaĉol, aban nabbañen to ti tínien me. 
GEN.2.22	Naŋar evul yauyu nateᵽ anaare, aban naŋallol bi ni áine ahu. 
GEN.2.23	Ñer áine ahu naah fatiya :
GEN.2.23	« Maer an ume ti ínje !
GEN.2.23	Enilol ni yúmbam éᵽullo,
GEN.2.23	físimol
GEN.2.23	Ᵽan guvogol anaare mata n’enil ánaine náᵽullo
GEN.2.24	Yo eĉil me ánaine ᵽan áᵽur ahat ᵽayol ni jaol min ak’aĉin búli bugo n’aarol, min ñer bugo gúuba gúbbañul gúni enil yanur.
GEN.2.25	Ban áine ahu bugo n’aarol sinil sirakel guomene, bare kanutil bo ñusu.
GEN.3.1	Jiffase ni súnuhureŋ sasu so Atúla átut me, enuhunjaŋ efaŋ ró ᵽe mutuho. Funah fice néjoul ek’etoh to aare ahu neogol : « Maagen, Aláemit naagulseh jambi jitiñ hani bununuh banur ni waamme dáre ni fíreŋ fe ? » 
GEN.3.2	Naah yo : « A-a, alobut me, naagóli jújue jitiñ wo, 
GEN.3.3	bare baamme n’etut fíreŋ fafu, naagóli : “Jambi jitiñ bo, hani egor bo jatiito, mata jitiñ bo me, ᵽan jiĉet.” » 
GEN.3.4	Enuhunjaŋ yay neogol : « Múk ! Let maagen, mati jiĉet. 
GEN.3.5	Aláemit faŋaol naffas yo : Funah fo jijae bo me etiñ, gúĉilul ᵽan gúpegulo min jíni ti o, mata ᵽan júju jiffas maaro ni maarat. »
GEN.3.6	Ñer aare ahu naluj bubugum bununuh babu, najuh búoh búariari, ᵽan búsum fitiñ, ban bújue bisen gaffas. Najow ak’atujul dó ni bubugum babu ece atiñ, naŋar may ak’asen áinol atiñ. 
GEN.3.7	Ñer to baenah gúĉilil n’gúpegulo n’gujuh búoh gusimout. Min guŋar utoj bununuh bice gajow bo 
GEN.3.8	Mb’uĉiga tiname, bunaa báruser, n’guun Aláemit Atúla najatore me ni fíreŋ fafu. N’gutey gukoᵽ n’ununuh waw. 
GEN.3.9	Aláemit Atúla navoh áinema naagol : « Aw umelo ? » 
GEN.3.10	Naagol : « Niuwun gaeli ni fíreŋ fafu, ñer níholi nitey ik’ikoᵽ mala min ikan me eᵽatalah. » 
GEN.3.11	Naagol : « Ay agiteni búoh eᵽatalah nukane ? Nutitiñ ᵽiaŋ bununuh babu bo nífireni me ? » 
GEN.3.12	Naagol : « Dáru aare ahu o nusenom me, o abajulo bo asenom, nitiñ. » 
GEN.3.13	Aláemit Atúla naah aare ahu : « Wa uĉile nukan me ? » Naagol : « Dáru enuhunjaŋ yay ekelo ebutom min itiñ. »
GEN.3.14	Ñer Aláemit Atúla naah enuhunjaŋ yay :
GEN.3.14	« Nemme mamu nukane, ni sihaj sasu ni súnuhureŋ sasu ᵽe aw nevoni mb’itab me !
GEN.3.14	Ᵽan núh’úfulor ni fari,
GEN.3.14	ban aw m’buroŋi, ᵽan núh’úmer gaᵽor gunah émit ᵽe !
GEN.3.15	Ñer maer, maa nijoge bi n’aw ni aare ahu :
GEN.3.15	Ᵽan ikanul n’jilator, ban ubugorul ᵽoᵽ ᵽan ikan wo nulator.
GEN.3.15	Gabulaken aare ahu ᵽan gumapul fuhoi,
GEN.3.15	aw ᵽan urum gola ni futoñ. »
GEN.3.16	Mbiban, naah aare ahu :
GEN.3.16	« Ᵽan ikan gafareti gútañi,
GEN.3.16	min nuh’ubuh guñoli ni buyoh.
GEN.3.16	Ᵽan nuh’umaŋ bilihor n’áini
GEN.3.16	bare aĉila ᵽan áni afani. »
GEN.3.17	Naban nábaho mbal áinema naagol : « Nemme firim aari núttune min utiñ bununuh babu bo nífireni me :
GEN.3.17	Aw mb’uĉil me min itab ettam yay.
GEN.3.17	Ᵽan urok yo táñi gunah émit ᵽe min mb’úju ubaj ró fitiñi.
GEN.3.18	N’ettam yay yíya, mafos mánoman maa sijeŋ ᵽan miil dó,
GEN.3.18	ᵽan nuh’utiñ waileul me n’ulah waw.
GEN.3.19	N’ejeni ᵽan útiñum bi funah fal eĉeli
GEN.3.19	no mb’ubbañ me mbal ettam dó núᵽullo me.
GEN.3.19	Maagen aw mof nom,
GEN.3.19	ban ᵽan ubbañ úbaho mof. »
GEN.3.20	Mbiban, áinema Adam nakan aarol gajow gagu gaa Eva (dóemme "aroŋ me"), mata aĉila ajae me éni jaw bugan bugagu ᵽe. 
GEN.3.21	Ñer Aláemit Atúla naŋar ubaŋ waa súnuhureŋ min acokor wañ asim Adam ni aarol. 
GEN.3.22	Naban naah : « Nemme maer arafuhow nánini ti ace ni wolal, min affas me wáari me ni waarat me, jambi atiñ me maer bununuh babu baa buroŋ ; mata ihalol me natiñ bo, ᵽan aroŋ bi nánonan. » 
GEN.3.23	Ñer Aláemit Atúla náᵽunnil ni fíreŋ fafu fal Eden gujow guke burok ettam yay dó naŋar me nateᵽil. 
GEN.3.24	No nahamil me aban, naŋar báuwener émit guce bugo guvoge me 
GEN.4.1	Adam narobo bugo n’aarol Eva. Eva naŋar far, nak’apegor nabaj júᵽur naah : « Ni garamben Atúla niballo júᵽur. » Min akan jo gajow gagu gaa Kaeŋ (dóemme "ébajul"). 
GEN.4.2	Nabbañ ateb ak’aalen náŋarul Kaeŋ jitiay navoh jo Abbel. No uñiaw gújalo me, Abbel nakan akoña ubbarum, atiol Kaeŋ o náni aaña.
GEN.4.3	Min gunah gagu gúgale me, nuĉiga funah fice, Kaeŋ nátebul mitiñ maa burokol bi éji Atúla. 
GEN.4.4	Abbel may o náŋarul gabugor gátiar gafat me gal ubbarumol ákail áji Atúla. Ban Atúla nayab Abbel n’gásumay n’gájiol ró 
GEN.4.5	min til ahabo gaa Kaeŋ. Ñer Kaeŋ fiiñol ni fitiñ náñigen. 
GEN.4.6	Atúla naagol : « Wa uĉile fiiñi ni fitiñ ? Uñígen min ni bu ? 
GEN.4.7	Biinumi bútuen me, ᵽan úju úallo bújonih ; bare búhoji me, gatil gagu ugu to n’guholei ti énuhureŋ yafiye m’butum gánonumi nénii n’enah. Gumaŋe bi ejogi, bare aw núarie uhek go. »
GEN.4.8	Ᵽúrto, Kaeŋ naah atiol Abbel : « Ujaa ujatora mbal ulah waw ! » No guĉih bo me, náñag álloŋ Abbel min amugol.
GEN.4.9	No nabbanno me, Atúla narorenol : « Atii Abbel umelo ? » Naagol : « Ijugutol. Injé ᵽiaŋ eemme apoyaol ? » 
GEN.4.10	Atúla naagol : « Wa nukan me ? Físim atii fo núyu me n’ettam ufu fákoŋeul me bi n’ínje, fuoge bulugen ! 
GEN.4.11	Nujuge, gatab ugu ni aw, min mb’uhat ettam yay yámer me físim atii o numuh me. 
GEN.4.12	Maer uañ me ettam yay, mat’ebbañ eseni wo nuh’ubajen dó me. Ᵽan nuh’uyanor bo me, ban mat’ubaj to nujae éjoj. »
GEN.4.13	Kaeŋ naagol : « Gúteh gauge gúliiomlii mámah, mat’íju iteb go. 
GEN.4.14	Jama aw umu n’ehamom n’ettam yay yáari me. Ᵽan ñer ik’imeoi ráli. Mbi nih’iyanor bo me m’bájojut, an ajugom babu, namuh ! » 
GEN.4.15	Atúla naagol : « Hani ! An amugi me, bulugeni ᵽan bubaj ñono futoh ni ñúuba. » Min akan fúffasum ni o, mbi an aemor n’aĉila jamb’amugol. 
GEN.4.16	Ᵽúrto, Kaeŋ najow ráli n’Atúla ak’aĉin ni mof mamu maa Nod (dóemme "gayanor") galam bo tinah túᵽureul me aw baamer Eden.
GEN.4.17	Kaeŋ nak’abaj anaare, n’gurobo. Aarol naŋar far ak’apegor áᵽur navogol Henok. Kaeŋ naŋar gajow áᵽurol akan ésuh yay yo naamme n’eju. 
GEN.4.18	Henok nabuh Irad ; Irad nabuh Mehuyael aamme ᵽay Metuĉael abuh me Lameh.
GEN.4.19	Lameh waare gúuba nayabe : átiar gajaol Ada, áuten gajaol Sila. 
GEN.4.20	Ada nabuh Yabal ; aĉila aamme ᵽay afan ala ukoñaaw ᵽe bugo nihi guĉin me ni 
GEN.4.21	Atiol gajaol Yubal ; aĉila o aamme ᵽay afan ala utega sisimbiŋ
GEN.4.22	Sila abel Ada nabaj may añil navogol Tubal-Kain ; aĉila o aamme ᵽay afan ala uaᵽaaw ᵽe, bugo nihi guaᵽ me mañ mújugah ni muñuget. Alínol gajaol Naama.
GEN.4.23	Mb’uĉiga funah fice, Lameh naah waarol :
GEN.4.23	« Ada ni Sila, aᵽi juuttenom !
GEN.4.23	Buru waarom, mbi jikan to uinumul ni wo nijaeul me elob :
GEN.4.23	Nimuge ánaine o bábukenerom,
GEN.4.23	nitege áᵽur ik’imuh o bakanerom gúbit.
GEN.4.24	Guoseh an amuh me Kaeŋ, ᵽan gulugenol ñono futoh ni ñúuba.
GEN.4.24	Bare ínje neege, an agor me ínje Lameh,
GEN.4.24	ᵽan ilugen ni o ñono úvi gúfaji ni gaat ni ñúuba (77). »
GEN.4.25	Ᵽúrto, Adam nabbañ asen Eva far ak’apegor júᵽur. Eva naah : « Aláemit nájiom ace añil butum Abbel o Kaeŋ amuh me. » Yo eĉil me nakanol gajow gagu gaa Set (dóemme "éji"). 
GEN.4.26	Set nak’abuh áᵽur nakanol gajow gagu gaa Henoĉ. No, bugan bugagu guju me elaw Aláemit ni gajaol gal Atúla.
GEN.5.1	Dáure gabugor Adam :
GEN.5.1	Aláemit no nátut me an, nakanol anogorol ; 
GEN.5.2	ban nátulil gúni ánaine ni anaare. Funah fafu fo nátulil me, násonienil, aban nakanil gajow gagu gaa arafuhow.
GEN.5.3	No Adam abaj me símit ekeme ni ávi ni guñen (130), nabuh áᵽur anogorol maagen mamu, navogol Set. 
GEN.5.4	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni sífaji (800) nabuh úᵽur ni sújur guce. 
GEN.5.5	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sibbagir ni ávi ni guñen (930).
GEN.5.6	Set nak’abuh áᵽur o babajer símit ekeme ni futoh (105), navogol Henoĉ. 
GEN.5.7	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni sífaji ni futoh ni súuba (807) nabuh úᵽur ni sújur guce. 
GEN.5.8	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sibbagir ni guñen ni súuba (912).
GEN.5.9	Henoĉ may no nabaj me símit úvi gubbagir ni guñen (90), nabuh áᵽur gajaol Kenan. 
GEN.5.10	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni sífaji ni gaat (815) nabuh úᵽur ni sújur guce. 
GEN.5.11	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sibbagir ni futoh (905).
GEN.5.12	Kenan aĉila no nabaj me símit úvi gúfaji ni guñen (70), nabuh áᵽur navogol Mahalalel. 
GEN.5.13	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni sífaji ni úvi gúuba (840) nabuh úᵽur ni sújur guce. 
GEN.5.14	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sibbagir ni guñen (910).
GEN.5.15	Mahalalel nak’abuh áᵽur o babajer símit úvi gúfaji ni futoh (65), navogol Yered. 
GEN.5.16	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni sífaji ni ávi ni guñen (830) nabuh úᵽur ni sújur guce. 
GEN.5.17	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sífaji ni úvi gubbagir ni gaat (895).
GEN.5.18	Yered no nabaj me símit ekeme ni úvi gúfaji ni súuba (162), nabuh áᵽur navogol Henok. 
GEN.5.19	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni sífaji (800) nabuh úᵽur ni sújur guce. 
GEN.5.20	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sibbagir ni úvi gúfaji ni súuba (962).
GEN.5.21	Henok no nabaj me símit úvi gúfaji ni futoh (65), nabuh áᵽur navogol Matuĉelah. 
GEN.5.22	Naroŋ to atajen símit sikeme sífaji (300) n’elagen Aláemit, nabuh úᵽur ni sújur guce. 
GEN.5.23	No nabaj me ñer símit sikeme sífaji ni úvi gúfaji ni futoh (365), 
GEN.5.24	an abbañut ajugol n’ettam, Aláemit bájaenumerol mbaa fatiya ; mata buroŋol n’Aláemit nabaŋ bo.
GEN.5.25	Matuĉelah nak’abuh áᵽur o babajer símit ekeme ni úvi gubbagir ni futoh ni súuba (187), navogol Lameh. 
GEN.5.26	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni súuba ni úvi gubbagir ni súuba (782) nabuh úᵽur ni sújur guce. 
GEN.5.27	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni sibbagir ni úvi gúfaji ni futoh ni sibbagir (969).
GEN.5.28	Lameh no nabaj me símit ekeme ni úvi gubbagir ni súuba (182), nabuh áᵽur 
GEN.5.29	naah : « Nemme Atúla natatab ettam yay min burokolal bútañi, añil ahume o ajae me éelenolal ni buyogolal. » Yo eĉil me nakanol gajow gagu gaa Nóe (dóemme "éelen"). 
GEN.5.30	Ᵽúrto, nabbañ aroŋ to símit sikeme futoh ni úvi gubbagir ni gaat (595) nabuh úᵽur ni sújur guce. 
GEN.5.31	Yaĉil me nak’aĉet o babajer símit sikeme futoh ni súuba ni úvi gúfaji ni gaat ni súuba (777).
GEN.5.32	Nóe no nabaj me símit sikeme futoh (500), nabuh úᵽur gúfaji, ahu gajaol Sem, ahu Ham, ahu Yafet.
GEN.6.1	Min bugan bugagu gúmmeŋeul me n’ettam, mo may gubuge me sújur gáarie faŋ. 
GEN.6.2	No úᵽur Aláemit
GEN.6.3	Ñer Atúla naah : « Biinumom baa buroŋ bábaerit bo nisen me arafuhow, mati búju bíni ni o bi nánonan, mata aĉila enil nam. Maer buroŋol ᵽan bítij símit ekeme ni ávi (120). » 
GEN.6.4	No bajene n’ettam bugan búgamah ban ni gubbah ; bugo guomme gabugor úᵽur Aláemit go gubuh me no gukelo me guyab sújur sasu bugal ettam. Uñiaw ubugi bugo guomme buganolal búgamah bugaa no, bugo ujail ujamo me.
GEN.6.5	Atúla najuh búoh bugan bugagu gufaŋefaŋ n’gúlaᵽute : Funah fo tihane, uinumil nuteb bi ekan maarat barebare. 
GEN.6.6	Ni táñiol iki ajoh émiremma min akan me arafuhow 
GEN.6.7	naah : « Ᵽan inemen ni mof bugan bugagu bi ni súnuhureŋ sasu ró, sáfulore me ni may upu waw. Ti maagen, nijojoh émiremma min ítulum me waf wauwu ᵽe waife me. » 
GEN.6.8	Bare Nóe buroŋol búsusum Atúla.
GEN.6.9	Buroŋ Nóe maa bujow ma :
GEN.6.9	Bukakan buroŋ banabe ban ni bukur bújoŋor bugan bugagu, mata nalagelagen Aláemit, ban ᵽoᵽ nah’akan wásum me Aláemit. 
GEN.6.10	Nabaj úᵽur gúfaji, gaamme Sem, Ham ni Yafet.
GEN.6.11	Bare ni bajuger Aláemit, bugan bugagu ᵽe gaamme n’ettam gujonut, iki báloj bimmeŋ ni mof. 
GEN.6.12	Najuh maagen mamu búoh mof mamu ᵽe muhajekajen ; mata bugan bugagu maarat bare guom n’ekan.
GEN.6.13	Ñer Aláemit naah Nóe : « Báloj bugan bugagu bikelo bimmeŋen ettam yay kab. Bo biĉil me min ijoh bi eban ésuh yay ᵽe. 
GEN.6.14	Mb’uŋar ubabar waake min ucokor busana báamah. Mb’ugabor ñáraru bo gutoŋ gammemmeŋ. Mb’uban nulogos bo elahatiroŋ ñáraru bo bi ni tíyaŋ bo ró. 
GEN.6.15	Gahuli gagu mb’ulih simetar ekeme ni úvi gúuba ni guñen (150), bauŋ babu simetar ávi ni futoh (25), gabbah gagu simetar gaat (15). 
GEN.6.16	Mb’urembenor sitah sífaji, uban nukan bo firihinjaŋ fahalore eᵽa yaᵽiloe butum gañen ni guteᵽ gagu. Ganegen bo mbi gúni n’etut gacaĉ bo gace. 
GEN.6.17	Uban me, ínje ᵽan íannul mal mammeŋe iki muguben ettam yay múharo, min mumuh wáfowaf waife me. Waf waw ᵽe waamme n’ettam ᵽan uĉet. 
GEN.6.18	Bare aw, ᵽan ijogor babuge n’aw ; ᵽan mb’unogen ni busana babu, aw, aari, guñoli ni waaril. 
GEN.6.19	Mb’uŋar ni súnuhureŋ sasu ᵽe, sánosan ni ganogor so, yáine ni yaare úrur dó min súju suroŋ ti buru. 
GEN.6.20	Imaŋut buroŋ binemo ni mof. Yo eĉil me, mb’uŋar súuba-súuba n’upu waw, ni súnuhureŋ sasu sájalo me, bi ni sáfulore me n’ettam ró. 
GEN.6.21	Mb’uŋar may mitiñay mánoman ulalen me bi fitiñul, buru ni súnuhureŋ sasu ᵽe. »
GEN.6.22	Nóe nakan wo Aláemit alobol me, ahalut bo hani waf wanur.
GEN.7.1	Ᵽúrto, Atúla naah Nóe : « Uŋar bugani n’junogen ni busana babu. Mata nijuge búoh n’ésuh yay ᵽe aw bare unab ró. 
GEN.7.2	Ni súnuhureŋ sasu sáari me bi bísimen, ni ganogor gánogan mb’uŋar súuba-súuba, yáine ni yaare, bi ñono futoh ni ñúuba. Ni sáariut me, mb’uŋar tánotan yáine ni yaare bare. 
GEN.7.3	Ni upu waw may, mb’uŋar tánotan úuba, gáine ni gaare, bi ñono futoh ni ñúuba. Mamu mbi ganogor gánogan gúju gubbañ guroŋ ni mof. 
GEN.7.4	Tale gunah futoh ni gúuba, ᵽan ikan émit yay nelub gunah úvi gúuba tujon ni tihalen, m’báelout. Min inemen ni mof mamu waf waw ᵽe waife me wo nikan me. » 
GEN.7.5	Nóe nakan wo Atúla alobol me ᵽe.
GEN.7.6	No Aláemit áyuulo me mal mamu báyuer babu bájalo me ni mof, Nóe o babajer símit sikeme futoh ni yanur (600). 
GEN.7.7	Ñer Nóe nanogen ni busana babu, aĉila, aarol, guñolol ni waaril, bi eᵽah. 
GEN.7.8+GEN.7.9	Ti Aláemit alob yo me, súnuhureŋ sasu sáari me ni sáariut me bi bísimen, upu waw bi ni sáfulore me ró, ni síkail sunogen ni busana babu súuba-súuba, yáine ni yaare, sutoh ró Nóe.
GEN.7.10	No nuĉiga me funah fafu fakan me futoh ni gúuba, mal mamu mámah mamu ni miĉigul.
GEN.7.11	Gannay gaugu no Nóe abaj me símit sikeme futoh ni yanur (600), funah fafu fakan me gaat ni gúuba ni fieñ fafu fúuten, funah fiĉila súbula sasu ᵽe saa fal fámah sútojuloulo me n’efanjen mal ró, sílinga émit ni sífasoul, 
GEN.7.12	min émit yay eilo eban mal babaner gunah úvi gúuba, tujon ni tihalen. 
GEN.7.13	Funah faufu Nóe o banoner ni busana babu, aĉila, aarol, guñolol Sem, Ham ni Yafet ni waaril, 
GEN.7.14	ni may súnuhureŋ sasu ᵽe, sánosan ni ganogor so, sihaj sasu bi ni sáfulore me ró, upu waw ni wáfowaf wabaje ubes. 
GEN.7.15	So ᵽe saife me, sánosan ni síkail súuba-súuba, sutoh ró Nóe. 
GEN.7.16	Ni sunogen dó, ganogor gánogan yáine ni yaare, ti Aláemit alobol yo me. Mbiban, Atúla nábahen ganegen gagu apeh.
GEN.7.17	Min ñer émit yay eilo elubul gunah úvi gúuba. Mal mamu ni mimmeŋ iki busana babu bitebor buhat ettam yay. 
GEN.7.18	Mo muomme iki busana babu bíren. 
GEN.7.19	Ni muroŋ bae n’ejiŋ yay iki muguben gurijaŋ gagu ᵽe gal ettam. 
GEN.7.20	Ni muroŋ dó n’ejiŋ yay iki múgat go butum simetar futoh ni súuba. 
GEN.7.21	Min ñer waf waw waife me ᵽe waamme n’ettam uĉet : újogum n’upu waw, sihaj sasu, súnuhureŋ sasu, wánowan wáfulore me n’ettam bi ni bugan bugagu ró, 
GEN.7.22	wáfowaf waife me ban nuĉin n’ettam, nulojo uk’uĉet. 
GEN.7.23	Mamu Atúla anemen me waf waw ᵽe waamme n’ettam, iki ŋaño to Nóe ni buganol ni waf waw ᵽe waam dó me ni busana babu. 
GEN.7.24	Gunah ekeme ni úvi gúuba ni guñen (150), mal mamu ni muroŋ n’eguben ettam yay múharo.
