MAT.1.1	Gëtabu ga mwango wamwa Yesu Kiristo, mwana wamwa Daudi, mwana wamwa Iburahamu. 
MAT.2.11	Uvii, vëgingëa u nyumba, vëgamwoona mwana wasuu itambëëmwe na Mariamu yiu wakwe, vëgatungama vëgamukumajua. Uvii vëgatarughua mpamba yawe, vëgamufa dahwa, sahaabu, urumba nanë manemane. 
MAT.2.12	Muungu agavëëra mu ndoti vataje vëmusukie Herode, uvii vëgasuka ung'ë awe gwa njëa ëngëja.
MAT.2.13	Nënaa aghenyi vasaa vatunguya, malaëka wa Müküü agamudwëëra Yosefu mundoti, agamukhanëa, “Wuka! Muhore mwana itambëëmwe ina nyinya, iruki mwende uMisiri. Ikhai kuuko faka fana nëjië ugukhanëa, gusoko Herode ugufënja umuuragha mwana uyuu.” 
MAT.2.14	Uvii, Yosefu agawuka utiku agamuhora mwana itambëëmwe ina nyinya agenda uMisiri. 
MAT.2.15	Agëkhaa kuuko faka nënaa Herode wakuya. Rësëë rëgatendeka ukhondeke ukhani nënaa agauhanya Müküü gwa ukëëra kunë munyagëdaghu, “Ufuma uMisiri ngamutaana mwanane.”
MAT.2.16	Herode nënaa woona mwino aremu a njota vasaa naa vamukhongaa, agasida na uhura ino. Agaramua ang'enya voong'e në aghosya va uBetelehemu nanë umpeo ayo va umukoa usuu woong'e nënaa vina mëakha ëvëë mbesa fang'ë a mëakha ëvëë gwa uning'anëya ufuma kunë na aremu a njota, vendie vëuraghwe. 
MAT.2.17	Rëgakhondeka rësëë nënaa rëgahanyiwa na munyagëdaghu Yeremia:
MAT.2.18	“Ruri wategheeyekaa u muji wa uRama,
MAT.2.18	gëëro nanë uhongeeya ino.
MAT.2.18	Raheli uguvarëëra vanaakwe,
MAT.2.18	ëgweeso noo atiufenja ufefeheeywa,
MAT.2.18	gusoko naavëtifo.”
MAT.2.19	Nënaa Herode wakuya, malaëka wa Müküü agamudwëëra Yosefu mundoti uko uMisiri agamukhanëa, 
MAT.2.20	“Wuka! Muhore mung'inya itambëëmwe ina nyinya, usuke ung'ë a Isiraeli, gusoko vasaa nënaa vëufenja umuuragha mung'ëënya wasuu vakuree.” 
MAT.2.21	Uvii, Yosefu agavuka, agamuhora mung'ënya itambëëmwe ina nyinya, agasuka ung'ë a Isiraeli. 
MAT.2.22	Ëgweeso Yosefu nënaa wategheeya mwino Arikelao mwana amwa Herode naa waye mutemi wa uYudea mwino ihe, agaoghofa gwenda kuuko. Nënaa waraghëërwa mu ndoti, agenda gitumbë ra uGalilaya, 
MAT.2.23	na agahamëa umuji ugutaanwaa Nasareti. Uvii igakhondeka nkhani nënaa yahanyiwe na anyagëdaghu: “Ugutaanwa Munasorayo.”
MAT.3.1	Matiku asaa Yohana Mubadisi agadwëëra, agaandya utanantya mu mbugha a uYudea: 
MAT.3.2	“Fëi, gusoko utemi wa girunde wahumbeeraa.” 
MAT.3.3	Gusoko uyuu unë wasuu nënaa munyagëdaghu Isaya agamurëghëtya nënaa agahanya:
MAT.3.3	“Ruri wa muntu wategheeyekaa u mbugha:
MAT.3.3	‘Mughondanëëyi Müküü njia akwe,
MAT.3.3	vighoori vikëro vya njia yakwe.’”
MAT.3.4	Yohana agaria isaa nënaa rëtumiwe gwa makinga a ngamëa na mukhova wa ndëë mu gëëno gakwë. Ilëwa rakwe naa nkumbë na wukë wa gihaka. 
MAT.3.5	Uvii, antu ufuma uYerusalemu, ufuma gitumbë roong'e ra uYudea na ng'andë yoong'e ya umpeompeo a yongo ra uYoridani, vëgamwendea, 
MAT.3.6	vëgayafëa mahutye awe, mweesonoo agavabadisa mu yongo ra uYoridani.
MAT.3.7	Ëgweeso nënaa wavoona Afarisayo vingë nanë Asadukayo vëumwendea avabadise agavëëra, “Nyee ufafo wa njoka! Anyu nëwamukene mwino muudaha ginegha iramuëywa nërëjie? 
MAT.3.8	Raghëëri, uvii, gwa ntendo, mwino tutë mwafëaa. 
MAT.3.9	Mutasëghee mwino mudaha gijëfya gwa uhanya, ‘Sese gwë ufafo wamwa Iburahamu!’ Ngumukhanëa fana tutë, Muungu ugudaha ufuma umagwe ayaa uhanga vana vamwa Iburahimu. 
MAT.3.10	Uvii, itungwee gëhendo gëvëkiwe mumatina a mëtë, faafo, mu mutë nëutiufaa nkhari në njija, ugutemwa na ughumëwa mumoto.
MAT.3.11	“Nene ngumubadisa gwa majë gwa ufëa mahutye. Ëgweeso wasuu nëujie unyuma anë una udaho ukëra nene. Nene ntinoneye mbesa ukenka maatu
MAT.3.12	Mweeso ukwatëëre mumukhono wakwe mufivitëo wa ufuëra ngano, aifure ngano yakwe, aihwaangwiye ngano mwiseengwa na ifuero ugurëacha gwa moto nëutiurimaa.”
MAT.3.13	Itungo rësëë Yesu agadua uGalilaya agafika mu yongo ra uYoridani agamwendea Yohana gusoko abadiswe na mweeso. 
MAT.3.14	Ëgweeso Yohana naaudahëte umughiiya uguhanya, “Inoneye nene ubadiswa na veve, wurë, veve ujie kunë nene?” 
MAT.3.15	Ëgweeso Yesu agamusucha, “Reka ëtendeke uvii itungwee gusoko inoneye guyatende asaa oong'e në Muungu ugufenja ëtendeke.” Faafo Yohana agarumëëya. 
MAT.3.16	Gënyafaafo gutufu Yesu nënaawabadiswa, agafuma mumajë, na muufafo irunde rëgarughuuka na agoona Mwahu wa Muungu ugika mwino nkurwë na gëkhaa gunto akwe. 
MAT.3.17	Ruri ufuma girunde ugahanya, “Uyuu unë Mwananë muyanjwi, nëyanjisiwe na mweeso.”
MAT.4.1	Uvii Mwahu agamutongeera Yesu faka umbugha adahe uëghëëywa na Ibilisi. 
MAT.4.2	Agadëa ula na unywa gwa matiku makumi ane utëku nanë mumwë, na mpeo ayo agoona njaa. 
MAT.4.3	Munya umughema agamuhanga, agamwëëra, “Nësa vee wë Mwana wamwa Muungu hanya magwe ayaa etendeke mëkatë.” 
MAT.4.4	Ëgweeso Yesu agasucha, “Ëandëkiwe,
MAT.4.4	‘Muntu atiudaha uduva gwa mukate gutufu,
MAT.4.4	ëgweeso gwa mu ukhani nëugurëghëtiwaa na Muungu.’”
MAT.4.5	Ibilisi agamuhora faka uYerusalemu, muji weru, agamuvëka gunto a itembe ra hekalu. 
MAT.4.6	Agamwëëra, “Nësa veve wë Mwana wamwa Muungu, ëgwësye fang'ë, gusoko yiandekiwe,
MAT.4.6	‘Muungu uguvaraghëëya vamalaëka
MAT.4.6	vakwe gusoko ako,’
MAT.4.6	na ‘vëuguhora mumëkhono awe,
MAT.4.6	utajee uje gikuura mughuu wako mwigwe.’”
MAT.4.7	Yesu agamwëëra, “Yiandëkiwe noo, ‘Utamughemee Müküü, Muungu wako.’” 
MAT.4.8	Faafo ibilisi agamuhora faka gunto a ughongo urifu, agamuraghëëra ntemi yoong'e ya urëmi na maja ayo, 
MAT.4.9	agamweera, “Ayaa oong'e nene ngugufa nëmbaa veve utungame gutufu na unkurya.” 
MAT.4.10	Faafo Yesu agamukhanëa, “Ënda kunë winjë setani! Ëandëkiwe, ‘Ugumukürya Müküü Muungu wako na umutumamëa mweeso imwenedu.’” 
MAT.4.11	Uvii, ibilisi agamureka, na gënya faafo vamalaëka vëgaja, vëgamutumamëa.
MAT.4.12	Yesu nënaa wategheeya mwino chuu Yohana wautëërwe mugeresa agenda uGalilaya. 
MAT.4.13	Agatunguya uNasareti, agenda uKaferinaumu, gwa irambo wa wilaya a uZabuloni na uNafutari, agëkhaa kuuko. 
MAT.4.14	Uvii ugakhonda ukhani uroo nënaa ugahanywa na munyagëdaghu Isaya:
MAT.4.15	“Veve ng'ë amwa Zabuloni na ng'ë amwa Nafutali,
MAT.4.15	ng'andë a uYoridani, uraraava irambo,
MAT.4.15	Galilaya, ng'ë a antu va
MAT.4.15	Ndughu ingëja.
MAT.4.16	Antu nënaa vëgëkhaa mukiti vawoonaa weru üküü.
MAT.4.16	Na vasaa nënaa vëuduvaa mu ng'ë a kiti na mumimi wa ikuya,
MAT.4.16	weru wavamwëëkëaa!”
MAT.4.17	Ufuma itungo rësëë Yesu agaandya utanantya na uhanya, “Fei, mahutye anyu gusoko utëmi wa girunde wahumbeeraa!”
MAT.4.18	Yesu nënaa ugweenenda umpeo a irambo ra uGalilaya, agavoona anaamuntu vavërë auta somba, Simoni nëugutaanwa Fetero na Anderea muunaakwe vëugumëa iuta somba mwirambo gusoko naa auta somba. 
MAT.4.19	Uvii, agavëëra, “Ng'ongi, nëënoo ngumutënda nyee auta antu.” 
MAT.4.20	Gënyafaafo vëgayareka mauta somba awe vëgamuhonga. 
MAT.4.21	Nënaa wenda usonge nduvëëngë, agavoona anaamuntu vavërë, Yakobo mwana wamwa Zebedayo na Yohana muunaakwe. Vasaa naa vëmumasua itambëëmwe na tata wawe Zebedayo vëuyaning'anëëya mauta somba awe. Uvii Yesu agavataana. 
MAT.4.22	Veeso noo gënyafaafo vëgamëreka masua itambëëmwe na tata wawe, vëgamuhonga.
MAT.4.23	Yesu naa agenda muu itumbë muu wilaya a uGalilaya oong'e, ugusëya mumasunagogi na utanantya Sayu Njija a Utëmi wa Muungu. Agaforya marüe hiya hiya, malegheku hiya hiya a antu. 
MAT.4.24	Sayu yakwe igakündanëa uSiria oong'e. Arüe voong'e nënaa vëna marüe hiya hiya na vasaa nënaa veunyomwaa na malwe hiya hiya, vëna vinyonyinyonyi, anyaugwa itwe, anya ukuya ighandi, agavaforya voong'e. 
MAT.4.25	Maburi mingë a antu ufuma uGalilaya, uDekapoli, uYerusalemu, uYudea nane ng'andë a uYoridani vëgamuhonga.
MAT.5.1	Yesu nënaa wayoona maburi a antu aganatëa guughongo, agëkhaa. Asëywi vakwe vëgamwendea, 
MAT.5.2	mweeso noo agaandya uvasëya; uguhanya:
MAT.5.3	“Vaforiwe vasaa nëvëgionaa atuki munkhoo, gusoko utemi wa girunde u wawe.
MAT.5.4	“Vaforiwe vasaa nëvëgurëa, gusoko vëjie ufefeheeywa.
MAT.5.5	“Vaforiwe vasaa nëafoo, gusoko vëjie umësaa ng'ë.
MAT.5.6	“Vaforiwe vasaa nëvëna njaa na nyweta gwa ayoo nëatutë, gusoko vëjegikutiwa.
MAT.5.7	“Vaforiwe vasaa nëvëgoonëa uvavi, gusoko vëjegoonëwa uvavi.
MAT.5.8	“Vaforiwe vasaa nevëru munkhoo, gusoko vëjeumwoona Muungu.
MAT.5.9	“Vaforiwe vasaa nëvëgweetaa majëghana, gusoko vëjeutaanwa vana va Muungu.
MAT.5.10	“Vaforiwe vasaa nëvëukhasiwaa gusoko a asaa nëatutë na nëëghookie, gusoko utëmi wa girunde u wawe! 
MAT.5.11	Mwaforiwe nyenye nësa antu vëumutuka na umukhasya na umuruva na umweegheegheya mavë hiya hiya gusoko anë. 
MAT.5.12	Yanji na giririsya gusoko mpamba anyu unë nküü girunde. Gusoko noo naa antu vëgavakhasya anyagëdaghu nënaa vëgadwëëra unyuma anyu.”
MAT.5.13	“Nyenye mwë munyu wa urëmi! Ëgweeso munyu nëwasusufa, ugutendwa wurë ujëfe? Utinoneye intu mbanduvë, ëgweeso uguhunuwaa gunjë na ufanangëwa na antu. 
MAT.5.14	Nyenye mwë weru wa urëmi! Muji nëujengiwe gu ughongo gunto utiudaha gifiha. 
MAT.5.15	Ëgweeso noo antu vëtigwachaa gemwëë na ugëkunëkea gwa gëfe, ëgweeso vëugëreka gunto a intu nërëhumbukie gidahe gwerya gwa antu voong'e nevëë munyumba. 
MAT.5.16	Uvii, uvii, inoneye weru wanyu werye usonge a antu, vëdahe uyiona ntendo yanyu njija, vëmukurye Tata wanyu në wëë girunde.”
MAT.5.17	“Mutasëghee nee najie umëheya seria nanë anyagëdaghu. Ntinajaa uheya asaa ëgweeso utenda ëkhondeke. 
MAT.5.18	Tutë namwëëra, faka afoo nëikwë irunde na fang'ë ëguwura, gutie mbesa gasampu gamwe ga itungo mbesa gantu ganyuughuu ino ga Seria nëgëuheyiwa, faka oong'e ëkhondeke. 
MAT.5.19	Uvii, muntu gëkaku nëwadëa ukwatëëra mbesa iraghëëyo në inyuughuu ino ukëra oong'e na uvasëya vangë noo vëtende uvii, wasuu ugutendeka muyuughuu ino mu utemi wa girunde. Ëgweeso wasuu nëwayakwatëëra na uvasëya vangëja, wasuu ugutendeka müküü mu utemi wa girunde. 
MAT.5.20	Gusoko ësëë nene ngumwëëra, nyenye uja wanyu nëwadëa ukëra uroo wa Afarisayo na asëyi va Seria, mutigingëa kamwe mu utëmi wa girunde.”
MAT.5.21	“Mwadahie utegheeyaa mwino antu va khae vëgakhanëwa: ‘Utauraghee! Nëuguuragha inoneye uramuëywa.’ 
MAT.5.22	Ëgweeso nee ngumwëëra, nyenye wasuu nëwamukheefea gwa ikuwo muunaakwe inoneye aramuëywe. Nëugumuhorya muunaakwe imunoneye utowa ubarasa. Nëugumutaana muunaakwe: ‘Mufutü vëë!’ Imunoneye gingëa gwa arungu a makhaa. 
MAT.5.23	Uvii, nëwatoa sadaka ako usonge a masabahu na faafo wakümbukwa mwino muunako wina siimba na vee, 
MAT.5.24	mëreke sadaka ako usonge a masabahu enda tanju uning'anëëye mahanyo mwina muunako, nëwadaha suka uduye sadaka ako. 
MAT.5.25	Iyanjëëyi na munya ugusitaaka ruvë nëëkëë mwë munjëa, mwinjë ubarasa. Nëwadëa utenda uvii munya ugusitaaka ugugutoa kunu hakimu mweeso hakimu noo ugugutoa gwa asikëe veenoo ugutungwa ugeresa. 
MAT.5.26	Tutë nagwëëra utiafuma kuuko faka udahe urëfa senti a mpëo.”
MAT.5.27	“Mwategheeye mwino antu vëgëërwa, ‘Utalehadee!’ 
MAT.5.28	Gweeeso nëë ngumwëëra, nyenye mu muntu nëugumuraraava mukhema gwa umumiëra mate, wadaha utenda ulehadi inakwe munkhoo akwe. 
MAT.5.29	Uvii, nësa riho rako ra ugëlëlo raguhutëya rëküre urëjughute kureengë. Bahu ino kunë vee uwurya gafëgha gamwe ga mwëërë ukëra mwëërë wako woong'e ughumëwa mumoto na uJehanamu. 
MAT.5.30	Na nësa mukhono wako wa gëlëlo uguguhutëya, ukigite uwujughute kureengë. Bahu nanguu uwurya gafëgha gamwe ga muvëë ukëra muvëë wako woong'e wende mumoto wa uJehanamu.”
MAT.5.31	“Gwahanyiwe noo: ‘Nëugumureka mukhemaakwe na imunoneye amufe rëandëko ra gireka.’ 
MAT.5.32	Ëgweeso nëë ngumukhanëa muntu gëkaku nëugumufa mukhemaakwe rëandëko ra gireka, nëësa ti gwa soko a ulehadi, ugumutenda alehade, na muntu nëwamuroghoa mukhema nëwafewe rëandëko ra gireka ugulehada.”
MAT.5.33	“Kangë mwategheeye mwino antu akhae vëgëërwa: ‘Nëwërafëa utadëe utenda uvii, ëgweeso igunoneye utenda mwino wërafëa kunë Müküü.’ 
MAT.5.34	Ëgweeso nëë ngumwëëra, nyenye mutiirafëe mbanduvë, mba gwa girunde gusoko uunë itumbë ra üküü na utemi ra Muungu, 
MAT.5.35	mbesa gwa urëmi gusoko unë itumbë rakwe ra uvëkëa mëghuu, mbesa gwa Yerusalemu gusoko uunë muji wa Mutemi müküü. 
MAT.5.36	Utajee wirafëe gwa itwe rako gusoko utiudaha uwutenda utuka utendeke weru mba wuutiki. 
MAT.5.37	Intu në nyenye ‘Nha’ mba ‘Ti nhaa,’ intu nërëkeanëye rasëë rëfumie kunë murughu.
MAT.5.38	“Mwategheeye mwino gahanyiwe: ‘Riho gwa riho, rino gwa rino.’ 
MAT.5.39	Ëgweeso nee ngumukhanëa, nyenye utamughëëye muntu në mavë. Muntu nëwagukhuva ikoofi uhaya ra gëlëlo, mufëëntuire nëë uhaya ra gavëë. 
MAT.5.40	Muntu nëwagutoa ubarasa ugufenja uguhegheya igwanda rako, mureke ahore ikooti
MAT.5.41	Nësa muntu waguumëëya gweenda sampi igëtunga, ende mëhënjo ëvëë. 
MAT.5.42	Mufe wasuu nëuguguromba, na utamufeeyee ginyankhoti nëugufenja ugukofa intu.
MAT.5.43	“Mwategheeye mwino ëgarëghëtiwa: ‘Ugumuyanja munya fifë wako, ëgweeso ugumuhura murughu wako.’ 
MAT.5.44	Ëgweeso nëë ngumwëëra, nyenye vayanji arughu vanyu na uvarombea vasaa nëvëumutendëa në ëtinoneye, 
MAT.5.45	mudahe utenda vana vamwa Tata wanyu në wëë girunde. Gusoko mweeso uguvamwëëkëa yuva rakwe në aja nanë avë uguvafaa mbura në aja nanë avë. 
MAT.5.46	Wurë, nyenye muuhanga gëfewakë gwa uvayanja gutufu vasaa nëvëmwaanjëte nyee? Gusoko mbesa anya ukhombosya kooti
MAT.5.47	Na nëmwaaramucha vaunaanyu gutufu, mwatendaa ntuni nanguu ukëra vangëja? Nanë antu va Ndughu ingëja noo vëtiutendaa uviina? 
MAT.5.48	Nyee uvii, imunoneye mutendeke mukhondekeke, mwino Tata wanyu wa girunde mwino ukhondekekie.
MAT.6.1	“Ighoji utenda ntendo yanyu njija usonge a antu gusoko mumanyike kunë veeso. Nëmwatenda uvii, Tata wanyu në wëë girunde atiumufa gëfewa.
MAT.6.2	“Uvii, nëwaduya waryo, utakhuvee mbëru usonge ako. Utatende mwino antu alakuno nëvëutendaa mumasinagogi na munjëa gusoko antu vëvakurye. Tutë nene namwëëra, veeso vadahie uhanga gëfëwa gawe. 
MAT.6.3	Ëgweeso vee nëwaduya dahwa, mukhono wako wa gëmoho utamanyee rësëë në mukhono wako wa gëlëlo ugutenda. 
MAT.6.4	Duya dahwa ako gwa gëmpihë, na Tata wako nëugoonaa mantu nëëfihëkie ugugufa gëfewa.
MAT.6.5	“Nëmuuromba, mutatendee mwino anyalakuno. Vasaa veyanjite gëmëka na uromba mumasinagogi na umpeoa njëa gusoko antu, vëvoone. Tutë namwëëra nyenye vasaa vadahie uhanga gëfewa gawe. 
MAT.6.6	Ëgweeso veve nëwooromba, umbee ako, wuutie ruri na romba kunë Tata wako nëugoonaa mugëmpihë, na Tata wako nëugoonaa mugëmpihë ugugufa gëfewa. 
MAT.6.7	Nanëmuuromba mutaghumangee nkhani mwino antu va Ndughu ingëja. Vasaa vëusëghaa mwino Muungu uguvategheeya gusoko a nkhani yawe në nyingë. 
MAT.6.8	Mutatendee mwino veeso. Gusoko Tata wanyu umanyie go nëmuuyafenja nëkëë aja mwinaromba. 
MAT.6.9	Uvii, nyenye rombi vii:
MAT.6.9	Tata witu vee në wëë girunde,
MAT.6.9	Rina rako rëëriwe.
MAT.6.10	Utemi wako uje,
MAT.6.10	Nëuguyafenja ëtendeke
MAT.6.10	Mung'ë ëyëë mwino ëgutendekaa girunde.
MAT.6.11	Ugufe rëo malëwa itu nëmaja,
MAT.6.12	Ugurekëe sese hëërë yitu,
MAT.6.12	Mwino see guuvarekëa vasaa
MAT.6.12	nëvina hëërë kunë sese,
MAT.6.13	Na utagutongeree sese mung'ë a maëghëëyo;
MAT.6.13	ëgweeso utyoe ufuma mu uvë.
MAT.6.14	“Gusoko nyenye nëmwaarekea antu mahutye awe, Tata wanyu në wëë girunde ugumurekëa nyeenoo. 
MAT.6.15	Ëgweeso nëmwadëa uvarekea antu mahutye awe, Tata wanyu noo atiumurekea nyee mahutye anyu.”
MAT.6.16	“Nëmwafunga mutatendee mwina uvavi mwino anyalakuno. Vasaa vëunyaryaa masyu awe vëdahe umanyëka na antu mwino vëfungie. Nene ngumwëëra tutë, vasaa vadahie uhanga gëf'ewa gawe. 
MAT.6.17	Ëgweeso veve nëwoofunga, vira itwe rako makuta na oya usyu wako. 
MAT.6.18	Muntu atamanyee mwino ufungie ëgweeso umanyëke gutufu kunë Tata wako në wëë mugëmpihë. Tata wako mweeso noo nëugoonaa mugëmpihë ugugufa gëfewa.
MAT.6.19	“Mutaivëkëyee mpamba afaa mu urëmi, fana noondo nanë ukhoto na ahëmbi vëgingëa na uhëmba. 
MAT.6.20	Ëgweeso ivëkëyi mpamba girunde fana noondo nanë ukhoto ëtiudaha uruvanga, fana ahëmbi noo vëtigingëa vëhëmbe. 
MAT.6.21	Gusoko faafo fana mpamba ako ërë, u faafo noo kunë nkhoo ako injë.
MAT.6.22	“Riho u gemweega mwëërë. Nësa riho rako ifanga, mwëërë wako woong'e ugutendeka wëë muweru. 
MAT.6.23	Ëgweeso nësa riho rako ti ija, mwëërë wako woong'e ugutendeka wëë mukiti. Uvii, nësa weru në wëë mukhatë ako uu, nëkiti, kiti gasëë gëutendeka gëwurë!
MAT.6.24	“Gutie muntu nëudahëtë uvatumamëa aküü vavëë; gusoko mbesa mweeso ugumuhura umwedu na umuyanja ungëja, mba mweeso ugifunya kunë umwedu na umuhorya ungëja. Gusoko mutiudaha umutuma mëa Muungu itambëëmwe na maari.
MAT.6.25	“Uvii, nene ngumwëëra nyenye tajaa moosëghanëya na uhanga uusaghasaghëi gwa ilëwa na intu roonywa nëmuufenja gwa uduvi, mbesa gwa masaa nëmuufenja gwa mëërë anyu wurë, uduvi utikëire ilëwana na mwëërë ti ukëra masaana? 
MAT.6.26	Yiraraavi nyonyi ya gihaka: Itiufandëaa, itiutënangaa, kangë itina iseengwa mba nduvë. Mbesa uvii, Tata wanyu në wa girunde uguyilësyaa. Wurë, nyenye ti mwëvaja nanguu ukera isiina? 
MAT.6.27	Uu anyu mukhatë anyu nëwasëghanëya na ukaghata ino ugudaha goongeya itungo ra uduvi wakwe mbesa gwa itiku rimwe? 
MAT.6.28	Na gwa masaa, asikë uhanga wisaghasaghei? Raraavi sembe ya gihaka mwino ëguteghetaa. Itiutendaa mwëmo mbesa usoghota. 
MAT.6.29	Gweeso, nene ngumukhanëa nyenye nanë Solomoni mweeso, na üküü na uja wakwe woong'e inatambëëywaa uja mwino rëmwe ra sembe yasii. 
MAT.6.30	Nësa, uvii, Muungu ugurëtambëëyaa uvii ihwa ra umughunda në rëo rërëfo na fadiu rëughumëwa mumoto, wurë mweeso atiutenda umuriecha nyenye, nyee antu nëmwina uhuvëi wëënduvëëngë? 
MAT.6.31	Uvii, nyenye tajee moosëghanëya na: ‘Mba gula ntuni?’ ‘Mba gunywa ntuni?’ Mba ‘Guryaa ntuni?’ 
