GEN.1.1	Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.
GEN.1.13	Neꞌe ne, lodꞌo ka tèlu kèna.
GEN.1.14+GEN.1.15	Hèia Ama Lamatua lii hari, aku Nèngu na, “Re bèka dedha, hudꞌi abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. Hudꞌi abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. Rèngu aaꞌi-aaꞌi se, jꞌajꞌi tadha, ho sèna ka bisa ige lodꞌo, hèru, dènge tèu.” Ropa padhai lii nare sèmi neꞌe, mèdha dhu heo aaꞌi-aaꞌi ra jꞌajꞌi dènge ka. 
GEN.1.16	Ka Na tao ka mèdha kapai dua dhu pasaraa rai-haha. Dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. Aa Na tao hua-hètu kahèi. 
GEN.1.17	Na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha. 
GEN.1.18	Ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. Dènge jꞌara neꞌe, Na hagꞌe eele saraa nèti maroga. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. 
GEN.1.19	Neꞌe ne, lodꞌo ka èpa kèna.
GEN.1.20	Hèia Ama Lamatua padhai lii hari, peka na, “Hudꞌi abhu ku ae-ae dhu mamuri ètu dꞌara èi. Dènge hudꞌi abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne.” 
GEN.1.21	Ka Na tao ka iꞌa aaꞌi-aaꞌi dènge badha kapai dhu mamuri ètu dꞌara èi. Na pajꞌajꞌi kahèi manu-bhui aaꞌi-aaꞌi. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. 
GEN.1.22	Ka Na padhai lii ho sèna ka hia berkat mi aaꞌi-aaꞌi dhu mamuri, peka na, “Iꞌa se, hudꞌi laa bèba-kacanga sèna ka papènu èi ètu mia-mia. Aa manu-bhui, asa tabha kahèi.” 
GEN.1.23	Neꞌe ne, lodꞌo ka lèmi kèna.
GEN.1.24+GEN.1.25	Ka Ama Lamatua peka hari, na, “Hudꞌi abhu ku rupa-rupa badha dhu mamuri ètu rai-dedha. Sèmi: badha-manu dhu ani, badha hui, dènge badha dhu rodꞌo, èci-èci ka dènge rupa na.” Ropa padhai lii nare sèmi neꞌe, badha aaꞌi-aaꞌi ra jꞌajꞌi dènge ka. Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa.
GEN.1.26	Ka Ama Lamatua peka hari, aku Nèngu na, “Hua iia, mai Ta pajꞌajꞌi dhèu, madhutu rupa Èdhi. Hudꞌi laa ra leru dènge ator iꞌa aaꞌi-aaꞌi ètu dꞌara dhasi, manu-bhui aaꞌi-aaꞌi ètu dedha-liru, badha-manu dhu ani, dènge badha leo aaꞌi-aaꞌi ra dhu mamuri ètu rai-haha ne.”
GEN.1.27	Hèia Na pajꞌajꞌi dhèu rai-haha ne madhutu rupa Na. Na pajꞌajꞌi si, dhèu mone dènge dhèu bhèni. 
GEN.1.28	Ka Na padhai lii ho sèna ka hia berkat mi rèngu, aku Nèngu na, “Miu hudꞌi bèba-kacanga ku, sèna ka pea papènu rai-haha ne, ho mi ator ne. Jaꞌa hia miu koasa, sèna ka mi ator iꞌa, manu-bhui, dènge badha-manu aaꞌi-aaꞌi ra ètu rai-haha ne. 
GEN.1.29	Mi nanene paie-iie! Jaꞌa hia miu rupa-rupa ngangaꞌa ètu rai-haha neꞌe. Sèmi: ana aajꞌu dhu dènge hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. 
GEN.1.30	Jaꞌa hia rupa-rupa ana aajꞌu kahèi sèna ka jꞌajꞌi ngangaꞌa badha. Ngangaꞌa hia badha-manu dhu ani, badha hui, badha dhu rodꞌo, dènge manu-bhui.” Ropa padhai lii nare sèmi neꞌe, ngangaꞌa badha sèra aaꞌi-aaꞌi ra jꞌajꞌi dènge ka. 
GEN.1.31	Ropa nèdhi aaꞌi-aaꞌi se, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. Neꞌe ne, lodꞌo ka èna kèna.
GEN.2.1	Dènge jꞌara sèmi èèna ka, Ama Lamatua pajꞌajꞌi dedha-liru, rai-haha, dènge isi ra aaꞌi-aaꞌi.
GEN.2.2	Ropa Na sabꞌa èle, asa bèli èèna, lèke dènge lodꞌo ka pidhu. Hèia Na ae nèti sasabꞌa-laꞌa Na. 
GEN.2.3	Dènge jꞌara neꞌe, Na tao lodꞌo ka pidhu ne, lodꞌo dhu kapai risi nèti lodꞌo dhu leo sèra. Na tao sèmi èèna, lula Na paꞌèle aaꞌi le sasabꞌa Na, ka ètu dꞌara lodꞌo ka pidhu na, Na ae. 
GEN.2.4	Dꞌai sange neꞌe ka, lii lolo Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha ne.
GEN.2.4	Lodꞌo Ama LAMATUA heka pajꞌajꞌi dedha-liru dènge rai-haha èèna, 
GEN.2.5+GEN.2.6	dhae abhu mèka ana aajꞌu, lula Na papuru mèka èjꞌi. Taa èèna, dhoka sèbꞌu èi di, mai nèti dꞌara rai ho pabasa rai re dedha. Aa abhu mèka dhèu rai-haha dhu tao oka-tedhe. 
GEN.2.7	Èle èèna ka, Ama LAMATUA nare rai ciki, ka Na pajꞌajꞌi dhèu rai-haha. Hèia Na tiu aꞌae Na asa dꞌara sahènga dhèu na, ka na mamuri dènge ka.
GEN.2.8	Hèia Ama LAMATUA bhoke oka cue ètu rai Eden, re bèka dhimu. Hèia Na hia dhèu ne pea ètu dꞌara oka na. 
GEN.2.9	Ètu dꞌara oka èèna, Na pamamuri rupa-rupa ajꞌu dhu beꞌa, dhu dhèu bisa raꞌa. Aa Na pamamuri kahèi ajꞌu dua kapua ètu talora aae oka èèna. Ladhe dhèu raꞌe hua nèti ajꞌu èci, na mamuri taa-taa. Aa ladhe dhèu raꞌe hua nèti ajꞌu èci hari, neꞌa hagꞌe mia dhu beꞌa, aa mia dhu karehe.
GEN.2.10	Ètu era èèna, abhu loko èci dhu hae nèti dꞌara oka èèna. Loko èèna, èpa kacanga. 
GEN.2.11	Kacanga ka èci na, ngara na Pison. Nèngu ka dhu hae pale-lème rai Hawila dhu abhu hualaa ae-ae. 
GEN.2.12	Ètu era èèna ka, abhu poe-pai, ajꞌu dhu raa na hèu mèngi, dènge hadhu kaleꞌe. 
GEN.2.13	Kacanga ka dua, ngara na Gihon. Kacanga ne, hae pale-lème rai Kus.
GEN.2.14	Kacanga ka tèlu, ngara na Tigris. Kacanga neꞌe ka, jꞌajꞌi mi too rai Asyur
GEN.2.15	Ka Ama LAMATUA hia dhèu pea ètu dꞌara Eden, ho na ladhe-leru oka èèna. 
GEN.2.16	Hèia Na hia paredha mi dhèu ne, aku Nèngu na, “Hua aajꞌu aaꞌi-aaꞌi ètu dꞌara oka ne, èu bisa muꞌa. 
GEN.2.17	Te ngaa èci dhu èu bisa boe muꞌa. Nuka hua nèti ajꞌu dhu neꞌa hagꞌe mia dhu beꞌa, aa mia dhu karehe. Ladhe muꞌa, èu madhe dènge.”
GEN.2.18	Ka Ama LAMATUA tuhu haru lii Na, aku Nèngu na, “Babeꞌa na aadꞌo, ladhe dhèu ne mamuri mesa na. De Jaꞌa neo pajꞌajꞌi hia ne, anga ca dhèu dhu pamèci dènge ne.”
GEN.2.19+GEN.2.20	Lodꞌo èèna, Ama LAMATUA nare rai ciki, ka Na tao rupa-rupa badha dènge manu-bhui. Hèia Na pangèdꞌu si asa dhèu ne, sèna ka na pangare si. Ka dhèu ne pangare badha se dènge manu-bhui aaꞌi-aaꞌi ra, èci-èci ka dènge ngara ra. Te ngaa dhèu ne abhu mèka anga dhu pamèci dènge nèngu.
GEN.2.21	Hèia Ama LAMATUA pabhèjꞌi luu dhèu neꞌe. Ropa na bhèjꞌi, Ama Lamatua nare rui karasa na calaa, ka Na pakateme hari nuꞌa deo na. 
GEN.2.22	Nèti rui ne, Na pajꞌajꞌi bhèni ca dhèu. Hèia Na pangèdꞌu bhèni ne mi dhèu èèna. 
GEN.2.23	Ropa ladhe nèdhi bhèni ne, ka dhèu na peka, aku nèngu na,
GEN.2.23	“Waaa! Neꞌe ne ku! Sèmi neꞌe ku, heka pamèci dènge jaꞌa kèna!
GEN.2.23	Rui na, sama èci èèna ka dènge rui jaꞌa.
GEN.2.23	Aa isi na, sama kahèi dènge isi jaꞌa.
GEN.2.23	Lula nèngu ne, jꞌajꞌi nèti dhèu mone, nèti èèna ka jaꞌa pangare ne, ‘dhèu bhèni’.”
GEN.2.24	Nèti èèna ka, dhèu mone hudꞌi tèke eele ku ina-ama na,
GEN.2.24	ho laꞌe mamuri dꞌara èci dènge dhèu èmu-kamali na,
GEN.2.24	lula dua ra, jꞌajꞌi le èci.
GEN.2.25	Lodꞌo èèna, dua ra dhu dènge boe mèdha-papake, te ngaa ra makae boe.
GEN.3.1	Nèti badha aaꞌi-aaꞌi dhu Ama LAMATUA pajꞌajꞌi ètu rai-haha ne, mege ka dhu mèu risi kapodꞌe-kabèli. Ca lodꞌo, mege karèi bhèni na, aku nèngu na, “Tareꞌa, do? Ama Lamatua kai miu baku miꞌa hua aajꞌu aaꞌi-aaꞌi ètu dꞌara oka neꞌe.”
GEN.3.2+GEN.3.3	Ka bhèni na bꞌala, “Aadꞌo! Jiꞌi bisa ngaꞌa! Dhodhoka ajꞌu ca kapua ètu talora oka ne, Ama Lamatua kai, baku ngaꞌa hua na. Na peka na, jiꞌi baku ngaꞌa, aa baku gꞌagꞌe hua èèna kahèi, te aadꞌo na, jiꞌi madhe!”
GEN.3.4	Te ngaa mege na dhaa, aku nèngu na, “Waa! Sèmi boe èèna! Miu se madhe boe! 
GEN.3.5	Ama Lamatua mema kai tareꞌa sèmi èèna, lula dhu neꞌa le, ladhe miꞌe hua aajꞌu èèna, miu jꞌajꞌi dꞌèlu-mèu sèmi Nèngu. Ho èèna na meꞌa mia dhu beꞌa, aa mia dhu karehe.”
GEN.3.6	Aa bhèni ne ladhe na ajꞌu ne beꞌa titu kèna, dènge hua na ele boe kee. Na ngee, “Ladhe jaꞌa kuꞌa hua ajꞌu neꞌe, jaꞌa dꞌèlu-mèu.” Hèia puu nare ka hua ajꞌu èèna, ka naꞌe. Naꞌe nare, nèti hia dhèu èmu na, ka naꞌa kahèi. 
GEN.3.7	Raꞌa rare ka, heka reꞌa na rèngu dhu pake boe mèdha dhu hutu ua rèngu. Nèti èèna ka, ra lui rèu ajꞌu ho paꞌabhe era makae rèngu.
GEN.3.8	Dꞌai lodꞌo nihia, dua ra tadèngi lii core haga Ama LAMATUA ètu dꞌara oka èèna. Ka dua ra rai lasi luꞌu asa ca bèka ajꞌu, sèna ka LAMATUA baku nèdhi si. 
GEN.3.9	Te ngaa Ama LAMATUA paroa mi dhèu mone èèna, aku Nèngu na, “Adam! Èu ètu mia?”
GEN.3.10	Hèia mone na dhaa, “Jaꞌa tadèngi lii Lamatua ètu neꞌe. Te ngaa jaꞌa makae, lula jaꞌa pake boe mèdha ètu ua. Nèti èèna ka, jaꞌa rai pahuni iisi.”
GEN.3.11	Ka Lamatua peka na, “Cee ka dhu peka, na èu dhu pake boe mèdha-papake? De tasamia? Tatu èu muꞌa le hua ajꞌu dhu Jaꞌa kai na, sina ma?”
GEN.3.12	Ka na bꞌala, peka na, “Bhèni dhu Èu hia ho paꞌanga dènge jaꞌa èèna, ka dhu hia jaꞌa kuꞌa!”
GEN.3.13	Hèia Ama LAMATUA peka dènge bhèni na, aku Nèngu na, “Nga tao ka, èu adꞌu madha jꞌara èèna?”
GEN.3.13	Ka bhèni ne dhaa, peka na, “Te mege ne ka dhu agꞌo jaꞌa! Nèti èèna ka, jaꞌa kuꞌa.”
GEN.3.14	Èle èèna ka, Ama LAMATUA dhoo mege èèna, aku Nèngu na,
GEN.3.14	“Jaꞌa huku èu, lula tatao èu. Nèti badha aaꞌi-aaꞌi, dhoka èu di dhu abhu huku sèmi neꞌe. Mulai nèti deo neꞌe toke èu madhe, èu dhoka rodꞌo dènge kakara, aa muꞌa ètu rai di. 
GEN.3.15	Jaꞌa tao sèna ka, èu loe boe pamusu dènge bhèni ne. Aa ana-èpu miu dua mi sèmi èèna kahèi. Ana-èpu èu, èèna na kadhi hui tèdhu dhèu. Te ngaa ca dhèu nèti ana-èpu bhèni ne, èèna na dhedhe palaho kètu èu.”
GEN.3.16	Èle èèna ka, Ama Lamatua peka dènge bhèni ne,
GEN.3.16	“Èèna na, Jaꞌa pasusa tabha èu, ropa èu dènge babia; lodꞌo mora iisi, èu asa tabha jꞌèra. Masi ka sèmi èèna, dꞌara èu dꞌèi taruu dhèu èmu èu, aa nèngu ka dhu ator èu.”
GEN.3.17	Ka Ama Lamatua peka dènge mone ne,
GEN.3.17	“Èu madhutu boe lii paredha Jaꞌa, te ngaa èu nanene dhoka lii dhèu èmu èu di, ka èu muꞌa hua ajꞌu dhu Jaꞌa kai èèna. Nèti èèna ka, èu abhu huku kahèi. Aa rai lèke huku kahèi. Nèti deo neꞌe, toke dꞌai èu madhe, hudꞌi èu kabèli rai, heka èu abhu ngangaꞌa kèna. Dènge sabꞌa bia sèmi neꞌe ka, èu heka mamuri kèna. 
GEN.3.18	Masi ka èu sèle rupa-rupa hini èèna ka, te ngaa dhu muri mai dhodhoka dhudhu-sete di. 
GEN.3.19	Hudꞌi èu èi kabhèsu haa ku, heka rai hia èu ngangaꞌa kèna. Èu hudꞌi sabꞌa bia sèmi èèna ku, toke dꞌai lodꞌo èu madhe. Èu ne, Jaꞌa pajꞌajꞌi nèti rai. De ladhe èu madhe, èu jꞌajꞌi hari rai.”
GEN.3.20	Èle èèna ka, Adam pangare dhèu èmu na ‘Hawa’ (dhu sasoa na ‘dhu mamuri’), te nèngu ka jꞌajꞌi ina nèti dhèu dhu mamuri aaꞌi-aaꞌi.
GEN.3.21	Hèia Ama LAMATUA tao mèdha-papake nèti kaꞌuri badha, ka papake dua ra.
GEN.3.22	Ka Ama LAMATUA peka, “Limuri ne, dhèu reꞌa le, mia dhu beꞌa dènge mia dhu karehe, sèmi Èdhi kahèi. De mage dhoka, rèngu raꞌa hua ajꞌu dhu èci hari na, dhu hia mamuri taa-taa.” 
GEN.3.23	Èle èèna ka, Na babèga eele si nèti dꞌara oka Eden èèna, ho lasi asa era leo, sèna ka ra mamuri dènge sabꞌe oka-tedhe. Lula dhèu jꞌajꞌi nèti rai, de mamuri kahèi nèti rai. 
GEN.3.24	Babège nare si, ka Lamatua paredha ana pajuu Na nèti sorga, dhu dènge èla,
GEN.4.1	Hèia Adam jꞌunu dènge dhèu èmu na, Hawa. Ka bhèni ne dènge babia. Hèia nara iisi ana mone ca dhèu. Ka na peka, aku nèngu na, “Jaꞌa abhu le ana mone ca dhèu, lula Ama LAMATUA soru nare le jaꞌa.” Ka na pangare ana ne, 
GEN.4.2	Hèia Hawa nara iisi hari ana mone èci. Ka na pangare ne 
GEN.4.2	Dua ra kapai ka, Habel jꞌajꞌi dhèu madhenge badha. Aa aꞌa na Kaen, sabꞌa oka-tedhe. 
GEN.4.3	Ca lodꞌo, Kaen nèti isi rai na cahagꞌe, ka hia LAMATUA. 
GEN.4.4	Habel nèti ana-ana uuru kahibꞌi-kalèbho na. Na roro kahibꞌi-kalèbho se, ka nèti sisi dhu beꞌa hia Lamatua. Dꞌara Ama Lamatua karejꞌe ropa ladhe nèdhi korban nèti Habel ne. 
GEN.4.5	Te ngaa Na dꞌèi boe korban unu Kaen. Hèia Kaen nasa bia, ka rèhu na mare boe.
GEN.4.6	Ka LAMATUA lii dènge Kaen, aku Nèngu na, “Kaen! Nga tao ka èu nasa sèmi èèna, ka rèhu èu mare boe? 
GEN.4.7	Ladhe tatao èu beꞌa, na Jaꞌa sèmi èu dènge hua iia. De mu pangee uuru ku! Ladhe èu tao bhelu, na bhabhelu èèna naꞌe hari èu, sama sèmi meo neo pacèli maraho. De sèmi èu neo tao bhabhelu, beꞌa risi core eele ka!”
GEN.4.8	Ca tèka, Kaen gale Habel, na peka na, “Mai lati ngadꞌo oka, we.”
GEN.4.9	Ka LAMATUA karèi Kaen, aku Nèngu na, “Kaen! Ari mu ka mia?”
GEN.4.9	Hèia Kaen dhaa, aku nèngu na, “Jaꞌa keꞌa boe na ètu mia! Èu ngee na, jaꞌa dhèu kèpe haga na, do?”
GEN.4.10	Ka Lamatua bꞌala, “Nga tao ka èu bhelu sèmi èèna? Baku pangee na, èu pahuni more le raa ari èu ètu dꞌara rai, te Jaꞌa dhu kèdhi aaꞌi-aaꞌi le! 
GEN.4.11	De lii dhoo lèke le mi dedha èu. Lodꞌo èu pamadhe ari èu, rai sakidꞌo nare raa na. De limuri ne, rai bisa heka nèti mamuri mi èu. 
GEN.4.12	De ladhe èu sabꞌa oka-tedhe, rai ne hia heka èu ngaa-ngaa. Nèti deo neꞌe, èu luꞌu sa haa-sa dhimu, sèmi dhèu dhu dènge boe era paleo-paluꞌu.”
GEN.4.13	Te ngaa Kaen bꞌala LAMATUA, aku nèngu na, “Haii! Ama Lamatua, ee! Lamatua dhoo jaꞌa bia titu kèna, de jaꞌa pasae mèke boe nga. 
GEN.4.14	Lula Lamatua bège eele jaꞌa nèti era neꞌe, jaꞌa kajꞌèu nèti Ama Lamatua. Jaꞌa kako lole-laa asa mia-mia. De ladhe paraga dènge dhèu, èèna na ra pamadhe jaꞌa.”
GEN.4.15	Te ngaa LAMATUA dhaa na, “Aadꞌo sèmi èèna! Dhèu cee dhu pamadhe èu, èèna na Jaꞌa huku ne, babia na pidhu hari risi nèti èu.” Hèia LAMATUA tao tadha mi Kaen, sèna ka dhèu reꞌa ho baku pamadhe ne. 
GEN.4.16	Hèia Kaen tèke eele dènge era èèna. Laꞌe pakajꞌèu nèti LAMATUA, asa era èci, ètu bèka dhimu oka Eden. Era neꞌe, ngara na 
GEN.4.17	Hèia Kaen leo-èmu, ka dhèu èmu na dènge babia. Ka nara iisi ana mone ca dhèu, dhu pangare na Henok. Hèia Kaen patitu rae cue, ngara na Henok, madhutu ngara ana na. 
GEN.4.18	Ka Henok matana Irad. Hèia Irad matana Mehuyael. Mehuyael matana Metusael. Aa ana Metusael, Lamek.
GEN.4.19	Dhèu èmu Lamek, dhèu dua. Èci ngara na Ada, aa ca dhèu hari, ngara na Sila. 
GEN.4.20	Ana Ada, ngara na Yabal. Ana-èpu na, jꞌajꞌi dhèu piara badha. Mamuri ra ètu boe ca era, aa ra pea dhoka ètu dꞌara paleo di. 
GEN.4.21	Ari Yabal, ngara na Yubal. Ana-èpu Yubal, jꞌajꞌi dhèu gai sasadhu, dènge tiu sakino.
GEN.4.22	Dhèu èmu Lamek èci hari, Sila, nara iisi Tubal Kaen. Ana-èpu na jꞌajꞌi tuka bèsi, ka ra tuku mèdha ae-ae tao nèti bèsi, dènge tabaga. Ana hèni Tubal Kaen, ngara na Naꞌama.
GEN.4.23	Ca tèka, Lamek padedha iisi na ètu madha dhèu èmu dua ra, peka na, “Mi nanene, ee! Deo na, ana mone ngèru èci neo game jaꞌa. Te ngaa jaꞌa dhadhedhe ne, toke madhe. 
GEN.4.24	Dhèu dhu pamadhe Kaen, abhu huku pidhu hari. Te ngaa cee ka dhu neo bꞌala ho pamadhe jaꞌa, abhu huku pidhu nguru pidhu hari.”
GEN.4.25	Ka Hawa nara iisi hari ana mone ca dhèu. Hèia ra pangare ne, 
GEN.4.26	Pe dꞌai nèbhu ku, Set abhu ana mone ca dhèu, dhu pangare na Enos.
GEN.4.26	Tèu èèna, dhèu mulai manèngi-mangajꞌi mi Ama LAMATUA.
GEN.5.1+GEN.5.2	Lodꞌo Ama Lamatua pajꞌajꞌi dhèu rai-haha, Na tao si sama sèmi rupa Nèngu. Na pajꞌajꞌi si, dhèu mone dènge dhèu bhèni. Ka Na pangare si ‘dhèu rai-haha’, aa Na hia si berkat.
GEN.5.1+GEN.5.2	Dhèu dhu uru, ngara na Adam. Ana-èpu Adam, nuka sèmi neꞌe ka:
GEN.5.3	Lodꞌo Adam dꞌai 130 (ca ngasu tèlu nguru) tèu, na matana ana mone ca dhèu, dhu rèhu na nare Adam. Ka pangare na, 
GEN.5.4	Ka Adam mamuri hari dꞌai 800 (aru ngasu) tèu, hèia na abhu hari ana mone dènge ana bhèni. 
GEN.5.5	Umur Adam 930 (ceo ngasu tèlu nguru) tèu, heka madhe kèna.
GEN.5.6	Lodꞌo Set dꞌai 105 (ca ngasu lèmi) tèu, na abhu ana mone ca dhèu, ngara na Enos. 
GEN.5.7	Ka Set mamuri hari dꞌai 807 (aru ngasu pidhu) tèu, na abhu hari ana mone dènge ana bhèni. 
GEN.5.8	Umur Set 912 (ceo ngasu canguru dua) tèu, heka madhe kèna.
GEN.5.9	Lodꞌo Enos mamuri dꞌai 90 (ceo nguru) tèu, na matana ana mone ca dhèu, ngara na Kenan. 
GEN.5.10	Ka Enos mamuri hari dꞌai 815 (aru ngasu canguru lèmi) tèu, na abhu hari ana mone dènge ana bhèni. 
GEN.5.11	Umur Enos 905 (ceo ngasu lèmi) tèu, heka madhe kèna.
GEN.5.12	Lodꞌo Kenan dꞌai 70 (pidhu nguru) tèu, na matana ana mone ca dhèu, ngara na Mahalalel. 
GEN.5.13	Ka Kenan mamuri hari dꞌai 840 (aru ngasu èpa nguru) tèu, ka na abhu hari ana mone dènge ana bhèni. 
GEN.5.14	Umur Kenan 910 (ceo ngasu canguru) tèu, heka madhe kèna.
GEN.5.15	Lodꞌo Mahalalel dꞌai 65 (èna nguru lèmi) tèu, na abhu ana mone ca dhèu, ngara na Yared. 
GEN.5.16	Ka Mahalalel mamuri hari dꞌai 830 (aru ngasu tèlu nguru) tèu, na abhu hari ana mone dènge ana bhèni. 
GEN.5.17	Umur Mahalalel 895 (aru ngasu ceo nguru lèmi) tèu, heka na madhe kèna.
GEN.5.18	Lodꞌo Yared dꞌai 162 (cangasu èna nguru dua) tèu, na abhu ana mone ca dhèu, ngara na Henok. 
GEN.5.19	Ka Yared mamuri dꞌai 800 (aru ngasu) tèu, na abhu hari ana mone dènge ana bhèni. 
GEN.5.20	Umur Yared 962 (ceo ngasu èna nguru dua) tèu, heka madhe kèna.
GEN.5.21	Ropa Henok mamuri dꞌai 65 (èna nguru lèmi) tèu, na matana ana mone ca dhèu, ngara na Metusalak. 
GEN.5.22	Ele èèna, Henok mamuri dꞌara èci dènge Ama Lamatua dꞌai 300 (tèlu ngasu) tèu. Ka na abhu hari ana mone dènge ana bhèni. 
GEN.5.23+GEN.5.24	Na mamuri dꞌara èci dènge Ama Lamatua. Hèia lodꞌo na dꞌai 365 (tèlu ngasu èna nguru lèmi) tèu, ka na ele, lula Ama Lamatua pacaꞌe ne sa dedha.
GEN.5.25	Lodꞌo Metusalak dꞌai 187 (cangasu aru nguru pidhu) tèu, na matana ana mone èci, ngara na Lamek. 
GEN.5.26	Èle èèna ka, Metusalak mamuri hari dꞌai 782 (pidhu ngasu aru nguru dua) tèu, ka na abhu hari ana mone dènge ana bhèni. 
GEN.5.27	Umur Metusalak 969 (ceo ngasu èna nguru ceo) tèu, heka madhe kèna.
GEN.5.28	Lodꞌo Lamek mamuri dꞌai 182 (ca ngasu aru nguru dua) tèu, na matana ana mone ca dhèu. 
GEN.5.29	Lamek pangare ne 
GEN.5.30	Ka Lamek mamuri taruu dꞌai 595 (lèmi ngasu ceo nguru lèmi) tèu, aa na abhu hari ana mone dènge ana bhèni. 
GEN.5.31	Umur Lamek 777 (pidhu ngasu pidhu nguru pidhu) tèu, heka na madhe kèna.
GEN.5.32	Lodꞌo Noh mamuri dꞌai 500 (lèmi ngasu) tèu, na matana ana mone dhèu tèlu, Sem, Yafet dènge Ham.
GEN.6.1	Taa èèna, dhèu rai-haha, asa bèba-kacanga. Ka ra papala-palème rai-haha. Dhèu se matana kahèi ana-ana bhèni. 
GEN.6.2	Ana-ana mone nèti Lamatua
GEN.6.3	Ka LAMATUA peka na, “Jaꞌa roca le dènge tatao dhèu dhu lèke-lèke boe se. Roh Jaꞌa dhu pamamuri rèngu sa, dꞌèi heka hia ra mamuri manèro.
GEN.6.4	Taa èèna, dènge taa-tebho dhu limuri nèti èèna hari, abhu le dhèu raksasa ètu rai-haha ne.
GEN.6.5	Taa èèna, LAMATUA ladhe nèdhi bhabhelu-katubꞌa dhèu rai-haha dhu seli-kolane. Dꞌara rèngu pangee dhoka bhabhelu di. 
GEN.6.6	Ka LAMATUA manyasa, lula Na pajꞌajꞌi le rèngu se ho pea ètu rai-haha ne. Tatao rèngu neꞌe ka dhu papèdꞌa dꞌara Lamatua. 
GEN.6.7	Nèti èèna ka, Na peka na, “Dènge tatao rèngu sèmi èèna na, Jaꞌa huku pamadhe dhèu rai-haha aaꞌi-aaꞌi dhu pajꞌajꞌi kore si le. Manu-bhui dènge badha leo sèra, Jaꞌa palaho aaꞌi si kahèi. Te Jaꞌa manyasa, nèti Jaꞌa ka pajꞌajꞌi si.” 
GEN.6.8	Te ngaa Noh di dhu pakarejꞌe dꞌara LAMATUA.
