GEN.1.1	Kafa viuḡuwai Guyau abama keta fwayafwaya i fufunisiya. 
GEN.2.16	Yave Guyau namoḡa i iyaviya i bwaduwa, “Ka nufota avi kai uwana kuna kaniya baguna sinenei. 
GEN.2.17	Atu namai dewadewana keta goyona kasi kafa sanamana kana kai muka nenei kuna ka. Tovanama kuna kaniya, kuna mateya.”
GEN.2.18	Yave Guyau tauna nenei i bwaduwa, “Namoḡa kana kisina i fakwafakwa atu muka dewadewana. Unana ana fufuniya be ina ovivitiya.” 
GEN.2.19	Keta fwayafwaya i viya keta yomuyomu matatafusi be manuwa matatafusi i gikamakamisiya. Keta i nemiisiya namoḡa nenei be ita kitiya namoḡa namaise kasi wava ita kavenena, keta namaise kasi wava i viweneya naki maise kasi wava. 
GEN.2.20	Namoḡa, manuwa kawasasakaoḡowai be yota yomuyomu nimwauwai eketa kidagimai matatafusi kasi wava i kavenena, eatu muka tamo nama ita nufotai Adama
GEN.2.21	Eketa Yave Guyau namoḡa i visanafuwiya keta i banumatemateya. Keta yawane i banubanuwa nenei, Guyau namoḡa ninivatavatanina i viya atu viyo nenei kawakivina i tenefotiya. 
GEN.2.22	Yave Guyau gumayogu i gikamakamiya namoḡa ninivatavatanina nenei eketa i nemiiya namoḡa nenei.
GEN.2.23	Namoḡa i bwaduwa,
GEN.2.23	“Nofe tanake, seḡa o iyau seḡaku
GEN.2.23	keta viyo o iyau viyoku.
GEN.2.23	Nofe tanake Namoḡa sinenei i viya,
GEN.2.23	na fasinei ana weniya Gumayogu.”
GEN.2.25	Namoḡa keta kawana nukusi gonegonesi atu muka sita sinemumu.
GEN.3.2	Gumayogu i bwaduviyewa i bwaduwa, “Muka, kima kama nufota kaisima uwasi baguna sinenei kana kawa, 
GEN.3.3	atu kai tamokaḡa baguna sinefounei i misimisiniya, Guyau i iyavikiya i bwaduwa, ‘Muka kainama uwana kwana kaniya keta muka kwana ginuvanuvai. Taki kwana saviviniya na naki kwana mateya.’”
GEN.3.4	Mwata i iyaviya i bwaduwa, “Muka venemokena. Muka kwana mate. 
GEN.3.5	Kuyadayadanama nenei kwana kaniya, matami sina kabwasasa keta kwami vitana Guyau maise kwana sanamaniya dewadewana keta goyona. Guyau i sanamaniya keta na fasinei i sawatanimiya muka kwana kaniya.”
GEN.3.6	Gumayogu i kitiya kai dewadewana kana nufota kabwaga keta kana fusa dewadewana. Nuwanuwana ina kaniya be ina sanamana, na nenei aviyesi uwana i visiya keta i kaniya, atu tunina kawana i veniya keta i kaniya. 
GEN.3.7	Tovanama nenei matasi si kabwasasa keta si sanamaniya tasike gonegonesi na nenei nugweda dadana si yuna keta si suyakafukafuwa si dawanafota.
GEN.3.8	Tovanama navinavi kabaḡa i tunuwa, si nowaniya Yave Guyau baguna nenei i niniya. Namoḡa keta kawana si makaviuna kai nenesiyai be Yave Guyau muka ina kitaisi. 
GEN.3.9	Atu Yave Guyau namoḡa nenei i bwauwa i bwaduwa, “Kwaḡa namai?”
GEN.3.10	Namoḡa i bwaduviyewa i bwaduwa, “A nowaniwa baguna nenei. Iyau gonegoneku na fasinei a matuta keta a makaviuna.”
GEN.3.11	Yave Guyau i nutoninuvanuva i bwaduwa, “Aitevana i iyaveu kwaḡa gonegoneu? Kainama a iyaviwa muka kuna kaniya, naki ku kaniya?”
GEN.3.12	Namoḡa i bwaduviyewa i bwaduwa, “Gumayogunama ku venikuwa, tanake i venikuwa kai uwana keta a kaniya.”
GEN.3.13	Gumayogu i bwaduviyewa i bwaduwa, “Mwata i nonukuwa keta a kaniya.”
GEN.3.14	Yave Guyau mwata i iyaviya i bwaduwa,
GEN.3.14	“Na ava ku fufuniya fasinei, ana vimatadawaniwa
GEN.3.14	yomuyomu nimwauwai be kidagimai matatafusi sinesiyai.
GEN.3.14	Kwaḡa kuna oyaḡaḡa manawaweu
GEN.3.14	keta kafusisima o ka kabwaga yawasiu kana matatafu nenei.
GEN.3.15	keta kwaḡa susukwau keta gumayogu susukwana sina vikaniyabina.
GEN.3.15	Tanake debabouḡu ina nufuwaiya
GEN.3.15	atu kwaḡa kaeketuketuna kuna kanavasiya.”
GEN.3.16	Gumayogu nenei i bwaduwa,
GEN.3.16	“Ana visanafuwiwa dauna kuna nisaiya tovanama kuna visifuḡa nenei,
GEN.3.16	nofe tovanama keta ina niya kuvavana nakasina vinatuna nenei.
GEN.3.16	Nuwanuwau be kawau nukusi,
GEN.3.16	atu tanake kwaḡa ina vanetaniwa.”
GEN.3.17	“Kawau fonana ku nowaniya fasinei
GEN.3.17	keta kainama a iyaviwa muka kwana kaniya atu kwa kaniya,
GEN.3.17	keta kwaḡa neneweu fwayafwaya a ituituya.
GEN.3.17	Bunanige kuvakuvavanina kuna saviviniya yo ka kabwaga kuna nisaiya yawasiu kana matatafu nenei.
GEN.3.18	Fwayafwaya ina okikinomaniya kisisiku kikikwanekwanesi keta sakasakanunusi,
GEN.3.18	keta noko bwibwiyagunama kabwagina nenei kuna kawa.
GEN.3.19	Kuna fwasimowa bunanige nenei yo
GEN.3.19	ka kabwaga kuna viya
GEN.3.19	kana nivaniva kuna makaviniwa
GEN.3.19	fwayafwaya nenei.
GEN.3.19	Kafusisima a viya fwayafwaya nenei keta a gikamakamiwa,
GEN.3.19	keta kwaḡa kuna vikafusisima-savaviniwa.”
GEN.3.20	Namoḡa i sanamaniya kawana ina viayowa namoḡa fakwafakwasi matatafusi nenesiyai, na fasinei i weniya Ive.
GEN.3.21	Yave Guyau yomuyomu kwafinisi i yuna keta nuya i fufunisiya Adama keta kawana fasisiyai keta i vikotonisiya.
GEN.3.23	Keta Yave Guyau i vikikinomanisiya baguna Ideni nenei, be namai fwayafwayanama nenei i gikamakamiya Adama ina bunanigeiya. 
GEN.3.24	I vikikinomanisiya muninei keta i iyavisiya kikifufuna kasi wava senabimu
GEN.4.1	Adama kawana Ive nukusi si mataveya keta Ive si visifuḡa eketa si vinatuna. Si bwaduwa, “Yave yana ovivita nenei natuki ka nisaiya.” Na uḡuna si weniya Keni.
GEN.4.2	Muniyai yota taina namoḡa si vinatuniya keta si weniya Ebeni.
GEN.4.2	Tovanama si nakata, Ebeni sifi kasi tokitavikavina atu Keni i vitobaguna. 
GEN.4.3	Tova tamokaḡa Keni yana bagubaguna kabwagina i nemiisiya keta i vibwanaoseiiya Yave nenei, 
GEN.4.4	atu Ebeni yana sifi si mikivinatuna, tanaina dewabauna i nemiiya eketa i vibwanaoseiiya Yave nenei. Yave i katuvisiya Ebeni keta yota yana bwanaose, 
GEN.4.5	atu Keni keta yana bwanaose muka ita katuvaisi. Keni i kayokuḡa keta kana nawenawe i dawanavinavina nuwagoyo.
GEN.4.6	Keta Yave Keni i iyaviya i bwaduwa, “Ava uḡuna ku nuwagoyo yo tafakaiu i kanawenonoi? 
GEN.4.7	Taki fufuna dawaniniina kuta saviviniya nao ata katuviwa. Atu fufuna goyona ku saviviniya fasinei, matau ina kakanakasiya! Go'yona niniuweu i kenokenovikifafa be ina ketosesena yomuyomu-wanawanaki maise. Go'yona nuwanuwana nakasina be ina visimeiwa atu kwaḡa kuna vanetaniya.”
GEN.4.9	Tovanama ibanama i kikinomana muninei, Yave i nutoninuvenuviya i bwaduwa, “Taiu Ebeni namai?”
GEN.4.9	Keni i bwaduviyewa Yave nenei i bwaduwa, “Muka ata sanamanei tanake namai. Namaise, o iyau unaku kana tokitavikavina?”
GEN.4.11	Keta nofe tova ana ituwa. Unau ku nuvimatiya keta ufaufana fwayafwaya ku viyumiya, na fasinei muka fwayafwayanama kuna savivinei. 
GEN.4.12	Nofe tova keta tova si nenemiya, tovanama fwayafwaya kuna saviviniya, muka kabwaga ina veneu. Muka tamo ya kafa fakwa keta kuna vitovenukaokaoḡowa fwayafwayai.”
GEN.4.13	Keni Yave i iyaviya i bwaduwa, “Kaku vimatadawana i nakatamoka, muka kaku fata. 
GEN.4.14	Kimoki kwaḡa ku kwavikwavinikuwa fwayafwaya nofe nenei keta yota neneweu. Ana vitovenukaokaoḡowa fwayafwaya etanei keta aitevana ina nisaikuwa, ina nuvimatikuwa.”
GEN.4.15	Atu Yave i nufata i bwaduwa, “Muka. Taki tamo aitevana ina nuvimatiwa, yawasi 7 ana nuyaunisiya kwabu fasinei.” Na fasinei Yave kiyakiyaya i teniya Keni nenei be aitevana ina venusaiya, muka ina nuvimatei.
GEN.4.25	Keta Adama kawana nukusi yota si mataveya keta namoḡa i tufuwa. Ive si bwaduwa, “Keni i nuvimatiya Ebeni fasinei, Guyau gwadimonamona yota i venikiya be Ebeni ina noseyaniya.” Na fasinei si weniya Seta.
GEN.4.26	Seta yota i vinatuna keta i weniya Inosi. Inosi yana tovai, namoḡa si vibutuwa si kodukoduwa Yave nenei.
GEN.6.6	Yave tauna i vinuwakuvaniya namoḡa i fufunisiya keta i tenisiya fwayafwayai, na fasinei nuwatana i dauna. 
GEN.6.7	Eketa Yave i bwaduwa, “Namoḡa matatafusi ana nuyaunisiya fwayafwaya nofe etanei. A vinuwakuvanikuwa uḡuna naki a fufunisiya. Na fasinei namoḡa kasi matatafu keta yomuyomu nakanakasisi matatafusi be musumususi si ooyaḡayaḡaḡa fwayafwaya etanei, yota manuwa matatafusi kawasasakaoḡowai ana nuyaunisiya.” 
GEN.6.8	Atu Yave o Nowaḡa i sebobowiya.
GEN.6.9+GEN.6.10	Nowa natunatuna nasi tonu namoḡa kasi wava Semi, Ami, keta Yafeta. Nowa o namoḡa dewadewana, tanake kana kisimokena fwayafwaya etanei eyaeyana tovasima nenesiyai. Nowa Guyau i viunaniya.
GEN.6.11	Atu Guyau i kitiya fwayafwaya matatafuna i goyowa eketa vikamunumunuwa i kataneneḡa. 
GEN.6.12	Guyau i toneiya fwayafwaya keta i kitiya naki i goyomoka uḡuna namoḡa matatafusi ke'ta goyona nenei si fakwafakwa.
GEN.6.13	Keta Guyau Nowa i iyaviya i bwaduwa, “A vinuwadadana be namoḡa matatafusi ana nuyaunisiya uḡuna vikamunumunuwa fwayafwaya i vimaiya. Fwayafwaya kana matatafu etanei iba matatafuna ana nuyauniya.
GEN.6.14	Na fasinei waka kitagoyona kuna yoniya tauḡu fasiweu. Kai fakinisi nenesiyai kuna yoniya. Sisiuna kuna kitutunaonota waka sinenei. Sinena keta kwauna kuna nutamaniya kibasi nenei. 
GEN.6.15	Kuna yoniya nofemaise. Kana fwafwa kana niva 140 mita, kana nafanafa kana niva 22 mita, keta yana vivivane kana niva 14 mita. 
GEN.6.16	Kudukudu kuna teweiya keta kawasasa kana niva 50 senitimita kuna teniya kudukudu keta fita kasi kawasasai ina fanakwaniuḡa. Waka niniunei kawa kuna fufuniya. Baionota tonusi kuna yonisiya — etana, sinefouna, keta sifuna.
GEN.6.17	Ku vaneneḡa! Ukowasobu ana teweiya keta fwayafwaya kana matatafu ina unakafufuya be iba matatafuna na yawasina fwayafwaya etanei ina nuvimatisiya. 
GEN.6.18	Atu kaku dedeni a teneteniya neneweu. Kwaḡa, kawau, keta natunatuu nakakawasi kwana kanasuna waka sinenei. 
GEN.6.19+GEN.6.20	Yomuyomu tunisitunisi nakakawasi kuna totoisiya nukusi. Tamokaḡa namoḡa keta tamokaḡa gumayogu, manuwa tunisitunisi nenesiyai kuna nemiisiya keta yomuyomu nakanakasisi be musumususi si ooyaḡayaḡaḡa, kuna kitavikavinisiya ebe yawayawasisi sina fakwafakwa. 
GEN.6.21	Yota kabwaga tuninatunina yagwanina kuna totoiya, uguniu nukusi fasimiyai keta yota yomuyomu fasisiyai.”
GEN.7.1	Yave Nowa i iyaviya i bwaduwa, “Kwaḡa ka kisimokeu fwayafwaya nofe nenei ya fufuna dawaniniina. Na uḡuna kwaḡa keta uguniu kwa kanasuna wakai. 
GEN.7.2	Nama yomuyomusima eyaeyasi, kuna visiya namoḡa 7 keta kakawasi 7. Atu yomuyomusima muka eyaeyasi, nao tamokaḡa namoḡa keta kawana. 
GEN.7.3	Keta yota manuwa kuna visiya 7 keta yota kakawasi 7. Nofe kuna saviviniya be yomuyomu keta manuwa tunisitunisi be yota sina geyana fwayafwayai. 
GEN.7.4	Kuyadayada 7 muninei, bwabwau ana teweiya keta ina sigwana fwayafwayai kana nivaniva kuyadayada 40 keta nuwabuna 40, ebe kikifufuna matatafuna a fufuniya na yawasina fwayafwayai ana nuyaunisiya.”
GEN.7.5	Keta Nowa iba matatafuna i saviviniya avana Yave i iyaviya maise.
GEN.7.17	Ukowasobu i unauna kana nivaniva kuyadayada 40 eketa waka i nufutefuteiya fwayafwaya etanei.
GEN.7.23	Keta iba matatafuna na yawasina fwayafwaya etanei Yave i nuyaunisiya ukowasobuwai. Namoḡa matatafusi be yomuyomu nakanakasisi be musumususi si ooyaḡayaḡaḡa, yota manuwa nukusi, si mateya. Atu naki aviyaonana waka sinenei Nowa nukusi, nao si fakwa na yawasisi.
GEN.8.15	Eketa Guyau Nowa i nusifufuwiya i bwaduwa, 
GEN.8.16	“Kwaḡa na kawau keta yota natunatuu na kakawasi nukusi waka kwana teweiya atu kwana sobuwa menanai. 
GEN.8.17	Kikifufuna matatafusi yawayawasisi kuna ovisiya maise manuwa, yomuyomu keta yota matatafusi tooyaḡayaḡaḡa fwayafwaya nenei, be sina vinatunasiwasiwaḡa keta sina yagwana be yo sina geyana fwayafwaya kana matatafu etanei.”
GEN.8.18	Keta Nowa na kawana, keta natunatuna na kakawasi, waka si teweiya atu si kikinomana menanai. 
GEN.8.19	Matatafusi yomuyomu, manuwa keta tooyaḡayaḡaḡa wakai si kikinomana kasi sabusabuwai.
GEN.8.20	Keta Nowa didiḡa i didiiya kafa vibwanaose Yave nenei eketa yomuyomu be manuwa eyaeyasiḡa nenesiyai, tunina i visiya keta i gumatatafusiya didiḡa etanei bwanaose fasinei. 
GEN.8.21	Tovanama bwanaose madina i sebobowiya, Yave tauna nuwasinenei i bwaduwa, “Muka yota tova munina namoḡa yasi fufuna fasinei fwayafwaya ana ituya. Naki a sanamaniyanamoḡa musumususiyai keta si nakanakata, katekatesiyai goyona si nuwinuwiisiya atu mukamokena yota ana nuyauneisi iba tamokatamokaḡa na yawasina maise kimoki a fufuniya.
GEN.8.22	Tovasima fwayafwaya ina fakwafakwa,
GEN.8.22	baguna be kiyana,
GEN.8.22	yaseḡana be kwadudu,
GEN.8.22	gagasa be yavanata,
GEN.8.22	kuyadayada be nuwabuna
GEN.8.22	sina fakwafakwa, muka ina kakaveisi.”
GEN.9.2	Yomuyomu matatafusi nakanakasisi be musumususi si ooyaḡayaḡaḡa fwayafwayai be manuwa keta iyana sina oomatumatutimiya eketa kwami kwana visimeisiya. 
GEN.9.3	Iba tamokatamokaḡa na yawasina o kami kabwaga. Naki maise manatuwaina a venimiya kai viviuwasi keta kisaya o kafa kaka. Nofe tova a venevenimiya iba matatafuna kami kabwaga.
GEN.9.5+GEN.9.6	Namoḡa a fufunisiya tauku kaku kitakita maise eketa avi namoḡa o avi yomuyomu tamo namoḡa ina nuvimatiya, tanake namoḡanama o yomuyomunama ana vimatadawaniya. Taki tamo yomuyomu namoḡa ina nuvimatiya, yomuyomunama sina nuvimatiya. Maise yota taki aitevana namoḡa tamo ina nuvimatiya, namoḡanama sina nuvimatiya.
GEN.9.8	Keta Guyau Nowa na natunatuna i iyavisiya i bwaduwa, 
GEN.9.9	“Kwa vaneneḡa! Nofe tova yaku dedeni ana fufuniya kwami nenemiyai eketa yota susukwami yawane si nenemiya nenesiyai, 
GEN.9.10	yota kikifufuna matatafusi yawayawasisi maise manuwa be yomuyomu-menana yota yomuyomu-wanawanaki wakai nukusi, matatafumi fwayafwayai nenemiyai. 
GEN.9.11	Nofe bwadusima nenesiyai kaku dedeni a oovikavikaviniya kwami nenemiyai. Mukamokena yota ana visimeyei ukowasobu be kikifufuna yawayawasisi ina nuvimateisi yota fwayafwaya ina nuyaunei.”
GEN.9.12	Guyau i iyavisiya i bwaduwa, “Dedeni kana kiyakiyaya a fufufuniya Iyau, kwami keta kikifufuna yawayawasisi nukusi kata kawasasai, yota tova i nenemiya sabusima fasisiyai. 
GEN.9.13	Yaku tanikubo ana teniya busibusi sinenei be ina vikiyakiyaya yaku dedeni Iyau keta fwayafwaya kana matatafu kata kawasasai. 
GEN.9.14	Tovanama kawasasakaoḡo ana gikafufuya busibusi nenei keta tanikubo ina kikinomana, 
GEN.9.15	ana tukunakasiya yaku dedeni, Iyau keta kwami be kikifufuna matatafusi na yawasisi kata kawasasai be mukamokena yota ukowasobu yawasi matatafuna ina nuyauneisi.”
GEN.11.1	Nauna o namoḡa matatafusi fwayafwaya etanei, fona tamokaḡamoka kana kituwai si nusifufuwa. 
GEN.11.2	Noko tovanama nenei, namoḡa si toḡavenudadana gagasa kuweyaina. Fafani kana wava Sina nenei, fwayafwaya katuyaveyavenina nakasina si nisaiya keta nokomai si fakwa.
GEN.11.3	Keta tututausi nenesiyai si nusifufuwa si bwaduwa, “Kwa nemai, taga tana viya be tana yafofwisiya keta tana nukwafusiya be sina fakina.” Si saviviniya keta taga kikiyafofosi si kiyoniiya keta kibasi nenei si gimaimaiiya. 
GEN.11.4	Eketa si nusifufuwa si bwaduwa, “Kwa nemai, be menana nakasina tana vikanasiya tututauta fasitiyai, numa tana yoniya manuwanoḡomatesi, be ina vaneya abama ina oviya. Nofemaise tana fufuniya be tututauta kata wava tana givinakasiya ebe muka tana kafiyauyauna fwayafwaya kana matatafu nenei.” 
GEN.11.5	Si kikiyona atu Yave i sobunemiya be ina kitiya menana nakasina yota numa manuwanoḡomatesi namoḡa si yonayoniya. 
GEN.11.6	Keta Yave i bwaduwa, “Nofe tova tasike naki yoko tamokaḡa, fona tamokaḡa nenei si nunusifufuwa. Nofe tova si vibutuwa keta sina savivina maise ebe tova munina aviyavana tamo si nuwenuwiya, naki kasi nufotamoka be sina saviviniya. 
GEN.11.7	Kwa nemai, tana sobuwa be fonasi tana wenuya be muka tututausi sina sanamanei unaunasi yasi bwadu.”
GEN.11.8+GEN.11.9	Eketa Yave i nuyauyaunisiya fwayafwaya kana matatafu nenei, eketa menana nakasina kana vikanata si vidawana. Nokomai Yave fwayafwaya kana matatafu namoḡa fonasi i wenuya. Na fasinei menana noko si weniya Babeni.
GEN.12.2	Ka sabu nakasina ana veniwa keta tasike nenesiyai kunuma nakasina ina kikinomana.
GEN.12.2	Iyau ana sawanuwagabubuwiwa.
GEN.12.2	Ka wava yota ana givinakasiya be namoḡa matatafusi sina sanamaniya keta sina vifotuwiwa.
GEN.12.2	Kwaḡa neneweu, namoḡa kasi sawanuwagabubu sina nisaiya.
GEN.12.3	Atu taki namoḡa sina ituwa, Iyau yota ana itusiya.
GEN.12.3	Kwaḡa neneweu, namoḡa matatafusi fwayafwaya etanei
GEN.12.3	ana sawanuwagabubuwisiya.”
GEN.12.4+GEN.12.5	Na tovanama nenei Ebenamu kana manamana 75. Keta i saviviniya avana Yave i iyaviya maise. Anani i teweiya na kawana Sanai keta auna Nota nukusi. Tovanama Anani si fakwa nenei, Ebenamu yana nogonogo keta yana yomuyomu keta yota yana tobunanige i nisaḡa. Nofe ibasima nukusi i visiya keta Kenani kuweyaina si niya.
GEN.12.4+GEN.12.5	Tovanama si kikinomana Kenani kana baionota nenei, 
GEN.12.6	Ebenamu yana sabu nukusi noko fwayafwayanama si venuonosiya keta si niya menana nakasina kana wava Sekemu niniunei. Nokomai kai nakasina niniunei si vikabaḡa menana Mone nenei. Tovanama nenei Kenani fiyaosi yawane si fakwafakwa noko fwayafwayanama nenei. 
GEN.12.7	Nokomai Yave tauna i tenekikinomaniya Ebenamu nenei eketa i iyaviya i bwaduwa, “Nofe Kenani fwayafwayana susukwau ana venisiya.” Eketa Ebenamu, kafa vibwanaose Yave nenei kana didiḡa i didiiya. Namai Yave tauna i visawaveniya nenei, i vimisiniiya.
GEN.13.5	Na tovanama nenei, Nota keta Ebenamu yawane tamo nenei si ninidadana. Nota yota yana yomuyomu yagwanisi keta yota namoḡa yagwanisi nukusi yana vada nenesiyai si fakwafakwa. 
GEN.13.6	Ebenamu keta Nota yasi yomuyomu si yagwanamataiya keta yasi kafa ka kana kabaḡa o muka kasi fata. Na fasinei nasi nuwa muka kasi fata be tamokaḡa fwayafwayanama nenei sina fakwa.
GEN.13.8	Keta Ebenamu Nota i iyaviya i bwaduwa, “Ku vaneneḡa! Kita ugunita, na uḡuna muka tana vikawabwadubwadu keta yota yata yomuyomu kasi tokitavikavina muka tututausi nenesiyai sina vivigwaeḡa. 
GEN.13.9	Na uḡuna tana toḡasisina be tana niya kabaḡa tuninatunina nenesiyai. Fwayafwaya noko nautiyai ku kitakitiya. Ku vinuwadadanei avi kabaḡa nuwanuwau maise o ku nai be nokomai ku fakwa. Taki kuna niya kukikikataita kuweyaina, nao iyau ana niya kukikimawata. Eatu taki kuna niya kukikimawata kuweyaina, nao iyau ana niya kukikikataita.”
GEN.13.10	Eketa Nota matana i tewetamaniya Yonidani ukowa kuweyaina keta i niya kana nivaniva Sowa menana nenei. Ukowa yagwanina yota fwayafwaya dewadewana i kitiya vitana Yave yana baguna
GEN.13.11	Nota i vinuwadadaniya fafani Yonidani kana matatafu tauna fasinei eketa i niya gagasa kuweyaina. Nofe ketaketanama nenei Nota keta Ebenamu si toḡasisina. 
GEN.13.12	Ebenamu o Kenani fwayafwaya nenei i fakwa atu Nota o Yonidani kana kawanau nenei i fakwa Sodoma menana nakasina niniunei. 
GEN.13.13	Sodoma namoisi yasi fufuna naki goyomataina. Fufuna goyomokesi Yave matanei si savivinisiya.
GEN.13.14	Ebenamu keta Nota yasi toḡasisina muninei, Yave Ebenamu i iyaviya i bwaduwa, “Ku kitadadana-fanakwaniuḡa-dewadewa fafani tamokatamokaḡa nenesiyai — bomatu, gagasa, nanakoya keta yavanata kuweyaisi — namai matau ina niya kana nivaniva maise. 
GEN.13.15	Fwayafwayanama matatafuna ku kitakitiya, kwaḡa keta susukwau nukusi ana venimiya. Noko yami fwayafwayavaḡata. 
GEN.13.16	Ka sabu ana veniwa o muka tamo aitevana kana fata be ina ginaḡanaḡaisi. Naki maisemoka genasa fwayafwayai muka tamo aitevana kana nufota be ka sabu ina ginaḡanaḡaisi. 
GEN.13.17	Nofe fwayafwayanama matatafuna a veneveniwa, na fasinei ku nai ku vadadaniya be ku kitadewadewai.”
