MAT.1.1	Abraham poho ne Dabid koro poho Yesu Kiristo ekashi shinrit ikiri anuye kambi.
MAT.2.19	Herod rai wa isam chiki, ingarʼan,—Utarapa uitekbe Echipt moshirʼotta an Yosep orota wendarap ani ek hine ene itak-hi:— 
MAT.2.20	Aiai inotu ehunara utara rai wa okere gusu, hopuni wa aiai unuhu tura wa Israeru moshiri orun paye yan, sekoro itak. 
MAT.2.21	Orowa, shinuma hopuni wa aiai unuhu tura hine Israeru moshiri orun ek nisa ruwe ne. 
MAT.2.22	Koroka, onaha Herod shirihine Arukeraus anak ne moshiri shikkashima wa an shiri sekoro orushpe shinuma inu koro, nei moshiri orun paye kuni ishitoma ruwe ne: orowa, wendarap ani aeramande wa gusu Gariraya moshirʼotta hekomo, 
MAT.2.23	aige, Nazaret ani aporose machiya otta oshiroma nisa ruwe ne: tap ambe anak ne, Nazaret un guru ani areikore kusu ne sekoro uweingara utara ye itak auweomare kuni gusu an ruwe ne na.
MAT.3.1	Nei toho ta Baptisma kore Yoannes anak ne Yudea moshirʼun nup otta ek wa upaskuma ki hine ene itak-hi:— 
MAT.3.2	Echi yaikokatpak yan: kando moshiri ehange no an ruwe ne gusu ne na ani itak. 
MAT.3.3	Tambe anak:—
MAT.3.3	Nup otta ainu hawe anu,
MAT.3.3	Utarapa ruhu etokooiki,
MAT.3.3	Koro apkash ru kuwanno kara yan,
MAT.3.3	sekoro uweingara guru Isaya itak hawe epeka gunʼne.
MAT.3.4	Yoannes yaikota koro raip anak ne Rakuda numaha ani akara amip ne, kut anak ne tonto kut ekut kon ruwe ne; aep anak omakirush newa kim un soyai ninge ne ruwe ne na. 
MAT.3.5	Nei ita Yerusarem kotan un utara hemhem, Yudea moshirʼun utara hemhem, Yorodan pet ebitta shikapneka no okai utara hemhem 
MAT.3.6	Yoannes orota paye, orowa koro wen-buri eyaipushi wa Yorodan pet otta baptisma akore nisa ruwe ne. 
MAT.3.7	Koroka, Baptisma akore kuni ne Parisee un utara newa Saddokai un utara inne no araki shiri nukara chiki, orota ene hawe okai-hi:—Raskuru tokkoni koro sanike ne echi utara, iyoshi no ek irushka ambe orowa no echi kira kuni, inan guru echi epakashnu ruwe he an? 
MAT.3.8	Tambe gusu, yaikotatpak kopakeat buri echi ki yan: 
MAT.3.9	orowa, chikoro michi anak ne Abraham ne sekoro, iteki echi keutum ta ye kuni ambe esanniyo yan; inambe gusu ne yakun, echi otta ku ye, Kamui anak ne tan shuma ani Abraham poho ne gusu hetukure eashkai ruwe ne gusu ne na. 
MAT.3.10	Tane poka mukara anak ne ni shinrit otta aande ruwe ne: tambe gusu, pirika ibehe shomo hetukure obitta no okai chikuni anak ne aotuiba wa abe oshiketa aosuruba kusu ne. 
MAT.3.11	Echi yaikokatpakte kuni gusu son no newa kuani wakka ani baptisma echi kore ash na: koroka, en osh ek guru anak ne en akkari kiroroashnu guru ne, Shinuma koro keirehe ku ani poka pakno an guru shomo ku ne ruwe ne: Shinuma anak Ashkanne Ramat newa abe ani baptisma echi kore kusu ne na: 
MAT.3.12	koro tekehe otta mui koro wa tomte no koro atuituye ushike ashkannere kusu ne: orowa, mungi uwe-karapare wa puhu otta omare; muruhu anak ne aushka eaikap abe ani uhuika kusu ne na. 
MAT.3.13	Okake an koro, baptisma akore kuni gusu Yesu anak Gariraya moshiri orowa no Yorodan pet samata an Yoannes orota ek. 
MAT.3.14	Koroka, Yoannes anak ne Yesu etokotuye kuni aramu hine ene itak-hi:—Aokai orowa no kuani baptisma a en kore kunip ne awa, en otta Aokai ek ya? sekoro itak. 
MAT.3.15	Koroka orota Yesu ese hine ene itak-hi:—Chi utara anak ne tambe nei no obitta no okai oupeka buri ki kuni aesanniyop ne gusu, tane en ukte wa en kore. Orowa no akore nisa ruwe ne. 
MAT.3.16	Orowa Yesu anak baptisma akore chiki, nani wakka orowa no yan; aige, ingarʼan, Shinuma gusu kando kotoro makke, awa, Kamui kon Ramat kusuwep katuhu nepkoro an wa ran hine Shinuma kashiketa reu shiri anukan ruwe ne; 
MAT.3.17	orowa, ingarʼan, kando orowa no hawe anu wa ene itak-hi:—Tambe anak, Ku omap, Shi no ku enupetne Poho ne ruwe ne, ari itak nisa ruwe ne na.
MAT.4.1	Nei oro Yesu anak ne nitne kamui orowa no akoramnukara kuni ne Ramat ani nupuri orota atura nisa ruwe ne na. 
MAT.4.2	Awa, kunne rereko tu hotne rereko, tokap rereko tu hotne rereko uturuta shomo ramnu ki, okaketa Shinuma sambe-tasaske nisa ruwe ne. 
MAT.4.3	Aige ikoranmukarape Shinuma orota ek wa ene itakhi:—Aokai anak ne Kamui Poho E ne chiki, tan shuma aep ne akara kuni gusu kashpaotte yan, sekoro itak. 
MAT.4.4	Koroka, Shinuma ese wa:—Ainu anak ne ouse aep an gusu ashiknure shomoki, koroka, Kamui paroho wano san pishno okai itak an gusu shiknu kusu ne, sekorʼan itak anuye wa an ani an itak ari itak nisa ruwe ne. 
MAT.4.5	Orowa no, nitne kamui anak ne Shinuma tura wa ashkanne machiya orun paye, aige, Kamui kora kenru kitaigeta ashte wa ene itak-hi:— 
MAT.4.6	Aokai anak ne Kamui Poho E ne yakun, E kon netobake herashi osura: inambe gusu ne yakun, ene chieshinnuye wa an na:—
MAT.4.6	Aokai gusu shinuma anak ne koro hautumnhe kashpaotte:
MAT.4.6	E koro kemaha iteki shuma eokte kuni ne,
MAT.4.6	Koro teke kata e punire kuni kusu ne na; sekoro itak.
MAT.4.7	Orota Yesu:—E koro Utarapa ne Kamui iteki koramnukara yan sekorʼan itak ne yakka anuye wa an ruwe ne, ani ye nisa ruwe ne. 
MAT.4.8	Shui, nitne kamui anak ne Yesu tura wa shi no ri nupuri orota paye wa ingi moshirʼotta okai chitomtep obitta nukare wa ene itak-hi:— 
MAT.4.9	Aokai en orun kokkae-shirotke wa en ongami yak anak ne tan okaibe obitta e kore ash kusu ne, sekoro itak.
MAT.4.10	Orowa shinuma orun Yesu ene itak-hi:—Satan, oyakta oman, E koro Utarapa ne Kanrui otta ongami, ouse Shinuma otta patek yaishieiwangere e ki kusu ne na, sekorʼan itak anuye wa an ruwe ne gusu ne na, sekoro ye nisa ruwe ne. 
MAT.4.11	Orowa no, nitne kamui Shinuma ekohopi, awa, Kamui hauturunbe araki wa Shinuma otta yaishieiwangere nisa ruwe ne na.
MAT.4.12	Orowa, Yoannes anak ne upakashnu chisei otta aahunge wa an orushpe Yesu nu chiki Shinuma Gariraya moshiri orota oman nisa ruwe ne; 
MAT.4.13	Nazaret kotan ekohopi wa Zeburon kotau newa Naptari kotan okari an atui samta okai Kapernaum kotan orota oman wa an nisa ruwe ne; 
MAT.4.14	tambe anak ne
MAT.4.14	Yorodan pet kushta, atui samta okai,
MAT.4.14	Zeburon kotan hene, Naptari kotan hene,
MAT.4.14	Oya moshirʼun guru koro Gariraya moshiri,
MAT.4.15	Kunne-i oshiketa rok utara
MAT.4.15	Poro nupeki nukan nisa,
MAT.4.15	Shui, rai kurihi an ushiketa rok utara otta,
MAT.4.16	Nei utara otta pekere hetuku nisa ruwe ne na,
MAT.4.16	sekoro uweingara guru ne Isaya ye itak auweomare kuni gusu an ambe ne ruwe ne na.
MAT.4.17	Tande oro Yesu upaskuma ki kuni heashi wa ene itak-hi:—Echi yaikokatpak yan; kando moshiri ehange no an ruwe ne gusu ne na, ani itak.
MAT.4.18	Yesu Gariraya moshiri atui samata apkash wa an ita iriwak ne utara tun nukan nisa ruwe ne, reihei anak ne Simon ani aye Petros newa koro iriwak ne Andreas ne ruwe ne: nei utara anak ne chep koiki utara ne wa gusu, koro ya atui otta turupa wa okai shiriki ruwe ne. Awa, orota Shinuma ene itak-hi:— 
MAT.4.19	En osh araki yan, ainu perai-kara utara echi ne kuni gusu echi kara ash na, ari itak. 
MAT.4.20	Orowa nani koro ya osurupa wa nei utara Yesu osh paye nisa ruwe ne. 
MAT.4.21	Imakaketa nei i wano arupa, aige, shui moshima okai tu iriwak ne utara Zebedee koro poho Yakob newa koro iriwak Yoannes newa nukan nisa: koro michi Zebedee tura no chip otta okai wa ya oske wa okai, awa, shinuma nei utara ne yakka hotuyekara. 
MAT.4.22	Orowa, nani koro michi newa koro chip kane ande wa Shinuma osh paye nisa ruwe ne na.
MAT.4.23	Orowa, Yesu anak ne Gariraya moshirʼebitta apkash wa Kamui kora kenru ta epakashnu hemhem ki, moshiri gusu an pirika shongo ye wa upaskuma hemhem ki: naa samata, ainu tumugeta okai usa tashum newa usa shiyeye iwangere nisa ruwe ne na. 
MAT.4.24	Orowa, Siria moshirʼebitta Shinuma shiassuru ashte wa an, awa, usa okai tashum koro utara hemhem, usa okai iunin newa shiyeyepa utara hemhem, nitnep shikatkari utara hemhem nochi-iush utara hemhem, tushushke tashum ki utara hemhem, obitta atura wa Shinuma orota araki, aige, aiwangere nisa ruwe ne. 
MAT.4.25	Orowa no, Gariraya moshiri hemhem, Dekaporis moshiri hemhem, Yudea moshiri hemhem, orowa, Yorodan pet kushta okai utara hemhem, shi no inne no Shinuma osh paye nisa ruwe ne na.
MAT.5.1	Orowa, inne utara nukara wa Shinuma nupuri hemesu: aige, a wa an koro, orota koikara utara araki nisa ruwe ne: 
MAT.5.2	orowa Shinuma paro maka hine utara epakashnu, aige, ene itak-hi:
MAT.5.3	Ramat gusu otek-sak utara anak ne anunuke ne; kando moshiri nei utara korope ne gusu ne na.
MAT.5.4	Yaituwashkarap utara anak ne anunuke ne; nei utara aomaoma ruwe ne kusu ne gusu ne na.
MAT.5.5	Ramu-rotcha utara anak ne anunuke ne; nei utara moshiri eikeshkoro ruwe ne kusu ne gusu ne na.
MAT.5.6	Ibe rusui iku rusui korachi oupekap kon rusui utara anak ne anunuke ne; nei utara akironnure ruwe ne kusu ne gusu ne na.
MAT.5.7	Erampokiwen wa kore utara anak ne anunuke ne; nei utara aerampokiwen wa akore ruwe ne kusu ne gusu ne na.
MAT.5.8	Keutum turu-sak utara anak ne anunuke ne; nei utara Kamui nukan ruwe ne kusu ne gusu ne na.
MAT.5.9	Itomo ashte utara anak ne anunuke ne; nei utara Kamui Poho utara ne ani areikore ruwe ne kusu ne gusu ne na. 
MAT.5.10	Oupeka-ambe gusu aepokba utara anak ne anunuke ne: kando moshiri nei utara korope ne ruwe ne kusu ne gusu ne na. 
MAT.5.11	Ku ankushkerai gusu moshima guru orowa no echi ohaigeakara an, orowa, aekeshke an, samata, usa shunge itak sange wa echi wen no aye chiki, echi anunuke ne. 
MAT.5.12	Nupetne yan, shi no yaikopuntek yan; kando oshiketa echi gusu an pummaha anak ne porope ne ruwe ne gusu ne na; orowa, echi etokota okai uweingara utara ne yakka tambe nei no aepokba nisa ruwe ne gusu ne na.
MAT.5.13	Echi okai utara anak ne toitoi shippo ne ruwe ne: koroka, shippo anak ne koro mawehe turainu chiki hemanda ani tu shui nei mawehe aomare ruwe he an? nei no an shippo aeiwange ushike ka isam, soita aosura wa ainu orowa no aotereke kuni patek an raka an ruwe ne. 
MAT.5.14	Echi utara anak ne moshiri pekere echi ne, nupuri kashiketa an machiya anak ne anuina eaikap ruwe ne. 
MAT.5.15	Naa samata, ratchako uhuika wa chomba choropoketa ande guru ka isam, set kashiketa nei ambe ande, yakun, chisei ta obitta no okai utara otta nupeki at ruwe ne. 
MAT.5.16	Tambe korachi, echi ki pirika ikip moshima guru nukara wa kando otta an echi koro Michi koiramye kuni gusu, echi koro pekere moshima utara kotchaketa atte yan.
MAT.5.17	Tuitak hene uweingarape hene isamka kuni ne Ku ek shiri ani iteki yainu yan, isamka kuni gusu Ku ek shomoki, uweomare kuni gusu Ku ek nisa ruwe ne. 
MAT.5.18	Inambe gusu ne yakun, son no echi otta Ku ye, kando newa toitoi newa isam pakno nep ne yakka auweomare shomoki chiki, tuitak pon no hene amras pakno hene ne yakka aisamka shomoki kusu ne. 
MAT.5.19	Tambe gusu, nen ne yakka tap iyotta pon ikashpaotte otereke, orowa, moshima okai utara nei ambe otereke kuni epakashnu gurʼanak ne, kando moshirʼotta iyotta pon guru ani aye kusu ne: koroka, nen ne yakka nei tuitak nei no ki wa nei ambe moshima guru otta epakashnu gurʼanak ne, nei guru kando moshirʼotta pase guru ne ani aye kusu ne na. 
MAT.5.20	Echi koro oupeka-i anak ne Parisee un utara hene kambi nuye utara hene koro oupeka ambe eakkari shomoki chiki kando moshiri orun oara echi ahup eaikap ruwe ne sekoro echi otta Ku ye ruwe ne gusu ne na.
MAT.5.21	Iteki keuk, nen ne yakka keuk gurʼanak ne ayaikikip no akoipishi tusu ne, ari an teeda itak ekashi otta aye hi sekoro echi nu wa okai: 
MAT.5.22	koroka, Kuani echi otta Ku ye, nen ne yakka koro iriwak gusu irushka gurʼanak ne aeyaikikip no akoipishi kusu ne: orowa, nen ne yakka toi o iriwak Raka ani porose gurʼanak ne ukoramkoro ki utara gusu aeyaikikip no an kusu ne ruwe ne: orowa, nen ne yakka More ani porose gurʼanak ne abe oma Gehenna gusu aeyaikikip no an ruwe ne kusu ne na. 
MAT.5.23	Tambe gusu, ayange kunip an, aige eani gusu koro iriwak irushka ika an ani eshkarun chiki, koro 
MAT.5.24	yange kunip yange-set kotchaketa ande hine hoshiki no iriwak otta oman wa irenga usaraye, orowa, okaketa ek wa ayange kunip yange yan. 
MAT.5.25	Iyepokba guru ru kashi tura no an chiki, tunashi no upakbare yan; ikineipeka nei iyepokba guru koipishi guru otta ekoshi, orowa, ikoipishi guru anak ne tutanu an guru otta e ekoshi wa ipakashnu chisei otta ika e ahunde an kuni gusu ne na. 
MAT.5.26	Son no e otta Ku ye, amras pakno an ambe ne yakka shomo e sange yak anak ne e soine eaikap kusu ne ruwe ne na.
MAT.5.27	Iteki omoinu, sekorʼan itak echi nu nisa; koroka echi otta Ku ye, 
MAT.5.28	nen ne yakka wen-buri ki kuni rusui gusu shiwentep orun nutara gurʼanak ne keutura ta nei shiwentep tura omoinu koro okere ruwe ne. 
MAT.5.29	Orowa, e shimon shikihi e epetchiure chiki, oashinge wa osura yan: kon netobake ebitta Gehenna otta aeyapkire kasu no netobake koro shine awehe aisamka ambe anak eani gusu naa pirika ruwe ne kusu ne gusu ne na. 
MAT.5.30	E shimon tekehe epetchiure chiki, otuye wa osura yan: netobake ebitta Gehenna otta aeyapkire shomoki no koro shine awehe aisamka-i anak, eani gusu pirika ruwe ne kusu ne gusu ne na. 
MAT.5.31	Nen ne yakka koro machi osurupa chiki, aosurupa ruwe ne ani anuye kambi kore yan, sekorʼan itak ne yakka an nisa, 
MAT.5.32	koroka, echi otta Ku ye, hoiyo moshima ambe gusu koro machi osurupa gurʼanak ne, nei shiwentep ani omoinu koro guru ne kan ruwe ne; orowa nei aosurupa shiwentep koro guru ne yakka omoinu kon ruwe ne.
MAT.5.33	Shui, iteki shunge no ekambakbe ki, koroka, Kamui gusu e ki ekambakbe kara yan, sekoro deeda an itak echi nu; 
MAT.5.34	koroka, echi otta Ku ye, iteki nep ka ko-ye no ekambakbe ki yan, kando anak ne Kamui araset ne wa gusu, kando ko-ye wa iteki ekambakbe ki yan. 
MAT.5.35	Shui toitoi anak ne Kamui koro kemaha andep ne wa gusu, toitoi ko-ye wa iteki ekambakbe ki yan: Yerusarem kotan anak ne poro sapane guru koro machiya ne wa gusu, Yerusarem kotan ko-ye wa iteki ekambakbe ki yan. Shui echi 
MAT.5.36	utara shine otop tu retara hene kunne hene echi kara eaikap ruwe ne gusu, koro sapaha ko-ye we iteki ekambakbe ki. 
MAT.5.37	Koroka, ruwe un anak ne ruwe un ani ye, shomo anak ne shomo ani ye, tapan itak kama itak ambe anak ne wenbe orowa no an ambe ne.
MAT.5.38	Orowa, shiki gusu shikihi, nimaki gusu nimakihi sekorʼan deeda itak echi nu okere, 
MAT.5.39	koroka, echi otta Ku ye, iteki wenbe eumontashpa yan, koroka, nen ne yakka echi shimon notakam kokik guru an chiki moshima an notakam ne yakka akik kuni ne kohosari yan. 
MAT.5.40	Orowa, charange wa echi horowashi amip uk rusui guru an chiki, hokannashi mipihi ne yakka kore yan. 
MAT.5.41	Echi tura wa shine tem arapare guru an chiki, 
MAT.5.42	tu tem pakno tura no oman yau. Echi orota koramkoro guru an chiki, kore, orowa, echi orowa etun rusui guru an chiki iteki shishipnoye yan.
MAT.5.43	A-un guru omap wa, epokba guru etunne yan, sekorʼan itak echi nu okere, 
MAT.5.44	koroka, echi otta Ku ye, echi epokba utara omap yan, echi keshke utara rengap gusu inonno itak ki yan; 
MAT.5.45	kando otta an echi koro Michi poho echi ne kuni gusu tambe nei no ki yan; inambe gusu ne yakun, Shinuma anak ne wen guru gusu ne yakka pirika guru gusu ne yakka koro tokap chup hetukure, orowa, keutum oupeka guru otta ne yakka keutum oheuge guru otta ne yakka apto ashte ruwe ne gusu ne na. 
MAT.5.46	Echi omap utara echi koomap yakun, nep eyaiepirikarep echi koro ya? 
MAT.5.47	Yaku etaye utara ka nei no ki shomoki ya? Echi koro iriwak utara otta patek echi rangarap yakun, nep moshima guru kasu no aki ya? Oya utara ne yakka nei no ki shomoki ya? 
MAT.5.48	Tambe gusu, kando otta an echi koro Michi aeramushinne wa an korachi, echi utara ne yakka aeramushinne no okai yan.
MAT.6.1	Anukara kuni gusu moshima guru tek samata echi oupekap iteki kara yan, anukara kuni gusu oupekap echi ki yakun, kando otta an echi koro michi anak ne pummaha shomo kore ruwe ne.
MAT.6.2	Tambe gusu eungeraitep kore chiki, anun utara otta ramuaye kuni gusu kankapkapeka utara nei no uwekari chisei ta hene machiya otta bene iteki echi kotchaketa rappa arektere yan. Son no echi otta Ku ye, shinuma utara anak ne pummaha koro okere ruwe ne. 
MAT.6.3	Koroka, eungeraitep echi kore chiki, nei akorep nuina no an kuni ne, 
MAT.6.4	shimon tek ani echi kip anak ne hariki tek otta iteki nukare yan; yakun, nuina otta nukara echi koro michi anak ne pummaha echi kore kusu ne.
MAT.6.5	Orowa inonno-itak echi ki chiki kankpakapeka utara nei no iteki ki yan: shinuma utara anak ne moshima utara orowa no anukara kuni ne, uwekarapa chisei ta hene machiya ututta hene roshki koro, inonno-itak ki-hi nupure ruwe ne. Son no echi orota Ku ye, nei utara anak ne pummaha koro okere ruwe ne. 
MAT.6.6	Koroka, eani anak ne inonno-itak ki chiki, koro tumbu ta ahun, orowa, apa-ushta ashi chiki nuina no e koro Michi otta inonno-itak ki yan, yakun nuina otta nukara e koro Michi anak pummaha e kore kusu ne na. 
MAT.6.7	Orowa inonno-itak ki chiki oya utara korachi raka isam no an ramma shine itak iteki ki yan; nei utara poron no itak ki gusu anu kusu ne ani yainu ruwe ne. 
MAT.6.8	Tambe gusu iteki nei no okai yan: echi inonno-itak ki etokota echi kon rusuibe echi koro Michi eramu an wa an ruwe ne gusu ne na. 
MAT.6.9	Tambe gusu, tap korachi inonno-itak ki yan: Kando otta an chikoro Michi, E kon reihei orota aeoripak kuni ne ki wa un kore. 
MAT.6.10	E koro moshiri ekte wa un kore. E korʼirenga kando otta an korachi, moshirʼotta ne yakka une no aki kuni ne ki wa un kore. 
MAT.6.11	Kesto kesto chi e kunip tanto ne yakka un kore. 
MAT.6.12	Chi utara; anak ne chikoro ashosere utara tusare okere korachi, chikoro shosep ne yakka tusare wa un kore. 
MAT.6.13	Chi utara anak ne iteki akoramnukara kuni ne ki wa un kore; koroka wenbe orowa no un ohaitare wa un kore. 
MAT.6.14	Inambe gusu ne yakun, moshima guru koro katpak echi tusare yakun, kando otta an echi koro michi ne yakka echi tusare kusu ne. 
MAT.6.15	Koroka, moshima guru koro katpak shomo echi tusare yak anak ne, echi koro Michihi ne yakka echi koro katpak shomo tusare kusu ne. 
