GEN.1.1	Idi 
GEN.2.19	Ni Jehova Dios binukelna iti daga amin nga an-animal iti daga, ken amin a tumatayab cadagiti langit; ket inyegna ida iti tao tapno makitana no casano ti panangpanaganna cadacuada: ket cas ti pinangnagan ti tao iti amin a parsua a sibibiag, dayta isu ti naganna.
GEN.2.20	Ket pinanaganan ti lalaki amin nga animal a naamo, ken tumatayab iti langlangit, ken ti amin a narungsot iti away; ngem ti tao saan a nacasarac ti catulongan a maitutop kencuana.
GEN.2.21	Ket ni Jehova Dios 
GEN.2.22	Ket ti paragpag nga innala ni Jehova Dios pinagbalinna a babai, ket inyegna iti tao.
GEN.2.23	Ket di tao, kinunana, Daytoy ita isu ti tulang dagiti tulangco, ken lasag ti lasagco: isu mapanagananto, Babai, ta iti Tao ti nacaalaanna.
GEN.2.25	Ket isuda a dua ti lalaki ken ti asawana, silamolamoda idi ket dida nagbain.
GEN.3.2	Ket ti babai kinunana iti uleg, cadagiti bunga dagiti caycayo iti minuyongan maipalubos a mangancami:
GEN.3.4	Ket ti uleg kinunana iti babai, Saan a pudno a mataycayonto:
GEN.3.5	Ta ti Dios ammona nga iti aldaw a pananganyo iti dayta, dagiti matayo maluctandanto, ket caslacayton iti Dios a macaammo ti naimbag ken ti dakes.
GEN.3.6	Ket idi ti babai nakitana nga ti cayo nasayaat a canen, ken macaayayo a buyaen ken cayo a macagargari a mamagsirib, 
GEN.3.8	Ket nangngegda ti timec ni Jehova Dios a magmagna iti minuyongan iti lamiis ti aldaw: ket naglemmeng ti lalaki ken ti asawana cadagiti cacaycayoan iti minuyongan iti imatang ni Jehova Dios.
GEN.3.9	Ket inawagan ni Jehova Dios ti lalaki ket kinunana kencuana, Sadino ti yanmo, sica?
GEN.3.10	Ket isu kinunana, Nangngegco ti timecmo iti minuyongan ket nagbutengac, ta silalamolamoac; ket naglemmengac.
GEN.3.11	Ket kinunana kencuana, Siasino aya ti nangibaga kenca a silalamolamoca? Nanganca iti cayo nga imbilinco kenca a dica canen?
GEN.3.12	Ket ti lalaki kinunana, Ti babai, nga intedmo a caduac, iniccannac iti bungana ket kinnanco.
GEN.3.13	Idin ni Jehova Dios kinunana iti babai, Ania daytoy nga inaramidmo? Ket ti babai kinunana, Ti uleg inulbodnac ket nanganac.
GEN.3.14	Ket ni Jehova Dios kinunana idi uleg, Gapu ta inaramidmo daytoy, nailunodca a nangnangrona ngem cadagiti isu-amin nga animal a naamo, ken animal a narungsot iti daga; ta barucongmo ti ipagnamto, 
GEN.3.15	Ket Siac pagginnuraencayto iti babai, ken ti 
GEN.3.16	Ket idi babai kinunana, Paaduecto unay dagiti ut-utmo ken ti panagsicugmo; iti adu a rigat ipasngaymonto dagiti annacmo; 
GEN.3.17	Ket ken Adan kinunana, Gapu ta inanamungam ti sao ni asawam, ket nanganca iti cayo nga inbilinco kenca a 
GEN.3.18	Sisiit met ken calcalunay pataudennanto kenca ket mangancanto iti natnateng ti daga;
GEN.3.19	Babaen ti linget ta rupam mangancanto ti taraon, aginga't dica agsubli iti daga; isu a nacabuclam: 
GEN.3.20	Ket pinanaganan di lalaki ni asawana iti Eva; gapu ta isu ti ina dagiti isu-amin a nabiag.
GEN.3.21	Ket ni Jehova Dios inyaramidanna ni Adan ken ni asawana cadagiti pagananay a lalat, ket kinawesanna ida.
GEN.3.22	Ket ni Jehova Dios kinunana, Adtoy, ti lalaki nagbalin a cas maysa cadatayo, nga ammona ti naimbag ken ti dakes; ket ita, di la ket ta igawatna ti imana, 
GEN.3.23	Iti casta ni Jehova Dios pinaruarna iti minuyongan ti Eden, tapno talonenna ti daga a nacaalaanna.
GEN.3.24	Ket pinagtalawna ti tao; ket insaadna iti daya ti minuyongan ti Eden ti 
GEN.4.1	Ket ti lalaki dinennaanna ni asawana nga Eva; ket nagsicug, ket inyanacna ni Cain, ket kinunana, Nagun-odco ti maysa a lalaki gapu ken Jehova.
GEN.4.2	Ket inyanacna manen ni cabsatna nga Abel. Ket nagaywan ni Abel cadagiti carcarnero, ngem ni Cain nagtaltalon.
GEN.4.3	Ket naaramid iti panaglasat dagiti pannawen a ni Cain nangala iti 
GEN.4.4	Ket ni Abel, nangala met cadagiti 
GEN.4.5	Ngem ni Cain ken ti datonna dina incancano. Ket nagpungtot unay ni Cain, ket nagliday ti rupana.
GEN.4.6	Ket ni Jehova kinunana ken Cain, Apayapay nga agpungpungtotca? ket apayapay narupanget ta rupam?
GEN.4.7	No naimbag ti aramidem apay a dinto macaparagsac? ket no dica agaramid iti naimbag, ti basol cumleb iti ruangan; ket ti calicagumanna 
GEN.4.8	Ket kinasao ni Cain ni cabsatna nga Abel. Ket naaramid nga, idi addada iti away, ni Cain dinuclusna ni Abel a cabsatna, 
GEN.4.9	Ket ni Jehova kinunana ken Cain, Sadino ti yan ni Abel, daytay cabsatmo? Ket kinunana, 
GEN.4.10	Ket kinunana, Ania ti inaramidmo? Ti timec ti dara ni cabsatmo 
GEN.4.11	Ita ngarud, nailunodca iti daga, a nanglucat iti ngiwatna tapno awatenna ti dara ni cabsatmo ita imam;
GEN.4.12	Intono talonem ti daga, dinanto sublien nga itden kenca ti bilegna; walang-walangcanto ken agpagpagnacanto iti daga.
GEN.4.13	Ket kinuna ni Cain ken Jehova, Dacdackel ti dusac ngem ti mabalinco nga awiten.
GEN.4.15	Ket kinuna ni Jehova kencuana, Gapu ta casta siasinoman a mamapatay ken Cain, 
GEN.4.16	Ket nagpanaw ni Cain iti sango ni Jehova, ket nagnaed iti daga a Nod, iti daya ti Eden.
GEN.4.17	Ket ni Cain dinennaanna ni asawana; ket nagsicug ket inyanacna ni Henoc: ket namangon iti maysa a ili, ket impanaganna iti ili ti nagan ti anacna a Henoc.
GEN.4.18	Ket naputot ken Henoc ni Irad: ket ni Irad pinutotna ni Maviael; ket ni Maviael pinutotna ni Matusael; ket ni Matusael pinutotna ni Lamec.
GEN.4.19	Ket ni Lamec nangala ti dua nga asawana: ti nagan ti maysa Ada, ket ti nagan ti sabali Sella.
GEN.4.20	Ket inyanac ni Ada ni Jabel, isu nga ama idi dagiti agtaeng iti sapsapaw, ken dagiti adda an-animalda.
GEN.4.21	Ket ti nagan daydi cabsatna a lalaki Jubal, isu nga agtoctocar iti harpa ken iti flauta.
GEN.4.22	Ket ni Sella inyanacna met ni Tubal-cain nga agpanpanday iti amin a natadem a suer ken landoc: ket ti babai a cabsat ni Tubal-cain ni Naama.
GEN.4.23	Ket kinuna ni Lamec cadagiti asawana:
GEN.4.23	Ada ken Sella, denggenyo ti timecco;
GEN.4.23	Dacayo nga assawa ni Lamec, timudenyo ti saoc:
GEN.4.23	Ta pinatayco ti maysa a tao gaput ta sinugatnac,
GEN.4.23	Ken ti maysa a baro ta minalonac:
GEN.4.24	No 
GEN.4.24	Pudno a ni Lamec maminpitopulo a pito.
GEN.4.25	Ket dinennaan manen ni Adan ni asawana; ket inyanacna ti maysa a lalaki, ket 
GEN.4.26	Ket ni Set, casta met a 
GEN.5.1	Daytoy ti pacabasaan cadagiti caputotan ni Adan. Idi aldaw a pinarsua ti Dios ti tao, 
GEN.5.3	Ket nagbiag ni Adan iti sangagasut ket tallopulo a tawen, ket pinutotna ti maysa nga anac a lalaki a caaspingna, cas ti ladawanna; ket pinanagananna iti 
GEN.5.4	Ket dagiti 
GEN.5.5	Ket ti dagup dagiti aldaw ni Adan siam a gasut ket tallopulo a tawen: ket 
GEN.5.6	Ket nagbiag ni Set iti sangagasut ket lima a tawen, 
GEN.5.7	Ket ni Set nagbiag, calpasan ti panangputotna ken Enos, iti walogasut ket pito a tawen, ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.8	Ket ti dagup dagiti aldaw ni Set siam a gasut, sangapulo ket dua a tawen: ket calpasanna natay.
GEN.5.9	Ket nagbiag ni Enos iti siam a pulo a tawen, ket pinutotna ni Cainan.
GEN.5.10	Ket ni Enos, calpasan ti panangputotna ken Cainan, nagbiag iti walogasut, sangapulo ket lima a tawen ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.11	Ket dagup dagiti aldaw ni Enos siam a gasut ket lima a tawen: ket calpasanna natay.
GEN.5.12	Ket nagbiag ni Cainan iti pitopulo a tawen, ket pinutotna ni Mahalael:
GEN.5.13	Ket calpasan ti panangputotna ken Mahalael; nagbiag iti walogasut ket uppat a pulo a tawen ni Cainan, ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.14	Ket ti dagup dagiti aldaw ni Cainan siam a gasut ket sangapulo a tawen: ket calpasanna natay.
GEN.5.15	Ket nagbiag ni Mahalael iti innem a pulo ket lima a tawen, ket pinutotna ni Jared:
GEN.5.16	Ket nagbiag ni Mahalael, calpasan ti panangputotna ken Jared, iti walogasut ket tallopulo a tawen, ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.17	Ket ti dagup dagiti aldaw ni Mahalael walogasut, siam a pulo ket lima a tawen: ket calpasanna natay.
GEN.5.18	Ket nagbiag ni Jared iti sangagasut, innem a pulo ket dua a tawen, ket pinutotna ni 
GEN.5.19	Ket nagbiag ni Jared, calpasan ti panangputotna ken Enoc, iti walogasut a tawen, ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.20	Ket ti dagup dagiti aldaw ni Jared siam a gasut, innem a pulo ket dua a tawen: ket calpasanna natay.
GEN.5.21	Ket nagbiag ni Enoc iti innem a pulo ket lima a tawen, ket pinutotna ni Matusalem:
GEN.5.23	Ket ti dagup dagiti aldaw ni Enoc tallogasut, innem a pulo ket lima a tawen:
GEN.5.24	Ket nakipagna ni Enoc iti Dios: 
GEN.5.25	Ket nagbiag ni Matusalem iti sangagasut, walopulo ket pito a tawen, ket pinutotna ni Lamec;
GEN.5.26	Ket nagbiag ni Matusalem, calpasan ti panangputotna ken Lamec, iti pitogasut, walopulo ket dua a tawen, ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.27	Ket ti dagup dagiti aldaw ni Matusalem siam a gasut, innem a pulo ket siam a tawen: ket calpasanna natay.
GEN.5.28	Ket nagbiag ni Lamec iti sangagasut, walopulo ket dua a tawen, ket pinutotna ti maysa nga anac a lalaki:
GEN.5.29	Ket pinanagananna iti Noe, a cunana, Daytoy liwliwaennatayto cadagiti aramidtayo, ken cadagiti ut-utoy dagiti im-imatayo maipuon iti daga, nga 
GEN.5.30	Ket nagbiag ni Lamec, calpasan ti panangputotna ken Noe, iti limagasut, siam a pulo ket lima a tawen, ket pinutotna dagiti annac a lallaki ken babbai:
GEN.5.31	Ket ti dagup dagiti aldaw ni Lamec pitogasut, pitopulo ket pito a tawen: ket calpasanna natay.
GEN.5.32	Ket nagtawen ni Noe iti limagasut a tawen: ket ni Noe pinutotna ni Sem, ni Cam, ken ni Jafet.
GEN.6.1	Ket napasamac nga idi nangrugi dagiti tao nga agadu iti rabaw ti daga ken nayanac cadacuada dagiti babbai,
GEN.6.2	Nga idi dagiti lallaki nga annac ti Dios nakitada ti kinapintas dagiti babbai nga annac dagiti tattao 
GEN.6.3	Ket kinuna ni Jehova, Ti 
GEN.6.4	Adda cadagidi nga aldaw dagiti gigante iti daga, ket casta met iti calpassanna, ta idi simrec dagiti lallaki nga annac ti Dios cadagiti babbai nga annac dagiti tatao, ket nagputotda cadagiti annac: dagitoy isuda idi dagiti mannacabalin a tattao nga adda idi ugma, dagiti lallaki a nagdindinamag:
GEN.6.5	Ket nakita ni Jehova nga ti kinadakes ti tao dackel iti daga, 
GEN.6.7	Ket kinuna ni Jehova, Pucawecto iti langa ti daga ti tao a pinarsuac; tao man ken animal, ken dagiti agcarcarayam, ken dagiti tumatayab cadagiti langit; ta naladingitac a nangaramid cadacuada.
GEN.6.8	Ngem ni Noe 
GEN.6.9	Dagitoy dagiti caputotan ni Noe. Ni 
GEN.6.10	Ket pinutot ni Noe ti tallo nga annac a lallaki, ni Sem, ni Cam, ken ni Jafet.
GEN.6.11	Ket nagdakes ti daga iti sangoanan ti Dios, ket napno ti daga iti ranggas.
GEN.6.13	Ket kinuna ti Dios ken Noe, 
GEN.6.14	Agaramidca iti maysa a daong a cayo ti cedro; agaramidcanto cadagiti silsilid iti daong ket betunamto ti uneg ken ti ruar iti galagala.
GEN.6.15	Ket castoy ti panagaramidmonto: tallogasut a sico ti caatiddug ti daong, limapulo a sico ti caacabana, ket tallopulo a sico ti cangatona.
GEN.6.16	Mangaramidcanto iti maysa a panglawag iti daong, ket mangitiddacanto iti maysa a sico iti ngato; ket ti ruangan ti daong icabilmonto iti bacrangna ket aramidemto ti tallo a cadsaaran kencuana, maysa iti baba, iti tengnga, ken iti ngato.
GEN.6.18	Ngem siac bangonecto ti tulagco kenca; 
GEN.6.19	Ket iti amin nga lasag nga addaan biag 
GEN.6.20	Cadagiti tumatayab a mayalubog iti cakitada, ken cadagiti an-animal a mayalubog iti cakitada, ken cadagiti amin nga agay-ayam a mayalubog iti cakitada, dua iti tumunggal maysa a kita ipastrecmonto tapno aluadam nga agbiagda.
GEN.6.21	Ket sica mangalaca ti amin a taraon a macan, ket ummongem kenca; ket agpaayto a taraonmo ken maipaay cadacuada.
GEN.6.22	Casta ti inaramid ni Noe; cas mayanatup iti amin nga imbilin ti Dios kencuana, 
GEN.7.1	Ket ni Jehova kinunana ken Noe, 
GEN.7.2	Iti amin nga 
GEN.7.3	Casta met cadagiti tumatayab cadagiti langit, sinagpipito, cawitan ken upa, tapno mabatida a sibibiag nga agputot iti rabaw ti amin a daga.
GEN.7.4	Ta apaman a mapalabes ti pito nga aldaw, siac pagtudoecto iti rabaw ti daga cadagiti 
GEN.7.6	Ket nagtawen ni Noe iti innem a gasut idi adda ti layus dagiti danum iti rabaw ti daga.
GEN.7.7	Ket simrec ni Noe, ken dagiti annacna a lallaki, ken ti asawana, ken dagiti assawa dagiti annacna a naicuyug kencuana, iti daong, a maipoon cadagiti dandanum ti layus.
GEN.7.8	Cadagiti an-animal a nadalus, ken cadagiti saan a nadalus nga animal, ken cadagiti tumatayab, ken amin nga aguy-uyas iti rabaw ti daga.
GEN.7.9	Sinagduduada a simrec ken Noe iti daong, lalaki ken babai, cas imbilin ti Dios ken Noe.
GEN.7.10	Ket naaramid nga, idi nalpas ti pito nga aldaw, dagiti danum ti layus addada idi iti rabaw ti daga.
GEN.7.11	Iti maicanem a gasut a tawen ti panagbiag ni Noe, iti maicadua a bulan, iti maicasangapulo ket pito nga aldaw ti bulan, idi met laeng nga aldaw, naglucat 
GEN.7.12	Ket nagtudo iti rabaw ti daga iti uppat a pulo nga aldaw ken uppat a pulo a rabii.
GEN.7.13	Iti daydi met laeng nga aldaw, simrec ni Noe, ken Sem, ken Cam, ken Jafet, nga annac a lallaki ni Noe, ken ti asawa ni Noe, ken dagiti tallo nga assawa dagiti annacna a naicuyog cadacuada, idi daong;
GEN.7.14	Isuda, ken amin nga an-animal a narungsot a mayalubog iti cakitada, ken amin nga agay-ayam nga aguy-uyas iti rabaw ti daga a mayalubog iti cakitada ken amin a tumatayab a mayalubog iti cakitada, iti amin a cakita.
GEN.7.16	Ket dagiti simrec, simrecda a lalaki ken babai ti amin a lasag, 
GEN.7.18	Ket naggundaway dagiti danum ket dimmackelda la unay iti rabaw ti daga; ket nagna di daong iti rabaw dagiti dandanum.
GEN.7.19	Ket dagiti danum nanagudayda iti adu unay iti rabaw ti daga; ket natinep amin dagiti banbantay a nangato nga adda idi iti babaen dagiti langit.
GEN.7.20	Sangapulo ket lima a sico iti rabaw ti nangapawan dagiti dandanum; ket natinep dagiti banbantay.
GEN.7.22	Amin dagiti addaan 
GEN.7.23	Ket napucaw ti amin a sibibiag nga adda idi iti rabaw ti daga, tao man ken an-animal, ken dagiti aguy-uyas, ken dagiti tumatayab iti tangatang; ket napucawda amin iti daga: 
GEN.7.24	Ket dagiti dandanum nanagudayda iti daga iti sangagasut ket limapulo nga aldaw.
GEN.8.1	Ket ti Dios 
GEN.8.3	Ket dagiti dandanum nagsublida a cancanayon manipud iti rabaw ti daga: ket nages-es dagiti danum iti calpasan ti 
GEN.8.4	Ket di daong naisadsad idi maicapito a bulan, idi maicasangapulo ket pito nga aldaw ti bulan iti rabaw dagiti bantay ti 
GEN.8.5	Ket bimmassit la a bimmassit dagiti danum agingga iti maicasangapulo a bulan: idi maicasangapulo a bulan, iti umuna nga aldaw ti bulan, nagpakita dagiti pantoc dagiti bantay.
GEN.8.6	Ket naaramid nga, iti calpasan ti uppat a pulo nga aldaw, ni 
GEN.8.7	Ket imbaonna ti maysa a wac, ket napan nagsublisubli, agingga iti di nagati dagiti danum iti rabaw ti daga.
GEN.8.8	Ket imbaonna ti maysa a calapati, tapno mapanna kitaen no dagiti danum naabbatanda iti rabaw ti daga;
GEN.8.9	Ngem ti calapati saan a nacasarac ti pangibatayanna iti sacana, ket nagsubli kencuana iti daong; gapu ta dagiti danum addada idi iti rabaw ti langa ti amin a daga: ket inunnat 
GEN.8.10	Ket naguray pay laeng iti sabali a pito nga aldaw; ket imbaonna manen di calapati iti ruar di daong;
GEN.8.11	Ket di calapati nagsubli kencuana iti sumipnget ket, adtoy, iti ngiwatna ti maysa a bulong ti olivas a sinippitna: iti casta naawatan ni Noe nga naabbatan dagiti danum iti rabaw ti daga.
GEN.8.12	Ket naguray pay laeng iti sabali a pito nga aldaw, calpasanna imbaonna di calapati; ket isu saanen a nagsubli kencuana.
GEN.8.13	Ket naaramid nga iti maicanem a gasut ken maysa a tawen, iti umuna a bulan, iti umuna nga aldaw ti bulan, dagiti danum pimmanawda iti daga: ket iniccat ni Noe ti calub ti daong, ket kinitana, ket, adtoy, ti langa ti daga simamaga.
GEN.8.14	Ket idi maicadua a bulan, idi maicaduapulo ket pito nga aldaw ti bulan, namagan ti daga.
GEN.8.15	Ket nagsao ti Dios ken Noe a kinunana.
GEN.8.16	Rumuarca iti daong, 
GEN.8.17	Ipanmo iti ruar a maicuyog kenca isu-amin a lasag, nga addaan biag nga adda kenca, uray tumatayab, ken an-animal a naamo, ken amin nga agay-ayam nga aguy-uyas iti daga; tapno agputotda cadagiti adu, ken 
GEN.8.18	Ket ni Noe rimmuar, ken dagiti annacna a lallaki, ken ti asawana, ken dagiti assawa dagiti annacna a kimmuyog kencuana.
GEN.8.19	Amin nga animal, amin nga aguy-uyas, ken amin a tumatayab, uray ania nga aggaraw iti rabaw ti daga, cas mayanatup iti cakitada, rimmuarda idi daong.
GEN.8.20	Ket nangbangon ni Noe ti maysa nga altar ken Jehova, ket nangala iti tunggal nadalus nga animal, ken tunggal nadalus a tumatayab, ket impaayna dagiti daton a mapuuran iti rabaw ti altar.
GEN.8.21	Ket nasay-up ni Jehova ti 
GEN.8.22	Bayat ti caadda ti daga, ti panagmula ken ti panagapit, ken ti lamec ken ti pudot, ken ti calgaw ken ti sibabasa, 
GEN.9.1	Ket binendicionan ti Dios ni Noe ken dagiti annacna a lallaki, ket kinunana cadacuada, 
GEN.9.5	Ket di bumurong a ti darayo, 
GEN.9.7	Ket dacayo, agbungacayo ken agaducayo; agputotcayo iti nawadwad iti daga, ket agaducayo iti rabawna.
GEN.9.8	Ket nagsao ti Dios ken Noe, ken cadagiti annacna a lallaki a caduana, ket kinunana,
GEN.9.9	Ket siac, adtoy, 
GEN.9.10	Ken iti amin a parsua a sibibiag nga adda cadacayo, cadagiti tumatayab, cadagiti animal a naamo, ken iti amin nga animal a narungsot ti daga agraman cadacayo; cadagiti amin a rummuar iti daong, uray isu-amin nga animal ti daga.
GEN.9.11	Ket siac 
GEN.9.12	Ket kinuna ti Dios, 
GEN.9.13	Ti 
GEN.9.15	Ket lagipecto ti tulagco, nga adda caniac ken cadacayo, ken iti tunggal parsua a sibibiag nga addaan lasag; ket dagiti danum didanto agbalinen a layus tapno mangpucaw iti amin a lasag.
GEN.9.16	Ket ti bullalayaw addanto iti ulep; ket kitaecto tapno pacalaglagipac ti agnanayon a tulag iti Dios ken amin a parsua a sibibiag nga addaan lasag iti rabaw ti daga.
GEN.9.17	Ket kinuna ti Dios ken Noe, Daytoy ti pagilasinan ti tulag nga imbangonco 
GEN.9.18	Ket dagiti lallaki nga annac ni Noe, a rimmuar iti daong da 
GEN.9.19	Dagitoy tallo isuda dagiti lallaki nga annac ni Noe: 
GEN.9.20	Ket rinugian ni Noe ti agtaltalon, ket nagmula iti maysa a cauvasan:
GEN.9.21	Ket idi imminum iti arac, nabartec; ket naglamolamo idi iti uneg ti sapawna.
GEN.9.22	Ket nakita ni Cam, nga ama ni Canaan, ti kinalamolamo ni amana, ket sinaritana cadagiti dua a cabsatna idiay ruar.
GEN.9.23	Ket da Sem ken Jafet nangalada iti maysa a pagananay, ket incabilda a dua cadagiti abagada, ket nagnada a sitatallicud, ket inarpawanda ti kinalamolamo ni amada; ket sitatallicud idi dagiti rupada, ket saanda a nakita ti kinalamolamo ni amada.
GEN.9.24	Ket nagriing a naunawan ni Noe iti aracna, ket naammoanna ti inaramid kencuana ti anacna nga inaudi.
GEN.9.25	Ket kinunana,
GEN.9.25	Adipento dagiti adipen cadagiti 
GEN.9.26	Ket kinunana,
GEN.9.26	Bendito coma ni Jehova, a Dios ni Sem;
GEN.9.26	Ket adipenna coma ni Canaan.
GEN.9.27	Palawaen coma ti Dios ni Jafet,
GEN.9.27	Ket agnaed coma cadagiti sapaw ni Sem;
GEN.9.27	Ket adipenna coma ni Canaan.
GEN.9.28	Ket nagbiag ni Noe, calpasan ti layus, iti tallogasut ket limapulo a tawen.
GEN.9.29	Ket ti dagup dagiti aldaw ni Noe siam a gasut ket limapulo a tawen: ket calpasanna natay.
GEN.10.1	Dagitoy ngarud dagiti caputotan dagiti lallaki nga annac ni Noe, nga isuda Sem, Cam, ken Jafet: ket cadacuada nagtaud dagiti lallaki nga annac iti calpasan ti layus.
GEN.10.3	Ket dagiti lallaki nga annac ni Gomer: ni Ascenez, ken Rifat, ken Togorma.
GEN.10.4	Ket dagiti lallaki nga annac ni Javan: ni Elisa, ken 
GEN.10.5	Dagitoy ti nacabingbingayan dagiti 
GEN.10.6	Ket 
GEN.10.7	Ket dagiti lallaki nga annac ni Cus: ni Seba, Hevila, ken Sabta, Raama, ken Sabteca; ket dagiti lallaki nga annac ni Raama: ni Saba ken Dedan.
GEN.10.8	Ket ni Cus pinutotna ni Nimrod: daytoy ti nangrugian ti naidamdamag iti kinamannacabalin iti daga.
GEN.10.9	Isu maysa a mannacabalin a mangnganup idi iti imatang ni Jehova: gapu a masasao, Cas ken Nimrod a mannacabalin a mangnganup iti imatang ni Jehova.
GEN.10.10	Ket ti nangrugian ti pagarianna idi ti 
GEN.10.11	Nanipud iti dayta a daga, napan iti Assur, ket binangonna ti Ninive, ken Rehobot-ir, ken Cale,
GEN.10.12	Ken ti Resen a nagbaetan ti Ninive ken Cale (isu met laeng ti dackel a ili).
