MAT.1.1	Libru yaꞌa kakuneꞌe xixitna Jesucristu. Xixitna‑ia n‑kuu David. Xixitna David n‑kuu Abraham. 
MAT.1.25	ko ñatu n‑kidakuechi‑s xiꞌin‑ña. Nde n‑yaꞌa xa n‑kaku daꞌya yɨɨ‑ña; ijan dada n‑xini tnaꞌa‑s xiꞌin‑ña. Nu n‑kaku‑ia, te n‑danani ñaꞌa José Jesús.
MAT.2.1	N‑kaku Jesús ñuu nani Belén, distrito Judea, daa n‑taxnuni se kuu Herodes. Nu n‑kaku‑ia, n‑ka kixi se ka xinitnuni xa ndeꞌa‑s chudini Jerusalén. Xika n‑ka kixi‑s. N‑ka kee‑s do nuu kane ngandii. 
MAT.2.2	N‑ka xijan tnuꞌu‑s nuu ñayiu Jerusalén:
MAT.2.2	—¿Ndexu n‑kaku seluchi taxnuni nuu ñayiu Israel? N‑ka xini‑da ɨɨn chudini n‑kee do nuu kane ngandii, te ndeka ñaꞌa‑tɨ vaxi. Xaxeꞌe xijan n‑ka kixee‑da xa ndadakaꞌnu koio‑da‑s —ka kuu‑s, ka xiaꞌan‑s.
MAT.2.3	Nu n‑teku se kunxaꞌnu nani Herodes xiꞌin ñayiu Jerusalén xa n‑ka jaꞌan se ijan, te n‑ka chi ini‑s. 
MAT.2.4	Xijan kuu xa n‑nadataka Herodes ntdaa dutu ka taxnuni xiꞌin se ka tuꞌa vaꞌa ley n‑chidotnuni Moisés, te n‑xijan tnuꞌu‑s nuu ndexu kaku Cristu. 
MAT.2.5	Te ka xiaꞌan‑s:
MAT.2.5	—Kaku‑ia Belén, distrito Judea chi duꞌa n‑jaꞌan Ianyuux, te duꞌa n‑chidotnuni se n‑jaꞌan nuu ñayiu xa n‑jaꞌan Ianyuux:
MAT.2.6	Ndoꞌo xa ka kuu‑n ñayiu io ñuu Belén distrito Judea,
MAT.2.6	nduu‑n ñayiu ndandɨꞌɨ ka dada dava ka ñayiu ñuu io distrito Judea,
MAT.2.6	chi ñuu mee‑n kee ɨɨn se taxnuni.
MAT.2.6	Kuenda kɨu se ñunuu tkachi‑s ku kuu‑ia chi junuu‑ia ñayiu Israel.
MAT.2.7	Ijan dada naꞌi ni n‑kana Herodes se ka xinitnuni xa xndeꞌa‑s chudini, te n‑xijan tnuꞌu‑s nuu na kɨu na hora n‑ka xo ndeꞌa‑s chudini jan. 
MAT.2.8	Te n‑taꞌu tniu‑s xa na jɨꞌɨn koio‑s Belén. Xiaꞌan‑s:
MAT.2.8	—Juaꞌan koio‑n, te juen tnuꞌu vaꞌa koio‑n nuu jundu kuu seluchi jan, te nde io‑s. Na naniꞌi‑n‑sɨ, te nuniꞌno ni kachitnuꞌu ñaꞌa‑n chi juini‑da xa jɨn ndadakaꞌnu‑da‑s tuku.
MAT.2.9+MAT.2.10	Nu n‑yaꞌa xa n‑ka xo nini‑s xa n‑jaꞌan se kunxaꞌnu jan, n‑ka kee‑s; ka xeꞌen‑s. N‑ndodo nuu chudini n‑ka xini‑s do nuu kane ngandii juaꞌan nuu‑s. Xaxeꞌe xa n‑ka xo ndeꞌa‑s chudini ndeka ñaꞌa ichi juaꞌan‑s, yo vichi n‑ka kudɨ ini‑s. Nde nuu kaa niu n‑nujuiin‑tɨ. 
MAT.2.11	N‑ka kɨu‑s veꞌe nuu n‑nujuiin‑tɨ, te n‑ka xini‑s niu jan xiꞌin María, ñá kuu dɨꞌɨ‑ia. N‑ka xe juiin xiti‑s nuu‑ia, te n‑ka ndadakaꞌnu‑s‑ia, te n‑ka najaan‑s xatnu kuechi ñuꞌu xa yo yaꞌu xa juñaꞌa nga‑s‑ia. N‑ka xiaꞌan nga‑s oro xiꞌin duxa estoraqui xiꞌin ɨnka nuu duxa yo yaꞌu. 
MAT.2.12	Ijan dada n‑ka kachi xene se ka xinitnuni xa xndeꞌa‑s chudini xa n‑xian tnuꞌu ñaꞌa Ianyuux xa maxku nangondita‑s xa nuꞌu koio‑s nuu Herodes. Te n‑ka xino‑s. Ɨnka ichi juan nuꞌu koio‑s xa juan nuꞌu‑s ñuu‑s.
MAT.2.13	Nu juan nuꞌu koio se ijan, te n‑kachi xene José xa ɨɨn ángel, ia xinokuechi nuu Ianyuux jaꞌan nuu‑s. N‑jaꞌan‑ia:
MAT.2.13	—Ndokoo. Kandeka niu xiꞌin dɨꞌɨ‑ia juaꞌan Egipto. Ijan kutuu koio‑n nde na kachi tnuꞌu ñaꞌa‑r nde kɨu na ndixi‑n yaꞌa chi nduku Herodes niu xa kaꞌni ñaꞌa‑s.
MAT.2.14	N‑ndokoo‑s. Ndeka‑s niu xiꞌin dɨꞌɨ‑ia juaꞌan Egipto xa n‑ka xino‑s xakuaa ijan. 
MAT.2.15	N‑ka xo tuu‑s ijan nde n‑xiꞌí Herodes xa na jɨn tnaꞌa xa n‑jaꞌan Ianyuux nuu se n‑jaꞌan nuu ñayiu xa n‑jaꞌan Ianyuux. Duꞌa n‑chidotnuni‑s: “N‑jaꞌan‑r nuu Daꞌya Yɨɨ‑r xa ndee‑ia Egipto.”
MAT.2.16	N‑tu ini Herodes xa n‑ka dandaꞌu ñaꞌa se ka xinitnuni jan, te yo n‑kiti ini‑s te n‑tundaꞌa‑s soldado‑s juaꞌan Belén xiꞌin ntaka ñuu xndatuu nɨkaduku Belén xa kaꞌni koio‑s seyɨjɨn xiꞌin nde sekuechi io uu kuia. N‑kida‑s cuenta naxa daa yoo n‑yaꞌa xa n‑kixeꞌe xa ndii chudini ndeka se ka xinitnuni jan vaxi, según n‑ka jaꞌan mee se ijan. 
MAT.2.17	Duꞌa n‑xetnaꞌa xa n‑chidotnuni Jeremías, se n‑jaꞌan tnuꞌu Ianyuux nuu ñayiu:
MAT.2.18	Teku ñayiu xa yo ndeꞌe ndaꞌi koio ñadɨꞌɨ ñuu Rama.
MAT.2.18	Daꞌya dana Raquel ku kuu koio‑ña.
MAT.2.18	Yo ndeꞌe ndaꞌi koio‑ña xaxeꞌe daꞌya‑ña.
MAT.2.18	Yo ndeꞌe ku tnau ini‑ña xaxeꞌe‑s.
MAT.2.18	Ma ndiko anu‑ña xaxeꞌe xa n‑ka xiꞌí daꞌya‑ña.
MAT.2.19	N‑xiꞌí Herodes, te dani tuu José Egipto. Ijan n‑kachi xene‑s xa n‑jaꞌan ɨɨn ángel, ia xinokuechi nuu Ianyuux nuu‑s. Xiaꞌan‑ia:
MAT.2.20	—Ndokoo. Kandeka ia luchi xiꞌin dɨꞌɨ‑ia juan nuꞌu Israel chi n‑ka xiꞌí se n‑ka xo nduku ñaꞌa xa kaꞌni ñaꞌa‑s —kuu‑ia, xiaꞌan‑ia.
MAT.2.21	N‑ndokoo José. Ndeka‑s ia luchi jan xiꞌin dɨꞌɨ‑ia juan nuꞌu Israel. 
MAT.2.22	Nu n‑teku José xa Arquelao n‑nujuiin naa nuu taa‑s Herodes xa taxnuni‑s nuu ñayiu distrito Judea, te n‑yuꞌu‑s xa nuꞌu‑s ijan. N‑kachi xene‑s xa n‑jaꞌan Ianyuux nuu‑s xa io kuu distrito Judea. Xijan kuu xa n‑ka xino‑s. Juan nuꞌu‑s distrito Galilea. 
MAT.2.23	Te n‑nukotuu‑s Nazaret. Duꞌa n‑xetnaꞌa xa n‑chidotnuni se n‑jaꞌan nuu ñayiu xa n‑jaꞌan Ianyuux xa ku kuu‑ia se Nazaret.
MAT.3.1	Tiempu ijan n‑xikonuu Sua Bautista distrito Judea nuu ñayo io, te ñatu nga juun dau. 
MAT.3.2	N‑jaꞌan‑s nuu ñayiu n‑ka xo taka ijan:
MAT.3.2	—Natu ini koio xa n‑ka kida‑n kuechi chi vax kuyatni kɨu xa nde andɨu taxnuni Ianyuux nuu ñayiu ñuñayiu.
MAT.3.3	Nani n‑chidotnuni Isaías, se n‑jaꞌan nuu ñayiu xa n‑jaꞌan Ianyuux daa n‑jaꞌan Sua:
MAT.3.3	Xee kana ɨɨn se kutuu nuu ñayo io te ñatu nga juun dau:
MAT.3.3	“Kada tuꞌa‑n mee‑n ɨɨn ɨɨn‑n xa na kuaꞌa kueka koio‑n Ianyuux, Ia kuu Xtoꞌo‑ro.
MAT.3.3	Kuenda kɨu ichi ka kuu‑n.
MAT.3.3	Ndadandaa‑n ichi jan”,
MAT.3.3	kuu Sua, n‑xo jaꞌan‑s.
MAT.3.4	Ñɨɨ camello n‑kuu daꞌma‑s, te n‑xo duku cinturón ñɨɨ dujun kaꞌa‑s. N‑xo xaxi‑s tɨka langosta xiꞌin ndudi ñuñu io yuku. 
MAT.3.5	N‑ka xo taka ñayiu io Jerusalén nuu n‑xo dakuaꞌa‑s‑yɨ xa kunini koio‑i tnuꞌu‑s. Dɨuni n‑ka xo taka ñayiu io nituꞌu distrito Judea nuu‑s xiꞌin ntdaa ñayiu io yatni yuꞌu deꞌva Jordán nuu xika ndute. 
MAT.3.6	Ñayiu n‑ka natu ini xa n‑ka kida‑i kuechi, n‑dajuendute‑s‑yɨ nuu ndute xika deꞌva Jordán. 
MAT.3.7	Kueꞌe se fariseu xiꞌin se saduceu n‑ka xo xeꞌen nuu‑s xa dajuendute ñaꞌa‑s, te n‑xo jaꞌan‑s nuu‑s:
MAT.3.7	—Daꞌya Kuiꞌna ka kuu‑n. ¿Jundu n‑kachi tnuꞌu ñaꞌa xa kaku koio‑n nuu Ianyuux? ¿Ka kachi ini‑n xa hora na kixi‑ia ma kiti ini‑ia nuu‑n a? ¿Jundu n‑kachi tnuꞌu ñaꞌa xa ma ndadandaa‑ia kuechi‑n? 
MAT.3.8	Nux xandaa xakuiti n‑ka natu ini‑n xa n‑ka kida‑n kuechi, kada koio xavaꞌa. 
MAT.3.9	Maxku ku juñaꞌa tnaꞌa‑n: “Ndandɨꞌɨ‑ro chi daꞌya dana Abraham ka kuu‑ro”, chi ruꞌu jaꞌan xa kuaꞌa Ianyuux xa kada‑ia xa yuú yaꞌa nduu daꞌya dana Abraham. 
MAT.3.10	Ka kuu‑n kuenda kɨu yutnu taꞌnde xa katuu kaa xeꞌe‑tnu. Ntdaa yutnu ñatu juun xavidi vaꞌa, taꞌnde‑tnu, te jɨꞌɨn‑tnu nuu nuꞌu koko. 
MAT.3.11	Ruꞌu dajuendute ñaꞌa nuu ndute, ko na xinokava tniu‑r, te kixi Ia kixi. Tuku kada‑ia. Taxnuni ka‑ia dada ruꞌu. Ni ñatu natau xa junukuechi‑r nuu‑ia, ni xa kaneꞌe‑r ndixa‑ia chi se dakuu nga kuu‑r. Mee‑ia kada xa juꞌun ñaꞌa Espíritu Ianyuux, te ndadandaa‑ia kuechi‑n. 
MAT.3.12	Kuenda kɨu ɨɨn se neꞌe pala‑s xa dandechi‑s trɨu‑s kuu‑ia. Kuenda kɨu trɨu jan xiꞌin paja kuu ñayiu. Se ijan, nataxtnaꞌa‑s trɨu‑s, te chiꞌi‑s ɨɨn veꞌe, te teñuꞌu‑s paja nuu nuꞌu ku koko nɨkava nɨkuita —n‑xo kuu Sua, n‑xo xiaꞌan‑s.
MAT.3.13	Ijan dada n‑kee Jesús distrito Galilea. N‑xee‑ia yuꞌu ndute xika Deꞌva Jordán xa dajuendute ñaꞌa Sua. 
MAT.3.14	Ñatu n‑juini Sua xa dajuendute‑s‑ia. N‑jaꞌan‑s nuu‑ia:
MAT.3.14	—¿Nakuenda xa daña ku dajuendute ñaꞌa, te mee‑n io xa dajuendute ñaꞌa‑n?
MAT.3.15	Te n‑jaꞌan Jesús nuu‑s:
MAT.3.15	—Kada naꞌi chi daa ñu ini Ianyuux xa kada‑ro ntdaa xa n‑taꞌu tniu‑ia.
MAT.3.15	Ijan dada n‑xejoon Sua 
MAT.3.16	xa n‑dajuendute‑s Jesús. N‑nane‑ia nuu ndute, te n‑najaan andɨu. N‑xini Jesús xa vax juun Espíritu Ianyuux nde andɨu. N‑xe juindodo‑ia dɨkɨ‑ia. Data n‑nduu‑ia. 
MAT.3.17	N‑jaꞌan Ianyuux nde andɨu:
MAT.3.17	—Ia yaꞌa kuu Daꞌya Yɨɨ Mani‑r. Vichi tna ini‑r xa kida‑ia —kuu‑ia.
MAT.4.1	Ijan dada ndeka Espíritu Ianyuux Jesús juaꞌan nuu ñayo io te ñatu nga juun dau. Ijan n‑kuu Kuiꞌna xa dajaꞌan ñaꞌa‑i xa kada‑ia kuechi. 
MAT.4.2	Ña tuu nax n‑xaxi‑ia uu diko nduu, uu diko niu. Ijan dada n‑kojon‑ia. 
MAT.4.3	Te n‑xee Kuiꞌna xa dajaꞌan ñaꞌa ntuku‑i xa kada‑ia kuechi. N‑jaꞌan‑i nuu‑ia:
MAT.4.3	—Nuxa ndaa xa Daꞌya Yɨɨ Ianyuux kuu‑n, juñaꞌa yuú yaꞌa na nduu‑i tila.
MAT.4.4	N‑jaꞌan Jesús nuu‑i:
MAT.4.4	—Yodotnuni tnuꞌu Ianyuux xa: “Io xa kaxi koio ñayiu na kuaꞌa kundito koio‑i, ko ñadu diko ni xijan io xa kada‑i, chi dɨuni io xa kunini‑i ntdandituꞌu tnuꞌu Ianyuux.”
MAT.4.5	Ijan dada ndeka Kuiꞌna Jesús juaꞌan Jerusalén xa jandodo ñaꞌa‑i nuu dujun ka dɨkɨ veñuꞌu ñuu ii jan. 
MAT.4.6	Xiaꞌan‑i nuu‑ia:
MAT.4.6	—Nux ndaa xa Daꞌya Yɨɨ Ianyuux kuu‑n jungava nde nuu ñuꞌu jan, chi yodotnuni tnuꞌu Ianyuux: “Taꞌu tniu Ianyuux nuu ángel, ia ka xinokuechi nuu‑ia, xa junuu ñaꞌa‑ia.” Dɨuni yodotnuni tnuꞌu‑ia xa: “Junuu ñaꞌa koio‑ia xa na ñaꞌa tnukueꞌe xeꞌe‑n nuu yuu” —kuu Kuiꞌna, xiaꞌan‑i.
MAT.4.7	Te xiaꞌan Jesús:
MAT.4.7	—Dɨuni yodotnuni xa: “Maxku kototnuni‑n Ianyuux, Ia kuu Xtoꞌo‑ro.”
MAT.4.8	Dɨuni ndeka Kuiꞌna Jesús juaꞌan ɨɨn dɨkɨ yuku yo dujun. N‑dandeꞌa‑i Jesús ntdaa ñuu ñuñayiu nuu taxnuni ntdaa se ka taxnuni ntdaa ñuu ijan. N‑dandeꞌa ñaꞌa‑i kueꞌe ñuu vili xndaxio ijan. Yo yaꞌu xa io ijan. Xiaꞌan‑i nuu‑ia:
MAT.4.9	—Ntdaa xaꞌa taxi‑r nux njuiin xiti‑n nuu‑r te nakuetu‑n nuu‑r.
MAT.4.10	Xiaꞌan Jesús:
MAT.4.10	—Juaꞌan Satanás chi duꞌa yodotnuni tnuꞌu Ianyuux: “Nuu Ianyuux, Ia kuu Xtoꞌo‑ro, njuiin xiti koio. Nakuetu koio te kajan taꞌu koio nuu‑ia. Nuu mee ni‑ia junukuechi koio.”
MAT.4.11	Ijan dada n‑dandoo ñaꞌa‑i, te n‑ka xee ángel, ia ka xinokuechi nuu Ianyuux nuu Jesús xa junukuechi‑ia nuu‑ia.
MAT.4.12	N‑teku Jesús xa yɨndiꞌu Sua vekaa. Xaxeꞌe xijan juan nuꞌu‑ia Nazaret, distrito Galilea, 
MAT.4.13	ko ña n‑ndoo‑ia Nazaret xa kutuu‑ia ijan. N‑nangondita‑ia Capernaum. Capernaum katuu yatni yuꞌu mar yatni nuu xndatuu ñuu nani Zabulón xiꞌin ñuu nani Neftalí. 
MAT.4.14	N‑naxee‑ia ijan xa na jɨn tnaꞌa tnuꞌu n‑chidotnuni ɨɨn se n‑jaꞌan nuu ñayiu xa n‑jaꞌan Ianyuux. Isaías n‑xo nani‑s. Duꞌa n‑chidotnuni‑s:
MAT.4.15	Kakuneꞌe‑da ñayiu io Zabulón xiꞌin ñayiu io Neftalí.
MAT.4.15	Galilea kuu distrito‑i.
MAT.4.15	Ijan xndaxio ñayiu ñatu kuu daꞌya dana Israel.
MAT.4.15	Ichi xiti distrito nuu io‑i juaꞌan Mar Galilea.
MAT.4.15	Galilea katuu yuꞌu Deꞌva Jordán nuu xika ndute.
MAT.4.16	Jini ñayiu Ia juña tnuꞌu ñaꞌa jundu kuu Ianyuux.
MAT.4.16	Kuenda kɨu nuu nee nuu kuú‑i ka xikonuu‑i,
MAT.4.16	xa ñatu ka kutnuni ini‑i jundu kuu‑ia,
MAT.4.16	kuu tnuꞌu n‑chidotnuni Isaías.
MAT.4.17	Tiempu ijan n‑kixeꞌe Jesús xa dakuaꞌa‑ia ñayiu. N‑jaꞌan‑ia nuu‑i:
MAT.4.17	—Natu ini koio xa n‑ka kida‑n kuechi, chi vax kuyatni kɨu taxnuni Ianyuux nuu ñayiu ñuñayiu.
MAT.4.18	Nɨni xika‑ia yuꞌu Mar Galilea, te n‑xini‑ia se ndeka tnaꞌa xiꞌin ñani‑s. Ɨɨn‑s nani Simón. Dɨuni nani‑s Spedru. Ndrixi nani ɨnka‑s. Ka dakeé‑s ñunu‑s nuu ndute hora ijan, chi se ka tava chaka ka kuu‑s. 
MAT.4.19	Te n‑jaꞌan Jesús nuu‑s:
MAT.4.19	—Nkuitandijun ñaꞌa koio, te kada‑r xa dataka‑n ñayiu ná dataka‑n chaka xiꞌin ñunu‑n.
MAT.4.20	Hora ijan ni n‑ka dandoo‑s ñunu‑s, te n‑ka xe kuitandijun‑s Jesús. 
MAT.4.21	N‑xini ntuku‑ia ɨnka se ndeka tnaꞌa xiꞌin ñani‑s, te n‑kana‑ia‑s. Ɨɨn‑s nani Jacobo. Ɨnka‑s nani Sua. Ka kuu‑s daꞌya yɨɨ Zebedeo. Xñutuu‑s xiꞌin taa‑s xiti barcu xa ka ndadavaꞌa‑s ñunu‑s. 
MAT.4.22	Hora ijan ni n‑ka dandoo‑s taa‑s xiꞌin barcu‑s, te n‑ka xe kuitandijun‑s‑ia.
MAT.4.23	Ijan dada n‑xikonuu Jesús nituꞌu distrito Galilea. N‑dakuaꞌa‑ia ñayiu Israel xiti veñuꞌu kuechi ñuu xiꞌin ñuu. N‑jaꞌan‑ia tnuꞌu Ianyuux nuu ñayiu. N‑kakuneꞌe‑ia xa taxnuni Ianyuux nuu ñayiu ñuñayiu. Tnuꞌu vaꞌa kuu. Dɨuni n‑ndadavaꞌa‑ia ñayiu ka tnaꞌa ntdaa nuu kueꞌe. N‑ndadavaꞌa‑ia nuu ka xaxiaꞌan du. 
MAT.4.24	Nituꞌu nación Siria n‑ka teku ñayiu xa n‑kida‑ia. N‑ka xe ndeka ñayiu ijan ñayiu ka tnaꞌa tɨtnɨ nuu kueꞌe xiꞌin ñayiu ndaꞌu ka yaꞌa xaxeꞌe kueꞌe ka tnaꞌa‑i. Xndeka‑i ñayiu xñuꞌu ñaꞌa xaloko n‑ka xeꞌen. N‑ka xe ndeka‑i ñayiu tnaꞌa kueꞌe xiyɨꞌɨ du. N‑ka xe ndeka‑i ñayiu n‑xiꞌí xeꞌe, te n‑ndadavaꞌa ñaꞌa Jesús. 
MAT.4.25	N‑ka xe kuitandijun ñaꞌa ñayiu tɨtnɨ ñuu. Ka kuu‑i ñayiu Galilea, ñayiu Decápolis, ñayiu Judea, ñayiu io yatni yuꞌu Deꞌva Jordán xiꞌin ñayiu Jerusalén du.
MAT.5.1	N‑xini Jesús xa kueꞌe ñayiu xyuku nuu‑ia, te n‑xe xee‑ia ɨɨn yuku, te n‑nukoo‑ia ijan. N‑ka xetuꞌa ñaꞌa se dakuaꞌa‑ia. 
MAT.5.2	N‑kixeꞌe‑ia xa dakuaꞌa‑ia‑s xiꞌin ñayiu xyuku ijan. Xiaꞌan‑ia:
MAT.5.3	—Na jaꞌan‑r xa ñayiu ka xani ini xa ma dananitaꞌu ñaꞌa Ianyuux xaxeꞌe xa yo n‑ka kida‑i kuechi, te n‑ka natu ini‑i xa n‑ka kida‑i kuechi, naka taꞌu‑i chi kɨu tnaꞌa‑i nuu ñayiu ka jandixa xa taxnuni Ianyuux nuu‑i.
MAT.5.4	ʼÑayiu ka ndaꞌi xaxeꞌe xa yo ka kukoꞌyo ini‑i xa n‑ka kida‑i kuechi, naka taꞌu‑i chi kundaꞌu ini ñaꞌa Ianyuux, te ma kukoꞌyo ini ka‑i.
MAT.5.5	ʼÑayiu ka xani ini xa ka kuu‑i ñayiu dakuu nga, te dɨuni ka xani ini‑i xa ñatu ndandɨꞌɨ‑i, naka taꞌu‑i chi kendoo‑i xiꞌin ñuꞌu n‑xiaꞌan Ianyuux xa juñaꞌa‑ia.
MAT.5.6	ʼÑayiu io anu xa kada koio‑i xa juini Ianyuux, naka taꞌu‑i chi kada‑i ntdaa xijan, te kudɨ ini‑i.
MAT.5.7	ʼÑayiu kundaꞌu ini ɨnka ñayiu, naka taꞌu‑i chi kundaꞌu ini ñaꞌa Ianyuux.
MAT.5.8	ʼÑayiu n‑kida Ianyuux xa n‑ndunini‑i, naka taꞌu‑i chi jini‑i‑ia.
MAT.5.9	ʼÑayiu kida xa ka ndumani nuu tnaꞌa ɨnka ñayiu, naka taꞌu‑i chi jaꞌan Ianyuux xa kuu‑i daꞌya‑ia.
MAT.5.10	ʼÑayiu kida xa juini Ianyuux te ndaꞌu yaꞌa‑i xaxeꞌe‑ia, naka taꞌu‑i chi jɨꞌɨn‑i nuu taxnuni‑ia.
MAT.5.11	ʼNaka taꞌu kuu koio‑n hora kuiꞌa na jaꞌan ñaꞌa ñayiu te kada uꞌu ñaꞌa‑i te tekuechi neñuu ñaꞌa‑i. Ntdaa xijan kada ñaꞌa‑i xaxeꞌe ruꞌu. 
MAT.5.12	Io xa kuvete‑n. Io xa kudɨ ini koio‑n chi yo kueꞌe xa io andɨu taxi Ianyuux xaxeꞌe xa daa yaꞌa‑n. Duꞌa n‑ka kida uꞌu ñayiu xanaꞌa se n‑ka jaꞌan tnuꞌu Ianyuux nuu ñayiu na ta koo koio ka‑n.
MAT.5.13	ʼKa kuu‑n ná kuu ñɨɨ́. Nux ñatuka ede ñɨɨ́, ma kuu xa nduu ede. Ña xiniñuꞌu ka. Kate‑ro te jueñi niꞌno nga‑ro. 
MAT.5.14	Dɨuni ka kuu‑n ná kuu ngandii xa datnuni‑ia ñuñayiu. Ná kuu ɨɨn ñuu katuu nuu yuku dujun ka kuu‑n xa ñatu yɨvaꞌa. 
MAT.5.15	Ñayo ñayiu natnuu candil te chindeyu‑i maquila. Ñatu daa kida‑i chi jandodo‑i candil jan ɨɨn nuu dujun na kuaꞌa na kuu kanda nituꞌu xiti veꞌe‑i. 
MAT.5.16	Dani ndoꞌo ɨɨn ɨɨn‑n, kada‑n xa vaꞌa xa na kundeꞌa ñayiu ñuñayiu xa ka kida‑n xavaꞌa na kuaꞌa na ndadakaꞌnu‑i Taa‑ro Ianyuux, Ia tuu andɨu.
MAT.5.17	ʼMaxku kani ini koio‑n xa tniu‑r kuu xa dita‑r ley n‑chidotnuni Moisés xiꞌin xa n‑ka chidotnuni se n‑ka jaꞌan tnuꞌu Ianyuux nuu ñayiu. Ma daa kada‑r, chi kada‑r xa jɨn tnaꞌa xa xyodotnuni. 
