LUK.1.1	O danah naŕi Tiofilus, danah kuŕum la os ag tatam keŕ keŕ ig gamnigwa beko atan qeri né ene yeg. 
LUK.1.20	Na doka koutor. Gei ole na né kaŕdew né ospi mariwen, keŕdi na dasil né ot meŕe pi mé. Na dawe atew nir nasip dow am bulika né maririp. Da keŕ aném qe sén nusig morakwa bérig.” 
LUK.1.21	Sén qewa danahas Sakaraia dimdim bérigri ameg méksi dessi dahmak kuŕum og. “Aregri Tiwur Lougwa gun awen owa wagamnah de?” 
LUK.1.22	Sén nug dimdim ban ge, nug né mariakri olele kawa. Ag nug Tiwur Lougwa kowol os pian ge, nug ewegwa ih sew peksi olag mouran, keŕdi nug né kaŕdan. 
LUK.1.23	Nug pris kuakri sén nusig qe malako ge, buliko lougwa atan. 
LUK.1.24	Qe dimba ge, waw Elisabet o ole meko, nug kalam tanig ole qe louw ih daré. 
LUK.1.25	Elisabet anan, “Naŕinah dasil o niew, nug sew da nir ole mein. Géri danahas nolagwa uŕa nak dorém ge, nug sew kawa man.”
LUK.1.26	Kalam 6 qere Elisabet nirdi weiewew, Tiwur doup nusig wénih Gebrel qe meŕorew taun nagur wénih Nasaret qewa atan. Taun qe Galili atu owa de. 
LUK.1.27	Tiwurdi doup nug Tiwurdi né oko as magun os danah ole ospi weiyes ole qe dowa atan. Nug danah os wénih Yosep king Dewit fuŕuhwari qeri fég oŕweg. As magun qe wénih Maria. 
LUK.1.28	Tiwurdi doup nug gumurko atko amegwa anan, “Maria, na kena te dana? Tiwur nasip o naŕi nie. Tiwur na ole dasa.” 
LUK.1.29	Maria doupri né qe doko wawtuŕko katat qew ge dahman, “Keŕ digurinah né ene ané.” 
LUK.1.30	Gam Tiwurdi doup anan, “Maria, na aw faŕwen. Tiwur nasip o nie. 
LUK.1.31	Geisah na ot ole meka nir danah os memanka am nug wénih Yesus kataŕ. 
LUK.1.32	Tiwur sew nug binag naŕi ole bérig am nug wénih Tiwur Karannah Bega éksi anlag. Naŕinah Tiwur sew nug king beko alag dugiah Dewit king daré sillah darig. 
LUK.1.33	Nug Yakop fuŕuh gumarelle king sansan darig. Kingdom nusig ge ospi kawa mew,” eko anan. 
LUK.1.34	Maria Tiwurdi doup amegwa anan, “Da danah ole ospi weiyeŕ gam, aregnah kowol qere dagnéwa bérig?” 
LUK.1.35	Tiwurdi doup koŕewa oko anan, “Koulli Gun neko na tonirew gagragsak Tiwur Karannahri na qanŕirdig. Qeri nir gunnah na memandip qe wénih Tiwur Bega éksi anlag. 
LUK.1.36	Na doka koutor. Na liap Elisabet ole nug keinmanah, nug owa nir kawa éksi andéw, gam gei nug kalam 6 qere nirdi weiye, géri nug nir ole darig. 
LUK.1.37	Keŕdi Tiwur nug keŕ os sakri ane ge, qe mou bérig.” 
LUK.1.38	Maria Tiwurdi doup koŕewa oko anan, “Da Naŕinahri kuak as, na né anam qe sillah bar.” Qere anew ge, Tiwurdi doup nug munurko atan.
LUK.1.39	Qe dimba wagam ole kawa, Maria bawarko usihri teko Yudia atu owa taun os qoukuwa, Sakaraia Elisabet ole des qewa atan. 
LUK.1.40	Atko Sakaraia lougwa wanew Elisabet peko sumdew ge, Maria ole Elisabet sumdan. 
LUK.1.41	Sumdewew ge, nir Elisabet owa nian qe ole kawqan. Koulli Gun Elisabet wittew dessa dahmak moran. 
LUK.1.42	Elisabet qalko Mariari anan, “Tiwur na as la kunum eŕarak wittak kena miran, am Tiwur nir na otwa nie qe wittak kena moran. 
LUK.1.43	Da ol gamagnah ase, keŕdi Naŕinah dasil anig peiŕdigri uŕiyé. 
LUK.1.44	Na sumŕam qe dueppi ole nir da olwa ene gamag asew kawqé. 
LUK.1.45	Tiwur na wittak miran, keŕdi na nug anan qe beko mou murdigri ot meŕe man,” eko Elisabet Maria anoran.
LUK.1.46	Maria anan, “Da ol dahmak ole kunum Naŕinah morko binag meina. 
LUK.1.47	Da Tiwurdi ol gamag naŕi ase, keŕdi nug da hipunin dasil noh uwindi seko buliko wiŕan. 
LUK.1.48	Da Tiwurdi kekuak as sam, gam nug da dahmiŕko koutoran. Qeri gei digumak am dimba dimba ole danahas anlag, ‘Tiwur as qe wittak kena moran,’ éksi anlag. 
LUK.1.49	Keŕdi Tiwur Gagragsak Digu, nug dagrowa kowol danah sakri kawa qe sew ban. Nug wénih gunnah. 
LUK.1.50	Nug sew danahas nug faŕursi ole qe ag alalgar dugialgar ole ag nusig o duak owa dalag. 
LUK.1.51	Nusig gagragsakwa kowol danah sakri kawa qe san. Nug sew danah ag agégé binlag meg qe kum qétieg. 
LUK.1.52	Nug king binlagri seréw qe dilag gagragsak sew kawa meweg, am danah binlag kawa sam daréw qe sew ag nug nohwa naŕi beg. 
LUK.1.53	Nug danahas ke kawa qe ke kena nusigwa begaran am sew danahas kehlag ole qe ewlag sam qere ateg. 
LUK.1.54+LUK.1.55	Nug kuak nir nusgur Israel danahas kehnaran. Keŕdi nug Abraham am algur dugiahur ole o duak nusig owa sansan diakri né fagqan qe dahmorko, ig alangar dugiangar agop ole qere sérig,” eko Maria Tiwur binag man. 
LUK.1.56	Maria nug Elisabet ole kalam kiam sillah dessa, am buliko kawagwa Nasaret atan. 
LUK.1.57	Elisabetri nir memnak sén dow ge, nug nir danah memnan. 
LUK.1.58	Nug gému ole asilaswari am leilti ag Elisabet nug Naŕinahri o duak naŕi owa dian qe dueksi, uŕiweg nug ole aŕié olag gamag asan. 
LUK.1.59	Deŕ 8wa ge nir féŕu gone kotŕakri sén dew, ag uŕiyeg. Ag memeg Sakaraia wélqorlagri seg. 
LUK.1.60	Gam nir anig anaran, “Kawa, nir wénih Yon kataŕnig,” eko anan. 
LUK.1.61	Anew ge, ag Elisabet anoreg, “Asilag atérwari ounté os wénih qere ole kawa.” 
LUK.1.62	Am ag Sakaraia nir wénih oun kataŕdig qe dolagri ewlagwa nug perigri kowol seg. 
LUK.1.63	Seweg ge, nug keke os morweg yarigri ewegwa ih sew uksi morweg ge, “Nug wénih Yon,” yew peksi dorlag nan. 
LUK.1.64	Sén qewa ih Sakaraia nug koŕe koptew digumeko né mariyelle Tiwur binag suman. 
LUK.1.65	Danahas aŕié daréw ole qe né qe kunum duessi wawtuŕeg. Yudia atu kunum qoukuwari danahas ag ole kowol qe neihwah marieg. 
LUK.1.66	Danahas kowol qeri né duessi olag meweg te meweg new ge aneg, “Nir ene keŕ danahnah bérig?” éksi aneg. Keŕdi Naŕinah eweg
LUK.1.67	Koulli Gun Yon memeg Sakaraia wittew des, géri nug Tiwurdi né qe oko marian. 
LUK.1.68	“Naŕinah Israel isanig Tiwur binag ménig. Nug danahas nusgur kehnardigri uŕiko kegeŕ asilgar ewlagwari buliko diaran. 
LUK.1.69	Tiwur kéhnigak danah os gagragsak naŕi ole ignéwa mew uŕiyan. Nug Naŕinahri kuak danah king Dewit fuŕuh. 
LUK.1.70	Algu Tiwur sew profet gun ag nusig né qe uksi marieg. 
LUK.1.71	Nug danah qe gagragsak naŕi ole ig kéhnigrigri mew uŕirig. Nug isanig kegeŕ am danahas are ag ig nouni dahmigsi ole qe ewlagwari buliko wigrig. 
LUK.1.72	Tiwurdi o duak ig alangar dugiangar ole deg am nug titwanak gun qe doug ospi katian. 
LUK.1.73	Tiwur nug alnig dugianig Abraham dowa né qe fagqan. 
LUK.1.74+LUK.1.75	Nug ig kegeŕ isangar ewlagwari wigrigri né fagqan. Qeri ig pi faŕhut, nug nohwa onig kunum morettu sansan mangu weiyettu gun dettu nug binag ménig. 
LUK.1.76	Am nir dasil Yon, na geisah Tiwur sew na Tiwur Karannahri profet éksi aniŕlag. Keŕdi na Naŕinah noh oka anuqka atenna ih nusig oŕdip. 
LUK.1.77	Na danahas nusgur anardip: Naŕinah hipunin asilag kusuqko buliko diardig. 
LUK.1.78	Keŕdi Tiwur isanig o duak naŕi nie, qewa ge kem be sillah Naŕinah kéhnigrigri saw kappari uŕirig. 
LUK.1.79	Danahas gattuwa dasi am mousakri faŕakwa dasi qe agop sonŕelle nug ih ismigew Tiwurdi maror ihwa atnig,” eko anan. 
LUK.1.80	Nir qe dahmak am o mourak kena ole kena man. Nug atu meiŕak danah kawawa daré, gam dimba Israel danahas gumarko wanan.
LUK.2.1	Sén qewa Ogastus nug Rom atu qe kunum dilag king delle, nug ŕo os man: Danahas kunum atu qewa daréw ag wenlag yalagri ŕo qe man. 
LUK.2.2	Kurinius nug Siriari kuri danah naŕi delle ge, wenlag yakri ŕo qe diguman. 
LUK.2.3	Am danahas kunum ag kawlag awen awen wenlag yalagri aseksi ateg. 
LUK.2.4	Géri Yosep nug ole Galili owa taun Nasaret qewari am Dewitri taun Betlehem Yudia atu qewa atan. Keŕdi nug Dewit fuŕuh. 
LUK.2.5	Nug Maria ole aŕié wenlas yalasri ates. Maria nug Yosep uŕigri fég oŕwak dewew am Maria nir uŕigri sén unaka dewew ole ates. 
LUK.2.6	A Betlehem qewa dessa ge, Mariari nir memnak sén duan. 
LUK.2.7	Sén qewa nug nir danah memnan. Nug ge nir anqakri. Maria nir qe lamen naŕiwa saputko ge, doŕ dilag kelak awen qewa awen bawarko mew nian. Keŕdi ŕo danah niakri lo qe ambew ag awen ole kawa.
LUK.2.8	Sipsip gumarak danah ag Betlehem kaw qe mourak awen gisgaŕ olewa sipsip asilgar gumareksi tuqan qewa deg. 
LUK.2.9	Tiwurdi doup nug ag gumarko gamlagwa now ge, Naŕinahri kamsahlak sonaŕko talilaran. Talilarew, olag naŕinah faŕan. 
LUK.2.10	Am Tiwurdi doup nug ag anaran, “Ag aw faŕweg. Da asilag né kenanah os oko uŕiyém. Né qe sew danahas kunum olag gamag naŕi asdig. 
LUK.2.11	Gei deŕ ewa Dewitri taunwa as os nir danah memanko maré. Nir qe hipunin noh asilag owegri seko buliko diarak danah am nug Naŕinah Kristus.
LUK.2.12	Ag nir qe peksi olag mourdigri ge kowol os ere pelag: Nir anig nug lamenwa saputko doŕ dilag kelak awenwa mew niewew pelag,” eko anaran. 
LUK.2.13	Tiwurdi doup nug né qe mariko malwew ge, usihri saw karan Tiwurdi doup ameg naŕi doweg qagleksi Tiwur binag sumessi kasi iŕeg. 
LUK.2.14	“Tiwur karannah nug kamsahlak gun olewa de. Am danahas wanwa Tiwur asilag o nie ole qe ag maror nusig owa dasi.”
LUK.2.15	Sén Tiwurdi doup ag minareksi saw karan atweg ge, sipsip gumarak danah qe ag agégé né marieg. “Ig Betlehem atektu Naŕinah anigé ole am keŕ bé qe penig.” 
LUK.2.16	Géri usihri atessi ge, Maria Yosep ole am nir yu qe doŕ dilag kelak awenwa niewew mariareksi piareg. 
LUK.2.17	Ag nir qe peksi ge, nir qeri né dueg ole qe danah la os taun qewari ole amlagwa aneg. 
LUK.2.18	Danahas ag né qe dueksi dahmak lanah qere og. 
LUK.2.19	Gam Maria keke kunum béksi ateg qe owa ih dewew dahmak naŕi oré. 
LUK.2.20	Am sipsip gumarak danah olag gamag asewew Tiwur binag karan sumessi am binag messi bulieksi ateg. Keŕdi ag keke kunum Tiwurdi doup anan qe sillah amlagwa peg am doulagwa dueg.
LUK.2.21	Deŕ 8wa Yosep Maria ole nir yu féŕu gone kotŕak sén dow ge, wénih Yesus katŕes. Nug anig o ole pi mak Tiwurdi doup wénih qe moran. 
LUK.2.22	Sén a Mosesri Ŕo yakwa gun kowol qe dimlamdeksa malweksa ge, a nir oksa Yerusalem Tiwur Lougwa Tiwur ewegwa melasri ates. 
LUK.2.23	Naŕinahri Ŕo yakwa de ge, “Nir memeg anig ole nir danah anqakri memanlas qe Tiwur ewegwa melas.” 
LUK.2.24	Am Maria ofa oko Tiwur murdigri qe ole ses. Keŕdi Tiwurdi Ŕo yakwa ane, “Kuhŕil naŕi aŕit kawa ge, kuhŕil nounu masiksik fou kena mak aŕit os pris mores.”
LUK.2.25	Sén qewa, danah os wénih Simion Yerusalem qewa daré. Nug Tiwur nohwa mangu weiré am Tiwurwa ih daré. Nug Tiwur Israel kug asilagwari buliko diardigri qe ameg meré. Koulli Gun nug ole darap. 
LUK.2.26	Koulli Gun sew nug duan ge, nug Naŕinah dowari Kristus uŕiyew peko tatam am mousdig. 
LUK.2.27	Koulli Gun sew nug Tiwur Lougwa teko qewa dewew, Yosep waw ole Ŕo yakwa ane qe dimlamdeksa nir asilas Yesus oksa qewa tes. 
LUK.2.28	Simion nir qe oko momowa oŕako Tiwur binag sumko anan. 
LUK.2.29	“O Naŕinah, na atu kunum gumna ole, na né fagqen ge, na sewe nasip kuak danah da ol marorwa mousko attil. 
LUK.2.30	Keŕdi da amelwa danahas buliko diardigri danah uŕiyan qe piém. 
LUK.2.31	Na nug kepŕurka bawrurka mewe uŕiyan. Qeri danahas kuŕum atu kunumba nug pelag. 
LUK.2.32	Nug Yuda danahas kawa la qe am danahas naspar Israel dilag ole Tiwurdi kamsahlak gun ole oko uŕirig,” eko anan. 
LUK.2.33	Nir memeg anig ole Simion nirdi anan qeri dorlas nan. 
LUK.2.34	Simion wittak marko am nir anig Mariari anan. “Nir ene Israel danahas kuŕum sew tolalag am gagrag dalagri ole am nug Tiwurdi ih ismardigri toqoran. Gam danahas kuŕum nug dimorlag. 
LUK.2.35	Qeri danahas kunum dilag dahmak olagwa nie qe ambo mérig am na otwa qoum yako qetko attig,” eko anan. 
LUK.2.36	Am as profet os wénih Anna. Nug Fanuel aŕeg am Aser ateŕ qewari. Nug keinmanah am nug gému ole nug oksa makaŕ 7 qer dessa, gému mousan. 
LUK.2.37	Géri nug qehŕas dew uŕiyew makaŕ 84 qer ban. Nug sansan tuqan kémun ole Tiwur Lougwa noko Tiwur binag mérigri kurdelle am unuqordé. 
LUK.2.38	Sén qewa ih nug Yosep Maria ole am nir asilas ole gumarko doko nir qeri Tiwur kena sam eko anan. Anelle ge, nir qe Yerusalem danahas kug owari buliko diardigri ameg meg qe anaran. 
LUK.2.39	Yosep waw Maria ole Tiwurdi Ŕo yak de qe dimlamdeksa kuak kunum malweksa ge, a kawlas diguwa Nasaret, Galili atu qewa bulieksa ates. 
LUK.2.40	Nir asilas qe gagragsak ole kena man. Nug dahmak kena ole ban am Tiwur wittak kena mordé.
LUK.2.41	Makaŕ dorog Yesus anig memeg ole a Yerusalem Nanŕurak Deŕdi
LUK.2.42	Sén nug makaŕ 12 qer dewew ge, ag koulag qe dimlamdeksi Yerusalem mallenwa ateg. 
LUK.2.43	Sén mallen qe kawa mew, nug anig memeg ole bulieksa kawlagwa ateppes ge, nalas Yesus nug Yerusalem qewa dian, gam a qe pi dues. 
LUK.2.44	A danahas ole aŕié atsi essa deŕ usih ge ates. Deŕ oswa ge a digumeksa Yesus mariessa asilaswari am leilti koŕmares. 
LUK.2.45	Sén nug ospi peksa, a nug marilasri bulieksa Yerusalem ates. 
LUK.2.46	Deŕ kiam qewa, a nug Tiwur Lougri kaŕ owa Tiwurdi Néri duak marak danah qe olagwa dewew pes. Nug ag né marieg qe doko ge koŕmaran. 
LUK.2.47	Ag kunum ole nusig duak marian qe am koŕmak buliko noh man qe ole dueksi dorlag nan. 
LUK.2.48	Sén anig memeg ole nug peksa ge, a ole katat aqatan. Anig anoran, “Nir dasil, na keŕdi i qere sitam? Na memen am da ole i dahmak naŕi nasip ollu mariyirah,” eko anan. 
LUK.2.49	Nug a koŕmatan, “A keŕdi da mariyiŕsa? A pi te dosa da Mem Lougwa deina?” eko anan. 
LUK.2.50	Gam nug né anatan ge, a olas ospi mouran. 
LUK.2.51	Yesus nug a dimlamatew bulieksi Nasaret ateg. Nug anig memeg ole koŕlas dimlamurdé. Gam Maria nug keŕ keŕ beko atan qe owa ih dahmelle daré. 
LUK.2.52	Yesus nug dahmak kena ole kena man. Tiwur am danahas ole nusig olag gamag asdé.
LUK.3.1	Makaŕ 15 owa Taiberias nug Rom atu qe kunum dilag king daré. Pontius Pailot nug Yudia wan atu qe gumdé, Herod Antipas nug Galili atu qe gumdé, am kamag Filip nug wan atu aŕit Ituria am Trakonitis ole gumatdé. Am Lisanias nug Abilene wan atu qe gumdé. 
LUK.3.2	Anas am Kaiafas ole a pris
LUK.3.3	Yon nug atu le naŕi Yordan mourak qe kunumba weiyelle né kuswelle danahas dilag anan. “Tiwur hipunin asilag kusuqrigri ge, ag olag buliew le luak os.” 
LUK.3.4	Qe sillah profet
LUK.3.5	Ollu kunum meglares am qouku nounu am qouku wagé wagé qe ole kunum mangu marweg uŕemqes. Ih méŕiak qe kunum mangu mares, am ih goto goto qe bawres. 
LUK.3.6	Danahas kunum Tiwur asilag kugwari buliko diardig qe pelag,’ ” eko anan. 
LUK.3.7	Danahas ameg naŕi Yon le luardigri gumdeksi ateg. Atweg ge, Yon anaran, “Ag mat nou bégur. Oun anew ag Tiwurdi uhŕibak uŕirigri unaka de qe eŕdeksi kum atsi? 
LUK.3.8	Ag meŕenah olag buliew pe, mou kena qe seweg bar. Am ag agégé ‘Ig Abraham fuŕuh,’ éksi aw anweg. Da ag anarina, Tiwur qar nisi ene oko sew Abraham fuŕuh belag olele. 
LUK.3.9	Palangis qe ker kuardigri iŕil diglagwa bawrak de. Ker are os mou kena ospi niweg pe, kuarko kewba touŕardig,” eko anan. 
LUK.3.10	Yon qere anew ge, danahas kuŕum ag koŕmoreg. “Am ig aregnah sénig?” éksi aneg. 
LUK.3.11	Yon koŕlagwa oko anan. “Danah siot aŕit ole ge os ge danah siot kawa ole qe morar. Am danah oun nug ke ole ge nug ole qere ih sar.” 
LUK.3.12	Takis wak danah os ole le luarakri Yon gumdeksi uŕiyeksi koŕmeg. “Duak marak danah, am ig ge aregnah sénig?” 
LUK.3.13	Yon koŕlagwa oko anaran, “Ag qarég takis wakri anak qe ih mangu os am aw qe éŕurweg,” eko anan. 
LUK.3.14	Fan danah os ole koŕmoreg. “Am ig ge areg sénig?” Yon koŕlagwa oko anaran, “Ag danah aw keigarweg faŕareksi qarég marweg. Am ag danah aw yagoŕ mareksi qarég oweg, ag kuak asilag noh mangu olag gamag asakwa os,” eko anan. 
LUK.3.15	Danahas ag Kristus
LUK.3.16	Géri Yon danahas kunum koŕlagwa oko anan. “Da lewa ih le luarina, gam geisah danah os da eŕlak nug gagragsak ole uŕirig. Da danah kena kawa am nug fég gaŕa darér kusqakri olele kawa. Nug Koulli Gunwa am kew aŕikwa luardig. 
LUK.3.17	Danah qe nug iŕil kekuakri bawré de. Nug darweh owa reis mou ge, kepaŕko qagulko nug lougwa mérig. Gam reis gaŕa ge kew pi qouse ole qewa mandig,” eko anan. 
LUK.3.18	Yon nug né la kuŕumba danahas doulag patelle am Né Kena ole kusuan. 
LUK.3.19	Gam sén Herod atu qe gumewew, Yon Herodri hipunin uŕa kopatko gaŕa moran. Keŕdi nug kamag waw Herodias kaŕurko am nug hipunin la kuŕum os ole san. 
LUK.3.20	Am Herod nug hipunin nusig la os qe tuŕurko sew kuak danah nusig Yon uksi kalabuswa yaneg.
LUK.3.21	Sén Yon kalabuswa pi atak delle danahas kuŕum le luarelle, Yesus ole le louran. Le lourak qe oko malako unuqorewew saw matlan. 
LUK.3.22	Saw matlew ge, Koulli Gun kuhŕil sillah Yesus dowa new am Tiwur fag saw karandi anan. “Na nir dasilnah. Da nasip ol mouse am ol gamag ase,” eko anan.
LUK.3.23	Sén Yesus makaŕ nusig 30 keke qere dewew, kekuak nusig diguman. Danahas dahmeg ge nug Yosep nag éksi aneg. Yosep nug Heli nag. 
LUK.3.24	Am Heli nug Matat nag, am Matat nug Liwai nag, Liwai nug Melki nag, Melki nug Yanai nag, Yanai nug Yosep nag. 
LUK.3.25	Am Yosep nug Matatias nag, am Matatias nug Amos nag, am Amos nug Nahum nag, am Nahum nug Esli nag, Esli nug Nagai nag. 
LUK.3.26	Nagai nug Mat nag, Mat nug Matatias nag, Matatias nug Semen nag, Semen nug Yosek nag, am Yosek nug Yoda nag. 
LUK.3.27	Am Yoda nug Yoanan nag, Yoanan nug Resa nag, Resa nug Serubabel nag, Serubabel nug Sialtiel nag, Sialtiel nug Neri nag. 
LUK.3.28	Am Neri nug Melki nag, Melki nug Adi nag, Adi nug Kosam nag, Kosam nug Elmadam nag, am Elmadam nug Er nag. 
LUK.3.29	Am Er nug Yosua nag, Yosua nug Elieser nag, Elieser nug Yorim nag, Yorim nug Matat nag, Matat nug Liwai nag. 
LUK.3.30	Am Liwai nug Simion nag, Simion nug Yuda nag, am Yuda nug Yosep nag, am Yosep nug Yonam nag, Yonam nug Eliakim nag. 
LUK.3.31	Am Eliakim nug Melea nag, Melea nug Mena nag, Mena nug Matata nag, am Matata nug Natan nag, am Natan nug Dewit nag. 
LUK.3.32	Am Dewit nug Yesi nag, Yesi nug Obet nag, Obet nug Boas nag, Boas nug Salmon nag, Salmon nug Nason nag. 
LUK.3.33	Am Nason nug Aminadap nag, Aminadap nug Atmin nag, Atmin nug Arni nag, Arni nug Hesron nag, Hesron nug Peres nag, Peres nug Yuda nag. 
LUK.3.34	Am Yuda nug Yakop nag, Yakop nug Isak nag, Isak nug Abraham nag, am Abraham nug Tera nag, Tera nug Nahor nag. 
LUK.3.35	Am Nahor nug Seruk nag, Seruk nug Reu nag, am Reu nug Pelek nag, Pelek nug Eber nag, Eber nug Sela nag. 
LUK.3.36	Am Sela nug Kainan nag, Kainan nug Arpaksat nag, Arpaksat nug Sem nag, am Sem nug Noa nag, Noa nug Lamek nag. 
LUK.3.37	Am Lamek nug Metusela nag, Metusela nug Inok nag, Inok nug Yaret nag, Yaret nug Mahalalel nag, Mahalalel nug Kenan nag. 
LUK.3.38	Am Kenan nug Inos nag, Inos nug Set nag, Set nug Adam nag, Adam nug Tiwur nag.
LUK.4.1	Yesus Yordan le minko atew, sén qewa Koulli Gun nug owa olele morew dessa Yesus omalko atu meiŕak danah kawawa atan. 
LUK.4.2	Omalko atew ge, Yesus deŕ 40 qere dewew, nou memeg
LUK.4.3	Qew ge, nou memeg Yesusri anan, “Na Tiwur Bega daka pe, qar ene anwe ke buliar,” eko anan. 
LUK.4.4	Anew ge, Yesus anan, “Tiwurdi Né yakwa ane, ‘Danahas kewa ih fou pi dasi,’ ” eko anan. 
LUK.4.5	Anew ge, nou memeg Yesus omalko atu qoukuwa teko usihri Yesus wan atu kunum ismuran. 
LUK.4.6	Ismurko anan, “Da na gagragsak mirwi wan atu e kunum gumdip am da séwi binam naŕi ole darip. Keŕdi keke ene kunum ge da miŕak. Qeri da danah os murdildi ge da murdil. 
LUK.4.7	Qeri na da nolwa duk noka binal mérip ge keke kunum nasip darig,” eko anan. 
LUK.4.8	Yesus koŕewa oko anan. “Tiwurdi Né yakwa ane, ‘Na Naŕinah nasip Tiwur ih binag me am kallowa da,’ ” eko anan. 
LUK.4.9	Anew ge, nou memeg Yesus omalko Yerusalem atko sew Tiwurdi Lo koŕgo karannah qewa tew anoran. Na Tiwur Bega daka pe, olka wanap no. 
LUK.4.10	Keŕdi Tiwurdi Né yakwa ere ane, “Tiwur doup nusgur anew na dahmireksi koutorlag.” 
LUK.4.11	Ag ewlagwa na uŕwirlag géri na fén qar ospi yew, eko anan. 
LUK.4.12	Anew ge, Yesus koŕewa oko anan, “Tiwurdi Né ane, ‘Na Naŕinah Tiwur nasip aw mena pewen,’ ” eko anan. 
LUK.4.13	Nou memeg nug ih kuŕumba Yesus qepian malako ge, Yesus munurko am sén os qeperigri ameg man.
LUK.4.14	Sén qewa Koulli Gundi gagragsakwa Yesus buliko Galili atu qewa atko dian, am nug neihwah atu qe kunumba tualan. 
LUK.4.15	Nug Yuda dilag binag mak lo kuŕumba danahas Tiwurdi Néri duak mardé. Danahas kuŕum nug binag sumdéw.
LUK.4.16	Yesus nug nir nagurwa delle kena man ole kaw Nasaret qewa atan. Am nug Sabatwa sansan seré sillah Yuda dilag binag mak lo owa noko, Tiwurdi Né ewqerigri asan. 
LUK.4.17	Asew ge, binag mak lori kuak danah profet Aisaiari Né yak qe nug moreg. Morweg kolako ge, né os ere anko yak qe mariko peko ewqan. 
LUK.4.18	“Naŕinahri Koulli ge dagnéwa de. Keŕdi nug da danahas o duak agop Né Kena kusurildi kurilwa goŕen gogoŕko toqiŕan. Tiwur nug da Né Kena qe kuswelle danah kalabuswa qagrakwa dasi qe da séwi kusqak olagri am danah amlag gaŕu qe séwi bulieksi aminlagri meiŕew uŕiyin. Tiwur nug da danah kug owa dasi qe séwi kusqak olagri meiŕew uŕiyin. 
LUK.4.19	Am sén uŕiyew, da Naŕinah danahas nusgur buliko diardigri né qe kusurildi meiŕew uŕiyin.” 
LUK.4.20	Ewqeko malako ge, Yesus Né yak qeko buliko kuak danah qe morko, am nug Né digu kusurigri dian. Dewew ge, danahas kunum Yuda dilag binag mak lowa deg qe amlag atew nug keŕ eko anew dolagri kittureksi deg. 
LUK.4.21	Am nug digumeko Né ewqan qe kusuan. “Gei Tiwurdi Né ewqewi iŕil duéw ene meŕenah bé,” eko anan. 
LUK.4.22	Danahas kunum dueksi nug binag sumeg. Ag nug koŕewa né kenanah ban qeri dahmak kuŕum ossi am aneg. “Danah uni Yosep nag, gam areg?” éksi aneg. 
