MAT.1.1	Ewana Yesu Kerisonu sirorari sina. Dana Deiwidinu sisia amara. Dana Eibaramunu sisia amara.
MAT.2.21	Josefa ido uyarite i kuitaini Danu danua munite woure Isaraero orofaro ani.
MAT.2.22+MAT.2.23	Ane farite Jousefa mui sina nauina Akiriasima danu damama Erodinu kabesi muninute Judia orofa yawotasu eno nauite iyarite iro ibawa i orofa ekodite ani. Nono Godinu aneruma tuberoma wei iba Gareri orofaro ani. Ane Nasareta suro ibi. Enoba Godinu we bou ueta uwaranu sina ido enanari ui. Emanu sina eno, Dawa Nasareta su amara webitaita eno weita.
MAT.3.1+MAT.3.2	I kowaro Joni babataito amarama Judia eme ibawa orofaro fariro eme faiyawere dawabai fataro wei, Godinu yawoe anasu kowa fafie utasuba yanu neno neno ueta dubena afu sawe wei. 
MAT.3.3	Godinu we bou ueta amara Isaiyama i amaraba eno wei,
MAT.3.3	dana eme ibawa orofaro sina we inareda wasu, i Dera Amaranu daba wabue moya uawe wasu,
MAT.3.3	Isaiyama eno wei.
MAT.3.4	Joni danu baruetana kemo eginu ofe, danu kafana borumakaunu ofe, danu ieta sisidomuini firukaini itebi. 
MAT.3.5+MAT.3.6+MAT.3.7	Jerusaremu su uwaraini Judia orofa uwaraini i Jodani orofa mamamama uwara nesia Jonibai fatate emanu neno neno ueta we ma borobayataro Jonima ema Jodani ogoro babataito utebi.
MAT.3.5+MAT.3.6+MAT.3.7	Jonima erina i Ferosi uwaraini Sadusi uwaraini dawabai fataro erite emaba wei, ya tabainu muneta! Anama Godinu fafisu neno ka ueta yaba weiba iba serigari ufote iya aniboe nabai durami ue faraita wei? 
MAT.3.8	Aniawete yanu ueta ba me dubena afu sawete kobere ueta iboro odiawe. Eno uawero Godima efi wei. 
MAT.3.9	Eno weite nono wei, me sara uyafote Eibaramu dawa yanu baba yana danu sisia uwara weboitana Godima Eibaramunu moana sisia uwara gebiroma ubu ufie imufisuna ubu ufisu wei. 
MAT.3.10	Godinu koto fanisi kowa fafie utasu. Mui amarama kowa ramamasute ana umafie utebasu enanari Godinu koto kowa i ari, yanu siosa ueta sineta umafie utasu. Mui ana kobere tai da uwafiro umane tufite mune inaro sabisu wei. 
MAT.3.11	Ya yanu neno neno ueta dubena afu sanaitana ya ogoma babataito utatane. Nono mui amara nanu buribi afiro Danu buna derawere na ari me. Nana kobererau meba Danu ibo didi da inare tumau. I amarama ya Godinu Imumuini ina yaretama babataito uegou ufisu wei. 
MAT.3.12	Dana Danu uiti tai waiya ueta saboro agero ibinuba Danu uiti tai koru kafae ma kobererau ufie saboroma uiti tai etu sabisu. Etu sabiro oyauma ifuru afuru aika kabesiro woure odifiro uiti tai kafaero itafisu. Itafiro Dana Danu ba uiti tai su koruro odifite i ifuru afuru i uitawa inaro sabisu wei.
MAT.3.13	Jonima Yesu babataito ufie iba Yesuma Gareriroma Jodani ogoro are fari. 
MAT.3.14	Joni dawa unutawa i babataito ueta iba Yesuba wei, nana Abai babataito uegou umau rairo aneba nabai are farinu wei? 
MAT.3.15	Weiro Yesuma wei, ido, Na babataito ufasuna Godinu kobere imueta enanari ufutu wei. Eno weiba Jonima Yesu babataito ui.
MAT.3.16	Jonima Yesu babataito ue me sinina Yesuma ogoroma duero amuteda erina ure eba uiro Godinu Imumu Kotofuma ubani ari tararite Danu deiro yauriro eri. 
MAT.3.17	Eno uiro ureroma sina tararite wei, ewana Nanu amara ubiba Nanu neno Dawabai ibinuro yaru utatane wei.
MAT.4.1	Godinu Imumu Kotofuma Yesu munite woure eme ibawa orofaro ani. Woure aniro seitanima Yesu ue efie Dawabai fari. 
MAT.4.2	Yesuma iro ibeda kowa fotini (40) dumu foti (40) ieta itawa. Ieta itawa me ibebe kowa foti (40) me siniro Yesu osi derawere uri. 
MAT.4.3	Osi uiro seitanima Yesubai farite wei, A Godinu amarana wiaro ewa gebiro ieta sibi wei. 
MAT.4.4	Weiro Yesuma moko wei, Godinu bukaroma eno wasu, emema ieta torowa ifitaitana emanu ibetana ba me. Nono Godinu bebeturoma sina nesia naufitaitana emanu ibetana ba, eno wasu Yesuma wei.
MAT.4.5+MAT.4.6	Seitanima Yesu ido munite woure Jerusaremu suro ani. Ane i dera dubu su etu fou deirowere odite wei, A Godinu Amarana ewadoroma bibu uate taniaro Godinu bukaroma eno wasu,
MAT.4.5+MAT.4.6	Danu aneruma A yawoteda agema maibitaro merau itafaro Anu buri gebiroma da ufisu,
MAT.4.5+MAT.4.6	wasuba iba bibu ua wei. 
MAT.4.7	Weiro Yesuma dawaba wei, Godinu bukaroma nono eno wasu, anu Dera Godi da ue ea wasu wei.
MAT.4.8	Seitanima Yesu nono munite mui yafa maidani otoro woure mane odi. Mane odite i orofa atata kabesini uwaraini nesia tube tuberoma ari ma boroyariro Yesuma eri. 
MAT.4.9	Eriro seitanima Yesuba wei, nanu buri gigirari arubi ufate nabai guriguri ufasuna ina nesia Aba mamau wei. 
MAT.4.10	Weiro Yesuma ido wei, seitani Nabairoma ania! Godinu bukaroma eno wasu, anu dera Godibai torowa guriguri uawete Danu gaukara torowa uawe eno wasu Yesuma wei.
MAT.4.11	Seitanima Yesu ido ekodiro aneruma Dawabai taratate yawota.
MAT.4.12	Moana uwarama Yesubai fatate weita, Joni budari uta weitaro nauite Gareri orofaro ani. 
MAT.4.13+MAT.4.14	Nasareta suroma ane Sebiuronini Nafatarai orofa Kafenamu suro fari. Kafenamu su enea gigirari ibiro iro Godinu we bou ueta amara Isaiyama weiba iba iro fari. 
MAT.4.15	Isaiyama eno wei,
MAT.4.15	Jodani ogo etarafu enea gigiraribai Sebiuroni Nafatarai orofaini i orofa sadei ibita. Gareri orofana aika uwaranu ibeta kabesi. Gareri orofa uwara faiyawere iro dumuro ari yaubebitana ario ari derawere uiro eta. 
MAT.4.16	I uieta utumuro ari yaubeta uwarabai Godinu ario derawere ui,
MAT.4.16	Isaiyama eno wei. 
MAT.4.17	I kowaroma Yesuma sina derawere eno wei, i urero yawotasu kowa fafie utasuba yanu neno neno ueta dubena afu sawe wei.
MAT.4.18	Yesuma Gareri mesau nioro inarebe erina dataeini dabue Saimoni danu mui ifu Fita dawaini danu dabue Enuduruini emanu iwame ogoro sane inarebisiro eri. I amara sadeina erio egi woureta amara sadei. 
MAT.4.19	I amara sadei erite emaba wei, Na are yawoawaro anibete ya eme muneta amara sadei odimaro eme muawaro naueta uwara sibita wei. 
MAT.4.20	Weiro ido i amara sadei emanu iwame sau ekoisite Yesunu buribi anisi.
MAT.4.21+MAT.4.22	Iroma Yesu anebe erina mui dataeini dabue, Jebedinu amara sadei Jeimisini Jonini emanu damamaini boutiro yaubeda iwame ma wirotebitaro eri. Ema erite yua weiro emanu damamaini boutini ekoisite Danu buribi anisi.
MAT.4.23	Yesuma Gareri orofa aboro aboro inarebi. I Ju uwaranu dubu su suro we mawetu uteda Godinu kotofu yawotasu sina webite i uwaranu oferi aika maikaroma ma wirotebi. 
MAT.4.24	Eno utebiba i Siria orofa uwara Danu buna ueta nautate emanu oferi aika maika uwaraini siosa imumu bobo uwaraini meo uie uyare ueta uwaraini age sanawa buri inarawa uwaraini ema nesia Yesubai woure fare oitaro ema nesia ma wiroi. 
MAT.4.25	Ema ma wiroiro Gareri uwaraini Dikaforisi uwaraini Jerusaremu su uwaraini Judia orofa uwaraini Jodani eterafu uwaraini uwara fefera faiyawere ema Danu buribi anita.
MAT.5.1+MAT.5.2	Yesuma i uwara faiyawere erite maidaniro manite yaurina Danu iwata ueta uwara Dawabai mane fata. Fataro emaba yare wei.
MAT.5.3	Weite Yesuma eno wei, ana anama emanu nauetaba Godibai weduru ue sasae utawa ue emanu torowa ma otowaratu uteda yaru utaita. I uwarana Godinu urero yawotasu orofana emanu.
MAT.5.4	Awona emanu siosawere uetaba imuteda i waita uwara, Godima ema ma etoto ufiro yaru ufitaita.
MAT.5.5	I emanu torowa ma derawere utawa utaita uwara Godima emaba i reka orofa atata nesia mafiro iro ibeda yaru ufitaita.
MAT.5.6	I uwara emanu ununa Godinu kobere imueta ari uegou ufitae ogoini ieta nodo wourebaita i ari utaita uwarana Godima ema durua ufiro enanari kobererau ufitate yaru ufitaita.
MAT.5.7	I emeba ure nudarau utaita uwara Godima emaba moko ure nudarau ufiro yaru ufitaita.
MAT.5.8	I uwara emanu nenonu imueta roatarauba emana Godi efitate yaru ufitaita.
MAT.5.9	Ana anama wesarau ueta emebai mawetu uteda uteibitaitana Godima emaba Nanu aruma amara webiro naufitate yaru ufitaita.
MAT.5.10	I uwarama kobererau utaitaro emema emaba siosawere utaita. Enoba Godima i kobere uwaraba Danu ure yawoeta orofa mafiro iro ibeda yaru ufitaita.
MAT.5.11	Emema yabai Naba siosa sina webitate siosawere ufitate meoma wawei sina webitaitana yaru uawe. 
MAT.5.12	Yanu moko muneta derawere urero muboitaba yaru derawere uawe. Bodere i uwaranu danatamutuma Godinu we bou ueta uwaraba enanari siosa utebita.
MAT.5.13	Yana ewa orofa atata uwaranu soru ari. Emema imonawere soru itebaita i ari yana kobererau utebaitana emema ereda ina kobererau webaita. Sorunu imona me sibisuna anene danu imona nono imona ufisu? Ina ba meba mu sanaitaro emema deiro amune adire anaita, i ari yana siosawere ufoitana emema yanu sina da naufitaita.
MAT.5.14	Yana ewa orofa atatanu nanefa ario ari. Mui maidani otoro ibinu su da feafisu. 
MAT.5.15	Emema nanefa beataitate okia ubarero odawa utaitate aiyo oeta kabesiro odaitaro i nanefama i su ubare nesia ario utasu. 
MAT.5.16	Enanari yanu kobere ueta nanefa ario ari uawero emema efitate yanu urero ibinu Baba Godinu ifu we ma derawere ufita Yesuma wei.
MAT.5.17	Mosesinu tarawatuini Godinu we bou ueta uwaranu sina mune samau da imuawe. Ina mu samane farawa unete ina ma borobayamane farea wei. 
MAT.5.18	Nanu sina ba wemaro nauawe, ureini nasinini sau da me sibite ibifisu. I woworo Godinu tarawaturoma mui sina tai kikimuikiratu me sara da feafisu. Sara da ufiro nesia uegou ufisuna ina idoni me sibisu wei. 
MAT.5.19	Anama Godinu tarawatu sina demurairatu nautawa utasute nono moana uwaraba enanari we mawetu utasuna dawa i ure yawoeta orofaro kikiratu sibisu wei. Nono anama Godinu tarawatu sina nesia nauegou utasute nono moana uwaraba enanari we mawetu utasuna i ure yawoeta orofaro dana derawere sibisu wei. 
MAT.5.20	Yaba wemaro nauawe wei. Weite wei, i Ferosi waita uwaraini tarawatu tisa uwarama aneane kobererau utaitate nono moana ueta uegou utawa utaita. Nono yana Godina torowa Kobererau uegou uforo yanu kobere ueta sinetama i Ferosi uwaraini tarawatu tisa uwaranu ueta sineta serigari ufisuna i ure yawoeta orofaro ane ibifoita wei.
MAT.5.21	Mosesima i bodere uwaraba eno wei, i bodere uwaraba eno weita, eme da ma uiawe. Anama mui amara ma uifisuna dawa koto ufitaita weita. Nono yaba eno watane, anama danu domayaba ibo ufisuna dawa koto ufitaita. Nono anama danu domayaba siosawere webisuna i kanisoro uwarabai woure ane odifitaro dawaba sina kimuwere webitaita. 
MAT.5.22	Nono anama danu domayaba ana beforo siruru me amara webisuna dawa i uitawa inaro anibisu wei. 
MAT.5.23+MAT.5.24	Ana Godinu fuyo oeta kabesiro anu fuyo oeta odifae anibate nono iro anu aiyema aba ibo utasu imufasuna anu fuyo oeta iro ibifiro anu aiyebai anibate nesia dawaini ma rorowarau ufawate nono owefate anu fuyo oeta odia wei.
MAT.5.25	Mui amarama ya koto uwarabai wawei webie woure anibisuna dawaba sau naiye wiawe. Mena i ya wawei webisu amarama ya koto yawoeta dera amaranu age duro odifiro koto yawoeta dera amarama ya forisimaninu age duro odifiro forisimanima ya diburaro odifisu. 
MAT.5.26	Nanu ba sina wemaro nauawe, ya diburaro odifiro sau wawaro da amufoita. Daido iro ibeda yanu moko faini oi nesia maforo ya odifiro wawaro aniboita wei.
MAT.5.27	Dita yagera da fawe eno weitaro ya nauta. 
MAT.5.28	Nono yaba eno watane, anama mui aweta o aruma dita yagera fafie imutasuna dana nenoma dita yagera farasu Yesuma eno wei. 
MAT.5.29	Anu banibira afu ditima a ma siosa ufisuna ma guju uate mu sate diti demuraima ibifasuna ina kobererau, diti sadeima i uitawa inaro anibasuna ina siosawere iba ma guju uate mu sa. 
MAT.5.30	Anu banibira afu agema a ma siosa ufisuna i mui age umane tuate age demuraima ibifasuna ina kobererau. Ofe ubu nesiaini uitawa inaro anibasuna ina siosawere wei.
MAT.5.31	Mosesima i bodere uwaraba eno wei, anama danu aweta ekodifie utedana danu awetaba dawa ekoeta koto feifa mafite ekodifisu weiya wei. 
MAT.5.32	Eno weite wei, nono Nana yaba watane, anama danu igera sasae utawa aweta mui ubi mero me ekodifisu. Me ekodifisuna i aweta ma igera sasae ufisu. Iba i awetama mui amara danu awera mubisuna igera sasae daido utedibeibisu wei. Weite wei, eno uteibiro danu reka aweraini daido dita yagera utedibeibisu wei.
MAT.5.33	Mosesima i bodere uwaraba eno wei sina ya nauta. I sinana eno, buna we bou ufoitana meo da wiawete ane we bou ufoitana Godibai enanari uawe eno weiya wei. 
MAT.5.34	Nono Nana yaba watane, sina we bou utedana i sina ma buna ufoe ufoitana urenu ifuro da wiawe ina Godinu yaure yawoeta orofa wei. 
MAT.5.35	Nono enanari wei, nasininu ifuro da wiawe ina Danu buri amue ibeta kabesi wei. Jerusaremu sunu ifuro da wiawe ina i dera yawoeta amaranu su wei. 
MAT.5.36	Yanu kofiriro da wiawe yana i fouma iji da weboro inawere aba dubawaru da ufisu wei. 
MAT.5.37	Yanu sinana aiwia o me torowa wiawe. Nono mui aika buna sina weboe ufoitana seitaninu aramawere imueta yabai mafiro weboita Yesuma wei.
MAT.5.38	Mosesinu wei sina ya nauta. I sina eno, mui amarama mui amaranu diti ma guju ufisuna danu diti moko ma guju uawe. Mui amarama mui amaranu nio ma furiafisuna danu nio moko ma furiawe eno weiya wei. 
MAT.5.39	Nono yaba watane, mui amarama yaba siosawere ufisuna moko da uawe. Mui amarama yanu mui taibau ufisuna yanu mui taibau dana nono ufie oweawe. 
MAT.5.40	Nono mui amarama yanu seti mubie ya kotoro woure anibisuna yanu setini yanu dei baruetaini dawaba mawe. 
MAT.5.41	Mui meremere amarama danu ununa danu ego yana woure daba fuyaratu aniboe bunawere webisuna dawaini i yafa dabaro aniawe. 
MAT.5.42	Moana uwarama nui webitaitana emaba mawete nono moana uwarama yabai ane we mubitaitana emaba mawe Yesuma eno wei.
MAT.5.43	Mosesinu wei sina ya nauta. I sinana eno, yanu yaiyemutuba neno arama uawete nono yanu wasai uwaraba neno ka uawe eno weiya wei. 
MAT.5.44	Eno weite wei, nono Nana yaba watane, yanu wasai uwaraba neno arama uawete yaba siosawere utaita uwaraba Godibai guriguri uawe. 
MAT.5.45	Eno ufoitana yanu urero ibinu Babanu adarabu siboita. Godima i uwara nesiaba eno uteda Danu kowa ario i kobere uwaraini i siosa uwaraba matasute Danu obi i kobere uwaraini i siosa uwaraba enanari matasu. 
MAT.5.46	Moana uwarama ya neno arama utaitaro emaba moko neno arama utaitana Godima ina kobererau da webisu. I takesi muneta uwarama enanari utaita. 
MAT.5.47	Yanu yaiyemutu torowaba ario sina weboitana ina ba me. Uwara nesia enanari utaitaro i Godi iwata me aika uwaraini eno utaita. 
MAT.5.48	Yanu ueta sineta Godinu kobere ueta sineta ari uegou uawe, Yesuma i sina eno wei.
MAT.6.1	Yanu ununa emema yanu ueta sineta efitate yanu ifu we ma derawere ufitae iba da uforo. Emema efitate yanu ifu we ma derawere ufitae ufoitana ina yanu moko muneta nono yanu urero ibinu Babama yaba kobererau me maeta moko da mafisu.
MAT.6.2	Yanu ununa ibaiabai me uwaraba ane mafoitana emema naufitate efitae yua derawere da wiawete kiwuma mawe. I meoma weta uwarama Ju uwaranu dubu suini natofo su daba dabaro eno utaita. Yaba ba wemaro nauawe, emema eno utaita wei. Weite wei, yaba ba wemaro nauawe, emema eno utaitaba ina emanu moko muneta. 
MAT.6.3	Yanu ununa ibaiabai me uwaraba ane mafoitana kiwuma maforo emema da efitaita. 
MAT.6.4	Ido kiwuma uforo yanu Yamamama i kiwu ueta erasuba ya ma kobererau ufisu Yesuma wei.
MAT.6.5	Yana guriguri utedana i meo meo uwaranu guriguri ueta ari da uforo. I uwarama emanu ununa emema ema ereta iba Ju uwaranu dubu suro o dabaro inaibeda emema efitae guriguri utaita. Yaba ba wemaro nauawe, Godima ema ma kobererau da ufisu. 
MAT.6.6	Yana guriguri utedana yanu su koruro aniawete kasimu garari uawete yanu urero Yamamabai kiwuma guriguri uawe. Eno ufoitana yanu Yamamama yanu kiwuma ueta erasuba ya ma kobererau ufisu.
MAT.6.7	Guriguri utedana i Godi iwata me aika uwaranu sina faiya faiyawere emanu ba me godibai guriguri ueta ari da uforo I uwarama sina faiya faiyawere webitaro Godima naufie imutaita. 
MAT.6.8	I uwaranu ueta ari da uforo. Yanu urero Yamama yanu unu nesia iwata utasu. Yanu wenauereta wiawa utaitaro Dawa iwata utasu. 
MAT.6.9	Guriguri utedana eno wiawe,
MAT.6.9	yanu urero ibinu Baba, Anu ifu kakarawereba Aba ititi kakara utaisi. 
MAT.6.10	Anu yawotasu kowa fafie waisi. Anu ununa ua, urero utasuba nasiniro enanari ua. 
MAT.6.11	Awonana yanu ainewaure matebasu ieta mai. 
MAT.6.12	Yanu naiyemutunu ba me ueta yaba utaita, ina mune aika odaisi enanari yanu ba me ueta mune aika odia. 
MAT.6.13	I siosa ue ereta ibaiabai yabai da woure arate i siosabairoma ya woure eta ania. 
MAT.6.14	Yana emenu ba me ueta mune aika odifoitana yanu urero ibinu Yamamama yanu ba me ueta mune aika odifisu. 
MAT.6.15	Nono emenu ba me ueta da mune aika odifoitana yanu Yamama yanu ba me ueta da mune aika odifisu.
MAT.6.15	Yesuma i sina eno wei.
MAT.6.16	Yana Godibai guriguri ufoe uteda ieta itawa utaitana yanu ibo nawata aika maika da uawe. I meoma weta uwarama Godibai guriguri ufitae uteda ieta itawa utaitana odakoko taraita. Eno da uawe. I uwarama eno utaitaba ina emanu moko muneta. 
MAT.6.17+MAT.6.18	Godibai guriguri ufoe uteda ieta da ifoitana yanu kofirini ibo nawata uroawero emema yanu ieta itawa ueta da efitaro yanu urero ibinu Yamama i yanu kiwuma ueta erasuba yaba kobererau maeta moko mafisu Yesuma wei.
MAT.6.19+MAT.6.20	Ibaiabai derawere ewa sakairo deiro deiro da odiawe. Ewaro jirikoini towima ina itaitaro waira ueta uwarama ibaiabai waira utaitaba yanu nauetaini Godibai gaukara ueta ina urero ibaiabai ari iba nauegou uteda ibaiabai ewa sakairo deiro deiro da odiawe. 
MAT.6.21	Yanu ibaiabai aboro ibasuna yanu nenoini iro ibasu.
MAT.6.22	Yanu ditina yanu ofe ubunu nanefa ario ari. Enoba yanu ditina kobererau yanu ofe ubuna ariowere. 
MAT.6.23	Nono yanu diti aramawerena yanu ofe ubuna dumuwere. Enanari yabai ario mena yana dumu ariba eregou uforo! Yabai dumu derawere ibinu. Yanu imueta igawerena yanu ibeta aramawere.
MAT.6.24	Mui gaukara amarama dera amara sadeinu gaukara da ufisu. Eno ufisuna mui dera amara ma yaru uteda nono mui dera amara ma ibo ufisu. I dera amara demurainu gaukara uegou uteda nono i mui amaranu gaukara me sara ufisu. Enoba Godinu gaukara uteda gugua gubarini Godini nesia da ma demurai ufote gaukara da ufoita wei.
MAT.6.25	Enoba yaba watane, yanu ibetaini ofeba da imuforo! Yanu wiroeta ietabairoma da wirofeisi. Yanu ofena i baruetama da ma wirofisu. Iba ietaini barueta torowa woroworo da imuawe. 
MAT.6.26	I gasira imue eawe. I gasirama ana tai waitawa ana tai fira utawa, emabai ietata oeta su mero nono yanu urero ibinu Babama emaba ieta matasu. Godima ema imuteda nono yabana derawere imuegou utasu. 
MAT.6.27	Anama eno imutebe imutebe danu ibeta kowa ma yafa ufisu? Me.
MAT.6.28	Aneba wadiaba imutaita? I sigina imue eawe! I sigina emanu torowa gaukara utawa emanu torowa wadia ue yurawa me warataita. 
MAT.6.29	Soromonima danu araeta wadia baruina danu wadiana ba mero i siginanu fomueta araetana kobererau. 
MAT.6.30	Nono Godima i koe awona ma werei werei ue odasuna nono waidumu i koe inama yafitaita. Godima eno utasuna nono ya kikiratu naueta uwaraini yaba wadia matasude wei. 
MAT.6.31	Ibago ane ietaini ogoini ifete ane barufeisi da imue weboro! 
MAT.6.32	I Ju me aika uwarama ina doberegou utaitaro nono yanu urero ibinu Baba ina yanu ibeta Dawa iwata utasu. 
