GEN.1.2	Na asase da hɔ hunu a ɛnni bɔbea biara, na esum wɔ ebunu no ani. Na Onyankopɔn honhom butu
GEN.1.25	Na Onyankopɔn yɛɛ asase so mmoadoma, ntɔteboa ne mmoa a wɔwea fam nyinaa sɛdeɛ wɔn su teɛ. Na Onyankopɔn hunuu sɛ ɛyɛ.
GEN.1.27	Aane, Nyankopɔn suban so na ɔbɔɔ no,
GEN.1.27	ɔbarima ne ɔbaa na ɔbɔɔ wɔn.
GEN.1.29	Na Onyankopɔn kaa sɛ: Hwɛ, mede mfudeɛ a ɛwɔ asase ani nyinaa ne nnuaba nyinaa mama mo sɛ ɛnyɛ mo aduane. 
GEN.1.30	Na asase so mmoadoma nyinaa ne ewiem nnomaa nyinaa ne mmoa a wɔwea asase soɔ nyinaa, mede nhahan mono mama wɔn sɛ wɔnni. Na ɛyɛɛ saa. 
GEN.1.31	Na Onyankopɔn hunuu deɛ ɔyɛeɛ nyinaa, na hwɛ, ɛyɛ pa ara. Na adeɛ sae, na adeɛ kyee, da a ɛtɔ so nsia ne no.
GEN.2.1	Na wɔwiee ɔsoro ne asase ne deɛ ɛwɔ mu nyinaa bɔ. 
GEN.2.2	 Na da a ɛtɔ so nson no, na Onyankopɔn awie n’adwuma a ɔyɛeɛ no, na da a ɛtɔ so nson no, ɔhome firii n’adwuma a ɔyɛeɛ nyinaa ho. 
GEN.2.3	 Na Onyankopɔn hyiraa da a ɛtɔ so nson no so, na ɔtee ho, ɛfiri sɛ ɛno mu na ɔhome firii n’adwuma a ɔyɛeɛ wɔ adebɔ mu no nyinaa ho.
GEN.2.4	Yei ne sɛdeɛ AWURADE Nyankopɔn bɔɔ ɔsoro ne asase. 
GEN.2.5	Na afuo mu nnua nyinaa nnya mmaa asase so, na afuo mu nhahan nyinaa nnya mfifirii, ɛfiri sɛ na AWURADE Nyankopɔn nnya ntɔɔ nsuo nguu asase no so, na na onipa a ɔbɛdɔ asase nni hɔ. 
GEN.2.6	Na nsuo firi asase so foroe, na ɛfɔɔ asase ani nyinaa. 
GEN.2.7	 Na AWURADE Nyankopɔn de fam dɔteɛ nwonoo onipa, na ɔhuu nkwa home guu ne hwene mu, na onipa yɛɛ ɔkra teasefoɔ.
GEN.2.8	Na AWURADE Nyankopɔn yɛɛ turo bi wɔ Eden a ɛwɔ apueeɛ fam, na ɔde onipa a ɔnwonoo no no tenaa hɔ. 
GEN.2.9	 Na AWURADE Nyankopɔn maa nnua ahodoɔ nyinaa a wɔhwɛ a, ɛyɛ fɛ, na ɛyɛ sɛ wɔdie asase no so, ne nkwa dua a ɛsi turo no mfimfini, ne papa ne bɔne ho nimdeɛ dua fifirii asase no so.
GEN.2.10	Na asuo bi tene firi Eden bɛfɔ turo no, na ɛfiri hɔ ara na emu paapae yɛɛ nsutire nnan. 
GEN.2.11	Deɛ ɛdi kan no din de Pison, ɛno na ɛkonton twa Hawila asase a sika wɔ soɔ no nyinaa ho hyiae. 
GEN.2.12	Na asase no so sika yɛ papa. Ɛhɔ na bedola aduhwam ne apopobibireboɔ wɔ. 
GEN.2.13	Na asuo a ɛtɔ so mmienu no din de Gihon. Ɛno na ɛkonton twa Kus
GEN.2.14	Na asuo a ɛtɔ so mmiɛnsa no ne Tigri,
GEN.2.15	Na AWURADE Nyankopɔn de onipa no kɔtenaa Eden turom sɛ ɔnnɔ na ɔnwɛn hɔ. 
GEN.2.16	Na ɔhyɛɛ onipa no sɛ: Turom ha nnua nyinaa, di bi. 
GEN.2.17	 Na mmom papa ne bɔne ho nimdeɛ dua no deɛ, nni; ɛfiri sɛ da a wobɛdi bie no, wuo na wobɛwuo. 
GEN.2.18	 Na AWURADE Nyankopɔn kaa sɛ: Ɛnyɛ sɛ onipa nko tena; mɛyɛ ne nsɛsoɔ boafoɔ mama no.
GEN.2.19	Na AWURADE Nyankopɔn de dɔteɛ nwonoo wiram mmoadoma, ne ewiem nnomaa nyinaa, na ɔde wɔn baa onipa no nkyɛn sɛ ɔbɛhunu sɛdeɛ ɔbɛfrɛ wɔn. Na deɛ onipa de frɛɛ abɔdeɛ a ɛte aseɛ biara no, ɛno ara ne ne din. 
GEN.2.20	Na onipa totoo afiemmoa, ewiem nnomaa ne wiram mmoadoma nyinaa din. Nanso onipa deɛ wɔannya ne boafoɔ a ɔfata amma no.
GEN.2.21	Na AWURADE Nyankopɔn maa nnahɔɔ tɔɔ onipa no so, na ɔdae. Na ɔyii ne mfe mpadeɛ mu baako, na ɔde nam tuaa ananmu. 
GEN.2.22	 Na AWURADE Nyankopɔn de mpadeɛ a ɔyi firii onipa no mu no yɛɛ ɔbaa, na ɔde no brɛɛ onipa no. 
GEN.2.23	Na onipa no kaa sɛ:
GEN.2.23	Ampa ara, me nnompe mu dompe,
GEN.2.23	ne me honam mu nam ankasa nie.
GEN.2.23	Oyi na wɔbɛfrɛ no Ɔbaa,
GEN.2.23	ɛfiri sɛ Ɔbarima mu na wɔyii no firiiɛ.
GEN.2.25	Na wɔn baanu no deda adagya, ɔbarima no ne ne yere, nanso wɔn ani anwu.
GEN.3.2	 Na ɔbaa no buaa ɔwɔ no sɛ: Turom ha nnua aba no, yɛdi bi; 
GEN.3.3	 nanso dua a ɛsi turo no mfimfini no aba deɛ, Onyankopɔn aka sɛ: Monnni bi, nso mommfa mo nsa nnka, na moanwu. 
GEN.3.4	 Na ɔwɔ no ka kyerɛɛ ɔbaa no sɛ: Ɛnyɛ wuo na mobɛwuo; 
GEN.3.5	na Onyankopɔn nim sɛ da a mobɛdi bie no, mo ani bɛbue, na moayɛ sɛ Onyankopɔn
GEN.3.7	 Na wɔn baanu ani buebuee, na wɔhunuu sɛ wɔdeda adagya, enti wɔpempam borɔdɔma ahahan yɛɛ nkatanim fae.
GEN.3.9	Na AWURADE Nyankopɔn frɛɛ Adam, na ɔbisaa no sɛ: Wowɔ he? 
GEN.3.10	Na ɔse: Metee wo nka wɔ turom hɔ no, mesuroe, ɛfiri sɛ meda adagya, na mehuntae. 
GEN.3.11	Na ɔbisaa no sɛ: Hwan na ɔka kyerɛɛ wo sɛ woda adagya? Dua a mehyɛɛ wo sɛ nni bie no na woadie yi? 
GEN.3.12	Na Adam kaa sɛ: Ɔbaa no a wode no bɛkaa me ho no, ɔno na ɔmaa me dua no aba no bie, na mediiɛ. 
GEN.3.13	 Na AWURADE Nyankopɔn ka kyerɛɛ ɔbaa no sɛ: Adɛn na woyɛɛ saa? Na ɔbaa no se: Ɔwɔ no na ɔdaadaa me, maa mediiɛ.
GEN.3.14	Ɛnam sɛ woayɛ yei nti,
GEN.3.14	wɔadome wo ntɔteboa
GEN.3.14	ne wiram mmoadoma nyinaa mu.
GEN.3.14	Wo yafunu so na wobɛnanteɛ,
GEN.3.14	na woadi dɔteɛ
GEN.3.14	wo nkwa nna nyinaa.
GEN.3.15	ɛne w’asefoɔ ne n’asefoɔ ntam;
GEN.3.15	ɔno na ɔbɛbɔ wo tire,
GEN.3.15	na wo nso woaka ne nantin.
GEN.3.16	Dɔ na mɛma wo yea ne wo nyinsɛn mu brɛ adɔɔso.
GEN.3.16	Yea mu na wobɛwo mma,
GEN.3.16	na w’ani bɛgyina wo kunu,
GEN.3.16	na ɔno na ɔbɛdi wo soɔ.
GEN.3.17	Sɛ woatie wo yere nne,
GEN.3.17	na woadi dua
GEN.3.17	a mehyɛɛ wo
GEN.3.17	sɛ nnie no bie nti,
GEN.3.17	wo nti wɔadome asase.
GEN.3.17	Yea mu na wobɛdidi soɔ wo nkwa nna nyinaa.
GEN.3.18	Na nkasɛɛ ne nnɛnkyɛnse na ɛbɛfifiri ama woɔ,
GEN.3.18	na woadi afuo mu ahahan.
GEN.3.19	na wobɛdidie
GEN.3.19	de akɔsi sɛ wobɛsane akɔ dɔteɛ mu,
GEN.3.19	ɛfiri sɛ emu na wɔyii wo firiiɛ;
GEN.3.19	na woyɛ dɔteɛ,
GEN.3.19	na dɔteɛ mu na wobɛsane akorɔ.
GEN.3.20	Na Adam too ne yere din Hawa, ɛfiri sɛ ɔno na ɔyɛ ateasefoɔ nyinaa na. 
GEN.3.21	Na AWURADE Nyankopɔn yɛɛ nwoma ntadeɛ maa Adam ne ne yere de hyɛɛ wɔn.
GEN.3.23	AWURADE Nyankopɔn tuu no firii Eden turom hɔ sɛ ɔnkɔdɔ asase a wɔfaa no firii mu no. 
GEN.3.24	 Na ɔpamm onipa no, na ɔde Kerubim
GEN.4.1	Na Adam ne ne yere Hawa daeɛ, na ɔnyinsɛnee, na ɔwoo Kain. Na ɔkaa sɛ: AWURADE adaworoma manya ɔbarima. 
GEN.4.2	Na ɔwoo ne nua Habel kaa ne ho. Na Habel yɛ odwanhwɛfoɔ, ɛna Kain nso yɛ okuafoɔ. 
GEN.4.3	Na ɛbaa sɛ nna bi akyiri no, Kain de afuom nnoɔma bɛyɛɛ AWURADE ayɛ. 
GEN.4.4	 Na Habel nso de ne nnwan mu mmakan ne wɔn a wɔadɔre no bi bɛmae. Na AWURADE ani sɔɔ Habel ne n’afɔrebɔdeɛ no, 
GEN.4.5	nanso Kain ne n’afɔrebɔdeɛ no deɛ, n’ani ansɔ. Kain bo fuu pii, na ɔmunae. 
GEN.4.6	Na AWURADE bisaa Kain sɛ: Adɛn nti na wo bo afuo na woamuna yi? 
GEN.4.7	 Sɛ woyɛɛ no yie a, anka w’anim rente anaa? Na sɛ woanyɛ no yie enti, bɔne butu ɛpono ano, na w’akyiri kwan na ɛhwehwɛ, nanso di ne so.
GEN.4.9	Na AWURADE bisaa Kain sɛ: Ɛhe na wo nua Habel wɔ? Na ɔse: Mennim, me nua so hwɛfoɔ ne me anaa? 
GEN.4.10	 Na AWURADE se: Ɛdeɛn na woayɛ yi? Wo nua mogya nne reteam frɛ me firi asase so.
GEN.4.11	Na afei wɔadome wo afiri asase a abue n’ano agye wo nua mogya afiri wo nsam no so. 
GEN.4.12	Sɛ wodɔ asase a, ɛrenkɔ so mma wo ne nnɔbaeɛ bio na wobɛyɛ ɔkobɔni ne asesabɔni wɔ asase so. 
GEN.4.13	Na Kain ka kyerɛɛ AWURADE sɛ: Me bɔne so adeɛ so kyɛne sɛ mɛtumi asoa. 
GEN.4.14	 Hwɛ, woapamo me nnɛ afiri asase yi so, na mɛhunta mafiri w’anim, na mayɛ ɔkobɔni ne asesabɔni wɔ asase so, na obiara a ɔbɛhu me no, ɔbɛku me. 
GEN.4.15	Na AWURADE ka kyerɛɛ no sɛ: Ɛno nti obiara a ɔbɛkum Kain no, wɔbɛtɔ ne so werɛ ahodoɔ nson. Na AWURADE yɛɛ nsɛnkyerɛnneɛ bi maa Kain, na obiara a ɔbɛhu no no anku no. 
GEN.4.16	Na Kain firii AWURADE anim kɔe, na ɔkɔtenaa Nod asase so wɔ Eden apueeɛ.
GEN.4.17	Na Kain ne ne yere dae, na ɔnyinsɛnee, na ɔwoo Henok. Na ɔkyekyeree kuro bi, na ɔde ne ba Henok din too kuro no. 
GEN.4.18	Na Henok woo Irad, na Irad woo Mehuyael. Na Mehuyael woo Metusael, na Metusael woo Lamek.
GEN.4.19	Na Lamek waree mmaa baanu, ɔbaako din de Ada, na deɛ ɔka ho no din de Sila. 
GEN.4.20	Na Ada woo Yabal, ɔno na ɔyɛ ntomadan mu ne mmoa ho tenafoɔ agya. 
GEN.4.21	Na ne nua din de Yubal; ɔno na ɔyɛ asankubɔfoɔ ne mmɛnhyɛnfoɔ nyinaa agya. 
GEN.4.22	Na Sila nso woo Tubalkain a ɔyɛ kɔbere mfrafraeɛ ne dadeɛ adeɛ nyinaa atomfoɔ agya. Na Tubalkain nuabaa ne Naama.
GEN.4.23	Na Lamek ka kyerɛɛ ne yerenom sɛ:
GEN.4.23	Ada ne Sila, montie me nne;
GEN.4.23	Lamek yerenom, monyɛ aso mma m’asɛm:
GEN.4.23	Mekumm ɔbarima sɛ ɔpiraa me,
GEN.4.23	mekumm aberanteɛ sɛ ɔboroo me.
GEN.4.24	Lamek deɛ bɛyɛ aduɔson nson.
GEN.4.25	Na Adam ne ne yere daeɛ bio, na ɔwoo ɔbabarima, na ɔtoo ne din Set (aseɛ ne: Nsiananmu) sɛ: Onyankopɔn de ɔba foforɔ asi me Habel a Kain kumm no no ananmu. 
GEN.4.26	Na Set nso, wɔwoo ɔba maa no, na ɔtoo ne din Enos. Ɛberɛ no mu na wɔfirii aseɛ bɔɔ AWURADE din sɔree no.
GEN.5.2	Na ɔbɔɔ ɔbarima ne ɔbaa, na ɔhyiraa wɔn. Na ɔtoo wɔn din onipa.
GEN.5.4	Na Adam woo Set no akyiri no, ɔdii mfirinhyia ahanwɔtwe, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.5	Na Adam nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahankron aduasa.
GEN.5.6	Na Set dii mfirinhyia ɔha ne nnum na ɔwoo Enos. 
GEN.5.7	Na Set woo Enos no akyiri no, ɔdii mfeɛ ahanwɔtwe ne nson, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.8	Na Set nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahankron ne dummienu.
GEN.5.9	Na Enos dii mfirinhyia aduɔkron na ɔwoo Kenan. 
GEN.5.10	Na Enos woo Kenan no akyiri no, ɔdii mfeɛ ahanwɔtwe ne dunum, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.11	Na Enos nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahankron ne nnum.
GEN.5.12	Na Kenan dii mfirinhyia aduɔson na ɔwoo Ma-halalel. 
GEN.5.13	Na Kenan woo Ma-halalel no akyiri no, ɔdii mfeɛ ahanwɔtwe aduanan, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.14	Na Kenan nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahankron ne du.
GEN.5.15	Na Ma-halalel dii mfirinhyia aduosia nnum na ɔwoo Yared. 
GEN.5.16	Na Ma-halalel woo Yared no akyiri no, ɔdii mfeɛ ahanwɔtwe aduasa, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.17	Na Ma-halalel nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahanwɔtwe aduɔkron nnum.
GEN.5.18	Na Yared dii mfirinhyia ɔha aduosia mmienu na ɔwoo Henok. 
GEN.5.19	Na Yared woo Henok akyiri no, ɔdii mfeɛ ahanwɔtwe, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.20	Na Yared nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahankron aduosia mmienu. 
GEN.5.21	Na Henok dii mfirinhyia aduosia nnum na ɔwoo Metusela. 
GEN.5.22	 Na Henok woo Metusela no akyiri no, ɔne Onyankopɔn nantee mfirinhyia ahasa, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.23	Na Henok nna nyinaa yɛ mfeɛ ahasa aduosia nnum. 
GEN.5.24	 Na Henok ne Onyankopɔn nantee, na wɔanhunu no bio, ɛfiri sɛ Onyankopɔn faa no kɔe. 
GEN.5.25	Na Metusela dii mfirinhyia ɔha aduɔwɔtwe nson na ɔwoo Lamek. 
GEN.5.26	Na Metusela woo Lamek no akyiri no, ɔdii mfeɛ ahanson aduɔwɔtwe mmienu, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.27	Na Metusela nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfeɛ ahankron aduosia nkron.
GEN.5.28	Na Lamek dii mfirinhyia ɔha aduɔwɔtwe mmienu no ɔwoo babarima. 
GEN.5.29	 Na ɔtoo ne din Noa, na ɔkaa sɛ: Oyi na ɔbɛkyekyere yɛn werɛ wɔ yɛn nnwuma ne yɛn nsa ano brɛ mu wɔ asase a AWURADE adome no soɔ. 
GEN.5.30	Na Lamek woo Noa akyiri no, ɔdii mfeɛ ahanum aduɔkron nnum, na emu no ɔsane woo mmammarima ne mmammaa. 
GEN.5.31	Na Lamek nna a ɔdiiɛ ansa na ɔrewuo nyinaa yɛ mfirinhyia ahanson aduɔson nson. 
GEN.5.32	Na Noa dii mfirinhyia ahanum no, ɔwoo Sem, Ham ne Yafet.
GEN.6.2	 Nyankopɔn mma hunuu nnipa mmammaa sɛ wɔn ho yɛ fɛ, na wɔwarewaree wɔn mu biara a wɔpɛ. 
GEN.6.3	 Na AWURADE kaa sɛ: Me honhom rentena onipa mu nkɔsi daa, ɛfiri sɛ wɔyɛ honam, enti ne nna bɛyɛ mfeɛ ɔha aduonu. 
GEN.6.4	 Nna no mu ne akyire no, na abrane akɛseɛ wɔ asase so. Na Nyankopɔn mma kɔɔ nnipa mmammaa ho na wɔwoo mma maa wɔn no, yeinom ne aberempɔn a wɔwɔ din firi tete. 
GEN.6.5	 Na AWURADE hunuu sɛ nnipa bɔne dɔɔso pii wɔ asase so, na wɔn akoma mu nsusuiɛ nyinaa yɛ bɔne nko daa nyinaa. 
GEN.6.6	 Na AWURADE nuu ne ho sɛ ɔyɛɛ onipa wɔ asase soɔ, na ɛyɛɛ no ya n’akomam. 
GEN.6.7	Na AWURADE kaa sɛ: Mɛpepa nnipa a mabɔ wɔn no afiri asase ani, ampa ara, ɛfiri onipa so kɔsi ntɔteboa ne mmoa a wɔwea ne ewiem nnomaa so, ɛfiri sɛ manu me ho sɛ meyɛɛ wɔn. 
GEN.6.8	Na Noa deɛ, ɔnyaa adom AWURADE anim.
GEN.6.10	Na Noa woo mmammarima baasa, Sem, Ham, ne Yafet. 
GEN.6.11	Na asase asɛe wɔ Nyankopɔn anim, na awurukasɛm ahyɛ asase so ma. 
GEN.6.12	 Na Onyankopɔn hunuu asase, na hwɛ, asɛe, ɛfiri sɛ na nnipa nyinaa asɛe wɔn akwan wɔ asase so. 
GEN.6.13	 Na Onyankopɔn ka kyerɛɛ Noa sɛ: Abɔdeɛ nyinaa awieeɛ aba m’anim, ɛfiri sɛ wɔn awurukasɛm ahyɛ asase so ma, na hwɛ, mɛsɛe wɔn ne asase.
GEN.6.14	Fa ɔwawa yɛ adaka, na yɛ mpia wɔ adaka no mu, na fa ama ka emu ne ɛho. 
GEN.6.15	Na sɛdeɛ yɛ no nie: Ne ntwemu basafa ɔha aduonum, ne trɛ basafa aduonu nnum, ne korɔn basafa dunum. 
GEN.6.16	Yɛ adaka no ho mpomma, kɔsi sɛ aka anammɔn baako ne fa na aduru soro, na si adaka no ano pono ne nkyɛn mu, na yɛ nsamsoɔ mmiɛnsa, deɛ ɛdi aseɛ, deɛ ɛdi ntam ne deɛ ɛdi soro. 
GEN.6.17	Na hwɛ, me, mede nsuyire bɛba asase so mabɛsɛe abɔdeɛ a nkwa home wɔ wɔn mu nyinaa ɔsoro ase; asase so adeɛ nyinaa rebɛwuwu. 
GEN.6.18	Na me ne wo bɛyɛ apam ato hɔ, na woakɔ adaka no mu, wo ne wo mma, ne wo yere, ne wo mma yerenom. 
GEN.6.19	Na fa honam a ɛte aseɛ nyinaa mu mmienu mmienu, onini ne ɔbedeɛ, kɔ adaka no mu, na wɔnnya nkwa nka wo ho. 
GEN.6.20	Nnomaa sɛdeɛ wɔn su teɛ, ne ntɔteboa, sɛdeɛ wɔn su teɛ, ne mmoa a wɔwea asase soɔ nyinaa, sɛdeɛ wɔn su teɛ, wɔn nyinaa mu mmienu mmienu mmra wo nkyɛn, na wɔanya nkwa. 
GEN.6.21	Na wo deɛ, boaboa aduane nyinaa bi ano kɔ mu, na ayɛ wo ne wɔn aduane. 
GEN.6.22	Na Noa yɛɛ sɛdeɛ Onyankopɔn hyɛɛ no no nyinaa pɛpɛɛpɛ.
GEN.7.1	Na AWURADE ka kyerɛɛ Noa sɛ: Wo ne wo fiefoɔ nyinaa, monkɔ adaka no mu, ɛfiri sɛ wo na mahu wo sɛ ɔteneneeni m’anim, ɛberɛ yi mu. 
GEN.7.2	 Mmoa a wɔn ho teɛ nyinaa mu, fa nson nson, anini ne abedeɛ. Na mmoa a wɔn ho nteɛ mu, fa mmienu mmienu, onini ne ɔbedeɛ; 
GEN.7.3	ewiem nnomaa mu nso fa nson nson, anini ne abedeɛ, na wɔn ase nnya nkwa asase nyinaa ani. 
GEN.7.4	Ɛfiri sɛ aka nnanson na matɔ osuo agu asase so adaduanan awia ne anadwo, na mapepa adeɛ a nkwa wɔ mu a mayɛ nyinaa afiri asase ani. 
GEN.7.5	 Na Noa yɛɛ sɛdeɛ AWURADE hyɛɛ no no nyinaa. 
GEN.7.6	Ɛberɛ a nsuyire no baa asase soɔ no na Noa adi mfirinhyia ahansia. 
GEN.7.7	 Nsuo a na ɛrebɛyire no nti, Noa ne ne mma, ne ne yere, ne ne mma yerenom kɔɔ adaka no mu. 
GEN.7.8	Mmoa a wɔn ho teɛ ne mmoa a wɔn ho nteɛ ne nnomaa ne wɔn a wɔwea asase soɔ nyinaa mu 
GEN.7.9	 mmienu mmienu baa Noa nkyɛn adaka no mu, onini ne ɔbedeɛ, sɛdeɛ Onyankopɔn hyɛɛ Noa no. 
GEN.7.10	Na nnanson akyiri no, nsuyire baa asase so.
GEN.7.11	Noa dii mfirinhyia ahansia no, bosome a ɛtɔ so mmienu no dadu nnanson soɔ, da no ara, ebunu kɛseɛ no nsuo ani nyinaa paepaee, na ɔsoro mpomma buebuee. 
GEN.7.12	Na osuo tɔɔ asase so pii adaduanan, awia ne anadwo. 
GEN.7.13	Saa da yi ara (a nsuyire yi hyɛɛ aseɛ no) mu na Noa ne ne yere, ne ne mma, Sem, Ham ne Yafet, ne ne mma yerenom baasa akɔhyɛ adaka no mu. 
GEN.7.14	Na mmoadoma nyinaa, ntɔteboa, mmoa a wɔwea asase soɔ, ntuboa nyinaa, sɛdeɛ wɔn su teɛ, 
GEN.7.15	ne wɔn na ɛkɔɔ mu. Honam a nkwa home wɔ wɔn mu nyinaa mu mmienu mmienu na wɔbaa Noa nkyɛn wɔ adaka no mu. 
GEN.7.16	 Wɔn a ɛbaeɛ no, na wɔyɛ honam nyinaa mu anini ne abedeɛ, sɛdeɛ Onyankopɔn hyɛɛ no no; na AWURADE too no mu.
GEN.7.17	Na nsuyire no baa asase so adaduanan, na nsuo no yiriiɛ, na ɛmaa adaka no so firii asase so. 
GEN.7.18	Na nsuo no yirii dodo wɔ asase so; maa adaka no tɛɛ nsuo no ani. 
GEN.7.19	Na nsuo no boroo so ara wɔ asase so, na ɛkataa mmepɔ nyinaa so. 
GEN.7.20	Nsuo no boroo so kɔɔ soro basafa nson ne fa na ɛkataa mmepɔ so. 
GEN.7.21	Na abɔdeɛ a ɛte aseɛ nyinaa, nnomaa, ntɔteboa, wiram mmoa, mmoa a wɔwea asase soɔ, ne nnipa nyinaa; 
GEN.7.22	 wɔn a nkwa home wɔ wɔn mu, na wɔte asase pɛsɛɛ soɔ nyinaa wuwui. 
GEN.7.23	Na ɔpepaa biribiara a nkwa wom a ɛwɔ asase ani, ɛfiri nnipa so kɔsi ntɔteboa ne mmoa a wɔwea ne ewiem nnomaa so. Na wɔpepaa wɔn firii asase so, na ɛkaa Noa nko ara ne wɔn a wɔne no wɔ adaka no mu no. 
GEN.7.24	Na nsuo no yirii wɔ asase so nna ɔha aduonum.
GEN.8.1	Na Onyankopɔn kaee Noa ne mmoadoma nyinaa ne ntɔteboa nyinaa a wɔne no wɔ adaka no mu nyinaa. Na Onyankopɔn maa mframa bɔ faa asase so, na nsuo no ano brɛɛ ase. 
GEN.8.2	 Na ebunu no nsuo aniwa sisii, na ɔsoro mpomma mu totoe, maa osuo a ɛfiri soro no gyaee tɔ; 
GEN.8.3	na nsuo no twe firii asase so ara. Na ɛfiri nna ɔha aduonum akyiri no na na nsuo no so rehwan.
GEN.8.4	Na ɛda a ɛtɔ so dunson wɔ bosome nson mu no, adaka no kɔsii Ararat mmepɔ so. 
GEN.8.5	Na nsuo no kɔɔ so twee ara kɔsii bosome a ɛtɔ so du no so; na saa bosome no ara, ne da a ɛdi kan no na mmepɔ atifi dedaa adie.
GEN.8.6	Na ɛno akyiri adaduanan no, Noa buee adaka no mpomma a ɔyɛeɛ no, 
GEN.8.7	na ɔsomaa anene. Na ɔfirii adi, na ɔdii akɔneaba de kɔsii sɛ nsuo no wee asase soɔ. 
GEN.8.8	Na ɔsomaa aburuburo sɛ ɔnkɔhwɛ sɛ nsuo no awe wɔ asase ani anaa. 
GEN.8.9	Nanso aburuburo no annya ne nan sibea, na ɔsane baa ne nkyɛn adaka no mu, ɛfiri sɛ na nsuo no da so wɔ asase nyinaa ani. Na ɔtenee ne nsa faa no baa ne nkyɛn wɔ adaka no mu. 
