GEN.1.1	Aum Aunfank muak Gott Himmel un Ieed. 
GEN.2.11	De ieeschta von de vea Riefasch es de Paschon, un dee rand derch daut Launt Hawila, wua doa Golt es. 
GEN.2.12	Daut es goodet Golt en daut Launt, un dee haben doa uk Parfum un Onniks Steen. 
GEN.2.13	De tweeda Riefa heet Gihon, un dee rand derch daut Launt Kusch. 
GEN.2.14	De dredda Riefa heet Tigris un dee rand oosten von Assierien. Un de vieeda Riefa es de Eufrat.
GEN.2.15	Un Gott de 
GEN.2.16	Un Gott de 
GEN.2.17	oba von däm Boom, dee daut Vestentnis jäwen kaun, waut goot un schlajcht es, von däm saust du nich äten, wiels daut woat onbedinjt dienen Doot brinjen. 
GEN.2.18	Un Gott de 
GEN.2.19	Dan muak Gott de 
GEN.2.20	De Mensch funk Nomes fa aul daut Vee un de wille Tieren un fa de Väajel enne Loft. Oba doa wia kjeena waut paussent wia, om däm Mensch to halpen. 
GEN.2.21	Dan muak Gott de 
GEN.2.22	Un Gott de 
GEN.2.23	Dan säd de Mensch: Dise paust mie.
GEN.2.23	Dit es Knoaken von mienen Knoaken,
GEN.2.23	un Fleesch von mien Fleesch.
GEN.2.23	See saul Frumensch heeten,
GEN.2.23	wiels see vom Mensch jenomen es.
GEN.2.24	Doawäajen jeit een Maun von siene Elren wajch, un veeenicht sikj met siene Fru, un see sent eent. 
GEN.2.25	Un de Maun un de Fru wieren noaktich un schämden sikj nich.
GEN.3.1	De Schlang wia lestja aus irjent een aundret willet Tia, waut Gott de 
GEN.3.2	Un de Fru säd to de Schlang: Wie derwen von de Frucht von de Beem em Goaden äten, 
GEN.3.3	oba Gott säd: Jie sellen nich Frucht von däm Boom äten, dee medden em Goaden steit. Jie sellen doa nich von äten un dän nich emol aunschieren, soo daut jie nich stoawen. 
GEN.3.4	Oba de Schlang säd to de Fru: Jie woaren goanich stoawen. 
GEN.3.5	Gott weet, daut soo boolt aus jie doavon äten, woaren june Uagen op sennen, un jie woaren soo aus Gott sennen, un weeten, waut goot un waut schlajcht es.
GEN.3.6	Un de Fru sach, daut de Frucht goot leet, un daut dee goot to äten wia, un daut dee eenem kunn waut Vestentnis jäwen. Dan neem see von de Frucht un eet, un jeef äaren Maun uk, un dee eet. 
GEN.3.7	Dan vestunden see aulebeid un sagen, daut see noaktich wieren. Un see muaken sikj waut von Fiejenbläda toom sikj bedakjen. 
GEN.3.8	Aus de Dach aunfunk auftokjeelen, hieeden see, daut de 
GEN.3.9	Un Gott de 
GEN.3.10	Un de Maun säd: Ekj hieed die em Goaden un ekj haud Angst, wiels ekj noaktich sie, un dan vestuak ekj mie. 
GEN.3.11	Un Gott de 
GEN.3.12	Un de Maun säd: De Fru, dee du mie jeefst, jeef mie von de Frucht von däm Boom, un ekj eet. 
GEN.3.13	Un Gott de 
GEN.3.14	Un Gott de 
GEN.3.14	Wiels du dit jedonen hast,
GEN.3.14	woa ekj die bestrofen.
GEN.3.14	Von aule Tieren woascht du daut eensje sennen,
GEN.3.14	dee oppem Buck krupen mott,
GEN.3.14	un du woascht läweslank motten Ieed fräten.
GEN.3.15	Du un de Fru woaren junt fientlich sennen,
GEN.3.15	un june Nokomen woaren sikj nich lieden kjennen.
GEN.3.15	Hee woat die dien Kopp vewunden,
GEN.3.15	un du woascht am de Hak vewunden. 
GEN.3.16	Un to de Fru säd hee:
GEN.3.16	Ekj woa die väl mea Weedoag jäwen
GEN.3.16	wan du schwanga best,
GEN.3.16	un du woascht bie de Jeburt groote Weedoag haben.
GEN.3.16	Doch woascht du een velangen no dienen Maun haben,
GEN.3.16	un hee woat äwa die daut Wuat fieren. 
GEN.3.17	Un to däm Maun säd hee:
GEN.3.17	Wiels du no diene Fru äa Wuat jehorcht hast,
GEN.3.17	un hast von däm Boom jejäten,
GEN.3.17	von woonen ekj bestalt haud,
GEN.3.17	daut du doa nich von äten sust,
GEN.3.17	woa ekj mien Wuat jäwen,
GEN.3.17	daut de Ieed nich soo väl droagen woat.
GEN.3.17	Dien gaunzet Läwen woascht du schaufen motten,
GEN.3.17	daut doa woat jenuach to äten sennen fa junt. 
GEN.3.18	Doa woaren Distlen un Onkrut opp daut Launt sennen,
GEN.3.18	un du woascht von de Plaunten oppe Stap äten.
GEN.3.19	Du woascht väl schweeten motten, om jenuach Äten to trakjen,
GEN.3.19	un schlieslich woascht du stoawen un wada to Ieed woaren.
GEN.3.19	Du best von de Ieed jenomen,
GEN.3.19	un du woascht wada Ieed woaren. 
GEN.3.20	Un Adam jeef siene Fru dän Nomen Eva, wiels see de Mutta fa aulet Menschenläwen es. 
GEN.3.21	Un Gott de 
GEN.3.22	Un Gott de 
GEN.3.23	Doawäajen schekjt Gott de 
GEN.3.24	Hee schekjt däm Mensch ut däm Goaden rut, un stald doa aun de oostne Kaunt Cheruben han, met Schwieed, dee doa flaumden un en aule Rechtungen dreiden. Dee wieren doa toom dän Wajch no däm Boom, dee Läwen jeft, too to stalen.
GEN.4.1	Adam un Eva wieren Maun un Fru, un see kjrieejen dän Jung Kain. Eva säd: Ekj hab een Junkje jekjräajen. De 
GEN.4.2	Met de Tiet haud see noch een Junkje, un dee heet Abel. Abel wia een Hoad, un Kain deed Launt beoabeiden. 
GEN.4.3	Dan kjeem doa een Dach, wua Kain däm 
GEN.4.4	Abel brocht uk eene Gow fa däm 
GEN.4.5	oba Kain un sien Opfa jefoll am nich. Dan stieech Kain de Oaja aun, un am bedrekjt de gaunze Sach. 
GEN.4.6	Dan säd de 
GEN.4.6	Wuarom sticht die soo de Oaja aun,
GEN.4.6	un wuarom best du soo bedrekjt?
GEN.4.7	Wan du waut goodet väahast,
GEN.4.7	woascht du doch aunjenomen sennen,
GEN.4.7	oba wan du nich goodet väahast,
GEN.4.7	dan luat de Sind no eene Jeläajenheit bie die,
GEN.4.7	un haft een velangen no die.
GEN.4.7	Nu motst du doano seenen,
GEN.4.7	daut du nich von dee metjeräten woascht. 
GEN.4.8	Un Kain säd to sienen Brooda, Abel: Komm emol met mie oppe Stap. Un wiels see doa wieren, neem Kain un schluach sienen Brooda doot. 
GEN.4.9	Dan säd de 
GEN.4.10	Un de 
GEN.4.11	De Ieedboddem, dee dien Brooda sien Bloot oppneem aus du am doot schluachst, haft een Fluch fa die, un woat die Trubbel jäwen. 
GEN.4.12	Dee woat die nich wada soone Arnt jäwen, wan du dee beakren woascht. Du woascht oppe Ieed romwaundren un schwoa een Tus finjen. 
GEN.4.13	Un Kain säd: Dise Strof es too groot. 
GEN.4.14	Du hast mie nich bloos von mien Launt wajch jejoacht, oba uk von die. Ekj woa oppe Ieed romwaundren un schwoa een Tus finjen, un irjentwäa, wäa mie sitt, kunn mie ombrinjen. 
GEN.4.15	Un de 
GEN.4.16	Un Kain jinkj wieda vom 
GEN.4.17	Kain neem un befried sikj, un see kjrieejen een Junkje, Henoch. Un Kain bud eene Staut un veneemd dee no sienen Sän, Henoch. 
GEN.4.18	Un Henoch haud eenen Sän, Irad; un Irad wia de Voda to Mehujael, un Mehujael wia de Voda to Metuschael, un Metuschael wia de Voda to Lamech. 
GEN.4.19	Lamech haud twee Frues, de eene heet Ada, un de aundre Zilla. 
GEN.4.20	Ada haud eenen Jung, dee Jabal heet. Dee wia de Voda to aul dee, dee en Zelten wonen un Vee heeden. 
GEN.4.21	Jabal haud eenen Brooda, dee heet Jubal. Dee wia de Voda to aul dee, dee Zitta un Fleeten spälen. 
GEN.4.22	Zilla haud eenen Sän Tubal Kain. Dee muak veschiednet von Brons un Iesa. Tubal Kain haud eene Sesta, Naama.
GEN.4.23	Lamech säd to siene Frues,
GEN.4.23	Ada un Zilla: Horcht emol no mie;
GEN.4.23	miene Frues, paust opp no waut ekj saj.
GEN.4.23	Ekj hab eenen Maun omjebrocht,
GEN.4.23	doafäa daut hee mie eene Wund jeef.
GEN.4.23	Ekj hab eenen jungen Maun omjebrocht,
GEN.4.23	doafäa daut hee mie schluach.
GEN.4.24	Wan fa Kain sien Doot säwenmol wudd trigjetolt sennen,
GEN.4.24	dan wudd fa Lamech sienen 77 mol. 
GEN.4.25	Un Adam un Eva hauden noch eenen Sän un see nanden däm Sett. Eva säd: Gott haft mie eenen Sän en Abel siene Städ jesat, däm Kain doot schluach. 
GEN.4.26	Un Sett haud eenen Sän un hee nand däm Enosch. Un en dee Tiet fungen Menschen aun däm 
GEN.5.1	Dit es daut Buak von Adam siene Nokomen. Aus Gott de Menschen muak, muak hee dee soo aus Gott wia. 
GEN.5.2	Hee muak Maunsmensch un Frumensch, un jeef an eenen Säajen. Aus hee dee jemoakt haud, nand hee an “Menschen”.
GEN.5.3	Aus Adam 130 Joa oolt wia, haud hee eenen Sän, dee soo wia aus Adam selfst, un hee nand am Sett. 
GEN.5.4	No däm daut Sett jebuaren wia, läwd Adam noch 800 Joa, un hee haud noch aundre Kjinja. 
GEN.5.5	Adam storf bie een ella von 930 Joa.
GEN.5.6	Aus Sett 105 Joa oolt wia, haud hee eenen Sän Enosch. 
GEN.5.7	Sett läwd 807 Joa no däm daut Enosch jebuaren wia. Hee haud noch aundre Kjinja. 
GEN.5.8	Soo wort Sett 912 Joa oolt ea hee storf.
GEN.5.9	Aus Enosch 90 Joa oolt wia, haud hee eenen Sän, Kenan, 
GEN.5.10	un läwd dan noch eemol 815 Joa. Hee haud uk noch aundre Kjinja. 
GEN.5.11	Enosch storf aus hee 905 Joa oolt wia.
GEN.5.12	Aus Kenan 70 Joa oolt wia, haud hee eenen Sän, Mahalalel, 
GEN.5.13	un läwd dan noch 840 Joa. Hee haud noch mea Kjinja. 
GEN.5.14	Kenan storf aus hee 910 Joa oolt wia.
GEN.5.15	Aus Mahalalel 65 Joa oolt wia, haud hee eenen Sän, Jered, 
GEN.5.16	un läwd dan noch 830 Joa. Hee haud noch mea Kjinja. 
GEN.5.17	Mahalalel storf aus hee 895 Joa oolt wia.
GEN.5.18	Aus Jered 162 Joa oolt wia, haud hee eenen Sän, Henoch, 
GEN.5.19	un läwd dan noch 800 Joa. Hee haud noch mea Kjinja. 
GEN.5.20	Jered storf aus hee 962 Joa oolt wia.
GEN.5.21	Aus Henoch 65 Joa oolt wia, haud hee eenen Sän, Metuschelach. 
GEN.5.22	No däm daut Metuschelach jebuaren wia, haud Henoch noch 300 Joa en dee hee met Gott jinkj. Henoch haud noch aundre Kjinja. 
GEN.5.23	Aules toop läwd Henoch 365 Joa. 
GEN.5.24	Henoch läwd en Jemeenschoft met Gott, un dan veschwunk hee. Gott haud am wajchjenomen. 
GEN.5.25	Aus Metuschelach 187 Joa oolt wia, haud hee eenen Sän, Lamech, 
GEN.5.26	un läwd dan noch 782 Joa. Hee haud noch aundre Kjinja. 
GEN.5.27	Un Metuschelach storf aus hee 969 Joa oolt wia. 
GEN.5.28	Aus Lamech 182 Joa oolt wia, haud hee eenen Sän. 
GEN.5.29	Hee nand dän Sän, Noah, un säd: Wie haben soo väl schwoare Oabeit oppem Launt, wiels de 
GEN.5.30	Lamech läwd noch 595 Joa no däm daut hee dän Sän Noah haud, un hee haud uk noch aundre Kjinja. 
GEN.5.31	Un Lamech storf aus hee 777 Joa oolt wia.
GEN.5.32	No däm daut Noah 500 Joa oolt wia haud hee dree Säns, Sem, Ham, un Jafet.
GEN.6.1	Aus de Menschen sikj oppe Ieed vemieeden un see Dajchta hauden, 
GEN.6.2	neemen de Säns von de Jetta soone Mejales von mank de Menschen aus an schmock leeten, un befrieden sikj met dee. 
GEN.6.3	Un de 
GEN.6.4	To dee Tiet, un uk lota, wieren doa Nefiliten oppe Ieed, dee doa Nokomen wieren von de Säns von de Jetta un Frumenschen. Lang trigj wieren daut stoakje un huach aunjeseene Mana. 
GEN.6.5	De 
GEN.6.6	Un däm 
GEN.6.7	Un hee säd: Ekj woa dise Menschen, waut ekj jemoakt hab von oppe Ieed utrodden. Ekj woa Menschen un aule Tieren un Väajel utrodden, soo schod es mie daut, daut ekj an jemoakt hab. 
GEN.6.8	Oba Noah wia goot aunjeseenen biem 
GEN.6.9	Dit es de Jeschicht von Noah. Noah wia een jerajchta Maun; kjeena kunn am en siene Tiet beschuljen. Noah läwd en Jemeenschoft met Gott. 
GEN.6.10	Noah haud dree Säns. Dee heeten Sem, Ham, un Jafet. 
GEN.6.11	Un Gott sach woo bees de Menschheit wia, un daut de Ieed voll von orrajchtet un onbandjet Läwen wia. 
GEN.6.12	Hee sach daut aule Menschen oppe Ieed schaundhauft läwden. 
GEN.6.13	Un Gott säd to Noah: Ekj hab bie mie beschloten met aule Menschen un Tieren een Enj to moaken. De gaunze Ieed es voll von äa onbandjet Läwen. Nu woa ekj an ombrinjen un een Enj met de Ieed moaken. 
GEN.6.14	Du saust nu een grootet Schepp von goodet Holt buen. Doa sellen miere Stowen bennen sennen, un von buten un von bennen saust du daut met Pekj beschmäaren. 
GEN.6.15	Du saust daut Schepp 150 Meeta lank, 25 Meeta breet, un 15 Meeta huach moaken. 
GEN.6.16	Moak een Dak opp daut Schepp, een haulwet Meeta hecha aus de Sieden. Moak eene Däa aun de Sied, un bu doa dree Fluaren nenn. 
GEN.6.17	Doo dit, wiels ekj eene Äwaschwamunk woa komen loten. Dee woat aule Menschen un Tieren met läwendjen Odem oppe Ieed un unjarem Himmel ombrinjen. 
GEN.6.18	Met die, oba, woa ekj een Bunt moaken un die en daut Schepp nenn nämen. Ekj woa die un diene Säns, un diene Fru, un diene Säns äare Frues en daut Schepp nenn nämen. 
GEN.6.19	Un du saust von jieda Sort Tieren, emma twee en daut Schepp nenn brinjen. Soo woaren dee aum Läwen bliewen. Doa sellen emma een hee en eene see von jieda Sort sennen. 
GEN.6.20	Twee von jieda Sort Väajel, twee von jieda Sort Tieren, un twee von jieda Kruptia sellen no die komen, daut du dee aum Läwen helst. 
GEN.6.21	Nemm uk von jieda Sort Fooda un spikja daut opp, daut doa woat to äten sennen fa an un fa die. 
GEN.6.22	Un Noah deed aules waut de 
GEN.7.1	Un de 
GEN.7.2	Nemm emma säwen Poa von jieda Sort reine Tieren, emma een hee un eene see en jieda Poa. Nemm een Poa von jieda Sort waut nich rein es, emma een hee un eene see. 
GEN.7.3	Nemm emma säwen Poa von jieda Sort Väajel, emma een hee un eene see en jieda Poa, daut dee nich oppe Ieed utstoawen. 
GEN.7.4	Om säwen Doag woa ekj eenen Räajen schekjen dee 40 Doag, Dach un Nacht, räajnen woat. Ekj woa aule Sorten Tieren waut ekj oppe Ieed jemoakt hab ombrinjen. 
GEN.7.5	Un Noah deed aules waut de 
GEN.7.6	Noah wia 600 Joa oolt aus de Äwaschwamunk oppe Ieed kjeem.
GEN.7.7	Un Noah un siene Säns, un siene Fru un siene Säns äare Frues, jinjen en daut Schepp nenn, om sikj von de Äwaschwamunk wajch to brinjen. 
GEN.7.8	Von de reine un von de orreine Tieren, un uk von de Väajel un von de Kruptieren, 
GEN.7.9	kjeemen emma twee opp eemol, een hee un eene see, met Noah toop en daut Schepp nenn, soo aus Gott Noah daut väajesajcht haud. 
GEN.7.10	Un no säwen Doag kjeem de Äwaschwamunk oppe Ieed. 
GEN.7.11	Un en Noah sien 600. Joa, en de 2. Moonat, aun däm 17. Dach sprungen aule Kjwalen op von deep enne Ieed, un aule Fenstren dee Wota em Himmel hilden jinjen op. 
GEN.7.12	Daut räajend Dach un Nacht, fa 40 Doag. 
GEN.7.13	Aun krakjt dän Dach jinjen Noah un siene Säns, Sem, Ham, un Jafet, un Noah siene Fru, un siene Säns äare Frues en daut Schepp nenn, 
GEN.7.14	un uk jieda Sort von daut Vee, von de Tieren, von de Kruptieren, un von de Väajel. 
GEN.7.15	Dee jinjen emma twee tojlikj von jieda Sort von Tieren, dee läwendjen Odem hauden, met Noah toop en daut Schepp, 
GEN.7.16	krakjt soo aus Gott daut väajesajcht haud. Un de 
GEN.7.17	De Äwaschwamunk wort emma jrata, fa 40 Doag, soo daut daut Schepp opphoof un schwomm. 
GEN.7.18	Daut Wota wort sea deep, oba daut Schepp bleef oppem Wota. 
GEN.7.19	Daut Wota wort soo deep, daut aule Boaj unja Wota jinjen. 
GEN.7.20	Doa wia 7 Meeta Wota äwa de Boaj.
GEN.7.21	Un aulet Läwen oppe Ieed, Väajel, Vee, Tieren, un aule Kjniepasch, un uk aule Menschen, kjeemen om. 
GEN.7.22	Aules, waut oppe Ieed eenen läwendjen Odem haud, storf. 
GEN.7.23	De 
GEN.7.24	Un de Äwaschwamunk bleef fa 150 Doag oppe Ieed.
GEN.8.1	Oba Gott hilt Noah un de Tieren un Vee, dee met am em Schepp wieren, em Denkj. Un Gott leet eenen Wint äwa daut Wota komen un daut Wota neem auf. 
GEN.8.2	De Kjwalen von enne Ieed un de Fenstren aum Himmel jinjen too, un de Räajen jeef no. 
GEN.8.3	Dan fa 150 Doag jinkj daut Wota emma läaja, 
GEN.8.4	bat sikj daut Schepp aun däm 17. Dach von de 7. Moonat opp eenen Boajch en de Ararat Boaj sad. 
GEN.8.5	Daut Wota jinkj dan noch wieda rauf, bat aun däm 1. Dach von de 10. Moonat de Spetzen von de Boaj to seenen wieren.
GEN.8.6	No noch emol 40 Doag, muak Noah daut Fensta em Schepp op, 
GEN.8.7	un leet eene Krauj loos. Dee fluach han un trigj, bat daut Wota von de Ieed gaunz aufjetrocken wia. 
GEN.8.8	Dan leet hee eene Duw loos, wiels hee wull seenen auf daut Wota aufjetrocken wia, 
GEN.8.9	oba dee funk kjeene Städ, wua see sikj hansaten kunn, wiels daut Wota noch too huach wia. Un dee kjeem trigj no daut Schepp soo daut Noah siene Haunt rut stuak un ar trigj em Schepp nenn neem. 
GEN.8.10	No säwen mea Doag leet Noah noch wada de Duw loos. 
GEN.8.11	Dän Owent kjeem dee trigj met een jreenet Blaut von eenen Oliewenboom em Schnowel. Dit säd Noah, daut daut Wota aufjetrocken wia. 
GEN.8.12	Dan no noch emol säwen Doag leet hee de Duw loos, un dee kjeem dautmol nich trigj.
GEN.8.13	Aus Noah 601 Joa oolt wia, aun däm 1. Dach von de 1. Moonat, wia daut Wota wajch von oppe Ieed. Un Noah neem daut Dak von daut Schepp rauf un kjikjt rut un sach, daut de Ieed aufdrieejen deed. 
GEN.8.14	Aun däm 27. Dach en de 2. Moonat wia de Ieed drieech. 
GEN.8.15	Gott säd to Noah: 
GEN.8.16	Nu got ut daut Schepp rut, du un diene Fru un diene Säns un äare Frues. 
GEN.8.17	Un brinj aul de Tieren, Väajel un Kruptieren rut, daut see kjennen Junge haben un sikj oppe Ieed vemieren. 
GEN.8.18	Un Noah jinkj ut daut Schepp rut met siene Famielje. 
GEN.8.19	Un aules waut sikj oppe Ieed bewäajd, jieda Tia, un jieda Kruptia, un jieda Voagel, emma met sient jlikjen, jinjen ut daut Schepp rut.
GEN.8.20	Un Noah muak eenen Aultoa fa däm 
GEN.8.21	Aus de 
GEN.8.22	Soo lang aus de Ieed steit
GEN.8.22	woat Sodeltiet un Arnt Tiet,
GEN.8.22	kolde Tiet un heete Tiet,
GEN.8.22	Somma un Winta,
GEN.8.22	un Dach un Nacht
GEN.8.22	nich opphieren. 
GEN.9.1	Un Gott säajend Noah un siene Säns, un säd: Habt june Famieljes, un vemieet junt, daut de Ieed bevelkjat woat. 
GEN.9.2	Jieda Tia oppe Ieed un jieda Voagel waut doa flicht un jieda Fesch em Wota, woat sikj fa junt schuen, un jie woaren de Macht äwa an haben. 
GEN.9.3	Jieda Sort von Tieren oppe Ieed es doa fa junt toom äten. Krakjt soo aus ekj junt daut, waut doa waust, jeef, jäw ekj junt aules. 
GEN.9.4	Oba jie sellen nich Fleesch met daut Läwensbloot doa noch bennen äten. 
GEN.9.5	Wan doa een Mensch sien Läwen jenomen woat, woat doa eene Veauntwuatunk sennen. Von jieda Tia, waut eenen Mensch ombrinjt, woat waut velangt. Von jieda Mensch, dee een Menschenläwen nemt, woat sien Läwen velangt. 
GEN.9.6	Wäa een Menschenläwen nemt,
GEN.9.6	däm sien Läwen saul jenomen woaren,
GEN.9.6	wiels Gott haft dän Mensch
GEN.9.6	soo aus sikj selfst jemoakt. 
GEN.9.7	Jie sellen Kjinja haben un Grootkjinja;
GEN.9.7	got aulawäajen oppe Ieed un vemieet junt.
GEN.9.8	Un Gott säd to Noah un siene Säns, 
GEN.9.9	Horcht emol. Ekj moak eenen Bunt met junt un june Nokomen, 
GEN.9.10	met jieda Sort von Väajel, Vee, un Tieren oppe Ieed, dee met junt ut daut Schepp kjeemen. 
GEN.9.11	Dit es mien Bunt met junt:
GEN.9.11	Ekj woa niemols wada aulet Läwen ombrinjen met eene Äwaschwamunk.
GEN.9.11	Ekj woa nienich wada met eene Äwaschwamunk de Ieed gaunz vedoawen.
GEN.9.12	Un Gott säd: Ekj woa dit Tieekjen jäwen, daut ekj opp emma disen Bunt jemoakt hab. De Bunt es tweschen mie un junt un june Nokomen, un aule Tieren, aules waut oppe Ieed dän läwendjen Odem haft. 
GEN.9.13	Ekj woa mienen Boagen en de Wolkjen saten fa een Tieekjen von mienen Bunt met de Ieed. 
GEN.9.14	Wan ekj woa Wolkjen brinjen, un de Boagen doa woat to seenen sennen, 
GEN.9.15	woa ekj aun dän Bunt tweschen mie un junt un aule Tieren denkjen, un daut Wota woat nienich wada eene Äwaschwamunk jäwen waut aule Menschen un Tieren ombrinjen woat. 
GEN.9.16	Wan de Boagen enne Wolkjen es, woa ekj dän seenen un aun dän Bunt tweschen mie un aule Menschen un Tieren, dee eenen läwendjen Odem haben, denkjen. 
GEN.9.17	Dit es daut Tieekjen von däm Bunt dän ekj met aule Menschen un Tieren oppe Ieed moak.
GEN.9.18	Noah siene Säns dee ut daut Schepp kjeemen wieren Sem, Ham un Jafet. Ham wia de Voda to Kanaan. 
GEN.9.19	Von dise dree Säns von Noah komen aule Menschen oppe Ieed.
GEN.9.20	Noah wia de ieeschta waut de Ieed beoabeiden deed. Hee plaunt eenen Wiengoaden, 
GEN.9.21	un drunk Wien. Hee bedrunk sikj un lach noaktich en sien Zelt. 
GEN.9.22	Un Ham, Kanaan sien Voda, sach daut sien Voda noaktich wia un jinkj rut un säd siene Breeda daut. 
GEN.9.23	Dan neemen Sem un Jafet eene Dakj un hilden dee jieda opp äare Schulla un jinjen äwaroasch, soo daut see äaren Voda bedakjten. See sagen am nich noaktich. 
