GEN.1.1	Du ujuni Naşibaţi apaş baţi na mboş.
GEN.2.24	Waŋ ukaaŋ kë ñiinţ akluŋ kaduk aşin na anin kanaakiir na aharul, bakak ñaaŋ aloolan. 
GEN.2.25	Kë bukal batëb bŧi, ñiinţ na ñaaţ başë wo byişu, kë nin aloŋ aankowa aŧënţul.
GEN.3.1	Upula ubi wo unkguuradaanuŋ ţi ŋko ŋi uţeeh bŧi ŋi Naşibaţi 
GEN.3.2	Kë ñaaţ aŧeema aji : « Ŋhinan kade mnko mi uwoorta. 
GEN.3.3	Kë bko banwooŋ ţi pŧoof pi uwoorta, Naşibaţi aji ŋkeţ woli ŋban ba, këme ade ba. »
GEN.3.4	Kë upula uŧeema aji : « Nin ! Naankkeţ ! 
GEN.3.5	Naşibaţi ame kë unuur wi nakdeeŋ bko mënţ, këş ki nan kahaabëşa naşë nawo ji a
GEN.3.6	Ñaaţ awin kë bko baka plil pde, anuura ţi këş, abot awo bko banjaaŋ bawul uşal unŧuŋa. Amar wal mënţ pko ploŋ ţi bko mënţ ade, akak awul ayinul, anwooŋ na a, kë adee. 
GEN.3.7	Wal mënţ kë këş kaşë haabëşa na baka kë bame hënkuŋ kë bawo byişu. Bajej itoh yi bko bi bajaaŋ bado bfig aşiir awunna ŋleef.
GEN.3.8	Na utaakal, uyook ulil ukob, kë Naşibaţi Nawat Kabuka aşë pën ptar ihoţ, ñiinţ na ñaaţ baŧiinka aşë mena ţi mnko mi uwoorta. 
GEN.3.9	Naşibaţi Nawat Kabuka adu ñiinţ aji : « Iwo ţuŋ ba ? »
GEN.3.10	Kë aŧeema aji : « Dŧiink kë ikpoş ţi uwoorta kë nlënki ţiki dwo byişu, aya amena. » 
GEN.3.11	Kë akak aji na a : « In aţupiiŋ aji iwo byişu ? Ikeer ade bko bi nneenaniiŋ pde ! »
GEN.3.12	Kë ñiinţ aji na a : « Ñaaţ i iţuuŋ kë añogën amaruŋ pko ţi bko buŋ awulën, kë ndee ! » 
GEN.3.13	Kë Naşibaţi Nawat Kabuka aşë ji na ñaaţ : « We wi idoluŋ hënk ? » Kë aŧeem aji : « Upula uguurnuŋ, kë nde ba. » 
GEN.3.14	Kë Naşibaţi Nawat Kabuka aşë ji na upula : « Jibi idoluŋ uko mënţ,
GEN.3.14	Ikfëpaniiŋ ţi ŋnŧaam ŋi katoh bŧi
GEN.3.14	na ŋko ŋi uţeeh bŧi.
GEN.3.14	Ido kapoşna kayiŋ kabot kade mboş
GEN.3.14	ŋnuur bŧi ŋi ubida wi nu.
GEN.3.15	Dţu bşoorad ţi iwi na ñaaţ,
GEN.3.15	ţi pntaali pi nu na pi nul.
GEN.3.15	Baluŋ kanantlu bkow,
GEN.3.15	kë iwi, iluŋ katib baka ţi pşoñ. »
GEN.3.16	Naşibaţi Nawat Kabuka akak aji na ñaaţ :
GEN.3.16	« Dluŋ kaţu'u ţi unoor uweek woli ibuk,
GEN.3.16	iluŋ kahaj woli ibuk.
GEN.3.16	Uŋal wi nu uluŋ kado kawuuku du ayinu
GEN.3.16	ado kaţu'u pdo uko wi aŋaluŋ. »
GEN.3.17	Naşibaţi Nawat Kabuka aji na ñiinţ :
GEN.3.17	« Jibi iŧiinkuŋ uţup wi aharu,
GEN.3.17	ade bko bi mbiiŋ aneenanu pde,
GEN.3.17	iţu mboş manfëpana !
GEN.3.17	Ido kaji khaj maakan kaba kahinan kapënan ţi ma uko ude
GEN.3.17	ŋnuur bŧi ŋi ubida wi nu.
GEN.3.18	Mboş mando kawulu iyiw,
GEN.3.18	ibot ido kade ŋdeey ŋi uţeeh.
GEN.3.19	Ujënk wi nu
GEN.3.19	wi wi ikluŋ kado kadeena
GEN.3.19	te wal wi ikluŋ kakak du mboş mi ipënnuŋ
GEN.3.19	ţiki iwo ufuuş
GEN.3.19	akuţ aluŋ kakak du ufuuş. »
GEN.3.20	Adam, ñiinţ, aţu aharul katim ki « Ewa
GEN.3.21	Naşibaţi Nawat Kabuka ado Adam na aharul imişa yi injan awoharan baka. 
GEN.3.22	Wi wi aşaaŋ aji : « Hënkuŋ ñaaŋ akak ji nja, kame bnuura na buţaan ! Awutan hënkuŋ katar kañen, kamar kak ţi bko bi ubida kakaana ubida wi mnţo ! » 
GEN.3.23	Kë Naşibaţi Nawat Kabuka aşë dooka ţi uwoorta wi Eden ado kajaar mboş mi bapënanaanuluŋ. 
GEN.3.24	Wi adookuluŋ aşë ţu ŋwanjuŧ ŋi bajaaŋ bado kerubim kë ŋakyeŋ du umbaŋ wi umayar unuur wi uwoorta, na kakej ki bdoo kankdoluŋ ji kabëntabën, kayeŋna bgah byaani du bko bi ubida.
GEN.4.1	Wi iko yaŋ iţëpuŋ, Adam ameer na Ewa aharul ; kë awo na kayiŋ, abuk Kayin
GEN.4.2	Akak abuk napoţ ñiinţ, Abel.
GEN.4.2	Abel awo nayafan, kë Kayin aşë wo najaar. 
GEN.4.3	Wi bayaaŋ aban ţuŋ, kë Kayin aşë ţij ŋdeey ŋi apënanaanuŋ ţi mboş aţeŋan Nawat Kabuka. 
GEN.4.4	Abel ul kak, kë apënan ŋloŋ ţi ŋnŧaam ŋambukiiŋ uŧeek ţi batani bi nul aţu na mniir mi ŋa aţeŋanaan Nawat Kabuka. Kë Ajugun adi bţeŋan bi Abel, 
GEN.4.5	aşë wo aandi bi Kayin. Kë Kayin aşë deebaţ maakan, kaara kë daţoñara na a.
GEN.4.6	Nawat Kabuka aji na Kayin wal mënţ : « We ukaaŋ kë ideebaţi, kë kaara di nu dabot aţoñara ba ? 
GEN.4.7	Woli ido hënkuŋ uko unnuuriiŋ, iinkhil kadeeŋ bkow i ? Kë woli ido uko unwooŋ uunnuura, buţaan daji dabop ţi plëman pi nu ji uko wi uţeeh unjoţuŋ kado na pwatu. Kë işë wo i kawat da. »
GEN.4.8	Kayin kë aşë ji na Abel aţa'ul : « Biin ŋya uţeeh
GEN.4.9	Nawat Kabuka aji na Kayin : « Abel aţa'u awo ţuŋ ba ? » Kë aŧeem aji : « Mëmmee. Dwo nayeŋ i aţa'naan i ? » 
GEN.4.10	Kë Nawat Kabuka akak aji na a : « We wi idoluŋ ba ? Dŧiink pñaak pi aţa'u du mboş kë pakhuuran abi ţi nji ala nlukana. 
GEN.4.11	Hënkuŋ, ifëpanaa, adookana ţi mboş manhaabëşuŋ mntum adaan pñaak pi aţa'u i ifiŋuŋ. 
GEN.4.12	Ukaaŋ kë woli ijaar, mboş maankak awulu ŋdeey : ido kañaay ñaay na umundu. »
GEN.4.13	Kë Kayin aşë ji na Nawat Kabuka : « Kakob ki katam maakan pa nji. 
GEN.4.14	Idookën nţa ţi mboş mnuura, kë nwoyi kamena kaya kalowu ; kado kañaay ţi umundu, ñaaŋ awinënle afiŋën. » 
GEN.4.15	Nawat Kabuka kë aşë ŧeema aji : « Nin, woli ñaaŋ afiŋu, bañaaŋ paaj na aloŋ bakfiŋaniiŋ pa plukanu. » Wi wi Nawat Kabuka aşaaŋ aţu uko uloŋ ţi Kayin unkţuuŋ ñaaŋ awinale awut kafiŋa. 
GEN.4.16	Kë hënk di ayaaŋ alow Nawat Kabuka, afëţ du uŧaak wi Nod unwooŋ du umayar unuur wi Eden.
GEN.4.17	Kayin ameer na aharul, kë awo na kayiŋ abuk Henok. Kayin awo wal mënţ ţi pniw ubeeka, kë hënk di aţuuŋ wa katim ki abukul Henok. 
GEN.4.18	Henok awooŋ aşin Irad, kë Irad awo aşin Mehuyahel, kë Mehuyahel awo aşin Metuŧayel, kë Metuŧayel awo aşin Lamek.
GEN.4.19	Lamek aniim baaţ batëb, aloŋ awo katim ki Adah, kë natëbanţën awo Ŧilah. 
GEN.4.20	Adah abuk Yabal ; awooŋ aşin banjaaŋ bafëţ ţi iloona kabot kayafan. 
GEN.4.21	Katim ki aţa'ul kawo Yubal ; awooŋ aşin banjaaŋ bakob uko unnaamuŋ ji bnŧuni wi bajaaŋ bado « harpe » kabot kaŧeen. 
GEN.4.22	Ŧilah kak abuk napoţ ñiinţ i katim ki Tubal Kayin, anwooŋ ateem baţak bŧi banjaaŋ baboman iko ijul injaaŋ ilofar. Aţa Tubal Kayin ñaaţ awo katim ki Naamah.
GEN.4.23	Lamek aji na baharul :
GEN.4.23	« Adah na Ŧilah, naŧiinkaan ;
GEN.4.23	bahar Lamek, nawatan ibaţ.
GEN.4.23	Dfiŋ ñiinţ, ţiki bakobën awuran
GEN.4.23	Aa, dfiŋ naţaşa mënţ, ţiki baŧehanaan
GEN.4.24	Woli ñaaŋ afiŋ Kayin, bañaaŋ paaj na aloŋ
GEN.4.24	bakfiŋaniiŋ kalukanaana,
GEN.4.24	kë woli ñaaŋ afiŋ Lamek, bañaaŋ iñeen-paaj-na-aloŋ na paaj na aloŋ (77)
GEN.4.24	bakfiŋaniiŋ kalukanaana. »
GEN.4.25	Adam akak ameer na aharul kë abuk napoţ ñiinţ, kë Ewa aţu'a katim ki Ŧet aşë ji : « Wi Kayin afiŋuŋ Abel, kë Naşibaţi aşë wulën napoţ ñiinţ i. » 
GEN.4.26	Ŧet ul kak kë abuk napoţ ñiinţ, aţu'a katim ki Enoş. Wal mënţ wi wi bañaaŋ bajunuŋ pdëman Naşibaţi kadola 
GEN.5.1	Uko umpiiŧaniiŋ ţi pntaali pi Adam wii wi : unuur wi Naşibaţi aţakuŋ ñaaŋ, adola kë anaam na a. 
GEN.5.2	Wal mënţ ado baka kë bawo ñiinţ na ñaaţ, awul baka bnuura, aşë ţu baka katim aji « Bañaaŋ. »
GEN.5.3	Wi Adam adoluŋ ŋşubal iñeen-week na iñeen ŋwajanţ (130), abuk napoţ anaamuŋ na a, aşë ţu'a katim ki Ŧet. 
GEN.5.4	Wi Ŧet abukiiŋ, Adam akak ado ŋşubal iñeen-week bakreŋ (800) abot abuk bapoţ biinţ na baaţ. 
GEN.5.5	Ŋşubal bŧi ŋi Adam adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş kañeen-kaloŋ na iñeen ŋwajanţ (930). Wi wi aşaaŋ akeţ.
GEN.5.6	Wi Ŧet adoluŋ ŋşubal iñeen-week na kañeen (105) aşë buk Enoş. 
GEN.5.7	Wi Enoş abukiiŋ, Ŧet akak aţo ŋşubal iñeen-week bakreŋ na paaj na uloŋ (807), abot abuk biinţ na baaţ. 
GEN.5.8	Ŋşubal bŧi ŋi Ŧet adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş kañeen-kaloŋ na ŋşubal iñeen-na-ŋtëb (912). Wi wi aşaaŋ akeţ.
GEN.5.9	Wi Enoş akaaŋ ŋşubal iñeen kañeen-kaloŋ (90) aşë buk Kenan. 
GEN.5.10	Wi Kenan abukiiŋ, Enoş akak aţo ŋşubal iñeen-week bakreŋ na iñeen-na-kañeen (815), abot abuk biinţ na baaţ. 
GEN.5.11	Ŋşubal bŧi ŋi Enoş adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş kañeen-kaloŋ na ŋşubal kañeen (905). Wi wi aşaaŋ akeţ.
GEN.5.12	Wi Kenan akaaŋ ŋşubal iñeen paaj-na-uloŋ (70) aşë buk Mahalalel. 
GEN.5.13	Wi Mahalalel abukiiŋ, Kenan akak aţo ŋşubal iñeen-week ŋyaaş bakreŋ na ŋşubal iñeen ŋbaakër (840) abot abuk biinţ na baaţ. 
GEN.5.14	Ŋşubal bŧi ŋi Kenan adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş kañeen-kaloŋ na ŋşubal iñeen (910). Wi wi aşaaŋ akeţ.
GEN.5.15	Wi Mahalalel akaaŋ ŋşubal iñeen-paaj na kañeen (65) aşë buk Yered. 
GEN.5.16	Wi Yered abukiiŋ, kë akak aţo ŋşubal iñeen week bakreŋ na ŋşubal iñeen ŋwajanţ (830) abot abuk biinţ na baaţ. 
GEN.5.17	Ŋşubal bŧi ŋi Mahalalel adoluŋ ţi mboş ŋawo iñeen-week bakreŋ na ŋşubal iñeen kañeen-kaloŋ na kañeen (895). Wi wi aşaaŋ akeţ.
GEN.5.18	Wi Yered akaaŋ ŋşubal iñeen-week na iñeen paaj na ŋtëb (162) aşë buk Henok. 
GEN.5.19	Wi Henok abukiiŋ, Yered akak aţo ŋşubal iñeen-week bakreŋ (800) abot abuk biinţ na baaţ. 
GEN.5.20	Ŋşubal bŧi ŋi Yered adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş kañeen-kaloŋ na iñeen paaj na ŋtëb (962). Wi wi aşaaŋ akeţ.
GEN.5.21	Wi Henok akaaŋ ŋşubal iñeen-paaj na kañeen (65), aşë buk Matuŧalem. 
GEN.5.22	Wi Matuŧalem abukiiŋ, Henok awo na Naşibaţi aţaşa ŋşubal iñeen-week ŋyaaş ŋwajanţ (300) abot abuk biinţ na baaţ. 
GEN.5.23	Ŋşubal bŧi ŋi Henok adoluŋ ţi mboş ŋawo iñeen-week ŋwajanţ na iñeen-paaj na kañeen (365). 
GEN.5.24	Henok awo na Naşibaţi aţaşa kë Naşibaţi aşë jeja, bañaaŋ baankak awina, ţiki Naşibaţi aya na a.
GEN.5.25	Wi Matuŧalem akaaŋ ŋşubal iñeen-week na ŋşubal iñeen bakreŋ na paaj-na-uloŋ (187) aşë buk Lamek. 
GEN.5.26	Wi Lamek abukiiŋ, Matuŧalem akak aţo ŋşubal iñeen-week ŋyaaş paaj-na-uloŋ na ŋşubal iñeen bakreŋ na ŋtëb (782) abot abuk biinţ na baaţ. 
GEN.5.27	Ŋşubal bŧi ŋi Matuŧalem adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş kañeen-kaloŋ na iñeen paaj na kañeen-kaloŋ (969). Wi wi aşaaŋ akeţ.
GEN.5.28	Wi Lamek akaaŋ ŋşubal iñeen-week na iñeen bakreŋ na ŋtëb (182) aşë buk napoţ ñiinţ. 
GEN.5.29	Awul napoţ mënţ katim ki Nowe, ţiki aji : « I, akţuuŋ iñen yi nun inoorfën ulemp na unoor. Mboş mi Naşibaţi afëpuŋ manţuuŋ un ulemp na unoor mënţ. » 
GEN.5.30	Wi Nowe abukiiŋ, Lamek akak aţo ŋşubal iñeen-week kañeen na ŋşubal iñeen kañeen-kaloŋ na kañeen (595). Abot abuk bapoţ biinţ na baaţ. 
GEN.5.31	Ŋşubal bŧi ŋi Lamek adoluŋ ţi mboş ŋawo iñeen-week ŋyaaş paaj-na-uloŋ na ŋşubal iñeen paaj-na-uloŋ na paaj-na-uloŋ (777). Wi wi aşaaŋ akeţ.
GEN.5.32	Wi Nowe akaaŋ ŋşubal iñeen-week kañeen (500) aşë buk Şem, Ham na Jafet.
GEN.6.1	Wi bañaaŋ bajunuŋ pŧum ţi mboş abot abuk bapoţ baaţ, 
GEN.6.2	kë bañaaŋ biki baţi
GEN.6.3	Wi wi 
GEN.6.4	Wal mënţ bañaaŋ baloŋ badëm maakan bamëgaţaan bawo ţi mboş ; badobi woha wo da wal wi bañaaŋ biki baţi babiiŋ ţi baaţ babuk bañaaŋ bajën abuk bapoţ na baka. Bukal bawooŋ ţfa bañaaŋ biki itim ipënaliiŋ.
GEN.6.5	Nawat Kabuka awin kë buţaan bi ñaaŋ akdoluŋ ţi mboş badëma adëm pya kë ñaaŋ abot aji bi ţu ţu uşal bŧi ţi pdo buţaan ŋnuur bŧi. 
GEN.6.6	Nawat Kabuka adug umeli ţi uko wi aţakuŋ ñaaŋ, kë uhaaşul uwo ţi mnţëg mnweek. 
GEN.6.7	Wi wi aşaaŋ aji : « Dpënan ţi mboş bañaaŋ biki nji nţakuŋ, na ŋnŧaam ŋi katoh, na ŋko ŋi uţeeh na ŋkaŧ, ţiki ddug umeli uko wi nţakari ŋa. » 
GEN.6.8	Kë ñaaŋ aloŋ aşë wo, i Naşibaţi alilandëri, anwooŋ katim ki Nowe.
GEN.6.9	Uko wi Nowe wii wi :
GEN.6.9	Nowe abi wo ñiinţ naŧool ţi këş ki Naşibaţi abot aji ŧiinka ; awo na a aji ţaşa. Wal mënţ ul awohaŋ haŋ ţi bañaaŋ bŧi. 
GEN.6.10	Nowe abuk bapoţ biinţ bawajanţ : Şem na Ham na Yafet. 
GEN.6.11	Kë bañaaŋ biki mboş bŧi başë wuţ awo bado buţaan ţi këş ki Naşibaţi, mnŋot kë manŧum ţi mboş. 
GEN.6.12	Naşibaţi aten mboş awin kë bañaaŋ bawuţi, ţiki bawo bŧi ţi pdo buţaan.
GEN.6.13	Kë Naşibaţi aşë ji na Nowe : « Dba na bañaaŋ bŧi na ŋko bŧi ţiki bañaaŋ bakaaŋ kë mnŋot manŧum ţi mboş. Dpënan baka keeri ţi mboş. »
GEN.6.14	Akak aji na Nowe : « Bomaan upuur pa iwi, upuur unkwooŋ uweek, wi ikbomanuŋ na impiñu inuura, ido imeeţ ţi wa, ikër wa ţi meeţ na bdig na uko unkneenanuŋ meel pţëp. 
GEN.6.15	Hënk di di ikbomanuŋ upuur mënţ : udëm kado uko ji ŋmetër iñeen-week na iñeen ŋwajanţ (130m) kahaan kado ŋmetër iñeen ŋtëb na ŋtëb (22m), kadiilade kawo ŋmetër iñeen na ŋwajanţ (13m). 
GEN.6.16	Doon bţuk ţi upuur bi kakujënţ kakwooŋ pŧoof pi umetër, ibot ido plëman pi wa pawo ţi kabaŋ, ido wa uka ŋşoobra ŋtëb aţu na uţeeh.
GEN.6.17	« Nji, dţij meel kado ma mampar maniink dko, kabaana na bañaaŋ na ŋko bŧi : nin uko uloŋ uunkduka ţi mboş kado kahefënţ. 
GEN.6.18	Kë nji nşë do bhoŋar na iwi, luŋi ineej ţi upuur iwi na aharu na babuku, na bahar baka. 
GEN.6.19	Ţi ŋko bŧi doon kaneejan ŋtëb ţi upuur ŋabuur na iwi ; ŋawoon ukaş na waaţ. 
GEN.6.20	Ŋkaŧ, ŋnŧaam ŋi katoh na ŋko ŋi uţeeh bŧi ŋaluŋ kabi du iwi kado kawoona ŋtëb ŋtëb ukaş na waaţ kabuur na iwi. 
GEN.6.21	Kë iwi, laan uko ude unwohaŋ bŧi ihank nakaana uko ude iwi na ŋko mënţ. »
GEN.6.22	Kë hënk di Nowe adoluŋ, ado uko wi Naşibaţi ajakuluŋ bŧi ado. 
GEN.7.1	Kë 
GEN.7.2	Ţi ŋko bŧi ŋanhilnuŋ pdo bţeŋan bi Naşibaţi, doon kajejna ŋtëb ŋtëb, ukaş na waaţ te ŋyaaş paaj-na-uloŋ. Kë ŋandukiiŋ, jejan ukaş na waaţ ţañ. 
GEN.7.3	Jejan kak ŋkaŧ ŋi baţi, ukaş na waaţ ŋyaaş paaj-na-uloŋ, ŋko na ŋkaŧ ŋahilna ŋaniink mboş bŧi. 
