MAT.1.1	Ибрагимнен тувган Дауттынъ улы Иса Масихтинъ асылы-тукымы сосындай эди: 
MAT.5.28	Мен ше сизге айтаман: ким хатынга сукланып караса, сол энди юрегинде ок оны ман зиналык эткен болады. 
MAT.5.29	Эгер сени коьзинъ йолдан тайдыратаган болса, оны юлкып алып тасла. Яханемге баьри кевденъ атылганнан эсе, онынъ бир кесеги йойтылганы ийги. 
MAT.5.30	Эгер сени онъ колынъ йолдан тайдыратаган болса, кес те тасла оны. Яханемге баьри кевденъ атылганнан эсе, онынъ бир кесеги йойтылганы ийги.
MAT.5.31	Сизге айтылган эди: „Ким пишесиннен айырылса, сол ога талак салув акында шаатлама бермеге тийисли“. 
MAT.5.32	Мен ше сизге айтаман: ким пишесине онынъ эр-хатынлык алаллыкты бузганыннан баска себептен талак салса, сол оны зиналык этпеге ийтейди. А ким талакланган хатынга уьйленсе, ол да зиналык этеди.
MAT.5.33	Сиз бурынгы аьдемлерге: „Антынъызды бузбанъыз эм Раббийге не затка ант эткен болсанъыз, сонынъ баьрисин толтырынъыз“, – деп айтылганды эситкенсиз. 
MAT.5.34	Мен ше сизге айтаман: коьтере ант этпенъиз. Коьк пен де ант этпенъиз: ол Алладынъ тагы. 
MAT.5.35	Ер мен де этпенъиз: ол Онынъ аяк асты; Ерусалим мен де: ол Уллы Патшадынъ шахары. 
MAT.5.36	Басынъ ман да ант этпе: сен оьзинъ бир туьгинъди де ак яде кара эталмассынъ. 
MAT.5.37	Сизинъ „аьше“ дегенинъиз, уьшини мен де „аьше“ болсын; сизинъ „йок“ дегенинъиз, уьшини мен „йок“ болсын. Ога косылганлардынъ баьриси тек шайтаннан.
MAT.5.38	Сиз „Коьзге-коьз, тиске-тис“ дегенди эситкенсиз. 
MAT.5.39	Мен ше сизге айтаман: яманга карсылык этпенъиз. Ким сенинъ онъ ягынъа шалса, ога сол ягынъды да бер. 
MAT.5.40	Эгер бирев сени оькимге берип, коьйлегинъди алаяк болса, сога абанъды да бер. 
MAT.5.41	Ким сени оьзи мен бир шакырымды бармага кыстаса, соны ман эки шакырымга да бар. 
MAT.5.42	Сеннен тилегенге бер, сеннен борышкага тилейтаганнынъ тилегин алмай калма.
MAT.5.43	Сиз, „Ювыкларынъды суьй, душпанларынъды коьрип болма“ дегенди эситкенсиз. 
MAT.5.44	Мен ше сизге айтаман: душпанларынъызды суьйинъиз, сизди кувгынга туьсиргенлер уьшин дува этинъиз. Соьйтип коьктеги Атанъыздынъ уллары боларсыз. 
MAT.5.45	Неге десе Ол, куьнге огырсызды да, огырлыды да ярыкландырмага буйырады. Туврашылларга йиберген ямгырын, солай ок туврашыл болмаганларга да йибереди. 
MAT.5.46	Эгер сиз тек оьзинъизди суьйгенлерди суьетаган болсанъыз, соны уьшин сиз кайдай савга алмага саклайсыз? Солай ок этпейдилерме ясакшылар да? 
MAT.5.47	Эгер сиз тек (иман) кардашларынъызды саламласанъыз, сонда аьлемет деп саналаяк не зат эткенсиз? Соны (иман етпейтаган) баска миллетлилер де этпейдилерме? 
MAT.5.48	Соьйтип, Коьктеги Атанъыз кенъ коьнъилли болгандай, сиз де кенъ коьнъилли болынъыз.
MAT.6.1	Садаканъызды аьдемлер алдында, олар коьрсинлер деп, этуьвден сак болынъыз. Эгер сиз солай этсенъиз, Коьктеги Атанъыздан савга алаяк тувылсыз.
MAT.6.2	Соны уьшин ярлыларга садака бергенде, экиюзлилер синагогларда эм орамларда оьзлерин мактатар уьшин оны беретаганларындай этип, баьрисине яйманъыз. Сизге дурысын айтаман: олар оьз савгаларын энди алганлар. 
MAT.6.3	Сиз болсанъыз ярлыларга садака бергенде, сол колынъыз онъ колынъыздынъ не этетаганын билместей этип, беринъиз. 
MAT.6.4	Сизинъ садаканъыз тасада болсын. Тасадагын коьруьвши Атанъыз да сизге савгады берер.
MAT.6.5	Сиз дува эткенде, экиюзлилердей, болманъыз. Олар синагогларда эм де орам муьйислеринде турагалып, аьдемлерге дува этетаганларын коьрсетпеге суьедилер. Сизге дурысын айтаман: олар оьз савгаларын энди алганлар. 
MAT.6.6	Сиз болсанъыз дува этетаганда уьйге киринъиз, эсикти ябынъыз да коьринмеген Атанъызга дува этинъиз. Тасадагын коьруьвши Атанъыз сизге савгады берер. 
MAT.6.7	Дува эткенде, баска миллетлилер этетагандай этип, артык соьзли болманъыз. Олар, коьп соьзлилигимиз уьшин эситилеекпиз деп, ойлайдылар. 
MAT.6.8	Олардай болманъыз: Коьктеги Атанъыз, не кереклинъиз бар болганын, сиз Оннан тилеектен алдын да биледи.
MAT.6.9	Тилек тилегенде булай айтынъыз: „Коьктеги Атамыз, атынъ сыйлансын. 
MAT.6.10	Патшалыгынъ курылсын. Коьктегиндей, ерде де буйырыгынъ толтырылсын. 
MAT.6.11	Куьнлик оьтпегимизди бизге буьгуьнге бер. 
MAT.6.12	Биз борышлыларымызды кеширгендей, борышларымызды кешир. 
MAT.6.13	Бизди азгырувга туьсирме, яманлыктан куткар. [Неге десе патшалык, куьдирет эм мактав оьмирге Сеники. Амин]“.
MAT.6.14	Эгер сизге карсы куьна эткенлерди кеширсенъиз, Коьктеги Атанъыз да сизди кеширер. 
MAT.6.15	Ама, эгер сиз аьдемлердинъ куьналарын кеширмейтаган болсанъыз, Коьктеги Атанъыз да сизинъ куьналарынъызды кеширмес.
MAT.6.16	Ораза тутсанъыз, экиюзлилердей, мыдах юзли болып юрменъиз: олар оьзлерининъ шырайына эс бермеви мен аьдемлерге ораза тутатаганларын коьрсетеек боладылар. Сизге дурысын айтаман: олар оьз савгаларын энди алганлар. 
MAT.6.17	Сиз болсанъыз ораза тутканда, юзинъизди ювып, шашынъызды орнына аькелинъиз. 
MAT.6.18	Ораза тутканынъыз, аьдем алдында болмай, тасадагы Атанъыздынъ алдында болсын. Тасадагын коьруьвши Атанъыз сизге савгады берер.
MAT.6.19	Ер уьстинде оьзинъизге карызналар йыйманъыз: мунда куье мен тот басув оларды бузар; урлакайлар уьйге кирселер, оларды урламага болар. 
MAT.6.20	Оьз карызналарынъызды коькке йыйынъыз: онда оларды не куье, не тот йок эталмас эм бир урлакай да киралмас. 
MAT.6.21	Карызнанъыз сакланган ерде, юрегинъиз де сонда болар.
MAT.6.22	Шаркынънынъ шырагы – коьзинъ. Сога коьре коьзинъ таза коьрсе, буьтин шаркынъ да ярык болар. 
MAT.6.23	Ама коьзинъ яман коьрсе, буьтин шаркынъ да каранъа болар. Эгер ишинъдеги ярык – каранъалык болып шыкса, кайдай яман сол каранъалык!
MAT.6.24	Эш бирев де эки иеге бирден куллык эталмайды; неге десе ол, яде олардынъ бирин коьрип болмас, а экиншисин яратар, яде биревине бек шалысар, а экиншисине эс бермес. Сиз бир ок заманда Аллага да, байлыкка да кул болалмассыз.
MAT.6.25	Сол себептен Мен сизге айтаман: не ашармыз, не ишермиз деп янынъыз уьшин, не киермиз деп шаркынъыз уьшин каьр шекпенъиз. Ян – тамактан, шарк – кийимнен артык. 
MAT.6.26	Коьктеги кусларга каранъызтага: олар не шашпайдылар, не ормайдылар, не амбарга йыймайдылар, ама Коьктеги Атанъыз оларды тамакландырады. Сиз куслардан коьп баалы тувылсызба? 
MAT.6.27	Кайсынъыз, каьрлеп, яшавына бир саьат болса да коспага болады? 
MAT.6.28	Сиз кийим уьшин неге каьр шегесиз? Данъылдагы лилия шешекейлери калай оьсетаганларына каранъызтага: олар куллык та этпейдилер, уршык та ийирмейдилер, 
MAT.6.29	ама сизге айтаман: Сулеймен, аьлемет коьркли болса да, солардынъ бириндей, ярасыклы кийиналмаган. 
MAT.6.30	Эгер буьгуьн бар болган, а эртен отка тасланаяк кыр оьленин Алла солай кийиндиретаган болса, сизди олардан да бек кийиндирмес пе экен, аз иманлылар?
MAT.6.31	Сога коьре, „Не ашармыз?“, „Не ишермиз?“, „Не киермиз?“ деп, каьрлеменъиз. 
MAT.6.32	Бу затлардынъ баьрин де бу дуныядынъ миллетлери излейдилер; а Коьктеги Атанъыз бу затлардынъ баьриси сизге керек болганын биледи. 
MAT.6.33	Бас деп, Алладынъ Патшалыгын эм тувралыгын изленъиз, сонда бу затлардынъ баьриси де сизге ога косылып берилер. 
MAT.6.34	Сонынъ уьшин эртенги куьннинъ каьрин шегип юрменъиз, аьр бир куьнге оьз каьрлери етеди.
MAT.7.1	Терислеменъиз, сиз де терисленмессиз. 
MAT.7.2	Баскаларды кайдай терислик пен терислесенъиз, сондай ман сиз де терисленерсиз. Кайдай оьлшем мен оьлшесенъиз, сондай ман сиз де оьлшенерсиз. 
MAT.7.3	Оьз коьзинъдеги баганады сезбей, иман кардашынънынъ коьзиндеги шоьпке неге карайсынъ? 
MAT.7.4	Коьзинъде багана турганлай, кардашынъа: „Бер, мен коьзинъдеги шоьпти шыгарайым“, – деп, кайтип айтарсынъ? 
MAT.7.5	Экиюзли! Бас деп, оьз коьзинънен баганады шыгар, сонъ кардашынънынъ коьзиндеги шоьпти кайтип шыгараягынъды коьрерсинъ.
MAT.7.6	Кие затларды ийтлерге берменъиз эм ынжыларынъызды донъызлардынъ алдына атпанъыз. Солай этсенъиз, олар баьрисин аяк астында таптар, сонъында кайтып келип, сизди де талар.
MAT.7.7	Тиленъиз – сизге берилер; изленъиз – табарсыз; эсикке кагынъыз – сизге ашарлар. 
MAT.7.8	Аьр бир тилеген алады, излеген табады, какканга да эсикти ашадылар. 
MAT.7.9	Кайсынъыз, оьз улы оьтпек тилегенде, ога тас берер? 
MAT.7.10	Яде балык тилегенде, ога йылан берер? 
MAT.7.11	Соны ман, сиз кайдай яман болсанъыз да, оьз балаларынъызга яхшы савгалар берип билетаган болсанъыз, аьше, Коьктеги Атанъыз кайгадер бир коьп Оннан тилегенлерге яхшы затлар берер!
MAT.7.12	Сол себепли, аьдемлер сизге калай этпеге керегин суье болсанъыз, сиз де оларга солай ок этинъиз. Таурат эм пайхамбарлардынъ уьйреткенлери сонда сыйынадылар.
MAT.7.13	Тар капыдан киринъиз. Йойылувга аькететаган йол кенъ, капысы мол эм коьплер сол йол ман барадылар. 
MAT.7.14	Яшавга аькететаган капы да, йол да кыйын, аз аьдемлер сол йолды табадылар.
MAT.7.15	Ялган пайхамбарлардан сакланынъыз. Олар сизге кой терисинде келедилер, ишиннен болсалар олар йырткыш боьрилер. 
MAT.7.16	Оларды емислериннен танырсыз. Шоькирли коьгемликтен юзим яде сары тегенектен ынжыр йыйыларма? 
MAT.7.17	Ийги терек солай этип – яхшы емис, а яман терек огырсыз емис аькеледи. 
MAT.7.18	Ийги терек – огырсыз емис, яман терек те яхшы емис бералмас. 
MAT.7.19	Яхшы емисти бералмайтаган аьр теректи кесип, отка таслайдылар. 
MAT.7.20	Соьйтип, оларды емислериннен танырсыз.
MAT.7.21	Алладынъ Патшалыгына Мага: „Раббий, Раббий!“ – деп айтувшылардынъ баьриси кирмес, тек сол Коьктеги Атамнынъ буйырыгын толтыратаганлар кирер. 
MAT.7.22	Сол куьн
MAT.7.23	Сонда Мен оларга: „Мен сизди танымайман. Яманлык этуьвшилер, касымнан тайынъыз!“ – деп ашык айтарман.
MAT.7.24	Меним соьзлеримди тынълаган эм оларды толтырган аьр аьдемди оьз уьйин таска салган акыллы киси мен тенълестирмеге болады. 
