MAT.1.1	Yesu Kristo enye Abraham kple Fia David ƒe dzidzimevi, eƒe dzidzime lae nye esi.
MAT.3.3	Nyagblɔɖila Yesaya gblɔ dɔ si ƒomevi wɔ ge Yohanes le la da ɖi ƒe alafa nanewo va yi, egblɔ be, “Mese ɣli aɖe tso gbedzi wòle ɖiɖim bena, ‘Midzra mɔ ɖo ɖi na Aƒetɔ la eye mido mɔ siwo dzi to ge wòle la woadzɔ.’ ”
MAT.3.4	Wolɔ̃ Yohanes ƒe awu si wòdo la kple kposɔfu eye wòtsɔ lãgbalẽlidziblaka tsɔ bla awua dzii, eƒe nuɖuɖue nye ʋetsuviwo kple gbemenyitsi. 
MAT.3.5	Ame geɖewo tso Yerusalem eye bubuwo hã tso Yɔdan tɔsisi la ƒe gowo dzi kple Yudea nuto me godoo va afi si Yohanes nɔ mawunya gblɔm le la be yewoaɖo toe. 
MAT.3.6	Esi ameawo ʋu woƒe nu vɔ̃wo me la, ede tsi ta na wo le Yɔdan tɔsisi la me.
MAT.3.7	Ke esi Yohanes kpɔe be Farisitɔwo kple Zadukitɔ geɖewo hã va be wòade mawutsi ta na yewo la, eka mo na wo gblɔ bena, “Mi dawo ƒe dzidzimeviwo! Ame kae gblɔ na mi be miate ŋu asi le Mawu ƒe dɔmedzoe kple tohehe si gbɔna la nu? 
MAT.3.8	Miɖee fia to miaƒe agbe nyui nɔnɔ me be mietrɔ dzime vavã 
MAT.3.9	Migabui eye mianɔ gbɔgblɔm ɖokuiwo be ‘mía fofoe nye Abraham’ o. Mele egblɔn na mi be Mawu ate ŋu ana kpe siawo natrɔ zu viwo na Abraham. 
MAT.3.10	Le gaƒoƒo sia me ŋutɔ gɔ̃ hã la, Mawu le klalo bena yeahe to na ame siwo katã tsi tre ɖe eƒe ɖoɖowo kple sewo ŋu. Mawu alã ame siawo akɔ ɖi abe ati siwo metse ku o ene eye woafli wo ade dzo me. 
MAT.3.11	Nye la metsɔ tsi le mawutsi dem ta na mi ame siwo dzudzɔ nu vɔ̃ wɔwɔ la, gake ame aɖe gbɔna, esi de ŋgɔ wum sãa ame sia de ŋgɔ ale gbegbe be nyemedze bena manye eƒe subɔvi gɔ̃ hã o. Eya atsɔ Gbɔgbɔ Kɔkɔe la kple dzo ade tsi ta na mi. 
MAT.3.12	Ama ame dzɔdzɔewo ɖa tso ame vɔ̃ɖiwo gbɔ, ke ame vɔ̃ɖiwo la, atsrɔ̃ wo kple dzo mavɔ eye wòadzra ame dzɔdzɔewo ɖo ɖi na agbe mavɔ la.”
MAT.3.13	Le ɣemaɣi me la, Yesu hã tso le Galilea va yɔdan tɔsisi la to be Yohanes nade mawutsi ta na ye. 
MAT.3.14	Gake Yohanes medi be yeade tsi la ta nɛ o ke boŋ egblɔ nɛ bena, “Medze be nye made tsi ta na wò o. Nye boŋ wòle be nàde tsi ta na.”
MAT.3.15	Yesu gblɔ nɛ bena, “Meɖe kuku de tsia ta nam ko, elabena ele nam be mawɔ nu siwo katã woɖo da ɖi.” Ale Yohanes lɔ̃ de tsia ta nɛ.
MAT.3.16	Esi wòde mawutsi ta nɛ vɔ eye wònɔ go dom le tsia me la, dziƒo nu ʋu eye Yesu kpɔ Mawu ƒe Gbɔgbɔ, le akpakpa ƒe nɔnɔme me, wònɔ ɖiɖim ɖe edzi. 
MAT.3.17	Le ɣeyiɣi sia me tututu la, gbe aɖe ɖi tso dziƒo bena, “Ame siae nye Vinye, si gbɔ nyemelɔ̃a nu le o, ame si ƒe nu dzea ŋunye.”
MAT.4.1	Le esia megbe la, Gbɔgbɔ Kɔkɔe la kplɔ Yesu yi gbedzii bena Abosam natee akpɔ. 
MAT.4.2	Yesu tsi nu dɔ le afi sia ŋkeke blaene kple zã blaene, eye emegbe dɔ wui vevie ŋutɔ.
MAT.4.3	Esi Abosam kpɔ esia la, eva tee kpɔ gblɔ nɛ be, “Nenye wòe nye Mawu Vi la vavã la, ɖe gbe na kpe siawo be woatrɔ zu abolo na wò nàɖu.”
MAT.4.4	Yesu ɖo eŋu nɛ be, “Woŋlɔe ɖi be, ‘Menye abolo ɖeɖe ko ŋu ame nanɔ agbe ɖo o, ke boŋ nya sia nya si Mawu gblɔ la ŋutie.’ ”
MAT.4.5	Azɔ Abosam kplɔe yi Yerusalem du kɔkɔe la me eye wòtsɔe ɖo gbedoxɔ ƒe tame ke, 
MAT.4.6	hegblɔ nɛ bena, “Be nàfia be Mawu Vi nènye la, ti kpo tso afi sia ne nàdze anyigba elabena, mawunya gblɔ bena, ‘Mawu adɔ eƒe dɔlawo ɖa bena woaxe wò le yame be màtsɔ wò afɔ axlã ɖe kpe aɖeke o.’ ”
MAT.4.7	Yesu gagblɔ nɛ bena, “Woŋlɔ da ɖi hã be mègate Aƒetɔ wò Mawu kpɔ o.”
MAT.4.8	Le esia megbe la, Abosam kplɔ Yesu yi to kɔkɔ aɖe ƒe tsɔ̃eƒe ke eye wòɖe xexe sia me ƒe dukɔwo katã kple woƒe atsyɔ̃nuwo katã fiae. 
MAT.4.9	Egblɔ nɛ be, “Matsɔ nu siawo katã na wò nenye be nèdze klo de ta agu nam pɛ ko.”
MAT.4.10	Yesu blu ɖe Abosam ta bena, “Satana, te ɖa le gbɔnye, mèse mawunya gblɔ bena, ‘Aƒetɔ wò Mawu la ko nàsubɔ, eya ko wòle be nàɖo toe oa?’ ” 
MAT.4.11	Ale Abosam gblẽe ɖi hedzo, eye mawudɔlawo va egbɔ va subɔe.
MAT.4.12	Esi Yesu se be wolé Yohanes de gaxɔ me la, edzo le Yudea yi wo de le Nazaret si le Galilea, 
MAT.4.13	ke egadzo le afi sia hã va Kapernaum si te ɖe Galilea ƒua ŋu le Zebulon kple Naftali nutowo me. 
MAT.4.14	Yesu ƒe afi sia vava wu nya si Yesaya gblɔ da ɖi nu bena, 
MAT.4.15	“Mi Zebulon kple Naftali, mi anyigba siwo le ƒuta, kpakple anyigba siwo le Yɔdan tɔsisi la godo va se ɖe Trɔ̃subɔlawo ƒe Galilea 
MAT.4.16	miawoe nye ame siwo nɔ viviti me tsã gake fifia la, Kekeli gã aɖe klẽ na mi. Mi ame siwo nɔ ku ƒe anyigba dzi, Kekeli klẽ na mi.” 
MAT.4.17	Tso esia dzi la, Yesu de asi gbeƒãɖeɖe me be, “Midzudzɔ nu vɔ̃ wɔwɔ ne miatrɔ ɖe Mawu ŋu, elabena dziƒofiaɖuƒe la te tu aƒe vɔ!”
MAT.4.18	Gbe ɖeka esi Yesu nɔ tsa ɖim le Galilea ƒua nu la, ekpɔ nɔvi eve aɖewo. Woawoe nye Simɔn, si wogayɔna hã be Petro kple nɔvia Andrea. Wonɔ asabu dam elabena ɖɔkplɔlawoe wonye.
MAT.4.19	Yesu yɔ wo gblɔ na wo be, “Miva dze yonyeme ne mawɔ mi amewo ɖelawo.” 
MAT.4.20	Petro kple nɔvia Andrea ɖe asi le asabu la ŋu enumake hekplɔ Yesu ɖo. 
MAT.4.21	Esi wogazɔ yi ŋgɔ vie ko la, Yesu kpɔ nɔviŋutsu eve siwo ŋkɔwoe nye Yakobo kple Yohanes kpakple wo fofo Zebedeo le ʋu me nɔ woƒe ɖɔ vuvuwo sam. Yesu yɔ nɔviŋutsu eveawo hã be woava dze ye yome.
MAT.4.22	Yakobo kple Yohanes gblẽ ʋu la kple wo fofo ɖi hedze Yesu yome enumake.
MAT.4.23	Yesu tsa le Galilea nutoa katã me nɔ nu fiam le Yudatɔwo ƒe ƒuƒoƒewo eye afi sia afi si wòyi ko la eɖea gbeƒã dziƒofiaɖuƒe ƒe nyanyui la. Hekpe ɖe esia ŋu la, eyɔ dɔ, dɔ ƒomevi vovovo lélawo. 
MAT.4.24	Nukunu gã geɖe siwo wɔm wònɔ la kaka ɖe teƒewo katã va se ɖe keke Galilea ƒe mlɔe nu ke. Ale dɔnɔwo tso kekeke Siria ke hã tɔ ɖɔɖɔɖɔ va egbɔ be wòada gbe le yewo ŋu. Eyɔ dɔ dɔ ɖe sia ɖe lélawo, eɖa nye lãmevee, tsukuku, lãmetutu kpeŋui, gbɔgbɔ vɔ̃ nɔ ame me o, eda dɔ siawo katã. 
MAT.4.25	Ameha gã aɖe ŋutɔ dze eyome, eye afi sia afi si wòto ko la wonɔ eyome kplikplikpli. Ame siawo tso Galilea nutoa me, Yerusalem, Dekapoli kple Yudea godoo, ɖewo gɔ̃ hã tso keke Yɔdan tɔsisia ƒe go evelia dzi ke.
MAT.5.1	Gbe ɖeka esi amehawo ganɔ ƒu ƒom ɖe Yesu ŋu la, elia togbɛ aɖe eye wònɔ anyi ɖe edzi. 
MAT.5.2	Eƒe nusrɔ̃lawo hã va nɔ egbɔ. Azɔ efia nu wo le afi ma hegblɔ na wo bena, 
MAT.5.3	Dzi nedzɔ mi, mi ame siwo da ahe le gbɔgbɔ me la, elabena wotsɔ dziƒofiaɖuƒe la na mi. 
MAT.5.4	Dzi nedzɔ mi, ame siwo hã le konyi fam la, elabena woafa akɔ na mi! 
MAT.5.5	Dzi nedzɔ mi, ame siwo faa tu, miawoe anyi anyigba la ƒe dome.
MAT.5.6	Dzi nedzɔ mi, ame siwo wum dzɔdzɔenyenye ƒe dɔ kple tsikɔ le la, elabena miawoe aɖi ƒo. 
MAT.5.7	Dzi nedzɔ mi, ame siwo le nublanui kpɔm na amewo la, elabena miawo woakpɔ nublanui na. 
MAT.5.8	Dzi nedzɔ mi, ame siwo dza le miaƒe dzi me, elabena miawoe akpɔ Mawu. 
MAT.5.9	Dzi nedzɔ mi, ame siwo léa avu la elabena miawoe woayɔ be Mawu viwo. 
MAT.5.10	Dzi nedzɔ ame siwo yome woti le dzɔdzɔenyenye ta, elabena woawo tɔe nye dziƒofiaɖuƒe la.
MAT.5.11	“Dzi nedzɔ mi nenye be amewo dzu mi, ti mia yome, da alakpa ɖe mia si hegblɔ nya vɔ̃ bubuwo ɖe mia ŋuti le tanye. 
MAT.5.12	Mikpɔ dzidzɔ eye miatso aseye! Elabena fetu gã aɖe le mia lalam le dziƒo. Miɖo ŋku edzi be, nenema ke woti nyagblɔɖila siwo nɔ anyi le blema la yomee.
MAT.5.13	“Miawoe nye anyigba ƒe dze Ke ne miebu miaƒe dzenyenye la nu ka woagate ŋu awɔ kpli mi? Ŋudɔwɔnu aɖeke maganɔ mia ŋu o, ɖe ko watsɔ mi aƒu gbe, aɖo afɔ mia dzi.
MAT.5.14	“Miawoe nye xexeame ƒe kekeli. Womate ŋu aɣla du si le todzi la o. 
MAT.5.15	Ame aɖeke medraa akaɖi tsɔ dea afianu te o, ke boŋ ɖe akaɖiti dzi be wòaklẽ na aƒea me nɔla ɖe sia ɖe. 
MAT.5.16	Nenema ke mina mia ƒe akaɖiwo naklẽ le amewo gbɔ, be woakpɔ miaƒe dɔ nyui wɔwɔ eye woakafu mia Fofo si le dzifo.
MAT.5.17	“Mise eme nyuie be, menye ɖe meva bena mate fli ɖe Mose ƒe seawo kple nyagblɔɖilawo ƒe nuxlɔ̃amenyawo me o. Gbeɖe, menye nu siawo wɔ gee meva o, ke boŋ ɖe meva be mawu seawo nu eye mafia woƒe nyateƒenyenye. 
MAT.5.18	Mele nyateƒea gblɔm na mi bena, zi ale si dziƒo kple anyigba li la, ŋɔŋlɔ suetɔ kekeake alo nu suetɔ si wotsɔ nuŋlɔti ŋlɔe la, mabu le sea me o va se ɖe esime woawu nu sia nu nu. 
MAT.5.19	Eya ta ne ame aɖe da se siawo ƒe suetɔ kekeake dzi, eye wòfia amewo hã be woada edzi la, eyae anye suetɔ kekeake le dziƒofiaɖuƒe la me. Ke ame siwo fia Mawu ƒe seawo eye wowɔna ɖe wo dzi la, woayɔ wo be gã le dziƒofiaɖuƒe la me. 
MAT.5.20	Mele nu xlɔ̃m mi be ne miaƒe dzɔdzɔnyenye meƒo Farisitɔwo kple Yudatɔwo ƒe sefialawo tɔ ta sãa o la, miawo hã miate ŋu age ɖe dziƒofiaɖuƒe la me gbeɖe o!
MAT.5.21	“Miese be wogblɔ na blematɔwo be, ‘mègawu ame o eye ame si awu ame la adze na ʋɔnudɔdrɔ̃.’ 
MAT.5.22	Ke nye la mele egblɔm na mi be, ame si ado dɔmedzoe ɖe nɔvia ŋu la woakplɔe ayi ʋɔnui. Nenema ke ame si agblɔ na nɔvia be, ‘Mènyo na naneke o’ la, woahee va Sanhedrin la ƒe ŋkume. Ke ne ame aɖe agblɔ be, ‘Èdzɔ lã!’ la ayi dzo mavɔ ʋeme.
MAT.5.23	“Ne èle gbedoxɔ me le vɔsamlekpui ŋgɔ le vɔ sam na Mawu eye nèɖo ŋku edzi be dzre aɖe le mi kple nɔviwo aɖe dome la, 
MAT.5.24	gblẽ wò vɔsanu la ɖe vɔsamlekpui la ŋgɔ ne nàyi àɖe kuku na nɔviwò sia, eye nàdzra mi kplii dome ɖo hafi nàva sa vɔ na Mawu. 
MAT.5.25	Wɔ ɖeka kple wò futɔ si kplɔ wò yina ʋɔnui kaba esi miegale mɔa dzi ko. Ne menye nenema o la, atsɔ wò ade asi na ʋɔnudrɔ̃la, ʋɔnudrɔ̃la hã atsɔ wò ade asi na asrafomegã eye woade wò gaxɔ me. 
MAT.5.26	Le nyateƒe me la, womaɖe asi le ŋuwò o, va se ɖe esime nàxe fe ɖe sia ɖe si nènyi eye pesewa afã hã masusɔ o.
MAT.5.27	“Miese wogblɔ be, ‘megawɔ ahasi o.’ 
MAT.5.28	Gake nye ya mele egblɔm na mi bena, ne ŋutsu aɖe kpɔ nyɔnu aɖe eye wòdzroe la, ewɔ ahasi kplii xoxo le eƒe dzime. 
MAT.5.29	Nenye wò ŋku ɖusimetɔe nana be nèwɔa nu vɔ̃ la, hoe ne nàtsɔe aƒu gbe. Elabena enyo na wò be nàbu wò ŋutinuwo dometɔ ɖeka wu be woatsɔ wò ame bliboa aƒu gbe ɖe dzo mavɔ me. 
MAT.5.30	Nenema ke ne wò nuɖusie nana be nèwɔa nu vɔ̃ la, lãe ne nàtsɔ aƒu gbe. Elabena enyo be nàbu wò ŋutinuwo dometɔ ɖeka wu be woatsɔ wò ame bliboa aƒu gbe ɖe dzo mavɔ me.
MAT.5.31	“Wogblɔ hã be, ‘Ne ŋutsu aɖe di be yeagbe ye srɔ̃a la, nena srɔ̃gbegbalẽe.’ 
MAT.5.32	Ke nye la mele egblɔm na mi bena, nenye be nyɔnu aɖe mewɔ ahasi o, gake srɔ̃a gbee wòyi ɖaɖe ŋutsu bubu la ekema ŋutsu lae na wòwɔ ahasi. Eye ŋutsu si agaɖe nenem nyɔnu sia hã wɔ ahasi.
MAT.5.33	“Miese wogagblɔ na blematɔwo be, ‘mègada le atam si nèka la dzi o, ke boŋ, wɔ ɖe wò atam siwo nèka na Aƒetɔ la dzi.’ 
MAT.5.34	Gake nye ya, mele egblɔm na mi be: migata nu kura o! elabena ne ègblɔ be meta ‘Dziƒo’ la, èdze agɔ, elabena dziƒoe nye Mawu ƒe nɔƒe.
MAT.5.35	“Eye ne, èta ‘Anyigba’ la, edze agɔ ake elabena anyigbae nye eƒe afɔɖodzinu. Nenema ke migagblɔ be meta ‘Yerusalem’ hã o! Elabena Yerusalem enye Fia gã la ƒe du. 
MAT.5.36	Mègagblɔ be meta ‘Nye ta’ gɔ̃ hã o, elabena màte ŋu atrɔ wò ɖakui ɖeka pɛ hã wòafu alo anyɔ o. 
MAT.5.37	Kpuie ko la mina miaƒe ‘Ẽ’ nanye ‘Ẽ’, ‘O’ nanye ‘O’ nu sia nu si miagblɔ wu esia la tso vɔ̃ɖitɔ la gbɔ.
MAT.5.38	“Miese wogblɔ be, ‘Ŋku ɖe ŋku teƒe eye aɖu ɖe aɖu teƒe.’ 
MAT.5.39	Ke nye ya mele egblɔ na mi be: Migaɖo vɔ̃, vɔ̃ teƒe o! Nenye be ame aɖe ƒo tome na wò la trɔ tome evelia hã nɛ be wòaƒo. 
MAT.5.40	Ne ame aɖe akplɔ wò ayi ʋɔnui be yeaxɔ wò awutewui la, na woaxɔ wò dziwui hã kpe ɖe eŋu. 
MAT.5.41	Ne ame aɖe azi dziwò be nàzɔ mɔ kple ye kilomita ɖeka la, zi kplii kilomita eve. 
MAT.5.42	Na nu ame si le nu biam wò eye mègatrɔ megbe de ame si le didim be yeado nu le asiwò la gbɔ o.
MAT.5.43	“Miese wogblɔ bena, ‘Lɔ̃ hawòvi eye nàle fu wò ketɔ.’ 
MAT.5.44	Ke nye la mele egblɔm na mi bena, milɔ̃ miaƒe futɔwo eye mido gbe ɖa ɖe ame siwo tia mia yome la ta! 
MAT.5.45	Be mianye mia Fofo si le dziƒo la ƒe viwo, ame si naa eƒe ɣe dzena na ame vɔ̃ɖiwo kple ame nyuiwo eye wòdɔa tsi be wòadza ɖe ame dzɔdzɔewo kple ame madzɔmadzɔwo siaa dzi. 
MAT.5.46	Ne mielɔ̃a ame siwo lɔ̃a mi ɖeɖe ko la, wɔwui kae miewɔ? Ɖe nudzɔlawo gɔ̃ hã mewɔna nenema oa:? 
MAT.5.47	Ne miedoa gbe na mia nɔviwo ɖeɖe ko la, wɔwui ka wɔm miele wu ame bubuwo? Ɖe Trɔ̃subɔlawo gɔ̃ hã mewɔna nenema oa? 
MAT.5.48	Eya ta mizu blibo abe ale si mia Fofo si le dziƒo la le bliboe ene.
MAT.6.1	“Mikpɔ nyuie be miagawɔ miaƒe ‘dzɔdzɔenyenyedɔwo’ le amewo ŋkume be woakpɔ o. Ne miewɔe nenema la, miaxɔ fetu aɖeke tso mia Fofo si le dziƒo la gbɔ o.
MAT.6.2	“Eya ta ne miena nu ame dahe aɖe la, migaɖe gbeƒãe kple kpẽ abe ale si alakpatɔwo wɔnae le woƒe ƒuƒoƒewo kple mɔtatawo dzi be amewo nakafu yewo ene o. Mele egblɔm na mi le nyateƒe me be, woxɔ woƒe fetu la, katã xoxo. 
MAT.6.3	Ke ne miena nu ame dahe aɖe la, migana miaƒe miabɔ nanya nu si wɔm miaƒe ɖusibɔ le la o, 
MAT.6.4	ale be miaƒe nunana nanye bebemenu. Ekema mia Fofo si kpɔa nu si wowɔna le bebeme la natu fe na mi.
MAT.6.5	“Ne miele gbe dom ɖa la, migawɔ abe alakpatɔwo ene o, elabena wolɔ̃a gbedodoɖa le tsitrenu le ƒuƒoƒewo kple mɔtatawo ƒe dzogoewo dzi be amewo nakpɔ yewo. Mele egblɔm na mi le nyateƒe me be woxɔ woƒe fetu la katã xoxo. 
MAT.6.6	Ne ebe yeado gbe ɖa la, yi ɖe wò xɔme nàtu ʋɔa eye nàdo gbe ɖa na Fofowò, ame si womekpɔna o ekema Fofowò, ame si kpɔa nu si wowɔna le bebeme la, atu fe na wò.
MAT.6.7	“Ne miele gbe dom ɖa la migagblɔ nyawo taŋtaŋ abe Trɔ̃subɔlawo ene o; elabena wobuna be yewoaxɔ yewo ƒe ŋuɖoɖo le nya geɖewo gbɔgblɔ ta. 
MAT.6.8	Miganɔ abe woawo ene o, elabena mia Fofo nya nu siwo hiãa mi gɔ̃ hafi miebianɛ.
