GEN.1.1	Le gɔmedzedzea me Mawu wɔ dziƒo kple anyigba. 
GEN.4.1	Eye Adam ɖo kple srɔ̃a Xawa, eye wòfɔ fu dzi Kain, eye wògblɔ bena: Yehowa ɖi nam be, medzi ŋutsu. 
GEN.4.2	Emegbe la edzi enɔvia Habel, eye Habel va zu lãnyila, ke Kain ya zu agbledela. 
GEN.4.3	Esia megbe la eteƒe medidi o, Kain tsɔ agblemenua ɖewo wɔ vɔsae na Yehowa. 
GEN.4.4	Habel hã tsɔ eƒe lãwo ƒe ŋgɔgbevi, siwo dami la ƒe ɖewo vɛ. Eye Habel kple eƒe nunana dze Yehowa ŋu; 
GEN.4.5	ke Kain kple eƒe nunana ya medze eŋu o. Eye Kain bi dzi ŋutɔ, eye wòɖo adã. 
GEN.4.6	Tete Yehowa gblɔ na Kain bena: Nukaŋuti nèle dzi bim, eye nukaŋuti nèle adã ɖom? 
GEN.4.7	Alo menye ale wòle oa? Ne èwɔ nyui la, wò ŋku me akɔ, ke ne mèwɔ nyui o la, ekema nuvɔ̃ de xa ɖe ʋɔtru nu, eye wòɖo tamea ɖe ɖe ŋuwò; ke wò la ɖu edzi!
GEN.4.8	Esia megbe la Kain gadɔ nu kple nɔvia Habel. Ke eva ve me bena, esime wole gbe me la, Kain tso ɖe nɔvia Habel ŋuti, eye wòwui. 
GEN.4.9	Tete Yehowa gblɔ na Kain bena: Afika noviwò Habel le? Eye wòɖo ŋu nɛ be: Nyemenyae o! Alo nɔvinye dzikpɔla menyea? 
GEN.4.10	Eye wògblɔ nɛ bena: Nuka enye esi nèwɔ? Kpɔ ɖa, nɔviwò ƒe ʋu, si nèkɔ ɖe anyi la ƒe gbe le ɖiɖim tso anyigba dzi mese! 
GEN.4.11	Azã la woaƒo fi ade wò, adzo le anyigba, si ke eƒe nu xɔ nɔviwò ƒe ʋu le asiwò no la dzi. 
GEN.4.12	Ne eŋlɔ anyigba la, megale nu ʋẽ ge na wò o; tsatsala kple godzela nanye le anyigba dzi! 
GEN.4.13	Eye Kain gblɔ na Yehowa bena: Nye vodada la kpe wu nye tsɔtsɔ. 
GEN.4.14	Wòe nyãm egbe tso agbledenyigba la dzi; madzo le wò ŋkuta anye tsatsala kple godzela le anyigba dzi, eye ava me bena, amesiame, si akpɔm la, awum. 
GEN.4.15	Eye Yehowa gblɔ nɛ bena: Eyata amesiame, si awu Kain la, woabia hlɔ̃e zi gbɔ zi adre. Eye Yehowa de dzesi Kain, bena amesiame, si ado goe la, nagawui o. 
GEN.4.16	Eye Kain dzo le Yehowa ƒe ŋku me, eye wòva nɔ Nod-nyigba dzi le Eden ƒe ɣedzeƒe gome.
GEN.4.17	Eye Kain da kple srɔ̃a, eye wòfɔ fu dzi Henox. Eye wòtso du, tso via ƒe ŋkɔ na du la bena Henox. 
GEN.4.18	Eye wodzi Irad na Henox, eye Irad dzi Mehuyael, eye Mehuyael dzi Metusael, eye Metusael dzi Lamex. 
GEN.4.19	Ke Lamex ɖe srɔ̃ eve; ɖeka ŋkɔ enye Ada, eye evelia ŋkɔ enye Zila. 
GEN.4.20	Eye Ada dzi Yabal, amesi nye agbadɔ me nɔlawo kple lãnyilawo fofo. 
GEN.4.21	Enɔvia ŋkɔ nye Yubal, amesi nye saŋkuƒolawo kple dzekulawo fofo. 
GEN.4.22	Eye Zila hã dzi Tubalkain, amesi nye akɔbli- kple gaŋudowolawo fofo; eye Tubalkain nɔvinyɔnu ŋkɔ nye Naama. 
GEN.4.23	Eye Lamex gblɔ na srɔ̃wo bena: Ada kple Zila, miɖo to nye gbe; mi Lamex srɔ̃wo, mise ye nyawo! Vavã, mewu ŋutsu ɖe nye abi teƒe kple ɖekakpui ɖe nye dodro teƒe. 
GEN.4.24	Elabena wòbia hlɔ̃ Kain zi adre, ke Lamex la zi blaadre vɔ adre.
GEN.4.25	Eye Adam gadɔ kple srɔ̃a, eye wòdzi ŋutsuvi, eye wòna ŋkɔe bena Set; elabena egblɔ be: Mawu ɖo dzidzime bubu Habel, amesi Kain wu la teƒe nam. 
GEN.4.26	Eye wodzi ŋutsuvi na Set hã, eye wòna ŋkɔe bena Enos. Le ɣemaɣi me la wode asi Yehowa ŋkɔ yɔyɔ me.
GEN.5.1	Esia nye Adam ƒe dzidzimeviwo ŋutinyagbalẽ. Esi Mawu wɔ Adam la, ewɔe ɖe eya ŋutɔ ƒe nɔnɔme. 
GEN.5.2	Ewɔ wo wonye ŋutsu kple nyɔnu, eye wòyra wo: eye wòna ŋkɔ wo bena „ame“ le gbesigbe wòwɔ wo. 
GEN.5.3	Eye esi Adam xɔ ƒe alafa ɖeka kple blaetɔ̃ la, edzi ŋutsuvia ɖe, si ɖii, eye wòyɔe bena Set. 
GEN.5.4	Esi Adam dzi Set megbe la, eganɔ agbe ƒe alafa enyi, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.5	Eye Adam ƒe agbe me ŋkekewo katã nye ƒe alafa asieke kple blaetɔ̃, eye woku. 
GEN.5.6	Eye esi Set xɔ ƒe alafa ɖeka kple atɔ̃ la, edzi Enos. 
GEN.5.7	Esi Set dzi Enos megbe la, eganɔ agbe ƒe alafa enyi kple adre, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.8	Eye Set ƒe agbe me ŋkekewo katã nye ƒe alafa asieke kple wuieve, eye wòku. 
GEN.5.9	Eye esi Enos xɔ ƒe blaasieke la, edzi Kenan. 
GEN.5.10	Esi Enos dzi Kenan megbe la, eganɔ agbe ƒe alafa enyi kple wuiatɔ̃, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.11	Eye Enos ƒe agbe me ŋkekewo katã nye ƒe alafa asieke kple atɔ̃, eye woku. 
GEN.5.12	Eye esi Kenan xɔ ƒe blaadre la, edzi Mahalalel. 
GEN.5.13	Esi Kenan dzi Mahalalel megbe la, eganɔ agbe ƒe alafa enyi kple blane, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.14	Eye Kenan ƒe agbe me ŋkekewo katã nye ƒe alafa asieke kple ewo, eye woku. 
GEN.5.15	Eye esi Mahalalel xɔ ƒe blaade vɔ atɔ̃ la, edzi Yered. 
GEN.5.16	Esi Mahalalel dzi Yered megbe la, eganɔ agbe ƒe alafa enyi kple blaetɔ̃, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.17	Eye Mahalalel ƒe agbe me ŋkekewo katã nye ƒe alafa enyi kple blaasieke vɔ atɔ̃, eye woku. 
GEN.5.18	Eye esi Yered xɔ ƒe alafa ɖeka kple blaade vɔ eve la, edzi Henox. 
GEN.5.19	Esi Yered dzi Henox megbe la, eganɔ agbe ƒe alafa enyi, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.20	Eye Yered ƒe agbe me ŋkekewo katã nye ƒe alafa asieke kple blaade vɔ eve, eye woku. 
GEN.5.21	Eye esi Henox xa ƒe blaade vo atɔ̃ la, edzi Metusala. 
GEN.5.22	Esi wòdzi Metusala megbe la, Henox zɔ kple Mawu ƒe alafa etɔ̃, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.23	Eye Henox ƒe agbe me ŋkekewo katã nye ƒe alafa etɔ̃ kple blaade vɔ atɔ̃. 
GEN.5.24	Esi Henox zɔ kple Mawu ta la, ebu vĩ, elabena Mawu kplɔe dzoe. 
GEN.5.25	Eye esi Metusala xɔ ƒe alafa ɖeka kple blanyi vɔ adre la, edzi Lamex. 
GEN.5.26	Esi Metusala dzi Lamex megbe la, eganɔ agbe ƒe alafa adre kple blanyi vɔ eve, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.27	Eye Metusala ƒe agbe me ŋkekewo katã nye ƒe alafa asieke kple blaade vɔ asieke, eye wòku. 
GEN.5.28	Eye esi Lamex xɔ ƒe alafa ɖeka kple blanyi vɔ eve la, edzi ŋutsuvia ɖe. 
GEN.5.29	Eye wòna ŋkɔe bena Noa, elabena egblɔ be: Ame sia ana gbɔdzɔe mí tso míaƒe dɔwɔwɔ kple fuɖeɖewo me le anyigba, si Yehowa ƒo fi de la dzi. 
GEN.5.30	Esi Lamex dzi Noa megbe la, eganɔ agbe ƒe alafa atɔ̃ kple blaasieke vɔ atɔ̃, eye wòdzi ŋutsuwo kple nyɔnuwo. 
GEN.5.31	Eye Lamex ƒe agbe me ŋkekewo katã nye ƒe alafa adre kple blaadre vɔ adre, eye wòku. 
GEN.5.32	Esi Noa xɔ ƒe alafa atɔ̃ la, edzi Sem, Xam kple Yafet.
GEN.6.1	Ke esi amewo de asi agbɔsɔsɔ me le anyigba dzi, eye wodzi nyɔnuwo la, 
GEN.6.2	mawuviwo kpɔ bena, amegbetɔviwo ƒe nyɔnuwo dze tugbe ŋutɔ, eye woɖe wo dometɔ, siwo katã dze wo ŋu. 
GEN.6.3	Eye Yehowa gblɔ bena: Nye gbɔgbɔ maganɔ amewo me boo o, elabena ŋutilã wonye le woƒe vodada me, eye woƒe agbe me ŋkekewo nanye ƒe alafa ɖeka kple blave! 
GEN.6.4	Le ŋkeke mawo me la ame dzɔtsuwo le anyigba dzi; eye esi Mawu viŋutsuwo ɖe amegbetɔwo ƒe vinyɔnuwo, eye wodzi vi na wo megbe la hã wogale; woawo nye ame kako ŋkɔxɔla, siwo nɔ agbe le blema. 
GEN.6.5	Eye esi Yehowa kpɔ bena, amegbetɔwo ƒe vɔɖivɔ̃ɖi va sɔ gbɔ le anyigba dzi, eye woƒe tamesusuwo kple dzimedidiwo nye vɔ̃ ko ɖaa la, 
GEN.6.6	eve Yehowa bena, wòwɔ ame ɖe anyigba dzi, eye woɖu dzi nɛ. 
GEN.6.7	Eye Yehowa gblɔ bena: Matsrɔ̃ ame, siwo mewɔ la ɖa le anyigba blibo la katã dzi, tso amewo kple lãwo dzi vaseɖe nu tatawo kple dziƒoxe dzodzoewo dzi, elabena evem bena, mewɔ wo. 
GEN.6.8	Ke Yehowa ve Noa nu.
GEN.6.9	Esia enye Noa ƒe dzidzimeviwo ŋutinya Noa enye ame dzɔdzɔe kple ame maɖifɔ le eŋɔlimetɔwo dome, eye Noa zɔ kple Mawu. 
GEN.6.10	Eye Noa dzi ŋutsuvi etɔ̃: Sem, Xam kple Yafet. 
GEN.6.11	Eye xexeame gblẽ le Mawu ƒe ŋku me, eye nu vlo wɔwɔ xɔ anyigba la dzi. 
GEN.6.12	Eye Mawu kpɔ bena, xexeame gblẽ keŋ; elabena amegbetɔwo katã ƒe zɔzɔme gblẽ le anyigba dzi.
GEN.6.13	Tete Mawu gblɔ na Noa bena: Ŋutilãwo katã ƒe nuwuwu ɖo azɔ, elabena woƒe nu vlo wɔwɔ xɔ anyigba la dzi; kpɔ ɖa, matsrɔ̃ wo kple anyigba siaa. 
GEN.6.14	Tsɔ dzatiwo kpa aɖakaʋu na ɖokuiwò, eye natso eme keŋ, atsɔ aŋɔ atre eme kple ekɔgo. 
GEN.6.15	Eye ale nawɔe enye si; Aɖakaʋu la ƒe didime nanye abɔklugui alafa etɔ̃, eƒe kekeme nanye abɔklugui blaatɔ̃, eye eƒe kɔkɔme nanye abɔklugui blaetɔ̃. 
GEN.6.16	Eye naɖe fesre, siwo akɔ abɔklugui ɖeka la, ɖe aɖakaʋu la ƒe gliwo dzi aƒo xlãe godoo va kpe; eye naɖe ʋɔtru aɖakaʋu la ƒe axa dzi, eye nawɔ dzisasrã etɔ̃, etetɔ, titinatɔ kple elametɔ. 
GEN.6.17	Elabena nye la mana tsi naɖe anyigba la, bena ŋutilã, siwo katã le dziƒoa te, esiwo me agbegbɔgbɔ le la, natsrɔ̃, eye anyigba dzi nuwo katã naku. 
GEN.6.18	Ke mabia nu kpli wò bena, nayi ɖe aɖakaʋu la me, wò ŋutɔ, viwòŋutsuwo kple srɔ̃wò hekpe ɖe viwòŋutsuawo srɔ̃wo ŋu. 
GEN.6.19	Ɖe nu gbagbewo katã kple ŋutilãwo katã eveveve yi ɖe aɖakaʋu la me, ne woanɔ agbe kpli wò; woanye atsu kple asi 
GEN.6.20	Dziƒoxe dzodzoewo le woƒe ƒomeviwo nu, aƒemelãwo le woƒe ƒomeviwo nu kple nu, siwo katã tana le anyigba la dzi, le woƒe ƒomeviwo nu, wo dome eveveve woava gbɔwò, bena woanɔ agbe. 
GEN.6.21	Ke wò la tsɔ nuɖuɖu ƒomevi vovovo, siwo katã woɖuna la, dzra ɖo ɖe gbɔwò, bena woanye nuɖuɖu na mia kpli wo siaa. 
GEN.6.22	Eye Noa wɔe; alesi Mawu de se nɛ la, nenema pɛ wòwɔ.
GEN.7.1	Tete Yehowa gblɔ na Noa be na: Yi ɖe aɖakaʋu la me, wò ŋutɔ kple aƒewò me katã, elabena mekpɔ bena, ame dzɔdzɔe nènye le dzidzime sia dome. 
GEN.7.2	Ɖe lã matsrimatsriwo katã atsu kple asi adreadre, kple lã tsitsriwo atsu kple asi eveveve. 
GEN.7.3	Nenema ke naɖe dziƒoxe dzodzoewo hã atsu kple asi adreadre, bena woƒe ƒome natsi agbe le anyigba dzi. 
GEN.7.4	Elabena esusɔ ŋkeke adre mana tsi nadza ɖe anyigba dzi ŋkeke blane kple zã hã blane, eye matsrɔ̃ nusianu, si mewɔ ɖe anyigba dzi. 
GEN.7.5	Eye Noa wɔe, abe alesi Mawu de se nɛ ene. 
GEN.7.6	Noa xɔ ƒe alafa ade, esime tsiɖɔɖɔ ɖe anyigba. 
GEN.7.7	Eye Noa kple viaŋutsuwo kple srɔ̃a hekpe ɖe viaŋutsuawo srɔ̃wo ŋuti, woyi ɖe aɖakaʋu la me, hafi tsi va ɖe anyigba. 
GEN.7.8	Lã matsrimatsriwo kple lã tsitsriwo kple xe dzodzoewo hekpe ɖe nusiwo katã tana le anyigba dzi la ŋuti 
GEN.7.9	woyi ɖe Noa gbɔ atsu kple asi eveveve le aɖakaʋu la me, abe alesi Mawu de se na Noa ene. 
GEN.7.10	Eye wòva me le ŋkeke adreagbe bena, tsi dza ɖe anyigba la dzi.
GEN.7.11	Esi Noa xɔ ƒe alafa ade, le ɣleti evelia ƒe ŋkeke wuiadrelia dzi tututu la, anyigbatu me tsiwo katã ŋɔ, eye dziƒo nu ʋu. 
GEN.7.12	Eye tsi dzi ɖe anyigba dzi ŋkeke blane kple zã blane sɔŋ. 
