MAT.1.1	Ña'a kùu sivi ma ndian kūu ñivi Jesucristu, ra kūu ñivi ma racha'nu David, chi'in racha'nu Abraham. 
MAT.1.14	Azor kūu tatá ma Sadoc, ta Sadoc kūu tatá ma Aquim, ta Aquim kūu tatá ma Eliud. 
MAT.1.15	Eliud kūu tatá ma Eleazar, ta Eleazar kūu tatá ma Matán, ta Matán kūu tatá ma Jacob. 
MAT.1.16	Jacob kūu tatá ma Kusé, ra kùu ii ma Ndiya, ta Ndiya kūu ma'á Jesuu, ra kà'an yo ña kùu Cristu.
MAT.1.17	Ta takan kūu yi ña, chīyo uchi kumi ta'an ñivi ña kùu tata ma Abraham, nda kati kēta ma tiempu ña chīyo ma racha'nu David. Ta inga uchi kumi ma ndian kùu tata ma David chīyo, nda ora kēta ma kivi ña tīin ma ndra ñu'u' ñuu Babilonia ma ndian israelita, ta kuà'an na chi'in ndra ma iti' tikan. Ta inga uchi kumi ma ndian kùu tata ra chīyo, nda ma tiempu ikan, ta nda ma ora kāku ndio ma Cristu.
MAT.1.18	Ma ora kāku Jesucristu, te'en kūu yi: ma Ndiya ña kūu ma'á ra, cha chā'a ña tu'un nuu ma Kusé, ña ni tanda'a ña chi'in ra. Va antea ña ndò'iin vi, yakan cha chāku'un se'an jā'a ndatu ma Ra kùu Tati Ií Ndioo. 
MAT.1.19	Ta ma Kusé, ra ni tanda'a chi'in Ndiya, ti iin ra va'a, ta ndaa kùu ra. Cha'a' yakan kùu yi ña, töve kùuni ra ku'va ra ña koto ma ñivi ma ña chànini ra ja'a ra. Vati ma ña kùuni ra ja'a ra, kùu yi ña, kùuni ra ndakoo xe'e ra ña. 
MAT.1.20	Ta ma ora juuni yanga chànini ra te'en, tajan iin ma tati ña jàkuu tiñu nuu ma Racha'nu, kēta yi nuu Kusé tañu ñuma'na ra, ta te'en nāka'an yi chi'in ra:
MAT.1.20	―Yo'o Kusé, ra kùu ñivi ma racha'nu David, na yü'viun ña ndàki'un ma Ndiya kùu ñasi'un ña, vati ma Tati Ií Ndioo jā'a ña ni koo ma se'an. 
MAT.1.21	Yakan, ni koo se'an, ta ni jakunaniun ra, Jesuu. Takan ni kunani ra, vati ni jakakú ra ma ñivi ñuu ra cha'a' ma kuati jà'a na. ―Takan kàti ma tati tatun Ndioo chi'in Kusé ma tañu ñuma'na ra.
MAT.1.22	Ndisaa ña'a takan kūu yi, ikan na jachinu ma tu'un kā'an ma Racha'nu nuu iin ra kā'an chi'in tu'un yu'u ra, ti rakan te'en kā'an ra:
MAT.1.23	Ma ñayoko ña takä'an kì'vi chi'in nï'iin ra'ii, ni kuku'un se'an,
MAT.1.23	ta ni jakakuan yi,
MAT.1.23	ta ma ra kùu pa'a ikan ni jakunani na yi Emanuel,
MAT.1.23	ña kùuni yi ka'an yi: ìyo Ndioo chi'in yo.
MAT.1.24	Takan kūu ta ora ndākoo ndio ma Kusé ña kìxi ra, tajan jā'a ndio ra ma takua kā'an ma tati tatun Ndioo nuu ra, ta ndāki'in ndio ra ma Ndiya chūndaka ra. 
MAT.1.25	Va vaji ndō'iin ra chi'an, va töve nī kixi ra chi'an, nda kati ya'a ji'na kāku ma ra kùu pa'a se'an, ra jākunani ma Kusé, Jesuu.
MAT.2.1	Ora kāku Jesuu ma ñuu nàni Belén, ña ìyo kuenda ma ñu'u' Judea, ma tiempu ikan ti, ma rey Herode kùu ma ra chā'nda tiñu ma ñu'u' ikan. Tajan iin ma ndra kīchi iti' kàna nikandii, ndra ya'a ga chìto ña kā'an, chāa ndra ma ñuu Jerusalén, 
MAT.2.2	ta te'en chīkatu'un ndra:
MAT.2.2	―¿Ndanu kàndii ma ra já kāku, ña kùu rey kuenda ma ñivi judíu? Vati ndē'e ndi ña kēta ma chele ra iti' kàna nikandii, ta cha'a' yakan kùu yi, ña vàchi ndi vàchi jàka'nu ndi ra ma i'ya ―kàti ndra.
MAT.2.3	Tajan ora chīto ndio ma rey Herode ña takan chàkunuu ndra chìkatu'un ndra, ta ndava yū'vi ra, chi'in tandi'i ma ñivi ìyo ma ñuu Jerusalén ndia. 
MAT.2.4	Tajan kāna ndio ra tandi'i ma ndra sutu cha'nu ña kuxini nuu sutu, ta chi'in tandi'i ma ndra matru ña jàna'a tu'un ley Ndioo nuu ma ñivi, ta chīkatu'un ndio ma rey Herode nuu ndra, ña ndanu kùu ma nuu ni kàku ma Cristu. 
MAT.2.5	Ta ndrakan te'en nāka'an ndra chi'in ra:
MAT.2.5	―Ni kàku ra ma ñuu Belén ña ìyo kuenda ma ñu'u' Judea, vati te'en kà'an ma tu'un tāa ma ra kā'an chi'in tu'un yu'u Ndioo taji'na:
MAT.2.6	Yo'o ñuu Belén, vaji ñuu vali kùu̱n,
MAT.2.6	vati ya'a ka'nu kùu̱n tañu tandi'i ñuu ìyo kuenda ñu'u' Judea,
MAT.2.6	va tañu ma ñiviun ìyo ikan, ni keta iin ma ra ni kuxini,
MAT.2.6	ta rakan ni jakuenda ra ma ndian kùu ñivi̱ ñuu Israel.
MAT.2.6	Takan kàti yi nuu ma tutu Ndioo ―kàti ndra nuu rey Herode.
MAT.2.7	Tajan kāna xe'e ndio ma rey Herode ma ndra chìto ña kā'an, ta chīkatu'un kachin ndio ra nuu ndra, nda kivi kùu yi ña kēta ma chele ña ndē'e ndra. 
MAT.2.8	Ta ora yā'a ndio yi, tajan tāchi ndio ra ndra ma ñuu Belén, ta te'en nāka'an ra chi'in ndra:
MAT.2.8	―Kuà'an ndo ndakan, ta na nanduku tu'un ndo nuu ndisaa ma ñivi cha'a' ma ravali ikan. Ta ora cha nāta'an ndo ra, na kichi katitu'un ndo nui, vati juuni kùuni̱ kujaka'nui ra ndia ―kàti rey Herode chi'in ndra.
MAT.2.9	Tajan ma ndra chìto ña kā'an, kēe ndio ndra kàcha'an ndra chi'in ma tu'un ña kātitu'un ma rey nuu ndra. Takan kūu ta ma chele ña ndē'e ndra ma iti' kàna nikandii, kēta ndiko ri nuu ndra, ta endee yosonuu ri kuà'an ri nuu ndra. Ta ora chāa ndio ri ma nuu kàndii ma pa'a, tajan chūndaa ndio ri. 
MAT.2.10	Ta ma ndra chìto ña kā'an, nduva'a kuii chīsii ndra ña ndē'e ndiko ndra ma chele ikan. 
MAT.2.11	Takan kūu ta ora kāki'vi ndio ndra ma tichi ve'e, ta ndē'e ndra ma pa'a chi'in ma Ndiya ña kùu ma'á ra. Tajan chūnandi chiti ndio ndra, ta jāka'nu ndra ra. Ta ikan jan, ta'ii'iin ndra nūna ndio ndra ma chatun vali ña nda'a ndra, ta sōkó ndra oro, kutu, chi'in takuii xiko ña nàni mirra nuu ma pa'a. 
MAT.2.12	Va tava kēta iin tati va'a ña jà'a tiñu nuu Ndioo nuu ndra ma tañu ñuma'na ndra, ña kātitu'un yi nuu ndra, ña na tüva nuva jà'a ndra ña chìkoni'i ndra ku'un ndra ma iti' nuu kīchi ndra nuu ìyo ma rey Herode kàti yi. Tajan kēe ndio ndra kuà'an ndra ñuu ndra, va inga iti'.
MAT.2.13	Takan kūu ta ora yā'a ña kēe ndio ma ndra chìto ña kā'an kàcha'an ndra, tajan iin tati va'a ña jà'a tiñu nuu ma Racha'nu Ndioo, kēta yi nuu Kusé tañu ñuma'na ra, ta te'en nāka'an yi chi'in ra:
MAT.2.13	―Kusé, na ndetaun, ta ki'un ma ravali chi'in ma ma'á ra, ta kee ndo ku'un ndo ta kunu xe'e ndo ku'un ndo chi'in ra iti' ñu'u' Egiptu. Ta ndakan na kindoun koun, ta chikoni'i ndikoun nda kati katitu'un mai nuu̱n. Vati ma rey Herode, ni nanduku ra ma ravali, ta ni ka'ni ra ra. ―Takan kàti ma tati jà'a tiñu nuu Ndioo nuu ma Kusé.
MAT.2.14	Tajan ndākoo ndio ma Kusé, ta kī'in ra ma ravali chi'in ma ma'á ra, ta kēe ndio vi kàcha'an vi ma iti' ñu'u' Egiptu ma ora chanikuaa. 
MAT.2.15	Ikan chīyo vi, nda kati chī'í rey Herode. Takan kūu yi, ikan na chinu ma tu'un kā'an ma Racha'nu Ndioo, jà'a iin ra kā'an chi'in tu'un yu'u ra, ma nuu kà'an yi te'en: “Ñu'u' Egiptu kānai ma ra se'i.” Takan kàti Ndioo, kàti ma ra kà'an chi'in tu'un yu'u ra.
MAT.2.16	Takan kūu ta ora chā'a ndio ma Herode kuenda, ña jānda'viña'a ma ndra chìto ña kā'an ra, nduva'a kāyuni ra. Tajan tāchi ra ña na ka'ni ndra tandi'i ma ndra'ii kuati, ña ìyo uvi kuiya iti' ninuu, ña ìyo ma ñuu Belén, ta chi'in tandi'i kuariya ña ìyo kuenda yi, ma naja kua kùu ma tiempu ña chā'a ma ndra chìto ña kā'an ma nuu ra. 
MAT.2.17	Ta te'en jāchinu ma ra kā'an chi'in tu'un yu'u Ndioo, ña nàni Jeremía ma tu'un tāa ra nuu ma tutu ra:
MAT.2.18	Iti' ñuu nàni Ramá chīni ma ñivi tati iin ña'a,
MAT.2.18	ña nduva'a kuii chàku ña jà'a ña ya'a u'vi anima ña, ta nda'vi kùunian.
MAT.2.18	Ta ma tati ikan kùu yi ma tati Raquel, ña chàkuan cha'a' ma ndrakuati se'an.
MAT.2.18	Ta endee töve kuunian ña jàndomani na ña, vati chī'í ma se'an.
MAT.2.18	Takan kàti ma Jeremía.
MAT.2.19	Takan kūu ta ora yā'a ña chī'í ndio ma rey Herode, tajan iin tati ña jà'a tiñu nuu ma Racha'nu, kēta yi nuu Kusé tañu ñuma'na ra ma ñuu Egiptu, ta te'en nāka'an yi chi'in ra:
MAT.2.20	―Na ndetaun, ta ki'un ma ravali chi'in ma ma'á ra, ta chìkoni'i ndikoun chi'in vi ma iti' ñu'u' Israel, ti cha kāchi'í ma ndra kùuni ka'ni ra. ―Takan kàti yi chi'in Kusé.
MAT.2.21	Tajan ndākoo ndio ma Kusé, ta kī'in ra ma ravali nda'a' ma ma'á ra, ta kēe ndio vi kuà'an vi ma ñuu Israel. 
MAT.2.22	Va ora chīto ndio ma Kusé ña Arquelao se'e ma ndi Herode, kùu ra ña chà'nda ra tiñu, ma ñu'u' Judea, tiñu chākoo tatá ra niku, ta yū'vi ra ña ku'un ra ma tikan, va tava kātitu'un ndiko ma Racha'nu Ndioo nuu ra ma tañu ñuma'na ra, yakan va tüva nī cha'an ndio ra ma iti' tikan, tajan kēe ndio ra kuà'an ra iti' ñu'u' Galilea. 
MAT.2.23	Takan kūu ta ora chāa ndio ra ma ñu'u' ikan, tajan chā'an ndio ra chākoo ra ma iin ñuu nàni Nazaret. Ña'á takan kūu yi, ikan na chinu ma tu'un ña kātitu'un ma ndra kā'an chi'in tu'un yu'u Ndioo niku, vati kà'an ndra ña ni kunani ma Cristu, iin Nazarenu, kāti ndra.
MAT.3.1	Ma tiempu ikan kēta ma Xuva, ra jàkunduta, kàtitu'un ra tu'un Ndioo nuu ma ñivi tichi ku'u ma ñu'u' Judea, 
MAT.3.2	ta rakan te'en nāka'an ra:
MAT.3.2	―¡Na jaña ndo ña jà'a ndo ma kuati, vati cha kēta ma kivi ña ni nde'o nuu chà'nda Ndioo tiñu! ―kàti ra chi'in na.
MAT.3.3	Cha'a' ma Xuva i'ya kùu yi, ña te'en kā'an ma Isaía, ra kā'an chi'in tu'un yu'u Ndioo niku:
MAT.3.3	Iti' tichi ku'u kīchi tati iin ra'ii, ña te'en kānachaa ni'i yi:
MAT.3.3	“Na jandova'a ndo iin iti' kuenda ma Racha'nu,
MAT.3.3	ta na nuna ndo iin iti' ndoo kuenda ra ndia.”
MAT.3.3	Takan kàti ma tati ikan, kāti ma Isaía.
MAT.3.4	Ta ma ja'ma ña ñu'u ma Xuva, kūva'a yi chi'in ixi kameyu, ta chi'in pañu ñii, chù'ni ra yi toko ra. Ta chàchi ra tikaa kua'á, ta ña chì'i ra, kùu ma nduxi ñuñu ku'u. 
MAT.3.5	Ta ma ndian chàa ña chìni ma ña kà'an ra, kùu ma ndian ñuu Jerusalén, chi'in tandi'i ma ndian ñu'u' Judea, ta chi'in inga ma ndian ìyo ñu'u' ña kandii yatini ma yuta Jordán. 
MAT.3.6	Ta ora nà'ma na kuati na nuu ma Xuva, ta rakan chājakunduta ra na ma yuta Jordán.
MAT.3.7	Va ora ndē'e ma Xuva ña ya'a kua'a' ma ndra fariseu, chi'in ndra saduceu, kācha'an ndra, ña na jakunduta ra ndra, yakan va te'en nāka'an ra chi'in ndra:
MAT.3.7	―¡Ndyo'o tatá ndian xaan, tava kùu ma koo kaa! ¿Yo kà'an chi'in ndo ña ni kakú ndo nuu ma tundo'o ya'a xaan ña cha vàchi kuyatin? 
MAT.3.8	Tuva ndicha ña cha chīkoni'i ndo iti' ma Racha'nu, na koo va'a ndo ma takua kùuni ra ña koo ndo tuva takan, 
MAT.3.9	ta koto jätayi ndo ndo chi'in juuni maa ndo, ta ka'an ndo te'en: “Ndyu'u kùu ndi tata ma Abraham”, kati ndo. Vati yu'u kà'in chi'in ndo, ña nda ma yuu ña kàndoyo i'ya, kùu jàndaku ma Racha'nu Ndioo yi, tata ma Abraham ndia. 
MAT.3.10	Vati cha ìyo tu'va ma hacha kuenda ña ta'nda tandi'i ndava nda yo'ó ma yutun ña töve chà'a chiti va'a, ta ku'un ndrun nuu ñu'ú. 
MAT.3.11	Ndicha va'a, ña yu'u jàkundutai ndo chi'in takuini, kuenda ña na jana'a yi, ña cha jāña ndo ma kuati jà'a ndo. Va inga ma ra ni kichi tia iti' nuu, ni jakunduta ra ndo chi'in sivi ma Tati Ií Ndioo, ta chi'in ñu'ú. Rakan kùu ma ra nduva'a ga ìyo ndatu kua yu'u, ña ni töve ìyo yi ña kuisoi, ni ma ndichan ra. 
MAT.3.12	Ta cha nda'a ra iin kaa ña ìyo uni kumi punta kuenda ña jandati ra ma trigu iti' nuu sukun, ta takan tàvani'i siin ra ma soo vu. Tajan ni taan va'a ndio ra ma trigu ra tichi yaka. Va ma soo vu, va ni ka'mi ra nuu ñu'ú ña endee töve ndà'va.
MAT.3.13	Takan kūu tajan Jesuu kīchi ra iti' ñu'u' Galilea, ta chāa ra ma yuta Jordán nuu ndaa ma Xuva, kuenda ña na jakunduta ra ra. 
MAT.3.14	Va ma Xuva, na küuni ra ja'a ra yi, ti java te'en nāka'an ra chi'in Jesuu:
MAT.3.14	―Yu'u, kùu ma ra ìyo yi ña jakundutaun, ta yo'o, ¿chïto naja vàchiun nui, ña na jakundutai ñu̱n? ―Takan kàti Xuva chi'in Jesuu.
MAT.3.15	Va Jesuu te'en nāka'an ra chi'in ra:
MAT.3.15	―Vä'a' ña kà'un takan, va'a ga ña jakundutaun yu'u vitin, vati takan jàchinu yo tandi'i ma ña kùuni ma Ndioo. ―Takan kàti Jesuu chi'in ra.
MAT.3.15	Tajan ma Xuva kāti ra ña va'a. 
MAT.3.16	Ta ora cha kūnduta ndio Jesuu, ta kēe ndio ra ma tichi takuii, tajan juuni ma ora ikani, nūna ma andivi, ta ikan ndē'e ndio ra, ña ma Tati Ií Ndioo, vàchi nuu yi chata Jesuu tava kàa iin livi, ta chūnandi yi chata ra. 
MAT.3.17	Tajan ma iti' andivi chīni na iin tati ña te'en kà'an:
MAT.3.17	―Ra'ya kùu ma ra Se'i, ña ya'a kùuni̱ nde'i, ta ya'a chìsii̱ ña kùu ra takan. ―Takan kàti ma tati chīni na.
MAT.4.1	Ta ora yā'a, tajan chāka ndio ma Tati Ií Ndioo ma Jesuu iti' tichi ku'u, kuenda ña na ki'in ma kui'na ku'va ra.
MAT.4.2	Ta ma nuu chīyo ra ikan, tüvi nī chachi ra uvi xiko kivi, ta uvi xiko chanikuaa. Ta ora yā'a, tajan chāñu ndio ma soko ra. 
MAT.4.3	Tajan ma kui'na chajāyatin ndioán' ñá' nuu Jesuu kuenda ña ni ki'in ndioán' ku'va ra, ta te'en nāka'an ndioán' chi'in ra:
MAT.4.3	―Tu ndicha va'a ña ra Se'e Ndioo kùu̱n, na ka'un chi'in ma yuu ña ndoyo chiña, ña na ndakuu yi paan. ―Takan kàti ma kui'na chi'in ra.
MAT.4.4	Va Jesuu te'en nāka'an ra:
MAT.4.4	―Nuu ma tutu Ndioo te'en kà'an yi: “Na yöve uvanuu ma ña chàchinio kùu ja'a ña na taku ma ñivi, vati juuni kùu taku na ja'a tandi'i ma tu'un ña kà'an Ndioo ndia” ―kàti Jesuu.
MAT.4.5	Tajan chāka ndio ma kui'na ma Jesuu kuà'an ra chi'án' ñuu Jerusalén ií, ta ikan jāndaa ndio ma kui'na ma Jesuu nuu sukun ga xini ma veñu'u ka'nu ikan, 
MAT.4.6	ta te'en nāka'án' ndioán' chi'in ra:
MAT.4.6	―Tu ndicha ña ra Se'e Ndioo kùu̱n, na koyoun ma nda ninuu, vati nuu ma tutu Ndioo, te'en kà'an yi:
MAT.4.6	Ndioo, ni tachi ra ma tati ña jà'a tiñu nuu ra, ña na jakuenda yi ñu̱n.
MAT.4.6	Ma tati ikan kùu yi ña ni kani'i na ñu̱n, chi'in nda'a' na,
MAT.4.6	ikan na töve takue'e cha'un jà'a nï'iin yuu ―kàti ma kui'na chi'in ra.
MAT.4.7	Ta Jesuu te'en nāka'an ra chi'án':
MAT.4.7	―Nda nuu ma tutu Ndioo, juuni te'en kà'an yi ndia: “Töve ìyo yi ña ki'un ku'va ma Racha'nu Ndioo.” Takan kàti yi ―kàti Jesuu.
MAT.4.8	Takan kūu ta chāndaka tukuán' ra iin xini yuku sukun nduva'a kuii, ta ora kīcha'a ndioán' jàna'án' nuu Jesuu ndisaa ma ñuu ñuñivi nuu chà'ndán' tiñu nuu Jesuu, ta naja kua ya'a ka'nu kùu yi. 
MAT.4.9	Tajan te'en nāka'an ndioán' chi'in ra:
MAT.4.9	―Tu kunandi chitiun nui, ta jaka'nu̱n yu'u, ni ku'vai tandi'i ma nuu chà'ndai tiñu nuu̱n ―kàti ma kui'na chi'in Jesuu.
MAT.4.10	Tajan Jesuu te'en nāka'an ra chi'án':
MAT.4.10	―Kuà'an, tikan yo'o kui'na, vati nuu ma tutu Ndioo, te'en kà'an yi: “Na jaka'nu̱n ma Racha'nu Ndiooun, ta uvanuu rakani na ja'un tiñu nuu” ―kàti Jesuu.
MAT.4.11	Tajan ma kui'na ndākoo ndioán' Jesuu, ta ikan jan chākoyo ndio ma ndian kùu tati ña jà'a tiñu nuu Ndioo, ta kīcha'a na tìndee na ra.
MAT.4.12	Takan kūu ta ora chīto Jesuu ña ma Xuva indii ra tichi vekaa, tajan kēe ndio ra kuà'an ra ma ñu'u' Galilea. 
MAT.4.13	Va töve nī kindoo ra koo ra ma ñuu Nazaret, ti yā'a ra kuàkoo ra ma ñuu Capernaum, ña kàndii yu'u tañu'u, yatini nuu kàndii ma ñu'u' Zabulón, chi'in ñu'u' Neftalí. 
MAT.4.14	Tandi'i ña'á kūu yi takan, ikan na chinu ma tu'un ña tāa ma Isaía, ra kā'an chi'in tu'un yu'u Ndioo, nuu kā'an ra te'en:
MAT.4.15	Na taso'o ndo ndyo'o ìyo ñu'u' Zabulón, ta ñu'u' Neftalí
MAT.4.15	ña kàndii inga chiyo yu'u yuta Jordán,
MAT.4.15	tichi iti' kuà'an tañu'u ña nàni Galilea,
MAT.4.15	nuu ìyo ndian yüvi judíu.
MAT.4.16	Vati ndyo'o ndian chàkunuu nuu naa niku,
MAT.4.16	cha kīcha'a ndè'e ndo iin ñu'ú ya'a ka'nu,
MAT.4.16	iti' chākunuu ndo niku töve iti' va'a kùu yi ti ni naa ndo jà'a yi,
MAT.4.16	va vitin ma Racha'nu cha jāndondichin va'a ra yi kuenda ndo.
MAT.4.16	Takan tāa Isaía.
MAT.4.17	Nda ma ora ikan kùu yi, ña kīcha'a Jesuu kàtitu'un ra tu'un Ndioo te'en nuu ma ñivi:
MAT.4.17	―Na jaña ndo ña jà'a ndo ma kuati, vati cha vàchi kuyatin nuu chà'nda ma ra ìyo andivi tiñu ―kàti Jesuu chi'in na.
MAT.4.18	Ta ora chàkunuu Jesuu ma yu'u tañu'u ña kàndii ma ñu'u' Galilea, ikan ndē'e ra uvi ta'an ndra ña kùu ndra yani ndra. Iin ra nàni Simón, ra juuni kà'an na ña nàni Petu', ta inga ra nàni André. Ta ndrakan, ti kàni ndra yu'va tiaka' ka'nu tichi takuii chàkunuu ndra, ti ndra kìin kùu ndra. 
MAT.4.19	Tajan Jesuu te'en nāka'an ra chi'in ndra:
MAT.4.19	―¡Na tandikun ndo chatai!, ta yu'u ni ja'i ña na nani'i ndo ñivi kuenda Ndioo ―kàti Jesuu chi'in ndra. 
MAT.4.20	Ma ora ikani ndākoo ndra ma yu'va tiaka' ka'nu, ta tāndiku ndra chata ra.
MAT.4.21	Ta ita'vi tiá iti' nuu, ikan ndē'e Jesuu inga uvi ta'an ndra ña juuni yani ndra ndia. Iin ra nàni Jandiau, chi'in Xuva, ndra se'e Zebedeu. Ndrakan ka'ìin ndra jàndova'a ndra yu'va tiaka' ka'nu, chi'in tatá ndra, tichi iin varku, ora kāna Jesuu ndra. 
MAT.4.22	Ma ora ikani ndākoo ndra ma tatá ndra tichi run, ta tāndikun ndra kuà'an ndra chata Jesuu.
MAT.4.23	Jesuu chàkunuu ra jàna'a ra tu'un Ndioo ninii ka'nu ma ñu'u' Galilea, nuu kàndii ta'ii'iin ma kuariya nuu ìyo ma veñu'u kuati ñivi judíu. Kàtitu'un ra nuu na, naja kua kùu ma nuu chà'nda Ndioo tiñu iti' andivi, ta juuni jànda'a ra ndian ku'vi, chi'in tandi'i nuu ma kue'e ndo'o na. 
MAT.4.24	Ta takan kūu ña chītakuati ma tu'un cha'a' Jesuu nuu ma ñivi ìyo ninii ka'nu ma ñu'u' Siria. Ta chāndaka na ndian ku'vi jà'a siin siin nuu ma kue'e, takua kùu ma ndian ku'vi jà'a kue'e u'vi na, chi'in ndian ku'vi jà'a tati xaan, ndian chì'i i'i, chi'in ndian endee pe'lu kuñu, ta jānda'a ra na. 
MAT.4.25	Ta kua'a' ñivi ìyo ñu'u' Galilea, chi'in ñuu Decápolis, ña kùuni yi ka'an yi, uchi ñuu, ta ndian ñuu Jerusalén ña ìyo kuenda ma ñu'u' Judea, ta nda ma ñuu ña kàndii inga chiyo yuta Jordán. Tandi'i ndiakan tāndikun na kuà'an na chata Jesuu.
MAT.5.1	Ta ora ndē'e Jesuu ña ka'ìin kua'a' ñivi, tajan ndāa ndio ra xini yuku, ta chūnandi ra. Ta ikan jan chājayatin ndio ma ndra jàkua'a chi'in ra nuu nàndi ra, ta chīkonuu ndra ra, 
MAT.5.2	ta te'en kīcha'a ndio ra jàna'a ra nuu ndra:
MAT.5.3	―Na sii kuuni ma ndian nda'vi ña chà'a na kuenda ña chìniñu'u na Ndioo, vati kuenda maa na kùu ma nuu chà'nda ra tiñu iti' andivi.
MAT.5.4	’Na sii kuuni ma ndian chàku ta nda'vi kùuni, vati ma Racha'nu Ndioo ni ndakimani ra na.
MAT.5.5	’Na sii kuuni ma ndian vita anima, vati tiaga iti' nuu, ni ni'i na ma ñu'u' ña cha chā'a ma Racha'nu Ndioo tu'un ña ni ku'va ra nuu na.
MAT.5.6	’Na sii kuuni ma ndian ya'a ìyoni jàkuu tiñu va'a takua kùuni Ndioo, ta chi'in ma ndian ya'a nàtii na ña kùuni na nde'e na ra, takua kùuni na ora nàtii na takuii, vati ma Racha'nu Ndioo, ni tindee ra na ña na ja'a na yi.
MAT.5.7	’Na sii kuuni ma ndian kùnda'vini nde'e inga ñivi, vati Ndioo, ni kunda'vini ra na ndia.
MAT.5.8	’Ta na sii kuuni ma ndian ndicha ña kùuni na nde'e na ma Racha'nu Ndioo, vati ndiakan ni nde'e na ra.
MAT.5.9	’Na sii kuuni ma ndian nànduku naja kua koo va'a na chi'in ta'an na, vati ma Racha'nu Ndioo ni jandakuu ra na se'e ra.
MAT.5.10	’Ta juuni na sii kuuni ma ndian ndè'e tundo'o, cha'a' ña jà'a na ma ña kùuni Ndioo, vati kuenda maa na kùu ma nuu chà'nda ra tiñu andivi.
MAT.5.11	’Na sii kuuni ndyo'o ora inga ñivi kanduva'a na ndo, ta chi'in ndyo'o ndian jànde'e na tundo'o, ta tisokuati na ndo chi'in tu'un vata cha'i. 
MAT.5.12	Na sii kuuni ndo, vati ni ni'i ndo iin ya'vi nduva'a ka'nu ma iti' andivi, ti takua jà'a na chi'in ndo, juuni kua ikan jā'a na chi'in ma ndian kā'an chi'in tu'un yu'u Ndioo ña chīyo taji'na ndia.
MAT.5.13	’Ndyo'o kùu ndo takua kùu ma ñií ña ìyo ma ñuñivi i'ya, cha'a' ña kùu ndo ndian chìnuni. Va tu ma ñií ikan jàña yi ña u'vá yi, ¿niyi ìyo yi ña ja'a yo chi'in yi, ta kùu ndo'uva ndiko yi, ta kuàtiñu yo yi inga cha'a'?, kùuni ndo. Va'aga ña na jakuita ndo yi kuenda ña na kuañunia ma ñivi chata yi, ti na tüva nakutiñu yi.
MAT.5.14	’Ndyo'o kùu ndo tava kùu ma ñu'ú ña jàndondichin ma ñuñivi. Ta tu iin ñuu kàndii yi xini yuku, na küu kundii xe'e yi ndia. 
MAT.5.15	Ta na tüvi jàtiin yo iin ñu'ú kandil, ta kasi yo nuu yi chi'in iin cajon, vati ma ña jà'a yo kùu yi ña, va'a jùndii yo yi nuu sukun, ikan na jandondichin yi nuu tandi'i ma ñivi ka'ìin tichi ve'e. 
MAT.5.16	Yakan va ndyo'o juuni kua ikan ìyo yi ña nanduku ndo naja kua koo va'a ndo chi'in tandi'i ñivi, ikan na nde'e na ma tiñu va'a jà'a ndo, ta ndita'an na jàka'nu na ma Racha'nu Tatá ndo ña ìyo andivi ndia.
