GEN.1.1	Pamugaan, Allah manjadiakan langit wan bumi. 
GEN.3.18	Rukam wan kumpai baduri nang pacangan tumbuhan. Napa nang ikam tanam di padang pacangan manjadi makanan ikam. 
GEN.3.19	Pacangan bapaluh leher
GEN.3.19	ikam mancari makan
GEN.3.19	sampai ikam babulik pulang manjadi tanah
GEN.3.19	sualnya matan tanah tu, ikam diulah.
GEN.3.19	Lantaran ikam tu matan tanah,
GEN.3.19	ikam pacangan babulik pulang ka tanah” ujar ALLAH Al Khalik baucap ka lalakian tu.
GEN.3.20	Manusia tu mangarani bininya 'Hawa' lantaran inya itu pang nang pacangan manjadi paninian samunyaan manusia.
GEN.3.21	Lalu ALLAH Al Khalik maulah baju matan kulimbit binatang gasan manusia wan bininya. Lalu dipurukakan-Nya baju tadi ka bubuhannya.
GEN.3.22	“Nah, manusia tu sudah manjadi nang kaya salah satu dari Kita sualnya bubuhannya tahu sual napa nang baik wan napa nang jahat. Maka wayah ini jangan sampai inya mamutik buah matan puhun nang mambari hidup tu, lalu mamakannya, lalu hidup salawasan ai kaina inya” ujar ALLAH Al Khalik bapirman.
GEN.3.23	Maka bubuhannya disuruh bajauh ulih ALLAH Al Khalik di Taman Eden tu sakira manggawi tanah nang matan tanah tu inya diambil. 
GEN.3.24	Imbah manyuruh manusia tu bajauh matan Taman Eden tu, Allah Al Khalik manugasakan babarapa ikung malaikat manjaga di subalah timur taman tu.
GEN.4.1	Imbah itu, Adam guring lawan bininya, Hawa. Batianan ai bininya tu, lalu inya maranakakan saikung anak lalakian nang dingaraninya Kabil.
GEN.4.1	“Lawan partolongan Allah ta alla, aku sudah baulihi saikung anak lalakian” ujar Hawa. 
GEN.4.2	Lalu, diranakakannya pulang Habil, adingnya Kabil. Habil bainguan kambing domba. Sadangkan Kabil bakabun. 
GEN.4.3	Kada lawas, Kabil mambawa sapalih matan hasil kabunnya jadi kurban parsambahan gasan basukur wan mahurmati Allah. 
GEN.4.4	Lalu Habil mambawa korban parsambahan jua, nang dibawanya tu bagian nang pambaiknya matan anak panambaian kambing dombanya nang disumbalihnya. Maka sanang ai Allah lawan Habil wan parsambahannya, 
GEN.4.5	tapi kurban parsambahan Kabil kada diherani-Nya. Lalu panas ai hati Kabil wan muhanya marangut.
GEN.4.6	Lalu Allah baucap lawan Kabil, “Kanapa maka hati ikam pina panas wan muha ikam pina marangut? 
GEN.4.7	Amun kalakuan ikam tu bujur, musti Kutarima ikam wan kurban parsambahan ikam. Tapi amun kalakuan ikam tu kada bujur, maka dosa sudah mahadang handak manguasai ikam, tapi ikam tu pang nang samustinya manguasainya.”
GEN.4.8	“Bil, kita ka padang kah?” ujar Kabil baucap lawan Habil, adingnya. Wayah baduaan ada di padang, bakajutan Kabil mamangkung Habil, lalu dimatiꞌinya, adingnya tu.
GEN.4.9	“Bil, mana si Habil, ading ikam tu?” ujar Allah batakun lawan Kabil.
GEN.4.9	“Mana ulun tahu? Ulun ni lain tukang jaganya” ujar Kabil manyahut.
GEN.4.10	“Sudah kaliwaran kalakuan ikam ni. Darah ading ikam bakuciak matan tanah bahadu lawan Aku. 
GEN.4.11	Takutuk ikam. Lantaran itu, tanah nang muntungnya manganga manarima darah ading ikam, nang ikam matiꞌi tu, kada manarima ikam lagi. Ikam Kusuruh bajauh matan banua ini. 
GEN.4.12	Bilanya ikam manggawi tanah tu, maka tanah tu pacangan kada tapi kawa lagi mambawa hasil gasan ikam. Ikam pacangan diburu-buru, makanya ikam kaina bapindah-pindah tarus di bumi” ujar Allah.
GEN.4.13	“Hukuman ulun ni barat banar. Ulun kada sanggup manyandangnya. 
GEN.4.14	Kaya apa yo ulun ni? Wayah ini jua, Pian manyuruh ulun bajauh matan banua ini, amun kaya itu bujur-bujur tapisah ai ulun lawan Pian. Ulun ni kaina jadi urang nang diburu-buru wan bapindah-pindah tarus. Makanya siapa haja nang batamuan lawan ulun musti handak mamatiꞌi ulun ni” ujar Kabil lawan Allah.
GEN.4.15	“Kada pacangan nang kaya itu pang! Amun ada jua urang nang mamatiꞌi ikam, urang tu pacangan dibalas pitu kali lipat” ujar Allah lawan Kabil.
GEN.4.15	Lalu Kabil dibari ciri ulih Allah sakira inya kada dimatiꞌi urang. 
GEN.4.16	Maka tulak ai Kabil maasingakan dirinya saurang matan hadirat Allah. Mulai wayah itu, inya kada kawa lagi bapandir langsung lawan Allah. Lalu inya bagana di banua nang bangaran Nod, di subalah timur Eden.
GEN.4.17	Lalu Kabil guring lawan bininya. Batianan ai bininya tu lalu maranakakan saikung anak lalakian nang dibari ngaran Henok. Lalu Kabil maulah sabuah kota nang dingaraninya Henok, nang kaya ngaran anaknya. 
GEN.4.18	Henok tu abahnya Irad, Irad tu abahnya Mehuyael. Mehuyael tu abahnya Metusael. Metusael tu abahnya Lameh.
GEN.4.19	Lameh babini dua. Nang saikung bangaran Ada. Nang saikungnya lagi bangaran Zila. 
GEN.4.20	Si Ada maranakakan Yabal. Yabal tu pang padatuan urang-urang nang bagana di tenda-tenda, nang gawiannya bainguan. 
GEN.4.21	Adingnya Yabal tu bangaran Yubal. Yubal tu urang nang panambaian nang jadi pamain kecapi wan kuriding. 
GEN.4.22	Jila maranakakan Tubal-Kain. Tubal-Kain tu urang nang panambaian jadi pandai wasi wan tambaga. Ading babiniannya bangaran Naama.
GEN.4.23	Kadudua bini Lameh dikiaunya balalu inya baucap,
GEN.4.23	“Ui, bini biniku, cuba dangarakan Abah bakisah:
GEN.4.23	Ada saikung lalakian kumatiꞌi lantaran malukai aku.
GEN.4.23	Lalakian nang anum tu kumatiꞌi lantaran inya mahantam aku sampai bangkak. 
GEN.4.24	Amun nang mamatiꞌi Kabil harus dibalas pitu kali lipat,
GEN.4.24	maka nang mamatiꞌi aku, harus dibalas pitu puluh pitu kali lipat.”
GEN.4.25	Lalu Adam guring pulang lawan bininya. Baranak ai pulang bininya tu. Anak lalakian tu dingarani Set
GEN.4.26	Imbah itu, gasan Set diranakakan jua saikung anak lalakian lalu dingaraninya Enos. Wayah itu, urang bamula mamakai ngaran ALLAH sambil manyambah ALLAH.
GEN.6.5	ALLAH malihat kalakuan manusia nang bakaliwaran jahatnya di bumi. Sagala kahandak hati bubuhannya bilang nang jahat-jahat haja.
GEN.6.6	Maka manyasal ai Allah lantaran manjadiakan manusia di bumi. Inya tasinggung banar. 
GEN.6.7	Lalu Allah bapirman, “Aku handak mambinasaakan manusia nang sudah Kujadiakan, tamasuk samunyaan binatang wan burung-burung. Sualnya Aku manyasal banar sudah manjadiakan bubuhannya.”
GEN.6.8	Tagal Nuh dibariꞌi rahmat ulih Allah.
GEN.6.9	Ini nah riwayat Nuh. Sidin tupang nang bujur urangnya wan kadada calanya di antara urang-urang nang hidup di jaman itu. Sidin tu parak banar lawan Allah. 
GEN.6.10	Sidin baisi talu ikung anak lalakian nang bangaran Sim, Ham, lawan Yapet. 
GEN.6.11	Tagal di mata Allah urang-urang nang lain samunyaannya jahat-jahat; di mana-mana hati bubuhannya kajam-kajam wan katuju bakakarasan. 
GEN.6.12	Allah manjanaki bumi. Sabujurannya bumi tu sudah rusak banar lantaran samunyaan makhluk kadada nang bujur hidupnya. 
GEN.6.13	Lalu Allah bapirman lawan Nuh, “Nuh, Aku handak mambinasaakan samunyaan makhluk di bumi sualnya bilang bakakarasan haja kalakuan bubuhannya.
GEN.6.14	Ulah gasan ikam lawan kulawarga ikam sabuah parahu matan kayu gofir
GEN.6.15	Nang kaya ini nah ikam musti maulah parahu tu, panjangnya 133 meter, libarnya 22 meter, wan tingginya 13 meter. 
GEN.6.16	Ulahakan parahu tu hatapnya 44 sentimitir di atas tawing-tawingnya. Ulah parahu tu talu tingkat: bawah, tangah, wan atas. Imbah itu, bariꞌi lawang di tawing higanya. 
GEN.6.17	Sabujurannya, Aku handak mandatangakan banyu baꞌah ganal wan hujan labat sampai sabumian tinggalam supaya matian samunyaan nang hidup wan banyawa di kulung langit. Sabarataan nang hidup di bumi pacangan matian. 
GEN.6.18	Sadangkan lawan ikam, Aku handak maadaakan parjanjian. Ikam, bini ikam, anak-anak lalakian ikam, lawan minantu-minantu ikam pacangan babuatan ka dalam parahu tu. 
GEN.6.19	Bawa ka dalam parahu tu samunyaan makhluk hidup, sapasang sapasang satiap janisnya sakira bubuhanya taharagu wan tatap hidup basama-sama lawan ikam. 
GEN.6.20	Samunyaan binatang nang bagarak pacangan datangan sapasang sapasang ka ikam sakira bubuhannya taharagu wan tatap hidup.
GEN.6.21	Ikam Nuh-ai, bawa samunyaan nang kawa dimakan; kumpulakan gasan makanan bubuhan ikam wan binatang binatang tadi” ujar Allah bapirman ka Nuh. 
GEN.6.22	Lalu digawi Nuh ai samunyaan tu. Napa nang diparintahakan Allah, kaya itu pang nang digawi sidin.
GEN.7.1	Lalu Allah bapirman lawan Nuh, “Ayu babuatan ka dalam parahu, ikam, bini ikam, anak-anak wan minantu minantu ikam. Sualnya ikam haja nang Ku-lihat bujur di antara urang-urang di jaman ini. 
GEN.7.2	Matan samunyaan binatang nang kada haram bawa pitu pasang, laki lawan bini. Sadangkan binatang nang haram bawa sapasang sapasang haja, laki lawan bini. 
GEN.7.3	Kaya itu jua, satiap janis burung bawa pitu pasang, laki lawan bini sakira kada habis di saluruh bumi. 
GEN.7.4	Sualnya pitu hari lagi Aku handak manurunakan hujan labat nang kada sing ampihan salawas ampat puluh hari ampat puluh malam, wan Aku handak mabinasakan samunyaan makhluk nang sudah Kujadiakan di bumi.” 
GEN.7.5	Lalu digawi Nuh ai samunyaan nang disuruhakan Allah ka sidin.
GEN.7.6	Wayah banyu baꞌah ganal maninggalamakan bumi, umur Nuh anam ratus tahun.
GEN.7.7	Lantaran handak baꞌah tu, Nuh, bini sidin, lawan anak-anak sidin lawan minantu-minantu sidin babuatan ka dalam parahu tu. 
GEN.7.8	Lalu datangan ai sapasang-sapasang matan samunyaan janis binatang nang kada haram lawan nang haram, burung-burung lawan samunyaan binatang nang marayap di bumi, 
GEN.7.9	babuatan ka parahu mandapati Nuh nang kaya nang disuruhakan Allah. 
GEN.7.10	Imbah pitu hari, datang ai banyu baꞌah ganal nang maninggalamakan bumi. 
GEN.7.11	Pas Nuh baumur anam ratus tahun, di bulan nang kadua, hari nang kapitu walas, tabungkasan samunyaan sumber-sumber banyu nang ada di dalam tanah. Banyu-banyu nang ada di langit gin saling darasan baguguran ka bumi. 
GEN.7.12	Turun ai hujan nang sing labatan, kada sing ampihan ampat puluh hari ampat puluh malam. 
GEN.7.13	Damintu jua, Nuh, bini sidin, lawan anak-anak sidin nang bangaran Sim, Ham, wan Yapet, lawan minantu minantu sidin babuatan ka dalam parahu tu. 
GEN.7.14	Umpat jua babuatan sagala janis makhluk nang hidup, sagala binatang liar, sagala binatang inguan, sagala janis binatang nang bahalar, lawan sagala janis binatang nang marayap. 
GEN.7.15	Samunyaan nang banyawa datangan sapasang-sapasang babuatan ka dalam parahu tu mandapati Nuh. 
GEN.7.16	Nang babuatan tu laki bini satiap janis binatang, nang kaya disuruhakan Allah lawan Nuh. Imbah itu, ditukup Allah lawang parahunya. 
GEN.7.17	Ampat puluh hari ampat puluh malam hujan labat sampai maninggalamakan bumi. Banyunya batinggi tarus lalu parahu tu timbul, taangkat tinggi matan tanah. 
GEN.7.18	Banyunya batambah banyak, batinggi tarus manguasai bumi, lalu timbul ai parahu tu di atas banyu. 
GEN.7.19	Banyunya daras banar batambah tarus sampai tinggalaman gunung-gunung nang tinggi nang ada di saluruh bumi. 
GEN.7.20	Banyunya batinggi tarus sampai pitu miter tingginya di atas puncak-puncak gunung. 
GEN.7.21+GEN.7.22+GEN.7.23	Maka matian ai sabarataan makhluk hidup nang banyawa, nang bahinak, nang bagarak di bumi, burung-burung, binatang liar, binatang inguan, sagala binatang nang marayap, nang bakariapan di bumi, tamasuk manusia jua. Maka Nuh haja nang masih hidup lawan samunyaan nang ada lawan sidin dalam parahu tu. 
GEN.7.24	Banyunya manguasai bumi, kada sing surutan salawas 150 hari.
GEN.8.1	Allah mangganang Nuh lawan sagala binatang liar, wan sagala binatang inguan nang ada lawan sidin dalam parahu tu. Maka Allah maulah angin batiup di bumi nang maulah banyu basurut. 
GEN.8.2	Sumber-sumber banyu nang di bawah tanah wan sumber-sumber banyu nang di langit disumpali. Lalu ampih ai hujannya. 
GEN.8.3	Banyunya sasar basurut di bumi. Imbah 150 hari banyunya kada tapi tinggi lagi. 
GEN.8.4	Dalam bulan nang kapitu, pada hari nang kapitu walas, parahu tu tagalang di pagunungan Ararat. 
GEN.8.5	Banyunya basurut tarus sampai bulan nang kasapuluh. Pada hari nang panambaian di bulan nang kasapuluh, talihat sudah puncak-puncak gunung.
GEN.8.6	Imbah ampat puluh hari, Nuh mambuka lalongkang nang diulah sidin di parahu tu. 
GEN.8.7	Lalu dilapas sidin saikung burung gagak. Burung tu tarabang bulang bulik sampai banyunya bujur bujur surut. 
GEN.8.8	Lalu Nuh malapas saikung burung dara gasan malihati kalu ai banyu sudah surut di bumi. 
GEN.8.9	Tagal burung dara tu kada mandapati wadah gasan hinggap sualnya banyunya masih manukupi bumi. Maka babulik ai inya ka parahu. Nuh manyurung tangan sidin, lalu dibawa sidin masuk burungnya. 
GEN.8.10	Dihadangi sidin pitu hari lagi, lalu dilapas sidin pulang burung dara tu matan parahu. 
GEN.8.11	Wayah kamarian, burung dara tu babulik pulang ka wadah sidin, sakalinya di hujung patuknya ada salambar pucuk zaitun nang masih sigar! Maka tahu ai Nuh amun banyu sudah surut di bumi. 
GEN.8.12	Dihadangi sidin pulang pitu hari lagi. Lalu dilapas sidin pulang burung daranya. Sakalinya, burung dara tu kada babulik pulang ka wadah sidin.
GEN.8.13	Wayah Nuh baumur 601 tahun, pada hari nang panambaian dalam bulan nang panambaian, bumi bamula karing. Nuh mambuka hatap parahu tu lalu balilihat. Sakalinya tanahnya sudah karing. 
GEN.8.14	Dalam bulan nang kadua, pada hari nang kadua puluh pitu tu, bumi sudah bujur bujur karing.
GEN.8.15	Lalu, Allah bapirman lawan Nuh: 
GEN.8.16	“Turunan ja matan parahu, ikam, lawan bini ikam, anak-anak ikam, lawan minantu-minantu ikam. 
GEN.8.17	Bawa turun jua samunyaan makhluk nang banyawa nang ada lawan ikam, burung-burung, binatang, wan sagala binatang nang marayap di bumi sakira bubuhannya mahibaki bumi, baranakan, wan batambah banyak di atas bumi.”
GEN.8.18	Maka turunan ai Nuh, bini sidin, anak-anak sidin, lawan minantu-minantu sidin. 
GEN.8.19	Sagala binatang liar, sagala binatang nang marayap wan sagala burung, pokoknya samunyaan nang bagarak di bumi turunan matan parahu tu manurut janisnya. 
GEN.8.20	Lalu Nuh manyusun batu manjadi mija gasan mambanam hewan kurban gasan mahurmati Allah. Diambil sidin babarapa ikung matan satiap janis binatang wan burung nang kada haram. Lalu diparsambahakan sidin manjadi kurban banaman di atas mija batu tadi. 
GEN.8.21	Allah mancium parsambahan nang harum tu lalu bapandir dalam hati-Nya, “Aku kada pacangan lagi mangutuk bumi lantaran manusia, biar bubuhannya bakahandak jahat mulai lagi anum. Aku kada pacangan lagi mahabisi samunyaan makhluk hidup nang kaya sudah Ku-binasaakan lawan banyu baꞌah ganal. 
GEN.8.22	Salawas bumi masih ada, pacang ada tatarusan musim batanam wan mangatam, musim dingin wan musim panas, musim kamarau wan musim hujan, siang wan malam.”
GEN.9.8	Lalu Allah bapirman lawan Nuh wan anak-anak sidin nang ada basama-sama lawan sidin, 
GEN.9.9	“Sabujurnya, Aku maadaakan parjanjian lawan ikam wan juriat ikam 
GEN.9.10	lawan sagala makhluk hidup nang ada basama-sama lawan ikam, burung-burung, binatang inguan, binatang liar nang kaluar baimbaian lawan ikam matan parahu, artinya sagala binatang nang ada di bumi tu pang. 
GEN.9.11	Ini nah parjanjian-Ku lawan ikam: tumatan wayah ini, Aku bajanji Aku kada pacangan lagi mahabisi sagala makhluk hidup wan kada pacangan lagi maninggalamakan bumi lawan banyu baꞌah ganal. 
GEN.9.12+GEN.9.13	Aku handak maandak balahindangku di langit. Itu pang nang manjadi tanda jaminan parjanjianKu nang Kuadaakan antara Aku lawan ikam, lawan sagala makhluk hidup nang ada basama-sama lawan ikam turun-tamurun gasan salawasan. 
GEN.9.14	Amun Kudatangakan awan-awan di langit lalu talihat balahindang, 
