MAT.1.1	Uriro uvas ma garip ma eap am Iesu Karisito. Iesu irie a gar ang Devit ga Abraham.
MAT.2.6	“‘Mimi teip ga magaulap onim Betilem na provins Iudaia, Betilem la tale pianam ula kapio agarit kabirana ma taunup mila kakanim la maionama Iudaia. Karuk kan.
MAT.2.6	Memani, eba betang noba migana ila kakani kabirana mi gare migana o unuleap ma sipsipup ga eba ualeng bo gar ruang Israel.’” 
MAT.2.7	Urie, Herot la upto uriro ties ga mamarikong tigit miriro teip o agat mila magimameng maralaip meba mumaiong ai. Ga mamarikong a man tara la betieng marala ga ogimameng. 
MAT.2.8	Ga masagaong ga mela na pianam Betilem ga maulo, “Mila ga ubiming maranit le asinming iriro kulot. Ga leba amioping, tie eba ina mumiong ga tomilava. Meba gat tala loturang me ai.” 
MAT.2.9	Herot la maulo ra, tie teip o agat la mela. Pa uriro marala, tinan la ogimameng na nap la ime bet muabari la ike maime ga ila dusieng bo luguan la unama kulot ana. 
MAT.2.10	Ogimameng marala la dusieng ga mitara temeba. 
MAT.2.11	Are ratmat ga maiobu na luguan, ga agimameng kulot ga naga ang Maria. Ga kumumeng ga makofmeng dadebip ma ga maialo kamniap maiong aun. Gol ga urup mila kukufmeng ga sada.
MAT.2.12	Pa na non kikiritniap, Morowa la maulo, “Baraba gat ina mila Ierusalem ga agimaming Herot.” Are ratmat ga omeuluo non alang ga mela na lakuan maiong.
MAT.2.13	Teip o agat la mela ra. Urie, non angelo ang Ila Kakani la betong ai Iosep na kikiritniap. Ga ugama, “Tenara ga alaginang kulot ga naga ang, ga igomig ga mila Isip. Ga mionang Isip puoieng na tara leba miralava gat meba ina terigiming. Herot la namo aisinang Iesu meba anamung ga aving.” 
MAT.2.14	Are ratmat ga teuara Iosep kabirana o arubu, ga alagiong kulot Iesu ga naga ang ga igomeng ga mela Isip. 
MAT.2.15	Urie, unama Iosep Isip puoieng la uvara Herot, eva uriro la ovuoieng non ties ang Ila Kakani la uaramo na nanam a unuli Hosia la tiesong gare ro,
MAT.2.15	“Poi ruang la unama Isip ga amariktung ga oulai Isip ga muo.” 
MAT.2.16	Urie, Herot la mait ara teip mila magimameng maralaip la avanameng ara ga tale gat ina mumaio agimameng. Are ratmat ga mitara papamnam dalap a kirat, ga masagaong non teip o danunumiap am ga mela na taun Betilem ga na tatak pialap la maiot u ga menamuam mirier lop ganam ga mirie mila tale ka narain karaipien maiangan. Memani, maagatong miriro pagap teip mila magimameng maralaip la amelo ma na tara la mamarikong. 
MAT.2.17	Miriro pagap la betmeng meba opuomeng ties ang unuli Ieremia la uaramo tinan. La tiesieng gare ro,
MAT.2.18	“Inamaniap la mepto nulibap la betieng Rama. Meptam magaulap la meliba ga kukupmeng un kadik. Magaulap a gar iang Resel la meliba me lop maiam. Pa tale kan puomeng teip ga magaulap meba maidangmeng dalap ma. Memani, karuk kan maime lop maiam, pa mevara ra.” 
MAT.2.19	Urie, tara la uvara ra Herot, tie betong angelo ang Ila Kakani ai Iosep na kikiritniap na tara la unama Isip ga aulo, 
MAT.2.20	“Tenara ga alaginang poi nuang ga naga ang, ga ina mila Israel. Teip la namo menamung kulot Iesu la mevara ra.” 
MAT.2.21	Urie, teuara Iosep ga alagiong kulot Iesu ga naga ang ga inar mela Israel. 
MAT.2.22	Tie, betong ara Iosep Israel ga upto ties gare ro, “Arkilao la aigorula mamo ang a Herot, ga orongong na provins Iudaia.” Are ratmat ga urau Iosep ga tale ga eba ala onang na uriro provins. Pa na arubu Morowa la inagat asagaong angelo na non kikiritniap ga ualo ties aun Iosep. 
MAT.2.23	Are ratmat ga mela maionama na pianam bonim o Nasaret, are Morowa la tiesong tinan na nanamup ma non unulip la betieng ga iario parak. La tiesieng gare ro,
MAT.2.23	“Eva, eba meivang inamaniap irie, migana onim Nasaret.”
MAT.3.1	Papot ma karaip la aipmeng ara pa man unama ka Iesu Nasaret. Urie, Ioanes, migana o unuvariap la betong ga baisong mai teip ga magaulap na pianam la karuk ma inamaniap una na provins Iudaia. 
MAT.3.2	Tiesong gare ro, “Marigiming dalap mi ga omiolaing kirinim ming. Kagarat ara la namo muiong inamon onim na panbinim. Ga Ila Kakani la namo ualeng mabuo teip ga magaulap onim na uro kimanam.”
MAT.3.3	Ioanes iriro migana la avuoong Morowa na nanam a unuli Aisaia. La tiesong gare ro,
MAT.3.3	“Na pianam la karuk ma inamaniap ba, non migana la marikong maranit ga tiesong gare ro, ‘Orangaming alang ang Ila Kakani. Mavuvutmiling alangip am.’” 
MAT.3.4	Ioanes la ume unam sasaip la makosarmeng ma kavurup a kamel. Ga ume ovis kanam ira a karima a. Ga ume um sikailap ga iuluma onim na panap.
MAT.3.5	Urie, na iriro tara, papot ma teip ga magaulap onim Ierusalem ga na mirier taunup na provins Iudaia, ga pialap ganam mila kakapim la maiot kagarat u danuot Ioridan, la mumaio meba agimameng Ioanes. 
MAT.3.6	Ga mumaio ovaikmeng kirinim maiong. Ga uavariam Ioanes na danuot Ioridan. 
MAT.3.7	Tie, Ioanes la magimaong papaluaip ma Parasaiop ga papaluaip ma Sadukaiop la betmeng meba avarem. Pa maulo gare ro, “Mimi lop iam kagok, aga la miulo meba igoming ga okabanming bukbuk ang Morowa leba betieng tubiat? 
MAT.3.8	Are ratmat ga leba mima okaban ming bukbukang Morowa, tie lake ka marigiming dalap mi ga asingmiala tavuk o urigi ma dalap migat. 
MAT.3.9	Babun agatming na dalap mi gare ro, ‘Abraham irie ea pang.’ Memani, miptang. Puoong Morowa leba marigiang mirobu tadasip ga omela ninimiap ga betmeng gare lop am Abraham. 
MAT.3.10	Alabun la iot ara na muap ma kuop. Ga mirier kuop ganam leba tale maiaring parak ula muru, eba abulam Morowa ga magoang na kit. 
MAT.3.11	Miptang, miruaviet o burunam gare kaguma meba misingala la marigiming dalap mi. Pa migana la muo malonim tuo, kukunim ang ga bonim a la mitara kakanu maset. Migat, turuot gare migana o ubi agarit, ga kukunim ang la mitara kakanu me kukunim tung. Iriro migana eba miavareng o eba misaravutang o kit ga Muranama Ila Babai. 
MAT.3.12	Eva, iriro migana la uaria ra kager a kilan a ga eba magegerang mirier pagap ganam o wit. Ga eba apamung wit na luguan o parak ang. Pa eba masuamang mirier panap ganam na kit la tale ime pu.”
MAT.3.13	Urie, na iriro tara Ioanes la man uavariam teip ga magaulap, Iesu la oulai provins Galili ga ula na danuot Ioridan. Ula Iesu ai Ioanes ga aulo Ioanes meba avareng. 
MAT.3.14	Pa tale naong Ioanes ga ugama, “Mumuru meba orala nuvietiap noun. Are mani ga munuo toi meba onala nuvietiap, a?” 
MAT.3.15	Pa upulo Iesu ties ang Ioanes, “Tie, tonairang me orala nuvietiap noun. Mumuru le mabuluo mirier pagap ganam Morowa la namo makosarbuong.” Tiesong Iesu gare tiro ga akeula Ioanes ga uavaria Iesu. 
MAT.3.16	Urie, na tara la uavaria ra Ioanes Iesu ga unum ga muo nakap, talet kagat ga inava panbinim gare non tabuna, ga agimaong Iesu Muranama ang Morowa la muo lourup gare non kobeng ga muo unama abuo Iesu. 
MAT.3.17	Pa non nigunama na panbinim la marikong ga ugama gare ro, “Iriro migana irie Poi ruang. Narung aime maset. Temeba dalap tuo aime.”
MAT.4.1	Urie, Ioanes la uavaria Iesu, ga tubiat Muranama Ila Babai la alagiong Iesu ga ula na pianam la karuk ma inamaniap una meba avuvuoang Satan. 
MAT.4.2	Iesu la tale kan parakong puoieng ira ma 40 ma lap na espan ga arubuap. Tubiat na iriro tara, tafaong me parak. 
MAT.4.3	Urie, muo Satan, migana o uvuvuo, meba avuvuoang Iesu ga ugama, “Leba migat ba nunuo Poi ang Morowa, tie manalava miriro tadasip meba terigimeng ga betmeng gare purun ga eba nom.” 
MAT.4.4	Pa upulo Iesu ties ang gare ro, “Babam ula puaru la igama,
MAT.4.4	“‘Purun it la tale kan puoieng meba ialang ninimiap maun teip ga magaulap. Mime omela ninimiap mar mirier tiesiap ganam la mumaio na nanam a Morowa.’” 
MAT.4.5	Tiesong gare tiro ga alagiong Satan ga ula Ierusalem na urio taun la babau, ga irilia nakap bo luguan o lotu. 
MAT.4.6	Ga aulo, “Leba migat ba nunuo Poi ang Morowa, tie tegonang me lourup pa eba tale naving. Memani, Babam ula puaru la tiesieng gare ro,
MAT.4.6	“‘Eba maalava angelop am nuo, ga eba nomela ma kilalap ma.
MAT.4.6	Babun makiraranung kibap nuo ira tadas ba.’” 
MAT.4.7	Pa aulo Iesu Satan, “Naptang! Babam ula puaru la inagat tiesieng gare ro,
MAT.4.7	“‘Baraba avuvuonung Ila Kakani, irie Morowa nuang.’” 
MAT.4.8	Tie, inagat alagiong Satan Iesu ga ula nakap bo non kavinama la mitara ula nakap. Ga masinguala ma mirier inamaniap ganam onim na uro kimanam ga pagap maiam mila mumurum. 
MAT.4.9	Ga ugama aime Iesu, “Leba makofnang dadebip nuo ga kumunang me lourup ga lotunang me toi, eba talam miriro pagap ganam noun.”
MAT.4.10	Pa ugama Iesu, “Satan, kusnang! Babam ula puaru la igama,
MAT.4.10	“‘Lotunang it me ai Ila Kakani irie Morowa nuang ga aviennang iriet namurit.’” 
MAT.4.11	Tiesong ara ga aulai Satan. Tie, non angelop am Morowa la mumaio ga umaiale abuo.
MAT.4.12	Urie, upto ra Iesu la umaiat ara a Ioanes ga maiabua na luguan o arubu, ga ina ula na provins Galili. 
MAT.4.13	Tie, oulai pianam ang Nasaret ga ula unama na taun Kaparenaum. Uriro taun Kaparenaum la iot na taralap o kin Galili na nap o Sebulon ga Naptali. 
MAT.4.14	Akosarong iriro paga me ties la uaramo Morowa na nanam a unuli Aisaia la betieng ga iario parak. La tiesieng gare ro,
MAT.4.15	“Teip ga magaulap na kimanam ang gar Sebulon ga kimanam ang gar Naptali kagarat labinim
MAT.4.15	na alang me na kin Ioridan na nap toma. Galili maiang teip mila tale ameit Morowa. 
MAT.4.16	Teip ga magaulap la maionama na arubu la agimameng ara lalabie ila kakani! Eva, betong ara lalabie mai teip ga magaulap la maionama na pianam ula arubu ga pianam o nuvarap.” 
MAT.4.17	Urie, na iriro tara, Iesu la puaro la man uaramo ties maun teip ga magaulap, ugama, “Marigiming dalap mi! Memani, kagarat ara inamon onim na panbinim ga Morowa la namo ualeng bo inamaniap onim na kimanam.” 
MAT.4.18	Ga Iesu la man unum na taralap o kin Galili, tie legimaong narain pavan, Simon, non bonim a Petro ga papa ang Andru. Man agoliong ubianama na kin, memani lime akosar butamat o nabira ma abulap. 
MAT.4.19	Are ratmat ga muo leulo, “Ei, mumang tomauluo, meba mesingtala o unulap ma teip ga magaulap meba tomeuluan ga omela ninimiap la iot atatan makin.” 
MAT.4.20	Tie, talet kagat ga aliolai ubianama ga lila aliuluan. 
MAT.4.21	Inagat unum ga ula ga ina legimaong non narain pavan, Iemes ga papa ang a Ioanes, lopien angan non migana Sebedaio. Man aidangliong ubianama ga man aiomliong ga ira liang. Ga lemarikong Iesu meba aliuluo. 
MAT.4.22	Tie, kabuat it oliolai obinam ga mamo liang ga lila aliuluan Iesu.
MAT.4.23	Maiteong ara Iesu nagala ma lop o usingnualap am. Urie, ula kaliong na mirier napup o provins Galili. Ga man masinguala teip ga magaulap tapma na luguap o usingnualap maiam Iudaiap. Man uaramo bais ula muru ang Morowa la namo ualeng mabuo teip ga magaulap onim na uro kimanam. Ga mamumuriraong teip ga magaulap la tafameng, ga non tafaiap ganam gat. 
MAT.4.24	Are ratmat ga papot teip ga magaulap la gasmeng ma pagap la makosarong ga iriro gas la ula na mirier napup ganam na provins Siria. Are ratmat ga maialam teip ga magaulap inamaniap mila tafameng ma non ara non ara tafaiap, ga mirie la omela ngitngit ula kiro, ga mila maiobu muranap mila kiram mana ga mila gogomeng ga mila mevara mualap ma. Eva, mumaio maialam aun Iesu, ga mamuriraong mirier teip ga magaulap ganam. 
MAT.4.25	Are ratmat ga papot ma garip onim na provins Galili ga garip onim na taun Dekapolis ga taun Ierusalem ga inamaniap la maionama na provins Iudaia. Ga mirie la maionama na taralap o danuot Ioridan la menum ga mela ameuluo.
MAT.5.1	Urie, Iesu la agimaong gar ila kakani ma teip ga magaulap la mumaio nebolameng. Are ratmat ga ula unama na taralap a non tatak pugama, tie man unama ga mumaio lop am o usingnualap ga maionama kagarat ai.
MAT.5.2	Tie, Iesu la masinguala ga ugama, 
MAT.5.3	“Teip ga magaulap la omeit la tale kan memaning paga ba meba amama Morowa ‘temaieng’, eba malaminaismeng. Memani, inamon onim na panbinim la maiong. 
MAT.5.4	Teip ga magaulap la giginam dalap ma ga meliba ga maionama, eba malaminaismeng. Memani, Morowa leba muong ga mavuvutaling dalap ma. 
MAT.5.5	Teip ga magaulap la tale mime pringesnges, pa tekapirmeng kabirana ma inamaniap, eba malaminaismeng. Memani, eba alang Morowa uriro kimanam maun meba maionang ubuo. 
MAT.5.6	Teip ga magaulap la mitara tafameng aime tavuk ila puvuvui ang Morowa are migana la tafaong me parak ga namo tapo o burunam, eba malaminaismeng. Memani, eba masuvarang Morowa dalap ma a iriro tavuk ang ila puvuvui. 
MAT.5.7	Teip ga magaulap la mime kadik me non teip ga magaulap, eba malaminaismeng. Memani, tubiat Morowa leba kadikang maime na tara o ties ula kakanu. 
MAT.5.8	Teip ga magaulap la babaum na dalap ma, eba malaminaismeng. Memani, eba agimameng Morowa (malagiang ga onang ga mirie). 
MAT.5.9	Teip ga magaulap la mime akosar malina kabirana ma teip ga magaulap, eba malaminaismeng. Memani, Morowa la eba amama, ‘Mimi lop tuam, migat.’ 
MAT.5.10	Teip ga magaulap la ameuluan tavuk ila puvuvui ga maiavio ngitngit na kilalap ma non inamaniap, eba malaminaismeng. Memani, inamon onim na panbinim la maiong. 
MAT.5.11	Leba kikismeng inamaniap la naganming ira ruo ga omiuluo ties tung, ga tiesmeng kikirat me ira mi ga mikirarameng ga mivuremeng ma non tiesiap okakarabunim, eba malaminaismeng. 
MAT.5.12	Eva, tegoming ga temiba maset. Memani, Morowa eba alang uniap miun na panbinim. Omit, tinan la makalameng teip unulip ga makirarameng gare rie. Ga ualo Morowa uniap ula kakanu maun.”
MAT.5.13	Tie, Kamina gare tes maiong inamaniap na uro kimanam. Pa leba karuk ba ume boboinim o tes, tie eba mani le akosarming meba ina miarang boboinim o? Karuk kan! Tes lare tiro la karuk ara o ubi ba ieng. Mimet ogo inamaniap na kimanam, ga mime obutbut ma kibap ma. 
MAT.5.14	Mimi la are lalabie maiong inamaniap na uro kimanam. Are ratmat ga masingmiala teip ga magaulap o alang la ila ai Morowa. Non taun la iot tatuan bo tatak pugama la tale kan puoieng meba kagoiring. Teip ga magaulap la puomeng meba ogimameng maset. 
MAT.5.15	Teip ga magaulap la tale kan mime maialabie lalabie ga maiabung upat falo ba. Karuk. Mime maiabu nakap bo luaga, meba alang lalabie maun mirier teip ga magaulap la maionama na luguan. 
MAT.5.16	Are tie, makosarming tavukup mila mumurum na irap ma teip ga magaulap meba betmeng gare ba lalabie. Leba akosarming gare ro, tie eba agimameng iriro tavuk ila mumuri la amiuluo, ga eba maiaving bonim a Mamo ming la unama na panbinim.
MAT.5.17	“Tie, baraba agatming ga mima muruo meba ovukutara maimai ga ties maiong unulip. Karuk. Tale kan muruo meba ovugutara, pa muruo meba ovuorang migat. 
MAT.5.18	Mirulor migat, puoieng na tara la uabua ra Morowa me panbinim ga kimanam leba no ba. Pa karuk kan a noba tatak nap o umir na Babam ula puaru o noba tatak kaguma o maimai leba no ba. Karuk. Pa maimai leba iot garet tie puoieng me mirier pagap leba makosarang Morowa ga betmeng migat. 
MAT.5.19	Are ratmat ga leba noba migana le avugutuara noba tatak it nap ma miro tiesiap o maimai, ga eba masingala inamaniap ma pagap la makosarmeng gare rie, tie bonim a irie migana eba kakapio ba migat na inamon onim na panbinim. Pa migana leba ouluan maimai ga masingala inamaniap meba omeuluan, tie eba kakanu ba bonim a na inamon onim na panbinim. 
MAT.5.20	Mirulor, leba noba tavuk ming ila puvuvui la tale akurupin tavuk ila puvuvui maiang Parasaiop ga teip o agat o maimai ang Moses, tie tale kan puoming meba mila miobung na inamon onim na panbinim.”
MAT.5.21	“Tie, mipta Morowa la maulo eap mim tinan gare ro: Baraba nunamua migana ba ga aving. Leba noba migana la unamua noba ga aving, eba dusang na ties. 
MAT.5.22	Pa mirulor, migana leba papamnam ba dalap a me ira papa ang, eba dusang na ties. Migana leba tiesang kirat me ira papa ang, eba dusang mai teip mila kanim mila uke. Pa migana la ugama, ‘Nunuo migana ila ngongong’, eba ala na kit o iou.
MAT.5.23	“Are ratmat ga leba nalang lavang nuang na luguan o lotu ga nuga nabung bo luaga o bais, ga anaginung non papa nuang la amaning bukbuk me ira nuo me paga la akosarnung ira a. 
MAT.5.24	Tie, anolaing ka iriro lavang nuang ga ot ka kagarat ai luaga o bais. Ga nala ga ovuvutnaling uriro giginanim ga irie. Leba ovuvutnaling ara, tie nala bat nalang lavang nuang aun Morowa. 
MAT.5.25	Leba noabung migana ba na ties ga man manum ka na alang, tie, kakalait okosarnang malum meba iot kabirana me. Babun nouabu iriro migana na kilan a ias, pa ias leba noabung na kilan a migana ila uabua begat, pa migana la uabu begat la eba noabung na luguan o arubu. 
MAT.5.26	Mirulo migat, leba tale mipulam mirier sinauanip mim ka lake, tie tale kan puoming meba amiolaing luguan o arubu.
MAT.5.27	“Tie, amit ara Morowa la maulo eap mim gare ro, ‘Baraba okosarming sadak.’ 
MAT.5.28	Pa mirulor gare ro, Man migana la ogimaong non magabun ga agatong meba duriang ga urie, iriro migana la orupuaba ra maimai o magi na dalap a ga okosarong kirinim o sadak. 
MAT.5.29	Miptang! Pa irama nuo ila lamige leba noaranang me na kirinim, tie aluoknang ga agonang. Mumuru le noba nap ma neip nuo le karuk ba aime, ga eba tale okosarnang kirinim meba tale nogoang Morowa ga neip nuo na kit o iou. 
MAT.5.30	Pa kilan nuo ila lamige leba noaranang me na kirinim, tie agiripnang ga agonang. Mumuru le namurit ba nap ma neip nuo le karuk ba aime, ga tala kan okosarnung kirinim, ga tala kan nogoang Morowa maun neip nuo na kit o iou.
MAT.5.31	“Tie, tinan kan la tiesong Morowa gare ro, ‘Migana la namo ogoong kuala ang, lake alang babam ba un me ukirip o magi.’ 
MAT.5.32	Pa mirulo: ‘Migana leba namo oulaing magabun ang, pa magabun ang la tale okosarieng sadak ba, tie iro migana la okosarong ga orupiaba maimai o magi. Memani, iruo tavuk la okosarong urio magabun meba okosarieng sadak. Pa non migana leba magiang iro magabun ba la ogoong lai iang tinan, tie irie la orupuaba maimai o magi ga akosarong tavuk o sadak.’”
MAT.5.33	Tie, inagat tiesong Iesu gare ro, “Non ties la ualo Morowa maun eap tinan la igama: Baraba mikarabum na tara la miva ituan. Leba namama, ‘Migat tatuan.’ Meba akosarnang paga, tie onouluo uriro ties ga okosarnang me ai Morowa. 
MAT.5.34	Pa mirulor: Buat milo migat tatuan. Karuk kan. Baraba mivo bonim panbinim meba ongangasming ties la miga tiesming. Memani, panbinim la pianam la unama Morowa una ga uale bo mirier pagap ganam. 
MAT.5.35	Baraba mivo bonim ‘kimanam’ meba ongangasming ties ba la miga tiesming. Memani, uriro kimanam la ume uabua Morowa kiban a nakap ubuo. Are gat to, baraba mivo bonim ‘Ierusalem’ meba ongangasming ties la miga tiesmeng. Memani, iriro Morowa natauan Orong migat, irie la okosarong uriro taun ga ang it. 
MAT.5.36	Ga baraba mivo bonim ‘bugam tuo’ meba ongangasming ties la miga tiesming. Memani, tale kan puoming meba akosarming kavuruma ba ma bugabip mi meba betang ga pasokang o pupuli ba. 
MAT.5.37	Pa tiesming it ‘migat’ o ‘karuk’. Aret tiro la puoieng ara. Man ties la namo ongangasming ties la namo miaramang, betieng ira karorama.”
MAT.5.38	Urie, Iesu la tiesong gare ro, “Mipto ra la aulo Morowa ea ming tinan gare ro, ‘Migana la akiraraong irama a noba migana, tie inabun akiraranang irama a. Pa leba noba migana la akofong logima a noba migana, tie inabun akafnang logima a.’ 
MAT.5.39	Pa mirulor: Baraba mipulo kirinim ang migana la okosarong ira mi. Karuk. Leba apadunang migana ba munama nuo, tie inabun ariginang non munama nuo ga nalang aun.
MAT.5.40	Pa leba noba migana la namo noabung na ties ga arang buruma nuang, tie baraba nenunam ga irie, pa nairang meba arang irop nung gat. 
MAT.5.41	Ga leba mamarani ba migana ba ira nuo meba namung ga irie puoieng ira namurit kilometa, tie nala ga irie puoieng ira lie narain kilometapien. 
MAT.5.42	Ga leba noba teip o magaulap mila baim la mumaio mi ga mimeikang meba makamming paga, tie magamming meba magamilie. Pa noba teip o magaulap la namo maiarang sinauan maiong miun, tie baraba mialam ibup mi ira ma pa magamilie.”
MAT.5.43	Urie, Iesu la man tiesong ka gare ro, “Mipto ra tinan la maulo Morowa eap mim gare ro, ‘Nanang maset me migan nuang, pa abuknala karorama nuang.’ 
MAT.5.44	Pa mirulor gare ro, Naming maset me karorap mim, ga marikming meba maboaving Morowa teip ga magaulap la mime akosar tavuk ila kire ga namo maialo giginanim miun. 
MAT.5.45	Leba akosarming gare ro, tie eba mionang gare ba poi ang Mamo ming ituan na panbinim. Memani, irie la ume akosar efan meba alabie nakap bo inamaniap mila kiram ga inamaniap mila murum gat. Ga ume akosar afarat ga ume ulum bo inamaniap mila murum ga bo inamaniap mila tale murum gat. 
MAT.5.46	Tie, leba naming it maime inamaniap la mime na me milam, eba omila man uniap? Miptang, teip mila mime mamela kakepup maun inamaniap mime okosar gat garet tie. 
MAT.5.47	Ga leba mialang ‘la ula muru’ maun papap mim it, eba makurupmiling non inamaniap are mani? Inamaniap mila tale ameit Morowa la mime gat okosar gare rie. 
MAT.5.48	Are ratmat ga maset le akosarming tavuk ila muri maset gare Morowa Mamo ming na panbinim la ume akosar tavuk ila muri maset.”
MAT.6.1	Urie, Iesu la tiesong gare ro, “Temamalienming! Baraba makosarming tavukup mim mila murum na irap ma teip ga magaulap meba migimameng la akosarming tavuk ila puvuvui. Leba okosarming gare tiro, tale kan puoming meba omila uniap aun Mamo ming la unama na panbinim. Memani, teip ga magaulap la maiavio bonim nuo ga uriro are uniap ara nung. 
MAT.6.2	Are ratmat ga leba mialam pagap maun inamaniap mila baim, baraba asagaming noba migana meba ala ake me milam ga marikang ga aramang paga ba la nuga akosarnang meba magamilie non inamaniap. Karuk. Memani, iriro tavuk la mime akosar non teip tapma na luguan o usingnualap ga na alangip. Miriro teip namo mavanameng inamaniap tapmat, meba agatmeng mirie teip mila murum ga maiavim bop ma. Mirulor migat, miriro teip la omelar uniap maiong na uro inamon. (Are ratmat ga Morowa la tale kan puoong meba alang paga ba maun tubiat.)” 
MAT.6.3	Leba naming meba magamilie inamaniap mila baim, tie okosarming na tara la tale maionama inamaniap kagarat mi ga migimameng la okosarming. 
