GEN.1.1	Nemetva seilva owai, mani mani lohvnamoa, wo Sesoava sism vena ovm petham manam manam. 
GEN.1.22	Doa Sesoava awothowol vena, unna, yeoa onganglara towand vislihavm, verava, wanplombra kekel vethara, wo tuawamba unna, yeoa neraoa mindnam pho. 
GEN.1.23	Doa sia kilvranamba, lingil lihanamba, wo os simba 5pelara doa penngiliha vungana.
GEN.1.24	Doa henga Sesoa ona, tata mani mani phongavra hona pethara, deuvrini, sungeitrini, eusil noi mani mani, eva mendekli noi mani mani. 
GEN.1.25	Wo osoa vewol vena tatam manam manam, wo Sesoava nongalna, lehra.
GEN.1.26	Doa henga Sesoava ona, indhanam pioa vewol velvohra, wo himba si os undna avav, men piv avm. Hev si kuwulva wulvahunvav tambkona, tuawana, wo eva tatana.
GEN.1.27	Wo Sesoava indhanam vewole, os hev ten undna avm, doa tendorinim ungevlirinim vewolna, 
GEN.1.28	awothowolna, ona, yeoa towand evevm, verava, yetindioa hona petharaoa kekel vethara, si hengas beswonam vaohuthuivav. Yemba kava vinv, osm yimba si vaohohothovav tambkom, tuawam, tatam manam manam hona petharava.
GEN.1.29	Wo Sesoava os henga unna, ehello, innemba yenamba men luhunv hona pethara, nelus, timov mani mani, yemba doa kava vewol vinna, doa eneo. 
GEN.1.30	Tatana innemba tuawanamba men luhunv, pos, tevla, timov, hem kava vewol vinna memba.
GEN.1.30	Wo Sesoava osva onamba, osoa phona, 
GEN.1.31	wo hev momo vena, indk vethavna, lehrangas kava vena ovrava, petharava, wandava, porava, sungeitrava, deuvrava, beswonamangas kava vena. Doa sia kilvranamba, lingil lihanamba, wo os simba 6pelara doa penngiliha vungana.
GEN.2.1	Doa osva Sesoava vewolna ovm petham, wo indakonda hevnavhora lohpravna, mani mani mani. 
GEN.2.2	Doa sapturava Sesoa nonglana, ona, andrava kavnamba doa kava vepiana, hengava kava ata andra vevavmoa. 
GEN.2.3	Ona, andrava kava vungavnamba, englava kava tatongavna, venamba, mongona englava mongasal tovhoana. Wo noinda himba saptumba hevelm kanothona no minguram, no minguram osangas. Osm annind annind pethanindva kamba ningminivra, sembayangna okolawulangavra.
GEN.2.4	Yaweva (Sesoava) os vena ovm petham, wo moamba mongmomba men lohv os. Yawe petham ovm vena, 
GEN.2.5	pomba ovriniva mendah owai, wolaihapravnamoa, wo noinda sungeitva lohvnamoa. Indhanamba mendah owai, noinda osomba vivnamoa, wo noinda denwitva osonnamba owai, lohvnamoa petharava. 
GEN.2.6	Pomba hasvovnamoa, ambo pethamerini lohosa vena. Phonamba, vena, os gavna, os gavna, pethava uwulila vetha vungu vevna.
GEN.2.7	Doa Yawe petha psevra, tendorinilm noi weis vre. Doa povsiha vemnana lomosmera, noinda tendoriniva vavatan venamba, pholahanga.
GEN.2.8	Doa Yawe denwit wolana di mongona pethara, ten okomba pholohvm. Pethava nomba os nengthavna, Iten, wo no petharava, no tendorinim hev venam, di desvhoana hemba. 
GEN.2.9	Doa di hev tim ve, vevna snanovna snanovna, besal novna, besal movolva endwol vevna, hlalm.
GEN.2.9	Wo no denwitmusra mongova timovpa lohvna, honamba indhanariniva nevrava, si dahavavmoa, yunalm si wohamana vevav. Wo mongova eva lohvnata, honamba indhanariniva netava, hev si wohlihavav, memba mona besal, temba monakokla.
GEN.2.10	Wo mongo pomba diva livna Iten pethara, osm denwitmusrava noi sihavna. Doa nomini venamba, pomba nomba kalakula velaha, vena ihilvna, ihilvna, 
GEN.2.11	mongova os ningthivna Pison, mongova os ningthivna Gihon, mongova os ningthivna Tikris, mongova os ningthivna Yupretis.
GEN.2.11	Pomba Pisonmba weisming vrena mongom petham, os ningthivna Havila petha, wo diva golva lohvna, 
GEN.2.12	golva besal. Diva timba lovahvnamba, nenelva teihnungva besal vinvna, os uvna, deliam. Wo diva eva honmba nalohuku vevna, honmba nomba besal, wo diva mindnam lohv, os nengsm uvna, oniks.
GEN.2.13	Wo pomba Gihonmba weisming vrena mongom petham, os ningthivna Kus petha.
GEN.2.14	Wo eva pomba Tikrisva os gana, venamba, Asiria pethara nohalm, ten okomba pholohvm. Doa pomba mongova os ningthivna Yupretis.
GEN.2.15	Doa Yaweva no tendorinim desvhoana Itenda, omnana, denwitmusra hui ao, wo beswonam lengwol vawovm, kekalvho vewol vevm. 
GEN.2.16	Honaoa inneoa yeoa nevm, timov mani mani hona denwitrinioa. 
GEN.2.17	Heva os yimba manam nevav nomba timovpa, kava os ona, yimba netava, yimba pev si wohlihavav, memba mona besal, wo temba monakokla. Yemba kava ovomnav no timovpa, wo yimba netava, nonamba lohvav yenamba dahalmba.
GEN.2.18	Doa Yaweva ona, osva sahokla vev, tendoriniva hevhoangas amana vevra. Sehelm ka vemnara, ora hev, wo mongawulm ahamana evevra, andra evevra. 
GEN.2.19	Doa petha psevra, wo no pethanamba tuawam manam manam, tatam manam manam, nom os weis vewol vena. Doa nomba wongana, tendorinim os omnana, es yimba nihilva awowol vevav? Doa tendorini nihilm awowol ve, wo nihilva noi wohluhunvna. 
GEN.2.20	Vevna, deuvrinim awowol vena, sungeitrinim awowol vena, tuawam awowol vena. Heva os tendoriniva hevna sehelmba nonglanamoa, hev ahamana evelm.
GEN.2.21	Doa Yaweva tendorinim ninmind vrena, himba ninpolva livnamba, doa Sesoa almangkel tendorinina velavra, henga ehlathamnana nihilmba, 
GEN.2.22	doa ungevlirinim vena no tendorinina almangalnamba, tendorini indamba wainga.
GEN.2.23	Tendorini ona, pai, menta kanamba sehelva, snal men kav lohvm. Kelva henamba kana kellini, nihilva henamba kana nihillini. Sesoava kana kelna veiva, noinda yunam kava os awov, ungevlirinim, manara, tendorinina nihrini himba velavrana.
GEN.2.24	Doa nom lihvriv, tendoriniva aralavalmba pewolehawol veiva, wo ongali enewolkohowolvav, wo os hemba nilhawolvav mongawa nihnamba. 
GEN.2.25	Seilva nihps os ahamana evevna, louva evevnamoa, owai.
GEN.3.1	Yaweva manam manam vewol vena sungeitrava, wo saiholana moakokomomba, sungeitriniva an ata eva lipiangata owai. Doa saihola os osahmanana ungevlirinim, es hevpa Sesoava yemba tanam ovunnama, osva onama, manam yimba enevav honamba timovpa?
GEN.3.2	Ungevliriniva os ona, owai, kava enevra timovpa honamba, memba denwitva endungu vevpa, 
GEN.3.3	wo mongova temba lohvpa hovrava, kamba os ovunna, manam yimba enevav, manam yimba ekivravav, yimba enetava, nonamba luhunvav yenamba endahawolalmba.
GEN.3.4	Saihola omnana, owai osva, yemba si osva endahawolvavmoa. 
GEN.3.5	Yimba enerava nomba timovpa, yimba si tit evevavmoa, yimba si os elihavav, os ten hev Sesoa avm. Noinda yimba woh elihavav, memba mona besal, wo temba monakokla. Sesoava hevpa honam nengna, wo noinda yemba osva ovunna.
GEN.3.6	Doa ungevliriniva nom tim ona nonglana, pai, timba besal hevm lohv, movolva beswonam hlav, wo ata kava nerava, ata kava wohlihavav. Doa noinda puetve, puetvenamba, ne, wo tlalm waine.
GEN.3.7	Doa enenamba, elihana, wo hevm enonglowole, doa nonora, nihps pivva elohv. Doa fikvla mendekli kuendowol evenamba, evethowole.
GEN.3.8	Doa moakokonam ehellevna, Yaweva men lohmana vev denwitmusra, doa ekithoho tikmonam lounapenam, 
GEN.3.9	tendorinim osahanga vemna, yimba hi av?
GEN.3.10	Tendorini ona, yemba kava hellev, men denwitmusra, wo pem kava veiva, noinda kava kithav, kava nihps lohv. 
GEN.3.11	Yawe ona, es yimba veiva, wo noinda yimba elihav, yimba nihps lohv? Yimba dihi nei timovpa, nomba yemba temba kava ovunnamba a?
GEN.3.12	Tendorini ona, ungevlirini kana ongal, ye kam men vrahonam, he kamba timovpa putrahoiva, noinda kava nei.
GEN.3.13	Yawe omnana ungevlirinim, manara hevpa yimba honamba vei? Ungevlirini ona, saihola kamba wuho ovrei, noinda kava doa nei.
GEN.3.14	Doa Yawe saiholam omnana os, honamba yimba doa vei, eva yemba kava esesm henga venav. Kinwondava yemba kava plothomnav ora i. Yemangas kava sahokla vrev, tatamba owai, yemangas. Osm enangas yimba si lohmana vevra, wo klesal yimba si nelohmana vevav innemba, verava, yemba si os dahavav.
GEN.3.15	Yemba kava os venav, yimba ungevlirinina ungund, eva ungevliriniva yena ungund. Eva kava verava, yetindiva muskonam vinvra hona ungevlirinina towandmba, si yenam osangas yunalm. Honamba ungevlirinina towandalliniva si yemba nonglavrava, si yena kumba singthavav, wo yimba si hemba monglaval kangthovav.
GEN.3.16	Doa Yawe ungevlirinim omnana, timovpa yimba doa nei, noinda yimba enamba avrava, yemba si kinsombva mendekli plothomnavra. Wo yemba kelathamnavrava, otolmba lengalmba, nihsesoa yemba nonam si venavav kanamini. Si os kava vevra, heva os yimba mendah tlapevmba si os omnavav, kana tlal, hevna keusingi waiamana vevav.
GEN.3.17	Yawe tendorinim omnana, yimba doa ongapevna moam helleiva, wo ne timovpa, nomba temba yemba kava ovunnamba. Osm memba yimba evei, kava pethava si indkokla vrevav, wo innemba beswonamba si phovavmoa hevpa. Yimba si pev mendekli andra vevra aiv, yimba si os innemba nevra. Osangas vaomana vevrava, wo dahara.
GEN.3.18	Yimba osomba vevrava, wo mana vema si solna phovra, ilva si sahoklal phovra, os yimba osonnamba nevav. 
GEN.3.19	Andrava yimba si os vevav, vevra, ehala ve, wo innemba yemba os si phomnavra hona petharava. Yunalm yimba si andra vaomana vevav, wo vevrava, dahara, wo pethalm henga si yemba nilhavav. Tanam yemba kava pethana vena, wo pethalm yemba si henga mueisowa vevav.
GEN.3.20	Tendorinina nihilva Atam, wo Atamna ongalva simbepolva indkumbina ongana tendona, wo noinda osva ongalmba awona Ivm. 
GEN.3.21	Wo Yawe tatatov lombawol ve, doa Atamimba ongalimba kayenalm vewol vinna.
GEN.3.22	Yawe ona, hillu, tendoriniva honamba doa nei timovpa, noi hevm kava ovunnam. Neiva, doa wohlihav, memba mona besal, wo temba monakokla, os men piv liheivm. Doa manam hevpa murava gavav, ata homeis nevm honi mongo timov, kav ten os sevravm, honamba yimba nerava, yemba si dahavavmoa, si wohlohvav. Si homeis wohavm yunalm.
GEN.3.23	Noinda Yawe Atam wohwolaihapho denwitmusrini. Omnana, gao, osondra veo hona pethara, pevm men kav weis vrenam. Doa wolapho ve tlalongolm.
GEN.3.24	Doa diva denwitrava Yawe hevna ovsongolnindm mendeklim sandha, nohalm sandhana, ten okomba pholohvm. Wo hev ovla velahana, wo nomba ovlava hevm ambo imhravho vrowovna, nehramohra vevna suwemsna. Ovlava nomba, ovsongolnindva nomba os, si homeis indhanarini kohavm no tira, honamba yimba nerava, yemba si dahavavmoa, si wohlohvav.
GEN.4.1	Doa Atam ongalm wailimana ve, wo venamba, ongal ena avna. Anamba, otolm sleiha tuendisrinim, Keinm awona, ona, Yawe hev kamba awothonamba, wo noinda kava tuendisrinimba lengei. 
GEN.4.2	Wo henga sism Keinna boaslalm lengna, Apelm awona. Etel boaslal mendekli evewolnamba, wo Apelna andrava sipsipm dahwol vevna, wo Keinna andrava osondra vevna.
GEN.4.3	Doa dawonam Keinmba innemba sena hevna osoriniva, doa inga, Yawem sembayang venalm. 
GEN.4.4	Eva Apel heva hevnam sipsip otolm miklenamba yiveltowondmangas, hev noi naembul nihilnahonam holvogoamnana Yawem. Doa Yaweva Apelmba beswonam nonglana hena naembul nihilnahonam, os omnana, yenamba lehra, 
GEN.4.5	Keinm hevm, Keinna innem omnana, owai. Wo noinda Keinmba mindnam musk vevna, novlomosva sahoklaltov selthoana.
GEN.4.6	Doa Yawe omnana Keinm, manara yimba musk vev, manara novlomosva yenamba sahoklaltovpa selthoav? 
GEN.4.7	Yimba beswonamba vetava, ata kava yemba nihra pethata. Wo heva os yimba sahonamba vetava, nomba sahoklava si yemba yunalm kek vethawulavav. Yena sahoklava maim ora, sungeitwinde yeinda di murapeta lohv, yem helvelm vev. No sahoklaoa yeoa wuleiho, wuleiharava, yemba si kek vethawulavavmoa, owai.
GEN.4.8	Doa Keinmba Apelm boaslalm os ishomnana, pioa lohmana vilengai, wo Keini Apeli di posmusra elohvna, wo Kein phona, Apelm hevna boaslalmba helvakomandha.
GEN.4.9	Doa sism Yawe Keinm osahmanana, boaslapevpa hi av? Kein mosnamona Yawemba ishomnana, kava tit vev, yimba os nengvma, kava lohv, ambo kavna boaslam naengho vromana venalm?
GEN.4.10	Wo Yawe Keinm omnana, mani yimba vei? Boaslapevmba yimba doa helvakomandhai, wo noinda tovolva sovhopei petharava. Doa lohv, maim oi, indhanarinina moalamang petharini kam ishomnav, yeoa esesm veno.
GEN.4.11	Doa yem ka kinwonda plothomnav. Hona petharinioa wohgao. Tovolva doa pethamera gai, maim oi, indhanarini po nev. Pevna englana yimba doa sovhopipahi boaslapevna tovolva. 
GEN.4.12	Noinda innemba yimba wolavrava, phovavmoa beswonamba, wo deuvkembelva yenamba si owai, yimba si lohmanangas vevra.
GEN.4.13	Wo Kein Yawem omnana, khui, ambo kinwonda mendekli doa yimba kamba plothomnai, owai, es eva kava vevav! 
GEN.4.14	Men yimba kamba wohwolaihangav hona pethariniva, wo kava wohgavrava, yimba kamba hengava si nonglavavmoa. Deuvkembelva kanamba si owai, kava si lohmanangas vevra, wo indhanariniva kamba anongla vetava, kamba si os helvakomandhavav.
GEN.4.15	Wo Yawe omnana, owai, men kava yeindava ovunv, indhanariniva yemba helvakomandhatava, tanamolnam si kava mendeklikumbi kinwonda plothomnavav hemba. Doa Yawe Keinm nihtovra lohoh vemnana, indhanariniva anongla vetava, wo helvakomandhavavmoa.
GEN.4.16	Doa Keinmba wohgana Yawenaminiva, mongona petharam himba gana, os sevriv Not, nomba pethava. Notm os uv, lohmanangas ambo vev, wohavavmoa. Pethava nomba di lohv, okomba ten pholohvm Itenda nohalm.
GEN.4.17	Doa Keinmba ongalm wailimana ve, ongal ena a, wo otolm lenge tuendisrinim, os awona Enokm. Aralva kembel sva, nomba kembelva os sevrana Enok kembel.
GEN.4.18	Wo Enokva mendekli venamba, ombol pola, os awona Iratm. Wo Irat mendekli venamba, ombol pola, os awona Mehutaelm. Mehutael mendekli venamba, hena ombol pola, os awona Metusaelm. Metusael mendekli venamba, hena ombol pola, os awona Lamekm.
GEN.4.19	Doa Lamekva mendekli venamba, ongamba sambla dambtna, mongova Ata, mongova Sila. 
GEN.4.20	Atava sis Yapalm lenge, wo Yapalva mendekli venamba, hevtindi os andra vivna, sapim dahwol vivna, wo lailduvra shamana vevna.
GEN.4.21	Yapalna boaslalva Yupal, wo Yupaltindiva noi sis sangalnind, gitasangal vuvsangal vewuvmona vevna.
GEN.4.22	Doa Lamekna aslongo otolm lenge, os awona Tupalkeinm. Tupalkeinmba mendekli venamba, wo hevtindiva nonoanind, os vewol vivna ovlam mandm, no besinamba. Tupalkeinna muskovolva Nama.
GEN.4.23	Wo Lamek ongalm hevnam os unna Ataim Silaim, yeoa kana moam ehellevm, mongova tendo towondriniva kamba helveiva, wo doa kava helvakomandhai. Himba kam sang polavoiva, wo doa ka helvakomandhai. 
GEN.4.24	Henomba Keinmba helvakomandhatava, Sesoava henomba kinwonda mendekli si plothomnavav. Kamba henomba helvetava, si kava kinwonda snamemakumbi plothomnavav.
GEN.4.25	Doa Atamba ongalm henga wailimana vevnamba, otolm lenge, Setm awona. Aval ona, Sesoa kamba nengmanana, wo noinda mongo henga Apelna vuhera lohvhoai, ten Kein helvakomandhanam, noinda awona Setm. 
GEN.4.26	Wo Setva mendekli venamba, ombol pola, os awona Enosm.
GEN.4.26	Wo nonamba indhanamba Sesoana nihilnonoava seilva os sevra ovrivna, Yawe, wo sembayang hemba vimnivna. Doata.
GEN.5.1	Atamtindiva os nowana, wo men novol velohv. Sesoa Atamba vena, os hev ten lohvm, 
GEN.5.2	tlalm vena, ongalm vena, doa os vewolna. Vewolnamba, awothowol venamba, os awowol vena indhanamba.
GEN.5.3	Doa Atamba os ana, venamba 130pelara osomba, wo mongo ombol pola, ona aral hev telohvm, wo os awona Setm. 
GEN.5.4	Atamba os wohavna henga 800pelara osomba, wo otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.5	Wo Atamba anamba, 930pelara osomba os venamba, doa os wohdahana.
GEN.5.6	Setva os ana, venamba 105pelara osomba, wo ombolva pola, os awona Enosm. 
GEN.5.7	Setva os wohavna, henga 807pelara osomba lohmanavna, wo otolva os phomnavna tuendis mutundis. 
GEN.5.8	Wo Setva anamba, 912pelara osomba lohmanana, doa os wohdahana.
GEN.5.9	Enosva os anamba, venamba 90pelara osomba lohmanavna, wo ombol pola, os awona Kenanm. 
GEN.5.10	Enosva os wohavna, henga 815pelara osomba lohmanana, wo otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.11	Wo Enosva anamba, 905pelara osomba os venamba, doa os wohdahana.
GEN.5.12	Kenanmba os ana, venamba, 70pelara osomba lohmanavna, wo ombol polamnavna, os awona Mahalalelm. 
GEN.5.13	Kenanmba os wohavna henga 840pelara osomba, wo otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.14	Wo Kenanmba anamba, 910pelara osomba lohmanana, doa os wohdahana.
GEN.5.15	Wo Mahalalelva os amana venamba, 65pelara osomba lohmanavna, wo ombol polamnavna, os awona Yaretm. 
GEN.5.16	Mahalalelva os wohavna henga 830pelara osomba, wo otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.17	Wo Mahalalelva amana venamba, 895pelara osomba os venamba, doa os wohdahana.
GEN.5.18	Yaretva os amana venamba, 162pelara osomba lohmanavna, wo ombol polamnana, os awona Enokm. 
GEN.5.19	Yaretva os wohavna henga 800pelara osomba, wo otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.20	Wo Yaretva amana venamba, 962pelara osomba os venamba, doa os wohdahana.
GEN.5.21	Enokva os amana venamba, 65pelara osomba lohmanavna, wo ombolva os polamnana, os awona Metuselam. 
GEN.5.22	Enokva henga 300pelara osomba venamba, Sesoam mongawundna amana venavna, wo otolva phomnavna, vevna tuendis mutundis. 
GEN.5.23	Enokva os amana venamba, 365pelara osomba lohmanavna, 
GEN.5.24	Sesoai mongawulm ahamana evevna, wo Sesoa hevm waiwohgana hevindam Sesoaindam, wo indhanamba hengava nunglinamoa.
GEN.5.25	Doa Metuselava os amana vevnamba, 187pelara osomba lohmanana, wo ombol polamna, os awona Lamekm. 
GEN.5.26	Metusela os wohamana vevna henga 782pelara osomba, wo otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.27	Wo Metusela amana venamba, 969pelara osomba lohmanavna, os venamba, doa os wohdahana.
GEN.5.28	Lamekva os amana venamba, 182pelara osomba lohmanana, wo ombol polamna, os awona Noam. 
GEN.5.29	Hev ona, tanam Yawe doa doara hona pethava sahokla ovrena Keinna indkoklara, wo hona tuendisrini Noa si pimba kolvrowol vevav osondrarava. Noinda osva awona Noam. 
GEN.5.30	Doa Lamekva os wohavna henga 595pelara osomba, doa otolva os phomnavna, vevna tuendis mutundis. 
GEN.5.31	Wo Lamekva amana venamba, 777pelara osomba os venamba, doa os wohdahana.
GEN.5.32	Noava os amana venamba, 500pelara osomba venamba, wo ombolva samblamong vilomnana, os awowol vena Sem Ham Yapetm.
GEN.6.1	Doa indhanamba esvema ophovna, doa hona pethara pilivhoana, wo mutundisva eva os phonata. 
GEN.6.2	Wo Sesoanamba monglava ovsongolnindva nom mutundism nungeilvnamba, pai besal hevm, wo hevm avramana vevna hevna nengavnangna.
GEN.6.3	Wo noinda Sesoa ona, indhanamba nomba, si kavsongolva kava wonamana vevavmoa yunalmba hemba. Tanam ka daswolvna kavsongolva hemba, nonapopolmba almba. Heva os himba kalmba avnamoa, noinda himba si wohaevvavmoa eukwonamba, hemba si dalvav. Himba osomba si 120pelara vevrava, os dahavra.
GEN.6.4	Doa ovsongolnindva nomba mutundismba nomba avramana vevnamba hevmba, doa himba otolmba lengwol vivna. Wo nomba otolva sism nihva mendeklikumbi vilovnamba, himba indhanawonga wohavna, wo indhana owalva hemba eisho vruwuleinvna.
GEN.6.5	Doa Yaweva nongalna, pethanindva indkumbiva indhanakokla. Elsus undva henamba ambo sahoklal lovahinv, 
GEN.6.6+GEN.6.7	wo Yawemba kinwondana plothumnivna. Hev nengna, sahonam kava vewol venama, pethara sandhana, wo hona petharini kava si kelvapiangavav, si indhanamba lohhui, tatamba lohhui, tuawava lohhui. Kav venamba honamba, wo beswonamba lohvmoa, noinda kamba kinwondana yuhla wuleuvv. 
GEN.6.8	Noamangas Yaweva undna nengmanavna.
GEN.6.9+GEN.6.10	Noana moamba os lohv. Ombolva samblamong os phomnana, nihilva Sem, Ham, Yapet. Noava indhanarini besal, wo hevho besal lohvna Sesoana novra. Wo himba Sesoam mongawundna amana venavna. 
GEN.6.11	Monglava nomba indkumbiva indhanakokla Sesoana novrava, ambo ahalvamana nakra aevulvna indakonda kembella, 
GEN.6.12	wo Sesoava nongalna, indhanakokla memba aevulv.
GEN.6.13	Doa Sesoa Noam omnana, doa kava vevav, wo indhanamba si hemba wohsihavav. Himba ahalvamana nakra aevulv, beswonamba owai, noinda kava yunam wohkelvapiangalm vev pethanahonam.
GEN.6.14	Wo yeoa tioa besal dambo, wo botm veo pevm. Kameroa mindnam vewol veo meraoa, wo tenenna selvowol veo mera ambara, homeis si po sihavm. Osm veo, si sena posra velthalohvav.
GEN.6.15	Os veo hona botmoa. Hoanalva os 130pelara mita, wo ahnamba os 22pelara mita, wo indundva os 13pelara mita. 
GEN.6.16	Wo os velaihawol veo eneshatuvoa, okomba lovhoasihalm. Wo no eneshatuvpa vewol veo peitsingi. Wo tuvoa os veo ambarasis, wo merava vevta velahawol vulvongao samblamong, sengai hovra sena.
GEN.6.17	Wo pueumbva mendekli si kava wavvav, verava, pueumbva pethava ehlathavav, wo indhanam manam manam kelvapianga, petharava si owai, indhanamba tuawava tatamba, nomba vavatannamba, mongova avavmoa. 
GEN.6.18	Men kava yemba ishomnav, yemangas kava venglahav. Wo pueumbva provrava, no botmeraoa wonsihao ongapevm, towandpevm, kopevm, nonamba kava pomba wavvrava.
GEN.6.19+GEN.6.20	Wo yeoa tuawam tatam indakondam os holvorombol vevm. Henom tlalm ongalm, henom tlalm ongalm vewol vevm, wo mera wolasiha veo, wo beswonam aevulvra, pueumbva livrava.
GEN.6.21	Wo yeoa inneoa indakondana os meilna vinvm, pevnam, tuawanam, tatanam, dom hlewuvulm botmeram. 
GEN.6.22	Wo os vena Noava, Sesoa hev ten omnanam.
GEN.7.1	Doa Yawe mendah Noam ishomnavna, yemangas kava nonglav beswonamba, monglava nomba kamba sahokla vriv. Doa no botmera wonsihao, 
GEN.7.2	wo tataoa besalangas holvorombol veo, tlalva 7pelara ongalva 7pelara, wo tatamba sahoklal, tlal mongal, ongal mongal. Tatamba os holvorombol veo besal eva sahoklal. Besalva, tepev noi kam sembayang nona venavm. Sahoklalva, tepev noi kam sembayangva nona owai venavm. 
GEN.7.3	Tuawaoa osoa, tlalmoa 7pelara, ongalmoa 7pelara, noinda osoa veo, ata homeis sihapiavm, honita si hengava petharava towand vulsihavav.
GEN.7.4	Wo simba 7pelara penngiliha vewol verava, pomba si kava os wavvav, wo si os wohsithavav simba 40pelara okombanam sinim. Wo hona pueumbna si kava kelvapiangavav indhanam, tatam, tuawam, manam manam vavatannamba, nomba temba kava vewol venamba. 
GEN.7.5	Wo Noava osoa vena, Yawe hev ten omnanam.
GEN.7.6	Noana osomba os lohmanavna 600pelara, wo os phona, 
GEN.7.7	hev, ongal, ombtowondal, kol no botmera wonsihana. 
GEN.7.8+GEN.7.9	Doa osoa vena, tlal ongal tatamba besalva eva sahoklalva Noaindam ambanamba, wo hev wolasiha vena botmerava, wo eva tuawa mani mani. Wo osoa vena Noava, Sesoa hev ten omnanam. 
GEN.7.10	Doa simba penngiliha vungupianamba 7pelarava, doa pomba os wohsithana.
GEN.7.11+GEN.7.12	Doa pethava kawol vuku vevnamba, wo mellini pomba phungu vena os i, wo pomba ovriniva eva osta noshara sovhopevna i. Honamba os phona, tangal 17 vena, weisva sambla doara khuawolna, nonamba Noanamba osomba os lohmanavna 600pelara.
GEN.7.13	Pomba os wohsithana, wo nonamba doara mera aevulvna Noa, ongal, ombtowondal, kol samblamong. 
GEN.7.14+GEN.7.15+GEN.7.16	Wo tatamba doara wolasiha wonvenata, sungeitrini, deuvrini, eusil, mendekli, wo eva tuawamba indakonda, aralm avalm osangas wonvena, os Sesoa hevm doara omnanam. Doa Yawe hev tuvpa kulvunna.
GEN.7.17	Doa pomba os wohsithana, venamba, simba 40pelara penngiliha vungupianamba, wo heva os pomba sihavnamoa Noana botrava owai, pueumbva vongavnamba, 
GEN.7.18	wo botva sena velthalohvna pueumbsra.
GEN.7.19	Pueumbva os vongana i, venamba, olomba mendeklimba mera vethawol vena, 
GEN.7.20	henga vongana 7pela mitara doa. 
GEN.7.21	Wo mani mani pethariniva wohsihana, tuawam, sapim, tatam, indhanam indkumbimba nonamta wohsihana.
