MAT.1.1	Kristus Yesus, Zen teipsïn zini Daud Bak mo Auyan-tane.
MAT.3.7	Farisikam de gubirida gwen wenya hen Sadukikam de wenya
MAT.3.8	Zen in zep, em de Alap mo jala insa goltowen srëm hap, em ere mae mo lowehen karekna insa wet gulsun– dekam de emsa anakan tame tabin hipye, ‘Zen eiwa mes ëhaler.’ 
MAT.3.9	Em bahem anakan ëkïl gïl gwen, ‘Ëe an Abraham mo auyan-aza nakore nakake, zep asa molya Alap karek tabirki.’ Sap Alap maka eno mae mo weinak dep kaso-kasona ansa Abraham mo auyan-aza hap yang tabiꞌira. 
MAT.3.10	Sap Alap mo zer sonen Zini in Zen ano lure nakon hataꞌan zala, Zen mes hlala hohle gulu– dekam de tesya lu ta gwen hapye. Tenya men zen de eini ëtë srëm gweꞌak, desa sa ausu ennak lu tala, hëndep ki sa tïnsïk gwen srëm syauk hï-hïtïnnïk yal ta sera. 
MAT.3.11	Ëe weyakamë emsa baptis ta gwibiꞌin– dekam de em enaka anakan golëtrë gwen hap, ‘Ëe mesë ëre mae mo karek-karek nakon ëhaler.’ Hwëna ano lun kon Zen hataꞌan zaka, Zen Alap mo Enhokam sa emsa baptis ta gwibiri, hen syaukkum. Zen abon onakon teipsïn tanganna, zep zëno sepatu maesa de einblihan mae hap, ëe hen toton bëjënë. 
MAT.3.12	Zen joksa zirensïꞌïra– dekam de lënsa lën hap. Dangnak dena, desa yunak sa bïtï tala. Hwëna syaena men zen dang alp san altïꞌïk, desa tïnsïn srëm syauk bla san dep sa yal ta sera.” 
MAT.3.13	Dekam zep hen Yesus Galilea kon weyana Yordan san dep song gwe zaka, zao zep Yohanissi abe ta zaka, “Asa hen emki baptis tan.”
MAT.3.14	Hwëna Yohanis man baes gweꞌanka– Yesussu de baptis tan hap. Man zë gubluka, “Bian, diki dawemna Em de asa baptis tankam bap. Hwëna Em ba habe abon hatanan zala?– ëe de Emsa baptis tan hapye!”
MAT.3.15	Yesus ki zep hwëna ding gulbluka, “Em sap esa angkam Asa baptis tala. Sap zen dekam esa Alap mo dwam gwibinni kïtak su kul sonera.” Ki zep hëndep baptis taka.
MAT.3.16	Yesus kim dekon zïl heꞌan zaka, mumuk ennak zep nglïna hlang në hanak. Yesus ki zep Alap mo Enhona hlaul guku– kim mawana ohola mo kim Zëbon dep ati gwe ineꞌan zaka. 
MAT.3.17	Dekam zep hen Alap mo ola ësalsek,
MAT.3.17	“An ëre mo Tane– ëre mo dang tïnïnak de tanganna. Ëe ama tangan sam gwesïk gweblanan.”
MAT.4.1	Alap mo Enhona ki zep Yesussu zi srëm lang san dep zersong gweka– zëwe dikim dowal mo kïgï akasïblïn hap. 
MAT.4.2	Yaklana empat-pulu enkam Yesus tembane gwen srëmkam zëwe gwë gweka. Dekam usakna mes tangan sabak gweka. 
MAT.4.3	Hwëna dowal mo kïgïna dekam zep zë gublu zaka, “Em san Alap mo Tanesa hom?– zebe usak naban gwëꞌaraye. Kasona ansa emki gublundan– roti hap de ëjowen hap.”
MAT.4.4	Yesus ki zep hwëna ding gulbluka, “Alap mo olak man lwak,
MAT.4.4	‘Zini tembane en nakon hom lowehe gwenan. Hwëna tïngare Alap mo ola mensa ësane gwe-gwenan, zen dekon hen ki lowehe gwenan.’”
MAT.4.5	Dekam zep hwëna dowal mo kïgïna in Yesussu owaskam Yerusalem san dep zersong gweka– ëna mensa Alap orep Israelk de zi hip dam tasizimki, zëre hap de gol yawalsa de zë taun hup. Zao zep dowal mo kïgïna in Alap mo gol bolak drëne seka. 
MAT.4.6	Dekon zep etan gubluka, “Em san Alap mo Tanesa hom?– ki emki heya gwe inen. Sap Alap mo olak ebe hap dena anakan lwak,
MAT.4.6	‘Alap zëre mo dam taha nakore zisi sa emsa de dawem enkam kara ta gwen hap gubiridala.
MAT.4.6	Zëno mae mo taha tere san esa tënda gwera, zep em molye ba karek maena goltoweka.’
MAT.4.6	Zep em san ema Alap mo ola insa taïblïbiꞌira? Ki emki heya gwe inen.”
MAT.4.7	Yesus ki zep hwëna ding gulbluka, “Alap mo olak man hen lwak,
MAT.4.7	‘Bian Alapsa totoresa bahem anakare hap akasïblïn, “Wëhë asa mas gweblaꞌanka?”’”
MAT.4.8	Hwëna etan dekon ki zep Yesussu owaskam kwatap yawal san dep zersong gweka. Dekon zep tïngare auhu-kamanak de ïrïk gïnnï ansa goltrëblaka– hëndep zëwe de kire-kire dawem naban. 
MAT.4.9	Zao zep etan gubluka, “Insa ki hlauluda, ëe asa ebe hap kïtak tapbla gulblul– em de hwëna bi gwibin hip. Hwëna nonol bokle kom soblan naban em asa boltere tan.”
MAT.4.10	Yesus ki zep jala ban ding gulbluka, “Zi Golliwe Bak, em song gwen! Sap Alap mo olak man lwak,
MAT.4.10	‘Bian Alap ensa em boklena kom so gweblan,
MAT.4.10	hen Desa en em blikip gwesïk gweblan.’”
MAT.4.11	Hëndep ki zep dowal mo kïgïna in Yesussu hli ta guk halka. Hwëna Alap mo dam taha nakore zini dekam zep tembanekam mas nëblazak.
MAT.4.12	Yesus kim salka, “Yohanissi mes bwinak se dyaink,” dekam zep Galilea san ahulsuk halka. 
MAT.4.13	Dekam Zen hom zëre mo ëna Nazaret gwëka. Zen hwëna Kapernaumk gwë gweka– Ho Gutuna Galilea mo alpnak, Zebulon ne Naftali nik mo zi ausu mo langnak. 
MAT.4.14	Yesus insa zao gwëka, zen Alap mo dwam gwibin sin ki lwak– dekam de Yesaya Bak mo hamal hap de ol ayang gunnuk zaun hup, mensa anakan ayang gulkuke,
MAT.4.15	“Em in zene Zebulon ne Naftali nik mo ausu nakore zini lowe heꞌan,
MAT.4.15	hen Ho Gutuna Galilea mo ora alp san de wenya,
MAT.4.15	sap weyana Yordan mo men eihyanak de wenya,
MAT.4.15	hëndep Yahudi srëm zi ausu nakore zini men zen langna Galileak hen lowehe gwenan:
MAT.4.16	Em in zene angkam kawesïnnïk lowehe gweꞌan,
MAT.4.16	hwëna em esa sërkam de ngatan yawalsa hla kul.
MAT.4.16	Em in zene juwen zi mo lang kawesïnnïk lowehe gwenan,
MAT.4.16	hwëna ebon mae onak sa ngatanna yakla nwe de hata sezan makan emsa zïlsïbirida zala.”
MAT.4.17	Zep Yesus in kim Kapernaumk gwë gweka, dekam zep zë hëndep tawa tabinkim kon gwesibir hanaꞌanka. Man zë gubirida gweka, “Ere mae mo karek-karek nakon em ëhalen, sap Alap Zëna angkam man kon gwesïk hanaꞌara– teipsïnkïm de nësa ïrïk gïnkïmye.”
MAT.4.18	Yesus kim Ho Gutuna Galilea mo alp san gwë haꞌanka, dekam zep zë hogwe tahyo gwen zi darena akeꞌanka. Ahana Simon– men desa hen “Petrus”kum nen gweblanan, oso zem Andreas han. Ho gutunak iwe hogwesa jalakam zertahyoꞌanka. 
MAT.4.19	Yesus ki zep zë guzim zika, “Asa em ang ëblan. Ëe asa emsa zisi de hwëna lahyo gwen hap tawa sol.” 
MAT.4.20	Dekam zep hëndep jalana insa hli koso guk halka– Yesussu dikim hwëna ang ëblan hap.
MAT.4.21	Dekon kim deban zisong gweka, dekam zep etan aha zi darena akeꞌanka. Zen hen oso zeban zergwëꞌanka. Zen Yakobus ne Yohanis ne– Zebedeus Bak mo walas dare. Zen bi zik zëre mo bul tahannak zinikinꞌinka, jalasa zë zioto tasibiꞌinka. Zao zep hen desa kirekam guzim zika. 
MAT.4.22	Zen hen zao zep hëndep bulu insa hli kulki, hen bi zemka zëwe hli laka. Zëna dekam zep hen Yesussu ang ëblaka.
MAT.4.23	Yesus dekam zep tïngare Galilea mo langnak de ë-ëna zëre hon de ang ta gwen wenya in han ziamjanbir song gweka, hen zëwe Yahudi mo but srëm gol-gol san tawa tabir song gweka. Zen Alap Zën de ïrïk gïn hïp de ol dawemkam tawa tabir song gweka, hen kirekam-kirekam zi sang-sangsa dawem tabir song gweka. 
MAT.4.24	Galilea kon kim Yesus hup de ola insa tïngare Siria mo lang san nol haladak, 
MAT.4.25	Dekam zini beya tangan nik zep Yesussu ang në gweblak. Ahakon Galilea korena, ahakon lang bosena Ëna Dare Taha-tap korena, hen ahakon tïngare Yerusalem mo lang nakorena, hëndep ahakon weyana Yordan mo men eihya nakorena.
MAT.5.1	Yesus kim zi beyam-byana insa hlauludaka, dekam zep kwatap tek san hata seka. Zao zep zëre hon de ang ta gwen wenya ban zi trana insa zigolëteinikinki, 
MAT.5.2	zao zep tawa tabiꞌinka,
MAT.5.3	“Men zen zëre mae mo tahalhana Alap en hon ëblol gwe-gwenan,
MAT.5.3	zen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.3	sap zen zen Alap mo ïrïk gïnnï bi neibiꞌin.
MAT.5.4	Hen men zen angkam enlalana ëdowe hana gweꞌan,
MAT.5.4	zen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.4	sap Alap sa zëno mae mo enlala dowe hananna insa isrip-sri hap li ta sonezimdi.
MAT.5.5	Enlala sae-sae wenya,
MAT.5.5	zen hen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.5	sap Alap sa gubiridala– zen de hen okamana ansa bi gwibin hipye.
MAT.5.6	Men zen tïngare zi dikim enlala dam-dam enkam lowehe gwen hap ëdwam gwe tine gwenan,
MAT.5.6	zen hen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.6	sap lamkam men zëwe enlala dam-dam wenya lowehe gweꞌak, desa hen sa Alap gubiridala– zëwe de hen bïtï gwen hapye.
MAT.5.7	Hen men zen wal bose wal zemka kwasang neibirida gwenan,
MAT.5.7	zen hen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.7	sap kire zi hip Alap kwasang-kwasang zemka sa gol gwizimdi.
MAT.5.8	Enho lalak wenya,
MAT.5.8	zen hen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.8	sap zen zen sa Alapsa nërtower.
MAT.5.9	Hen zini men zen umlae enlalana nol halada gwenan,
MAT.5.9	zen hen isrip-sri gwibinnik lowehe gweꞌan.
MAT.5.9	Kire zini Alap sa gubiridala, ‘An ëre mo walas tanganna zen.’
MAT.5.10	Dawemsa de syal gwibinnik men desa karek da gwibirin,
MAT.5.10	zen hen isrip-sri gwibinnik lowehe gweꞌan,
MAT.5.10	sap zen zen Alap mo ïrïk gïnnï bi neibiꞌin.
MAT.5.11	Hen emsa kim abe hap de jal hap lamang da gwibiꞌik, hen karek da gwibiꞌik, hen boton olkam blo-blo da gwibiꞌik,
MAT.5.11	em hen dekam isrip-sri gwibinnik esa lowehe gwer.
MAT.5.12	Orep men zen Alap mo ola abare srëmnak ayang nul gwek, desa hen kirekam karek da gwibik. Zep em de hen kire kareksa goltowe gwenkam, em dawemkam ëisrip-sri gwe-gwen, sap ngein sin dawemna Alap mam tangan naka ebe mae hap ngatan zi mo langnak hamal gulzimꞌira.”
MAT.5.13	“Em an zene Abon ang ta gweꞌan, em okamanak san de hina kiye. Hwëna hina blëble gwenkam, dekam tembanesa dikim dërek gun hup dena man hom gwe-gwenan. Dërekna in de hom gwenkam, dekam zini bëjen ba mae hap dwam gwibin. Zen dekam zalta dep de hiri gun en hap dena. 
MAT.5.14	Hen em an okamanak san de tïngare zi hip de ngatanna kiye. Em hen dekam san de kwatap bolak de ëna kiye. Ëna in kore kam de ngatanna okama kawesïnnïk awe man zïl ine gwenan. 
MAT.5.15	Zen zep ere mae mo ngatanna bahem aning gul gwen. Sap zini bëjen pelita ngatannak yuna utuk gul sonen. Zen diki mejanak de lonenkam– dekam de golak de lowehen wenya in ngatannak lowehen hap. 
MAT.5.16	Zen in zep, eno mae mo lowe henna diki tïngare zi mo nwenak kirekam zen ngatan gwe-gwen– dekam deka eno mae mo lowehen dawemna insa hla nul gwek. Ki zen hen dekam sa ngatan zi mo langnak de Bian mo bosena teip nulsuk gweblal.”
MAT.5.17	“Asa bahem anakan kïl tïn, ‘Zen an Musa mo tïtï tabin olsa de wet gulsublun hap hata zaka,’ ahaksa, ‘Alap mo ol ayang gul gwen zi mo olsa de wet gulsun hup.’ Ëe wet gulsun hup homë hatazak. Ëe hwëna dawemkam de zëno ei nika ebe mae hap sul sonezimdin hibë hatazak. 
MAT.5.18	Zen in zebë eiwa denaka emsa gubiridaꞌan: Nglï naban kama naban de aumwa hap de yaklanak jek-jak nën srëmnak, dekam tïngare hamal hap de Alap mo ola sul sonen tangan nik sa lwal. Aha-ere ol-gun betek maena molya mae lwa kïnïk. 
MAT.5.19	Zen in zep, men nara tïtï tabin ola insa aha-ere ol-gun maesa ngip gunnu, hen men zen de anakan tïtï da gwibiꞌik, ‘Ansa sap esa ngip ul gwer,’ zen Alap mo ïrïk gïnnïk otde tangannak sa teinikin. Hwëna men zen de tïtï tabin ola in san ang ta gweꞌak, hen aha zisi desan de ang tan hap tïtï da gwibiꞌik, zen Alap mo ïrïk gïnnïk teipsïn-teipsïnkïm sa lowehe gwer. 
MAT.5.20	Zini sap man Farisikam de gubirida gwen zisi hen Musa mo tïtï tabin olsa de tawa ta gwibin zisi anakan kïl dï gwibirin, ‘Zen dawemkam Musa mo tïtï tabin ol san ang ta gwenan.’ Hwëna zëna desan zi mo nwe ennak ang ta gwenan. In zebë emsa gubiridaꞌan: Em de zëno mae mo kim ëk enkam Alap mo dwam gwibin sin ang ta gwenkam, ki em molye Alap mo ïrïk gïnnïk bïtï gwek.”
MAT.5.21	“Ena dwan mes-eme ëtawa gwek: Musa Bak dwan mes-am anakare ol jalse gwenna nëno mae mo auyan-aza hap ayang gulzimki,
MAT.5.21	‘Zisi bahem tan. Nara zisi tanna, desa hwëna em tok hap karek tan.’
MAT.5.22	Hwëna angkam Ëe ama emsa gubiridaꞌan: Men nara wal bose zemka jal gweblanna, kire zini Alap sa lamkam karek tala. Hen men nara aha zisi wakwak tanna, kire zini hen karek tan hap dena. Hen men nara wal bose zemka gublunna, ‘Em in enlala joblo-topna,’ kire zini zen tïnsïn srëm syauk bla san dep dena.
MAT.5.23	“Zen in zep, em de Alap hap kire-kiresa de golblan hap enlala gwenna, hëndep em de Alap mo golak golhatankam, hwëna dekone etan enlala gweꞌanam, ‘O hare ano wal bosyanna man-am ëre mo karek nakon asa gïl-gïl gweblaꞌara,’ 
MAT.5.24	ki kire-kirena insa emki Alap hap de golblan srëmnak teksonnak iwe hli yun. Nonol emki wal bose om in han eno karekna insa tap ulsun. Tap ulsunnuk, dekam etan lwa halza– dekam de kire-kirena insa enlala dawem naban Alap hap golblan hapye. 
MAT.5.25	Zen in zep, ere mo karek nakon de wal bose uk emsa gïl-gïl gweblanna, emki nabakam tap un. Tap un srëmkam, ki eno wal bosyanna in maka emsa teipsïn zinik klak taꞌara. Teipsïn zini in hwëna dekam maka zëre mo dam taha nakore jana zisi gubiridaꞌara– emsa de bwinak se tya irin hip. 
MAT.5.26	Eiwa denakaë emsa gubiridaꞌan: Em bëjen em dekon wet son– te-alana men ki en teipsïn zini in emsa gubluka, kire enkam de golblan srëmkamye.”
MAT.5.27	“Em dwan mes-eme Musa mo ol jalse gwenna ansa ësane gwe-gwek,
