MAT.1.1	O lil cai sicavel catar țîrdel‐pe o Iisus Hristos, o ciao le Davidosco, o ciao le Avraamosco. 
MAT.2.6	«Hai tu, Betleemona, phuî le Iudaschi, nai san o mai țîcno anda‐l thana le Iudasche; că anda tute inclela ăc Manuș Baro cai si te dichel Mîră manușăndar and‐o Israelo.» 
MAT.2.7	Atuncea o Irod dinea mui cioreal le magen, te phenen‐lesche andă save ghes dichline e cerhan. 
MAT.2.8	Dinea‐len drom c‐o Betleemo, hai phendea‐lenghe: Gian ta roden gi cana arachena le Ciauărăs; cana arachena‐les, aven ta phenen‐manghe, te avau te dav‐Lesche i me cocea. 
MAT.2.9	Pala so așunde so phendea‐lenghe o thagar teleardine hai eta, că e cerhan cai dichle la anglal othar cathe avile on, gialas angla lende gi cana aresli opral p‐o than cai sas o Ciauără. 
MAT.2.10	Cana dichle on e cerhan, ni mai daștinas dragostar. 
MAT.2.11	Ghele andră and‐o cher, dichle le Ciauărăs and‐ăc than le Mariasa, Leschi dei, hai perindos le mosa ch‐e phuî, dine‐Lesche cocea; camen cu fața ta descheardindos pe chisea, dine‐Les daruri: sumnacai, tămîia, drab cai handel șucar. 
MAT.2.12	Pala cadaia phendea‐lenghe and‐o suno te na mai nachen catar o Irod, hai boldinaile chere p‐aver drom. 
MAT.2.13	Pala so telearde ăl magi, ăc îngero le Devlesco sicadilo and‐o suno le Iosifosche, phenindos: Uști, le le Ciauărăs hai Lesche da hai naș and‐o Egipto, acio othe gi cana phenaua‐tuche me, c‐o Irod rodel te mundarel le Ciauărăs. 
MAT.2.14	O Iosifo uștilo, lea le Ciauărăs hai Lesche da, e reat, hai teleardo and‐o Egipto. 
MAT.2.15	Othe acilo gi pala so mulo o Irod, caște maladiol so phendeas o Del, andar o prooroco: «Anda o Egipto dem mui Mîră Ciaves.» 
MAT.2.16	Ta cana dichleas o Irod că sas thardo catar ăl magi, holeailo nasul, hai dinea drom te mundarel sauără ciauărăn cai sas and‐o Betleemo hai andă săuără gaua pașa, catar dui bărșa hai mai tele, pala‐l ghesa cai phendeas‐lesche ăl magi. 
MAT.2.17	Atuncea arachadilo so sas phendo catar o prooroco Ieremia: 
MAT.2.18	«Ăc dimos mui așundilo and‐e Rama, roimata hai jălimata but; e Rahela jălil pe ciauărăn, hai ni camel te mîngîila coniva că lache ciave mule.» 
MAT.2.19	Pala so mulo o Irod, ăc îngero le Devlesco sicadilo and‐o suno le Iosifosche cai sas and‐o Egipto, 
MAT.2.20	Hai phendea‐lesche: Uști, le le Ciauărăs hai Lesche da hai gian and‐o them le Israelosco, că mule codola save rodenas te mundaren le Ciauărăs. 
MAT.2.21	O Iosifo uștilo, lea le Ciaurăs hai Lesche da, hai avile p‐o than le Israelosco. 
MAT.2.22	Cana așundea că and‐e Iudeia si thagar o Arhelau and‐o than pe dadesco, le Irodosco, darailo te gial othe, o Del poruncisardea and‐o suno, hai ghelo and‐ăl thana le Galileache. 
MAT.2.23	Avile hai beșle and‐ăc foro, cai buciolas Nazareto, caște maladiol so sas phendo catar ăl proorocea poruncisardea că Ou buciola Nazarineano.
MAT.3.1	And‐ăl ghesa codola, avilo o Ioano cai bolelas hai vestilas and‐ăc than mulano le Iudeiaco, 
MAT.3.2	Phenindos: Pocăin‐tumen că pașilo o thagarimos anda o cero. 
MAT.3.3	Ou si cadaua anda caste o prooroco Isaia phendea: «O dimos mui colesco and‐ăc than mulano: Laciaren o drom le Devlesco, orton sea Lesche dromora.» 
MAT.3.4	O Ioano phiravelas ăc cavaghi cherdi anda o bal le cămilaco, hai pio mașcar sas phanglo ăc haravleasa. Ou halas lacusta hai avghin cai cherenas ăl biromdea and‐ăl vășa. 
MAT.3.5	Atuncea avile leste manuș cai beșănas and‐o Ierusalimo andă sauără Iudeia hai sea ăl pașarimata le Iordanosche c‐o pai. 
MAT.3.6	Hai sas bolde lestar and‐o pai le Iordanosco, phenindos pe bezeha. 
MAT.3.7	O Ioano dichleas că but anda‐l fariseia ha‐l saducheia aven te len lesco bolimos, phendea‐lenghe: Sapora samneache, con sicadea‐tumen te nașăn catar e holi cai si te avel? 
MAT.3.8	Cheren buchea cai te dichiol că fal tume nasul că cheren bezeha, hai sen bezehale, 
MAT.3.9	Hai te na pachian că daștin te phenen andă tumende: Amaro Dad si o Avraamo, phenau tumenghe o Del anda cal bar daștil te cherel ciave le Avraamosche. 
MAT.3.10	Eta o tover sas pusado tele cathar inclel o pomo hai orsavo pomo cai ni cherel rodo, avela cindo hai șiudino and‐e iag. 
MAT.3.11	Cabor anda mande me bolau tume paiesa caring e pocăința; ta Con cai avela pala mande si mai zuralo sar mande; Lesche ni aresau te înghiarau Lesco poghimos; Codoua bolela tumen Duhosa Ujo hai iagasa. 
MAT.3.12	Codoles si‐Les Leschi lopata and‐o vast si te șîlavel mișto sauără thana hai chidela p‐o ghiu and‐ăc hambaro, ta ăl bur and‐o ghiu phabarela‐le and‐ăc iag, cai ni merel. 
MAT.3.13	Andă codol ghesa avilo vi o Iisus anda‐i Galilea c‐o Iordano, te avel boldino catar o Ioano. 
MAT.3.14	O Ioano rodelas te na muchel‐Les hai phenelas: Me trăbul te avau boldo Tutar, hai Tu aves‐mande? 
MAT.3.15	Ta o Iisus phendea‐lesche: Much te cheras acana sea so si te avel. Atuncea muchleas‐Les. 
MAT.3.16	Hai sar sas boldino o Iisus cana inclisto avri anda o pai, o cero deschiailo hai o Duho le Devlesco dichilo sar muchlea‐pe tele and‐ăc porumbelo, avindos opral po Leste. 
MAT.3.17	Hai and‐o cero așundilo ăc mui cai phenelas: «Cadaua si Muro Ciao cai închearau prea but Leste, hai arachau sauără lacimos.»
MAT.4.1	Atuncea o Iisus sas înghiardo catar o Duho and‐ăc than mulano, hai othe te avel thardo catar o beng. 
MAT.4.2	Ta pala so postisardea saranda ghes hai saranda rachia, pala cadaia bochailo. 
MAT.4.3	O beng pașilo‐Leste hai phendea‐Lesche: Cana san Tu o Ciao le Devlesco, phen cal barănghe te cherdon marne. 
MAT.4.4	Ta Ou phendea: Hramome si: «Na sa marnesa trăila o manuș, hai catar orso dimos duma cai avel anda o mui le Devlesco.» 
MAT.4.5	Atuncea o beng înghiardea‐Les and‐o foro ujo, ciutea‐Le p‐o Templo, 
MAT.4.6	Hai phendea‐Lesche: Cana san Tu o Ciao le Devlesco, ciude‐Tu tele, că hramome si: «O Del poruncia Pe îngerenghe te aven le iachența pă Tute, on valena Tu pă‐l vast, caște na phaghes Che pîrne barăndar.» 
MAT.4.7	O Isus boldea‐lesche: Da mai si hramome: «Te na thardes o Raimos che Devlesco». 
MAT.4.8	Pala cadaia o beng înghiardea‐les p‐ăc plai ucio hai sicadea‐Lesche sauără thagarimata hai șucarimata le phuîache. 
MAT.4.9	Hai phendea‐Lesche: Sauără buchea cadala va daua le Tuche, cana ciudesa‐Tu mosa ch‐e phuî hai închinosa‐Tuche manghe. 
MAT.4.10	Atuncea o Iisus phendea‐lesche: Telear, bengana, că hramome si: «Che Devlesche te închinos‐tu hai numa anda Leste te cheres buchi.» 
MAT.4.11	Atuncea o beng muchlea‐Les hai eta că avile ăl îngerea ta slujinas‐Lesche. 
MAT.4.12	O Iisus cana așundea că o Ioano sas phandado, ghelotar and‐e Galilea. 
MAT.4.13	Teleardea anda o Nazareto, h‐avilo ta beșlo and‐o Capernaumo, pașa o pai and‐ăl thana le Zabulonasche hai le Neftalesche. 
MAT.4.14	Caște maladiol so sas phendo catar o prooroco Isaia, cai phenel: 
MAT.4.15	«E phuî le Zabulonaschi hai le Neftaleschi caring o pai o baro, părdal o Iordano, e Galilea le neamurenghi; 
MAT.4.16	Cada‐l manuș cai pașlionas and‐o calimos dichle ăc bari mome‐li hoapral pa cola cai pașlionas and‐ăl thana cai sas e ucial le merimaschi, inclel e momeli.» 
MAT.4.17	Dă cotar angle o Iisus astardea te predichil hai te phenel: Pocăin‐tume, că pașilo o thagarimos anda o cero. 
MAT.4.18	Sar nachelas o Iisus pașa‐I pai baro le Galileaco, dichlea dui phralen, o Simon cai phenenas‐lesche o Petro, hai lescho phral o Andrei, cai ciudenas pe mreaja te astaren macio, on sas maciarea. 
MAT.4.19	Hai phendea‐lenghe: Aven pala Mande hai cheraua‐tumen te aven pescara manușănghe. 
MAT.4.20	Sar așunde, muchle pe mreaje hai ghele pala Leste. 
MAT.4.21	Hai othar ghelindos mai angle, arachlea aver dui phralen, o Iacovo o ciao le Zebedeosco, hai o Ioano, lesco phral, sas and‐e corabia pe dadesa, o Zebedei, cai suvenas pe mreaje hai dinea le mui. 
MAT.4.22	Sar așunde, muchle e corabia hai pe dades, ta telearde pala Leste. 
MAT.4.23	O Iisus phirindos ăl droma le Galileache, sicavelas le manușăn and‐ăl sinagogi, predichilas e Evanghelia le thagarimoschi hai sastearelas orso nasvalimos hai covlimos cai sas and‐ăl manuș. 
MAT.4.24	Ghelo Lesco anau andă sauără Siria, hai anenas Leste sauărăn cai nasvalimastar chinuinas‐pe, colen cai sas bengaile, colen cai sas‐le nasvalimos ciauărăngo, colen cai sas covle andă pe mas ăl vast ăl pîrne, hai Ou sastearelas‐Ien. 
MAT.4.25	Pala Leste gianas but manuș anda‐i Galilea, anda‐e Decapole, anda‐o Ierusalimo, anda‐i Iudeia, nai părdal catar o Iordano.
MAT.5.1	Cana dichlea o Iisus cadichi manușen, uștilo p‐ăc plai ucio; pala so beșlo tele, Lesche ucenice pașile caring Leste. 
MAT.5.2	Hai lilea te del duma hai te sicavel‐le cadea: 
MAT.5.3	Fericime si cola cai si cioră and‐o duho, că lenghe si o thagarimos anda o cero. 
MAT.5.4	Fericime si cola cai roven, că on si te aven zurearde! 
MAT.5.5	Fericime si cola cai si covloră, că on si te len e phuî! 
MAT.5.6	Fericime si cola cai si bochale hai trușale pala o ceacimos, că on si te aven ceaile! 
MAT.5.7	Fericime si cola cai dichen avrendar, că on si te aven dichle catar o Del! 
MAT.5.8	Fericime si cola cai si lengo ilo ujo, că on dichena le Devles! 
MAT.5.9	Fericime si cola cai așipen avren, că on buciona ciave le Devlesche! 
MAT.5.10	Fericime si cola cai si prasame că si ujă, că lenghe si o thagarimos anda o cero! 
MAT.5.11	Fericime si te avel tumendar cana avena prasame, hai nașavena-tumen hai phenen numa nasul pe tumende, hohavindos anda muro anav! 
MAT.5.12	Bucurin‐tume, aven le ghesa lace, c‐o Del ni bistrel‐tumen, că sa cadea marde hai nașade i le proorocen cai sas angla tumende. 
MAT.5.13	Tume sen o lon le phuîaco; ta cana o lon hasarel pio lacimos, sosa aresela pale te avel lacio te longhiarel? Cadea că manai lacio cancesco numa te avel ciudino avri hai ușteado le manușăndar and‐ăl pîrne. 
MAT.5.14	Tume sen e momeli le manușănghi; ăc foro ciutino p‐o plai, naștil te aciol garado. 
MAT.5.15	Ăl manuș ni astaren e momeli te cion‐la tela‐i braghi, hai cion‐la te dichol‐pe sea and‐o cher. 
MAT.5.16	Sa cadea te dichol e momeli anda tumende angla‐I manuș, on te dichen tumare buchea ăl lace, hai te lăudin tumare Dades cai si opre and‐o cero. 
MAT.5.17	Te na pachian c‐avilem te rimou e Cris or ăl proorocen; avilem na te rimou, hai te împlinou. 
MAT.5.18	Ceaces phenau‐tumenghe: Angla te nachen o cero haie phuî, anda‐i Cris na te nachel ăc iota or ăc țîcni literachi gi cana împlinola‐pe sea. 
MAT.5.19	Cadea că orcon rimola ech anda e mai țîcne porunci, hai sicavela le manușăn cadea, buciola o mai țîcno othe and‐o thagarimos le ceresco; ta orcon închearela hai sicavela avren te închearen‐la, aven dine bare opre and‐o thagarimos le cerosco. 
MAT.5.20	Phenau‐tumenghe: Cana tumaro ujîmos ni nachavela o ujîmos le sicadinengo hai le fariseiengo, nai te intrin and‐o thagarimos le cerosco. 
MAT.5.21	Așunden că phendilo ande colenghe and‐ăl phurimata: «Te na mundaren»; orcon mundarela perela te avel phandado. 
MAT.5.22	Ta Me phenau‐tumenghe: Că orcon holeaol pă pesco phral perela tela‐i cris te avel phandado; hai orcon phenela pe phralesche dileia, perela tela‐i cris le sinedrioschi; hai orcon phenela san dilo, perela tela‐i cris le iagachi anda‐i gheena. 
MAT.5.23	Cadea că te cames te aves darasa angla o altaro, hai te gîndis tu că che phrales si‐les daici tusa, 
MAT.5.24	Much so andean othe, angl‐o altaro, hai gia anglal ta laciardo che phralesa, au pala codoia hai de chio daro c‐o altaro. 
MAT.5.25	Rode ta laciar sigo che buchea colesa cai ni san mișto so san lesa p‐o drom; te na lel tut te înghiarel tut ch‐e cris, e cris hai lenghe manuș te len‐tut hai te ciuden‐tut and‐o phandaimos. 
MAT.5.26	Ceaces phenau‐tuche: Nai te incles othar, gi cana pochinesa sea so san ugile. 
MAT.5.27	Așunden că phendilo and‐ăl phurimata: «Te na train and‐o lagiao, te maren tumaro șăro avrența.» 
MAT.5.28	Me phenau‐tumenghe: Orcon dichlea p‐ăc giuvli, te camel‐lan, cherdea bezeh andă pesco ilo. 
MAT.5.29	Cana e iach chiri e ceaci cherel‐tu te peres and‐o bezeh, incal‐la hai ciude‐la tutar, mai but si anda tute te hasares ăc iach, dă sar te hasares sea chio trupo hai te avel ciudino and‐e gheena. 
MAT.5.30	Ta cana o vast chiro cherel tu te peres and‐o bezeh, cini les hai ciude‐les tutar, că mai but si anda tute te hasares ăc vast, dă sar te avel sauără trupo chiro ciudino and‐e gheena. 
MAT.5.31	Phendilo pale: «Orcon muchela pe giuvlea, cana muchela te del‐lan ăc lil muchlimasco.» 
MAT.5.32	Ta me phenau‐tumenghe: Că orcon muchela pe giuvlea, after and‐oa cazo că gheli avre murșăsa, cherel‐lan sa oi te gial mai angle te marel pio șăro avrența, hai con lel codol giuvlea muchli cherel bezeh. 
MAT.5.33	Mai așunden pale că phendilo colenghe and‐ăl phurimata: «Te na des tu armaia hohamnes, hai te cheres sea so dean tu armaia te cheres angla o Del.» 
MAT.5.34	Ta me phenau‐tumenghe: Te na den tume armaia, nici p‐o cero, că pă leste si o Raimos le Devlesco; 
MAT.5.35	Nici pe phuî, că oi si cai ciol o Del Pe pîrne, nici p‐o Ierusalimo, că ou si o foro o baro le Thagaresco. 
MAT.5.36	Nici pă chio șăro te na des tu armaia, că tu naștis te cheres ăc bal calo or parno. 
MAT.5.37	Tumaro dimos duma te avel: So si, si; hai so nai, nai; hai so nachel pa cadala, avel catar o nasulimos. 
MAT.5.38	Așunden că phendilo: «Iach anda iachate, hai dand anda dandeste.» 
MAT.5.39	Ta me phenau‐tumenghe: Na contrin tume colesa cai camel te cherel‐tumenghe nasul; hai orsao del‐tut dab p‐oa mui and‐ăc rig, bolde‐lesche i col‐aver. 
MAT.5.40	Orsao camel te înghiarel tut ch‐e cris, hai te lel chi cavaghi, much‐les he vi chio gad. 
MAT.5.41	Hai te ciola‐tu te gias lesa ăc partea dromeschi, gia lesa dui parți. 
MAT.5.42	Colesche cai manghel, de‐les; hai colesche cai camel te des‐les ugilimasa daici, na bolde‐lesche ăl zeia. 
MAT.5.43	Așunden că phendi: «Te încheares ca sao si tuche pașă, hai te uris coles cai cherel tuche nasul.» 
MAT.5.44	Hai Me phenau‐tumenghe: Închearen ca cola save urin‐tume, den‐le duma dă mișto colen cai den‐tumen armaia, cheren mișto colenghe cai urin‐tume, hai rughin tume anda cola cai prasan‐tume hai nașaven‐tume, 
MAT.5.45	Caște aven ciave le Devlesche anda‐o cero, că Ou cherel te inclel o cham Lesco, i p‐ăl nasul i p‐ăl lace, hai del o brîșînd i p‐ăl ceace i p‐ăl benghe. 
MAT.5.46	Cana închearen numa ca cola cai închearen tumende, so pochin mai ajuchearen? Ni sa cadea cheren i ăl vameșa ăl bezehale? 
MAT.5.47	Hai cana len ande angali numa tumare phralen, so buchi laci cheren? Ni sa cadea cheren i col‐aver ăl neamurea? 
MAT.5.48	Tume aven devlicane, pala sar si tumaro Dad and‐o cero cadea aven i tume.
MAT.6.1	Aven goghiasa na cherdon că sen ujă numa te dichen‐tumen ăl manuș; cadea nai so pochin mai ajuchiaren catar tumaro Dad and‐o cero. 
MAT.6.2	Tume cana cheren po miștimos, na phenen sauărănghe sar cheren cola cioria and‐ăl sinagoga hai p‐ăl droma, caște barion and‐ăl leaca le manușănghe; ceaces phenau‐tumenghe că lile pi pochin. 
MAT.6.3	Tume cana cheren miștimos dacanicasche, te na gianel o vast o ceacio so cherel o aver vast. 
MAT.6.4	Tumaro miștimos te avel cherdo cioreal garado, hai tumaro Dad o Del dichel, hai Ou pochinela‐tumen. 
MAT.6.5	Cana rughin‐tume, na cheren cioria, te placiol‐tume cana rughin‐tume andă pîrnende ca‐l sinagogi hai p‐ăl droma, te aven dichle manușăndar; ceaces phenau tumenghe că lilen tumari pochin. 
MAT.6.6	Tu cana rughis‐tu, gia andră andă chio cher, phandadio anglal, rughisao che Dadesche, Cai si garado, hai chio Dad, Cai dichel‐tu garades cai san, Ou pochinela‐tuche. 
MAT.6.7	Cana rughin‐tume, te na phenen sa codol vorbe cai phenen‐len ăl neamuri, cai pachian că te phenena but le Devlesche avena așunde. 
MAT.6.8	Tume te na mean lența, că tumaro Dad gianel so trăbul‐tumen gi cana te manghen‐Lestar. 
MAT.6.9	Tume cadea te rughin‐tume: Amaro Dad, Cai san opre and‐o cero, ujo te avel Chio anau; 
MAT.6.10	Avel Chio thagarimos; cherdol‐pe so Tu cames, sar si and‐o cero te avel i pe phuî. 
MAT.6.11	Amaro marno orso ghesesco de‐les amenghe aghes; 
MAT.6.12	Hai iertisar‐amenghe amare doșa, sar i ame iertis colenghe cai cheren‐amenghe doșa; 
MAT.6.13	Hai na much‐amen te peras and‐o bezeh, hai durau‐ame nasulimastar. Că Chiro si o thagarimos, o zuralimos hai e slava, orcana. Amin! 
MAT.6.14	Tume te iertina ăl doșa le manușănghe, i tumaro Dad iertila‐tume; 
MAT.6.15	Ta te na iertina le manușănghe doșa, nici tumaro Dad ni iertila tumare doșa. 
MAT.6.16	Cana trăbul te beșăn and‐ăl ghesa cana ni han nici, te na sicadion tristo te na cheren cioria; te dichiol‐pe pă lengo mui, te dichen‐len ăl manuș, că on ni han andă codou ghes. Ceacimos phenau‐tumenghe, că lile pi pochin. 
MAT.6.17	Tume cana ni han and‐ăc ghes, huladion p‐ăl bal, thoven tume p‐o mui. 
MAT.6.18	Te sicadios că ni has na le manușănghe, hai che Dadesche cai dichel‐tu so cheres garado, hai Ou pochinela‐tu. 
MAT.6.19	Na chiden‐tumenghe barvalimata pe phuî, cai han‐le ăl cherme hai e rugina, cai roden‐le hai cioren‐le ăl cior. 
MAT.6.20	Ta chiden tumenghe barvalimos and‐o cero, cai ăl cherme hai e rugina ni rimon‐le, hai ăl cior ni hanaven‐le hai ni cioren‐le. 
MAT.6.21	Că othe cai avela tumaro barvalimos, othe avela i tumaro ilo. 
MAT.6.22	E iach si e momeli le corposchi; cana chi iach uji, sauără corpo chiro si momeli. 
MAT.6.23	Ta chi iach si nasul, sauără corpo chiro si perdo reat cali. Cadea că cana e momeli anda tute si reat cali, cabor dă baro si codou calimos andă tute. 
MAT.6.24	Coniva n‐aștil te cherel buchi ca dui gene, or uril ieches hai închearel mai but caver, or închearel iecheste hai niciol sama col‐avres: ni daștin te aven i le Devlesche i le mamonesche. 
MAT.6.25	Codolatar phenau‐tumenghe: Na înghiaren grija phenindos, so hasa or so piasa i or sosa hureadosa; nai tumaro ilo mai but sar o hamos hai tumaro corpo mai but sar o hureaimos? 
MAT.6.26	Dichen c‐ăl ciriclea le cerosche, on ni cion chanci and‐e phuî te bariol, nici ni chiden te avel‐le; ta tumaro Dad and‐o cero del‐le te han. Nai sen tume mai but dă sar lende? 
MAT.6.27	Hai sao anda tumende cai cherel peschi ghi nasul daștil te laciarel daici? 
MAT.6.28	Hai sostar te năcăjin tume anda o hureaimos? Dichen sar trăbul sar barion ăl crinuri le phuîache, on ni bolden hai ni suven. 
MAT.6.29	Ta phenau‐tumenghe că nici o Solomono, andă sauără barimos lesco nas hureado, sar ech cadalo crino. 
MAT.6.30	Cana cadea hureavel o Del e ciar, cai aghes si ta tehara avela ciudini and‐e iag, ni hureavela tumen o Del but mai but dă sar e ciar, tumen țîra cai pachian? 
MAT.6.31	Na cheren tumaro ghi nasul phenindos: so hasa, so piasa, or so hureavasa? 
MAT.6.32	Că sauără buchea cadala cola cai ni pachian and‐o Del roden le; tumaro Dad cai si and‐o cero gianel că trăbul tumen. 
MAT.6.33	Roden mai anglal o thagarimos le Devlesco hai Lesco ceacimos hai sauără calaver buchea dela‐le tumenghe opral. 
MAT.6.34	Na cheren‐tumenghe ghi nasul anda o ghes dă tehara; o ghes dă tehara anela‐pesche ou corcoro. Aresel orso ghes lesco năcăjimos.
MAT.7.1	Na judechin caște na aven judechime. 
MAT.7.2	Sar judechin, cadea si te aven judechime hai so pireasa cion, codolasa ciola‐pe tumenghe. 
MAT.7.3	Sostar diches tu e sulum and‐e iach che phraleschi, hai e rovli andă chi iach ni diches‐la? 
MAT.7.4	Or sar daștis te phenes che phralesche: Much te incalavau e sulum anda chi iach, hai eta că e rovli si andă chi iach? 
MAT.7.5	Cheres cioria, incal anglal e rovli anda chi iach, hai pala codoia dichesa mișto te incalaves e sulum anda‐i iach che phraleschi. 
MAT.7.6	Te na den ca‐l giuchel ăl buchea ujă, hai te na ciuden tumare mărgăritarea ca‐l bale, te na ușteaven‐le and‐ăl pîrne hai te bolden‐pe hai te ciunghiaren i tume. 
MAT.7.7	Manghen hai va dela pe tumen; roden hai arachena; maren hai si te deschiaol tumenghe. 
MAT.7.8	Orcon manghel, dela‐les, con rodel arachela, hai coa cai marel deschiaola. 
MAT.7.9	Sao manuș anda tumende cai cana manghel lesco ciao ăc marno, te dela‐les ăc bar? 
MAT.7.10	Or te manghel lesche macio hai ou te dela‐les sap? 
MAT.7.11	Acana, cana tume cai sen nasul, gianen te den buchia lace tumare ciaven, cabor mai but tumaro Dad opral and‐o cero, dela buchea lace colen cai manghen? 
MAT.7.12	Sea so tume camen te cheren tumenghe ăl manuș cheren lenghe tume mai anglal, că andă cadaia astardiol sea so manghel‐pe and‐e Cris h‐ăl proorocea. 
MAT.7.13	Gian p‐o udar o tang, că buhlo si o udar hai i o drom cai înghiarel c‐o merimos hai but si cai gian pă lende. 
MAT.7.14	Hai tang si o udar hai i o drom cai gial c‐o traio, hai țîra si codola cai arachen‐len. 
MAT.7.15	Den tume and‐ăc rig catar ăl proorocea cai si hohamne, on aven tumende hureade sar bacrea, ta andral si niște ru nasul. 
MAT.7.16	Pala lenghe rodurea pringianena‐le. Chiden ăl manuș dracha anda‐l canro, or smochina anda‐l canre? 
MAT.7.17	Sa cadea orso pomo lacio cherel rodurea lace, hai orso pomo nasul cherel rodurea nasul. 
MAT.7.18	Ăc pomo lacio naștil te cherel rodurea nasul, hai nici ăc pomo nasul naștil te cherel rodurea lace. 
MAT.7.19	Hai orso pomo cai ni cherel rodurea lace si cindo hai ciudino and‐e iag. 
MAT.7.20	Codolatar pala lenghe rodurea pringianena le. 
MAT.7.21	Na orcon phenela Manghe: Devla, Devla, avela and‐o thagarimos le cerosco, hai cola save cherena so camela Munro Dad and‐o cero. 
MAT.7.22	But phenena Manghe andă codou ghes: Devla, Devla, ni proorocisardeam ame andă Chio anau, hai ni incaladeam ame o beng andă Chio anau, hai ni cherdeam ame but minuni andă Chio anau? 
MAT.7.23	Ta Me si te phenau‐lenghe: Ci echvar tumen ni pringeandem tumen dă cana sen. Durion Mandar sea cai cheren bezeha. 
MAT.7.24	Codolatar, orsao așunel so Me phenau hai cherel‐le, gianau că si sar ăc manuș goghiasa cai vazdea pesco cher p‐o bar. 
