MAT.1.1	Abraham po aso, Dabhit po agijing, anang so Jisu Khristo asar-lar alekha alo bangpo lo.
MAT.3.7	Manta Pharisi hel pen Saduki hel anang dung baptist yok kiwangjap theksi, Johon po analiyok pulo, “Nali phurul badi angho abi kido abang, Arnam aneng akang kiwange para jok-une pusi ingho nali thano? 
MAT.3.8	La-apot nali aneng kachipharlep pamichangne athe kiwang katiki parane chipaklangot, 
MAT.3.9	aro Abraham po hali apa, puke nali neng chironnek; piyok pu tene ne naliyok thanbang, Arnam labang arlong hel parasi Abraham po aphan agijing pawang unman. 
MAT.3.10	Layok minonta thengpe akangri kuthar biwen do; la-apot jimehel athengpe akime athe wangwe, labang thudetsi, me-long phlong detman. 
MAT.3.11	Aneng kachipharlep aphan, ne ke naliyok lang along baptist otedo, manta ne phel kiwang jongpo neyok ta ajakong kidochot; ne anang keng-op kirung ponyok ta michangche; anangsi naliyok Jiuli-Kangthir long aro mepensi baptist ote ye. 
MAT.3.12	Anang balengpo me-atsi aphi pangthirsi do, anang sok rak thalsi biye, manta aphi hel ke jutjelen me-aten long pasek detne.”
MAT.3.13	La-amunsi Jisu, Johon po arideng baptist kachiplangyok, Galili para Jordon yok, Johon po adung yok wango. 
MAT.3.14	Manta Johon po anangyok tengklaksi pulo, “Nang parasi baptist kachiplang nange doman, lalesi nang nedungyoksi wangdo ma?” 
MAT.3.15	Manta Jisu ke puphak ngo, “Minonke labadine pachok sonang; piyok pu tene ladisi ahuwit Arnam dhorom kangthir kidopo pachok hlonge.” La-amun Johon po hoicholo. 
MAT.3.16	Aro Jisu baptist chiplang tang aphel, lajongsi lang para ingthuro; aro langot, ethakpe aduwar anangyok ingpu pilo, aro Arnam Jiuli-Kangthir yok wothum badi wangsunsi, anang phuthak wang kirikuk chithekngo. 
MAT.3.17	Aro langot, “Anang ne nengdok Aso, ananglong ne neng ingsam man,” labadi ethakpe alam asi wango.
MAT.4.1	La-aphel, Jisu long si-ik parasi honjat kilangpon ayok, anangyok ajiuli parasi ingnam aju ponno. 
MAT.4.2	Aro angkol-hini adin pen angkol-hini ajo an kihum aphel, Jisu an-chiro. 
MAT.4.3	La-amun si-ik anang dung wangsi pulo, “Nang Arnam Aso, tene labang arlong hel him kachiplang yok thanot.” 
MAT.4.4	Lalong Jisu puphakngo, “Munusi ke an pen detke hreng un-eh ye, manta Arnam angho para kiwang alamthe pensi hrenge,” labadi pusi kiwi do. 
MAT.4.5	La-aphel si-ik anangyok kangthir rongpe yok ponsi, Arnam ahem kartulchot long parjap damsi, 
MAT.4.6	aro anang yok pulo, “Nang Arnam Aso lo, tene nang alingyok wang chonnot; piyok pu tene lo-kangthir long wido, “Nang Arnam atharlonhel yok nang phan thane; aro nangkeng arlong athak kijangje ayok, la-amun nangyok ari pen wangdeng dun loknge.” 
MAT.4.7	Jisu puphak ngo, “Manta lo-kangthir longke pudo, nang Arnam Hemphu yok honjat langek.” 
MAT.4.8	Aro si-ik ke anangyok inglong longklam yok ponsi, pirthepe long ahuwit longri aro lalong kilang me pomar paklango; 
MAT.4.9	aro si-ik anangyok pulo, “Nang tarhukne, neyok chirdom, tene labang ahuwit nangyok piye.” 
MAT.4.10	La-amun Jisu anangyok pulo, “Damot! si-ik!” piyok pu tene lo-kangthir long kiwi do, ‘Nang Hemphu Arnam yok chirdom, aro anangsal detsi tiki.” 
MAT.4.11	Laparake si-ik Jisu yok tikango; aro langot, ethakpe atharlonhel wangsi anangyok al wang eno.
MAT.4.12	Minonke Johon po ayok nepsi akrol kibeng alam arjusi, Jisu Galili ayok damo; 
MAT.4.13	aro Najaret tikangsi, Jebulun pen Naptali ajat ahol long, langpe akung kido Kaparnaum rongso long dodamo; 
MAT.4.14	lake Jisoya turki po parasi kapathan alam chokpeno: 
MAT.4.15	“Jebulun alongri aro Naptali alongri, langpe akung aduwar, aro Jordan langjonpe ha aga apar kido angbong, Bang-ajat hel kido Galili, 
MAT.4.16	lake inghosi kangting long kido abang, anali akithe katha-ang isi thek hlongo, aro inghosi kithi alongri aro aben long kido, anali phuthakta Arnam katha-ang wano;” labang alamthe kichokyok labadisi chiplango. 
MAT.4.17	La-apor para Jisu Arnam alam kithan chengpono, “Aneng chipharlep mot; piyok pu tene ethakpe-alongri adung hetno.”
MAT.4.18	La-aphel Jisu Galili langpe akung-akung kidam amun, bang hini korte-muso, lake Simon po, anangyok Pitor po puta taramman, aro anang muso Andriu poyok, langpe long lan kiwar thekngo; piyok pu tene analike ok kirhi arleng kido. 
MAT.4.19	Aro Jisu analiyok pulo, “Ne phel wangot, ne naliyok arleng kirhi arleng inghole.” 
MAT.4.20	La-jongsi anali lan tikangsi anang phel phel duno. 
MAT.4.21	Aro anang lalong para damjongsi, prek bang-hini korte-muso lake Jebedi po aso Jems po aro anang muso Johon poyok, anali apa Jebedi po pen tilong athak anali lanhel chipademsi kido theksi, Jisu analiyokta taramo. 
MAT.4.22	Lalong analita la-amunsi tilong aro anali apa yok tikangsi, anang phel phel angduno.
MAT.4.23	La-aphel Jisu ajal-dungsi Galili alongri artingworsi, Jihudi Arnam ahem along paklangsi, Arnam-alongri kime-alamthe paharsi, arleng hel asitem kamprek kiso kilak aro ajat-jat kiso-kilak hel pamelo. 
MAT.4.24	Lalong anang kime katiki jortangpo Siriya alongridung chitha-ang det no; aro si-ik kachu-uh, tengrai kiso, atot kangwe kiso mehel prek-prek kiso-kilak aro duk-tap kido kiso arleng helyok anang dungyok wansi, anang analiyok pame detno. 
MAT.4.25	Aro Galili, Dekopolis, Jerusalem aro Judiya para, aro Jordon ha aga apar parata ako-ong arleng anang aphel aphel duno.
MAT.5.1	Jisu labang ratmaryok theksi inglong kartulpe athakyok damo; aro lalong iningo apot, adun hel anang dungyok wango. 
MAT.5.2	Lalong anang, analiyok kithan kipuyok chengponsi, ladi alam thansi paklang pono,
MAT.5.3	“Jiuli-long kachohrek abang bor-eh chokman; piyok pu tene ethakpe-alongri ke anali phansi!
MAT.5.4	“Aneng kadoho kido abang si bor-eh chokman; piyok pu tene Arnam anali neng pangsam me!
MAT.5.5	“Chingduk hopne kido abangsi bor-eh chokman; piyokte pu tene anali Arnam seme-kitang longri hlonge!
MAT.5.6	“Dhorom kangthir poyok kangchir aro kalang-ik abangsi bor-eh chokman; piyok pu tene Arnam analiyok aneng pangsam phlenne!
MAT.5.7	“Bangyok kajinso abangsi bor-eh chokman; piyok pu tene Arnam analiyok jinsoye!
MAT.5.8	“Aneng kachipangthir abangsi bor-eh chokman; piyok pu tene analisi Arnam yok thek hlonge!
MAT.5.9	“Kapangsam aphan pachingbar asal katiki abangsi bor-eh chokman: piyok pu tene anali yoksi Arnam asohel puye!
MAT.5.10	“Dhorom kangthir anat honjat kachichak hlong abangsi bor-eh chokman; piyok pu tene ethakpe-alongri ke anali phansi!
MAT.5.11	“Konam arlenghel hane natsi naliyok patharaknge aro honjat piye, aro naliyok ado pisi asisik thansi, ahuwit ajat-jat nali puye, la-amun nali bor-eh chokman.
MAT.5.12	“Anengrong aro lam-lun pen nengsam chipado, piyok pu tene ethakpe long nali banta ako-ong do. Piyok pu tene aporong turkihel pot badi kido, analiyokta arleng hel ladisi honjat kipi.
MAT.5.13	“Nalisi pirthimipe ingti; manta ingti lam plakngo, tene anangyok potbadi padok phak une? Labang la-amun parake isi asal meme, mokol yok kitidet, aro arleng hel dong sinek aphan si michangman. 
MAT.5.14	“Nalisi pirthepe akatha-ang. Inglong kartul athak kikem rongpe buti un-eh. 
MAT.5.15	Aro arleng me-lur pakarsi, pachi arlo bibesi, gosa athaksi biman; la-amun hem along kido ahuwityok patha-angman. 
MAT.5.16	Ladisi nali katha-ang arleng hel angot pachiklanot; lalong anali naliyok kime asal pomar theksi, ethakpe long kido nali Apa yok jortang piye.
MAT.5.17	“Ne kanong, lale turkihel alamthe kapangwe yok wangdo puke nali chironek; ne kapangwe yok ke wangwe yong, manta anali lamthe pomar pachokpleng yoksi wango. 
MAT.5.18	Piyok pu tene ne aserengsi nali thando, ethakpe aro pirthimipe prel detde lengke, aro kido kangwe chokphrot weleng ke, kanong kiwi alam itheta ingbobeye. 
MAT.5.19	Lasi, inghosi kanong hel itheta mengme, aro bang hel yokta la mat matsi pachirliman, anangyok ke ethakpe-alongri long pabekchotne, manta inghosi kanong hel mengsi tikiman, aro ladisi pachirliman, anang ethakpe-alongri long aghaichot pusi chiklane. 
MAT.5.20	Piyok pu tene ne naliyok pubang, kanong kapaklang aro Pharisi hel yokta nali dhorom kangthir ong-eh lengke, nali jatsi ethakpe-alongri long lutdun un-eh ye.
MAT.5.21	Aporong arleng hel angot kithan alam, nali arjuhlongo, “Nang arleng marihopot; aro inghosi arleng mariman, anang bisar-kahonthe long ado chiku hlonge.” 
MAT.5.22	Manta ne nali thando, inghosi anang korteyok aneng kang, anang ke bisar-kahonthe along ado chiku hlonge; aro inghosi anang korte yok sotongapo pu, anang ason-amel along ado chiku hlonge; aro inghosi akorteyok “kamango po” pu, anangke me-aten long kiwar ado chiku hlonge. 
MAT.5.23	Lasi, athuli long nang banta kipi kapahleye amun, nang korte pen penebak kachilang set-set hel kido nangneng chipurki phlut, 
MAT.5.24	tene labang athuli long ango nang kipi-kapahle tikangne damot, nang korte pen chipangsam dammot, tangsi wang phakne nang kipi kapahle ye abantahel pajir. 
MAT.5.25	Nang kachi-ojorpo pen nang duwar along kido amunsi, anang pen chipangsam sirakngot; penebak badi ka-ojorpo nangyok bisarpo arideng champi detne, aro bisarpoke sonturi arideng champisi, la-amun nangyok akrol long nang thalbo. 
MAT.5.26	Ne naliyok khanangsi thando, kirichok atanga athengso nang pidetde lengke, lalong para jatsi nang jok un-eh ye.
MAT.5.27	“Nang kangho kidoner asal tikiyek, labang kipu, nali arju hlongo.” 
MAT.5.28	Manta ne nali thando, inghosi arloso arlengyok kangho kidoner yok chironsi lang, anang la-amunsi anenglong bangpe pen kangho dotango. 
MAT.5.29	Lasi nang ancho-ari amekpo pap pawangman, tene bangpo hekpokne nang para tinot; piyok pu tene nang abangpo jomlong kachiti ayok ke, abangpo isi arorem kapanghosi nangphan akime. 
MAT.5.30	Aro nang ancho-aripo nangpap pawangman, tene bangpoyok ta thuhletne nangpara tinot; piyok pu tene nang abangpo jom along kachiti ayok ke, isi abangpo arorem kapangwesi nangphan akime.
MAT.5.31	“Labang pota kipu, inghosi abithang apisope ayok seman, anang bangpeyok kise porman alopo pinot.” 
MAT.5.32	Manta ne nali thando, inghosi kangho kidoner aparke, prek aron anat abithang apisope yok seh ma, anangke bangpe yok bangpen kangho padonerman; aro inghosi kise arloso peyok jorme-chihap, anangta kangho donerman.
MAT.5.33	“Nang than phak do, nang asisik ke seme-tangtesi, Hemphu yok nang kasemetang along mengne tiki ponot, labang aporong arleng hel ango kipu, labang nali arju hlongo. 
MAT.5.34	Manta ne naliyok thando, jatsi isi semetangek; ethakpe amen penta kalek, piyok pu tene labang ke Arnam kangning anghol; 
MAT.5.35	aro pirthimipe amen penta kalek, piyok pu tene labang ke anang kengpak kibi anghol; aro Jerusalem amen penta semetangek, piyok pu tene labang ke kithe recho kido arongpe. 
MAT.5.36	Aro aphu ot ke semetangek, piyok pu tene achu ikokta nang aki-ik lale akilok ote un-eh. 
MAT.5.37	Manta nali lamthe, ‘oik’ pu tene ‘oik’ pu, lale ‘kalek’ pu tene ‘kalek’ punot; layok ke ongchot pu tene, anang pap-ajiu parasi wangman.
MAT.5.38	Labang kipu, nali arju hlongo, “Amek aholan amek, aso aholan aso; 
MAT.5.39	manta ne nali thando, nali kapangho poyok teng dunnek; manta inghone bak nang ancho-ari aga ang-om nang ardep, tene debera-ari aga ang-omta bipiwen. 
MAT.5.40	Aro inghone bak nang phuthak ojor pisi nangcholpo enpon, tene anangyok nangbang kido ape pota pidetnot. 
MAT.5.41	Aro inghone bak nangyok mayel isi aduwar nang papon-el tene, anang pen mayel hiniyok dunnot. 
MAT.5.42	Aro inghosi nang para dhar chakman, anangyok pimoke doyek.
MAT.5.43	Labang ta kipu, labang nali arjuhlongo, “Nang adung arel abangyok nengdok ngot, aro nang huturyok ke simot;” 
MAT.5.44	Manta ne nali thando, nali huturhel yok nengdok ngot, aro naliyok honjat kilang hel aphan pingkit pinot. 
MAT.5.45	La-tangsi nali ethakpe long kido Apa asohel chiplang une; piyok pu tene akangho aro akime arleng hini aphuthak anang arni katha-ang piman, aro dhorom kangthir pen kadhoromre la hini aphu-thak arwe ta pajangman. 
MAT.5.46	Piyok pu tene ingho arleng naliyok nengdokman, analiyok detsi nengdok tene, nali pot aman pahlonge? Kalukdar helta labenthot tiki ke ma? 
MAT.5.47	Aro nali korte-musoyok detsi kardom pi man, tene bangyok ongchot pot tikiye? Kikrolkre Bang-ajat helta labenthot tiki ke ma? 
MAT.5.48	Lasi nali ethakpe long Apa jibadi kime chokphlen, nalita lateng chokphlen chiplangot.
MAT.6.1	Meso chilangot, arleng ango kapaklang yok nalike dhorom abi-pun mar tiki yek; ladi tiki tene, nali ethakpe long kido Apa adung nali jatsi aman hlonghle ye. 
MAT.6.2	“Lasi nang konam banta piman, la-amun arleng para kaparklam hlongyok nengsik hel badike Arnam ahem ahem aro duwar ajon-jon, nang ngo-ngo cheng thep ke chipaklang wor-rek; ne naliyok khanangsi thando, anali abithang aman hlong tango. 
MAT.6.3	Manta nang konam banta piman, la-amun nang ancho-aripo pot tikiman, debera aripoyok bangpo pachithan un nangne ye. 
MAT.6.4	Tangsi nang banta kipi chiklangkle ye, aro chi-arsi kithek nang Apa nang-wolpi phaknge.
MAT.6.5	Aro nali konam pingkit, la-amun nengsik hel badike doyek; piyok pu tene arleng kapaklangyok anali Arnam ahem-ahem aro duwar atok hel along arjapsi kapingkit aneng dokman. Ne naliyok khanangsi thando, analike abithang aman hel hlong tango. 
MAT.6.6	Manta konam nang pingkit, la-amun nang hem apulu yok lut damot, aro inghap chinghapsi, chi-arsitsi kido nang Apa angot pingkit not; la-long kithekjol nang Apa nangyok nangwol pi phak nge. 
MAT.6.7	Aro kapingkit apor, nang Bang-ajat hel badike akijol alam puyek; piyok pu tene anali ke aki-ong alam anatsi Arnam arjuye pusi anali chironman. 
MAT.6.8	La-apot nali lahel badi do yek; piyok pu tene nali potsi kanange doma, bangpo nali anangyok kachihanghe angosi, nali Apa thek detman. 
MAT.6.9	La-apot nali ladi pingkitnot: Hali ethakpe kido Apa, nangmen parklam nang. 
MAT.6.10	Nang longri pawang; jibadi ethakpe long, labadisi pirthimipe longta, nang kar-ih pachok ngot. 
MAT.6.11	Hali kanange a-an mini hali pinot. 
MAT.6.12	Hali dhar kichak helyok hali jibadi rono, ladisi haliyok ta dhar hali ronnot. 
MAT.6.13	Haliyok honjat long hali ponek, manta pap ajiu para hali ralnot.” 
MAT.6.14	Piyok pu tene nang bangyok adohel ronman, tene nali ethakpe long kido Apa nali yokta rone. 
MAT.6.15	Manta nalike bang adohel ronre, tene nali Apa ta nali ado ronre ye.
MAT.6.16	“Aro nali konam an-hum man, la-amun neng-sik hel badike amahang ingtingsu ke do yek; piyok pu tene analike an-humdo pusi arlengyok kapaklang aphan mahang pangtingsu man. Ne naliyok khanangsi thando, anali kihlong nange banta hlong tango. 
MAT.6.17	Manta nang an kihum amun, arleng angot an-kihum paklangkle si, mahang chi-arsi kido Apa angot nang an kihum chipaklang, la-anat nang phu jangthu chihel, aro mahang ta chirmunot; 
MAT.6.18	la-amun mahang chi-arsi theksi kido nang Apa nangyok kime angban nangpiye.
MAT.6.19	“Pot athem long arhlok aro mamor choman, aro kanghu hel tuksi chunghuman, ladi pirthimipe long puru chihansi yek. 
MAT.6.20	Manta dak long arhlok aro mamor cho-un-eh, kanghuta tuksi ponpe, ladi ethakpe long abithang aphan puru chihansi not. 
MAT.6.21	Piyok pu tene daklongsi nang apuru do, lalongsi nang thin ta doye.
MAT.6.22	Ameksi abangpo katha-ang; la-apot nangmek akime do, tene nang abangpo apumpak tha-ang dange. 
MAT.6.23	Manta nang mek meme, tene nang abang apumpak ingting detne. La-apot nangthin long katha-angpo pangting kukman, tene labang kangting konbak phere meme kangting chiplange.
MAT.6.24	Ihutpo bang-hini ahemphu long sal tiki un-eh; piyok pu tene anang ihut yok lang un-eh ye, aro ihutyok ke nengdoknge; lale ihutyok mengketsi, aro ihutyok ke pangwe ye; nali Arnam aro apuru, la hinilong tiki un-eh. 
MAT.6.25	La-apotsi ne naliyok thando, pot te chobo, lale pot te junbo? Ladi pusi ajiu aphan, lale pot chi-ikbo? Ladi puke chirondingek. Kicho-kijunyok ke ajiupo, aro pe-rik yok ke abangposi songkhan chot kalekma? 
MAT.6.26	Suneng kangjar awo helyok langot; analike ripta rip-re, rot ta rotre, aro rak longta thalthe; yongta nali ethakpe long Apa lahel yokta kicho a-an pachoman. Nali mehelyok ke ador ongchot kalek ma? 
MAT.6.27	Aro nali sitem inghote chirondingsi anang bithang ajiupo ingrup isibak chipading une ma? 
MAT.6.28	Aro pe-rik ayok, piyok la-an chironding do? Bitharlong kido amirhel pot badi theman, bangpo chiron lang; lamehel salta tikike, pe-rik ta chithak the; 
MAT.6.29	yongta ne naliyok thando, Solomon po anang ahuwit abihini doyong ta lamehel mir ikok atengta kilangme chot pe-rik kachi-ik-eh. 
MAT.6.30	La-apot, bithar long pot abap hel mini dojongdo, minap ayok melong pasek detne, bang poyok ta Arnam ladisi nali pachi-ikman,— nali kikrol la-an beksodet ma? 
MAT.6.31	La-apot, “Pot te chobo? Pot te jun bo? Aro pot te chi-ikbo? Ladi puke chirondingek.” 
MAT.6.32	Piyok pu tene Bang-ajat hel lamehel ahuwit abihini ar-ih man; aro labang ahuwit nali kanangedo, bangpo nali ethakpe long Apa than un. 
MAT.6.33	Manta nali ke ango Arnam longri aro anang dhorom kangthir chihang; la-amun labang ahuwit naliyok nalipiye. 
MAT.6.34	La-apot minap aphan chiron nek; piyok pu tene minap aphan minap abithang chiron une. Inirsi kidukpo, inirsi aphanke latengsi dor.
MAT.7.1	“Nali bangyok ado bisarek, tangsi naliyok ta ado bisarse ye. 
MAT.7.2	Piyok pu tene jibadi bisarsi naliyok bisar ma, labadi abisar pensi naliyok ta labenthot Arnam nali ado bisare; aro jibadi linsi nali lindo ma, labang alin pensi naliyok linbo. 
MAT.7.3	Nang bithang amek ber poyok chilanglesi, nang korte amek ber poyoksi piyok langdo? 
MAT.7.4	Aro langot, nang bithang amek ber ihong kido amunsi, nang mek berpo pahekngot, labadi alam nang musoyok pot badi than une? 
MAT.7.5	Nali nengsik abang, angoke nang bithang amek berpo chihek ngot, tangsi nang muso amek berpo kihekyok me-atsi thek phlene. 
MAT.7.6	Hik helyok kangthir abihini piyek; aro nali kilang me-at ser-atheng phak hel ango tiyek; pene bak ke anali keng pen dong sinek nge, aro wang chiru phaksi naliyok ta wangkor phaknge.
MAT.7.7	“Chihang, tangsi naliyok piye; chibisar, tangsi pahlonge; chipardeng, tangsi naliyok owa ingpu piye. 
MAT.7.8	Piyok pu tene jai chihang, labangsi hlongman; jai chibisar, labangsi thek hlongman; aro jai pardeng, anangyok si owa ingpu piman. 
MAT.7.9	Piyok pu tene asopo him hang, tene anangyok arlong piye, lang-ok neng tene phurul piye, 
MAT.7.10	nali sitem ladi ingho arlengpo do ma? 
MAT.7.11	Lasi nali kangho yongta nangso yok akime abihini pi thek, tene la yokta nali ethakpe kido Apa anangyok kachihang abangyok kime abihini pipe ye ma?
