MAT.1.1	Abraham é awut ashín, Dawiq é yhangzo yhangshu,
MAT.3.12	Yhang gi, loq má byò chung to mù, guq chyarâng mâ é guq bùm lé hik sân pyám luî, já é guq cham lé gi, guqchyî má tsîng kat to mù, guqsôm lé kúm gi, hkâ-nhám le shi byuq a sê é myî èq nyhê hkyô pyám râ nghut lhê." gâ ri.
MAT.3.13	Haú hkûn, Yesuq gi, Yohan chyáng wui-myhup hkâm yù râ ga, Galile mau mai Yodan làng má jé lé lo ri. 
MAT.3.14	Nghut kôlhang, Yohan gi, "Ngò sheq Náng chyáng wui-myhup hkâm yù râ sû ru nghut lhê nhîng! Nàng sheq ngá chyáng lé lo lhê lhú?" ga luî, lhom taî hkûm ri.
MAT.3.15	Haú hkûn, Yesuq gi, "Dingmán hkyô banshoq lé, nga-nhúng lhoq dik râ é yanmai, Ngo lé wui-myhup hkám byi laq." ga tû taî ri. Haû mù, Yohan le, gyo byi bê nghut ri.
MAT.3.16	Yesuq gi, wui-myhup hkâm yù eq yhang, wuì mai htoq lo ri. Haú hkûn, mauhkûng bóng lô mù, Garai Gasâng é Woi-nyí gi, hpûngkyui gunghkyâng sû é dông mai, Yhâng ahtoq má lé gyó nô tô é lé, Yhang myang kat ri. 
MAT.3.17	Haú hkûn, "Shí yuq gi, Ngò chyitdap é Ngá zo nghut lhê; Yhâng é ahtoq má Ngò gabú myit ngón nyi lhê." ga mauhkûng mai danghtê htoq lo ri.
MAT.4.1	Hau htâng má, Chyoiyúng Woi-nyí gi, Yesuq lé, nat Tsadán èq gunglaú é hui nhâng râ matú, yoso shut shuî ê ri. 
MAT.4.2	Yesuq gi, zoshuq gám é myi xê nyí myi xê myìn jé jáng, zòmut hui bê nghut ri. 
MAT.4.3	Haú hkûn, gunglaú sû gi, Yhâng chyáng lé mù, "Nàng, Garai Gasâng é Yhangzo nghut le gi, luqgok shí pé lé muk dut nhâng aq." ga taî ri.
MAT.4.4	Haû jáng, Yesuq gi, "'Byù gi, muk èq za asak duì râ a nghut; Garai Gasâng é nhut mai htoq lo é mungdang hkangmó èq sheq asak duì râ nghut lhê.'
MAT.4.5	Haú hkûn, nat Tsadán gi, Yesuq lé, chyoiyúng myuq
MAT.4.6	"Nàng, Garai Gasâng é Yhangzo nghut le gi, byam gyó kat wú aq. Hkâsu mù gâ le,
MAT.4.6	'Náng é matú, Garai Gasang gi, Yhâng é maumang lagyô pé lé taî to râ nghut mù,
MAT.4.6	luqgok má Náng é hkyî a ló htung shoq,
MAT.4.6	yhangmoq é loq èq Nang lé lhom bún yû kó râ nghut lhê.'
MAT.4.6	ga luî, Chyúmdang má kâ tô ri." ga taî ri.
MAT.4.7	Nghut kôlhang, Yesuq gi, "'Haû Yhumsîng, nungmoq é Garai Gasang lé, wó chyam wú râ a nghut.'
MAT.4.8	Nat Tsadán gi, Yesuq lé, gyai yhang myhang é bùm htoq má shuî doq ló mù, mingkan má joq é mingdán pé banshoq eq haú pê é hkikhkâm hkyô lé tûn shit ri. 
MAT.4.9	Hau htâng, yhang gi, "Nàng hkyihput htuq mù, ngo lé noq é nghut jáng, shí pé banshoq, Nang lé ngò byi râ." ga, Yesuq lé taî ri.
MAT.4.10	Haú hkûn, Yesuq gi, "Tsadán nàng, ló byuq aq! Hkâsu mù gâ le, 'Haû Yhumsîng náng é Garai Gasang lé za, nàng noqkuq dojaú ra râ nghut lhê.'
MAT.4.11	Haû mù, nat Tsadán gi, ló byuq bê nghut luî, maumang lagyô pé gi, Yesuq lé, lé dojaú nyi akô nghut ri.
MAT.4.12	Yesuq gi, Wui-myhup Sará Yohan htóng gyó é hkyô lé wó gyo jáng, Galile mau shut dum taû ló bê nghut ri. 
MAT.4.13	Yhang gi, Nazaret wà mai htoq ló mù, Zebulun eq Nahtali mau mâ é nhông yàm má joq é Kaperna-um wà má ló nyi nyi ri. 
MAT.4.14	Haû gi, myiqhtoi Esai-aq laiká má,
MAT.4.15	"Zebulun mau eq Nahtali mau, wuimau mâ é hkyô, Yodan làng yàm, tûngbaù pé nyi é Galile mau ê,
MAT.4.16	mauchut hkaû má nyi nyi é bang, maubó mó lé myàng bê nghut ri;
MAT.4.16	shî wup hkaû má nyi to bâng é matú, maubó lô bê nghut ri."
MAT.4.16	ga kâ tô é dang lé lhoq dik râ matú nghut ri.
MAT.4.17	Haú hkûn mai, Yesuq gi, "Myit lhîng keq! Mauhkûng mingdán gi, chyâng lò bê nghut ri." ga, mungdang hko hi e ló bê nghut ri.
MAT.4.18	Yesuq gi, Galile nhông yàm má hkyô sô wún é hkûn, Petruq gâ é Simun eq yhanggu Andre nhiktâng lé myang ri. Yhangnhik tâng gi, ngozo kóng zo su nhik nghut mù luî, nhông má gùn dú nyi akô nghut ri. 
MAT.4.19	Haû mù, Yhang gi, haú nhiktâng lé, "Ngá htâng cháng keq; Ngò, nungnhik lé, byù lé châng kóng su nhik dut nhâng râ nghut lhê." ga taî ri. 
MAT.4.20	Haú hkûn, yhangnhik gi, radá dâm, gùn pé lé tô pyâm to luî, Yhang htâng cháng bekô nghut ri.
MAT.4.21	Yesuq gi, jowò haú mai xoq sô e ló le, Zebedi é yhangzo, Yakuq eq yhanggu Yohan nhiktâng lé myang ri. Yhangnhik gi, yhangnhik é yhângwa Zebedi eq rahá, lhaî hkaû má gùn hpo nyi akô. Yhangnhik lé, Yesuq wut kat jáng, 
MAT.4.22	yhangnhik gi, radá dâm, yhangnhik é yhângwa eq lhaî haú lé, tô pyâm to kôluî Yesuq htâng cháng bekô nghut ri.
MAT.4.23	Yesuq gi, Galile mau ramau gón má htoq ê mù, tarajong pé má, mhoqshit luî, mauhkûng mingdán eq sêng é gabú danglù lé, hko kyo uchyang, byu pê chyáng mâ é nòhpyo ajung jung hui bang eq nolì nojàng amyû myû dap bang lé, lhoq gê byî wún ri. 
MAT.4.24	Yesuq eq sêng é hkyô ludang gi, Suriq ramau gón má byo myín ló mù, byu pé gi, awáng nòhpyo ajung jung huî é bang, hkê-nhô jamjaû nyi é bang, nat gang wang júng é bang, mhûngtuq tuq é bang, gùngjum shi é bang lé, shuî lé lô kôluî, Yhang gi, haú bang lé lhoq gê byî ri. 
MAT.4.25	Galile mau, Dekapoli,
MAT.5.1	Yesuq gi, byù moq mó lé myàng jáng, bùm má doq ló luî, ló zung tô ri. Haú hkûn, Yhâng é chángzô pé gi, Yhâng chyáng lé lô kôjáng, 
MAT.5.2	Yhang nhut hkum hpóng luî, yhangmoq lé mhoqshit é gi:
