MAT.1.1	Магьа Ибрагьимдин наслиан вуйи, Давудрин тухмиан вуйи Месигь Исайин ата-бабйир:
MAT.2.6	«Увура, Вифлеем, Ягьудия юрднан шагьрарин арайиъ сабдииндира бицӏиб дарва, фицики ув’ан удучӏвиди Йиз Израилин халкь уьрхру Аьхюр». 
MAT.2.7	Думуган Гьиродди, дуфнайи аьяндрариз жиниди дих дапӏну, дурарихьан хяд гьудубчӏвру вахт гьерхну, дюзди аьгъю апӏуру. 
MAT.2.8	Ва, дурар Вифлеемдиз рякъюъ тӏаъри, гьамци кӏуру: «Душну Бицӏирин гьякьнаан вари уччвуди аьгъю апӏинай. Хъа учвуз Думу гъидихъган, узузра хабар дебккай, узхьанна, душну, Дугъаз икрам апӏуз шлуганси». 
MAT.2.9	Паччагьдихъ хъебехъну, дурар рякъюъ учӏвру. Ва магьа завун ригъгьудубчӏвру терефнаъ чпиз гъябкъю хяд, тап Бицӏир айи йишв’ина дубшну дийибгъайизкьан, дурарин улихьди гъябгъюру. 
MAT.2.10	Аьяндрар, хяд гъябкъган, кьадар адрубкьан шад гъахьнийи. 
MAT.2.11	Ва хулаъ учӏвган, дурариз Бицӏирна Дугъан дада Мар’ям рякъюру ва жил’ина ис духьну, Дугъаз икрам апӏуру. Хъасин, чпин пешкешар адагъну, Бицӏириз тувру: гъизил, ладан кӏуру ицци ниъ хъайи ягъ ва смирна кӏуру багьалу дармансиб шейъ. 
MAT.2.12	Ва Гьироддихьна кьяляхъ махъадаканай кӏури нивкӏукди дябкъну, аьяндрар жара рякъюъди чпин юрдариз гъягъюру.
MAT.2.13	Дурар гъушхъан, магьа Юсуфдиз нивкӏукди малайикди дуфну кӏуру: «Гъудужв, Бицӏирна Дугъан дада увухъди гъадагъну, Египетдиз гьергну гъарах ва узу увуз хабар апӏайизкьан душваъ гъуз; фицики Гьироддиз, Бицӏир пуч апӏбан бадали, Думу агуз ккунди а». 
MAT.2.14	Юсуфра дишла, гьадму йишван гъудужвну, Исана Мар’ям гъадагъну, Египетдиз гъягъюру 
MAT.2.15	ва, Гьирод кечмиш хьайизкьан, душваъ гъузру. Гьамци, Агъайи пайгъамбрин мелзналан: «Египетдиан Узу Йиз Бализ дих гъапӏунза», гъапи гафар кӏулиз удучӏвуз кӏури, гъабхьиб вуйи.
MAT.2.16	Ва думуган Гьирод, аьяндрари чаз кучӏлар гъапӏуб аьгъю дубхьну, хъюлу ацӏнийи ва дугъу Вифлеемдиъна дидин аьтрафариъ айикьан кьюд йисазкьан вуйи вари жили веледар пуч апӏуз чан эскрар гьаъру. Швнуд йисаъ айидар дийихну ккундуш, Гьиродди аьяндрари гъапибдиан аьгъю гъапӏнийи. 
MAT.2.17	Гьамци Еремия пайгъамбрин мелзналан дупнайи гьаму гафар кӏулиз удучӏвнийи:
MAT.2.18	«Рама шагьриъ гъал абхъна ишбан, ишларин зурба фигъан; Рахил ишура чан веледарихъ, дугъаз ккебехъуз ккунди адар, гьаз гъапиш дурар сарун имдар».
MAT.2.19	Хъа Гьирод кечмиш гъашихъан, Египетдиъ айи Юсуфдихьна нивкӏукди Аллагьдин малайик гъюру 
MAT.2.20	ва гьамци кӏуру: «Гъудужв, Бицӏирна Дугъан дада гъадагъну, дурарра хъади Израилин ругариина гъарах, фицики Бицӏирин аьжал ккунидар гъийихну». 
MAT.2.21	Юсуф гъудужву ва, Бицӏирна Мар’ям гъадагъну, Израилин ругариина хъадаку.
MAT.2.22	Ягьудияйиъ чан адаш Гьироддин ерина дугъан бай Архелайи паччагьвал апӏурайиваликан гъеебхьган, Юсуфдиз дина гъягъюз гучӏ гъабхьнийи. Амма хъасин чаз нивкӏукди хабар дебккган, думу Галилейин ругариина гъягъюру. 
MAT.2.23	Ва душваз дуфну, Назарет кӏуру шагьриъ бин ккебгъну. Гьамци: «Месигьдиз Назарей ччвур тувди», – кӏуру пайгъамбрарин гафарра кӏулиз удучӏвнийи.
MAT.3.1	Думу йигъари штуан апӏру Ягь’я дуфну, Ягьудияйин чюллериъ аьгъювалар улупуз хъюгъру: 
MAT.3.2	«Ичв гунгьар гардандиъ дидисну, уьмур дигиш апӏинай, – кӏуйи дугъу, – фицики Аллагьдин Паччагьлугъ багахь шула». 
MAT.3.3	Гьадму Ягь’яйикан вуйиштӏан Ишая пайгъамбри гьамци дупнайиб: «Ичӏи чюлиъ дих атӏабгура: Агъайиз рякъ ккабалгай. Дугъаз рякъяр-жилгъйир дишдар апӏинай!» 
MAT.3.4	Ягь’яйиин девейин хьайин палат алийи, юкьвнаан гъидкьин яркьу чӏул идибтӏнайи. Дугъан ипӏру хураг елгнагарна чӏурдин йиччв вуйи. 
MAT.3.5	Гьадмуган дугъахьна Ерусалимдиан, вари Ягьудияйиан ва Ярдан нирин аьтрафарихъан гизаф халкь гъюйи. 
MAT.3.6	Чпин гунгьариин швумал духьну, дурари чпин гунгьар гардандиъ дисуйи, ва Ягь’яйи дурар Ярдан нириъ штуан апӏуйи. 
MAT.3.7	Хъа чахьна хайлин фарисйирна саддукйир штуан апӏуз гъюри дяркъну, Ягь’яйи дурариз кӏуру: «Битӏракан гъахьидар! Гъюз ккайи Аллагьдин хъюлхьан гьергуз шли улупунчвуз?! 
MAT.3.8	Учву, ичв гунгьар гардандиъ дидисну, уьмур дигиш апӏуз шлуси, ичв ляхнариинди улупай. 
MAT.3.9	Ва: „Ич аба Ибрагьим вуйич“ кӏуру гафар учвуз чӏяаьн ву пну, миж микиванай, гьаз гъапиш учвуз кӏуразаки, Аллагьдихьан гьаму гъванариканра Ибрагьимдиз веледар ктауз шулу. 
MAT.3.10	Гьарин кьаблихъ магьа екӏв гьязурди хъа: гъяни йимиш туври адру гьарсаб гьар алдабтӏиди ва цӏигъна гатӏабхьиди.
MAT.3.11	Учву гунгьарихьан марцц хьпан лишан вуди, узу учву анжагъ штуан апӏураза, амма йиз кьяляхъди Гъюрайир узутӏанна Кьудратлур ву, узу Дугъан шаламар гъахузкьан лайикь дарза. Дугъу учву Гирами Рюгьнахьдина цӏихьди цӏийи алаидичву. 
MAT.3.12	Дугъан хилиъ йирф хьибди, Дугъу дяхинна нахъв жара апӏиди: дяхин Чан танхариъ абхьди, хъа нахъвар гьаммишан убгру цӏигъ гъяхьну ургиди».
MAT.3.13	Гьадму вахтна Ягь’яйихьна штуан апӏбан бадали Ярдан нирихъна Галилей уьлкейиан Иса гъюру. 
MAT.3.14	Ягь’яйиз сифте му ляхникк кӏул ккивуз даккунди гъабхьнийи: «Уву узу штуан апӏуб лазим ву, хъа Уву узухьна гъюрава!»
MAT.3.15	Амма Исайи дугъаз жаваб вуди гъапи: «Гъит му ражну гьамци ибшри, фицики Аллагьди улупнайиб ухьу вари кӏули гъабхуб лазим ву». Ва гьадмуган Ягь’я Иса штуан апӏуз рази гъахьи.
MAT.3.16	Штуан гъапӏубси, Иса ниркан кудучӏвуру, магьа сабпну Дугъаз завар ачмиш гъаши, Дугъаз луфси ис шулайи Гирами Рюгь Чаина гъюри гъябкъю. 
MAT.3.17	Ва зав’ан дих шулу: «Му Йиз масан Бай вуйиз, Узу Дугъ’ин гизаф рази вуза!»
MAT.4.1	Мидин кьяляхъ Гирами Рюгьну, Иса рякъ’ан адауз иблис чалишмиш хьуз кӏури, Иса ичӏи чюлиз гъухнийи. 
MAT.4.2	Душваъ Думу ягъчӏвур йигъанна ягъчӏвур йишвандин арайиъ уьл дирипӏри гъузну, аьхирки Исайиз гаш гъабхьнийи. 
MAT.4.3	Думуган иблисди, Дугъахьна дуфну, Дугъаз гьамци кӏуру: «Эгер Уву Аллагьдин Бай вуш, гьаму гъванарикан уьлер хьуз гъит».
MAT.4.4	Жаваб вуди Исайи гъапи: «Гирами китабариъ дибикӏнаки: „Инсан ялгъуз уьл’инди ваъ, хъа Аллагьдин ушвниан удубчӏвурайи гьарсаб гафниинди яшамиш хьиди“».
MAT.4.5	Думуган иблисди Иса гирами вуйи Ерусалим шагьриз хъади гъягъюру, Аллагьдин хулан вартӏан ягълишв’ин дерккру 
MAT.4.6	ва Дугъаз кӏуру: «Эгер Уву Аллагьдин Бай вуш, гьамлин исина урс, фицики дибикӏна: „Аллагьди Чан малайикариз Яв гъайгъушнаъ хьуз амур апӏиди ва, Яв ликкьан гъвандихъ йивуз гъидритруганси, Уву чпин хилариина гъадагъиди“».
MAT.4.7	Исайи кӏуру дугъаз: «Гирами китабарин жара йишваъ гьамцира дибикӏна: „Яв Агъа Аллагь ахтармиш мапӏан“». 
MAT.4.8	Думуган иблисди Иса хъанара саб лап ягъал дагъдиина гъахуру, дилин Дугъаз дюн’яйин вари паччагьлугъар, дурарин ад улупуру 
MAT.4.9	ва Дугъаз кӏуру: «Эгер Уву, ис алахъну, узуз икрам гъапӏиш, гьамрар вари Увуз тувдизавуз».
MAT.4.10	Думуган Исайи кӏуру дугъаз: «Фана йибхь Узхьан, иблис! Гирами китабариъ дибикӏна: „Яв Агъа Аллагьдиз икрам апӏин ва сар Дугъазтӏан гъуллугъ мапӏан!“»
MAT.4.11	Думуган иблис Исайихьан гьудубчӏвну гъябгъюру ва магьа малайикар, дуфну, Исайин гъайгъушнаъ дийигъуру.
MAT.4.12	Хъа Ягь’я дустагъ дапӏнайиваликан гъеебхьиган, Иса Галилей уьлкейиз гъягъюру. 
MAT.4.13	Думу, Назаретдиан удучӏвну, Забулун ва Нафталим кӏуру юрдарин аьтрафариъ айи Галилей гьюлин гъирагъдихъ хъайи Кафернагьумдиъ дергру. 
MAT.4.14	Мици гьаддиз гъабхьнийики, Ишая пайгъамбрин мелзналан гьамци дупнайиб улубкьну ккундийи: 
MAT.4.15	«Ярдан нирин гьюлихъинди терефнаъ айи Забулун юрд ва Нафталим юрд! Галилей уьлке, аллагьсузарин макан! 
MAT.4.16	Мушваъ мучӏувалиъ айи халкьдиз зурба акувал гъябкъну ва аьжалин сирникк ккайидариз нур удубчӏвну!»
MAT.4.17	Думу вахтналанмина Исайи, аьгъювалар улупури, гьамци кӏуз хъюгъру: «Ичв гунгьар гардандиъ дидисну, уьмур дигиш апӏинай, фицики Аллагьдин Паччагьлугъ багахь дубхьна».
MAT.4.18	Иса Галилей гьюлхъантина гъягъюрайиган, Дугъаз чвйир вуйи кьюр кас гъяркънийи: Петри лакӏам хъайи Симон ва дугъан чве Андрей. Дурар балугъчйир вуйи, ва думу вахтна дурари гьюликк чул ккипрайи. 
MAT.4.19	«Узухъди гъачай, – кӏуру Дугъу дурариз, – Узу учвкан инсанарин юкӏвар дисру балугъчйир ктаурза». 
MAT.4.20	Дурар гьадмусяаьт, чпин чулар дирчну, Гьадгъахъди гъягъюру.
MAT.4.21	Гьадлин тинаси гъушган, Исайиз хъанара жара кьюр чве рякъюру: Зеведейин бай Якьубна дугъан чве Югьан. Дурари чпин адаш Зеведейихъди люткейиъ чулар рас апӏурайи. Исайи дураризра дих гъапӏу 
MAT.4.22	ва дурарра гьадмусяаьт, люткена чпин адаш гъитну, Исайихъди гъягъюру.
MAT.4.23	Исайи, вари Галилей уьлке вуйибси лицури, жугьдарин мистариъ аьгъювалар улупури, Аллагьдин Паччагьлугъдикан хабар туври, гьарсаб уьзрихьан халкь сагъ апӏури гъахьну.
MAT.4.24	Дугъан ад вари Сирия вилаят вуйиси абхънийи, Исайихьна гьар жюрейин уьзрар кайидар хуз хъюгъру: жинар кайидар, гьарза шлудар, паралич кайидар, – ва Дугъу дурар сагъ апӏуйи.
MAT.4.25	Галилей уьлкейиан, Йицӏубшагьриан, Ерусалимдиан, Ягьудияйиан ва Ярдандин аьтрафарихъан гъюри, гизаф халкь Дугъан кьяляхъди лицури гъахьну.
MAT.5.1	Уч духьнайи халкь дябкъну, Иса дагъдиина удучӏвуру; ва, деъган, Дугъахьна Дугъан ученикар гъюру. 
MAT.5.2	Дугъу дурариз гьамци аьгъювалар улупуз хъюгъру:
MAT.5.3	– Бахтаврар ву Аллагьдин улихь касиб вуйидар, фицики Аьршарин Паччагьлугъ гьадраринуб ву.
MAT.5.4	Бахтаврар ву дерд зигрудар, фицики дурар Аллагьди ккарциди.
MAT.5.5	Фурс ктрудар бахтаврар ву, фицики дурариз ирс вуди жил рубкьиди.
MAT.5.6	Агъайин гьякьвалихъ дахаргнайидар бахтаврар ву, фицики Аллагьди дурар тухъ апӏиди.
MAT.5.7	Бахтаврар ву рягьимлудар, фицики дурарилан хил алдабгъиди.
MAT.5.8	Бахтаврар ву юкӏв марццидар, фицики дурариз Аллагь рякъиди.
MAT.5.9	Ислягьвал гъабхрудар бахтаврар ву, фицики дурариз Аллагьдин веледар пиди.
MAT.5.10	Бахтаврар ву Аллагьдин гаф тамам апӏурайиган утӏуккурайидар, фицики Аьршарин Паччагьлугъ гьадраринуб ву.
MAT.5.11	Бахтаврар вучва учву, гьаз гъапиш, Йиз ученикар хьпаз лигну, учву беябур апӏура, учвухъ хъергра ва учвлан футнийир апӏура.
MAT.5.12	Гьаци беябур апӏури гъахьну учву хьайиз гъахьи пайгъамбрарра. Рази йихьай ва шадвал ачмиш апӏинай, фицики аьршариъ учвуз айи пешкеш зурбаб ву.
MAT.5.13	Учву жилин кьил вучва. Амма кьилан кьилзишин гъудубгиш, думу фти кьилзи апӏиди? Думу сарун фтизкӏа ярамиш шулдар: думу сарун, инсанарин ликариккан апӏруси, гатӏабхьиди. 
MAT.5.14	Учву дюн’яйин акв вучва. Дагъдиин али шагьур дярябкъди гъубзидар. 
MAT.5.15	Ва чирагъ кабхьиган, думу гъабран кӏанакк ккидривур, хъа, диди хулаъ вардариз акв тувруганси, чан йишв’ин дивур.
MAT.5.16	Гъит гьаци ичв аквну инсанарин арайиъ акв туври, ичв ужудар ляхнар дурариз рякъруганси ва дурари Аьршарин ичв Адаш адлу апӏбан бадали.
MAT.5.17	Хиял мапӏанайки, Узу Къанун вая пайгъамбрар батӏул апӏуз Дуфнайир ву кӏури. Батӏул апӏуз ваъ, хъа дурари кӏурайиб кӏулиз адабгъуз Дуфнайир вуза. 
MAT.5.18	Фицики дюзди кӏуразачвуз, гьелелиг заварна жилар имиди, дибикӏнайиб вари тамам дархьикьан гагьди, Къанундиан гьич саб гьярфкьан, ясана саб цӏаркьан дубгидар. 
MAT.5.19	Гьаци вуйиган, му гафарикан фукӏа тамам дарапӏрур ва гьаци жара адмийирихьдира апӏуз гъитрур Аьршарин Паччагьлугъдиъ вартӏан бицӏир вуди гьисаб апӏиди. Хъа шли думу гафар тамам гъапӏиш ва жара касарихьра гьаци апӏуз гъитиш, думу Аьршарин Паччагьлугъдиъ вартӏан зурба кас хьиди. 
MAT.5.20	КӀуразачвузки, эгер учву Аллагьдин табшуругъар къанунчйирина фарисйиритӏан ужуди тамам дарапӏди гъашиш, учву Аьршарин Паччагьлугъдиъ учӏвидарчва.
MAT.5.21	Учвуз аьгъячвузки, ихь ата-бабйириз фу дупнаш: «Адми йивну миликӏан; хъа шли гъакӏиш, дугъу суддин улихь жаваб тувди». 
MAT.5.22	Хъа Узу учвуз кӏуразаки, шли чан багахьлу хъюлакк гъидисиш, думу чан суд апӏбакк ккуркьди, ва шли чан гъардшиз «усал кас» гъапиш, думу Заан диванханайиъ чан суд апӏбакк ккуркьди, хъа шли жарариз «ахмакь» гъапиш, думу жегьеннемдин цӏигъ гъитбакк ккуркьди.
MAT.5.23	Гьаци вуйиган, эгер уву Аллагьдиз яв багъиш Аллагьдин Хулаз хури айиган, яв гъардшиз увкан гиран кайивал кӏваин гъабхьиш, 
MAT.5.24	гъурбан апӏру йишвахь яв багъиш гъибтну, душну, сифте яв гъардшихъди мясляаьтар апӏин, хъасин, дуфну, яв багъиш гъурбан апӏин.
MAT.5.25	Эгер шлиз увухъди суд апӏуз ккунди аш, шлукьан ухди, суддиз рякъюъ имиди, мясляаьтар апӏин. Даршиш дугъу уву судьяйихьна, хъа судьяйи гъаравлихьна тувди ва дустагъдиъ итдиву. 
MAT.5.26	Гьякьди кӏуразавуз: аьхиримжи кепкиина гъяйиз яв вари бурж ктипайизкьан, душв’ан удучӏвидарва.
MAT.5.27	Учвуз гъеебхьнийчвузки: «Кьяппавал мапӏан», – кӏури. 
MAT.5.28	Хъа Узу учвуз кӏуразаки: фуж жара дишагьлийихьинди тямягьниинди лигураш, дугъу сарун чан кӏваъ дугъахъди кьяппавал гъапӏну. 
MAT.5.29	Эгерки яв арччулну ули уву гунгьихъна гъахураш, думу адабгъ ва гатӏабхь тина, фицики бедендин саб гьендемдихьан шуб ужу вувуз, яв вари беден жегьеннемдиъ ипайиз. 
MAT.5.30	Ва эгер яв арччул хили уву гунгьихъна гъахураш, хъадабтӏ думу ва гатӏабхь тина, фицики бедендин саб гьендемдихьан шуб ужу вувуз, яв вари беден жегьеннемдиъ ипайиз.
MAT.5.31	Дупна гьацира: «Эгер фуж чан хпирихьан жара шулаш, дугъу хпирихьна жара хьпан кагъаз туври». 
MAT.5.32	Хъа Узу кӏуразачвузки: шли, чан хпир, дугъу кьяппавал дарапӏди, гьидитиш, дугъу думу хпир кьяппавалихъ хъаъра; ва шли гьидитнайир чаз дитиш, дугъура кьяппавал апӏура.
MAT.5.33	Хъана, аьгъячвузки, ичв абйир-бабариз фу дупнаш: «Уву гъапӏу ху чӏур дарапӏди, Агъайин улихь тамам апӏин». 
MAT.5.34	Хъа Узу кӏуразачвузки: затра ху мапӏанай: я аьршариинди, гьаз гъапиш аьршар Аллагьдин тахт ву; 
MAT.5.35	я жилариинди, гьаз гъапиш жилар Аллагьдин ликарикк йишв ву; я Ерусалимдиинди, гьаз гъапиш думу Кьудратлу Паччагьдин шагьур ву; 
MAT.5.36	ясана жвуван кӏул’индира ху мапӏанай, гьаз гъапиш гьич саб чӏаркьан я кӏару, я лизи апӏуз хьибдарчвухьан. 
MAT.5.37	Эгер увуз «ав» пуз ккунди аш, гьаци «ав» йип; «ваъ» пуз ккунди аш, гьаци «ваъ» йип. Хъа митӏлан артухъ вуйиб иблисдихьан ву.
MAT.5.38	Учвуз гъеебхьунчвуз, дупна: «Уву шлинкӏа ул идипиш, яв улра идипну ккун, ва уву шлинкӏа силиб идипиш, яв силибра идипну ккун». 
MAT.5.39	Хъа Узу кӏуразачвузки: писвализ писвал мапӏан. Яв арччул гарцӏликкан бачӏ ккадатуриз тмунубра ккив. 
MAT.5.40	Ва фуж, увухъди суддиз удучӏвну, яв кӏанккан ккабхьру ккуртт ккидибтуз ккаш, дугъаз яв заълан алабхьру палатра тув. 
MAT.5.41	Ва шли уву чахъди саб манзил гъягъюз мажбур апӏуруш, дугъахъди кьюб манзилра гъарах. 
MAT.5.42	Увкан тӏалаб апӏурайириз тув, ва увкан буржназ ккун апӏурайирихьан маш магьадабгъан.
MAT.5.43	Учвуз гъеебхьунчвуз, дупна: «Багахь хьайир ккун апӏин, хъа душман – даккун». 
MAT.5.44	Хъа Узу кӏуразачвузки: ичв душмнар ккун апӏинай, ва ичв кьяляхъ хъахьнайидарихъанди ккарагай. 
MAT.5.45	Мид’инди учву Аьршарин ичв Адашдин баяр хьидичва, гьаз гъапиш Дугъу гьам пис касар, гьамсана гъянидар Чан ригъдихъди тямин апӏура ва мархьра гьам гьякьлудариина, гьамсана нягьякь вуйидариина гьапӏра. 
MAT.5.46	Фицики анжагъ учву ккунидартӏан ккун апӏдарш, учвуз фтин бадали пешкеш хьибди? Налук гъадабгъурайидарира гьаци апӏурадаринхъа? 
MAT.5.47	Хъа нагагь учву анжагъ ичв гъардшартӏан тебрик апӏури шулдаш, имбудари апӏурайибтӏан артухъ учву фу апӏурачвахъа? Гьаци апӏури шулдаринхъа аллагьсузарира? 
MAT.5.48	Гьаци вуйиган, ичв Аьршарин Адашси, тамамлудар йихьай.
MAT.6.1	Лигай-гьа, учву апӏру уж’вал варидарин улихь рябкъруганси мапӏанай: даршиш Аьршарин ичв Адашдин терефнаан учвуз пешкеш хьибдар.
MAT.6.2	Гьаддиз, гьар фила-вушра учву касибариз уж’вал апӏруган, кьюб маш гъяйидари чпин тярифар апӏри дупну, мистариъна кючйириъ апӏруганси, гьарйир мапӏанай. Гьякьди кӏуразачвуз, дурарихьна сарун чпин рубкьру пай вари дурубкьна. 
MAT.6.3	Уву уж’вал апӏруган, яв арччул хили гьапӏраш, гагул хилиз аьгъю дарибшри. 
MAT.6.4	Яв уж’вал жиниди ибшри. Жиниди апӏурайибра рябкъру Яв Адашди думуган увуз пешкеш тувди.
MAT.6.5	Хъа учву ккарагруган, варидариз рякъри кӏури, мистариъна кючйириъ ккарагуз ккуни кьюб маш гъяйидарси махьанай. Гьякьди кӏуразачвуз, дурарихьна чпин рубкьруб гъурубкьну. 
MAT.6.6	Уву ккарагруган, яв хулаъ учӏв ва, раккин хъябкьну, душваъ шлизкӏа дярякъру яв Адашдиз ккараг. Ва жиниди апӏурайибра рябкъру яв Адашди увуз пешкеш тувди. 
MAT.6.7	Ккарагруган, аллагьсузариси, артухъ гафар мапӏанай. Дурари фикир апӏураки, чпи гизаф гафар апӏури гъахьиш, дурар ерхьиди. 
MAT.6.8	Гьаци дурариз ухшар махьанай, фицики ичв Адашдиз учву ккарагайиз улихьна учвуз фу ккундушра аьгъя. 
MAT.6.9	Гьаддиз гьамци ккарагай:
MAT.6.9	«Я аьршариъ айи ич Адаш!
MAT.6.9	Яв ччвур гирами ибшри.
MAT.6.10	Яв Паччагьлугъ улубкьри.
MAT.6.10	Яв гаф аьршариъси жилиинра тамам ибшри.
MAT.6.11	Учуз лазим вуйи уьл гъийиз ча.
MAT.6.12	Учук кайи бурж учуз гьялал апӏин,
MAT.6.12	ва учура жарадарик кайи ич буржар
MAT.6.12	дурариз гьялал апӏурча.
MAT.6.13	Учу тямягьариъ мааан, писвалихьан уьрх».
MAT.6.14	Эгер учву инсанарилан хил алдабгъиш, Аьршарин ичв Адашдира учвлан хил алдабгъиди.
MAT.6.15	Хъа эгер учву инсанарилан хил алдадабгъиш, думуган ичв Адашдира ичв гунгьарилан хил алдабгъидар.
MAT.6.16	Учву ушв бисруган, кьюб маш гъяйидар фици пашманвалиъ кӏул ипну лицураш, гьаци учвура машар пашман дапӏну милицанай. Фицики дурари, чпи ушв бисурайиб улупуз кӏури, чпин машар язухъ гъюру гьялнаъ дерккра. Гьякьди кӏуразачвуз, дурарихьна рубкьруб дурубкьна.
MAT.6.17	Хъа уву кӏуруш, ушв бисруган, кушар журх, машар жикӏ, 
MAT.6.18	уву ушв бисурайиб инсанариз ваъ, хъа дярякъди увухъ хъайи яв Адашдиз аьгъю шлуганси апӏин. Гьадмуган жиниди апӏурайиб вари рябкъюрайи яв Адашди пешкеш тувдивуз.
MAT.6.19	Жилиин девлет уч мапӏанай, мушваъ думу сурарина мюркъю ипӏуру ва угърийири, хулаъ учӏвну, гьитӏибкӏуру.
MAT.6.20	Аьршариин девлет уч апӏинай, душваъ думу сурарина мюркъю ипӏидар ва, угърийири, архьну, гьитӏибкӏидар, 
MAT.6.21	Гьаз гъапиш яв девлет наан аш, яв юкӏвра гьадушваъ хьибди.
MAT.6.22	Бедендин чирагъ ул ву. Гьаддиз, эгер яв ул марцциди вуш, яв вари беденра акуди хьибди.
