GEN.1.1	Mu ntangiriro Imana yaremye ijuru n'isi. 
GEN.2.11	Urwa mbere rwitwa Pishoni, ni rwo ruca mu gihugu cyose cya Havila kibamo izahabu. 
GEN.2.12	Izahabu yaho ni nziza cyane, kibamo n'ibiti bivamo umubavu mu marira yabyo, n'amabuye y'agaciro yitwa onigisi. 
GEN.2.13	Uruzi rwa kabiri rwitwa Gihoni, ni rwo ruca mu gihugu cyose cya Kushi. 
GEN.2.14	Urwa gatatu rwitwa Tigiri,
GEN.2.15	Uhoraho Imana ashyira umuntu mu busitani bwa Edeni kugira ngo abukorere kandi abufate neza. 
GEN.2.16	Nuko Uhoraho Imana aramubwira ati: “Ushobora kurya ku mbuto z'igiti cyose cyo mu busitani, 
GEN.2.17	uretse izo ku giti cy'ubumenyi bwo gutandukanya icyiza n'ikibi. Ntuzazirye kuko nuzirya uzapfa nta kabuza!”
GEN.2.18	Nuko Uhoraho Imana aravuga ati: “Si byiza ko umuntu aba wenyine, reka muremere umufasha bakwiranye.” 
GEN.2.19	Uhoraho Imana abumba mu butaka inyamaswa zose n'ibisiga n'inyoni byose, arabizana ngo arebe uko umuntu abyita amazina, maze ibifite ubuzima byose bigumana amazina yabyise. 
GEN.2.20	Umuntu yita amazina amatungo n'inyoni n'ibisiga n'inyamaswa zose. Ariko umuntu yari atarabona umufasha bakwiranye. 
GEN.2.21	Nuko Uhoraho Imana asinziriza umuntu agira ibitotsi byinshi, amuvanamo rumwe mu mbavu ze, arangije asubiranya umubiri. 
GEN.2.22	Urwo rubavu Uhoraho Imana avanye mu mugabo aruremamo umugore, amushyīra umugabo. 
GEN.2.23	Umugabo aravuga ati:
GEN.2.23	“Noneho dore uwo duhwanye:
GEN.2.23	ni igufwa ryanjye n'amaraso yanjye.
GEN.2.23	Uyu mwise umugore, kuko avanywe mu mugabo
GEN.2.24	Ni cyo gituma umugabo azasiga se na nyina akabana n'umugore we akaramata, bakaba umuntu umwe.
GEN.2.25	Umugabo n'umugore we bari bambaye ubusa kandi ntibibatere isoni.
GEN.3.1	Inzoka yari incakura kurusha izindi nyamaswa zose Uhoraho Imana yari yararemye. Inzoka ibaza umugore iti: “Mbese koko Imana yababujije kurya ku mbuto zose z'ibiti byo muri ubu busitani?”
GEN.3.2	Umugore asubiza inzoka ati: “Dushobora kurya imbuto z'ibiti byo muri ubu busitani, 
GEN.3.3	uretse iz'igiti kiri hagati muri bwo. Imana yaravuze iti: ‘Ntimuzaziryeho, ndetse ntimuzazikoreho kugira ngo mutazapfa.’ ”
GEN.3.4	Inzoka ibwira umugore iti: “Reka da, ntimuzapfa! 
GEN.3.5	Ahubwo Imana izi ko nimuziryaho muzahumuka, mukamera nka yo, mukamenya gutandukanya icyiza n'ikibi.”
GEN.3.6	Nuko umugore abonye ko imbuto z'icyo giti ari nziza, yibwira ko zigomba kuba ziryoshye kandi zikamenyesha umuntu ubwenge. Asoromaho imbuto ararya, ahaho n'umugabo we bari kumwe, na we ararya. 
GEN.3.7	Ni bwo bombi bahumutse bamenya ko bambaye ubusa. Nuko bidodera ibicocero mu bibabi by'umutini.
GEN.3.8	Baza kumva Uhoraho Imana watemberaga mu busitani mu mafu y'igicamunsi. Maze umugabo n'umugore we bihisha Uhoraho Imana mu biti by'ubusitani. 
GEN.3.9	Uhoraho Imana ahamagara umugabo aramubaza ati: “Uri hehe?”
GEN.3.10	Aramusubiza ati: “Nakumvise mu busitani, ngira ubwoba kuko nambaye ubusa maze ndihisha.”
GEN.3.11	Uhoraho aramubaza ati: “Ni nde wakubwiye ko wambaye ubusa? Aho ntiwariye ku mbuto za cya giti nakubujije?”
GEN.3.12	Umugabo aramusubiza ati: “Umugore wampaye ni we wazimpaye ndazirya.”
GEN.3.13	Uhoraho Imana abaza umugore ati: “Ibyo wakoze ni ibiki?”
GEN.3.13	Umugore arasubiza ati: “Inzoka yanshutse ndazirya.”
GEN.3.14	Nuko Uhoraho Imana abwira inzoka ati: “Kubera ibyo wakoze, ndakuvumye. Mu matungo yose n'inyamaswa zose, ni wowe wenyine uzajya ukurura inda hasi, ukarya n'umukungugu. Bizaba bityo iminsi yose uzabaho. 
GEN.3.15	Nshyize inzigo hagati yawe n'umugore, no hagati y'urubyaro rwawe n'urwe. Ruzakujanjagura umutwe, nawe urukomeretse agatsinsino.”
GEN.3.16	Abwira umugore ati: “Nzongēra imibabaro yawe utwite, uzabyare uribwa n'ibise. Uzahora wifuza umugabo wawe, na we agutegeke.”
GEN.3.17	Hanyuma abwira umugabo ati: “Wumviye inama mbi y'umugore wawe, urya ku mbuto z'igiti nakubujije. Kubera ibyo wakoze ubutaka buravumwe. Iminsi yose yo kubaho kwawe uzajya uhinga uruhe kugira ngo ubone ibigutunga. 
GEN.3.18	Ubutaka buzamera amahwa n'ibitovu, utungwe n'ibimera byo mu gasozi. 
GEN.3.19	Uzajya ubona ibyokurya wiyushye akuya, kugeza igihe uzapfira usubire mu gitaka, kuko ari cyo wavuyemo. Koko uri umukungugu kandi uzasubira mu mukungugu.”
GEN.3.20	Uwo mugabo Adamu yita umugore we Eva, kuko ari we wabaye nyina w'abantu bose.
GEN.3.21	Uhoraho Imana akorera Adamu n'umugore we imyambaro mu mpu, arayibambika.
GEN.3.22	Uhoraho Imana aravuga ati: “Dore umuntu yabaye nkatwe, kubera ko yamenye gutandukanya icyiza n'ikibi. Ntagomba no gusoroma ku mbuto z'igiti cy'ubugingo ngo aryeho, abeho iteka!”
GEN.3.23	Nuko Uhoraho Imana yirukana umuntu mu busitani bwa Edeni, ngo ajye guhinga ubutaka yavuyemo. 
GEN.3.24	Amaze kwirukana umuntu, ashyira mu burasirazuba bw'ubusitani bwa Edeni abakerubi bafite inkota z'umuriro zirabagirana, ngo bice inzira igana ku giti cy'ubugingo.
GEN.4.1	Adamu aryamana n'umugore we Eva amutera inda, abyara umuhungu amwita Kayini, avuga ati: “Mbyaye umwana mbikesha Uhoraho.”
GEN.4.2	Eva abyara undi muhungu amwita Abeli.
GEN.4.2	Abeli aba umushumba, naho Kayini aba umuhinzi. 
GEN.4.3	Hashize igihe Kayini ashyīra Uhoraho ituro ry'imyaka yahinze, 
GEN.4.4	Abeli na we azana uburiza mu matungo ye, n'ibinure byayo. Uhoraho yishimira Abeli n'ituro rye, 
GEN.4.5	ariko ntiyishimira Kayini n'ituro rye.
GEN.4.5	Ibyo birakaza Kayini cyane maze mu maso he harijima. 
GEN.4.6	Uhoraho abaza Kayini ati: “Urakajwe n'iki? Ese ni iki cyatumye mu maso hawe hijima? 
GEN.4.7	Nukora ibyiza, sinzabura kukwishimira. Ariko nudakora ibyiza, umenye ko icyaha kikubikiye nk'inyamaswa igutegeye ku muryango ngo igusumire. Nyamara ukwiriye kukinesha.”
GEN.4.8	Umunsi umwe Kayini na murumuna we Abeli bari mu murima baganira, Kayini asumira Abeli aramwica. 
GEN.4.9	Uhoraho abaza Kayini ati: “Murumuna wawe Abeli ari he?”
GEN.4.9	Kayini aramusubiza ati: “Ndabizi se? Ese nshinzwe kurinda murumuna wanjye?”
GEN.4.10	Uhoraho aramubwira ati: “Ibyo wakoze ni ibiki? Amaraso ya murumuna wawe wamennye ku butaka, ngomba kuyahōrera. 
GEN.4.11	Kuva ubu ubaye ikivume kurusha ubutaka bwasamye bukamira amaraso ya murumuna wawe wishe. 
GEN.4.12	Nubuhinga ntibuzongera kukurumbukira, bityo uzahora uri inzererezi wangara ku isi.”
GEN.4.13	Kayini abwira Uhoraho ati: “Icyo gihano kirakabije, sinashobora kucyihanganira. 
GEN.4.14	Dore uhereye ubu unciye ku isuka, ntuzatuma nongera kuguca iryera, umpinduye inzererezi ngo mpore nangara ku isi, kandi uzambona wese azanyica.”
GEN.4.15	Uhoraho aramubwira ati: “Oya Kayini we, uwakwica wese yabihōrerwa karindwi.” Nuko Uhoraho ashyira ikimenyetso kuri Kayini, kugira ngo uzahura na we atazamwica. 
GEN.4.16	Kayini ava imbere y'Uhoraho ajya gutura mu gihugu cyitwa Nodi, mu burasirazuba bwa Edeni.
GEN.4.17	Kayini aryamana n'umugore we, amutera inda, abyara umuhungu bamwita Henoki. Kayini yubaka umujyi awitirira uwo muhungu we Henoki. 
GEN.4.18	Henoki abyara Iradi, Iradi abyara Mehuyayeli, Mehuyayeli abyara Metushayeli, Metushayeli abyara Lameki.
GEN.4.19	Lameki ashaka abagore babiri: uwa mbere yitwaga Ada, uwa kabiri akitwa Sila. 
GEN.4.20	Ada abyara Yabali, sekuruza w'aborozi batuye mu mahema. 
GEN.4.21	Murumuna we yitwaga Yubali, sekuruza w'abacuranga inanga bakavuza n'imyirongi. 
GEN.4.22	Sila we yabyaye Tubalikayini, sekuruza w'abacura ibikoresho byose mu muringa no mu cyuma. Mushiki we yitwaga Nāma.
GEN.4.23	Lameki abwira abagore be ati:
GEN.4.23	“Ada na Sila, nimutege amatwi!
GEN.4.23	Bagore banjye, nimwumve icyo mbabwira!
GEN.4.23	Nishe umugabo muhōra ko yankomerekeje,
GEN.4.23	nishe n'umusore muhōra ko yankubise.
GEN.4.24	Niba Kayini yahōrerwa incuro ndwi,
GEN.4.24	jyewe nzihōrera
GEN.4.25	Adamu aryamana n'umugore we, arongera amutera inda, abyara umuhungu amwita Seti, avuga ati: “Imana inshumbushije undi mwana mu mwanya wa Abeli, Kayini yishe.”
GEN.4.26	Seti na we abyara umuhungu amwita Enoshi.
GEN.4.26	Icyo gihe abantu batangiye gusenga Imana bayita Uhoraho.
GEN.5.1	Iyi ni inyandiko ivuga ku bakomoka kuri Adamu.
GEN.5.1	Igihe Imana yaremaga umuntu, yamuremye asa na yo. 
GEN.5.2	Umugabo n'umugore ni ko yabaremye, icyo gihe ibaha umugisha, ibita abantu.
GEN.5.3	Adamu amaze imyaka ijana na mirongo itatu, abyara umuhungu basa kandi umeze nka we, amwita Seti. 
GEN.5.4	Amaze kubyara Seti, abaho indi myaka magana inani, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.5	Adamu yapfuye amaze imyaka managa cyenda na mirongo itatu.
GEN.5.6	Seti amaze imyaka ijana n'itanu avutse, abyara Enoshi. 
GEN.5.7	Amaze kubyara Enoshi, abaho indi myaka magana inani n'irindwi, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.8	Seti yapfuye amaze imyaka magana cyenda na cumi n'ibiri.
GEN.5.9	Enoshi amaze imyaka mirongo cyenda avutse, abyara Kenani. 
GEN.5.10	Amaze kubyara Kenani, abaho indi myaka magana inani na cumi n'itanu, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.11	Enoshi yapfuye amaze imyaka magana cyenda n'itanu.
GEN.5.12	Kenani amaze imyaka mirongo irindwi avutse, abyara Mahalalēli. 
GEN.5.13	Amaze kubyara Mahalalēli, abaho indi myaka magana inani na mirongo ine, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.14	Kenani yapfuye amaze imyaka magana cyenda na cumi.
GEN.5.15	Mahalalēli amaze imyaka mirongo itandatu n'itanu avutse, abyara Yeredi. 
GEN.5.16	Amaze kubyara Yeredi, abaho indi myaka magana inani na mirongo itatu, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.17	Mahalalēli yapfuye amaze imyaka magana inani na mirongo cyenda n'itanu.
GEN.5.18	Yeredi amaze imyaka ijana na mirongo itandatu n'ibiri avutse, abyara Henoki. 
GEN.5.19	Amaze kubyara Henoki, abaho indi myaka magana inani, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.20	Yeredi yapfuye amaze imyaka magana cyenda mirongo itandatu n'ibiri.
GEN.5.21	Henoki amaze imyaka mirongo itandatu n'itanu avutse, abyara Metusela. 
GEN.5.22	Amaze kubyara Metusela, abaho indi myaka magana atatu, ayoboka Imana kandi abyara abandi bahungu n'abakobwa. 
GEN.5.23	Henoki yabayeho imyaka magana atatu na mirongo itandatu n'itanu, 
GEN.5.24	hanyuma kubera ko yayobotse Imana iramujyana, ntihagira uwongera kumuca iryera.
GEN.5.25	Metusela amaze imyaka ijana na mirongo inani n'irindwi avutse, abyara Lameki. 
GEN.5.26	Amaze kubyara Lameki, abaho indi myaka magana arindwi mirongo inani n'ibiri, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.27	Metusela yapfuye amaze imyaka magana cyenda na mirongo itandatu n'icyenda.
GEN.5.28	Lameki amaze imyaka ijana na mirongo inani n'ibiri avutse, abyara umuhungu. 
GEN.5.29	Amwita Nowa, avuga ati: “Uyu azaturuhura mu mirimo inaniza yo guhinga ubutaka bwavumwe n'Uhoraho.”
GEN.5.30	Amaze kubyara Nowa, Lameki abaho indi myaka magana atanu na mirongo cyenda n'itanu, ayibyaramo abandi bahungu n'abakobwa. 
GEN.5.31	Lameki yapfuye amaze imyaka magana arindwi na mirongo irindwi n'irindwi.
GEN.5.32	Nowa amaze imyaka magana atanu avutse, abyara Semu na Hamu na Yafeti.
GEN.6.1	Abantu batangiye kuba benshi ku isi, bamaze no kubyara abakobwa, 
GEN.6.2	abahungu b'Imana
GEN.6.3	Uhoraho ni ko kuvuga ati: “Umwuka w'ubugingo ntuzaguma mu bantu iteka, kuko bagomba gupfa. Bazamara imyaka ijana na makumyabiri gusa.”
GEN.6.4	Muri ibyo bihe abahungu b'Imana babanaga n'abakobwa b'abantu, bakababyarira abana. Ni cyo cyatumye ku isi hāri abantu barebare kandi banini, ari bo za ntwari z'ibirangirire zo mu bihe bya kera.
GEN.6.5	Uhoraho abona ko abantu bo ku isi bakabije gukora ibibi, kandi ko bahorana imigambi mibi, 
GEN.6.6	maze arababara yicuza icyatumye arema umuntu akamushyira ku isi. 
GEN.6.7	Ni ko kuvuga ati: “Nzatsemba ku isi abantu naremye, mbatsembane n'amatungo n'ibikurura inda hasi n'inyoni n'ibisiga, kuko nicuza icyatumye mbirema.” 
GEN.6.8	Icyakora Nowa we atoneshwa n'Uhoraho.
GEN.6.9	Dore amateka ya Nowa:
GEN.6.9	Nowa yari umuntu w'intungane mu bo mu gihe cye, ni we wari indakemwa kandi yayobokaga Imana. 
GEN.6.10	Nowa yabyaye abahungu batatu, ari bo Semu na Hamu na Yafeti.
GEN.6.11	Imana ibona isi yononekaye kandi yuzuye urugomo, 
GEN.6.12	kubera ko abantu bose bakabije gukora ibibi. 
GEN.6.13	Nuko ibwira Nowa iti: “Ngiye gutsemba abantu bose kuko bujuje isi urugomo, ngiye kubatsembana n'ibiri ku isi byose.
GEN.6.14	“Iyubakire ubwato bunini mu mbaho zikomeye, ucemo ibyumba. Hanyuma ubuhomeshe kaburimbo imbere n'inyuma kugira ngo amazi atinjiramo. 
GEN.6.15	Dore uko uzabwubaka: buzagira uburebure bwa metero ijana na mirongo itanu, n'ubugari bwa metero makumyabiri n'eshanu, n'ubuhagarike bwa metero cumi n'eshanu. 
GEN.6.16	Uzashyireho igisenge, hagati yacyo n'inkuta hazabe santimetero mirongo itanu. Uzashyire umuryango mu rubavu rwabwo, kandi ubwubakemo amagorofa atatu.
GEN.6.17	“Dore ngiye guteza isi umwuzure utsembe abantu n'ibinyabuzima byose biyiriho, byose bizashiraho. 
GEN.6.18	Ariko wowe tuzagirana amasezerano. Uzinjire mu bwato, wowe n'umugore wawe n'abahungu bawe n'abakazana bawe. 
GEN.6.19	Uzinjize mu bwato n'ibinyabuzima bibiri bibiri bya buri bwoko, ikigabo n'ikigore kugira ngo bidapfa. 
GEN.6.20	Hazajye haza bibiri bya buri bwoko bigusange kugira ngo bidapfa: inyoni n'ibisiga n'amatungo n'ibikurura inda hasi byose uko amoko yabyo ari. 
GEN.6.21	Wowe uzashake ibiribwa by'amoko yose ubibike, kugira ngo bizabatungane n'ibyo binyabuzima.”
GEN.6.22	Nowa akora ibyo Imana yamutegetse byose.
GEN.7.1	Uhoraho abwira Nowa ati: “Injira mu bwato wowe n'ab'inzu yawe bose, kuko ari wowe gusa mbona utunganye mu bantu b'iki gihe. 
GEN.7.2	Mu nyamaswa n'amatungo byose bidahumanya
GEN.7.3	No mu nyoni n'ibisiga uzafatemo birindwi bya buri gitsina, kugira ngo amoko yabyo azakomeze kororoka ku isi. 
GEN.7.4	Kuko hasigaye iminsi irindwi nkagusha imvura iminsi mirongo ine n'amajoro mirongo ine, ngatsemba ibyaremwe byose biri ku butaka.”
GEN.7.5	Nowa akora ibyo Uhoraho yamutegetse byose.
GEN.7.6	Mu gihe cy'umwuzure, Nowa yari amaze imyaka magana atandatu avutse. 
GEN.7.7	Nuko Nowa n'umugore we n'abahungu be n'abakazana be binjira mu bwato, bahunga umwuzure. 
GEN.7.8	Mu nyamaswa n'amatungo bidahumanya no mu bihumanya, no mu nyoni no mu bisiga no mu bikurura inda hasi byose, 
GEN.7.9	hinjira bibiri bibiri, ikigabo n'ikigore, bisanga Nowa mu bwato, nk'uko Imana yabitegetse.
GEN.7.10	Hashize iminsi irindwi, umwuzure utera ku isi.
GEN.7.11	Ku itariki ya cumi na karindwi y'ukwezi kwa kabiri Nowa amaze imyaka magana atandatu avutse, amasōko yose aravubura, maze ibigomera amazi byose byo ku ijuru birafunguka. 
GEN.7.12	Nuko imvura igwa iminsi mirongo ine n'amajoro mirongo ine. 
GEN.7.13	Uwo munsi Nowa n'umugore we n'abahungu be Semu na Hamu na Yafeti, n'abakazana be batatu bari binjiye mu bwato. 
GEN.7.14	Bari binjiranyemo n'inyamaswa z'amoko yose, n'amatungo y'amoko yose, n'ibikurura inda hasi by'amoko yose, n'inyoni n'ibisiga by'amoko yose. 
GEN.7.15	Byaje bisanga Nowa mu bwato, bibiri bibiri bivuye mu binyabuzima byose, 
GEN.7.16	ari ikigabo n'ikigore bivuye muri buri bwoko. Byinjiye nk'uko Imana yabitegetse, maze Uhoraho akinga urugi.
GEN.7.17	Nyuma y'iminsi mirongo ine amazi y'umwuzure yari amaze kuba menshi, aterura ubwato burareremba. 
GEN.7.18	Amazi akomeza kwiyongera, aba menshi ku isi kugeza ubwo ubwato busigara bugenda hejuru yayo. 
GEN.7.19	Amazi arushaho kwiyongera cyane, ndetse n'imisozi miremire yose irarengerwa, 
GEN.7.20	amazi ayirengeraho metero ndwi. 
GEN.7.21	Ibikurura inda hasi n'inyoni n'ibisiga, n'amatungo n'inyamaswa n'udukōko ndetse n'abantu, byose birapfa. 
GEN.7.22	Ibinyabuzima byose bihumeka biba ku butaka birashira. 
GEN.7.23	Bityo ibiremwa byose biba ku butaka, ari abantu ari n'amatungo, ari ibikurura inda hasi, ari inyoni n'ibisiga, byose birarimbuka. Hasigaye gusa Nowa n'abe n'ibyari kumwe na we mu bwato.
GEN.7.24	Amazi yamaze iminsi ijana na mirongo itanu ku isi ataragabanuka.
GEN.8.1	Imana ntiyibagiwe Nowa n'inyamaswa zose n'amatungo yose bari kumwe mu bwato, ituma umuyaga uhuha ku isi, amazi atangira kugabanuka. 
GEN.8.2	Nuko amasōko yose araziba, n'ibigomera amazi byose byo ku ijuru birafungwa, imvura ntiyongera kugwa. 
GEN.8.3	Mu minsi ijana na mirongo itanu amazi yagendaga agabanuka. 
GEN.8.4	Ku itariki ya cumi na karindwi y'ukwezi kwa karindwi, ubwato buhagarara kuri umwe mu misozi ya Ararati. 
GEN.8.5	Amazi agenda agabanuka kugeza ku itariki ya mbere y'ukwezi kwa cumi, maze impinga z'imisozi ziragaragara.
GEN.8.6	Hashize indi minsi mirongo ine, Nowa akingura idirishya yari yashyize ku bwato, 
GEN.8.7	arekura icyiyoni kirasohoka kiragaruka, gikomeza kugenda kigaruka kugeza igihe amazi akamiye. 
GEN.8.8	Nowa arekura n'inuma, kugira ngo arebe ko amazi yagabanutse ku butaka. 
GEN.8.9	Ariko inuma ntiyabona aho ihagarara kuko amazi yari akiretse ku isi yose. Isubira mu bwato, Nowa atega ikiganza arayifata, ayigarura mu bwato. 
GEN.8.10	Ategereza iminsi irindwi, arongera arekura inuma isohoka mu bwato. 
GEN.8.11	Ku mugoroba igaruka mu bwato ifite mu kanwa ikibabi gitoshye cy'umunzenze. Nowa amenya atyo ko amazi yagabanutse ku isi. 
GEN.8.12	Ategereza indi minsi irindwi, arekura inuma ariko ntiyongera kugaruka.
GEN.8.13	Ku itariki ya mbere y'ukwezi kwa mbere Nowa amaze imyaka magana atandatu n'umwe avutse, amazi yari ku isi arakama. Nowa akuraho icyari gitwikiriye ubwato, abona ubutaka butangiye kumuka. 
GEN.8.14	Ku itariki ya makumyabiri na karindwi y'ukwezi kwa kabiri, isi yari imaze kumuka neza.
GEN.8.15	Maze Imana ibwira Nowa iti: 
GEN.8.16	“Sohoka mu bwato, wowe n'umugore wawe n'abahungu bawe n'abakazana bawe. 
GEN.8.17	Sohokana n'inyamaswa n'inyoni n'ibisiga, n'amatungo n'ibikurura inda hasi muri kumwe byose, kugira ngo byororoke bigwire bibe byinshi ku isi.”
GEN.8.18	Nuko Nowa asohokana n'umugore we n'abahungu be n'abakazana be. 
GEN.8.19	Inyamaswa zose n'udukōko twose, n'inyoni n'ibisiga byose, n'ibikurura inda hasi byose, bisohoka mu bwato uko amoko yabyo ari.
GEN.8.20	Nowa yubakira Uhoraho urutambiro. Afata amwe mu matungo yose adahumanya, na zimwe mu nyoni zose zidahumanya, abitamba ho ibitambo bikongorwa n'umuriro kuri urwo rutambiro. 
GEN.8.21	Uhoraho yishimira impumuro y'ibyo bitambo, maze aribwira ati: “Sinzongera kuvuma ubutaka ukundi kubera umuntu. Nubwo abantu bahorana imigambi mibi kuva bakiri bato, sinzongera kurimbura ibinyabuzima byose nk'uko nabigenje. 
GEN.8.22	Iminsi yose isi izaba ikiriho, igihe cyo kubiba n'icyo gusarura, icy'imbeho n'icy'ubushyuhe, icy'impeshyi n'icy'itumba, n'amanywa n'ijoro ntibizavaho.”
GEN.9.1	Imana iha umugisha Nowa n'abahungu be, irababwira iti: “Nimubyare mugwire mwuzure isi. 
GEN.9.2	Inyamaswa n'inyoni n'ibisiga, n'ibikurura inda hasi n'amafi, byose muzabitera ubwoba bibatinye, ndabibeguriye. 
GEN.9.3	Nk'uko nabahaye ibimera bibisi, ni ko mbahaye n'ibinyabuzima byose ngo bibatunge, 
GEN.9.4	uretse ko inyama zikirimo amaraso mutazazirya kubera ko amaraso agendana n'ubugingo. 
GEN.9.5	Ni cyo gituma amaraso y'umuntu wese azahōrerwa. Nihagira inyamaswa yica umuntu na yo ntikabure kwicwa, n'umuntu uzica undi azabiryozwa. 
GEN.9.6	Umuntu yaremwe asa n'Imana, ni yo mpamvu uzamwica na we azicwa n'abandi. 
GEN.9.7	Mwebwe nimubyare mugwire, mube benshi mwuzure isi.”
