GEN.1.1	Dəkəcop, kɔ Kanu kəwurɛ kɔm k'antɔf. 
GEN.1.18	Pomot pɔpɔŋ pɛtasərnɛ dɔsɔk, pomot pɛfɛt kɔ cɔs yɛtasərnɛ pibi, tɔsɔŋɛ pəwaŋkəra pɛgbɛyɛnɛ kɔ kubump. Kɔ Kanu kənəŋk fɔ tentesɛ. 
GEN.1.19	Kɔ dɔfɔy deyi, kɔ bət-bət beyi, kɔ tɔyɔnɛ tataka ta maŋkəlɛ.
GEN.1.20	Kɔ Kanu kəloku sɔ: «Yeŋesəm ya dəkəba yɛc-sɛp dəromun. Bɛmp yɛc-fɛlər-fɛlər kɔm tantɔf!» 
GEN.1.21	Kɔ Kanu kəwurɛ sɛm yɔpɔŋ ya dəromun dokom dokom, kɔ yɛŋɛrəŋ-ŋɛrəŋ ya dəromun, kɔ domun doŋcop kəsɛp. Kɔ Kanu kəwurɛ sɔ bɛmp dokom dokom. Kɔ Kanu kənəŋk fɔ tentesɛ. 
GEN.1.22	Kɔ Kanu kəmpocɛ yi pətɔt
GEN.1.23	Kɔ dɔfɔy deyi kɔ bət-bət beyi, kɔ tɔyɔnɛ tataka ta kəcamət.
GEN.1.24	Kɔ Kanu kəloku sɔ: «Antɔf ŋɔyɔ yeŋesəm dokom dokom, sɛm yɔcɔl, yeliŋɛ-liŋɛ, kɔ sɛm ya dəkulum, fəp fa yi kɔ dokom da yi!» Kɔ teyi tatɔkɔ. 
GEN.1.25	Kɔ Kanu kəwurɛ sɛm ya dəkulum dokom dokom, yɔcɔl dokom dokom kɔ yeliŋɛ-liŋɛ fəp dokom dokom. Kɔ Kanu kənəŋk fɔ tentesɛ. 
GEN.1.26	Kɔ Kanu kəloku: «Awa, palompəs fum teyi tosu, wəwurɛnɛ kosu, nwɛ endetasərnɛ lop ya dəkəba, bɛmp ya dareŋc, yɔcɔl kɔ yeliŋɛ-liŋɛ ya dəntɔf fəp mɔ!»
GEN.1.27	Kɔ Kanu kəlompəs fum
GEN.1.27	pəwurɛnɛ kɔ nkɔn Kanu,
GEN.1.27	kɔ kəlompəs ŋa ŋawurɛnɛ kɔ nkɔn Kanu,
GEN.1.27	wərkun kɔ wəran.
GEN.1.28	Kɔ Kanu kəmpocɛ ŋa pətɔt, kɔ kəloku: «Nəyɔnɛ akombəra, nəla, nəlas antɔf, nəboc antɔf tɛfaŋ tonu! Nətasərnɛ lop ya dəkəba, bɛmp nyɛ yɛŋfɛlər dareŋc mɔ, sɛm kɔ yeliŋɛ-liŋɛ ya dəntɔf fəp.» 
GEN.1.29	Kɔ Kanu kəloku: «Isɔŋ nu yika nyɛ yɔyɔ defet dakayi mɔ, kɔ yokom ya tɔk. Yɔyɔnɛ nu yeri. 
GEN.1.30	Sɛm ya dəntɔf, bɛmp ya dareŋc, yɛfɛlər-fɛlər ya dareŋc, kɔ yeliŋɛ-liŋɛ ya dəntɔf, ca fəp nyɛ yeŋesəm mɔ, isɔŋ yi dəmnɛ yika yobuk yɔyɔnɛ yi yeri.» Kɔ teyi sɔ tatɔkɔ. 
GEN.1.31	Kɔ Kanu kənəŋk fɔ mes mɔkɔ ɛnayɔ mɔ fəp, mɔtɔt dəm mɛnayi. Kɔ dɔfɔy deyi kɔ bət-bət beyi, kɔ tɔyɔnɛ tataka ta camət-tin.
GEN.2.1	Dɔsɔk da camət-tin dadɔkɔ, di d' analəpəs kɔm, antɔf kɔ ca yɛləpəs nyɛ. 
GEN.2.2	Tataka ta camət-mɛrəŋ, kɔ yolompəs ya Kanu fəp yelip, k'ɛsak, k'eŋesəm tataka ta camət-mɛrəŋ ta yɛbəc yɔn. 
GEN.2.3	Kɔ Kanu kəsɔŋ tataka ta camət-mɛrəŋ pəleli. K'eleləs pi, bawo dɔsɔk dadɔkɔ dɔ Kanu kəsak yɛbəc ya kəlompəs yɔkɔ ɛnayi mɔ. 
GEN.2.4	Dəkəyɛfɛ da kɔm k'antɔf dɔ dadɔkɔ, ntɛ awurɛ yi mɔ.
GEN.2.4	Ntɛ Mariki Kanu
GEN.2.5	ali tɔtɔk pa dalɛ pin pɛnayi fɛ antɔf kəroŋ, ali ayika ŋa dalɛ ŋin ŋɛnapoŋ fɛ tɛm tatɔkɔ. Bawo Mariki Kanu ɛnatorɛ fɛ wəcafən dəntɔf, fum ɛnayi fɛ sɔ, nwɛ ɛmbəc antɔf mɔ. 
GEN.2.6	Mba kifir kəŋc-pɛ dəntɔf, nkɛ kəŋc-dəməs antɔf fəp mɔ.
GEN.2.7	Kɔ Kanu Kəpɔŋ kəsɛlɛ fum kəbof ka dəntɔf. Kɔ Kanu kəfurup kɔ dololəm kifir ka kəyinɛ doru, kɔ fum ɔyɔnɛ paka peŋesəm. 
GEN.2.8	Kɔ Kanu Kəpɔŋ kəmbɔf tɔk yokom nde dalɛ da Edeŋ, kəca nkɛ dec dɛmpɛ mɔ, k'ɛmbɛrsɛ di fum nwɛ ɛnasɛl mɔ. 
GEN.2.9	Kɔ Kanu Kəpɔŋ kəsɔŋɛ kɔ tɔk yokom yɔbɔt kədi yompoŋəs-poŋəs fəp, kəlɛkɛnɛ kətɔk ka kəyinɛ wəyeŋ katina nkɛ kənacəmɛ nde dalɛ dacɔ mɔ, kɔ kətɔk ka kəcərɛnɛ pətɔt kɔ pəlɛc.
GEN.2.10	Kɔ kəŋgbɔkɔ kəwur Edeŋ, nkɛ kəŋc-dəməs dalɛ mɔ. Kɔ kəŋgbɔkɔ kaŋkɔ kəŋkɔ kəyerənɛ dalɛ disrɛ waca maŋkəlɛ. 
GEN.2.11	Kəca kəcɔkɔ-cɔkɔ k'aŋc-we «Pisɔŋ», ki kənɔŋkər atɔf ŋa Hawila fəp, nde kɛma kəyi mɔ. 
GEN.2.12	(Nde ambəp kɛma kəsoku pɛs mɔ, ŋcɛmcɛm yobotu ambɔŋc,
GEN.2.13	Kəca ka mɛrəŋ k'aŋwe «Kihɔŋ», ki kənɔŋkər atɔf ŋa Kus.
GEN.2.14	K'aŋwe kəŋgbɔkɔ ka maas «Tikər»
GEN.2.15	Kɔ Kanu Kəpɔŋ kəlɛk fum, kɔ kəmbɛrsɛ kɔ dalɛ da Edeŋ disrɛ, a pəbɔfət ca, pəbumɛnɛ sɔ di. 
GEN.2.16	Kɔ Kanu Kəpɔŋ kətiŋtiŋ fum: «Məntam kədi yeri ya dalɛ dandɛ fəp. 
GEN.2.17	Mba ta mədi pokom pa kətɔk ka kəcərɛnɛ pətɔt kɔ pəlɛc de! Bawo dɔsɔk ndɛ məndedi pokom pa ki mɔ, məŋfi!»
GEN.2.18	Kɔ Kanu Kəpɔŋ kəloku: «Pəmar fɛ wərkun pəyi sona! Indelompəs wəmarəs kɔn, ntɛ tɔŋsɔŋɛ ŋayi mɛrəŋ mɔ.» 
GEN.2.19	Kɔ Kanu Kəpɔŋ kəŋkɛrɛ fum sɛm ya dalɛ kɔ bɛmp ya dareŋc nyɛ kənawurɛ dəntɔf mɔ, kədemɔmən ntɛ ende pəcwe yi mɔ. Ntɛ tɔŋsɔŋɛ yowurɛ yɔn fəp yɔyɔ mewe mmɛ fum ende pəcwe yi mɔ. 
GEN.2.20	Kɔ fum ɔsɔŋ sɛm yɔcɔl fəp mewe, kɔ bɛmp ya dareŋc kɔ fum ɔsɔŋ sɔ sɛm ya dəkulum fəp mewe. Mba ta fum taŋ, ɔsɔtɔ fɛ nwɛ endetam kəcmar kɔ mɔ. 
GEN.2.21	Kɔ Kanu Kəpɔŋ kəsɔŋ wərkun mere mɔpɔŋ, k'endirɛ. Kɔ Kanu kəwurɛ wərkun kəbɛnt kəkəsək ka dɛbəkəc. Kɔ kəluksərnɛ sɔ, kɔ kəntaməs dənda. 
GEN.2.22	Kɔ Kanu Kəpɔŋ kəlompəsɛ wəran kəbɛnt kəkəsək nkɛ ɛnawurɛ wərkun mɔ, k'eŋkenɛ wərkun wəran nwɛ. 
GEN.2.23	Kɔ wərkun oŋkulɛ: «Apayo!»
GEN.2.23	«Wəkawɛ taŋ,
GEN.2.23	kəbɛnt ka bɛnt yem,
GEN.2.23	tɛsɛm ta sɛm yem.»
GEN.2.23	Wəkawɛ andewe «wəran» wənɛŋcɛnɛ ka wərkun,
GEN.2.23	bawo nnɔ dis dem d' awurɛ kɔ.
GEN.2.24	Ti tɔ wərkun ɛŋyɛfɛnɛ kas kɔ kɛrɛ kəsək pəkɔ pəyi taciŋa kɔ wəran kɔn. Ŋakafəlɛ ŋayɔnɛ tɛsɛm tin tayi.
GEN.2.25	Wərkun kɔ wəran kɔn fəp faŋan kəsɔkər kɔ ŋanayi, ta ŋaŋlapərɛnɛ-ɛ.
GEN.3.1	Abok ŋɛnacərɛ mes ŋɛtas sɛm ya dalɛ fəp nyɛ Kanu Kəpɔŋ kənawurɛ mɔ. K'abok ŋeyif wəran: «Kanu kəloku nu yati: ‹A ta nədi yokom ya tɔk ya dalɛ dandɛ?›» 
GEN.3.2	Kɔ wəran oloku abok: «Səndi yokom ya tɔk ya dalɛ dandɛ yati. 
GEN.3.3	Mba kətɔk nkɛ kəyi dalɛ dacɔ mɔ, Kanu kəloku: ‹Ta nədi yokom ya ki, ta nəgbuŋɛnɛ ŋaŋ ki! Kɔ nəyɔ ti-ɛ, nəŋfi.›» 
GEN.3.4	K'abok ŋoloku wəran: «Nəfɔfi! 
GEN.3.5	Bawo Kanu kəŋcərɛ, a dɔsɔk ndɛ nəndi yi mɔ, fɔr yonu yeŋmepɛ, nəyi pəmɔ Kanu nkɛ kəŋcərɛ pətɔt kɔ pəlɛc mɔ.»
GEN.3.6	Kɔ wəran ɛnəŋk a pokom pa kətɔk pɔmbɔt kədi, pɔmbɔt kəmɔmən, pentam kəsɔŋ kəcərɛ pətɔt kɔ pəlɛc. Kɔ wəran oŋgbotu pokom k'endi. K'ɔsɔŋ wos wəkɔ ŋanasol mɔ, kɔ wəkakɔ sɔ endi. 
GEN.3.7	Kɔ ŋamepɛ fɔr, kɔ ŋaŋcərɛnɛ a kəsɔkər kɔ ŋawur. Kɔ ŋaŋgbotu bɔpər ya kətɔk ka cəpɔp
GEN.3.8	Dec dɔrɔfɔy, ntɛ tefef towur mɔ, wərkun kɔ wəran ŋane dim da Kanu Kəpɔŋ, nkɛ kəŋckɔtəs mɔ. wərkun kɔ wəran kɔ ŋaŋkɔ ŋagbɔpnɛ ŋabɔlɛ Kanu fɔr kiriŋ, tɔk ya dalɛ dadɔkɔ dacɔ. 
GEN.3.9	Kɔ Kanu Kəpɔŋ kəwe wərkun kɔ kəyif kɔ: «Deke məyi-ɛ?» 
GEN.3.10	Kɔ wərkun oloku Kanu: «Dim d' in' am dalɛ disrɛ, k'inesɛ, bawo iwur kəsɔkər, ti t' iŋgbɔpnɛnɛ.» 
GEN.3.11	Kɔ Kanu Kəpɔŋ kəyif kɔ sɔ: «Anɔ 'mentər əm a kəsɔkər kɔ məwur-ɛ? Cepɔ məndi pokom pa kətɔk kəŋkɔ inamɔn' am mɔ ba?» 
GEN.3.12	Kɔ wərkun oloku: «Wəran nwɛ məsɔŋ im mɔ, nkɔn ɔsɔŋ im pi k'ina sɔ indi.»
GEN.3.13	Kɔ Kanu kəyif wəran: «Ta ake tɔ məyɔnɛ tantɛ-ɛ?»
GEN.3.13	Kɔ wəran oloku Kanu: «Abok ŋetiŋkər im, k'indi pokom pampɛ.»
GEN.3.14	Kɔ Kanu Kəpɔŋ kəloku abok:
GEN.3.14	«Bawo məsɔŋɛ wəran kəciya,
GEN.3.14	kəsɔŋ əm kənder pəlɛc sɛm yɔcɔl,
GEN.3.14	kɔ sɛm ya dop fəp dacɔ.
GEN.3.14	Kor kɔ mənde məcliŋɛnɛ,
GEN.3.14	məcdi kəbof mataka ma kiyi kam doru fəp.
GEN.3.15	Kəbɛrs əm k'inder dacɔ kɔ wəran,
GEN.3.15	kəyɛfɛ nəna haŋ awut a wəran
GEN.3.15	kəbəp awut a məna, Abok!
GEN.3.15	Wəran ende pəc-putək əm domp,
GEN.3.15	məna, Abok, məc-ŋaŋ kɔ dəmnɛ atek.»
GEN.3.16	Kɔ Kanu kəloku wəran:
GEN.3.16	«Indeyɔ kəbɛkəs kam kəc-cu'm.
GEN.3.16	Pəcuca pɔ mənde məc-kom.
GEN.3.16	Mɛfaŋ mam məndekɔ nda wos əm.
GEN.3.16	Mba endetasərn' am.»
GEN.3.17	Kɔ Kanu kəloku wərkun:
GEN.3.17	«Bawo, məŋcəŋkəl dim da wəran kam,
GEN.3.17	kɔ məndi pokom pa kətɔk nkɛ inamɔn' am kədi mɔ,
GEN.3.17	Indesɔŋ antɔf pəlɛc tetam:
GEN.3.17	Pəcuca pɔ mənde məcsɔtər ŋi yeri yam
GEN.3.17	dɔsɔk o dɔsɔk kiyi kam doru fəp.
GEN.3.18	Yika ya dəkulum yɔ mənde məc-di.
GEN.3.18	Mba antɔf ŋende ŋoc-kom am
GEN.3.18	bɛŋk kɔ ŋgbɔŋkəlɔ.
GEN.3.19	Kawonɛ ka tobu tam
GEN.3.19	kəndesɔŋ' am kəc-sɔm kəcom
GEN.3.19	haŋ tɛm ntɛ məndelukus dəntɔf
GEN.3.19	nde məyɛfɛ mɔ.
GEN.3.19	Bawo kəbof kɔ məyɔnɛ,
GEN.3.19	dəkəbof məndesɔ-lukus.»
GEN.3.20	Kɔ wərkun ɔsɔŋ wəran kɔn tewe ta «Hawa»
GEN.3.21	Kɔ Kanu Kəpɔŋ kəlompsɛ Adama kɔ wəran kɔn, Hawa, yamos ya akata, k'ɛmbɛr ŋa yi.
GEN.3.22	Kɔ Kanu Kəpɔŋ kəloku: «Ah! Ntɛ fum ende pəyi oŋ pəmɔ səna mɔ, pəcərɛ pəlɛc kɔ pətɔt, səkɛmbərnɛ ta pətɛŋc kəca pəlɛk sɔ pokom pa kətɔk kəyinɛ wəyeŋ, pədeyi oŋ doru katina.» 
GEN.3.23	Kɔ Kanu Kəpɔŋ kəwurɛnɛ kɔ dalɛ da Edeŋ disrɛ, pəkɔbəc antɔf nyɛ kənasɛlɛ kɔ mɔ. 
GEN.3.24	Ntɛ Kanu kəwurɛnɛ fum dalɛ da Edeŋ mɔ, kɔ kəŋcəmbər mɛlɛke 
GEN.4.1	K'Adama ŋambəpɛnɛ kɔ wəran kɔn Hawa, kɔ Hawa ɛmbɛkəs, k'oŋkom Kayin. Kɔ Hawa oloku: «Isɔtɔ wan wərkun kəmar ka Kanu disrɛ.» 
GEN.4.2	Kɔ Hawa oŋkom sɔ wəfɛt ka Kayin nwɛ anawe Abɛl mɔ.
GEN.4.2	K'Abɛl ende pəyɔnɛ wəkɛk ka cir kɔ ŋkesiya. Kɔ Kayin ɔyɔnɛ wəbifti. 
GEN.4.3	Kɔ tɛm tɔlɔma tende tɛbəp mɔ, kɔ Kayin ɛlɛk yokom ya dəntɔf, k'ɛŋkɛrɛ yi Kanu kədeloŋnɛ. 
GEN.4.4	K'Abɛl nkɔn sɔ, ɛŋkɛrɛ yokom yɔcɔkɔ-cɔkɔ ya yɔcɔl yɔn kɔ moro ma yi. Kɔ Kanu Kəpɔŋ kəmɔmənɛ Abɛl kɔ kəloŋnɛ kɔn fɔr yɔtɔt. 
GEN.4.5	Mba Kanu kəmɔmənɛ fɛ Kayin kɔ kəloŋnɛ kɔn fɔr yɔtɔt. Kɔ pəntɛlɛ Kayin, k'ɛŋɛy kəro. 
GEN.4.6	Kɔ Kanu kəyif Kayin: «Ta ake tɔ pəntɛlɛn' am-ɛ, ta ake tɔ məŋɛyɛ kəro-ɛ? 
GEN.4.7	Kɔ məŋkɔt bel-bel-ɛ, məndesel. Kɔ kɔ məŋkɔt pəlɛc-ɛ, kiciya kəy' əm dəkusuŋka kɔ mɛfaŋ ma ki mey' əm. Mba məsɛp mətasərnɛ ki.»
GEN.4.8	Kɔ Kayin ɔŋcɔpər wɛŋc Abɛl. Mba ntɛ ŋanayi dalɛ mɔ, kɔ Kayin ɛyɛfər wɛŋc Abɛl kəsutɛnɛ, k'endif kɔ.
GEN.4.9	Kɔ Kanu kəyif Kayin: «Deke wɛŋc əm Abɛl eyi-ɛ?» Kɔ Kayin oloku fɔ: «Iŋcərɛ fɛ. Cepɔ wəkɛkəs kɔn iyɔnɛ ba?» 
GEN.4.10	Kɔ Kanu kəloku Kayin: «Cəke cɔ məyɔ wɛŋc əm-ɛ? Dim da mecir ma wɛŋc əm deyi kəkulɛ-kulɛ kəyɛfɛ dəntɔf haŋ nnɔ iyi mɔ. 
GEN.4.11	Ndɛkəl oŋ, kətolan' am k'antɔf ŋender pəlɛc, nŋɛ ŋɛwani kusu kɔ məsɔŋɛ ŋi kəmerəs mecir ma wɛŋc əm mɔ. 
GEN.4.12	Kɔ mənde məcbəc antɔf-ɛ, ŋɔfɔde ŋɔcsɔŋ əm pəbotu pa ŋi. Ti tɔ pənde pəctɛlɛn' am məc-cepɛ-cepɛ dəkəbəc.»
GEN.4.13	Kɔ Kayin oloku Kanu: «Pəlel pa kiciya kem pɛmbɛk kəsarɛ. 
GEN.4.14	Məmbɛləs im mɔkɔ nnɔ antɔf ŋam ŋebi ŋeyi mɔ. Pənamar im kəgbɔpən' am, kɔ kəcepɛ-cepɛ dəntɔf, kɔ fum ɛmbəp im dənda-ɛ, pədif im.» 
GEN.4.15	Mba, kɔ Kanu Kəpɔŋ kəloku kɔ: «Kɔ fum endif Kayin-ɛ, aŋluksɛ ayɛk ŋɔn camət-mɛrəŋ.» Kɔ Kanu kəŋgbesi Kayin ntɛ tɔŋsɔŋɛ aŋɛ ŋambəp kɔ mɔ, ta ŋasut kɔ ŋadif. 
GEN.4.16	Kɔ Kayin owur fɔr ya Kanu kiriŋ dalɛ da Edeŋ, k'ɔŋkɔ pəyi atɔf ŋa Nɔdu nde dec dɛmpɛ dalɛ da Edeŋ mɔ.
GEN.4.17	Kɔ Kayin ŋambəpɛnɛ kɔ wəran kɔn. Kɔ wəkakɔ ɛmbɛkəs k'oŋkom Henok. Kɔ Kayin owurɛ dare k'ɔsɔŋ di tewe ta wan kɔn Henok. 
GEN.4.18	Kɔ Henok oŋkom Iradu, k'Iradu oŋkom Mehuyayɛl, kɔ Mehuyayɛl oŋkom Metusayɛl, kɔ Metusayɛl oŋkom Lɛmɛk.
GEN.4.19	Kɔ Lɛmɛk ɛlɛk aran mɛrəŋ, pacwe wəkin «Ada,» kɔ wəka mɛrəŋ «Cila.» 
GEN.4.20	K'Ada oŋkom Yabal, nkɔn ɔyɔnɛ wətem ka akɛk yɔcɔl acepɛ-cepɛ. 
GEN.4.21	Tewe ta wɛŋc tɛnayɔnɛ Yubal: Nkɔn ɔyɔnɛ wətem k'afer coŋkəlo k'afula luk. 
GEN.4.22	Kɔ Cila nkɔn sɔ dəmnɛ oŋkom Tubal-Kayin, nwɛ ɛŋcgbɛc ca fəp ya kɔpər kɔ ya fɛc mɔ. Wəkirɛ kɔn aŋcwe Nahama. 
GEN.4.23	Kɔ Lɛmɛk oloku aran ɔn:
GEN.4.23	«Ada kɔ Sila nəcəŋkəl dim dem!
GEN.4.23	Aran a Lemɛk nəsu ləŋəs nəcəŋkəl moloku mem.
GEN.4.23	K'asut im-ɛ, indif fum.
GEN.4.23	K'ambopər im-ɛ, indif wanfɛt.
GEN.4.24	Kɔ pəyɔnɛ fɔ padif afum camət-mɛrəŋ
GEN.4.24	kəluksɛ ayɛk ŋa Kayin-ɛ,
GEN.4.24	andedif afum 77,
GEN.4.24	a pacluksɛ ayɛk ŋa Lemɛk.»
GEN.4.25	Adama kɔ Hawa ŋasɔtɔ sɔ wan. Kɔ Hawa ewe kɔ «Sɛt», ti tɔ tatɔkɔ «Kanu kəsɔŋ im sɔ wəlɔma kədeyɔn' em Abɛl wəkɔ Kayin endif mɔ.»
GEN.4.26	Kɔ Sɛt ende pəkom wan pac-we kɔ Enɔs. Tɛm tatɔkɔ t' anacop kəkor-koru tewe ta Kanu Kəpɔŋ.
GEN.5.1	Buk ba dokombəra da Adama bɔ bambɛ. Dɔsɔk ndɛ Kanu kəsɛl Adama mɔ, k'ɛsɛl kɔ, pəwurɛnɛ kɔ nkɔn Kanu. 
GEN.5.2	wərkun kɔ wəran k'ɛsɛl ŋa, k'ompocɛ ŋa pətɔt, k'ewe ŋa tewe ta «fum,» tɛm ntɛ ɛŋc-sɛl ŋa mɔ.
GEN.5.3	Adama endesɔtɔ meren 130, k'ɔsɔtɔ wan wəwurɛnɛ kɔ nkɔn, pəmɔ tɔkɔ eyi mɔ, k'ɔsɔŋ kɔ tewe ta Sɛt. 
GEN.5.4	Ntɛ Adama oŋkom Sɛt mɔ, k'eyi sɔ doru meren 800, mmɛ ɛnasɔtɔ sɔ awut arkun k'awut aran mɔ. 
GEN.5.5	Kəwon ka Adama doru kənasɔtɔ meren 930, a k'endefi.
GEN.5.6	Sɛt ɛnasɔtɔ meren 105, a k'endekom Enɔs. 
GEN.5.7	Ntɛ Sɛt oŋkom Enɔs mɔ, k'eyi sɔ doru meren 807, mmɛ ɛnakom sɔ awut arkun k'awut aran alɔma mɔ. 
GEN.5.8	Kəwon ka Sɛt doru kənasɔtɔ meren 912, k'efi.
GEN.5.9	Enɔs ɛnasɔtɔ meren 90 a pədekom Kenaŋ. 
GEN.5.10	Ntɛ Enɔs oŋkom Kenaŋ mɔ, k'eyi sɔ doru meren 815, mmɛ ɛnakom sɔ awut arkun k'awut aran alɔma mɔ. 
GEN.5.11	Kəwon ka Enɔs doru fəp kənasɔtɔ meren 905, k'efi.
GEN.5.12	Kɔ Kenaŋ ɔsɔtɔ meren 70 a k'endekom Mahalalel. 
GEN.5.13	Ntɛ oŋkom Mahalalel mɔ, kɔ Kenaŋ eyi sɔ doru meren 840, mmɛ ɛnakom sɔ awut arkun k'awut aran alɔma mɔ. 
GEN.5.14	Kəwon ka Kenaŋ doru fəp kənasɔtɔ meren 910, k'efi. 
GEN.5.15	Mahalalel ɛnasɔtɔ meren 65 a k'endekom Yɛrɛdu. 
GEN.5.16	Ntɛ Mahalalel oŋkom Yɛrɛdu mɔ, k'eyi sɔ doru meren 830, mmɛ ɛnakom sɔ awut arkun k'awut aran alɔma mɔ. 
GEN.5.17	Kəwon ka Mahalalel doru fəp, kənasɔtɔ meren 895, k'efi. 
GEN.5.18	Yɛrɛdu ɛnasɔtɔ meren 162 a k'endekom Henok. 
GEN.5.19	Ntɛ Yɛrɛdu oŋkom Henok mɔ, k'eyi sɔ doru meren 800, mmɛ ɛnakom sɔ awut arkun k'awut aran alɔma mɔ. 
GEN.5.20	Kəwon ka Yɛrɛduu doru fəp kənasɔtɔ meren 962, k'efi.
GEN.5.21	Henok ɛnasɔtɔ meren 65 a k'endekom Metusela. 
GEN.5.22	Ntɛ Henok oŋkom Metusela mɔ, k'ɔsɔtɔ sɔ meren 300 ŋasol kɔ Kanu. K'oŋkom sɔ awut arkun k'aran alɔma. 
GEN.5.23	Kəwon ka Henok doru fəp kənasɔtɔ meren 365. 
GEN.5.24	Kɔ Henok ɛŋcəmɛ dɔpɔ da Kanu darəŋ, kɔ tende telip, bawo Kanu kənalɛk kɔ pəyi wəyeŋ.
GEN.5.25	Metusela ɛnasɔtɔ meren 187 a k'endekom Lɛmɛk. 
GEN.5.26	Ntɛ Metusela oŋkom Lɛmɛk mɔ, k'ɔsɔtɔ sɔ meren 782, mmɛ ɛnakom sɔ awut arkun k'awut aran alɔma mɔ. 
GEN.5.27	Kəwon ka Metusela doru kənasɔtɔ meren 969, k'efi.
GEN.5.28	Lɛmɛk ɛnasɔtɔ meren 182 a k'endekom wan wərkun. 
GEN.5.29	Kɔ Lɛmɛk ewe wan wəkakɔ «Nuha.»
GEN.5.30	Ntɛ Lɛmɛk oŋkom Nuha mɔ, k'eyi sɔ doru meren 595. K'oŋkom sɔ awut arkun k'awut aran alɔma. 
GEN.5.31	Kəwon ka Lɛmɛk doru fəp kənasɔtɔ meren 777, k'efi.
GEN.5.32	Nuha ɛnasɔtɔ meren 500 a k'endekom Semy, Ham, kɔ Yafɛt.
GEN.6.1	Ntɛ afum ŋaŋcop kəla antɔf kəroŋ mɔ, k'aŋkoməs ayecəra. 
GEN.6.2	Kɔ mɛlɛke ŋanəŋk fɔ ayecəra aka afum ŋantesɛ. Kɔ ŋayɛk-yɛk aran aŋan ayecəra akakɔ dacɔ. 
GEN.6.3	Kɔ Kanu kəloku: «Ifaŋ fɛ kəsak afum ŋayinɛ kifir kəyinɛ doru nkɛ inasɔŋ ŋa mɔ, bawo fum sɛm dəm yɔ. Kəyi kɔn doru kəfɔde kəc-cepər sɔ meren 120.» 
GEN.6.4	Tɛm tatɔkɔ tɔ afum aŋeci ŋanayi doru, ntɛ mɛlɛke 
