GEN.1.1	Pílen-ruulendo delo, kerayalumpe Shédíbí taleng emla amongem pílen geto.
GEN.2.20	Dekepe amide simon-sili kídíem, kebung-pettang kídíem delokke monkír-tangkír kídíem amín mínyinlíkto. Idola ami delokke legape bíkkíng gyabbosuna, igullana atí kamato. 
GEN.2.21	Dekepe ikolok 
GEN.2.22	Ami delokke ínmo laalennam deloge, 
GEN.2.23	Delo amide poto,
GEN.2.23	“Supak simin ngokke along kídíke alonge;
GEN.2.23	delokke adín lokke adíne. Bím mime emyé,
GEN.2.23	kapeila bím milolok laalenname.”
GEN.2.24	Depe ikolok milokong tanie ane-abuem mepak sugeyéla bík mimelo leko bosula bínyi adín atelkope ibosudung. 
GEN.2.25	Milo delang mimede mílípe yéto, idola bínyi annying mato.
GEN.3.2	Mimede tabídem poyansuto, “Ngonyi torgong arang sokke esing takamke ayé kídíem dolado. 
GEN.3.3	Idola torgong arasokke raadaso duuna esing lokke ayéme domapeka delokke ukkípete mapeka; depe imílo nonyi siyé emla Shédíbí potung.” 
GEN.3.4	Delo tabíde bím poto, “Nonyi arope simayé. 
GEN.3.5	Kapeila edílo nonyi dem doyédí nonyi amige daryé delokke nonyi Shédí kísa ila ainem lang atímanem kénpansula iyé.” 
GEN.3.6	Delo mimede esing ayédem dopo kalíkpe kaato. Delokke amiglok kaabola esing ayéde kénmoyé emla mííla, bí delokke ayédem pílla doto. Bí bíkke milodemte ayoko pílbila bíte doto. 
GEN.3.7	Delo bínyi amige mikdarla, bínyike araape yénamem kénsula; bínyi tapang esing annelok omdumsula gekap bosuto.
GEN.3.8	Edílo torgong aradelo, longe lokke rengamdí moodílo 
GEN.3.9	Idokom 
GEN.3.10	Delo bí poyansuto, “Ngo nokke adudem torgong araso tatla, ngo pesola runyok gedung; kapeila ngo mílípe yédung.” 
GEN.3.11	Delo Shédíbí ííto, “Nonyi mílídung emla sékoda nonyim potone? Nonyi ngok domapeka emnam esing ayém dotunía?” 
GEN.3.12	Delo amide poyansuto, “Ngome yébosudope nokke mime binam simin esing delokke ayéme bila ngo dotone.” 
GEN.3.13	Delo 
GEN.3.14	Depeila 
GEN.3.14	“No sikepe inam legape,
GEN.3.14	simon-sili tabung keelang,
GEN.3.14	monkír-tangkír kídí lokke,
GEN.3.14	aralo nom pélíkdung;
GEN.3.14	no nokke yénam tabungem, demullok doyé.”
GEN.3.15	“Ngo mime sokkelang nok pénsamlo,
GEN.3.15	delokke nok otíng-oyin lolang,
GEN.3.15	mime sokke otíng-oyinlo mirupe imoyé.
GEN.3.15	Bí nom dumponglok itjépyé,
GEN.3.15	delokke no bím ledulok payé.”
GEN.3.16	Mimedem bí sikepe luto,
GEN.3.16	“Ngo nokke koo olenyé tabungem,
GEN.3.16	yagorupe okii kimoyé,
GEN.3.16	kilamin no kooem olenyén,
GEN.3.16	idola nok míínam tabude,
GEN.3.16	nok milo legape iyé delokke,
GEN.3.16	bí nok teyolo ruutumbomyé.”
GEN.3.17	Delo milodem bí sikepe luto,
GEN.3.17	“No nokke mime agom-aangem tatgaape,
GEN.3.17	delokke ngokke nom domapeka emla,
GEN.3.17	lutumnam esing ayém no dogaape;
GEN.3.17	amosim nok legape pélíkdung.
GEN.3.17	Nokke yénam tabulo no agér itíla doyé.”
GEN.3.18	“Nome amongsi taang emlang tanyum tatké,
GEN.3.18	moonamem garsang biyé delokke
GEN.3.18	no aríkke nesi-neyangem doyé.”
GEN.3.19	“Nokke mikmo íílnamlok,
GEN.3.19	no amolo aalat sukumang tetengem,
GEN.3.19	donamem doyé.
GEN.3.19	Kapeila no demule,
GEN.3.19	nom demullok laalento iname no demullo gílatsuyéku.”
GEN.3.20	Delo Adambí, bíkke méngem Ib emla amínem mínlíkto, kapeila bí turna tabungke anepe ine. 
GEN.3.21	Delokke 
GEN.3.22	Delo 
GEN.3.23	Depeila 
GEN.3.24	Bí tanidem Eden baarike torgong delokke sanggodanlo monlen rodem, turmona esingdem kaabomdope Sérubim emlang kiddung-kittoksuna emepe dorna yoksadem melíkto.
GEN.4.1	Méélamdem Adam bí Ibme mimepe kénbo surongem, Ib bí koo gela Kainme odola poto, “Ngo 
GEN.4.2	Lekoda bí Kainke bíro Abelme olentoku. Abel bí mérem kaabomna amikuai delokke Kain bí amonglo arík ina amikuai. 
GEN.4.3	Longe bojéko irodem Kain bí arík lokke siipí-siiyé kídíem 
GEN.4.4	Abelkom otí-ogo genam mér kídílok pala, gaiyalumna adín, delokke oob kídíem bomaato. 
GEN.4.5	Idola Kainke aman kídídem, bí toríksumato. Delo Kain yagorupe marla bík migmue tuglíngkai. 
GEN.4.6	Delo 
GEN.4.7	No ai-kampope itomílo kape nom toríksumayén? No ai-kampope imamílo paabe lamgélo kadung delokke paabde nom mííbomdung; idola no deme ruutumpe aido.”
GEN.4.8	Kainbí agíke bíro Abelme aríklo gíbosudope tomla, bínyike aríklo gíbosudungem, Abelke mirolpe Kainbí irepla agí bírosudem mokasuto.
GEN.4.9	Delo 
GEN.4.9	Bí poyansuto, “Ngo kénmang, ngo ngok bíroem kaabomnía?”
GEN.4.10	Delo 
GEN.4.11	Nokke alaglok, nokke bíroke iyyiem toríksuna among delok nom monpakdung, kapeila supak no béélíknam amikope ikai. 
GEN.4.12	Edílo no arík iyédí, de nom arda biyimayé. No tani amongso dungko-dakko kayimana dugnyokna amipe iyé.”
GEN.4.13	Kainbí 
GEN.4.14	Arope no ngome amosokke monpak lendung delokke nok migmo keralok ngo runyok getíyé. Ngo dungko-dakko kamana dugnyokgoona amikope tani amongso ila, sékodí ngokke dugtíílo ngome kaaríksula iyéne de ngom mokayé.”
GEN.4.15	Delo 
GEN.4.16	Delo Kainbí 
GEN.4.17	Kainbí bík mimem kénla, mimede koo gela Inokme olento. Bí doolung luuneko ilenla delok amínem bík oo Inokke amínpe mínlíkto. 
GEN.4.18	Inokbí Iradme olento, Iradbí Mehujaelke abupe ito. Delokke Mehujaelbí Methusaelke abue delokke Methusaelbí Lamekke abupe ito.
GEN.4.19	Lamek mime annyiko bomto, mimekon lokke amíne Adah delokke akonke Jilla. 
GEN.4.20	Adah bí Jabelme oto. Bí tombulo duula tani bomnam simon-siliem bomgeyalumna abupe ito. 
GEN.4.21	Bík bíro amíne Jubal, bí miri lukolo konggangem batlíkla, tapungem ilíkla ilen gebona abupe ito. 
GEN.4.22	Jilla bí Tubal Kainme oto. Bí arem, pitol, delokke atí atína ekurang mona amipe ituai, Tubal Kainke bírmeme Naamah emtuai.
GEN.4.23	Lamek bík mime kídíem poto,
GEN.4.23	“Adah lang Jilla nonyi ngok agomem tattola;
GEN.4.23	Lamekke mime nonyi ngok ponamem tattola.
GEN.4.23	Ngome amikone tarí moketnam legape,
GEN.4.23	delokke yaaméde kídnam legape,
GEN.4.23	ngo amidem mokato.”
GEN.4.24	“Kainme lemkínídko edo rayémílo,
GEN.4.24	arope Lamekme lemying kíníd kolang
GEN.4.24	lemkínídko, mokanadem edo rayé.”
GEN.4.25	Adam bí bík méngem kénríksula, bí Seth emnam ooko otoku. Kapeila bí sikepe manto, “Kainbí mokanam legape, Abelke ayanpe Shédíbí ngom ooko bitoku.” 
GEN.4.26	Sethte ooko ola bím Inosh emla amín mínto. Delo longe delo ami kídíe 
GEN.5.1	Simoko Adamke otíng-oyine. Edílo Shédíbí taniem pítodí delo tanime bí Shédíme gesudope pílento. 
GEN.5.2	Ingkona longelo bí pítodí, delo milopelang mimepe píla utepooro lubéélíkla tani emto; 
GEN.5.3	Adambí dítak língko kolang íying angumko idoem bí bím gesuna, bík migmo kísana ooko olenla, bím Seth emla amínem mínlíkto. 
GEN.5.4	Sethke abupe ila dítak língko píínyiko irongem Adam ome-ue ayoko kato. 
GEN.5.5	Adambí dítak língko konang kolang íying angumko turpala sikai. 
GEN.5.6	Edílo Sethbí dítak língko kolang takngoko yétodí, bí Inoshke abupe ito. 
GEN.5.7	Inoshme orongem Sethbí dítak língko píínyi kolang dítak kínídko turla ome-ue ayoko kato. 
GEN.5.8	Sethbí dítak língko konang kolang takying kolang taknyiko turpala sikai.
GEN.5.9	Edílo Inoshbí takying konang todí delo bí Kenanme oto. 
GEN.5.10	Kenanme orongem dítak língko píínyi kolang takying kolang takngoko Inoshbí turla ome-ue ayoko kato. 
GEN.5.11	Inoshbí dítak língko konang kolang takngoko turpala sikai.
GEN.5.12	Edílo Kenanbí takying kínídko delo yétodí bí Mahalalelke abupe ito. 
GEN.5.13	Mahalalelme orongem dítak língko píínyi kolang takying appiko Kenanbí turla ome-ue ayoko kato. 
GEN.5.14	Kenanbí dítak língko konang kolang takyingko turpala sikai. 
GEN.5.15	Edílo Mahalalelbí takying akké kolang takngoko yétodí delo bí Jaredke abupe ito. 
GEN.5.16	Jaredme orongem dítak língko píínyi kolang takying angumko Mahalalel bí turla ome-ue ayoko kato. 
GEN.5.17	Mahalalelbí dítak língko píínyi kolang takying konang kolang takngoko turpala sikai. 
GEN.5.18	Edílo Jaredbí dítak língko kolang takying akké kolang taknyiko yétodí delo bí Inokke abupe ito. 
GEN.5.19	Inokme orongem dítak língko píínyiko Jaredbí turla ome-ue ayoko kato. 
GEN.5.20	Jaredbí dítak língko konang kolang takying akké kolang dítak annyiko turpala sikai. 
GEN.5.21	Edílo Inokbí takying akké kolang takngoko yétodí bí Methuselahke abupe ito. 
GEN.5.22	Methuselahme orongem dítak língko angumko Inokbí Shédíkíng yébosula ome-ue ayoko kato. 
GEN.5.23	Inokke yénam dítage língko angum kolang takying akké kolang takngoko yéto. 
GEN.5.24	Inokbí Shédíkíng yébosula bí nyokkai. Kapeila Shédíbí bím laasito. 
GEN.5.25	Edílo Methuselahbí dítak língko kolang takying píínyi kolang dítak kínídko yétodí, delo bí Lamekke abupe ito. 
GEN.5.26	Lamekme orongem dítak língko kíníd kolang takying píínyi kolang taknyiko Methuselah bí turla ome-ue ayoko kato. 
GEN.5.27	Methuselah dítak língko konang kolang takying akké kolang dítak konangko turpala sikai. 
GEN.5.28	Edílo Lamekbí dítak língko kolang takying píínyi kolang taknyiko yétodí delo bí ooko oto. 
GEN.5.29	Delo oo delokke amínem Noah emla míndola sipe posuto, “
GEN.5.30	Noahme orongem dítak língko pilngo kolang takying konang kolang takngoko Lamekbí turla ome-ue ayoko kato. 
GEN.5.31	Lamekbí dítak língko kíníd kolang takying kíníd kolang dítak kínídko turpala sikai. 
GEN.5.32	Noahbí dítak língko pilngoko yérongem Shem, Ham delokke Japhethke abupe ito.
GEN.6.1	Edílo tanie parlentodí bulu ome kídíem oto. 
GEN.6.2	Delo Shédíke oo kídíe ome kídíem kampope kaala bulu agí mííbangsupe mimepe laato. 
GEN.6.3	Delo 
GEN.6.4	Delo longe kídídelo Nephilim kídíe yédo delokke méélam loote edílo Shédíke oo kídíe ome kídílo yébosutodí, bulu ome-uem obosuto. De ome-oo kídarde konnyi-mennyingke amín kana miram ami kídíe.
GEN.6.5	Tani amosokke ami kídíke atímange yagorupe bottela buluke aapí míídu-míítok kídíete atímape iyar teteng dope Shédíbí kaato. 
GEN.6.6	Delo Shédíbí amoso taniem pímemto emla aapílo ankíla bursuto. 
GEN.6.7	Delo 
GEN.6.8	Idola Noahbí Shédíke keralo kaabape yéto.
GEN.6.9	Sikesi Noahke opín-odonge: Noahbí deenampe yéna amikuai delokke paab kamanakuai. Noahbí Shédíkíng yébosuto. 
GEN.6.10	Noahbí oo angumko kato, Shem, Ham delokke Japheth. 
GEN.6.11	Delo tani amongsi Shédíke kangkolo deemang alooto delokke tani amongsim midu-mimage bííbomto. 
GEN.6.12	Shédíbí kaatoname, tani amongso amíl-amo gena tabunge deemang aloope yéyinto. 
GEN.6.13	Shédíbí Noahme poto, “Ngo amíl-amo gena tabungem nyokyinmope emla míngkai; kapeila bulu kelok tani amosi midu-mimakpe bííbomkai, tani amoso lekope bulum ngo nyokmoyé. 
GEN.6.14	No Gopar esinglok etkungko omlangka; etkung delo pírtek kídíem pírlík geyéla arangemla luyuem mutkyonlok yolkap líktoka. 
GEN.6.15	Sikepe no motopíam: etkung delokke bodonge 133 mitarko, ape 22 mitarko delokke kedone 13 mitarko ipe aido. 
GEN.6.16	Etkung delok legape ekapko ila 44 sentimitarpe pénsam emla abe em medola kirki ilík langka. Etkung abedelo eyabem ilíkla, kumbang kísana adong angumko replíkla ilangka. 
GEN.6.17	Ngo turna takamem nyokyinmodope tani amoso puumuem melíkyé. Amoso yéna takame nyokyé. 
GEN.6.18	Idola nokkíng ngo daapongko ibosuyé. Etkung delo nolang nok mime, nok oo kídíelang nyameng kídíe aatoka. 
GEN.6.19	Delokke amíl amo kana, turna takamlok milo-mime pumsupe, nokkíng turmín gedope bomalangka. 
GEN.6.20	Atí-atína pettanglok pumsupe, bulum turmonam legape no aabolangka. 
GEN.6.21	Delokke atí-atína donam-tíínamem bomala, dekede nokkelang buluke donam-tíínampe ibidope mekum langka.” 
GEN.6.22	Shédíke pokampe Noah tabungem iruuto.
GEN.7.2	Nokkíng mime-milope pumsu kínídko deena simon-sili takamlok lang deemana pumsu kínídko simon-sililok bomtak sulangka. 
GEN.7.3	Delokke pettang lokte pumsu kínídko, bulum turmola amoso ali kadope bomlangka. 
GEN.7.4	Kapeila longe kíníd nalo looying appi kolang yoying appikope ngo pedongem omoyé; delokke ngokke pítonam turna takamem ngo amosok nyokyin moyéku.” 
GEN.7.5	 ke pokampe Noah tabungem iruuto. 
GEN.7.6	Tani amongso puumue engaabomdodelo Noah bí dítak língko akkénape yédo. 
GEN.7.7	Delo puumu legape Noah lang bík mime, bík oo kídíe lang nyameng kídíe etkung delo aato. 
GEN.7.8	Delokke deemana simon-silie lang pettang kídíe delokke amongso eggoona ato-siro takamlok, 
GEN.7.9	milo-mime pumsupe, Shédíke Noahme pokampe Noah kelo etkung delo lekope aamín geto. 
GEN.7.10	Delo longe kínídko irongem tani amoso asi puumue engaabomto.
GEN.7.11	Noahke dítak língko akké kolang poolo annyinana lokke looying kolang longe kínídko idoem, eerína siyéng takamke sirungem buklenmola taleng telokke puumu gípeko kídíke yabgo kídíem taayato. 
GEN.7.12	Delo tani amoso looying appi kolang yoying appikope pedonge obomto. 
GEN.7.13	Delo longepak delo Noah lang bík oo kídí; Shem, Ham delokke Japheth lang buluke mime angum delang Noahke mime etkung delo aato. 
GEN.7.14	Bulu lang atí-atípe ina monkír-tangkír, simon-sili delokke amoso eggoona kídar delokke atí-atípe ina pettang kídíe, 
GEN.7.15	pumsu-pumsupe amíl-amo gela ngakína kídíe Noah kíng etkung delo aamín geto. 
GEN.7.16	Depeila Shédíke pokampe amíl-amo gekína kídíe milo-mimepe aarongem, Noahke méélamlo 
GEN.7.17	Tani amoso puumude looying appiko eebomla, aside bojémomo ila etkungdem saabomla, amosokke kedonpe asi eeríe ibomkai. 
GEN.7.18	Amoso asie yagorupe eeríe ila etkungdem asi teyolo yutgoomoto. 
GEN.7.19	Asie yagorupe eeríe ila taleng rumkíng sokke kedonna dííte kídíemte pulumbomto. 
GEN.7.20	Aside eeríe isaala dííte ponyuk kídíem mitar kíníd kokai eebong saato. 
GEN.7.21	Takam tanie, simon-silie, pettange delokke turna tabunge siyinkai. 
GEN.7.22	Ngakína tabunge nyokyinkai. 
GEN.7.23	Kebung-pettang, simon-sili, tani kídí delokke turna tabungem 
GEN.7.24	Tani amoso asie língko kolang looying pilngoko eebomto.
GEN.8.1	Depe irongem, Shédíbí Noah melang bíkkíng etkunglo duumín gena simon-sili kídíem míípasula among teyongso asarko mutmoto. Delo puumue oolenkaku. 
GEN.8.2	Eerína siyéng kídí, sirung kídíemlang taleng telokke puumu gíko yapgo kídíem itumtoku; delo pedonge oyimato. 
GEN.8.3	Delo asie among sok longe língko kolang looying pilngokope ootítoku. 
GEN.8.4	Delokke poolo kíníd lokke looying kolang longe kínídlo Ararat lokke díítum kolo etkungde yuddasula dakto. 
GEN.8.5	Aside ootí langkula poolo íying lokke kerang longe delo dííte ponyuk kídíem kaapang lentoku.
GEN.8.6	Looying appi méélam delo Noahbí bíkke omtonam etkung delokke kirkikonem siyyato. 
GEN.8.7	Bí paak konem melenla, de amosokke asie ooyin kumang tete deloope yopgong gootíto. 
GEN.8.8	Depe irongem Noahbí among si asie ongkakudí emla dem kangkípe pekíko melentoku. 
GEN.8.9	Idola amosok asie ooyin kumanam legape, bí unapeko kamala yopgoopala etkung delo yobatoku, dekepeila Noahbí alaglok umrík sulangkula etkung delo meangtoku. 
GEN.8.10	Bí longe kíníd kope dooya polangkula, lekoda etkung delok pekídem yoplen motoku. 
GEN.8.11	Pekíde yumedan deme yobatoku, delo kaatoname bíkke nappang delo aní pakpe yinlenkuna olib esing anneko puabomdoku. Delo among sok asie ongkaku emla Noah bí kénto. 
GEN.8.12	Delo longe kínídko toya popalangkula, lekoda pekídem yoplen motoku, delo pekíde aalat sukumape yéyarkai.
GEN.8.13	Noahke dítak língko akké kola taktelko ido delo, kerayalum poolo delokke longe kerang delok, among sok asie ooyintoku; Noah delo etkung dem mokapnam atíem laabín rodem kaatoname amonge pítíldoku. 
GEN.8.14	Poolo annyi lokke looying annyi kolang longe kínídnalo amonge pítíltoku.
GEN.8.15	Delo Shédíbí Noahme sikepe poto, 
GEN.8.16	“No lang nok mime delokke nok oo kídíe lang buluke mime kídíe etkung sok lenlangkula delokke, 
GEN.8.17	amoso parla yédokupe, takam simon-sili, kebung-pettang emlang eggoona ato-siro tabunge amoso bojépe otíng-oyin kadokupe bulumte laalentokuka.” 
GEN.8.18	Depeila Noah lang bíkke oo kídíe lang bík mime delokke nyameng kídíe etkung delok gílento.
GEN.8.19	Delokke simon-sili, kebung-pettang elang eggoona kídíe delokke amoso yékína tabunge erangsupe etkung delok gílentoku. 
GEN.8.20	Delo Noah bí 
GEN.8.21	Edílo 
GEN.8.22	“Amosi turdung tetengem,
GEN.8.22	ali-ayé ngiilík-replíkdíelang isum-sasumdíe,
GEN.8.22	ansinge lang pamkie,
GEN.8.22	díyue lang dígíne;
GEN.8.22	longe lang yoe kayaryé.”
GEN.9.1	Delo Noah melang bík oo kídídem Shédíbí utepooro ruulíkdola poto, “Otíng-oyin kalangka delokke parlangka delokke among sime bííbom langka. 
GEN.9.2	Nolume, simon-sili tabunge, kebung-pettang kídíe, engo kídíe eggoona ato-siro kídíe pesoyé, kapeila bulum noluke alaglo melíkbito. 
GEN.9.3	Turna ato-siro tabude noluke dopenampe iyé. Nolum kapekísa yayina nesi-neyangem bitudí, dekepe takamem ngo nolum bidung. 
GEN.9.4	Idola nolu iyyi kadupe adíneme domapeka, kapeila iyyilo turname kadung. 
GEN.9.5	Kapeila tani iyyiem lanadem, ngo edo rayé delokke ingkona simon-silie tani mokayédí, demte ngo edo rayé. 
GEN.9.6	Taniem Shédíme gesudope píto, depeila séko amiko mokayédí, bímkom amikone mokayéku. 
GEN.9.7	Delokke nolu amongso bojérupe otíng-oyin kalangkula parlangkuka.”
GEN.9.8	Delo Shédíbí Noah melang bík oo kídíem sipe potoku, 
GEN.9.9	“Kaatola, nolum lang noluke otíng-oyin lope sim daapong sim ibosudung, 
GEN.9.10	delokke teyolo etkung delok nolukíng lenmín gekuna turna ato-siro tabung loope emnamde pei-pettang simon-sili ato-siro sim ibomla podung. 
GEN.9.11	Sim daapong sim nolukíng ibosudola podung: Ngo edílokom turna ato-siroeme, puumulok nyokku momayé delokke amosime edílokom puumulok nyokku momayé.” 
GEN.9.12	Delokke Shédíbí poto, “Nolum lang nolukíng yémín gena simon-sili tabung delokke angkupena tani siirum yédong keela ngokke pénsamlo, ngokke daapong ibosunam iyode sikepe iyé: 
GEN.9.13	Doomuglo ngokke muréem garlíkyé, de ngokke lang tani amosokke daapong iyode. 
GEN.9.14	Edílo ngo doomugem among teyongso bomala, doomug aralo muréem gardope kaayédí, 
GEN.9.15	delo ngokkelang turna ato-siro tabung solang noluke pénsamlo daapong dobosunam sim, ngo míípasuyé, delokke asie edílokom puumupe ila turna tabungem nyokmo yimayé. 
GEN.9.16	Edílo muréem doomuglo ngo kaayédí, amoso turna takamlo Shédíke turyarna daapong ibosunamem ngo míípasuyaryé.” 
GEN.9.17	Noahme Shédíbí poto, “Simoko ngokkelang amoso turna takam kídíke pénsamlo daapong ibosunam iyode.”
GEN.9.18	Etkung delokke lenkuna Noahke oo kídíe Shem, Ham delokke Japheth. Hambí Kanaanke abue. 
GEN.9.19	De oo angumde Noahke, delokke bulu kelok ila amoso tanie bííbom kaku. 
GEN.9.20	Noahbí kerayalumpe arík igene. Bí onggur esing aríkko ito. 
GEN.9.21	Bí onggur alangem tííla tíngírsula amíl araape, tombu aradelo ketto. 
GEN.9.22	Kanaanke abu Hambí abu delokke araape inamem kaala bík bíro annyidem luyudelo popato. 
GEN.9.23	Dem tatla Shem lang Japheth gordulo ege bomla, méélamdanpe gíkutsula abu delokke amíl araape inamdem pokapla, bínyik amige abulokke amíl araangem kaasumape ito. 
GEN.9.24	Edílo Noahbí tíngír delok ailangkula dartokudí, aníyang lokke agér inamdem kénla,
GEN.9.25	bí sikepe poto, “Kanaanme podung,
GEN.9.25	bí bíkke bíro kídíke abílpe iyé.”
GEN.9.26	“
GEN.9.26	Kanaanbí Shemke abílpe iyé.”
GEN.9.27	“Japhethme bojémolangka,
