MAT.1.1	Yesus Kristus, opirati Daud muno Abraham aya ajavip, avaki no susye so rai:
MAT.4.6	wo naijaro maneme rai inda vemo najoe rantukamo orame rai jinya.’
MAT.4.7	Yesus po raura akananto ai pare, “Syonae, weye Ayao Amisye mo ratoe tavon mare,
MAT.4.7	‘Vemo nyo Amisye atopano apa vambunine rai jinya.’
MAT.4.8	Naije akato Anakakai Akoe po Yesus augave seo no pukamo titi rave inta rai, umba po munijo akokoe vatane ube akarive rai tenambe no mine tename so rarorono Ai, muno ama romane rautan. 
MAT.4.9	Umba po raura nanto Yesus ai pare, “Wimbeaje rinai muno Nyo inararimbe, wea umba syo munije tename so raunande indamu winyaura rai tenambe.”
MAT.4.10	Umba Yesus po raura nakananto ai pare, “Anakakai Akoe, nyoronto! Syonayo nya ana ndaura wato rai, weye Ayao Amisye mo ratoe taiso:
MAT.4.10	‘Nyo Amisye obo ararimbe,
MAT.4.10	nyanapatambe Obo ai.’
MAT.4.11	Umba Anakakai Akoe po Yesus apaya nara naito Amisye ude wo aeranande.
MAT.4.12	Yesus po ranaun Yohanes Pembaptis aijar ausiso no tanoano makova rai to, umba poroto no Galilea, siso no Apa munijo Nasaret rai. 
MAT.4.13	Weramu no no Nasaret nugoenta ramu, yara Po rapaya umba siso no munijo Kapernaum no no onae tuga Galilea. Galilea omamo wusyinoe aneno Naftali muno Zebulon aya susye awa kopa mije. 
MAT.4.14	Yesus no no naije omamo mamaisyo ayao Amisy anawae Yesaya po raura rai pare:
MAT.4.15	“Kopa Zebulon muno kopa Naftali
MAT.4.15	no no mana Yordan ama tuga rai
MAT.4.15	muno mararai no onae Galilea rai.
MAT.4.15	Kopa so rawainamo Galilea,
MAT.4.15	nai rati vatano Yahudi jewene wanui una rai.
MAT.4.16	Vatano nanawije una no kaumure ama uga rai,
MAT.4.16	ujanivo wene rai.
MAT.4.16	Weramu soamo Vare inta mbaro mai to,
MAT.4.16	ti wo Varo mba dave so raen.”
MAT.4.17	Umba Yesus pananyaube vatane mai pare, “Wasakinav irati wapa ayao kakaije rai, weye masyoto Amisye de be akarive Apa kawasae mai no mine vone so nandea mararai to.”
MAT.4.18	Arono Yesus panya no onae tuga Galilea, Po vatano ibe arakobe inta yaen, aya tame mi Simon opi awain tavonamo Petrus, muno apa rijato Andreas. Yo pame raveano jiane rakani no onae. 
MAT.4.19	Yesus po raura nande yai pare, “Ide, itavondi Rinai! Indati Syo risanyao indamu ipo vatane makani tavon.” 
MAT.4.20	Naije kobe yo pame rapaya ti ntuna umba javondijo Yesus ai.
MAT.4.21	Yesus panya kobe, umba Po vatano ibe arakobe kaijinta yaen akato, aya tame mi Yakobus muno Yohanes, wenayamo Sebedeus apa arikainye naya. Onanaye aja pe utantuna no nyoman uga wo pame ranabe. Umba Yesus po yawain tavon. 
MAT.4.22	Naije kobe yo aya aja pe awa nyomane rapaya ti ntami. Umba javondijo Yesus ai.
MAT.4.23	Yesus panya propinsijo Galilea raita. Pananyaube no Yahudi awa yavaro sambaya rai, Po Ayao Kovo Amisye raura pare, “Masyoto Amisye de be akarive Apa kawasae mai no mine vone so nandea mararai to.” Umba Po saumane raunanto vatano ugwaneno wanene kotaro rui vayave raije mai. 
MAT.4.24	Ayao Yesus apa ana daveye umaso maneka manakoe ti nsiso propinsijo Siria ama munije raita tenambe. Weti vatano wanui ude Ai, wo vatano ugwaneno wanene kotare raije maugavere no Yesusa nui—vatano awa jajorame manakoe nawe, vatano anawayo kakaije siso mai nawe, vatano ugwaneno amun ngkaumure nandeo mai nawe, vatano tunaive nao. Umba Yesus po saumane raunanto mansai tenambe. 
MAT.4.25	Weti Yesus panya to no rui vayave, weamo vatano wanui utavondi. Vatane inta una no Galilea umba ude, inta una no Dekapolis, inta una no Yerusalem, inta una no Yudea, muno inta una no ranijo muramo mana Yordan.
MAT.5.1	Yesus po vatano wanuije umawe mansaen, ti seo no pukam umba paje tuna. Umba Apa arakovo utavondi aije ude Ai. 
MAT.5.2	Umbawe pananyaube kobe mai pare,
MAT.5.3	“Are nawirati ware, ‘Risyamo imamaisye ramu, yara Amisye obo pi mamaisy,’
MAT.5.3	weamo kove ngkov irati mai,
MAT.5.3	weye indati usisa no munijo Amisye be akarive raije rai.
MAT.5.4	Are nawirati manimaumbe ti wo Amisye awain,
MAT.5.4	weamo kove ngkov irati mai,
MAT.5.4	weye indati Amisye po mayove.
MAT.5.5	Are nawirati manuga mpaaje,
MAT.5.5	weamo kove ngkov irati mai,
MAT.5.5	weye munije ama akari indati awaura mine tename so rai.
MAT.5.6	Are nawirati ubeker utavondijo Amisye apa bekere rai,
MAT.5.6	weamo kove ngkov irati mai,
MAT.5.6	weye indati Amisye po vambunine raugaje mai indamu utavono Apa bekere rai.
MAT.5.7	Are nawirati maemeno vatano kaijinta mai,
MAT.5.7	weamo kove ngkov irati mai,
MAT.5.7	weye indati Amisye aemen irati mai tavon.
MAT.5.8	Are nawirati manuga ndandinit,
MAT.5.8	weamo kove ngkov irati mai,
MAT.5.8	weye indati wo Amisye aen.
MAT.5.9	Are nawirati wo kovo saumane raugav ti vatane manuga nsaumano mansai vambinibe,
MAT.5.9	weamo kove ngkov irati mai,
MAT.5.9	weye indati Amisye apa arikainye waino mai.
MAT.5.10	Are nawirati wo Amisye apa bekere rarijat weti vatano mamun wo mave tatugadi,
MAT.5.10	weamo kove ngkov irati mai,
MAT.5.10	weye indati usisa munijo Amisye be akarive raije rai.
MAT.5.11	Weapamo ranivara vatane wo wasaura tantunawi muno wo wasave tatugadi muno wangkarive wo wasangkivan weye watavondijo Rinai, weamo kove ngkov irati wasai! 
MAT.5.12	Syare wasanayanambe muno wasananibe, weye Amisye po kove ratayao ti ntuna mo wasanyut no munijo ntiti. Muno wasaemen: vatane wo anawae wusyine mave tatugadi tavon to.”
MAT.5.13	“Weapamo wasaurata irati garame rai. Wapo garame rataopondijo anaisye rai, wea umba manavan. Maisyare wemaisy, weapirati wapo kove raugavere vatano mine so mansai. Weramu ranivara garame umaso ngkurude to, weamo ngkov akatoe ramu, yara vatane wo raepata vayave ti wo ratakadi.
MAT.5.14	Weapamo wasaurata irati vare rai, wabaro vatano mine so mansai. Munijo no no pukame ama vone rai mamo wamerata wandaen kakavimbe muno ama vare ngkokaibe jewen. 
MAT.5.15	Maisyare omaisy, arono vatane inta po yawainye raindi, po rakepano kavine raije ramu, yara po rauseo ntuna no pata vono kakavin indamu mbaro vatano una no yavarugawe mai tenambe. 
MAT.5.16	Maisyare omai ti, syare weapirati wabaro vatane mansai indamu wo wapa ana wadave ti ngkove raen, indati wo wapa Ajayo no no munijo ntiti ararimbe.”
MAT.5.17	“Vemo wapo ratantona wapare ride indamu Syo Ananyao Musa muno Ayao Anawae randamisy, omai nora. Ride indamu Syo randamisye ramu, yara ide indamu Syo ravera mamaisy. 
MAT.5.18	Syo raura tugaive: arono naumo warae me mine so me ta noa nene, indati Ananyao Musa ama ayao inta raumandije ramu. Tugae, ama ayao mona intabo dako, muno ama urupijo mamaun dave inta raumandi jewen, yara indati no tawan ava Amisye po ayao umaso ama bekere raveti mamai tenambe. 
MAT.5.19	Maisyare omai ti, are pirati po Ananyao Musa ama ayao rui vayave rakanyoandi, muno po vatano kaijinta manyao indamu wo rakanyoandi tavon, opamo indati Amisye po augaje ti apa tame makaje rave arono Amisye de be akarive no mine vone so rai. Yara are pirati tavondi ananyao umaso rai mavabe muno po vatano kaijinta manyao indamu utavondi rai tavon, opamo indati Amisye po aijaseo titive no arono de be akarive no mine vone so rai. 
MAT.5.20	Weramu Syo raura wasai: vatano Parisije muno kuruno makari mbaro Ananyao Musa raije utavondi Amisye apa bekere rai mamaumbe vayave. Weti kove mamo weapamo watavondi rai tenambe inda wapo mansakivan. Weye ranivara wapa watavondi raije mamo mo awa rakivane ramu, wea indati wasisa munijo Amisye be akarive rai raije ramu.”
MAT.5.21	“Wapo ranaun ananyao wusyino wama anene wo raijare no taiso: ‘Vemo nyo vatane maubaisy inya.’
MAT.5.22	Weramu Sya ananyao wanyine no taiso: Are pirati parijo vatane inta ai, wepamo mangke raugaje ai. Are pirati po vatane inta aura tatugadi, wepamo augaveta no akarijo po mangke rapatimuge amun. Are pirati po vatane inta aura tantunawi pare, ‘Winyamo vatano nyantatukambe rave pi winy,’ wepamo Amisye po amaugusyo tanamo mbadururo nuge nuganuije rai, wea umba mamaisy.
MAT.5.23	Maisyare omai ti, arono nyare mbera nyo ana inta rameseo Amisye ai, naije naemen irati nya arakovo parijo naije ai rati, 
MAT.5.24	syare nyo ana umawe rapaya ti ntuna no tewa orame ama ruk, umba nyakato indamu nyo nya arakovo parijo naije pe isaneme raija dati, umba nyakare nyo ana umawe rameseo Amisye ai rijabe kai.
MAT.5.25	Ranivara vatane inta parijo nai rave, weti pare po nauga ra panaikebe nai no akarijo po mangke rapatimuge amun, kove mamo nyo aneme raijar wusyimbe rati, arono ipanya no unanuije yasyine raide nene, wirati indamu isanuga nsauman akato. Weye ranivara nyo aneme raijare jewen, wea indati po naunanto akarijo po mangke rapatimuge ai, umba akarije umaso po naunanto apa naite mai jakato, umba naite wo nausiso no tanoano makova rai. 
MAT.5.26	Syo raura tugaive: indati wintuna no tanoano makova rai jao nyo nya mangke umaso ravaeya mewen bintabo.”
MAT.5.27	“Wapo ranaun ananyao wusyine no taiso: ‘Vemo nyo anaerere rave inya.’
MAT.5.28	Weramu Sya ananyao wanyine no taiso: Are pirati po wanya inta raen ti anuga ntento rai, opamo niki rarijato no anuga rai. 
MAT.5.29	Ranivara namijo nanem ngkove omi ndaugabe indamu nyo ayao kakaije rave, weamo nyo rakewar uje. Nanasine nake inta rakanive nai omamo mangke mamaun. Weramu ranivara nyo ayao kakaije rave tutir, weaveti nanasine tenambe ramaugusyo tanamo mbadururo nuge nuganuije rai, omamo mangke manakoe rave. 
MAT.5.30	Muno ranivara nanem ngkove mo naugabe indamu nyo ayao kakaije rave, weamo nyo raotar da ramauto. Nanasine nake inta rakanive nai omamo mangke mamaun. Weramu ranivara nyo ayao kakaije rave tutir, weaveti nanasine tenambe nsiso no tanamo mbadururo nuge nuganuije rai, omamo mangke manakoe rave.”
MAT.5.31	“Ananyao wusyine inta no taiso: ‘Anya inta pare po apa wanya rauguje aora, opamo po nyovara wao rauguje raunanto rai, weti mo raugav umba muje.’
MAT.5.32	Weramu Sya ananyao wanyine no taiso: Vatano are pirati apa wanya nserere ramu, yara po rauguje aora vayave, opamo po ayao kakaije rave to ije. Weye ranivara wanya rauguje umaso mo anya kaijinta aovan akato, weamo nserer. Muno anya kaijinta wepi po wanya rauguje umaso raovan akato, opamo vatano serer tavon.”
MAT.5.33	“Wapo ranaun ananyao wusyino wama anene wo raijare no taiso: ‘Vemo nyo urairijo angkarije raura nora, yara animaisye mirati nyo raurairive Amisye ai, mbeto rai inda mamaisy.’
MAT.5.34+MAT.5.35	Weramu Sya ananyao wanyine no taiso: Vemo nyo Amisye apa tame muno anakotaro Po ranari rui vayave ama tame veano nya urairi raokaisy inya! Wimbekero nya urairi mbambunin ti, wirati nyare ndave tai maisy, weramu kakai mi nyo raito to. Weti Syo raura syare vemo nyo urairije rapatimu ti nyo naumo warae me, mine so me, munijo Yerusalem me, awa tame veano raokaisy inya.
MAT.5.36	Muno vemo nyo taune nakari ama tame veano nya urairije raokaisy inya. Weye Amisye po nakari ranari to, muno nakarivuinyo ngkarisyana nene muno ntoa nsavu omamo Wepi po raija tenambe. 
MAT.5.37	Maisyare omai ti, nyare nyo urairije inta raokaisy, weamo syare ndaura vayave no taiso: ‘Tugae.’ Weramu ranivara nyonae nyo raokaisyi, weamo nyare ‘Jewena.’ Obo ma. Vemo ayao kaijinta mi ndaura nora. Weye ranivara nyo ayao kaijinta raijanande nya ana ndaura wato rai weye nyo rakarae mo raveti mbambunin, omamo nori rati Anakakai Akoe ai, ti ngkove ramu.”
MAT.5.38	“Wapo ranaun ananyao wusyine no taiso: ‘Vatane inta po namije raveti ntuba, weamo nyo apa ravera ntuba tavon, muno ranivara vatane inta po natomokane raveti ndaut, weamo nyo apa ravera ndaut tavon.’
MAT.5.39	Weramu Sya ananyao wanyine no taiso: Vatano po nave tatugadije pamo vemo nyo kakai rasakinav akananto ai jinya. Ranivara vatane inta po nawamona ranijo nanem ngkove ranepat, weamo nsarirae da po ranijo nanem ngkakai ranepat tavon. 
MAT.5.40	Are pirati po nave tatugadi, syare nyo kove rarorono ai. Weti ranivara vatane inta parijo nai, ti to panaikebe nai no akarijo po mangke rapatimuge ai indamu po nya ansuno no no nanakea raugavo naora, weamo po rauga kai, muno syare nyo ansuno kaijinta raunanto ai tavon. 
MAT.5.41	Naite inta po nantitidi nyo apa ananugo mangke raugav ipanya unanuije ama waravainye kilometer intabo, weamo wimbekobeo ai nyiridije nto kilometer rurume rai jakato tavon. 
MAT.5.42	Vatane inta pare po ana inta ranajo nai, weamo nyo raunanto ai kai. Vemo nyo vatano pare po nya ananuge inta raugavoe awatambe nora.”
MAT.5.43	“Wapo ranaun ananyao wusyine no taiso: ‘Wimuiny irati nya arakove mai,
MAT.5.44	Weramu Sya ananyao wanyine no taiso: Syare wamuiny irati wapa marova mai muno wasambayambe vatano wo wasave tatugadije mansai. 
MAT.5.45	Wapa anabe maisyare so indamu mamaisyo wapa Ajayo no no munijo ntitije amaisy. Weye Amisye po uma aveti baro vatano kove muno vatano kakainoanive mansai tenambe, muno Po maruge raveti maje vatano awa ana udave ngkove mansai muno vatano awa ana udave ngkakai mansai tavon. 
MAT.5.46	Ranivara wapo muinye raroron irati vatano umuinyo wasaije obo mansai, omamo mamai dainya, weti vemo wapo ratantona wapare Amisye po kove raugaje wasai, wemai nora. Weye vatano ukakainoanive maisyare vatano wo pajak ranugande pemerinta aije wenawamo awa anaube maisyare wemai tavon. 
MAT.5.47	Muno ranivara wabekobeo wapa arakove obo mansai, omamo mamai dainy tavon, weti vemo wapare vatane wo wasaura titive, wenora. Weye vatano wantatukambe Amisye aije nanawamo ubekobeo awa arakove mai tavon. 
MAT.5.48	Yara wapa Ajayo no no munijo ntiti muiny irati vatane mai tenambe, weti syare weamuiny tavonare wemai tavon.”
MAT.6.1	“Arono rui wapo ana ngkove rave Amisye apa tame rai, syare wapo rave maninimbe vayave. Vemo wapo rave mo vatano kaijinta wo raen wo wasararimbe rai jinya. Weaveti wapa Ajayo no no munijo ntiti Po kove ratayao ti mo wasanyute ramu.
