GEN.1.1	Tota hoqarero Kotiva naaruvavata vatavata autu kero vatora. 
GEN.1.21	Minti tivakero Kotiva nora aantauvahi nora namariqi ni vai haikara autu kero ekaa vi haikava namariqi qaqi variqiro vuaina haikarave, ekaa nana nana haika qakiaina haikarave, vo haika vo haika autu kero vatero, vo uviri vo uviri aroka vataaka autu kero vatora. Kotiva tavovaro nai autu kero vato haikava koqe iro vaura.
GEN.1.22	Kotiva vi haikara vi haikara koqema nimitero tiharo, Ne namariqi varia aantauka kuvuaramaqi vivaro airiqiharo namariqi mpiqaarire. Ne uvirivata kuvuaramaqi vivaro airiqiarire, tiro.
GEN.1.23	Entamaqiro viviro aatita vuvaro vi entava kauquru enta taiqa vura.
GEN.1.24	Vira qararaa Kotiva tiharo, Vataqaa vo aantau vo aantauvano qaqi variqiro viharo nuarire. Kuvu vate aantaurave, qaakau aantauve, toveqive, memaruve, ekaa aantauvahivano vo aantau vo aantauvano vataqaa nuarire, tiro. Minti tuvaro Kotiva tunte iro, vi haikava vi haikava qovarama viro vaura.
GEN.1.25	Kotiva qaakau aantau, vo aantau vo aantau autu kero, kuvu vate aantaura, vo aantau vo aantauvata autu kero, memaruve toveqive vo haika vo haikavata autu kero vatora. Kotiva tavovaro nai autu kero vato haikava koqe iro vaura.
GEN.1.26	Mintuvaro Kotiva tiharo, Kaiqe tentanavu voqaara vaiinti autu kaari vika nora namariqi vai havukaukave, naaruvaini ataqi ni vai uvirikave, vataini kuvu vai aantaukave, qaakau aantauve, ekaa vikaqaa raqikiate, tiro.
GEN.1.27	Minti tivakero Kotiva vaiinti vira nai voqaara autu kora. Viva nai voqaara qoraintivata nahentivata autu kero vatora.
GEN.1.28	Kotiva vitanta koqema nimitero tiharo, Netanta vainti kuvuaramaqi vimanta nitanta vainti airiqiha vata maata mpiqaate. Te nitanta noraiqama kaari netanta nora namariqi vai havukaukave, naaruvaini ata vare ni vai uvirikave, ekaa vataqaa vai aantaukave, netanta ekaa vikaqaa raqikiqi vuate, tiro.
GEN.1.29	Kotiva minti tivakero qaiqaa tiharo, Ekaa ahaikavano iraaina tavarave, ekaa katarivano iraaina tavarave, te vi haikara nitanta nimiariraro nitanta karama varianarove.
GEN.1.30	Ekaa aantauvahi vataini vaikave, ekaa aantauvahi naaruvaini vaikave, ekaa memaruve toveqive vataini vaikave, vika ne karava vaireva, ekaa mare vaina haikavama varianarove, tiro. Minti tuvaro Kotiva tunte iro vaura.
GEN.1.31	Kotiva ekaa haika nai autu kero vato haikara tavovaro voqama kero koqe iro vaura. Entamaqiro viviro aatita vuvaro vi entava 6 enta taiqa vura.
GEN.2.1	Mintima kero Kotiva naaruvavata vatavata autu taiqakero vatora.
GEN.2.2	Kotiva 6 entara kaiqa varaqiro viviro, ekaa haika autu taiqa kero, viva 7 entaqaa kia kaiqa vararaitiro, auraara vaura.
GEN.2.3	Kotiva kaiqa varaqiro viviro, ekaa haika autu taiqa kero 7 entaqaa nora auraara vaurara tiro, viva vi entara 7 enta koqema amitero virara, Maa entava aahuva enta auraara entama varianarove, tura.
GEN.2.4	Naaruvavata vatavata autukero vato okarava mintima vaura.
GEN.2.5	hoqarero Noravano Kotiva kia aaqu vara kovarora tiro, kia katarive ukauve qampiqovaro vata tuqantaa kaarirava kia vauvaro 
GEN.2.6	vataqihainaa namarivanoqai qovarama viro ekaa vata maata putaiqama keharo vaura.
GEN.2.7	Mintima vauvaro Noravano Kotiva vata varakero vaiinti autu kero vatero, nai qaqi variqiro vuaina aihora vaiinti vira aiqiana vuaqa kovaro viva qaqi variqiro vuarirava vaura.
GEN.2.8	Mintuvaro Noravano Kotiva nai autukero vato vaiintira vira vita varero kuari uruntonaini Ideni vataini nai ututo naahoraqi vuru kora.
GEN.2.9	Vi naahoraqi Noravano Kotiva tuvaro koqe katari, vo katari vo katarivano qampiqero vauvaro vika tava vaireva, koqe katari tava, ne tavava vaura.
GEN.2.9	Naaho avuta viraqi katari taaraqanta vaura. Katari vo qaqi variqi vi katariva vauvaro, katari vo koqe kaiqave qora kaiqave tave vai katariva vaura.
GEN.2.10	Ideni naahoqihairo namari vo otu viharo vi naahora putaiqama kareva otu viharo naahoqihairo namari viva raira viro 4navuqaa otu vura.
GEN.2.11	Vi namariva raira viro hoqare vura autu vaireva, Pisoni Namarive tura. Vi namariva otu viharo Havila vataini virante airantemaqiro vura.
GEN.2.12	Havila vataini 
GEN.2.13	Pisoni Namari vauvaro vira naantiara namari vo, Gihoni Namari vaura. Gihoni Namarivano Kusi vataini virante airantemaqiro otu vi vaura.
GEN.2.14	Taara namari mintimake vauvaro vo namari Taigarisi Namari vaura. Taigarisi Namarivano Asiria vataini kuari uri mantaraini otu vi vaura. Ekaanaini Iufaretisi Namarivano vaura.
GEN.2.15	Noravano Kotiva vaiinti vira vita varero nai naahoqi Ideni vataini vuru kero tiharo, 
GEN.2.16	Minti tivakero Noravano Kotiva kempukaiqama kero vaiinti vira tiva amiro tiharo, 
GEN.2.18	Noravano Kotiva tiharo, 
GEN.2.19	Hoqarero Noravano Kotiva vata vara kero viraqohairo ekaa aantauvahi vataini ni vaika autu kero vatero, ekaa aantau naaruvaini ni vaikavata autu kero vatero, vika vika ntita varero vaiintivano vika nutu ntava taarire tiro, viva vaunaini vika vuru kovaro vaiinti viva ekaa vika nutu ntava tovaro vika nutuvano mintimakero vaura.
GEN.2.20	Vaiinti viva vika nutu ntavaqiro viharo ekaa vataini kuvu vai aantaukave, qaakau aantauve, ekaa naaruvaini viri kanta ataqi ni vai uvirikave, viva ekaa vika vika nutu ntava tora. Adaamuva mintiaqiro vuvaro kia vikaqihairo vovano nai vira voqaava vira kahaqiarirava vaura.
GEN.2.21	Kia vauvarora tiro, Noravano Kotiva vaiinti vira vaita kovaro viva vaita aavata vuvaro vaiinti vira aantera vonku nkaqu kero qaiqaa mati tinta tora. 
GEN.2.22	Noravano Kotiva aantera vaiintiqihairo nkaqu tora viraqohairo nahenti autu kero nahenti vira vita varero vaiinti viva vaunaini vuru kovaro 
GEN.2.23	vaiinti viva vira tavero tiharo,
GEN.2.23	Hove, viva ti voqaarama vaivo.
GEN.2.23	Vira vuhaarivata ti vuhaarivata vohaama vaivo. Vira mativata ti mativata vohaama vaivo.
GEN.2.23	Viva ti vaiintiqaahairo vara kero vira autu kairara ti, te virara nahentive turo, tiro. Minti tivakero turama.
GEN.2.24	Kotiva mintimakero autu amitairara tiro, vate maa entara vaiintivano nai noka qoka kero nai naatantiro tampama viraro vitanta vaatavano vohaa vaatama varianaro.
GEN.2.25	Vaiintivano nai naatantiro vauvaro vitanta utavaaqa kia vaumanta toka vaihatanta kia kaurihatanta vaura.
GEN.3.1	Noravano Kotiva ekaa aantau autukero vatoraqihairo memaruvano voqama kero uqerara uva ti vauva vaiharo nahentiara tiharo, Quqaae Kotiva nitanta qioqama teharo ekaa katari tava maa naahoraqi iratainara kia naate tirave? tiro.
GEN.3.2	Minti tuvaro nahenti viva memaruara tiharo, Tetanta ekaa katari tava maa naahoraqi iratainara homa nararave. 
GEN.3.3	Naaho avutaini vai katarira vohaiqa vira tavaqaima Kotiva titantara tiharo, Kia naate, kia utu varaate. Netanta vi tavara utu vare nama kaivera, netanta qutuma vivarave, tirave, tiro.
GEN.3.4	Minti tuvaro memaruvano nahentiara tiharo, Aqao, netanta kiama qutu vivarave. 
GEN.3.5	Netanta vira nama kaivaro nitanta avu aatovano kenko tirama netanta koqe kaiqavata qora kaiqavata ho tavehama Kotira nai voqaarama vaivarave. Kotiva virara iriharo nitantara kia naate tiva tairave, tiro.
GEN.3.6	Memaruvano minti tuvaro nahentivano vi katarira tavovaro koqe katari tava iratovaro kaiqe ekaa kaiqa ho tavaare tivakero katari vira tava hiqi kero nero. Neharoma hini nai vaativata amuvaroma vivavata nero. 
GEN.3.7	Vitanta nama kovaro vitanta avu aatovano kenko tumanta náitanta vaata tavovaro toka vaumanta kaurihatanta oru maura raqake irake náitanta vaata naavumate vaura.
GEN.3.8	Vitanta vaiha iruvaro eronaini Noravano Kotiva vi naahoraqi tuvu ni vaumanta vitanta oru katari avutaini kukeqavitanta viraqi vauvaro 
GEN.3.9	Noravano Kotiva vaiinti vira aarero tiharo, Are taraqie variaro? tiro.
GEN.3.10	Minti tuvaro vaiinti viva tiharo, Are naahoqi tuvu nihara kunkukai tianara irima te toka vaihara tima, qetake maini ani kukeqavi vauro, tiro.
GEN.3.11	Vaiinti viva minti tuvaro Kotiva tiharo, Tavave ai vaatara toka vaivo tivarae are kukeqa vuaro? Te qioqama tauna katari tavarae are nama kaaro? tiro.
GEN.3.12	Minti tuvaro vaiinti viva tiharo, Are nahenti ti timiarava, vivama katari tava hiqi kero tivata timimanta nauro, tiro.
GEN.3.13	Minti tuvaro Noravano Kotiva nahentiara tiharo, Are nanae vara kaaro? tuvaro nahenti viva tiharo, Aqao, memaruvano tiriara una uva timantama te katari tava hiqike nauro, tiro. 
GEN.3.14	Minti tuvaro Noravano Kotiva memaruara tiharo,
GEN.3.14	Are una uva tianara kaara are ekaa aantauvahiqihaira qoraiqama vinarave.
GEN.3.14	Vira kaara are konkoma kanta vaiharama auhaqaahaira ninarave.
GEN.3.14	Mintimaqira niharama konkoma namaqira viharama qutu vinarave.
GEN.3.15	Are kuvuara iravavata nahentivano kuvuara iravavata vitanta navutaiqiha variqi vivarave. Naantiara nahentivano kuvuara iarirava vovano ai qiata rukavu kairara are vira aiqu ataa nkaqa kenarave, tiro.
GEN.3.16	Minti tivakero Kotiva nahentiara tiharo,
GEN.3.16	Are vainti taiqama viraro ai voqamakero aihavi vairara vainti taiqamavira variqira vinarave. Are vainti vatareva ihara aihavi vairarama vatenarave.
GEN.3.16	Ai antuqavano nina vaatiara vairaro viva ariqaa raqikiqiro vuarire, tiro.
GEN.3.17	Minti tivakero Kotiva Adaamurara tiharo, Are nena naata uva irihara te qioqama tauna katari tavara nama kaanara kaara vatavano qoraiqama vuanarove.
GEN.3.17	Are vataini variqira vina entara vukaari utiharama kara utu namaqira vinarave.
GEN.3.18	Nimiri vankukavano urikuma vi vairara are ahakaqi karavano qampiqainara namaqira vinarave.
GEN.3.19	Ari toqaavu nte vairara kara utu namaqira vivira, vuru qutu vira qaiqaa vataqira vinarave.
GEN.3.19	Te vataqohai ai autu taurara variaravave. Are qutu vira qaiqaa vataiqama vinarave, tiro.
GEN.3.19	Kotiva minti tura.
GEN.3.20	Nahenti viva ekaa vo vatanaa vo vatanaaka vika nova variarirava vaurara tiro, Adaamuva nai naata autu nteharo Evaarave, tura.
GEN.3.21	Noravano Kotiva aantau paha varakero viraqohairo utavaaqa autu kero Adaamuravata vira naatavata nonku nimitora.
GEN.3.22	Noravano Kotiva tiharo, Ho tavaane. Vaiintivano tinavu aanantama kero vaiharo koqe kaiqavata qora kaiqavata tave vaiva vaivo. Hauri viva nai kauqu tutukero vo katari tava, qaqi variqi vi vai katari tavara hiqi kero nama kero ekaa enta qaqi variqiro vuantorave, tiro.
GEN.3.23	Minti tivakero Noravano Kotiva vaiintiara tiharo, Te ai vataqohai autu taurava are aaqaini vaihara vata autamaqira vuane, tivakero Ideni naahoqihairo atitama kovaro aaqaini vurama.
GEN.3.24	Noravano Kotiva vaiinti nahenti vitanta nititama komanta aaqaini vuvaro Ideni naaho hini mantaraini kuari avu urunaini maimaraara raqikiate tiro, 
GEN.4.1	Adaamuva nai naata Evaakantiro nuvaro Evaava vainti taiqama viro vuru qorainti vainti vatatero vira autu nteharo, Kenirave, tiro. Viva tiharo, Noravano Kotiva ti kahaqimanta te qorainti vainti vatatauro, tiro.
GEN.4.2	Minti tivakero varikero qaiqaa vainti taiqama viro vuru vira qata Abelira vatatero. Abelira vira vatatovaro noruqama viro Abeliva viva sipisipiqaa raqiki vauvaro vira vakaava Keniva naaho kaiqa vareharo vaura.
GEN.4.3	Mintiaqitanta viha Keniva nai naahoqihairo kara qantu varero vuru Nora Kotira amitero.
GEN.4.4	Amitovaro Abeliva nai sipisipi vovano hoqare vatato naatira vonku aru kero vira teqa kero mati koqera varero vuru Kotira amitora. Vitanta mintimake Nora Kotira amitovaro Noravano Kotiva Abelira quahama amitero, Abeliva sipisipi aru amitora viravata quahama amitero, 
GEN.4.5	Keniravata, Keniva kara amitoravata, Noravano Kotiva kia quahama amitovaro vira kaara Kenira arara itovaro inaara viri aratero vaura.
GEN.4.6	Keniva inaara viri aratero vauvaro Noravano Kotiva Kenirara tiharo, Nana kaarae ai arara itaivara variaro? Nana kaarae are inaara viri aratera variaro? 
GEN.4.7	Are koqe kaiqa varairera, te homa ai quahama amitararave. Are kia koqe kaiqa varairera, qora kaiqavano qentiana vaara autute vaiharo ai ravaaqavu kaanarove. Qora kaiqavano ai ravaaqavu kaantorave tira, are kempukaiqama kera qora kaiqa aatara kaane, tiro.
GEN.4.8	Noravano Kotiva minti tuvaro Keniva kia vira uva iriraitiro, variro nai qatara tiharo, Varaiqetanta aaraini nuare, tivakero nai qata vita varero viro vuru Keniva nai qata Abelira ahakaqi aru kora.
GEN.4.9	Aru kovaroma Noravano Kotiva Kenira irero tiharo, Ai qatavano Abeliva tantoe vaivo? tiro. Minti tuvaroma Keniva tiharo, Te kiama vira tavauro. Kia te tenta qataqaa raqiki vauraukavauve, tiro.
GEN.4.10	Minti tuvaro Noravano Kotiva tiharo, Are nana haikae vara kaaro? Te tavauraro ai qata naarevano vataqaa nteharo tiriara nai vuntu kaane tivera, te are nena qata aru kaanara kaara 
GEN.4.11	ai qoraiqama amitarerave. Are nena qata aru kaararo vira naarevano nteharo vataqi otiqetaira kaara vatavano kiama ho ai kahaqianarove.
GEN.4.12	Are kara utu terava kiama koqema kero qampiqaanarove. Are kia vohaa vatainiqai vairaitira, are katu varera hampiqama kera vo vata vo vataini variqira vinarave, tiro.
GEN.4.13	Noravano Kotiva minti tuvaro Keniva tiharo, Oho, are noraiqama kera ti titianara kaara te kia ho qaqi vairarave.
GEN.4.14	Are maa vataraqaahaira ti tititaaravera te kia ai avuqaa ho vairaiti, te katu vare vo vata vo vataini hampiqamavi ni variariraro vo vaiintivano ti ranta kaarirava ti haruma kaanarove, tiro.
GEN.4.15	Keniva minti tuvaro Noravano Kotiva aqao tiro. Kiave, vovano ai aru kairera, te vaiinti 7navu aruke ariqaa vuntu karerave, tiro. Minti tivakero vovano Kenira ranta kero vira aru kaantorave tiro, Noravano Kotiva vira vaataqaa vuka voqaara qara ntuva tora.
GEN.4.16	Mintima kovaro Keniva Kotira avuqaahairo katu varero kuari avu uruntonaini, 
GEN.4.17	Keniva nai naatantiro nuvaro vira naatavano vainti taiqama viro vuru qorainti vainti Enokira vatatora. Vatatovaro vi entara Keniva nora vatuka autu kero vaiharo nai maaqu Enokira autu vara kero vi vatukaravata autu ntava teharo Enokive tura.
GEN.4.18	Enokiva noruqama viro qorainti vainti Iraatira vatatovaro Iraativa noruqama viro nai maaqu autu nteharo Mehuserirave tura. Mehuseriva Metuserira qova vauvaro Metuseriva Lamekira qova vaura.
GEN.4.19	Lamekiva noruqama viro nahenti taaraqanta vara tovaro avuhainaa nahenti autu Adaava vauvaro vira naantiara varato nahentira autu Silaava vaura. 
GEN.4.20	Adaava qorainti vainti vatatova vira autu Iabaariva noruqama viro ekaa vaiinti nahenti 
GEN.4.21	Iabaariva vauvaro vira qata Iubaariva vaireva, ekaa vaiinti 
GEN.4.22	Adaava vainti vatatotanta mintima vauvaro Silaava qorainti vainti vira autu Tubaari-Kenira vatatora. Tubaari-Keniva noruqama viro 
GEN.4.23	Lamekiva nai naatatantara mintima tiro:
GEN.4.23	Adaao, Silaao, netanta ti uva iriate.
GEN.4.23	Te Lamekikave, netanta ti naatatanta iri vaiqe tiare.
GEN.4.23	Vaiinti vovano ti teqa kaira kaara te nai aru kauro.
GEN.4.23	Vi vaiintiva quvaaraa vaintivano ti ruqutimanta te vira kaara nai aru kauro.
GEN.4.24	Vaiinti vovano Kenira ranta kero aru kairera, vira kaara vaiinti 7navu aru keroma viraqaa vuntu taanarove.
GEN.4.24	Vaiinti vovano te vaiinti vo aru kaunara kaara ti Lamekika aru kairera, vira kaara vaiinti 77navu aru keroma tiqaa vuntu kaanarove, tura.
GEN.4.25	Adaamuva qaiqaa nai naatantiro nuvaro vira naatavano vainti taiqama viro vuru qorainti vainti vatatero vira autu nteharo, Setirave, tivakero mintima tiro: Kotiva Keniva Abelira aru kairara iriharo qorainti vainti vo ti timivo, tura.
GEN.4.26	Setiva noruqama viro qorainti vainti vo vatatero virara, Enosirave, tura.
GEN.4.26	Vi entaraqaahai vaiinti vika hoqaramake Nora Kotira aare vaura.
GEN.5.1	Adaamura anku okara vaireva, maantimama vairo: Kotiva vaiinti autu kareva iharo viva nai voqaara autu kero vatora. 
GEN.5.2	Viva vaiinti nahenti vitanta autu kero vitanta quahama nimitero vitantara vaiintive nahentive tura.
GEN.5.3	Ho Adaamuva 130 ihi vara kero qorainti vainti vo vatatovaro vi vaiintiva nai qora voqaara vauvaro vira autu nteharo, Setirave, tura.
GEN.5.4	Setira vatato entaraqaahairo Adaamuva 800 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.5	Adaamuva maa vataraqaa 930 ihi qaqi variqiro viviro, vuru qutu vura.
GEN.5.6	Setiva 105 ihi vara kero viva qorainti vainti Enosira vatatora. 
GEN.5.7	Viva Enosira vatato entaraqaahairo 807 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.8	Setiva 912 ihi qaqi varaqiro viviro, vuru qutu vura.
GEN.5.9	Enosiva 90 ihi vara kero viva qorainti vainti Kenaanira vatatora.
GEN.5.10	Viva Kenaanira vatato entaraqaahairo 815 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura.
GEN.5.11	Enosiva 905 ihi qaqi variqiro viviro, vuru qutu vura.
GEN.5.12	Kenaaniva 70 ihi vara kero viva qorainti vainti Mahararerira vatatora.
GEN.5.13	Viva Mahararerira vatato entaraqaahairo 840 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.14	Kenaaniva 910 ihi qaqi varaqiro viviro, vuru qutu vura.
GEN.5.15	Maharareriva 65 ihi vara kero viva qorainti vainti Jaretira vatatora.
GEN.5.16	Viva Jaretira vatato entaraqaahairo 830 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.17	Maharareriva 895 ihi qaqi variqiro viviro, vuru qutu vura.
GEN.5.18	Jaretiva 162 ihi vara kero qorainti vainti Enokira vatatora. 
GEN.5.19	Viva Enokira vatato entaraqaahairo 800 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.20	Jaretiva 962 ihi qaqi variqiro viviro, vuru qutu vura.
GEN.5.21	Enokiva 65 ihi vara kero qorainti vainti Metuseraara vatatora. 
GEN.5.22	Viva Metuseraara vatato entaraqaahairo 300 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.23	Enokiva 365 ihi qaqi variqiro vi vaura. 
GEN.5.24	Enokiva Kotira avuqaa koqema kero ni vauvaro Kotiva vira vita varovarora tiro, viva maa vataraqaahairo tuqaakuma vura.
GEN.5.25	Metuseraava 187 ihi vara kero qorainti vainti Lamekira vatatora. 
GEN.5.26	Viva Lamekira vatato entaraqaahairo 782 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura.
GEN.5.27	Metuseraava 969 ihi qaqi variqiro viviro, vuru qutu vura.
GEN.5.28	Lamekiva 182 ihi vara kero qorainti vainti vatatero 
GEN.5.29	vira autu nteharo, Noaarave, tivakero mintima tiro: Noravano Kotiva Adaamura atiharo maa vatava qoraiqamama vuanarove tura kaara tenavu vukaari utiha kara utu namaqi vi vaunarave. Ho maa vaintiva noruqama viro tinavu kahaqairaro vuaqa ntairaqe tenavu vi kaiqara varaare, tura.
GEN.5.30	Noaara vatato entaraqaahairo Lamekiva 595 ihi varaqiro viharo vo vainti vo vainti, qoraintivata nahentivata vataqiro vi vaura. 
GEN.5.31	Lamekiva 777 ihi qaqi variqiro viviro vuru qutu vura.
GEN.5.32	Noaava 500 ihi vara kero Semiravata Haamuravata Iapetiravata vatatora.
GEN.6.1	Vaiinti nahenti maa vataraqaa vaiha vainti kuvuaramaqi vivi, airi nahenti vaintivata vatatomanta 
GEN.6.2	kempuka vaiintinavu tavomanta qaqi vaiintivano vatato nahenti vaintika koqe nahenti vaumanta vika nái vi nahentika varaataa umanta vare vaura.
GEN.6.3	Minti vauvaro Noravano Kotiva tiharo, Vaiintivano variqi vi vuru qutu vikama variavo. Vira kaara te tenta aiho vaiintiqi vuaqa kaarirava kiama ekaa enta vikaqi variqiro vuanarove. Vika 120 ihiqai maa vataraqaa qaqi variqi vuate, tura.
GEN.6.4	Vi entaravata naantiara entavata uritarake vau vaiintika maa vataraqaa vaura. Kempuka vaiintinavu qaqi vaiinti vatato nahenti vaintika varate vaumanta vika vaintinavu vaireka, uritarake vau vaiintika vaiha nora kaiqa vare vauvaro vika nutuvanovata uritara kero vaura.
GEN.6.5	Noravano Kotiva vaiharo tavomanta vaiinti nahenti vika maa vataraqaa variqi vi vauvaro vika qora kaiqavano uritara kero vauvaro vika avu aatoqi qora kaiqa vaaqu kaiqa varevaqai vaura.
GEN.6.6	Mintuvaro vira kaara Kotira muntukavano qoraiquvaro viva tiharo, Oho, kia te vaiinti autuke vataqaa vataataarave, 
GEN.6.7	tivakero tiharo, Te vaiinti nahenti autuke vataurauka te vika vehi autu kaari vika kia maa vataraqaa variate. Vaiinti nahentive, aantauve, toveqive, memaruve, vataqaa ni vaikave, naaruvaini ata vare ni vaikave, te ekaa vika vehi autu karerave. Ti muntukavano qoraiqama ivo. Kia te vi haikara autuataarave, tiro. 
GEN.6.8	Minti tivakero Noravano Kotiva Noaararaqai quaheharo vaura.
GEN.6.9	Noaara okara maantimama vairo: Noaava koqe vaiintivano vaiharo avuqavu ni vau vaiintiva vaumanta vaiinti nahenti viraqaa uva vateva kia vauvaro viva Kotira uva iriqiro vi vaura.
GEN.6.10	Viva qorainti vainti taaramonavu Semirave, Haamurave, Iapetirave, vatakero vatora.
GEN.6.11	Vi entara Kotiva tavomanta maa vataraqaa vauka qoraiqama vi vauvaro qora kaiqa varevave, iqoka raqivave, vi haikavaqai maa vataraqaa vaura.
GEN.6.12	Kotiva tavomanta maa vataraqaa vau vaiinti nahentika qora aaraqaa nireka auti vaiha voqamake qoraiqama vi vauvaro 
GEN.6.13	viva Noaarara mintima tiro: Vaiinti nahenti qora kaiqa vare variavarora tiro, iqoka raqi okaravaqaima vataini vaivo. Vira kaara te vaiinti nahenti namariqohai vehi autu karerave. Te vikavata vatavata vehi autu taiqa karerave. 
GEN.6.14	Virara iriharama are 
GEN.6.15	Maantima kerama autuane: 
GEN.6.16	Mintima autu vuru taiqa kera 
GEN.6.17	Mintima kera 
GEN.6.18	Mintimakevata, te ainti vaiha vohaa uva tiva taatauke vatarerave. Arevata nena maaqunavuvata, nena naatavata, nena maaqu naatanavuvata, 
GEN.6.19	Vo aantau vo aantau qaqi variate tira, vikaqihaira nahe qora vohaiqa vohaiqa ntita varera vuru 
GEN.6.20	Vo uviri vo uvirive, ekaa vo aantau vo aantauve, ekaa toveqive memaruve, nahe qoraqai ainti 
GEN.6.21	Are nentanavu karavata, ekaa aantauvahi karavata, qantukera varera vuru 
GEN.6.22	Minti tuvaro Noaava Kotiva tunte ura.
GEN.7.1	Noravano Kotiva minti tivakero mintima tiro: Te tavaurara areqaima nena navunaa vaiintiqihaira koqe vaiinti varianarara tira, arevata nena vaiinti nahentivata 
GEN.7.2	Aantauvahiqihaira ne ho ne aantauvahira nahe 7navu qora 7navu ntita vara vera 
