MAT.1.1	I⁴la³ ti²ton³ la⁴jang³⁴ sa¹jeun³ quian¹ Jesucristo a³lang⁴³ jon⁴³tyie¹ A³brang²³ jian³ Da³vei²³.
MAT.1.22	La⁴jeg³⁴ i⁴ne³ si³lei⁴ canh⁴a² li⁴tei⁴³ jau²³ quieh¹ Se³ño²³ i⁴a⁴hleh⁴i³ con⁴juah⁴ jan³ a³sain² quian¹i³ a³a⁴juah⁴:
MAT.1.23	Can³⁴ jan³ a³m⁴ maih³ yein³, li⁴sian³ jan³ a³jon⁴³i³, a³ñih³;
MAT.1.23	jian³ ma²sainh²ˉ³ yein³ hain⁴ Emanuel,
MAT.1.23	hnie³⁴ ra³juah⁴: Jon⁴dai¹ jie³ jnia¹.
MAT.1.24	I² con³ma²a⁴ñei³⁴ Se¹ ma²qui³tian⁴, jon³ ma⁴tei⁵i³ liah⁴ heih⁴³ i⁴a⁴júan⁴ ángel quian¹ Se³ño²³ i²con²³i³, a⁴hyein⁴³i³ Ma³rei² i⁴lang⁴³ i³cúa³i³. 
MAT.1.25	Quie¹ a⁵sia³ a⁴cua⁴i³ liah⁴i² tionh² chie³ jian²³ i³cúa³ la⁴conh⁴i² ra⁵sian³ a³jon⁴³i³ a³nai², a³hain⁴ a³ma⁴sain³i³ JESÚS.
MAT.2.1	Con³ma²ra⁵sian³ Jesús je¹jeu³ Belén i²tei⁴³ Judea, ñi³ ma²lang⁴³ Herodes re¹, i² jon³ a⁴tyie³⁴ co⁴meih³ chie³ je¹jeu³ Jerusalén a³ma³tang²³ nei² quieh¹ jah⁴nai⁴³, a³sian³ ta⁵ja³⁴ hyie³, 
MAT.2.2	juah⁴i³:
MAT.2.2	―¿Jainh¹ ra³quian³ re¹ quian¹ judío tionh² a³ra⁵sian³? Quie¹ a⁴nia³² jnie³² jah⁴nai⁴³ quian¹i³, con³ma²tieh² jnie³² ta⁵jia²³ hyie³, i⁴jon³ jo³⁴ jnie³² a⁵ma⁵con³²i³ jnie³².
MAT.2.3	I² con³ma²a⁴nau⁴ re¹ Herodes jau²³, ta² a⁴tanh⁴³ tsei⁴³i³ jian³ la⁴jang³⁴ a³tionh² je¹jeu³ Jerusalén liah⁴. 
MAT.2.4	I² jon³ a⁴júan⁴i³ heih⁴³ i⁴ŋangh⁴³ la⁴jang³⁴ m³chie³ tyein² liah⁴ma³jian²³ a²teg²³ quian¹ lai²³ a³he²³ i²con²³ a³jeu³, a⁴ŋang⁴i³ i²con²³ a³hain⁴ tionh² jainh¹ li⁴sian³ A³ya⁴lion³² Chie³ hain⁴. 
MAT.2.5	I² jon³ a⁴juah⁴ a³hain⁴ tionh²:
MAT.2.5	―Belén pa² i²tei⁴³ húa³⁴ Judea, quie¹ la⁴ne³ a⁴sag⁴ jan³ a³sain²:
MAT.2.6	Hnei³, jeu³ Belén, i²tei⁴³ húa³⁴ Judá,
MAT.2.6	ua²liah⁴a² peih¹ hnei³, ta² hlion⁴ queinh⁴³ˉ³ la⁴conh⁴a² a³tyein² tionh² húa³⁴ Judá;
MAT.2.6	quie¹ i²conh² hnei³ li⁴sian³ jan³ a³quian³ ma³tyi² a³hion⁵ Israel, a³jeu³ quian³⁴ˉ⁴.
MAT.2.7	I² jon³ ne⁵, a⁴te⁴ Herodes, a⁴teh³i³ a³ma³tang²³ nei² quieh¹ jah⁴nai⁴³ hain⁴ ta⁵ni²hma², a⁴ŋang⁴i³ ta¹ jon³ hain³ mah² ma⁴jnia³² jah⁴nai⁴³ hain⁴. 
MAT.2.8	I² jon³ a⁴sai⁴i³ ta⁵ Belén, juah⁴i³:
MAT.2.8	―Cua³ ua⁴han² hnei³ tionh²ˉ³, ua⁴ŋang² hnei³ o³re³ hion²³ nei² quieh¹ yein³; i² tei⁴³i² ma³a⁴chianh³²ˉ³ ne⁵, jon³ nioh¹ˉ³ ni²júanh²ˉ³ jau²³ i²con²³ˉ⁵ canh⁴a² la⁴jon³ nai³²ˉ⁴ liah⁴ ni¹ma⁴con³²ˉ⁴.
MAT.2.9	I² con³ma²a⁴nau⁴i³ tionh² jau²³ quieh¹ re¹, jon³ ua⁵han²i³. I² jon³ ma⁴jnia³² jah⁴nai⁴³ hain⁴ ta⁵nei²i³ tionh² liah⁴i² a⁴tyie³⁴i³ a³a⁴hang⁴ i²ra³quian³ yein³, a³ma²a⁴jen³i³ ta⁵ja³⁴ hyie³ hain⁴. 
MAT.2.10	I² con³ma²a⁴jen³i³ jah⁴nai⁴³, hlion⁴ mai²³ si³hyonh³i³ a⁴leg³⁴ tionh². 
MAT.2.11	I² con³ma²a⁴han⁵i³ jauh³², jon³ a⁴jen³i³ yein³ jian²³ Ma³rei² sie²³. I² jon³ a⁴si⁴jnei⁵i³, a⁴ma⁴con⁴³i³ yein³. Jian³ a⁴nia³⁴i³ a²cúa⁴³ quieh¹. A⁴húa⁴i³ o¹cau³²nie¹, jian³ sein³, jian³ mirra i⁴jia²³ ma³jeu³ liah⁴, a⁴cúah³i³ yein³. 
MAT.2.12	I² coh⁵ jon³ ne⁵, a⁵ra⁵ñi³i³ tionh² con⁴juah⁴ gui³sie⁴ i⁴so⁵hniah³ chianh³i³ jeu³ cua⁴³ Herodes; i² jon³ ŋah³i³ jeu³ co²³ jeu³ ta⁵seg³⁴.
MAT.2.13	I² con³ma²ŋah³ a³hain⁴ tionh², jon³ ma⁴jnia³² jan³ ángel quian¹ Se³ño²³ i²con²³ Se¹ liah⁴ con⁴juah⁴ gui³sie⁴, juah⁴i³:
MAT.2.13	―No³ hnei³, te⁴³ hnei³ yein³ jian²³ sie²³, cm² hnei³ ta⁵húa³⁴ Egipto, i²jon³ ua²neih⁴ˉ³ la⁴conh⁴i² juah¹ˉ⁴ liah⁴ i⁴seg³⁴. Quie¹ júan³⁴ Herodes hnoh⁴³i³ liah⁴ li⁴jŋangh³i³ yein³.
MAT.2.14	Jon³ ra⁴hang³² Se¹, a⁴te¹i³ yein³ jian²³ sie²³ to⁵je¹nai³ jon³, ŋah³i³ ta⁵ Egipto. 
MAT.2.15	I²jon³ a⁴cua⁴i³ la⁴conh⁴i² jaun² Herodes, canh⁴a² la⁴jon³ li⁴tei⁴³ jau²³ i⁴a⁴hleh⁴ Se³ño²³ con⁴juah⁴ jan³ a³sain² quian¹ con³ma²a⁴juah⁴i³: “A⁴te³²ˉ⁴ a³jon³⁴ a³ma²hein² ta⁵ Egipto.”
MAT.2.16	I² jon³ ne⁵, con³ma²ra⁵ñi³ Herodes i⁴ma⁴co³ a³ma³tang²³ nei² quieh¹ jah⁴nai⁴³ hain⁴ quieh¹i³, jon³ jain²³ tsei⁴³i³ hlion⁴ mai²³. Ma²jon³ a⁴júan⁴i³ heih⁴³ i⁴jŋangh³i³ la⁴jang³⁴ si³maih² peih¹, a³ñih³, a³hein² to⁵ñi³ ta⁵jeuh³ a³tionh² je¹jeu³ Belén jian³ la⁴con³ hloh³² jon³, con⁴juah⁴ jm² i⁴a⁴juah⁴ a³ma³tang²³ nei² quieh¹ jah⁴nai⁴³ hain⁴. 
MAT.2.17	I² la⁴ne³ ra⁵tei⁴³ jau²³ quieh¹ Jeremías, a³sain² quian¹ Jon⁴dai¹ hain⁴, con³ma²a⁴juah⁴i³:
MAT.2.18	A⁴naih⁵ i⁴hoh⁵ chie³ je¹jeu³ Ramá,
MAT.2.18	i⁴hoh⁵i³ tia⁴, chionh⁴ tsei⁴³i³, jian³ hien²³i³ liah⁴.
MAT.2.18	Hoh⁵ A¹ra³que² nei² quieh¹ si³jon⁴³.
MAT.2.18	Sa⁴i²lai⁴³ tsei⁴³i³ quie¹ a⁴chian³⁴i³ tionh².
MAT.2.19	I² con³ma²a⁴jaun³⁴ Herodes, jon³ ma⁴jnia³² jan³ ángel quian¹ Se³ño²³ i²con²³ Se¹ húa³⁴ Egipto jon³ con⁴juah⁴ gui³sie⁴, 
MAT.2.20	juah⁴i³:
MAT.2.20	―Ra⁴hang³² hnei³, te⁴³ hnei³ yein³ jian²³ sie²³, cuanh³ ta⁵húa³⁴ Israel; quie¹ ma³a⁴chian³⁴ a³ma²i²jŋangh³ yein³.
MAT.2.21	I² jon³ a⁴no³i³, a⁴te¹i³ yein³ jian²³ sie²³, jonh³i³ ta⁵húa³⁴ Israel. 
MAT.2.22	I² con³ma²ra⁵ñi³i³ i⁴lang⁴³ Arquelao ta¹ húa³⁴ Judea nei² quieh¹ Herodes jmai³i³, jon³ ra⁵coh⁴³i³, so⁵i²chianh³i³ i²jon³. I² jon³ a⁴júan⁴ Jon⁴dai¹ jau²³ i²con²³i³ con⁴juah⁴ gui³sie⁴, jon³ ŋah³i³ ta⁵ Galilea. 
MAT.2.23	I² con³ma²cúan³⁴i³ i²jon³, jon³ a⁴cua⁴i³ con³ jeu³ i²sain³ Nazaret, canh⁴a² li⁴tei⁴³ jau²³ i⁴a⁴hleh⁴ a³sain² quian¹ Jon⁴dai¹ i⁴teh³i³ Cristo jan³ a³sian³ Nazaret.
MAT.3.1	Jm² jon³ ja³⁴ Juan³ Tei³², hleh²i³ jau²³ quieh¹ Jon⁴dai¹ con³ i²a⁵sian⁴³ a³sian³ ta⁵húa³⁴ Judea, 
MAT.3.2	juah⁴i³:
MAT.3.2	―Sag¹ hnei³ co³hei²tsei³ quianh³ tionh²ˉ³, quie¹ ma³ja²³ hloh³² i⁴han⁵ chie³ naih⁵ heih⁴³ hm³⁴ quieh¹ A³cua⁴³ ñi⁴jeu⁵.
MAT.3.3	Quie¹ Juan²³ la³ hain⁴ a³a⁴hleh⁴ Isaías nei² quieh¹, a³sain² quian¹ Jon⁴dai¹, con³ma²a⁴juah⁴i³:
MAT.3.3	Si²hleh² jan³ tia⁴ con³ i²a⁵sian⁴³ a³sian³, juah⁴i³:
MAT.3.3	“Júanh¹ hnei³ jeu³ quieh¹ Se³ño²³ tionh²ˉ³;
MAT.3.3	o³chie⁴³ ñeih¹ hnei³ jeu³ quieh¹i³.”
MAT.3.4	I² Juan²³ hain⁴ hein² a²hmh³ leg⁴³ a²lo³² camello, jian³ ya¹hñih²i³ con³ a²lo³, jian³ ma³⁴ quieh¹i³ leg⁴³ a¹nangh³ jian³ o¹jm³ro⁴ quieh¹ jah⁴toh⁴³. 
MAT.3.5	I² jon³ a⁴húan³ jeun⁴³ a³tionh² je¹jeu³ Jerusalén i²con²³i³, jian³ la⁴jang³⁴ a³sian³ húa³⁴ Judea, jian³ a³sian³ la⁴tan² hloh³² jm³ Jordán, a⁵han²i³ i²con²³i³. 
MAT.3.6	I² jon³ a⁴sie⁴³ Juan²³ jm³ quieh¹i³ jm³ Jordán, jian³ a⁴tion⁴i³ chie³² quieh¹ tionh².
MAT.3.7	I² con³ma²a⁴je³⁴ Juan²³ i⁴a⁵han² jeun⁴³ fariseo jian³ saduceo tionh² a³hnie³⁴ son⁵ jm³, jon³ a⁴juah⁴i³:
MAT.3.7	―¡Hnei³ tionh²ˉ³ jeun³ a⁵mh³! ¿Hain³ a⁴sag⁴³ hnei³ i⁴hnoh³ˉ³ lionh⁴ˉ³ ma²eu⁴³ pain⁴ i⁴jia²³? 
MAT.3.8	Ma⁴jnia³² hnei³ liah⁴i² haih¹ ma⁵jnia³² a³ma³a⁴sag²³ co³hei²tsei³ quieh¹. 
MAT.3.9	Jian³ sa⁴hniah³ júanh²ˉ³ co³hei²tsei³ naih⁵ m⁴tyi⁴ quianh³ˉ³ tionh²ˉ³, i⁴lainh⁴ˉ³: “Sa¹jeun³ A³brang²³pa² jnia¹.” Quie¹ juah³ jnia⁴, la⁴teg⁴ m⁴caun² la³ li⁴júan³⁴ Jon⁴dai¹ i⁴lain⁴³ sa¹jeun³ A³brang²³. 
MAT.3.10	Jian³ ma³ya¹hei⁴³ re³ a²ñi²³ tyi² i⁴gmh⁴ a²hma³ la⁴teg⁴ o¹júan⁴³. I² la⁴jon³ ne⁵, la⁴jeg³⁴ a²hma³ i⁴sa⁴cúa²³ o¹m⁴ tsei³⁴ hniah³ gmh⁴, jian³ ton³⁴i³ joh⁴³ o¹jyi³ loh⁴³. 
MAT.3.11	Quie¹ i⁴chie⁴³pa² jnia⁴ ne⁵, sion⁵ˉ⁵ hnei³ jm³ tionh²ˉ³ con⁴juah⁴ o¹jm³ i⁴júan³ lei³ i⁴ma³a⁴sag²³ co³hei²tsei³ quianh³ˉ³. I² a³jia²³ coh⁵ ne³ ne⁵, a³júanh⁴³ a⁵hei⁴³ lia⁴ jnia⁴, jian³ sa⁴haih¹ can¹ jnia⁴ a²lo³ tsei²³ tag³² hei⁴i³. Hei⁴ pi²³i³ júan³⁴ i⁴hyeih² hnei³ M⁴tyi⁴ quieh¹ Jon⁴dai¹ tionh²ˉ³, jian³ i⁴quie⁴ co³hei²tsei³ hlagh³². 
MAT.3.12	Jian³ sianh³i³ a²ñi²³ jleg³ cúa²³ quieh¹ i⁴quiah³i³ o¹m⁴ trigo i⁴qui³⁴i³ ma²qui³. Jon³ ro³⁴i³ o¹m⁴ trigo joh⁴³ a²quei³, jian³ jeng³⁴i³ ma²qui³ jeu³ o¹jyi³ loh⁴³ sa⁴legh⁴ ua²a⁴au³.
MAT.3.13	Jon³ ua⁵hag⁴³ Jesús húa³⁴ Galilea, a⁴tyie³⁴i³ jm³ Jordán i²sainh⁴³ Juan²³ canh⁴a² sie⁵i³ jm³ quieh¹i³. 
MAT.3.14	I² Juan²³ ne⁵, sa⁴ma²hyein⁴³i³, juah⁴i³:
MAT.3.14	―Ta⁵si²quian¹ jm² pe²³ˉ⁴ hno⁵ˉ⁵ sieh³²ˉ³ jnia⁴ jm³. I² hnei³ ne⁵, ta⁵a⁴niah³pa² hnei³ i²con²³ˉ⁵.
MAT.3.15	I² jon³ a⁴juah⁴ Jesús, a⁴jainh³i³ jau²³:
MAT.3.15	―Ua²lei⁴ la⁴ne³ tieh²la³, quie¹ haih¹ i⁴ma²tei³²ˉ¹ la⁴jeg³⁴ nai² i⁴tsei³⁴.
MAT.3.15	I² jon³ a⁴hyein⁴³ Juan²³. 
MAT.3.16	I² con³ma²a⁴son⁴ Jesús jm³, jon³ a⁴hyon²³i³ nei² jm³ liah⁴ma²jon³. I² jon³ a⁴na⁴ ñi⁴jeu⁵, jian³ a⁴je³⁴i³ i⁴jyie²³ M⁴tyi⁴ quieh¹ Jon⁴dai¹ i²con²³i³ la⁴jan³ a⁵ta³cuah³, ja³⁴i³ la⁴teg⁴ i²con²³i³. 
MAT.3.17	Jon³ a⁴hain³² i⁴hleh² jan³ ñi⁴jeu⁵, juah⁴i³:
MAT.3.17	―A³ne³pa² A³jon³⁴ˉ⁴ a³hno⁵ˉ⁵, a³eu⁴³ teg³ tsei³⁴ˉ⁴.
MAT.4.1	Jon³ a⁴te¹ M⁴tyi⁴ quieh¹ Jon⁴dai¹; a⁴te¹i³ Jesús la⁴teg⁴ con³ i²a⁵sian⁴³ a³sian³, canh⁴a² con⁴³ a³sa⁴tsein³⁴ jau²chie⁴³ i²con²³i³.
MAT.4.2	I² con³ma²ua⁴jeu³² to⁴lo⁵ jm² jian³ to⁴lo⁵ húa²³ i⁴sa⁴a⁴queuh³i³ i¹ca³leuh², jon³ ra⁵cúanh⁴³ tsei⁴³i³. 
MAT.4.3	Jon³ ja³⁴ a³sa⁴tsein³⁴ i²con²³i³, a⁴juah⁴i³:
MAT.4.3	―Juah⁴ne³ hnei³ langh⁴³ A³jon⁴³ Jon⁴dai¹, li⁴júanh²ˉ³ heih⁴³ m⁴caun² la³ i⁴lai⁴³ a²hei⁴³ñih¹.
MAT.4.4	I² jon³ a⁴juah⁴ Jesús:
MAT.4.4	―Quie¹ ra³juah⁴ ra³sag² Ma²jyi³: “A⁵jon⁴³ con⁴juah⁴ jmah³ a²hei⁴³ñih¹ sian³ chie³, quie¹ con⁴juah⁴ la⁴jeg³⁴ jau²³ i⁴hleh² Jon⁴dai¹pa².”
MAT.4.5	I² jon³ a⁴te¹ a³sa⁴tsein³⁴ quieh¹i³ la⁴teg⁴ je¹jeu³ hen² Jerusalén, a⁴saih⁴i³ yeih³² hnei⁴³ cuah³júah². 
MAT.4.6	I² jon³ a⁴sagh⁴³i³ Jesús:
MAT.4.6	―Juah⁴ne³ hnei³ langh⁴³ A³jon⁴³ Jon⁴dai¹, jon³ juan⁴³ hnei³ con³ teg⁴ húa³⁴, quie¹ ra³juah⁴ ra³sag² Ma²jyi³:
MAT.4.6	Júan³⁴ Jon⁴dai¹ heih⁴³ i²con²³ ángel quian¹ i⁴hie⁵i³ hnei³.
MAT.4.6	Jian³ sieh⁴³i³ hnei³ jeu³ si¹cúa³,
MAT.4.6	canh⁴a² sa⁴jainh⁴³ˉ³ eu⁴³ i⁴jnoh³ m⁴caun² si¹tagh¹ˉ³.
MAT.4.7	I² jon³ a⁴juah⁴ Jesús:
MAT.4.7	―Quie¹ ra³juah⁴ ra³sag² liah⁴: “Sa⁴hniah³ con⁴³ chie³ jau²chie⁴³ i²con²³ Se³ño²³ Jon⁴dai¹ quian¹.”
MAT.4.8	Conh⁴liah⁴ a⁴te¹ a³sa⁴tsein³⁴ quieh¹i³ teg⁴ con³ nei² mah⁴ i⁴ñei⁴³ don⁵, i² jon³ a⁴heh³i³ Jesús la⁴jeg³⁴ nación quieh¹ cuah³²húa³⁴ la³ jian³ la⁴conh⁴ tei⁴³ i⁴co³ jnia⁴. 
MAT.4.9	Jian³ a⁴juah⁴i³:
MAT.4.9	―Jeh³², la⁴tan² jno³ cúa¹ˉ⁴ quianh³ˉ³ juah⁴ne³ si²jneih³²ˉ³ ta⁵nei³⁴ˉ⁴ i⁴ma²coh³²ˉ³ jnia⁴.
MAT.4.10	Jon³ a⁴juah⁴ Jesús:
MAT.4.10	―Cuanh³ hnei³, a⁵lainh³², quie¹ ra³juah⁴ ra³sag² Ma²jyi³: “Jan³ Se³ño²³ Jon⁴dai¹pa² hniah³ ma⁵con⁴³ chie³, jian³ jan³ hain⁴pa² hniah³ cúa³⁴i³ cúa³tag³² i²con²³.”
MAT.4.11	I² jon³ ne⁵, a⁴tai³⁴ a³sa⁴tsein³⁴ quieh¹i³, jian³ a⁵han² ángel a³a⁴cúa⁴ cúa³tag³² i²con²³i³.
MAT.4.12	Con³ma²ra⁵ñi³ Jesús i⁴hein² Juan²³ ni⁴ñi²³, jon³ ŋah³i³ ta⁵ Galilea. 
MAT.4.13	I² jon³ ua⁵hag⁴³i³ je¹jeu³ Nazaret, ni²cua³i³ je¹jeu³ Capernaum, con³ si³da²³ i⁴nie⁴³ quien¹i²jm¹ jm³ñei³ hloh³² húa³⁴ Zabulón jian³ Neftalí. 
MAT.4.14	Canh⁴a² li⁴tei⁴³ jau²³ i⁴a⁴hleh⁴ Isaías, a³sain² quian¹ Jon⁴dai¹ hain⁴, con³ma²a⁴juah⁴i³:
MAT.4.15	Hnei³ tionh²ˉ³, a³tionh² húa³⁴ Zabulón jian³ húa³⁴ Neftalí
MAT.4.15	jeu³ nie⁴³ jeu³ chie²³i³ jm³ñih¹, ta⁵hŋoh³ jm³ Jordán,
MAT.4.15	i²tei⁴³ húa³⁴ Galilea i²tionh² a³sa⁴lang⁴³ judío.
MAT.4.16	Jeu³ a³ma²tionh² i²naih³ a⁴je³⁴ con³ joh¹ pain⁴,
MAT.4.16	jian³ a³ma²tionh² i²ma²jaun⁴
MAT.4.16	a⁴tagh⁴ joh¹ i²con²³i³.
MAT.4.17	I² ta⁵i²ŋo³⁴ jon³, a⁴ma⁴lie⁵ Jesús a⁴hleh⁴ jau²³ quieh¹ Jon⁴dai¹, juah⁴i³:
MAT.4.17	―Sag¹ hnei³ co³hei²tsei³ quianh³ tionh²ˉ³, quie¹ ma³ja²³ hloh³² i⁴han⁵ chie³ naih⁵ heih⁴³ hm³⁴ quieh¹ A³cua⁴³ ñi⁴jeu⁵.
MAT.4.18	I² con³ma²si²ŋeng²³ Jesús quien¹i²jm¹ jm³ñei³ Galilea, jon³ a⁴jen³i³ on³⁴ chie³ la⁴can³ si³reunh¹, Si²úan¹ a³teh²i³ Pe³², jian³ Dre¹ reunh¹i³, a³ma²ti²saih⁵ a²nai²³; quie¹ lang⁴³i³ a³jo³ tionh². 
MAT.4.19	I² jon³ a⁴juah⁴ Jesús:
MAT.4.19	―Nia³ hnei³ coh⁵cah³ˉ⁴, canh⁴a² júan³²ˉ⁴ i⁴lainh⁴ˉ³ a³jo³ a³sanh² chie³ tionh².
MAT.4.20	Liah⁴ma²jon³ a⁴ton³⁴i³ a²nai²³ quieh¹, ua⁵han²i³ coh⁵cah³² Jesús.
MAT.4.21	Ŋo³⁴ pi¹ Jesús, jon³ a⁴jen³i³ i²on³⁴ chie³ la⁴can³ reunh¹, Jacobo jian³ Juan²³, si³jon⁴³ Zebedeo, a³ti²tionh² joh⁴³ a²úan⁴³ jian²³i³ Zebedeo jmai³i³, a³ti²júanh² a²nai²³ quieh¹. I² jon³ a⁴teh³i³ a³hain⁴ tionh². 
MAT.4.22	Liah⁴ma²jon³ a⁴ton³⁴i³ a²úan⁴³ quieh¹ jian³ a⁴ton³⁴i³ jmai³, ua⁵han²i³ coh⁵cah³² Jesús.
MAT.4.23	Ma²jon³ a⁴ŋeng⁴ Jesús la⁴tan² húa³⁴ Galilea la⁴jeg³⁴ cuah³ judío conh⁴ con³ jeu³, a⁴heh³i³ chie³ jau²³ tsei²³ quieh¹ heih⁴³ hm³⁴ quieh¹ A³cua⁴³ ñi⁴jeu⁵, jian³ a⁴júan⁴i³ i⁴a⁴huan⁴ quieh¹ la⁴jang³⁴ a³ti²lang⁴³ chie² ma⁵quein²³. 
MAT.4.24	Ma²jon³ ta⁴tsei¹ jau²³ nei² quieh¹i³ la⁴tan² húa³⁴ Siria. I² jon³ ua⁴jan³i³ la⁴jang³⁴ a³ti²lang⁴³ chie² ma⁵quein²³, jian³ a³ti²can²³ ma²eu⁴³, jian³ a³ti²quian³ m⁴tyi⁴ hlagh³², jian³ a³ti²lang⁴³ chie² jaun⁴ ñei⁴, jian³ a³ti²lo³. I² jon³ a⁴júan⁴ Jesús i⁴a⁴huan⁴ quieh¹i³ tionh². 
MAT.4.25	I² jon³ ua⁵han² jeun⁴³ chie³ coh⁵cah³²i³, a³sian³ Galilea, jian³ a³sian³ Decápolis, jian³ a³tionh² Jerusalén, jian³ Judea, jian³ jo³² ta⁵hŋoh³ jm³ Jordán liah⁴.
