MAT.1.1	'E 'akapapa'anga nō te 'ui tupuna o Iēsū Mesia, 'e tamaiti nā Dāvida, 'e tamaiti nā Āberahāma.
MAT.3.12	Tei tōna rima tāna tuāpara ē ka tāmā mārie aia i tāna ngā'i pāpā'anga sītona. Ka 'akaputuputu ei aia i te sītona ki roto i te vairanga sītona, kāreka te ota ka tutungi'ia e ia ki te a'i matekore.”
MAT.3.13	Kua 'aere maira a Iēsū i reira mei Galilea mai ki Iōrīdāna kia bāpetīto'ia aia e Ioane. 
MAT.3.14	Inārā, kua tāmata a Ioane i te tāpū atu i aia, nā kō atura, “Te tika'anga tikāi kia bāpetīto'ia au e koe, ē ko koe, tē 'aere mai nei koe ki āku nei?”
MAT.3.15	Kua pa'u maira a Iēsū, “E 'akatika 'ua ana i tēianei, 'e mea tau 'oki kia pērā tāua, kia tupu te au tuatua tika kātoatoa.” Kua 'akatika maira a Ioane i reira.
MAT.3.16	I te oti'anga a Iēsū i te bāpetīto'ia, kua kake maira aia ki runga mei raro mai i te vai. Ē inā, kua 'akatu'era'ia maira te rangi, ē kua kite atura aia i te Vaerua o te Atua i te 'eke'anga mai mei te kūkupa ra, ē te tō'anga mai ki runga a'o i aia. 
MAT.3.17	Ē inā, tēta'i reo nō te rangi maira i te nā kō'anga mai ē, “Ko taku Tamaiti 'akaperepere tēia. Kua mareka rava au i aia.”
MAT.4.2	Kua 'akakore i'ora aia i te kai e 'ā nga'uru pō ē e 'ā nga'uru 'oki ao, e oti akera, pongi i'ora aia. 
MAT.4.3	Kua 'aere maira te Tīmata ra, nā kō maira ki aia, “'E Tamaiti koe nā te Atua ra, ka karanga atu koe ki tēianei au toka kia riro mai 'ei kai.”
MAT.4.5	I reira, kua arataki te Tiāporo i aia ki te 'ōire tapu ra, ē kua tuku atura i aia ki runga a'o i te ngā'i teitei rava o te 'iero ra, 
MAT.4.6	ē kua karanga atura ki aia, “'E Tamaiti koe nā te Atua ra, 'akatopa atu koe i a koe 'ua'orāi ki raro; kua tātā'ia 'oki ē,
MAT.4.6	‘Ka 'iku'iku aia i tāna au 'āngela i a koe.
MAT.4.6	Ka mou rātou i a koe ki tō rātou rima,
MAT.4.6	ko te tūkia 'ua atu ā'ea tō vaevae ki te toka.’ ”
MAT.4.8	Kua arataki 'aka'ou atura te Tiāporo i aia ki runga i tēta'i maunga teitei rava, ē kua 'akaāri maira ki aia i te au bāsileia katoa o te ao nei ē tō rātou kakā, 
MAT.4.9	ē kua tuatua maira ki aia, “E 'ōronga atu au i tēianei au mea katoa ki a koe, kia tūpou mai koe ki raro e 'akamori mai i āku.”
MAT.4.11	I reira, kua 'akaruke maira te Tiāporo i aia, ē inā, 'e aronga 'āngela tei 'aere mai ē kua mātuāpuru maira i aia.
MAT.4.13	'Akaruke i'ora aia i a Nāzarēta, 'aere atura e no'o atura ki Kāperenāuma i te pae roto ra, i te kōtinga i te 'enua o Zēbulūna ē Nāphatari, 
MAT.4.14	kia tupu tei 'akakite'ia mai nā roto i te peroveta ko Īsaia, i te nā kō'anga ē,
MAT.4.15	nā te mataara ki ta'atai, i tērā pae i Iōrīdāna,
MAT.4.15	ko ia a Galilea i ō te 'ētene ra.
MAT.4.16	Ko te 'iti tangata i no'o i te pōiri ra,
MAT.4.16	kua 'ākara ia i te mārama ma'ata;
MAT.4.16	ē te aronga i no'o i te ngā'i o te mate ra,
MAT.4.16	kua 'iti'ia rātou e te mārama.”
MAT.4.18	Ē tē 'aere ra a Iēsū nā te pae roto i Galilea ra, kite atura aia i tēta'i tokorua tangata, i a Simona, ko tei karanga'ia i a Pētero ra, ē tōna teina ko Ānēderea, i te tuku'anga i te kupenga i taua roto ra; 'e puke ravakai 'oki rāua. 
MAT.4.19	Kua karanga atura aia kia rāua, “Ka āru mai kōrua i āku, e 'akariro au i a kōrua 'ei ravakai tangata.” 
MAT.4.20	'Akaruke i'ora rāua i tā rāua kupenga i reira, ē kua āru maira i aia.
MAT.4.21	Ē tē 'aere atura aia mei te reira ngā'i, kite atura i e tokorua rāi tangata, ko Iākōbo a Zebedaio ra ē tōna teina ko Ioane, tei runga i te poti ē tō rāua metua ko Zebedaio, tē 'ono ra i tā rātou au kupenga; kua kāpiki atura aia i a rāua. 
MAT.4.22	'Akaruke i'ora rāua i te poti i reira rāi ē tō rāua metua, āru atura i aia.
MAT.4.24	Tutuki atura tōna rongo e pini rava ake a Sūria; ē kua 'apai maira rātou i te aronga maki katoa ki aia ra, ko tei mate i tērā maki i tērā maki ē te mamae, ē tei uru'ia e te dēmoni ra, ē te au nēneva, ē te au 'akangoru; kua 'akaora atura aia i a rātou. 
MAT.4.25	'E motu'anga tangata ma'ata tei āru mai i aia nō Galilea mai, nō Dēkāpoli, nō Iērūsalēma, nō Iūdea ē nō tērā pae mai i Iōrīdāna.
MAT.5.1	E kite atura a Iēsū i te au urupū tangata ra, kake atura aia ki runga i te maunga ē no'o i'ora ki raro. Ē kua 'aere maira tāna au pipi ki aia ra. 
MAT.5.2	Ē kua 'akamata atura aia i te 'āpi'i i a rātou, nā kō atura,
MAT.5.3	“'E ao tō tei puta'ua te ngākau;
MAT.5.3	nō rātou te bāsileia o te ao.
MAT.5.4	e 'akapūma'ana'ia rātou.
MAT.5.5	e riro i a rātou te 'enua.
MAT.5.6	e 'akapangia'ia rātou.
MAT.5.7	'E ao tō rātou tei aro'a i a ēta'i kē ra;
MAT.5.7	e aro'a katoa'ia mai rātou.
MAT.5.8	e kite 'oki rātou i te Atua.
MAT.5.9	'E ao tō tei 'akamoe'au;
MAT.5.9	e karanga'ia rātou 'e tamariki nā te Atua.
MAT.5.10	nō rātou te bāsileia o te ao.
MAT.5.12	E rekareka kōtou ē kia rere 'ua i te rekareka; 'e tūtaki ma'ata 'oki tā kōtou i te ao ra. I pērā 'oki rātou i te tākinga kino'anga i te aronga peroveta i mua ake i a kōtou.”
MAT.5.15	Kāre 'oki te tangata e tutungi i te lāmepa ka tuku atu ei ki raro ake i te 'āite, 'ei runga rā i te vairanga kia mārama tō roto kātoatoa i te 'are. 
MAT.5.16	Koia katoa tō kōtou mārama kia kakā ia ki mua i te aroaro o te tangata nei, kia kite rātou i tā kōtou au 'anga'anga meitaki, ē kia 'akakakā atu rātou i tō kōtou Metua i te ao ra.”
MAT.5.17	“Auraka e manako ē, i 'aere mai au e 'akakore i te Ture ē tā te au peroveta ra. Kāre au i 'aere mai e 'akakore, e 'akatupu rā. 
MAT.5.18	Koia mou tāku e karanga atu ki a kōtou na, e kore ake te rangi ē te 'enua, kāre roa tēta'i 'iota ē tēta'i vā'i meangiti po'epo'e o te Ture nei e 'akaruke'ia, e 'ope tākiri te au mea rava rāi i te 'akatupu'ia. 
MAT.5.19	Ē tēta'i 'ua atu tangata tei 'akakore i tei meangiti rava o tēia au 'akaue'anga nei ē tei 'āpi'i atu i tēta'i kia pērā, e karanga'ia aia i te mea meangiti rava i te bāsileia o te ao. Kāreka tei 'ākono ē tei 'āpi'i i te reira ra, e karanga'ia aia i te mea ma'ata i te bāsileia o te ao ra. 
MAT.5.20	E 'akakite atu 'oki au ki a kōtou, kia kore roa 'e ma'ata atu tā kōtou tuatua tika i tā te au Pū'āpi'i Ture ē te au Phārīsea, kāre rava kōtou e ō ki roto i te bāsileia o te ao.”
MAT.5.22	Inārā, tē karanga atu nei au ki a kōtou, ko tēta'i 'ua atu tangata e riri ki tōna taeake, e tau ia kia 'akavā'ia. Ē ko tēta'i 'ua atu tei 'akakino atu i tōna taeake ē, ‘E Raka’, e tau kia 'apai'ia ki te Sūnēderi; kāreka ko tei karanga atu ē, ‘'E nēneva koe!’, e tau ia kia tīria'ia ki roto i te a'i o te pō. 
MAT.5.23	Ē tēianei, kia 'apai koe i tā'au 'apinga aro'a ki te 'atarau ē kua ma'ara i'ora koe i reira ē, e tā'ī'ī tā tō taeake ki a koe na, 
MAT.5.24	e vai'o atu i tō 'apinga ki mua i te 'atarau; e nā mua i te 'aere e 'aka'au ki tō taeake, ka 'aere ei koe ka 'apai i tā'au 'apinga aro'a.
MAT.5.25	“Kia rapurapu koe i te 'akatika i a koe ki te tangata tei 'oro i a koe ki te 'akavā'anga i tō kōrua 'aere'anga nā te arāta'a; ko te tuku ā'ea aia i a koe ki te 'akavā nui ra, ē ko te tuku ā'ea te 'akavā nui i a koe ki te 'akavā ra, ē e tīria'ia atura koe ki roto i te 'are 'āuri. 
MAT.5.26	Koia mou tāku e karanga atu ki a koe, kāre tākiri koe e 'aere mei reira mai ki va'o, ē kia 'oko na rava'ia koe e tae 'ua atu ki te tene 'openga ra.”
MAT.5.28	Tē 'akakite atu nei rā au ki a kōtou, ko tei 'ākara 'ua atu i tēta'i va'ine e 'akatupu i te 'inangaro, kua 'akaturi takere aia i taua va'ine ra i roto i tōna 'ua'orāi ngākau. 
MAT.5.29	Ē tē 'apa na koe i tō'ou mata katau, e nanao atu, e titiri kē atu! 'E meitaki 'oki koe mē mate tēta'i ō'ou mero, i tō'ou kōpapa katoa kia 'uri'ia ki roto i te pō. 
MAT.5.30	Ē tē 'apa na koe i tō'ou rima katau, e tīpū, e titiri kē atu! 'E meitaki 'oki koe mē mate tēta'i ō'ou mero, i tō kōpapa katoa kia 'uri'ia ki roto i te pō.”
MAT.5.32	Tē 'akakite atu nei rā au ki a kōtou, ko tēta'i 'ua atu tei kōpae i tāna va'ine, māri 'ua nō te 'akaturi, kua 'akariro aia i aia 'ei 'akaturi; ē tei 'akaipoipo i tei kōpae'ia ra, kua 'akaturi katoa aia.”
MAT.5.34	Tē 'akakite atu nei rā au ki a kōtou, auraka e taputo'u, auraka rava; auraka i te rangi, ko te terōno ia nō te Atua; 
MAT.5.35	auraka i te 'enua, ko tōna ia pange vaevae; auraka i Iērūsalēma, ko te 'ōire ia o te Ariki ma'ata. 
MAT.5.36	Auraka katoa koe e taputo'u i tō'ou 'ua'orāi ūpoko, nō te mea, kāre e rauka i a koe i te 'akateatea mē kāre i te 'akakerekere i tēta'i kata rauru 'okota'i. 
MAT.5.37	Kia riro rā tā kōtou ‘koia’ 'ei ‘koia’, ē tā kōtou ‘kāre’ 'ei ‘kāre’. Ē ko tei ma'ata atu i ēia nei ra, nō roto mai ia i te Mea Kino.”
MAT.5.39	Tē 'akakite atu nei rā au ki a kōtou, auraka e pāto'i atu i te tangata kino. Inārā, ko tei moto mai i tō'ou pāpāringa katau nei, e 'ōronga katoa atu i tēta'i. 
MAT.5.40	Ē kia 'oro tēta'i tangata i a koe ki te 'akavā'anga ma te 'inangaro i tō'ou pereue ra, e 'ōronga katoa atu i tō'ou pona. 
MAT.5.41	Ē ko tei 'akaue mai ki a koe e 'aere koe e ta'i maire, e 'aere atu kōrua e rua maire. 
MAT.5.42	E 'ōronga atu ki tei pati mai ki a koe ra, auraka e 'aka'oki pu'apingakore i tei 'inangaro i te o'u mai ki a koe.”
MAT.5.43	“Kua 'akarongo 'oki kōtou ē, i tuatua'ia maira ē, ‘E aro'a atu i tō'ou tangata tupu, e mākitakita atu i tō'ou au 'enemi.’ 
MAT.5.44	Tē 'akakite atu nei rā au ki a kōtou, e aro'a atu i tō kōtou aronga 'enemi, e pure 'oki nō te aronga tei tākinga kino mai i a kōtou, 
MAT.5.45	kia riro mai kōtou 'ei tamariki nā tō kōtou Metua i te ao ra. Tē 'aka'iti nei 'oki aia i te rā ki runga a'o i te kino ē te meitaki, ē tē 'akatopa mai nei 'oki i te ua ki runga i te tangata tuatua tika ē te tangata tuatua tikakore. 
MAT.5.46	Nō te mea, mē aro'a atu kōtou i a rātou tei aro'a mai i a kōtou, 'e a'a tā kōtou tūtaki i reira? Kāre āina te aronga ko'i tero ē tē pērā katoa ra? 
MAT.5.47	Ē kia 'ārāvei kōtou i tō kōtou au taeake 'ua ra, 'e a'a te mea ma'ata tā kōtou e rave i tā ēta'i? Kāre āina te 'ētene e pērā katoa ra? 
MAT.5.48	Kia tiratiratū kōtou mei tō kōtou Metua i te ao ra i te tiratiratū ra.”
MAT.6.2	“Kia 'ōronga rā koe ki tei ngere ra, auraka e 'akatangi i te pū i mua i a koe mei tā te au tangata tāpikipiki i roto i te au sūnago ē i runga i te au arāta'a ra kia 'akangāteitei'ia rātou e te au tangata. Koia mou tāku e 'akakite atu ki a kōtou na, kua rauka kātoatoa mai tā rātou tūtaki. 
MAT.6.3	Mē 'ōronga rā koe ki tei ngere ra, auraka tō'ou rima kaui kia kite i tā tō'ou rima katau e rave ra, 
MAT.6.4	kia muna ngaro rā tā'au 'ōronga'anga 'apinga aro'a, ē nā tō'ou Metua tei kite mai i tei rave muna'ia e 'ō mai i tā'au tūtaki.”
MAT.6.6	Mē pure rā koe, e 'aere ki roto i tō'ou pi'a, e tōpiri i te pā, ka pure ei ki tō'ou Metua i te ngā'i muna ra. Ē nā tō'ou Metua tei kite mai i tei rave muna'ia e 'ō mai i tā'au tūtaki.
MAT.6.7	“Ē kia pure kōtou na, auraka 'e ma'ata te tuatua rikiriki pu'apingakore mei tā te au 'ētene ra, ko tei manako ē, nō te ra'i o te tuatua e 'akarongo'ia mai ei rātou. 
MAT.6.8	Auraka kōtou e 'āite ki a rātou ra, nō te mea, kua kite tō kōtou Metua i tā kōtou e 'inangaro ra i mua ake kōtou ka pati atu ei ki aia. 
MAT.6.9	E nā kō nei kōtou kia pure:
MAT.6.9	‘E tō mātou Metua i te ao ra,
MAT.6.9	kia 'akatapu'ia tō'ou ingoa,
MAT.6.10	kia tae mai tō'ou bāsileia,
MAT.6.10	kia 'ākono'ia tō'ou anoano mei tei te ao na pērā katoa i te 'enua nei.
MAT.6.11	'Ō mai i te kai e tau i a mātou i tēianei rā.
MAT.6.12	E 'akakore mai i tā mātou au 'ara,
MAT.6.12	mei a mātou katoa i 'akakore i tā tei 'ara ki a mātou nei.
MAT.6.13	Auraka e arataki i a mātou ki roto i te tīmata'anga,
MAT.6.13	e 'akaora rā i a mātou i te Kino.
MAT.6.13	[Nō'ou 'oki te bāsileia, ē te mana, ē te kakā, e tuātau 'ua atu. Āmene.]’
MAT.6.15	Kia kore rā kōtou e 'akakore i tā te au tangata ra 'ara, kāre katoa 'oki tō kōtou Metua i te ao ra e 'akakore mai i tā kōtou.”
MAT.6.16	“Kia 'akakore kōtou i te kai, auraka mei tā te tangata tāpikipiki tei 'akaraumātea i te mata ra. Nō te mea, kua 'akatūkē rātou i tō rātou mata, 'ei 'akaāri ki te tangata ē, tē 'akakore ra rātou i te kai. Koia mou tāku e 'akakite atu ki a kōtou na, kua rauka kātoatoa mai tā rātou tūtaki. 
MAT.6.17	Kāreka rā kia 'akakore koe i te kai, e pani koe i tō'ou ūpoko ma te 'ōrei i tō'ou mata, 
MAT.6.18	kia kore roa koe e kitea e te tangata ē, tē 'akakore kai ra koe, māri 'ua ko tō kōtou Metua i te ngā'i muna ra. Ē nā tō'ou Metua tei kite mai i tei rave muna'ia e 'ō mai i tā'au tūtaki.”
MAT.6.20	E 'akaputu rā i te 'apinga nui nā kōtou ki runga i te rangi, ki te ngā'i e kore e pou i te 'u'u ē te pē, ē kāre 'oki te keikeiā e tomo ki roto e keiā. 
MAT.6.21	Nō te mea, ko te ngā'i 'oki ē tei reira tō'ou 'apinga nui, tei reira katoa ia tō'ou ngākau.”
MAT.6.22	“Ko te mata ko te lāmepa ia o te kōpapa. Mē tē meitaki ra tō mata, ka mārama kātoatoa ia tō'ou kōpapa. 
MAT.6.23	Mē tē kino ra tō'ou mata, ka pōiri kātoatoa ia tō'ou kōpapa. Mei te mea rā ē, e riro te mārama i roto i a koe 'ei pōiri, mei te a'a atura te ma'ata i te pōiri o taua pōiri ra!”
MAT.6.24	“Kāre e rauka i tēta'i tangata kia 'ākono i ngā pū e rua. Ka riro aia i te mākitakita atu i tēta'i ē te 'inangaro atu i tēta'i; mē kāre ra, ka 'akangāteitei atu aia i tēta'i, ē ka 'akava'ava'a 'oki i tēta'i. Kāre 'oki e rauka i a kōtou kia tāvini i te Atua ē i te moni.”
MAT.6.25	“Ē tēianei e 'akakite atu au ki a kōtou, auraka e apiapi i tō kōtou ora nō tā kōtou ka kai, mē kāre ra ka inu, mē kāre ra nō te kāka'u tā tō kōtou kōpapa ka 'a'ao. Kāre āina ē, 'e ma'ata atu te ora'anga i te kai, ē te kōpapa i te kāka'u? 
MAT.6.26	E 'ākara ki te au manu o te reva: kāre rātou e tanu, kāre 'oki e kokoti, ē kāre e 'akaputuputu ki roto i ēta'i 'are vairangā kai; nā tō kōtou Metua i te ao ra e 'āngai i a rātou. Kāre āina ē, 'e meitaki ma'ata atu tō kōtou i tō rātou? 
MAT.6.27	Ko 'ai i a kōtou na e apiapi nei, e rauka kia 'akaroa atu i tōna ora 'e 'okota'i ake ora?
