GEN.1.1	Ba pun iya kelia,
GEN.1.30	lalu ke semua bansa jelu babas ti di dunya, enggau ke semua bansa burung, Aku meri sida rumput enggau utai ti bisi daun nyadika pemakai sida.” Utai nya lalu nyadi. 
GEN.1.31	Allah Taala meda semua utai ti udah digaga Iya manah magang. Lemai abis lalu pagi pen datai. Nya hari ti keenam.
GEN.2.1	Nya alai langit enggau dunya, enggau semua utai ti dalam sida tembu magang digaga. 
GEN.2.3	Iya merekatka hari ti ketujuh nya, lalu ngeletak hari nya kudus, laban ba hari nya Iya tembu ngaga semua utai ti digaga Iya,
GEN.2.4	Nya meh jalai langit enggau dunya digaga.
GEN.2.4	Lebuh TUHAN ngaga langit enggau dunya, 
GEN.2.5	nadai utai udah tumbuh di dunya, lalu nadai leka utai udah matuk, laban TUHAN Allah Taala apin ngasuh hari ujan, lalu mensia pen apin mega bisi gawa ba tanah; 
GEN.2.6	tang ai deka pansut ari dalam tanah, lalu ngemasahka tanah.
GEN.2.8	Udah nya TUHAN Allah Taala ngaga siti kebun di menua Eden, ti muak ke timur, lalu ngengkahka orang ke udah ditempa Iya ba kebun nya. 
GEN.2.9	 TUHAN Allah Taala ngasuh semua bansa kayu ti manah dipeda sereta manah ke pemakai tumbuh dia. Ba tengah-tengah kebun nya bisi mega sepun kayu pengidup, enggau sepun kayu ti meri penemu kena ngelala bida entara utai ti manah ari utai ti jai.
GEN.2.10	Siti sungai pansut ari Eden ti mai ai ngagai kebun nya, lalu ngilah kebun nya sungai nya bepati empat. 
GEN.2.11	Nama pati ti terubah nya Pison. Ai sungai nya rarat nengah menua Habilah. ( 
GEN.2.12	Emas tulin bisi ditemu dia, lalu pia mega minyak wangi enggau batu ti berega.) 
GEN.2.13	Nama pati ti kedua nya Gihon. Ai sungai nya rarat nengah menua Kus.
GEN.2.14	Nama pati ti ketiga nya Tigris. Ai sungai nya rarat tunga ke timur menua Asiria, lalu pati ti keempat nya Eupratis.
GEN.2.15	Udah nya TUHAN Allah Taala ngengkahka orang nya ba kebun Eden, ngambika iya gawa dia lalu nyaga kebun nya. 
GEN.2.16	Ku TUHAN Allah Taala bejaku ngagai orang nya, “Nuan tau makai buah ari semua kayu dalam kebun tu, 
GEN.2.17	tang nuan enda tau makai buah ari kayu penemu ti tau ngasuh nuan nemu semua utai, laban lebuh nuan makai buah nya, nuan deka mati.”
GEN.2.18	Udah nya TUHAN Allah Taala bejaku, “Enda manah orang tu diau kediri. Aku deka ngaga siku penulung ke iya, nyadika tawing kaling
GEN.2.19	TUHAN Allah Taala lalu nempa ari tanah semua bansa jelu enggau semua bansa burung. Udah nya Iya lalu mai sida ngagai orang nya, ngambika iya meri sida nama. Nya meh jalai sida bulih nama. 
GEN.2.20	Nya alai orang nya meri nama ngagai semua bansa jelu tupi, semua bansa burung, enggau semua bansa jelu babas; tang nadai siku sida nya ditemu tau nyadika penulung enggau kaling iya.
GEN.2.21	Nya alai TUHAN Allah Taala ngasuh orang nya tinduk jenak. Orang nya lalu tinduk. Udah nya TUHAN Allah Taala lalu ngambi siti tulang kerigai orang nya, lalu nampal abi nya ngena isi. 
GEN.2.22	TUHAN Allah Taala lalu nempa siku indu ari tulang kerigai nya, lalu mai indu nya ngagai iya. 
GEN.2.23	Orang nya lalu bejaku,
GEN.2.23	“Tu baru sedarah, segetah enggau aku
GEN.2.23	saum tulang, saum isi enggau aku.
GEN.2.23	Iya dikumbai
GEN.2.25	Seduai iya sama telanjai, tang seduai iya enda malu.
GEN.3.2	Disaut indu nya, “Kami duai tau makai buah ari sebarang kayu dalam kebun tu, 
GEN.3.3	tang Allah Taala madahka kami duai enda tau makai buah ari kayu ti ba tengah-tengah kebun, tauka negu buah kayu nya, enggai ke kami duai mati.”
GEN.3.4	Tang ku ular nya nyaut indu nya, “Enda seduai mati, 
GEN.3.5	laban Allah Taala nemu, lebuh seduai makai buah nya, seduai deka nyadi sebaka enggau Allah Taala, nemu ngelala bida entara utai ti manah enggau utai ti jai.”
GEN.3.6	Lebuh indu nya meda buah kayu nya manah ke pemakai sereta manah dipeda, lalu tau ngasuh pintar, iya lalu makai buah nya. Iya mega meri sekeda buah nya ngagai laki iya, ke bisi enggau iya, lalu laki iya mega makai buah nya. 
GEN.3.7	Lebuh seduai iya udah makai buah nya, mata seduai iya tebuka, lalu seduai iya nemu diri telanjai. Seduai iya lalu nyait daun kayu ara, kena seduai iya mampul tubuh diri.
GEN.3.8	Lemai nya seduai iya ninga TUHAN Allah Taala bejalai dalam kebun. Seduai iya lalu belalai ari TUHAN Allah Taala ba sebelah madang kayu dalam kebun nya. 
GEN.3.9	Tang TUHAN Allah Taala ngangauka lelaki nya, ku Iya, “Dini alai nuan?”
GEN.3.10	Lelaki nya lalu nyaut, “Aku ninga Nuan bisi dalam kebun, lalu aku takut, laban aku telanjai. Nya alai aku belalai.”
GEN.3.11	TUHAN Allah Taala lalu nanya iya, “Sapa madahka nuan telanjai? Kati nuan bisi udah makai buah ti enda disagi Aku empa nuan?”
GEN.3.12	Lelaki nya lalu nyaut, “Indu ke diberi Nuan nyadika tawing kaling aku, ke meri buah ari kayu nya ngagai aku, lalu aku makai.”
GEN.3.13	Indu nya lalu nyaut, “Ular nya ti nipu aku, lalu aku makai buah nya.”
GEN.3.14	TUHAN Allah Taala lalu bejaku ngagai ular nya, “Laban nuan udah ngereja nya, nuan deka kena sumpah. Ari semua bansa jelu, ka semina nuan aja deka ditinggang sumpah tu. Kenyau ari diatu nuan deka ngerayap ngena perut nuan, lalu nuan deka makai amau
GEN.3.15	 Aku deka ngasuh nuan enggau indu tu begedika pangan diri. Anak iya enggau anak nuan deka seruran bemunsuh enggau pangan diri. Anak iya deka ngeredakka pala nuan, lalu nuan deka mantuk tumbit anak iya.” 
GEN.3.16	TUHAN Allah Taala lalu bejaku ngagai indu nya, “Aku deka nambahka pemerinsa nuan lebuh nuan ngandung, lalu nambahka pemedis nuan lebuh nuan beranak, tang taja pia, nuan deka seruran inginka laki nuan, lalu iya deka bekuasa atas nuan.”
GEN.3.18	Tanah deka tumbuh rumput enggau duri, lalu nuan deka bepakaika utai ti diambi ari babas. 
GEN.3.19	Nuan deka bepeluh tusur ngulihka asil ari tanah, nyentuk ngagai maya nuan pulai baru ngagai tanah, laban nuan endang ditempa ari tanah. Nuan endang digaga ari amau,
GEN.3.20	Adam
GEN.3.21	TUHAN Allah Taala lalu ngaga gari ari kulit jelu ke Adam enggau bini iya, lalu ngerasukka gari nya ba seduai iya.
GEN.3.23	Nya alai TUHAN Allah Taala muai seduai iya ari kebun Eden lalu ngasuh seduai iya gawa beridup ba tanah ti udah dikena nempa seduai iya empu. 
GEN.3.24	Udah nya TUHAN Allah Taala ngengkahka melikat cherubim
GEN.4.1	Udah nya Adam lalu besetubuh enggau bini iya. Bini iya ngandung, lalu ngadaka anak lelaki siku. Ku bini iya bejaku, “Aku ngadaka anak lelaki tu ari saup TUHAN.” Nya alai iya meri iya nama Kain.
GEN.4.2	Udah nya iya ngadaka siku agi anak lelaki benama Abel. Abel nyadi pengibun bedus, lalu Kain nyadi orang bumai. 
GEN.4.3	Nyau kelama udah bekau nya, Kain mai sekeda utai ti diketau iya, lalu meri utai nya nyadika piring ngagai TUHAN. 
GEN.4.4	 Udah nya Abel mai anak bungas ari raban bedus iya, nyayat jelu nya, lalu meri perengka tubuh ti pemadu manah nyadika piring. TUHAN rinduka Abel enggau piring iya, 
GEN.4.5	tang Iya enda rinduka Kain enggau piring iya. Kain ringat, lalu mua iya mengut-mengut. 
GEN.4.6	Udah nya TUHAN lalu bejaku enggau Kain, “Nama kebuah nuan ringat, lalu mengut-mengut? 
GEN.4.7	Enti nuan udah ngereja utai ti ngena, nuan tentu deka tuchum;
GEN.4.9	TUHAN lalu nanya Kain, “Dini alai menyadi nuan Abel?”
GEN.4.9	Disaut Kain, “Nadai aku nemu. Kati aku pengibun menyadi aku?” 
GEN.4.10	 Udah nya TUHAN lalu bejaku, “Nama utai tu ti udah dikereja nuan? Darah menyadi nuan nyabak ngangauka Aku ari tanah. 
GEN.4.11	Lalu diatu nuan kena sumpah ari tanah
GEN.4.12	Lebuh nuan bumai ba tanah, tanah nya enda mansutka asil. Nuan deka bejalai segau-segau di dunya tu, nadai endur alai diau.”
GEN.4.13	Ku Kain bejaku enggau TUHAN, “Ukum tu kelalu berat ke aku. 
GEN.4.14	Sehari tu Nuan muru aku ari menua tu enggau ari mua Nuan. Aku deka bejalai segau-segau di dunya tu, nadai endur alai diau, lalu barang sapa tetemuka aku, deka munuh aku.”
GEN.4.15	Tang ku TUHAN nyaut, “Ukai baka nya. Enti orang munuh nuan, orang nya deka diukum tujuh kali lipat.” TUHAN lalu ngengkahka siti kelai ba Kain, enggai ke orang ke betemu enggau iya munuh iya. 
GEN.4.16	Kain lalu beserara ari TUHAN, lalu diau di menua ti dikumbai “Segau-segau,” muak ke timur ari menua Eden.
GEN.4.17	Kain enggau bini iya bisi siku anak lelaki benama Enok. Udah nya Kain lalu nirika sebuah nengeri, lalu iya ngumbai nengeri nya Enok, ngangkatka nama anak iya. 
GEN.4.18	Enok bisi siku anak lelaki benama Irat. Irat nya apai Mehujael. Mehujael bisi siku anak lelaki benama Metusael. Metusael nya apai Lamek. 
GEN.4.19	Lamek bisi dua iku bini, Adah enggau Silah. 
GEN.4.20	Adah ngadaka Jabal, ke nurunka orang ke betupika jelu, lalu diau dalam langkau kain. 
GEN.4.21	Menyadi iya ke benama Jubal, nurunka semua orang ke nebah belikan enggau kesuling. 
GEN.4.22	Silah ngadaka Tubal Kain, ke begagaka semua macham pekekas kena gawa
GEN.4.23	Ku Lamek bejaku enggau bini iya ke dua iku nya,
GEN.4.23	“Adah enggau Silah, pendingka aku:
GEN.4.23	Aku udah munuh siku lelaki, laban iya ngemakalka
GEN.4.24	Enti orang ke munuh Kain diukum tujuh kali lipat,
GEN.4.24	orang ke munuh Lamek
GEN.4.25	Adam enggau bini iya bisi siku agi anak lelaki. Ku bini iya bejaku, “Allah Taala udah meri aku siku anak lelaki kena nganti Abel ti udah dibunuh Kain.” Nya alai Awa meri iya nama Set.
GEN.4.26	Set bisi siku anak lelaki benama Enos. Nya meh maya mensia belabuh ngangauka nama TUHAN.
GEN.5.2	 Iya ngaga sida lelaki enggau indu, merekatka sida, lalu ngumbai sida “Mensia”)
GEN.5.3	Lebuh umur Adam 130 taun, iya bisi siku anak lelaki ke sebaka gamal enggau iya empu, lalu iya meri iya nama Set. 
GEN.5.4	Udah nya Adam idup 800 taun. Iya bisi anak ti bukai 
GEN.5.5	lalu iya mati umur 930 taun.
GEN.5.6	Lebuh Set umur 105 taun, iya bisi anak lelaki siku benama Enos, 
GEN.5.7	lalu Set idup 807 taun udah lepas nya. Iya bisi anak ti bukai 
GEN.5.8	lalu iya mati umur 912 taun.
GEN.5.9	Lebuh umur Enos 90 taun, iya bisi siku anak lelaki benama Kenan, 
GEN.5.10	lalu Enos idup 815 taun udah lepas nya. Iya bisi anak ti bukai, 
GEN.5.11	lalu iya mati umur 905 taun.
GEN.5.12	Lebuh Kenan umur 70 taun, iya bisi siku anak lelaki benama Mahalalel, 
GEN.5.13	lalu Kenan idup 840 taun udah lepas nya. Iya bisi anak ti bukai 
GEN.5.14	lalu iya mati umur 910.
GEN.5.15	Lebuh Mahalalel umur 65 taun, iya bisi siku anak lelaki benama Jaret, 
GEN.5.16	lalu Mahalalel idup 830 taun udah lepas nya. Iya bisi anak ti bukai 
GEN.5.17	lalu iya mati umur 895 taun.
GEN.5.18	Lebuh umur Jaret 162 taun, iya bisi anak lelaki siku benama Enok, 
GEN.5.19	lalu Jaret idup 800 taun udah lepas nya. Iya bisi anak ti bukai 
GEN.5.20	lalu iya mati umur 962 taun.
GEN.5.21	Lebuh umur Enok 65 taun, iya bisi siku anak lelaki benama Metuselah. 
GEN.5.22	Udah bekau nya, Enok diau begulai sejalai enggau Allah Taala 300 taun, lalu bisi anak ti bukai. 
GEN.5.23	Enok idup datai ngagai umur 365 taun. 
GEN.5.24	 Iya diau begulai sejalai enggau Allah Taala, lalu udah nya iya lesap, laban Allah Taala ngambi iya.
GEN.5.25	Lebuh Metuselah umur 187 taun, iya bisi siku anak lelaki benama Lamek, 
GEN.5.26	lalu Metuselah idup 782 taun udah lepas nya. Iya bisi anak ti bukai 
GEN.5.27	lalu iya mati umur 969 taun.
GEN.5.28	Lebuh Lamek umur 182 taun, iya bisi siku anak lelaki 
GEN.5.29	lalu ku iya, “Anak mit tu deka ngelantangka kitai ti ngereja pengawa ti mar ba tanah ti udah disumpah TUHAN”. Nya alai iya meri iya nama Noah.
GEN.5.30	Lamek idup 595 taun udah lepas nya. Iya bisi anak ti bukai 
GEN.5.31	lalu iya mati umur 777 taun.
GEN.5.32	Lebuh Noah umur 500 taun, iya bisi tiga iku anak lelaki, Sem, Ham enggau Japet.
GEN.6.2	sekeda anak Allah Taala
GEN.6.3	Udah nya TUHAN lalu bejaku, “Aku enda nyagi mensia idup
GEN.6.4	 Lebuh maya nya kelia, enggau udah lepas nya, orang ke besai gamal bisi diau di dunya tu. Sida nya peturun indu mensia ti jadi enggau bala anak Allah Taala. Sida nya bujang berani ti tampak nama dulu kelia.
GEN.6.6	Iya ngesal udah ngaga sida lalu ngengkahka sida di dunya tu. Iya balat amat ngesalka nya 
GEN.6.7	datai ke Iya nyau bejaku, “Aku deka munuh semua mensia ti udah digaga Aku, enggau jelu enggau burung, laban Aku ngesal udah ngaga sida.” 
GEN.6.8	Tang Noah ngelantangka ati TUHAN.
GEN.6.11	tang semua orang bukai jai magang di mua Allah Taala, lalu penyai udah ngelekai ngagai semua endur. 
GEN.6.12	Allah Taala merening lalu meda penyai dunya, laban semua mensia bela ngereja penyai magang.
GEN.6.13	Allah Taala lalu bejaku enggau Noah, “Aku deka ngeluska semua mensia. Aku deka ngerusak sida abis lengis, laban dunya tu penuh laban pengawa sida ke jai. 
GEN.6.14	Gaga sebuah bandung ke diri empu ngena kayu ramu ti manah. Sapat bandung nya ngagai mayuh bengkah bilik, lalu pelali iya ngena tar, ari dalam enggau ari luar. 
GEN.6.15	Pemanjai iya seratus tiga puluh tiga meter, buka iya dua puluh dua meter, lalu peninggi iya tiga belas meter. 
GEN.6.16	Gaga perabung
GEN.6.17	Aku deka ngasuh ai bah ngampuhka dunya kena ngerusak semua utai ti idup. Semua utai di dunya tu deka mati magang, 
GEN.6.18	tang Aku deka ngaga siti sempekat enggau nuan. Nuan, bini nuan, sida anak nuan, enggau bini sida, enda tau enda tama ngagai bandung nya. 
GEN.6.19+GEN.6.20	Lebuh nuan tama ngagai bandung nya, bai siku lelaki enggau siku indu ari semua bansa jelu, enggau semua bansa burung, ngambika sida mengkang idup. 
GEN.6.21	Bai semua bansa pemakai ke kita empu, enggau ke sida.” 
GEN.6.22	 Noah lalu ngereja semua utai nitihka asuh Allah Taala.
GEN.7.1	Ku TUHAN bejaku ngagai Noah, “Bai semua kita sebilik tama ngagai bandung nya. Aku nemu, ka semina nuan siku aja dalam dunya tu ti ngereja utai ti ngena. 
GEN.7.2	Bai enggau nuan tujuh pasang ari semua bansa jelu ti tuchi, tang semina sepasang aja ari semua jelu ti enda tuchi. 
GEN.7.3	Bai mega tujuh pasang ari semua bansa burung. Kereja nya, ngambika semua bansa jelu enggau burung deka mengkang idup lalu beranak betelesak baru di dunya tu. 
GEN.7.4	Tujuh hari da agi, Aku deka ngasuh hari ujan 40 hari, 40 malam, kena ngerusak semua utai ti idup, ti udah digaga Aku.” 
GEN.7.5	Noah lalu ngereja semua utai nitihka asuh TUHAN.
GEN.7.6	Umur Noah 600 taun lebuh bah besai nya nyadi di dunya tu. 
GEN.7.7	 Iya enggau bini iya, enggau anak iya, enggau bini sida, tama ngagai bandung nya, ngerarika diri ari bah besai nya. 
GEN.7.8	Siku lelaki enggau siku indu ari semua bansa jelu enggau burung, nemuka sida nya tuchi tauka enda, 
GEN.7.9	tama ngagai bandung nya sama enggau Noah, munyi ti udah diasuh Allah Taala. 
GEN.7.10	Tujuh hari udah bekau nya, bah besai lalu nyadi.
GEN.7.12	Hari lalu enda ngetu-ngetu ujan 40 hari, 40 malam. 
GEN.7.13	Ba hari nya Noah enggau bini iya tama ngagai bandung, sama enggau anak seduai iya ke tiga iku, Sem, Ham enggau Japet, enggau bini sida. 
GEN.7.14	Semua bansa jelu, jelu tupi enggau jelu babas, ti besai enggau ti mit, enggau semua bansa burung sama tama enggau sida. 
GEN.7.15	Siku lelaki enggau siku indu ari genap bengkah bansa utai ti idup, tama ngagai bandung nya sama enggau Noah, 
GEN.7.16	nitihka asuh Allah Taala. Udah nya TUHAN lalu nikupka pintu bandung nya ari belakang Noah.
GEN.7.17	Hari lalu enda ngetu-ngetu ujan 40 hari, datai ke ai nya nyau chukup alai bandung nya melepung. 
GEN.7.18	Ai mansang dalam-sedalam, lalu bandung nya melepung. 
GEN.7.19	Ai nya dalam amat, datai ke iya nyau ngampuhka semua bukit ti tinggi. 
GEN.7.20	Ai nya majak dalam-sedalam datai ke penalam iya nyau kira tujuh meter ngampuhka tuchung bukit. 
GEN.7.21	Semua utai ti idup di dunya tu mati magang, nyengkaum semua burung, semua jelu enggau semua mensia. 
GEN.7.22	Semua utai ti enseput di dunya tu, mati magang. 
GEN.7.23	TUHAN ngerusak semua utai ti idup di dunya tu: mensia, jelu, enggau burung. Ka semina Noah, enggau semua orang ke sama enggau iya dalam bandung nya aja agi idup. 
GEN.7.24	Ai nya mengkang enda surut dalam pengelama 150 hari.
GEN.8.1	Tang Allah Taala ingatka Noah enggau semua jelu ti sama enggau iya dalam bandung nya. Iya lalu ngasuh ribut bepuput, lalu ai bah nya mupuk surut. 
GEN.8.2	Lubang ai ti di baruh tanah, enggau pintu ai ti di langit ditutup. Ujan lalu teduh, 
GEN.8.3	lalu ai bah nya majak surut-sesurut dalam pengelama 150 hari. 
GEN.8.4	Ba hari ti ketujuh belas dalam bulan ti ketujuh, bandung nya lalu tepanggai ba gerinjing bukit Ararat. 
GEN.8.5	Ai majak surut, lalu kena satu hari bulan dalam bulan ti kesepuluh, tuchung bukit lalu belabuh ayan.
GEN.8.6	Empat puluh hari udah bekau nya, Noah muka jenila 
GEN.8.7	lalu ngelepaska siku burung kak. Burung nya nadai pulai, tang majak terebai datai ke bah nya nyau udah abis surut. 
GEN.8.8	Udah nya Noah ngelepaska siku burung achang, kena nentuka enti ai nya amat udah surut. 
GEN.8.9	Tang laban ai bah nya agi ngelamun semua tanah, burung achang nya nadai nemu endur alai inggap, lalu iya pulai baru ngagai bandung nya. Noah nyengkau lalu ngambi burung achang nya ke dalam. 
GEN.8.10	Noah nganti tujuh hari da agi udah bekau nya. Udah nya iya ngelepaska burung achang nya baru. 
GEN.8.11	Burung achang nya pulai baru ngagai iya lemai nya, manggum daun kana. Nya baru Noah nemu ai bah nya nyau udah abis surut. 
GEN.8.12	Udah nya Iya nganti tujuh hari da agi, lalu ngelepaska burung achang nya baru. Sekali tu, burung achang nya nadai pulai.
GEN.8.13	Lebuh umur Noah nyau manggai 601 taun, kena satu hari bulan ti kesatu, ai bah nya nadai agi. Noah lalu muka atap bandung. Iya malik kiba kanan, lalu meda tanah nyau udah mupuk rangkai. 
GEN.8.14	Kena dua puluh tujuh hari bulan ti kedua, semua tanah nyau udah rangkai magang.
GEN.8.15	Allah Taala lalu bejaku ngagai Noah, 
GEN.8.16	“Pansut nuan enggau bini nuan, anak nuan enggau bini sida ari bandung tu. 
GEN.8.17	Bai pansut magang semua burung enggau semua jelu, ngambika sida beranak betelesak lalu ngachir ba sebelah dunya.” 
GEN.8.18	Noah lalu pansut ari bandung nya sama enggau bini iya, enggau anak iya sereta enggau bini sida. 
GEN.8.19	Semua jelu enggau semua burung pansut magang ari bandung nya, nitihka bansa sida empu.
GEN.8.20	Noah lalu ngaga siti alta ke TUHAN. Iya ngambi siku ari genap bengkah bansa jelu enggau burung ti tuchi, lalu nunu sida segala ba alta nya, nyadika piring. 
GEN.8.21	Bau piring nya ngerinduka ati TUHAN, lalu ku Iya bejaku dalam ati Diri, “Aku enggai agi nyumpah tanah ketegal mensia, laban Aku nemu, kenyau ari sida agi biak, runding sida endang jai. Aku enggai agi ngerusak semua utai ti idup, baka ke udah dikereja Aku sekali tu. 
GEN.8.22	Seagi-agi dunya tu mengkang bisi, maya betanam, enggau maya ngetau endang mengkang bisi. Maya chelap, enggau maya angat endang bisi. Musin panas, musin chelap, siang enggau malam, endang enda nemu abis.”
GEN.9.2	Semua jelu, burung, enggau ikan deka takutka kita. Semua sida di baruh kuasa kita magang. 
GEN.9.3	Diatu kita tau makai sida, lalu kita tau mega makai utai ti tumbuh. Aku meri semua utai nya nyadika pemakai kita. 
GEN.9.4	 Tang kita enda tau makai dagin ti agi bedarah, laban darah ngundan seput. 
GEN.9.5	Aku deka meri ukum bunuh ngagai sebarang sapa munuh orang. Aku deka meri ukum bunuh ngagai jelu ti munuh mensia. 
GEN.9.6	 Barang sapa munuh orang deka dibunuh, laban mensia digaga neladan gamal Allah Taala.
GEN.9.8	Ku Allah Taala bejaku ngagai Noah enggau bala anak iya, 
GEN.9.9	“Aku ngaga sempekat enggau nuan sereta enggau peturun nuan ti nangkanka nuan, 
GEN.9.10	sereta enggau semua utai ti idup - semua burung, enggau semua jelu - semua utai ti pansut ari bandung sama enggau nuan. 
GEN.9.11	Ngena sempekat tu, Aku besemaya enda agi ngerusak dunya enggau semua utai ti idup di dunya, ngena ai bah. 
GEN.9.12	Kena Aku nanda sempekat ti meruan belama iya tu ti digaga Aku enggau nuan, sereta enggau semua utai ti idup, 
GEN.9.13	Aku ngengkahka anakraja ba remang nyadika kelai kena nandaka sempekat Aku enggau dunya. 
GEN.9.14	Genap kali Aku mungkur langit ngena mua hari, lalu anakraja pegari ba remang, 
GEN.9.15	Aku deka ingatka sempekat Aku enggau nuan, sereta enggau semua jelu: ai bah enda agi ngerusak semua utai ti idup di dunya tu. 
GEN.9.16	Lebuh anakraja nya ayan ba remang, Aku deka meda iya, lalu ingatka sempekat ti meruan belama iya tu entara Aku enggau semua utai ti idup di dunya tu. 
GEN.9.17	Nya meh kelai sempekat ti digaga Aku enggau semua utai ti idup di dunya tu.”
GEN.9.18	Anak lelaki Noah ke pansut ari bandung nya Sem, Ham, enggau Japet. (Ham nya apai Kanaan.) 
GEN.9.19	Anak Noah ke tiga iku nya meh orang ke nurunka semua mensia di dunya tu.
GEN.9.20	Noah nya orang bumai. Iya nya orang ke terubah-rubah numbuhka kebun anggur. 
GEN.9.21	Lebuh iya udah ngirup wain, iya mabuk, nelanjaika diri lalu gali dalam langkau kain iya. 
GEN.9.22	Lebuh Ham, iya nya apai Kanaan, meda apai iya telanjai, iya lalu pansut ke luar, lalu madahka menyadi iya ke dua iku. 
GEN.9.23	Udah nya Sem seduai Japet lalu ngambi baju panjai siti, lalu megai baju panjai nya ari belakang seduai iya, ba bau seduai. Seduai iya lalu bejalai surut tama ngagai langkau kain nya, lalu mungkur apai sida, nguingka mua seduai iya kebukai ngambika seduai iya enda meda apai sida telanjai. 
GEN.9.24	Lebuh Noah udah gerai mabuk, lalu nemu pasal utai ti udah dikereja anak bunsu iya ngagai iya, 
GEN.9.25	iya lalu bejaku,
GEN.9.25	“Tulah Kanaan!
GEN.9.25	Iya deka nyadi ulun sida menyadi iya.
GEN.9.26	Puji meh TUHAN Allah Taala Sem!
GEN.9.26	Kanaan deka nyadi ulun Sem!
GEN.9.27	Awakka Allah Taala nambahka pemesai menua Japet!
GEN.9.27	Awakka peturun iya diau begulai enggau peturun Sem!
GEN.9.27	Kanaan deka nyadi ulun Japet.”
GEN.9.28	Udah bekau bah besai nya, Noah idup 350 taun da agi. 
GEN.9.29	Iya mati umur 950 taun.
GEN.10.1	Tu peturun anak lelaki Noah ke benama Sem, Ham enggau Japet. Udah bekau bah besai nya, sida tiga tu bisi anak lelaki.
GEN.10.2	Bala anak lelaki Japet nya Gomer, Magok, Madai, Jaban, Tubal, Mesek, enggau Tiras. Sida tu nurunka bansa ti ngangkatka nama sida. 
GEN.10.3	Peturun Gomer nya orang Askenas, Ripat, enggau Togarmah. 
GEN.10.4	Bala peturun Jaban nya orang Elisah, Spain, Saiprus enggau Rot. 
