GEN.1.1	Tshimolohong, Modimo o ne o hlole mahodimo le lefatshe.
GEN.2.17	empa haele sefate sa ho tseba botle le bobe, o se ke wa se ja, hobane mohla o se jang, o tla shwa.
GEN.2.18	Yaba Jehova Modimo o re: Ha ho molemo hoba motho a dule a nnotshi; ke tla mo etsetsa molekane ya tshwanang le yena. 
GEN.2.19	Jehova Modimo a bopa ka mobu diphoofolo tsohle tsa naha, le tse rurang tsa mahodimo; a ntoo di tlisa ho Adama, a tle a bone hore o tla di rea mabitso a jwang, le hore mabitso ao Adama a tlang ho bitsa dintho tsohle tse utlwang ka wona e be mabitso a tsona. 
GEN.2.20	Adama a rea makgomo wohle mabitso, le tse rurang tsa mahodimo, le diphoofolo tsohle tsa naha; empa hae le bakeng sa motho ha ho a ka ha fumanwa molekane ya tshwanang le yena. 
GEN.2.21	Yaba Jehova Modimo o robatsa Adama boroko bo boholo, mme Adama a ithoballa. Jehova a ntsha lehopo le leng ho yena, mme a busetsa dinama tulong tsa lona. 
GEN.2.22	Jehova Modimo a bopa mosadi ka lehopo leo a le ntshitseng ho Adama, mme a mo tlisa ho Adama. 
GEN.2.23	Adama a re: Jwale enwa ke lesapo la masapo a ka, ke nama ya nama ya ka; o tla bitswa mosadi, hobane o ntshitswe ho monna.
GEN.2.24	Ka baka lena, monna o tla tlohela ntatae le mmae, o tla kgomarela mosadi wa hae, mme e tla ba nama e le nngwe feela.
GEN.2.25	Adama le mosadi wa hae ba ne ba le feela ba babedi, ba se na dihlong.
GEN.3.1	Noha e ne e feta ka bohlale diphoofolo tsohle tsa naha, tseo Jehova Modimo a di entseng; mme ya re ho mosadi: A efela Modimo o itse: Le se ke la ja difate tsohle tsa tshimo na? 
GEN.3.2	Mosadi a re ho noha: Re ka ja ditholwana tsa difate tse tshimong; 
GEN.3.3	empa haele ditholwana tsa sefate se hara tshimo, Modimo o itse: Le se ke la di ja, mme le se ke la di ama, hore le tle le se ke la shwa. 
GEN.3.4	Noha ya fetola mosadi, ya re: Haele ho shwa, le ke ke la shwa, 
GEN.3.5	Modimo o mpa o tseba hobane, mohla le di jang, mahlo a lona a tla tutuboloha, mme le tla ba jwaloka medimo, le tsebe botle le bobe.
GEN.3.6	Mosadi eitse ha a bona hobane sefate se monate ho jewa, mme se kgahlisa mahlo, mme se lakatseha ke ho hlalefisa, a nka ditholwana tsa sona, a di ja, mme a nea monna wa hae ya neng a na le yena, mme le yena a ja. 
GEN.3.7	Yaba mahlo a bona ba babedi a tutuboloha; ba tseba hobane ba feela; mme ba rokahanya mahlaku a sefate sa feiye, ba iketsetsa meitlamo ka wona.
GEN.3.8	Jwale ba utlwa lentswe la Jehova Modimo ha a tsamaya tshimong ka mantsiboya ha ho phodile. Adama le mosadi wa hae ba ipata hara difate tsa tshimo, ba tshaba sefahleho sa Jehova Modimo. 
GEN.3.9	Yaba Jehova Modimo o bitsa Adama, a re ho yena: O hokae na? 
GEN.3.10	 a re: Ke utlwile lentswe la hao tshimong, mme ke tshabile, kahobane ke feela, mme ke ipatile. 
GEN.3.11	 a re: Ke mang ya o tsebisitseng hobane o feela? Na ha o a ka wa ja sefate seo ke o laetseng, ka re: O se ke wa se ja, na? 
GEN.3.12	 a re: Mosadi eo o nneileng yena hore a dule le nna, ke yena ya mphileng tsa sefate, ka di ja. 
GEN.3.13	Jehova Modimo a bolella mosadi, a re: Na keng eo o e entseng? Mosadi a re: Noha e nthetsitse, mme ke jele.
GEN.3.14	Yaba Jehova Modimo o re ho noha: Erekaha o entse hoo, o rohakilwe hara makgomo wohle, le hara diphoofolo tsohle tsa naha; o tla tsamaya ka mpa ya hao, mme o tla ja lerole ka matsatsi wohle a ho phela ha hao. 
GEN.3.15	Ke tla bea hloyano mahareng a hao le mosadi, le mahareng a peo ya hao le peo ya hae; peo eo e tla o kgoba hlooho, mme o tla e loma serethe.
GEN.3.16	A re ho mosadi: Ke tla o atisetsa bohloko ba hao haholoholo kemarong ya hao: o tla beleha bana ka bohloko; ditakatso tsa hao di tla ba ho monna wa hao, mme o tla buswa ke yena.
GEN.3.17	A re ho Adama: Erekaha o utlwile lentswe la mosadi wa hao, mme wa ja sefate seo ke o laetseng sona, ka re: O se ke wa se ja; lefatshe le rohakilwe ke hona ka baka la hao, mme o tla ja tsa lona ka thata, ka matsatsi wohle a ho phela ha hao; 
GEN.3.18	le tla o medisetsa ditshehlo le meutlwa, mme o tla ja jwang ba naha. 
GEN.3.19	O tla ja bohobe ka mofufutso wa phatla ya hao, o be o kgutlele mobung oo o ntshitsweng ho wona; hobane o lerole, mme o tla kgutlela leroleng.
GEN.3.20	Yaba Adama o rea mosadi wa hae Eva, kahobane e le mma ba utlwang bohle. 
GEN.3.21	Jehova Modimo a etsetsa Adama le mosadi wa hae dikobo tsa matlalo, mme a ba apesa tsona.
GEN.3.22	Yaba Jehova Modimo o re: Bonang, motho o fetohile a be jwaloka e mong wa rona, o tseba botle le bobe; mme jwale, a se ke a isa letsoho la hae, a nka le ditholwana tsa sefate sa bophelo, a di ja, mme a phela kamehla. 
GEN.3.23	Jehova Modimo a mo leleka tshimong ya Edene, a tle a ye ho lema mobu oo a ntshitsweng ho wona. 
GEN.3.24	A leleka motho, mme a bea dikerubime ka nqa botjhabela ho tshimo ya Edene, tse nang le lerumo le benyang le omang ka nqa tsohle, ho thiba tsela ya sefate sa bophelo.
GEN.4.1	Yaba Adama o tseba Eva, mosadi wa hae, mme a emola, a tswala Kaine, a re: Ke itswaletse monna ka thuso ya Jehova. 
GEN.4.2	A boela a tswala Abele, moenae. Abele ya eba modisa wa dinku, Kaine yena ya eba ya lemang mobu. 
GEN.4.3	Ha isaisa, Kaine a tlisetsa Jehova kabelo ya tse mediswang ke lefatshe; 
GEN.4.4	Abele le yena a mo tlisetsa matsibolo a mang a mohlape wa hae, le mafura a wona. Yaba Jehova o tadima Abele le kabelo ya hae; 
GEN.4.5	empa ha a ka a tadima Kaine leha e le kabelo ya hae. Kaine a halefa haholo, mme sefahleho sa hae sa sosobana. 
GEN.4.6	Jehova a re ho Kaine: O bohale keng? mme sefahleho sa hao se sosobanetseng? 
GEN.4.7	Ekare ha o etsa hantle, na sefahleho sa hao se ke ke sa ela na? Mme ha o sa etse hantle, sebe se laletse monyako; mme ditakatso tsa sona di lebile ho wena, o mpe o se buse.
GEN.4.8	Kaine a bua le Abele moenae; mme ha ba le naheng, Kaine a tsohela Abele moenae matla, a mmolaya. 
GEN.4.9	Jehova a re ho Kaine: Abele ngwaneno o kae? Kaine a re: Ha ke tsebe; a ke modisa wa ngwaneso na? 
GEN.4.10	Jehova a re: O entseng? Lentswe la madi a ngwaneno le howeletsa ho nna le etswa mobung. 
GEN.4.11	Mme jwale o rohakilwe ke lefatshe le ahlamisitseng molomo wa lona ho metsa madi a ngwaneno letsohong la hao. 
GEN.4.12	Etlare ha o lema lefatshe, le ke ke la o hlahisetsa tsa lona; o tla ba mobalehi le moleleri lefatsheng. 
GEN.4.13	Kaine a re ho Jehova: Kotlo ya ka e kgolo ho fetisa see nka se jarang. 
GEN.4.14	Bona, o ntelekile naheng ena kajeno, mme ke tla patelwa sefahleho sa hao, mme ke tla ba mobalehi le moleleri lefatsheng: ka baka lena, mang le mang ya mphumanang o tla mpolaya. 
GEN.4.15	Jehova a mo fetola, a re: Mang le mang ya ka bolayang Kaine, ho tla phetetswa ho yena hasupa. Jehova a beela Kaine pontsho ya hore, e mong le e mong ya mo fumanang a se ke a mmolaya. 
GEN.4.16	Yaba Kaine o tloha pontsheng ya Jehova, a ya aha naheng ya Node ka nqa botjhabela ho Edene.
GEN.4.17	Kaine a tseba mosadi wa hae, mme a emola, a tswala Henoke; Kaine a haha motse, mme a reella motse oo lebitso la Henoke, mora wa hae. 
GEN.4.18	Henoke a tswala Irade; Irade a tswala Mehujaele; Mehujaele a tswala Methusaele; Methusaele a tswala Lemeke. 
GEN.4.19	Lemeke a nyala basadi ba babedi; lebitso la e mong e ne e le Ada, lebitso la e mong e le Tsilla. 
GEN.4.20	Ada a tswala Jabale, e bileng ntata ba dulang ditenteng, ba disang mehlape. 
GEN.4.21	Lebitso la moenae e ne e le Jubale; yena e bile ntata bohle ba letsang harepa le phala. 
GEN.4.22	Tsilla le yena a tswala Tubale-Kaine, ya neng a tea mesebetsi yohle ya koporo le ya tshepe. Kgaitsedi ya Tubale-Kaine e ne e le Naama.
GEN.4.23	Lemeke a re ho basadi ba hae: Ada le Tsilla, utlwang lentswe la ka! Basadi ba Lemeke, le mamele polelo ya ka! Hobane monna ke mmolaetse leqeba la ka, le monna e motjha letetetso la ka. 
GEN.4.24	Kaine ha a pheteletswa hasupa, Lemeke yena e tla ba ha mashome a supileng a balwang hasupa.
GEN.4.25	Adama a boela a tseba mosadi wa hae, mme a tswala mora, a mo rea lebitso la Setha, a re: Ke hoba Modimo o mphile ngwana e mong sebakeng sa Abele ya bolailweng ke Kaine. 
GEN.4.26	Setha le yena a tswala mora, a mo rea lebitso la Enose. Ya eba moo ba qalang ho rapela lebitso la Jehova.
GEN.5.1	Ke ena buka ya leloko la Adama. Ka letsatsi leo Modimo o neng o bope motho ka lona, o mmopile ka setshwantsho sa Modimo. 
GEN.5.2	Wa bopa e motona le e motshehadi, wa ba hlohonolofatsa, mme wa ba rea lebitso la motho, mohla ba bopjwang.
GEN.5.3	Adama a phela dilemo tse lekgolo le mashome a mararo, a tswala mora ka setshwantsho sa hae le ka sebopeho sa hae, a mo rea lebitso la Setha. 
GEN.5.4	Eitse hobane Adama a tswale Setha, a phela dilemo tse makgolo a robileng meno e le mmedi; a tswala bara le baradi. 
GEN.5.5	Ditshiu tsohle tseo Adama a phetseng ka tsona, e bile dilemo tse makgolo a robileng mono o le mong a mashome a mararo; mme a shwa.
GEN.5.6	Setha a phela dilemo tse lekgolo le metso e mehlano; a tswala Enose. 
GEN.5.7	Eitse hobane Setha a tswale Enose, a phela dilemo tse makgolo a robileng meno e le mmedi le metso e supileng; a tswala bara le baradi. 
GEN.5.8	Ditshiu tsohle tsa Setha e bile dilemo tse makgolo a robileng mono o le mong a leshome le metso e mmedi; mme a shwa.
GEN.5.9	Enose a phela dilemo tse mashome a robileng mono o le mong, mme a tswala Kenane. 
GEN.5.10	Eitse Enose ha a tswetse Kenane, a phela dilemo tse makgolo a robileng meno e le mmedi a leshome le metso e mehlano; a tswala bara le baradi. 
GEN.5.11	Ditshiu tsohle tsa Enose ya eba dilemo tse makgolo a robileng mono o le mong a metso e mehlano; mme a shwa.
GEN.5.12	Kenane a phela dilemo tse mashome a supileng, mme a tswala Mahalaleele. 
GEN.5.13	Kenane ha a se a tswetse Mahalaleele, a phela dilemo tse makgolo a robileng meno e mmedi a mashome a mane; mme a tswala bara le baradi. 
GEN.5.14	Ditshiu tsohle tsa Kenane ya eba dilemo tse makgolo a robileng mono o le mong le leshome le le leng; mme a shwa.
GEN.5.15	Mahalaleele a phela dilemo tse mashome a tsheletseng a metso e mehlano; mme a tswala Jerede. 
GEN.5.16	Eitse Mahalaleele ha a tswetse Jerede, a phela dilemo tse makgolo a robileng meno e mmedi a mashome a mararo; mme a tswala bara le baradi. 
GEN.5.17	Ditshiu tsohle tsa Mahalaleele ya eba dilemo tse makgolo a robileng meno e mmedi a mashome a robileng mono o le mong a metso e mehlano; mme a shwa.
GEN.5.18	Eitse Jerede ha a phedile dilemo tse lekgolo le mashome a tsheletseng a metso e mmedi, a tswala Henoke. 
GEN.5.19	Jerede eitse hobane a tswale Henoke, a phela dilemo tse makgolo a robileng meno e le mmedi; mme a tswala bara le baradi. 
GEN.5.20	Ditshiu tsohle tsa Jerede ya eba dilemo tse makgolo a robileng mono o le mong a mashome a tsheletseng a metso e mmedi; mme a shwa.
GEN.5.21	Henoke a phela dilemo tse mashome a tsheletseng a metso e mehlano; mme a tswala Methusela. 
GEN.5.22	Henoke ha a tswetse Methusela, a tsamaya le Modimo ka dilemo tse makgolo a mararo; mme a tswala bara le baradi. 
GEN.5.23	Ditshiu tsohle tsa Henoke ya eba dilemo tse makgolo a mararo a mashome a tsheletseng a metso e mehlano. 
GEN.5.24	Henoke a tsamaya le Modimo; mme a ba siyo, hobane Modimo wa na wa mo nka.
GEN.5.25	Methusela ha a phedile dilemo tse lekgolo le mashome a robileng meno e mmedi a metso e supileng, a tswala Lemeke. 
GEN.5.26	Methusela ha a tswetse Lemeke, a phela dilemo tse makgolo a supileng a mashome a robileng meno e mmedi a metso e mmedi; mme a tswala bara le baradi. 
GEN.5.27	Ditshiu tsohle tsa Methusela ya eba dilemo tse makgolo a robileng mono o le mong a mashome a tsheletseng a metso e robileng mono o le mong; mme a shwa.
GEN.5.28	Lemeke ha a phedile dilemo tse lekgolo le mashome a robileng meno e mmedi a metso e mmedi, a tswala mora. 
GEN.5.29	A mo rea lebitso la Nowe, a re: Enwa o tla re phomotsa mosebetsing wa rona le mokgathaleng wa matsoho a rona ho tswang lefatsheng le rohakilweng ke Jehova. 
GEN.5.30	Lemeke ha a tswetse Nowe, a phela dilemo tse makgolo a mahlano a mashome a robileng mono o le mong a metso e mehlano; mme a tswala bara le baradi. 
GEN.5.31	Ditshiu tsohle tsa Lemeke ya eba dilemo tse makgolo a supileng a mashome a supileng a metso e supileng; mme a shwa.
GEN.5.32	Nowe a phela dilemo tse makgolo a mahlano, a ntoo tswala Sema, le Kama, le Jafeta.
GEN.6.1	Eitse hobane batho ba qale ho ata lefatsheng, ha ba tswetse basetsana, 
GEN.6.2	bara ba Modimo ba bona baradi ba batho hoba ba batle, mme ba inkela basadi hara bohle bao ba ikgethetseng bona. 
GEN.6.3	Yaba Jehova o re: Moya wa ka o ke ke wa nna wa eba ho motho kamehla, etswe le hona e le nama feela; ditshiu tsa hae e tla ba dilemo tse lekgolo le mashome a mabedi. 
GEN.6.4	Ho ne ho le difontwane tsa batho lefatsheng mehleng eo, hobane bara ba Modimo ba tle ho baradi ba batho, mme ba ba tswalle bana; ke tsona dinatla tsa boholoholo, tse mabitso a tumileng.
GEN.6.5	Jehova a bona bolotsana ba batho hoba bo boholo lefatsheng, le hoba mmopo wa mehopolo yohle ya dipelo tsa bona o mobe feela ka matsatsi wohle. 
GEN.6.6	Jehova a belaela ke hobane a entse motho lefatsheng, mme pelo ya hae ya eba ntsho. 
GEN.6.7	Jehova a re: Ke tla timetsa lefatsheng batho bao ke ba bopileng, ho qala ka batho ho isa ho makgomo le ho dihahabi le ho tse rurang hodimo, hobane ke belaela ka hoba ke di entse. 
GEN.6.8	Empa Nowe a fumana mohau pela Jehova.
GEN.6.9	Ditaba tsa Nowe ke tsena: Nowe e ne e le motho ya lokileng, ya kgabane mehleng ya hae; mme Nowe o ne a tsamaya le Modimo. 
GEN.6.10	Nowe a tswala bara ba bararo: Sema, le Kama, le Jafeta. 
GEN.6.11	Empa lefatshe le ne le bodile pela Modimo, mme lefatshe le ne le tletse ho bolayana. 
GEN.6.12	Modimo wa tadima lefatshe, mme wa bona hoba le bodile le hoba nama yohle e sentse mokgwa wa yona lefatsheng. 
GEN.6.13	Yaba Modimo o re ho Nowe: Bofelo ba nama yohle bo fihlile pela ka, hobane lefatshe le tletse ho bolayana ha bona, mme jwale ke tla ba timeletsa le lefatshe. 
GEN.6.14	O iketsetse areka ka difate tsa gofere; o etse dikarolo arekeng, mme o e tlotse ka boka kahare le kantle. 
GEN.6.15	O e etse ka mokgwa ona: Ditswe tsa motopo wa areka di be makgolo a mararo, ditswe tsa bophara ba yona di be mashome a mahlano, mme ditswe tsa bophahamo ba yona di be mashome a mararo. 
GEN.6.16	O siye lesoba arekeng, le be bolelele ba setswe se le seng ho tloha hodimo, o etse le monyako lehlakoreng la areka, o be o e etse dikarolo tse hlwellaneng, e katlase, le e kahare, le e kahodimo. 
GEN.6.17	Bona, nna ke ya tlisa morwallo wa metsi lefatsheng, ho fedisa nama yohle e nang le phefumoloho ya ho phela tlasa lehodimo, mme hohle ho lefatsheng ho tla shwa. 
GEN.6.18	Empa ke tla hlaba selekane sa ka le wena, mme o tla kena arekeng, wena, le bara ba hao, le mosadi wa hao, le basadi ba bara ba hao hammoho le wena. 
GEN.6.19	Ho tse phelang kaofela tsa nama yohle o nke ka pedi, e tona le e tshehadi, o di kenye arekeng, di tle di pholohe le wena; 
GEN.6.20	dinonyana ka mefuta ya tsona, le diphoofolo ka mefuta ya tsona, le tsohle tse hahabang lefatsheng ka mefuta ya tsona, di tla tla kaofela ka pedi ho wena, di tle di pholohe. 
GEN.6.21	O nke dijo tsohle tse jewang, o di bokelle ho wena arekeng, e be ho ja ha hao le ha tsona. 
GEN.6.22	Yaba Nowe o etsa kahohle kamoo Modimo o mo laetseng kateng, a fela a etsa jwalo.
GEN.7.1	Jehova a re ho Nowe: Kena arekeng, wena le ba ntlo ya hao kaofela, hobane ke o bone o lokile pela ka lelokong lena. 
GEN.7.2	Ho diphoofolo tsohle tse hlwekileng o nke ka supa, e tona le e tshehadi ya yona, le ho diphoofolo tse sa hlwekang o nke ka pedi, e tona le e tshehadi ya yona. 
GEN.7.3	Le ho dinonyana tsa lehodimo o nke ka supa, e tona le e tshehadi, ho pholosetsa lefatshe lohle mefuta ya tsona. 
GEN.7.4	Hobane matsatsi a sa tla supa, ke ntoo nesa pula hodima lefatshe ka matsatsi a mashome a mane le ka masiu a mashome a mane, mme ke tla fedisa lefatsheng tsohle tse leng teng, tseo ke di entseng. 
GEN.7.5	Yaba Nowe o etsa kahohle kamoo Jehova a mo laetseng kateng. 
GEN.7.6	Nowe e ne e le motho ya dilemo tse makgolo a tsheletseng, ha morwallo wa metsi o eba teng lefatsheng.
GEN.7.7	Nowe a kena ka arekeng, a na le bara ba hae, le mosadi wa hae, le basadi ba bara ba hae le yena, ba tshaba metsi a morwallo. 
GEN.7.8	Diphoofolo tse hlwekileng, le diphoofolo tse sa hlwekang, le dinonyana, le tsohle tse hahabang lefatsheng, 
GEN.7.9	tsa tla ka pedi arekeng ho Nowe, e tona le e tshehadi, jwalokaha Modimo o ne o laetse Nowe. 
GEN.7.10	Eitse matsatsi a supileng ha a fetile, metsi a morwallo a eba teng lefatsheng.
GEN.7.11	Ka selemo sa makgolo a tsheletseng sa ho phela ha Nowe, ka kgwedi ya bobedi, ka tsatsi la leshome le metso e supileng la kgwedi, ka tsatsi leo, mehlodi ya bodiba bo boholo ya phunyeha, mme dithoba tsa lehodimo tsa thiboloha. 
GEN.7.12	Pula ya na lefatsheng ka matsatsi a mashome a mane le ka masiu a mashome a mane. 
GEN.7.13	Ka lona tsatsi leo, Nowe a kena ka arekeng, a na le Sema, le Kama, le Jafeta, bara ba Nowe, le mosadi wa Nowe, le basadi ba bararo ba bara ba hae, 
GEN.7.14	bona, le diphoofolo tsohle ka mefuta ya tsona, le makgomo wohle ka mefuta ya wona, le dihahabi tsohle tse hahabang lefatsheng ka mefuta ya tsona, le tse rurang tsohle ka mefuta ya tsona, le dinonyana tsohle tse mapheo. 
GEN.7.15	Pedi ka pedi tsa nama yohle e nang le phefumoloho ya ho phela, tsa tla ho Nowe arekeng. 
GEN.7.16	Ho tse tlileng, ha tla e tona le e tshehadi tsa nama yohle, jwalokaha Modimo o ne o mo laetse. Yaba Jehova o a mo kwalla. 
GEN.7.17	Morwallo wa tlala lefatsheng ditshiu tse mashome a mane; metsi a kokomoha, a phahamisa areka, mme ya emisetswa hodima lefatshe. 
GEN.7.18	Metsi a eketseha, a hola haholo lefatsheng, mme areka e ne e sesa hodima metsi. 
GEN.7.19	Metsi a ipha matla haholoholo lefatsheng; mme dithaba tsohle tse telele tse katlasa mahodimo wohle tsa apeswa. 
GEN.7.20	Metsi a eketsa ho phahama ho isa ditsweng tse leshome le metso e mehlano, mme dithaba tsa kwahelwa. 
GEN.7.21	Yaba nama yohle e nyekenyehang lefatsheng ya eshwa: dinonyana, le makgomo, le diphoofolo, le dihahabi tsohle tse hahabang lefatsheng, le batho kaofela. 
GEN.7.22	Dintho tsohle tse neng di na le phefumoloho ya ho phela dinkong tsa tsona, kaofela ha tse dutseng moo ho omileng tsa eshwa. 
GEN.7.23	Tsohle tse phelang tse lefatsheng tsa fediswa, ho qala ka batho ho isa ho diphoofolo, le ho dihahabi, le ho dinonyana tsa lehodimo, tsohle tsa timetswa lefatsheng, ha sala Nowe feela, le tsohle tseo a neng a na le tsona arekeng. 
GEN.7.24	Mme metsi a eba matla lefatsheng ka ditshiu tse lekgolo le mashome a mahlano.
GEN.8.1	Yaba Modimo o hopola Nowe, le diphofolo tsohle, le makgomo kaofela a ho yena arekeng; mme Modimo o a fokisa moya lefatsheng, mme metsi a kgwehla. 
GEN.8.2	Mehlodi ya bodiba le dithoba tsa lehodimo tsa thijwa, mme pula ya lehodimo ya seswa. 
