MAT.1.1	ھي عيسيٰ مسيح جو شجرو آھي، جيڪو دائود ۽ ابراھيم جو اولاد آھي.
MAT.1.20	پر جڏھن ھو انھن ڳالھين بابت ڳڻتيون ڪري رھيو ھو تہ ھن کي خواب ۾ خداوند جو ھڪڙو ملائڪ ڏسڻ ۾ آيو جنھن چيس تہ ”اي دائود جا اولاد يوسف! تون پنھنجي مڱينديءَ مريم سان شادي ڪرڻ کان نہ گھٻراءِ، ڇالاءِ⁠جو پاڪ روح جي قدرت سان کيس پيٽ ٿيو آھي. 
MAT.1.21	 ھن کي پٽ ڄمندو ۽ ان جو نالو 
MAT.1.22	اھڙيءَ طرح اھي سڀ ڳالھيون جيڪي خداوند پنھنجي نبيءَ جي معرفت فرمايون ھيون سي پوريون ٿيون تہ
MAT.1.23	۽ کيس پٽ ڄمندو جنھن کي عمانوايل سڏيندا،“ جنھن جي معنيٰ آھي ”خدا اسان سان.“
MAT.1.24	سو جڏھن يوسف ننڊ مان جاڳي اٿيو، تڏھن جيئن خداوند جي ملائڪ چيو ھوس تيئن ئي ڪيائين ۽ مريم سان ئي شادي ڪيائين. 
MAT.1.25	 پر جيستائين مريم پٽ نہ ڄڻيو تيستائين يوسف کيس ھٿ بہ نہ لاتو ۽ ٻار جو نالو عيسيٰ رکيائين.
MAT.2.1	يھوديہ جي بادشاھہ ھيروديس جي ڏينھن ۾ عيسيٰ يھوديہ جي بيت⁠لحم شھر ۾ پيدا ٿيو. ان کان پوءِ ستت ئي ڪي نجومي اڀرندي کان يروشلم ۾ آيا، 
MAT.2.2	۽ اچي پڇيائون تہ ”اھو ٻار ڪٿي آھي جيڪو يھودين جو بادشاھہ ٿيڻ لاءِ ڄائو آھي؟ اسان ھن جو تارو اوڀر ۾ ڏٺو آھي ۽ اسين ھن کي سجدو ڪرڻ لاءِ آيا آھيون.“ 
MAT.2.3	ھيروديس بادشاھہ جڏھن ھي ٻڌو تہ ھو ۽ يروشلم جا سڀيئي ماڻھو ڏاڍا پريشان ٿيا. 
MAT.2.4	ھن سڀني سردار ڪاھنن ۽ شريعت جي عالمن کي گھرايو ۽ کانئن پڇيو تہ ”مسيح ڪٿي پيدا ٿيندو؟“ 
MAT.2.5	انھن وراڻيو تہ ”يھوديہ جي بيت⁠لحم ۾، ڇالاءِ⁠جو نبيءَ جي معرفت ھيئن لکيو ويو آھي تہ
MAT.2.6	تون ڪنھن بہ طرح يھوديہ جي شھزادن مان،
MAT.2.6	ڪنھن کان بہ ننڍو نہ آھين.
MAT.2.6	ڇالاءِ⁠جو تو منجھان ھڪ حاڪم نڪرندو،
MAT.2.6	جو منھنجي قوم بني اسرائيل جي رھبري ڪندو.‘“
MAT.2.7	تنھن تي ھيروديس انھن نجومين کي اڪيلائيءَ ۾ گھرائي پڇيو تہ ”تارو ٺيڪ ڪھڙي وقت نظر آيو ھو؟“ 
MAT.2.8	پوءِ ھن انھن کي ھي حڪم ڏيئي بيت⁠لحم ڏانھن موڪليو تہ ”وڃي چڱيءَ طرح سان ٻار جي ڳولا ڪريو ۽ جڏھن اوھين انھيءَ کي لھو تہ اچي مون کي ٻڌائجو تہ جيئن آءٌ بہ اچي کيس سجدو ڪريان.“
MAT.2.9+MAT.2.10	بادشاھہ جي حڪم موجب اھي روانا ٿيا ۽ رستي ۾ جڏھن اھو تارو ڏٺائون جيڪو اوڀر ۾ ڏٺو ھئائون، تڏھن اھي خوشيءَ وچان ڪپڙن ۾ نہ پيا ماپن. اھو تارو سندن اڳيان ھلندو رھيو، تان جو اچي ان جاءِ جي مٿان بيٺو جتي ٻارڙو ھو. 
MAT.2.11	ھو گھر ۾ گھڙي ويا ۽ ٻارڙي کي سندس ماءُ مريم سميت ڏٺائون ۽ ان کي گوڏا کوڙي سجدو ڪيائون. پوءِ انھن پنھنجون ڳوٿريون کولي کيس سوکڙيون پيش ڪيون جيڪي سون، لوبان ۽ مُرَ ھيون. 
MAT.2.12	خدا انھن کي خواب ۾ چتاءُ ڏنو تہ ”متان وري ھيروديس وٽ ويا آھيو.“ تنھنڪري اُھي ٻيو رستو وٺي پنھنجي ملڪ ڏانھن موٽي ويا.
MAT.2.13	جڏھن اُھي ھليا ويا تہ خداوند جو ھڪڙو ملائڪ يوسف کي خواب ۾ نظر آيو، جنھن چيس تہ ”اُٿ، ٻار ۽ سندس ماءُ کي وٺي مصر ڏانھن ڀڄي وڃ ۽ جيستائين آءٌ نہ چوانءِ تيستائين اُتي ئي رھجانءِ، ڇوتہ ھيروديس ٻار جي ڳولا ڪري کيس مارائڻ گھري ٿو.“ 
MAT.2.14	تنھن تي ھو اُٿيو، ٻار ۽ سندس ماءُ کي ساڻ ڪري راتورات مصر ڏانھن ھليو ويو. 
MAT.2.15	 ھيروديس جي مرڻ تائين ھو اُتي ئي رھيا، انھيءَ لاءِ تہ خداوند نبيءَ جي معرفت جيڪي چوايو ھو سو پورو ٿئي تہ ”مون پنھنجي فرزند کي مصر مان گھرايو آھي.“
MAT.2.16	جڏھن ھيروديس ڏٺو تہ نجومين ساڻس ٺڳي ڪئي آھي، تڏھن ڏاڍو اچي ڪاوڙيو. ھن حڪم ڏنو تہ ”بيت⁠لحم ۽ ان جي پسگردائيءَ ۾ جيڪي⁠بہ ٻن سالن کان ننڍا يا ٻن سالن جا ٻار ھجن تن سڀني کي ماري ڇڏيو،“ ڇوتہ ھن کي اھو وقت ياد ھو جڏھن نجومين کيس تاري جي ظاھر ٿيڻ بابت ٻڌايو ھو. 
MAT.2.17	اھڙيءَ طرح جيڪو يرمياہ نبيءَ چيو ھو سو سچو ثابت ٿيو تہ
MAT.2.18	ڏاڍي روئڻ ۽ پٽڻ جو آواز.
MAT.2.18	راخل پنھنجن ٻارن لاءِ روئي ٿي،
MAT.2.18	اھا روئي ٿي ۽ کيس آرام نہ ٿو اچي،
MAT.2.18	ڇاڪاڻ⁠تہ اُھي سڀ مري ويا آھن.“
MAT.2.19	ھيروديس جي مرڻ کان پوءِ مصر ۾ يوسف کي خواب ۾ خداوند جو ھڪڙو ملائڪ ڏسڻ ۾ آيو، 
MAT.2.20	جنھن چيس تہ ”اُٿ، ٻار ۽ سندس ماءُ کي وٺي موٽي اسرائيل جي ملڪ وڃ، ڇاڪاڻ⁠تہ جيڪي ٻار کي مارائڻ جي ڪوشش ڪن پيا سي مري ويا آھن.“ 
MAT.2.21	تنھن تي يوسف اٿيو، ٻار ۽ سندس ماءُ کي وٺي موٽي اسرائيل جي ملڪ ۾ آيو.
MAT.2.22	جڏھن ھن کي خبر پيئي تہ ارڪيلائوس پنھنجي پيءُ ھيروديس جي گاديءَ تي يھوديہ جو بادشاھہ ٿيو آھي تہ ھو اوڏانھن وڃڻ کان ڊڄڻ لڳو. پر ھن کي خواب ۾ وڌيڪ ھدايتون مليون ۽ ھو گليل جي علائقي ۾ آيو، 
MAT.2.23	 ۽ اتي ناصرت شھر ۾ رھيو. اھو ان ڪري ٿيو تہ نبين جيڪي چيو ھو سو پورو ٿئي تہ ”ھو ناصري سڏيو ويندو.“
MAT.3.1	انھن ڏينھن ۾ يحيٰ بپتسما ڏيڻ وارو يھوديہ جي رڻ⁠پٽ ۾ تبليغ ڪندو پئي آيو تہ 
MAT.3.2	 ”توبھہ ڪريو جو آسمان واري بادشاھت ويجھي آئي آھي.“ 
MAT.3.3	 يحيٰ اھو ئي ھو جنھن لاءِ يسعياہ نبي چيو ھو تہ
MAT.3.3	”رڻ⁠پٽ ۾ پڪارڻ واري جو آواز اچي ٿو تہ
MAT.3.3	’خداوند لاءِ رستو تيار ڪريو،
MAT.3.3	ھن لاءِ واٽون سڌيون ڪريو.‘“
MAT.3.5	ماڻھو ھن وٽ يروشلم کان، سڄي يھوديہ کان ۽ اردن درياءَ جي چوطرف وارن علائقن کان پئي آيا. 
MAT.3.6	انھن پنھنجا گناھہ پئي باسيا ۽ ھن کين اردن درياءَ ۾ بپتسما ٿي ڏني.
MAT.3.8	اھڙا ڪم ڪريو جن مان خبر پوي تہ اوھان سچ⁠پچ پنھنجن گناھن تي پڇتايو آھي. 
MAT.3.9	 ائين نہ سمجھو تہ اوھين ابراھيم جو اولاد آھيو. آءٌ اوھان کي ٻڌايان ٿو تہ خدا ھنن پٿرن مان بہ ابراھيم لاءِ اولاد پيدا ڪري سگھي ٿو. 
MAT.3.10	 ھاڻي تہ وڻن جي پاڙن تي ڪھاڙو تيار رکيو ويو آھي ۽ جيڪو وڻ سٺو ميوو نہ ڏيندو تہ ان کي وڍي باھہ ۾ اڇلائبو. 
MAT.3.11	آءٌ اوھان کي پاڻيءَ سان بپتسما ٿو ڏيان ان لاءِ تہ اوھان گناھن کان توبھہ ڪئي آھي، پر جيڪو مون کان پوءِ ايندو اھو اوھان کي پاڪ روح ۽ باھہ سان بپتسما ڏيندو. ھو مون کان وڌيڪ قدرت وارو آھي، آءٌ سندس جتي کڻڻ جي لائق بہ نہ آھيان. 
MAT.3.12	ھن جي ھٿ ۾ پنھنجو ڇڄ آھي ۽ ھو پنھنجي ڳاھہ جي پِڙ کي چڱيءَ طرح صاف ڪندو. ھو پنھنجي ڪڻڪ پنھنجن ڀانڊن ۾ انبار ڪندو پر بُھہ کي اھڙي باھہ ۾ ساڙيندو جيڪا ڪڏھن بہ نہ ٿي وسامي.“
MAT.3.13	پوءِ عيسيٰ گليل کان اردن درياءَ تي يحيٰ وٽ آيو تہ کانئس بپتسما وٺي. 
MAT.3.14	پر يحيٰ کيس منع ڪرڻ لڳو ۽ چيائينس تہ ”مون کي تہ پاڻ تو کان بپتسما وٺڻ گھرجي ۽ تون وري مون وٽ آيو آھين؟“ 
MAT.3.15	تنھن تي عيسيٰ جواب ڏنس تہ ”في⁠الحال تہ منھنجي مڃ، ڇالاءِ⁠جو اھڙيءَ طرح اسين خدا جا سڀ فرض پورا ڪنداسين.“ پوءِ يحيٰ کيس بپتسما ڏيڻ قبول ڪئي.
MAT.3.16	سو عيسيٰ جيئن ئي بپتسما وٺي پاڻيءَ مان ٻاھر آيو تہ ھن لاءِ آسمان کُلي پيو ۽ خدا جو روح ھڪ ڪبوتر وانگر ھيٺ لھندو ۽ پاڻ تي ويھندو ڏٺائين. 
MAT.3.17	 پوءِ آسمان مان ھڪ آواز آيو تہ ”ھي منھنجو پيارو فرزند آھي ۽ آءٌ ھن مان ڏاڍو خوش آھيان.“
MAT.4.2	جيئن تہ عيسيٰ چاليھہ ڏينھن ۽ چاليھہ راتيون روزي ۾ گذاريو ھو، تنھنڪري کيس ڏاڍي بک لڳي ھئي. 
MAT.4.3	سو شيطان ھن وٽ آيو ۽ چيائينس تہ ”جيڪڏھن تون خدا جو فرزند آھين تہ ھنن پٿرن کي حڪم ڪر تہ مانيون ٿي پون.“ 
MAT.4.4	 تنھن تي عيسيٰ وراڻيو تہ ”اھو لکيل آھي تہ ’ماڻھو رڳو مانيءَ تي جيئرو نہ ٿو رھي، پر ھر انھيءَ لفظ تي جيڪو خدا چوي ٿو.‘“
MAT.4.5	پوءِ شيطان عيسيٰ کي پاڪ شھر يروشلم ۾ وٺي ويو. ھن کي ھيڪل جي تمام مٿاھين ڪنگريءَ تي بيھاري 
MAT.4.6	 چيائينس تہ ”جيڪڏھن تون خدا جو فرزند آھين تہ ھتان پاڻ کي ھيٺ اڇلاءِ ڇاڪاڻ⁠تہ لکيل آھي تہ
MAT.4.6	’خدا پنھنجن ملائڪن کي تو لاءِ حڪم ڪندو،
MAT.4.6	اھي تو کي پنھنجن ھٿن تي جھليندا،
MAT.4.6	تہ جيئن تنھنجو پير بہ پٿر تي نہ لڳي.‘“
MAT.4.8	وري شيطان عيسيٰ کي ھڪڙي اتانھين جبل تي وٺي ويو ۽ دنيا جون سڀيئي بادشاھتون ۽ سندن شان وَ شوڪت ڏيکاريائينس، 
MAT.4.9	۽ چيائينس تہ ”آءٌ تو کي ھي سڀ شيون ڏيندس، جيڪڏھن تون ھيٺ نِوڙي مون کي سجدو ڪندين.“ 
MAT.4.10	 تنھن تي عيسيٰ ورندي ڏنس تہ ”اي شيطان! ٽري وڃ، ڇالاءِ⁠جو لکيل آھي تہ ’خداوند پنھنجي خدا کي سجدو ڪر ۽ رڳو انھيءَ جي ئي عبادت ڪر.‘“
MAT.4.11	پوءِ شيطان ھن کي ڇڏي ھليو ويو ۽ ملائڪ آيا ۽ اچي عيسيٰ جي خدمت ڪيائون.
MAT.4.13	 ھو ناصرت ۾ نہ رھيو پر وڃي ڪفرناحوم ۾ رھيو، جيڪو گليل ڍنڍ تي زبولون ۽ نفتاليءَ جي حدن اندر آھي. 
MAT.4.14	اھو انھيءَ ڪري ٿيو تہ جيئن يسعياہ نبيءَ جو چوڻ سچو ثابت ٿئي تہ
MAT.4.15	جيڪو اردن جي پريان ڍنڍ واري پاسي،
MAT.4.15	غير قومن وارو گليل آھي،
MAT.4.16	اتي جا ماڻھو جيڪي اونداھيءَ ۾ ويٺل ھئا،
MAT.4.16	تن ھڪڙي وڏي روشني ڏٺي.
MAT.4.16	ھائو، اھي جيڪي موت جي اونداھي ملڪ ۾ ويٺا ھئا،
MAT.4.16	تن تي روشني ظاھر ٿي.“
MAT.4.18	جيئن عيسيٰ گليل ڍنڍ جي ڪناري تان لنگھيو پئي تہ ھن ٻہ ڀائر ڏٺا، ھڪڙو شمعون جنھن کي پطرس سڏين ٿا ۽ ٻيو سندس ڀاءُ اندرياس. ھنن ڍنڍ ۾ ڄار پئي وڌو ڇالاءِ⁠جو ھو مھاڻا ھئا. 
MAT.4.19	عيسيٰ انھن کي سڏي چيو تہ ”اچو ۽ منھنجي پٺيان ھلو تہ آءٌ اوھان کي ماڻھو ڦاسائڻ سيکاريان.“ 
MAT.4.20	ھنن ھڪدم پنھنجا ڄار ڦٽا ڪيا ۽ سندس پٺيان ھلڻ لڳا.
MAT.4.21	ھو اتان اڳڀرو ٿيو تہ ھن ٻہ ٻيا ڀائر يعقوب ۽ يوحنا ڏٺا، جيڪي زبديءَ جا پٽ ھئا. اھي پنھنجي پتا زبديءَ سان گڏ ٻيڙيءَ ۾ ڄارن جي مرمت ڪري رھيا ھئا. عيسيٰ انھن کي سڏيو، 
MAT.4.22	تہ اھي بہ ھڪدم ٻيڙي ۽ پنھنجي پيءُ کي ڇڏي عيسيٰ جي پٺيان ھلڻ لڳا.
MAT.4.24	سڄي شام ملڪ ۾ ھن جي ھاڪ پئجي ويئي. تنھنڪري ڪيترائي ماڻھو ھن وٽ بيمار وٺي آيا، جن کي جدا جدا مرض ۽ تڪليفون ھيون، جھڙوڪ: ڀوتن ورتل، مرگھيءَ وارا ۽ اڌرنگ وارا. انھن سڀني کي عيسيٰ ڇٽائي چڱو ڀلو ڪيو. 
MAT.4.25	سو وڏا وڏا ميڙ سندس پويان پئي ھليا جيڪي گليل، دڪاپلس، يروشلم، يھوديہ ۽ اردن جي پرينءَ ڀر کان آيل ھئا.
MAT.5.1	جڏھن عيسيٰ ميڙ ڏٺا تہ ھو ٽڪر تي چڙھي ويو ۽ شاگرد سندس چوڌاري مڙي آيا. 
MAT.5.2	ھو انھن کي ويھي تعليم ڏيڻ لڳو ۽ چيائين تہ
MAT.5.3	”سڀاڳا آھن اھي جيڪي دل جا نماڻا آھن،
MAT.5.3	ڇالاءِ⁠جو اھي آسمان واري بادشاھت جون برڪتون ماڻين ٿا.
MAT.5.4	ڇالاءِ⁠جو خدا انھن کي تسلي ڏيندو.
MAT.5.5	ڇالاءِ⁠جو خدا انھن کي زمين جو وارث ڪندو.
MAT.5.6	ڇالاءِ⁠جو خدا انھن کي چڱيءَ طرح ڍءُ ڪرائيندو.
MAT.5.7	سڀاڳا آھن اھي جيڪي ٻين تي رحم ڪن ٿا،
MAT.5.7	ڇالاءِ⁠جو خدا انھن تي رحم ڪندو.
MAT.5.8	ڇالاءِ⁠جو اھي خدا کي ڏسندا.
MAT.5.9	سڀاڳا آھن اھي جيڪي ماڻھن ۾ صلح ڪرائين ٿا،
MAT.5.9	ڇالاءِ⁠جو خدا انھن کي پنھنجو ٻار سڏيندو.
MAT.5.10	ڇالاءِ⁠جو اھي آسمان واري بادشاھت جون برڪتون ماڻين ٿا.
MAT.5.12	 ڇوتہ اھڙيءَ طرح ئي نبين کي بہ ستايو ويو ھو. خوش ٿيو ۽ ڏاڍا سرھا ٿيو، ڇاڪاڻ⁠تہ اوھان کي بھشت ۾ وڏو اجر ملندو.“
MAT.5.13	”اوھين انسان ذات لاءِ لوڻ مثل آھيو. پر جيڪڏھن لوڻ پنھنجو سواد ڇڏي ڏئي تہ ان کي وري سوادي بنائڻ لاءِ ڪوبہ طريقو نہ آھي. اھو بيڪار ٿي پوندو، تنھنڪري ڦٽو ڪيو ويندو ۽ ماڻھن جي پيرن ھيٺان لتاڙيو ويندو.
MAT.5.15	 ڪوبہ ماڻھو ڏيئو ٻاري ڍڪڻ ھيٺان نہ ٿو رکي پر ھو ان کي ڏياٽيءَ تي ٿو رکي جتان گھر جي ھر ھڪ ڀاتيءَ کي روشني پھچي ٿي. 
MAT.5.16	 ساڳيءَ طرح اوھان جي روشني بہ ماڻھن اڳيان ائين چمڪي جو اھي اوھان جا چڱا ڪم ڏسي اوھان جو پيءُ، جيڪو آسمان ۾ آھي، تنھن جي واکاڻ ڪن.“
MAT.5.17	”اوھين ائين نہ سمجھو تہ آءٌ توريت ۽ نبين جي صحيفن کي منسوخ ڪرڻ لاءِ آيو آھيان. آءٌ انھن کي منسوخ ڪرڻ لاءِ نہ پر مڪمل ڪرڻ لاءِ آيو آھيان. 
MAT.5.18	 آءٌ اوھان کي سچ ٿو ٻڌايان تہ جيستائين آسمان ۽ زمين باقي آھن تيستائين شريعت جو ھڪڙو اکر يا ان جو ڪو نقطو بہ منسوخ نہ ٿيندو، تان جو سڀني ڳالھين جي پڄاڻي ٿئي. 
MAT.5.19	تنھنڪري جيڪو ڪنھن ننڍڙي حڪم جي بہ ڀڃڪڙي ڪندو ۽ ٻين ماڻھن کي بہ ائين ڪرڻ سيکاريندو، سو آسمان واري بادشاھت ۾ سڀني کان ننڍو سڏبو. پر جيڪو انھن تي عمل ڪندو ۽ ٻين کي بہ ائين ئي ڪرڻ سيکاريندو تہ اھو آسمان واري بادشاھت ۾ وڏو سڏبو. 
MAT.5.20	ڇالاءِ⁠جو آءٌ اوھان کي ٻڌايان ٿو تہ جيستائين اوھان جي نيڪي شريعت جي عالمن ۽ فريسين جي نيڪيءَ کان وڌيڪ نہ ٿيندي، تيستائين اوھين ڪنھن بہ طرح آسمان واري بادشاھت ۾ داخل ٿي نہ سگھندا.“
MAT.5.22	پر ھاڻي آءٌ اوھان کي ٻڌايان ٿو تہ جيڪو پنھنجي ڀاءُ ڀيڻ سان ڪاوڙيل رھي ٿو سو بہ ڪورٽ ۾ پيش ڪيو ويندو. جيڪو ڪنھن ٻئي کي ’اي چريا!‘ ڪري سڏي ٿو، سو وڏيءَ ڪورٽ ۾ پيش ڪيو ويندو ۽ جيڪو ڪنھن کي چوندو تہ ’اي ڀوڪ!‘ سو جھنم جي باھہ ۾ پوڻ جوڳو ٿيندو. 
MAT.5.23	تنھنڪري جيڪڏھن تون پنھنجو نذرانو قربان⁠گاھہ تي آڻي چاڙھين ۽ اتي ياد پويئي تہ تنھنجي ڀاءُ ڀيڻ جو تو ڏانھن ڪو رنج آھي، 
MAT.5.24	تہ پنھنجو نذرانو اتي قربان⁠گاھہ جي اڳيان ڇڏي پھريائين وڃي پنھنجي ڀاءُ ڀيڻ کي پرچاءِ، پوءِ اچي پنھنجو نذرانو چاڙھہ.
MAT.5.25	جيڪڏھن ڪو ماڻھو تو تي ڪيس ڪري ۽ تو کي ڪورٽ ۾ وٺي وڃي تہ واٽ تي ئي ان سان ٺاھہ ڪري ڇڏ، متان اھو فريادي تو کي جج جي حوالي ڪري ۽ جج تو کي سپاھيءَ جي حوالي ڪري ۽ تون جيل ۾ وڌو وڃين. 
MAT.5.26	آءٌ تو کي سچ ٿو چوان تہ جيستائين تون ڏنڊ جي پائي پائي نہ ڏيندين تيستائين ڪنھن بہ طرح اتان نڪري نہ سگھندين.“
MAT.5.28	پر ھاڻي آءٌ اوھان کي ٻڌايان ٿو تہ جيڪو ماڻھو ڪنھن عورت ڏانھن بري نگاھہ سان ٿو ڏسي سو پنھنجيءَ دل ۾ ان عورت سان زنا ڪري چڪو. 
MAT.5.29	 جيڪڏھن تنھنجي ساڄي اک تو کي گمراھہ ڪري تہ اھا ڪڍي اڇلائي ڇڏ، ڇالاءِ⁠جو تنھنجي لاءِ اھو بھتر آھي تہ تنھنجي عضون مان ڀلي ھڪڙو ھليو وڃي پر تنھنجو سڄو بدن جھنم ۾ نہ پوي. 
MAT.5.30	 جيڪڏھن تنھنجو ساڄو ھٿ تو کي گمراھہ ڪري تہ ان کي وڍي اڇلائي ڇڏ، ڇالاءِ⁠جو تنھنجي لاءِ اھو بھتر آھي تہ تنھنجي عضون مان ڀلي ھڪڙو ھليو وڃي پر تنھنجو سڄو بدن جھنم ۾ نہ پوي.“
MAT.5.32	 پر ھاڻي آءٌ اوھان کي سچ ٿو ٻڌايان تہ جيڪوبہ پنھنجي زال کي زنا جي ڏوھہ کان سواءِ ڪنھن ٻئي سبب جي ڪري طلاق ٿو ڏئي، سو ڄڻ تہ ھن کي زناڪار ٿو بڻائي ۽ جيڪو انھيءَ طلاق ڏنل عورت سان پرڻبو سو بہ زناڪار ٿيندو.“
MAT.5.34	 پر ھاڻي آءٌ اوھان کي چوان ٿو تہ قسم اصل کڻو ئي نہ. اوھين نڪي آسمان جو قسم کڻو، ڇالاءِ⁠جو اھو خدا جو تخت آھي 
MAT.5.35	 ۽ نڪي زمين جو قسم کڻو، ڇاڪاڻ⁠تہ اھا خدا جي پيرن جي صندلي آھي. اوھين نڪي يروشلم جو قسم کڻو، ڇاڪاڻ⁠تہ اھو وڏي بادشاھہ جو شھر آھي 
MAT.5.36	۽ نڪي وري پنھنجي سر جو قسم کڻو، ڇاڪاڻ⁠تہ اوھين ھڪ وار بہ ڪارو يا اڇو ڪري نہ ٿا سگھو. 
MAT.5.37	پر رڳو ’ھا‘ يا ’نہ‘ چئو، ان کان وڌيڪ چوڻ شيطاني آھي.“
MAT.5.39	پر ھاڻي آءٌ اوھان کي چوان ٿو تہ جيڪو اوھان سان بڇڙائي ڪري ان کان بدلو نہ وٺو. پر جيڪڏھن ڪو اوھان کي ڳل تي چماٽ ھڻي تہ ان کي ٻيو ڳل بہ ڦيرائي ڏيو. 
MAT.5.40	جيڪڏھن ڪو ماڻھو تنھنجو پھراڻ وٺڻ لاءِ تو تي ڪورٽ ۾ ڪيس ڪرڻ گھري تہ ان کي پنھنجو ڪوٽ بہ ڏيئي ڇڏ. 
MAT.5.41	جيڪو تو کي بيگر ۾ ھڪ ڪلوميٽر وٺي وڃي، تنھن سان تون ٻہ ڪلوميٽر وڃ. 
MAT.5.42	جيڪو تو کان ڪا شيءِ گھري تہ اھا کيس ڏي ۽ جيڪو تو کان اڌارو وٺي تنھن کي انڪار نہ ڪر.“
MAT.5.44	پر ھاڻي آءٌ اوھان کي چوان ٿو تہ پنھنجن دشمنن سان پيار ڪريو ۽ جيڪي اوھان کي ستائين تن لاءِ دعا گھرو، 
MAT.5.45	تہ جيئن اوھان جو پيءُ، جيڪو آسمان ۾ آھي تنھن جا اوھين ٻار ٿيو. ڇالاءِ⁠جو ھو نيڪن ۽ بڇڙن تي پنھنجو سج ھڪجھڙو اُڀاري ٿو ۽ سچارن ۽ ڪوڙن ٻنھي تي ھڪجھڙو مينھن وسائي ٿو. 
MAT.5.46	جيڪڏھن اوھين رڳو انھن سان پيار ڪريو ٿا جيڪي اوھان سان پيار ڪن ٿا تہ اوھان کي ڪھڙو اجر ملندو؟ محصول اڳاڙيندڙ بہ تہ ائين ئي ڪن ٿا. 
MAT.5.47	وري جيڪڏھن اوھين رڳو پنھنجن دوستن کي سلام ڪريو ٿا تہ اوھان ڪا خاص ڳالھہ تہ ڪانہ ڪئي، ڇوتہ غير قومن وارا بہ ائين ئي ڪن ٿا. 
MAT.5.48	 سو اوھين بہ ائين ئي ڪامل ٿيو جيئن اوھان جو آسمان وارو پيءُ ڪامل آھي.“
