GEN.1.1	Qallariypeqa Dios janaj pachata kay pachatawan ruwarqa. 
GEN.2.2	Qanchis kaj diapi, Diospa tukuy ima ruwanasnin tukusqaña kajtin, samarikorqa. 
GEN.2.3	Chaymanta qanchis kaj diata Dios bendicerqa, churanoqarqataj samarikuna diata, imaraykuchus Pay chay p'unchaypi samarikorqa tukuy imata ruwasqanmanta.
GEN.2.4+GEN.2.5	Chaymin janaj pachaj qallarikuynin, kay pachaj qallarikuynintaj. Maypachachus Dios ruwarqa janaj pachata kay pachatawan chaypacha, manaraj ni ima sach'apis karqachu, nitaj ima q'omer qhorapis jallp'api wiñarqarajchu, imaraykuchus Señor Dios manaraj parachimorqarajchu jallp'a pataman, nitaj pipis karqarajchu jallp'ata llank'anampaj. 
GEN.2.6	Chaywampis Diosqa wausita chhullata jina pampamanta llojsichimorqa, chaywantaj jallp'ata joq'ocharqa. 
GEN.2.7	Chaymanta Señor Dios runata ruwarqa ñut'u jallp'amanta, senqanmantaj kausay samayta samaykorqa. Ajinamanta runaqa kausayta qallarerqa.
GEN.2.8	Señor Dios uj qhallallaj huertata Edempi ruwarqa inti llojsimuynejpi; chaymantaj churarqa chay runa ruwasqanta. 
GEN.2.9	Chay huertapi Señor Dios wiñacherqa tukuy laya sumaj poqoj sach'asta mikhunapaj. Huerta chaupitaj karqa kausay sach'a, wiñachillarqataj allin kajta mana allin kajta rejsina sach'atapis.
GEN.2.10	Huertata qarpanampaj kikin Edenmanta uj mayu llojserqa, chaymantataj tawa mayusman t'aqakorqa. 
GEN.2.11	Ñaupaj kaj mayoj sutin karqa Pisón. Chayqa muyuykushan Havila jallp'aj muyuyninta, chaypitaj qori tiyan. 
GEN.2.12	Chay jallp'api kaj qoreqa sumaj karqa. Chaypi kallarqataj sumajta q'apashaj mach'a sach'a waqaywan, ónice rumiwan. 
GEN.2.13	Iskay kaj mayoj sutenqa Gihón; chaytaj muyuykushan tukuy Cus jallp'ata. 
GEN.2.14	Kinsa kaj mayoj sutenqa Tigris; chaytaj muyuykushan Asiriaj inti llojsimuyninnejta. Tawa kaj mayoj sutintaj Eufrates.
GEN.2.15	Señor Diostaj runa ruwasqanta Edén huertaman churarqa llank'anampaj, qhawanampajtaj. 
GEN.2.16	Chaymanta Señor Diosqa kamacherqa runata: Huertapi tukuynin kaj sach'asmanta mikhullanki; 
GEN.2.17	Allin kajta mana allin kajta rejsina yachay sach'aj poqoynillanta amapuni mikhunkichu; chay sach'aj poqoynintachus mikhunki chayqa, wañunki. 
GEN.2.18	Señor Diosqa nerqa: Mana allinchu runaqa sapallan kanan. Paywan kanampaj, uj yanapajta ruwapusaj. 
GEN.2.19	Señor Dios ruwarqa jallp'amanta tukuy laya monte animalesta, tukuy laya p'isqostawan. Jinaspataj runaman qhaterqa, sapa ujta sutichanampaj. Chay runaj sutichasqasninwantaj sapa uj kashanku. 
GEN.2.20	Runataj sapa uj animalesta sutichararqa: Monte animalesta, p'isqosta, uywasta ima. Manataj tarikorqachu payta yanapajqa. 
GEN.2.21	Señor Diostaj runata misk'ejta puñurpayacherqa, chaykamataj ujnin wajtanninta orqhorqa, jinaspataj aychallanwantaj k'askaykuchiporqa. 
GEN.2.22	Señor Dios runaj wajtanninta orqhosqanmanta uj warmita ruwarqa, jinaspataj runaman pusamorqa. 
GEN.2.23	Runataj payta qhawarispa nerqa: Kayqa kikin tulluymanta, kikin aychaymanta; kaypa sutintaj kanqa warmi, imaraykuchus Diosqa payta qharimanta ruwasqa. 
GEN.2.24	Chayrayku qhareqa tatanta mamantawan saqenqa, warminwantaj ujchakonqa, iskayninkutaj uj runa jinalla kanqanku. 
GEN.2.25	Iskayninkutaj qhari warmi q'alaslla kasharqanku, manataj p'enqakorqankuchu ajina kasqankumanta.
GEN.3.1	Katareqa may jina yuyaysapa karqa, Señor Dios tukuy monte animalesmanta ruwasqasninmanta nisqaqa. Pay warmita taporqa: Ajinatachu Diosqa nisunkichej huertapi kaj tukuynin sach'aspa poqoyninta ama mikhunkichejchu?, nispa.
GEN.3.2	Warmitaj kuticherqa: Atiyku mikhuyta tukuynin sach'aspa poqoyninta. 
GEN.3.3	Huerta chaupipi kaj sach'allamanta Diosqa niwayku amapuni mikhunaykuta, ni llujchirinallaykutapis. Chaymanta mikhunkichej chayqa, wañunkichej, niwayku.
GEN.3.4	Kataritaj nerqa warmiman: Chayqa mana cheqanchu, mana wañunkichejchu. 
GEN.3.5	Dios yachan allinta, maypachachus chay sach'aj poqoyninta mikhojtiykichej sumaj yachayniyojman tukunaykichejta. Ajinamanta chaywan qankunaqa Dios jina kankichej, yachankichejtaj imachus allin kajta mana allin kajtapis.
GEN.3.6	Warmitaj sach'ata qhawarerqa mikhunapaj jina moq'eyta. Jinallataj chayta mikhuykuspa imatapis yachanapaj jina. Ujnin poqoyninta p'itispataj mikhuykorqa; qosanmampis jaywarqa, paypis mikhuykullarqataj. 
GEN.3.7	Kikimpachataj ñawisninku kicharikorqa, reparakorqankutaj q'alaslla kashasqankuta. Kikimpachataj higos laqhesmanta p'achasta sirakorqanku, chaywantaj mayt'ukorqanku.
GEN.3.8	Qhareqa warminwan uyarerqanku Señor Diospa purisqanta, ch'isiyay wayra wayrapi huerta ukhupi kayman jaqayman purishajta. Paykunataj usqhay usqhayta huerta ukhupi pakaykukorqanku sach'as ukhuman. 
GEN.3.9	Señor Diosqa qharita wajyarqa: Maypitaj kashanki?, nispa.
GEN.3.10	Qharitaj kuticherqa: Uyarerqayki huerta ukhupi purishajta, manchachikorqayki q'alalla kaspa, chayrayku pakaykukorqani.
GEN.3.11	Diostaj taporqa: Pitaj nisunki q'alalla kasqaykitari? Kay sach'aj poqoyninta amapuni mikhunkichu, nisqaytachu mikhorqanki?, nispa.
GEN.3.12	Qharitaj kuticherqa: Qampa qowasqayki warmeqa chay sach'aj poqoyninta qowarqa, noqataj mikhuykorqani.
GEN.3.13	Señor Diostaj warmita taporqa: Imatataj ruwarqankiri? Paytaj kuticherqa: Katari ch'aukiyawan, chayrayku mikhorqani chay sach'aj poqoyninta.
GEN.3.14	Señor Diostaj nerqa katariman: Kayta ruwasqaykirayku kunanqa maldicisqa kanki tukuy uyaspa, tukuy monte animalespa chaupimpiwan. Kunanmanta jaqaymanqa qhatatakuspa purinki, jallp'atataj mikhunki tukuy kausayniykipi. 
GEN.3.15	Qantawan warmitawan chejninachisqaykichej. Jinallataj mirayniykiwan mirayninwampis chejninakonqanku. Miraynin umaykita saronqa, qantaj chaki talonninmanta khaninki.
GEN.3.16	Warmimantaj nerqa: Nanayniykita aswan ashkhata yapasaj onqoj kashajtiyki, nanaywantaj onqokunki wawasniykita. Munasqaykitaj qosaykiman apasonqa, paytaj qanta kamachisonqa.
GEN.3.17	Qharimantaj nerqa: Warmiykita kasusqaykirayku, chay sach'aj poqoyninta amapuni mikhunkichu mikhuspa nerqani chayta, kunanqa jallp'a maldicisqa kanqa; ancha ñak'ariywantaj poqochinki mikhunaykipaj tukuy kausayniykipi.
GEN.3.18	Jallp'aqa wiñachipusonqa khishkasta, tukuy sajra qhorastawan; qantaj qhasi qhoraspa poqoyninta mikhunki. 
GEN.3.19	Jump'i suruyta llank'anki mikhunaykipaj ñut'u jallp'aman tukunaykikama; imaraykuchus jallp'amanta ruwasqa kanki, jallp'a kanki, jallp'amantaj kutinki.
GEN.3.20	Qhareqa warminta suticharqa Evata, imaraykuchus pay karqa tukuy kausajkunaj maman. 
GEN.3.21	Señor Diosqa p'achasta ruwaporqa animalespa qarasninmanta qhari warmipaj, jinaspataj paykunaman p'achallicherqa. 
GEN.3.22	Nerqataj: Runaqa ujninchej jina kunanqa, yachan allin kajta, mana allin kajtapis. Kunanqa ama makinta oqharillachuntajchu, kausay sach'aj poqoyninta orqhospa mikhuykuspataj wiñaypaj kausanampaj.
GEN.3.23	Chayrayku Señor Diosqa runata Edén huertamanta qharqorqa; churarqataj jallp'ata llank'anampaj, mayqenmantachus ruwasqa karqa chayta. 
GEN.3.24	Ajinata runataqa jawaman qharqorqa. Querubinestataj sayaricherqa Edén huertaj inti llojsimuyninnejman, uj larwashaj espadatawan, muyuyninta muyushajta, jark'anampaj amapuni pipis kausayta qoj sach'aman qayllaykunampaj.
GEN.4.1	Evaqa wijsayoj rikhurerqa qosan Adampaj. Onqokorqataj Cainta, nerqataj: Tiyapuwan uj qhari wawa, kaytaqa Señor qowan. 
GEN.4.2	Chay qhepaman onqokullarqataj Caimpa wauqen Abeltañataj. Abelqa ovejasta michej, Caintaj jallp'ata llank'aj.
GEN.4.3	Qhepamantaj Caenqa uj p'unchay jaywanata Señorman aparqa llank'aspa poqochisqasninmanta. 
GEN.4.4	Abelpis apallarqataj Señorman jaywanata ovejasninmanta uj sumajnin kajta, kuraj kaj uñasmanta. Señortaj may kusisqa Abelta qhawarerqa, jinallatataj oveja apasqan jaywanantapis. 
GEN.4.5	Caintari mana jinatachu qhawarerqa, nillataj jaywanantapis. Chaymanta Caenqa maytapuni phiñarikorqa, uyampis uj jinayarqa. 
GEN.4.6	Señortaj nerqa: Imaraykutaj jinata phiñakunkiri, uyaykipis uj jinayanri? 
GEN.4.7	Sichus allinta ruwawaj chayqa, mana jina uyayojchu kawaj. Qanqa mana allintachu ruwanki, chayrayku juchaqa atipaytaña munashasunki. Manachus jina kawaj chayqa, juchata atipawaj.
GEN.4.8	Uj kuti Caenqa Abelta pusarqa, jaku campoman, nispa. Chay campopi kashaspataj, Caenqa wauqen Abelta maqayta qallarerqa wañuchinankama. 
GEN.4.9	Señortaj Cainta taporqa: Maytaj wauqeyki Abelri?, nispa. Paytaj kuticherqa: Mana yachanichu. Noqachu wauqey Abelta qhawanay karqa imatajri?
GEN.4.10	Diostaj nerqa: Imanarqankitajri? Wauqeykej yawarninta jich'asqaykeqa jallp'amantapacha qhaparimushawan. 
GEN.4.11	Chayrayku qanqa maldicisqa kanki, wijch'usqataj kanki kay jallp'amanta, mayqenchus wauqeykej yawarninta upiykun, wauqeykita wañuchisqaykej yawarninta. 
GEN.4.12	Kunanqa llank'ashajtiykipis jallp'aqa manaña poqosqanta jinachu poqonqa. Qanqa mundontimpi muyuskiri kanki, mana jayk'aj samarikuyta tarejtaj.
GEN.4.13	Caintaj Señorman kuticherqa: Noqapaj kayqa ancha jatun jasut'i. 
GEN.4.14	Kunan qanqa qharqowanki kay jallp'amanta. Puriskiri kamusaj mundontimpi qanmanta karupi, ni jayk'aj samarikuyta tarispataj. Pipis taripaspaqa wañuchillawanqachari.
GEN.4.15	Señortaj chayman kuticherqa: Pipis qanta wañuchejqa qanchis kutita jasut'isqa kanqa. Chaymantataj Señorqa Cainman uj señalta churarqa, pipis taripaytawan ama wañuchinampaj. 
GEN.4.16	Caenqa Señormanta t'aqakuspa riporqa. Tiyakorqataj Nod jallp'api, Edenmanta inti llojsimuyninnejpi.
GEN.4.17	Caimpa warmin, wijsayoj rikhurerqa, onqokorqataj wawan Enocta. Chaymanta Caenqa uj llajtata sayacherqa. Chay llajtata suticharqa wawan Enocpa sutinwan. 
GEN.4.18	Enocqa karqa Iradpa tatan, Iradtaj karqa Mehujaelpa tatan. Mehujaeltaj Metusaelpa tatan karqa, Metusaeltaj Lamecpa tatan. 
GEN.4.19	Lamecqa iskay warmisniyoj karqa. Ujnin kajpata Ada sutin karqa, ujnin kajpatataj Zila. 
GEN.4.20	Adaj wawan karqa Jabal, chaypa wawasnintaj karqanku toldospi tiyakojkuna, uywasta uywajkuna. 
GEN.4.21	Wauqenqa Jubal karqa, chaypa wawasnin karqanku arpata, qenatawan tocajkuna. 
GEN.4.22	Zilapis wawayojllataj karqa, sutintaj karqa Tubalcaín. Chaytaj herrero karqa, ruwaj broncemanta, fierromantawan. Tubalcaimpata panan tiyarqa, sutintaj Naama karqa.
GEN.4.23	Uj kuti Lamecqa nerqa warmisninman: Ada, Zila, sumajta uyariwaychej imatachus nisqayta: Warmisníy: Uj runata wañuchini wajtawasqanrayku; uj waynatataj sajmawasqanrayku. 
GEN.4.24	Sichus Cainta qanchis kutita jasut'enqanku chayqa, noqataqa jasut'iwanqanku qanchis chunka qanchisniyoj kutista.
GEN.4.25	Adampa warmin ujtawan onqoj rikhurerqa. Ajinamanta uj wawan kallarqataj, suticharqankutaj Setta. Nerqataj: Dios qowan uj wawatañataj Abelpa cuentanmanta, pitachus Caín wañucherqa chaymanta.
GEN.4.26	Setpatapis wawan kallarqataj, sutin karqa Enós. Chaymantapacha qallarerqanku Diosmanta mañakuyta, Señorpa sutinta oqharispa.
GEN.5.1	Kaykuna kanku Adampa mirayninmanta kajkuna. Mayk'ajchus Dios runata ruwarqa, chaypacha runaqa payman rijch'akoj karqa. 
GEN.5.2	Dios ruwarqa qharita warmitawan; chaymantataj bendicerqa, suticharqataj runata, ima diachus ruwasqas karqanku chaypacha.
GEN.5.3	Adanqa karqa pachaj kinsa chunka watasniyoj, wawan payman rijch'akoj nacerqa chaypacha, pitachus suticharqa Setta.
GEN.5.4	Chaymanta Adanqa kausarqa pusaj pachaj watastawan, wawasnintaj astawan karqankuraj qharis, chanta warmis. 
GEN.5.5	Adanqa kausarqa tukuynimpi isq'on pachaj kinsa chunkayoj watasta. Chay chhika watasniyoj wañuporqa.
GEN.5.6	Setqa pachaj phishqayoj watasniyoj karqa wawan Enós naceshajtin. 
GEN.5.7	Chaymanta Set kausarqa pusaj pachaj qanchisniyoj watastawan, wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.8	Tukuynimpi Setqa kausarqa isq'on pachaj chunka iskayniyoj watasta. Chay chhika watasniyoj wañuporqa.
GEN.5.9	Enós isq'on chunka watasniyoj karqa Cainán wawan naceshajtin. 
GEN.5.10	Chay qhepata Enós kausarqa pusaj pachaj chunka phishqayoj watastawan. Wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.11	Tukuynimpi Enosqa kausarqa isq'on pachaj phishqayoj watasta. Chay chhika watasniyoj wañuporqa. 
GEN.5.12	Cainán qanchis chunka watasniyoj karqa Mahalaleel wawan naceshajtin. 
GEN.5.13	Chay qhepata Cainán kausarqa pusaj pachaj tawa chunkayoj watastawan. Wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.14	Tukuynimpi Cainán kausarqa isq'on pachaj chunkayoj watasta. Chay chhika watasniyoj wañuporqa.
GEN.5.15	Mahaleel sojta chunka phishqayoj watasniyoj karqa wawan Jared naceshajtin. 
GEN.5.16	Chay qhepata Mahaleel kausarqa pusaj pachaj kinsa chunkayoj watastawan. Wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.17	Tukuynimpi Mahaleelqa kausarqa pusaj pachaj isq'on chunka phishqayoj watasta. Chay chhika watasniyoj wañuporqa.
GEN.5.18	Jared pachaj sojta chunka iskayniyoj watasniyoj karqa Enoc wawan naceshajtin. 
GEN.5.19	Chay qhepata Jared kausarqa pusaj pachaj watastawan. Wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.20	Tukuynimpi Jared kausarqa isq'on pachaj sojta chunka iskayniyoj watasta. Chay chhika watasniyoj wañuporqa. 
GEN.5.21	Enoc sojta chunka phishqayoj watasniyoj karqa Matusalén wawan naceshajtin. 
GEN.5.22	Enocqa Diospa munayninman jinapuni kausarqa. Matusalén nacesqanmanta qhepata, Enoc kausarqa kinsa pachaj watastawan. Wawasnintaj karqanku qharis, chanta warmis. 
GEN.5.23	Tukuynimpi Enocqa kausarqa kinsa pachaj sojta chunka phishqayoj watasta. 
GEN.5.24	Enoc Diospa munayninman jinapuni kausasqanrayku uj p'unchay chinkaporqa, imaraykuchus Dios pusakaporqa.
GEN.5.25	Matusalenqa karqa pachaj pusaj chunka qanchisniyoj watasniyoj wawan Lamec naceshajtin. 
GEN.5.26	Chay qhepata Matusalén kausarqa qanchis pachaj pusaj chunka iskayniyoj watastawanraj. Wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.27	Tukuynimpi Matusalenqa kausarqa isq'on pachaj sojta chunka isq'onniyoj watasta. Chay chhika watasniyoj wañuporqa.
GEN.5.28	Lamecqa pachaj pusaj chunka iskayniyoj watasniyoj karqa uj wawan naceshajtin. 
GEN.5.29	Chaytaj karqa Noé, imaraykuchus nerqa: Dios maldicin jallp'ata, llank'ananchej tiyan atiy mana atiyta, chaymanta kay wawa samarichiwasun.
GEN.5.30	Noé nacesqanmanta qhepaman, Lamecqa kausarqa phishqa pachaj isq'on chunka phishqayoj watastawanraj. Wawasnintaj karqankuraj qharis, chanta warmis. 
GEN.5.31	Tukuynimpi Lamecqa kausarqa qanchis pachaj qanchis chunka qanchisniyoj watasta. Chay chhika watasniyoj wañuporqa.
GEN.5.32	Noé phishqa pachaj watasniyoj kasqanmanta wawasnin nacerqanku: Sem, Cam, Jafet.
GEN.6.1	Maypachachus runas kay jallp'a patapi mirayta qallarejtinku, warmi wawasninku karqa. 
GEN.6.2	Diospa wawasnintaj paykunawan casarakorqanku sumaj warmista rikuspa, ajllakuspataj munasqankuman jina. 
GEN.6.3	Señortaj nerqa: Mana saqesajchu runasqa kay jallp'a patapi wiñaypaj kausanankuta, imaraykuchus paykunaqa aychalla kanku. Chayrayku kausanqanku pachaj iskay chunkayoj watasllata.
GEN.6.4	Chaypacha jatuchaj runas rikhurerqanku jallp'a patapi, Diospa wawasnin runaspa ususisninkuwan casarajtinku wawasniyoj kanankupaj. Chay qhepatapis kallarqankupuni. Paykuna karqanku manchay kallpasniyoj, mentasqastaj unay tiempospi.
GEN.6.5	Señor rikorqa runaspa ashkha millay sajra ruwasqasninkuta, qhepamampis tukuy sajrallatapuni ruwayta yuyasqankuta. 
GEN.6.6	Chayrayku Señorqa pesachikorqa runasta ruwasqanmanta, mayta sonqonta nanachikuspa. 
GEN.6.7	Señorqa nerqa: Jallp'a patamanta q'alata chinkachisaj kay ruwasqasniy runasta; jinallataj uywasta, pampata qhatatakojkunata, p'isqostawan. Anchata pesachikuni kaykunata ruwasqaymanta. 
GEN.6.8	Chaywampis Noeqa Diospa ñaupaqempi khuyakuyta tarerqa.
GEN.6.9	Kay jina karqa Noepa kausaynin: Noeqa cheqan karqa, sumaj runataj chay tiempo runa mita ukhupi, Diosta kasuspapuni. Ajinaqa pay k'atalla Diospa munasqanta ruwarqa. 
GEN.6.10	Noepata kinsa wawasnin karqa, Sem, Cam, Jafetwan.
GEN.6.11	Diospa ñaupaqempi mundoqa imaymana juchawan junt'a karqa, chejninakuywan ima. 
GEN.6.12+GEN.6.13	Runasqa juchapi pejtusqas karqanku. Chayrayku Dios chay jina millay juchararasta rikuspa, nerqa Noeman: Noqa tukuchisaj kay runasta. Paykunaj juchallikusqankurayku imaymana jucha mundoman junt'an. Chayrayku tukuchisaj paykunata tukuy jallp'antinta. 
GEN.6.14	Qantaj ruway uj arcata gofer maderamanta. Ukhumpitaj ruway ashkha cuartosta. Jinaspataj mach'awan lluch'aranki ukhunta jawantawan tukuy lajrasninta ama yaku yaykunampaj. 
GEN.6.15	Kay jinata ruwanki: Sayt'unman ruwanki pachaj kinsa chunka phishqayoj metrosniyojta, kinrayninmantaj iskay chunka iskayniyoj khuskanniyojta, patamantaj chunka kinsayoj khuskanniyoj metrosta. 
GEN.6.16	Chanta ruway kinsa alto patasniyojta, uj ventanayojta, chaytaj cachun techo uramanta khuskan metropi; uj ladompitaj punkunta ruwanki. 
GEN.6.17	Noqa jatun parata parachimusaj yakoqa mundota p'ampanankama, mundopi tukuy kausajkunata chinkachinampaj. Jallp'a patapi tukuy ima kausajkuna wañonqanku. 
GEN.6.18	Qanwantaj ruwasaj uj tratota. Qan yaykunki arcaman, jinallataj yaykonqanku wawasniyki, warmiyki, qhachunisniyki ima. 
GEN.6.19	Chanta arcaman apaykunki uj china orqota sapa uj animalesmanta kay mundopi kaj chhicamanta; chay animales qanwan kanqanku kausanankupaj. 
GEN.6.20	Qanwan khuska yaykonqanku tukuy laya animalesmanta iskaykama: P'isqosmanta, uywasmanta, tukuy qhatatakoj animalesmanta ima, kausanankupaj. 
GEN.6.21	Jinallataj tukuy laya mikhunata tantay, waqaychaytaj qan mikhunaykipaj, jinallataj animales mikhunankupajpis. 
GEN.6.22	Ajinata Noeqa ruwarqa, Dios imaynatachus payman nisqanman jina.
GEN.7.1	Señorqa Noeman nerqa: Arcaman yaykuy tukuy aylluykiwan; imaraykuchus qanlla allinta purinki ñaupaqeypi tukuy kay tiempo runasmanta nisqaqa. 
GEN.7.2	Tukuy llimphupaj qhawasqa uywasmanta churay qanchis china orqosta. Mana llimphupaj qhawasqa kajkunamantarí uj china orqollata churanki. 
GEN.7.3	Jinallataj phawaykachajkunamantapis qanchis china orqostakama, sapa layamanta, jallp'a patamanta ama chinkanankupaj. 
GEN.7.4	Noqataj qanchis p'unchaymantawan parachimusaj, tawa chunka p'unchayta tawa chunka tutatawan. Jallp'a patamanta chinkachisaj tukuy kausajkuna ruwasqasniyta.
GEN.7.5	Noetaj Señorpa tukuy kamachisqanta ruwarqa. 
GEN.7.6	Noeqa karqa sojta pachaj watasniyoj yaku kay mundota p'ampaykushajtin. 
GEN.7.7	Noetaj arcaman yaykuporqa wawasninwan, warminwan, qhachunisninwan ima, jatun musphay paramanta pakakunankupaj. 
GEN.7.8+GEN.7.9	Jinallataj mikhuna kaj animales, mana mikhuna kaj animalespis, p'isqos, jallp'a patata qhatatakojkuna ima, Noewan khuska china orqo, iskay iskaymanta arcaman yaykorqanku, Dios Noeman nisqanman jina. 
GEN.7.10	Qanchis dianmantaj yakoqa jallp'ata p'ampayta qallarerqa. 
GEN.7.11	Chaypacha karqa chunka qanchisniyoj día iskay kaj killapi. Noetaj karqa sojta pachaj watasniyoj. Chay diapipuni yuyay chinkay ukhu pacha qocha t'ojyamorqa, jinallataj janaj pachapi kaj yakupis t'ojyamuspa musphayta jich'akamorqa.
GEN.7.12	Jallp'a patata paraqa tawa chunka p'unchayta, tawa chunka tutatawan pararqa. 
GEN.7.13	Kikin chay p'unchaypi Noé arcaman yaykorqa wawasninwan Sem, Cam, Jafetwan; jinallataj warminwan, kinsantin qhachunisninwan ima. 
GEN.7.14	Paykunawan khuska yaykorqanku tukuy laya monte animales, layankuman jina, uywas, qhatatakoj animales, tukuy laya p'isqos ima. 
GEN.7.15	Tukuy laya animales arcaman yaykorqanku Noewan khuska iskay iskaymanta, tukuy kausayniyoj kajkuna. 
GEN.7.16	Sapa laya animales china orqo yaykorqanku, Noeman Dios kamachisqanman jina. Chaymantataj Señorqa arcaj punkunta wisq'aykorqa.
GEN.7.17	Jatun musphay parataj jich'akorqa tawa chunka p'unchaykunata. Yakustaj manchayta llump'irispa oqharikorqanku; arcatataj pampamanta tuytucherqapacha. 
GEN.7.18	Yakoqa uj ima jina kay mundoman junt'aykusharqa, arcataj yakus patapi tuytorqa. 
GEN.7.19	Yakoqa manchayta wicharispa tukuy jallp'ata p'ampaykorqa, kay mundopi aswan jatun kaj orqosnintinta. 
