MAT.1.1	Cay kelkaskaka Jesucristoj ñaupaj tatasninmantamin. Jesuska Abrahammanta jamun Davidmantawan.
MAT.2.12	Chaymantataj moskoynincupi Dios paycunata willarka Herodespaman ama cutinancuta. Chayraycu paycunaka jallp'ancuman waj ñanta cutiporkancu.
MAT.2.13	Yachaysapa runas ripuskancuwantaj Dios uj willaj angelta cachamorka. Joseman moskoyninpi riqhurimuspataj nerka:
MAT.2.13	—Jataricuy. Wawitata, Wawaj mamantawan pusaricuspa Egipto jallp'aman aykecuy. Jakaypi tiyacamuy noka willasunaycama. Herodeska masc'aj rishan Wawitata wañuchinanpaj, —nispa.
MAT.2.14	Chay quiquinpachataj José tutapi rijch'arispa jatarerka. Wawitata mamantawan pusariycucuspa Egipto jallp'aman riporka. 
MAT.2.15	Jakaypitaj Herodes wañunancama tiyacamorkancu. Tucuy cayka ruwacorka Diospa niskan junt'acunanpaj. Chaytaka unay willajninnejta nerka: “Egiptomanta llojsimpunanta Wawayta wajyarkani”.
MAT.2.16	Herodeska chay yachaysapacuna anchata asipayaycuskancuta reparaspa mayta phiñacorka. Runasnintataj camacherka tucuy khari wawasta iscay watayojcama wañuchimunancuta. Paycunataj wawacunata wañucherkancu Belén llajtapi tucuy chaynejpipis. Jesuspa ch'ascan riqhurimuskan p'unchaycunata yachaysapacunamanta yachaspa chayta ruwarka. 
MAT.2.17	Ajinapi Diospa niskan junt'aska carka. Pay unay willajnin Jeremiasnejta nerka:
MAT.2.18	Phutiy wakay uyaricun Ramá llajtapi.
MAT.2.18	Raquel wawasninmanta khaparispa wakashan jatun llaquiywan “ay, ay” nispa.
MAT.2.18	Manaña sonkochacunmanñachu wawasnin wañuskas caskancuraycu.
MAT.2.19	Herodes wañupojtinrí Dios uj willaj angelta cachamorka. Joseman moskoyninpi riqhurispa Egipto jallp'api 
MAT.2.20	nerkataj:
MAT.2.20	—Jataricuy. Wawitata mamantawan pusaricuspa ripuy Israel jallp'aman. Wawitata wañuchiyta munajcunaka ñapis wañupuncuña, —nispa.
MAT.2.21	Chay quiquinpacha José jataricuspa Wawitata mamantawan pusaricorka Israel jallp'aman. 
MAT.2.22	Arquelao tatan Herodespa cuentanpi Judea jallp'ata camachisharka. Chayta uyarispa Joseka manchachicorka chayman tiyacoj riyta. Moskoyninpi Dios payman willaskanraycutaj Galilea jallp'aman riporka. 
MAT.2.23	Nazaret llajtaman chayaspa chaypi tiyacorka. Ajina ruwacorka Diospa niskan junt'acunanpaj. Unay willajcunanejta nerka Jesús Nazaret llajtayoj sutichaska cananta.
MAT.3.1	Chaypacha bautizaj Juanka riqhurerka willaraspa Judea jallp'a ch'innejpi. 
MAT.3.2	Nerkataj:
MAT.3.2	—Diospa ajllaskan camachinanpaj chayamunña. Chayraycu juchasniyquichejta sakespa payman cutiriychej, —nispa.
MAT.3.3	Cay Juanmanta Diospa unay willajnin Isaías parlarka:
MAT.3.3	Ch'innejpi uj runa khaparishan:
MAT.3.3	“Runas uj jatun camachej jamunanpaj ñanta waquichipunancu tiyan.
MAT.3.3	Ajinallatataj sonkosniyquichejta waquichiychej tucuy atiyniyoj Señor jamunanpaj”.
MAT.3.4	Willaraj Juanka llamajina camello millmamanta p'achawan p'achallicorka. Kara chumpiwantaj chumpiska carka. Langostastataj miqhoj lachiwana misq'itawan. 
MAT.3.5	Ashqha runas payta uyarej llojsimoj cancu. Jerusalén llajtamantapis tucuy Judea jallp'amantawan Jordán mayu tucuy chaynejmantawan jamoj cancu. 
MAT.3.6	Paycuna juchasnincuta willashajtincu Juan Jordán mayupi paycunata bautizasharka. [Ajinapi runas ricucherkancu Diosman cutiriskancuta.] 
MAT.3.7	Juanka ashqha fariseo partecunata saduceo partecunatawan bautizacoj jamushaskancuta ricorka. Paycunatataj nerka:
MAT.3.7	—Kancuna runa wañuchi catarisjina canquichej. Diospa c'ajaj phiñacuyninmanta aykecunayquichejpaj ¿pitaj willasorkachejrí? —nispa. 
MAT.3.8	Diospa phiñacuyninmanta aykecuyta munanquichej chayka, juchasniyquichejta sakeychej. Chaywanpis c'acha ruwaskasniyquichejwan Diosman cutiriskayquichejta ricuchiychej. 
MAT.3.9	Kancunaka Abraham unay tatanchej caskanta nishanquichej. Diospa cheka wawasnin caskayquichejta yuyaspa pantanquichej. Amaña sonkoyquichejpi ajinata jatunchacuychejchu. Imaraycuchus niyquichej Dioska atiyniyojmin cay rumismantapis Abrahampaj cheka wawasninta ruwananpaj. 
MAT.3.10	Hachaka waquichiskaña cashan sach'a saphinmanta c'utunanpaj. Sapa sach'a mana allin pokojtaka runas c'utuspa ninaman wijch'uncu. 
MAT.3.11	Chekatapuni noka yacupi bautizayquichej Diosman cutiriskayquichejta ricuchinapaj. Khepaytarí Diospa ajllaskan Cristo jamonka. Payka aswan curaj atiyniyoj nokamanta niskaka. Mana paypajka [camachinpajjinallapischu cani runalla caskayraycu.] Paymin kancunata bautizaspa Santo Espirituta sonkoyquichejman cachamusonkachej Diosllapaj causanayquichejpaj. Ninawantaj bautizasonkachej. 
MAT.3.12	Trigo erata wayrachejka jorc'ata maquinpiña jap'ishan. Erata sumajta pichanka trigota ch'uyachananpaj. Trigota pirwanman jallch'anka. Pajatarí ni jayc'aj wañoj ninaman ruphachenka, —nispa willararka Juan.
MAT.3.13	Chanta Jesuska Galilea jallp'amanta Jordán mayuman jamorka. Chaypitaj Juanwan bautizachicuyta munarka. 
MAT.3.14	Juanrí mana munarkachu bautizayta. Jesusmantaj nerka:
MAT.3.14	—Nokata astawanpis kanka bautizanawayqui tiyan. Chanta ¿imaraycutaj nokaman jamuwanqui? —nispa.
MAT.3.15	Jesusrí payman cuticherka:
MAT.3.15	—Cunan bautizanawayqueka allillan. Yachanchej Diospa tucuy munayninta ruwananchejpuni caskanta, —nispa.
MAT.3.15	Chanta Juanka Jesuspa mañaskanta ruwarka. 
MAT.3.16	Jesuska bautizachicuytawan yacumanta llojsiporka. Janaj pachari paypaj quichariska carka. Ricorkataj Diosmanta cachamuska Santo Espirituta palomatajina uraycamojta payman tiyaycucojtapis. 
MAT.3.17	Ajinapitaj Dios janaj pachamanta nimorka:
MAT.3.17	—Paymin c'ata munaska Wawayka. Paypi mayta cusicuni, —nispa.
MAT.4.1	Chanta Santo Espiritoka ch'in lomaman Jesusta pusarka. Chaypitaj supay Satanás imaymanamanta juchallichiyta munarka.
MAT.4.2	Jesuska tawa chunca p'unchayta tawa chunca tutatawan mana miqhorkachu Diosta yupaychananpaj. Chaymantataj payka yarkhachicorka. 
MAT.4.3	Chay pantachej supayri Jesusman kayllaycuspa nerka:
MAT.4.3	—Sichus Diospa cheka Wawan canqui chayka, niy cay rumista t'antaman cutinancuta.
MAT.4.4	Jesusrí cutichispa nerka:
MAT.4.4	—Palabranpi Dios nin: “Mana miqhunallawanchu runaka causan. Manachayrí Diospa tucuy niskanta casuspa causan”, —nispa.
MAT.4.5	Chanta supayka Diospa ajllaska llajtan Jerusalenman Jesusta pusarka. Chaypitaj yupaychana-wasi patapi sayaricherka. 
MAT.4.6	Jesusmantaj nerka:
MAT.4.6	—Diospa Wawan canqui chayka, cay patamanta pampaman phinquiycuy. Imaraycuchus Diospa palabranpi nin:
MAT.4.6	Angelesninta camachenka kanta wakaychasunancupaj.
MAT.4.6	Maquisnincuwantaj kanta jap'isonkancu ama rumisman urmanayquipaj.
MAT.4.7	Jesusrí payta c'amerka:
MAT.4.7	—Dios palabranpi nillantaj: “Ama Señor Diosniyquej atiyninta mana cajpaj mañacuychu”.
MAT.4.8	Uj cutitawan supayka Jesusta pusallarkataj. Cunanpeka may jatun orko patamanña chayacherka. Jesusmantaj tucuy cay pachapi caj camachiska jallp'asta, khapaj capuynincutawan ricucherka. 
MAT.4.9	Chaymantataj supayka nerka:
MAT.4.9	—Tucuy cayta kopuskayqui sichus kan konkoricuspa yupaychawanquiman chayka.
MAT.4.10	Chanta Jesuska payman cuticherka.
MAT.4.10	—Ripuy nokamanta, supay Satanás. Imaraycuchus Dios palabranpi nin: “Señor Diosnillayquita yupaychay. Pay sapallamantaj konkoricuspa casuy”, —nispa.
MAT.4.11	Chaymanta supayka Jesusta sakeporka. Yanapaj angelestaj jamuspa Jesusman pisichicuskanta jaywarkancu.
MAT.4.12	Jesustaj Juan wisk'aska caskanta uyarispa Galilea jallp'aman rerka. 
MAT.4.13	Nazaret llajtamanta llojsispa payka Capernaum llajtaman tiyacoj rerka. Chay llajtaka Galilea kocha cantopi carka. Zabulonwan Neftaliwan jallp'as chaynejpi carkancu. 
MAT.4.14	Chaypi Jesús tiyacorka Diospa unay willajnin Isaías niskanmanjina:
MAT.4.15	Zabulón jallp'api Neftalí jallp'apiwan tiyacojcuna, kancuna tiyacunquichej kochaman rina ñan Jordán mayu chimpapi.
MAT.4.15	Galilea jallp'api tiyacuncu Diosmanta mana yachajcuna.
MAT.4.16	Dioska willarajninta cachamorka wiñay causaymanta mana yachajcunapaj.
MAT.4.16	Chay runaska wiñay wañuyman risharkancu.
MAT.4.16	Paycunataj juchancumanta cachariskas canancupaj sumaj willanasta uyarerkancu.
MAT.4.16	Chaytaj uj c'anchayjina carka tucuypaj.
MAT.4.17	Chaymantapachataj Jesús kallarerka willarayta:
MAT.4.17	—Diospa ajllaskan p'unchayka cunan chayamushanña. Cunan payka munacoj Camachejniyquichej canka. Chayraycu juchasniyquichejta sakespa payman cutiricuychej sumaj willanasnintataj jap'icuychej.
MAT.4.18	Jesuska Galilea kocha cantonejta purishaspa ricorka iscay waukesta. Ujnin Simón, Pedro sutiyoj carka, ujnintaj Andrés. Paycuna challwiris caspa jatun ch'ipata kochaman chokaycusharkancu. 
MAT.4.19	Paycunaman Jesús nerkataj:
MAT.4.19	—Jamuychej nokawan yachacojcunay canayquichejpaj. Kancuna challwiris canquichej. Cunanmantapachataj Diospi jap'icunancupaj runasta nokaman pusamuwanquichej.
MAT.4.20	Chay quiquinpacha ch'ipasnincuta sakerpayarkancu. Jesuswan rerkancutaj yachacojcunan canancupaj.
MAT.4.21	Uj chhicatawan rispataj Jesuska waj iscay waukestawan ricullarkataj. Paycuna Jacobo Juanwan carkancu. Cusca tatancu Zebedeowan barcopi ch'ipasnincuta t'irisharkancu. Jesús chay waukesta wajyarka yachacojcunan canancupaj. 
MAT.4.22	Chay quiquinpachataj barcota tatancutawan sakerpayaspa kallarerkancu Jesuswan puriyta yachacojcunan canancupaj.
MAT.4.23	Jesús tucuy Galilea jallp'ata purispa tantacuna-wasisnincupi yachachisharka. Sumaj willanastataj willarasharka Diospa ajllaskan chaypiña caskanta camachinanpaj. Astawanpis runas uqhupi tucuy laya onkoycunata thañichisharka. 
MAT.4.24	Tucuy caru Siria jallp'apipis Jesús atiyniyoj caskanta uyarerkancu. Jesusman apamorkancutaj tucuy laya onkoyniyojcunata: nanayniyojcunata, ñac'arejcunata, supayniyojcunata, t'ucu onkoyniyojcunata, suchustawan. Jesusri tucuynincuta thañicherka. 
MAT.4.25	May ashqha runastaj Jesusta khaticorkancu. Galilea jallp'amanta, Decápolis jallp'amanta, Jerusalén llajtamanta, Judea jallp'amanta, Jordán mayu chimpamantawan paycuna jamorkancu.
MAT.5.1	Jesustaj may ashqha runasta ricuspa orkoman wicharerka. Chaypi tiyaycucojtintaj yachacojcunan payman kayllaycorkancu. 
MAT.5.2	Paycunatataj jatuchej yachachinasta yachachisharka:
MAT.5.3	—May cusiskas cancu sonkoncupi Diosmanta pisiskas caskancuta khawacojcunaka. Imaraycuchus Dios paycunataka munacuywan camachin.
MAT.5.4	‘May cusiskas cancu jucharaycu llaquicojcunaka. Diosmin paycunataka sonkoncupi callpachaspa yanapanka.
MAT.5.5	‘May cusiskas cancu llamp'u sonkowan Diosta casojcuna. Paycunaka cay pachapi Diospa niskanmanjina jap'enkancu.
MAT.5.6	‘May cusiskas cancu Diospaj cheka causayta munajcunaka. Imaynatachus yarkhachicojcuna miqhunata munancu chayrí ch'aquichicojcuna yacuta munancu ajinata. Munaskancumanjina paycuna sajsaskas cancu.
MAT.5.7	‘May cusiskas cancu Diosmanjina c'acha sonkowan qhuyacojcunaka. Paycunata Dioska qhuyallankataj.
MAT.5.8	‘May cusiskas cancu llimphu sonkowan Diosllapaj causajcunaka. Paycunalla Dioswan cusca wiñaypaj causaconkancu.
MAT.5.9	‘May cusiskas cancu runasta allinyachejcunaka. Paycunalla Diospa cheka wawasnin cankancu, paypa niskanmanjina.
MAT.5.10	‘May cusiskas cancu Diospa ñaupakenpi chekanta causaskancuraycu muchojcunaka. Dios camachishajtin, paywan cusca cankancu.
MAT.5.11	‘May cusiskas canquichej runas llullacuspa sajrata rimasojtiyquichej, muchuchisojtiyquichej khasimanta c'amisojtiyquichejpis, nokata casuwaskayquichejraycu. 
MAT.5.12	Cusicuychej may jatun cusiywan. Imaraycuchus muchuskayquichejmanta Dios janaj pachapi khapajyachisonkachej sonkoyquichejpi. Ajinallatataj Diospa unay willajcunatapis runas mayta muchucherkancu manaraj kancuna cashajtiyquichej.
MAT.5.13	[‘Runas aycha ama ismuycunanpaj cachita churancu.] Ajinallatataj kancunatapis Dios churasorkachej runas sajra causayman ama tucuchiskas canancupaj. Chay cachi lak'ayapunman chayka ¿imaynatataj sumaj cachiman cutirinman? Manaña servinchu, astawanpis wijch'unallapajña purejcuna sarunancupajpis cashan.
MAT.5.14	‘Kancunamin Diosta mana rejsejcunapaj c'anchayjina canquichej. Orko patapi uj llajtaka manapuni pacaskachu. 
MAT.5.15	Nillataj runas c'anchayta jap'ichispa wich'i uraman churancuchu. Manachayrí pataman churancu wasipi tucuy tiyacojcunata c'anchamunanpaj. 
MAT.5.16	Kancunapis ajinallataj c'anchayjina canquichej cay pacha runaspaj. Ñaupakencupi c'acha cajta ruwaspa causacuychej. Ajina cachun paycunaka janaj pachapi tiyacoj Tatayquichej Diosta jatunchanancupaj.
MAT.5.17	‘Ama yuyaychejchu Moisespa camachiskasninta chayrí Diospa unay willajcunanpa yachachiskasnincuta chincachinayta. Mana chaycunata chincachinaypajchu jamuni manachayrí tucuyta chaymanjina junt'anaypaj. 
MAT.5.18	Niyquichej chekatapuni Diospa camachiskasninmantaka ni uj juch'uy niskallanpis chincananta. Atiyniyojllapuni cashan tucuy caj junt'acunancama. Chaymantaraj janaj pacha cay pachapis atinman chincapuyta. 
MAT.5.19	Pichari Diospa camachiskasninmanta ujnillantapis mana casunmanchu chayrí mana casuyta yachachinman chayka, aswan pisipaj khawaska canka, Dios camachin, chaypi. Pichari Diospa camachiskasninta casunman, casuyta yachachinmantaj chayka, Dios camachin, chaypi jatunpaj khawaska canka. 
MAT.5.20	Niyquichej chekatapuni fariseo partemantawan israel yachachejcunamantawan yachachiskas caskancumanjina ruwaspa chekan cayta munaskancuta. Dios camachin, chaymanka mana yaycuyta atenkancuchu. Nitaj kancunapis paycunajina caspa yaycuyta atinquichejchu. Manachayrí Diosta casuspa chekan causayniyoj caspalla Dios camachin, chaymanka yaycunquichej.
MAT.5.21	‘Uyarinquichej Moisés unay tatasninchejta camachiskanta: “Runata ama wañuchinquichu. Wañuchejka wañuchiskanmanta wañuchiskallataj canan tiyan”, nispa. Chayta yachanquichej. 
MAT.5.22	Nokarí niyquichej sapa uj runa-masinpaj phiñaska cajta curajcuna ñac'arichinancuta. Sapa uj runa phiñacuspa runa-masinta “wampu” nejtapis aswan curajcuna juchachankancu. Phiñacuspa runa-masinta “supay apachun” nejpis, uqhu pachaman rinanpajjina cashan.
MAT.5.23	‘Chayraycu Diosta yupaychaj konata jaywaspaka sumajta yuyaricuy. Runa-masiyqui kanpaj phiñaska cashaskanta yuyanqui chayka, 
MAT.5.24	chaypi konayquita sakey. Riytaj ñaupajta runa-masiyquiwan allinyacamoj. Chaymanta cutimuspa konayquita Diosman jayway.
MAT.5.25	‘Contrallisojniyqui juchachaj curajman pusashasojtenka ñanllataraj rishaspa uskhayta paywan allinyacuy. Allinyacuy amaña curajman jaywasunanpaj nitaj soldadoman jaywaspa carcelman wisk'achisunanpaj. 
MAT.5.26	Niyqui chekamanta mana allinyacuwaj chayka, carcelmanta manapuni llojsimunquichu tucuy phatasta cutichipunayquicama.
MAT.5.27	‘Uyarinquichej Moisés unay tatasninchejta camachiskanta: “Ama khenchachacuychu”. 
MAT.5.28	Nokarí niyquichej warmita munapayaspa khawaj, chay runaka ñapis sonkonpi paywan khenchachacuskantaña. 
MAT.5.29	Chayraycu paña ñawiyqui ricuspa juchaman urmachisunquiman chayka, chayta orkhospa wijch'upuy. Aswan allin canman uj ñawillayqui chincaripunan amataj uqhu pacha ñac'ariyman wijch'uska canayqueka. 
MAT.5.30	Paña maquiyqui juchaman urmachisunquiman chayka, chaytapis qhuchurpacuspa wijch'upuy. Aswan allin canman maquillayqui chincapunan amataj uqhu pacha ñac'ariyman wijch'uska canayqueka.
MAT.5.31	‘Nillajtaj cancu: “Warmiman uj divorcio papel jaywaspa t'akanacuyka aticullan”. 
MAT.5.32	Nokarí niyquichej pichari warminmanta takanacun mana waj khariwan purejtenka, warminta khenchachachiskanta. Chayjina t'akanaska warmiwan casarajpis khenchachacullantaj.
MAT.5.33	‘Uyarinquichej Moisés unay tatasninchejta camachiskantapis: “Ama juraychu llullacuspaka. Manachayrí Diospa ñaupakenpi niskayquimanjina ruway”. 
MAT.5.34+MAT.5.35	Nokarí niyquichej: Ama ni imaraycu ni maypi Diospa sutinta okharispa juraychejchu. Imaraycuchus Dioska janaj pachapi cay pachapipis cashan. Nillataj Jerusalén llajtaj sutinta okharispa juraychejchu. Imaraycuchus paypa ajllaska llajtanmin cashan. 
MAT.5.36	Amataj ni ima sutita okharispa juraychejchu. Causayniyquichejka Diospatamin. Imaraycuchus ni uj chujchatapis umayquipi atinquichu yanayachiyta nitaj yurajyachiytaka. 
MAT.5.37	Niskayquichejka junt'anayquichejpaj cachun. Chayman waj palabraswan yapawajchej chayka, supay Satanasmantamin.
MAT.5.38	‘Chaywanpis uyarinquichej Moisés unay tatasninchejta camachiskanta: “Ñawiyquita orkhosojmantaka ñawinta orkhollaytaj. Quiruyquita orkhosojmanka quirunta orkhollaytaj”. 
MAT.5.39	Nokarí niyquichej: Ama cutichicuychejchu sajrata ruwasojniyquichejmanka. Pillapis paña lado uyayquipi sajmasunquiman chayka, sakellay llok'e lado uyayquipiwan sajmasunanta. 
MAT.5.40	Pillapis camisayquita khechusunanpaj curajman pusasunquiman chayka, ponchoyquitawan payman kopuy. 
MAT.5.41	Pillapis k'epinta cuscan leguatajina apanayquipaj camachisunquiman chayka, uj leguatajina apapuy. 
MAT.5.42	Pillapis mañacusunquiman chayka, koriy payman. Manucusuyta munajmanpis manurillay.
MAT.5.43	‘Chaywanpis unayka nillajtaj cancu: “Runa-masiyquita munacuy. Chejnisoj runatataj chejniy”. 
MAT.5.44	Nokarí niyquichej munacunayquichej chejnisoj runasta. Sajrata kancunapaj parlajcunaman misq'i palabraswan parlapayariychej. Chejnisojcunaman allin cajta ruwapuychej. Misq'i parlaycunawan parlaychej sajra simiwan kancunapaj parlasojcunaman. Khasillamanta kancunata ñac'arichisojcunapaj sajrata ruwasojcunapajpis Diosmanta mañapuychej. 
MAT.5.45	Chayjinata ruwanayquichej janaj pacha Dios Tatayquichejjina canayquichejpaj. Payka intita c'anchachimun c'acha runaspaj sajra runaspajpis. Parachimuntaj chekan ruwajpaj sajrata ruwajpajpis. 
MAT.5.46	Sichus munacusoj runasllata munacuwajchej chayka, Dios mana nisonkachejchu “walejta ruwanquichej”. Juchasapaspis ruwashallancu ajinataka. 
MAT.5.47	Israel llajta-masisnillayquichejta napaycuwajchej chayka, wajcunamanta niskaka ¿ima astawan allintataj ruwashanquichejrí? ¿manachu quiquillantataj ruwancu Diosta mana rejsejcunapis? 
MAT.5.48	Imaynatachus janaj pacha Dios Tatayquichej munacuywan runaspa allinnincupaj ruwan, kancunapis ajinallatataj ruwaychej, —nerka Jesús.
MAT.6.1	‘Khawaricuychej c'acha cajta ruwaskayquichejka ama runas jatunchasunallancupajka cachunchu. Manachayka janaj pacha Dios Tatayquichej uj sumaj konata mana kosonkachejchu. 
MAT.6.2	Chayraycu pisichicojcunaman imallatapis kospaka ama runasman willaspalla koychej. Puraj uya runaspis ajinata ruwancu tantacuna-wasispi plazaspipis runas paycunata jatunchanancupaj. Niyquichej chekatapuni paycunaka ruwaskancumanta tucuyta jap'iskancutaña. 
MAT.6.3	Kanrí pisichicojman kospaka ama pipis koskayquitaka yachachunchu. 
MAT.6.4	Ajinapi ruwaskayqui pacaska canka. Pacaypi ricoj Dios Tatayquitaj kanman ruwaskayquimanjina kosonka.
MAT.6.5	‘Diosmanta mañacuspa ama puraj uyajina caychejchu. Paycunaka tantacuna-wasispi jatun plazaspiwan sayaricuspa Diosmanta mañacuyta munancu runas ricunallancupaj. Niyquichej chekatapuni paycunaka ruwaskancumanta tucuyta jap'iskancutaña. 
MAT.6.6	Kanrí wasiyquiman yaycuspa sapallayqui Diosmanta mañacuy. Puncuyquita wisk'aspataj pacaypi caj Dios Tatayquimanta mañacuy. Pacaypi ricoj Tatayquitaj ruwaskayquimanjina kosonka.
MAT.6.7	‘Diosta mana rejsejcunaka ashqha cutista khasi palabrasllawan Diosmanta mañacuncu. Kancunarí ama paycunajina mañacuychejchu. Paycuna ashqha parlaskancuwan uyariskas cayta yuyancu. 
