MAT.1.1	Yezu Kristə wɔ́ Abəraham ǹdə́ Dəvyidi nɔ̃̌. Nyǐnə ń nàmbala bɛ́ yilə né.
MAT.1.15	Elyazaarɛ zɛ̃̀ n lù Matã,
MAT.1.15	Matã zɛ̃̀ n lù Zhakɔɔbɛ.
MAT.1.16	Zhakɔɔbɛ zɛ̃̀ n lù Marɛ byal Zhozefu. Wɔ́ Marɛ mɔ́ ńmyɛ̌ ń lùl Yezu mú mɔ̀bɔ́ bə̀ nʼê byẽ̀ bə̀ Kristə mó.
MAT.1.17	Èta, kɔn gə́ ju kùr ǹdə́ Abəraham e mʼe yí Dəvyidi yi ní mú, wɔ́ nàmbala kùrə̀ shí ǹdə́ nə̀na. Kɔn zhí Dəvyidi e mʼe yí bə̀ gə́ zɔ Esərayɛl lyì bí bə mʼe vò Babyəlɔnɛ yi ní mú myɛ, wɔ́ nàmbala kùrə̀ shí ǹdə́ nə̀na. Kɔn zhí bə̀ gə́ zɔ bɛ bə mʼe vò Babyəlɔnɛ yi ní e mʼe yí Kristə lul lé mó myɛ, wɔ́ nàmbala kùrə̀ shí ǹdə́ nə̀na.
MAT.1.18	Nyǐnə bə̀ gə́ lùl Yezu Kristə né. Ń ná Marɛ yà ń nə́ ń jí Zhozefu, sə Marɛ zɔ pǔ ǹdə́ Eshirhə náàcɛ̀nɛ́ jàn ǹdə́ bə̀ gwẽ̌ yə̀ jòm ǹdə́ dwã yé. 
MAT.1.19	Ń byal Zhozefu yà ń wɔ́ wu-cángá cə́bal. Ń yà ń tá ń yâl n zhìlì Marɛ yil yé. Rə̀myɛ́ ce, ń zɔ̀m n gu ń wẽ́ bə̀ ń mà n zhɛ̃̀ mɔ̀ n vùr mò shɛ́shɛ́.
MAT.1.20	Ń gə́ yà ń nə́ ń tɛ́rɛ́ rə̀myɛ́ yi ní, Cinu màlɛ́ka èdù lyí mu ń dàrhà wẽ́, e wɔ̀ mɔ̀: “Dəvyidi byǐ Zhozefu, bə̀ká dùr ywẽ yé. Jǒm ǹdə́ ǹ kɛ̃ Marɛ, bə̀ pwǐ y kɛ̀bɛ́ ń zhe mó wɔ́ Eshirhə náàcɛ̀nɛ́ tum. 
MAT.1.21	Ń mà n lù byǐ. Ǹ mʼâ ce ń yil bə̀ Yezu, bə̀ wɔ́ ńmyɛ̌ ń mà n vwârh ń dwí lyì bí bə̀ yə̀-bəlwàálɛ́ wẽ́.”
MAT.1.22	Rə̀myɛ́ gakó wɛ̀rhɛ́, mùnì zɔ̀mɛ̀ rɛ́ Cinu yà ń tó ń nyì-zwennə mó dɛnnɛ n byili mú pyìrh. Ń yà ń zɔ̀m n wɔ̀:
MAT.1.23	“Nyǐnə kɛ̃-byǐ kɛ̀bɛ́ è yə̀l bal pár mʼa zə pǔ, e lù bal-byǐ.
MAT.1.23	Bə̀ mʼa byẽ̀ y bə̀ Emawəə.”
MAT.1.23	Rə̀ kùr wɔ́: “Yi ŋwɛ́nɛ́ ǹdə́ nə́ba.”
MAT.1.24	Zhozefu gə́ zɛ̃̀ jan dɛ́ wa, ń wɛ̀rhɛ́ ǹdə Cinu màlɛ́ka y gə́ byili mu ní. N jòm ǹdə́ ń kɛ̃ mɔ́, 
MAT.1.25	sə ń yə̀ ń pár lwar kɔn mʼe yí ń byǐ mú lul. N ce ń yil bə̀ Yezu.
MAT.2.1	Bə̀ lùl Yezu Bɛtələyɛm nɛ́, Zhide tənà y wa, pyɔ̌ Erɔɔdɛ pyɛ̀lɛ̀ rɛ́ yi ní. Rə̀myɛ́ kwã nɛ́, lwarna
MAT.2.2	bə̀ nʼê bwə̀rh bə̀ zhe: “Yẽ̀ Zhwifubá pyɔ̌ mɔ́ bə̀ lùl mó ŋwɛ́nɛ́ nɛ́? Nə́ nɔ ń cã̀mə́sɔ̌ w yi-pwírhí səta, nə́ zɛ̃̀ nə́ bàn mɔ̀ co.”
MAT.2.3	Pyɔ̌ Erɔɔdɛ gə́ nyɛ̀ɛ̀ rə̀myɛ́, ńmyɛ̌ ǹdə́ Zhərəzalɛm lyì bí púlə́púlə́ wun zɛ̃̀. 
MAT.2.4	N byẽ̀ Zhwifubá Yi jì y vwĩ̀-zwə́lnə bé yé né cìnə́ bé ǹdə́ Muyiisi nyə́ né byilnə bé gakó n cĩ́ dwã yó, n bwə̀rh bè bə̀ wɔ́ yẽ̀ bə̀ wò bə̀ bə̀ mʼa lù Kristə mó né?
MAT.2.5	Bə zɛ̃̀ bə wɔ̀ mɔ̀: “Wɔ́ Bɛtələyɛm nɛ́ Zhide tənà y wa, ǹdə Yi nyì-zwennə mə̀dù gə́ yà ń kɛ̃ nɛ́. 
MAT.2.6	Ń yà ń kɛ̃ n wɔ̀:
MAT.2.6	‘Ǹmyɛ́ Bɛtələyɛm, Zhide tənà y cɔ,
MAT.2.6	è də̀ ǹmyɛ́ ǹ yə̀ yírh swí Zhide cə-fwààlɛ́ wẽ́ yé,
MAT.2.6	bə̀ wɔ́ ǹmyɛ́ sono mɔ̀bɔ́ ń mà n yə̀ à dwí Esərayɛl nə̀nɔ̀n mɔ́ mà n shí ní.’ ”
MAT.2.7	Rə̀myɛ́ yó, Erɔɔdɛ shèè n byẽ̀ lwarna bɛ́, n bwə̀rh bè náàcɛ̀nɛ́ n nyǐ wɔ́ dǒ yi ní bə̀ nɔ cã̀mə́sɔ̌ wá. 
MAT.2.8	N zɛ̃̀ n byili bi Bɛtələyɛm sɔ́má yá, n wɔ̀ bɛ: “Zhəlnə á pyà bə̀sɔ́bwɛ̀lɛ́ y náàcɛ̀nɛ́. Á gə tú á nɔ ya, sʼá kʼá kwɛ̃̀ á bʼâ byili ni, mùnì àmyɛ vò a ce yə.”
MAT.2.9	Bə̀ gə́ cili kɔn dɛ̀bɛ́ pyɔ̌ mɔ́ byili bi mú bə zhɛ̀, bə zhǐr bə̀ la bə̀ sɔ́má yá. Cã̀mə́sɔ̌ w bə̀ yʼà jɛ̀rɛ̀ bə nə yi-pwírhí səta mɔ́ tó bə̀ yé, o vò o zhì jàà y kɛ̀bɛ́ bə̀sɔ́bwɛ̀lɛ́ y ŋwɛ́nɛ́ è wẽ́ mó yó wə.
MAT.2.10	Bə̀ gə́ nɔ cã̀mə́sɔ̌ wá, bə̀ wun yàl nyɛ̀n dɛ̃´dɛ̃´. 
MAT.2.11	Bə yí bə zù kɛ̀lɛ́ wa, bə nə bə̀sɔ́bwɛ̀lɛ́ y ǹdə́ è ná Marɛ, bə tu bə̀ nə̀dwə́nə́ yó, bə wùlì è yé né. Bə pul bə̀ zhĩĩ rí nyí ni, bə vùr pansɛ bə pa. È yʼà wɔ́ sánə́má ǹdə́ wẽ̀ rə̀ lwẽ́ nã́nyə̀nyɛ̀lɛ́, bə̀ nʼê byẽ̀ bə̀ ãsã́ ǹdə́ myííri.
MAT.2.12	Rə̀myɛ́ kwã nɛ́, Yi byili bi bə̀ dàrhà wẽ́, bə̀ bə̀ bə̀kʼa kʼe tó Erɔɔdɛ sono yé. Bə zɛ̃̀ bə kwè sɔ́má dõ bə vò jè.
MAT.2.13	Lwarna bɛ́ gə́ kʼa kwɛ̃̀ bə zhɛ̀, Cinu màlɛ́ka zɛ̃̀ e bə̀ e lyí Zhozefu ń dàrhà wẽ́, e wɔ̀ mɔ̀: “Zɛ̃̀ ń zə bə̀sɔ́bwɛ̀lɛ́ y ǹdə́ è ná ń mə́ dùr ń vò Ezhibti, ń jòm gàà ń mə́ dɛ̃̀ à gə tú à pɔ mɔ́ nyí sə́ ká bà. Nyǐ Erɔɔdɛ nə́ ń yâl n ce bə pyà bə̀sɔ́bwɛ̀lɛ́ y bə gu.”
MAT.2.14	Rə̀myɛ́ yó, Zhozefu zɛ̃̀ cəcɛ̃ y wẽ́ n zə bə̀sɔ́bwɛ̀lɛ́ y ǹdə́ è ná n mə n vò Ezhibti, 
MAT.2.15	n jòm gàà kɔn mʼe yí Erɔɔdɛ cu.
MAT.2.15	Rə̀myɛ́ wɛ̀rhɛ́ mùnì ga kɔn dɛ́ dɛ̀bɛ́ Cinu yà ń tó ń nyì-zwennə mó dɛnnɛ n byili mú pyìrh. Ń yà ń wòwə̀: “À byẽ̀ à byǐ mú n du Ezhibti ní.”
MAT.2.16	Erɔɔdɛ gə́ pwírí lwarna bɛ́ jə́jɛ̀rɛ́ mɔ, ń lyim zɛ̃̀ dɛ̃´dɛ̃´, n zɛ̃̀ n pə nyí ń kwã-lyì bí ni, bə̀ bə̀ zhəl Bɛtələyɛm ǹdə́ cɛmɛ nɛ́ nyɛ̀bɛ́ nə̀ bwə́l gàà mɔ́ gakó wẽ́, bə gu bə̀sɔ́ná bɛ́ byɛ̀bɛ́ bə̀ yú byinə nə̀lyè ǹdə́ byɛ̀bɛ́ bə̀ gwẽ̌ yə̀ byinə nə̀lyè yí mú gakó. Wɔ́ lwarna bɛ́ gə́ yʼà tú ń sõ, bə bʼe byili mu dɛ̃ rɛ́ tɛ̀bɛ́ bə̀ nɔ cã̀mə́sɔ̌ w mɔ́ ń tɛ́rɛ́.
MAT.2.17	Rə̀myɛ́ yó, kɔn dɛ̀bɛ́ Yi nyì-zwennə Zheremyi yà ń zɔ̀m mɔ́ pyìrh. Ń yà ń wòwə̀:
MAT.2.18	“Búbwéése zɛ̃̀ Arama nɛ́, cìlə́ ǹdə́ wìísi,
MAT.2.18	sə wɔ́ Arashəə ń nə́ ń kúrh ń byâ bɛ́ bə̀ cù mú ni.
MAT.2.18	Ń bə shɛ̀ bə̀ bə̀ swẽ́ ń wu ni,
MAT.2.18	ń byâ bɛ́ gə́ kʼê tɛ̀nɛ́ mɔ́ yil yé.”
MAT.2.19	Erɔɔdɛ gə́ cùwə̀, Cinu màlɛ́ka lyí Zhozefu ń dàrhà wẽ́ Ezhibti ní, e wɔ̀ mɔ̀: 
MAT.2.20	“Zɛ̃̀ ń zə byǐ mú ǹdə́ ń ná ń ká mə́ vò Esərayɛl, bə̀ byɛ̀bɛ́ bə̀ yʼà nʼê pyà mɔ̀ bə̀ la gu mú gakó cùwə̀.”
MAT.2.21	Zhozefu zɛ̃̀ n zə byǐ mú ǹdə́ ń ná, n ká n mə n vò Esərayɛl. 
MAT.2.22	Sə ń gə́ nyɛ̀ɛ̀ bə̀ wɔ́ Erɔɔdɛ byǐ Arkələyuusi ń wɔ́ Zhide pyɔ̌ ń da jàà wà, ń dùr ywẽ ǹdə́ gàà jǒm, n zhǐr n vò Gəlile ǹdə Yi gə́ yʼà byili mu ń dàrhà nɛ́ wẽ́ né, 
MAT.2.23	n jòm Nazarɛtɛ nɛ́ Gəlile tənà y wa.
MAT.2.23	Rə̀myɛ́ wɛ̀rhɛ́ mùnì ga kɔn dɛ̀bɛ́ Yi nyì-zwennə bé yʼà byili mú pyìrh. Bə̀ yʼà byili bə̀ bə̀ mʼa byẽ̀ Kristə mó bə̀ Nazarɛtɛ lyì byǐ.
MAT.3.1	Dwã nɛ́ nə̀myɛ́ wẽ́, Zhã-Bətiisi zhə̀l Zhide gɔ-elũ èpòlò w wə, ń nə́ ń bwə̀l ń zhe: 
MAT.3.2	“Pyìrhínə á wun. Arəzana pyɛ̀lɛ̀ rɛ́ bwəlse.”
MAT.3.3	Wɔ́ ńmyɛ̌ yò Yi nyì-zwennə Ezəyi yà ń zɔ̀m n wɔ̀:
MAT.3.3	“Cəl nʼê bwə̀l gɔ-elũ èpòlò wə̀, rə̀ zhe:
MAT.3.3	‘Kwɛrhɛna Cinu sɔ́má yá,
MAT.3.3	sʼá wɛ̀rhɛ́ sə-byǐsí sə yə̀ cángá á pɔ̃.’ ”
MAT.3.4	Zhã kàmə̀-zwǐ y ń yà ń zù mú wɔ́ yómó kur bə̀ yʼà mʼe sɔ̃̀ yà, n zə cã̌-tɔ̀nɔ̀ n mə n lyẽ yə. Səsɔ̀mɛ̀ ǹdə́ gɔ tùr rə̀ yʼà wɔ́ ń kùjú. 
MAT.3.5	Zhərəzalɛm lyì bí ǹdə́ Zhide tənà y lyì bí gakó, e súlí cɛmɛ nɛ́ nyɛ̀bɛ́ nə̀ jě Zhɔrdɛ̃ bwǐ y yala nɛ mɔ́ gakó lyì bí yʼà nʼê zhə̀l ń sono, 
MAT.3.6	sə lò gakó yà ń nə́ ń byili ń dwə́ə́ré. Zhã zɛ̃̀ n pɔ̃ nɛ̃̌-shɔ Zhɔrdɛ̃ bwǐ y wə.
MAT.3.7	Farɛzhɛ̃ɛ̃bá ǹdə́ Sadəsənyɛbá nánzhəzhɔ̌ yʼà nʼê zhə̀l Zhã gə́ yà ń nə́ ń pɛ nɛ̃̌-shɔ lyì bí ni mə̀gã̌. Sə ń gə nɔ bɛ bə̀ bànà, ń ya n wɔ̀ bɛ: “Kùrh dwí, mɔ̌ lò ń byili ába bə̀ dǔrnə á lú Yi lyim dí rə̀ bàn mɔ́ yé né? 
MAT.3.8	Wɛ̀rhɛ́na kɔn dɛ̀bɛ́ rə̀ mʼa byili bʼâ pyìrhí á wun, 
MAT.3.9	sʼá bə̀kʼá bù á wẽ́ bə̀, Abəraham gə́ wɔ́ ámyɛ̌ nàmbal mɔ́ dúdú yú yé. À nʼâ wə̀l ába: Yi wɔ̌ rə̀ bʼa ce nə́kuulí tɛ̀bɛ́ jǐrh Abəraham byâ. 
MAT.3.10	Nyǐnə, dòló pyě cèmé kùr wə̀. Kɔ̀bɔ́ ò tʼâ ce byâ byɛ̀bɛ́ bə̀ càn, bə̀ mʼa kà w bə ji myǐn.
MAT.3.11	“Àmyɛ́ nʼâ zə nɛ̃̌ à pɛ ába nɛ̃̌-shɔ. Rə̀myɛ́ nʼê byili bʼâ pyìrhí á wun. Sə mɔ̀bɔ́ ń la tà-kwã n bə̀ mɔ́ du àmyɛ́. À yə̀ yírh swí sʼa vùr ń nə̀cìlə̀ né myɛ cìcì yé. Ńmyɛ̌ mà n zə Eshirhə náàcɛ̀nɛ́ ǹdə́ myǐn n pə ába nɛ̃̌-shɔ. 
MAT.3.12	Ń zhe zwã̌ ń jɔ̃̀ wà, ń la n mə n cèlè jíjí rí, n pɔr rə̀ byâ bɛ́ ǹdə́ rə̀ púúlí dwã wa, n ló jíjí-byâ bɛ́ ń bɔ̀bwã̀ y wa, n zɛ̃̀ n ló púúlí myǐn mɔ̀bɔ́ mə̀ tʼâ la cú gaga wẽ́.”
MAT.3.13	Rə̀myɛ́ yi ní, Yezu shí Gəlile n bə̀ Zhã sono Zhɔrdɛ̃ bwǐ y yó, mùnì Zhã pɔ̃ nɛ̃̌-shɔ. 
MAT.3.14	Sə Zhã yà ń bə shɛ̀ yé. Ń yà ń nə́ ń wə̀lə̀: “Àmyɛ́ à mə̂ dwã sʼa bə̀ ǹmyɛ́ sono, ń pɛ̃ nɛ̃̌-shɔ, ǹmyɛ́ zɛ̃̀ ń ká ǹ bàn àmyɛ́ sono?”
MAT.3.15	Yezu wɔ̀ mɔ̀: “Ǹmyɛ́ wírí ń yẽ̌ kɔn yə̀ èta, bə̀ wɔ́ èta nə́ mə̂ sə nə́ wɛ̀rhɛ́ nɛ́, mùnì ga nə́ pyìrh Yi pùbùlə̀ né.” Rə̀myɛ́ yó, Zhã zɛ̃̀ n shɛ̀nɛ́.
MAT.3.16	Yezu gə́ zwẽ nɛ̃̌-shɔ mɔ́ n zhɛ̀, n já n zhízhílí n du bwǐ y wə. Rə̀myɛ́ yi ní cìcì, dɛ̃̌ yi rí pul, n nə Yi Eshirhə y è nyɛ̌ ǹdə épwèné ta, è nʼê swé ń yó wə. 
MAT.3.17	Bə nyɛ̀ɛ̀ cəl rə̀ shí dɛ̃̌, rə wɔ̀: “Mɔ̀bɔ́ wɔ́ à ywə́lə́ byǐ. À só mo dɛ̃´dɛ̃´.”
MAT.4.1	Rə̀myɛ́ yó, Eshirhə náàcɛ̀nɛ́ zə Yezu e vò gɔ-elũ èpòlò w wə, mùnì Shətana swèlè mò. 
MAT.4.2	N lyẽ ń nyí cəcɛ̃ ǹdə́ nə̀nyɔ́nɔ́ ga dwã shə́-èna. Nɔrh zɛ̃̀ mə̀ zhe mo.
MAT.4.3	Shətana y zɛ̃̀ e yí ń nyí ni è la mɔ sòlò, e wɔ̀ mɔ̀: “Ǹ gə wɔ́ Yi Byǐ, sə́ pə nyí nə́kulə né nyɛ̀bɛ́ nɛ nə jǐrh búúri.”
MAT.4.4	Yezu wɔ̀ yà: “Bə̀ kɛ̃ Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ wẽ́ bə wɔ̀: ‘È də̀ búrú dúdú ò wɔ̌ ò bʼa ce numbyíní zə myə̂l yé. Wɔ́ zɔ̀mɛ̀ tɛ̀bɛ́ gakó rə̀ nʼê shí Yi nyú wə.’ ”
MAT.4.5	Shətana y zɛ̃̀ e zə mɔ e zhǐr e vò Zhərəzalɛm, e ce n zhì Yi jì y yə́-pɛ̀lɛ́ wa, e zɛ̃̀ e wɔ̀ mɔ̀: 
MAT.4.6	“Ǹ gə wɔ́ Yi Byǐ, sə́ zɛ̃̀ ń fwɛ̃´ tɛ̃´, bə̀ bə̀ kɛ̃ Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ wẽ́ bə wɔ̀:
MAT.4.6	‘Yi mʼa pə nyí rə̀ màlɛ́kabá nɛ bə nyǐ ǹ yò.
MAT.4.6	Bə̀ mʼa kwɛ̃´ mɔ́ ǹdə́ bə̀ jɛ̀rh,
MAT.4.6	mùnì ǹ nà bə̀kʼa mà nə́kulu ni yé.’ ”
MAT.4.7	Yezu wɔ̀ yà: “Bə̀ kɛ̃ rə̀ wẽ́ myɛ bə wɔ̀: ‘Bə̀ká zhẽ̀ Cinu ǹ Yi yé.’ ”
MAT.4.8	Shətana y kʼe zə mɔ e zhǐr, e vò e jì pyɔ̀ kɔ̀bɔ́ ò nyɛ̌ dɛ̃̌ dɛ̃̌ yó, e byili mu lũ w tənèsé ǹdə́ sə̀ nə̀cɛ̀ndɛ́ gakó, 
MAT.4.9	e zɛ̃̀ e wɔ̀ mɔ̀: “Ǹ gə tu ǹ nə̀dwə́nə́ yó ń wùlì à yé né, à bʼa pɔ̃́ tɛ̀bɛ́ èta mɔ́ gakó.”
MAT.4.10	Yezu zɛ̃̀ n wɔ̀ yà: “Zhəl kwã nɛ́ Shətana! Bə̀ kɛ̃ Yi zɔ̀mɛ̀ rɛ́ sɛ́bɛ́ rɛ́ wẽ́ bə wɔ̀:
MAT.4.10	‘Wɔ́ Cinu ǹ Yi yé né ǹ mə̂ sə́ wùlì ní,
MAT.4.10	ń cèrhé ń dúdú sá.’ ”
MAT.4.11	Rə̀myɛ́ yó, Shətana y zhǐr e yẽ̌ mo. Màlɛ́kabá zɛ̃̀ bə bʼe nyǐ ń yò.
MAT.4.12	Rə̀myɛ́ kwã nɛ́, bə̀ zɔ Zhã bə ce byə̀nə́-jù wə̀. Yezu gə́ nyɛ̀ɛ̀ rə̀myɛ́, n ká n vò Gəlile tənà y wa, 
MAT.4.13	sə ń yə̀ Nazarɛtɛ nɛ́ jòm yé. Ń lyɛ̃ n vò cɔ òdù ò ŋwɛ́nɛ́ Gəlile mwə̃́ y səta, bə̀ nʼê byẽ̀ bə̀ Kapɛrnaɔm. Cɔ w òmyɛ́ ŋwɛ́nɛ́ Zabyəlɔnɛ ǹdə́ Nəfətəlyi kwálsɛ́ tənà y wa. 
MAT.4.14	Rə̀myɛ́ wɛ̀rhɛ́ mùnì ga Yi nyì-zwennə Ezəyi zɔ̀mɛ̀ rɛ́ pyìrh. Ń yà ń wòwə̀:
MAT.4.15	“Zabyəlɔnɛ ǹdə́ Nəfətəlyi lyì,
MAT.4.15	byɛ̀bɛ́ bə̀ jě Gəlile né, Zhɔrdɛ̃ bwǐ y èpákɛ̀, mwə̃́ y səta,
MAT.4.15	lyì byɛ̀bɛ́ bə̀ də̀ Zhwifubá mó myɛ gə́ ŋwɛ́nɛ́ mə̀gã̌ mɔ́,
MAT.4.16	lyì bí byɛ̀bɛ́ bə̀ yʼà jě cə-byín wẽ́ mó nɔ pwẽ̀ nánfɔ̀lɔ̀.
MAT.4.16	Pwẽ̀ yə̂r byɛ̀bɛ́ bə̀ yʼà jě cu jàà námbyĩ́ y wẽ́ mó.”
MAT.4.17	Kɔn zhí rə̀myɛ́ yi ní, Yezu já n ji kùr ń nə́ ń bwə̀l ń zhe: “Pyìrhínə á wun. Arəzana pyɛ̀lɛ̀ rɛ́ bwəlse.”
MAT.4.18	Yezu yà ń nə́ ń zhə̀l Gəlile mwə̃́ y vɔ̃̀ nɛ̀. N nə gwànnà bə̀lyè bə̀ yʼà nʼê gwɛ̃̀ mwə̃́ y wə. È yʼà wɔ́ Shəmɔ mɔ́ mɔ̀bɔ́ bə̀ nʼê byẽ̀ bə̀ Pyɛɛrɛ mɔ́,
MAT.4.19	N zɛ̃̀ n wɔ̀ bɛ: “Bànà á tó ne. À mʼa ce á gwɛ̃̀ numbyínsi.”
MAT.4.20	Bə jʼa zhǐr rə̀myɛ́ yó cìcì, bə yẽ̌ bə̀ gùndwə̂ né ne gàà bə tó Yezu ni.
MAT.4.21	N zhǐr gàà ń la yé né, n kə́ n nə lyì dwã bə̀lyè. È yʼà wɔ́ Zebede byâ bɛ́, Zhakɛ ǹdə́ Zhã, bə̀ tó bə̀ da nɛ bə̀ ŋwɛ́nɛ́ bə̀ bǔ-bwəl lé wẽ́, bə̀ nʼê kwɛrhɛ bə̀ gùndwə̂. N byẽ̀ bə̀myɛ. 
MAT.4.22	Bə jʼa zhǐr bə yẽ̌ bə̀ da ǹdə́ bə̀ bǔ-bwəl lé ne bə tó mo.
MAT.4.23	Yezu yà ń nə́ ń byɛ́lɛ́ Gəlile tənà y púlə́púlə́ ń mə́ ń cèrhè bè kàrmɔ̀ bə̀ dwã-gùúlí jìsí wẽ́, ń nə́ ń bwə̀l Yi pyɛ̀lɛ̀ rɛ́ yò-ècɔ̀nɔ̀ nyí rí, ń nə́ ń wárh lyì byɛ̀bɛ́ gakó címsi dwí gakó yʼà zhe mó. 
MAT.4.24	Ń yil lé du rə yí Siri tənà y púlə́púlə́. Bə̀ yʼà nʼê zal nə̀bwànà dwí gakó ǹdə́ byɛ̀bɛ́ címsi yʼà nʼê nwɛ̀nɛ̀ mɔ́, bə̀ twí ń sono. È yʼà wɔ́ lyì byɛ̀bɛ́ gakó nə̀cílsi námməlwâlsɛ yʼà ŋwɛ́nɛ́ bə̀ wẽ́, ǹdə́ byɛ̀bɛ́ kùnkùmbolo yʼà zhe, e súlí gwànsɛ̀, sə ń yà ń nə́ ń wárh bə̀ gakó. 
MAT.4.25	Lyì nánzhəzhɔ̌ shí Gəlile ǹdə́ Cɛmɛ-shí tənà y wa, ǹdə́ Zhərəzalɛm, ǹdə́ Zhide, ǹdə́ Zhɔrdɛ̃ bwǐ y èpákɛ̀ bə bə̀ bə tó mo.
MAT.5.1	Yezu gə́ nɔ lyì-zhâ bɛ́, n jì pyɔ̀ w yó, n jòm tɛ̃´. Ń kwã-lyì bí twẽ̌ bə yí ń nyí ni. 
MAT.5.2	N zɛ̃̀ n ji kùr ń nə́ ń cèrhè bè kàrmɔ̀ ń zhe:
MAT.5.3	“Wu-nyɔ̃̀ cìnə́ wɔ́ lyì byɛ̀bɛ́ bə̀ wɔ́ nə̀mwà bə̀ wun ní wẽ́,
MAT.5.3	bə̀ Arəzana tənà y wɔ́ bə̀myɛ́ bə̀ cǐ yə.
MAT.5.4	Wu-nyɔ̃̀ cìnə́ wɔ́ lyì byɛ̀bɛ́ wu-zhìlù zhe,
MAT.5.4	bə̀ Yi mʼa shíshéré bə̀ wun ni.
MAT.5.5	Wu-nyɔ̃̀ cìnə́ wɔ́ lyì byɛ̀bɛ́ bə̀ wɔ́ lyì-nyɛ̀mà,
MAT.5.5	bə̀ Yi mʼa pə bɛ cɛ y rə̀ yʼà bwəl be è nyí mú.
MAT.5.6	Wu-nyɔ̃̀ cìnə́ wɔ́ lyì byɛ̀bɛ́ Yi pùbùlə̀ né wɔ̀rhɔ́ nɔrh ǹdə́ mə̀ nə̀nyɛ̀lsɛ̀ zhe,
MAT.5.6	bə̀ Yi mʼa ce bə sú.
MAT.5.7	Wu-nyɔ̃̀ cìnə́ wɔ́ lyì byɛ̀bɛ́ bə̀ nʼê dùr bə̀ dwã bɛ́ nɔ̀nɔ̀,
MAT.5.7	bə̀ Yi mʼa dùr bə̀myɛ nɔ̀nɔ̀.
