GEN.1.1	Kì ri cɑ̈gø cøn, Jwøk ɑ́cwɑ̈j-ɑ mɑl kí piny. 
GEN.1.12	Piny ɑ́twïy ki lùm mø ri gen di nywøl mø bɑ köödh, kí yenh mø nywøl ki nywøl mø ri gen di köödh. Köödhø nyi twïy ɑ́ kïdi yɑdh, wɑlɑ̀ kïdi lum-ɑ di köödhe. Kɑ lidh yi Jwøk kinni gïgɑni døøj bënn. 
GEN.1.13	Kɑ böörø obëënø, kɑ mwøl ólunyø bëënø, bene dɑ̈ɑ̈g cyɑ̈ng.
GEN.1.14	Akööb Jwøk kinni, “Wiy bëëd e dɑ gïg mënyø kì mɑl, o ge dɑ̈ɑ̈ng gen dicɑ̈ng geki wɑ̈r. O ge bëëd gen gɑ ngïjji møg nyi kwɑɑn cyɑ̈ng geki runn kí cyɑ̈nggi kwër. 
GEN.1.15	Ge óying mɑl, o ge nëngi gen piny ki cɑr.” Kɑ løg-ɑ kinøw. 
GEN.1.16	Kinøw, ɑgöög Jwøk ki cɑrr mø døngø gɑ ɑ́ryew. Agwøge cɑr-ɑ dwøng o jɑɑge dicɑ̈ng, o cɑr-ɑ thinh jɑɑge wɑ̈r. Kɑ kyell gwøge thyew. 
GEN.1.17	Kɑ ge cïb mɑl yi Jwøk o ge meny gen piny. 
GEN.1.18	O ge jyɑ̈ɑ̈g gen kì kömi dicɑ̈ng kí wɑ̈r, o ge dɑ̈ɑ̈ng gen cɑr geki muudhø. Kɑ lidh yi Jwøk kinni møgɑni døøj bënn. 
GEN.1.19	Kɑ böörø obëënø, kɑ mwøl ólunyø bëënø, bene ngween cyɑ̈ng.
GEN.1.20	Akööb Jwøk kinni, “Wiy yethi pï pɑ̈ng gen yi gïg nëënø, kɑ winy pɑ̈rri gen kì yij yømø kì kömi piny.” 
GEN.1.21	Codhe, kɑ lɑ̈yy-ɑ døngø kì nɑm geki gïg-ɑ nëënø kì yije bënn, cwɑ̈j yi Jwøk. Kɑ nɑm opɑ̈ngø yi wɑ̈thi gïg-ɑ nëënø møgɑni, kɑ wɑ̈thi winyyi obërr bënn cwɑ̈j yi en. Kɑ lidh yi Jwøk kinni gïgɑni døøj. 
GEN.1.22	Kɑ ge kwëng yi Jwøk kinni, “Nywøl wun kɑ wu ngënyi wun kɑ pï pɑ̈ng wun kì nɑm, kɑ winy ngënyi gen kì kömi piny.” 
GEN.1.23	Kɑ böörø obëënø, kɑ mwøl ólunyø bëënø, bene bïïj cyɑ̈ng.
GEN.1.24	Akööb Jwøk kinni, “Wiy piny pɑ̈nge yi lɑ̈yy geki dhög kí dyëg, e men nywøl-ɑ kïde. Wiy bëëd e dɑ lɑ̈yy-ɑ døngø, kí lɑ̈yy-ɑ thønhø, kí møg-ɑ mulli; men dɑ kïde.” Kɑ løg-ɑ kinøw. 
GEN.1.25	Codhe, kɑ lɑ̈yy-ɑ døngø gwøg yi Jwøk geki lɑ̈yy-ɑ thønhø, kí møg-ɑ mulli, men nywøl-ɑ kïde. Kɑ lidh yi Jwøk kinni gïgɑni døøj bënn.
GEN.1.27	 Kɑ dhɑnhø cwɑ̈j yi Jwøk e bɑ ngïje, pɑ̈r ki kïdi Jwøk keny-ɑ ɑ́cwɑ̈je gøn. Dhɑnhø ɑ́cwɑ̈j yi en ɑ́ jɑlø kí dhɑjø. 
GEN.1.28	Kɑ ge kwëng yi Jwøk kinni, “Nywøl wun, kɑ wu ngënyi wun; pɑ̈ng wun piny, kɑ jɑɑg wun, kɑ rijji nɑm jɑɑg wun, kí winyyi mɑl, kí gïg-ɑ nëënø bënn møg-ɑ mulli kì kömi piny.” 
GEN.1.29	Kɑ gï köbbe kinni, “Wu ɑ́mëggɑ lùm-ɑ nyi nywøl ki nying bënn, kí yenh-ɑ nyi nywøl bënn, ge ɑ́mëggɑ wun gɑ gïncɑm. 
GEN.1.30	Kɑ lɑ̈yy geki winyyi mɑl kí gïg-ɑ mulli kì piny bënn møg-ɑ nëënø, mëggɑ lùm-ɑ mɑr bënn gɑ gïncɑɑm gen.” Kɑ løg-ɑ kinøw. 
GEN.1.31	Kɑ Jwøk gïg-ɑ ɑ́gwøg yi en lidhe bënn, kɑ gï yode ge døøj cɑrø. Kɑ böörø obëënø, kɑ mwøl ólunyø bëënø, bene bïkyeel cyɑ̈ng.
GEN.2.1	Codhe kɑ lɑ̈bø bëne órumø ki cwɑ̈jø. 
GEN.2.2	 Jwøk gwøng-ɑ ɑ́bëëd gø ogwøgø yi en ɑ́tyëge, kɑ oywömø kì bïryeew cyɑ̈ng. 
GEN.2.3	Kɑ bïryeew cyɑ̈ng kwëng yi Jwøk, kɑ gø kwëre, mɑ́ bene cyɑ̈ngɑni ɑ ɑ́ywöme ree ki gwøng-ɑ ɑ́bëëd gø ogwøgø yi en, ɑ løg gwøøg cwɑ̈j. 
GEN.2.4	Bene kër-ɑ ɑ́cwɑ̈ɑ̈j lɑ̈bø ɑnɑn yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j.
GEN.2.4	Keny-ɑ ɑ́cwɑ̈ɑ̈j mɑl geki piny yi Jwøk, 
GEN.2.5	ɑ́bëëd e bong lùm kí yenh kì kömi piny. Bong yenh kí lùm mɑ ɑ́bëëd ge twïyø, mɑ́ kødh ɑ́bëëd gø nuti kɑ̈ɑ̈l en kömi piny. O ɑ́bong-ɑ dhɑnhø me purø, 
GEN.2.6	de ɑ́dɑ pï mø nyi bï kì piny, kɑ lɑ̈bø bëne nyii thïnyø yi gen.
GEN.2.8	Kɑ Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j opïdhø ki bɑg kì Eden, kì wɑɑng cyɑ̈ɑ̈ng mwøl, kɑ dhɑnhø men-ɑ ɑ́cwɑ̈je cïbe yij bɑngɑni. 
GEN.2.9	 Kɑ piny göjji twïyø yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j ki yɑdh bëne, mø myëër ki nennø, kí yɑdh bëne mø døøj ki cɑmø, kɑ yɑɑdh wëy geki yɑɑdh ngɑ̈nyi gïndøj kí gïnrɑj cïbe dïdyëri bɑg.
GEN.2.10	Ádɑ nɑm me nyi mulli kì Eden, kɑ bɑg gø nyi cɑwe. Nɑmɑni kɑrø kì kenyɑni kɑ ogöögø ki nɑ̈mmì ɑ́ngwen. 
GEN.2.11	Nɑm-ɑ kyeel gen cwøl ɑ́ Picön, mølli e kɑ̈ll-ɑ kö piny Abïlɑ̀ bëne, kun-ɑ di dhɑb. 
GEN.2.12	Dhɑɑb pinyɑni døøj cɑrø, o kunɑni dɑ ɑ́dwøngi bedölɑ̀ kí kïtti coɑm (møg-ɑ myëër). 
GEN.2.13	Nyingi nɑm-ɑ ryeew gen cwøl ɑ́ Gïön, en ɑ winni piny Kuc bëne. 
GEN.2.14	Nyingi nɑm-ɑ dɑ̈ɑ̈g gen cwøl ɑ́ Tigrì, en ɑ kɑ̈l kuni wɑɑng cyɑ̈ɑ̈ng mwøl kì Acuur. O nɑm-ɑ ngween gen bene Porɑt.
GEN.2.15	Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j, dhɑnhø ɑ́cïbe bɑɑg Eden kipe kinni o gø kore, o gø nyi pure. 
GEN.2.16	Kɑ Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j dhɑnhø cege kinni, “Yï ócuggø cɑm ni kɑ̀ dwɑddí kì ri nywøli yenh-ɑ yij bɑg bënn, 
GEN.2.17	de yɑɑdh ngɑ̈nyi gïndøj kí gïnrɑj, yï ko pɑ̈nyi cɑm kì ree, mɑ́ keny-ɑ ócyɑ̈ɑ̈m kì ree, yï ceg-ɑ thøø ceth.”
GEN.2.18	Kɑ Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j okööbø kinni, “Pɑ døøj eni bëëdi dhɑnhø kete. Ógöggɑ ki ngɑn me bëëdi gen røøm ki gøn, men-ɑ ókønyii.” 
GEN.2.19	Kɑ Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j jɑmmì bënn gwøge kì ri lɑ̈bø, ɑ løg lɑ̈yyi pɑ̈l bënn kí winyyi mɑl bënn, kɑ gï muuje dhɑnhø, o gï cɑ̈gge ki nying. Nying-ɑ ɑ́cɑɑgii yi dhɑnhø, en ɑ óbëëd ɑ́ nyinge. 
GEN.2.20	Codhe, kɑ lɑ̈yy bënn geki winy cɑ̈ggi yi dhɑnhø ki nying. De men ɑ́ en kiree, ɑ́jɑ̈ddi ki ngɑn bëëdi gen røøm ki gøn, me kønyii.
GEN.2.21	Codhe, kɑ dhɑnhø göjji nenø yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ ónenø ki nin mø peeg. Kɑ̈ng-ɑ ɑ́nine, kɑ Jwøk kɑ̈n-ɑ wɑ̈g ki ɑ́kyel kì kelli ngëdde, kɑ kenyɑni cyëge ki rïngø. 
GEN.2.22	Kɑ ngënɑni gwøg yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j ɑ́ dhɑkøw, codhe kɑ dhɑkøw muuje dhɑnhø. 
GEN.2.23	Akööb dhɑnhø kinni,
GEN.2.23	“Anɑn, men bɑ ngɑn me cue ɑ́kɑ̈ɑ̈l ri cuɑ,
GEN.2.23	dële ɑ́kɑ̈ɑ̈l-ɑ ri dëlɑ,
GEN.2.23	ócwølli yi yɑn ɑ́ dhɑkøw, mɑ́ e ɑ́kwɑny-ɑ ri dhɑnhø.”
GEN.2.25	Dhɑnhø geki cyëge, ge ɑ́bëëd ge cyɑ̈dh-ɑ nøw, de bong ɑyɑ̈r mɑ ɑ́böggi yi gen.
GEN.3.2	Aløøg kwøbbi thwöl yi dhɑkøw kinni, “Wø ócuggø cɑm ki nywøli yenh-ɑ yij bɑg. 
GEN.3.3	De Jwøk wø ɑ́köbbe kinni, ‘Wu ko pɑ̈nyi cɑm ki nywøli yɑnh-ɑ dïbɑg. Ko pɑ̈nyi yi wun ki nywɑlø, kipe wu óthøw.’ ”
GEN.3.4	Kɑ thwöl yöd e köbb-ɑ dhɑkøw kinni, “Wu pɑ thøw. 
GEN.3.5	Ngɑ̈nyi yi Jwøk kinni keløg wu ocyɑ̈mø ki nywøli yɑnhɑni, nyingi wun ceg yi wun kɑ yiebø, kɑ wu ogöögø wu pɑ̈r ki en, kɑ gïndøj kí gïnrɑj nyi ngij yi wun!”
GEN.3.6	Kɑ lidh yi dhɑkøw kinni yɑnhɑni myëër, o nywøle døøj ki cɑmø, kí kinni wïj ócuggø pïlø yi en. Codhe, ɑkɑ̈bbe ki nywøli yɑnhɑni kɑ gï cɑme. Kɑ jɑlgøle nënge thyew, kɑ gï cɑme. 
GEN.3.7	Kɑ wɑ̈thi gen óyïëbbø. Kɑ ngij yi gen kinni ge cyɑ̈dh-ɑ nøw, ɑkwööj gen ki yïthhi ólɑm, kɑ gï gwøg gen gɑ møg kum gen ri gen.
GEN.3.8	Kɑ Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j lïngi yi gen e ócyɑ̈dhø kì yij bɑg, keny-ɑ ɑ́kwööj piny. Kɑ dhɑnhø geki cyëge pɑ̈n-ɑ kelli yenh kì yij bɑg, mɑ́ ge ɑ́bwøg yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j. 
GEN.3.9	Acwöddi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, “Dhɑnhø! Yï ying-ɑ keny?”
GEN.3.10	Alögge kinni, “Yɑ ɑ́lïng-ɑ cwɑggí kì yij bɑg, ɑpɑ̈nɑ mɑ́ yɑ cyɑ̈dh-ɑ nøw.”
GEN.3.11	Apyëjii yi Jwøk kinni, “Á men ɑ ɑ́köbbi yïn kinni yï cyɑ̈dh-ɑ nøw? Yï ɑ́ceg-ɑ cɑm kì ri nywøli yɑnh-ɑ ɑ́kyëddɑ yïn kinni yï ko cyɑ̈ɑ̈m kì ree?”
GEN.3.12	Alöggi Dhɑnhø kinni, “Bɑ yïn ɑ ɑ́muuj yɑn dhɑkøw men, o bɑ en ɑ ɑ́nëngi yɑn ki nywøli yɑdh, kɑ ge cɑmɑ.”
GEN.3.13	Alögge kinni, “Thwöl ɑ ɑ́wëny yɑn, kɑ yɑ ocyɑ̈mø ki nywøli yɑdh.”
GEN.3.14	Kɑ thwöl köbbi yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, “Cyën ying-ɑ kömí kipe kɑ ɑ́gwøøg gïn ni men. Yï bɑ ɑcyen kì kelli lɑ̈yy bënn. Yï ómul-ɑ́ɑ̀ kömi yijí, o yï ócɑm lɑ̈bø kì yethi runn-ɑ ónëën yi yïn bënn. 
GEN.3.15	 Wu ógwøg yi yɑn wu mɑ̈n wuki dhɑkøw. Kwɑrre geki kwɑrrí óbëëdø ge mɑ̈n ki ri gen. Wïjí ómød yi en, o tïg tyele ókɑj yi yïn.”
GEN.3.16	Codhe, ɑköbbi dhɑkøw yi Jwøk kinni, “Yï óköllɑ orɑng keny-ɑ óbëëd yijí dɑ dhɑnhø, yï ónywøl kɑ nywølø me dhøge ledh. Jɑɑl wun ótyer yi yïn ki mendwøng, de yï ójɑɑg yi en.”
GEN.3.18	Piny ótwïy ki koodh geki okurø yi göjí, o yï ócɑm-ɑ jɑmmi pwödhø. 
GEN.3.19	Yï ógöögø ki gwøg me teg, kɑ yï opirø ki kwɑ̈g kipe kinni o yï yïddí ki gïncɑm. Yï ódøøg yij lɑ̈bø, mɑ́ yï ɑ́kwɑny-ɑ ree. Yï bɑ lɑ̈bø, o yï døøg-ɑ yij lɑ̈bø.”
GEN.3.20	Kɑ Adɑm cyëge cɑge ɑ́ Awɑ̀ kipe bene en ɑ bɑ meyi gïn-ɑ nëënø bëne. 
GEN.3.21	Kɑ Adɑm geki cyëge ngïnyi yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j ki lɑ̈ni lɑ̈yy mø rug yi gen.
GEN.3.23	Acyeed dhɑnhø wɑ̈g yi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j kì yij bɑɑg Eden, o pure ki lɑ̈m-ɑ́ yije ɑ́kwɑnyii. 
GEN.3.24	Keny-ɑ ɑ́rum dhɑnhø ki cyëëd wɑ̈g kì yij bɑg, kɑ dhø bɑg kì wɑɑng cyɑ̈ɑ̈ng mwøl cïbi yi Jwøng-ɑ Ácwɑ̈ɑ̈j ki kerobb, ki pilø me bɑ mɑc me lyel, e cem-ɑ rɑ̈d kì wɑ̈thi tùng bënn, menɑni bɑ kipe kinni o bëëd e bong ngɑn kedhi buti yɑɑdh wëy.
GEN.4.1	Adɑm ɑ́buddi geki cyëge Awɑ̀, kɑ Awɑ̀ ongølø ki dhɑnhø. Anywøl Awɑ̀ ki wɑ̈d, ɑkööbe kinni, “Jwøng-ɑ Ácwɑ̈ɑ̈j, yɑ ɑ́nënge ki wɑ̈d.” Acɑge gøn ɑ́ Kɑin. 
GEN.4.2	Kì bɑnge kɑ Awɑ̀ onywølø ki wɑ̈d megø me cwøl ɑ́ Abel. Abel ɑ́kwɑy-ɑ dyëg, o Kɑin göögø ɑ́ jɑlpur. 
GEN.4.3	Kì bøli keny megø, Kɑin ɑ́muuj ki jwödhø men mëggi Jwøk, Jwøng-ɑ Ácwɑ̈ɑ̈j kì ri jɑmm-ɑ ɑ́pure. 
GEN.4.4	 Kɑ Abel kì tunge, ólunyø ki kɑ̈nø ki órömø me bɑ kɑyø, e pëddi døøjø kì kelli dyëge. Kɑ jwödhø mi Abel yïëy yi Jwøng-ɑ Ácwɑ̈ɑ̈j, 
GEN.4.5	de Kɑin nuti yïëy en geki jwönh-ɑ ɑ́muuje. Codhe, kɑ Kɑin pyëwe órënyø ki mendwøng. 
GEN.4.6	Apyëëj Kɑin yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, “Yïde ɑ bëëd pyëwí rɑɑj? Yïde ɑ nënní bølí looj? 
GEN.4.7	Keløg jɑmmí di gwøg yi yïn kidøøj, yï di ceg-ɑ bønyø, de ge nuti gwøgø yi yïn kidøøj, orøg cung-ɑ́ɑ̀ dhø ødí, e dwɑdd-ɑ jɑɑgi yïn, de dwɑddií tyɑmø.”
GEN.4.9	Apyëëj Kɑin yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, “Abel ómyëw ying-ɑ keny?”
GEN.4.9	Alöggi Kɑin kinni, “Kwïj yi yɑn, bɑ gwøgɑ eni kori ómïɑ?”
GEN.4.11	Kì bɑng bɑ̈jjø menɑni cyënní óbëëd ge døngø kibøli cyënni piny-ɑ pur yi yïn, eni piny-ɑ́ yije ɑ́dëëm yi remi ómyëw kì cingí. 
GEN.4.12	Piny ópur yi yïn, de pɑ cigi nywølø ki gïjø me døøj këti, o yï ópëggi be wïïnø kì kömi piny.”
GEN.4.13	Aköbbi Jwøng-ɑ Ácwɑ̈ɑ̈j yi Kɑin kinni, “Cɑ́yɑni peeg kiperɑ! 
GEN.4.14	Yɑ ɑ́mɑ̈ɑ̈n yi yïn puri piny dicyɑ̈ngtïn, kɑ yɑ cyeddí kì butí. Yɑ bɑ men pëggi be wïïnø kì kömi piny, o yɑ ócuggø nɑ̈gø yi ngɑn røøm wøn.”
GEN.4.15	Aköbbi Kɑin yi Jwøng-ɑ Ácwɑ̈ɑ̈j kinni, “Pɑth ki en! Keløg yï onɑ̈gø yi dhɑnhø, kejí nɑ̈ɑ̈g-ɑ ji ɑ́bïryew.” Codhe, kɑ bøli Kɑin dïjji yi Jwøng-ɑ Ácwɑ̈ɑ̈j ki ngïji, o ócöge e bong ngɑn nɑ̈gii. 
GEN.4.16	Codhe, kɑ Kɑin odhwödhø kì buti Jwøng-ɑ Ácwɑ̈ɑ̈j, kɑ kedh-ɑ be bëëdø kì piny Nod, kì bøli Eden, kì wɑɑng cyɑ̈ɑ̈ng mwøl.
GEN.4.17	Kɑ cï Kɑin óyïddø ki dhɑnhø, ɑnywøle Enök. Kì bøli kenyɑni, Kɑin ɑ́bëëd e ogëdø ki kɑɑl me dwøng. Kɑɑlɑni ɑ́cɑge ki nyingi wɑ̈de Enök. 
GEN.4.18	Enök yïe ɑ́dɑ wɑ̈de me cwøl ɑ́ Irɑd. Irɑd yïe ɑ́dɑ wɑ̈de me cwøl ɑ́ Mekuyɑil. Mekuyɑil yïe ɑ́dɑ wɑ̈de me cwøl ɑ́ Metucɑil. Metucɑil yïe ɑ́dɑ wɑ̈de me cwøl ɑ́ Lɑmek. 
GEN.4.19	Lɑmek ɑ́nyömi ki mɑ̈nn ɑ́ryew, Adɑ̀ geki Dhilɑ̀. 
GEN.4.20	Adɑ̀ ɑ ɑ́nywøl Yɑbɑl, en ɑ bɑ kweyi tyëng-ɑ nyi bëëdø kì yethi kemmì, ge bɑ kwɑ̈yyì. 
GEN.4.21	Ómï Yubɑl cwøl ɑ́ Yubɑl, en ɑ bɑ kweyi bödhhi thøm geki kɑ̈ngì. 
GEN.4.22	Dhilɑ̀ ɑ ɑ́nywøl Tubɑl Kɑin, ɑ løg kweyi bödhh-ɑ nyi thɑ̈dhø ki jɑmm-ɑ thɑ̈dh ki ngyënyø dilɑl geki ngyënyø dødø. Nyimï Tubɑl Kɑin ɑ cwøl ɑ́ Nɑɑmɑ̀.
GEN.4.23	Kɑ Lɑmek mɑ̈nne ryeet köbbe kinni,
GEN.4.23	“Adɑ̀ wuki Dhilɑ̀, lïngu kwøbbɑ!
GEN.4.23	Wu mɑ̈nni Lɑmek, lïngu kwøbb-ɑ kwøb yi yɑn.
GEN.4.23	Yɑ ɑ́nɑ̈gi ki jɑl megø kipe kɑ ɑ́thödhe yɑn ki kedø,
GEN.4.23	kɑ nyel me thiinh nɑ̈gɑ kipe kɑ ɑ́gøje yɑn.
GEN.4.24	kej Lɑmek nɑ̈ɑ̈g-ɑ ji pyɑ̈r ɑ́bïryew wïdɑ́bïryew.”
GEN.4.25	Kɑ Adɑm óbuddø ki cyëge Awɑ̀ këti, kɑ cyëge onywølø ki wɑ̈d. Kɑ cɑg yi meye ɑ́ Ceeth, kinni, “Yɑ ɑ́nëngi yi Jwøk ki wɑ̈d megø. En ɑ ókwɑny kej Abel, nyel-ɑ ɑ́nɑ̈g yi Kɑin.” 
GEN.4.26	Ceeth ɑ́nywøl thyew ki wɑ̈d, kɑ cɑg ɑ́ Enöc. Bøli kenyɑni ɑ ɑ́døøg ji be kwɑ̈jjø ki nyingi Jwøng-ɑ Ácwɑ̈ɑ̈j.
GEN.5.3	Keny-ɑ ɑ́göög runni Adɑm ki miyø kí pyɑ̈r ɑ́dɑ̈g, ɑnywøle ki wɑ̈de megø, me bɑ kïde ceth, kɑ nyinge cɑge ɑ́ Ceeth. 
GEN.5.4	Kì bɑng kɑ ɑ́rum Ceeth ki nywølø, kɑ Adɑm obëëdø ki runn miy ɑ́bïdɑ̈g, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.5	Adɑm ɑ́thøw runne bɑ miy ɑ́bïngwen kí pyɑ̈r ɑ́dɑ̈g.
GEN.5.6	Keny-ɑ ɑ́göög runni Ceeth ki miyø kí ɑ́bïj, ɑnywøle ki wɑ̈de me cwøl ɑ́ Enöc. 
GEN.5.7	Kì bɑng kɑ ɑ́rum Enöc ki nywølø, kɑ Ceeth obëëdø ki runn miy ɑ́bïdɑ̈g kí ɑ́bïryew, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.8	Ceeth ɑ́bëëd ki runn miy ɑ́bïngwen kí pyɑ̈rø wïdɑ́ryew, codhe ɑthøwe.
GEN.5.9	Keny-ɑ ɑ́göög runni Enöc ki pyɑ̈r ɑ́bïngwen, ɑnywøle ki wɑ̈d me cwøl ɑ́ Kenɑn. 
GEN.5.10	Kì bɑng kɑ ɑ́rum Kenɑn ki nywølø, kɑ Enöc obëëdø ki runn miy ɑ́bïdɑ̈g kí pyɑ̈rø wïdɑ́bïj, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.11	Enöc ɑ́bëëd kɑ runn miy ɑ́bïngwen wïdɑ́bïj, codhe ɑthøwe.
GEN.5.12	Keny-ɑ ɑ́göög runni Kenɑn ki pyɑ̈r ɑ́bïryew, ɑnywøle ki wɑ̈de me cwøl ɑ́ Mɑɑ̈lɑlel. 
GEN.5.13	Kì bɑng kɑ ɑ́rum Mɑɑ̈lɑlel ki nywølø, kɑ Kenɑn obëëdø ki runn miy ɑ́bïdɑ̈g kí pyɑ̈r ɑ́ngwen, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.14	Kenɑn ɑ́bëëd ki runn miy ɑ́bïngwen kí pyɑ̈rø, codhe ɑthøwe.
GEN.5.15	Keny-ɑ ɑ́göög runni Mɑɑ̈lɑlel ki pyɑ̈r ɑ́bïkyel wïdɑ́bïj, ɑnywøle ki wɑ̈de me cwøl ɑ́ Yɑred. 
GEN.5.16	Kì bɑng kɑ ɑ́rum Yɑred ki nywølø, kɑ Mɑɑ̈lɑlel obëëdø ki runn miy ɑ́bïdɑ̈g kí pyɑ̈r ɑ́dɑ̈g, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.17	Mɑɑ̈lɑlel ɑ́bëëd ki runn miy ɑ́bïdɑ̈g kí pyɑ̈r ɑ́bïngwen wïdɑ́bïj, codhe ɑthøwe.
GEN.5.18	Keny-ɑ ɑ́göög runni Yɑred ki miyø kí pyɑ̈r ɑ́bïkyel wïdɑ́ryew, ɑnywøle ki wɑ̈de me cwøl ɑ́ Enök. 
GEN.5.19	Kì bɑng kɑ ɑ́rum Enök ki nywølø, kɑ Yɑred obëëdø ki runn miy ɑ́bïdɑ̈g, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.20	Yɑred ɑ́bëëd ki runn miy ɑ́bïngwen kí pyɑ̈r ɑ́bïkyel wïdɑ́ryew, codhe ɑthøwe.
GEN.5.21	Keny-ɑ ɑ́göög runni Enök ki pyɑ̈r ɑ́bïkyel wïdɑ́bïj, ɑnywøle ki wɑ̈de me cwøl ɑ́ Metucelɑ̀. 
GEN.5.22	Kì bɑng kɑ ɑ́rum Metucelɑ̀ ki nywølø, kɑ Enök obëëdø ki runn miy ɑ́dɑ̈g e cyɑ̈dhi kɑ Jwøk, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.23	Enök ɑ́bëëd ki runn miy ɑ́dɑ̈g kí pyɑ̈r ɑ́bïkyel wïdɑ́bïj. 
GEN.5.24	 Enök ɑ́cyɑ̈dhi kɑ Jwøk, kɑ ólɑ̈ɑ̈nyø cyɑ̈ng ɑ́kyel. Ákɑ̈l yi Jwøk ki dële.
GEN.5.25	Keny-ɑ ɑ́göög runni Metucelɑ̀ ki miyø kí pyɑ̈r ɑ́bïdɑ̈g wïdɑ́bïryew, ɑnywøle ki wɑ̈de me cwøl ɑ́ Lɑmek. 
GEN.5.26	Kì bɑng kɑ ɑ́rum Lɑmek ki nywølø, kɑ Metucelɑ̀ obëëdø ki runn miy ɑ́bïryew kí pyɑ̈r ɑ́bïdɑ̈g wïdɑ́ryew, kɑ onywølø ki wɑ̈dd møøgø kí womɑ̈nn. 
GEN.5.27	Metucelɑ̀ ɑ́bëëd ki runn miy ɑ́bïngwen kí pyɑ̈r ɑ́bïkyel wïdɑ́bïngwen, codhe ɑthøwe.
GEN.5.28	Keny-ɑ ɑ́göög runni Lɑmek ki miyø kí pyɑ̈r ɑ́bïdɑ̈g wïdɑ́ryew, ɑnywøle ki wɑ̈d. 
