GEN.1.1	Soo 'udechoo whe'whudit'en whe Yak'usda (Elohim)
GEN.1.17	Yak'usda (Elohim) 'en ndo yak'uz ndi be hoot'en-i whulhtsi, 'i ndi yun k'ut hukw'edodi huba.
GEN.1.18	'Ink'ez 'owhi dzin 'ink'ez 'ulhdzis bulh k'une' hool'en ha. 'Ink'ez lhulcho 'uhoonla be hoot'en-i 'ink'ez tsalhgus yo. 'Ink'ez Yak'usda (Elohim) whunilh'en 'ink'ez ooba hoonzoo.
GEN.1.19	'Et hulhgha 'ink'ez bundada' 'et whulh did dzin whuzdli'.
GEN.1.20	'Et Yak'usda (Elohim) 'utni, “Too toh lhai cho lho ndunt'oh-i hole', 'ink'ez dut'ai yun ando yat ndulcho dut'ai be nuhoot'o”.
GEN.1.21	'Et Yak'usda (Elohim) toot lho cho 'ink'ez usjiz-i nuhutnah-i lhelhdoh didoh toot nuyeh-i 'ink'ez nut'o-i lhelhdoh didoh-i 'inla. 'Ink'ez 'owhi yunilh'en, unzoo whe 'unt'oh. 'Et Yak'usda (Elohim) ooba hoonzoo suli'.
GEN.1.22	'Et Yak'usda (Elohim) soo hoonzoo-un hubúlhni, 'ink'ez njan ndutni, “Lhk'uz whe lhai oohle' ndi too doolhbun yatoo' tuz, 'ink'ez dut'ai cha ndi yun k'ut lhk'uz teh lhai oole'.”
GEN.1.23	'Et hulhgha 'ink'ez bundada' 'et kwulat dzin suli'.
GEN.1.24	'Et Yak'usda (Elohim) 'utni, “Ndai la khuna-i dich'oh didoh-i, khuna-i, musdoos te, yun nulh'as-i, 'uyoo khuna-i, ts'iyawh didutch'oh dudun dot'en, yun ts'u halh'as,” 'et whuz un'a 'uhooja.
GEN.1.25	'Et Yak'usda (Elohim) khuna-i yun k'ut nulh'as 'ilhoh didoh-i, musdoos 'ilhoh didoh-i 'ink'ez ts'iya-i yun nulh'as-i, 'ilhoh didoh-i 'ink'ez Yak'usda (Elohim) yan'en, unzoo whe 'unt'oh.
GEN.1.26	'Et Yak'usda (Elohim) 'utni, “Dune 'uts'ooleh, neundot'en-un, nek'un'a 'unt'oh-un, yatoo k'ut, lho, dut'ai ndo nudilh-i, musdoos, yun k'ut cha, yun k'ut nulh'as-i cha, 'owhi ts'iyawh yumoodih oole' sih”.
GEN.1.27	'Et Yak'usda (Elohim) dune 'inla,
GEN.1.27	duk'un'a Yak'usda (Elohim) ndot'e',
GEN.1.27	'en dune 'ink'ez ts'ekoo cha 'en 'ubinla.
GEN.1.28	'Et Yak'usda (Elohim) soo hoonzoo-un 'ubulhni 'ink'ez Yak'usda (Elohim) njan ndubulhni, “Lhane cho nohuzkeh oole', ndi yun doolhbun 'ink'ez oomoodih uhli, lho, dut'ai, nudilh-i cha 'ink'ez ndi yun k'ut usjiz-i cha ts'iyawh”.
GEN.1.29	'Et Yak'usda (Elohim) 'utni, “Whunulh'en, yun hanuyeh-i oomai' hoonli-i, 'ananukat-i yun k'ut hooni-i, duchun oomai' 'ananukat-i, nohni nohba ut'alh-i tileh.
GEN.1.30	'Ink'ez cha ndi yun k'ut usjiz-i, dut'ai ndo nudilh-i, 'ink'ez yun k'ut nulh'as-i cha, ndi yun k'ut hanuyeh-i yuti'ulh huba bugha ínus'ai,” 'ink'ez whuz un'a 'uhooja.
GEN.1.31	Yak'usda (Elohim) yane'yalh'en-i yunilh'en, ts'iyawh 'uyinla-i 'ink'ez 'alha tube unzoo. 'Et hulhgha 'ink'ez bundada' 'et bulh lhk'utat dzin. 'Et ts'iyawh whunalh'en whe tube ooba hoonzoo. 'Et hulhgha 'ink'ez bundada' 'et whulh lhk'utat dzin suli'.
GEN.2.1	'Awet yak'uz, yun k'ut, 'ink'ez ndai ts'iyawh 'uhoonla, 'i lhaoodinla.
GEN.2.2	'Et whulh lht'ak'ant'it dzin suli', 'et Yak'usda (Elohim) be 'ut'en, 'i lhaidinla 'ink'ez whulh lht'ak'ant'it dzin 'et nalyiz. Ndi be 'ut'en 'i ts'iyawh lhaoodinla.
GEN.2.3	'Ink'ez Yak'usda (Elohim) whulh lht'ak'ant'it dzin 'et soo hoonzoo-un whulhtsi 'ink'ez 'udun duba neooninla. Njan whulh lht'ak'ant'it dzin 'et nalyiz be 'ut'en 'i ts'iyawh lhaoodinla 'et huwa, Yak'usda (Elohim) ndi 'uyinla 'i lhaoodinla.
GEN.2.4	Njan 'et soo 'udechoo whe'whudit'en hukw'elh'az yak'uz 'ink'ez yun k'ut njan dzin Moodihti Yak'usda (Yahweh
GEN.2.5	'awhuz yun whut'an 'ink'ez oomai' hooni-i, 'ink'ez dilht'an-i cha yun k'ut halhusye whe, Moodihti Yak'usda (Yahweh Elohim) nawhulhtih-un 'ink'ez dune yun gha oona' ha hooloh.
GEN.2.6	'Et hoonts'i tootsul whuzdli' 'i be yun k'ut naooniltsul.
GEN.2.7	'Ink'ez Moodihti Yak'usda (Yahweh Elohim) yun lez 'i dune yulhtsi 'ink'ez be ts'uhuna bulh yuni 'ainyulh 'ink'ez dune khuna suli'.
GEN.2.8	Eden huwun ndaz de 'et Moodihti Yak'usda (Yahweh Elohim) 'en ha'nuyeh k'et newhunin'ai. 'Et 'a'nule ink'ez ndun dune yulhtsi, 'en 'et neinilhti.
GEN.2.9	Njan yun k'ut Moodihti Yak'usda (Yahweh Elohim) ts'iya-i duchun nul'en huba nzoo-i 'ink'ez ut'alh huba nzoo-i 'ainanla. Duchun oogha ts'ukhuna-i cha whuniz hanuyeh yun 'et 'uyinla. 'Ink'ez ndi duchun be t'eoonudzun ndet hoonzoo 'ink'ez ndet hoontsi' 'et cha.
GEN.2.10	'Et ndi took'oh Eden whuts'u hainli, 'i hanuyeh k'et be nawhunultsul, 'et 'ukoh didun lhk'einli whuzdli'.
GEN.2.11	Soo 'udechoo whuts'u hainli, 'i Pishon huyulhni, ndi 'i yun k'ut Havilah ndul cho whunadizdli, 'et gold hooni.
GEN.2.12	'Ink'ez njan yun k'ut gold 'i unzoo. Bdellium 'ink'ez onyx tse 'i 'et hooni.
GEN.2.13	Njan whulhnat took'oh ye dinli, 'i Gihon hiyulhni, 'i 'unt'oh. Yun k'ut Cush, 'et ndulcho whunasuli.
GEN.2.14	Bulh ta-i 'ukoh 'i Hiddekel huyulhni, 'i Assyria whanda' ts'e wheinli. Bulh dunghi 'ukoh 'i Euphrates 'unt'oh.
GEN.2.15	'Et Moodihti Yak'usda (Yahweh Elohim) hanuyeh k'et Eden 'et dune neninilhti, yughole' 'ink'ez yot'e' ha.
GEN.2.16	'Ink'ez Moodihti Yak'usda (Yahweh Elohim) ndun dune khuni yutl'a dan'ai whe nduyulhni, “Ndi duchun ts'iyawh njan hanuyeh 'i on'alh ndet hukwa' ninzin totsuk.
GEN.2.17	“Ndi duchun be t'eoonudzun-i, ndet hoonzoo-un, 'ink'ez ndet hoontsi'-un, 'i oomai 'aw lhuzon'al. Ndet dzin in'al-un, 'alha datantsah.”
GEN.2.18	'Et Moodihti Yak'usda (Yahweh Elohim) 'utni, “Dune dich'oh 'uhint'oh de 'aw lhe'hoozoo' whe' hoont'oh, yula' tit'elh-un yundult'oh-un ooba 'oosleh si.”
GEN.2.19	Ndi yun k'ut 'et Moodihti Yak'usda (Yahweh Elohim) ts'iyai khuna-i, dut'ai ndo yat nudilh, 'i ts'iyawh Adam ts'un nebuninla, 'et nts'en'a hubootazih ha. 'Ink'ez nts'en'a hubonzi', 'i huboozi suli'.
GEN.2.20	'Et Adam 'en ndi mudoos, dut'ai ndo yat nudilh, 'ink'ez tl'o k'ut khuna-i, 'i ts'iyawh huboozi' whulhtsi. 'Et 'ink'ez Adam yulh ndult'oh 'en yula 'oot'en hooloh.
GEN.2.21	'Ink'ez 'et Moodihti Yak'usda (Yahweh Elohim) Adam bulh cho yuk'edin'ai, 'et Adam nanisti 'ink'ez oocha 'ilhoghi Yak'usda yuts'u haídantan 'ink'ez yutsung lhts'un be naíyunilhni.
GEN.2.22	Moodihti Yak'usda (Yahweh Elohim) ndi 'ucha dune ts'u haidantan, 'i ts'eke yulhtsi 'ink'ez dune yughi nilhti.
GEN.2.23	'Et Adam 'utni,
GEN.2.23	“Ndi 'andit sts'un oots'un 'unt'oh
GEN.2.23	'ink'ez stsung ootsung 'unt'oh,
GEN.2.23	ts'eke boozi' oole' si,
GEN.2.23	dune ts'u halti 'et huwa”.
GEN.2.24	'Et huwa dune dubá 'ink'ez duloo bulh bula dootnih 'ink'ez du'at bulh 'oot'e 'ink'ez 'ilho yust'e hoole'.
GEN.2.25	'Ink'ez nahult'oh 'ust'et, dune 'ink'ez du'at bulh whe 'aw yooya cha lhuhiloh.
GEN.3.1	'Et tl'ughus 'i lhelhdoh didoh-i Moodihti Yak'usda (Yahweh Elohim) 'uyinla-i unli 'ink'ez ts'eke 'ulhni, “Duchun yun k'ut whuduchun 'aw ts'iyawh lhuzooh'al, ni eh?”
GEN.3.2	'Et ts'eke nyoon tl'ughus 'uyulhni, “Nyoo duchun mai' hanuyeh-i, 'i ts'oo'alh huba' hoont'oh,
GEN.3.3	'Et hoonts'i hanuyeh k'et whuduchun whuniz nadan'a-i, 'i Yak'usda (Elohim) 'utni, ‘Nyoo duchun mai' 'aw lhuzooh'al, k'us oot'aoohnalh junih, khun si daoohtsah,’” ni.
GEN.3.4	'Et ndi tl'ughus, ts'eke 'en 'uyulhni, “'Alha 'aw daoontsah ait'oh.
GEN.3.5	Yak'usda (Elohim) t'eooninzun ndet dzin uh'alh-un, hooh'en tihleh 'ink'ez Yak'usda (Elohim) bundutilh'elh, hoonzoo-un 'ink'ez hoontsi'-un cha t'ewhuntahzin.”
GEN.3.6	'Et ts'eke duchun ts'u'alh huba unzoo, nul'en huba cha unzoo, duchun ts'uwhunih netilhtselh huba ooka' whuninzun, oomai' yilhchoot 'ink'ez yan'al, duki cha yuloh yutl'a nan'ai 'ink'ez 'en cha yan'al.
GEN.3.7	'Et nahult'oh duna be huhon'en suli', 'ink'ez nahult'oh 'ust'et 'uhint'oh t'ehonanzin, mai “fig” huyulhni 'i oot'an lhuna' hidunilhka' 'i be be k'e'uzdla 'uhududulhtsi.
GEN.3.8	'Et nawhudunik'az whe Moodihti Yak'usda (Yahweh Elohim) hanuyeh k'et 'oh nuya whe hidits'o 'ink'ez Adam du'at bulh hanuyeh k'et duchun toh Moodihti Yak'usda (Yahweh Elohim) hich'a untilh'i.
GEN.3.9	'Et Moodihti Yak'usda (Yahweh Elohim) Adam hahizya 'ink'ez 'uyulhni, “Nts'e 'int'oh”.
GEN.3.10	'Et 'utni, “Hanuyeh k'ez nyudasts'o 'ink'ez whenuzjut, 'ust'et 'ust'oh 'et huwa untiz'i.”
GEN.3.11	'Ink'ez 'uyulhni, “Mbe 'unyulhni 'ust'et 'int'oh, duchun oomai' uh'alh junih nohdusni-i eh uh'al?”
GEN.3.12	'Et dune 'utni, “Ts'eke sgha nilht'i-un duchun oomai' sgha inin'ai 'ink'ez 'i us'al.”
GEN.3.13	'Ink'ez Moodihti Yak'usda (Yahweh Elohim) ts'eke 'ulhni, “Dahoont'oh-un dainja?” 'Ink'ez ts'eke 'utni, “Tl'ughus nasunan'a 'ink'ez us'al.”
GEN.3.14	'Et Moodihti Yak'usda (Yahweh Elohim) tl'ughus 'ulhni,
GEN.3.14	“'Et ndinja huwa 'uyoo khuna-i anus nk'ehida whe 'int'oh,
GEN.3.14	'ink'ez 'uyoo khuna-i chuntoh nulh'as-i anus,
GEN.3.14	mbut tl'ah whe nukedutanzut,
GEN.3.14	'ink'ez lhez za tan'ulh, yunka tandalh nduwhulyiz whe.
GEN.3.15	'Ink'ez nyun 'ink'ez ts'eke bulh lhazdatni nohtiselh,
GEN.3.15	'ink'ez nyuzkeh 'ink'ez buzkeh.
GEN.3.15	Ntsi yayindunta'us 'ink'ez ookentsul duntalhdah.”
GEN.3.16	'Et ts'eke 'ulhni,
GEN.3.16	“Ndzi unduda-un 'ink'ez datant'elh-un 'onus 'uwhulcho whutiselh,
GEN.3.16	nyulh 'ults'ulh whe nyuzkeh whutaleh,
GEN.3.16	nki ooka' untanzilh 'ink'ez nyumoodih tileh.”
GEN.3.17	'Et Adam 'ulhni,
GEN.3.17	“N'at oozalhts'ai' 'et huwa 'ink'ez ndi duchun oomai',
GEN.3.17	‘'On'alh junih,’ nyudusni,
GEN.3.17	in'al 'et huwa, nyun mba ndi yun 'i ookehida,
GEN.3.17	'ut'en be oots'u huyukat-i tan'ulh yun ka tandalh ndwhulyiz whe.”
GEN.3.18	Whuscho 'ink'ez whusyaz bulh nankilt'oh ook'ut mba hantiyeh,
GEN.3.18	'ink'ez yun hanuyeh-i tan'ulh.
GEN.3.19	Nyunin ts'u halhdzilh whe ut'alh-i on'alh,
GEN.3.19	yun natandleh whuts'un.
GEN.3.19	'I oots'u hainzut.
GEN.3.19	Lhez 'int'oh 'ink'ez lhez 'i ts'un natandleh.”
GEN.3.20	'Ink'ez Adam du'at Eve be yoozi, khunane ts'iyawh buloo 'et huwa.
GEN.3.21	'Ink'ez Adam oo'at bulh Moodihti Yak'usda (Yahweh Elohim) 'en ndi zuz 'i buba 'uyinla hiye óoke' ha.
GEN.3.22	'Et Moodihti Yak'usda (Yahweh Elohim) 'utni, “Nulh'en, dune Neundult'oh suli', hoonzoo-un 'ink'ez hoontsi'-un t'ewhunozin ha. 'Ink'ez 'andit doo ka si dula be ndi duchun oomai' yolhchoot 'ink'ez yoo'alh 'ink'ez 'ilhiz whutinalh.”
GEN.3.23	'Et huwa Moodihti Yak'usda (Yahweh Elohim) njan hanuyeh k'et, Eden, 'et tenabunilh'a', 'ink'ez njan yun whut'as tileh 'i oots'u haits'alhti 'et, oot'e' ha.
GEN.3.24	'Et dune teininyoot 'ink'ez Eden ndaz ts'e 'et lizasne, Cherubne hubulhni, 'et nebunilhti, 'ink'ez saluzti kwun dunukw dot'en lhelhts'un nadighus-i duchun oogha ts'ukhuna-i yughole' ha. 
GEN.4.1	'Et Adam du'at Eve, t'einanzin 'ink'ez oo'at ulchan 'ink'ez Cain 'en yulhtsi 'ink'ez 'utni, “Moodihti (Yahweh) ts'un dune sgha ninzut.”
GEN.4.2	'Et doo cha Eve 'ulhtsi, 'andit 'et bulhutsin Abel 'en 'usbai ghunli unli, 'et Cain 'en yun ghana-un suli'.
GEN.4.3	'Et whudizulh whutoh Cain yun whumai', Moodihti (Yahweh) gha italelh ha yughi ninla.
GEN.4.4	Abel cha 'usbai 'udechoo whuzdli-i nilhk'a whe whuz wheyanla 'ink'ez Moodihti (Yahweh) Abel yudilhti' 'ink'ez yuba soo 'uja.
GEN.4.5	'Et hoonts'i Cain yuba whusayanla-i ooba lhe' yizoo' 'ink'ez Cain tube hunilch'e 'ink'ez oonin ts'e 'uts'un un'a 'uja.
GEN.4.6	'Et huwa Moodihti (Yahweh) 'en Cain 'uyulhni, “Ndet huwa hunilch'e 'ink'ez nyunin ts'e 'uts'un un'a 'inja?”
GEN.4.7	“Soo 'ant'en, 'aw lakw 'uyoo neba lhe'hootazoo'? 'Et 'aw soo lhe'zint'en de, 'ut'en untsi'-i dati us'ai whe 'unt'oh. 'Ink'ez nka' ninzun whe 'unt'oh, 'et hoonts'i whuch'a whumoodih onle'.”
GEN.4.8	'Et Cain dudulhutsin Abel yulh yailhduk, 'et 'uhooja nus tl'o k'ut 'uhint'oh whe, Cain dudulhutsin Abel yuch'az nedinja 'ink'ez yuzilhghi.
GEN.4.9	'Et whe Moodihti (Yahweh) Cain 'uyulhni, “Nyulhutsin Abel daja?” Cain 'utni, “T'eoonuzuszun, si eh sulhutsin ghusli?”
GEN.4.10	'Ink'ez 'utni, “Nts'en'a dainja?” Yun whuts'un nyulhutsin buzkai' sts'un huyih.
GEN.4.11	'Andit 'awet ndi yun mba whutátsi'. Yun dizts'o nla k'ez nyulhutsin buzkai' ook'eijul 'et huwa.
GEN.4.12	Yun gha itanelh te, daltus la hukw'un'a mba ook'ut halhe'untizye. Ndi yun k'ut tandalh whut'oh nunul'i-un 'ink'ez yoh lhuhoot'i'-un tanleh.”
GEN.4.13	'Et Cain 'en Moodihti (Yahweh) 'uyúlhni, “Be sba nahisda-i 'onus sba hoondaz k'et 'aw whulh 'oost'e' ait'oh.
GEN.4.14	'Alha 'andit dzin whuts'un ndi yun k'ut suntinyoot nyunin ba whu'iz 'utist'elh, ndi yun k'ut nunul'i'-un 'ink'ez yoh lhuhoot'i'-un tisleh, 'ink'ez mbe nasilhti-un sutuzilhghelh whe 'unt'oh”.
GEN.4.15	'Et Moodihti (Yahweh) 'uyulhni, “Et huwa, mbe Cain silhghi-un lhtak'ant'it 'uwhultsuk-un ooba k'utitnelh.” Doo ka si Moodihti (Yahweh) 'en Cain ye hoodalh'en khun nahiyilhti 'ink'ez hizoolhghelh whuch'a.
GEN.4.16	'Et Cain Moodihti (Yahweh) ch'a suya 'ink'ez yun k'ut Nod huwhutni-un 'et nenina, ha'nuyeh k'et Eden 'on daz ts'e.
GEN.4.17	'Ink'ez Cain du'at t'einanzin, ulchan 'ink'ez Enoch ooyaz whuzdli. 'Ink'ez keyoh whuti 'uhoonla 'ink'ez duye' boozi', Enoch be hoozi.
GEN.4.18	Irad 'en Enoch ooye' suli' 'ink'ez Irad, Mehujael ooye' suli' 'ink'ez Mehujail 'en Methushael, 'ink'ez Methushael, Lamech ooye' suli'.
GEN.4.19	'Et Lamech nane ts'ekoo ilhchoot, du'atke eni, 'ilhoghun oo'at, Adah boozi' 'ink'ez 'on 'at-un 'en Zillah huyulhni.
GEN.4.20	'Ink'ez Adah, 'en Jabal ooyaz suli'. 'En buzkehkene nimbali bet huwhut'i 'ink'ez khuna-i 'i nulhyeh.
GEN.4.21	Bulhutsin boozi' Jubal, 'en ndi harp 'ink'ez flute hiyulhni 'i be hujun, 'enne ts'iyawh hube 'abá.
GEN.4.22	Zillah, 'en cha buzke hooni. 'Ilhoghun 'en Tubal-Cain hiyulhni. 'En mbe ndi 'utes 'ink'ez dulk'un te 'ink'ez lhuztih bulh yugha khuna 'enne ts'iyawh hubodulh'eh. 'Ink'ez Tubal-Cain bulhtus 'en Naamah ts'utni.
GEN.4.23	'Et Lamech du'atke 'ubulhni,
GEN.4.23	“Adah 'ink'ez Zillah, soo zulhts'ai,
GEN.4.23	dune ka sulhtsi huwa sisghi, chilh hoonts'i sundilhda' hukwa sisghi”.
GEN.4.24	Cain k'utitnelh te, lhtak'ant'it tighan,
GEN.4.24	'et de Lamech lhtak'ant'it whunizyat 'on 'at lhtak'ant'it 'uwhultsuk-un.
GEN.4.25	Adam doo cha du'at t'enanzin whe ooyaz dune suli', 'en Seth yulhni. Eve 'utni, “Yak'usda (Elohim) 'uye' sgha nilhti, 'en Abel yuk'e naidalhti, Cain yuzilhghi-un.”
GEN.4.26	Seth cha ooye' whuzdli', Enosh yulhni. 'Et ndoh dzin dunene Moodihti (Yahweh) boozi' be ka whehuninyih.
GEN.5.1	Ndi 'udustl'us, Adam ts'u haindene ghun 'unt'oh. Yak'usda (Elohim) ndet dzin 'uyinla dzin, Yak'usda (Elohim) ndot'en yulhtsi.
GEN.5.2	Dune 'ink'ez ts'eke bulh 'ubinla 'ink'ez soo hoonzoo-un hubulhni 'ink'ez yun ka dune'ne 'ubinla, dzin 'ubinla-un.
GEN.5.3	'Ink'ez Adam 'ilho whunizyat whunizyat 'on 'at tat whunizyat (130) yus k'ut khuna' 'ink'ez ooye' yundot'en-un ooye' suli', Seth yulhni.
GEN.5.4	Seth ooye' suli' hukw'elh'az, Adam lhk'udit whunizyat whunizyai (800) be yus k'ut hukw'elh'az 'ink'ez ooye'ke, ootse'ke cha whuzdli.
GEN.5.5	Adam khuna' 'uwhuldzoh hana'-un 'ilho hooloh whunizyat whunizyai 'on 'at tat whunizyat (930) yus k'ut khuna' 'et dazsai.
GEN.5.6	Seth 'en 'ilhoh whunizyat whunizyai 'ink'ez kwulat be yus k'ut (105) khuna' whe Enosh ooye' suli'.
GEN.5.7	Enosh ooye' suli' hukw'elh'az, Seth lhk'udit whunizyai lhk'udit 'on 'at lhtak'ant'it (807) be yus k'ut whe ooye'ke 'ink'ez ootse'ke cha whuzdli'.
GEN.5.8	Seth 'ilho hooloh whunizyat whunizyai 'on 'at 'ilho hooloh 'ink'ez 'on 'at nat be yus k'ut (912) whe dazsai.
GEN.5.9	Enosh 'ilho hooloh whunizyat (90) 'ink'ez Cainan ooye' suli'.
GEN.5.10	Cainan ooye' suli' hukw'elh'az lhk'udit whunizyat whunizyai 'on 'at whunizyat 'on 'at kwulat (815) be yus k'ut 'ink'ez ooye'ke 'ink'ez ootse'ke cha whuzdli'.
GEN.5.11	Enosh yinka inda' 'uwhulyiz-un 'ilho hooloh whunizyat whunizyai 'ink'ez kwulai' (905) be yus k'ut whe dazsai.
GEN.5.12	Cainan lhtak'antit whunizyat (70) khana' 'ink'ez Mahaleel ooye' suli'.
GEN.5.13	Maheleel whuzdli hukw'elh'az, Cainan lhk'udit whunizyat whunizyai 'on 'at dit whunizyat (840) be yus k'ut 'ink'ez ooye'ke 'ink'ez ootse'ke cha whuzdli'.
GEN.5.14	'Et Cainan 'ilho hooloh whunizyat whunizyai 'ink'ez whunizyat (910) be yus k'ut 'et dazsai.
GEN.5.15	Mahaleel lhk'utat whunizyat 'on 'at kwulat (65) be yus k'ut, 'ink'ez Jared ooye' suli'.
GEN.5.16	Jared whuzdli hukw'elh'az Mahaleel lhk'udit whunizyat whunizyai 'ink'ez tat whunizyai (830) be yus k'ut 'ink'ez ooye'ke 'ink'ez ootse'ke cha whuzdli'.
GEN.5.17	'Et Mahaleel be yus k'ut lhk'udit whunizyat whunizyai 'ink'ez 'ilho hooloh 'ink'ez kwulat (895) be yus k'ut 'et dazsai.
GEN.5.18	Jared yunka inda' 'ilho whunizyat whunizyai 'ink'ez lhk'utat whunizyat (162) be yus k'ut 'ink'ez nanki Enoch ooye' suli'.
GEN.5.19	Enoch whuzdli hukw'elh'az Jared lhk'udit whunizyat whunizyai (800) be yus k'ut nahitna' 'ink'ez ooye'ke 'ink'ez oots'eke cha whuhuzdli'.
GEN.5.20	Jared be yus k'ut 'ilho hooloh whunizyat whunizyai 'ink'ez lhk'utat 'ink'ez nat (962) be yus k'ut khana' 'ink'ez dazsai.
GEN.5.21	Enoch lhk'utat whunizyat 'ink'ez kwulat (65) be yus k'ut khana' 'ink'ez Methuselah ooye' suli'.
GEN.5.22	Methuselah whuzdli hukw'elh'az Enoch Yak'usda (Elohim) bulh nusa'az tat whunizyat whunizyai (300) be yus k'ut 'ink'ez ooye'ke 'ink'ez ootse'ke cha whuzdli'.
GEN.5.23	Enoch yun ka inda'-un tat whunizyat whunizyai 'on 'at kwulat (365) be yus k'ut 'et khana'.
GEN.5.24	'Ink'ez Enoch Yak'usda (Elohim) bulh nusa'az 'ink'ez hoolel, Yak'usda (Elohim) nayilhchoot huwa.
GEN.5.25	Methuselah 'ilho hooloh whunizyai whunizyat 'ink'ez lhk'udit whunizyat 'on 'at lhtak'ant'it (187) be yus k'ut khuna 'et Lamech ooye' whuzdli'.
GEN.5.26	Lamech whuzdli hukw'elh'az, Methuselah lhtak'ant'it whunizyai whunizyat 'ink'ez lhk'udit whunizyat 'on 'at nanki (782) be yus k'ut whe khuna 'ink'ez ooye'ke 'ink'ez ootse'ke cha whuzdli'.
GEN.5.27	'Et Methuselah 'ilho hooloh whunizyat whunizyai 'ink'ez lhk'utat whunizyat whunizyai 'ink'ez lhk'utat whunizyai 'on 'at 'ilho hooloh (969) be yus k'ut whe dazsai.
GEN.5.28	Lamech 'en 'ilhoh whunizyai whunizyat 'ink'ez lhk'udit whunizyat 'on 'at nanki (182) be yus k'ut suli' 'ink'ez 'ilhoghun ooye' suli'.
GEN.5.29	'Ink'ez, Nowe be yoozi 'ink'ez 'utni, “Ndun 'en si k'unenunoo'ah neye 'ut'en ha 'ink'ez neba be oogha ts'ana-i, yun Moodihti (Yahweh) ye k'ehanya 'et huwa”.
GEN.5.30	Nowe yun ka neninya hukw'elh'az kwulat whunizyat whunizyai 'ink'ez 'ilho hooloh whunizyai 'ink'ez kwulat (595) be yus k'ut suli' 'et ooye'ke 'ink'ez ootse'ke cha whuhuzdli.
GEN.5.31	Lamech khana' nduwhulyiz-un lhtak'ant'it whunizyai whunizyat 'ink'ez lhtak'ant'it whunizyat 'on 'at lhtak'ant'it (777) be yus k'ut 'et dazsai.
GEN.5.32	'Ink'ez Nowe kwulat whunizyai whunizyat (500) be yus k'ut whe Shem, Ham 'ink'ez Japheth 'enne ooye'ke suli'.
GEN.6.1	'Et 'uhooja, ndi yun k'ut dune 'awet nus za 'uhuniltsuk whe 'ink'ez ts'ekoo bubuzkeh suli'.
