GEN.1.4	Dieu vit que la lumière était bonne, et Dieu sépara la lumière et les ténèbres. 
GEN.5.27	La totalité des jours de Mathusalem fut de neuf cent soixante-neuf ans ; puis il mourut.
GEN.5.28	Lémek vécut cent quatre-vingt-deux ans, puis il engendra un fils. 
GEN.5.29	Il l’appela du nom de Noé, en disant : Celui-ci nous consolera de notre travail et de la peine de nos mains sur cette terre que le S
GEN.5.30	Après la naissance de Noé, Lémek vécut cinq cent quatre-vingt-quinze ans ; il engendra des fils et des filles. 
GEN.5.31	La totalité des jours de Lémek fut de sept cent soixante-dix-sept ans ; puis il mourut.
GEN.6.2	les fils de Dieu virent que les filles des humains étaient belles et ils prirent pour femmes toutes celles qu’ils choisirent. 
GEN.6.3	Alors le S
GEN.6.4	En ces jours-là – et encore après cela – les Nephilim étaient sur la terre, lorsque les fils de Dieu vinrent vers les filles des humains et qu’elles leur donnèrent des enfants : ce sont là les héros d’autrefois, les hommes de renom.
GEN.6.6	Le S
GEN.6.7	Le S
GEN.6.8	Mais Noé trouva grâce aux yeux du S
GEN.6.10	Noé engendra trois fils : Sem, Cham et Japhet. 
GEN.6.11	La terre était pervertie aux yeux de Dieu, la terre était pleine de violence. 
GEN.6.12	Dieu vit que la terre était pervertie, car tous s’étaient pervertis sur la terre.
GEN.6.14	Fais-toi une arche en bois de résineux ; tu diviseras cette arche en cellules et tu la couvriras d’un enduit, au dedans et au dehors. 
GEN.6.15	Voici comment tu la feras : l’arche aura trois cents coudées de longueur, cinquante coudées de largeur et trente coudées de hauteur. 
GEN.6.16	Tu feras à l’arche une ouverture d’une coudée, disposée tout en haut ; tu placeras la porte de l’arche sur le côté ; tu feras un étage inférieur, un deuxième et un troisième. 
GEN.6.17	Quant à moi, je fais venir sur la terre le déluge – les eaux – pour anéantir tous ceux qui ont souffle de vie sous le ciel ; tout ce qui est sur la terre périra. 
GEN.6.18	Mais j’établirai mon alliance avec toi ; tu entreras dans l’arche, toi, tes fils, ta femme et les femmes de tes fils avec toi. 
GEN.6.19	De toutes les sortes d’êtres vivants, tu feras entrer dans l’arche deux de chaque espèce, pour qu’ils restent en vie avec toi : un mâle et une femelle. 
GEN.6.20	De chaque espèce parmi les oiseaux, le bétail et toutes les bestioles qui fourmillent sur la terre, un couple viendra vers toi pour rester en vie. 
GEN.6.21	Et toi, prends de tout ce qui se mange et fais-t’en des provisions ; cela te servira de nourriture, ainsi qu’à eux. 
GEN.6.22	Noé fit exactement ce que Dieu lui avait ordonné. Ainsi fit-il.
GEN.7.2	De toutes les bêtes pures, prends sept couples, le mâle et sa femelle ; des bêtes qui ne sont pas pures, un couple, le mâle et sa femelle ; 
GEN.7.3	aussi des oiseaux du ciel, sept couples, mâle et femelle, afin de garder en vie leur descendance sur toute la terre. 
GEN.7.4	Encore sept jours, en effet, et je vais faire venir la pluie sur la terre quarante jours et quarante nuits ; j’effacerai de la terre tous les êtres que j’ai faits. 
GEN.7.5	Noé fit exactement ce que le S
GEN.7.7	Noé entra dans l’arche, lui et ses fils, sa femme et les femmes de ses fils avec lui, pour échapper aux eaux du déluge. 
GEN.7.8	Des bêtes pures et des bêtes impures, des oiseaux et de tout ce qui fourmille sur la terre, 
GEN.7.9	il en vint vers Noé, deux par deux, un mâle et une femelle, pour entrer dans l’arche, comme Dieu l’avait ordonné à Noé. 
GEN.7.10	Sept jours après, les eaux du déluge étaient sur la terre. 
GEN.7.11	L’an six cent de la vie de Noé, le dix-septième jour du deuxième mois, en ce jour-là toutes les sources du grand abîme jaillirent, et les fenêtres du ciel s’ouvrirent. 
GEN.7.12	Il y eut de la pluie sur la terre quarante jours et quarante nuits. 
GEN.7.13	Ce jour même Noé, Sem, Cham et Japhet, fils de Noé, la femme de Noé et les trois femmes de ses fils avec eux entrèrent dans l’arche 
GEN.7.14	avec tous les animaux sauvages selon leurs espèces, tout le bétail selon ses espèces, toutes les bestioles qui fourmillent sur la terre selon leurs espèces, tous les oiseaux selon leurs espèces, tout ce qui vole et qui a des ailes ; 
GEN.7.15	de tout ce qui avait souffle de vie, il en vint vers Noé, deux par deux, pour entrer dans l’arche. 
GEN.7.16	Ceux qui vinrent, mâle et femelle, de toute sorte, entrèrent, comme Dieu l’avait ordonné à Noé. Puis le S
GEN.7.17	Il y eut le déluge sur la terre pendant quarante jours. Les eaux montèrent et emportèrent l’arche, qui fut soulevée au-dessus de la terre. 
GEN.7.18	Les eaux grossirent et montèrent énormément sur la terre, et l’arche s’en alla sur les eaux. 
GEN.7.19	Les eaux grossirent de plus en plus sur la terre. Toutes les hautes montagnes qui sont sous le ciel furent recouvertes. 
GEN.7.20	Les eaux montèrent quinze coudées plus haut, et les montagnes furent recouvertes. 
GEN.7.21	Tout ce qui fourmillait sur la terre périt, tant les oiseaux que le bétail et les animaux, toutes les petites bêtes qui grouillaient sur la terre, et tous les humains. 
GEN.7.22	Tout ce qui avait souffle de vie dans les narines et qui était sur la terre ferme mourut. 
GEN.7.23	Dieu effaça tous les êtres qui étaient sur la terre : depuis les humains jusqu’au bétail, aux bestioles et aux oiseaux du ciel, ils furent effacés de la terre. Il ne resta que Noé et ceux qui étaient avec lui dans l’arche. 
GEN.7.24	Les eaux grossirent sur la terre pendant cent cinquante jours.
GEN.8.2	Les sources de l’abîme et les fenêtres du ciel se fermèrent, et la pluie fut arrêtée depuis le ciel. 
GEN.8.3	Les eaux se retirèrent de la terre peu à peu ; les eaux diminuèrent au bout de cent cinquante jours. 
GEN.8.4	Le dix-septième jour du septième mois, l’arche se posa sur les montagnes d’Ararat. 
GEN.8.5	Les eaux allèrent en diminuant jusqu’au dixième mois. Le premier jour du dixième mois, les sommets des montagnes apparurent. 
GEN.8.6	Au bout de quarante jours, Noé ouvrit la fenêtre qu’il avait faite à l’arche. 
GEN.8.7	Il lâcha le corbeau, qui sortit et revint à plusieurs reprises, jusqu’à ce que les eaux aient séché sur la terre. 
GEN.8.8	Il lâcha la colombe pour voir si les eaux avaient baissé sur la terre. 
GEN.8.9	Mais la colombe ne trouva pas de quoi se poser et revint à lui dans l’arche, car il y avait de l’eau sur toute la terre. Il tendit la main, la prit et la fit rentrer auprès de lui dans l’arche. 
GEN.8.10	Il attendit encore sept autres jours et lâcha de nouveau la colombe hors de l’arche. 
GEN.8.11	La colombe revint à lui sur le soir : elle tenait dans son bec une feuille d’olivier toute fraîche ! Noé sut ainsi que les eaux avaient baissé sur la terre. 
GEN.8.12	Il attendit encore sept autres jours, puis il lâcha la colombe. Mais elle ne revint plus à lui. 
GEN.8.13	L’an six cent un, le premier jour du premier mois, les eaux avaient séché sur la terre. Noé retira la couverture de l’arche et vit que la terre avait séché. 
GEN.8.14	Le vingt-septième jour du deuxième mois, la terre était sèche.
GEN.8.15	Alors Dieu dit à Noé : 
GEN.8.16	Sors de l’arche, toi, ta femme, tes fils et les femmes de tes fils avec toi. 
GEN.8.17	Tous les animaux qui sont avec toi, de toute sorte, tant les oiseaux que le bétail, et toutes les bestioles qui fourmillent sur la terre, fais-les sortir avec toi : qu’ils peuplent la terre, qu’ils soient féconds et se multiplient sur la terre ! 
GEN.8.18	Noé sortit, lui, ses fils, sa femme et les femmes de ses fils avec lui. 
GEN.8.19	Tous les animaux, toutes les bestioles, tous les oiseaux et tout ce qui fourmille sur la terre, tous ceux-là sortirent de l’arche, famille par famille.
GEN.8.21	Le S
GEN.8.22	les semailles et la moisson,
GEN.8.22	le froid et la chaleur,
GEN.8.22	l’été et l’hiver,
GEN.8.22	le jour et la nuit
GEN.8.22	ne cesseront pas.
GEN.9.2	Vous inspirerez de la crainte et de la terreur à tout animal de la terre, à tout oiseau du ciel, à tout ce qui fourmille sur la terre et à tous les poissons de la mer : ils vous ont été livrés. 
GEN.9.3	Tout ce qui fourmille et qui vit vous servira de nourriture : comme les végétaux, je vous donne tout cela. 
GEN.9.4	Seulement, vous ne mangerez pas de chair avec sa vie, c’est-à-dire avec son sang. 
GEN.9.5	De plus, je réclamerai votre sang, pour votre vie ; je le réclamerai à tout animal ; et je réclamerai à chaque être humain la vie de l’homme qui est son frère.
GEN.9.6	par l’être humain son sang sera répandu.
GEN.9.6	Car à l’image de Dieu
GEN.9.6	l’homme a été fait.
GEN.9.7	peuplez la terre et multipliez-vous sur elle.
GEN.9.8	Dieu dit encore à Noé et à ses fils avec lui : 
GEN.9.9	Quant à moi, j’établis mon alliance avec vous et avec votre descendance après vous, 
GEN.9.10	avec tous les êtres vivants qui sont avec vous, tant les oiseaux que le bétail et tous les animaux sauvages, avec tous ceux qui sont sortis de l’arche, avec tous les animaux sauvages. 
GEN.9.11	J’établis mon alliance avec vous : tous les êtres ne seront plus retranchés par les eaux du déluge, et il n’y aura plus de déluge pour anéantir la terre. 
GEN.9.12	Dieu dit : Voici le signe de l’alliance que je place entre moi et vous, ainsi que tous les êtres vivants qui sont avec vous, pour toutes les générations, pour toujours : 
GEN.9.13	je place mon arc dans la nuée, et il sera un signe d’alliance entre moi et la terre. 
GEN.9.14	Quand j’aurai rassemblé des nuages au-dessus de la terre, l’arc apparaîtra dans la nuée, 
GEN.9.15	et je me souviendrai de mon alliance entre moi et vous, ainsi que tous les êtres vivants, et les eaux ne se transformeront plus en déluge pour anéantir tous les êtres. 
GEN.9.16	L’arc sera dans la nuée, et je le regarderai pour me souvenir de l’alliance perpétuelle entre Dieu et tous les êtres vivants qui sont sur la terre. 
GEN.9.17	Dieu dit à Noé : Tel est le signe de l’alliance que j’établis entre moi et tous ceux qui sont sur la terre.
GEN.9.19	Ces trois-là sont les fils de Noé. C’est à partir d’eux qu’on se dispersa sur toute la terre.
GEN.9.21	Il but du vin, s’enivra et s’exposa nu à l’intérieur de sa tente. 
GEN.9.22	Cham, père de Canaan, vit la nudité de son père et le raconta au dehors à ses deux frères. 
GEN.9.23	Alors Sem et Japhet prirent le manteau, le mirent tous deux sur leurs épaules, marchèrent à reculons et recouvrirent la nudité de leur père ; comme ils détournaient le visage, ils ne virent pas la nudité de leur père. 
GEN.9.24	Lorsque Noé se réveilla de son vin, il apprit ce que lui avait fait son fils cadet. 
GEN.9.25	Il dit alors :
GEN.9.25	Maudit soit Canaan !
GEN.9.25	Qu’il soit l’esclave des esclaves de ses frères !
GEN.9.26	Béni soit le S
GEN.9.26	et que Canaan soit son esclave !
GEN.9.27	Qu’il demeure dans les tentes de Sem,
GEN.9.27	et que Canaan soit son esclave !
GEN.9.29	La totalité des jours de Noé fut de neuf cent cinquante ans ; puis il mourut.
GEN.10.3	Les fils de Gomer : Ashkenaz, Riphath et Togarma. 
GEN.10.4	Les fils de Grèce : Elisha et Tarsis, Chypre et Rhodes. 
GEN.10.5	C’est par eux qu’ont été peuplées les îles des nations dans leurs pays, chacun selon sa langue, clan par clan, dans leurs nations.
GEN.10.7	Les fils de Koush : Seba, Havila, Sabta, Rama et Sabteka. Les fils de Rama : Saba et Dedân. 
GEN.10.8	Koush engendra aussi Nemrod ; c’est lui qui, le premier, fut un héros sur la terre. 
GEN.10.9	Il fut un vaillant chasseur devant le S
GEN.10.10	Il régna d’abord sur Babylone, Erek, Akkad et Kalné, au pays de Shinéar. 
GEN.10.11	De ce pays-là il sortit vers l’Assyrie ; il bâtit Ninive, la ville de Rehoboth, Kalah 
GEN.10.12	et Résen, entre Ninive et Kalah : c’est la grande ville. 
GEN.10.13	Egypte engendra les Loudites, les Anamites, les Lehabites, les Naphtouhites, 
GEN.10.14	les Patrosites, les Kaslouhites, d’où sont sortis les Philistins, et les Kaphtorites.
GEN.10.16	et les Jébusites, les Amorites, les Guirgashites, 
GEN.10.17	les Hivvites, les Arqites, les Sinites, 
GEN.10.18	les Arvadites, les Tsemarites, les Hamatites. Ensuite, les clans des Cananéens se dispersèrent. 
GEN.10.19	Le territoire des Cananéens s’étendit depuis Sidon, du côté de Guérar, jusqu’à Gaza, et, du côté de Sodome, de Gomorrhe, d’Adma et de Tseboïm, jusqu’à Lésha. 
GEN.10.20	Ce sont là les fils de Cham, clan par clan, langue par langue, dans leurs pays, dans leurs nations.
GEN.10.22	Les fils de Sem furent : Elam, Assyrie, Arpakshad, Loud et Aram. 
GEN.10.23	Les fils d’Aram : Outs, Houl, Guéter et Mash. 
GEN.10.24	Arpakshad engendra Shélah, et Shélah engendra Héber. 
GEN.10.25	D’Héber il naquit deux fils : le nom du premier était Péleg, parce qu’en ses jours la terre fut partagée, et le nom de son frère était Yoqtân. 
GEN.10.26	Yoqtân engendra Almodad, Shéleph, Hatsarmaveth, Yerah, 
GEN.10.27	Hadoram, Ouzal, Diqla, 
GEN.10.28	Obal, Abimaël, Saba, 
GEN.10.29	Ophir, Havila et Yobab. Tous ceux-là sont les fils de Yoqtân. 
GEN.10.30	Leurs lieux d’habitation s’étendent depuis Mésha, du côté de Sephar, jusqu’aux montagnes de l’est.
GEN.10.32	Voilà les clans des fils de Noé, selon leur généalogie, dans leurs nations. C’est à partir d’eux que les nations se sont réparties sur la terre après le déluge.
GEN.11.2	Partis de l’est, ils trouvèrent une vallée au pays de Shinéar, et ils s’y installèrent. 
GEN.11.3	Ils se dirent l’un à l’autre : Faisons donc des briques et cuisons-les au feu ! La brique leur servit de pierre et le bitume leur servit de mortier. 
GEN.11.4	Ils dirent alors : Bâtissons-nous donc une ville et une tour dont le sommet atteigne le ciel, et faisons-nous un nom, afin que nous ne nous dispersions pas sur toute la terre ! 
GEN.11.5	Le S
GEN.11.6	Le S
GEN.11.7	Descendons donc, et là, brouillons leur langue, afin qu’ils ne comprennent plus la langue les uns des autres ! 
GEN.11.8	Le S
GEN.11.9	C’est pourquoi on l’a appelée du nom de Babylone (« Brouillage »), car c’est là que le S
GEN.11.11	Après la naissance d’Arpakshad, Sem vécut cinq cents ans ; il engendra des fils et des filles.
GEN.11.13	Après la naissance de Shélah, Arpakshad vécut quatre cent trois ans ; il engendra des fils et des filles.
GEN.11.15	Après la naissance de Héber, Shélah vécut quatre cent trois ans ; il engendra des fils et des filles.
GEN.11.17	Après la naissance de Péleg, Héber vécut quatre cent trente ans ; il engendra des fils et des filles.
GEN.11.18	Péleg vécut trente ans, puis il engendra Réou. 
GEN.11.19	Après la naissance de Réou, Péleg vécut deux cent neuf ans ; il engendra des fils et des filles.
GEN.11.20	Réou vécut trente-deux ans, puis il engendra Seroug. 
GEN.11.21	Après la naissance de Seroug, Réou vécut deux cent sept ans ; il engendra des fils et des filles.
GEN.11.22	Seroug vécut trente ans, puis il engendra Nahor. 
GEN.11.23	Après la naissance de Nahor, Seroug vécut deux cents ans ; il engendra des fils et des filles.
GEN.11.24	Nahor vécut vingt-neuf ans, puis il engendra Térah. 
GEN.11.25	Après la naissance de Térah, Nahor vécut cent dix-neuf ans ; il engendra des fils et des filles.
GEN.11.28	Harân mourut devant Térah, son père, au pays de ses origines, à Our-des-Chaldéens. 
GEN.11.29	Abram et Nahor prirent femme ; la femme d’Abram se nommait Saraï, et la femme de Nahor Milka, fille de Harân, père de Milka et père de Yiska. 
GEN.11.30	Saraï était stérile : elle n’avait pas d’enfant. 
GEN.11.31	Térah prit son fils Abram, son petit-fils Loth, fils de Harân, et sa belle-fille Saraï, femme d’Abram, son fils. Ils quittèrent ensemble Our-des-Chaldéens pour se rendre en Canaan. Ils arrivèrent à Harrân et ils s’y installèrent. 
GEN.11.32	Les jours de Térah furent de deux cent cinq ans ; puis Térah mourut à Harrân.
GEN.12.2	Je ferai de toi une grande nation et je te bénirai ; je rendrai ton nom grand, et tu seras une bénédiction. 
GEN.12.3	Je bénirai ceux qui te béniront, je maudirai celui qui te maudira. Tous les clans de la terre se béniront par toi. 
GEN.12.4	Abram partit, comme le S
GEN.12.5	Abram prit Saraï, sa femme, et Loth, son neveu, avec tous les biens et les gens qu’ils avaient acquis à Harrân. Ils partirent pour Canaan, et ils arrivèrent en Canaan. 
GEN.12.6	Abram traversa le pays jusqu’au lieu de Sichem, jusqu’au térébinthe de Moré. Les Cananéens étaient alors dans le pays. 
GEN.12.7	Le S
GEN.12.8	Puis il leva le camp pour se rendre dans la montagne, à l’est de Beth-El ; il dressa sa tente entre Beth-El, à l’ouest, et le Aï, à l’est. Il bâtit là un autel pour le S
GEN.12.9	Abram repartit, en se rendant par étapes vers le Néguev.
GEN.12.11	Lorsqu’il fut près d’arriver en Egypte, il dit à Saraï, sa femme : Je sais que tu es une belle femme. 
GEN.12.12	Quand les Egyptiens te verront et qu’ils diront : « C’est sa femme ! », ils me tueront, et toi, ils te laisseront la vie. 
GEN.12.13	Dis que tu es ma sœur, je te prie, afin que je sois bien traité à cause de toi, et que grâce à toi j’aie la vie sauve. 
GEN.12.14	Lorsque Abram arriva en Egypte, les Egyptiens virent que la femme était fort belle. 
