MAT.1.1	Abraham tapa, David tapa, Jesu Khrist khanggui thu bu. 
MAT.1.20	Hizongleh ama’n hi thute a ngaihtuah laiin, a mang in Lalpa angel a kawmah ahung kilaah a, "Joseph, nang David tapa, na ji Mari kiteenpih diing lau sin; ajiahchu a naupaai hi Hagau Siangthou apat ahi. 
MAT.1.21	Tapa ahung nei diing a, a min Jesu na sa diing hi ajiahchu Ama’n a mite a sualna vapat a hundam diing hi," a chi hi. 
MAT.1.22	"Huleh hi sil zousiah chu Lalpa’n zawlnei kama ana soite a taangtunna diing a hung um ahi. 
MAT.1.23	Ngai un, nungaah siangthou a gaai diing a, tapa a nei diing a, a min Immanuel a chi diing uh, huchu i kawmah Pathian a um chihna ahi." 
MAT.1.24	Huin Joseph chu ihmu a thou a, Lalpa angel in thu a piah bangin a bawl a, a ji chu a kiteenpihta hi. 
MAT.1.25	Hizongleh amahnu in a tapa masapen ahung neihkhiah masiah a luppih sih; huleh a min Jesu a sata hi.
MAT.2.1	Huchi'n kumpipa Herod lal laia Judia gam a Bethlehem khua a Jesu ahung pian in, ngai un, suahlam akipanin mipilte Jerusalem ah a hung va 
MAT.2.2	Khoiah ahiai Judate Kumpipa piang chu? Suahlam ah a aahsi ka mu va, amah be diing a hung ka hi uh, a chi va. 
MAT.2.3	Kumpipa Herod in hichu a zaah tahin a lungdong a, huleh Jerusalem a mi zousiah zong amah toh a lungdong uhi. 
MAT.2.4	Huleh siampu lalte leh mite lehkhagialtute zousiah a koukhawm a, Khrist pianna diing khoitah ahiai chih a dong a. 
MAT.2.5	Huleh amahun a kawmah, Judia gam a Bethlehem khua ah; ajiahchu zawlnei in hichibangin ana gial hi, 
MAT.2.6	"Nang Juda gam a Bethlehem, Juda khopite lahah na neupen hial sih hi; ajiahchu na sung apatin optu hungdoh diing ahi, ka mi Israel veengtu diingin, chi'n," a chi va. 
MAT.2.7	Huin Herod in mipilte a guuh kouh a, aahsi kilat hun a dong chianta a; 
MAT.2.8	Huleh amahuh chu Bethlehem ah a sawl a, "Chiah unla naungeeh thu chiantahin va kankhia un; huleh na muhtah chiangun kei zong ka hung biah ve theihna diingin hung hilh kiit un," a chi a 
MAT.2.9	Amahun kumpipa thu a zaah zohun a kipankheta va; huleh ngai in, suahlama a muh uh aahsi chu naungeeh umna tung zawn a tun a, a khawl masiah a ma vah a pai jel hi 
MAT.2.10	Amahun aahsi chu a muhun nasatahin a kipaah uhi. 
MAT.2.11	Huleh inn sungah a luut va, naungeeh a nu Mari toh um chu a mu va, huleh a khupboh va, a beta uhi; huleh a goubawmte uh hong in a kawmah sana leh, begaw leh murrah kipaahna in a pia uhi. 
MAT.2.12	Huleh Herod kawma kilehkiit lou diing a Pathian in a mang va a thuhilh jiahin lampi tuam juiin a kholam vah a chiahta uhi.
MAT.2.13	Huleh amahuh a chiah nungin, ngai in, Lalpa angel chu Joseph kawmah a mang in a kilaah a, "Thou inla, naungeeh leh a nu pui inla, Aigupta gam ah tai in, huleh ka hung hilh kiit masiah hutah ah um zing in: ajiahchu Herod in naungeeh chu suhlup diing a hawl diing ahi," a chi a 
MAT.2.14	Huleh amah chu a thoh in naungeeh leh a nu chu a pui a, ajan ajan in Aigupta lamah a chiahta hi. 
MAT.2.15	Huleh Herod a sih masiah hutah ah a um zing a; Lalpa’n zawlnei kama, "Aigupta gam apat ka Tapa ka koudohta," chia a soi ahung taangtun theihna diingin.
MAT.2.16	Huin Herod in mipilte’n a heem uh chih a heet in nasatahin a lungthah a, huchi'n mi a sawl a, mipilte kawma a hun thu a dohchian bangtahin Bethlehem leh a kiimvel zousiah a naupang kum nih leh a nuailam zousiah a thatta hi. 
MAT.2.17	Hulaiin zawlnei Jeremiah in hichibanga ana soi chu ahung taangtungta hi, 
MAT.2.18	Rama khua ah thawm a kija, misi ngaia kah leh maauna nasatah bang, Rachel in a tate a kah a, a um nawn louh jiahun a hamuantheihta sih, a chih chu.
MAT.2.19	Hizongleh Herod a sih phetin, ngai in, Aigupta gam ah Lalpa angel khat Joseph kawmah a mang in a kilaah a, 
MAT.2.20	Thou inla, naungeeh leh a nu chu pui inla, Israel gam ah chiah in; ajiahchu naungeeh thah tumte a sita uh, a chi a 
MAT.2.21	Huin amah chu a thou a, naungeeh leh a nu chu a pui a, Israel gam ah a hungta hi. 
MAT.2.22	Hizongleh Arkelaus chu Judia gam ah a pa Herod munah a lal hi chih a jahin hu lamah a chiah ngamta sih a, a manga Pathian in a thuhilh jiahin Galili gam lamah a kilehheita hi. 
MAT.2.23	Huleh a hung a Nazareth kichi khopi khat ah a teengta hi: zawlneite’n, Amah chu Nazareth mi a chi diing uh, chia a soi uh a taangtun theihna diingin.
MAT.3.1	Hu hun laiin Baptistu John chu Judia gamdai ah thu soi in a hung a, 
MAT.3.2	Kisiih un; ajiahchu vaan lalgam a naita hi, chia soi in. 
MAT.3.3	Amah chu ahi, zawlnei Isaiah in, Gamdaai a mi kikou aw in, 'Lalpa lamlian sial unla, a lampite hihtang un,' a chi hi, chia ana soi chu. 
MAT.3.4	Huleh hu John in chu sangawngsaau mul puan a silh a, a kawng savun kawnggaah in a gaah a; huleh a an chu khaukhup leh gam khuaizu ahi. 
MAT.3.5	Huin Jerusalem leh Judia gam pumpi leh Jordan kiimvela umte zousiah a kawmah a chiah va, 
MAT.3.6	A sualte uh thupha tawi in Jordan lui ah amah baptisma tansah in a umta uhi. 
MAT.3.7	Hizongleh ama’n Pharisaite leh Sadukaite tampi a kawma baptisma tang diing a hung a muh tahin, a kawm vah, Guul suante aw, lungthahna hung tung diing taisan diingin kua’n ahung thuhilh ei? 
MAT.3.8	Hujiahin kisiihna min putaahin gah suang un; 
MAT.3.9	Huleh Abraham ka pu uh ahi chi'n kingaihtuah sih un; ajiahchu Pathian in hi suang te haw Abraham tate in a dingsah thei hi, chih ka hung hilh ahi. 
MAT.3.10	Huleh tuin zong singbul chinah heita koih ahita hi; hujiahin sing chin gah hoiha gah lou photmah chu kiphuuha mei a kipaailuut veu ahi. 
MAT.3.11	Ke'n chu kisiihna diingin tui in ka hung baptis ngei a; hizongleh ka nunga hungpa chu kei sangin a loupizaw a, A keengtophah tawi taah zong ka hi sih hi; Ama’n chu Hagau Siangthou leh mei in nanguh ahung baptis diing hi. 
MAT.3.12	A khut in a pasiseep a tawi a, a phual chu a japsiang tinten diing; huleh a buhte chu a pangah a koihkhawm diing a; hizongleh a sii chu mei mitthei lou in a haaltum diing hi, a chi hi.
MAT.3.13	Huin Jesu chu John kawma baptisma tang diingin Galili gam a kipanin Jordan lui ah a kawmah a hung a; 
MAT.3.14	Hizongleh John in, "Kei na hung baptis kiphamohzaw hi’ng a, nang kei kawma hung na hi maw?" chi'n ana khaam hi. 
MAT.3.15	Huleh Jesu’n a dawng a, a kawmah, Tuin chu huchih diing lemsa haam in; ajiahchu huchibanga dihtatna zousiah bawl bukim chu ei diing a kilawm ahi, a chi a. Huin lem a sata hi. 
MAT.3.16	Huleh Jesu chu baptisma a tan zohin tui a kipanin a pawtdohpah a; huleh, ngai in, vaan amah diingin ahung kihong a, Pathian Hagau chu vakhu banga hung kumsuh in a tunga hungtu chu a mu a; 
MAT.3.17	Huleh ngai in, vaan a kipanin aw in, "Hi ka Tapa deihtah, ka kipaahna mahmah ahi, a chi hi.
MAT.4.1	Hu nungin Jesu chu diabol heema um diingin gamdai ah Hagau puiluut in a umta a. 
MAT.4.2	Huleh suun sawmli leh jan sawmli an ngawla a um nungin a gil ahung kialta a. 
MAT.4.3	Huin heemtu chu a hung a, a kawmah, Pathian Tapa na hih leh hi suang te tanghou suaah diingin thu pia in," a chi a. 
MAT.4.4	Hizongleh ama’n a dawng a, Mihing tanghou chauh in a hing sih diing a, Pathian kama thu chin pawt in a hing zaw diing chih gelh ahi, a chi hi 
MAT.4.5	Huin diabol in amah chu khopi siangthou ah a puitou a, Pathian biahinn siipzum ah a koih a, 
MAT.4.6	Huleh a kawmah, Pathian Tapa na hih leh kikekhesah in; ajiahchu hichibanga gelh ahi, Ama’n na tungtaang thu ah a angelte thu a pe diing a, a khut un ahung dom diing uh; huchilou inchu na keeng in suang khat na suikha zenzen diing, a chi a. 
MAT.4.7	Jesu’n a kawmah, Lalpa na Pathian ze-et sin chih gelh ahi jel hi, a chi a. 
MAT.4.8	Huleh diabol in amah chu taang saangpi khat tungah a pui kiit a, khovel lalgam zousiah leh a loupina uh a ensah a; 
MAT.4.9	Huleh a kawmah, Khupbohin hung be lechin hite zousiah ka hung pe diing hi, a chi a. 
MAT.4.10	Huin Jesu’n a kawmah, Hitah apatin chiah mang in, Setan; Lalpa na Pathian chu na biah diing a, amah nna chauh natoh diing ahi, chih gelh ahi, a chi hi. 
MAT.4.11	Huzohin diabol in a nuseta a, huleh ngai in, angelte a hung va, a nna a tohsahta uhi.
MAT.4.12	Huchi'n John ankuang ah a khum uh chih Jesu’n a jah tahin Galili gam lamah a chiahta a. 
MAT.4.13	Huleh Nazareth khua nusia in, Zebulon leh Nephthalim gamkaih sunga um tuipi gei a um Kapernaum khua ah a va teengta hi. 
MAT.4.14	Zawlnei Isaiah in hichibanga ana thusoite ahung taangtun theihna diingin ahi, 
MAT.4.15	Tuipi lama Jordan gaal a, Zebulon gam leh Nephthalim gam, Jentelte Galili; 
MAT.4.16	Mial a tou mite’n vaah loupitah a mu uh; huleh sihna gam leh liima toute tungah vaah ahung suaahta hi, a chih chu, chi'n.
MAT.4.17	Hu huna kipanin Jesu in, Kisiih un; ajiahchu vaan lalgam a naita hi, chi'n thusoi a panta a. 
MAT.4.18	Huleh Jesu’n, Galili tuipi geia a vaah laiin, Peter kichi Simon leh, a sanggampa Andru tuipi a leensep a um a mu a; ajiahchu amahuh ngaman mi him ahi uhi. 
MAT.4.19	Huleh ama’n a kawmvah, Hung jui un, mihing mantuin ka hung siam diing, a chi a. 
MAT.4.20	Huleh amahun a leente uh nusepahin amah a juita uhi. 
MAT.4.21	Huleh hu a kipana chiah jelin, unau dang nih Zebedi tapate Jakob leh a sanggampa John chu a pa uh Zebedi toh kuang sunga a leente uh phoh a um a mu a; huleh amahuh a kou hi. 
MAT.4.22	Huleh amah un kuang leh a pa uh a nusepah va, amah a juita uhi.
MAT.4.23	Huleh Jesu chu Galili gam pumpi ah a vaah lehleh a, a kikhopna inn bang vah thu a hilh a, lalgam tanchinpha soi in, mite laha natna chinteng leh damlouhna chinteng a sudam jel hi. 
MAT.4.24	Huleh Syria gam pumpi ah a min a thangta a; huleh amahun natna chi tuamtuam a damlou zousiah leh dawi matte, sibup veite leh zengte a kawmah ahung pui va, ama’n ana sudam jel hi. 
MAT.4.25	Huleh Amah chu Galili apat bang, Dekapoli apat bang, Jerusalem apat bang, Judia apat bang leh Jordan gallam apat banga hung mipi nasatahin a jui uhi.
MAT.5.1	Huleh mipite a muh in taang ah a kaltou a, a tou a, a nungjuite a kawmah a hung va; 
MAT.5.2	Huleh ama’n a kam a kaah a, amahuh thu a hilh a;
MAT.5.3	Hagau a gentheite a hampha uhi: vaan lalgam amahuh diing ahih jiahin. 
MAT.5.4	Lungngaite a hampha uhi: hamuanna um diing ahih jiahun. 
MAT.5.5	Thunuaigolhte a hampha uhi; Leigou luah diing ahih jiahun. 
MAT.5.6	Dihtatna lama gilkial a dangtaahte a hampha uhi: tai diing ahih jiahun. 
MAT.5.7	Zahngai theite a hampha uhi: zahngaihna tang diing ahih jiahun. 
MAT.5.8	Lungsima siangthoute a hampha uhi; Pathian mu diing ahih jiahun. 
MAT.5.9	Lemna siamtute a hampha uhi; Pathian tate chih a um diing ahih jiahun. 
MAT.5.10	Dihtatna jiaha soih a umte a hampha uhi; vaan lalgam amahuh a diing ahih jiahin. 
MAT.5.11	Mi’n keimah jiaha ahung housiat va, ahung soih va, zuau a gilou chintenga ahung heeh hun chiangun na hampha uhi. 
MAT.5.12	Nuam unla, nasatahin kipaah un; vaan ah na kipaahman diing uh a tam mahmah ngal a; na ma va zawlnei umte zong hitobangin ana sawi veu uhi.
MAT.5.13	Lei chi na hi uh; hizongleh chi chu data leh bangin a kisu-al kiitta diai? huchia’n a panna a umta sih diing a, paihdoh a mite totchil diing ahi giapta hi. 
MAT.5.14	Khovel vaah na hi uh; taang tunga khopi um chu a kiphual thei sih hi. 
MAT.5.15	Mi’n thaumei de in loh a khuhkhum ngei sih uh, a tunna ah a koih zaw uhi; huchi'n inn sunga mi um zousiah a salhvaah hi. 
MAT.5.16	Hutobangin na vaah uh mi mitmuh in vaah heh, huchi'n amahun na natoh hoihte uh a mu diing va, na Pa uh vaan a um chu a paahtawi thei diing uhi.
MAT.5.17	Daan thu aha, zawlneite thu aha sumang diing a hung ahi chi'n hung ngaihtuah sih un; a sumang diing a hung ka hi sih a, sutaangtung diing a hung ka hi zaw hi. 
MAT.5.18	Chihtahzetin na kawmvah ka soi ahi, Vaan leh lei a man masiah daan thu a sutvom neucha aha, thaivom neuchakhat zong a mang sih diing, a bawn a, a taangtun kim masiah in. 
MAT.5.19	Hujiahin koipouh hi thupiah neupente laha khat mai zong susia a, hutobanga bawl diing a mite hilh chu vaan lalgam ah mi neupen ahi diing hi; hizongleh koipouh jui a, huleh hutobanga jui diing a mite hilh chu vaan lalgam ah mi lian a chi diing uhi. 
MAT.5.20	Ajiahchu ka hung hilh ahi, Na dihtatna un lehkhagialtute leh Pharisaite dihtatna a khup louh inchu vaan lalgam ah na luut top sih diing uhi.
MAT.5.21	Malai mite kawma, 'Tual na thah louh diing ahi; huleh koipouh tual that chu vaihawmna lauthawnghuaitah ah a um diinguh, kichi na zata uhi; 
MAT.5.22	Hizongleh ke’n chu na kawmvah ka soi ahi, Koipouh a jiah bei a, a unau tunga lungthah chu vaihawmkhumna lauthawnghuaitah ah a um diing; huleh koipouh a unau kawma, 'Raka (Man louh),' chi chu vaihawmtute vaihawmkhumna lauhuaitah ah a um diing; huleh koipouh, 'Nang mingol,' chitu chu gawtmun mei diila paih lauthawnghuaitah ah a um diing uhi. 
MAT.5.23	Hujiahin maitaam bula silpiah diing tawia na hung laitah a na unau in na tungah lunghih louhna a nei chih na heetdoh leh, 
MAT.5.24	Na silpiah diing chu hu maitaam ma ah nusia inla chiah in; huleh na unau toh kilem masaphot inla, huzohchiangin hung inla, na silpiah diing chu pia in. 
MAT.5.25	Na langpa toh lampi a na chiah laiin kitam zohin; huchilou inchu na langpa’n vaihawmtu ahung mansah diing a, vaihawmtu’n mimantu lian kawmah ahung pekhe diing a, huleh mimantu lian in suangkul ah ahung khumkha diing hi. 
MAT.5.26	Chihtahzetin ka hung hilh ahi, Paihsa san khat tana na piah kim masiah hua kipanin na pawtdoh het sih diing hi. 
MAT.5.27	Malai mite kawma, Na aangkawm louh diing ahi, chia kisoi na zata uh; 
MAT.5.28	Hizongleh ke'n chu na kawmvah ka soi ahi, Koipouh numei enlahtaha en in a lungsimah amahnu toh a aangkawm zouta ahi. 
MAT.5.29	Huleh na mit jiatlam in ahung sualsah leh kheidoh inla paai mai in; ajiahchu na tahsa pumpi gawtmuna paih ahih sangin na tahsa peng khat manthai chu nang diingin a hoihzaw hi. 
MAT.5.30	Huleh na khut jiatlam in ahung sualsah leh saattan inla paai mai in; ajiahchu na tahsa pumpi gawtmuna paih ahih sangin na tahsa peng khat manthai chu nang diingin a hoihzaw hi.
MAT.5.31	Mi koipouh in a ji a khul leh khulna lehkha pia heh, ana kichi hi. 
MAT.5.32	Hizongleh ke'n chu na kawmvah ka soi ahi, Koipouhin mi toh lupkhawm jiah hilou a, a ji a khul leh amahnu chu a aangkawmsah ahi; huleh koipouh hu khulsanu nei chu aangkawm ahi.
MAT.5.33	Huchiangleh, malai mite kawma, Kihaahsial sih un, amahvang na kichiamnate Lalpa kawmah taangtun zaw in, chia kisoi na zata uh; 
MAT.5.34	Hizongleh ke'n chu na kawmvah ka soi ahi, Kihaahsial mawngmawng sih un; vaan louin kihaahsial sih un; ajiahchu hichu Pathian laltouphah ahi: 
MAT.5.35	Huleh lei louin kihaahsial sih un; ajiahchu hichu a keeng ngahna ahi: Jerusalem louin kihaahsial sih un; ajiahchu hichu kumpipa loupi khopi ahi. 
MAT.5.36	Na lutang louin kihaahsial sin; ajiahchu samzang khat zong na kaangsah in na vomsah thei sih hi. 
MAT.5.37	Hizongleh na soi chu, Ahihleh hi; Ahihlouhleh hilou, hisah mai in; ajiahchu hi val chu gilou apat hung pawt ahi.
MAT.5.38	Mit luang in mit, ha luang in ha, ana kichi na zata uh. 
MAT.5.39	Hizongleh ke'n chu na kawmvah ka soi ahi, Migilou thuh sih un; hizongleh koipouh in na ngeiphe jiatlam a beh leh a lehlam zong doh zaw in. 
MAT.5.40	Huleh mi koipouh in na tunga thusia bawl a, na puannaah laah a tup leh na puanjal zong la sah ngal in. 
MAT.5.41	Huleh koipouh meel khat chiah diing a hung phuut photmah kawmah amah toh meel nih chiah khawm un. 
MAT.5.42	Na kawma ngen chu pia inla, huleh ahung thunglaah ut chu kiheimangsan sin.
MAT.5.43	Na innveengte lungsiat inla, na meelmate hua in, kichi na zata uhi. 
MAT.5.44	Hizongleh ke'n chu na kawmvah ka soi ahi, Na meelmate uh lungsiat unla, haamsia hung lohte vangpiah unla, ahung mudahte diingin sil hoih bawlsah unla, huleh ahung bawlsete leh ahung suduhdahte diingin haamteisah un. 
MAT.5.45	Huchi'n na Pa uh vaan a um tate na hi thei diing uhi; ajiahchu ama’n migiloute leh mihoihte tungah a ni a suaahsah a, huleh midihtatte leh midihtatloute tungah zong guah a zusah hi. 
MAT.5.46	Ajiahchu nanguh hung lungsiatte chauh na lungsiat uleh kipaahman bang ahiai na muh diing uh? siahdongte’n zong huchibanga bawl ve hilou ahi viai mah? 
MAT.5.47	Huleh na unaute uh chauh chibai na buuh uleh midang sanga bang ahiai na bawltam tuan uh? siahdongte’n zong huchibanga bawl ve hilou ahi viai mah? 
MAT.5.48	Hujiahin vaan a um na Pa uh a hoihbukim mah bangin nanguh zong hoihbukim un.
MAT.6.1	Na sil hoih bawlte uh mi muh diing a, a ma va bawl lou diingin pilvaang un; huchilou inchu na Pa uh vaan a um kawmah muh diing kipaahman na nei sih diing uh. 
MAT.6.2	Hujiahin mi kawma sil na piah chiangun milepchiahte’n, mi phat a loh theihna diing va kikhopna inn bang, kholai banga ahih veu bangun, na ma vah pengkuul muut sih un. Chihtahzetin ka hung hilh ahi, Amahun a kipaahman uh a mu zouta uh. 
MAT.6.3	Hizongleh nang chu mi kawma sil na piah chiangin, na khut jiatlam hih chu na khut veilam hesah sin: 
MAT.6.4	Huchi’n na silpiah chu a guuhin a um thei diing a; huleh na Pa a guuha hung mupa in phuanglaahtahin ahung dit diing hi.
MAT.6.5	Huleh na haamtei chiangun milepchiahte bangin na hih diing uh ahi sih; ajiahchu amahun mi’n a muh theihna diingin kikhopna innte, kotzing ningkawite banga dingin a haamtei ut sese uh; chihtahzetin ka hung hilh ahi, Amah un a kipaahman uh a muta uhi. 
MAT.6.6	Hizongleh nang chu na haamtei chiangin na pindan sungah luut inla, na kot khaah inla, a guuha um na Pa kawmah haamtei in; huchi'n na Pa a guuha hung mupa in phuanglaahtahin ahung dit diing hi. 
MAT.6.7	Hizongleh na haamtei chiangun Jentelte bang in soi nonnon sih un; amahun chu a haam tam jiah va zaaha um diingin a kingaihtuah uh. 
MAT.6.8	Hujiahin amahuh bang sih un: ajiahchu na Pa un amah na nget ma un bang silte ahiai na mamoh uh a he hi.
MAT.6.9	Huleh nanguh chu hichibangin haamtei un: Ka Pa uh vaan a um, na min kizahtaat heh. 
MAT.6.10	Na lalgam hung tung heh. Na deihzawng vaan a a kibawl bangin, leiah zong kibawl heh. 
MAT.6.11	Ka niteng an neeh uh tuni in hung pia in. 
MAT.6.12	Ka leibate uh ka ngaihdam bangun ka batte uh hung ngaidam in. 
MAT.6.13	Heemna ah hung puiluut sinla, gilou lahah hung hunkhe zaw in: lalgamte, silbawltheihnate, loupinate, kumtuanga nanga ahih jiahin. Amen, chi'n. 
MAT.6.14	Mi a tatsualnate uh na ngaihdam uleh, na Pa uh vaan a um in zong nanguh ahung ngaidam diing hi. 
MAT.6.15	Hizongleh mi a tatsualnate uh na ngaihdamlouh uleh na Pa un zong na tatsualnate uh ahung ngaidam sih diing hi.
MAT.6.16	Huchiangleh an na ngawl chiangun milepchiahte bangin ngui meel po sih un; amahun chu an ngawla a kilat theihna diingun a maaisuah uh a tuamsah veu uh; chihtahzetin ka hung hilh ahi, amahun a kipaahman uh a muta uhi. 
MAT.6.17	Hizongleh nang chu an na ngawl chiangin na lu sathau nuh inla, na maai phiat in. 
MAT.6.18	Huchi'n na Pa a guuha um mitmuh ah loungal mihing mitmuh a angawl na bat louhna diingin; huleh na Pa a guuha hung mupa in phuanglaahtahin ahung pethuh diing hi.
MAT.6.19	Lei a leikha leh tui-eeh in a neehsiatna ah leh, gutate’n a pheet vang va a guuh theihna vah gou kikhol sih un; 
MAT.6.20	Hizongleh vaan ah, leikha leh tui-eeh in a neehsiat louhna leh, gutate’n a pheet vang va a guuh louhna vah gou kikhol zaw un. 
MAT.6.21	Ajiahchu na gou uh umna photah na lungsim u’zong a um diing hi.
MAT.6.22	Sapum vaahna chu mit ahi; hujiahin na mit a dih leh na sapum a vaah veh diing hi. 
MAT.6.23	Hizongleh na mit a dih louh inchu na sapum a mial veh diing hi. Hujiahin na sunga vaah chu mial hitaleh hu mial chu nasa na’n chia! 
MAT.6.24	Mi koimah in houtu nih nna a tongkhawm thei sih; ajiahchu khat mudahin khat a lungsiat diing a, ahihlouhleh khat gum in khat a simmoh diing hi. Pathian leh sum nna na tongkhawm thei sih diing uhi.
MAT.6.25	Hujiahin ka hung hilh ahi, Bang ahiai ka neeh diing, bang ahiai ka dawn diing, chi'n na hinna uh diing leh bang ahiai ka silh a ka teen diing chi'n na tahsa uh diing lunghimoh sih un. Neeh diing sangin hinna a luulzaw sih eimah? huleh silh leh teen sangin tahsa a luulzaw sih eimah? 
MAT.6.26	Tungleeng vate en un, buh a tuh sih va, aat zong a aat sih uh, huleh buhinn ah zong a sunglut sih uh; ahihvangin na Pa uh vaan a um in amahuh a vaah hi. Nanguh chu amahuh sanga nasataha luulzaw hilou na hi viai mah? 
MAT.6.27	Nanguh lahah kua’n ahiai kingaihtuah jiaha a dung tongkhata behlap thei? 
MAT.6.28	Huleh silh leh teen thu a bang diinga lunghimoh na hi viai? gam a lili paahte khandan ngaihtuah un; tong laha tonggim sih va, pat zong a kheeh sih uh; 
MAT.6.29	Hizongleh ka hung hilh ahi, Solomon hilhial zong a loupina zousiaha a kizepin hite khat tuhin zong zep ahi zou sih hi. 
MAT.6.30	Huchi'n gam a hampa tunia hing a, zinga meikhuuh a paihluut diing bawn Pathian in a huchi zep leh, Aw nanguh gintawmte, ama’n, nanguh husangin ahung zeemzaw tham sih diai mah? 
MAT.6.31	Hujiahin bang ahiai i neeh diing a, bang ahiai i dawn diing; ahihlouhleh bang ahiai i silh diing, chi'n lunghimoh sih un. 
MAT.6.32	(Ajiahchu hi silte zousiah Jentelte’n a hawl uhi), hi silte zousiah na mamoh uh chih na Pa uh vaan um in a he hi. 
MAT.6.33	Hizongleh nangun chu Pathian gam leh a dihtatna hawl masa un; huleh hi silte zousiah piahbeh na hi diing uhi. 
MAT.6.34	Hujiahin zinga diingin lunghimoh sih un; ajiahchu jing in amah a diing ahung kingaihtuah tawm diing hi. Ni khat gimthuaah chu ni khat diingin a hun ahi.
MAT.7.1	Soisel sih un, soisela na umlouhna diingun. 
MAT.7.2	Na soisel bangmah un soiselin na um diing uh; huleh na tehna ngeimah un ahung tehsah kiit diing uhi. 
MAT.7.3	Huleh bang diinga na mit a innkam ngaihtuah loua, na unau mit a chiangthem um muthei na hiai? 
MAT.7.4	Ahihlouhleh bangchi'n ahiai na unau kawma, Na mit a chiangthem hung lakhesah in, na chih theih diing? ngai in, nang mit ngei ah innkam a um hi. 
MAT.7.5	Nang milepchiah, nangmah mit apat innkam chu lakhe masa in; huchi’n na unau mit a chiangthem laahdoh diing chu na muchian thei diing hi. 
MAT.7.6	Uite kawmah sil siangthou pe sih unla, voh ma-ah zong na tuikep suang uh paai sih un; amahun hute chu a keeng un a chilse diing va, huleh hung kiheiin nanguh ahung baljahkha diing uhi.
MAT.7.7	Ngen un, piahin na um diing uh; hawl un, na mu diing uh; kiu un, honsah in na um diing uhi. 
MAT.7.8	Ajiahchu a ngen taphot in a tang va, a hawl taphot in a mu va; huleh a kiu taphot chu honsah in a um diing hi. 
MAT.7.9	Ahihlouhleh na lahvah kua’n ahiai a tapa in tanghou ngen henla hileh suang pe diing? 
MAT.7.10	Ahihlouhleh nga ngen henla hileh guul pe diing? 
MAT.7.11	Huchi ahihleh, nanguh migilou in bawn na tate uh sil hoih piahna taang na heet un chu, na Pa uh vaan a um in a kawma ngente sil hoih petham lou diing ahiai mah?
MAT.7.12	Hujiahin sil zousiah mi’n na tungva a bawl na deih photmah uh, nangun zong hutobangin a tungvah bawl un; huchu daan thu leh zawlneite thu ahi. 
MAT.7.13	Kot geeng ah luut un; ajiahchu manthaina lam chu a kot a gol a, a lampi zong a lian hi, huleh hua luutte chu tam zong a tam uhi: 
MAT.7.14	Hinna a chiahna kot chu a geeng a, a lampi zong a neu a, huleh a mute zong a tawm uhi.
MAT.7.15	Zawlnei tahloute na lahva belaam vun silha hung a, hizongleh a sungnunglam va ngei haangsantah hingalte lahah pilvaang un. 
