GEN.1.1	In het begin maakte God de hemelen en de aarde. 
GEN.2.4	Dit is een samenvatting van het werk dat de 
GEN.2.5	Er waren nog geen planten of gewassen opgekomen uit de aarde, omdat de 
GEN.2.6	Er steeg echter een damp uit de aarde op die het land bevochtigde.
GEN.2.7	Toen vormde de 
GEN.2.8	De 
GEN.2.9	In de hof plantte Hij prachtige fruitbomen. Midden in de hof plaatste Hij de boom van het leven en de boom van de kennis van goed en kwaad. 
GEN.2.10	Vanuit Eden vloeide een rivier door de hof die hem vruchtbaar maakte en zich daar in vier rivieren splitste.
GEN.2.11+GEN.2.12	 Eén rivier heet de Pison en stroomt rond het land Chawila, bekend om zijn goud, balsemhars en het edelgesteente chrysopraas. 
GEN.2.13	De tweede rivier heet Gichon en stroomt door het land Ethiopië. 
GEN.2.14	De derde rivier is de Tigris en stroomt naar het oosten van Assur. De vierde rivier is de Eufraat. 
GEN.2.15	De 
GEN.2.16	Maar Hij waarschuwde de mens: ‘Je mag van alle bomen in de hof eten, 
GEN.2.17	maar niet van de boom van de kennis van goed en kwaad. Want als je daarvan eet, zul je zeker sterven.’
GEN.2.18	En de 
GEN.2.19+GEN.2.20	 De 
GEN.2.21	Toen liet de 
GEN.2.22	Uit die rib maakte Hij een vrouw en Hij bracht haar bij de mens. 
GEN.2.23	‘Ja, dit is wat ik nodig had!’ riep Adam uit, ‘zij is echt een deel van mijn lichaam. Ik zal haar mannin noemen, omdat zij is genomen uit de man.’ 
GEN.2.24	Dit verklaart waarom een man zijn vader en moeder verlaat, zich bij zijn vrouw voegt en werkelijk één met haar wordt.
GEN.2.25	Hoewel de man en de vrouw allebei naakt waren, hinderde hen dat niet, want zij schaamden zich niet voor elkaar.
GEN.3.1	De slang was listiger dan alle andere dieren die de 
GEN.3.2	‘Nee hoor,’ antwoordde de vrouw, ‘wij mogen van alle bomen eten, 
GEN.3.3	behalve van die in het midden van de hof. Wij mogen hem zelfs niet aanraken, want dan zullen wij sterven.’
GEN.3.4	‘Dat is een leugen,’ zei de slang, ‘jullie zullen niet sterven. 
GEN.3.5	God zegt dat alleen omdat Hij weet dat jullie aan Hem gelijk zullen zijn als je daarvan eet. Je ogen zullen opengaan en net als God zul je het onderscheid kennen tussen goed en kwaad.’
GEN.3.6	De vrouw keek naar de boom en zag dat de vrucht eetbaar was en er prachtig uitzag. Die vrucht kon haar verstandig maken! Ze plukte wat vruchten en at ervan. Zij gaf ook haar man, die bij haar was, van de vruchten en hij at er ook van. 
GEN.3.7	Toen zij dat hadden gedaan, kregen ze door dat ze naakt waren en zij schaamden zich. Van bladeren van een vijgenboom maakten ze schorten en hingen die om hun middel.
GEN.3.8	Die avond hoorden zij de 
GEN.3.9	De 
GEN.3.10	Adam antwoordde: ‘Ik hoorde U en toen werd ik bang omdat ik naakt ben. Daarom verstopte ik me.’ 
GEN.3.11	‘Wie heeft je verteld dat je naakt bent?’ vroeg de 
GEN.3.12	Adam zei: ‘De vrouw die U mij hebt gegeven, heeft mij ervan gegeven en toen heb ik ervan gegeten.’ 
GEN.3.13	De 
GEN.3.14	Toen zei de 
GEN.3.15	De vrouw en jij, en al jullie nakomelingen, zullen vijanden zijn. Een van haar nakomelingen zal jouw kop verbrijzelen en jij zult zijn hiel verbrijzelen.’
GEN.3.16	Na die woorden zei God tegen de vrouw: ‘Met veel pijn en moeite zul je je kinderen krijgen. Je zult verlangen naar je man en hij zal over je heersen!’
GEN.3.17	Tegen Adam zei Hij: ‘Omdat je naar je vrouw hebt geluisterd en ondanks mijn waarschuwing toch van de boom hebt gegeten, zal Ik de aardbodem vervloeken. Voortaan zul je hard moeten werken om in leven te blijven. 
GEN.3.18	Er zullen dorens en distels groeien en van de wilde planten zul je eten. 
GEN.3.19	Tot de dag van je dood zul je zwetend het land bewerken om te kunnen leven. Dan zal je lichaam vergaan tot het stof van de aarde. Want uit stof ben je gemaakt en tot stof zul je weer worden.’
GEN.3.20	En de man noemde zijn vrouw Eva, moeder van alle levenden, omdat uit haar alle mensen zouden worden geboren. 
GEN.3.21	De 
GEN.3.22	‘Door te eten van de boom van de kennis van goed en kwaad is de mens aan Ons gelijk geworden. Als hij nu van de boom van het leven eet, zal hij ook nog voor altijd leven,’ zei de 
GEN.3.23	Daarom stuurde Hij de mens voor altijd uit de hof van Eden weg: hij moest het land gaan bewerken waaruit hij was voortgekomen. 
GEN.3.24	God verdreef de mens en plaatste aan de oostkant van de hof cherubs en een vlammend zwaard dat flitsend heen en weer schoot, om de toegang tot de boom van het leven te bewaken.
GEN.4.1	Adam had gemeenschap met Eva en zij raakte in verwachting. De zoon die werd geboren, noemde zij Kaïn. ‘Want,’ zei Eva, ‘met hulp van de 
GEN.4.2	Hun volgende kind was ook een zoon, Abel. Abel werd schaapherder en Kaïn legde zich toe op de landbouw.
GEN.4.3	Na verloop van tijd brachten Kaïn en Abel beiden een offer aan de 
GEN.4.4	maar Abel bracht van het beste van zijn kudde, ook het vet. De 
GEN.4.5	maar dat van Kaïn niet. Kaïn voelde zich vernederd en werd boos. Zijn gezicht vertrok van woede. 
GEN.4.6	‘Waarom ben je boos?’ vroeg de 
GEN.4.7	Je zou vrolijk kunnen kijken als je maar doet wat goed is. Maar als je weigert te gehoorzamen, moet je oppassen. Want de zonde ligt op de loer, klaar om je leven te vernietigen. Maar als je wilt, kun je hem overwinnen.’
GEN.4.8	Op een dag stelde Kaïn Abel voor de velden in te gaan. Toen ze daar samen liepen, viel Kaïn zijn broer aan en vermoordde hem.
GEN.4.9	Maar kort daarna vroeg de 
GEN.4.10	Maar de 
GEN.4.11	Daarom verban Ik je van de grond waarop het bloed van je broer heeft gevloeid. 
GEN.4.12	Hoe je ook zwoegt en ploetert, de aarde zal je nooit voldoende opleveren. Voortaan zul je een vluchteling zijn die van de ene naar de andere plaats zwerft.’ 
GEN.4.13	‘Deze straf is zwaarder dan ik kan dragen!’ zei Kaïn. 
GEN.4.14	‘U verjaagt mij van mijn grond en uit uw nabijheid. U maakt mij een dakloze zwerver en ieder die mij ziet, zal proberen mij te doden!’
GEN.4.15	Maar de 
GEN.4.16	Zo verliet Kaïn de 
GEN.4.17	Kaïns vrouw raakte in verwachting en kreeg een zoon, Henoch. Toen Kaïn een stad stichtte, noemde hij die stad ook Henoch, naar zijn zoon. 
GEN.4.18	Henoch was de vader van Irad; Irad was de vader van Mechujaël; de zoon van Mechujaël was Metusaël; Metusaël was de vader van Lamech. 
GEN.4.19	Lamech trouwde twee vrouwen: Ada en Silla. 
GEN.4.20	Ada kreeg een zoon, Jabal. Hij werd de vader van de veehoeders en de mensen die in tenten wonen. 
GEN.4.21	Zijn broer heette Jubal en werd vader van allen die de citer en de fluit bespelen. 
GEN.4.22	Lamechs tweede vrouw, Silla, kreeg een zoon met de naam Tubal-Kaïn. Hij legde zich toe op de metaalbewerking en werd de vader van de smeden. Zijn zuster heette Naäma.
GEN.4.23	Op een dag riep Lamech zijn vrouwen bij zich en zei: ‘Luister, vrouwen! Een man die mij verwondde en een jongen die mij sloeg, doodde ik. 
GEN.4.24	Hij die Kaïn doodt, wordt zevenmaal zo zwaar gestraft, maar de man die Lamech doodt, zal zevenenzeventig maal zo zwaar worden gestraft.’
GEN.4.25	Adam en Eva kregen later nog een zoon en noemden hem Set. ‘Want,’ zei Eva, ‘God heeft mij een zoon gegeven in de plaats van Abel, die door Kaïn werd vermoord.’ 
GEN.4.26	Set groeide op en kreeg een zoon die hij Enos noemde. In die tijd begonnen de mensen de 
GEN.5.1	Hier volgt een lijst van de nakomelingen van Adam, de mens die God schiep naar zijn gelijkenis. 
GEN.5.2	God schiep de mens als man en vrouw en zegende hen. Hij noemde hen ‘mens’ vanaf het begin.
GEN.5.3+GEN.5.4+GEN.5.5	Adam was honderddertig jaar oud toen zijn zoon Set werd geboren, die in alle opzichten op zijn vader leek. Na Sets geboorte leefde Adam nog achthonderd jaar en kreeg nog meer zonen en dochters. Adam werd negenhonderddertig jaar oud. Toen stierf hij.
GEN.5.6+GEN.5.7+GEN.5.8	Set was honderdvijf jaar oud toen zijn zoon Enos werd geboren. Daarna leefde hij nog achthonderdzeven jaar en kreeg nog meer zonen en dochters. Hij werd negenhonderdtwaalf jaar oud. Toen stierf hij.
GEN.5.9+GEN.5.10+GEN.5.11	Enos was negentig jaar oud toen zijn zoon Kenan werd geboren. Hij leefde daarna nog achthonderdvijftien jaar en kreeg in die tijd nog meer zonen en dochters. Enos werd negenhonderdvijf jaar oud. Toen stierf hij.
GEN.5.12+GEN.5.13+GEN.5.14	Kenan was zeventig jaar oud toen zijn zoon Mahaleël werd geboren. Hij leefde daarna nog achthonderdveertig jaar en kreeg nog meer zonen en dochters. Hij werd negenhonderdtien jaar oud. Toen stierf hij.
GEN.5.15+GEN.5.16+GEN.5.17	Mahaleël was vijfenzestig jaar oud, toen zijn zoon Jered werd geboren. Na Jereds geboorte leefde hij nog achthonderddertig jaar en kreeg nog meer zonen en dochters. Hij werd achthonderdvijfennegentig jaar oud. Toen stierf hij.
GEN.5.18+GEN.5.19+GEN.5.20	Jered was honderdtweeënzestig jaar oud toen zijn zoon Henoch werd geboren. Na diens geboorte leefde Jered nog achthonderd jaar en kreeg nog meer zonen en dochters. Hij werd negenhonderdtweeënzestig jaar oud. Toen stierf hij.
GEN.5.21+GEN.5.22+GEN.5.23+GEN.5.24	Henoch was vijfenzestig jaar oud toen zijn zoon Metuselach werd geboren. Hij leefde daarna nog driehonderd jaar als trouwe dienaar van God. Hij kreeg nog meer zonen en dochters en toen hij driehonderdvijfenzestig jaar oud was geworden, verdween hij. God had hem van de aarde weggenomen.
GEN.5.25+GEN.5.26+GEN.5.27	Metuselach was honderdzevenentachtig jaar oud toen zijn zoon Lamech werd geboren. Hij leefde daarna nog zevenhonderdtweeëntachtig jaar en kreeg nog meer zonen en dochters. Hij werd negenhonderdnegenenzestig jaar oud. Toen stierf hij.
GEN.5.28+GEN.5.29+GEN.5.30+GEN.5.31	Lamech was honderdtweeëntachtig jaar oud toen zijn zoon Noach (Troost) werd geboren. ‘Want,’ zei Lamech, ‘deze zoon zal troost brengen voor het harde werk dat wij moeten doen op deze door God vervloekte grond.’ Na Noachs geboorte leefde Lamech nog vijfhonderdvijfennegentig jaar en kreeg nog meer zonen en dochters. Hij werd zevenhonderdzevenenzeventig jaar oud. Toen stierf hij.
GEN.5.32	Noach was vijfhonderd jaar oud en had drie zonen: Sem, Cham en Jafet.
GEN.6.1	Het aantal mensen op aarde groeide gestadig. 
GEN.6.2	In die tijd lieten zonen van God hun oog vallen op dochters van mensen. Onder de indruk van hun schoonheid, namen zij hen tot vrouw. 
GEN.6.3	Toen zei de 
GEN.6.4	In die tijd waren er reuzen op aarde, de kinderen van zonen van God en dochters van mensen. Ze zijn bekend als de helden uit het verre verleden. 
GEN.6.5	Maar de 
GEN.6.6	Daarom had Hij er spijt van dat Hij hen had geschapen en Hij voelde Zich diep gekwetst. 
GEN.6.7	Hij zei: ‘Ik zal ze uitroeien. Niet alleen de mensen, maar ook alle dieren, kruipende dieren en de vogels. Ik had ze nooit moeten maken.’ 
GEN.6.8	Maar aan Noach had de 
GEN.6.9	Hier volgt de geschiedenis van Noach, de enige rechtvaardige en oprechte man op aarde. Hij leefde in nauwe verbondenheid met God. 
GEN.6.10	Hij had drie zonen: Sem, Cham en Jafet.
GEN.6.11	In de loop van de tijd werden de mensen steeds slechter en gewelddadiger in de ogen van God. 
GEN.6.12+GEN.6.13	 Met al die slechtheid en verdorvenheid voor ogen zei Hij tegen Noach: ‘Ik heb besloten de hele mensheid uit te roeien, want zij is de schuld van alle geweld en slechtheid. Ja, Ik zal de bewoners van de aarde vernietigen. 
GEN.6.14	Bouw een ark van acaciahout en bestrijk het hout met pek om het waterdicht te maken. 
GEN.6.15	Verdeel hem in dekken en onderkomens. Maak hem honderdvijftig meter lang, vijfentwintig meter breed en vijftien meter hoog. 
GEN.6.16	Maak er een lichtsleuf in die een halve meter onder het dak rond het hele schip loopt en verdeel het schip in drie dekken, een benedendek, een middendek en een bovendek. In de zijkant van het schip moet u de ingang maken.
GEN.6.17	Ik zal namelijk een enorme watervloed over de aarde laten gaan die alle levende wezens zal doden. Iedereen en alles zal sterven. 
GEN.6.18	Maar met u sluit Ik een verbond: u zult veilig in het schip zijn met uw vrouw, uw zonen en hun vrouwen. 
GEN.6.19	Voordat de vloed komt, moet u van elk dier een mannetje en een vrouwtje aan boord nemen, zodat die de vloed overleven. 
GEN.6.20	Van elke vogel, van elk soort vee, elk kruipend of ander dier moet een paar aan boord zijn. 
GEN.6.21	Zorg verder voor al het voedsel dat uw familie en de dieren nodig hebben.’ 
GEN.6.22	Noach volgde alle aanwijzingen van God op.
GEN.7.1	De dag brak aan waarop de 
GEN.7.2	Neem ook de dieren aan boord, van elke soort één paar, uitgezonderd de dieren die Ik heb bestemd tot voedsel en offer. 
GEN.7.3	Van die dieren moet u zeven paar aan boord nemen, evenals van de vogels. Op die manier zullen ze na de grote watervloed hun soort in stand houden. 
GEN.7.4	Over een week zal het gaan regenen. Veertig dagen en nachten achter elkaar. Alle levende wezens die Ik heb gemaakt en die op het droge leven, zullen sterven.’
GEN.7.5	Noach volgde al de bevelen van de 
GEN.7.6	Hij was zeshonderd jaar oud toen de vloed over de aarde kwam 
GEN.7.7	en hij ging met zijn vrouw, zijn zonen en hun vrouwen in de ark om aan de vloed te ontkomen. 
GEN.7.8+GEN.7.9	 Alle dieren die bestemd waren om te offeren of om op te eten, en de andere soorten, kwamen in paren naar de ark: mannetjes en vrouwtjes, precies zoals God het Noach had gezegd. 
GEN.7.10+GEN.7.11	 Een week later, toen Noach zeshonderd jaar oud was, op de zeventiende dag van de tweede maand, stroomde de regen uit de hemel neer en braken de ondergrondse watermassaʼs open. 
GEN.7.12	En dat gedurende veertig dagen en nachten! 
GEN.7.13	Maar Noach was die dag met zijn vrouw, hun zonen Sem, Cham en Jafet en hun vrouwen aan boord van de ark gegaan. 
GEN.7.14	Bij hen in de ark zaten alle diersoorten, zowel wilde dieren als vee, kruipende dieren en vogels. 
GEN.7.15	Ze kwamen twee aan twee, mannetjes en vrouwtjes, precies zoals God het had bevolen. 
GEN.7.16	Toen sloot de 
GEN.7.17	Veertig dagen lang raasde de enorme watervloed over de aarde, bedekte alles en nam de ark hoog op zijn golven mee. 
GEN.7.18	Het water steeg en steeg, maar de ark bleef veilig drijven. 
GEN.7.19	Ten slotte bedekte het water ook de hoogste bergen. 
GEN.7.20	Het stond zeven meter boven de hoogste bergtoppen. 
GEN.7.21	En alle levende wezens op aarde verdronken: vogels, vee, wilde en kruipende dieren en alle mensen, 
GEN.7.22	alles wat ademde en op het land leefde. 
GEN.7.23	God vernietigde alles, uitgezonderd Noach en zijn familie die in de ark waren. 
GEN.7.24	De watervloed bedekte de aarde honderdvijftig dagen lang.
GEN.8.1	Maar God had Noach en de dieren in de ark niet vergeten. Hij stuurde de wind over het water en langzaam begon het water te zakken. 
GEN.8.2	De ondergrondse wateren keerden weer terug naar hun normale loop en het hield op met regenen. 
GEN.8.3	Het water zakte na honderdvijftig dagen weg en 
GEN.8.4	op de zeventiende dag van de zevende maand liep de ark op de toppen van het Araratgebergte vast. 
GEN.8.5	Drie maanden later kwamen ook de andere bergtoppen boven het zakkende water uit.
GEN.8.6	Na nog eens veertig dagen opende Noach het venster dat hij in de ark had gemaakt, 
GEN.8.7	en liet een raaf los. Deze vloog heen en weer, net zo lang tot de aarde weer droog was. 
GEN.8.8	Daarna liet Noach een duif los om te kijken of de aarde al droog was, 
GEN.8.9	maar de duif vond nergens een plek om neer te strijken en vloog terug naar de ark. Het water stond nog te hoog. Noach stak zijn hand uit en zette de duif weer terug in de ark.
GEN.8.10	Een week later probeerde Noach het nog eens. 
GEN.8.11	De duif vloog weg om tegen de avond terug te keren met een olijfblad in haar snavel. Zo wist Noach dat het water bijna weg was. 
GEN.8.12	Na een week liet hij de duif nog een keer los en nu kwam zij niet meer terug.
GEN.8.13	Op de eerste dag van de eerste maand in het jaar dat Noach zeshonderdeen werd, opende Noach de deur van de ark en zag dat het water zich had teruggetrokken. 
GEN.8.14	Er gingen nog eens acht weken voorbij voordat de aarde helemaal droog was. 
GEN.8.15	Toen zei God tegen Noach: 
GEN.8.16	‘U mag de ark verlaten, met uw vrouw, zonen en schoondochters. 
GEN.8.17	Laat alle dieren, de vogels, het vee en alle kruipende dieren los, dan kunnen zij zich weer voortplanten en de aarde vullen.’ 
GEN.8.18	Noach, alle andere mensen en alle grote en kleine dieren en de vogels gingen van boord. 
GEN.8.19	In paren en groepen kwamen de dieren uit de ark.
GEN.8.20	Toen bouwde Noach een altaar en offerde een aantal dieren en vogels die de 
GEN.8.21	De 
GEN.8.22	Zolang de aarde blijft bestaan, zullen zaaitijd en oogsttijd, koude en warmte, winter en zomer, dag en nacht niet ophouden.’
GEN.9.1	God zegende Noach en zijn zonen en zei hun dat zij veel kinderen zouden voortbrengen, zodat de aarde weer werd bevolkt.
GEN.9.2+GEN.9.3	 ‘Alle wilde dieren, de vogels en de vissen zullen bang voor u zijn,’ vertelde God Noach, ‘want Ik heb ze in uw macht gegeven. Voortaan zullen zij een deel van uw voedsel zijn, net zoals het koren en de groenten. 
GEN.9.4	Maar één ding mag u nooit doen: vlees eten waar het bloed nog in zit, want het bloed bevat de levenskracht. 
GEN.9.5	En ook moord is verboden. Dieren die mensen doden, moeten worden gedood, net zoals mensen die het bloed van andere mensen vergieten. 
GEN.9.6	Want als u het bloed van een mens vergiet, zal uw bloed door mensen vergoten worden, want God heeft de mens als zijn evenbeeld gemaakt. 
GEN.9.7	Ja, zorg dat u veel kinderen krijgt en bevolk de aarde.’
GEN.9.8	Toen zei God tegen Noach en zijn zonen: 
GEN.9.9+GEN.9.10+GEN.9.11	‘Met u sluit Ik een verbond en met uw kinderen en met alle dieren die bij u in het schip waren—de vogels, het vee en de wilde dieren: Ik beloof dat Ik de aarde nooit meer zal verwoesten met een grote watervloed. 
GEN.9.12+GEN.9.13	 Als teken van dat verbond tussen Mij en alle levende wezens die na u op aarde zullen wonen, plaats Ik de regenboog in de wolken. 
GEN.9.14+GEN.9.15	 Als Ik de wolken langs de hemel laat glijden, zal de regenboog verschijnen en Mij aan mijn belofte herinneren: nooit meer een watervloed die alle leven vernietigt. 
GEN.9.16+GEN.9.17	 Als de regenboog aan de hemel staat, zal Ik hem zien en denken aan het eeuwigdurende verbond tussen Mij en alle levende wezens op aarde.’
GEN.9.18	De drie zonen van Noach heetten Sem, Cham en Jafet (Cham is de voorvader van de Kanaänieten). 
GEN.9.19	Uit deze drie zonen van Noach zijn alle volken op aarde ontstaan.
GEN.9.20+GEN.9.21	 Noach werd boer, plantte een wijngaard en maakte wijn. Op een dag was hij dronken en lag naakt in zijn tent. 
GEN.9.22	Cham, de voorvader van de Kanaänieten, bemerkte dat en vertelde het zijn broers. 
GEN.9.23	Toen zij dat hoorden, pakten Sem en Jafet een mantel, liepen achteruit hun vaders tent in en bedekten zijn naakte lichaam met de mantel. Zij keken de andere kant op terwijl zij dat deden.
GEN.9.24+GEN.9.25	 Toen Noach uit zijn roes ontwaakte en hoorde wat er was gebeurd en wat Cham had verteld, vervloekte hij alle nakomelingen van Cham: ‘Er zal voortaan een vloek op de Kanaanieten rusten, zij zullen de slaven zijn van de nakomelingen van Sem en Jafet!’ 
GEN.9.26+GEN.9.27	 Hij vervolgde: ‘Gezegend zij de 
GEN.9.28	Na de grote watervloed leefde Noach nog driehonderdvijftig jaar. 
GEN.9.29	Hij werd negenhonderdvijftig jaar oud en toen stierf hij.
GEN.10.1	Dit zijn de nakomelingen van Sem, Cham en Jafet, de drie zonen van Noach, want na de watervloed werden hun zonen geboren. 
GEN.10.2	De zonen van Jafet waren Gomer, Magog, Madai, Jawan, Tubal, Mesech en Tiras.
GEN.10.3	De zonen van Gomer waren Askenaz, Rifat en Togarma. 
GEN.10.4	De zonen van Jawan waren Elisa, Tarsis, de Kittiërs en de Dodanieten. 
GEN.10.5	Hun nakomelingen werden de zeevaarders die langs de kust wonen en ieder een eigen taal hebben.
GEN.10.6	De zonen van Cham waren Kus, Misraïm, Put en Kanaän. 
GEN.10.7	De zonen van Kus waren Saba, Chawila, Sabta, Rama en Sabtecha. 
GEN.10.8	De zonen van Rama waren Seba en Dedan. Een van de nakomelingen van Kus heette Nimrod. Hij werd de eerste machthebber op aarde. 
GEN.10.9	Hij was een geweldig jager, door niemand overtroffen. De naam Nimrod werd een begrip voor de mensen. Zij zeiden: ‘Hij is een Nimrod,’ waarmee dan werd bedoeld dat iemand een geweldenaar was. 
GEN.10.10	De basis van zijn koninkrijk waren de steden Babel, Uruk, Akkad en Kalne in het land Sinear. 
GEN.10.11+GEN.10.12	 Van daaruit trok hij naar Assyrië en bouwde daar Nineve, Rechobot-Ir, Kalach en Resen. Die laatste stad lag tussen Nineve en Kalach en was de belangrijkste stad van het rijk.
GEN.10.13+GEN.10.14	 Misraïm was de voorvader van de Ludieten, de Anamieten, de Lehabieten, de Naftuchieten, de Patrusieten, de Kasluchieten, uit wie de Filistijnen zijn voortgekomen, en de Kretenzers.
GEN.10.15+GEN.10.16+GEN.10.17+GEN.10.18+GEN.10.19	Kanaäns oudste zoon heette Sidon en diens broer heette Chet. De volgende volken zijn afstammelingen van Kanaän: de Jebusieten, de Amorieten, de Girgasieten, de Chiwwieten, de Arkieten, de Sinieten, de Arwadieten, de Semarieten en de Hamatieten. De nakomelingen van Kanaän verspreidden zich van Sodom, Gomorra, Adma en Seboïm tot Lesa. 
GEN.10.20	Al deze volken, die zich overal verspreidden en veel verschillende talen spraken, waren nakomelingen van Cham.
GEN.10.21	Eber was een afstammeling van Sem, de oudste broer van Jafet. 
GEN.10.22	Hier volgen de zonen van Sem: Elam, Assur, Arpachsad, Lud en Aram. 
GEN.10.23	De zonen van Aram waren Us, Chul, Geter en Mas. 
GEN.10.24	De zoon van Arpachsad heette Selach en diens zoon heette Eber. 
GEN.10.25	Eber kreeg twee zonen: Peleg (dat betekent Verdeeldheid, tijdens zijn leven verdeelde God de talen van de mensen) en Joktan. 
GEN.10.26+GEN.10.27+GEN.10.28+GEN.10.29+GEN.10.30	Joktan was de vader van Almodad, Selef, Chasarmawet, Jerach, Hadoram, Uzal, Dikla, Obal, Abimaël, Seba, Ofir, Chawila en Jobab. De afstammelingen van Joktan leefden in het gebied tussen Mescha en het in het oosten gelegen gebergte van Sefar. 
GEN.10.31	Al deze mensen waren afstammelingen van Sem, verdeeld per geslacht, taal, land en volk.
GEN.10.32	Dit was het geslachtsregister van Noach en zijn zonen. Door de geslachten heen verspreidden hun afstammelingen zich over de aarde en vormden zo de volken.
GEN.11.1	In die tijd spraken alle mensen één taal. 
GEN.11.2	De bevolking groeide en trok in oostelijke richting. Toen ontdekte men in het land Sinear een grote vlakte, waar het goed wonen was. Veel mensen trokken daarheen en het werd een dichtbevolkt gebied.
GEN.11.3	De bewoners van die vlakte waren van plan een grote stad te bouwen en een hoge toren die tot in de hemel reikte. Een eeuwig monument voor de bouwers. 
GEN.11.4	‘Op die manier krijgen we een centrale plaats voor onze mensen, zodat we niet steeds verder hoeven te zwerven,’ meenden zij. En zo begon de bouw van de stad. Ze bakten stenen en als cement gebruikten ze asfalt. 
GEN.11.5+GEN.11.6	 Toen de 
GEN.11.7	Laten Wij afdalen en hun verschillende talen geven, zodat zij elkaar niet meer begrijpen!’ 
GEN.11.8	Op die manier verspreidde God de mensen over de hele aarde en zij stopten met de bouw van de stad. 
GEN.11.9	Daarom werd die stad Babel (Verwarring) genoemd. Dat was de plaats waar de 
GEN.11.10+GEN.11.11	 Hier is nog eens een opsomming, nu uitgebreider, van de nakomelingen van Sem. Twee jaar na de grote watervloed—Sem was toen honderd jaar oud—kreeg hij een zoon, Arpachsad. Na diens geboorte leefde Sem nog vijfhonderd jaar en kreeg nog vele zonen en dochters.
