MAT.1.1	Anuu nanülia na koo'uliwo'ukana Jesucristo chi nuu'uliwo'ukai David chi nuu'uliwo'ukai Abraham:
MAT.2.3	Otta müshia Herodes chi aluwataashikai, oo'ulaka wainma tü kepiasükalüirua sulu'u Jerusalén, ashapapajaasü ma'i naa'in naapapa süchiki tü namakat nala wayuukana. 
MAT.2.4	Neenajitkalaka Herodes napüshua na laülaayuushiikana na'akajee na sacerdote judíokana oo'ulaka na karalouktamaajanakana süpüla nüsakirüinjanain naya sünain jalainjachin jemelin Cristo chi Nüneekajalakai Maleiwa. 
MAT.2.5	Nasouktakalaka nümüin:
MAT.2.5	—Jemeijeechi nia sulu'u tü pueulokat Belén sulu'u tü mmakat Judea, naashin wane nünüikimaajachi Maleiwa sünain nüshajüin paala tü nünüikikat, sünain maa:
MAT.2.6	“Tü pueulokat Belén sulu'u tü mmakat Judea,
MAT.2.6	nnojotsü shiainjatüin ne'e wane pueulo me'nnaajuusat sa'aka tü pueulokalüirua cha'aya.
MAT.2.6	Süka jamüin, eweeteechi yaa sulu'u wane aluwataai
MAT.2.6	süpüla niainjachin süpü'üyain tü tapüshikalüirua, na wayuu Israelkana”.
MAT.2.7	Neenakakalaka Herodes na wayuu wüinpuje'ewaliikana süpüla naashajaainjachin namaa sujuuna wayuu soo'opünaa joujatüin ma'i shiweetüin tü jolotsü ne'rakat paala. Süküjünakalaka nümüin natüma. 
MAT.2.8	Nüjütakalaka naya Belénmüin sünain nümüin namüin:
MAT.2.8	—Ju'una jumaala süpüla jüchajaainjachin nüchiki chi jo'uukai. Je jüntapa nünain, jaapiramaateechi taya nüchiki süpüla to'unüinjachin nünainmüin tayaka'iya süpüla tee'iyatüinjatüin nujut nümüin —nümakalaka Herodes namüin.
MAT.2.9	O'una müshi'iya naya süchikijee naapüin nünüiki Herodes. Je tü jolotsü ne'rapü'ükat wanaa sümaa chajanain naya wüinpümüin, o'unüsü joolu'u napüleerua sünain süsha'walaain iipünaa saa'u tü miichikat eere chi jo'uukai. 
MAT.2.10	Talatashaanasü ma'i naa'in süka ne'rüin tü jolotsükat. 
MAT.2.11	Je nantapa eemüin tü miichikat, eeshi napüla chi jo'uukai sümaa tü niikat. No'nnuwaakalaka süka nasapain süpüla nee'iyatüin nujut nümüin. Naakatakalaka shirouse tü juraskeerü kalu'ukot tü nakoloinkat nepialu'ujee nümüin chi jo'uukai. Nasülajakalaka kasa eekai kojutüin ma'i: ooro, wane wunu'u jemeta eejuut, je wane wunu'u kanüliasü “mirra”. 
MAT.2.12	Shiasa no'unapa süpüla nale'ejüinjanain noumainpa'amüin, eitaashii sulu'upünaa wane wopu naatajatü. Nnojoliishii alatapünaain Jerusalénpünaa süka naapinnüin na'lapüinru'u nnojoliinjanain nale'ejüin nünainmüin Herodes.
MAT.2.13	Shiasa süchikijee no'unapa na wayuu wüinpuje'ewaliikana, eweetüshi wane aapiee nüma'anajeejachi Maleiwa nümüin José nü'lapüinru'u sünain nümüin nümüin: “Püchijiraa maala süpüla pümaainjachin chi jo'uukai sümaa tü niikat chamüin sulu'umüin tü mmakat Egipto süpüla jujuittüinjanain nuulia Herodes. Nüchajaweechi achiki chi jo'uukai süpüla nu'utüinjachin naa'in. Anakaja makatüle jia cha'aya wane'ere'eya jaapinnapa tatüma”, nümakalaka chi aapieekai nümüin José.
MAT.2.14	Nüchijiraakalaka José sünain nujuittüin nümaa chi jo'uukai je tü niikat süse'eru'upünaa ai sünain no'unüin Egiptomüin 
MAT.2.15	eeinjanale kepiain naya wane'ere'eya ouktapa Herodes. Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma wane nünüikimaajachi, tü makat: “Teenaküin chi Tachonkai sulu'ujee tü mmakat Egipto”.
MAT.2.16	Je nütüjaapa saa'u Herodes sünain neme'erainpalain nia na wayuu wüinpuje'ewaliikana, jashichishaatashi ma'i nia. Nu'utirakalaka naa'in na tepichi tooloyuuchonniikana eekai motsoyünnuuin suulia piama juya sulu'u tü pueulokat Belén je pejepünaa sünain. Tü sotokot naa'in, shia tü naashajalakat paala namaa na wayuu wüinpüje'ewaliikana soo'opünaa joujatüin ma'i eweetüin tü jolotsü ne'rakat paala. 
MAT.2.17	Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma Jeremías chi nünüikimaajachikai, tü makat:
MAT.2.18	“Aapünüsü shi'ira wane wayuuirua sünain shi'yalajüin ma'i yaa sulu'u tü pueulokat Ramá.
MAT.2.18	A'yalajüsü tü suu'uliwo'ukalüirua Raquel naa'u na süchooinkana.
MAT.2.18	Nayoukta achikit amüliannaa süka ouktüin naya”.
MAT.2.19	Shiasa süchikijee ouktapa Herodes, eweetüshi cha'aya Egipto wane aapiee nüma'anajeejachi Maleiwa nümüin José nü'lapüinru'u 
MAT.2.20	sünain nümüin nümüin: “Püchijiraa maala süpüla pümaainjachin chi jintüikai sümaa tü niikat nachikua chamüin sulu'umüin tü mmakat Israel. Na o'uteepü'ükana naa'in chi jintüikai, ouktüinapa”.
MAT.2.21	Nüchijiraakalaka José sünain nujuittüin nümaa chi jintüikai je tü niikat süpüla o'unaa sulu'umüin tü mmakat Israel. 
MAT.2.22	Mmotshi José seema ekerolaa sulu'umüin tü mmakat Judea süka naapüin nüchiki chi nüchonkai Herodes kanüliakai Arquelao sünain nuluwataain cha'aya süchikijee ouktüin chi nüshikai. Je José, süka achiajaanüin nü'lapüinru'u suulia ekerolaa chamüin, o'una müshia chamüin sulu'umüin tü mmakat Galilea. 
MAT.2.23	Je nüntapa cha'aya, o'unüshi sulu'umüin wane pueulo kanüliasü Nazaret süpüla kepiainjanain naya cha'aya. Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala natüma na nünüikimaajanakana, tü makat: “Nazaretje'ewai chii”.
MAT.3.1	Je so'u ka'ikalüirua tia, eweetüshi Juan chi owoutisaajüikai sünain aküjaa nüchiki Maleiwa sümüin wayuu cha'aya isashiipa'a sulu'u tü mmakat Judea. 
MAT.3.2	Mapü'üshi nia: “Jiyaawajaa jumaala suulia jaainjala süka sülü'ülüin nükalia chi Maleiwakai süpüla aluwatawaa jaa'u”. 
MAT.3.3	Otta Juan, aküjüna achikichi nia paala sümaiwa nütüma Isaías chi nünüikimaajachikai Maleiwa sünain maa:
MAT.3.3	“Owoottaweechi wane wayuu cha'aya isashiipa'a sünain maa:
MAT.3.3	‘Yapa jütüma nüpüna chi Senyotkai.
MAT.3.3	Juu'ulaa suulia jaainjala süpülapünaa nüntajachin ja'akamüin’ ”.
MAT.3.4	Otta Juan, kashe'inshi nia wane süta mürüt kanüliasü “camello”, oo'ulaka nüsi'irain, paa'ata. Eküi kaashapü oo'ulaka mapa. 
MAT.3.5	O'unüsü wayuu watta saalin nünainmüin sulu'ujee Jerusalén, sulu'ujee Judea, je sulu'ujee tü mma sotpünaakat tü süchikat Jordán. 
MAT.3.6	Aküjashii naya süchiki naainjala nümüin Maleiwa, je owoutisaajünüshii nütüma Juan cha'aya shiroku tü süchikat Jordán.
MAT.3.7	Otta süntapa wainma wayuu fariseo oo'ulaka wayuu saduceo nünainmüin Juan shii'iree nuwoutisaajaa, nümakalaka namüin: “Jiakana wüi ouktasiro'ut, e'rülii wayumüin jia. Nnojoleerü kasalajanain jaainjala jümüin jaajüin sükajee ne'e juwoutisaajünüin, nnojoleena jia e'rüin müliaa jaajüin süsala. 
MAT.3.8	Müleka shiimüinreje sünain jükatalaain suulia jaainjala, atüjaaneerü aa'u tia sünainjee tü kasa anasü jaa'inrakat. 
MAT.3.9	Je nnojotsü che'ojaain ju'waataain sulu'u nuu'uliwo'uin jia Abraham. Müleka nnojoliire jaa'inrüin tü nuluwataakat anain jia Maleiwa, süsaleena jia nütüma. Müleka nücheküle Maleiwa, eesü süpüla jaa'a sümeerüin tü ipakalüirua nütüma süpüla shiainjatüin nuu'uliwo'uin Abraham. 
MAT.3.10	Müleka nnojorule jaa'inrüin tü anasükat nu'upala Maleiwa, aleejüneena jia nütüma, maa aka süshottünüin sümaa sujutünüin so'u siki wane wunu'u eekai nnojolüin anain süchon.
MAT.3.11	“Tayakai, wayuu ne'e. Nnojoishi wanaapünaain nümaa Cristo, süka pülashin ma'i nia toulia. Na eekai nayaawajaain suulia naainjala, tawoutisaajüin ne'e naya süka wüin. Otta müshia Cristo, anteechi jünainmüin süpüla naapüinjachin jümüin chi Naa'inkai Maleiwa süpüla eeinjachin nia waneepia jümaa. Akaajasa chi eekai ayatüin sünain naainjala, süsaleechi nia nütüma. 
MAT.3.12	O'tte'enneechi chi eekai nünoujain nünain Cristo, maa aka sükatannüin süchon wane a'ttiee suulia tü suwasalakat süpüla sünaajaanüin. Otta chi eekai niyouktüin Cristo, amülouleechi waneepia, maa aka tü suwasalakat sünain sa'ajünüin”, nümakalaka Juan namüin.
MAT.3.13	Nüntakalaka Jesús chajee Galileajee eemüin tü süchikat Jordán süpüla nuwoutisaajünüin nütüma Juan. 
MAT.3.14	Otta müshia Juan, ayouktajüshi nümüin sünain maa nümüin:
MAT.3.14	—Taya tayakai che'ojaaka amüin owoutisaajünaa pütüma, piakalaka ne'e antüin tanainmüin süpüla tawoutisaajaa —nümakalaka nümüin Jesús.
MAT.3.15	Nüsouktakalaka Jesús nümüin:
MAT.3.15	—Anasü müleka paa'inrüle joo tü tachuntakat pümüin, süka kee'ireein taa'in tekeraajüin süpüshua tü nüchekakat chi Maleiwakai tapüleerua —nümakalaka Jesús.
MAT.3.15	Je süka tü nümakat Jesús, naa'inrüin Juan tü nüchuntakat nümüin. 
MAT.3.16	Kettaapa nuwoutisaajünüin Jesús, asha'walaa müshia nia shirokujee tü wüinkat. Je wanaa ma'i sümaa tia, eerulaasü tü sirumakat chaa iipünaa. Ni'rakalaka Jesús chi Naa'inkai Maleiwa sünain ashakataa nünainmüin sünain müin aka saa'in wane mo'uwa. 
MAT.3.17	Saapünakalaka joo wane pütchi chaa iipünaajee sünain maa: “Anii chi Tachonkai aishikai tapüla. Talatüshi ma'i taya nümaa”.
MAT.4.1	O'uninnüshi Jesús nütüma chi Naa'inkai Maleiwa isashiipa'amüin süpüla nuu'ulakünüin aa'in nütüma Satanás chi sülaülakai yolujaa. 
MAT.4.2	Otta Jesús, süchikijee maa aka pienchi shikii ka'i sünain aamüjaa, ouktüshi nia jamü. 
MAT.4.3	Nüntakalaka joo chi Yolujaakai nünainmüin sünain nümüin nümüin:
MAT.4.3	—Müleka Nüchonle pia Maleiwa, puluwataa türa ipakat shii'iranajaaiwa pan —nümakalaka nümüin Jesús.
MAT.4.4	Asouktüshi Jesús ni'ipajee:
MAT.4.4	—Nnojo. Ashajünüsü paala wane pütchi sulu'u tü karaloukta nüchikimaajatkat Maleiwa, müsü yaa: “Nnojotsü shiain sümüiwa tü pankat katüin atüma so'u wayuu, kateerü o'u shiaya sütüma süpüshua tü nünüikikat chi Maleiwakai” —nümakalaka Jesús nümüin.
MAT.4.5	Nu'uninnakalaka joo Jesús nütüma chi Yolujaakai chamüin Jerusalénmüin eemüin tü a'waajüleekat Maleiwa, sünain nüsha'wale'erüin nia iipünaa süralo'u tü miichikat, 
MAT.4.6	sünain nümüin nümüin:
MAT.4.6	—Müleka Nüchonle pia Maleiwa, pumutta pümata yaajee mmolu'umüin. Aneechi pia saashin tü ashajuushikat makat mayaa:
MAT.4.6	“Nuluwataajeena Maleiwa na aapieekana süpüla naa'inmajüin pia.
MAT.4.6	Najapulu'uinjachi pia suulia sheewa'alaain puu'ui sütüma ipa”,
MAT.4.6	mataa sümakai tü ashajuushikat —nümakalaka chi Yolujaakai nümüin Jesús.
MAT.4.7	Asouktüshi Jesús:
MAT.4.7	—Nnojo. Müsü tü ashajuushikat: “Nnojo juu'ulaküin naa'in chi Jümaleiwasekai” —nümakalaka Jesús nümüin.
MAT.4.8	Nu'uninnakalaka joo Jesús nütüma chi Yolujaakai chamüin iipünaamüin saa'upünaa wane uuchi, sünain nii'iyatüin nümüin tü suumainkalüirua wayuu süpüshua'ale sünain anashaatain ma'i shia. 
MAT.4.9	Nümakalaka nümüin Jesús:
MAT.4.9	—Müleka püsapainyo'ukale pia yaa tamülatu'u sünain pu'waajüin taya, taapeerü pümüin tü suumainkalüirua süpüshua'ale —nümakalaka chi Yolujaakai nümüin Jesús.
MAT.4.10	Asouktüshi Jesús ni'ipajee:
MAT.4.10	—Pu'una pümata toulia Satanás süka ashajuushin paala: “Nia ju'waajüinjachika, chi Jümaleiwasekai nümüiwa, nia ji'yataainjachika amüin nümüiwa” —nümakalaka Jesús nümüin.
MAT.4.11	O'unamaatüshi chi Yolujaakai nuulia Jesús. Anta müsia wane aapieeirua nüma'anajeejatü Maleiwa nünainmüin Jesús süpüla saa'inmajüinjachin nia.
MAT.4.12	Naapapa Jesús nüchiki Juan sünain püreesain nütüma Herodes, ale'ejüshi Galileamüin sulu'umüin tü pueulokat Nazaret. 
MAT.4.13	O'una müshia nia yalajee sulu'umüin tü pueulo kanüliakat Capernaum süpüla kepiainjachin nia cha'aya. Je Capernaum, sotpa'asü tü palaa kanüliakat Galilea. Shia tü mma kepiapü'ükat alu'u sümaiwa paala na wayuu judío nuu'uliwo'ukana Zabulón oo'ulaka Neftalí. 
MAT.4.14	Antüshi Jesús chamüin Capernaum süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma Isaías chi nünüikimaajachikai, tü makat:
MAT.4.15	“Na wayuu kepiakana sulu'u tü mmakat Zabulón oo'ulaka tü mmakat Neftalí,
MAT.4.15	na kepiakana yaa sulu'u tü mmakat Galilea pejekat sünain tü palaakat, pejekat sünain tü süchikat Jordán,
MAT.4.15	na wayuu judíokana oo'ulaka na eekana nnojolüin judíoin,
MAT.4.16	na eepü'ükana sümaa piyuushi sünain kaainjalain,
MAT.4.16	naapeerü mapeena nüchiki chi Maleiwakai süpüla nu'tte'erüin naya”.
MAT.4.17	Shiasa süchikijee so'u ka'ikat tia, o'ttüshi Jesús sünain aküjaa sümüin wayuu sainküin mma sünain maa sümüin: “Jiyaawajaa jumaala suulia jaainjala süka sülü'ülüin nükalia chi Maleiwakai süpüla aluwatawaa jaa'u”.
MAT.4.18	Je wanaa sümaa waraittüin Jesús sotpa'apünaa tü palaa kanüliakat Galilea, ni'rakalaka piamashii wayuu, wane Simón chi kanüliakai Pedro, oo'ulaka Andrés chi nuwalakai. Ajuna'atshii tü nakusüinkat shiroku tü palaakat süka olojüliin naya jime.
MAT.4.19	—Anashii tamaatalai jia. Maa aka olojüliin jia jime, okotchajüinjana jia wayuu tamüin süpüla saapüinjatüin tanüiki —nümakalaka Jesús namüin.
MAT.4.20	Napüta namüsüja tü nakusüinkat süpüla o'unaa nümaa.
MAT.4.21	Nu'unaiwa'aya ne'e Jesús mamüin aka türa, ni'rüin joo piamashii wayuu pawalaawashii, na nüchooinkana Zebedeo. Jacobo nünülia wane, otta Juan chi nuwalakai. Areweentaja'atshii naya tü nakusüinkat yaa sulu'u tü anuakat nümaa chi nashikai. Je neenakünapa nütüma Jesús, 
MAT.4.22	napüta namüsüja tü na'anuainkat oo'ulaka chi nashikai süpüla o'unaa nümaa Jesús.
MAT.4.23	Nu'unakalaka Jesús sainküinpünaa tü mmakat Galilea sünain nikirajüin wayuu sulu'upünaa tü ekirajüleekalüirua wayuu judío cha'aya Galilea. Aküjüshi nia tü pütchi anasükat sümüin wayuu süchiki nukuaippa Maleiwa sünain aluwatawaa, je anasü nütüma wainma wayuu eekai ayuulin sütüma ayuulii eekai eein ne'e. 
MAT.4.24	Su'walakajaakalaka nüchiki Jesús sainküinpünaa Galilea je sainküinpünaa tü mmakat Siria. Je sükajee tia, antinnüsü nünainmüin wainma wayuu eekai ayuulin sütüma ayuulii eekai eein. Antinnüshii na eekai müliain sütüma alin ne'iruku, na eekai kale'eru'uin yolujaa, na eekai ko'kchichijaaraliin, je na eekai ouktüin asa'a. Eiyajünüshii napüshua nütüma. 
MAT.4.25	Oushikajaasü wayuu watta saalin nüchiirua Jesús. Eejatü wayuu sulu'ujee Galilea, sulu'ujee tü poloosükot pueuloirua kanüliasü Decápolis, sulu'ujee Jerusalén oo'ulaka Judea, je sulu'ujee tü mma waneekat sa'ata tü süchikat Jordán.
MAT.5.1	Ni'rapa Jesús tü wattakat saalin wayuu antakat nünainmüin, o'unüshi nia saa'umüin wane namüna süpüla ekirajaa naya. Je nüikkalaapa, arütkaashii na nikirajüinkana nünainmüin. 
MAT.5.2	Nu'ttakalaka sünain ekirajaa tü wattakat saalin wayuu sünain maa namüin:
MAT.5.3	“Anata'aleeshiija'a ma'i jia e'rakana sünain che'ojaain chi Maleiwakai jümüin,
MAT.5.3	süka jikeroteenain chamüin eere nuluwataain.
MAT.5.4	Anata'aleeshiija'a ma'i jia a'yalajakana nümüin Maleiwa saa'u jaainjala,
MAT.5.4	süka jümülianneenain nütüma.
MAT.5.5	Anata'aleeshiija'a ma'i jia nnojoliikana pülain aa'in nuulia Maleiwa,
MAT.5.5	süka saapüneerüin jümüin tü kasa anasü nüsülajeekat.
MAT.5.6	Anata'aleeshiija'a ma'i jia kachiiruakana aa'in aa'inraa tü anasükat,
MAT.5.6	süka nükaaliijain jia Maleiwa süpüla juuntüin jaa'inrüin.
MAT.5.7	Anata'aleeshiija'a ma'i jia amüliajüliikana wayuu,
MAT.5.7	süka jümüliajüneenain.
MAT.5.8	Anata'aleeshiija'a ma'i jia ulekana aa'in,
MAT.5.8	süka ji'reechin Maleiwa.
MAT.5.9	Anata'aleeshiija'a ma'i jia akaaliijakana na juwalayuukana süpüla anajiraainjanain naya,
MAT.5.9	süka ji'nnaajüneenain sünain nüchooin jia Maleiwa.
MAT.5.10	Anata'aleeshiija'a ma'i jia müliakana aa'in sütüma wayuu saaliijee jaa'inrüin tü nüchekakat Maleiwa jüpüleerua,
MAT.5.10	süka jikeroteenain chamüin eere nuluwataain.
MAT.5.11	“Anata'aleeshiija'a ma'i jia müleka shi'rüle wayumüin wayuu jümüin saaliijee jünoujain tanain, müleka shime'erainparale jia je müleka jaashajaanüle sünain mojuin pütchi jüchiki. 
MAT.5.12	Meerü jukuaippa aka nakuaippa na nünüikimaajanakana Maleiwa paala sümaiwa sünain ne'nnüin amüin natüma na jutuushikanairua. Otta jiakana so'u tü ka'i mülieenakat o'u jia sütüma wayuu, talata jia süka süpüshua jaa'in, süka jütüjaain naa'u chi Maleiwakai sünain nüsülajüinjatüin kasa anashaatakat jümüin chaa iipünaa eere nia”, nümakalaka Jesús namüin.
MAT.5.13	“Jiakana, müshii aka jia saa'in ichii jalouikat sümüin wayuu süpüshua. Maa aka nnojolüin sümojujaain asalaa sütüma ichii, akaainjana jia sümüin tü wayuukolüirua süpüla nnojolüinjatüin koo'omüin ma'i saainjala. Otta müleka me'ejüle tü ichiikat, nnojoleerü kasain saamüin sümüin wayuu. Ojotünüsü ne'e anouipa'a süka nnojolüin anain süpüla ekünaa je süpüla shiküin mürüt. Akaajaa chi wayuu eekai nnojolüin noonooin sümaa tanüiki, nnojoleerü kasain naamüin tamüin.
MAT.5.14	“Müshii aka jia saa'in wane anakia, süka shiyaawatüinjatüin saa'u tü shiimüinkat wayuu jütüma. Maa aka ja'yain wane pueulo iipünaa saa'u namüna, akaajaa jiakana sünain jii'iyatüin tü shiimüinkat waneepia sümüin wayuu. 
MAT.5.15	¿Jalasü e'itaanüin wane luusa shipejaanüle? ¿E'itaanüsü cheje suupünaa wushu? Nnojo. E'itaanüsü eere süpülee luusa süpüla sünaküinjatüin kasa süpüshua. 
MAT.5.16	Akaajaa jiakana, müleka jaa'inrüin waneepia tü anasükat su'upala wayuu. Je sükajee ne'rüin tü kasa anasü jaa'inrakat, nayaawateerü aa'u nukuaippa Maleiwa je na'waajeechin nia.
MAT.5.17	“¿Antüshi taya jaajüin süpüla sümalajaainjatüin tatüma tü nuluwataakat anain Moisés oo'ulaka tü nashajakat na nünüikimaajanakana Maleiwa? Nnojo. Shia tantaka apüla takaaliijain jia süpüla joonooinjanain sümaa tü nümakat Maleiwa. 
MAT.5.18	Shiimüin tü tamakat jümüin: Tü mmakat je tü kasa chakat iipünaa, aja'lajaweerü so'uweena wane ka'i. Otta tü nünüikikat chi Maleiwakai ashajünakat paala nütüma Moisés, nnojoleerü aja'ttüin waneeshikaiyaaje no'u pütchi sünainjee wane'ere'eya shikeraajapa süpüshua tü süküjakat achiki. 
MAT.5.19	Chi wayuu eekai moonooin sümaa tü pütchi aluwataanakat anain nütüma Moisés, ja'itairü waneeshikaije ne'e pütchi shiyouktünüle nütüma, otta nikirajüle wayuu sünain moonooloinjanain naya sümaa, mojuteechi nia cha'aya eere nuluwataain Maleiwa. Akaajaa chi oonookai sümaa tü nuluwataakat anain, sümaa nikirajüin sünain, kojuteechi nia cha'aya. 
MAT.5.20	Tamüshii paala jia: Müleka nnojorule jülatüin sünain anain jia noulia na fariseokana oo'ulaka na karalouktamaajanakana sünain jikeraajüin tü nüchekalakat chi Maleiwakai jüpüleerua, shiimüin sünain nnojoleenain ekerolüin jia cha'aya eere nuluwataain Maleiwa.
MAT.5.21	“Ji'raajüin tü nümapü'ükat Moisés namüin na jutuushinuukana sümaiwa paala, tü makat mayaa: ‘Nnojo pu'utüin saa'in wayuu. Je chi o'utakai saa'in wayuu, shiimüin sünain kasalajaneerüin nümüin tü naa'inrakat’. 
MAT.5.22	Otta tanüiki tayakai joolu'u jümüin, müsü mayaa: Chi eekai naashichijaain nümüin wane nuwala, shiimüin sünain kasalajaneerüin nümüin tia nütüma Maleiwa. Otta müshia chi eekai ni'rüin wayumüin süka nünüiki nümüin wane nuwala, shiimüin sünain kasalajaneerüin nümüin tia natüma na laülaayuukana. Otta müshia chi eekai mojuin nünüiki nümüin wane nuwala sünain ‘maa'in aa'inchi pia’ sünain nümüin nümüin, eesü süpüla nujutüneechin so'umüin tü sikikat eere süpülee tü ouktüsükalüirua.
MAT.5.23	“Sükajee tüü, wanaa sümaa püsülajüin kasa nümüin Maleiwa eere süpülee asülajaa, müleka sotüle paa'in sünain mojuin nünüiki pümüin wane puwala, 
