MAT.1.1	Книга родства Иисуса Христа, сына давидова, сына авраамля. 
MAT.2.3	Слышав же ирод царь смутися, и весь Иерусалим с ним. 
MAT.2.4	И собрав вся первосвященники и книжники людския, вопрошаше от них: где Христос раждается? 
MAT.2.5	Они же рекоша ему: в вифлееме иудейстем, тако бо писано есть пророком: 
MAT.2.6	и ты, вифлееме, земле иудова, ни чимже менши еси во владыках иудовых: из тебе бо изыдет вождь, иже упасет люди моя израиля. 
MAT.2.7	Тогда ирод тай призва волхвы, и испытоваше от них время явльшияся звезды, 
MAT.2.8	и послав их в вифлеем, рече: шедше испытайте известно о отрочати: егда же обрящете, возвестите ми, яко да и аз шед поклонюся ему. 
MAT.2.9	Они же послушавше царя, идоша. И се, звезда, юже видеша на востоце, идяше пред ними, дондеже пришедши ста верху, идеже бе отроча. 
MAT.2.10	Видевше же звезду, возрадовашася радостию велиею зело, 
MAT.2.11	и пришедше в храмину, видеша отроча с Мариею Материю его, и падше поклонишася ему: и отверзше сокровища своя, принесоша ему дары, злато и ливан и смирну. 
MAT.2.12	И весть приемше во сне не возвратитися ко ироду, иным путем отидоша во страну свою. 
MAT.2.13	Отшедшым же им, се, ангел Господень во сне явися иосифу, глаголя: востав поими отроча и Матерь его, и бежи во египет, и буди тамо, дондеже реку ти: хощет бо ирод искати отрочате, да погубит е. 
MAT.2.14	Он же востав, поят отроча и Матерь его нощию, и отиде во египет, 
MAT.2.15	и бе тамо до умертвия иродова: да сбудется реченное от Господа пророком, глаголющим: от египта воззвах Сына моего. 
MAT.2.16	Тогда ирод видев, яко поруган бысть от волхвов, разгневася зело и послав изби вся дети сущыя в вифлееме и во всех пределех его, от двою лету и нижайше, по времени, еже известно испыта от волхвов. 
MAT.2.17	Тогда сбыстся реченное иеремием пророком, глаголющим: 
MAT.2.18	глас в раме слышан бысть, плачь и рыдание и вопль мног: рахиль плачущися чад своих, и не хотяше утешитися, яко не суть. 
MAT.2.19	Умершу же ироду, се, ангел Господень во сне явися иосифу во египте, 
MAT.2.20	глаголя: востав поими отроча и Матерь его и иди в землю израилеву, изомроша бо ищущии души отрочате. 
MAT.2.21	Он же востав, поят отроча и Матерь его и прииде в землю израилеву. 
MAT.2.22	Слышав же, яко архелай царствует во иудеи вместо ирода отца своего, убояся тамо ити: весть же приемь во сне, отиде в пределы галилейския 
MAT.2.23	и пришед вселися во граде нарицаемем назарет: яко да сбудется реченное пророки, яко назорей наречется.
MAT.3.1	Во дни же оны прииде иоанн креститель, проповедая в пустыни иудейстей 
MAT.3.2	и глаголя: покайтеся, приближибося Царствие небесное. 
MAT.3.3	Сей бо есть реченный исаием пророком, глаголющим: глас вопиющаго в пустыни: уготовайте путь Господень, правы творите стези его. 
MAT.3.4	Сам же иоанн имяше ризу свою от влас велблуждь и пояс усмен о чреслех своих: снедь же его бе пружие и мед дивий. 
MAT.3.5	Тогда исхождаше к нему Иерусалима, и вся иудеа, и вся страна иорданская, 
MAT.3.6	и крещахуся во иордане от него, исповедающе грехи своя. 
MAT.3.7	Видев же (иоанн) многи фарисеи и саддукеи грядущыя на крещение его, рече им: рождения ехиднова, кто сказа вам бежати от будущаго гнева? 
MAT.3.8	сотворите убо плод достоин покаяния, 
MAT.3.9	и не начинайте глаголати в себе: отца имамы авраама: глаголю бо вам, яко может Бог от камения сего воздвигнути чада аврааму: 
MAT.3.10	уже бо и секира при корени древа лежит: всяко убо древо, еже не творит плода добра, посекаемо бывает и во огнь вметаемо: 
MAT.3.11	аз убо крещаю вы водою в покаяние: грядый же по мне креплий мене есть, емуже несмь достоин сапоги понести: той вы крестит Духом святым и огнем: 
MAT.3.12	емуже лопата в руце его, и отребит гумно свое, и соберет пшеницу свою в житницу, плевы же сожжет огнем негасающим. 
MAT.3.13	Тогда приходит Иисус от галилеи на иордан ко иоанну креститися от него. 
MAT.3.14	Иоанн же возбраняше ему, глаголя: аз требую тобою креститися, и ты ли грядеши ко мне? 
MAT.3.15	Отвещав же Иисус рече к нему: остави ныне: тако бо подобает нам исполнити всяку правду. Тогда остави его. 
MAT.3.16	И крестився Иисус взыде абие от воды: и се, отверзошася ему небеса, и виде Духа Божия сходяща яко голубя и грядуща на него. 
MAT.3.17	И се, глас с небесе глаголя: сей есть Сын мой возлюбленный, о немже благоволих.
MAT.4.1	Тогда Иисус возведен бысть Духом в пустыню искуситися от диавола, 
MAT.4.2	и постився дний четыредесять и нощий четыредесять, последи взалка. 
MAT.4.3	И приступль к нему искуситель рече: аще Сын еси Божий, рцы, да камение сие хлебы будут. 
MAT.4.4	Он же отвещав рече: писано есть: не о хлебе единем жив будет человек, но о всяцем глаголголе исходящем изо уст Божиих. 
MAT.4.5	Тогда поят его диавол во святый град, и постави его на криле церковнем, 
MAT.4.6	и глагола ему: аще Сын еси Божий, верзися низу: писано бо есть, яко ангелом своим заповесть о тебе (сохранити тя), и на руках возмут тя, да не когда преткнеши о камень ногу твою. 
MAT.4.7	Рече (же) ему Иисус: паки писано есть: не искусиши Господа Бога твоего. 
MAT.4.8	Паки поят его диавол на гору высоку зело, и показа ему вся царствия мира и славу их, 
MAT.4.9	и глагола ему: сия вся тебе дам, аще пад поклонишимися. 
MAT.4.10	Тогда глагола ему Иисус: иди за мною, сатано: писано бо есть: Господу Богу твоему поклонишися и тому единому послужиши. 
MAT.4.11	Тогда остави его диавол, и се, ангели приступиша и служаху ему. 
MAT.4.12	Слышав же Иисус, яко иоанн предан бысть, отиде в галилею, 
MAT.4.13	и оставль назарет, пришед вселися в капернаум в поморие, в пределех завулоних и неффалимлих: 
MAT.4.14	да сбудется реченное исаием пророком, глаголющим: 
MAT.4.15	земля завулоня и земля неффалимля, путь моря об он пол иордана, галилеа язык, 
MAT.4.16	людие седящии во тме видеша свет велий, и седящым в стране и сени смертней, свет возсия им. 
MAT.4.17	Оттоле начат Иисус проповедати и глаголати: покайтеся, приближися бо Царство небесное. 
MAT.4.18	Ходя же при мори галилейстем, виде два брата, симона глаголемаго петра, и андреа брата его, вметающа мрежи в море, беста бо рыбаря: 
MAT.4.19	и глагола има: грядита по мне, и сотворю вы ловца человеком. 
MAT.4.20	Она же абие оставльша мрежи, по нем идоста. 
MAT.4.21	И прешед оттуду, виде ина два брата, иакова зеведеева, и иоанна брата его, в корабли с зеведеом отцем ею, завязующа мрежи своя, и воззва я. 
MAT.4.22	Она же абие оставльша корабль и отца своего, по нем идоста. 
MAT.4.23	И прохождаше всю галилею Иисус, учя на сонмищих их и проповедая Евангелие Царствия, изцеляя всяк недуг и всяку язю в людех. 
MAT.4.24	И изыде слух его по всей сирии: и приведоша к нему вся болящыя, различными недуги и страстьми одержимы, и бесны, и месячныя, и разслабленныя (жилами): и изцели их. 
MAT.4.25	И по нем идоша народи мнози от галилеи и десяти град, и от Иерусалима и иудеи, и со онаго полу иордана.
MAT.5.1	Узрев же народы, взыде на гору: и седшу ему, приступиша к нему ученицы его. 
MAT.5.2	И отверз уста своя, учаше их, глаголя: 
MAT.5.3	блажени нищии духом: яко тех есть Царствие небесное. 
MAT.5.4	Блажени плачущии: яко тии утешатся. 
MAT.5.5	Блажени кротцыи: яко тии наследят землю. 
MAT.5.6	Блажени алчущии и жаждущии правды: яко тии насытятся. 
MAT.5.7	Блажени милостивии: яко тии помиловани будут. 
MAT.5.8	Блажени честии сердцем: яко тии Бога узрят. 
MAT.5.9	Блажени миротворцы: яко тии сынове Божии нарекутся. 
MAT.5.10	Блажени изгнани правды ради: яко тех есть Царствие небесное. 
MAT.5.11	Блажени есте, егда поносят вам, и ижденут, и рекут всяк зол глагол на вы лжуще, мене ради: 
MAT.5.12	радуйтеся и веселитеся, яко мзда ваша многа на небесех: тако бо изгнаша пророки, иже (беша) прежде вас. 
MAT.5.13	Вы есте соль земли: аще же соль обуяет, чим осолится? ни во чтоже будет ктому, точию да изсыпана будет вон и попираема человеки. 
MAT.5.14	Вы есте свет мира: не может град укрытися верху горы стоя: 
MAT.5.15	ниже вжигают светилника и поставляют его под спудом, но на свещнице, и светит всем, иже в храмине (суть). 
MAT.5.16	Тако да просветится свет ваш пред человеки, яко да видят ваша добрая дела и прославят Отца вашего, иже на небесех. 
MAT.5.17	(Да) не мните, яко приидох разорити закон, или пророки: не приидох разорити, но исполнити. 
MAT.5.18	Аминь бо глаголю вам: дондеже прейдет небо и земля, иота едина, или едина черта не прейдет от закона, дондеже вся будут. 
MAT.5.19	Иже аще разорит едину заповедий сих малых и научит тако человеки, мний наречется в Царствии небеснем: а иже сотворит и научит, сей велий наречется в Царствии небеснем. 
MAT.5.20	глаголю бо вам, яко аще не избудет правда ваша паче книжник и фарисей, не внидете в Царствие небесное. 
MAT.5.21	Слышасте, яко речено бысть древним: не убиеши: иже (бо) аще убиет, повинен есть суду. 
MAT.5.22	Аз же глаголю вам, яко всяк гневаяйся на брата своего всуе повинен есть суду: иже бо аще речет брату своему: рака, повинен есть сонмищу: а иже речет: уроде, повинен есть геенне огненней. 
MAT.5.23	Аще убо принесеши дар твой ко олтарю и ту помянеши, яко брат твой имать нечто на тя: 
MAT.5.24	остави ту дар твой пред олтарем и шед прежде смирися с братом твоим, и тогда пришед принеси дар твой. 
MAT.5.25	Буди увещаваяся с соперником твоим скоро, дондеже еси на пути с ним, да не предаст тебе соперник судии, и судия тя предаст слузе, и в темницу ввержен будеши: 
MAT.5.26	аминь глаголю тебе: не изыдеши оттуду, дондеже воздаси последний кодрант. 
MAT.5.27	Слышасте, яко речено бысть древним: не прелюбы сотвориши. 
MAT.5.28	Аз же глаголю вам, яко всяк, иже воззрит на жену ко еже вожделети ея, уже любодействова с нею в сердцы своем: 
MAT.5.29	аще же око твое десное соблажняет тя, изми е и верзи от себе: уне бо ти есть, да погибнет един от уд твоих, а не все тело твое ввержено будет в геенну (огненную): 
MAT.5.30	и аще десная твоя рука соблажняет тя, усецы ю и верзи от себе: уне бо ти есть, да погибнет един от уд твоих, а не все тело твое ввержено будет в геенну. 
MAT.5.31	Речено же бысть, яко иже аще пустит жену свою, да даст ей книгу распустную. 
MAT.5.32	Аз же глаголю вам, яко всяк отпущаяй жену свою, разве словесе любодейнаго, творит ю прелюбодействовати: и иже пущеницу поймет, прелюбодействует. 
MAT.5.33	Паки слышасте, яко речено бысть древним: не во лжу кленешися, воздаси же Господеви клятвы твоя. 
MAT.5.34	Аз же глаголю вам не клятися всяко: ни небом, яко престол есть Божий: 
MAT.5.35	ни землею, яко подножие есть ногама его: ни Иерусалимом, яко град есть великаго Царя: 
MAT.5.36	ниже главою твоею кленися, яко не можеши власа единаго бела или черна сотворити: 
MAT.5.37	буди же слово ваше: ей, ей: ни, ни: лишше же сею от неприязни есть. 
MAT.5.38	Слышасте, яко речено бысть: око за око, и зуб за зуб. 
MAT.5.39	Аз же глаголю вам не противитися злу: но аще тя кто ударит в десную твою ланиту, обрати ему и другую: 
MAT.5.40	и хотящему судитися с тобою и ризу твою взяти, отпусти ему и срачицу: 
MAT.5.41	и аще кто тя поймет по силе поприще едино, иди с ним два. 
MAT.5.42	Просящему у тебе дай, и хотящаго от тебе заяти не отврати. 
MAT.5.43	Слышасте, яко речено есть: возлюбиши искренняго твоего и возненавидиши врага твоего. 
MAT.5.44	Аз же глаголю вам: любите враги вашя, благословите кленущыя вы, добро творите ненавидящым вас, и молитеся за творящих вам напасть и изгонящыя вы, 
MAT.5.45	яко да будете сынове Отца вашего, иже есть на небесех: яко солнце свое сияет на злыя и благия и дождит на праведныя и на неправедныя. 
MAT.5.46	Аще бо любите любящих вас, кую мзду имате? не и мытари ли тожде творят? 
MAT.5.47	И аще целуете други вашя токмо, что лишше творите? не и язычницы ли такожде творят? 
MAT.5.48	Будите убо вы совершени, якоже Отец ваш небесный совершен есть.
MAT.6.1	Внемлите милостыни вашея не творити пред человеки, да видими будете ими: аще ли же ни, мзды не имате от Отца вашего, иже есть на небесех. 
MAT.6.2	Егда убо твориши милостыню, не воструби пред собою, якоже лицемери творят в сонмищих и в стогнах, яко да прославятся от человек. Аминь глаголю вам, восприемлют мзду свою. 
MAT.6.3	Тебе же творящу милостыню, да не увесть шуйца твоя, что творит десница твоя, 
MAT.6.4	яко да будет милостыня твоя в тайне: и Отец твой, видяй в тайне, той воздаст тебе яве. 
MAT.6.5	И егда молишися, не буди якоже лицемери, яко любят в сонмищих и в стогнах путий стояще молитися, яко да явятся человеком. Аминь глаголю вам, яко восприемлют мзду свою. 
MAT.6.6	Ты же, егда молишися, вниди в клеть твою, и затворив двери твоя, помолися Отцу твоему, иже в тайне: и Отец твой, видяй в тайне, воздаст тебе яве. 
MAT.6.7	Молящеся же не лишше глаголите, якоже язычницы: мнят бо, яко во многоглаголании своем услышани будут: 
MAT.6.8	не подобитеся убо им: весть бо Отец ваш, ихже требуете, прежде прошения вашего. 
MAT.6.9	Сице убо молитеся вы: Отче наш, иже еси на небесех, да святится имя твое: 
MAT.6.10	да приидет Царствие твое: да будет воля твоя, яко на небеси, и на земли: 
MAT.6.11	хлеб наш насущный даждь нам днесь: 
MAT.6.12	и остави нам долги нашя, яко и мы оставляем должником нашым: 
MAT.6.13	и не введи нас в напасть, но избави нас от лукаваго: яко твое есть Царствие и сила и слава во веки. Аминь. 
MAT.6.14	Аще бо отпущаете человеком согрешения их, отпустит и вам Отец ваш небесный: 
MAT.6.15	аще ли не отпущаете человеком согрешения их, ни Отец ваш отпустит вам согрешений ваших. 
MAT.6.16	Егда же поститеся, не будите якоже лицемери сетующе: помрачают бо лица своя, яко да явятся человеком постящеся. Аминь глаголю вам, яко восприемлют мзду свою. 
MAT.6.17	Ты же постяся помажи главу твою, и лице твое умый, 
MAT.6.18	яко да не явишися человеком постяся, но Отцу твоему, иже в тайне: и Отец твой, видяй в тайне, воздаст тебе яве. 
MAT.6.19	Не скрывайте себе сокровищ на земли, идеже червь и тля тлит, и идеже татие подкопывают и крадут: 
MAT.6.20	скрывайте же себе сокровище на небеси, идеже ни червь, ни тля тлит, и идеже татие не подкопывают, ни крадут: 
MAT.6.21	идеже бо есть сокровище ваше, ту будет и сердце ваше. 
MAT.6.22	Светилник телу есть око. Аще убо будет око твое просто, все тело твое светло будет: 
MAT.6.23	аще ли око твое лукаво будет, все тело твое темно будет. Аще убо свет, иже в тебе, тма есть, то тма кольми? 
MAT.6.24	Никтоже может двема господинома работати: любо единаго возлюбит, а другаго возненавидит: или единаго держится, о друзем же нерадити начнет. Не можете Богу работати и мамоне. 
MAT.6.25	Сего ради глаголю вам: не пецытеся душею вашею, что ясте, или что пиете: ни телом вашим, во что облечетеся. Не душа ли болши есть пищи, и тело одежди? 
MAT.6.26	Воззрите на птицы небесныя, яко не сеют, ни жнут, ни собирают в житницы, и Отец ваш небесный питает их. Не вы ли паче лучши их есте? 
MAT.6.27	Кто же от вас пекийся может приложити возрасту своему лакоть един? 
MAT.6.28	И о одежди что печетеся? Смотрите крин селных, како растут: не труждаются, ни прядут: 
MAT.6.29	глаголю же вам, яко ни соломон во всей славе своей облечеся, яко един от сих: 
MAT.6.30	аще же сено селное, днесь суще и утре в пещь вметаемо, Бог тако одевает, не много ли паче вас, маловери? 
MAT.6.31	Не пецытеся убо, глаголюще: что ямы, или что пием, или чим одеждемся? 
MAT.6.32	Всех бо сих языцы ищут: весть бо Отец ваш небесный, яко требуете сих всех. 
MAT.6.33	Ищите же прежде Царствия Божия и правды его, и сия вся приложатся вам. 
MAT.6.34	Не пецытеся убо на утрей, утрений бо собою печется: довлеет дневи злоба его.
MAT.7.1	Не судите, да не судими будете: 
MAT.7.2	имже бо судом судите, судят вам: и в нюже меру мерите, возмерится вам. 
MAT.7.3	Что же видиши сучец, иже во оце брата твоего, бервна же, еже есть во оце твоем, не чуеши? 
MAT.7.4	Или како речеши брату твоему: остави, да изму сучец из очесе твоего: и се, бервно во оце твоем? 
MAT.7.5	Лицемере, изми первее бервно из очесе твоего, и тогда узриши изяти сучец из очесе брата твоего. 
MAT.7.6	Не дадите святая псом, ни пометайте бисер ваших пред свиниями, да не поперут их ногами своими и вращшеся расторгнут вы. 
MAT.7.7	Просите, и дастся вам: ищите, и обрящете: толцыте, и отверзется вам: 
MAT.7.8	всяк бо просяй приемлет, и ищяй обретает, и толкущему отверзется. 
MAT.7.9	Или кто есть от вас человек, егоже аще воспросит сын его хлеба, еда камень подаст ему? 
MAT.7.10	Или аще рыбы просит, еда змию подаст ему? 
MAT.7.11	Аще убо вы, лукави суще, умеете даяния блага даяти чадом вашым, кольми паче Отец ваш небесный даст блага просящым у него. 
MAT.7.12	Вся убо, елика аще хощете, да творят вам человецы, тако и вы творите им: се бо есть закон и пророцы. 
MAT.7.13	Внидите узкими враты: яко пространная врата и широкий путь вводяй в пагубу, и мнози суть входящии им: 
MAT.7.14	что узкая врата, и тесный путь вводяй в живот, и мало их есть, иже обретают его. 
MAT.7.15	Внемлите же от лживых пророк, иже приходят к вам во одеждах овчих, внутрь же суть волцы хищницы: 
MAT.7.16	от плод их познаете их. Еда о‹емлют от терния грозды, или от репия смоквы? 
MAT.7.17	Тако всяко древо доброе плоды добры творит, а злое древо плоды злы творит: 
MAT.7.18	не может древо добро плоды злы творити, ни древо зло плоды добры творити. 
MAT.7.19	Всяко убо древо, еже не творит плода добра, посекают е и во огнь вметают. 
MAT.7.20	Темже убо от плод их познаете их. 
MAT.7.21	Не всяк глаголяй ми: Господи, Господи, внидет в Царствие небесное: но творяй волю Отца моего, иже есть на небесех. 
MAT.7.22	Мнози рекут мне во он день: Господи, Господи, не в твое ли имя пророчествовахом, и твоим именем бесы изгонихом, и твоим именем силы многи сотворихом? 
MAT.7.23	И тогда исповем им, яко николиже знах вас: отидите от мене, делающии беззаконие. 
MAT.7.24	Всяк убо, иже слышит словеса моя сия и творит я, уподоблю его мужу мудру, иже созда храмину свою на камени: 
MAT.7.25	и сниде дождь, и приидоша реки, и возвеяша ветри, и нападоша на храмину ту: и не падеся, основана бо бе на камени. 
MAT.7.26	И всяк слышай словеса моя сия, и не творя их, уподобится мужу уродиву, иже созда храмину свою на песце: 
MAT.7.27	и сниде дождь, и приидоша реки, и возвеяша ветри, и опрошася храмине той, и падеся: и бе разрушение ея велие. 
MAT.7.28	И бысть егда сконча Иисус словеса сия, дивляхуся народи о учении его: 
MAT.7.29	бе бо учя их яко власть имея, и не яко книжницы (и фарисее).
MAT.8.1	Сшедшу же ему с горы, вслед его идяху народи мнози. 
MAT.8.2	И се, прокажен пришед кланяшеся ему, глаголя: Господи, аще хощеши, можеши мя очистити. 
MAT.8.3	И простер руку Иисус, коснуся ему, глаголя: хощу, очистися. И абие очистися ему проказа. 
MAT.8.4	И глагола ему Иисус: виждь, ни комуже повеждь: но шед покажися иереови и принеси дар, егоже повеле (в законе) моисей, во свидетелство им. 
MAT.8.5	Вшедшу же ему в капернаум, приступи к нему сотник, моля его 
MAT.8.6	и глаголя: Господи, отрок мой лежит в дому разслаблен, люте стражда. 
MAT.8.7	И глагола ему Иисус: аз пришед изцелю его. 
MAT.8.8	И отвещав сотник, рече (ему): Господи, несмь достоин, да под кров мой внидеши: но токмо рцы слово, и изцелеет отрок мой: 
MAT.8.9	ибо аз человек есмь под властию, имый под собою воины: и глаголю сему: иди, и идет: и другому: прииди, и приходит: и рабу моему: сотвори сие, и сотворит. 
MAT.8.10	Слышав же Иисус, удивися, и рече грядущым по нем: аминь глаголю вам: ни во израили толики веры обретох. 
MAT.8.11	глаголю же вам, яко мнози от восток и запад приидут и возлягут со авраамом и исааком и иаковом во Царствии небеснем: 
MAT.8.12	сынове же царствия изгнани будут во тму кромешнюю: ту будет плачь и скрежет зубом. 
MAT.8.13	И рече Иисус сотнику: иди, и якоже веровал еси, буди тебе. И изцеле отрок его в той час. 
MAT.8.14	И пришед Иисус в дом петров, виде тещу его лежащу и огнем жегому, 
MAT.8.15	и прикоснуся руце ея, и остави ю огнь: и воста и служаше ему. 
MAT.8.16	Позде же бывшу, приведоша к нему бесны многи: и изгна духи словом и вся болящыя изцели: 
MAT.8.17	да сбудется реченное исаием пророком, глаголющим: той недуги нашя прият и болезни понесе. 
MAT.8.18	Видев же Иисус многи народы окрест себе, повеле (учеником) ити на он пол. 
MAT.8.19	И приступль един книжник, рече ему: учителю, иду по тебе, аможе аще идеши. 
MAT.8.20	глагола ему Иисус: лиси язвины имут, и птицы небесныя гнезда: Сын же Человеческий не имать где главы подклонити. 
MAT.8.21	Другий же от ученик его рече ему: Господи, повели ми прежде ити и погребсти отца моего. 
MAT.8.22	Иисус же рече ему: гряди по мне и остави мертвых погребсти своя мертвецы. 
MAT.8.23	И влезшу ему в корабль, по нем идоша ученицы его. 
MAT.8.24	И се, трус велик бысть в мори, якоже кораблю покрыватися волнами: той же спаше. 
MAT.8.25	И пришедше ученицы его возбудиша его, глаголюще: Господи, спаси ны, погибаем. 
MAT.8.26	И глагола им: что страшливи есте, маловери? Тогда востав запрети ветром и морю, и бысть тишина велия. 
MAT.8.27	Человецы же чудишася, глаголюще: кто есть сей, яко и ветри и море послушают его? 
MAT.8.28	И пришедшу ему на он пол, в страну гергесинскую, сретоста его два бесна от гроб исходяща, люта зело, яко не мощи ни кому минути путем тем. 
MAT.8.29	И се, возописта глаголюща: что нама и тебе, Иисусе Сыне Божий? пришел еси семо прежде времене мучити нас. 
MAT.8.30	Бяше же далече от нею стадо свиний много пасомо. 
MAT.8.31	Беси же моляху его, глаголюще: аще изгониши ны, повели нам ити в стадо свиное. 
MAT.8.32	И рече им: идите. Они же изшедше идоша в стадо свиное: и се, (абие) устремися стадо все по брегу в море, и утопоша в водах. 
MAT.8.33	Пасущии же бежаша, и шедше во град, возвестиша вся, и о бесною. 
MAT.8.34	И се, весь град изыде в сретение Иисусови: и видевше его, молиша, яко дабы прешел от предел их.
MAT.9.1	И влез в корабль, прейде и прииде во свой град. 
MAT.9.2	И се, принесоша ему разслаблена (жилами), на одре лежаща: и видев Иисус веру их, рече разслабленному: дерзай, чадо, отпущаются ти греси твои. 
MAT.9.3	И се, нецыи от книжник реша в себе: сей хулит. 
MAT.9.4	И видев Иисус помышления их, рече: вскую вы мыслите лукавая в сердцах своих? 
MAT.9.5	что бо есть удобее рещи: отпущаются ти греси: или рещи: востани и ходи? 
MAT.9.6	но да увесте, яко власть имать Сын Человеческий на земли отпущати грехи: тогда глагола разслабленному: востани, возми твой одр и иди в дом твой. 
MAT.9.7	И востав, (взем одр свой,) иде в дом свой. 
MAT.9.8	Видевше же народи чудишася и прославиша Бога, давшаго власть таковую человеком. 
MAT.9.9	И преходя Иисус оттуду, виде человека седяща на мытнице, матфеа глаголема: и глагола ему: по мне гряди. И востав по нем иде. 
MAT.9.10	И бысть ему возлежащу в дому, и се, мнози мытари и грешницы пришедше возлежаху со Иисусом и со ученики его. 
MAT.9.11	И видевше фарисее, глаголаху учеником его: почто с мытари и грешники учитель ваш яст и пиет? 
MAT.9.12	Иисус же слышав рече им: не требуют здравии врача, но болящии: 
MAT.9.13	шедше же научитеся, что есть: милости хощу, а не жертвы? не приидох бо призвати праведники, но грешники на покаяние. 
MAT.9.14	Тогда приступиша к нему ученицы иоанновы, глаголюще: почто мы и фарисее постимся много, ученицы же твои не постятся? 
MAT.9.15	И рече им Иисус: еда могут сынове брачнии плакати, елико время с ними есть жених? Приидут же дние, егда отимется от них жених, и тогда постятся. 
MAT.9.16	Никтоже бо приставляет приставления плата небелена ризе ветсе: возмет бо кончину свою от ризы, и горша дира будет. 
MAT.9.17	Ниже вливают вина нова в мехи ветхи: аще ли же ни, то просадятся меси, и вино пролиется, и меси погибнут: но вливают вино ново в мехи новы, и обое соблюдется. 
MAT.9.18	Сия ему глаголющу к ним, се, князь некий пришед кланяшеся ему, глаголя, яко дщи моя ныне умре: но пришед возложи на ню руку твою, и оживет. 
MAT.9.19	И востав Иисус по нем иде, и ученицы его. 
MAT.9.20	И се, жена кровоточива дванадесяте лет, приступльши созади, прикоснуся воскрилию ризы его, 
MAT.9.21	глаголаше бо в себе: аще токмо прикоснуся ризе его, спасена буду. 
MAT.9.22	Иисус же обращься и видев ю, рече: дерзай, дщи, вера твоя спасе тя. И спасена бысть жена от часа того. 
MAT.9.23	И пришед Иисус в дом княжь, и видев сопцы и народ молвящь, 
MAT.9.24	глагола им: отидите, не умре бо девица, но спит. И ругахуся ему. 
