MAT.1.1	Yisa Masia chɔɔŋkʋʋlɩŋ saara wʋnna: die ʋ yiwo Davidi haagɩŋ ta Davidi dɩaŋ dɩ yi Abarahami haagɩŋ.
MAT.2.5	Die ba baarɩ, “Betilehemi tɩŋ, Judia tɩŋgbaŋ ma ma. Naa, Ŋmɩŋ naazʋalɩba die dɩ maagɩ.
MAT.2.6	‘Fʋnɩŋ Betilehemi dɩ benne Judia tɩŋgbaŋ ma,
MAT.2.6	ka yi tɩgɩbiŋ
MAT.2.6	dama fʋ sʋŋ naaŋ wʋnyɩ dɩ baa ʋ nyɩŋ
MAT.2.6	a keŋ a dɩ n vuosisi dɩ benne Izara tɩŋgbaŋka ma nɩŋŋa.’ ”
MAT.2.7	Naa chɩaŋ ma die naaŋ Herodi die dɩ wa chaamba die dɩ nyɩnna ŋmɩŋ pɔsɩŋ chaakʋ a lɔbɩrɩ a juu juoŋ me a pɩasɩ ba saŋŋa dieke gbaŋ gbaŋ chɩŋmarɩkʋ die dɩ nyɩnna. 
MAT.2.8	Womi die ʋ taaŋ ba dɩ ba ga Betilehemi aŋaŋ wɩaha gie: “Nɩ gamma a kpaŋŋɩ nɩ gbaŋ a mɩŋŋɩ a daansɩ a yaalɩ bʋa wa jigiŋ amʋ nɩ keŋ a ye ʋ benne jigidieke nɩ vaa n tɩbɩŋ wʋŋ amʋ n gbaŋ n ga a jɩaŋ wa.”
MAT.2.9+MAT.2.10	Die ba nyɩnna mi a gara wa, sieŋ me die ba bɩ ye chɩŋmarɩka gbaŋ gbaŋ die dɩ pɔsɩna a nyɩŋ ŋmɩŋ pɔsɩŋ chaakʋ, die ba yene ke wo ba sʋgɩtɩ die dɩ paalɩ fɩalɩ, ka dɩ ba nɩŋŋa a ga zie tigidieke me bʋa wa dɩ benne wo sikpeŋ. 
MAT.2.11	Die ba ga a juu tigiri me a ye bʋa wa aŋaŋ ʋ nuŋ Meri; die ba sʋʋŋ a gbirigi a jɩaŋ bʋa wa, a yuori ba bʋlɔga a vʋarɩ piini a yɩ wa; die a yiwo salɩma aŋaŋ tulaari dieke ba wasɩnana farankinsinsi aŋaŋ tulaari dieke ba wasɩnana miri.
MAT.2.12	Die Ŋmɩŋ dɩ balɩ a yɩ ba ba daansa ma sɩba ba da keŋ yiŋŋi a ga naaŋ Herodi jigiri, die ba nyɩŋ a daagɩ siegaaŋ a kuli ba tɩŋ.
MAT.2.13	Die sɩsɩbɩrɩba dɩ yiŋŋine a ga ta Ŋmɩŋ malaka die dɩ nyɩŋ Josefu jigiŋ ʋ daansa ma a die a balɩ wa, “Herodi nan dɩ yaala bʋa wa dɩ ʋ kʋʋ wa. Naa chɩaŋ ma hagɩ a nagɩ bʋa wa aŋaŋ ʋ nuŋ wo a chɩgɩ a ga Ijipiti a bemme mi a ga tʋgɩ saŋŋa dieke n baaŋ nan balɩ fʋ dɩ fʋ nyɩŋ.”
MAT.2.14	Josefu die dɩ hagɩ yuku mi a nagɩ bʋa wa aŋaŋ ʋ nuŋ wo a ga Ijipiti tɩŋgbaŋ ma. 
MAT.2.15	Die ʋ bie wo mi dene a ga tʋgɩ saŋŋa dieke naaŋ Herodi die dɩ kpine. Naa die yiye mɩŋ amʋ Nabidie Ŋmɩŋ die dɩ vana ʋ naazʋa wʋnyɩ dɩ balɩ die wo keŋ yi wusie, a baarɩ dɩ, “Die n vʋarɩ wa n bʋa Ijipiti me.”
MAT.2.16	Die Herodi die dɩ mɩŋŋɩna dɩ chaaŋ diekemba die dɩ nyɩnna ŋmɩŋ pɔsɩkɩrɩ die gaaŋ wa wa die ʋ jɩɩ sɩnyɩɩrɩŋ. Die ʋ yɩ nʋaŋ dɩ ba kʋʋ ballɩnyaalɩ dembisi mana dɩ benne Betilehemi aŋaŋ ka tɩgɩbɩsɩ mana mana. Die ba kʋʋ ballɩ dembisi dieke die dɩ yine ballɩnyaalɩsɩ a ga tʋgɩ bɩna ale ballɩ dama sɩsɩbɩrɩba die baarɩ dɩ ba yene chɩŋmarɩka ka bɩna ale wʋnna.
MAT.2.17	Naa die yiye mɩŋ a yi Ŋmɩŋ naazʋa Jerimaya die dɩ balla wudiekemba wo dɩ yi wusie. Die ʋ baarɩ,
MAT.2.18	“Rama tɩŋ ma ba wʋŋ watɩ,
MAT.2.18	kpaŋ aŋaŋ sʋgɩchʋʋsɩŋ,
MAT.2.18	ta Rachali dɩ kʋma ʋ ballɩ wɩa,
MAT.2.18	ba halɩŋ wa a jɩɩ, dama ʋ ballɩ die kpiye mɩŋ.”
MAT.2.19	Naaŋ Herodi die dɩ kenne a kpi, ka kʋaŋ chaaŋ die Ŋmɩŋ malaka die dɩ nyɩŋ Josefu jigiŋ ʋ daansa ma ma Ijipiti ma 
MAT.2.20	a baarɩ, “Hagɩ nagɩ bʋa wa aŋaŋ ʋ nuŋ wo a yiŋŋi a ga Izara tɩŋgbaŋ ma, dama vuodieke die dɩ yaalala ba kʋʋ wa wa kpiye mɩŋ.” 
MAT.2.21	Naa chɩaŋ ma Josefu die dɩ hagɩ a nagɩ bʋa wa aŋaŋ ʋ nuŋ wo a yiŋŋi a ga Izara tɩŋgbaŋ ma ma.
MAT.2.22	Ama die ʋ wʋnna dɩ Akelusi die zene ʋ chɔɔŋ Herodi naŋ ma a dii Judia naarɩ, die ŋmaamɩŋ die yalla wa aŋaŋ ʋ baaŋ nan yiŋŋi a ga mi; ta Ŋmɩŋ dɩ bɩ a dagɩ wa ʋ daansa sʋŋ dɩ ʋ ga Galili tɩŋgbaŋ ma ma. 
MAT.2.23	Die ʋ ga kalɩ tɩŋgbaŋ kaanɩ ba wasɩnana Nazeriti ma ma. Naa chɩaŋ ma die Ŋmɩŋ naazʋalɩba die dɩ balla wudiekemba wo die dɩ keŋ a yi wusie, dɩ: “Ba nan dɩ wasa wa Nazeriti vuoŋ.”
MAT.3.1	Saŋka mi, Jɔɔn, vuodieke die dɩ sɩnana vuosisi Ŋmɩŋ nyaabʋ die bie wo haagɩŋ ma Judia tɩŋgbaŋ ma a mʋʋla Ŋmɩŋ wʋvɩɩnaha a balla 
MAT.3.2	dɩ “Nɩ chɩgɩ a nyɩŋ nɩ tʋntʋmbɩatɩ ma dama Ŋmɩŋ naarɩ diile saŋŋa gbigiye mɩŋ.” 
MAT.3.3	Die Ŋmɩŋ naazʋa Azaya die wɔŋ maagɩ Jɔɔn wa wɩaha mɩŋ dɩ,
MAT.3.3	“Vuoŋ benne haagɩŋ ma a keese a mʋʋla
MAT.3.3	‘Nɩ wʋnsɩ tɩ Yɔmʋtieŋ keniŋ sieti
MAT.3.3	ta vaa a tʋgɩsɩ a yɩ wa.’ ”
MAT.3.4	Jɔɔn die yeegi wo nyɔgɩnɩ kobiti jayeekiŋ ta bɩ bɔbɩ gbanɩŋ ʋ chɩaŋ ma ta ʋ nyindiike die dɩ yi sankpara aŋaŋ siesi. 
MAT.3.5	Saŋka mi vuosi die dɩ nyɩŋ Jerusalemi aŋaŋ Judia aŋaŋ Jɔɔdani mʋgɩrɩ gelegele a gara ʋ jigiŋ 
MAT.3.6	a balla ba tʋntʋmbɩatɩ ta ʋ sɩɩ ba Ŋmɩŋ nyaabʋ Jɔɔdani mʋgɩrɩ ma.
MAT.3.7	Ama die ʋ kenne ye ta Farasisi aŋaŋ Sadusisi,
MAT.3.8	Nɩ yime wudiekemba dɩ baaŋ nan dagɩ sɩba nɩ chɩgɩ a nyɩŋ nɩ tʋntʋmbɩatɩtɩ ma. 
MAT.3.9	Ta nɩ da nɩgɩma nɩ nyʋʋŋ a baarɩ nɩ yiwo Abarahami haagɩsɩ, nɩ vaa n balɩ nɩ, Ŋmɩŋ nan bɩagɩ a yiŋŋi tanaha gie a bɩrɩŋ Abarahami haagɩsɩ. 
MAT.3.10	Lɩaka wɔŋ yi siri mɩŋ a gbarɩ dɩ ka chɩa tɩɩsɩsɩ; tɩɩ dieke dɩ kana ka nyɩŋ nyɩŋnyɩŋka vɩɩna ba nan chɩa ka a taaŋ a nagɩ yi boliŋ me. 
MAT.3.11	Manɩŋ n sɩa wa aŋaŋ nyaaŋ, ka dagɩ sɩba nɩ chɩgɩ a nyɩŋ nɩ tʋntʋmbɩatɩ ma wa, ama vuodieke dɩ baaŋ nan keŋ n kʋaka tɩaŋ wa manɩŋ; n ka tʋgɩ vuodieke dɩ baaŋ nan chii ʋ nɩɩra gbaŋ: wʋnɩŋ nɩŋ ʋ baaŋ nan nagɩ Ŋmɩŋ Halɩkasɩ aŋaŋ boliŋ a sɩɩ nɩ sʋgɩtɩ. 
MAT.3.12	Ʋ yallɩ wa ʋ kpalɩchaarɩkɩŋ dɩ ʋ chaarɩ zaakpeeti mana mana a nyɩŋ zaaha ma, ʋ nan lagɩsɩ zaaha mana a yi bumbuŋ me ta nagɩ zaakpeetiti a yi boli dieke dɩ kana ka kpise me.”
MAT.3.13	Womi Yisa die dɩ nyɩŋ Galili a keŋ Jɔɔn jigiŋ Jɔɔdani mʋgɩrɩ ma dɩ ʋ sɩɩ wa Ŋmɩŋ nyaabʋ. 
MAT.3.14	Ama ta Jɔɔn die dɩ ka saagɩya ta balɩ wa, “Manɩŋ n tɩnna mʋ n keŋ fʋ jigiŋ aŋ fʋ sɩɩ mɩŋ, ama ta fʋnɩŋ fʋ kieŋ n jigiŋ?”
MAT.3.15	Ama ta die Yisa die dɩ yiŋŋi a balɩ wa dɩ, “Vaa ka yi die lele, dama dɩ mʋ tɩ yi tʋnvɩɩna mana mana Ŋmɩŋ dɩ yaalala tɩ yi wo.” Jɔɔn die dɩ wa saagɩ.
MAT.3.16	Die ʋ dene a sɩɩ Yisa Ŋmɩŋ nyaabʋ a kpatɩ wa, lele womi Yisa dɩ dene nyɩŋ nyaabʋ ma, ŋmɩŋsikpeŋ die dɩ yuori die ʋ ye Ŋmɩŋ Haalɩŋ dɩ kenne sʋʋna ʋ sikpeŋ sɩba ŋmarɩŋ. 
MAT.3.17	Womi lɔlɩŋ die dɩ nyɩŋ ŋmɩŋsikpeŋ a baarɩ, “N Bʋachotiŋ wʋnna, wʋnɩŋ n nine dɩ suuli.”
MAT.4.1	Womi die Ŋmɩŋ Haalɩbʋ die dɩ nagɩ Yisa a yallɩ wa a ga haagɩŋ ma dɩ Sitaani ga magɩsɩ wa. 
MAT.4.2	Die ʋ bie wo mi a ka dii jaaŋ mana ŋmɩntʋasɩ aŋaŋ yugiti baŋɩsɩ-nɩɩsa ta die kɔŋ die dɩ wa a yallɩ wa. 
MAT.4.3	Ta die Sitaani die dɩ keŋ ʋ jigiŋ a baarɩ, “Dɩɩ yi fʋ seŋ yi Ŋmɩŋ Bʋa, vaa tanaha gie bɩrɩŋ nyindiike.”
MAT.4.4	Ama ta die Yisa die dɩ yiŋŋi a balɩ wa dɩ, “Ŋmɩŋ gbaŋkʋ baarɩ vuota kaaŋ bɩagɩ a beri nyindiike nyɩɩna ma wɩa, ama wudieke mana mana Ŋmɩŋ dɩ balala.”
MAT.4.5	Womi Sitaani die dɩ yaa Yisa a ga Jerusalemi tɩgɩkasɩ ma ma a yallɩ wa a ga a zieŋ Ŋmɩŋ jɩamɩŋ juokpeŋkpɩɩkʋ sikpeŋ 
MAT.4.6	ta die a balɩ a yɩ wa dɩ, “Fʋ seŋ a yiwo Ŋmɩŋ Bʋa fʋ nagɩ fʋ gbaŋ a taaŋ, dama Ŋmɩŋ gbaŋkʋ baarɩ,
MAT.4.6	‘Ŋmɩŋ nan vaa ʋ malakasisi fʋ wɩa,
MAT.4.6	aŋ ba nagɩ ba nuusi a tʋgɩ a tuo fʋ
MAT.4.6	amʋ halɩ fʋ naatalɩ gbaŋ kaaŋ gbi tanaha.’ ”
MAT.4.7	Yisa die dɩ yiŋŋi a balɩ a yɩ wa dɩ, “Ama Ŋmɩŋ gbaŋkʋ gbaŋ gbaŋ bɩ a baarɩ, ‘Vuoŋ da a keŋ magɩsɩ ʋ Yɔmʋtieŋ Nabidie Ŋmɩŋ.’ ”
MAT.4.8	Womi Sitaani wa die dɩ bɩ a chii Yisa a yallɩ wa a ga zieŋ taŋkpeŋkpɩɩŋ sikpeŋ a dagɩ Yisa dʋnɩa tɩgɩsɩ mana mana aŋaŋ ka nyinti mana ta balɩ a yɩ wa dɩ, 
MAT.4.9	“N nan nagɩ nyinti gie mana a yɩ fʋ, dɩɩ yi fʋ keŋ a sʋʋŋ a gbirigi a jɩaŋ mɩŋ.”
MAT.4.10	Womi Yisa die dɩ yiŋŋi a balɩ a yɩ wa dɩ, “Sitaani, gamma ta va mɩŋ. Ka maagɩya Ŋmɩŋ gbaŋkʋ sʋŋ a baarɩ ‘Vuota jɩama ʋ Yɔmʋtieŋ Nabidie Ŋmɩŋ nyɩɩna ma a bɩ dɩa ʋ nyɩɩna ma.’ ”
MAT.4.11	Die wɩa Sitaani die dɩ ga ta die a va wa, ta malakasi die dɩ keŋ a suŋŋi wo.
MAT.4.12	Die Yisa die dɩ wʋnna dɩ ba yigi Jɔɔn a yi dansarɩka sʋŋ, die ʋ nyɩŋ a ga Galili me. 
MAT.4.13	Die ʋ tʋgɩ Nazeriti tɩŋ ama die ʋ ka yʋasɩya mi ta die tɩaŋ ga Kapenɔmi tɩgɩdieke die dɩ gbigine mʋgɩkpɩɩŋ kaanɩ, Zebuluni aŋaŋ Nafitali tɩŋgbaŋ ma. 
MAT.4.14	Naa die yine amʋ Ŋmɩŋ naazʋa Azaya die dɩ balla wudieke wo keŋ a yi wusie.
MAT.4.15	“Zebuluni tɩŋ aŋaŋ Nafitali tɩgɩsɩ dɩ benne
MAT.4.15	Jɔɔdani mʋgɩrɩ mi wo chaaŋ
MAT.4.15	ta bɩ gbigi mʋgɩkpɩɩrɩ:
MAT.4.15	Galili tɩŋ dieke vuodiekemba dɩ kana ka yi Juu vuosisi dɩ kala mi;
MAT.4.16	vuodiekemba dɩ benne lɩmɩŋ ma
MAT.4.16	nan ye chaankpeŋkpɩɩŋ
MAT.4.16	ta vuodiekemba dɩaŋ die dɩ benne kuŋ lɩmɩŋ ma,
MAT.4.16	bolibu nan chaaŋ a yi ba sikpigile me.”
MAT.4.17	Saŋka mi yaa gamma die Yisa dɩ piili a balla Ŋmɩŋ wɩa a baarɩ, “Nɩ chɩgɩ a nyɩŋ nɩ tʋmbɩatɩ ma dama Ŋmɩŋ naarɩ diile saŋŋa gbigiye mɩŋ.”
MAT.4.18	Die Yisa die dɩ chʋnnana Galili mʋgɩkpɩɩrɩ gaarɩ die ʋ ye daa wʋnyɩ aŋaŋ ʋ nɩmbʋa, die ba yiwo Simoni (vuodieke die ba wasɩnana Piita wa) aŋaŋ ʋ nɩmbʋa Andurusi, ta ba taana nɩɩŋ mʋgɩkpɩɩrɩ ma dama die ba yiwo zaasɩyigiriŋ. 
MAT.4.19	Die ʋ balɩ a yɩ ba dɩ, “Nɩ keŋ a dɩa mɩŋ aŋ n vaa nɩ sʋgɩma vuotaŋ a kiere Ŋmɩŋ jigiŋ.” 
MAT.4.20	Die ba va ba nɩɩtɩ lagɩ lagɩ ta die a dɩ wa.
MAT.4.21	Die ʋ nyɩnna mi a ga nɩŋŋa bɩta, ʋ bɩ ye daa wʋnyɩ aŋaŋ ʋ nɩmbʋa bɩbra, Jemisi aŋaŋ Jɔɔn, Zebedi ballɩ. Die banɩŋ aŋaŋ ba chɔɔŋ wa die benne ba haarɩkʋ ma a wʋnsa ba nɩɩtɩ, Yisa die dɩ wa ba, womi 
MAT.4.22	die ba va ba chɔɔŋ aŋaŋ haarɩkʋ lagɩ lagɩ ta die a dɩ wa.
MAT.4.23	Yisa die dɩ dɩa Galili mana mana sʋŋ a daga ba Ŋmɩŋ jɩamɩŋ juone sʋŋ Ŋmɩŋ wɩa ta die a gbaanna vuodiekemba mana die dɩ yalla yʋagɩtɩ mana mana. 
MAT.4.24	Die ba mʋʋlɩ ʋ saaŋ Siria tɩŋgbaŋ mana mana ma ma. Naa chɩaŋ ma vuosi die dɩ chii vuodiekemba die dɩ yalla yʋagɩtɩ mana mana a keŋ ʋ jigiŋ; jɩmbɩatɩ die dɩ yalla bataŋ, bataŋ die dɩ yallɩ kpeŋkpeŋsi aŋaŋ vuodiekemba nyɩŋgbanɩŋ die dɩ kpine ta die ʋ gbaaŋ ba mana. 
MAT.4.25	Daadaŋ pam die dɩ nyɩŋ Galili aŋaŋ Tɩgɩsɩ-baŋ aŋaŋ Jerusalemi aŋaŋ Judia aŋaŋ Jɔɔdani gaarɩ mi wo chaaŋ tɩgɩsɩ die dɩ keŋ a dɩ wa.
MAT.5.1	Yisa die dɩ yene daadamba die ʋ jʋalɩ a kalɩ kunkogiŋ sikpeŋ ta ʋ kʋaŋandɩɩsɩrɩba die dɩ keŋ ʋ jigiŋ 
MAT.5.2	die ʋ piili a daga ba Ŋmɩŋ wɩa a baarɩ:
MAT.5.3	“Sʋgɩfɩalɩŋ bemme vuodiekemba dɩ sɩbɩna dɩ ba yiwo zɔɔlɩntieliŋ Ŋmɩŋ jigiŋ,
MAT.5.3	Ŋmɩŋ naarɩ yiwo ba sɩɩtɩ.
MAT.5.4	Vuodiekemba dɩ kʋnnana wa, sʋgɩfɩalɩŋ yiwo ba sɩɩtɩ,
MAT.5.4	dama Ŋmɩŋ nan halɩŋ ba sʋgɩtɩ.
MAT.5.5	Vuodiekemba dɩ sʋʋna ba gbaŋ, sʋgɩfɩalɩŋ yiwo ba sɩɩtɩ
MAT.5.5	dama dʋnɩa mana nan yi ba sɩɩtɩ.
MAT.5.6	Vuodieke nine dɩ ŋmɩntɩ ta ba sʋgɩtɩ dɩ yaala ba yi Ŋmɩŋ dʋŋŋʋ, sʋgɩfɩalɩŋ nan yi ba sɩɩtɩ,
MAT.5.6	dama Ŋmɩŋ nan yɩ ba ba sʋgɩtɩ die dɩ ŋmɩntɩna jadieke wɩa.
MAT.5.7	Vuodiekemba dɩ chɩgɩnana ba chanchaalɩŋ zɔɔlɩŋ, sʋgɩfɩalɩŋ yiwo ba sɩɩtɩ,
MAT.5.7	dama banɩŋ ba Ŋmɩŋ dɩaŋ dɩ nan chɩgɩ zɔɔlɩŋ.
MAT.5.8	Vuodiekemba dɩ yalla sʋgɩyɩalɩŋ, sʋgɩfɩalɩŋ yiwo ba sɩɩtɩ
MAT.5.8	dama ba nan daansɩ a ye Ŋmɩŋ.
MAT.5.9	Vuodiekemba dɩ gurinene waagɩŋ, sʋgɩfɩalɩŋ yiwo ba sɩɩtɩ,
MAT.5.9	dama banɩŋ ba Ŋmɩŋ nan wa ba ʋ ballɩ.
MAT.5.10	Vuodiekemba dɩ dɩna Ŋmɩŋ ta ba mugisi be,
MAT.5.10	sʋgɩfɩalɩŋ yiwo ba sɩɩtɩ,
MAT.5.10	dama Ŋmɩŋ naarɩ yiwo ba sɩɩtɩ.
MAT.5.11	“Vuosi dɩ keŋ a zɩa nɩ ta mugisi nɩ ta chɩba ŋmɩnchɩbɩsɩ a yɩa nɩ ta bala wʋbɩatɩ yiri yiri a yɩa nɩ nɩ dɩna n kʋaŋ wɩa, sʋgɩfɩalɩŋ yiwo nɩ sɩɩtɩ. 
MAT.5.12	Ba keŋ a yi die wo nɩ yallɩma sʋgɩfɩalɩŋ pam dama nɩ nyʋarɩ nan dɩ dala pam Ŋmɩŋ tigiri me; die gbaŋ gbaŋ die ba mugisi Ŋmɩŋ naazʋalɩba die dɩ benne kʋrɩŋ ma wa.
MAT.5.13	“Nɩ sɩɩ sɩba yasɩ tɩŋgbaŋka gie me. Ama yasɩ dɩ a keŋ a chʋʋsɩ a waarɩ ka nansɩŋ, lalɩa ka bɩ baa ka yi a bɩ ye ka nansɩbʋ? Dɩ dagɩ sɩba ka wo nyʋarɩ; sie ba nagɩha a siti taaŋ tɩŋgbaŋ ma aŋ vuosi chʋŋ a ma.
MAT.5.14	“Nɩnɩŋ nɩ sɩɩ sɩba tɩŋgbaŋka gie popoli; tɩŋ dieke ba mɩna a zieŋ kunkogiŋ sikpeŋ ka bɩagɩ a lɔbɩra. 
MAT.5.15	Ta vuoŋ ka chɔgɩsa popoli ta naga kpalɩ a bubike ama ʋ ŋaaŋ nagɩ ka a saagɩ wa jaaŋ ma jigidieke ka baaŋ nan chaaŋ a yɩ vuodiekemba mana dɩ benne tigiri me 
MAT.5.16	Nɩnɩŋ nɩ bie gie; nɩ chaaŋ a yɩ vuoŋ mana, ta ba ye nɩ tʋnvɩɩna ta bɩrɩma nɩ Chɔɔŋ Ŋmɩŋ dieke dɩ benne arɩzanna ma.
