MAT.1.1	Rodovnik Jezusa Kristusa, Davidovega sina, Abrahamovega sina.
MAT.4.25	Za njim so šle velike množice iz Galileje, Deseteromestja, Jeruzalema, Judeje in krajev onkraj Jórdana.
MAT.5.1	Ko je zagledal množice, se je povzpel na góro. Sédel je in njegovi učenci so prišli k njemu. 
MAT.5.2	Spregovoril je in jih učil:
MAT.5.3	»Blagor ubogim v duhu, ker njihovo je nebeško kraljestvo.
MAT.5.4	Blagor žalostnim, ker bodo potolaženi.
MAT.5.5	Blagor krotkim, ker bodo deželo podedovali.
MAT.5.6	Blagor lačnim in žejnim pravice, ker bodo nasičeni.
MAT.5.7	Blagor usmiljenim, ker bodo usmiljenje dosegli.
MAT.5.8	Blagor čistim v srcu, ker bodo Boga gledali.
MAT.5.9	Blagor tistim, ki delajo za mir, ker bodo postali božji otroci.
MAT.5.10	Blagor tistim, ki so zaradi pravice preganjani, ker njihovo je nebeško kraljestvo.
MAT.5.11	Blagor vam, kadar vas bodo zaradi mene zasramovali, preganjali in vse grdo o vas lažnivo govorili. 
MAT.5.12	Veselite se in vriskajte, ker je vaše plačilo v nebesih veliko. Tako so namreč preganjali že preroke, ki so bili pred vami.«
MAT.5.13	»Vi ste sol zemlje. Če se pa sol pokvari, s čim jo bomo osolili? Ni za drugo, kakor da se proč vrže in jo ljudje pohodijo. 
MAT.5.14	Vi ste luč sveta. Mesto, ki stoji na gori, se ne more skriti. 
MAT.5.15	Svetilke tudi ne prižigajo in ne postavljajo pod mernik, temveč na podstavek, da sveti vsem, ki so v hiši. 
MAT.5.16	Takó naj sveti vaša luč ljudem, da bodo videli vaša dobra dela in slavili vašega Očeta, ki je v nebesih.«
MAT.5.17	»Ne mislite, da sem prišel odpravit postavo ali preroke; ne odpravit, temveč dopolnit sem jih prišel. 
MAT.5.18	Resnično vam povem: dokler ne premineta nebo in zemlja, ne bo zbrisana niti ena črka ali ena črtica postave, preden se vse ne zgodi. 
MAT.5.19	Kdor bo torej kršil eno od teh, pa čeprav najmanjših zapovedi, in bo tako ljudi učil, bo najmanjši v nebeškem kraljestvu. Kdor pa jih bo spolnjeval in učil, bo velik v nebeškem kraljestvu. 
MAT.5.20	Zato vam pravim: če vaša pravičnost ne bo večja kakor pismoukov in farizejev, nikoli ne pridete v nebeško kraljestvo.«
MAT.5.21	»Slišali ste, da je bilo rečeno prednikom: 
MAT.5.22	Jaz pa vam pravim: vsak, kdor se jezi na svojega brata, zasluži, da pride pred sodišče. Kdor pa reče bratu ‘bedak’, zasluži, da pride pred vrhovno sodišče; in kdor mu reče ‘brezverec’, zasluži, da pride v peklenski ogenj! 
MAT.5.23	Če torej prineseš svoj dar k oltarju in se tam spomniš, da ima tvoj brat kaj proti tebi, 
MAT.5.24	pústi dar tam pred oltarjem, pojdi in se prej spravi z bratom, potem pa pridi in daruj svoj dar. 
MAT.5.25	Spravi se hitro s svojim nasprotnikom, dokler si z njim še na poti, da te nasprotnik ne izroči sodniku, sodnik pa pazniku in te ne vržejo v ječo. 
MAT.5.26	Resnično ti povem: ne prideš od tam, dokler ne plačaš vse do zadnjega.«
MAT.5.27	»Slišali ste, da je bilo rečeno: 
MAT.5.28	Jaz pa vam pravim: kdorkoli gleda žensko s poželenjem, je v srcu že prešuštvoval z njo. 
MAT.5.29	Če te desno oko zapeljuje, ga izderi in vrzi od sebe; kajti bolje je zate, da zgubiš en ud, kakor da bi bilo célo tvoje telo vrženo v pekel. 
MAT.5.30	In če te desna roka zapeljuje, jo odsekaj in vrzi od sebe, kajti bolje je zate, da zgubiš en ud, kakor da bi célo tvoje telo prišlo v pekel.«
MAT.5.31	»Rečeno je bilo: 
MAT.5.32	Jaz pa vam pravim: kdor se loči od svoje žene, razen če zveza ni bila zakonita, je kriv, da ona prešuštvuje. Kdor pa se z ločeno oženi, prešuštvuje.«
MAT.5.33	»Dalje ste slišali, da je bilo rečeno prednikom: 
MAT.5.34	Jaz pa vam pravim: sploh ne prisegajte! Ne pri nebu, ker je božji prestol; 
MAT.5.35	ne pri zemlji, ker je podnožje božjih nog; ne pri Jeruzalemu, ker je mesto vélikega kralja. 
MAT.5.36	Tudi pri svoji glavi ne prisegaj, ker ne moreš niti enega lasu narediti belega ali črnega. 
MAT.5.37	Vaš ‘dà’ naj bo ‘dà’, vaš ‘ne’ naj bo ‘ne’; kar je več kot to, je od hudega.«
MAT.5.38	»Slišali ste, da je bilo rečeno: 
MAT.5.39	Jaz pa vam pravim: ne upirajte se hudobnežu, ampak če te kdo udari po desnem licu, mu nastavi še levo. 
MAT.5.40	Če se hoče kdo pravdati s teboj in ti vzeti obleko, mu pusti še plašč. 
MAT.5.41	Če te kdo prisili eno miljo daleč, pojdi z njim dve. 
MAT.5.42	Če te kdo prosi, mu daj, in če si hoče od tebe kaj sposoditi, mu ne pokaži hrbta.«
MAT.5.43	»Slišali ste, da je bilo rečeno: 
MAT.5.44	Jaz pa vam pravim: ljubíte svoje sovražnike in molíte za tiste, ki vas preganjajo, 
MAT.5.45	da boste otroci svojega Očeta, ki je v nebesih. On namreč daje svojemu soncu, da vzhaja nad hudobnimi in dobrimi, ter pošilja dež pravičnim in krivičnim. 
MAT.5.46	Če namreč ljubite tiste, ki vas ljubijo, kakšno zasluženje imate? Mar tega ne delajo tudi cestninarji? 
MAT.5.47	In če pozdravljate le svoje brate, kaj delate posebnega? Mar tega ne delajo tudi pogani? 
MAT.5.48	Bodite torej popolni, kakor je popoln vaš nebeški Oče.«
MAT.6.1	»Glejte, da svoje pravičnosti ne boste razkazovali pred ljudmi, sicer ne boste imeli plačila pri svojem Očetu, ki je v nebesih.
MAT.6.2	Kadar torej daješ miloščino, ne trobi pred seboj, kakor počenjajo hinavci po shodnicah in ulicah, da bi jih ljudje videli. Resnično vam povem: dobili so svoje plačilo. 
MAT.6.3	Kadar pa ti daješ miloščino, naj ne vé tvoja levica, kaj dela tvoja desnica. 
MAT.6.4	Tako bo tvoja miloščina skrita, in tvoj Oče, ki vidi, kar je skrito, ti bo povrnil.«
MAT.6.5	»Tudi kadar molite, ne bodite kakor hinavci. Ti namreč radi molijo stoje po shodnicah in križiščih, da se kažejo ljudem. Resnično vam povem: dobili so svoje plačilo. 
MAT.6.6	Kadar pa ti moliš, pojdi v svojo sobo, zapri vrata in môli k svojemu Očetu, ki je na skritem. In tvoj Oče, ki vidi, kar je skrito, ti bo povrnil. 
MAT.6.7	Pri molitvi pa ne blebetajte kakor pogani, ki mislijo, da bodo uslišani, če bodo veliko govorili. 
MAT.6.8	Ne bodite jim podobni, saj vaš Oče vé, česa potrebujete, še preden ga prosite. 
MAT.6.9	Vi torej molíte takóle:
MAT.6.9	Oče naš, ki si v nebesih,
MAT.6.9	posvečuje naj se tvoje ime.
MAT.6.10	Pridi tvoje kraljestvo.
MAT.6.10	Zgôdi se tvoja volja
MAT.6.10	kakor v nebesih tako na zemlji.
MAT.6.11	Daj nam danes naš vsakdanji kruh;
MAT.6.12	in odpústi nam naše dolge,
MAT.6.12	kakor smo tudi mi odpustili svojim dolžnikom;
MAT.6.13	ne daj, da pademo v skušnjavo,
MAT.6.13	temveč reši nas hudega.
MAT.6.14	Če namreč odpustite ljudem njihove pregreške, bo tudi vaš nebeški Oče vam odpustil. 
MAT.6.15	Če pa ljudem ne odpustite, tudi vaš Oče ne bo odpustil vaših pregreškov.«
MAT.6.16	»Kadar se postite, se ne držite čemerno kakor hinavci; mažejo si obraze, da ljudem pokažejo, kako se postijo. Resnično vam povem: dobili so svoje plačilo. 
MAT.6.17	Kadar pa se ti postiš, si pomazili glavo in umij obraz. 
MAT.6.18	Tako ne boš pokazal ljudem, da se postiš, ampak svojemu Očetu, ki je na skrivnem. In tvoj Oče, ki vidi, kar je na skrivnem, ti bo povrnil.«
MAT.6.19	»Ne nabirajte si zakladov na zemlji, kjer jih uničujeta molj in rja in kjer tatovi spodkopavajo zidove in kradejo; 
MAT.6.20	nabirajte pa si zaklade v nebesih, kjer jih ne uničujeta ne molj ne rja in kjer tatovi ne spodkopavajo in ne kradejo. 
MAT.6.21	Kjer je namreč tvoj zaklad, tam bo tudi tvoje srce.«
MAT.6.22	»Svetilka telesa je oko. Če je torej tvoje oko zdravo, bo svetlo vse tvoje telo. 
MAT.6.23	Če pa je tvoje oko bolno, bo v temi vse tvoje telo. Kako velika bo tema, če luč, ki je v tebi, postane tema!«
MAT.6.24	»Nihče ne more služiti dvema gospodarjema. Ali bo enega sovražil in drugega ljubil; ali se bo enega držal in drugega zaničeval. Ne morete služiti Bogu in mámonu.«
MAT.6.25	»Zato vam pravim: ne bodite v skrbeh za svoje življenje, kaj boste jedli ali kaj boste pili, in ne za svoje telo, kaj boste oblekli. Ali ni življenje več kot jed in telo več kot obleka? 
MAT.6.26	Poglejte ptice pod nebom! Ne sejejo in ne žanjejo niti ne spravljajo v žitnice, in vendar jih vaš nebeški Oče živi. Ali niste vi več vredni kot one? 
MAT.6.27	Kdo izmed vas pa more kljub vsej zaskrbljenosti dodati svoji postavi en komolec? 
MAT.6.28	In za obleko, kaj ste v skrbeh? Poučite se od lilij na polju, kako rastejo. Ne trudijo se in ne predejo, 
MAT.6.29	toda povem vam: še Sálomon v vsem svojem sijaju ni bil oblečen kakor katera izmed njih. 
MAT.6.30	Če pa Bog tako oblači travo, ki je danes na polju in jo jutri v peč vržejo, mar ne bo veliko bolj vas, maloverni? 
MAT.6.31	Ne bodite torej v skrbeh in ne sprašujte: ‘Kaj bomo jedli ali kaj bomo pili ali kaj bomo oblekli?’ 
MAT.6.32	Po vsem tem sprašujejo pogani. Saj vé vaš nebeški Oče, da vsega tega potrebujete. 
MAT.6.33	Iščite najprej božje kraljestvo in njegovo pravico in vse drugo vam bo navrženo. 
MAT.6.34	Ne skrbite za jutri, kajti jutrišnji dan bo imel svojo skrb. Zadosti je dnevu njegova lastna teža.«
MAT.7.1	»Ne sodíte, da ne boste sojeni! 
MAT.7.2	Kakor namreč sodite, tako boste sojeni, in kakor merite, tako vam bo odmerjeno. 
MAT.7.3	Kaj gledaš iver v očesu svojega brata, bruna v svojem pa ne opaziš? 
MAT.7.4	Kako moreš reči svojemu bratu: ‘Pústi, da vzamem iver iz tvojega očesa,’ če imaš pa sam bruno v očesu? 
MAT.7.5	Hinavec, odstrani najprej bruno iz svojega očesa; šele potem boš razločno videl odstraniti iver iz očesa svojega brata.«
MAT.7.6	»Ne dajajte psom tega, kar je sveto, in svojih biserov ne mečite pred svinje, da jih ne pomendrajo in se nato ne obrnejo ter vas ne raztrgajo.«
MAT.7.7	»Prosíte in boste dobili! Iščite in boste našli! Trkajte in se vam bo odprlo! 
MAT.7.8	Kajti vsak, kdor prosi, prejme, in kdor išče, najde; in kdor trka, se mu odpre. 
MAT.7.9	Ali pa: kdo med vami bo dal svojemu sinu kamen, če ga prosi kruha? 
MAT.7.10	Ali mu bo dal kačo, če ga prosi za ribo? 
MAT.7.11	Če torej vi, čeprav ste hudobni, znate svojim otrokom dajati dobre darove, koliko bolj bo vaš Oče, ki je v nebesih, dajal dobro tem, ki ga prosijo.«
MAT.7.12	»Vse, kar želite, da bi ljudje vam storili, storite tudi vi njim! To je namreč postava in preroki.«
MAT.7.13	»Vstopíte skozi ozka vrata, kajti široka so vrata in prostorna je pot, ki vodi v pogubo in veliko jih hodi po njej. 
MAT.7.14	Kako ozka so vrata in tesna je pot, ki vodi v življenje, in malo jih je, ki jo najdejo.«
MAT.7.15	»Varujte se lažnih prerokov, ki prihajajo k vam v ovčji obleki, znotraj pa so grabežljivi volkovi. 
MAT.7.16	Po njihovih sadovih jih boste spoznali. Se mar grozdje obira s trnja ali smokve z osata? 
MAT.7.17	Takó vsako dobro drevo rodi dobre sadove, slabo drevo pa slabe. 
MAT.7.18	Dobro drevo ne more roditi slabih sadov in slabo ne dobrih. 
MAT.7.19	Vsako drevo, ki ne rodi dobrega sadu, posekajo in vržejo v ogenj. 
MAT.7.20	Po njihovih sadovih jih boste torej spoznali.«
MAT.7.21	»Ne pojde v nebeško kraljestvo vsak, ki mi pravi: ‘Gospod, Gospod,’ ampak kdor spolnjuje voljo mojega Očeta, ki je v nebesih. 
MAT.7.22	Veliko mi jih bo reklo tisti dan: ‘Gospod, Gospod, ali nismo v tvojem imenu prerokovali in v tvojem imenu izganjali hudih duhov in v tvojem imenu storili veliko čudežev?’ 
MAT.7.23	Vendar jim takrat porečem: ‘Nikoli vas nisem poznal. Proč izpred mene, kateri delate krivico!’«
MAT.7.24	»Zato je vsak, ki posluša te moje besede in jih spolnjuje, podoben pametnemu človeku, ki pozida svojo hišo na skalo. 
MAT.7.25	Ulije se ploha, priderejo nalivi in privršijo vetrovi ter butnejo v to hišo, vendar se ne zruši, ker ima temelje na skali. 
MAT.7.26	Kdor pa moje besede posluša in jih ne spolnjuje, je podoben nespametnemu človeku, ki pozida hišo na pesku. 
MAT.7.27	Ulije se ploha, priderejo nalivi in privršijo vetrovi ter butnejo v to hišo in hiša se zruši v veliko podrtijo.«
MAT.7.28	Ko je Jezus končal te besede, so množice strmele nad njegovim naukom. 
MAT.7.29	Učil jih je kakor tisti, ki ima oblast, in ne kakor njihovi pismouki.
MAT.8.1	Ko je prišel z gore, so ga spremljale velike množice. 
MAT.8.2	Tedaj je stopil k njemu gobavec, se poklonil pred njim do tal in rekel: »Gospod, če hočeš, me moreš očistiti.« 
MAT.8.3	Jezus je stegnil roko, se ga dotaknil in rekel: »Hočem, bodi očiščen!« Pri priči je bil očiščen gob. 
MAT.8.4	Nato mu Jezus reče: »Glej, da nikomur ne poveš, ampak pojdi, pokaži se duhovniku in prinesi dar, ki ga je zapovedal Mojzes, njim v pričevanje.«
MAT.8.5	Ko je prišel v Kafarnáum, je stopil k njemu stotnik 
MAT.8.6	in ga prosil: »Gospod, moj služabnik leži doma hrom in hudo trpi.« 
MAT.8.7	Jezus mu pravi: »Pridem in ga ozdravim.« 
MAT.8.8	Stotnik mu je odgovoril: »Gospod, nisem vreden, da prideš pod mojo streho, ampak reci le besedo in moj služabnik bo ozdravljen. 
MAT.8.9	Saj imam tudi jaz, čeprav sem sam pod oblastjo, vojake pod seboj, pa rečem temu: ‘Pojdi’ in gre; in drugemu: ‘Pridi’ in pride; in svojemu služabniku: ‘Stôri to’ in stori.« 
MAT.8.10	Ko je Jezus to slišal, se je začudil in je rekel svojim spremljevalcem: »Resnično vam povem: tolike vere nisem našel pri nikomer v Izraelu! 
MAT.8.11	Povem vam pa, da jih bo veliko prišlo z vzhoda in zahoda in bodo sedli za mizo z Abrahamom, Izakom in Jakobom v nebeškem kraljestvu. 
MAT.8.12	Tisti pa, ki so bili izvoljeni za kraljestvo, bodo vrženi ven v temo; tam bo jok in škripanje z zobmi.« 
MAT.8.13	Stotniku pa je rekel: »Pojdi, in kakor si veroval, naj se ti zgodi!« In njegov služabnik je ozdravel tisto uro.
MAT.8.14	Ko je Jezus prišel v Petrovo hišo, je videl, da njegova tašča leži in da ima mrzlico. 
MAT.8.15	Prijel jo je za roko in mrzlica je odnehala. Vstala je in mu stregla. 
MAT.8.16	Ko pa se je zvečerilo, so mu privedli veliko obsedenih. Z besedo je izgnal duhove in ozdravil vse bolnike. 
MAT.8.17	Tako se je spolnilo, kar je bilo rečeno po preroku Izaiju:
MAT.8.18	Ko je Jezus zagledal okrog sebe množico, je vêlel odriniti na drugo stran. 
MAT.8.19	Tedaj se mu je približal neki pismouk in rekel: »Učitelj, za teboj bom hodil, kamorkoli pojdeš.« 
MAT.8.20	Jezus mu je odgovoril: »Lisice imajo brloge in ptice pod nebom gnezda, Sin človekov pa nima, kamor bi glavo naslonil.« 
MAT.8.21	Nekdo drug izmed njegovih učencev pa mu je rekel: »Gospod, dovôli mi, da prej grem in pokopljem svojega očeta.« 
MAT.8.22	Jezus mu je dejal: »Hôdi za menoj in pústi, da mrtvi pokopljejo svoje mrliče!«
MAT.8.23	Ko je stopil v čoln, so šli njegovi učenci za njim. 
MAT.8.24	Na jezeru je nastal velik vihar, tako da so valovi pokrivali čoln; on pa je spal. 
MAT.8.25	Stopili so k njemu, ga zbudili in rekli: »Gospod, reši nas! Potapljamo se!« 
MAT.8.26	Odvrnil jim je: »Kaj se bojite, maloverni?« Nato je vstal. Zapretil je vetrovom in jezeru in nastala je velika tišina. 
MAT.8.27	Ljudje pa so se začudeni spraševali: »Odkod je ta, da so mu pokorni celo vetrovi in jezero?«
MAT.8.28	Ko je prišel na drugo stran, v gadársko deželo, sta mu iz votlin opuščenih grobov prišla nasproti dva obsedenca. Bila sta tako divja, da nihče ni mogel mimo po tisti poti. 
MAT.8.29	Zavpila sta: »Kaj hočeš ti od naju, Božji Sin? Ali si nas prišel sèm pred časom mučit?« 
MAT.8.30	Nedaleč od njiju pa se je pasla velika čreda svinj. 
MAT.8.31	Hudi duhovi so ga prosili: »Če nas hočeš izgnati, nas pošlji v to čredo svinj!« 
MAT.8.32	Rekel jim je: »Pojdite!« Šli so torej ven in obsedli svinje. Tedaj je čreda svinj planila po bregu v jezero in v vodi utonila. 
MAT.8.33	Pastirji pa so zbežali v mesto in pripovedovali vse, tudi o obsedencih. 
MAT.8.34	Vse mesto je šlo Jezusu naproti. Ko so ga zagledali, so ga prosili, naj bi odšel iz njihovih krajev.
MAT.9.1	Stopil je v čoln in se prepeljal na drugo stran. Prišel je v svoje mesto. 
MAT.9.2	Že so nesli k njemu hromega, ki je ležal na nosilih. Ko je Jezus videl njihovo vero, je rekel hromemu: »Zaupaj, sin, grehi so ti odpuščeni!« 
MAT.9.3	Nekaj pismoukov si je ob tem mislilo: »Ta govori bogokletno.« 
MAT.9.4	Jezus pa je spoznal njihove misli in rekel: »Zakaj sami pri sebi hudobno mislite? 
MAT.9.5	Kaj je laže reči: ‘Grehi so ti odpuščeni’ ali reči: ‘Vstani in hôdi’? 
