MAT.1.1	Knige rodstva Jezuš Kristuša, siná Dávidovoga, siná Abrahámovoga. 
MAT.2.19	Po smrti pa Herodešove, ovo Angel Gospodnov v sne se je skázao Jožefi v Egiptomi. 
MAT.2.20	Erkôči: stani gori vzemi to dête i mater njegovo, ino idi v Izraelsko zemlo; Ár so pomrli, ki so ískali düšo deteta. 
MAT.2.21	On pa gori stánovši vzéo je to dête i mater njegovo, i šô je v Izraelsko zemlo. 
MAT.2.22	Slišavši pa, kâ Arhelauš kralüje nad Judeom mesto Herodeša očé svojega, bojao se je tá idti. Opômenjeni pa od Bogá vu sne, šao je na stráni Galilee. 
MAT.2.23	I, tá pridôči prebivao je v mesti, štero se velí Názaret: dabi se spunilo povêdanje po prorokáj; kâ bode se Nazarenski zváo.
MAT.3.1	Vu oni dnévi prišao je Ivan krstitel predgajôči vu püščávi Judee. 
MAT.3.2	I govoreči: povrnte se; ár se je približalo Králevstvo nebesko. 
MAT.3.3	Ár je eto, ka, je povêdano od Ežaiáša proroka govoréčega: glás kričéčega vu püščávi, napravlajte pôt Gospodnovo, rávne činte steze njegove. 
MAT.3.4	On pa, Ivan, je meo odetel svojo z gomilskoga kosminja i remeni pojás okôli ledevjôv svoji: njegova hrána je pa bila, kobiice i polski méd. 
MAT.3.5	Teda je vö šô k njemi Jerušalem, i vsa Judea, i vse okôli Jordáná ležajôče držéle. 
MAT.3.6	I okrsčávali so se v Jordáni od njega, vadlüvajôči grêhe svoje. 
MAT.3.7	Gda bi pa vido vnôge z Farizeušov i z Sadduceušov prihájajôče k svojemi krsti, erkao njim je: zleženjé vipere, što vám je pokázao bèžati od prišestne srditosti? 
MAT.3.8	Prinášajte záto sád vrêdni pokôre. 
MAT.3.9	I ne štímate ešče kâ bi pravili vu sebi: očo mámo Abraháma. Ár velim vám, kâ je zmožen Bôg z etoga kaménja zbüditi sini Abrahámi. 
MAT.3.10	Že je pa i sekera na korenjé drevja položena. Záto vsáko drêvo, štero ne prináša dobroga sáda, se vö vsečé, i na ogen vrže. 
MAT.3.11	Jas istina krstšávam vás vu vodi na pokôro: ki pa za menom pride, močnêši je od méne, šteroga šôlincov sem nej vrêden nositi; on bode vás krstšávao v Svétom Dühi, i v ognji. 
MAT.3.12	Šteri má vejačo vu rôki svojoj, i ščisti gümno svoje, i vküp správi pšenico svojo v škegen; pleve pa zežgé z nevgašenim ognjom.
MAT.3.13	Teda je prišao Jezuš od Galilee k Jordáni k Ivani da bise krsto od njega. 
MAT.3.14	Ivan se je pa odgovárjao erkôči: meni se je potrêbno od tébe krstiti, i ti kmeni prihájaš? 
MAT.3.15	Odgovoréči pa Jezuš erkao njemi je: niháj zdâ; ár se tak dostája náj spuniti vso pravic o. Teda ga je püsto. 
MAT.3.16	I okrsčen Jezuš preci je gori šô, od vodé: i ovo, odprla so se njemi nebésa, i vido je Dühá Božega doli idôčega, liki golôba, i idôčega na njega. 
MAT.3.17	I ovo glás z nebés govoréči: ete je Sin moj, te lübléni: v kom se mi je dopadnolo.
MAT.4.1	Teda je Jezuš odnešeni vu püščávo od Dühá da bi se sküšávao od vrága. 
MAT.4.2	I da bi se posto štiridesét dni, i štiridesét nôči, potom je ogládo. 
MAT.4.3	I pristôpivši k njemi te sküšávec, erkao je: či si Sin Boži, erči, naj eta kaménja krüh bodo. 
MAT.4.4	On je pa, odgovoréči erkao: pisano, je, človek neživé z samim krühom; nego vsákov rečjov, štera z vüst Boži zhája. 
MAT.4.5	Teda ga je vzéo vrág vu svéto mesto, i postavo ga je na perotnico Cérkvi. 
MAT.4.6	I erkao je njemi: či si Sin Boži, vrži se doli. Ár je pisano; kâ Angelom svojim zapovê od tébe; in na roké te vzemejo, da kak ne vdáriš vu kamen nogé tvoje. 
MAT.4.7	Erkao je njemi Jezuš: pá je pisano; ne sküšávaj Gospodna Bogá tvojega. 
MAT.4.8	Pá ga vzeme vrág na edno jáko visoko gorô, i pokáže njemi vsa králevstva toga svêta i njih díko. 
MAT.4.9	I velí njemi: eta vsa tebi dam; či doli spádnovši me molo bodeš. 
MAT.4.10	Teda njemi velí Jezuš: odídi Šatan. Ár je pisano: Gospodnoga Bogá tvojega moli i njemi samomi slüži. 
MAT.4.11	Teda ga je niháo vrág: i ovo Angelje so pristôpili, ino so njemi slüžili.
MAT.4.12	Gda bi pa čüo Jezuš; ka je Ivan v roké dáni: šô je nazâ v Galileo. 
MAT.4.13	I ostavivši Názaret idôči je prebívao v Kapernaumi v tom pri môrji vu Krajináj Zabulona, i Neftalima. 
MAT.4.14	Da bi se spunilo povêdanje po Ežaiáši proroki govoréčem: 
MAT.4.15	Zemla Zebulon, i Zemla Neftalim pôleg pôti môrja prêk Jordána, Galilea poganov. 
MAT.4.16	Lüdstvo sedéče v kmici, je vidilo svetlost veliko: i tim sedéčím vu držéli i senci smrtnoj, je svetlost zišla. 
MAT.4.17	Od tistoga máo je záčao Jezuš predgati, i praviti: povrnte se; àr se je približalo králevstvo nebesko.
MAT.4.18	Hodéči pa Jezuš kre môrja Galileánskoga, vido je dvá brata, Šimona, šteri se zové Peter, i Andráša brata njegovoga, metajôčiva vlák vu môrje; (ár sta ríbiča bilá). 
MAT.4.19	I velí njima: nasledüjta me, i včinim vaj lüdi ríbiča. 
MAT.4.20	Onedva sta pa preci tá nihála vlaké, nasledüvala sta njega. 
MAT.4.21	I dale idôči odnut, vido je drüga dvá brata, Jákuba Zebedeušovoga Siná, i Ivana brata njegovoga, v ládji z Zebedeušom njidva očom poprávlajôče vlaké svoje; i zváo njidva je. 
MAT.4.22	Onedva sta pa preci tá nihála ládjo, i očo svojega, nasledüvala sta njega.
MAT.4.23	I okôli je šò po vsoj Galilei Jezuš vučéči vu správiščaj njihovi i predgajôči Evangeliom králevstva, i vráčivši vsáki beteg, i vsáko medlovnost med lüdstvom. 
MAT.4.24	I vö je zišao glás njegov vu vso Širio; i prinesli so k njemi, ki so se hüdô meli, z rázločnimi boleznostmi i mokami obvzéte, i vragometne, i mêsečne, i zžlakom vdárjene; i zvráčo je je. 
MAT.4.25	I nasledüvalo ga je vnožina lüdstva od Galilee, i desét mêst, i Jerušálema, i Judee i prêk Jordána bodôči.
MAT.5.1	Gda bi pa vido Jezuš to lüdstvo, šô je gori na goro: i gda bi doli seo, pristôpili so k njemi vučenicke njegovi. 
MAT.5.2	I odpré vüsta svoja, včio je je govoréči: 
MAT.5.3	Bláženi so, ki so siromácke v dühi: ár je njihovo Králevstvo nebesko. 
MAT.5.4	Bláženi so, ki se žalostijo: ár se oni obeselijo. 
MAT.5.5	Bláženi so ti krotki: ár oni bodo zemlô öroküvali. 
MAT.5.6	Bláženi so, ki gladüjejo, i žéjajo pravico: ár se oni nasitijo. 
MAT.5.7	Bláženi so ti milostivni: ár oni miloščo dobíjo. 
MAT.5.8	Bláženi so oni, ki so čistoga srcá: ár oni bodo Bogá vidili. 
MAT.5.9	Bláženi so ti mirovni: ár se oni Boži sinovje zváli bodo. 
MAT.5.10	Bláženi so, ki se za volo pravice pregánjajo: ár je njihovo Králevstvo Nebesko. 
MAT.5.11	Bláženi ste, gda vás psüvali i preganjali bodo, i gučali bodo vso hüdo rêč prôti vám lažéči, za mojo volo. 
MAT.5.12	Radüjte se ino se vesélte: kâ je vaš nájem veliki vu nebésaj. Ár so tak preganjali i proroke: ki so pred vami bili.
MAT.5.13	Vi ste sol zemlé: či se pa sol skvari, s kim se bode solíla? Nika ne valá več: nego da se vö vrže, i skláči od lüdi. 
MAT.5.14	Vi ste svetlost etoga svêta. Nemore mesto skrito bidti, štero je na velikom brêgi položeno. 
MAT.5.15	Niti ne vužgéjo posvêta: naj ga pod korc denejo: nego v posvečnjek, i svêti vsêm, ki so v hiži. 
MAT.5.16	Tak se naj svêti svetlost vaša pred lüdmi: da vidijo vaša dobra dela, i dičijo Očo vašega, ki je vu nebésaj.
MAT.5.17	Ne štimajte; kâ sem prišao razvežüvat Právdo, ali Proroke: nej sem prišao razvežüvat nego spunjávat. 
MAT.5.18	Ár zaistino velim vám: dokečkoli ne prêde Néba i Zemla, eden pisk, ali edna piknjica ne prêde z Právde; dokečkoli se vsa ne zgodijo. 
MAT.5.19	Záto, šterikoli razvéže edno zapoved tê ti naj ménši, i tak bode včio lüdí, naj ménši se bode zváo v králevstvi nebeskom: šteri pa bode prav činio i včio; té bode se veliki zváo v králevstvi nebeskom. 
MAT.5.20	Záto velim vám kâ, či ne bode popolna pravica vaša bole, liki pisáčov ino Farizeušov, ne bodete šli v králevstvo nebesko. 
MAT.5.21	Čüli ste; kâ je povêdano tim starišom: ne vmôri; šterikoli pa vmori, vrêden je sôdbe. 
MAT.5.22	Jas pa velím vám: kâ vsáki, šteri se srdi na brata svojega zamán; vrêden je sôdbe: šterikoli pa erčé brati svojemi, lajhár; vrêden bode správišča: šterikoli pa erčé, blázen; vrêden bode gehenskoga ognja. 
MAT.5.23	Či záto gori prineséš dár tvoj na oltár, i tam se spomenéš, kâ brat tvoj má kâ prôti tebi. 
MAT.5.24	Niháj tam dár tvoj pred oltárom, ino idi, zméri se prvle z bratom tvojim, i teda pridôči prinesi dár tvoj. 
MAT.5.25	Boj dobre pámeti k protivniki tvojemi hitro, dokeč si na pôti žnjim, naj te gda ne dá protivník sodci, i sodec te dá hlápci, i v temnico se vržeš. 
MAT.5.26	Zaistino velim tebi: ne boš vöšò odnut; dokeč ne pláčaš te slêdnji sôd. 
MAT.5.27	Čüli ste, kâ je povêdano tim starišom: ne praznüj: 
MAT.5.28	Jas pa velim vám: kâ vsáki, ki se zglédne na ženo k poželênji, že je praznüvao žnjom vu svojem srci. 
MAT.5.29	Či te pa okô tvoje dêsno spáka; vö je skopaj i vrži je od tébe. Ár je bole tebi: da se pogübí edna kotríg tvoji; liki, ka bi se cêlo tvoje têlo vrglo v gehenno. 
MAT.5.30	I či te dêsna tvoja rôka spáka; odreži jo, i vrzi jo od tébe. Ár je bole tebi: da se pogübí edna kotríg tvoji; liki, ka bi se cêlo tvoje têlo vrglo v gehenno. 
MAT.5.31	Povêdano je pa: ká, šterikoli odpüstí ženo svojo, nâ ji dá razločenjá list. 
MAT.5.32	Jas pa velim vám: ká, šterikoli odpüsti ženo svojo brezi zroka práznosti, včiní jo praznüvati; i, šterikoli odpüščeno vzeme, praznüje. 
MAT.5.33	Páli ste čüli; kâ je povêdano tim starišom: krívo ne priségaj; dáj pa Gospodni prisego tvojo. 
MAT.5.34	Jas pa velim vám: ne priségajte celô, niti na nébo záto, kâ je Boži trônuš. 
MAT.5.35	Niti na zemlo záto; kâ je podnogáonica njegova: niti na Jerušálem záto; ka je mesto velikoga krála. 
MAT.5.36	Niti na glávo tvojo ne priségaj: ár nemreš ednoga vlása bêloga, ali črnoga včiniti. 
MAT.5.37	Bojdi pa rêč vaša: tak, tak; nej, nej; ka je pa više toga, z hüdoga je. 
MAT.5.38	Čüli ste, kâ je povêdano: okô za okô; i zôb za zôb. 
MAT.5.39	Jas pa velím vám: ne stante prôti hüdomi; nego kikoli te vdári na dêsnom tvojem líci, obrni njemi i to drügo. 
MAT.5.40	I ki se ščé z tebom právdivati, ino ti süknjo vzéti: püsti njemi i plášč. 
MAT.5.41	I kikoli te bode primárjao na edno milo zemlé, idi žnjim dvê. 
MAT.5.42	Ki te prosi; daj njemi: i ki ščé od tébe na pôsodo vzéti, ne obrni se od njega. 
MAT.5.43	Čüli ste; kà je povêdano: lübi bližnjega tvojega, i odürjávaj nepriátela tvojega. 
MAT.5.44	Jas pa velim vám: lübte nepriátele vaše; blagoslávlajte one, ki vás preklinjajo; dobro činte z onimi, ki vás odürjávajo; i molte za one, ki vás sküšávajo ino pregánjajo. 
MAT.5.45	Da bodete sinovje Očé vašega, šteri je v nebésaj, ki sunce svoje gori zhájati čini na hüde i dobre, i dá deždž na pravične i nepravične. 
MAT.5.46	Ár, či bodete lübili li té, ki vás lübijo, kákši nájem bodete meli? Nêli i publikánuške tô činijo? 
MAT.5.47	I, či bodete se poklanjali samo vašim bratom; ka obilnoga včinite? Nêli i publikánuške tak činijo? 
MAT.5.48	Záto bojdite vi popolni, liki i Oča vaš, šteri je vu nebésaj, je popolni.
MAT.6.1	Kebzüjte, álmoštvo vaše ne činte pred lüdmi; naj se od njih vidíte: drügači nájema nêmate pri Oči vašem, šteri je vu nebésaj. 
MAT.6.2	Gda pa činiš álmoštvo: ne tromböntaj pred tebom, liki skazlivci činijo vu správiščaj, i na vilicaj; naj se dičijo od lüdi. Zaistino velím vám: prijali so nájem svoj. 
MAT.6.3	Ti pa tak čini álmoštvo: naj nezna lêva tvoja, ka čini dêsna tvoja. 
MAT.6.4	Naj bode tvoje álmoštvo vu skrivnom mesti, i Oča tvoj, ki vidi vu skrivno, on ti povrné vu očivesnom.
MAT.6.5	I, gda moliš, ne bojdi, liki skazlívci. Ár lübijo vu správiščaj i na vogláj vilic stojéči moliti: naj se vidijo od lüdi. Zaistino velím vám: kâ so vzéli nájem svoj. 
MAT.6.6	Ti pa, gda moliš, idi notri v kámro tvojo i doli zapri dveri tvoje, i moli Očo tvojega vu skrivnom, i Oča tvoj vidôči vu skrivnom, povrné ti vu očivosnom. 
MAT.6.7	Moléči pa ne bojdite vnogogučéči, liki poganje. Ár štimajo, kâ se vu svojem vnogom gúčanji poslühnejo. 
MAT.6.8	Záto ne priglihávajte se k njim. Ár zná Oča vaš, štera potrebüjete, prvle, liki ga vi prosite. 
MAT.6.9	Záto vi etak molte: Oča naš, ki si vu nebésaj. Svéti se Imé Tvoje. 
MAT.6.10	Prídi Králevstvo Tvoje: bojdi vola Tvoja, kako je vu Nébi tak i na Zemli. 
MAT.6.11	Krüha našega vsakdenéšnjega dáj nam ga dnes. 
MAT.6.12	I odpüsti nám dugé naše, kako i mi odpüščamo dužníkom našim. 
MAT.6.13	I nevpelaj nás vu sküšávanje: nego oslôbodi nás od hüdoga. Ár je tvoje Králevstvo, i môč, i dika na veke. Amen. 
MAT.6.14	Ár, či odpüstíte lüdém prestoplenjé njihovo, odpüstí i vám Oča vaš nebeski. 
MAT.6.15	Či pa ne odpüstíte lüdém prestoplenjá njihova: ni Oča vaš ne odpüsti vám prestoplenjá vaša.
MAT.6.16	Gda se pa postite: ne bojdte, liki skazlívci, žalostnoga obráza. Ár zgrdijo svoja lica: naj se vidijo od lüdi; kâ se postijo. Zaistino velím vam: kâ so vzeli nájem svoj. 
MAT.6.17	Ti pa, gda se postiš, namaži tvojo glavô, i líce tvoje muj. 
MAT.6.18	Naj se ne vídiš lüdém ka se postiš: nego Oči tvojemi, šteri je vu skrivnom: i Oča tvoj, ki vu skrivno gléda, povrné ti vu očivesnom.
MAT.6.19	Ne správlajte si kinče na zemli, gde je mol i erja skvari, i gde je tatjé podkopajo i vkrádnejo. 
MAT.6.20	Správlajte si pa kinče vu Nébi: gde je ni mol, ni erja ne skvari, i gde je tatjé ne podkopajo, niti je ne vkrádnejo. 
MAT.6.21	Ár, gde je kinč vaš, tam je i srce vaše. 
MAT.6.22	Posvêt têla je okô. Záto, či bode okô tvoje prôsto, cêlo têlo tvoje svetlo bode. 
MAT.6.23	Či pa okô tvoje bode hüdo: cêlo têlo tvoje kmično bode. Či je záto tá svetlost, štera je v tebi, kmica: ta kmica kelika bode?
MAT.6.24	Nišče nemre dvöma Gospôdoma slüžiti. Ár ali ednoga bode odürjávao, i toga drügoga lübo, ali se k ednomi pridrüži, i toga drügoga zavrže. Ne morete Bôgi slüžiti i mammoni. 
MAT.6.25	Záto velím vám: ne skrbte se za žítek vaš, ka bodte jeli, i ka bodte pilí: niti za têlo vaše, ka bodte obláčali. Nej je žítek več, liki hrána, i têlo, liki oblečalo? 
MAT.6.26	Glédajte na ftice nebeske: one ne sêjajo, ni ne ženjajo, niti ne správlajo vu škegnje; i dönok Oča vaš nebeski njé hráni. Nê ste ví vnogo poglavitêši od njih? 
MAT.6.27	Što pa z vás skrblivajôč more pridati k Visokosti svojoj eden lakét? 
MAT.6.28	I za oblečalo ka se skrbite? včite se: liliomi polski kakda rastéjo; ne delajo, ní ne predéjo. 
MAT.6.29	Velím pa vám: kâ se je ni Šalamon vu vsoj díki svojoj nê tak obláčao; kak edno z eti. 
MAT.6.30	Či pa trávo polsko, štera dnes jeste, a vütro se pa v péč vrže, Bôg tak obláča; nêli vás zvnôgim bole, maloverci? 
MAT.6.31	Ne skrbte se tak govoréči: ka bomo jeli? i ka bomo pili? ali, ka bomo oblačali? 
MAT.6.32	Ár vsa eta poganje spitávajo: ár zná Oča vaš nebeski, kâ ví vsa eta potrebüjete. 
MAT.6.33	Iščite pa prvo králevstvo Bože, i pravico njegovo; i eta vsa se vám privržejo. 
MAT.6.34	Ne skrbte se záto na ütrášnji dén; ár ütrášnji dén se bode skrbo za svoja. Zadosta je dnévi hüdôba njegova.
MAT.7.1	Ne sôdte, naj se ne sôdite. 
MAT.7.2	Ár, z šterom sôdbom sôdite, z tistom bodete sodjeni: i z šterom merom mêrite, z tistom bode vám nazá merjeno. 
MAT.7.3	Ka pa glédaš trôho v ôki brata tvojega: trám pa vu tvojem ôki na pamet ne vzemeš? 
MAT.7.4	Ali kakda práviš brati tvojemi: nihaj naj vö vržem trôho z Oká tvojega, i ovo trám je v ôki tvojem? 
MAT.7.5	Skazlívec! vrži vö prvo trám z oká tvojega i teda pogledni; da vö vržeš trôho z Oká brate tvojega.
MAT.7.6	Ne dájte to Svéto psom, niti ne mečte džünzdže vaše pred svinjé; naj ga gda ne zakláčijo z nogami svojimi, i vrnôče vás rastrgajo.
MAT.7.7	Proste, i dá se vam: iščite, i nájdete: trüpajte, i odpré se vám. 
MAT.7.8	Ár vsáki, šteri prosi, vzeme; i šteri íšče, nájde; ino tomi trüpajôčemi se odpré. 
MAT.7.9	Ali što je z vás človek, šteroga či bode proso sin njegov krüha, jeli njemi kamen dá? 
MAT.7.10	I či bode ga ribo proso, jeli njemi kačo dá? 
MAT.7.11	Či záto ví, hüdi bodôči, znáte dobre dári dávati deci vašoj; od koga bole Oča vaš, šteri je vu nebésaj, dá dobra onim, kí ga prosijo.
MAT.7.12	Vsa záto, šterakoli ščéte, naj vám včiníjo lidjé, tak i ví činte njim. Ár je eta Právda i Prorocke. 
MAT.7.13	Idite notri po tesni vrátaj: ár so prestrana vráta, i širôka je ta cesta, štera pela na skvárjenjé, i vnogo ji je, ki po njé hodijo. 
MAT.7.14	Ár so tesna vrátá, i vôska je ta pôt, štera pela vu žitek: i malo ji je, šteri jo nájdejo.
MAT.7.15	Varte se pa od krívi prorokôv; šteri prihájajo k vám vu ovčeni odêvkaj, znotra so pa zgráblívi vucké. 
MAT.7.16	Z njihovoga sáda je poznate. Jeli berájo z trnja grozdje, ali z četálja fige? 
MAT.7.17	Tak vsákše dobro drêvo dober sád prináša: lagoje drevo pa lagoji sád prináša. 
MAT.7.18	Nemore dobro drêvo hüdi sád prinášati: niti lagoje drêvo dober sád, prinášati nemore. 
MAT.7.19	Vsáko drêvo, štero ne prináša dober sád, doli se vsečé, ino se na ogen vrže. 
MAT.7.20	Záto ž njihovoga sáda je poznate. 
MAT.7.21	Nebode vsáki, kí meni právi, Gospodne! Gospodne! notri šao vu králevstvo nebesko: nego ki činí volo Očé mojega, šteri je vu nebésaj. 
MAT.7.22	Vnogo ji bode pravilo v onom dnévi! Gospodne! Gospodne! nej smo vu tvojem Iméni proroküvali, i vu tvojem Iméni vragé zganjali, ino vu tvojem Iméni zmožnosti vnôge delali? 
MAT.7.23	I teda njim vadlüvao bodem: kâ sem vas nigdár népoznao: odídte od méne činéči neprávednost.
MAT.7.24	Záto vsáki, šterikoli čüje ete moje Rečí, i činí njé, priglihávao bom ga k čednomi môži, šteri si je hižo na pečíni pocimprao. 
MAT.7.25	I doli je prišla ploha, i šli so potocke, i pihali so vötrovje, i spadnoli so k onoj híži, i nej se je podrla: ár je na pečini fundálivana. 
MAT.7.26	I vsáki, šteri čüje ete moje Rečí, i ne činí je, priglihávani bode k bláznomi môži, šteri je svojo hižo na pêsek pocimprao. 
MAT.7.27	I doli je prišla ploha, i šli so potocke, i pihali so vötrovje, i vdarili so v hižo ono, i spádnola je, i bio je spadáj njé veliki. 
MAT.7.28	I zgôdilo se je, da bi skončao Jezuš Rečí ete: čüdivalo se je lüdstvo nad včenjom njegovim. 
MAT.7.29	Ár je je včio, liki oblást majôči; i nej liki pisáčke.
MAT.8.1	Gda bi pa on doli goré šô, nasledüvalo ga je vnožina lüdstva. 
MAT.8.2	I ovo eden gobavec pridôči, molo ga je erkôči: Gospodne, či ščéš, moreš me očistiti. 
MAT.8.3	I vö vtégnovši rokô, dotekno se ga je Jezuš, erkôči: Ščém očisti se. I preci je očiščena goba njegova. 
MAT.8.4	I velí njemi Jezuš: vidi da nikomi ne povêš; nego idi pokáži se popi, i nesi gori on dár, šteroga je zapovedao Môšeš, na svedôstvo njim. 
MAT.8.5	Gda bi pa Jezuš notri v Kapernaum šô, pristôpo je k njemi eden stotnik proséči ga. 
MAT.8.6	I erkôči: Gospodne, sluga moj leži v hiži mojoj z žlakom vdárjeni, i jáko se mantrá. 
MAT.8.7	I velí njemi Jezuš: jas bom šô, i zvráčim ga. 
MAT.8.8	I odgovoréči te stotnik erkao je: Gospodne, nej sam vrêden, ka bi pod mojo strêho šô; nego samo edno réč povej, i ozdrávi sluga moj. 
MAT.8.9	Ár sem i jas pod oblástjom bodôči človek, ki pod sebom mám vitéze: i či erčém etomi, idi, ino ide; i drügomi, prídi, i príde; i slugi mojemi, čini eto, i včiní. 
MAT.8.10	Slišavši pa eta Jezuš, čüdüvao se je, i erkao je tim nasledüvajôčim: zaistino velím vám, niti vu Izráeli sem tákše vere nej naišao. 
