MAT.1.1	Jesucrist ngol lo raz chaan rey David, ne lo raz chaan Abraham kuu ngok tey re zha Israel ndala.
MAT.2.17	Tbaa mrolo kuu nzhab profet Jeremí, or nzhab profet:
MAT.2.18	Desde yez Ramá mbin na thib bos,
MAT.2.18	ta mbin na nzhonn ne ndi leettsoo re ngot kuu nak raz Raquel,
MAT.2.18	por re zhiinn re ngot nzhonn ngot, tak nguth re zhiinn ngot,
MAT.2.18	ne nlaazt re ngot tetsey zha leettsoo ngot. [Jer. 31:15]
MAT.2.19	Per leettsa ngutha rey Herodes, lee thib mandad chaan Zha Nabee ngwani lo Che lo mkaal yez Egipto, ne nzhab lo Che:
MAT.2.20	―Gwache, teno mbet ne xnaa mbet ne bretab yezlyu Israel tedib welt, tak ngutha re zha kuu nlaaz kuth mbet.
MAT.2.21	Tsa ngwache Che ne mndeno Che mbet ne xnaa mbet, ne mretab re zha yezlyu Israel tedib welt. 
MAT.2.22	Per leettsa mbin Che lee Arquelao xgann rey Herodes nabee Judea, tsa mzeb Che retab Che tya; per lee Diox mni lo Che lo mkaal; kona ndya Che par yezlyu Galilea. 
MAT.2.23	Ne mzin Che ngoo Che yez kuu le Nazaret. Tsa mrolo kuu nzhab re profet, leettsa nzhab re zha: “Nazaren tob le re men Jesús”.
MAT.3.1	Ne lee re wiza lee Juan kuu mtsowleyy re men, mzin yubiz chaan yezlyu Judea. 
MAT.3.2	Ne nzhab Juan:
MAT.3.2	―¡Btsee goo mod went kuu nak goo, tak lee wiz kuu lee Diox nabee lo goo mzin gaxa!
MAT.3.3	Ne Juan ree mteth profet Isaí, leettsa nzhab profet:
MAT.3.3	Lee thib zha kuu ndo yubiz, dib gan zha kwez zha:
MAT.3.3	“Thib nali bloo goo leettsoo goo, par kayaa goo Zha Nabee,
MAT.3.3	ne nali gok goo lo re kuu ntsow goo”. [Is. 40:3]
MAT.3.4	Ne lee xab Juan natexkwaa kon yits lad kamey, ne naliib thib sinch yid leeyy Juan; ne kuu nzhow Juan nak ngebeez ne kuu nzhuu Juan nak mzin wan. 
MAT.3.5	Reta men yez Jerusalén, re men yezlyu chaan Judea, ne re men re yez kuu nzi dita roo yoo Jordán ngwa lo Juan. 
MAT.3.6	Or ngwalo mbin re zha lee Juan nzhab, ndoblo xoobdol zha re kuu went kuu mtsow zha. Tsa mxoobdol re zha re kuu went kuu mtsow zha, ne lee Juan mtsowleyy zha leen yoo Jordán.
MAT.3.7	Per or mwii Juan kwathoz re zha fariseo ne re zha saduceo ndyaad gakleyy lo Juan, tsa nzhab Juan lo re zha:
MAT.3.7	―¡Goo nak zha kuu nakap nak taxal mbeel! ¿Cho ne lo goo tak laa goo lo yalnayii chaan Diox, kuu yaad leettsa lux yezlyu? 
MAT.3.8	Ner ban goo thib mod nali, ne bloo goo mtsee goo mod went kuu nak goo, tsaraa yaad goo tsa tsow leyyʼn goo, 
MAT.3.9	ne rubt goo gab goo: “Zhiinn Abraham nak nee”. Kona tegal ndaa nee falt tekayaa Diox nee, tak wlipaa na nin lo goo, lee Diox tak tsow lo re ke ree roo zhiinn Abraham, kona ndechet Diox goo. 
MAT.3.10	Tak lista ndo Diox par teti Diox goo, os tseet goo mod went kuu nak goo, ne leey nak, taxal yeba kuu ndoba xann re ya kuu ndaat xle wen, tsa ga zhay ne ko zhay lo ki. 
MAT.3.11	Tak wlipaa lee na ntsowleyy goo kon nit, tsa tsee goo mod went kuu nak goo; per lee men kuu ndyaadke ditsʼn, tsowleyy goo kon Mbi Nayon ne kon ki, tak masraa nataak zha nake na, kona neeka dits labyid zha ndoblotʼn xakʼn. 
MAT.3.12	Lee zha nak taxal thib zha kuu lista ndo nzo ya yaa, par koo paj lo nzob xtil, ne kotsow zha nzob xtil leen loo, lee paj teyy zha lo ki kuu thitanax nyuyyt.
MAT.3.13	Tsa ngwa Jesús roo yoo Jordán kuu nzi yezlyu Galilea ta ndo Juan, tsa tsowleyy Juan Jesús. 
MAT.3.14	Ner mzhyalt Juan, tsa nzhab Juan lo Jesús:
MAT.3.14	―Lu ndoblo tsowleyyʼn. ¿Chebee leel lu ndyaad gakleyy lon?
MAT.3.15	Lee Jesús mkab, ne nzhab:
MAT.3.15	―Bloo kona yeka nal, tak ropaa ndoblo tsow kuu nlaaz Diox.
MAT.3.15	Tsaraa mzhyal Juan mtsowleyy Juan Jesús. 
MAT.3.16	Ne or ngwalo ngokleyy Jesús ne mroo Jesús leen nit, oraaka lee yibaa mzhaal, ne lee Mbi Nayon chaan Diox ndela taxal thib palom mla dits Jesús. 
MAT.3.17	Tsa mbin re men thib bos kuu mroo yibaa kuu nzhab:
MAT.3.17	―Zha ree nak xgann na kuu kwathoz nke leettsoon, ne kwathoz wen nzo leettsoon nen zha.
MAT.4.1	Tsa lee Mbi Nayon ndano Jesús thib ta yubiz, ne leettsa mndo Jesús tya, lee Maxuuy ngwalaaz gatsow Jesús kuu went. 
MAT.4.2	Ne chop gal wiz ne chop gal yaal mndo Jesús tya, ne yent kwaan ndow Jesús, tsaraa mlann Jesús. 
MAT.4.3	Tsa lee Maxuuy mbig lo Jesús, tsa naa chu tetsow Jesús kuu gab Maxuuy, tsa nzhab Maxuuy lo Jesús:
MAT.4.3	―Os leeʼa wlipaa Xgann Diox naka, bloo leeʼa nak Xgann Diox, guz tsa lee re ke ree reyal pan.
MAT.4.4	Per lee Jesús mkab, ne nzhab:
MAT.4.4	―Lo xkeets Diox nzhab: “Nabant men kon beeta pan, sinke lee men naban por re diiz kuu ndroo roo Diox”. [Dt. 8:3]
MAT.4.5	Tsa mndeno Maxuuy Jesús yez Jerusalén, yez nayon, ne mndeno Maxuuy Jesús yek gwodoo ta mas ya ndab, 
MAT.4.6	ne nzhab Maxuuy lo Jesús:
MAT.4.6	―Os leeʼa wlipaa Xgann Diox naka, bloo leeʼa nak Xgann Diox, brethin par yath, yent kwan taka, tak lee lo libr chaan Salm nzhab: “Lee Diox taal mandad chaan Diox, tsa ten mandad lu kon yaa mandad, tsa gabta lo ke”. [Sal. 91:11-12]
MAT.4.7	Tsa lee Jesús nzhab:
MAT.4.7	―Noga nzhab lo xkeets Diox: “Kithnota Diox kuu nak Zha Nabee loʼa”. [Dt. 6:16]
MAT.4.8	Ne bluz mndeno Maxuuy Jesús yek thib yii kuu kwathoz naro, tsa mloo Maxuuy reta yez kuu nzi lo yezlyu lo Jesús, re yalnabee chaan re yeza, naa xomod chul na re yeza. 
MAT.4.9	Tsa nzhab Maxuuy lo Jesús:
MAT.4.9	―Reta koree tan loʼa, os leeʼa tobxuba lon ne gola lon.
MAT.4.10	Tsa nzhab Jesús lo Maxuuy:
MAT.4.10	―Beche lon goltʼn loʼa, tak lo xkeets Diox nzhab: “Bil lo Diox kuu nak Zha Nabee loʼa, ne beeta lo Diox ndoblo gona diz”. [Dt. 6:13]
MAT.4.11	Tsaraa mlaa Maxuuy Jesús, tsa lee chop tson mandad chaan Diox mlortsin lo Jesús.
MAT.4.12	Leettsa mbin Jesús lee Juan nzo tsib, tsa ngwa Jesús yezlyu Galilea, ne leettsa ndo Jesús yezlyu Galilea, tsa ngwa Jesús yez Nazaret. 
MAT.4.13	Per myaant Jesús yez Nazaret, sinke lee Jesús ndya ngoo yez Capernaúm, yez kuu nzi gax roo nitdoo, yezlyu kuu ngok chaan Zabulón rop Neftalí, tsa loo Jesús lo re men tya. 
MAT.4.14	Koree ngok tsa mrolo kuu mkee profet Isaí, or kuu nzhab profet:
MAT.4.15	Yezlyu chaan Zabulón rop Neftalí,
MAT.4.15	kuu nzi roo nitdoo tedib lad roo yoo Jordán,
MAT.4.15	yezlyu Galilea ta nzo re zha kuu nagt zha Israel.
MAT.4.16	Lee re zha yeza mndaa falt, kona nabil nzo leettsoo zha,
MAT.4.16	nak zha taxal thib yez kuu nzi lo yalkow,
MAT.4.16	ne mndelo re zha yeza myen xkiiz Diox, kona nak taxal mwii zha thib xni thoz,
MAT.4.16	ne lee re zha kuu nzi thib ta nathoz ta nzo ryez gath zha,
MAT.4.16	mndelo zha myen zha xkiiz Diox, ne nake taxal mla thib xni lo re zha. [Is. 9:1-2]
MAT.4.17	Desde tsya mndelo Jesús mndaa kwent xkiiz Diox, ne nzhab Jesús:
MAT.4.17	―Btsee goo mod went kuu nak goo, tak lee wiz kuu lee Diox nabee lo goo mzin gaxa.
MAT.4.18	Ne leettsa ndiy Jesús roo nitdoo chaan Galilea, tsa mwii Jesús Simún kuu noga le Pey ne wets Pey kuu le Ndres, rop zha ree ngeniit mbel leen nitdoo, tak zha niit mbel nak zha. 
MAT.4.19	Tsa nzhab Jesús lo rop zha:
MAT.4.19	―Bteke goo ditsʼn, tsa tsowʼn gak goo zha kuu niit men par Diox.
MAT.4.20	Ne oraaka mlaa zha yex zha ne mndeke zha dits Jesús.
MAT.4.21	Ne ndaka Jesús, tsa mwii Jesús Santiag ne Juan, rop zha ree nak xgann Zebedeo, lee re xut zha nzo leen thib kano ngeyib zha yex zha, tsa mrez Jesús rop zha. 
MAT.4.22	Ne oraaka mlaa rop zha xut zha leen kano ne mndeke zha dits Jesús.
MAT.4.23	Ne mndiy Jesús dita yezlyu Galilea, ne nloo Jesús lo re men ta nkaltaa re men nteed xkiiz Diox. Ne ndaa Jesús kwent Diiz Chul chaan ta nabee Diox, ne mtegwe Jesús relota yiz ne relota yalne kuu ndak re men. 
MAT.4.24	Ne dita yezlyu Siria myath re kuu ntsow Jesús; ne lee re mena ndyaadno re zha kuu ne ndak, re zha kuu ndak tedib net re yiz, re zha kuu nzo mbi fyer leettsoo, re zha kuu ndak yizguthye ne re zha mthans, tsa mtegwe Jesús re zha. 
MAT.4.25	Kwaro re men yezlyu Galilea, re men re tsii yez kuu nak Decápolis, re men Jerusalén, re men yezlyu Judea ne re men kuu nzo tedib lad roo yoo Jordán ndyaad lo Jesús.
MAT.5.1	Or mwii Jesús kwathoz men, tsa mkendab Jesús yek yii ne mndob Jesús, ne myaad re zha kuu ngeteed lo Jesús lo Jesús, 
MAT.5.2	ne mndelo Jesús mloo lo re zha, ne nzhab Jesús:
MAT.5.3	―Wen nzo leettsoo Diox ne Diox re goo kuu nyeen leettsoo ndeche Diox, tak Diox taa diiz tab goo ta nabee Diox.
MAT.5.4	’Wen nzo leettsoo Diox ne Diox re goo kuu nzhonn, tak mndaa goo falt, tak lee goo tetsey leettsoo goo.
MAT.5.5	’Wen nzo leettsoo Diox ne Diox re goo kuu nadoo nak, tak lee goo kayaa yezlyu kuu taa Diox.
MAT.5.6	’Wen nzo leettsoo Diox ne Diox re goo kuu nlaaz tsow re kuu nali, tak goo nak taxal zha kuu nlann ne nzheek leettsoo, ne lee goo tse leettsoo.
MAT.5.7	’Wen nzo leettsoo Diox ne Diox re goo kuu nlat leettsoo ne taben, tak talat leettsoo Diox ne Diox goo.
MAT.5.8	’Wen nzo leettsoo Diox ne Diox re goo kuu nambi leettsoo, tak lee goo wii lo Diox.
MAT.5.9	’Wen nzo leettsoo Diox ne Diox re goo kuu ntsow wen kwin re men, tak lee goo role zhiinn Diox.
MAT.5.10	’Wen nzo leettsoo Diox ne Diox re goo kuu ndreke re men dits, tak ntsow goo kuu wen, tak chaan goo nak ta nabee Diox.
MAT.5.11	’Wen nzo leettsoo Diox ne Diox re goo, leettsa ntsalzhoo zha goo ne ndreke zha dits goo, ne nkedi zha ni zha ndota kuu went lo goo, tak tataka mreke zha dits re profet kuu ngoo ndala. 
MAT.5.12	Ndoblo wen ne naley bloo goo leettsoo goo, tak naroob re kwaa kayaa goo yibaa.
MAT.5.13	’Goo nak taxal ted lo yezlyu ree, per os lee ted natsigt ted, ¿xomod gak natsig ted tedib welt? Lortsint raay, sinke kobi zhay, tsa lo re men ditse.
MAT.5.14	’Goo nak taxal xni lo yezlyu. Leeka tata, gagt gaats thib yez kuu nzi yek yii. 
MAT.5.15	Ne neeka nkeet zha thib kandil, ne ngo zhay xann thib zhibey; sinke ntob zhay ta mas ya ndab, tsa teniy lo re men kuu nzo leen yuu. 
MAT.5.16	Ndoblo goo tsow goo re kuu wen, tsa wii re men re kuu wen kuu ntsow goo. Goo nak taxal xni kuu nteni, tsa wii re men re kwaa. Btsow gooy, tsa leettsa wii zha re kuu wen kuu tsow goo, taa zha texkix lo Xutaa Diox kuu ndob yibaa.
MAT.5.17	’Tsowt goo xgab leen ndyal luux ley kuu mkee Moisés, ne re kuu nzhab ne re kuu mkee re profet kuu ngoo ndala, sinke leen ndyal tsow kuu nzhab ley ne kuu nzhab re profet. 
MAT.5.18	Tak wlipaa na nin lo goo, leettsa lee yezlyu ree ne lee lobee bee nzika, gagt yiib neeka thib lan re diiz kuu nke lo ley, sinke reta ndoblo gak. 
MAT.5.19	Kona loka cho zha kuu gont diiz thib re kuu nabee lo ley, tegal kuu mas nataagte, ne tataga loo zhay lo tedib net zha, leeka tata lee zhaʼa gak zha kuu mas nataagt ta nabee Diox. Per lee zha kuu nzhon diize ne tataka loo zhay lo tedib net zha, zhaʼa gak zha kuu mas nataak ta nabee Diox. 
MAT.5.20	Kona nin lo goo, os lee goo gagt goo masraa wen lo re kuu ntsow goo, nake re maestr chaan ley ne nake re fariseo, tsowt goo gan tab goo ta nabee Diox.
MAT.5.21	’Ne mbin goo kwan nzhab Moisés lo re teyaa zha ndala, leettsa nzhab Moisés: “Kuthta tabena, ne loka cho kuth taben, lee Diox naab kwent lo zhaʼa ne laat zha”. 
MAT.5.22	Per lee na ni lo goo, loka cho kuu gak nayii lo taben, tenaab Diox kwent lo zhaʼa, ne loka cho gab lo taben “zha nad”, tenaab jwez kwent lo zhaʼa ne laat zhaʼa, ne loka cho gab “bxen” lo taben, zhaʼa nak thib zha kuu ndoʼa net ndya gabil.
MAT.5.23	’Kona os leeʼa ndyaadnoʼa gona lo bkoog chaan Diox, ne ora telaaza mndaaʼa thib falt lo wetsa, 
MAT.5.24	blaa gona leeka tya, ne bkwaan mod yaana wen kon wetsa. Tsaraa bretaba lo bkoog chaan Diox ne btaa gona.
MAT.5.25	’Os lee thib zha kuu nayii neʼa, teno zha lu lo zha kuu nak tsiin par keki zha lu, kwaan mod tsa wen yaana kon lee zha, or bee ter kwez zha lu lo zha kuu nak tsiin, tak os leeʼa yaanta wen kon zha kuu nayii neʼa, cha yataa zha lu lo zha kuu naab kwent loʼa, ne lee zha kuu naab kwent lo lu taa zha lu lo zha kuu nkenap roo tsib, tsa ko zha lu tsib. 
MAT.5.26	Wlipaa na nin roota tya, asta yelo kizha lultm rehal kuu ndobloʼa kizha.
MAT.5.27	’Ne mbina goo nzhab Moisés: “Gagt rop goo kon thib zha kuu nagt tsaal goo”. 
MAT.5.28	Per leen ni lo goo, loka cho thib mbyi kuu ngwii lo thib ngot, ne ntsow zha xgab gak rop zha kon ngota, mndaaʼa zha falt. 
MAT.5.29	Kona os lee ngutloʼa ntsow ntsowa kuu went, btsow kuu taxal mlooʼa ngutloʼa ne mlobi luy tith, mas wen luuzha thib ngutloʼa ne ndyaʼa yibaa, nake diba ndya gabil. 
MAT.5.30	Ne os lee yaa bana ntsow ntsowa kuu went, btsow kuu taxal mga luy choʼa; tak mas wen luuzha thibka yaaʼa ne ndyaʼa yibaa, nake diba ndya gabil.
MAT.5.31	’Ne noga nzhab Moisés: “Loka cho mbyi kuu laa tsaal, ndoblo taa zha thib yeets kuu mroo yuulow, kuu nzhab lee zha mtso rop tsaal”. 
MAT.5.32	Per leen ni lo goo, os lee thib mbyi laa tsaal, ne nagte tak ngok rop ngot zha kon tedib mbyi, mbyiʼa ntsow taa ngot falt, leettsa kaa ngot tedib mbyi, ne noga mbyi kuu kaa ngota taa falt.
MAT.5.33	’Noga mbin goo nzhab Moisés lo re teyaa zha ndala: “Lortsinta le Diox par tseloʼa, sinke btsow kuu nzhaba tsowa lo Zha Nabee”. 
MAT.5.34	Per leen ni lo goo, tselot goo por neeka thib re kwaa, neeka por re zha kuu nzo yibaa, tak tya nak ta ndob Diox, 
MAT.5.35	neeka por re mbi kuu nzo lo yezlyu, tak tya nak ta ndo nii Diox; neeka por yez Jerusalén, tak tya nak yez chaan rey, zha kuu kwathoz nataak. 
MAT.5.36	Neeka tselot goo gab goo tan na gathʼn os tsowtʼn kuu nin. Ndoblot tselo goo, tak Diox ntsow nzhak re kwaa ne nagte goo, tak neeka thib goo gagt tsow naguz goo o tsow goo nagat goo thib yitsek goo. 
MAT.5.37	Sinke nali ndoblo tediz goo gab goo “wliy” o “wlite”. Tak os lee goo tsowt goo tabaa, went kuu ntsow goo.
MAT.5.38	’Noga mbin goo nzhab Moisés: “Os lee thib zha koo ngutlo tedib zha, tataka ndoblo tsow zha lo zhaʼa, ne os lee thib zha koo keley tedib zha, tataka ndoblo tsow zha lo zhaʼa”. 
MAT.5.39	Per leen ni lo goo: Tsowt goo kuu went lo zha kuu nlaaz tsow thib kuu went lo goo; sinke loka cho kuu nlaaz keey kwat goo lad ban, noga btaa goo tedib lad kwat goo kee zhay. 
MAT.5.40	Ne loka cho zha kuu nlaaz teno goo lo zha kuu nak tsiin, tsa kib zha kamis goo, noga btaa goo xabits goo lo zha. 
MAT.5.41	Ne loka cho kuu nabee lo goo gwe goo thib kwaa thib mil metr, be gooy chop lala. 
MAT.5.42	Ne loka cho naab kwaa lo goo, btaa gooy lo zha, ne loka cho zha kinn kwaa lo goo, btseche gooy lo zha.
MAT.5.43	’Tak noga mbin goo nzhab Moisés: “Bke leettsooʼa tabena, ne byii ne zha kuu nayii neʼa”. 
MAT.5.44	Per leen ni lo goo, bke leettsoo goo re zha kuu nayii ne goo, ne bnaab goo lo Diox por re zha kuu ndreke dits goo. 
MAT.5.45	Tsa gak goo taxal ndoblo gak re zhiinn Xutaa Diox kuu ndob yibaa; tak lo reta men ntsow Diox kuu wen, ndaa Diox xni wiz lo re men wen ne lo re men went, ne ntela Diox yi lo re men kuu nali nak ne lo re men kuu nalit nak. 
MAT.5.46	Os lee goo nke leettsoo goo beeta re zha kuu nkelaaz goo, ¿kwan tsow goo gan? Tak tataga ntsow re zha kuu ndab falt, kuu ntsow kobral temi chaan yezlyu kuu nzhax lo zha Roma. 
MAT.5.47	Ne os lee goo ni goo “diox”, beeta lo re zha kuu nak raz chaan goo. ¿Kwan kuu wen ntsow goo tsa? Noga re zha kuu nagt zha Israel tata ntsow, ne yent kwan kayaa zha lo Diox. 
MAT.5.48	Nali gok goo, taxal nali nak Xutaa Diox kuu ndob yibaa.
MAT.6.1	’Kenap goo goo, tsowt goo kuu wen beeta par wii re men lo goo; os lee goo tata ntsow goo, neeka thib kwaa kayaat goo lo Xutaa Diox kuu ndob yibaa.
MAT.6.2	’Kona leettsa taa goo karida lo thib zha kuu ndechey, tetht gooy lo re men ne gab goo: “Nlazʼn ne goo leen mtsow ayud zha kuu ndechey”, taxal ntsow re zha kuu nkedi, re zha kuu zhaa kuu mbez ne zhaa kuu ntsow. Tak tabaa ntsow re zhaʼa, ta nkaltaa reʼaa nteedaa xkiiz Diox, noga ntsow zhay net, tsa wen ni re men zha. Wlipaa na nin, beeta kona nak kuu tsow zha gan. 
MAT.6.3	Per lee goo, leettsa taa goo thib kwaa lo thib zha kuu ndechey, btsow goo tsa yent cho ney, ne neeka amig goo kuu mas nzaal leettsoo goo ndoblot ney. 
MAT.6.4	Xgaatsa btsow gooy, tsa lee Xutaa kuu ne re kuu xgaatsta, taa kuu tsow goo gan lo goo.
MAT.6.5	’Kona nin lo goo, leettsa tediz goo lo Diox, tsowt goo taxal ntsow re zha kuu nkedi, re zha kuu zhaa kuu mbez ne zhaa kuu ntsow zha. Re zhaʼa nyow leettsoo zha tediz zha lo Diox, ta nkaltaa reʼaa nteedaa xkiiz Diox ne re net, tsa wii re men lo zha lee zha ngetediz lo Diox. Wlipaa na nin, beeta kuu tsow zha gan nak, wen ni re men lo zha, per lo Diox yent kwan tsow zha gan. 
MAT.6.6	Per lee re goo, leettsa tediz goo lo Diox, btaab goo leen liz goo, btow goo roo pwert, ne btediz goo lo Xutaa Diox kuu nloot, tsa lee Xutaa kuu ne re kuu xgaats, taa kuu tsow goo gan lo goo.
