MAT.1.1	Chichato hen natontonan hen nangingganà an Jesu Cristu way ganà Arey David way narpon Abraham.
MAT.4.2	Wat angkay ini-inggaw ahchi ah opatporoy ag-agaw way ammag iggay nangnangan, wat ammag hommenaang way térén. 
MAT.4.3	Yag yachi way ammag amchan hen henaangna, émméy ah Chumunyu way i mangawis an hiya way mangaliyén, “No hea hen tot-oway anà Apudyus paat wat mamfaliném hen antoy fato ah aném.” 
MAT.4.4	Yag senongfatan Jesus hiya way mangaliyén, “Nesosorat hen alen Apudyus way ekatnéén,
MAT.4.4	‘Achi ummat hen ma-an ah iyatagun hen tatagu, te masaporcha agé chillu hen aminay enalen Apudyus ah mataguwancha ah ing-inggana.’ ”
MAT.4.5	Angkay hiyachi yag inyéy Chumunyu hiya ad Jerusalem way i nangempatùchu hen tabfongan hen anchi faréy Apudyus way ekatchéén Templo. 
MAT.4.6	Yag annaat agé ifaga an hiya way mangaliyén, “No tot-owa way anàcha-a an Apudyusat mampêchag-a udpay, te nesosorat met hen anchi alena way ekatnéén,
MAT.4.6	‘Ifagan Apudyus hen anchichay anghelna ta halimunancha-a wat ancha-ag hèmatén way ammag uray hen he-emat achi mepetag hen anchi fato.’ ”
MAT.4.7	Yag sommongfat agé ah Jesus way mangaliyén, “Oo a, ngém wacha chillu hen nesosorat way alen Apudyus way ekatnéén,
MAT.4.7	‘Achiyu cha padpachasén hen kafaelan Apudyus way Apoyu.’ ”
MAT.4.8	Angkay hiyachi way narpas agéchi, inyéy Chumunyu hiya hen ammag akayyang way filig, yag empàilana hen aminay namfinafinab-én way toray hen antoy lota ya hen kaenammaycha. 
MAT.4.9	Yag annaat ifaga way mangaliyén, “Idchat-o aminto an hea no an-a mampalentomang way manayaw an haén.” 
MAT.4.10	Yag senongfatan Jesus way mangaliyén, “Lomayaw-aat Chumunyu te hen nesosorat chillu hen alen Apudyus way ekatnéén,
MAT.4.10	‘Ammag maid kasen chayawényu no faén yanggay hen apoyu way ah Apudyus, ya maid agé kasen afurotonyu no faén yanggay hiya.’ ”
MAT.4.11	Hiyachi yag lommayaw tot-owa ah Chumunyu, yag émméycha hen anchichay anghel way i manorong an Jesus.
MAT.4.12	Angkay hiyachi way chengngar Jesus way nifarud ah Juan way chan funfunyag, lommayaw way namfangad hen anchi provinsiyan hen Galilea. 
MAT.4.13	Ngém iggay inggaw ad Nazaret te nanchakpos ad Capernaum way nehag-én hen anchi fayfay way ekatchéén Galilea way nan-apet hen sakopon hen Zabulon ya Neftali.
MAT.4.14	Yachi hen nekaman ah tommot-owaan hen enalen hen anchi profeta way Isaias ad namenghan hen nangaryanéén,
MAT.4.15	“Matorongancha hen anchichay tatagu ad Zabulon yad Neftali way fafabréy hen chumang hen anchi wangwang way Jordan way nan-apet hen anchi fayfay way chicha hen anchichay faén Judio way ini-inggaw hen anchi provinsiyan hen Galilea. 
MAT.4.16	Hen cha nadchiy tatagu, kamancha ini-inggaw hen helang te ammag nahehellangan hen hamhamàcha gapon fasorcha, yag yachi agé hen nesenaancha an Apudyus. Ngém ammay ad uwan te cha mahelawan hen hamhamàcha te inumchah hen anchi napegsay Helaw an chicha.”
MAT.4.17	Yag nanepod hen hiyachi, inlugin Jesus way manginwarawag hen itudtuchuna, ekatnéén, “Masapor etagayyu hen annay laweng way a-ammayu te tég-angay hen milugiyan hen mantorayan Apudyus an chàyu.”
MAT.4.18	Angkay hiyachi way cha manaran ah Jesus hen penget hen anchi fayfay way Galilea, innilana hen chuway hen-agi way cha Simon way mamPedro yah Andres way chacha manafukor te mangagadchiwcha chillu. 
MAT.4.19	Yachi yag imfagan Jesus an chicha way mangaliyén, “Ehàfayu chaha ta metnod-ayu an haén ta falewà hen hiyahay chunuyu ta hen tatagu hen atenglényu ah omafurotancha an haén.” 
MAT.4.20	Wat enhàfacha tot-owa hen anchi tafukorcha yag netnodcha an Jesus.
MAT.4.21	Angkay nànàéycha yag innilan Jesus hen kasen hen-agi way cha Jaime an Juan way nìtutùchucha an amacha way Zebedeo hen anchi fangkacha way chacha taramanén hen tafukorcha. Yachi yag enayagan Jesus chicha agé. 
MAT.4.22	Wat anchag tenaynan ah amacha ya hen anchi fangkacha way netnod an cha Jesus.
MAT.4.23	Angkay hiyachi, cha émé-éméy ah Jesus hen kafabréfabréy hen provinsiyan hen Galilea way cha i mantudtutudtuchu hen anchichay chacha ma-am-amongan way Judio way ekatchéén sinagoga way yachi hen chana minwarawagan hen anchi ammayay chamag mepanggép hen mantorayan Apudyus. Ya chana agé etape way manga-an hen anchichay namfinafinab-én way saket ya ligat hen tatagu. 
MAT.4.24	Yachi yag ammag nanhemamag hen mepanggép an hiya hen aminay fabréy hen anchi lota ad Siria, wat hen anchichay tatagu, inyéycha an hiya amin hen anchichay chan saket way namfinafinab-én hen ligatcha, te wachacha hen anchichay nahurugan ya hen chan orchah ya umat agé hen anchichay napàroy hen acharna. Yag cha natto way ligatat ammag kena-an Jesus amin. 
MAT.4.25	Wat hiyachi, chuarcha hen anchichay tatagu way cha umunu-unud an hiya way narpon provinsiyan hen Galilea ya Judea ya anat ad Decapolis ya ad Jerusalem ya umat agé hen anchichay fabréy way chumang hen anchi wangwang way Jordan.
MAT.5.1	Angkay hiyachi way innilan Jesus hen anchi ammag chuar way tatagu, émméy hen anchi tagéytéy yag tummùchu wat enamongan hen anchichay pasorotna hiya. 
MAT.5.2	Yag annaat tudtuchuwan chicha way mangaliyén,
MAT.5.3	“Lomaylayad-ayu, chàyu way maka-awat way maid kafaelanyu way mangamma hen ammayén Apudyus no achi chàyu torongan an hiya, te chàyu hen metape hen mantorayana.”
MAT.5.4	“Lomaylayad-ayu agé, chàyu way chan totokar gapon anchi cha ma-ammaan way laweng, te ah Apudyus hen mangemparaylayad an chàyu.”
MAT.5.5	“Lomaylayad-ayu, chàyu way cha mangempafafa hen acharna, te idchat Apudyus an chàyu hen anchichay empopostana.”
MAT.5.6	“Lomaylayad-ayu agé, chàyu way maid kasen laychéna no faén yanggay hen laychén Apudyus, te totollongan Apudyus chàyu way mangamma an cha nahha ah kapnekanyu.”
MAT.5.7	“Lomaylayad-ayu agé, chàyu way cha manég-aség-ang ah ifana, te séség-angan chàyu agé an Apudyus.”
MAT.5.8	“An-ayu agég lomaylayad, chàyu way cha mangamma hen laychén Apudyus way nacharos chi pontosna, te ilanyu ah Apudyus ah pegwana.”
MAT.5.9	“Lomaylayad-ayu agé, chàyu way cha manginyornos hen katornosan hen tatagu, te ifilang Apudyus chàyu ah anàna.”
MAT.5.10	“Lomaylayad-ayu agé, chàyu way cha mapap-aligatan gapon chayu mangammaan hen laychén Apudyus, te etapena chàyu hen mantorayana ad uchu.”
MAT.5.11	“An-ayu ammag lomaylayad yanggay no insortuwén chàyu ya paligatén chàyu ya ustan chàyu hen anchichay tatagu gapon sommorotanyu an haén. 
MAT.5.12	Uray no yaha hen ammaancha an chàyu, an-ayu yanggay ammag lomaylayad chillu, te chakar hen gunggunayu ad uchu. Yag yaha agé chillu hen nekaman hen anchichay profetan Apudyus ad namenghan.”
MAT.5.13	Yachi yag entoroy Jesus hen chana itudtuchu, ekatnéén, “Hen ahin hen mangempa-ammay hen missa. Wat chàyu, kaman-ayu agé ahin te chàyu hen cha mangintudtuchu hen omammayan hen tatagu hen antoy lota. Ngém non an umat way maka-an hen anchi paket hen ahin, ay ammoh mafalin way papaketém kasen. Achi met, te ammag metap-ar yanggay way gategatenan hen tatagu te maid chillu sérfina.”
MAT.5.14	“Yag chàyu agé hen kaman helaw way manelaw hen hamhamà hen aminay tatagu hen antoy lota. Hen miyaligana, kaman-ayu hen ihay fabréy way ininggaw hen tagéytéy way mamàila way achi mafalin way malenglengfan. 
MAT.5.15	Ya maid agé tatagu ah mamasgéd ah helaw yag henàufana, te no pasgéchana, anna an epatang ta mahelawan hen aminay wachah faréy. 
MAT.5.16	Wat kaman agéhchi koma hen homelawanyu ah mangil-an hen tatagu, te hen mangil-ancha hen anchi ammay way chayu ammaan, yachi hen manayawancha an Apudyus way Amataaw ad uchu.”
MAT.5.17	Yachi yag entoroy Jesus agé way mangaliyén, “Achiyu ekatén anà ummale way an mamakas hen anchichay orchin way ensorat Moses ya hen intudtuchun hen anchichay profeta, te hen ganchat-o paat way ummaliyat ah tomot-owaan hen imfagan hen amin anchichay nesosorat way orchin. 
MAT.5.18	Yag tot-owa hen antoy ifagà way achi mafalin miyat-atob hen anchi orchin Apudyus. Te uray mamaid hen antoy lota yad uchu, achi chillu mamaid hen uray anchi ka-ak-akettoyan way orchin ingganah ma-ammaan amin. 
MAT.5.19	Wat hiyachi, heno way manlabseng hen anchi uray kafafaan way lentég yag yachi agé hen itudtuchuna hen tapena, wat hiya hen mifilang ah kafafaan hen mantorayan Apudyus. Ngém heno way mangafurot amin hen anchi orchin Apudyus yag yachi agé hen itudtuchuna hen tapena, wat hiya hen mifilang ah nangato hen anchi mantorayana. 
MAT.5.20	Ngém hen ifagà an chàyu, achiayu angkay metape hen mantorayan Apudyus no achiyu ammaan hen laychéna, te achi ummat hen cha ekaman hen anchichay Fafariseo ya hen anchichay siguchay cha mintudtuchu hen anchi orchinanchi. Wat masapor wadwadcha hen ekamanyu no hen chacha ekamkaman.”
MAT.5.21	“Innilayu way nanepod ad namenghan, nitudtuchu an chitaaw hen anchi orchin way ekatnéén, ‘Achiayu cha pomatéy te hen anchi pomatéy, mauwis yag nachusa.’ 
MAT.5.22	Ngém hen ifagà an chàyu ad uwan, uray hen anchi ammag an omaningarngar ah ifana wat mauwis angkay agé. Ya hen anchi mameloh ah ifana, ammag michérém hen anchichay nan-angato way konsel. Ya hen anchi tagu way mangaleh ifanéén, ‘Heaat ammag maid sérsérfim,’ hen anchi nangalehchi wat lébféngna way metap-ar hen anchi apoy ad imférno. 
MAT.5.23	Wat hiyachi, no wachay cham iyéy hen Templon Apudyus ah ekatnowén ichatonno an hiya, yag hemhemmàno way wacha uwa hen lawengén hen anchi ifam an hea, 
MAT.5.24	annog man-ehàfa unna hen anchi ekatnowén ichatonno ta éméy-aat way i mètagépfar hen ifamanchi ta manchinnaros-ayu unna. Yag no narpaschi, yachin mangentoroyam way manginchaton hen anchi ekatnowén ichatonno an Apudyus.”
MAT.5.25	“Yag mag-ay ta wachay manginchérém an hea, éméy-a an hiya unna way mètagépfar ta no mafalin, achia koma mepasango hen uwis. Te no loohcha-a epasango hen uwis, awni yag idchatna hea hen anchi poles yag imfarudcha-a. 
MAT.5.26	Wat maid angkay meparufusam hen pagfaruchan ingganah fayacham amin hen anchi mortam.”
MAT.5.27	“Innilayu agé hen anchi nitudtuchu way ekatnéén ‘Achiayu cha chumagchagas.’ 
MAT.5.28	Ngém hen ifagà an chàyu ad uwan, heno way tagu way mangila ah fufae yag hemhemmàna way manòyong, chummagchagaschi ah hamhamàna. 
MAT.5.29	Wat hiyachi, no oma-annig hen ilan hen matayu ah chayu fumasoran, un-unnina no okatényu yag entap-aryu. Te un-unnina angkay hen makorangan hen achar no hen wacha amin yag ad imférno hen metap-aranyu. 
MAT.5.30	Yag no oma-annig agé hen cha ammaan hen limayu ah chayu fumasoran, un-unnina no porhanyu yag entap-aryu. Te un-unnina angkay way an makorangan hen lima no hen anchi wacha amin yag ad imférno hen iggawanyu.”
MAT.5.31	“Siguchay nitudtuchu an chitaaw way no ihiyan hen larae hen ahawana, masapor idchatna an hiya hen papel way mangempàila hen manhiyanancha. 
MAT.5.32	Ngém hen ifagà an chàyu ad uwan, heno way larae way manginhiyan an ahawana, fasornachi, manongad no an chummagchagas hen anchi ahawana. Fumasor te chana ammaan hen chumagchagasan hen anchi inhiyanna no kasen mangahawa, te faén chillu ahawana hen anchi kasenna ahaw-én te chagchagasnachi. Ya umat agé hen anchi nangahawa an hiyaat anna agé an chinagchagas.”
MAT.5.33	“Innilayu agé way nanepod ad namenghan, intudtuchun hen anchichay anap-otaaw way ekatchéén, ‘Achiyu cha labsengén hen empostayu te masapor ammaanyu way ammaan hen heno way ensapatayu an Apudyus.’ 
MAT.5.34+MAT.5.35	Ngém hen antoy ifagà an chàyu ad uwan, achiayu chan sapsapata ah uray heno way epostayu. Achiyu ammag ekatén meorob ad uchu ya hen antoy lota no faén tot-owa hen enaleyu, te ad uchu, yachi hen tummutùchuwan Apudyus, ya hen antoy lota, yato hen kaman pommapattangana. Ya achiyu agé esapata hen anchi fabréy way Jerusalem way machachael agé no faén tot-owa hen enaleyu, te hen hiyachiy fabréy hen fumaryan hen anchi kangatowanay Are. 
MAT.5.36	Ya achiyu agé cha esapata way pomokaw hen fuùyu no faén tot-owa hen enaleyu, te ay ammoh kafaelanyu way mangempapokaw ya mangempangétég hen uray himféras way fuùyu. 
MAT.5.37	Wat hen ekamanyu, anyu yanggay ammag ekatén, ‘Oo’ no oo, ya ‘achi’ no achi. Te no taptapyanyuchi, ah Chumunyu angkay hen narpowan hen anchi entaptapeyu.”
MAT.5.38	“Innilayu agé hen anchi nitudtuchu an chitaaw way ekatnéén, ‘Heno way tagu way manachael hen matan hen ahentaguna, masapor machachael agé hen matana. Yag heno way tagu agé way manachael hen fub-an hen ahentaguna, masapor machachael agé hen fub-ana.’ 
MAT.5.39	Ngém hen ifagà an chàyu ad uwan, achiayu cha fumab-arés ah uray heno way ma-ammaan an chàyu. Wat no wachay manappet hen apengyu, uray etayayu hen anchi chumangna ta tappeténa agé. 
MAT.5.40	Yag no wachay manginchérém an chàyu yag menortana chàyu ah ihay lumfong, uray iyuyayu agé hen anchi agwana. 
MAT.5.41	Yag no wacha agé hen mangempapelet way mempachén hen kargana ah ihay lometor, uray icharanyu ah chuway lometor. 
MAT.5.42	Adchanyu hen anchichay chan ochaw an chàyu, ya pafuruchanyu agé hen anchichay cha fumurud an chàyu.”
MAT.5.43	“Innilayu hen anchi nitudtuchu way ekatnéén, ‘Masapor laylaychényu hen ifayu yag hen anchi gumura an chàyu, guréényu agé.’ 
MAT.5.44	Ngém hen ifagà an chàyu ad uwan, masapor epàilayu hen layadyu hen anchi uray gumura an chàyu, ya masapor agé iluwaruwanyu hen anchi cha mamaligat an chàyu. 
