GEN.1.1	Gër ỹanar, Kaxanu nëcëtëguk
GEN.1.21	Kaxanu nëcëtëgu këɓi ɓoñeỹ ɓond gër angwëngw ɓoŋ, gë ɗek ɓeɓëɓëngw do këni ŝangënarand ɓën. Nëcëtëgu këɓi ɓëte ɓeɓër ỹëmbër bax gër amen ɓën, gë ɓenëng ɓendeɓën ak, do gë oŝël ol, gë ɓenëng ɓendeɓën ak. Ata Kaxanu wat ko mëne aye yek. 
GEN.1.22	Kaxanu yël këɓi oɓetak ol and re ko: «Cënarin, ñëmbërin do pëxwin gër amen, polo gër angwëngw. Do oŝël ol ñëmbërëlexëni gër ebar!» 
GEN.1.23	Ata ga w̃ëɗëk do xeyëk, hik akey anjoxën aŋ.
GEN.1.24	Kaxanu re ko: «Ebar el dëw̃ëleɓi ɓeɓëɓëngw, gë ɓenëng ɓendeɓën ak: oyel ol, gë ɓanjën ɓaŋ, gë ow̃acar oɓapuỹ ol, er ex yo gë enëng endexëm ak!» Ata hik mondako. 
GEN.1.25	Kaxanu ri këɓi ow̃acar oɓapuỹ ol, gë ɓenëng ɓendeɓën ak; oyel ol gë ɓenëng ɓendeɓën ak; do gë ɗek ɓanjën ɓand gër ebar ɓaŋ, gë ɓenëng ɓendeɓën ak. Ata Kaxanu wat ko mëne aye yek.
GEN.1.26	Kaxanu re ko: «Dinëɓëne tan ɓela ɓën gër eñaw̃ endeɓi, eni mëndër gë ɓiyi, enëɓi bëñaxënënd oxan or gër angwëngw ol, oŝël or kë ŝëgërand gër orën ol, gë oyel ol; eni bëñaxënënd ebar el ɗek, do gë ɗek ɓanjën ɓand kë ŝangënarand gër ebar ɓaŋ.» 
GEN.1.27	Kaxanu nëcëtëgu këɓi ɓela ɓër ex eñaw̃ endexëm ɓën. Nëcëtëgu këɓi gër eñaw̃ end Kaxanu: asoŝan do gë asoxari. 
GEN.1.28	Kaxanu yël këɓi oɓetak ol and re ko: «Dëw̃ërin mbaŋ, ñëmbërin, ɗëgërayin në er ex yo, do bëñayin ebar el. Bëñayinëɓi oxan or gër angwëngw ol, oŝël or kë ŝëgërand gër orën ol, do gë ɗek ow̃acar or kë ŝangënarand gër ebar ol.»
GEN.1.29	Ata re ko Kaxanu: «Anëka yël këmun ɗek ondës ond gër ebar oŋ, gë ɓeneɗa ɓendeɓën ak, ɗek ɓatëx ɓañamb ƴamb ɓaŋ, gë ɓeneɗa ɓendeɓën ak, ex gi eƴamb edewën el. 
GEN.1.30	Emacar end ex yo gër ebar, acël and kë ŝëgërand yo ƴaŋ gër orën, er kë ŝangënarand gër ebar do hik gë onjën yo, ɗek ondës ocëkët oŋ ex eƴamb ƴamb edewën el.» Ata hik mondako. 
GEN.1.31	Kaxanu wat ko ɗek er ri ko in mëne mbaŋ ye bax. Ata ga w̃ëɗëk do xeyëk, hik akey anjongamatën aŋ.
GEN.2.1	Mondako faỹ ko Kaxanu edi ed orën, gë ebar el, do gë ɗek ɓeɓër ex polo gër ndeɓën ɓën. 
GEN.2.2	Yatir akey anjongakinëm, Kaxanu anëka faỹ baxo ɗek andiyen and ri baxo aŋ. Gë akey anjongakinëm aŋ faỹ baxo Kaxanu andiyen and ri ko aŋ. Ata gë akey anjongakinëm aŋ seyëta ko ɗek andiyen and ri ko aŋ. 
GEN.2.3	Kaxanu ri ko akey anjongakinëm aŋ akey acëɓax, akey and xwën ko. Gayikwa yatijo seyëta ko ɗek andiyen and enëcëtëgu ed ɓeỹ aŋ.
GEN.2.4	Mondako bax endeƴ end orën do gë ebar eŋ and nëcëtëgu ko Kaxanu aŋ. Yatir ri ko Axwën Kaxanu orën ol do gë ebar el, 
GEN.2.5	ado acëc aŋ dëŋ ax gi bana pere gër ebar. Ɓëte endës gematak ax ɗëg bana pere. Gayikwa Axwën Kaxanu axo mëlaw bana pere tëɓ iŋ gër ebar, do ala ax gi bana ar kë ỹandëra.
GEN.2.6	Ɓarikan añësa and men bax lejënd gër ebar, do bax xoŝand ɗek añangëỹang and ebar aŋ.
GEN.2.7	Axwën Kaxanu ɓaƴ këŋo asoŝan gë obar ok. Fif këŋo gër ocën onjën ond kë yëlënd aniyan oŋ. Ata hi ko ala aɓëngw. 
GEN.2.8	Axwën Kaxanu ri ko andëɗa gër ebar ed Eden, gand apën-eñan, do xwët këŋo asoŝan ar ɓaƴ baŋo an. 
GEN.2.9	Axwën Kaxanu nëcëtëgu ko gër ebar ɗek ɓatëx ɓaŋ, gë ɓenëng ɓendeɓën ak, ɓatëx ɓand ye bax owat, do nënga bax eƴamb. Ata ŝit gër ɓatëx ɓaŋo, lëg bax mërëxand ir andëɗa atëx and kë yëlënd aniyan aŋ, gë atëx and kë yëlënd enang ed enjekax do gë eñëŋënax aŋ.
GEN.2.10	Yeɓ ebax na gër ebar ed Eden ir bax ỹëmënd yaɓët oɓëŋa ok, do bax xoŝand andëɗa aŋ. Ata na gër andëɗa ŝapër bax yeɓ ijo ɓambana ɓanax. 
GEN.2.11	Ambana añanar aŋ bani w̃acënd Piŝoŋ. Mëŋ ɓëtak ɗek ebar ed Afila el, gër ed ex kaŋe, 
GEN.2.12	kaŋe iw̃ënëk in. Na gër ebar elo fo ex ɓëte angiri ir këni w̃acënd bëdeliyom in do gë ekaỹ ekëɓënaxik ed këni w̃acënd 
GEN.2.13	Ambana akinëm aŋ bani w̃acënd Gixoŋ. Aŋo ɓëtak ebar ed Kuŝ el. 
GEN.2.14	Ambana atasën aŋ bani w̃acënd Tigër, aŋo bax fesënd apën-eñan and gër ebar ed Asiri. Ambana anaxën aŋ bani w̃acënd Ëfërat.
GEN.2.15	Axwën Kaxanu w̃eɗ këŋo asoŝan an, do xwët këŋo gër andëɗa and Eden exo ñanënd do exo nëkonand. 
GEN.2.16	Ata Axwën Kaxanu fel këŋo asoŝan an: «Axor këƴ xor eƴ ƴambënd ɗek ɓatëx ɓand gër andëɗa ɓaŋ. 
GEN.2.17	Ɓari atëx and kë nangënënd enjekax do gë eñëŋënax aŋ, ax gi ex na moñamb. Gayikwa aŝës këƴ ŝës yatir këƴ ƴamb.»
GEN.2.18	Ga xucak eŋo, Axwën Kaxanu re ko: «Ax ye ex na wa asoŝan an exo gi gaɓat. Dinëlemo arëcara ar këni ỹana eni paɓërënd.» 
GEN.2.19	Axwën Kaxanu ɓaƴ këɓi gë obar ɗek ow̃acar or gër apuỹ ol, do gë ɗek ɓacël ɓand kë ŝëgërand gër orën ɓaŋ. Ŝëñëta këɓi end asoŝan eŋ exo wat ba mondake këɓi w̃acëra. Do er gë onjën yo, exo gi gë ow̃ac or këŋo yël asoŝan an. 
GEN.2.20	Asoŝan an yëlëra këɓi omac ɗek oyel ol, ɗek ɓacël ɓaŋ, do gë ɗek ow̃acar ol. Ɓari emacar gematak aŋo wat bana end kë hi arëcara ar këni ỹana eni paɓërënd. 
GEN.2.21	Axwën Kaxanu lapan këŋo asoŝan an akwëɗ atëm, asoŝan an raŝ këŋo lëɓ. Ŝosëta ko anjaw̃ amat gër ambëɓ and asoŝan, do w̃aŝ ko oƴas ok. 
GEN.2.22	Gë anjaw̃ and ŝosët ko gër asoŝan aŋ, Axwën Kaxanu ri këŋo asoxari, do w̃ëla këŋo gër asoŝan. 
GEN.2.23	Ata asoŝan an ga wat këŋo, re ko:
GEN.2.23	«Dodo nëkoɗo ngwa ar ex ŝapar ir ŝapar iram an,
GEN.2.23	ar ex eman end eman endam an.
GEN.2.23	Asoxari këno ỹana eno macënd
GEN.2.23	gayikwa gër asoŝan ŝosëtagu këno.» 
GEN.2.24	Mëŋ ex, asoŝan an ŋaw̃ëtaleɓi nëm gë sëm eni ɓaraxën gë asoxari arexëm an, do eni gi eman emat.
GEN.2.25	Ata asoŝan an do gë asoxari arexëm an hi këni ɓën tak ɓëxi tëɓ gë ɓeman ɓeŋ, ɓari abaɓi ŝëfënandër na.
GEN.3.1	Andën aŋ ebax emacar end siti bax nëmëc gër ɗek ow̃acar oɓapuỹ or ɓaƴ këɓi Axwën Kaxanu ol. Akey amat, ga sëka këŋo asoxari an, w̃ëka këŋo: «Kaxanu dëŋ nde rek: “Wën këren ƴambënd na ɗek ɓatëx ɓand gër andëɗa ɓaŋ?”» 
GEN.3.2	Asoxari an yaka këŋo andën aŋ: «Ɓiyi axor xor këmi mi ƴambënd ɓatëx ɓand gër andëɗa ɓaŋ. 
GEN.3.3	Ɓarikan atëx and hik mërëxand gër andëɗa aŋ, Kaxanu ga re ko: “Wën këren ƴambëɗ na, këren kwixwëtaɗ na. Ga ƴamb ƴamb kën, and kën ŝës ex ɗe!”» 
GEN.3.4	Ata andën aŋ fel këŋo asoxari an: «Adokiŋ an cës na! 
GEN.3.5	Ɓarikan Kaxanu ga nang ko mëne yatir kën ƴamb, ɓangës ɓandewën ɓaŋ kë watëra. Ata en gi ang Kaxanu fo, en nang enjekax eŋ do gë eñëŋënax eŋ.»
GEN.3.6	Asoxari an wat ko mëne atëx aŋ anënga kë nënga eƴamb el ga yek ako owati ol. Ga ỹandi këŋo onangëran or kë yëlënd ol, xwëca ko do ƴamb ko. Yël këŋo icën indexëm ind xetëna baŋo iŋ; mëŋ ɓëte ƴamb ko. 
GEN.3.7	Ata ɓangës ɓandeɓën ɓaŋ watërak ga foɗët këɓi, ata nang këni mëne tëɓ gë ɓeman ɓeŋ hi këni. Ɓan këni opat od andan do xura këni.
GEN.3.8	Ata wëlëgu këno Axwën Kaxanu ga ko ɓëtara andëɗa aŋ gë ingoc ind genëka iŋ. Asoŝan an do gë asoxari arexëm an ƴe këni, ỹafëx këni ŝit gër ɓatëx ɓand gër andëɗa, këdi këɓi wat Axwën Kaxanu. 
GEN.3.9	Axwën Kaxanu ga këŋo w̃ac asoŝan an, w̃ëka këŋo: «Feye wa hi këƴ?» 
GEN.3.10	Mëŋ yakaw ko: «Ga wëlëgu këmi gër andëɗa, ata yëdara këme gayik tëɓ gë eman eŋ hi këme, awa mëŋ ỹafaxën këme.» 
GEN.3.11	Axwën Kaxanu re ko: «Noỹo wa nangën ki mëne tëɓ gë eman eŋ hi këƴ? Ba ƴamb këƴ nde atëx and ŝëɓan bami eƴamb aŋ?» 
GEN.3.12	Yakaw ko asoŝan an: «Asoxari ar w̃ëlanëgu këƴe an, yël ke atëx aŋ, do ƴamb këme.»
GEN.3.13	Axwën Kaxanu w̃ëka këŋo asoxari an: «Inew̃a rixën këƴ eŋo?» Yakaw ko asoxari an: «Andën aŋ yifa ke, do ƴamb këme.» 
GEN.3.14	Axwën Kaxanu re këŋo andën aŋ:
GEN.3.14	«Awa wëj gayikako eŋo ri këƴ,
GEN.3.14	anëka w̃e ki gër oyel ɗek,
GEN.3.14	do gër ow̃acar or gër apuỹ ɗek.
GEN.3.14	Gë acël andeƴ aŋ këƴ ỹana eƴ ŋexërand,
GEN.3.14	do eƴ ɓelënd eɓëkwërëɓëkw el
GEN.3.14	ang kë nëka ɓakey ɓandeƴ ak.
GEN.3.15	Wëno kë ri angoỹëra and wëj do gë asoxari aŋ,
GEN.3.15	angoỹëra and andëw̃ëra andeƴ aŋ,
GEN.3.15	do gë andëw̃ëra andexëm aŋ.
GEN.3.15	Ar andëw̃ëra andexëm an ki sëkan ɓëlëɓël gaf in,
GEN.3.15	do wëj eƴo ŋat gër etak.»
GEN.3.16	Axwën Kaxanu re këŋo ɓëte asoxari an:
GEN.3.16	«Aɓaŝ këme ɓaŝ toro ind ɓacël ɓandeƴ iŋ,
GEN.3.16	gë aƴambën këƴëɓi ỹana eƴëɓi dëw̃ënd oɓaŝ ol.
GEN.3.16	Oñandi odeƴ ok gër icën indeƴ kë hi,
GEN.3.16	do mëŋ ki w̃ëña.»
GEN.3.17	Axwën Kaxanu re këŋo ɓëte asoŝan an:
GEN.3.17	«Gayikako asoxari areƴ an ɓaxët këƴo,
GEN.3.17	do ƴamb këƴ atëx and ŝëɓan bami eƴamb aŋ,
GEN.3.17	ebar el aw̃e kë w̃e në endeƴ;
GEN.3.17	gë aƴambën këƴ ỹana eƴ nëcëtënd eƴamb ƴamb ireƴ in
GEN.3.17	ɗek ɓakey ɓand aniyan andeƴ ɓaŋ.
GEN.3.18	Odëmbën do gë ondës kë ỹana exi ɗëgënd, do ɓeɓëlëg ɓër gër apuỹ këƴ ỹana eƴ ƴambënd.
GEN.3.19	Gë asëw̃ëtëw̃a ir dëxas ireƴ in këƴ ỹana eƴ cotënd eƴamb ƴamb in,
GEN.3.19	xali eƴ ɓaka gër ebar ed gër ed nëcëtëgu këmi;
GEN.3.19	gayikwa obar hi këƴ, do gër ebar këƴ ɓaka.»
GEN.3.20	Ga xucak eŋo, asoŝan an yël këŋo asoxari arexëm an ow̃ac or «Xawa», mëne ngëŋ «Aɓëngw», gayikwa mëŋ ex nëm ir ɗek ɓër kë liyand ɓën. 
GEN.3.21	Axwën Kaxanu rin këɓi ɓacuɗ ɓand ɓanar, do asoŝan an gë asoxari an ŝuɗara këni.
GEN.3.22	Axwën Kaxanu re ko: «Ala an anëka hi ko ang ɓiyi ak gër enang ed enjekax do gë eñëŋënax. Gërëgako, kërexo kwëca na ɓëte atëx and kë yëlënd aniyan aŋ, exo ƴamb, do exo ɗiya din ir din!» 
GEN.3.23	Axwën Kaxanu w̃aỹ këɓi asoŝan an do gë asoxari an eni can andëɗa and Eden aŋ, do asoŝan an exo ñanënd ebar ed gër ed nëcëtëgu këŋo el. 
GEN.3.24	And w̃aỹ këɓi ɓela aŋ, Axwën Kaxanu xwët këɓi gand apën-eñan and andëɗa and Eden Ocerubeŋ do gë duxuma ir gë okoɗux ir kë ŝenarand. Mondako ŝëng ko fëña ir gër atëx and kë yëlënd aniyan in.
GEN.4.1	Ga xucak eŋo, Adam, asoŝan an, nangër këni gë alindaw̃ Xawa. Alindaw̃ hi ko gë acël, rëw̃ këŋo itoŝan, do w̃ac këno Kaỹe. Gayikwa are re baxo: «Ala rëw̃ këmo, gë edëca ed Axwën Kaxanu el.» 
GEN.4.2	Rëw̃ këŋo ɓëte itoŝan, aɓinëm ar Kaỹe, do w̃ac këŋo Abel. Abel hi ko axwël ar oɓeci do gë opeỹ, do Kaỹe hi ko aỹan.
GEN.4.3	Ga niyitarak, Kaỹe w̃ëlan këŋo Axwën Kaxanu ŝaɗaxa ir er xana baxo gër ebar in. 
GEN.4.4	Abel mëŋ ɓëte, w̃ëlan këŋo ŝaɗaxa ir ɓëñanar ɓënd oyel orexëm, gë onil ondeɓën ak. Axwën Kaxanu nëngan këŋo end Abel eŋ, do xana ko ŝaɗaxa irexëm in. 
GEN.4.5	Ɓari aŋo nëngan bana end Kaỹe eŋ, do axo kana bana ŝaɗaxa irexëm in. Ata Kaỹe xoỹ ko mbaŋ, ỹëŋënin ko dëxas irexëm in. 
GEN.4.6	Axwën Kaxanu w̃ëka këŋo Kaỹe: «Inew̃a xoỹaxën këƴ? Inew̃a ỹëŋëninaxën këƴ dëxas ireƴ in? 
GEN.4.7	Kido ŝenene ri baƴ, arënëta rënëta doƴ. Ɓari gayikako aƴ di ex na ŝenene, eñëŋënax eŋ mokaŝ xaŝ ki gër ebët edeƴ ga ỹandi këŋo exi bëña. Ɓarikan wëj wa ỹapëk eƴo bëña!»
GEN.4.8	Kaỹe yeƴaneli këŋo Abel aɓinëm, ga hi bani gër apuỹ, Kaỹe w̃ëlën këŋo Abel aɓinëm, do law̃ këŋo.
GEN.4.9	Ata Axwën Kaxanu w̃ëka këŋo Kaỹe: «Feye exo aɓinëx Abel?» Kaỹe yaka ko: «Ame nang ex na. Ba wëno nde ex anëkona ar aɓaỹe an?» 
GEN.4.10	Re ko ɓëte Axwën Kaxanu: «Ine ri këƴ? Në ewëleme oŝat or aɓinëx oŋ ga kë xeỹëgund elod gër ebar xali gër ndam ro. 
GEN.4.11	Gërëgako wëj anëka w̃e ki, caw këƴ h̃awëta ebar ed hëlëk oŝat or aɓinëx el. 
GEN.4.12	And këƴ ỹan ebar aŋ, ỹoweỹ aƴ ñana na eƴ kanand. Ar eɗëg këm këƴ hi, asëk aƴexërand fo këƴ ỹana eƴ ƴexërand gër ebar.» 
GEN.4.13	Ata Kaỹe yaka këŋo Axwën Kaxanu: «Amena andam aŋ mbaŋ siɓëk, ame kor na me ɓuŋa. 
GEN.4.14	Anëka këƴe w̃aỹënd doro, me ŋaw̃ëta ebar ed bame ỹanënd el. Aỹafëra këmi ỹana mi ñafërand, do din ame wat na dëxas ireƴ in. Ar eɗëg këm këme hi, asëk aƴexëra fo këme ỹana me ƴexërand gër ebar. Do angëmëne mi ped gë ala, exe ɗaw̃.» 
GEN.4.15	Axwën Kaxanu yaka këŋo: «Angëmëne ala eŋo ɗaw̃ Kaỹe, ɓakëlëbëd ɓanjongëɓaki këno w̃aŝan.»
GEN.4.15	Axwën Kaxanu laram ko nanganëme gër Kaỹe eni watënd ɓër këni fedënd ɓën, këdi këno law̃. 
GEN.4.16	Ata Kaỹe ga xani ko eŋo ŋaw̃ëta Axwën Kaxanu, ƴe ko lëgëx ko gër ebar ed 
GEN.4.17	Kaỹe nangër këni gë alindaw̃. Ata alindaw̃ hi ko gë acël, rëw̃ këŋo Enok. Kaỹe ɓaƴ ko angol, do w̃acan këŋo asëñiw̃ Enok. 
GEN.4.18	Enok hi ko sëm ir Irad, do Irad, sëm ir Mexuyahel. Mexuyahel hi ko sëm ir Metuŝahel, do Metuŝahel, sëm ir Lemek.
GEN.4.19	Lemek ỹër këɓi ɓësoxari ɓëxi: aỹanar an Ada, do axinëm an, Tësila. 
GEN.4.20	Ada, asoxari aỹanar an, rëw̃ këɓi ɓëtoŝan ɓëki: Yabal do gë Yubal. Yabal hi ko axarëk ar ɓëxwël ɓër oyel do këni rëfarand laŋ. 
GEN.4.21	Do Yubal mëŋ, hi ko axarëk ar ɓësëmb ɓër ɓemangi do gë ɓëfarix ɓër ɓacëroti an. 
GEN.4.22	Tësila, asoxari axinëm aŋ, rëw̃ këɓi ɓëte ɓëtox ɓëki: itoŝan iŋ Tubal-Kaỹe, do itoxari iŋ, Nahama. Tubal-Kaỹe hi ko asap ar ɗek ɓeɓër ex ƴawale do gë dun.
GEN.4.23	Akey amat, Lemek fel këɓi ɓësoxari ɓërexëm ɓën:
GEN.4.23	«Ada do gë Tësila, ɓaxëtin oniw̃ oram ol!
GEN.4.23	Wën ɓësoxari ɓër Lemek ɓën,
GEN.4.23	ɓanëf ɓandewën ɓaŋ wëlëlex eyeƴan edam el!
GEN.4.23	Asoŝan këmo law̃ angëmëne ala exe këm,
GEN.4.23	Itox këmo law̃ angëmëne ala exe tembaỹën.
GEN.4.24	Ɓakëlëbëd ɓanjongëɓaki këno w̃aŝan Kaỹe,
GEN.4.24	ɓarikan wëno Lemek, ɓakëlëbëd ofëxw ocongoxi gë ɓanjongëɓaki këne w̃aŝan!»
GEN.4.25	Adam, asoŝan an, nangër këni gë alindaw̃ Xawa. Ata Xawa rëw̃ këŋo itoŝan, do w̃ac këŋo Set. Gayikwa are re baxo: «Kaxanu yël ke itoŝan, exo ɓët gër ed ebaxo Abel, ir law̃ këŋo Kaỹe.» 
GEN.4.26	Set rëw̃ këŋo itoŝan do w̃ac këŋo Enoŝ. Ata ɓela ɓën amëd aŋo ỹana këni ecale do gë emac ed Kaxanu Axwën el.
GEN.5.1	Mondako ex akayëta and andëw̃ëra and Adam aŋ. Kaxanu, yatir nëcëtëgu këɓi ɓela, ari ri këɓi do wëndër këni gë mëŋ. 
GEN.5.2	Kaxanu nëcëtëgu këɓi asoŝan an do gë asoxari an. Yël këɓi oɓetak ol, yatir nëcëtëgu këɓi dëŋ re ko enëɓi macënd ɓela.
GEN.5.3	Adam ga sëk këŋo ɓëniy këme gë ofëxw osas, rëw̃ këŋo itoŝan ind wëndër këni gë mëŋ, gër eñaw̃ endexëm, do w̃ac këŋo Set. 
GEN.5.4	Adam liya ko ɓëniy okeme ocongotas and rëw̃ këŋo Set aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.5	Ata ga sëk këŋo ɓëniy okeme ocongonax gë ofëxw osas, Adam ŝës ko.
GEN.5.6	Set ga sëk këno ɓëniy keme gë ɓënjo, rëw̃ këŋo Enoŝ. 
GEN.5.7	Set liya ko ɓëniy okeme ocongotas gë ɓënjongëɓëki and rëw̃ këno Enoŝ aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.8	Ata ga sëk këŋo ɓëniy okeme ocongonax gë epëxw gë ɓëki, Set ŝës ko.
GEN.5.9	Enoŝ ga sëk këŋo ɓëniy ofëxw ocongonax, rëw̃ këŋo Kenaŋ. 
GEN.5.10	Enoŝ liya ko ɓëniy okeme ocongotas gë epëxw gë ɓënjo and rëw̃ këŋo Kenaŋ aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.11	Ata ga sëk këŋo ɓëniy okeme ocongonax gë ɓënjo, Enoŝ ŝës ko.
GEN.5.12	Kenaŋ ga sëk këŋo ɓëniy ofëxw ocongoxi, rëw̃ këŋo Maxalalel. 
GEN.5.13	Kenaŋ liya ko ɓëniy okeme ocongotas gë ofëxw onax, and rëw̃ këŋo Maxalalel aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.14	Ata ga sëk këŋo ɓëniy okeme ocongonax gë epëxw, Kenaŋ ŝës ko.
GEN.5.15	Maxalalel ga sëk këŋo ɓëniy ofëxw ocongeɓat gë ɓënjo, rëw̃ këŋo Yered. 
GEN.5.16	Maxalalel liya ko ɓëniy okeme ocongotas gë ofëxw osas and rëw̃ këŋo Yered aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.17	Ata ga sëk këŋo ɓëniy okeme ocongotas gë ofëxw ocongonax gë ɓënjo, Maxalalel ŝës ko.
GEN.5.18	Yered ga sëk këŋo ɓëniy këme gë ofëxw ocongeɓat gë ɓëki, rëw̃ këŋo Enok. 
GEN.5.19	Yered liya ko ɓëniy okeme ocongotas and rëw̃ këŋo Enok aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.20	Ata ga sëk këŋo ɓëniy okeme ocongonax gë ofëxw ocongeɓat gë ɓëki, Yered ŝës ko.
GEN.5.21	Enok ga sëk këŋo ɓëniy ofëxw ocongeɓat gë ɓënjo, rëw̃ këŋo Matusalem. 
GEN.5.22	Enok liya ko ang këŋo nënganënd Kaxanu ak, ɓëniy okeme otas, and rëw̃ këŋo Matusalem aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.23	Ata Enok sëk këŋo ɓëniy okeme otas gë ofëxw ocongeɓat gë ɓënjo. 
GEN.5.24	Enok liya ko ang këŋo nënganënd Kaxanu ak, ata ɓela ɓën nema këno anema fo ga xana këŋo Kaxanu.
GEN.5.25	Matusalem ga sëk këŋo ɓëniy këme gë ofëxw ocongosas gë ɓënjongëɓëki, rëw̃ këŋo Lemek. 
GEN.5.26	Matusalem liya ko ɓëniy okeme ocongoki gë ofëxw ocongosas gë ɓëki, and rëw̃ këŋo Lemek aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.27	Ata ga sëk këŋo ɓëniy okeme ocongonax gë ofëxw ocongeɓat gë ɓënjongëɓënax, Matusalem ŝës ko.
GEN.5.28	Lemek ga sëk këŋo ɓëniy keme gë ofëxw ocongosas gë ɓëki, rëw̃ këŋo itoŝan. 
GEN.5.29	W̃ac këŋo Nowe, ga baxo rend cëŋ: «Ajo këɓo racët gër andiyen añëkaxik and këne rinde ene ɗiyaxëne gër ebar ed xare ko Axwën Kaxanu aŋ.» 
GEN.5.30	Lemek liya ko ɓëniy okeme oco gë ofëxw ocongonax gë ɓënjo, and rëw̃ këno Nowe aŋ. Rëw̃ këɓi ɓëte ɓëtoŝan do gë ɓëtoxari. 
GEN.5.31	Ga sëk këŋo ɓëniy okeme ocongoki gë ofëxw ocongoxi gë ɓënjongëɓëki, Lemek ŝës ko. 
GEN.5.32	Nowe liya ko ɓëniy okeme oco, and rëw̃ këɓi Ŝem, gë Xam, do gë Yafet aŋ.
GEN.6.1	And ỹana këni ɓela eñëmbër ed gër ebar aŋ, rëw̃ëra kënëɓi odënaw̃. 
GEN.6.2	Ɓela ɓër ekun ed Kaxanu ɓën wat këni mëne odënaw̃ od ɓela ɓër gër ebar ok mbaŋ ye këni. Sana kënëɓi do ỹërëra kënëɓi ɗek. 
